location	QoS	longitude	revision	station	latitude
Africa/Casablanca	excellent	-6.90656	22 Jul 2021	Temara	33.92866
Asia/Bangkok	building	104.64992	11 Apr 2014	Kantharalak	14.64056
Africa/Lagos	maintenance	4.52514	2022-06-03	Argungu	12.74482
Europe/Vilnius	accep	24.04142	26 Sep 2020	Alytus	54.39635
America/New_York	excellent	-76.88442	2019-12-26	Harrisburg	40.2737
Asia/Kolkata	excellent	73.7553	2021-01-27	Calangute	15.5439
Europe/Berlin	excellent	13.32127	08/23/2021, 00:00:00	Wittenau	52.59319
Europe/Helsinki	excellent	24.14662	2022-08-31	Tornio	65.84811
Europe/Istanbul	accep	34.02537	2014-05-13	Aksaray	38.37255
America/Denver	maintenance	-111.99633	09/22/2017, 00:00:00	Kearns	40.65995
Europe/Madrid	average	-3.67029	08 Jan 2016	Las Gabias	37.13548
Africa/Porto-Novo	excellent	2.59753	27 Jun 2022	Tchaourou	8.88649
Europe/Berlin	acceptable	7.11393	03 Feb 2020	Burscheid	51.08468
Africa/Algiers	good	2.95924	2016/04/26	Cheraga	36.76775
Asia/Tokyo	average	135.31667	06 Dec 2021	Iwade	34.25
Asia/Tokyo	excellent	135.6	05 Sep 2020	Yao	34.61667
Asia/Kolkata	average	86.59611	2021/06/26	Saharsa	25.87498
Africa/Ndjamena	average	18.69303	09/29/2017, 00:00:00	Mongo	12.18441
Europe/Brussels	accep	3.20639	2022/06/05	Mouscron	50.74497
Africa/Lagos	excellent	6.83042	10 Dec 2019	Nkpor	6.15038
America/New_York	average	-81.23621	2015/05/31	Lexington	33.98154
America/New_York	good	-80.22588	2020-08-08	North Lauderdale	26.2173
America/Sao_Paulo	good	-52.67056	03/20/2014, 00:00:00	Pato Branco	-26.22861
Asia/Kolkata	good	74.83554	11/21/2019, 00:00:00	Sirsi	14.62072
America/New_York	good	-77.37331	2014/12/21	Mechanicsville	37.60876
Europe/Podgorica	excellent	18.84	2019/05/02	Budva	42.28639
Indian/Antananarivo	building	48.41667	11/26/2019, 00:00:00	Ambatondrazaka	-17.83333
America/New_York	excellent	-73.0515	03/06/2014, 00:00:00	Waterbury	41.55815
Asia/Kolkata	accep	84.63445	08/23/2021, 00:00:00	Rafiganj	24.81757
Asia/Karachi	building	70.91106	19 Dec 2016	Alipur	29.38242
America/New_York	excellent	-80.31727	2019/02/12	Kendall	25.67927
Asia/Yekaterinburg	excellent	76.92421	02/04/2019, 00:00:00	Izluchinsk	60.97944
Europe/Madrid	excellent	-3.67029	04/12/2014, 00:00:00	Las Gabias	37.13548
America/Toronto	accep	-80.38297	2019-06-12	Norfolk County	42.8334
Africa/Abidjan	maintenance	-5.682	2021/02/18	Lakota	5.84752
Asia/Manila	accep	122.9666	2021-03-20	Talisay	10.7375
America/Bahia	excellent	-39.25	2020-12-11	Muritiba	-12.91667
Asia/Kolkata	accep	75.37991	02/26/2017, 00:00:00	Deoli	25.75728
Europe/Madrid	average	-8.2194	16 May 2021	Ferrol	43.48961
America/New_York	accep	-77.70066	02/27/2018, 00:00:00	Gates-North Gates	43.16547
Africa/Banjul	excellent	-15.6	12/31/2021, 00:00:00	Farafenni	13.56667
America/Vancouver	excellent	-119.27337	17 Mar 2016	Vernon	50.26729
Africa/Douala	excellent	11.5	23 Aug 2014	Mbalmayo	3.51667
Asia/Tokyo	good	136.84186	2016/06/23	Toba	34.4833
Asia/Kolkata	average	79.82979	02/10/2019, 00:00:00	Puducherry	11.93381
Asia/Bangkok	acceptable	102.42587	2017/09/12	Bua Yai	15.58552
Europe/London	average	0.30367	2016-02-11	Hartley	51.38673
Africa/Lubumbashi	maintenance	24.99798	04/05/2017, 00:00:00	Kamina	-8.73508
Asia/Tokyo	excellent	140.73667	2020-03-17	Hakodate	41.77583
Asia/Manila	excellent	120.89694	2016-09-18	Baliuag	14.95472
Europe/Berlin	accep	8.86704	05/27/2016, 00:00:00	Nidderau	50.23805
Europe/London	maintenance	-2.01111	2020-11-17	Great Wyrley	52.66277
Africa/Johannesburg	excellent	29.00974	2014/07/10	Mokopane	-24.19436
America/Bahia	accep	-38.94722	14 Dec 2013	Canavieiras	-15.675
Europe/Berlin	accep	9.72749	2019/04/05	Ehingen	48.28259
Europe/Vilnius	accep	24.04142	2021/06/18	Alytus	54.39635
Africa/Accra	average	-1.4001	01/31/2020, 00:00:00	Mampong	7.06273
America/Chicago	excellent	-98.15529	03/31/2015, 00:00:00	San Juan	26.18924
Europe/Rome	excellent	9.40531	2018/02/17	Gorgonzola	45.53069
Africa/Tripoli	good	20.22625	05/18/2021, 00:00:00	Ajdabiya	30.75545
Asia/Kolkata	good	78.55757	2022-03-22	Lal Bahadur Nagar	17.34769
Africa/Lagos	good	8.2926	03/18/2017, 00:00:00	Kafanchan	9.58126
Europe/Vienna	good	16.4	27 Oct 2016	Floridsdorf	48.25
America/Toronto	excellent	-80.38297	01 Nov 2018	Norfolk County	42.8334
Africa/Algiers	average	4.08282	17 Aug 2020	Beni Douala	36.61954
Africa/Khartoum	average	34.3869	16 Mar 2017	Ar Ruseris	11.8659
Asia/Tehran	accep	48.26258	14 Apr 2018	Aleshtar	33.86419
Africa/Accra	accep	-1.4001	2019/08/27	Mampong	7.06273
Asia/Shanghai	excellent	112.73333	2020/03/08	Xinzhou	38.40917
Asia/Shanghai	building	117.81667	06 Feb 2018	Zhoucun	36.81667
Africa/Lagos	excellent	3.64633	2016-02-26	Shagamu	6.8485
Asia/Yangon	excellent	98.19151	11/27/2018, 00:00:00	Dawei	14.0823
America/Chicago	good	-97.92977	2021/02/15	Hutchinson	38.06084
Europe/Madrid	accep	-4.10734	22 Aug 2017	Puertollano	38.68712
Asia/Kolkata	average	72.85107	2021/10/14	Bhayandar	19.30157
Asia/Makassar	average	118.9707	2015/09/11	Majene	-3.5403
Europe/Paris	maintenance	2.1699	2020-12-02	Herblay	48.98994
Africa/Cairo	excellent	29.91582	2019/01/11	Alexandria	31.20176
Europe/Berlin	building	6.9747	01/03/2014, 00:00:00	Wesseling	50.82709
Africa/Johannesburg	building	30.79165	2019-02-03	Vryheid	-27.76952
Asia/Colombo	maintenance	79.883	23 May 2015	Hendala	6.9909
America/Chicago	accep	-86.99666	2022/09/23	Hueytown	33.45122
America/New_York	average	-81.26367	01/01/2015, 00:00:00	Deltona	28.90054
Asia/Manila	accep	121.06761	2014/07/10	San Jose	12.35275
Europe/Moscow	building	43.67663	2019-07-27	Nizhniy Lomov	53.53041
America/Sao_Paulo	average	-50.19556	05 Mar 2014	Iturama	-19.72806
Europe/Moscow	good	30.38167	08/26/2018, 00:00:00	Shushary	59.80917
Europe/Berlin	good	6.51352	2019-11-14	Korschenbroich	51.19139
Asia/Jakarta	average	110.71639	2017/04/05	Ngemplak	-7.54972
Europe/Moscow	good	46.5813	2013/01/14	Alatyr’	54.8421
America/Sao_Paulo	excellent	-42.19667	06 Mar 2013	Miracema	-21.41222
Asia/Kolkata	average	72.85107	2013-01-16	Bhayandar	19.30157
Europe/Amsterdam	accep	5.2875	2014-01-16	Vught	51.65333
Europe/Madrid	average	-2.98884	12/05/2020, 00:00:00	Leioa	43.32686
Asia/Jakarta	accep	113.69785	2014-04-07	Besuki	-7.73379
Indian/Antananarivo	accep	48.41667	2017/06/18	Ambatondrazaka	-17.83333
Asia/Manila	average	120.57224	01/17/2022, 00:00:00	Burgos	15.72892
Europe/Istanbul	good	27.18052	25 Aug 2020	Bergama	39.12074
America/Sao_Paulo	average	-51.50361	2020/12/17	Carlos Barbosa	-29.2975
Asia/Kolkata	accep	77.40858	30 Jan 2020	Leteri	24.05979
America/Mexico_City	accep	-103.5687	04/15/2013, 00:00:00	Zacoalco de Torres	20.22816
Asia/Bangkok	excellent	102.42587	2017/03/06	Bua Yai	15.58552
Europe/Berlin	excellent	7.973	05/31/2016, 00:00:00	Finnentrop	51.168
Asia/Damascus	building	38.28402	2016-01-19	Tadmur	34.5624
America/Los_Angeles	building	-121.74052	12 Jan 2015	Davis	38.54491
America/New_York	maintenance	-80.31727	2021/10/26	Kendall	25.67927
Asia/Shanghai	maintenance	122.74754	2018-03-30	Haicheng	40.85158
Asia/Shanghai	excellent	126.28333	23 May 2015	Shuangcheng	45.35
Africa/Casablanca	excellent	-6.00137	01/24/2015, 00:00:00	Oulmes	33.42585
Asia/Shanghai	excellent	105.89333	08/11/2013, 00:00:00	Beidao	34.56861
America/New_York	accep	-81.56929	18 Sep 2015	Collinwood	41.55838
Asia/Yekaterinburg	accep	59.4839	2017-05-18	Kachkanar	58.7002
America/Sao_Paulo	accep	-42.19667	20 Feb 2019	Miracema	-21.41222
Europe/Amsterdam	accep	5.22778	2021/10/06	Culemborg	51.955
Europe/London	good	-3.05814	08/19/2017, 00:00:00	Rhosllanerchrugog	53.00974
Europe/Paris	accep	8.73812	2014-10-15	Ajaccio	41.91886
Africa/Lubumbashi	good	29.47306	2015/09/01	Beni	0.49113
Asia/Dhaka	building	89.11943	2021-09-15	Kushtia	23.9028
Europe/London	good	-0.76667	13 Sep 2013	Gainsborough	53.38333
Asia/Manila	accep	120.4861	10/29/2019, 00:00:00	Manaoag	16.0438
Asia/Karachi	accep	71.52847	2021/05/03	Mianwali	32.57756
Europe/London	average	-2.68758	2013-04-21	Leyland	53.69786
Africa/Djibouti	excellent	42.7125	2022/03/22	'Ali Sabieh	11.15583
Europe/Berlin	excellent	8.86704	2015/08/08	Nidderau	50.23805
Asia/Kolkata	average	78.27539	2015/04/24	Robertsonpet	12.95629
Africa/Johannesburg	good	30.79165	2018-06-14	Vryheid	-27.76952
America/New_York	building	-77.96389	12/30/2017, 00:00:00	Martinsburg	39.45621
Asia/Shanghai	excellent	114.68333	2020-08-17	Heyuan	23.73333
Europe/Rome	accep	12.38878	26 Apr 2015	Perugia	43.1122
Europe/Bucharest	accep	26.01649	2016/03/16	Sector 6	44.43579
Europe/Kiev	building	32.6178	2014-07-09	Kherson	46.65581
Asia/Kolkata	excellent	76.03889	05/11/2015, 00:00:00	Osmanabad	18.18158
Asia/Kolkata	accep	78.23456	14 Apr 2013	Bachhraon	28.92694
Europe/Dublin	good	-7.35	2016-02-08	An Muileann gCearr	53.53333
Asia/Kolkata	excellent	85.37752	11 Sep 2016	Barbil	22.10194
Europe/Rome	good	8.62118	04/07/2014, 00:00:00	Novara	45.44694
Asia/Kolkata	building	75.35927	05/03/2016, 00:00:00	Talipparamba	12.04161
Asia/Tokyo	excellent	137.4	31 Oct 2020	Toyokawa	34.81667
Asia/Tokyo	excellent	135.31667	18 Mar 2013	Iwade	34.25
Europe/Berlin	maintenance	8.96317	05/26/2018, 00:00:00	Hechingen	48.35149
Europe/Rome	excellent	14.43865	12/06/2021, 00:00:00	Somma Vesuviana	40.87329
Asia/Kolkata	excellent	74.3092	17 Sep 2017	Rajaori	33.37526
Asia/Kolkata	excellent	88.18466	19 Jun 2014	Diamond Harbour	22.19303
Africa/Algiers	accep	3.50309	2022/07/09	Messaad	34.15429
America/New_York	accep	-74.15987	17 Jun 2018	Nutley	40.82232
Europe/London	good	-1.06667	2012-09-29	Selby	53.78333
Europe/Lisbon	accep	-8.2503	2015-08-23	Albufeira	37.08819
America/New_York	maintenance	-74.15987	01/11/2013, 00:00:00	Nutley	40.82232
Europe/Paris	average	4.8951	2015-09-03	Valence	44.92801
Europe/Amsterdam	average	6.92917	07/04/2014, 00:00:00	Oldenzaal	52.31333
America/Bogota	building	-72.47417	2017-07-23	Villa del Rosario	7.83389
Europe/Vilnius	average	24.04142	2022/01/21	Alytus	54.39635
America/Sao_Paulo	excellent	-42.19667	2018/09/20	Miracema	-21.41222
Europe/Madrid	good	-2.68333	20 Mar 2022	Gernika-Lumo	43.31667
Asia/Kolkata	excellent	71.30633	01/07/2015, 00:00:00	Kundla	21.34222
Europe/Berlin	excellent	11.18709	2018-03-12	Neuburg an der Donau	48.73218
America/Chicago	excellent	-86.77917	07 Aug 2018	Brentwood Estates	36.02506
America/Chicago	accep	-86.78777	2019-11-28	Vestavia Hills	33.44872
Africa/Lubumbashi	accep	29.47306	01/07/2014, 00:00:00	Beni	0.49113
Europe/Moscow	building	38.16694	29 Oct 2017	Kashira	54.84444
Europe/Berlin	building	11.37703	03/07/2018, 00:00:00	Gauting	48.06919
America/Chicago	good	-90.10674	2015-09-10	Estelle	29.84576
Europe/Rome	good	16.50104	08/07/2016, 00:00:00	Bisceglie	41.24264
Europe/Istanbul	good	27.18052	01/20/2021, 00:00:00	Bergama	39.12074
America/Chicago	average	-86.78777	10/13/2018, 00:00:00	Vestavia Hills	33.44872
Europe/Istanbul	accep	40.74357	10/24/2019, 00:00:00	Mardin	37.31309
Africa/Algiers	average	1.04945	2013-07-05	Frenda	35.06544
Europe/Lisbon	accep	-9.24671	09/24/2022, 00:00:00	Carnaxide	38.72706
Asia/Kolkata	average	79.41727	2018/11/07	Gingee	12.25282
Asia/Samarkand	accep	67.84222	10 May 2021	Jizzax	40.11583
Europe/Kiev	excellent	33.9162	2013/08/18	Hlukhiv	51.67822
Europe/Rome	accep	13.44275	05/29/2016, 00:00:00	Villabate	38.07789
America/Sao_Paulo	excellent	-47.53028	2019/10/01	Santa Gertrudes	-22.45667
America/Los_Angeles	average	-117.23991	2019/06/05	Opportunity	47.64995
Africa/Dar_es_Salaam	excellent	38.01667	05/26/2013, 00:00:00	Chanika	-5.41667
Asia/Tokyo	excellent	140.11667	08/10/2014, 00:00:00	Inawashiro	37.56667
America/Sao_Paulo	maintenance	-42.98194	10/23/2014, 00:00:00	Guapimirim	-22.53722
Africa/Douala	average	10.7	2018-04-03	Tonga	4.96667
America/Denver	excellent	-104.22884	2013/10/15	Carlsbad	32.42067
America/Los_Angeles	excellent	-117.71978	2018-08-01	Claremont	34.09668
Europe/Warsaw	average	19.27498	18 Jul 2015	Jaworzno	50.20528
Asia/Hebron	building	35.23388	2021-05-21	East Jerusalem	31.78336
Europe/Berlin	maintenance	8.91229	2017/12/18	Eppingen	49.13645
Africa/Nairobi	excellent	36.36339	2019/01/10	Nyahururu	0.03813
Europe/London	average	-3.52751	05/30/2014, 00:00:00	Exeter	50.7236
Europe/Podgorica	good	18.84	05/31/2014, 00:00:00	Budva	42.28639
Asia/Tokyo	good	135.31667	07 May 2017	Iwade	34.25
Asia/Tokyo	maintenance	137.4	10/26/2019, 00:00:00	Toyokawa	34.81667
Europe/Vilnius	good	24.04142	11/24/2013, 00:00:00	Alytus	54.39635
Africa/Douala	excellent	9.00472	2014-10-09	Idenao	4.2475
Asia/Manila	average	121.12251	2016-10-20	Antipolo	14.62578
Asia/Bangkok	good	102.42587	18 Jun 2020	Bua Yai	15.58552
Europe/Paris	good	2.18967	2014/05/07	Rueil-Malmaison	48.8765
Asia/Kolkata	excellent	78.55757	28 Dec 2016	Lal Bahadur Nagar	17.34769
Asia/Jakarta	good	110.8405	15 Jun 2014	Kudus	-6.8048
Europe/Istanbul	building	34.02537	2016/04/19	Aksaray	38.37255
Europe/Paris	excellent	4.86667	2016/07/15	Vienne	45.51667
Europe/Istanbul	accep	42.85693	2018-10-04	Patnos	39.22493
America/Argentina/Buenos_Aires	excellent	-60.47389	26 Aug 2022	Chacabuco	-34.64167
Asia/Kolkata	maintenance	86.59611	28 Aug 2020	Saharsa	25.87498
Europe/Paris	good	2.44892	2014/12/08	Gonesse	48.98693
Europe/Kiev	excellent	30.96755	2017-12-30	Zvenihorodka	49.07866
America/Los_Angeles	excellent	-118.25508	2013/11/21	Glendale	34.14251
Asia/Tashkent	average	72.34424	2022/09/26	Andijon	40.78206
Europe/Berlin	good	9.72749	2021/12/01	Ehingen	48.28259
America/Chicago	building	-91.06177	18 Jul 2017	Greenville	33.41012
Africa/Algiers	accep	2.31889	2022-01-16	Ksar Chellala	35.21222
Asia/Seoul	accep	128.63083	2012/10/25	Eisen	36.82167
Europe/Madrid	maintenance	1.10687	05/09/2014, 00:00:00	Reus	41.15612
Africa/Lagos	building	4.52514	2015/11/01	Argungu	12.74482
Asia/Kuching	good	116.10146	03 Mar 2017	Donggongon	5.90702
America/New_York	excellent	-80.22588	08/03/2017, 00:00:00	North Lauderdale	26.2173
Asia/Kolkata	average	83.36889	2018-01-04	Gorakhpur	26.76628
Africa/Tripoli	average	20.22625	2022/07/20	Ajdabiya	30.75545
America/Toronto	accep	-73.75335	2017-07-15	Dorval	45.4473
America/Sao_Paulo	excellent	-49.27306	2015-12-26	Curitiba	-25.42778
Asia/Makassar	average	117.59152	2018-11-21	Tarakan	3.31332
Atlantic/Canary	maintenance	-15.58602	17 Jan 2019	Maspalomas	27.76056
America/Martinique	good	-60.94228	2021-04-17	Le Robert	14.67751
Africa/Monrovia	excellent	-8.53778	17 Sep 2016	New Yekepa	7.57944
America/New_York	maintenance	-71.08977	09/26/2018, 00:00:00	Taunton	41.9001
America/New_York	accep	-72.86843	12/07/2017, 00:00:00	East Haven	41.27621
America/Vancouver	good	-119.48568	05/30/2020, 00:00:00	Kelowna	49.88307
Europe/Brussels	good	4.25633	01/28/2015, 00:00:00	Beveren	51.21187
Asia/Seoul	good	128.62667	06 Aug 2018	Sinhyeon	34.8825
Asia/Kolkata	good	78.25795	2014/07/28	Tiruppuvanam	9.82564
America/Mexico_City	good	-99.32556	2021/07/20	San Lorenzo Acopilco	19.32889
Europe/Berlin	good	7.973	27 Mar 2018	Finnentrop	51.168
Europe/Moscow	excellent	37.49338	12/31/2014, 00:00:00	Tyoply Stan	55.62047
America/Sao_Paulo	average	-47.1725	04 Oct 2017	Artur Nogueira	-22.57306
Europe/Paris	building	2.08333	10 Jan 2015	Marly-le-Roi	48.86667
America/Toronto	excellent	-73.75335	2014-08-20	Dorval	45.4473
America/Matamoros	maintenance	-97.50417	26 Jul 2022	Heroica Matamoros	25.87972
Asia/Shanghai	maintenance	117.63083	09 Apr 2021	Pingyi	35.50056
Europe/Rome	good	12.6723	2016-05-07	Ariccia	41.72063
Asia/Kolkata	accep	86.59611	26 Mar 2013	Saharsa	25.87498
America/Mexico_City	good	-102.04897	2017-02-24	Paracho de Verduzco	19.64745
Europe/Berlin	average	10.98461	2020-10-25	Friedberg	48.35693
America/El_Salvador	average	-89.10944	08/22/2017, 00:00:00	Ilopango	13.70167
America/Sao_Paulo	good	-41.88778	2017/12/19	Itaperuna	-21.205
Europe/Rome	good	17.58522	11/04/2018, 00:00:00	Francavilla Fontana	40.53123
America/Chicago	excellent	-88.3162	2021/07/14	Crystal Lake	42.24113
Africa/Kampala	average	30.91105	12/12/2020, 00:00:00	Arua	3.02013
Africa/Gaborone	building	27.46153	2021/01/25	Tonota	-21.44236
Asia/Bangkok	good	101.18445	04/24/2018, 00:00:00	Phanat Nikhom	13.44581
Asia/Shanghai	excellent	117.81667	12/29/2016, 00:00:00	Zhoucun	36.81667
Asia/Almaty	good	84.87144	23 Sep 2015	Zaysan	47.46657
America/Argentina/Buenos_Aires	accep	-58.38341	12/23/2018, 00:00:00	Barracas	-34.64966
America/New_York	average	-73.89875	09/05/2019, 00:00:00	Yonkers	40.93121
America/Sao_Paulo	average	-50.19556	2022/06/09	Iturama	-19.72806
America/Havana	excellent	-81.24441	2014/03/01	Varadero	23.15678
Europe/Rome	excellent	12.70038	2016-01-15	Cordenons	45.9836
Asia/Bangkok	average	101.18445	27 Dec 2012	Phanat Nikhom	13.44581
America/Los_Angeles	excellent	-122.38731	06/14/2022, 00:00:00	Troutdale	45.53929
Asia/Tehran	average	51.49621	04/04/2020, 00:00:00	Nowshahr	36.64852
America/New_York	excellent	-69.96533	2013/07/06	Brunswick	43.91452
Australia/Perth	accep	115.88782	2013/06/26	Willetton	-32.05251
America/Los_Angeles	accep	-116.97725	03 Aug 2016	Beaumont	33.92946
America/New_York	good	-69.96533	2020-06-17	Brunswick	43.91452
Europe/Istanbul	average	40.74357	2021/07/19	Mardin	37.31309
Europe/London	building	-2.12139	05/04/2022, 00:00:00	Brierley Hill	52.48173
America/New_York	good	-84.50855	2015/12/19	Covington	39.08367
Europe/Paris	excellent	1.33467	09/03/2013, 00:00:00	Colomiers	43.61058
America/Edmonton	excellent	-113.3187	21 Aug 2017	Sherwood Park	53.51684
Asia/Jakarta	acceptable	113.69785	2020/10/19	Besuki	-7.73379
Asia/Kolkata	maintenance	73.7553	2019-10-09	Calangute	15.5439
America/Denver	good	-104.22884	10/16/2017, 00:00:00	Carlsbad	32.42067
Africa/Niamey	average	9.15013	2022-08-28	Mirriah	13.70727
America/Phoenix	accep	-111.89903	18 Sep 2017	Scottsdale	33.50921
America/Port_of_Spain	average	-61.51889	08 Dec 2013	Port of Spain	10.66668
Europe/Berlin	excellent	8.61839	08/15/2013, 00:00:00	Bensheim	49.68369
America/Lima	maitennce	-75.11028	14 Aug 2019	Minas de Marcona	-15.21194
Asia/Tokyo	excellent	137.23333	2013/10/02	Gero	35.8
Africa/Niamey	good	9.15013	2015/12/29	Mirriah	13.70727
Asia/Manila	building	122.8637	2016-05-03	Santa Catalina	9.3337
America/New_York	excellent	-82.07842	2021/11/14	Punta Gorda Isles	26.91756
Pacific/Efate	excellent	168.31366	2013/02/08	Port-Vila	-17.73648
Australia/Melbourne	building	145.06667	10/09/2018, 00:00:00	Carnegie	-37.88333
Asia/Tokyo	good	138.89585	09/16/2013, 00:00:00	Annaka	36.33011
America/Mexico_City	average	-100.88023	2014-06-14	Salvatierra	20.21322
America/New_York	accep	-74.01042	2021/04/27	Newburgh	41.50343
Africa/Algiers	good	4.85668	27 May 2015	Bordj Zemoura	36.27462
Asia/Tokyo	average	136.61667	08/07/2017, 00:00:00	Nonoichi	36.53333
Africa/Tunis	maintenance	10.78222	2014/02/28	Beni Khiar	36.46917
Africa/Dar_es_Salaam	maintenance	29.65806	07 Aug 2013	Mwandiga	-4.83
Europe/Paris	good	-1.05366	28 May 2014	Dax	43.71032
Africa/Dar_es_Salaam	accep	37.73333	04/11/2020, 00:00:00	Same	-4.06667
Africa/Lagos	accep	6.26764	20 Feb 2016	Yenagoa	4.92675
Africa/Lagos	average	3.39467	2020-02-11	Lagos	6.45407
Europe/London	good	-2.68758	2018-07-19	Leyland	53.69786
America/New_York	maitennce	-74.13653	02/15/2014, 00:00:00	Port Richmond	40.63316
Asia/Karachi	good	71.57118	04 Jun 2021	Daud Khel	32.87533
Europe/Berlin	accep	8.77069	2014-10-22	Marburg an der Lahn	50.80904
America/Argentina/Cordoba	excellent	-60.93173	2017/12/27	Esperanza	-31.4488
America/Argentina/Cordoba	excellent	-61.4867	2021-06-09	Rafaela	-31.25033
America/Bogota	good	-75.69947	03/17/2019, 00:00:00	San Carlos	8.79577
America/Sao_Paulo	excellent	-51.87389	2021-06-25	Sarandi	-23.44361
America/Sao_Paulo	average	-41.88778	08/25/2018, 00:00:00	Itaperuna	-21.205
Asia/Kolkata	building	73.66633	2016/01/19	Sojat	25.92493
Africa/Casablanca	good	-2.16	09/10/2017, 00:00:00	Jerada	34.31
Africa/Dar_es_Salaam	building	35.7	2018-02-17	Iringa	-7.76667
America/Lima	excellent	-73.25383	2015/08/11	Iquitos	-3.74912
Atlantic/Canary	maintenance	-15.58602	29 May 2019	Maspalomas	27.76056
America/Sao_Paulo	maintenance	-49.27306	2016-02-12	Curitiba	-25.42778
Asia/Shanghai	accep	118.53333	2014-04-30	Pucheng	27.92333
Africa/Kampala	average	30.91105	08/25/2021, 00:00:00	Arua	3.02013
Europe/Berlin	accep	8.64409	01/02/2016, 00:00:00	Trossingen	48.07667
Africa/Algiers	good	4.62744	10/31/2021, 00:00:00	El Achir	36.06386
Asia/Shanghai	average	111.73861	2014/08/06	Changzhi	35.20889
America/New_York	building	-81.26367	2018-02-06	Deltona	28.90054
America/Lima	accep	-76.70944	2018-10-19	Chosica	-11.94306
Europe/Berlin	average	8.77155	26 Aug 2022	Karben	50.23019
America/Panama	excellent	-79.62603	24 Dec 2013	Veracruz	8.88988
America/New_York	good	-76.72803	2014/04/28	Woodlawn	39.32288
Atlantic/Canary	average	-15.58602	23 Sep 2022	Maspalomas	27.76056
America/Denver	excellent	-111.99633	04 Jul 2022	Kearns	40.65995
America/Chicago	accep	-87.70172	2016/02/22	Evergreen Park	41.72059
America/Caracas	accep	-62.64102	2015/06/29	Ciudad Guayana	8.35122
Europe/Moscow	building	30.28491	09/04/2016, 00:00:00	Kolomyagi	60.02427
Europe/Helsinki	maintenance	24.95034	02 Feb 2014	Kallio	60.18427
Asia/Dili	good	125.21972	2021-03-17	Maliana	-8.99167
Asia/Kolkata	maintenance	78.25795	13 Oct 2012	Tiruppuvanam	9.82564
Europe/Amsterdam	accep	5.74861	10/26/2016, 00:00:00	Emmeloord	52.71083
Africa/Lubumbashi	average	24.99798	2019/12/09	Kamina	-8.73508
Asia/Shanghai	accep	120.82747	24 Jul 2017	Zhuangyuan	37.30553
America/Recife	excellent	-35.03333	07 Sep 2013	Cabo	-8.28333
America/New_York	good	-75.60804	03 Dec 2015	West Chester	39.96097
Europe/Madrid	excellent	2.35739	11 Dec 2013	Cardedeu	41.63976
Europe/Berlin	good	7.36027	09/16/2022, 00:00:00	Radevormwald	51.20219
Africa/Tunis	accep	9.37082	2017/04/04	Siliana	36.08497
Africa/Kampala	accep	32.88667	26 Jun 2021	Kitgum	3.27833
Europe/Madrid	accep	-2.77259	2022/03/20	Baza	37.49073
America/New_York	good	-76.88442	2015/04/21	Harrisburg	40.2737
Asia/Karachi	good	70.91106	2016-10-13	Alipur	29.38242
Asia/Kolkata	average	79.5286	2020-10-03	Haldwani	29.22254
Asia/Shanghai	good	120.82747	27 Oct 2013	Zhuangyuan	37.30553
America/Havana	excellent	-77.43532	11/05/2015, 00:00:00	Media Luna	20.14298
America/Martinique	excellent	-60.94228	10/27/2021, 00:00:00	Le Robert	14.67751
Europe/Rome	acceptable	14.01481	2020/05/31	Roseto degli Abruzzi	42.67164
Australia/Sydney	average	151.07986	2019/05/12	Strathfield	-33.88096
Europe/Rome	accep	9.40531	2015/05/03	Gorgonzola	45.53069
America/New_York	good	-72.27814	11/15/2017, 00:00:00	Keene	42.93369
Asia/Kolkata	accep	75.96976	19 Feb 2021	Gajendragarh	15.73628
Asia/Manila	average	120.57224	07/08/2015, 00:00:00	Burgos	15.72892
Europe/Stockholm	accep	17.10558	2019-09-14	Hudiksvall	61.72744
Australia/Melbourne	average	145.06667	11 May 2016	Carnegie	-37.88333
Indian/Antananarivo	good	47.31667	12 Nov 2018	Antanifotsy	-19.65
Africa/Freetown	accep	-13.2356	04/19/2021, 00:00:00	Freetown	8.48714
Asia/Shanghai	excellent	115.04814	2013/12/18	Huangshi	30.24706
America/New_York	building	-82.46148	2018-02-04	Lutz	28.15112
Asia/Kolkata	excellent	77.23826	02/01/2022, 00:00:00	Sathyamangalam	11.50526
Africa/Nairobi	building	35.59642	03/05/2021, 00:00:00	Lodwar	3.11988
Asia/Manila	accep	123.33471	2022-06-10	Dipolog	8.56697
America/Sao_Paulo	excellent	-42.19667	2017-05-10	Miracema	-21.41222
America/Los_Angeles	excellent	-117.79394	07 Feb 2019	North Tustin	33.76446
America/Havana	good	-81.24441	2020-02-02	Varadero	23.15678
America/Chicago	good	-95.44744	15 Oct 2017	Fresno	29.53885
Europe/Rome	building	13.39954	19 May 2021	Falconara Marittima	43.62558
America/New_York	excellent	-73.95097	12 Sep 2021	Greenpoint	40.72371
Asia/Kuala_Lumpur	good	101.02083	2015-07-24	Teluk Intan	4.02219
America/New_York	accep	-82.32483	2017/10/26	Gainesville	29.65163
Asia/Kolkata	accep	91.61356	15 Apr 2020	Rangia	26.44931
Africa/Bamako	maintenance	-8.07257	06 Dec 2013	Kati	12.74409
Asia/Ulaanbaatar	good	106.88324	2016-05-25	Ulan Bator	47.90771
Europe/Helsinki	building	24.14662	2018-03-24	Tornio	65.84811
America/Los_Angeles	good	-116.37697	2012-11-16	Palm Desert	33.72255
