station	QoS	location	latitude	longitude	revision
Jocotepec	maintenance	America/Mexico_City	20.28527	-103.42897	26 Jan 2021
Port Huron	good	America/Detroit	42.97086	-82.42491	2022-07-18
Athlone	excellent	Europe/Dublin	53.43333	-7.95	2022/08/11
Onex	excellent	Europe/Zurich	46.18396	6.10237	2020/05/16
New Canaan	maintenance	America/New_York	41.14676	-73.49484	2021/05/20
Qazax	good	Asia/Baku	41.09246	45.36561	19 Jan 2021
Wangon	excellent	Asia/Jakarta	-7.51611	109.05389	04/16/2014, 00:00:00
Cabo	accep	America/Recife	-8.28333	-35.03333	09 Jul 2013
Ehingen	excellent	Europe/Berlin	48.28259	9.72749	2017-11-02
New Kingston	excellent	America/Jamaica	18.00747	-76.78319	2013/07/10
Montpellier	maintenance	Europe/Paris	43.61092	3.87723	08 Dec 2017
Utica	good	America/New_York	43.1009	-75.23266	01/18/2016, 00:00:00
Carnaxide	average	Europe/Lisbon	38.72706	-9.24671	2017-06-07
Puducherry	excellent	Asia/Kolkata	11.93381	79.82979	05/31/2019, 00:00:00
Rio Real	average	America/Bahia	-11.48472	-37.93278	02 Jul 2015
Ulu Tiram	average	Asia/Kuala_Lumpur	1.6	103.81667	07/18/2018, 00:00:00
Madrid	accep	America/Bogota	4.73245	-74.26419	14 Aug 2014
Dahlem	building	Europe/Berlin	52.4581	13.28702	25 Oct 2016
Ovalle	accep	America/Santiago	-30.60106	-71.19901	08/02/2015, 00:00:00
New Canaan	excellent	America/New_York	41.14676	-73.49484	2018/09/16
Krymsk	average	Europe/Moscow	44.92934	37.99117	16 Apr 2022
Schwalmtal	accep	Europe/Berlin	51.21667	6.26667	2019-09-13
Uran	good	Asia/Kolkata	18.87813	72.93924	2013/04/01
Paidha	accep	Africa/Kampala	2.41669	30.98551	2018-08-24
Bhayandar	average	Asia/Kolkata	19.30157	72.85107	2020/09/15
Falconara Marittima	good	Europe/Rome	43.62558	13.39954	2019-06-02
Bogoroditsk	excellent	Europe/Moscow	53.77166	38.12408	2018-03-02
Front Royal	excellent	America/New_York	38.91817	-78.19444	2018-02-15
Parola	good	Asia/Kolkata	20.88098	75.11937	14 Aug 2018
Independence	good	America/Chicago	39.09112	-94.41551	06/18/2021, 00:00:00
West Des Moines	accep	America/Chicago	41.57721	-93.71133	21 Sep 2022
Gingee	average	Asia/Kolkata	12.25282	79.41727	2013/04/27
Temara	maintenance	Africa/Casablanca	33.92866	-6.90656	2014-10-31
Gembloux	accep	Europe/Brussels	50.56149	4.69889	27 Apr 2014
Cowes	average	Europe/London	50.76306	-1.29772	22 Aug 2020
Tandil	good	America/Argentina/Buenos_Aires	-37.32167	-59.13316	2021/04/03
Lons-le-Saunier	accep	Europe/Paris	46.67535	5.55575	02 May 2022
Split	good	Europe/Zagreb	43.50891	16.43915	03/18/2022, 00:00:00
Juhaynah	maintenance	Africa/Cairo	26.67319	31.4976	2020-09-25
Gifhorn	building	Europe/Berlin	52.47774	10.5511	2019/09/27
Hlukhiv	accep	Europe/Kiev	51.67822	33.9162	2021/09/11
San Rafael	accep	America/Costa_Rica	9.92787	-84.13722	2016-08-04
Tupelo	accep	America/Chicago	34.25807	-88.70464	2017-02-26
Ghat	average	Africa/Tripoli	24.96334	10.18003	2014/05/23
Gudermes	building	Europe/Moscow	43.35071	46.10925	2017-05-21
New Yekepa	accep	Africa/Monrovia	7.57944	-8.53778	03 Apr 2019
Hushitai	good	Asia/Shanghai	41.94175	123.50266	2019/11/26
El Achir	excellent	Africa/Algiers	36.06386	4.62744	05/31/2015, 00:00:00
Santa Cruz de Barahona	average	America/Santo_Domingo	18.20854	-71.10077	10 Jun 2018
Pucheng	accep	Asia/Shanghai	27.92333	118.53333	04/23/2015, 00:00:00
Inverness	average	Europe/London	57.47908	-4.22398	22 Nov 2016
Beaumont	maintenance	America/Los_Angeles	33.92946	-116.97725	16 Sep 2016
Kahului	good	Pacific/Honolulu	20.88953	-156.47432	05/22/2022, 00:00:00
Villabate	excellent	Europe/Rome	38.07789	13.44275	2022-08-14
Neuburg an der Donau	accep	Europe/Berlin	48.73218	11.18709	06 Dec 2012
Nova Xavantina	average	America/Cuiaba	-14.66463	-52.35558	03/21/2015, 00:00:00
Baza	good	Europe/Madrid	37.49073	-2.77259	2016-08-13
Kamakura	accep	Asia/Tokyo	35.30889	139.55028	2020-08-19
Tadmur	good	Asia/Damascus	34.5624	38.28402	2019/11/28
Maspalomas	good	Atlantic/Canary	27.76056	-15.58602	2014-11-07
Memmingen	average	Europe/Berlin	47.98372	10.18527	14 Jun 2013
San Juan de Aznalfarache	maintenance	Europe/Madrid	37.35813	-6.03731	17 Feb 2014
Maxixe	accep	Africa/Maputo	-23.85972	35.34722	12/19/2016, 00:00:00
Gainsborough	good	Europe/London	53.38333	-0.76667	25 Oct 2021
Gariadhar	maintenance	Asia/Kolkata	21.53889	71.57737	2021-02-02
Dombivli	average	Asia/Kolkata	19.21667	73.08333	2012/11/30
Nyahururu	maintenance	Africa/Nairobi	0.03813	36.36339	2017-12-06
Hueytown	excellent	America/Chicago	33.45122	-86.99666	03/08/2020, 00:00:00
Madrid	good	America/Bogota	4.73245	-74.26419	02 Dec 2019
Chapletown	excellent	Europe/London	53.46506	-1.47217	22 Jul 2019
Palestine	building	America/Chicago	31.76212	-95.63079	04/05/2018, 00:00:00
Acayucan	average	America/Mexico_City	17.94979	-94.91386	11 Mar 2017
Falconara Marittima	accep	Europe/Rome	43.62558	13.39954	11/08/2013, 00:00:00
Halstenbek	good	Europe/Berlin	53.63333	9.85	2015/06/15
Hakodate	average	Asia/Tokyo	41.77583	140.73667	2020/02/02
Gudermes	building	Europe/Moscow	43.35071	46.10925	06/08/2020, 00:00:00
Dalsingh Sarai	average	Asia/Kolkata	25.66795	85.83636	05/18/2022, 00:00:00
Ueno-ebisumachi	good	Asia/Tokyo	34.75856	136.13108	2021/04/26
Liaoyang	good	Asia/Shanghai	41.27194	123.17306	2020/12/06
Landshut	accep	Europe/Berlin	48.52961	12.16179	02/20/2018, 00:00:00
Bibiani	average	Africa/Accra	6.46346	-2.31938	2017/02/02
Brzeg	accep	Europe/Warsaw	50.86079	17.4674	25 Jan 2019
Hutchinson	good	America/Chicago	38.06084	-97.92977	04 Jun 2016
Westchester	maintenance	America/Chicago	41.85059	-87.882	2022/01/04
Rwamagana	building	Africa/Kigali	-1.9487	30.4347	2016/09/02
Periyakulam	accep	Asia/Kolkata	10.12268	77.54372	07/18/2019, 00:00:00
Xinzhou	good	Asia/Shanghai	38.40917	112.73333	01/30/2022, 00:00:00
Kafanchan	good	Africa/Lagos	9.58126	8.2926	2017-11-16
La Garenne-Colombes	average	Europe/Paris	48.90472	2.2469	2018-04-17
Burgos	building	Asia/Manila	15.72892	120.57224	31 Mar 2018
Gembloux	accep	Europe/Brussels	50.56149	4.69889	2021-12-26
Roi Et	accep	Asia/Bangkok	16.0567	103.65309	2019/05/26
Pucheng	excellent	Asia/Shanghai	27.92333	118.53333	05/24/2020, 00:00:00
Tonga	excellent	Africa/Douala	4.96667	10.7	04 May 2016
Scotch Plains	excellent	America/New_York	40.65538	-74.38987	28 Apr 2019
Ulanhot	average	Asia/Shanghai	46.08333	122.08333	2017-09-02
An Muileann gCearr	average	Europe/Dublin	53.53333	-7.35	2015-05-18
Aleshtar	building	Asia/Tehran	33.86419	48.26258	04/04/2014, 00:00:00
Ulu Tiram	accep	Asia/Kuala_Lumpur	1.6	103.81667	2014/03/07
Baza	accep	Europe/Madrid	37.49073	-2.77259	2013-07-22
Gingee	building	Asia/Kolkata	12.25282	79.41727	2013-04-05
Lower Earley	accep	Europe/London	51.42708	-0.91979	2016-06-09
Southsea	accep	Europe/London	50.79205	-1.08593	05/13/2019, 00:00:00
Wittenau	excellent	Europe/Berlin	52.59319	13.32127	11/17/2021, 00:00:00
Solntsevo	excellent	Europe/Moscow	55.63711	37.38115	2020/08/05
Jhol	accep	Asia/Karachi	25.95533	68.88871	01 Oct 2016
Masbate	good	Asia/Manila	12.37169	123.62494	2015-11-07
Argungu	accep	Africa/Lagos	12.74482	4.52514	30 Aug 2020
Teghra	average	Asia/Kolkata	25.49043	85.94001	2014/08/16
New Kingston	average	America/Jamaica	18.00747	-76.78319	2019/05/01
Soledade	good	America/Sao_Paulo	-28.81833	-52.51028	2022/01/24
Dumont	excellent	America/New_York	40.94065	-73.99681	2014-09-21
Scotch Plains	accep	America/New_York	40.65538	-74.38987	2021-04-27
Villabate	average	Europe/Rome	38.07789	13.44275	2022-03-05
Mvomero	excellent	Africa/Dar_es_Salaam	-6.25	38.66667	2020/07/06
Tver	excellent	Europe/Moscow	56.85836	35.90057	2017-05-05
Volla	maitennce	Europe/Rome	40.87363	14.34085	2020/11/23
Honda	maintenance	America/Bogota	5.20856	-74.73584	2021/11/27
Saint-Omer	excellent	Europe/Paris	50.75	2.25	2019-04-11
Sungurlu	excellent	Europe/Istanbul	40.1675	34.37389	12 Oct 2014
Nowra	maintenance	Australia/Sydney	-34.88422	150.60036	04/23/2022, 00:00:00
Aschaffenburg	accep	Europe/Berlin	49.97704	9.15214	27 Aug 2016
Xiangtan	excellent	Asia/Shanghai	27.85	112.9	08/17/2021, 00:00:00
Inawashiro	average	Asia/Tokyo	37.56667	140.11667	2013/04/20
Lanciano	average	Europe/Rome	42.22718	14.39024	22 Sep 2020
Elbeuf	average	Europe/Paris	49.28669	1.00288	12 Apr 2013
Azrou	excellent	Africa/Casablanca	33.43443	-5.22126	15 Jun 2013
Recife	good	America/Recife	-8.05389	-34.88111	2016/10/12
Khairpur Mir’s	excellent	Asia/Karachi	27.52948	68.75915	2022-02-23
Jiangyan	accep	Asia/Shanghai	32.50611	120.14278	05 Aug 2017
Labuhan Deli	accep	Asia/Jakarta	3.7278	98.6738	2020/01/11
Huntley	accep	America/Chicago	42.16808	-88.42814	26 Oct 2012
Yeysk	average	Europe/Moscow	46.7055	38.2739	2020-06-12
Mitry-Mory	building	Europe/Paris	48.98333	2.61667	05/27/2019, 00:00:00
Yonkers	accep	America/New_York	40.93121	-73.89875	2013/06/11
Kampung Ayer Molek	good	Asia/Kuala_Lumpur	2.2139	102.3278	08/17/2020, 00:00:00
Portogruaro	accep	Europe/Rome	45.78071	12.84052	2017/11/26
Yeysk	accep	Europe/Moscow	46.7055	38.2739	2015/11/03
Yasothon	excellent	Asia/Bangkok	15.79408	104.1451	01/18/2019, 00:00:00
Maxixe	average	Africa/Maputo	-23.85972	35.34722	01/08/2018, 00:00:00
Usagara	building	Africa/Dar_es_Salaam	-2.68333	33	2017/07/29
Bogoroditsk	average	Europe/Moscow	53.77166	38.12408	08 Feb 2020
Toledo	building	America/New_York	41.66394	-83.55521	2015/02/08
Ragusa	excellent	Europe/Rome	36.92574	14.72443	2018/09/17
Budva	good	Europe/Podgorica	42.28639	18.84	06 Dec 2019
Likhobory	average	Europe/Moscow	55.85	37.56667	2017/10/10
Poulton-le-Fylde	accep	Europe/London	53.83333	-2.98333	2022/06/11
Karlovy Vary	building	Europe/Prague	50.23271	12.87117	02 Oct 2021
West Chester	excellent	America/New_York	39.96097	-75.60804	10/03/2014, 00:00:00
Periyakulam	excellent	Asia/Kolkata	10.12268	77.54372	05 Jun 2020
Pameungpeuk	excellent	Asia/Jakarta	-7.01833	107.60389	2021/03/11
Palm Valley	building	America/New_York	30.17746	-81.38758	2014/08/30
Motomachi	building	Asia/Tokyo	43.82634	144.09638	2016/05/28
Nkpor	accep	Africa/Lagos	6.15038	6.83042	2020-07-30
T’aebaek	accep	Asia/Seoul	37.1759	128.9889	2022/05/08
Schwalmtal	excellent	Europe/Berlin	51.21667	6.26667	05/29/2017, 00:00:00
Likhobory	good	Europe/Moscow	55.85	37.56667	28 Jun 2021
Kashipur	excellent	Asia/Kolkata	29.21399	78.95693	07/02/2019, 00:00:00
Villa del Rosario	accep	America/Bogota	7.83389	-72.47417	08/14/2013, 00:00:00
Independence	excellent	America/Chicago	39.09112	-94.41551	03 Mar 2021
Sainte-Catherine	maintenance	America/Toronto	45.40008	-73.58248	14 Sep 2017
Bad Segeberg	accep	Europe/Berlin	53.94313	10.30215	10 Jul 2020
Port Huron	good	America/Detroit	42.97086	-82.42491	12 Feb 2014
Brunswick	excellent	America/New_York	43.91452	-69.96533	05/04/2015, 00:00:00
Balikpapan	excellent	Asia/Makassar	-1.26753	116.82887	03/31/2015, 00:00:00
Dawei	average	Asia/Yangon	14.0823	98.19151	03 May 2022
Efon-Alaaye	excellent	Africa/Lagos	7.65649	4.92235	27 Jul 2018
Hengshui	average	Asia/Shanghai	37.73222	115.70111	2021/04/16
Ada	accep	America/Chicago	34.77453	-96.67834	2020-02-09
Barnet	building	Europe/London	51.65	-0.2	2016/09/10
Nutley	good	America/New_York	40.82232	-74.15987	08/15/2014, 00:00:00
Gavrilov-Yam	good	Europe/Moscow	57.30185	39.85331	2020/12/29
Beidao	building	Asia/Shanghai	34.56861	105.89333	03/24/2022, 00:00:00
Roseto degli Abruzzi	good	Europe/Rome	42.67164	14.01481	09/16/2014, 00:00:00
Randudongkal	excellent	Asia/Jakarta	-7.0981	109.3243	12/01/2015, 00:00:00
Jaworzno	average	Europe/Warsaw	50.20528	19.27498	2017/05/21
Boli	good	Asia/Shanghai	45.75279	130.57211	2020-01-23
Binnish	good	Asia/Damascus	35.95664	36.7138	2022-05-23
Palmeira	accep	America/Sao_Paulo	-25.42944	-50.00639	25 May 2019
Curitiba	excellent	America/Sao_Paulo	-25.42778	-49.27306	2020/06/22
Bibiani	excellent	Africa/Accra	6.46346	-2.31938	02/07/2017, 00:00:00
Newburgh	excellent	America/New_York	41.50343	-74.01042	06/02/2015, 00:00:00
Rafaela	average	America/Argentina/Cordoba	-31.25033	-61.4867	12 Jul 2022
Marseille 11	average	Europe/Paris	43.2907	5.4384	2018/08/03
New City	average	America/Chicago	41.80753	-87.65644	09/21/2014, 00:00:00
Srinagar	good	Asia/Kolkata	34.08565	74.80555	18 Jan 2019
Aleshtar	average	Asia/Tehran	33.86419	48.26258	2020/12/28
Bisceglie	excellent	Europe/Rome	41.24264	16.50104	2019-05-09
Pekanbaru	maintenance	Asia/Jakarta	0.51667	101.44167	2016-09-24
Watsonville	building	America/Los_Angeles	36.91023	-121.75689	2017-07-14
Amreli	accep	Asia/Kolkata	21.59983	71.21169	04/21/2018, 00:00:00
Grand Forks	building	America/Chicago	47.92526	-97.03285	2013-02-18
Manikchari	excellent	Asia/Dhaka	22.83957	91.84128	2014-02-06
Maxixe	excellent	Africa/Maputo	-23.85972	35.34722	08/22/2016, 00:00:00
Tuxtla	accep	America/Mexico_City	16.75973	-93.11308	2013/05/11
Yingkou	good	Asia/Shanghai	40.66482	122.22833	10/04/2015, 00:00:00
Encinitas	excellent	America/Los_Angeles	33.03699	-117.29198	13 Sep 2013
Lancing	building	Europe/London	50.82882	-0.32247	2020-05-25
Camayenne	average	Africa/Conakry	9.535	-13.68778	2016-01-03
Beveren	average	Europe/Brussels	51.21187	4.25633	02/17/2018, 00:00:00
Altamira	good	America/Santarem	-3.20333	-52.20639	2013-10-15
Gavrilov-Yam	accep	Europe/Moscow	57.30185	39.85331	2013-01-15
Martinsburg	good	America/New_York	39.45621	-77.96389	2017/10/20
Acaponeta	excellent	America/Mazatlan	22.49396	-105.36369	2016-11-29
Valday	building	Europe/Moscow	57.97472	33.2525	2016/01/13
Carlos Barbosa	average	America/Sao_Paulo	-29.2975	-51.50361	2019/01/06
Franceville	good	Africa/Libreville	-1.63333	13.58357	2019/05/12
Woodbridge	average	America/New_York	40.5576	-74.28459	29 Dec 2017
Zhukovka	maintenance	Europe/Moscow	53.53395	33.72798	2014-12-19
Campobasso	accep	Europe/Rome	41.55947	14.66737	2014-06-13
Mount Hagen	average	Pacific/Port_Moresby	-5.85746	144.23058	03 May 2013
Kot Addu	excellent	Asia/Karachi	30.46907	70.96699	2021/04/10
Porto Velho	excellent	America/Porto_Velho	-8.76194	-63.90389	02/05/2015, 00:00:00
Grand Forks	accep	America/Chicago	47.92526	-97.03285	12/03/2017, 00:00:00
Bisceglie	excellent	Europe/Rome	41.24264	16.50104	2020/03/19
Darreh Shahr	excellent	Asia/Tehran	33.14447	47.3799	09/23/2022, 00:00:00
Tortona	good	Europe/Rome	44.89784	8.86374	01 Nov 2015
Lanciano	average	Europe/Rome	42.22718	14.39024	27 Mar 2014
Okahandja	accep	Africa/Windhoek	-21.98333	16.91667	2022/07/19
Ghat	excellent	Africa/Tripoli	24.96334	10.18003	31 Jan 2016
Glendale	average	America/Los_Angeles	34.14251	-118.25508	09/02/2020, 00:00:00
Ishim	average	Asia/Yekaterinburg	56.11281	69.49015	2015/06/02
Sainte-Catherine	good	America/Toronto	45.40008	-73.58248	16 Feb 2021
Aloha	excellent	America/Los_Angeles	45.49428	-122.86705	14 Oct 2017
Penzance	building	Europe/London	50.11861	-5.53715	08/05/2017, 00:00:00
Barracas	average	America/Argentina/Buenos_Aires	-34.64966	-58.38341	2014/01/24
Foshan	building	Asia/Shanghai	23.02677	113.13148	2018/08/15
Mechanicsville	accep	America/New_York	37.60876	-77.37331	2021/07/30
Ksar Chellala	accep	Africa/Algiers	35.21222	2.31889	25 Aug 2022
Nidderau	average	Europe/Berlin	50.23805	8.86704	2012-10-23
San Lorenzo Acopilco	building	America/Mexico_City	19.32889	-99.32556	2016-10-06
Saint-Omer	average	Europe/Paris	50.75	2.25	2018/04/01
Recodo	excellent	Asia/Manila	6.95194	121.96361	04 Nov 2016
Kobuleti	accep	Asia/Tbilisi	41.82143	41.77921	2019-10-10
Meizhou	average	Asia/Shanghai	24.28859	116.11768	2017/06/01
Kuvandyk	average	Asia/Yekaterinburg	51.4781	57.3552	2016/02/14
Otegen Batyra	excellent	Asia/Almaty	43.41949	77.0202	2015/01/31
Evergreen Park	excellent	America/Chicago	41.72059	-87.70172	02/04/2016, 00:00:00
Ilesa	maintenance	Africa/Lagos	7.62789	4.74161	2021-12-25
Lesosibirsk	excellent	Asia/Krasnoyarsk	58.23583	92.48278	2013-06-24
Progreso	average	America/Merida	21.28306	-89.66123	09/05/2021, 00:00:00
Kot Addu	accep	Asia/Karachi	30.46907	70.96699	2021-03-05
Puducherry	maintenance	Asia/Kolkata	11.93381	79.82979	2018/02/17
La Ligua	maintenance	America/Santiago	-32.45242	-71.23106	01 Mar 2018
Labuhan Deli	accep	Asia/Jakarta	3.7278	98.6738	02/26/2020, 00:00:00
Covington	excellent	America/New_York	39.08367	-84.50855	2017-03-19
Carnot	excellent	Africa/Bangui	4.94273	15.87735	2016/09/17
Alwaye	maintenance	Asia/Kolkata	10.10649	76.35484	2019/09/20
Hardenberg	accep	Europe/Amsterdam	52.57583	6.61944	2012-11-01
Argungu	accep	Africa/Lagos	12.74482	4.52514	2020-09-20
Peabody	average	America/New_York	42.52787	-70.92866	2022-09-16
Diwek	good	Asia/Jakarta	-7.57897	112.23109	28 Nov 2015
Yakuplu	average	Europe/Istanbul	40.98894	28.67582	18 Dec 2019
Karben	good	Europe/Berlin	50.23019	8.77155	2020/07/05
Kangayam	average	Asia/Kolkata	11.00599	77.5609	23 Jun 2019
Saraktash	building	Asia/Yekaterinburg	51.78771	56.36091	2019/11/06
Tinaquillo	average	America/Caracas	9.91861	-68.30472	24 Nov 2019
Sinhyeon	accep	Asia/Seoul	34.8825	128.62667	2015-12-19
Azrou	excellent	Africa/Casablanca	33.43443	-5.22126	27 Nov 2014
Belper	average	Europe/London	53.0233	-1.48119	19 Dec 2021
Bachhraon	building	Asia/Kolkata	28.92694	78.23456	2019-08-05
Aloha	average	America/Los_Angeles	45.49428	-122.86705	2019-06-15
Talisay	building	Asia/Manila	10.7375	122.9666	25 Jul 2014
Lompoc	excellent	America/Los_Angeles	34.63915	-120.45794	2022-08-14
Canton	building	America/Detroit	42.30865	-83.48216	2016-03-16
Halstenbek	good	Europe/Berlin	53.63333	9.85	04/03/2017, 00:00:00
Jaworzno	average	Europe/Warsaw	50.20528	19.27498	2017/12/02
Brenham	acceptable	America/Chicago	30.16688	-96.39774	01/11/2022, 00:00:00
Jaruco	maintenance	America/Havana	23.04419	-82.00919	2021/01/23
Shagamu	average	Africa/Lagos	6.8485	3.64633	03 Nov 2015
Pekin	average	America/Chicago	40.56754	-89.64066	2018-04-26
Sishui	good	Asia/Shanghai	35.64889	117.27583	02/27/2015, 00:00:00
Riverbank	accep	America/Los_Angeles	37.73604	-120.93549	19 Apr 2020
Boumerdas	accep	Africa/Algiers	36.76639	3.47717	2014/04/13
Paidha	accep	Africa/Kampala	2.41669	30.98551	15 May 2019
Dongfeng	average	Asia/Shanghai	42.64031	125.51176	2019-10-06
San Juan de Aznalfarache	maintenance	Europe/Madrid	37.35813	-6.03731	2013/06/07
Kalavoor	good	Asia/Kolkata	9.57046	76.32756	2014/03/06
Caldas Novas	good	America/Sao_Paulo	-17.74431	-48.62789	2013/07/14
Athlone	average	Europe/Dublin	53.43333	-7.95	07/05/2019, 00:00:00
Meerut	average	Asia/Kolkata	28.98002	77.70636	2019/02/09
Balikpapan	excellent	Asia/Makassar	-1.26753	116.82887	22 Jun 2018
Landshut	maintenance	Europe/Berlin	48.52961	12.16179	2015-05-26
Laiwu	accep	Asia/Shanghai	36.19278	117.65694	2018/02/07
Malnate	accep	Europe/Rome	45.79377	8.88104	04/25/2015, 00:00:00
Southsea	good	Europe/London	50.79205	-1.08593	2015/06/23
Malakhovka	maintenance	Europe/Moscow	55.64776	38.02486	20 Feb 2021
Izluchinsk	building	Asia/Yekaterinburg	60.97944	76.92421	2022/05/22
Ulan-Ude	building	Asia/Irkutsk	51.82721	107.60627	14 Sep 2016
Acworth	average	America/New_York	34.06635	-84.67837	2021/08/18
Landshut	average	Europe/Berlin	48.52961	12.16179	2018/01/24
Shaowu	accep	Asia/Shanghai	27.34089	117.4831	28 Apr 2018
Huntley	average	America/Chicago	42.16808	-88.42814	17 Jul 2022
Marly-le-Roi	accep	Europe/Paris	48.86667	2.08333	02 Mar 2013
Palestine	good	America/Chicago	31.76212	-95.63079	2022-02-22
Pointe-Claire	good	America/Toronto	45.44868	-73.81669	2015/08/14
Rudolstadt	good	Europe/Berlin	50.72043	11.34046	05 Mar 2015
Pingyi	average	Asia/Shanghai	35.50056	117.63083	2016-07-24
Sonzacate	accep	America/El_Salvador	13.73417	-89.71472	2015-01-01
Beidao	average	Asia/Shanghai	34.56861	105.89333	2021-04-01
Segundo Ensanche	average	Europe/Madrid	42.8139	-1.64295	03/22/2014, 00:00:00
Patti	excellent	Asia/Kolkata	31.28092	74.85849	07/19/2019, 00:00:00
Thenia	building	Africa/Algiers	36.72544	3.55665	2015-03-05
Lakota	average	Africa/Abidjan	5.84752	-5.682	18 Jun 2016
Pingyi	good	Asia/Shanghai	35.50056	117.63083	10/07/2012, 00:00:00
Gifhorn	excellent	Europe/Berlin	52.47774	10.5511	2013-03-22
Yenagoa	average	Africa/Lagos	4.92675	6.26764	2013/07/18
Massapequa	average	America/New_York	40.68066	-73.47429	02 Apr 2015
Port-Vila	building	Pacific/Efate	-17.73648	168.31366	2017/06/21
San Bernardo	average	America/Santiago	-33.59217	-70.6996	2020/03/24
Finnentrop	average	Europe/Berlin	51.168	7.973	2019/05/23
Jambi City	good	Asia/Jakarta	-1.6	103.61667	2016-04-08
Meizhou	maintenance	Asia/Shanghai	24.28859	116.11768	2018-01-02
Gavrilov-Yam	accep	Europe/Moscow	57.30185	39.85331	2020-12-15
Franceville	excellent	Africa/Libreville	-1.63333	13.58357	2020/12/06
Sa Dec	good	Asia/Ho_Chi_Minh	10.29085	105.75635	2016-10-22
Bothell West	average	America/Los_Angeles	47.80527	-122.24064	2016-09-15
Kallio	accep	Europe/Helsinki	60.18427	24.95034	03/24/2019, 00:00:00
Jinotepe	maintenance	America/Managua	11.84962	-86.19903	06/06/2021, 00:00:00
Hutto	maintenance	America/Chicago	30.5427	-97.54667	20 Oct 2016
Grand Forks	accep	America/Chicago	47.92526	-97.03285	07 Dec 2016
Lutz	good	America/New_York	28.15112	-82.46148	2021/08/18
Strood	average	Europe/London	51.39323	0.47713	01 Jul 2022
Supaul	average	Asia/Kolkata	26.11527	86.59509	2017-09-24
High Wycombe	excellent	Europe/London	51.62907	-0.74934	2015/04/05
Montecchio Maggiore-Alte Ceccato	excellent	Europe/Rome	45.50369	11.412	06 Jun 2015
Aksaray	maintenance	Europe/Istanbul	38.37255	34.02537	13 Jun 2019
Baza	good	Europe/Madrid	37.49073	-2.77259	2017-08-22
Aguadilla	accep	America/Puerto_Rico	18.42745	-67.15407	2022/06/02
Mwandiga	accep	Africa/Dar_es_Salaam	-4.83	29.65806	2016/05/31
Naushahra Virkan	good	Asia/Karachi	31.96258	73.97117	23 Jun 2020
Gavrilov-Yam	average	Europe/Moscow	57.30185	39.85331	06 Jun 2017
Bergama	building	Europe/Istanbul	39.12074	27.18052	2021-02-02
Brierley Hill	accep	Europe/London	52.48173	-2.12139	10/19/2013, 00:00:00
Hungund	accep	Asia/Kolkata	16.06213	76.0586	2018-06-13
Imbituba	building	America/Sao_Paulo	-28.24	-48.67028	2016/10/16
Pingyi	good	Asia/Shanghai	35.50056	117.63083	05/07/2016, 00:00:00
Bogovinje	good	Europe/Skopje	41.92361	20.91361	2016/04/12
Greenville	accep	America/Chicago	33.41012	-91.06177	03/07/2019, 00:00:00
Croix-des-Bouquets	good	America/Port-au-Prince	18.57677	-72.22625	2016/08/20
Wittenau	good	Europe/Berlin	52.59319	13.32127	03/06/2020, 00:00:00
Sun City Center	accep	America/New_York	27.71809	-82.35176	09/22/2013, 00:00:00
Parkent	building	Asia/Tashkent	41.29444	69.67639	12/04/2017, 00:00:00
Radevormwald	excellent	Europe/Berlin	51.20219	7.36027	2015-03-16
Somma Vesuviana	average	Europe/Rome	40.87329	14.43865	2021-02-16
Copperas Cove	excellent	America/Chicago	31.12406	-97.90308	12 Oct 2016
Cabo	good	America/Recife	-8.28333	-35.03333	09/10/2021, 00:00:00
Punta Gorda Isles	good	America/New_York	26.91756	-82.07842	06/19/2022, 00:00:00
Sa Dec	accep	Asia/Ho_Chi_Minh	10.29085	105.75635	11/30/2017, 00:00:00
Leyland	accep	Europe/London	53.69786	-2.68758	09/21/2017, 00:00:00
Port Huron	good	America/Detroit	42.97086	-82.42491	01 Aug 2015
Zeitz	excellent	Europe/Berlin	51.04962	12.1369	2018/05/28
Winsford	average	Europe/London	53.19146	-2.52398	2014/07/16
Silvan	maintenance	Europe/Istanbul	38.13708	41.00817	07/26/2014, 00:00:00
Teghra	excellent	Asia/Kolkata	25.49043	85.94001	2018-03-10
Glogovac	maintenance	Europe/Belgrade	42.62833	20.89389	25 Mar 2018
Gifhorn	accep	Europe/Berlin	52.47774	10.5511	2020/03/22
Kyaikto	excellent	Asia/Yangon	17.30858	97.01124	05 Jul 2015
Waterbury	excellent	America/New_York	41.55815	-73.0515	2022-01-03
Eppingen	good	Europe/Berlin	49.13645	8.91229	2018-03-12
Dublin	good	America/New_York	32.54044	-82.90375	04 Sep 2013
Uran	good	Asia/Kolkata	18.87813	72.93924	2019/09/20
Dipolog	accep	Asia/Manila	8.56697	123.33471	2018/01/03
Mouscron	average	Europe/Brussels	50.74497	3.20639	2016/02/07
Carnot	good	Africa/Bangui	4.94273	15.87735	2014/07/04
Kenda	excellent	Asia/Kolkata	23.1959	86.51499	06/09/2017, 00:00:00
Sirsi	average	Asia/Kolkata	14.62072	74.83554	2018/05/24
Viradouro	average	America/Sao_Paulo	-20.87306	-48.29694	2015/05/12
Carlos Barbosa	maintenance	America/Sao_Paulo	-29.2975	-51.50361	03/01/2019, 00:00:00
Mvomero	accep	Africa/Dar_es_Salaam	-6.25	38.66667	06/07/2017, 00:00:00
