QoS	revision	location	longitude	code	latitude
excellent	04 Sep 2022	Europe/Istanbul	42.85693	TR	39.22493
accep	08/04/2022, 00:00:00	America/Lima	-69.08333	PE	-16.25
maitennce	12 Jul 2022	America/Los_Angeles	-116.21677	US	33.7207
excellent	28 Jun 2018	America/Recife	-35.03333	BR	-8.28333
excellent	10 Feb 2022	Europe/Berlin	6.8625	DE	51.47805
building	02/25/2015, 00:00:00	Asia/Manila	121.3152	PH	14.14989
maintenance	03/06/2018, 00:00:00	America/Chicago	-97.90308	US	31.12406
average	01/24/2020, 00:00:00	Asia/Kolkata	75.92694	IN	14.46693
accep	2013/03/06	Australia/Brisbane	153.10236	AU	-27.50578
good	04/07/2016, 00:00:00	Asia/Kolkata	71.57737	IN	21.53889
good	06 Oct 2021	Asia/Kolkata	77.40858	IN	24.05979
average	13 Nov 2021	Asia/Shanghai	109.22921	CN	34.65918
excellent	21 Apr 2020	Asia/Manila	123.99333	PH	12.97389
good	2014-04-13	Europe/Oslo	16.54165	NO	68.79833
average	21 Dec 2018	Europe/Berlin	13.32127	DE	52.59319
building	2019/03/14	Africa/Abidjan	-3.59625	CI	5.27247
excellent	07 Oct 2013	Europe/Zurich	6.10237	CH	46.18396
accep	02/12/2016, 00:00:00	America/Chicago	-91.06177	US	33.41012
building	23 Oct 2021	Africa/Bamako	-8.07257	ML	12.74409
average	20 Apr 2013	America/Maceio	-37.65	BR	-10.91722
good	2012/12/23	Europe/Berlin	8.4493	DE	50.09019
building	01/07/2013, 00:00:00	America/Los_Angeles	-122.24064	US	47.80527
excellent	07/05/2021, 00:00:00	Europe/London	-0.32247	GB	50.82882
good	08/13/2021, 00:00:00	Asia/Shanghai	120.74221	CN	31.64615
excellent	2014-01-05	America/Bogota	-75.87877	CO	5.6561
building	2014/12/08	Europe/Berlin	9.17702	DE	48.78232
good	2012-09-29	Europe/Berlin	9.5586	DE	54.52156
excellent	2016/08/16	Asia/Karachi	70.96699	PK	30.46907
maintenance	2017-02-12	America/Los_Angeles	-118.25508	US	34.14251
accep	19 Nov 2013	Asia/Kolkata	88.1453	IN	22.4711
average	2021-08-04	America/Jamaica	-76.78319	JM	18.00747
excellent	2021-05-28	America/El_Salvador	-89.10944	SV	13.70167
accep	25 Jun 2019	Asia/Kolkata	79.5286	IN	29.22254
excellent	2016-03-13	Asia/Manila	121.06761	PH	12.35275
good	2018/04/08	Europe/Paris	5.03586	FR	43.83125
accep	11 Dec 2014	Asia/Manila	120.97844	PH	14.8361
average	2022-04-10	Asia/Kolkata	75.37991	IN	25.75728
building	09/24/2016, 00:00:00	America/Fortaleza	-40.7475	BR	-4.16694
good	2019/10/19	Asia/Tokyo	135.31667	JP	34.25
maintenance	01/02/2022, 00:00:00	Asia/Phnom_Penh	102.56365	KH	13.65805
accep	03/10/2018, 00:00:00	America/Menominee	-88.64235	US	46.09273
average	2016/03/08	Europe/Berlin	9.72749	DE	48.28259
accep	06/30/2015, 00:00:00	Africa/Dar_es_Salaam	38.01667	TZ	-5.41667
accep	11/24/2020, 00:00:00	Asia/Jakarta	104.09701	ID	-1.26424
excellent	07 Jun 2020	Europe/Moscow	46.5813	RU	54.8421
accep	11/25/2021, 00:00:00	America/Guayaquil	-79.00453	EC	-2.90055
excellent	2019/02/10	Asia/Shanghai	115.70111	CN	37.73222
accep	2015-11-18	Europe/Helsinki	24.14662	FI	65.84811
average	14 Jan 2018	Asia/Jerusalem	34.8732	IL	32.05971
good	08/03/2020, 00:00:00	Asia/Jakarta	112.01667	ID	-7.81667
accep	28 May 2015	Africa/Lagos	8.2926	NG	9.58126
excellent	10/11/2020, 00:00:00	Europe/Amsterdam	7.00417	NL	52.26083
accep	2015/09/08	Asia/Yangon	97.01124	MM	17.30858
good	29 Mar 2020	Europe/Rome	12.84052	IT	45.78071
building	02/08/2017, 00:00:00	Asia/Tokyo	138.31667	JP	36.65
good	12 Mar 2021	Africa/Maputo	35.34722	MZ	-23.85972
excellent	25 Oct 2020	Europe/Rome	14.43865	IT	40.87329
excellent	30 Dec 2020	Europe/Moscow	40.17171	RU	58.1908
accep	17 Feb 2015	America/Los_Angeles	-117.71978	US	34.09668
average	2019-02-16	Asia/Seoul	128.62667	KR	34.8825
average	2019-02-21	America/New_York	-73.0515	US	41.55815
accep	2022-09-02	Indian/Antananarivo	47.31667	MG	-19.65
maintenance	2017/02/27	Europe/Berlin	11.34046	DE	50.72043
building	2019/10/06	Asia/Makassar	118.9707	ID	-3.5403
excellent	11 Jun 2015	Asia/Tokyo	137.4	JP	34.81667
average	06/21/2015, 00:00:00	America/Indiana/Indianapolis	-86.11084	US	41.75338
good	17 Nov 2016	America/Phoenix	-111.89903	US	33.50921
good	2014-08-29	Asia/Jakarta	101.44167	ID	0.51667
accep	2017/11/03	Europe/Warsaw	16.86194	PL	54.58048
average	01 Apr 2016	America/Managua	-86.19903	NI	11.84962
good	2017-10-22	Asia/Krasnoyarsk	89.20083	RU	55.54028
maintenance	10/03/2021, 00:00:00	Europe/Berlin	8.77155	DE	50.23019
maintenance	2017/12/29	Europe/London	-1.48119	GB	53.0233
accep	02/10/2020, 00:00:00	Africa/Johannesburg	30.79165	ZA	-27.76952
excellent	01/10/2013, 00:00:00	Europe/Madrid	-4.83076	ES	39.96348
good	19 May 2014	America/Bogota	-72.47417	CO	7.83389
accep	2016-12-06	Europe/Istanbul	42.85693	TR	39.22493
accep	09/21/2013, 00:00:00	Asia/Kolkata	88.1453	IN	22.4711
maintenance	09/15/2022, 00:00:00	America/New_York	-78.19444	US	38.91817
accep	2021-02-25	America/New_York	-73.89875	US	40.93121
good	2016-08-28	Asia/Shanghai	122.20488	CN	29.98869
accep	11 Jan 2017	Asia/Bangkok	103.65309	TH	16.0567
accep	2017-03-28	Asia/Kolkata	74.4818	IN	30.21121
average	04/13/2019, 00:00:00	America/Chicago	-91.58045	US	41.6764
average	2014/01/13	Europe/Samara	51.3452	RU	53.37596
excellent	02 Aug 2013	America/Santiago	-73.02841	CL	-36.9256
excellent	2014-07-16	Europe/Belgrade	22.53083	RS	44.22639
accep	2016-12-04	Asia/Bangkok	100.04427	TH	13.8196
accep	10 Jul 2017	Asia/Shanghai	122.20488	CN	29.98869
good	22 Jul 2017	Asia/Samarkand	67.84222	UZ	40.11583
accep	2013-08-27	America/New_York	-82.35176	US	27.71809
accep	2014-10-23	Asia/Tokyo	144.09638	JP	43.82634
average	01/23/2018, 00:00:00	Europe/Moscow	37.99117	RU	44.92934
accep	2021-09-11	Asia/Tokyo	137.23333	JP	35.8
excellent	2017/11/06	America/Chicago	-96.67834	US	34.77453
accep	2013/02/18	America/Los_Angeles	-122.24064	US	47.80527
excellent	01/25/2017, 00:00:00	Africa/Lubumbashi	24.43973	CD	0.76755
good	2020/01/18	Asia/Jakarta	110.71639	ID	-7.54972
good	06/14/2016, 00:00:00	Asia/Jerusalem	34.75699	IL	31.39547
accep	05 Feb 2015	Europe/Berlin	8.64409	DE	48.07667
excellent	08/15/2022, 00:00:00	Asia/Jakarta	104.09701	ID	-1.26424
accep	2013-11-15	Asia/Manila	120.4861	PH	16.0438
accep	2016-04-08	America/Chicago	-96.39774	US	30.16688
good	2017-08-19	Asia/Jerusalem	34.8732	IL	32.05971
accep	2021/09/05	Europe/Skopje	20.91361	MK	41.92361
good	02/28/2016, 00:00:00	Europe/Berlin	8.4493	DE	50.09019
excellent	05/25/2015, 00:00:00	Europe/Kiev	33.9162	UA	51.67822
excellent	2015-04-09	Asia/Samarkand	67.84222	UZ	40.11583
average	05/23/2021, 00:00:00	America/Detroit	-83.48216	US	42.30865
excellent	2021-08-26	Australia/Sydney	151.08057	AU	-33.79176
accep	2022-03-02	Asia/Karachi	75.06583	PK	32.17629
accep	2021/01/19	Europe/Moscow	46.10925	RU	43.35071
accep	14 Jun 2019	America/New_York	-74.07764	US	40.72816
maintenance	10/06/2016, 00:00:00	Asia/Shanghai	117.81667	CN	36.81667
accep	31 Oct 2012	Australia/Melbourne	145.13643	AU	-38.16604
good	09/19/2013, 00:00:00	America/Los_Angeles	-122.40433	US	37.71715
average	2021/05/14	Europe/Kiev	25.34244	UA	50.75932
maintenance	03/08/2016, 00:00:00	America/Halifax	-63.13414	CA	46.23899
excellent	10 Dec 2017	Asia/Jakarta	104.09701	ID	-1.26424
accep	12/28/2020, 00:00:00	America/Sao_Paulo	-48.62789	BR	-17.74431
good	12 Feb 2021	Europe/Amsterdam	5.74861	NL	52.71083
excellent	2014-06-15	America/Los_Angeles	-116.37697	US	33.72255
average	06/05/2013, 00:00:00	Europe/Bratislava	17.8031	SK	48.43174
maintenance	06/11/2020, 00:00:00	America/El_Salvador	-89.71472	SV	13.73417
excellent	2014-11-03	Asia/Yekaterinburg	56.36091	RU	51.78771
average	2018/02/14	Europe/London	-3.05814	GB	53.00974
accep	2013/05/07	America/New_York	-70.92866	US	42.52787
building	02/20/2022, 00:00:00	America/Edmonton	-113.3187	CA	53.51684
average	2018/06/22	Europe/Istanbul	40.74357	TR	37.31309
excellent	09/04/2017, 00:00:00	Europe/Madrid	-8.2194	ES	43.48961
excellent	2019-01-17	Europe/Rome	14.01481	IT	42.67164
average	2016/07/12	Indian/Antananarivo	48.41667	MG	-17.83333
accep	2014-01-14	Asia/Manila	123.99333	PH	12.97389
accep	2013/04/09	America/Bogota	-74.95472	CO	10.98778
good	02/04/2016, 00:00:00	Asia/Karachi	70.96699	PK	30.46907
excellent	07 Nov 2014	Africa/Dar_es_Salaam	37.00438	TZ	-7.60361
accep	2012-12-12	Asia/Kolkata	74.3092	IN	33.37526
good	2019/03/29	America/Sao_Paulo	-41.88778	BR	-21.205
building	2013-04-16	Europe/Amsterdam	5.74861	NL	52.71083
accep	24 Jan 2016	Africa/Lagos	9.0027	NG	11.86064
accep	2016/10/12	America/New_York	-82.61573	US	41.24255
accep	05 Oct 2013	Australia/Perth	115.8614	AU	-31.95224
maintenance	2022-03-19	Africa/Dar_es_Salaam	38.66667	TZ	-6.25
excellent	30 Nov 2017	Africa/Dar_es_Salaam	35.7	TZ	-7.76667
accep	2013-10-09	America/Mexico_City	-94.91386	MX	17.94979
maintenance	2015-04-14	Asia/Irkutsk	107.60627	RU	51.82721
building	06/27/2014, 00:00:00	Asia/Kolkata	75.37991	IN	25.75728
average	2019-12-07	America/Port_of_Spain	-61.51889	TT	10.66668
average	2014/06/14	Africa/Conakry	-13.68778	GN	9.535
accep	24 Apr 2015	Europe/Chisinau	28.28489	MD	48.15659
building	08/01/2016, 00:00:00	America/Chicago	-102.36764	US	31.84568
good	2018-05-04	America/New_York	-72.97261	US	43.61062
excellent	14 Oct 2012	America/Chicago	-89.99038	US	38.58894
good	01 Aug 2017	Europe/Rome	14.01481	IT	42.67164
accep	2017-11-23	Europe/Berlin	9.5586	DE	54.52156
average	20 Apr 2013	Asia/Bangkok	99.89166	TH	15.46063
excellent	04/05/2017, 00:00:00	Asia/Shanghai	117.63083	CN	35.50056
average	2013/02/21	Asia/Shanghai	117.81667	CN	36.81667
accep	12/05/2015, 00:00:00	Asia/Krasnoyarsk	92.48278	RU	58.23583
good	07/21/2013, 00:00:00	Europe/Berlin	9.47629	DE	53.59337
excellent	07/26/2016, 00:00:00	Europe/Kiev	30.96755	UA	49.07866
excellent	03 Aug 2019	America/Denver	-111.99633	US	40.65995
excellent	2021/08/09	America/La_Paz	-65.71875	BO	-21.44345
average	2018-03-19	Asia/Kolkata	84.13864	IN	22.88783
average	2017/02/15	Europe/Paris	3.87723	FR	43.61092
good	10/13/2017, 00:00:00	Europe/Sofia	27.25	BG	42.7
average	2018-08-26	America/Porto_Velho	-63.90389	BR	-8.76194
average	2020/04/01	Europe/Berlin	10.18527	DE	47.98372
average	2022/03/18	Asia/Tehran	47.3799	IR	33.14447
good	2019/01/15	Asia/Shanghai	122.05228	CN	37.19723
average	07 Mar 2017	Asia/Kolkata	72.68533	IN	22.75218
excellent	2020-12-04	America/Sao_Paulo	-50.19556	BR	-19.72806
accep	01/28/2020, 00:00:00	America/Bogota	-73.26022	CO	6.46838
accep	2018-04-07	Africa/Maputo	35.34722	MZ	-23.85972
average	04/02/2014, 00:00:00	Africa/Kampala	30.91105	UG	3.02013
average	05/22/2021, 00:00:00	Europe/Amsterdam	5.23333	NL	52.09
good	09/27/2016, 00:00:00	America/Los_Angeles	-117.71978	US	34.09668
excellent	09/24/2013, 00:00:00	Asia/Kolkata	83.36889	IN	26.76628
good	2013/12/16	America/Bogota	-74.95472	CO	10.98778
excellent	2022-08-07	Europe/Istanbul	34.37389	TR	40.1675
accep	2018-01-22	Asia/Makassar	117.59152	ID	3.31332
average	2019/06/03	Africa/Dar_es_Salaam	35.7	TZ	-7.76667
good	11/22/2014, 00:00:00	Europe/Madrid	-8.2194	ES	43.48961
accep	2022/05/22	Asia/Manila	121.96361	PH	6.95194
accep	2018/10/29	Africa/Algiers	1.04945	DZ	35.06544
accep	2021/04/07	Europe/Belgrade	20.89389	XK	42.62833
good	2020/02/24	America/Los_Angeles	-120.45794	US	34.63915
good	02 Dec 2018	America/Costa_Rica	-85.43772	CR	10.63504
excellent	01/13/2013, 00:00:00	Europe/Sofia	27.25	BG	42.7
average	2017-08-01	Europe/Saratov	46.04833	RU	51.40944
building	11 Dec 2021	Asia/Ho_Chi_Minh	105.75635	VN	10.29085
maintenance	11/19/2018, 00:00:00	Europe/Volgograd	43.2379	RU	50.06
excellent	01/06/2022, 00:00:00	America/Chicago	-88.81395	US	35.61452
excellent	03/18/2018, 00:00:00	America/Havana	-82.4017	CU	23.0072
excellent	20 Dec 2012	America/New_York	-78.04471	US	34.25628
good	2021/03/02	America/New_York	-73.95958	US	40.57788
accep	04 Aug 2015	America/Los_Angeles	-122.86705	US	45.49428
excellent	05 Feb 2019	Europe/Paris	5.4384	FR	43.2907
average	04 Aug 2020	Asia/Manila	124.3697	PH	9.6531
good	2022/07/08	Europe/Rome	12.84052	IT	45.78071
acceptable	30 Sep 2015	Asia/Kolkata	86.59611	IN	25.87498
accep	2014/02/06	Asia/Yekaterinburg	60.8019	RU	56.9083
excellent	14 Oct 2018	Africa/Accra	-1.4001	GH	7.06273
building	19 Sep 2018	Europe/Rome	8.55552	IT	40.72586
good	2020/12/29	America/New_York	-81.23621	US	33.98154
maintenance	2017-11-26	Europe/Moscow	36.73307	RU	55.38752
accep	2021-01-21	America/Chicago	-93.71133	US	41.57721
excellent	2021-02-16	America/Denver	-111.99633	US	40.65995
excellent	2018-08-26	Asia/Shanghai	117.63083	CN	35.50056
excellent	2014-12-25	America/Recife	-34.88111	BR	-8.05389
average	01 Jun 2013	America/New_York	-73.75513	US	40.60538
accep	2020-01-31	Asia/Barnaul	83.62389	RU	53.30972
excellent	2019-11-23	Australia/Sydney	151.08057	AU	-33.79176
excellent	2019/09/26	Asia/Yerevan	44.7662	AM	40.49748
maintenance	2020/06/12	Asia/Kolkata	77.54372	IN	10.12268
excellent	12/27/2018, 00:00:00	Europe/Berlin	9.5586	DE	54.52156
average	2018/09/12	Europe/Berlin	7.973	DE	51.168
average	04 May 2015	America/Vancouver	-119.48568	CA	49.88307
excellent	2020/09/28	Europe/Madrid	-2.77259	ES	37.49073
maintenance	20 Nov 2018	America/New_York	-74.13653	US	40.63316
average	2016/12/14	America/Caracas	-70.20749	VE	8.62261
excellent	2015/12/01	Africa/Casablanca	-6.00137	MA	33.42585
excellent	09 Dec 2015	Europe/Moscow	34.33825	RU	53.59782
accep	2016/10/10	Europe/Brussels	4.21372	BE	51.12794
excellent	15 Oct 2019	America/Sao_Paulo	-41.25528	BR	-19.32556
accep	01/04/2020, 00:00:00	Australia/Perth	115.8614	AU	-31.95224
average	2013-07-26	America/Los_Angeles	-119.01677	US	36.06523
average	2020/11/15	Europe/Kiev	30.96755	UA	49.07866
good	02/15/2021, 00:00:00	America/New_York	-71.08977	US	41.9001
good	29 Jan 2016	America/Chicago	-94.74049	US	32.5007
good	2020-10-28	Europe/London	-1.32471	GB	51.40148
accep	03/18/2016, 00:00:00	Asia/Yekaterinburg	60.8019	RU	56.9083
excellent	04/07/2015, 00:00:00	Europe/Berlin	11.18709	DE	48.73218
average	01 Oct 2019	Europe/Skopje	21.32778	MK	42
average	06/14/2014, 00:00:00	Europe/Brussels	4.82313	BE	51.24197
good	2018-07-01	Asia/Manila	120.56528	PH	14.66
building	2016-09-09	America/Jamaica	-76.78319	JM	18.00747
maintenance	2015-04-23	Asia/Tokyo	141.95	JP	39.46667
maintenance	15 Oct 2020	America/New_York	-73.47429	US	40.68066
accep	2019/06/11	Europe/Berlin	13.10984	DE	51.30001
average	12 Aug 2020	Asia/Shanghai	117.27583	CN	35.64889
average	2021-05-14	Europe/Paris	4.7934	FR	45.69558
maintenance	2019-05-06	Europe/Madrid	-5.55835	ES	42.64685
building	08 Feb 2022	Asia/Jakarta	112.01667	ID	-7.81667
average	05/28/2015, 00:00:00	Europe/Madrid	-2.98884	ES	43.32686
good	11/24/2016, 00:00:00	Europe/Helsinki	24.14662	FI	65.84811
accep	24 Jul 2013	America/Lima	-69.08333	PE	-16.25
excellent	2019/10/14	Asia/Urumqi	86.00214	CN	46.51872
average	10 Jul 2019	America/Chicago	-88.27205	US	44.27804
maintenance	11/27/2019, 00:00:00	Europe/Rome	14.72443	IT	36.92574
accep	2019/05/18	Asia/Manila	122.9666	PH	10.7375
building	2015/02/07	Europe/Rome	14.72443	IT	36.92574
excellent	2018-06-04	Europe/Belgrade	22.53083	RS	44.22639
excellent	09/15/2016, 00:00:00	Australia/Sydney	151.07986	AU	-33.88096
accep	2018-06-21	America/Lima	-69.08333	PE	-16.25
maintenance	2021-06-05	Asia/Seoul	128.62667	KR	34.8825
excellent	15 Jun 2019	America/Chicago	-91.58045	US	41.6764
building	01 Jul 2013	Europe/Helsinki	24.95034	FI	60.18427
excellent	11/16/2016, 00:00:00	Europe/Rome	13.57661	IT	37.31065
good	2016/04/06	America/Denver	-105.11221	US	39.57582
maintenance	31 Dec 2013	America/La_Paz	-65.71875	BO	-21.44345
average	22 Feb 2022	America/New_York	-80.08199	US	35.88264
excellent	10 Jan 2013	America/Chicago	-102.36764	US	31.84568
excellent	20 Mar 2020	Europe/Berlin	12.16179	DE	48.52961
accep	2022/08/26	Europe/Amsterdam	5.58472	NL	52.14
excellent	16 Jun 2013	Europe/Berlin	9.02596	DE	48.21644
average	2019-08-13	Africa/Algiers	1.04945	DZ	35.06544
accep	20 May 2013	Australia/Brisbane	153.10236	AU	-27.50578
average	2020/11/15	Europe/Paris	2.45012	FR	48.90982
maintenance	28 May 2018	Europe/Istanbul	34.02537	TR	38.37255
excellent	26 Apr 2020	America/Bogota	-73.9614	CO	10.15031
building	07 Mar 2022	Europe/Berlin	10.5511	DE	52.47774
excellent	2018/06/18	Europe/Berlin	7.2278	DE	50.64336
average	12 Oct 2015	Africa/Djibouti	42.7125	DJ	11.15583
accep	21 Nov 2015	America/Havana	-82.4017	CU	23.0072
accep	2015/06/07	Europe/London	1.15597	GB	51.78967
maintenance	2015/02/10	Asia/Karachi	71.52847	PK	32.57756
accep	2013/02/15	Europe/Podgorica	18.84	ME	42.28639
excellent	2016-02-24	Europe/London	-0.36053	GB	51.64316
good	2019/07/08	Asia/Tokyo	139.07204	JP	36.24624
accep	2017/02/16	America/Chicago	-93.12577	US	44.73941
good	17 Apr 2014	Europe/Berlin	13.10984	DE	51.30001
good	29 Oct 2019	Europe/Paris	2.61667	FR	48.98333
building	2021-05-16	Asia/Dili	125.21972	TL	-8.99167
accep	2017-09-21	America/New_York	-73.89875	US	40.93121
excellent	18 Feb 2022	Asia/Kolkata	75.16878	IN	30.81383
excellent	2018-03-12	America/Sao_Paulo	-42.19667	BR	-21.41222
excellent	2020-08-04	Africa/Algiers	2.95924	DZ	36.76775
good	06 May 2021	Asia/Kolkata	79.5286	IN	29.22254
maintenance	2017/06/30	America/Mexico_City	-100.88023	MX	20.21322
building	02/02/2020, 00:00:00	Asia/Urumqi	86.00214	CN	46.51872
good	2021/09/17	Africa/Dar_es_Salaam	29.65806	TZ	-4.83
accep	03/27/2021, 00:00:00	Africa/Kampala	30.91105	UG	3.02013
excellent	01 May 2018	Asia/Manila	122.9666	PH	10.7375
good	07/26/2014, 00:00:00	Africa/Algiers	3.47717	DZ	36.76639
maintenance	03/04/2021, 00:00:00	Asia/Kolkata	72.68533	IN	22.75218
building	07/23/2013, 00:00:00	America/Los_Angeles	-122.24064	US	47.80527
excellent	02/17/2018, 00:00:00	Europe/Moscow	38.94324	RU	44.98901
good	22 Sep 2018	Europe/Rome	12.38878	IT	43.1122
maintenance	2018-06-24	Europe/Vienna	16.4	AT	48.25
maintenance	2022-08-19	Africa/Kigali	30.4347	RW	-1.9487
average	2018/04/07	Europe/Andorra	1.53414	AD	42.50729
accep	11/22/2019, 00:00:00	America/Recife	-35.03333	BR	-8.28333
excellent	2017/01/24	Europe/Berlin	9.72749	DE	48.28259
good	11 Jan 2022	America/Chicago	-91.06177	US	33.41012
accep	2017/11/19	Asia/Kolkata	83.97573	IN	21.46527
good	27 May 2017	Africa/Dar_es_Salaam	38.01667	TZ	-5.41667
average	22 Nov 2016	Asia/Jakarta	104.09701	ID	-1.26424
excellent	19 Jul 2017	Europe/Istanbul	34.37389	TR	40.1675
maintenance	2013/12/27	Asia/Karachi	73.38333	PK	31.71667
excellent	10 Nov 2017	Asia/Phnom_Penh	102.56365	KH	13.65805
excellent	2021/05/02	Europe/Belgrade	22.53083	RS	44.22639
maintenance	2019-04-14	America/Chicago	-102.36764	US	31.84568
accep	05 Jun 2014	Africa/Johannesburg	29.00974	ZA	-24.19436
building	2012-11-18	Africa/Johannesburg	29.24152	ZA	-26.93366
average	03/05/2018, 00:00:00	Europe/Bucharest	26.01649	RO	44.43579
average	2013-09-13	Africa/Accra	-1.4001	GH	7.06273
acceptable	2019/09/17	Europe/London	-0.36053	GB	51.64316
accep	2017/07/19	Asia/Taipei	119.58627	TW	23.5654
good	09 Jul 2021	Europe/Moscow	40.17171	RU	58.1908
acceptable	03/03/2021, 00:00:00	America/New_York	-83.55521	US	41.66394
maintenance	17 Nov 2014	America/New_York	-73.75513	US	40.60538
average	2021/04/16	America/Maceio	-37.07167	BR	-10.91111
excellent	05 Jun 2016	Australia/Perth	115.8614	AU	-31.95224
average	22 Feb 2015	Europe/Warsaw	16.86194	PL	54.58048
good	03/07/2013, 00:00:00	Europe/Brussels	4.21372	BE	51.12794
maintenance	2019/09/20	America/Detroit	-83.48216	US	42.30865
maintenance	2018-07-08	Europe/London	-1.47217	GB	53.46506
good	02/03/2019, 00:00:00	America/Chicago	-87.882	US	41.85059
building	06 Jul 2016	Asia/Kolkata	76.0586	IN	16.06213
good	2013/09/24	Australia/Perth	115.8614	AU	-31.95224
maintenance	17 Oct 2019	Africa/Niamey	9.15013	NE	13.70727
maintenance	2018/03/07	Africa/Casablanca	-2.16	MA	34.31
good	2014-11-20	Africa/Algiers	4.85668	DZ	36.27462
maintenance	2022-08-11	America/Chicago	-93.12577	US	44.73941
maintenance	07/27/2022, 00:00:00	Europe/Berlin	8.63333	DE	52.2
maitennce	27 May 2013	Europe/Stockholm	17.10558	SE	61.72744
excellent	2017/01/12	Europe/Sofia	27.25	BG	42.7
average	2013-06-14	Asia/Shanghai	117.65694	CN	36.19278
maintenance	2016/08/12	Africa/Monrovia	-8.53778	LR	7.57944
average	03/14/2022, 00:00:00	America/Chicago	-102.36764	US	31.84568
maintenance	26 Dec 2019	America/Caracas	-68.30472	VE	9.91861
excellent	02/19/2016, 00:00:00	America/Merida	-89.66123	MX	21.28306
excellent	2013-08-14	Europe/Kiev	25.34244	UA	50.75932
excellent	2020/10/20	America/Sao_Paulo	-42.19667	BR	-21.41222
good	27 Jan 2015	Europe/Istanbul	34.02537	TR	38.37255
excellent	03/27/2021, 00:00:00	America/Los_Angeles	-121.75689	US	36.91023
average	11/13/2014, 00:00:00	America/Sao_Paulo	-47.53028	BR	-22.45667
good	18 Feb 2014	Europe/Rome	8.88104	IT	45.79377
accep	05/23/2018, 00:00:00	America/Bogota	-74.95472	CO	10.98778
good	2017-09-01	Asia/Manila	124.84472	PH	10.13361
good	07 Nov 2018	Asia/Dhaka	89.11943	BD	23.9028
excellent	2013/08/07	Europe/Madrid	-4.10734	ES	38.68712
good	01/13/2018, 00:00:00	America/Chicago	-91.77127	US	37.95143
average	22 Apr 2017	Asia/Karachi	71.57118	PK	32.87533
good	14 Jun 2017	Europe/Malta	14.51472	MT	35.89972
maintenance	2022-07-29	Asia/Jakarta	113.69785	ID	-7.73379
good	30 May 2017	Asia/Shanghai	114.51667	CN	33.78333
good	2020/03/25	Europe/Madrid	-1.60452	ES	42.06166
maintenance	2018-01-06	America/Chicago	-98.15529	US	26.18924
maintenance	24 Jan 2020	Europe/Saratov	46.04833	RU	51.40944
excellent	15 Jul 2021	Asia/Baghdad	44.02488	IQ	32.61603
building	02/02/2018, 00:00:00	America/Maceio	-37.07167	BR	-10.91111
accep	2017/04/13	America/Argentina/Buenos_Aires	-59.13316	AR	-37.32167
good	31 Dec 2017	Europe/Lisbon	-8.33147	PT	41.20485
maintenance	17 May 2013	Africa/Lagos	6.26764	NG	4.92675
excellent	2021-10-14	Europe/Zaporozhye	38.15035	UA	49.41029
building	30 Apr 2014	Asia/Bangkok	102.42587	TH	15.58552
excellent	12 Apr 2018	Africa/Algiers	3.47717	DZ	36.76639
good	21 May 2013	Australia/Sydney	150.99292	AU	-33.75881
maintenance	11/15/2015, 00:00:00	Europe/Moscow	37.99117	RU	44.92934
average	2021/03/10	Europe/Sofia	23.225	BG	43.4125
good	17 Mar 2017	Europe/Vienna	16.4	AT	48.25
good	10/19/2014, 00:00:00	Asia/Seoul	127.08472	KR	36.20389
accep	2017/12/27	Europe/London	-1.99421	GB	51.35084
accep	15 May 2017	Europe/Berlin	7.36027	DE	51.20219
building	09 Dec 2016	Asia/Bangkok	99.96667	TH	8.43333
accep	17 May 2015	America/Chicago	-95.30106	US	32.35126
building	08/15/2015, 00:00:00	Asia/Seoul	128.63083	KR	36.82167
excellent	10/08/2017, 00:00:00	America/Mexico_City	-103.42897	MX	20.28527
average	01/07/2013, 00:00:00	Europe/Andorra	1.53414	AD	42.50729
building	2016-04-07	Europe/Vilnius	24.75	LT	55.25
average	20 Nov 2014	Africa/Algiers	3.50309	DZ	34.15429
average	2022/04/27	Asia/Kolkata	85.83636	IN	25.66795
average	12 Jun 2018	Europe/Paris	2.12213	FR	48.8222
average	2016-08-06	America/New_York	-81.77285	US	28.54944
good	2016-07-03	Asia/Tashkent	69.67639	UZ	41.29444
maintenance	26 Jun 2013	Africa/Abidjan	-5.682	CI	5.84752
accep	2016/10/26	America/New_York	-81.77285	US	28.54944
accep	19 Feb 2021	America/New_York	-70.92866	US	42.52787
good	2020-01-22	Europe/Berlin	6.74549	DE	49.5099
good	2016/01/02	Asia/Kolkata	91.00632	IN	26.32293
average	12/15/2019, 00:00:00	America/Sao_Paulo	-48.29694	BR	-20.87306
good	2013-07-09	Europe/Berlin	9.15214	DE	49.97704
maintenance	03 Aug 2021	Europe/London	-3.05	GB	53.81667
good	06/08/2016, 00:00:00	America/New_York	-82.61573	US	41.24255
accep	2019/07/05	America/Toronto	-73.58248	CA	45.40008
good	2015/06/24	America/Sao_Paulo	-48.67028	BR	-28.24
average	11 Nov 2018	Asia/Baghdad	44.02488	IQ	32.61603
good	2020-02-10	America/Toronto	-80.38297	CA	42.8334
average	05/08/2018, 00:00:00	Europe/London	0.93333	GB	52.68333
good	2014/02/24	Asia/Yekaterinburg	69.49015	RU	56.11281
accep	2014-08-16	Europe/Sofia	23.225	BG	43.4125
accep	2018/09/26	Asia/Kolkata	77.40858	IN	24.05979
maintenance	18 Nov 2016	America/Sao_Paulo	-51.50361	BR	-29.2975
