QoS	location	latitude	code	longitude	revision
good	Asia/Shanghai	34.85	CN	117.33333	2019/01/20
good	Africa/Johannesburg	-26.93366	ZA	29.24152	2018/12/10
good	Asia/Jakarta	-1.26424	ID	104.09701	2019/12/08
average	Asia/Tokyo	35.06667	JP	135.21667	2020/04/30
excellent	America/New_York	41.14676	US	-73.49484	2015-12-01
average	Asia/Jakarta	-7.0981	ID	109.3243	07 Apr 2016
maintenance	Asia/Aqtobe	47.83333	KZ	59.6	05/13/2014, 00:00:00
excellent	America/Chicago	44.27804	US	-88.27205	04 Dec 2020
accep	Asia/Seoul	34.8825	KR	128.62667	2020/01/02
excellent	Europe/Rome	44.31771	IT	9.32241	07/21/2019, 00:00:00
average	Europe/London	51.78967	GB	1.15597	03 Nov 2017
average	Europe/Dublin	53.43333	IE	-7.95	2020-12-21
good	Africa/Dar_es_Salaam	-5.41667	TZ	38.01667	2013/10/04
good	Asia/Makassar	-1.26753	ID	116.82887	2017-08-30
good	Africa/Lagos	6.8485	NG	3.64633	10/02/2017, 00:00:00
good	Europe/Berlin	48.35149	DE	8.96317	18 Mar 2014
accep	America/Sao_Paulo	-19.32556	BR	-41.25528	01 Oct 2019
building	Africa/Mogadishu	-0.35817	SO	42.54536	28 Jun 2018
excellent	America/Chicago	38.58894	US	-89.99038	2020/02/27
good	America/Chicago	33.44872	US	-86.78777	05/02/2015, 00:00:00
building	Europe/Moscow	53.53041	RU	43.67663	06/10/2016, 00:00:00
average	America/Los_Angeles	47.64995	US	-117.23991	19 Jul 2020
average	Asia/Kabul	36.21544	AF	65.93249	2017/08/29
excellent	Europe/Berlin	52.21099	DE	7.02238	2019-07-01
good	America/Santiago	-33.59217	CL	-70.6996	02/14/2016, 00:00:00
building	Asia/Manila	14.14989	PH	121.3152	10/30/2020, 00:00:00
excellent	Asia/Karachi	31.82539	PK	72.54064	2015/07/25
good	Asia/Jerusalem	32.05971	IL	34.8732	2022-05-13
accep	Asia/Karachi	26.9423	PK	68.11759	2022/06/06
building	Europe/London	51.38673	GB	0.30367	2015/07/24
average	Asia/Irkutsk	51.82721	RU	107.60627	12/13/2015, 00:00:00
average	Europe/Rome	40.87363	IT	14.34085	2020-11-05
accep	America/Santarem	-3.20333	BR	-52.20639	2018/05/27
excellent	Europe/Paris	45.51667	FR	4.86667	06 Oct 2017
good	America/Jamaica	18.00747	JM	-76.78319	02 Jun 2015
good	Africa/Algiers	34.15429	DZ	3.50309	07 Oct 2018
building	Africa/Abidjan	5.27247	CI	-3.59625	2018/01/28
accep	America/Argentina/Cordoba	-31.25033	AR	-61.4867	08/04/2018, 00:00:00
accep	America/Argentina/Buenos_Aires	-34.64167	AR	-60.47389	11/09/2018, 00:00:00
good	Europe/London	51.64316	GB	-0.36053	03/20/2020, 00:00:00
accep	Asia/Kolkata	18.51957	IN	73.85535	12 Jul 2016
excellent	America/New_York	41.24255	US	-82.61573	2018/02/17
accep	Europe/Zurich	47.30997	CH	8.52462	2019/01/02
building	Europe/Vienna	48.25	AT	16.4	2018/09/02
excellent	America/Chicago	33.44872	US	-86.78777	2018-06-05
building	Asia/Kolkata	21.34222	IN	71.30633	2020-05-27
average	America/Bogota	5.6561	CO	-75.87877	2014-08-16
maintenance	Asia/Ho_Chi_Minh	10.29085	VN	105.75635	2019-01-16
average	Asia/Manila	10.31672	PH	123.89071	24 May 2020
accep	Australia/Perth	-32.05251	AU	115.88782	2022/02/11
good	America/Los_Angeles	47.4943	US	-122.24092	2018/08/25
maintenance	America/Santo_Domingo	18.20854	DO	-71.10077	2014-02-06
acceptable	Asia/Bangkok	15.46063	TH	99.89166	2019/12/15
building	America/New_York	28.15112	US	-82.46148	2018/10/23
excellent	Asia/Riyadh	27.0174	SA	49.62251	06/22/2021, 00:00:00
excellent	Asia/Seoul	37.65639	KR	126.835	2019/04/17
excellent	Asia/Bangkok	14.64056	TH	104.64992	06 May 2018
maintenance	Europe/Zurich	46.18396	CH	6.10237	2021/05/12
accep	America/Los_Angeles	47.80527	US	-122.24064	27 Apr 2015
good	Asia/Tashkent	41.29444	UZ	69.67639	2021-03-22
excellent	Asia/Manila	10.13361	PH	124.84472	01/29/2022, 00:00:00
good	America/Argentina/Buenos_Aires	-34.74785	AR	-58.70072	05/03/2021, 00:00:00
good	Europe/London	53.83333	GB	-2.98333	29 Aug 2020
good	Asia/Vladivostok	53.14657	RU	140.72287	2014/12/17
good	America/Sao_Paulo	-25.42944	BR	-50.00639	09/15/2016, 00:00:00
average	Europe/Volgograd	50.06	RU	43.2379	03/31/2021, 00:00:00
excellent	Europe/Rome	40.55851	IT	17.80774	02/04/2022, 00:00:00
building	Europe/Rome	44.59445	IT	11.04979	2018-03-20
good	America/Bahia	-12.91667	BR	-39.25	12/12/2015, 00:00:00
accep	America/Los_Angeles	37.73604	US	-120.93549	2020-09-25
accep	Europe/London	55.82885	GB	-4.21376	2022-04-03
accep	Asia/Kolkata	23.18	IN	88.58	11/11/2016, 00:00:00
average	Asia/Yekaterinburg	58.04254	RU	65.27258	2012/09/29
average	Europe/Chisinau	48.15659	MD	28.28489	05 Feb 2017
average	Asia/Riyadh	27.0174	SA	49.62251	11/10/2014, 00:00:00
average	Asia/Manila	6.95194	PH	121.96361	2018-12-25
average	Europe/Brussels	51.24197	BE	4.82313	2014/01/08
average	America/Bogota	7.83389	CO	-72.47417	2021/02/25
excellent	America/Chicago	41.85059	US	-87.882	05/10/2015, 00:00:00
average	Europe/Berlin	51.19139	DE	6.51352	2016/01/20
accep	Europe/Paris	43.61092	FR	3.87723	2022/09/15
building	Europe/Paris	45.73333	FR	4.91667	2018-01-19
average	Asia/Shanghai	23.29549	CN	113.82465	26 Nov 2013
maintenance	Europe/Rome	45.9836	IT	12.70038	12 Jul 2014
average	Europe/Madrid	41.91738	ES	3.1631	27 Jul 2013
accep	America/Los_Angeles	34.21639	US	-119.0376	03/23/2019, 00:00:00
accep	Africa/Algiers	35.06544	DZ	1.04945	09 Oct 2014
accep	Asia/Manila	14.14989	PH	121.3152	15 Sep 2016
building	Africa/Conakry	9.535	GN	-13.68778	12/13/2012, 00:00:00
good	Europe/Madrid	42.8139	ES	-1.64295	2022/09/11
accep	Europe/Berlin	52.2	DE	8.63333	03/28/2015, 00:00:00
accep	America/Mexico_City	20.21322	MX	-100.88023	2020-02-08
average	America/Bahia	-11.48472	BR	-37.93278	11/29/2014, 00:00:00
good	America/Detroit	42.97086	US	-82.42491	16 Apr 2015
building	America/New_York	43.16547	US	-77.70066	2019/05/22
maintenance	Asia/Kolkata	26.2649	IN	81.54855	21 Aug 2020
maintenance	America/New_York	29.65163	US	-82.32483	2014/06/10
accep	Africa/Windhoek	-21.98333	NA	16.91667	04/21/2021, 00:00:00
accep	Asia/Jakarta	-7.01833	ID	107.60389	03/27/2014, 00:00:00
average	America/Guatemala	14.93333	GT	-91.11667	12/02/2015, 00:00:00
accep	Asia/Karachi	25.80565	PK	68.49143	06 Oct 2012
excellent	Asia/Manila	14.95472	PH	120.89694	2019/01/31
good	America/Chicago	45.0408	US	-93.263	08/14/2019, 00:00:00
building	Africa/Casablanca	34.31	MA	-2.16	27 Dec 2016
accep	America/New_York	26.2173	US	-80.22588	03/04/2022, 00:00:00
building	Asia/Baghdad	32.61603	IQ	44.02488	04 Feb 2017
excellent	America/Chicago	36.61033	US	-88.31476	11 Apr 2020
average	Asia/Yekaterinburg	55.75556	RU	60.70278	2014-04-08
accep	Europe/Amsterdam	51.65333	NL	5.2875	09 Feb 2018
average	Europe/Istanbul	37.05944	TR	37.3825	27 Dec 2018
accep	Asia/Karachi	30.46907	PK	70.96699	2012-10-08
building	Australia/Sydney	-33.75881	AU	150.99292	2016/11/03
excellent	America/Caracas	8.62261	VE	-70.20749	2020/10/03
maintenance	Asia/Shanghai	37.30553	CN	120.82747	21 Sep 2015
excellent	Europe/Rome	45.78071	IT	12.84052	2018-01-18
good	America/Los_Angeles	32.9156	US	-117.14392	2017/11/08
average	Indian/Reunion	-20.88231	RE	55.4504	13 Apr 2021
average	Asia/Kolkata	20.88197	IN	85.83334	2014/10/29
average	America/Puerto_Rico	18.03496	PR	-66.8499	2013-06-10
excellent	Europe/Madrid	41.63976	ES	2.35739	15 Apr 2022
maintenance	Africa/Douala	3.51667	CM	11.5	03/03/2015, 00:00:00
maintenance	Africa/Casablanca	34.31	MA	-2.16	2017/10/11
accep	Europe/Berlin	50.9803	DE	11.32903	2015/02/15
average	Asia/Yekaterinburg	56.11281	RU	69.49015	12 May 2015
average	Europe/Istanbul	37.58105	TR	29.26639	07/05/2018, 00:00:00
building	America/Los_Angeles	32.9156	US	-117.14392	02/01/2020, 00:00:00
accep	America/New_York	35.88264	US	-80.08199	08/05/2019, 00:00:00
excellent	Europe/Bratislava	48.8449	SK	17.22635	07/05/2015, 00:00:00
building	America/Mexico_City	19.04222	MX	-98.11889	06/18/2018, 00:00:00
accep	America/Bahia	-15.675	BR	-38.94722	2017/09/24
maintenance	Europe/Vilnius	54.39635	LT	24.04142	06/09/2020, 00:00:00
good	Europe/Moscow	57.97472	RU	33.2525	07/02/2017, 00:00:00
building	Africa/Conakry	9.535	GN	-13.68778	26 Sep 2018
excellent	Asia/Shanghai	30.35028	CN	112.19028	11/03/2012, 00:00:00
good	Asia/Manila	10.7375	PH	122.9666	2016-08-17
average	Asia/Manila	10.20898	PH	123.758	2021-12-28
average	Europe/Berlin	53.63333	DE	9.85	2013-11-04
excellent	Asia/Bishkek	40.93333	KG	73	2019/07/31
average	Europe/Berlin	50.23019	DE	8.77155	08/08/2015, 00:00:00
accep	Europe/Brussels	51.24197	BE	4.82313	02/04/2014, 00:00:00
excellent	Europe/Moscow	55.63711	RU	37.38115	2018-08-11
excellent	Asia/Kolkata	11.00599	IN	77.5609	2014/09/30
excellent	Africa/Lubumbashi	0.76755	CD	24.43973	12 May 2022
average	America/Costa_Rica	9.92787	CR	-84.13722	06 Nov 2021
excellent	Europe/Helsinki	60.2052	FI	24.6522	22 Jun 2021
good	Asia/Jakarta	-7.51611	ID	109.05389	12 Dec 2019
accep	Europe/Zurich	47.30997	CH	8.52462	2016/07/17
accep	America/Los_Angeles	47.80527	US	-122.24064	12/28/2016, 00:00:00
accep	Europe/Brussels	50.56149	BE	4.69889	19 Jul 2019
excellent	Asia/Shanghai	33.78333	CN	114.51667	04 Mar 2018
average	Africa/Algiers	36.27462	DZ	4.85668	07/12/2015, 00:00:00
building	Asia/Kolkata	34.08565	IN	74.80555	2018-10-24
average	America/Chicago	36.02506	US	-86.77917	2018-12-06
building	America/Chicago	26.18924	US	-98.15529	2017-10-31
accep	Asia/Karachi	29.38242	PK	70.91106	21 Jul 2014
good	Europe/Skopje	41.92361	MK	20.91361	2014/06/02
good	Europe/Madrid	43.48961	ES	-8.2194	28 Oct 2013
accep	America/Chicago	37.95143	US	-91.77127	07/19/2015, 00:00:00
good	America/New_York	40.82232	US	-74.15987	2016/11/05
average	Asia/Kolkata	24.81757	IN	84.63445	27 May 2016
good	America/Chicago	32.5007	US	-94.74049	2015-10-13
excellent	Australia/Sydney	-33.75881	AU	150.99292	2013-03-27
average	America/Santarem	-3.20333	BR	-52.20639	2016/05/09
accep	Europe/London	51.42708	GB	-0.91979	2014-05-24
maintenance	Africa/Lagos	6.45407	NG	3.39467	2019-07-27
average	Europe/London	53.83333	GB	-2.98333	2022/01/13
good	Europe/London	53.19146	GB	-2.52398	2013/05/03
good	Europe/Berlin	48.73218	DE	11.18709	01/08/2013, 00:00:00
accep	Europe/Berlin	49.97704	DE	9.15214	08/23/2021, 00:00:00
good	America/Argentina/Buenos_Aires	-34.64167	AR	-60.47389	2020-10-02
average	America/New_York	28.90054	US	-81.26367	2021/01/11
excellent	Pacific/Auckland	-38.65333	NZ	178.00417	2020-06-20
excellent	Asia/Tokyo	44.35056	JP	142.45778	2014/04/18
building	Europe/Berlin	52.21099	DE	7.02238	2017-08-12
excellent	Europe/Paris	48.79325	FR	2.29275	2014/10/21
excellent	America/New_York	28.54944	US	-81.77285	13 Nov 2016
good	America/Toronto	45.43341	CA	-73.86586	2021/04/06
average	Asia/Tbilisi	41.82143	GE	41.77921	2017/02/11
average	Europe/Bratislava	48.8449	SK	17.22635	2020-02-22
good	Europe/Berlin	54.52156	DE	9.5586	2016-08-01
average	America/New_York	40.60538	US	-73.75513	10 Aug 2022
maintenance	Europe/London	53.81667	GB	-3.05	09/07/2017, 00:00:00
average	Europe/Kiev	45.99194	UA	29.41824	2013-10-13
excellent	Australia/Melbourne	-38.16604	AU	145.13643	2017/03/15
building	Europe/Madrid	43.31667	ES	-2.68333	03/29/2020, 00:00:00
maintenance	Asia/Shanghai	42.64031	CN	125.51176	2021/08/31
good	America/Argentina/Tucuman	-27.4338	AR	-65.61427	12/17/2013, 00:00:00
good	Asia/Bangkok	13.51825	TH	99.95469	11 Dec 2017
building	Asia/Kuala_Lumpur	4.88441	MY	101.96857	12/08/2016, 00:00:00
excellent	Africa/Lagos	10.61285	NG	12.19458	09/27/2012, 00:00:00
accep	Europe/Amsterdam	52.14	NL	5.58472	03 Jul 2016
good	America/Fortaleza	-4.24444	BR	-42.29444	2016-05-17
building	Europe/Podgorica	42.28639	ME	18.84	13 Mar 2015
excellent	Europe/Paris	48	FR	-4.1	03 May 2019
maintenance	America/Chicago	40.56754	US	-89.64066	2020/09/27
good	Asia/Jakarta	-7.54972	ID	110.71639	2018-02-24
accep	Asia/Kolkata	18.51957	IN	73.85535	10/05/2014, 00:00:00
excellent	Europe/London	51.42708	GB	-0.91979	2022-08-08
average	America/Chicago	41.6764	US	-91.58045	2016-10-03
accep	Europe/Istanbul	38.13708	TR	41.00817	02/21/2015, 00:00:00
excellent	Africa/Algiers	34.15429	DZ	3.50309	09/30/2019, 00:00:00
average	Asia/Seoul	34.8825	KR	128.62667	08 Mar 2021
building	America/Argentina/Buenos_Aires	-37.32167	AR	-59.13316	2014-12-14
excellent	Africa/Lagos	10.61285	NG	12.19458	2019-04-23
excellent	Europe/Amsterdam	51.44889	NL	5.51978	2013/04/03
average	America/Sao_Paulo	-21.41222	BR	-42.19667	09/19/2019, 00:00:00
accep	Europe/Madrid	43.31667	ES	-2.68333	31 Jan 2016
good	Europe/London	52.41667	GB	0.75	05 May 2013
maintenance	Africa/Kampala	2.41669	UG	30.98551	04 Jul 2014
average	America/Los_Angeles	37.73604	US	-120.93549	14 Mar 2013
excellent	America/Port-au-Prince	18.65297	HT	-72.09391	2013/04/13
average	America/Bogota	6.46838	CO	-73.26022	13 Apr 2016
building	Asia/Bangkok	13.51825	TH	99.95469	05/25/2021, 00:00:00
accep	Europe/Madrid	43.31667	ES	-2.68333	17 Apr 2018
average	Asia/Kolkata	26.76628	IN	83.36889	01/30/2015, 00:00:00
accep	Europe/Vilnius	55.25	LT	24.75	30 Apr 2019
average	Asia/Seoul	37.65639	KR	126.835	14 Jul 2018
good	Europe/Paris	43.83125	FR	5.03586	2014-07-09
excellent	Europe/Paris	43.2907	FR	5.4384	2015/10/29
good	America/Los_Angeles	33.03699	US	-117.29198	2019-05-20
accep	Europe/Sarajevo	44.75874	BA	19.21437	2016-08-14
excellent	America/Cuiaba	-14.66463	BR	-52.35558	2017/12/29
good	Asia/Kolkata	30.21121	IN	74.4818	12/30/2012, 00:00:00
good	Asia/Shanghai	41.09822	CN	120.74792	04/19/2018, 00:00:00
average	Europe/Berlin	51.19139	DE	6.51352	14 Feb 2016
good	Asia/Jakarta	-7.51611	ID	109.05389	2017-11-06
accep	Europe/Moscow	54.84444	RU	38.16694	2014/09/04
excellent	Europe/Paris	48.77644	FR	2.29026	21 Jun 2015
excellent	America/Phoenix	33.35283	US	-111.78903	03/17/2019, 00:00:00
average	Africa/Dar_es_Salaam	-10.33333	TZ	39.28333	25 Feb 2017
excellent	Asia/Jakarta	-7.73379	ID	113.69785	2014-11-08
good	Asia/Manila	14.14989	PH	121.3152	2022-01-07
building	Europe/Moscow	42.819	RU	47.1192	21 Aug 2014
building	Europe/Paris	43.2907	FR	5.4384	03 Apr 2022
excellent	America/Lima	-3.74912	PE	-73.25383	2020-04-25
maintenance	Asia/Tokyo	35.30889	JP	139.55028	04/09/2022, 00:00:00
building	Europe/Istanbul	37.58105	TR	29.26639	07/02/2017, 00:00:00
average	Europe/London	51.84819	GB	1.26738	09/30/2018, 00:00:00
excellent	Asia/Tehran	33.86419	IR	48.26258	11/11/2018, 00:00:00
excellent	America/Indiana/Indianapolis	39.78504	US	-85.76942	2015-05-13
excellent	Europe/Brussels	50.56149	BE	4.69889	17 Jun 2022
excellent	Asia/Riyadh	27.0174	SA	49.62251	2013/05/04
accep	Australia/Perth	-31.95224	AU	115.8614	12/07/2017, 00:00:00
building	Africa/Lagos	7.62789	NG	4.74161	2022/05/28
average	Africa/Dar_es_Salaam	-6.25	TZ	38.66667	10 May 2022
good	Europe/Madrid	40.42386	ES	-3.53261	31 May 2018
accep	Europe/Warsaw	54.58048	PL	16.86194	09/11/2017, 00:00:00
building	Asia/Shanghai	32.54278	CN	111.50861	2021/05/10
good	Asia/Kolkata	10.58806	IN	77.24779	10/18/2016, 00:00:00
excellent	America/Puerto_Rico	18.03496	PR	-66.8499	2019-12-22
excellent	America/New_York	39.43534	US	-84.20299	11 Aug 2018
excellent	Asia/Manila	12.97389	PH	123.99333	2016-02-02
good	Europe/Kiev	46.65581	UA	32.6178	2019/11/25
average	Europe/Berlin	52.53048	DE	13.29371	05/17/2014, 00:00:00
excellent	Europe/Berlin	52.47774	DE	10.5511	04 Feb 2017
building	Asia/Jakarta	-7.57897	ID	112.23109	2016/04/29
accep	Europe/Rome	37.31065	IT	13.57661	2020-10-22
average	Europe/Berlin	52.86147	DE	9.5926	2015/04/16
accep	Europe/Warsaw	50.86079	PL	17.4674	2020/07/02
accep	America/Chicago	33.44872	US	-86.78777	23 Sep 2022
excellent	Europe/Rome	45.78071	IT	12.84052	06 Oct 2016
average	America/Menominee	46.09273	US	-88.64235	2016-08-10
good	America/Toronto	45.43341	CA	-73.86586	2014/09/07
good	Europe/Madrid	37.35813	ES	-6.03731	2021-05-02
good	Asia/Kolkata	23.18	IN	88.58	2021-02-01
good	America/New_York	28.90054	US	-81.26367	2017-11-08
excellent	Europe/London	53.69786	GB	-2.68758	14 Oct 2015
accep	Africa/Johannesburg	-24.19436	ZA	29.00974	20 Nov 2017
average	Asia/Kolkata	33.37526	IN	74.3092	2014/07/29
building	Asia/Tashkent	41.29444	UZ	69.67639	2012/10/16
excellent	Asia/Kabul	36.21544	AF	65.93249	22 Nov 2014
maintenance	Asia/Almaty	47.46657	KZ	84.87144	2019-02-28
accep	America/Merida	21.28306	MX	-89.66123	05/02/2022, 00:00:00
good	Europe/Rome	44.31771	IT	9.32241	19 Oct 2018
average	Asia/Manila	14.62578	PH	121.12251	2019/03/11
good	America/Chicago	33.45122	US	-86.99666	2019-06-10
maintenance	Europe/Istanbul	37.05944	TR	37.3825	15 Jul 2015
average	Asia/Yekaterinburg	55.75556	RU	60.70278	03/01/2020, 00:00:00
good	Europe/London	51.35084	GB	-1.99421	2014-01-23
excellent	Europe/Paris	48.98333	FR	2.61667	01/15/2016, 00:00:00
accep	Asia/Yekaterinburg	55.75556	RU	60.70278	06/18/2016, 00:00:00
accep	Asia/Irkutsk	51.82721	RU	107.60627	25 Jan 2015
maintenance	America/Los_Angeles	34.95303	US	-120.43572	2022-07-05
excellent	Europe/London	50.75767	GB	-1.5443	01 Nov 2021
good	Europe/Warsaw	54.60528	PL	18.34717	2020-03-28
acceptable	Europe/Madrid	41.91738	ES	3.1631	09 Oct 2014
building	America/Caracas	10.22677	VE	-67.33122	2018/03/16
accep	Europe/Moscow	54.8421	RU	46.5813	28 Apr 2020
good	America/Sao_Paulo	-28.81833	BR	-52.51028	2019-05-24
maintenance	Asia/Colombo	6.9909	LK	79.883	26 Dec 2014
good	Africa/Tunis	36.08497	TN	9.37082	2012/12/15
accep	Europe/Rome	41.55947	IT	14.66737	05/02/2014, 00:00:00
excellent	Australia/Sydney	-34.28853	AU	146.05093	07/14/2021, 00:00:00
maintenance	America/Chicago	33.45122	US	-86.99666	2017-09-23
building	America/Chicago	45.0408	US	-93.263	19 Mar 2020
good	America/Chicago	32.5007	US	-94.74049	2014/08/20
good	America/New_York	38.96372	US	-76.99081	2012-12-18
accep	America/Sao_Paulo	-19.32556	BR	-41.25528	04/09/2019, 00:00:00
excellent	America/New_York	30.17746	US	-81.38758	03 Jul 2022
average	America/Chicago	47.92526	US	-97.03285	2019-10-08
maintenance	Africa/Windhoek	-21.98333	NA	16.91667	25 Jun 2015
excellent	Europe/Moscow	54.39304	RU	53.26023	2019/12/29
excellent	Asia/Tokyo	33.3213	JP	130.94098	26 Jan 2022
building	America/New_York	40.64621	US	-73.97069	2020/01/24
accep	Europe/Volgograd	50.06	RU	43.2379	2019-06-17
maintenance	Europe/Berlin	53.94313	DE	10.30215	11/19/2017, 00:00:00
excellent	America/New_York	43.61062	US	-72.97261	25 Apr 2016
accep	Asia/Yekaterinburg	60.97944	RU	76.92421	2022/08/03
maintenance	America/Chicago	38.58894	US	-89.99038	2016/09/01
accep	Europe/Oslo	68.79833	NO	16.54165	2015/10/07
average	America/New_York	40.72816	US	-74.07764	2020/01/20
average	Europe/Istanbul	37.58105	TR	29.26639	08/29/2013, 00:00:00
accep	Asia/Kolkata	26.32293	IN	91.00632	12/31/2012, 00:00:00
accep	America/Argentina/Ushuaia	-54.8	AR	-68.3	22 Sep 2022
excellent	Asia/Yakutsk	65.93381	RU	111.4834	2015/08/29
maintenance	America/La_Paz	-21.44345	BO	-65.71875	2013-12-03
maintenance	America/Chicago	44.73941	US	-93.12577	15 Oct 2021
average	Asia/Yekaterinburg	55.75556	RU	60.70278	2020-02-10
maintenance	America/Bahia	-10.95817	BR	-38.79084	2018-05-02
excellent	Australia/Melbourne	-38.16604	AU	145.13643	2019/03/15
accep	Asia/Kolkata	14.46693	IN	75.92694	05/30/2019, 00:00:00
average	Asia/Kolkata	34.08565	IN	74.80555	2014-08-26
excellent	Africa/Niamey	13.70727	NE	9.15013	2021-11-06
excellent	America/Los_Angeles	33.03699	US	-117.29198	2015/07/08
building	Africa/Accra	7.06273	GH	-1.4001	08/02/2014, 00:00:00
maintenance	America/Argentina/Buenos_Aires	-34.64167	AR	-60.47389	2020-03-12
building	America/Mexico_City	19.8173	MX	-97.35992	10/22/2020, 00:00:00
building	America/Los_Angeles	38.17492	US	-122.2608	2014/08/14
average	Europe/Moscow	55.38752	RU	36.73307	2021-07-22
good	America/New_York	41.0051	US	-73.78458	2017/04/16
excellent	Europe/Paris	43.61058	FR	1.33467	29 May 2015
accep	Asia/Yakutsk	65.93381	RU	111.4834	2016-05-05
building	Asia/Kolkata	26.11527	IN	86.59509	2021/03/17
good	America/Chicago	32.44874	US	-99.73314	2021/11/21
accep	Africa/Lubumbashi	0.49113	CD	29.47306	04 Dec 2012
average	Asia/Karachi	31.82539	PK	72.54064	2014-05-16
good	Europe/Moscow	44.92934	RU	37.99117	04/03/2014, 00:00:00
accep	Europe/Rome	43.1122	IT	12.38878	2019-08-04
good	Pacific/Auckland	-38.65333	NZ	178.00417	12 May 2016
building	Asia/Seoul	37.65639	KR	126.835	2020/10/30
excellent	Asia/Jakarta	-7.01833	ID	107.60389	03 Jan 2022
accep	Europe/Kiev	45.99194	UA	29.41824	03/01/2019, 00:00:00
good	America/Chicago	41.57721	US	-93.71133	2014/08/07
good	Asia/Jerusalem	32.05971	IL	34.8732	2012/12/15
good	Europe/Volgograd	50.06	RU	43.2379	15 Aug 2013
building	America/Bogota	7.83389	CO	-72.47417	2021/04/21
good	America/Port_of_Spain	10.66668	TT	-61.51889	2018/03/03
average	Africa/Lagos	6.8485	NG	3.64633	15 Sep 2021
accep	America/Chicago	47.92526	US	-97.03285	06 Jun 2019
accep	America/Mexico_City	19.64745	MX	-102.04897	15 Jun 2015
excellent	Africa/Libreville	-1.63333	GA	13.58357	2012/10/14
average	America/Denver	39.72943	US	-104.83192	06/15/2014, 00:00:00
good	Asia/Manila	14.14989	PH	121.3152	19 Jul 2022
accep	Asia/Shanghai	34.65918	CN	109.22921	2018/12/08
accep	America/Chicago	41.84364	US	-87.71255	2013-04-28
building	Europe/Amsterdam	52.14	NL	5.58472	17 Jan 2020
average	Europe/London	55.82737	GB	-4.0573	20 Feb 2013
excellent	Africa/Djibouti	11.15583	DJ	42.7125	06/14/2020, 00:00:00
maintenance	Asia/Makassar	-1.26753	ID	116.82887	05/25/2021, 00:00:00
excellent	Europe/Berlin	52.21099	DE	7.02238	20 Aug 2017
excellent	Asia/Shanghai	31.64615	CN	120.74221	10 Jul 2013
good	Europe/Rome	45.50369	IT	11.412	2018-07-04
building	Europe/Paris	45.73333	FR	4.91667	2021-10-17
accep	America/Caracas	8.35122	VE	-62.64102	2022/04/30
average	America/New_York	29.65163	US	-82.32483	2020-10-15
accep	Europe/London	53.19146	GB	-2.52398	07/19/2019, 00:00:00
excellent	Asia/Tokyo	34.9	JP	137.5	2015-09-27
excellent	Europe/Lisbon	41.20485	PT	-8.33147	04/25/2017, 00:00:00
accep	Europe/Berlin	52.86147	DE	9.5926	12 Nov 2020
maintenance	Asia/Kolkata	11.12018	IN	76.11996	15 Oct 2018
accep	America/Detroit	42.97086	US	-82.42491	2015/10/19
excellent	Europe/Rome	38.07789	IT	13.44275	2022-08-07
accep	America/New_York	40.93121	US	-73.89875	12/10/2021, 00:00:00
accep	America/Lima	-3.74912	PE	-73.25383	2014/02/27
excellent	Europe/Warsaw	51.14942	PL	15.00835	2020-01-12
excellent	America/New_York	39.32011	US	-76.51552	2021-04-30
average	America/New_York	43.1009	US	-75.23266	09 Jun 2022
good	Europe/Rome	38.07789	IT	13.44275	09 Mar 2019
building	Asia/Tokyo	36.53333	JP	136.61667	2013/12/03
average	Europe/Berlin	50.72043	DE	11.34046	06/29/2022, 00:00:00
good	Europe/Amsterdam	51.955	NL	5.22778	2021/10/13
average	America/Indiana/Indianapolis	39.78504	US	-85.76942	07/18/2015, 00:00:00
excellent	Asia/Kolkata	25.66795	IN	85.83636	11 Jun 2020
accep	Indian/Antananarivo	-19.65	MG	47.31667	04/27/2021, 00:00:00
average	Asia/Kolkata	21.53889	IN	71.57737	2022/09/24
good	Africa/Dar_es_Salaam	-10.33333	TZ	39.28333	2018/08/16
building	Asia/Tokyo	34.4833	JP	136.84186	03/31/2017, 00:00:00
average	Africa/Algiers	36.27462	DZ	4.85668	08/07/2021, 00:00:00
maintenance	Europe/Moscow	58.1908	RU	40.17171	20 Mar 2019
good	Europe/Berlin	48.73218	DE	11.18709	2020-12-13
building	America/Los_Angeles	34.14251	US	-118.25508	2022-07-08
good	Asia/Shanghai	36.19278	CN	117.65694	10/19/2012, 00:00:00
excellent	America/Fortaleza	-4.42472	BR	-41.45861	2014/09/19
maintenance	Europe/Chisinau	48.15659	MD	28.28489	08/16/2014, 00:00:00
average	Europe/Paris	45.51667	FR	4.86667	2021/08/25
excellent	America/Santiago	-32.45242	CL	-71.23106	2018/01/31
maintenance	Africa/Kampala	3.02013	UG	30.91105	2021-05-18
average	Asia/Karachi	30.29184	PK	71.67164	05/20/2015, 00:00:00
accep	Africa/Addis_Ababa	6.03333	ET	37.55	2019/10/01
building	Europe/Paris	43.83125	FR	5.03586	2014/12/14
accep	Asia/Tokyo	35	JP	136.51667	2019-10-16
building	Africa/Casablanca	33.92866	MA	-6.90656	2019/01/27
good	Asia/Shanghai	46.08333	CN	122.08333	04/20/2017, 00:00:00
maintenance	Europe/Paris	48.90472	FR	2.2469	2017/10/01
maintenance	Europe/Berlin	52.21099	DE	7.02238	13 Nov 2015
accep	Africa/Porto-Novo	8.88649	BJ	2.59753	05 Mar 2018
