station	code	revision	QoS	latitude	longitude
Cavaillon	FR	2015/12/13	good	43.83125	5.03586
Saratoga Springs	US	2021-07-17	good	40.34912	-111.90466
Altamira	BR	03/27/2016, 00:00:00	accep	-3.20333	-52.20639
Saharsa	IN	15 Feb 2015	maintenance	25.87498	86.59611
Puertollano	ES	2021-11-11	good	38.68712	-4.10734
Itacoatiara	BR	2017/09/13	average	-3.14306	-58.44417
Salima	MW	2018-08-19	average	-13.7804	34.4587
Yao	JP	2017/10/07	good	34.61667	135.6
Zaozhuang	CN	08 Feb 2020	good	34.86472	117.55417
Saint-Genis-Laval	FR	05 Oct 2020	average	45.69558	4.7934
Wesseling	DE	2019/04/28	accep	50.82709	6.9747
Sar-e Pul	AF	06/05/2016, 00:00:00	maintenance	36.21544	65.93249
Maasin	PH	05/29/2022, 00:00:00	average	10.13361	124.84472
Barnet	GB	12 Mar 2019	good	51.65	-0.2
Sassari	IT	21 May 2017	accep	40.72586	8.55552
Sharypovo	RU	12/13/2021, 00:00:00	building	55.54028	89.20083
Dongfeng	CN	2018-04-01	good	42.64031	125.51176
Guapimirim	BR	11/04/2021, 00:00:00	maintenance	-22.53722	-42.98194
Cheraga	DZ	30 Mar 2015	accep	36.76775	2.95924
Aguadilla	PR	04/23/2016, 00:00:00	excellent	18.42745	-67.15407
Ragusa	IT	28 Jan 2019	accep	36.92574	14.72443
Taunton	US	06 Feb 2018	accep	41.9001	-71.08977
Kachkanar	RU	2014/10/02	average	58.7002	59.4839
Westchester	US	2022-08-04	excellent	41.85059	-87.882
Srinagar	IN	2019/06/03	building	34.08565	74.80555
Fontenay-aux-Roses	FR	2019-06-03	excellent	48.79325	2.29275
Weimar	DE	06/20/2017, 00:00:00	maintenance	50.9803	11.32903
Hakodate	JP	2019/08/01	excellent	41.77583	140.73667
Annaka	JP	2017-03-12	maintenance	36.33011	138.89585
Paidha	UG	12/04/2021, 00:00:00	good	2.41669	30.98551
Siegburg	DE	11/08/2016, 00:00:00	building	50.80019	7.20769
East Dereham	GB	08/05/2022, 00:00:00	maintenance	52.68333	0.93333
Ukmerge	LT	16 Nov 2016	good	55.25	24.75
Krasyliv	UA	13 Dec 2016	accep	49.65186	26.97253
Fort Washington	US	20 Jun 2021	building	38.70734	-77.02303
Ksar Chellala	DZ	2014/04/30	good	35.21222	2.31889
Walsrode	DE	2013/12/16	excellent	52.86147	9.5926
Lons-le-Saunier	FR	06/23/2015, 00:00:00	excellent	46.67535	5.55575
Sankt Peter	AT	13 Apr 2016	average	47.05	15.46667
Dipolog	PH	2017/09/29	maintenance	8.56697	123.33471
South Lawndale	US	08/01/2020, 00:00:00	excellent	41.84364	-87.71255
Otradnyy	RU	20 Jul 2022	excellent	53.37596	51.3452
Recife	BR	2015-06-13	average	-8.05389	-34.88111
Rosedale	US	08/07/2018, 00:00:00	accep	39.32011	-76.51552
Wheelers Hill	AU	07 Aug 2017	excellent	-37.9	145.18333
Artur Nogueira	BR	06/12/2019, 00:00:00	accep	-22.57306	-47.1725
Maxixe	MZ	2017/08/15	building	-23.85972	35.34722
Yeysk	RU	2018/09/15	building	46.7055	38.2739
Teluk Intan	MY	2014/05/05	average	4.02219	101.02083
Zgorzelec	PL	06/04/2013, 00:00:00	excellent	51.14942	15.00835
Sydney	CA	01/23/2018, 00:00:00	average	46.1351	-60.1831
Espoo	FI	26 Mar 2022	good	60.2052	24.6522
Udumalaippettai	IN	08/17/2016, 00:00:00	accep	10.58806	77.24779
Jaworzno	PL	2015/12/11	excellent	50.20528	19.27498
Hungund	IN	10/26/2018, 00:00:00	maintenance	16.06213	76.0586
Indio	US	18 Oct 2013	excellent	33.7207	-116.21677
Kearns	US	2016/03/12	accep	40.65995	-111.99633
Myawadi	MM	2015-05-25	good	16.68911	98.50893
Manaoag	PH	01 Aug 2014	average	16.0438	120.4861
Thetford	GB	2019-10-30	average	52.41667	0.75
Lutz	US	25 Oct 2012	excellent	28.15112	-82.46148
Hlohovec	SK	04/26/2017, 00:00:00	building	48.43174	17.8031
American Canyon	US	2016/07/22	accep	38.17492	-122.2608
Port Richmond	US	12/09/2016, 00:00:00	accep	40.63316	-74.13653
San Juan de Aznalfarache	ES	2014-01-25	accep	37.35813	-6.03731
Ponta Delgada	PT	02/09/2015, 00:00:00	average	37.74615	-25.66689
Manjeri	IN	30 Jul 2020	excellent	11.12018	76.11996
Bretten	DE	2014/10/04	accep	49.03685	8.70745
Jersey City	US	2013-07-30	average	40.72816	-74.07764
La Garenne-Colombes	FR	11/19/2016, 00:00:00	excellent	48.90472	2.2469
Nkpor	NG	2014-06-15	accep	6.15038	6.83042
Canton	US	16 Sep 2020	building	42.30865	-83.48216
Pfullingen	DE	03 Sep 2021	good	48.46458	9.22796
Dorval	CA	06 Apr 2015	average	45.4473	-73.75335
Yonkers	US	2014/02/12	excellent	40.93121	-73.89875
Paredes	PT	2020/07/02	excellent	41.20485	-8.33147
Reutlingen	DE	11/18/2016, 00:00:00	good	48.49144	9.20427
Nova Kakhovka	UA	2019/03/05	average	46.75451	33.34864
Sun City Center	US	2014/03/06	building	27.71809	-82.35176
Chapletown	GB	2013/02/01	building	53.46506	-1.47217
Muncar	ID	08 Feb 2018	accep	-8.43333	114.33333
Chharra	IN	06/19/2020, 00:00:00	building	27.9247	78.40102
Hartley	GB	2021-05-09	excellent	51.38673	0.30367
Memmingen	DE	2016/05/21	excellent	47.98372	10.18527
Muncar	ID	2022/02/23	good	-8.43333	114.33333
Les Olives	FR	2013-12-24	maintenance	43.32393	5.4584
Lino Lakes	US	2022/05/15	excellent	45.16024	-93.08883
Odessa	US	10/12/2015, 00:00:00	building	31.84568	-102.36764
Valletta	MT	2016/09/27	good	35.89972	14.51472
Montpellier	FR	19 Dec 2021	good	43.61092	3.87723
Longgang	CN	19 Oct 2020	excellent	37.65181	120.33063
Sunnyside	US	2014-05-01	good	46.32374	-120.00865
Emmeloord	NL	07/19/2015, 00:00:00	excellent	52.71083	5.74861
Tak Bai	TH	10/30/2018, 00:00:00	excellent	6.25947	102.05461
Tianfu	CN	2015/06/26	average	37.19723	122.05228
Naro-Fominsk	RU	03/04/2016, 00:00:00	good	55.38752	36.73307
Davis	US	03/13/2018, 00:00:00	good	38.54491	-121.74052
Marau	BR	2015-10-30	average	-28.44917	-52.2
Lancing	GB	2019-01-09	maintenance	50.82882	-0.32247
Paredes	PT	2016/07/25	average	41.20485	-8.33147
Boumerdas	DZ	2014/05/06	accep	36.76639	3.47717
Valence	FR	2018-12-09	excellent	44.92801	4.8951
Qadirpur Ran	PK	02/18/2014, 00:00:00	average	30.29184	71.67164
Clacton-on-Sea	GB	06/02/2016, 00:00:00	excellent	51.78967	1.15597
Dyat’kovo	RU	19 Dec 2015	maintenance	53.59782	34.33825
Liaoyang	CN	2017/05/06	excellent	41.27194	123.17306
Kovylkino	RU	2016/11/03	average	54.03876	43.91385
Ulu Tiram	MY	12/18/2015, 00:00:00	building	1.6	103.81667
Split	HR	12/13/2019, 00:00:00	good	43.50891	16.43915
Sharypovo	RU	2015/05/20	accep	55.54028	89.20083
Eastwood	AU	12/02/2013, 00:00:00	accep	-33.79176	151.08057
Lower Earley	GB	07/25/2014, 00:00:00	maintenance	51.42708	-0.91979
Searcy	US	2021/07/09	accep	35.25064	-91.73625
Tarkwa	GH	06 Jun 2021	accep	5.30383	-1.98956
Malnate	IT	07 Mar 2015	excellent	45.79377	8.88104
American Canyon	US	2014/12/21	building	38.17492	-122.2608
Sector 6	RO	01/08/2018, 00:00:00	maintenance	44.43579	26.01649
Talisay	PH	2012/12/24	maintenance	10.7375	122.9666
Hendala	LK	24 Jan 2014	good	6.9909	79.883
Beryozovsky	RU	2020/06/17	good	56.9083	60.8019
Nyangao	TZ	2019-08-24	excellent	-10.33333	39.28333
Saharsa	IN	2022-02-06	accep	25.87498	86.59611
Tandil	AR	06/22/2019, 00:00:00	average	-37.32167	-59.13316
Gates-North Gates	US	2013/05/30	accep	43.16547	-77.70066
Le Robert	MQ	16 Jun 2020	excellent	14.67751	-60.94228
Sukabumi	ID	09 Jun 2020	good	-6.91806	106.92667
Beaumont	US	2020/02/10	excellent	33.92946	-116.97725
Xinzhou	CN	2015/10/01	excellent	38.40917	112.73333
Kovylkino	RU	2020-11-08	maintenance	54.03876	43.91385
Ar Ruseris	SD	2019/09/28	average	11.8659	34.3869
Kendall	US	28 Mar 2016	excellent	25.67927	-80.31727
Thenia	DZ	11/05/2020, 00:00:00	acceptable	36.72544	3.55665
Brazzaville	CG	2022-04-16	accep	-4.26613	15.28318
Paidha	UG	2016-11-19	maitennce	2.41669	30.98551
Rolla	US	22 Mar 2014	maintenance	37.95143	-91.77127
Houthalen	BE	2017/09/12	good	51.03427	5.37429
North Tustin	US	2015/02/26	accep	33.76446	-117.79394
Devizes	GB	09/16/2016, 00:00:00	good	51.35084	-1.99421
Bijeljina	BA	2022-02-17	excellent	44.75874	19.21437
Tarkwa	GH	2019/07/12	good	5.30383	-1.98956
Kahului	US	31 Mar 2014	accep	20.88953	-156.47432
Yamada	JP	12/25/2012, 00:00:00	maintenance	39.46667	141.95
Curitiba	BR	11/07/2021, 00:00:00	building	-25.42778	-49.27306
Thomazeau	HT	04/28/2016, 00:00:00	excellent	18.65297	-72.09391
Elamanchili	IN	2022-05-12	average	17.54907	82.85749
Nonsan	KR	06/28/2018, 00:00:00	average	36.20389	127.08472
Kangayam	IN	01 Aug 2022	good	11.00599	77.5609
Segundo Ensanche	ES	11/20/2021, 00:00:00	good	42.8139	-1.64295
Gua Musang	MY	2018-04-09	accep	4.88441	101.96857
Weimar	DE	06/16/2017, 00:00:00	accep	50.9803	11.32903
Neuburg an der Donau	DE	2019-10-18	accep	48.73218	11.18709
Naro-Fominsk	RU	11 Mar 2021	maintenance	55.38752	36.73307
Aschaffenburg	DE	2014-09-11	average	49.97704	9.15214
Yao	JP	05/28/2018, 00:00:00	building	34.61667	135.6
Ustka	PL	16 Apr 2017	excellent	54.58048	16.86194
Camayenne	GN	07 Oct 2014	accep	9.535	-13.68778
Davangere	IN	2019-10-04	accep	14.46693	75.92694
Jumilla	ES	2022-06-28	excellent	38.47917	-1.325
Qazax	AZ	14 Apr 2020	maintenance	41.09246	45.36561
Montana	BG	28 Dec 2015	excellent	43.4125	23.225
Xinzhou	CN	05/03/2016, 00:00:00	excellent	38.40917	112.73333
Verl	DE	18 May 2015	excellent	51.88333	8.51667
Beidao	CN	2013/12/27	good	34.56861	105.89333
Hueytown	US	2019/07/27	good	33.45122	-86.99666
Azrou	MA	12/14/2014, 00:00:00	average	33.43443	-5.22126
Sharypovo	RU	2017/02/27	excellent	55.54028	89.20083
Rwamagana	RW	10/13/2017, 00:00:00	average	-1.9487	30.4347
Deltona	US	22 May 2013	good	28.90054	-81.26367
Ataq	YE	02 Jul 2016	accep	14.53767	46.83187
Azrou	MA	01/23/2013, 00:00:00	maintenance	33.43443	-5.22126
Recodo	PH	03/14/2016, 00:00:00	building	6.95194	121.96361
Covington	US	21 Aug 2019	good	39.08367	-84.50855
Carnaxide	PT	2013-04-05	average	38.72706	-9.24671
Rangia	IN	06/14/2022, 00:00:00	good	26.44931	91.61356
Pleasant Prairie	US	2016/05/14	excellent	42.55308	-87.93341
Skalica	SK	23 May 2015	average	48.8449	17.22635
Ariccia	IT	22 Apr 2015	good	41.72063	12.6723
Naga	PH	06/08/2020, 00:00:00	maintenance	10.20898	123.758
el Camp de l'Arpa del Clot	ES	2015/11/26	accep	41.41204	2.18247
Chiavari	IT	10 Aug 2020	average	44.31771	9.32241
Tortona	IT	2020-07-12	good	44.89784	8.86374
Nova Kakhovka	UA	03/24/2017, 00:00:00	average	46.75451	33.34864
Custoias	PT	12/15/2012, 00:00:00	average	41.1053	-7.32097
Msaken	TN	2016-12-18	maintenance	35.72917	10.58082
Serinhisar	TR	2012-09-27	good	37.58105	29.26639
Saratoga Springs	US	2017/04/25	good	40.34912	-111.90466
Hechingen	DE	03 Nov 2014	average	48.35149	8.96317
Castelfranco Emilia	IT	11/19/2017, 00:00:00	maintenance	44.59445	11.04979
Ukmerge	LT	02 Sep 2013	good	55.25	24.75
Mvomero	TZ	07/03/2016, 00:00:00	average	-6.25	38.66667
Jersey City	US	2021/10/24	average	40.72816	-74.07764
Markham	CA	21 Jan 2015	average	43.86682	-79.2663
Novelda	ES	2021-09-04	average	38.38479	-0.76773
Chacabuco	AR	04/04/2018, 00:00:00	average	-34.64167	-60.47389
Shreveport	US	2014-04-19	maintenance	32.52515	-93.75018
Kediri	ID	06/19/2015, 00:00:00	average	-7.81667	112.01667
Friedberg	DE	15 Aug 2013	excellent	48.35693	10.98461
Tebingtinggi	ID	2019/05/27	average	3.3285	99.1625
Antanifotsy	MG	2012/10/12	average	-19.65	47.31667
Labuhan Deli	ID	10/07/2021, 00:00:00	maintenance	3.7278	98.6738
Ilopango	SV	17 Aug 2018	maintenance	13.70167	-89.10944
Saraj	MK	2019-02-25	accep	42	21.32778
Hoogezand	NL	15 Oct 2012	excellent	53.16167	6.76111
Ishim	RU	02/18/2019, 00:00:00	accep	56.11281	69.49015
Marseille 11	FR	2018-01-11	average	43.2907	5.4384
Sonzacate	SV	2020/09/07	accep	13.73417	-89.71472
Pune	IN	2022-08-20	good	18.51957	73.85535
Nonoichi	JP	19 May 2021	maintenance	36.53333	136.61667
Carnot	CF	2018/11/29	average	4.94273	15.87735
West Chester	US	2018/01/25	excellent	39.96097	-75.60804
Timaru	NZ	2022/01/09	excellent	-44.39672	171.25364
Tarakan	ID	17 Sep 2022	maintenance	3.31332	117.59152
Balikpapan	ID	2015/02/11	excellent	-1.26753	116.82887
Zhukovka	RU	06 Jan 2013	average	53.53395	33.72798
Lexington	US	2012-10-13	accep	33.98154	-81.23621
Hungund	IN	20 Nov 2014	maintenance	16.06213	76.0586
Donggongon	MY	21 Oct 2018	good	5.90702	116.10146
Manikchari	BD	2015-09-24	good	22.83957	91.84128
Ulu Tiram	MY	2022/04/25	accep	1.6	103.81667
Port Huron	US	08/23/2014, 00:00:00	accep	42.97086	-82.42491
Novosilikatnyy	RU	2013/01/22	good	53.30972	83.62389
Great Wyrley	GB	27 Jul 2014	average	52.66277	-2.01111
Fort Washington	US	03 Jul 2017	excellent	38.70734	-77.02303
Arles	FR	2021/06/15	accep	43.67681	4.63031
Le Chesnay	FR	11 Oct 2015	building	48.8222	2.12213
Ueno-ebisumachi	JP	15 Feb 2016	average	34.75856	136.13108
Leioa	ES	2021-03-01	average	43.32686	-2.98884
Pontevedra	AR	18 Sep 2016	excellent	-34.74785	-58.70072
Odessa	US	07/25/2019, 00:00:00	good	31.84568	-102.36764
Bothell	US	2022/04/28	maintenance	47.76232	-122.2054
Villaquilambre	ES	2014/02/19	accep	42.64685	-5.55835
Daud Khel	PK	11/08/2017, 00:00:00	accep	32.87533	71.57118
Pfullingen	DE	12 May 2015	accep	48.46458	9.22796
Cuenca	EC	03/21/2016, 00:00:00	accep	-2.90055	-79.00453
Caldas Novas	BR	2021/08/06	maintenance	-17.74431	-48.62789
Salima	MW	22 Sep 2014	average	-13.7804	34.4587
Varadero	CU	01/17/2013, 00:00:00	average	23.15678	-81.24441
Isfahan	IR	03 Nov 2013	excellent	32.65246	51.67462
Lons-le-Saunier	FR	03 Apr 2022	average	46.67535	5.55575
Socorro	CO	03 Feb 2014	average	6.46838	-73.26022
Nonsan	KR	02/17/2013, 00:00:00	excellent	36.20389	127.08472
Longview	US	10 May 2021	accep	32.5007	-94.74049
Brazzaville	CG	22 Jun 2013	good	-4.26613	15.28318
Jhol	PK	10 Oct 2017	good	25.95533	68.88871
Bar-le-Duc	FR	2019/11/27	maintenance	48.77275	5.16108
Strood	GB	12/02/2017, 00:00:00	building	51.39323	0.47713
Canton	US	03/28/2022, 00:00:00	accep	42.30865	-83.48216
Rafiganj	IN	20 Oct 2016	excellent	24.81757	84.63445
Segundo Ensanche	ES	2018-05-18	average	42.8139	-1.64295
Pleasant Prairie	US	10/08/2014, 00:00:00	good	42.55308	-87.93341
Memmingen	DE	2019/02/13	good	47.98372	10.18527
Lower West Side	US	2022/05/14	excellent	41.8542	-87.66561
Kidodi	TZ	2019/10/21	excellent	-7.60361	37.00438
Rajaori	IN	27 Feb 2019	accep	33.37526	74.3092
Talavera de la Reina	ES	2014/09/29	average	39.96348	-4.83076
Alexandria	EG	2013-11-06	excellent	31.20176	29.91582
Kendall	US	2021-06-29	average	25.67927	-80.31727
Kolomyagi	RU	31 Jul 2013	excellent	60.02427	30.28491
Efon-Alaaye	NG	17 Mar 2020	excellent	7.65649	4.92235
Recife	BR	13 Oct 2020	average	-8.05389	-34.88111
Andijon	UZ	04/17/2018, 00:00:00	average	40.78206	72.34424
Jizzax	UZ	2016-04-22	accep	40.11583	67.84222
Porterville	US	2021/06/25	excellent	36.06523	-119.01677
Kyzylorda	KZ	30 Nov 2021	accep	44.85278	65.50917
Walsrode	DE	09/21/2017, 00:00:00	building	52.86147	9.5926
Pamiers	FR	03 Feb 2014	excellent	43.11667	1.6
New City	US	2019-07-04	good	41.80753	-87.65644
Port Huron	US	06 May 2014	excellent	42.97086	-82.42491
Houthalen	BE	2012-12-05	building	51.03427	5.37429
Igbara-Odo	NG	10 Nov 2014	accep	7.50251	5.06258
Searcy	US	2017-01-11	building	35.25064	-91.73625
Budva	ME	2013/04/06	acceptable	42.28639	18.84
Ulanhot	CN	2020/07/27	accep	46.08333	122.08333
Westchester	US	24 Jul 2022	excellent	41.85059	-87.882
Neuburg an der Donau	DE	2017-07-10	building	48.73218	11.18709
Ragusa	IT	2017-05-31	excellent	36.92574	14.72443
Olanchito	HN	2022-07-20	building	15.48131	-86.57415
Iwade	JP	2016/06/05	excellent	34.25	135.31667
Greenfield	US	2014/11/02	accep	39.78504	-85.76942
Watsonville	US	2021-03-20	building	36.91023	-121.75689
Dax	FR	2022-03-12	good	43.71032	-1.05366
Smolyan	BG	2016-12-29	accep	41.57439	24.71204
Periyakulam	IN	08/23/2016, 00:00:00	average	10.12268	77.54372
Dorval	CA	2018-08-15	accep	45.4473	-73.75335
Palestine	US	2018-04-30	average	31.76212	-95.63079
Schwalmtal	DE	07/29/2019, 00:00:00	accep	51.21667	6.26667
Kachkanar	RU	13 May 2022	maintenance	58.7002	59.4839
Naushahra Virkan	PK	2014-10-04	average	31.96258	73.97117
Lower West Side	US	2013/05/31	building	41.8542	-87.66561
Tavda	RU	24 May 2020	maintenance	58.04254	65.27258
Shepetivka	UA	2022-04-13	excellent	50.18545	27.06365
Front Royal	US	25 Jan 2022	average	38.91817	-78.19444
Besuki	ID	2016-05-09	excellent	-7.73379	113.69785
Montpellier	FR	26 Dec 2014	average	43.61092	3.87723
Bonoua	CI	02/10/2021, 00:00:00	accep	5.27247	-3.59625
Front Royal	US	2019-01-06	good	38.91817	-78.19444
Mbalmayo	CM	2022-05-21	average	3.51667	11.5
Ulan-Ude	RU	03/08/2016, 00:00:00	good	51.82721	107.60627
Muncar	ID	24 Dec 2015	maintenance	-8.43333	114.33333
Jaworzno	PL	2014/09/27	good	50.20528	19.27498
Fairview Heights	US	09/19/2017, 00:00:00	average	38.58894	-89.99038
Inverness	GB	2019-12-10	good	57.47908	-4.22398
Westchester	US	2022-02-01	average	41.85059	-87.882
Afragola	IT	2012/11/18	average	40.92298	14.30935
La Ligua	CL	25 Dec 2012	accep	-32.45242	-71.23106
Cardedeu	ES	2017-07-25	excellent	41.63976	2.35739
Patnos	TR	2013/01/18	accep	39.22493	42.85693
Bonoua	CI	2022-05-21	building	5.27247	-3.59625
Tupi	PH	2016-04-08	accep	6.33444	124.95278
Zhoushan	CN	2016-03-14	accep	29.98869	122.20488
Ar Ruseris	SD	09/07/2013, 00:00:00	accep	11.8659	34.3869
Hutchinson	US	04/06/2019, 00:00:00	average	38.06084	-97.92977
Rangia	IN	2021-03-04	building	26.44931	91.61356
Hasilpur	PK	04/27/2014, 00:00:00	accep	29.69221	72.54566
Astara	AZ	2013/01/17	accep	38.45598	48.87498
Dublin	US	02 Apr 2019	good	32.54044	-82.90375
Tinaquillo	VE	2013-07-27	good	9.91861	-68.30472
Shepetivka	UA	2017/08/10	building	50.18545	27.06365
Nonoichi	JP	11/25/2018, 00:00:00	good	36.53333	136.61667
Bad Honnef	DE	2019-07-22	good	50.64336	7.2278
Aklera	IN	12/17/2017, 00:00:00	maintenance	24.41288	76.56719
Andijon	UZ	08/06/2021, 00:00:00	good	40.78206	72.34424
Talavera de la Reina	ES	2016-10-21	average	39.96348	-4.83076
Sathyamangalam	IN	05 Jun 2013	good	11.50526	77.23826
Dehiwala-Mount Lavinia	LK	2014-12-02	excellent	6.84019	79.87116
Rosedale	US	27 May 2014	accep	39.32011	-76.51552
Recodo	PH	2018-12-09	maintenance	6.95194	121.96361
Thap Than	TH	21 May 2019	accep	15.46063	99.89166
Iron River	US	2017/08/11	building	46.09273	-88.64235
Elamanchili	IN	2017/09/01	good	17.54907	82.85749
Granger	US	2014/01/10	good	41.75338	-86.11084
Pleasant Prairie	US	2016-10-11	average	42.55308	-87.93341
Astara	AZ	23 Aug 2022	maintenance	38.45598	48.87498
Rosedale	US	09/19/2021, 00:00:00	maintenance	39.32011	-76.51552
Troutdale	US	2019/07/06	maintenance	45.53929	-122.38731
Tornio	FI	2014/07/01	good	65.84811	24.14662
Karben	DE	10/06/2017, 00:00:00	accep	50.23019	8.77155
Shagamu	NG	09/17/2013, 00:00:00	accep	6.8485	3.64633
Ulanhot	CN	2018/12/10	building	46.08333	122.08333
East Jerusalem	PS	28 Dec 2018	excellent	31.78336	35.23388
Scotch Plains	US	2012-12-05	average	40.65538	-74.38987
Pucheng	CN	2017/12/08	accep	27.92333	118.53333
Paoy Paet	KH	22 Sep 2015	accep	13.65805	102.56365
Bonoua	CI	2018-03-27	good	5.27247	-3.59625
Danjiangkou	CN	2020-09-20	good	32.54278	111.50861
Nutley	US	31 Oct 2014	excellent	40.82232	-74.15987
Betamcherla	IN	2015/07/02	accep	15.45144	78.14797
Xinzhou	CN	2018-02-21	maintenance	38.40917	112.73333
Sathyamangalam	IN	18 Apr 2018	accep	11.50526	77.23826
Middletown	US	2021/03/20	good	41.54566	-71.29144
Masbate	PH	10/04/2018, 00:00:00	accep	12.37169	123.62494
Bhit Shah	PK	2018/07/22	good	25.80565	68.49143
Tianfu	CN	05/13/2018, 00:00:00	building	37.19723	122.05228
Puertollano	ES	2016/01/13	maintenance	38.68712	-4.10734
Thap Than	TH	2020/08/04	building	15.46063	99.89166
Jersey City	US	01/01/2013, 00:00:00	good	40.72816	-74.07764
Brzeg	PL	2015-12-30	accep	50.86079	17.4674
Robertsonpet	IN	03/16/2015, 00:00:00	excellent	12.95629	78.27539
Bang Ban	TH	01/19/2018, 00:00:00	accep	14.37395	100.48528
Petrozavodsk	RU	2018-07-15	average	61.78491	34.34691
Bisceglie	IT	2014/11/26	good	41.24264	16.50104
Pekanbaru	ID	2019-09-28	building	0.51667	101.44167
Nkpor	NG	09/22/2017, 00:00:00	average	6.15038	6.83042
Soure	BR	2019/04/08	good	-0.71667	-48.52333
Yingkou	CN	02/20/2018, 00:00:00	excellent	40.66482	122.22833
San Jose	PH	2018-05-28	excellent	12.35275	121.06761
Tyler	US	2017/05/17	maintenance	32.35126	-95.30106
Standerton	ZA	2019/04/19	average	-26.93366	29.24152
Shalqar	KZ	2016/03/16	maintenance	47.83333	59.6
Ksar Chellala	DZ	2013/06/13	good	35.21222	2.31889
Barneveld	NL	2016-01-15	accep	52.14	5.58472
Likhobory	RU	03 Aug 2020	accep	55.85	37.56667
Perth	AU	2014/08/09	average	-31.95224	115.8614
Izluchinsk	RU	2018/12/20	accep	60.97944	76.92421
Fujioka	JP	2014/12/06	average	36.24624	139.07204
Daud Khel	PK	07/09/2018, 00:00:00	accep	32.87533	71.57118
Vitebsk	BY	2022-07-24	good	55.1904	30.2049
Okegawa	JP	2016/10/14	average	36	139.55722
Les Olives	FR	05/27/2022, 00:00:00	accep	43.32393	5.4584
'Ali Sabieh	DJ	2013-08-20	good	11.15583	42.7125
Yablonovskiy	RU	09/28/2017, 00:00:00	building	44.98901	38.94324
Houthalen	BE	13 Apr 2013	maintenance	51.03427	5.37429
Rudolstadt	DE	2022-09-03	building	50.72043	11.34046
Les Olives	FR	04 Jun 2019	average	43.32393	5.4584
High Wycombe	GB	2015/02/22	maintenance	51.62907	-0.74934
Clacton-on-Sea	GB	2018-07-10	excellent	51.78967	1.15597
Carlos Barbosa	BR	28 Dec 2014	average	-29.2975	-51.50361
Casa Blanca	MX	10/18/2018, 00:00:00	accep	19.04222	-98.11889
Aklera	IN	04/13/2020, 00:00:00	excellent	24.41288	76.56719
Privolzhskiy	RU	2015/10/30	accep	51.40944	46.04833
Parola	IN	2019/07/23	good	20.88098	75.11937
Tupi	PH	29 Dec 2016	average	6.33444	124.95278
Esperanza	AR	2021-03-31	average	-31.4488	-60.93173
Tak Bai	TH	09/01/2017, 00:00:00	excellent	6.25947	102.05461
New City	US	2015/10/14	excellent	41.80753	-87.65644
Svatove	UA	04/18/2015, 00:00:00	average	49.41029	38.15035
Busia	KE	2022-05-02	accep	0.46005	34.11169
Niort	FR	06/17/2016, 00:00:00	building	46.32313	-0.45877
Hita	JP	2021-02-28	accep	33.3213	130.94098
Honda	CO	20 Jul 2016	good	5.20856	-74.73584
Lanciano	IT	08 Mar 2020	excellent	42.22718	14.39024
Niort	FR	2015/02/07	accep	46.32313	-0.45877
Gaziantep	TR	12/04/2017, 00:00:00	maintenance	37.05944	37.3825
Clacton-on-Sea	GB	2021/08/19	average	51.78967	1.15597
Ksar Chellala	DZ	02/15/2018, 00:00:00	excellent	35.21222	2.31889
Mbalmayo	CM	11 Nov 2021	good	3.51667	11.5
Pontevedra	AR	20 Sep 2014	excellent	-34.74785	-58.70072
Naro-Fominsk	RU	2021-05-24	accep	55.38752	36.73307
Aberdeen	GB	2017/04/20	maitennce	57.14369	-2.09814
Artsyz	UA	2014/12/08	accep	45.99194	29.41824
Rhosllanerchrugog	GB	2013-12-05	excellent	53.00974	-3.05814
Ulan-Ude	RU	07/24/2017, 00:00:00	average	51.82721	107.60627
Ulan Bator	MN	12 Sep 2021	building	47.90771	106.88324
Keene	US	11/09/2015, 00:00:00	accep	42.93369	-72.27814
Norco	US	07 Apr 2015	maintenance	33.93113	-117.54866
San Giuliano Milanese	IT	2015-08-22	good	45.39402	9.29109
Cuenca	EC	10/25/2020, 00:00:00	accep	-2.90055	-79.00453
Mongo	TD	02/25/2014, 00:00:00	good	12.18441	18.69303
Schwalmtal	DE	2016-07-29	average	51.21667	6.26667
San Carlos	CO	2017-02-09	good	8.79577	-75.69947
San Fernando de Henares	ES	08/15/2019, 00:00:00	maintenance	40.42386	-3.53261
Jumilla	ES	01/01/2020, 00:00:00	excellent	38.47917	-1.325
Liberia	CR	2014/04/19	building	10.63504	-85.43772
Boyeros	CU	09 Feb 2019	excellent	23.0072	-82.4017
Kalavoor	IN	2012/10/11	average	9.57046	76.32756
Sonzacate	SV	2016-11-12	average	13.73417	-89.71472
Camarillo	US	22 Jan 2014	average	34.21639	-119.0376
Volokolamsk	RU	21 Sep 2015	good	56.03361	35.96944
Polohy	UA	09/09/2016, 00:00:00	accep	47.48444	36.25361
Tarkwa	GH	2021-11-04	average	5.30383	-1.98956
Cypress Hills	US	05/04/2016, 00:00:00	good	40.67705	-73.89125
Osmanabad	IN	12/05/2016, 00:00:00	maintenance	18.18158	76.03889
La Garenne-Colombes	FR	10 Jul 2018	good	48.90472	2.2469
Oktyabr’skiy	RU	2015/08/07	accep	54.48147	53.47103
Le Chesnay	FR	08/18/2017, 00:00:00	maintenance	48.8222	2.12213
Argungu	NG	2017/01/20	excellent	12.74482	4.52514
