QoS	latitude	station	code	revision	longitude
accep	39.32011	Rosedale	US	05/15/2018, 00:00:00	-76.51552
excellent	53.0233	Belper	GB	2014-04-03	-1.48119
excellent	46.1351	Sydney	CA	08/02/2015, 00:00:00	-60.1831
accep	47.92526	Grand Forks	US	2016/09/02	-97.03285
excellent	50.71229	Rixensart	BE	21 Sep 2016	4.52529
accep	32.35126	Tyler	US	02/05/2018, 00:00:00	-95.30106
average	39.59611	Edremit	TR	2015/11/23	27.02444
excellent	39.71734	Sicklerville	US	2016/06/19	-74.96933
building	37.74615	Ponta Delgada	PT	2020/08/15	-25.66689
excellent	48.78232	Stuttgart	DE	30 Jan 2014	9.17702
good	42.93369	Keene	US	19 May 2018	-72.27814
building	55.8736	Yashkino	RU	2018-04-29	85.4265
maintenance	43.48961	Ferrol	ES	2017-02-09	-8.2194
excellent	5.27247	Bonoua	CI	2019/05/29	-3.59625
excellent	18.42745	Aguadilla	PR	26 Sep 2017	-67.15407
accep	-28.44917	Marau	BR	2016/09/30	-52.2
excellent	44.99012	Keizer	US	07/20/2022, 00:00:00	-123.02621
good	14.93333	Chichicastenango	GT	2017/03/18	-91.11667
average	-33.59217	San Bernardo	CL	2020/12/28	-70.6996
maintenance	37.73222	Hengshui	CN	2022/01/23	115.70111
accep	37.31309	Mardin	TR	05 Jun 2015	40.74357
excellent	1.6561	Kulai	MY	2019-09-17	103.6032
excellent	33.44872	Vestavia Hills	US	2020-05-29	-86.78777
accep	45.53929	Troutdale	US	2016/05/16	-122.38731
good	-26.93366	Standerton	ZA	07 Nov 2013	29.24152
excellent	40.5576	Woodbridge	US	2021/03/08	-74.28459
building	3.8801	Buenaventura	CO	2014-02-07	-77.03116
maintenance	-4.5833	Kasangulu	CD	2016/05/22	15.16554
excellent	51.12794	Temse	BE	05/06/2016, 00:00:00	4.21372
accep	21.59983	Amreli	IN	02/15/2018, 00:00:00	71.21169
excellent	55.8736	Yashkino	RU	2022/07/27	85.4265
average	59.80917	Shushary	RU	2012-10-31	30.38167
accep	41.72063	Ariccia	IT	09/02/2016, 00:00:00	12.6723
good	40.63316	Port Richmond	US	2013-09-19	-74.13653
accep	20.14298	Media Luna	CU	17 Feb 2018	-77.43532
average	25.13915	Sheoganj	IN	02 Dec 2017	73.06784
excellent	27.34089	Shaowu	CN	2018/04/12	117.4831
accep	50.80019	Siegburg	DE	30 Aug 2022	7.20769
good	45.69558	Saint-Genis-Laval	FR	04/11/2013, 00:00:00	4.7934
excellent	24.81757	Rafiganj	IN	2018-09-23	84.63445
good	11.93381	Puducherry	IN	03 Mar 2016	79.82979
accep	39.22493	Patnos	TR	08/31/2014, 00:00:00	42.85693
building	60.02427	Kolomyagi	RU	05/09/2014, 00:00:00	30.28491
excellent	5.27247	Bonoua	CI	2020-01-26	-3.59625
accep	0.03813	Nyahururu	KE	2019/07/10	36.36339
good	51.38673	Hartley	GB	06/26/2020, 00:00:00	0.30367
maintenance	48.79325	Fontenay-aux-Roses	FR	08/06/2014, 00:00:00	2.29275
average	50.79205	Southsea	GB	2020-11-10	-1.08593
average	41.09822	Nanpiao	CN	2015-01-31	120.74792
average	52.14	Barneveld	NL	2015/06/30	5.58472
average	39.78504	Greenfield	US	2015/07/03	-85.76942
average	52.4089	Dobrush	BY	2018/12/25	31.3237
accep	32.50611	Jiangyan	CN	2020/09/30	120.14278
average	6.46346	Bibiani	GH	25 Feb 2013	-2.31938
average	25.87972	Heroica Matamoros	MX	2022-06-17	-97.50417
excellent	23.1959	Kenda	IN	08/16/2017, 00:00:00	86.51499
accep	12.74482	Argungu	NG	12/29/2019, 00:00:00	4.52514
accep	41.84364	South Lawndale	US	2016-03-23	-87.71255
accep	54.8421	Alatyr’	RU	06/05/2022, 00:00:00	46.5813
good	23.07492	Pandua	IN	30 Nov 2020	88.28637
good	33.93113	Norco	US	2012-10-20	-117.54866
maintenance	45.49428	Aloha	US	2012/11/21	-122.86705
good	34.5624	Tadmur	SY	03/04/2017, 00:00:00	38.28402
average	53.16167	Hoogezand	NL	20 Jul 2021	6.76111
building	50.88506	Denderleeuw	BE	2017-11-01	4.07601
average	40.67705	Cypress Hills	US	2022-01-27	-73.89125
excellent	37.13548	Las Gabias	ES	12/11/2017, 00:00:00	-3.67029
good	31.28092	Patti	IN	08 Aug 2015	74.85849
average	-22.45667	Santa Gertrudes	BR	05/08/2018, 00:00:00	-47.53028
maitennce	57.97472	Valday	RU	2015-06-13	33.2525
excellent	43.41949	Otegen Batyra	KZ	03/24/2021, 00:00:00	77.0202
average	47.92526	Grand Forks	US	01/02/2021, 00:00:00	-97.03285
excellent	38.37255	Aksaray	TR	01 Nov 2015	34.02537
accep	31.71667	Sangla Hill	PK	2013/02/18	73.38333
average	21.53889	Gariadhar	IN	08/16/2016, 00:00:00	71.57737
average	50.82709	Wesseling	DE	2016-12-26	6.9747
building	53.83333	Poulton-le-Fylde	GB	2021/01/07	-2.98333
average	-21.42917	Alfenas	BR	2021/03/14	-45.94722
accep	40.87363	Volla	IT	02/22/2019, 00:00:00	14.34085
average	53.0233	Belper	GB	2015-03-24	-1.48119
excellent	55.82885	Rutherglen	GB	2022-08-08	-4.21376
acceptable	36.53333	Nonoichi	JP	2012-12-27	136.61667
good	36.65	Suzaka	JP	10/31/2017, 00:00:00	138.31667
accep	54.39635	Alytus	LT	17 Sep 2022	24.04142
excellent	53.37596	Otradnyy	RU	24 Feb 2013	51.3452
excellent	40.24537	Pottstown	US	10/04/2017, 00:00:00	-75.64963
accep	51.47805	Oberhausen	DE	10/04/2016, 00:00:00	6.8625
maintenance	40.72816	Jersey City	US	2015/10/26	-74.07764
excellent	4.92675	Yenagoa	NG	2015/08/10	6.26764
excellent	30.76468	Kanganpur	PK	2021-02-05	74.12286
accep	27.76056	Maspalomas	ES	01 Nov 2017	-15.58602
good	65.84811	Tornio	FI	01 Apr 2020	24.14662
maintenance	31.12406	Copperas Cove	US	2018-12-22	-97.90308
good	23.07492	Pandua	IN	2015-08-09	88.28637
good	40.87363	Volla	IT	03/27/2015, 00:00:00	14.34085
excellent	-27.4338	Aguilares	AR	2019/10/29	-65.61427
building	39.43534	Lebanon	US	16 Feb 2022	-84.20299
building	36.76639	Boumerdas	DZ	2022/05/11	3.47717
building	43.61058	Colomiers	FR	2014/11/29	1.33467
excellent	36.19278	Laiwu	CN	02/05/2015, 00:00:00	117.65694
accep	50.7236	Exeter	GB	2022/01/27	-3.52751
accep	5.6561	Andes	CO	12/06/2016, 00:00:00	-75.87877
excellent	51.44889	Tongelre	NL	02/02/2016, 00:00:00	5.51978
building	37.65181	Longgang	CN	12/20/2013, 00:00:00	120.33063
good	16.0438	Manaoag	PH	24 Dec 2013	120.4861
excellent	42.7	Aytos	BG	2019/07/09	27.25
accep	38.06084	Hutchinson	US	2013/01/21	-97.92977
excellent	40.81	Morningside Heights	US	16 Nov 2013	-73.9625
accep	45.43341	Beaconsfield	CA	2014-06-24	-73.86586
accep	46.08333	Ulanhot	CN	2016/07/28	122.08333
good	4.73245	Madrid	CO	2015-10-15	-74.26419
excellent	40.72816	Jersey City	US	18 Jun 2022	-74.07764
excellent	21.53889	Gariadhar	IN	16 Dec 2013	71.57737
excellent	50.74497	Mouscron	BE	03/30/2022, 00:00:00	3.20639
accep	26.32293	Barpeta	IN	2016-10-19	91.00632
average	57.14369	Aberdeen	GB	27 Sep 2016	-2.09814
excellent	-31.4488	Esperanza	AR	2021/10/25	-60.93173
good	51.38673	Hartley	GB	2012-12-08	0.30367
average	30.81383	Moga	IN	2020-05-28	75.16878
maintenance	37.73604	Riverbank	US	2016/05/04	-120.93549
average	-7.76667	Iringa	TZ	2016-01-10	35.7
accep	48.06919	Gauting	DE	2016/06/03	11.37703
maintenance	52.68333	East Dereham	GB	2022-01-26	0.93333
excellent	39.12074	Bergama	TR	2014-11-01	27.18052
good	52.47774	Gifhorn	DE	01/22/2016, 00:00:00	10.5511
accep	1.6561	Kulai	MY	14 Jun 2014	103.6032
average	11.8659	Ar Ruseris	SD	2017/04/20	34.3869
accep	-21.42917	Alfenas	BR	2016-04-26	-45.94722
average	12.35275	San Jose	PH	2022-05-29	121.06761
average	18.18158	Osmanabad	IN	10/22/2014, 00:00:00	76.03889
average	25.92493	Sojat	IN	2022/06/08	73.66633
average	35.21222	Ksar Chellala	DZ	2020-07-19	2.31889
accep	51.21667	Schwalmtal	DE	2017-07-07	6.26667
good	53.38333	Gainsborough	GB	2019/01/17	-0.76667
good	26.2173	North Lauderdale	US	31 Dec 2019	-80.22588
accep	43.91452	Brunswick	US	02 Jun 2013	-69.96533
average	30.16688	Brenham	US	20 Jan 2017	-96.39774
excellent	52.71083	Emmeloord	NL	2013/08/20	5.74861
accep	32.9156	Mira Mesa	US	2017-02-09	-117.14392
good	55.82737	Viewpark	GB	2017-11-09	-4.0573
average	40.87363	Volla	IT	2019-11-25	14.34085
good	36.06523	Porterville	US	10/05/2021, 00:00:00	-119.01677
maintenance	50.75932	Lutsk	UA	03/03/2013, 00:00:00	25.34244
good	21.28306	Progreso	MX	2021/10/27	-89.66123
good	33.44872	Vestavia Hills	US	2017/12/11	-86.78777
average	17.06542	Oaxaca	MX	29 May 2021	-96.72365
maintenance	50.71229	Rixensart	BE	01 Feb 2016	4.52529
building	32.54278	Danjiangkou	CN	08/09/2014, 00:00:00	111.50861
maintenance	23.29549	Licheng	CN	2019/06/03	113.82465
good	-34.28853	Griffith	AU	2013-09-04	146.05093
good	12.25282	Gingee	IN	02/02/2020, 00:00:00	79.41727
good	0.03813	Nyahururu	KE	2020-10-09	36.36339
accep	41.80753	New City	US	2017-04-22	-87.65644
maintenance	38.72706	Carnaxide	PT	2017-08-21	-9.24671
excellent	-4.83	Mwandiga	TZ	07 Oct 2020	29.65806
excellent	30.76468	Kanganpur	PK	2021-06-18	74.12286
building	32.61603	Karbala	IQ	12/15/2020, 00:00:00	44.02488
excellent	51.39148	Surbiton	GB	2012/12/01	-0.29825
average	61.72744	Hudiksvall	SE	11 Mar 2015	17.10558
average	42.7392	Waverly	US	03/03/2017, 00:00:00	-84.62081
average	53.7446	Kingston upon Hull	GB	2015-08-10	-0.33525
excellent	17.06542	Oaxaca	MX	10 Nov 2017	-96.72365
average	51.21667	Schwalmtal	DE	08/22/2020, 00:00:00	6.26667
building	35.6803	Shahre Jadide Andisheh	IR	2018-05-18	51.0193
good	36.20829	Pahrump	US	10/25/2016, 00:00:00	-115.98391
average	57.14369	Aberdeen	GB	24 Oct 2019	-2.09814
maintenance	24.81757	Rafiganj	IN	13 Jan 2019	84.63445
good	55.75556	Ozersk	RU	2017-12-27	60.70278
good	-10.91111	Aracaju	BR	2022-04-08	-37.07167
excellent	54.84444	Kashira	RU	08/08/2021, 00:00:00	38.16694
average	34.09668	Claremont	US	25 Jan 2017	-117.71978
excellent	44.31771	Chiavari	IT	2019-06-05	9.32241
building	-27.76952	Vryheid	ZA	2012-10-04	30.79165
average	9.89206	Baki	SO	2018-04-06	43.38531
accep	-10.95817	Tucano	BR	03/18/2019, 00:00:00	-38.79084
maintenance	41.27194	Liaoyang	CN	18 May 2021	123.17306
accep	56.11281	Ishim	RU	2014-03-24	69.49015
building	36.21544	Sar-e Pul	AF	01 Aug 2013	65.93249
accep	43.61058	Colomiers	FR	01/16/2022, 00:00:00	1.33467
average	48.77644	Sceaux	FR	05/24/2014, 00:00:00	2.29026
average	35.25064	Searcy	US	2014/01/21	-91.73625
excellent	41.1053	Custoias	PT	2017-09-03	-7.32097
accep	48.73218	Neuburg an der Donau	DE	09/29/2016, 00:00:00	11.18709
average	12.74409	Kati	ML	2020/08/05	-8.07257
maintenance	9.82564	Tiruppuvanam	IN	10 Nov 2013	78.25795
maintenance	48.98693	Gonesse	FR	2013-04-07	2.44892
good	23.5654	Magong	TW	2017/08/03	119.58627
excellent	-10.95817	Tucano	BR	2014-12-11	-38.79084
accep	27.34089	Shaowu	CN	12 Jun 2013	117.4831
average	26.2173	North Lauderdale	US	01 Jun 2021	-80.22588
accep	40.42386	San Fernando de Henares	ES	2015-02-07	-3.53261
accep	45.44868	Pointe-Claire	CA	2021/06/15	-73.81669
average	42.93369	Keene	US	09/10/2020, 00:00:00	-72.27814
excellent	41.55838	Collinwood	US	16 Nov 2012	-81.56929
accep	23.04419	Jaruco	CU	2022-06-08	-82.00919
building	32.5007	Longview	US	17 Aug 2017	-94.74049
good	7.06273	Mampong	GH	03/22/2014, 00:00:00	-1.4001
good	8.43333	Nakhon Si Thammarat	TH	2014-03-20	99.96667
excellent	30.5427	Hutto	US	10/26/2015, 00:00:00	-97.54667
excellent	11.15583	'Ali Sabieh	DJ	08 Jan 2022	42.7125
excellent	33.76446	North Tustin	US	2014-11-10	-117.79394
excellent	3.51667	Mbalmayo	CM	18 Nov 2020	11.5
good	-4.83	Mwandiga	TZ	11 Oct 2020	29.65806
maintenance	47.64995	Opportunity	US	06/13/2017, 00:00:00	-117.23991
good	40.64621	Kensington	US	25 Jun 2014	-73.97069
accep	31.76212	Palestine	US	2017/03/17	-95.63079
excellent	36.61033	Murray	US	01/06/2014, 00:00:00	-88.31476
average	9.535	Camayenne	GN	2017-04-04	-13.68778
average	41.15376	Bourbonnais	US	2015/08/27	-87.88754
building	3.27833	Kitgum	UG	2018-03-29	32.88667
excellent	37.74615	Ponta Delgada	PT	2020/02/04	-25.66689
accep	44.99012	Keizer	US	2014-08-28	-123.02621
excellent	31.12406	Copperas Cove	US	2015-08-19	-97.90308
good	60.18427	Kallio	FI	08/24/2016, 00:00:00	24.95034
average	44.92934	Krymsk	RU	09 Oct 2020	37.99117
excellent	31.39547	Rahat	IL	05/03/2018, 00:00:00	34.75699
maintenance	9.89206	Baki	SO	10/09/2015, 00:00:00	43.38531
accep	23.5654	Magong	TW	15 Jul 2019	119.58627
excellent	59.37722	Narva	EE	2013/10/24	28.19028
accep	50.7236	Exeter	GB	09/10/2013, 00:00:00	-3.52751
good	36.02506	Brentwood Estates	US	2015/11/11	-86.77917
good	43.31667	Gernika-Lumo	ES	2016/05/22	-2.68333
maintenance	45.53069	Gorgonzola	IT	2018-11-13	9.40531
accep	28.90054	Deltona	US	2019-07-31	-81.26367
good	16.75973	Tuxtla	MX	2019-12-06	-93.11308
average	53.93361	Kireyevsk	RU	05/10/2019, 00:00:00	37.92792
building	49.41029	Svatove	UA	2020-10-28	38.15035
accep	40.42386	San Fernando de Henares	ES	2016-10-18	-3.53261
good	-1.26424	Simpang	ID	2018/12/31	104.09701
building	4.88441	Gua Musang	MY	13 Mar 2013	101.96857
good	41.91738	Palafrugell	ES	02/25/2022, 00:00:00	3.1631
accep	51.19139	Korschenbroich	DE	26 Jan 2019	6.51352
maintenance	-11.78333	Luena	AO	2021/04/30	19.91667
accep	43.62558	Falconara Marittima	IT	11 Dec 2019	13.39954
building	64.5635	Severodvinsk	RU	06/03/2019, 00:00:00	39.8302
good	21.01858	Guanajuato	MX	11 Jun 2013	-101.2591
average	34.25	Iwade	JP	2019/11/15	135.31667
good	33.72255	Palm Desert	US	2022-04-19	-116.37697
good	-5.85746	Mount Hagen	PG	2016/10/11	144.23058
good	23.0072	Boyeros	CU	2022/08/04	-82.4017
accep	53.49389	Mexborough	GB	03/16/2014, 00:00:00	-1.29243
good	53.81667	Blackpool	GB	2018/10/07	-3.05
excellent	21.28306	Progreso	MX	06/19/2017, 00:00:00	-89.66123
maintenance	24.96334	Ghat	LY	2022-09-03	10.18003
building	9.82564	Tiruppuvanam	IN	2019-03-15	78.25795
excellent	-20.87306	Viradouro	BR	2018/10/09	-48.29694
good	48.98693	Gonesse	FR	2017/10/05	2.44892
good	46.65581	Kherson	UA	2017/03/16	32.6178
good	43.86682	Markham	CA	30 Jan 2015	-79.2663
good	36.81667	Zhoucun	CN	2015/08/16	117.81667
average	14.64056	Kantharalak	TH	01/19/2013, 00:00:00	104.64992
accep	14.95472	Baliuag	PH	2021/10/31	120.89694
average	52.68333	East Dereham	GB	18 Feb 2017	0.93333
good	52.21099	Gronau	DE	2017-06-08	7.02238
good	54.58048	Ustka	PL	18 Sep 2022	16.86194
average	29.98869	Zhoushan	CN	2017-04-15	122.20488
good	-22.97056	Valinhos	BR	09 Mar 2017	-46.99583
maintenance	9.82564	Tiruppuvanam	IN	12/10/2015, 00:00:00	78.25795
good	39.22493	Patnos	TR	2012-11-01	42.85693
good	16.68911	Myawadi	MM	06/21/2021, 00:00:00	98.50893
excellent	50.82709	Wesseling	DE	2016-11-08	6.9747
building	54.48147	Oktyabr’skiy	RU	02/16/2018, 00:00:00	53.47103
average	39.78504	Greenfield	US	20 Mar 2013	-85.76942
good	32.35126	Tyler	US	12/21/2012, 00:00:00	-95.30106
good	51.65333	Vught	NL	2016-10-12	5.2875
good	38.96372	Chillum	US	18 Jul 2014	-76.99081
average	29.98869	Zhoushan	CN	01 Jul 2015	122.20488
accep	21.34222	Kundla	IN	06/10/2017, 00:00:00	71.30633
good	51.955	Culemborg	NL	2021/05/14	5.22778
maintenance	48.06919	Gauting	DE	12/31/2016, 00:00:00	11.37703
good	-10.91722	Lagarto	BR	11 Sep 2021	-37.65
accep	37.49223	Catania	IT	06/13/2016, 00:00:00	15.07041
excellent	35.30889	Kamakura	JP	07/15/2022, 00:00:00	139.55028
good	-10.33333	Nyangao	TZ	01 Jan 2014	39.28333
good	53.5942	Novogrudok	BY	27 Jun 2013	25.8191
accep	7.65649	Efon-Alaaye	NG	10 May 2017	4.92235
excellent	48.98333	Mitry-Mory	FR	2016/04/23	2.61667
building	55.85	Likhobory	RU	09/16/2017, 00:00:00	37.56667
accep	-31.25033	Rafaela	AR	22 Sep 2020	-61.4867
average	38.70734	Fort Washington	US	16 Jul 2014	-77.02303
average	26.67319	Juhaynah	EG	2014/10/14	31.4976
building	44.97639	Sremska Mitrovica	RS	2017/12/30	19.61222
average	37.1759	T’aebaek	KR	2015/01/15	128.9889
average	41.09822	Nanpiao	CN	2015-01-14	120.74792
good	45.0408	Columbia Heights	US	2018/09/15	-93.263
accep	43.67681	Arles	FR	03/30/2016, 00:00:00	4.63031
excellent	22.37066	Tsuen Wan	HK	01/19/2016, 00:00:00	114.10479
excellent	-3.14306	Itacoatiara	BR	08/26/2021, 00:00:00	-58.44417
maintenance	-11.94306	Chosica	PE	2021-06-03	-76.70944
average	39.00622	Sterling	US	2019/12/06	-77.4286
excellent	-6.25	Mvomero	TZ	2017-05-07	38.66667
good	56.03361	Volokolamsk	RU	2018/02/20	35.96944
maintenance	50.23019	Karben	DE	2017-11-25	8.77155
maintenance	30.16688	Brenham	US	2014-10-13	-96.39774
average	35.06544	Frenda	DZ	17 Feb 2021	1.04945
good	40.87363	Volla	IT	08/20/2021, 00:00:00	14.34085
excellent	11.86064	Gaya	NG	2012/12/30	9.0027
accep	19.8173	Teziutlan	MX	10/07/2016, 00:00:00	-97.35992
excellent	35.05266	Fayetteville	US	2022/03/14	-78.87836
maintenance	13.70167	Ilopango	SV	2019/01/07	-89.10944
good	34.86472	Zaozhuang	CN	03/08/2014, 00:00:00	117.55417
average	37.95143	Rolla	US	19 Aug 2016	-91.77127
accep	37.52487	Bon Air	US	20 Aug 2022	-77.55777
maintenance	50.75767	Lymington	GB	20 Jul 2020	-1.5443
average	25.13915	Sheoganj	IN	2016/11/29	73.06784
excellent	-33.75881	Baulkham Hills	AU	29 Aug 2017	150.99292
maintenance	-25.42778	Curitiba	BR	04/14/2021, 00:00:00	-49.27306
excellent	-7.73379	Besuki	ID	06 Apr 2019	113.69785
maintenance	-3.20333	Altamira	BR	2022-08-21	-52.20639
accep	42.24113	Crystal Lake	US	03/23/2013, 00:00:00	-88.3162
excellent	13.65805	Paoy Paet	KH	26 Apr 2017	102.56365
average	27.0174	Al Jubayl	SA	30 Sep 2018	49.62251
excellent	29.53885	Fresno	US	09/23/2018, 00:00:00	-95.44744
accep	41.27194	Liaoyang	CN	2021/04/12	123.17306
accep	36.46917	Beni Khiar	TN	2015/04/07	10.78222
excellent	30.21121	Malaut	IN	2020/04/08	74.4818
average	35.50056	Pingyi	CN	2018/09/01	117.63083
average	21.34222	Kundla	IN	05/31/2020, 00:00:00	71.30633
average	35.20889	Changzhi	CN	2019-06-08	111.73861
accep	44.92934	Krymsk	RU	11 May 2018	37.99117
average	56.56317	Arbroath	GB	04/16/2014, 00:00:00	-2.58736
building	11.00599	Kangayam	IN	13 Jul 2013	77.5609
good	41.85059	Westchester	US	2014-02-24	-87.882
excellent	49.97704	Aschaffenburg	DE	2019-06-13	9.15214
maintenance	53.93361	Kireyevsk	RU	13 Dec 2013	37.92792
excellent	-6.48167	Cibinong	ID	01/20/2019, 00:00:00	106.85417
average	26.68451	Belle Glade	US	2018/02/07	-80.66756
excellent	11.12018	Manjeri	IN	2017/05/15	76.11996
maintenance	45.44868	Pointe-Claire	CA	10/17/2018, 00:00:00	-73.81669
excellent	46.75451	Nova Kakhovka	UA	2014-12-06	33.34864
excellent	23.15678	Varadero	CU	2013/05/03	-81.24441
maintenance	45.0408	Columbia Heights	US	16 Aug 2022	-93.263
good	53.7446	Kingston upon Hull	GB	2015-12-12	-0.33525
average	50.9803	Weimar	DE	28 Mar 2016	11.32903
average	4.96667	Tonga	CM	2019-10-18	10.7
average	34.14251	Glendale	US	01/03/2018, 00:00:00	-118.25508
excellent	50.80019	Siegburg	DE	02/24/2015, 00:00:00	7.20769
average	12.35275	San Jose	PH	08/04/2020, 00:00:00	121.06761
excellent	14.8361	Guyong	PH	10/18/2020, 00:00:00	120.97844
average	51.40944	Privolzhskiy	RU	10/07/2021, 00:00:00	46.04833
average	54.84444	Kashira	RU	26 Sep 2014	38.16694
average	-1.26753	Balikpapan	ID	2014/10/21	116.82887
average	42.64685	Villaquilambre	ES	2020/12/10	-5.55835
building	32.55531	Chamba	IN	06/26/2015, 00:00:00	76.12647
good	38.10558	Caravaca	ES	06/05/2020, 00:00:00	-1.86343
average	15.73628	Gajendragarh	IN	2016-04-05	75.96976
maintenance	-7.01833	Pameungpeuk	ID	2015-04-04	107.60389
maintenance	47.46657	Zaysan	KZ	08/21/2017, 00:00:00	84.87144
average	10.98778	Puerto Colombia	CO	30 May 2018	-74.95472
excellent	43.4125	Montana	BG	16 May 2020	23.225
excellent	52.14	Barneveld	NL	2021/02/18	5.58472
good	30.5427	Hutto	US	07/10/2014, 00:00:00	-97.54667
accep	42.22718	Lanciano	IT	24 Mar 2019	14.39024
average	-17.83333	Ambatondrazaka	MG	19 Sep 2022	48.41667
good	51.30001	Oschatz	DE	16 May 2018	13.10984
average	22.37066	Tsuen Wan	HK	06 Dec 2013	114.10479
accep	9.57046	Kalavoor	IN	2014/06/28	76.32756
good	-27.4338	Aguilares	AR	2022-08-19	-65.61427
accep	44.92801	Valence	FR	01/27/2015, 00:00:00	4.8951
accep	10.22677	La Victoria	VE	07/15/2016, 00:00:00	-67.33122
average	35.05266	Fayetteville	US	2020-07-18	-78.87836
accep	37.73604	Riverbank	US	03/08/2020, 00:00:00	-120.93549
average	36.33011	Annaka	JP	2019-11-16	138.89585
average	31.76212	Palestine	US	2022-02-27	-95.63079
building	39.72943	Aurora	US	04/14/2020, 00:00:00	-104.83192
maintenance	25.6439	Narwar	IN	31 Jan 2016	77.9129
accep	40.2737	Harrisburg	US	29 Oct 2014	-76.88442
excellent	-6.48167	Cibinong	ID	09/16/2014, 00:00:00	106.85417
good	43.61062	Rutland	US	2013-10-15	-72.97261
building	52.48173	Brierley Hill	GB	2022-01-09	-2.12139
accep	-17.74431	Caldas Novas	BR	2014-05-02	-48.62789
accep	-21.41222	Miracema	BR	2020-01-10	-42.19667
excellent	-31.4488	Esperanza	AR	05 Dec 2019	-60.93173
good	-28.81833	Soledade	BR	2013/04/01	-52.51028
excellent	22.19303	Diamond Harbour	IN	03/04/2020, 00:00:00	88.18466
excellent	51.14942	Zgorzelec	PL	03/06/2019, 00:00:00	15.00835
excellent	43.91452	Brunswick	US	10 Aug 2019	-69.96533
accep	48.77275	Bar-le-Duc	FR	12/26/2019, 00:00:00	5.16108
accep	48.98994	Herblay	FR	2015-06-27	2.1699
good	15.45144	Betamcherla	IN	03/19/2022, 00:00:00	78.14797
average	59.33333	Boo	SE	30 Jan 2017	18.28333
accep	43.96222	Novopavlovsk	RU	28 Jul 2022	43.63417
maintenance	44.22639	Negotin	RS	2014/07/13	22.53083
accep	14.62072	Sirsi	IN	17 Feb 2022	74.83554
excellent	43.4125	Montana	BG	2022-04-16	23.225
average	15.45144	Betamcherla	IN	2018/07/20	78.14797
good	49.88307	Kelowna	CA	2016-03-28	-119.48568
average	33.7207	Indio	US	2019/04/09	-116.21677
good	34.4833	Toba	JP	01 Feb 2014	136.84186
accep	14.53767	Ataq	YE	15 Sep 2016	46.83187
accep	3.27833	Kitgum	UG	29 Sep 2018	32.88667
accep	-54.8	Ushuaia	AR	09/18/2016, 00:00:00	-68.3
excellent	51.65	Barnet	GB	18 Sep 2013	-0.2
accep	-7.54972	Ngemplak	ID	15 Aug 2014	110.71639
good	54.84444	Kashira	RU	2022-01-12	38.16694
excellent	11.00599	Kangayam	IN	11/28/2014, 00:00:00	77.5609
excellent	8.62261	Barinas	VE	15 May 2018	-70.20749
average	57.14369	Aberdeen	GB	04 May 2015	-2.09814
maintenance	53.93361	Kireyevsk	RU	2021/08/17	37.92792
average	43.16547	Gates-North Gates	US	06/02/2022, 00:00:00	-77.70066
good	29.84576	Estelle	US	20 May 2013	-90.10674
good	36.75965	Namerikawa	JP	2019-10-11	137.36215
good	51.40148	Newbury	GB	2021/12/23	-1.32471
accep	-4.06667	Same	TZ	2020/06/09	37.73333
good	25.87972	Heroica Matamoros	MX	26 Sep 2021	-97.50417
average	31.39547	Rahat	IL	04/26/2017, 00:00:00	34.75699
excellent	35.8	Gero	JP	12/08/2017, 00:00:00	137.23333
accep	6.25947	Tak Bai	TH	2013/12/14	102.05461
good	53.30972	Novosilikatnyy	RU	24 Nov 2016	83.62389
average	8.56697	Dipolog	PH	07 Oct 2020	123.33471
building	3.27833	Kitgum	UG	12/01/2013, 00:00:00	32.88667
accep	33.42585	Oulmes	MA	06/07/2016, 00:00:00	-6.00137
good	37.16911	El Alia	TN	05/24/2019, 00:00:00	10.03478
maintenance	35.64889	Sishui	CN	10/05/2020, 00:00:00	117.27583
accep	42.55308	Pleasant Prairie	US	2020/09/08	-87.93341
good	40.58654	Redding	US	27 Nov 2014	-122.39168
average	43.61058	Colomiers	FR	05/08/2013, 00:00:00	1.33467
average	47.92526	Grand Forks	US	08 Feb 2018	-97.03285
good	44.99012	Keizer	US	2016/02/15	-123.02621
excellent	39.43534	Lebanon	US	2018/02/09	-84.20299
excellent	43.96222	Novopavlovsk	RU	2014-08-07	43.63417
maintenance	3.27833	Kitgum	UG	2019-04-06	32.88667
maintenance	-28.81833	Soledade	BR	2015-02-16	-52.51028
excellent	41.75338	Granger	US	21 May 2019	-86.11084
good	33.4425	Karatsu	JP	2014-09-18	129.96972
accep	-6.25	Mvomero	TZ	2021/03/17	38.66667
average	7.62789	Ilesa	NG	02 Aug 2020	4.74161
average	35.61452	Jackson	US	09/25/2020, 00:00:00	-88.81395
average	41.41204	el Camp de l'Arpa del Clot	ES	01/25/2015, 00:00:00	2.18247
average	40.87329	Somma Vesuviana	IT	16 Mar 2021	14.43865
accep	55.75556	Ozersk	RU	03 Dec 2020	60.70278
average	-3.74912	Iquitos	PE	10/28/2012, 00:00:00	-73.25383
excellent	30.35028	Jingzhou	CN	2016/03/19	112.19028
accep	0.46005	Busia	KE	12/26/2016, 00:00:00	34.11169
average	14.14989	Calauan	PH	2015/03/02	121.3152
accep	48.25	Floridsdorf	AT	29 Dec 2012	16.4
average	52.2	Kirchlengern	DE	08/10/2014, 00:00:00	8.63333
