location	longitude	latitude	QoS	station	revision
Europe/Paris	-1.05366	43.71032	good	Dax	2019/01/25
Europe/Amsterdam	6.76111	53.16167	excellent	Hoogezand	09/17/2013, 00:00:00
Europe/Paris	2.29026	48.77644	good	Sceaux	09 Nov 2020
Africa/Dar_es_Salaam	37.00438	-7.60361	accep	Kidodi	2021/12/05
Asia/Manila	120.4861	16.0438	building	Manaoag	2016/09/01
America/Sao_Paulo	-44.31389	-19.7625	accep	Esmeraldas	2015/04/14
Europe/Belgrade	19.61222	44.97639	excellent	Sremska Mitrovica	2016/02/08
Asia/Kolkata	78.25795	9.82564	average	Tiruppuvanam	27 Oct 2018
Asia/Kolkata	86.59611	25.87498	accep	Saharsa	10/07/2012, 00:00:00
Africa/Algiers	2.31889	35.21222	average	Ksar Chellala	10/29/2020, 00:00:00
Asia/Karachi	71.52847	32.57756	average	Mianwali	2021/04/14
Asia/Tokyo	141.95	39.46667	excellent	Yamada	14 Oct 2015
Africa/Mogadishu	42.54536	-0.35817	average	Kismayo	2015/02/14
America/Caracas	-68.30472	9.91861	excellent	Tinaquillo	2017-09-19
America/Chicago	-97.54667	30.5427	average	Hutto	2015/07/30
Africa/Windhoek	16.91667	-21.98333	excellent	Okahandja	2019/06/25
America/Los_Angeles	-119.01677	36.06523	average	Porterville	03 Dec 2012
America/New_York	-74.28459	40.5576	good	Woodbridge	2019-01-06
Asia/Seoul	128.62667	34.8825	building	Sinhyeon	2022/01/24
America/Los_Angeles	-116.21677	33.7207	accep	Indio	2021-09-12
Europe/Berlin	9.72749	48.28259	good	Ehingen	2020/12/27
America/New_York	-73.78458	41.0051	maintenance	Scarsdale	09/10/2017, 00:00:00
Europe/Moscow	32.86389	53.95278	building	Roslavl’	23 Sep 2022
Australia/Sydney	151.08057	-33.79176	excellent	Eastwood	2018/08/21
Europe/London	-0.76667	53.38333	accep	Gainsborough	2015-08-10
Europe/London	-3.05814	53.00974	accep	Rhosllanerchrugog	2018/07/15
Europe/Rome	12.84052	45.78071	accep	Portogruaro	2013/05/13
Asia/Kolkata	76.56719	24.41288	average	Aklera	2016-04-22
Europe/Moscow	32.86389	53.95278	average	Roslavl’	05/18/2021, 00:00:00
America/Chicago	-93.263	45.0408	maintenance	Columbia Heights	2017/12/26
Europe/Belgrade	20.89389	42.62833	maintenance	Glogovac	05/01/2018, 00:00:00
America/Martinique	-60.94228	14.67751	building	Le Robert	2016/12/08
Asia/Yakutsk	111.4834	65.93381	maintenance	Aykhal	2014/02/08
Asia/Kolkata	73.08333	19.21667	accep	Dombivli	05 Nov 2021
Australia/Sydney	151.08057	-33.79176	building	Eastwood	19 May 2019
Asia/Kolkata	86.51499	23.1959	building	Kenda	2019-09-25
Africa/Lagos	4.74161	7.62789	good	Ilesa	2017/09/27
Asia/Tashkent	69.67639	41.29444	good	Parkent	2022/09/24
America/New_York	-73.97069	40.64621	accep	Kensington	2020/09/20
America/Mexico_City	-97.35992	19.8173	excellent	Teziutlan	10/12/2019, 00:00:00
Asia/Dhaka	91.84128	22.83957	maintenance	Manikchari	30 Jun 2022
Australia/Sydney	150.60036	-34.88422	average	Nowra	2021/08/03
Asia/Kolkata	71.21169	21.59983	accep	Amreli	08/15/2014, 00:00:00
America/El_Salvador	-89.71472	13.73417	accep	Sonzacate	27 May 2022
Pacific/Port_Moresby	144.23058	-5.85746	average	Mount Hagen	09/07/2020, 00:00:00
Europe/Rome	8.88104	45.79377	excellent	Malnate	2022/06/08
America/Panama	-79.62603	8.88988	good	Veracruz	2018/10/24
Europe/Kiev	33.9162	51.67822	good	Hlukhiv	2014-01-26
Europe/London	-2.12139	52.48173	good	Brierley Hill	28 Mar 2017
America/Chicago	-86.78777	33.44872	building	Vestavia Hills	03/09/2022, 00:00:00
Europe/London	-2.09814	57.14369	good	Aberdeen	2018/09/08
Asia/Manila	120.4861	16.0438	good	Manaoag	04/19/2022, 00:00:00
Asia/Shanghai	120.14278	32.50611	accep	Jiangyan	24 Feb 2019
America/Boise	-116.56346	43.54072	accep	Nampa	07/04/2022, 00:00:00
America/Bogota	-73.9614	10.15031	average	El Copey	11/27/2019, 00:00:00
Africa/Accra	-1.98956	5.30383	good	Tarkwa	17 Jan 2015
Europe/Rome	8.55552	40.72586	good	Sassari	2016-10-30
Africa/Dar_es_Salaam	37.00438	-7.60361	accep	Kidodi	06/17/2021, 00:00:00
Africa/Conakry	-13.68778	9.535	average	Camayenne	12 Aug 2019
Europe/Paris	2.18967	48.8765	average	Rueil-Malmaison	2014/03/27
Asia/Manila	124.3697	9.6531	maintenance	Jagna	30 Aug 2022
Asia/Karachi	73.38333	31.71667	good	Sangla Hill	2015/08/15
America/Los_Angeles	-122.40433	37.71715	good	Visitacion Valley	31 Oct 2012
America/Caracas	-62.64102	8.35122	good	Ciudad Guayana	11/25/2013, 00:00:00
Asia/Dili	125.21972	-8.99167	good	Maliana	2012-12-20
Asia/Kolkata	72.85107	19.30157	average	Bhayandar	2015/12/04
Europe/Paris	2.12213	48.8222	excellent	Le Chesnay	10/29/2019, 00:00:00
Asia/Phnom_Penh	102.56365	13.65805	average	Paoy Paet	01/20/2014, 00:00:00
Pacific/Honolulu	-156.47432	20.88953	good	Kahului	28 May 2016
Asia/Jakarta	99.1625	3.3285	good	Tebingtinggi	08/01/2013, 00:00:00
Asia/Shanghai	120.03308	28.88162	good	Guli	04/23/2013, 00:00:00
Europe/Amsterdam	4.47124	51.95838	average	Schiebroek	2015/06/23
Asia/Bangkok	99.96667	8.43333	excellent	Nakhon Si Thammarat	2019/08/10
Africa/Conakry	-13.68778	9.535	accep	Camayenne	03 Jul 2016
America/Los_Angeles	-120.93549	37.73604	good	Riverbank	2013-07-07
America/Los_Angeles	-122.86705	45.49428	good	Aloha	2021-04-09
Europe/Berlin	11.34046	50.72043	average	Rudolstadt	28 Oct 2019
America/Sao_Paulo	-45.94722	-21.42917	average	Alfenas	2013/03/19
America/Los_Angeles	-120.93549	37.73604	building	Riverbank	2019-01-07
Africa/Tunis	9.37082	36.08497	building	Siliana	2020/03/29
America/New_York	-82.90375	32.54044	maintenance	Dublin	2020-12-12
Africa/Brazzaville	15.28318	-4.26613	excellent	Brazzaville	2018/06/20
Asia/Tokyo	137.95378	35.82756	maintenance	Ina	2021-11-14
Asia/Tokyo	135.6	34.61667	accep	Yao	13 Jun 2020
Asia/Tehran	47.3799	33.14447	excellent	Darreh Shahr	06/17/2014, 00:00:00
Africa/Dar_es_Salaam	37.73333	-4.06667	average	Same	2020-02-01
Europe/Bratislava	17.22635	48.8449	average	Skalica	25 Oct 2013
Europe/Berlin	8.63333	52.2	accep	Kirchlengern	27 Nov 2021
Europe/Moscow	38.02486	55.64776	maintenance	Malakhovka	01/23/2021, 00:00:00
America/New_York	-73.89875	40.93121	accep	Yonkers	11/22/2019, 00:00:00
America/Belem	-48.52333	-0.71667	maintenance	Soure	2016/06/06
Europe/Vienna	16.4	48.25	average	Floridsdorf	2018/11/25
Europe/Madrid	-1.325	38.47917	excellent	Jumilla	2013/04/15
Europe/Moscow	39.8302	64.5635	accep	Severodvinsk	2015-04-06
America/Los_Angeles	-122.86705	45.49428	accep	Aloha	06/27/2020, 00:00:00
Asia/Seoul	126.665	36.6009	good	Hongseong	03/30/2020, 00:00:00
America/Maceio	-37.65	-10.91722	excellent	Lagarto	2015-02-17
Europe/Berlin	8.63333	52.2	accep	Kirchlengern	2013-08-14
Europe/London	0.75	52.41667	good	Thetford	25 Oct 2018
Asia/Shanghai	130.57211	45.75279	excellent	Boli	02/09/2014, 00:00:00
Europe/Paris	5.55575	46.67535	average	Lons-le-Saunier	25 Apr 2014
Asia/Yekaterinburg	60.70278	55.75556	accep	Ozersk	22 Aug 2021
Asia/Krasnoyarsk	89.20083	55.54028	good	Sharypovo	2013-02-23
Asia/Almaty	77.0202	43.41949	average	Otegen Batyra	04/25/2015, 00:00:00
America/New_York	-73.89125	40.67705	good	Cypress Hills	09 Jul 2017
Asia/Karachi	72.54064	31.82539	building	Sillanwali	10/08/2016, 00:00:00
America/New_York	-73.89125	40.67705	good	Cypress Hills	2017-07-04
Africa/Dar_es_Salaam	39.28333	-10.33333	maintenance	Nyangao	2014-03-13
America/New_York	-71.05977	42.35843	average	Boston	2017/11/17
Asia/Tokyo	129.96972	33.4425	accep	Karatsu	2021/04/07
America/Chicago	-96.39774	30.16688	average	Brenham	13 Jan 2015
America/Chicago	-87.88754	41.15376	building	Bourbonnais	2016/10/29
Asia/Bishkek	73	40.93333	maintenance	Jalal-Abad	09 Apr 2014
America/Caracas	-67.33122	10.22677	maintenance	La Victoria	02/13/2017, 00:00:00
Europe/Berlin	9.22796	48.46458	good	Pfullingen	10/12/2016, 00:00:00
Asia/Manila	123.99333	12.97389	accep	Sorsogon	04/09/2020, 00:00:00
America/Los_Angeles	-122.2054	47.76232	average	Bothell	10 Dec 2018
Europe/London	-2.68758	53.69786	excellent	Leyland	2021-11-17
Europe/Moscow	46.10925	43.35071	good	Gudermes	2013/11/17
Asia/Karachi	68.11759	26.9423	good	Tharu Shah	2019/09/05
America/New_York	-73.89875	40.93121	accep	Yonkers	2015/11/16
Africa/Dar_es_Salaam	37.73333	-4.06667	average	Same	16 Jun 2014
Asia/Kolkata	71.30633	21.34222	good	Kundla	10 Dec 2021
Europe/Chisinau	28.28489	48.15659	good	Soroca	2017/04/07
Asia/Shanghai	122.08333	46.08333	good	Ulanhot	2014/01/07
Asia/Tokyo	138.89585	36.33011	excellent	Annaka	2018/04/17
America/Los_Angeles	-116.97725	33.92946	good	Beaumont	2013/02/05
Asia/Jakarta	114.33333	-8.43333	maintenance	Muncar	05/28/2017, 00:00:00
America/Chicago	-87.66561	41.8542	good	Lower West Side	2013-10-11
America/Vancouver	-119.27337	50.26729	good	Vernon	2014-06-22
America/New_York	-77.55777	37.52487	average	Bon Air	2016/04/15
Europe/London	0.47713	51.39323	building	Strood	2014-03-02
America/Sao_Paulo	-51.50361	-29.2975	average	Carlos Barbosa	2014/02/04
America/Sao_Paulo	-41.25528	-19.32556	average	Resplendor	2020-02-29
Asia/Manila	120.57224	15.72892	accep	Burgos	2018/11/14
Europe/Oslo	16.54165	68.79833	building	Harstad	2013/08/18
Asia/Novokuznetsk	85.4265	55.8736	good	Yashkino	2014-11-21
Asia/Manila	123.758	10.20898	average	Naga	24 Dec 2018
Asia/Shanghai	122.74754	40.85158	accep	Haicheng	2018-11-10
Europe/Madrid	-3.53261	40.42386	maintenance	San Fernando de Henares	2013-06-12
Africa/Tunis	10.58082	35.72917	good	Msaken	2014-06-14
Asia/Kolkata	76.32756	9.57046	good	Kalavoor	2014-05-18
Europe/Belgrade	22.53083	44.22639	excellent	Negotin	2012/10/10
America/New_York	-81.26367	28.90054	excellent	Deltona	01/07/2021, 00:00:00
Asia/Kolkata	79.41727	12.25282	excellent	Gingee	21 Jul 2018
Asia/Shanghai	109.22921	34.65918	excellent	Yanliang	2021-06-15
Asia/Bangkok	100.48528	14.37395	average	Bang Ban	2015/07/05
America/Boise	-116.56346	43.54072	maintenance	Nampa	06 Apr 2021
Asia/Tokyo	136.84186	34.4833	maintenance	Toba	2017/10/03
Asia/Yekaterinburg	56.36091	51.78771	average	Saraktash	2017/04/14
Africa/Algiers	2.31889	35.21222	building	Ksar Chellala	2017-09-27
America/Sao_Paulo	-48.67028	-28.24	maintenance	Imbituba	2021/07/02
America/Argentina/Buenos_Aires	-58.38341	-34.64966	excellent	Barracas	2013/11/07
America/Boise	-116.56346	43.54072	accep	Nampa	2021-06-29
America/Los_Angeles	-117.14392	32.9156	good	Mira Mesa	2019/03/31
Europe/Kiev	25.34244	50.75932	good	Lutsk	05/29/2022, 00:00:00
America/Bogota	-75.87877	5.6561	excellent	Andes	2019-06-12
America/Chicago	-93.263	45.0408	accep	Columbia Heights	08/27/2014, 00:00:00
Europe/Paris	5.4384	43.2907	good	Marseille 11	19 May 2015
America/Denver	-111.99633	40.65995	average	Kearns	2016-02-27
America/New_York	-83.55521	41.66394	excellent	Toledo	23 Apr 2019
America/Los_Angeles	-117.54866	33.93113	average	Norco	2013-02-13
America/Vancouver	-119.48568	49.88307	average	Kelowna	2015/05/16
America/Boise	-116.56346	43.54072	excellent	Nampa	10 Jul 2014
Europe/Paris	2.2469	48.90472	maintenance	La Garenne-Colombes	2014/04/06
Europe/Helsinki	24.6522	60.2052	average	Espoo	09/01/2020, 00:00:00
America/Chicago	-95.30106	32.35126	average	Tyler	06/08/2015, 00:00:00
America/Boise	-116.56346	43.54072	building	Nampa	08/19/2013, 00:00:00
America/New_York	-81.77285	28.54944	good	Clermont	10/25/2016, 00:00:00
Europe/Copenhagen	12.53463	55.67938	maintenance	Frederiksberg	2019/11/21
Asia/Baku	48.87498	38.45598	maintenance	Astara	2019-10-27
Europe/Rome	12.6723	41.72063	accep	Ariccia	17 Oct 2021
America/Belem	-48.52333	-0.71667	good	Soure	25 May 2018
Australia/Perth	115.88782	-32.05251	maintenance	Willetton	09 Oct 2014
America/Fortaleza	-42.29444	-4.24444	excellent	Barras	02/04/2014, 00:00:00
Europe/Stockholm	17.10558	61.72744	good	Hudiksvall	17 Nov 2013
Asia/Kolkata	73.08333	19.21667	accep	Dombivli	24 Apr 2021
Asia/Manila	121.06761	12.35275	good	San Jose	02 Nov 2018
Asia/Kolkata	77.9129	25.6439	maintenance	Narwar	05/09/2021, 00:00:00
America/New_York	-71.06616	42.4251	accep	Malden	2014/11/25
America/New_York	-78.87836	35.05266	maintenance	Fayetteville	2020-12-01
Asia/Tokyo	137.5	34.9	excellent	Shinshiro	2014-10-11
America/Los_Angeles	-116.97725	33.92946	excellent	Beaumont	2013-03-27
Europe/Berlin	6.74549	49.5099	acceptable	Losheim	2014-07-07
America/Santiago	-73.02841	-36.9256	average	Chiguayante	2017/10/19
America/Chicago	-87.45476	41.47892	good	Schererville	02/22/2018, 00:00:00
Europe/Moscow	32.86389	53.95278	accep	Roslavl’	2014-02-26
Asia/Kolkata	77.23826	11.50526	maintenance	Sathyamangalam	07/10/2015, 00:00:00
Asia/Kuching	116.10146	5.90702	good	Donggongon	15 May 2016
Europe/Moscow	39.8302	64.5635	maintenance	Severodvinsk	05 Feb 2015
Europe/Kiev	29.41824	45.99194	average	Artsyz	26 Oct 2014
Europe/London	-0.2	51.65	building	Barnet	10/08/2014, 00:00:00
Africa/Algiers	3.50309	34.15429	maitennce	Messaad	08/30/2022, 00:00:00
Europe/London	-0.32247	50.82882	good	Lancing	2022/09/06
America/Mexico_City	-98.1664	19.32932	building	Contla	06 Mar 2021
America/New_York	-72.27814	42.93369	good	Keene	14 Sep 2019
Europe/Rome	8.55552	40.72586	building	Sassari	04 Sep 2013
Australia/Brisbane	153.10236	-27.50578	good	Carindale	2013/12/07
Asia/Tehran	48.26258	33.86419	building	Aleshtar	06/17/2015, 00:00:00
America/Los_Angeles	-117.23991	47.64995	average	Opportunity	2018-01-21
America/Chicago	-87.71255	41.84364	good	South Lawndale	01/04/2014, 00:00:00
Asia/Kuala_Lumpur	102.3278	2.2139	building	Kampung Ayer Molek	2018/07/11
America/Argentina/Tucuman	-65.61427	-27.4338	good	Aguilares	08 Oct 2020
America/Caracas	-62.64102	8.35122	good	Ciudad Guayana	2019-03-30
Europe/Berlin	9.02596	48.21644	excellent	Albstadt	2019/10/31
Asia/Shanghai	117.55417	34.86472	excellent	Zaozhuang	2022-07-13
Europe/London	1.26738	51.84819	good	Walton-on-the-Naze	2016-07-29
Europe/Vilnius	24.75	55.25	good	Ukmerge	2018/09/06
Australia/Brisbane	152.70493	-25.54073	maintenance	Maryborough	07/09/2015, 00:00:00
Asia/Bangkok	103.65309	16.0567	accep	Roi Et	2016-08-06
Asia/Shanghai	115.04814	30.24706	excellent	Huangshi	02/04/2020, 00:00:00
America/Chicago	-93.71133	41.57721	good	West Des Moines	2019/09/07
Indian/Antananarivo	46.58333	-21.15	accep	Ikalamavony	2018/06/25
America/El_Salvador	-89.71472	13.73417	maintenance	Sonzacate	07/04/2016, 00:00:00
America/New_York	-76.51552	39.32011	excellent	Rosedale	22 Sep 2014
Africa/Johannesburg	29.00974	-24.19436	accep	Mokopane	2013-01-11
Europe/Berlin	8.51667	51.88333	excellent	Verl	2022-02-09
Africa/Dar_es_Salaam	37.73333	-4.06667	accep	Same	05/04/2013, 00:00:00
Asia/Tokyo	140.73667	41.77583	accep	Hakodate	05 Feb 2014
Asia/Kolkata	76.35484	10.10649	good	Alwaye	2015-04-06
Europe/Madrid	-6.03731	37.35813	accep	San Juan de Aznalfarache	2020/07/31
Africa/Lagos	9.0027	11.86064	accep	Gaya	31 Oct 2021
Asia/Kolkata	91.61356	26.44931	accep	Rangia	03/13/2018, 00:00:00
Europe/Madrid	-2.98884	43.32686	maintenance	Leioa	2016/06/29
Asia/Tokyo	138.89585	36.33011	building	Annaka	12/15/2016, 00:00:00
America/Chicago	-102.36764	31.84568	excellent	Odessa	04 Jun 2013
Asia/Ulaanbaatar	106.88324	47.90771	average	Ulan Bator	14 Jun 2014
Asia/Shanghai	122.74754	40.85158	average	Haicheng	08 Feb 2014
Europe/Moscow	38.02486	55.64776	excellent	Malakhovka	17 Jul 2020
Europe/Berlin	7.11393	51.08468	accep	Burscheid	2014/04/17
America/Sao_Paulo	-50.19556	-19.72806	excellent	Iturama	2016-08-20
America/New_York	-74.15987	40.82232	excellent	Nutley	13 Nov 2015
America/Matamoros	-97.50417	25.87972	good	Heroica Matamoros	05 Feb 2017
America/Port_of_Spain	-61.51889	10.66668	average	Port of Spain	2015-12-23
Asia/Yekaterinburg	59.80222	58.63667	maintenance	Lesnoy	12/27/2012, 00:00:00
Asia/Hong_Kong	114.10479	22.37066	good	Tsuen Wan	2019-07-20
America/New_York	-71.08977	41.9001	average	Taunton	2020/10/25
Pacific/Auckland	178.00417	-38.65333	average	Gisborne	27 Apr 2015
Africa/Lubumbashi	29.47306	0.49113	excellent	Beni	11/10/2013, 00:00:00
Europe/Kiev	33.34864	46.75451	excellent	Nova Kakhovka	2020-06-17
America/Chicago	-93.263	45.0408	maintenance	Columbia Heights	08 Mar 2013
Europe/Rome	8.62118	45.44694	maitennce	Novara	10/12/2018, 00:00:00
America/Mexico_City	-100.44843	20.74122	accep	Santa Rosa Jauregui	12/20/2020, 00:00:00
Europe/Berlin	13.10984	51.30001	accep	Oschatz	2017/12/20
Europe/London	-0.33525	53.7446	average	Kingston upon Hull	04/13/2018, 00:00:00
Africa/Tunis	10.58082	35.72917	good	Msaken	2020-03-27
Asia/Yekaterinburg	56.36091	51.78771	building	Saraktash	09/27/2016, 00:00:00
Asia/Makassar	116.82887	-1.26753	average	Balikpapan	19 Feb 2015
America/New_York	-72.86843	41.27621	accep	East Haven	02/17/2018, 00:00:00
America/Sao_Paulo	-53.13722	-22.92306	good	Loanda	2021/09/14
Europe/Berlin	8.86704	50.23805	building	Nidderau	07/24/2022, 00:00:00
Africa/Dar_es_Salaam	33	-2.68333	excellent	Usagara	2016/09/10
America/Los_Angeles	-117.71978	34.09668	maintenance	Claremont	2014/09/04
Africa/Bangui	15.87735	4.94273	good	Carnot	2015/11/27
Africa/Bamako	-8.07257	12.74409	excellent	Kati	05/04/2015, 00:00:00
Europe/Madrid	-1.64295	42.8139	building	Segundo Ensanche	12 Jun 2016
Europe/London	-1.06667	53.78333	building	Selby	02/02/2016, 00:00:00
Africa/Addis_Ababa	37.55	6.03333	average	Arba Minch	13 Oct 2019
America/New_York	-73.75513	40.60538	average	Far Rockaway	2017-06-17
America/Los_Angeles	-122.2054	47.76232	good	Bothell	2020-09-13
Europe/Amsterdam	7.00417	52.26083	maitennce	Losser	05/18/2022, 00:00:00
Africa/Douala	10.7	4.96667	accep	Tonga	2012-11-20
Europe/London	-1.32471	51.40148	good	Newbury	03/18/2018, 00:00:00
Europe/Kiev	29.41824	45.99194	excellent	Artsyz	13 Apr 2016
Europe/London	-1.47217	53.46506	average	Chapletown	15 Jul 2020
Asia/Kuala_Lumpur	101.02083	4.02219	average	Teluk Intan	2017/11/13
America/New_York	-73.95958	40.57788	good	Brighton Beach	10/29/2016, 00:00:00
Africa/Johannesburg	30.79165	-27.76952	excellent	Vryheid	06 Jul 2021
America/Recife	-35.03333	-8.28333	average	Cabo	08/30/2018, 00:00:00
Asia/Dushanbe	69.01354	38.55632	maintenance	Vahdat	12/27/2017, 00:00:00
America/Mazatlan	-105.36369	22.49396	good	Acaponeta	28 Feb 2022
Pacific/Port_Moresby	144.23058	-5.85746	excellent	Mount Hagen	28 Oct 2020
Asia/Jakarta	107.60389	-7.01833	good	Pameungpeuk	03 Feb 2014
Europe/London	-2.12139	52.48173	accep	Brierley Hill	23 Jul 2022
Europe/Moscow	34.34691	61.78491	average	Petrozavodsk	2014/05/07
Europe/Rome	12.6723	41.72063	accep	Ariccia	2021-04-01
Europe/Moscow	34.33825	53.59782	accep	Dyat’kovo	2015-05-04
America/Sao_Paulo	-46.99583	-22.97056	excellent	Valinhos	2021-06-05
Africa/Tunis	9.37082	36.08497	excellent	Siliana	23 Sep 2015
Asia/Kolkata	88.1453	22.4711	average	Pujali	2014/04/09
Europe/London	1.15597	51.78967	good	Clacton-on-Sea	27 Feb 2015
Europe/Berlin	13.31783	52.61131	average	Hermsdorf	21 Apr 2021
Indian/Reunion	55.4504	-20.88231	good	Saint-Denis	25 May 2015
Asia/Shanghai	122.20488	29.98869	good	Zhoushan	2014/06/25
Asia/Manila	121.06761	12.35275	accep	San Jose	2013/07/11
Pacific/Auckland	171.25364	-44.39672	building	Timaru	09 Nov 2021
Asia/Tehran	48.26258	33.86419	excellent	Aleshtar	2014-12-12
Asia/Kolkata	76.11996	11.12018	average	Manjeri	2013/12/18
Europe/Kiev	29.41824	45.99194	building	Artsyz	02/27/2018, 00:00:00
America/La_Paz	-65.71875	-21.44345	good	Tupiza	09/23/2015, 00:00:00
Asia/Tokyo	136.84186	34.4833	average	Toba	2022/01/09
Europe/London	1.15597	51.78967	excellent	Clacton-on-Sea	11/13/2012, 00:00:00
Europe/Rome	12.6723	41.72063	average	Ariccia	2018-07-25
America/Los_Angeles	-117.23991	47.64995	accep	Opportunity	2019-07-28
Europe/London	-2.98333	53.83333	good	Poulton-le-Fylde	07 May 2018
Asia/Bangkok	101.18445	13.44581	good	Phanat Nikhom	2014/09/02
Europe/Rome	12.6723	41.72063	maintenance	Ariccia	01/27/2020, 00:00:00
Africa/Lagos	4.92235	7.65649	average	Efon-Alaaye	08/19/2016, 00:00:00
Asia/Shanghai	122.05228	37.19723	average	Tianfu	10/16/2019, 00:00:00
Europe/Tallinn	28.19028	59.37722	building	Narva	04/30/2013, 00:00:00
America/Argentina/Buenos_Aires	-60.47389	-34.64167	average	Chacabuco	10/21/2016, 00:00:00
America/New_York	-73.9625	40.81	excellent	Morningside Heights	2018/12/12
America/Chicago	-88.3162	42.24113	average	Crystal Lake	2019/03/03
Australia/Sydney	151.07986	-33.88096	building	Strathfield	2015-10-24
Africa/Lagos	3.64633	6.8485	accep	Shagamu	2021-09-18
Europe/Kiev	30.96755	49.07866	good	Zvenihorodka	08 Mar 2022
America/Chicago	-89.99038	38.58894	maintenance	Fairview Heights	08/30/2020, 00:00:00
America/Los_Angeles	-120.45794	34.63915	maitennce	Lompoc	2018/08/21
Europe/Rome	8.62118	45.44694	building	Novara	18 Jul 2019
Asia/Shanghai	118.53333	27.92333	good	Pucheng	2014/03/06
Europe/Berlin	8.63333	52.2	good	Kirchlengern	12 Jan 2022
Europe/London	-1.32471	51.40148	good	Newbury	2015/11/13
Asia/Makassar	118.9707	-3.5403	maintenance	Majene	2016/08/16
Asia/Yangon	98.19151	14.0823	building	Dawei	30 Apr 2015
America/New_York	-69.96533	43.91452	accep	Brunswick	04/11/2019, 00:00:00
America/New_York	-72.97261	43.61062	accep	Rutland	2020-11-16
Europe/Rome	14.01481	42.67164	average	Roseto degli Abruzzi	05/20/2017, 00:00:00
Asia/Bangkok	101.18445	13.44581	good	Phanat Nikhom	08 Jan 2018
America/Chicago	-93.263	45.0408	average	Columbia Heights	01/03/2014, 00:00:00
Europe/Brussels	4.21372	51.12794	average	Temse	11/20/2019, 00:00:00
America/New_York	-82.32483	29.65163	excellent	Gainesville	2022-01-15
Asia/Kolkata	77.9129	25.6439	building	Narwar	2015/11/27
Europe/Dublin	-7.95	53.43333	building	Athlone	2013/12/13
Asia/Jerusalem	34.86563	31.92923	good	Ramla	22 Jul 2018
America/Chicago	-98.15529	26.18924	average	San Juan	26 Apr 2015
Europe/Madrid	-2.77259	37.49073	accep	Baza	01 Sep 2017
America/Chicago	-93.263	45.0408	building	Columbia Heights	05/01/2022, 00:00:00
Europe/Istanbul	28.88222	40.37528	maintenance	Mudanya	01/16/2021, 00:00:00
America/Mexico_City	-101.2591	21.01858	good	Guanajuato	2021-09-09
Europe/Brussels	4.52529	50.71229	building	Rixensart	10/06/2021, 00:00:00
Europe/Moscow	40.17171	58.1908	good	Danilov	2018-11-13
Europe/Rome	13.57661	37.31065	excellent	Agrigento	2015-02-04
Asia/Kolkata	74.83554	14.62072	acceptable	Sirsi	2018/01/22
Asia/Shanghai	109.22921	34.65918	maintenance	Yanliang	2016/05/03
Europe/Istanbul	40.74357	37.31309	building	Mardin	2021-07-07
Asia/Kolkata	74.85849	31.28092	good	Patti	02/08/2017, 00:00:00
Europe/London	-1.06667	53.78333	good	Selby	2020/02/29
America/New_York	-83.55521	41.66394	good	Toledo	2016-06-23
America/New_York	-73.95097	40.72371	accep	Greenpoint	12 Dec 2013
America/Chicago	-89.99038	38.58894	accep	Fairview Heights	2016/05/02
Africa/Lagos	3.39467	6.45407	building	Lagos	2016-07-13
Asia/Bangkok	100.48528	14.37395	accep	Bang Ban	2022/07/13
Asia/Kolkata	83.36889	26.76628	average	Gorakhpur	08/20/2016, 00:00:00
Asia/Tokyo	135.31667	34.25	excellent	Iwade	14 Sep 2013
Asia/Kolkata	77.24779	10.58806	excellent	Udumalaippettai	2016/02/23
America/Sao_Paulo	-50.19556	-19.72806	accep	Iturama	2021/03/25
America/Santarem	-52.20639	-3.20333	building	Altamira	2012/11/16
Europe/London	-3.05	53.81667	accep	Blackpool	2014-09-26
America/Santiago	-73.02841	-36.9256	good	Chiguayante	2012/11/13
Asia/Yekaterinburg	59.4839	58.7002	excellent	Kachkanar	23 Apr 2014
America/Sao_Paulo	-42.19667	-21.41222	building	Miracema	08/12/2021, 00:00:00
Europe/Tallinn	28.19028	59.37722	excellent	Narva	2012-12-08
Europe/Berlin	7.36027	51.20219	average	Radevormwald	2013/08/28
Europe/Dublin	-7.95	53.43333	accep	Athlone	06/06/2018, 00:00:00
Europe/Berlin	6.26667	51.21667	accep	Schwalmtal	2014/10/25
Asia/Manila	120.56528	14.66	maintenance	Pilar	2013-01-08
Europe/Rome	12.6723	41.72063	average	Ariccia	2014-08-16
Asia/Shanghai	117.7	35.85	average	Dongdu	2019/02/24
America/Chicago	-86.77917	36.02506	average	Brentwood Estates	16 Apr 2019
America/New_York	-74.28459	40.5576	good	Woodbridge	09/16/2015, 00:00:00
Asia/Bangkok	100.04427	13.8196	average	Nakhon Pathom	28 Oct 2021
Asia/Kolkata	83.36889	26.76628	average	Gorakhpur	2016/12/22
America/Santiago	-71.23106	-32.45242	good	La Ligua	24 May 2013
Europe/Moscow	43.67663	53.53041	excellent	Nizhniy Lomov	2018-03-09
America/New_York	-71.29144	41.54566	average	Middletown	2021-11-21
Asia/Ho_Chi_Minh	105.75635	10.29085	good	Sa Dec	2015-12-27
Asia/Karachi	70.91106	29.38242	good	Alipur	2014-08-26
Asia/Kolkata	75.92694	14.46693	maintenance	Davangere	2017-05-14
America/Bogota	-72.47417	7.83389	average	Villa del Rosario	04 Apr 2013
