QoS	station	latitude	code	revision	longitude
building	Shaowu	27.34089	CN	2020-04-03	117.4831
accep	Viewpark	55.82737	GB	2022/06/11	-4.0573
maintenance	Mouscron	50.74497	BE	2020-07-25	3.20639
average	Hutto	30.5427	US	03/09/2014, 00:00:00	-97.54667
good	San Rafael	9.92787	CR	10/08/2013, 00:00:00	-84.13722
average	Shalqar	47.83333	KZ	21 Mar 2018	59.6
excellent	Houthalen	51.03427	BE	10/19/2021, 00:00:00	5.37429
good	Gorakhpur	26.76628	IN	2020-02-19	83.36889
maintenance	Searcy	35.25064	US	05/30/2021, 00:00:00	-91.73625
excellent	Davis	38.54491	US	2022-08-01	-121.74052
accep	Efon-Alaaye	7.65649	NG	02/19/2014, 00:00:00	4.92235
excellent	Jocotepec	20.28527	MX	2014-12-21	-103.42897
average	Dax	43.71032	FR	04/19/2019, 00:00:00	-1.05366
building	Jais	26.2649	IN	12/01/2021, 00:00:00	81.54855
average	Keizer	44.99012	US	2021/09/23	-123.02621
excellent	Roseto degli Abruzzi	42.67164	IT	2015/08/28	14.01481
maintenance	Soure	-0.71667	BR	2022-09-26	-48.52333
accep	Perth	-31.95224	AU	05/13/2019, 00:00:00	115.8614
good	Sector 6	44.43579	RO	2015-02-28	26.01649
accep	Chamba	32.55531	IN	2018-08-31	76.12647
excellent	Adliswil	47.30997	CH	06/26/2018, 00:00:00	8.52462
excellent	Ulan-Ude	51.82721	RU	09 Apr 2020	107.60627
good	Acaponeta	22.49396	MX	2018-06-28	-105.36369
excellent	Opportunity	47.64995	US	15 Sep 2017	-117.23991
average	Ksar Chellala	35.21222	DZ	2018/11/25	2.31889
maintenance	Valence	44.92801	FR	04 May 2019	4.8951
good	Porterville	36.06523	US	06/19/2018, 00:00:00	-119.01677
accep	Saint-Denis	-20.88231	RE	2013/12/19	55.4504
excellent	Ciudad Guayana	8.35122	VE	16 Aug 2016	-62.64102
good	Dalsingh Sarai	25.66795	IN	02/20/2021, 00:00:00	85.83636
good	Shinshiro	34.9	JP	11/25/2012, 00:00:00	137.5
excellent	Masbate	12.37169	PH	2016-11-23	123.62494
building	Bron	45.73333	FR	2020/06/25	4.91667
accep	Saint-Omer	50.75	FR	2013-08-13	2.25
average	Brenham	30.16688	US	18 Oct 2018	-96.39774
accep	Yeysk	46.7055	RU	05/29/2014, 00:00:00	38.2739
average	Otradnyy	53.37596	RU	29 Jun 2020	51.3452
accep	Lagos	6.45407	NG	2012-10-17	3.39467
excellent	Caravaca	38.10558	ES	2020-02-20	-1.86343
maintenance	Roslavl’	53.95278	RU	13 May 2014	32.86389
accep	Massapequa	40.68066	US	2016/11/08	-73.47429
building	Buenaventura	3.8801	CO	2016/10/07	-77.03116
excellent	Kashipur	29.21399	IN	03 Nov 2019	78.95693
excellent	Jackson	35.61452	US	2017-11-28	-88.81395
excellent	Leteri	24.05979	IN	04 Mar 2020	77.40858
excellent	Rosemount	44.73941	US	01 Jul 2014	-93.12577
maintenance	Guli	28.88162	CN	2015-01-03	120.03308
excellent	Woodbridge	40.5576	US	01/21/2020, 00:00:00	-74.28459
excellent	San Giuliano Milanese	45.39402	IT	07/09/2018, 00:00:00	9.29109
accep	Thomazeau	18.65297	HT	2019/04/28	-72.09391
average	Rosedale	39.32011	US	10/31/2021, 00:00:00	-76.51552
accep	Smolyan	41.57439	BG	27 Jun 2016	24.71204
maintenance	Kyzylorda	44.85278	KZ	15 Dec 2021	65.50917
building	Sterling	39.00622	US	09/25/2013, 00:00:00	-77.4286
accep	Le Chesnay	48.8222	FR	2012-11-30	2.12213
excellent	Tonota	-21.44236	BW	12 Jan 2018	27.46153
accep	Zgorzelec	51.14942	PL	2022/08/05	15.00835
average	Brazzaville	-4.26613	CG	02/28/2021, 00:00:00	15.28318
excellent	Houthalen	51.03427	BE	29 Mar 2021	5.37429
excellent	Tyoply Stan	55.62047	RU	2014-09-30	37.49338
acceptable	Gorgonzola	45.53069	IT	2021/11/17	9.40531
accep	Narva	59.37722	EE	12/05/2020, 00:00:00	28.19028
maintenance	Karlovy Vary	50.23271	CZ	2020-03-11	12.87117
accep	Perugia	43.1122	IT	2019-12-21	12.38878
average	La Trinidad	16.455	PH	10 Jun 2017	120.5875
excellent	Jhol	25.95533	PK	06/01/2022, 00:00:00	68.88871
average	Ilopango	13.70167	SV	2021/12/13	-89.10944
average	Burgos	15.72892	PH	2021-01-08	120.57224
average	Zeitz	51.04962	DE	17 Aug 2014	12.1369
good	Tianfu	37.19723	CN	04 Mar 2017	122.05228
good	Radevormwald	51.20219	DE	2015-04-02	7.36027
building	Schiebroek	51.95838	NL	2021/06/06	4.47124
excellent	Madrid	4.73245	CO	2019-06-04	-74.26419
good	Riverbank	37.73604	US	2017-09-24	-120.93549
good	Maxixe	-23.85972	MZ	2018-06-04	35.34722
accep	Jiangyan	32.50611	CN	2014/10/16	120.14278
accep	Nampa	43.54072	US	11 Dec 2016	-116.56346
maintenance	Marly-le-Roi	48.86667	FR	2021/10/15	2.08333
building	Falconara Marittima	43.62558	IT	2012/10/01	13.39954
average	Roi Et	16.0567	TH	23 Dec 2012	103.65309
building	Cebu City	10.31672	PH	2017-03-18	123.89071
accep	Narwar	25.6439	IN	2018-01-05	77.9129
excellent	Gudermes	43.35071	RU	06/29/2015, 00:00:00	46.10925
good	Aguadilla	18.42745	PR	2018/12/05	-67.15407
average	Norco	33.93113	US	2018-06-16	-117.54866
accep	Novosilikatnyy	53.30972	RU	01/01/2020, 00:00:00	83.62389
building	Astara	38.45598	AZ	2017-08-27	48.87498
accep	Bushey	51.64316	GB	15 Feb 2021	-0.36053
good	Pujali	22.4711	IN	05/04/2013, 00:00:00	88.1453
building	Great Wyrley	52.66277	GB	10 Feb 2013	-2.01111
building	Lesosibirsk	58.23583	RU	2019-01-15	92.48278
excellent	Cuenca	-2.90055	EC	2013-12-26	-79.00453
accep	Bretten	49.03685	DE	2016/09/09	8.70745
excellent	Dorval	45.4473	CA	2020-02-22	-73.75335
good	Kobuleti	41.82143	GE	2020-09-24	41.77921
average	Muskogee	35.74788	US	18 Apr 2016	-95.36969
excellent	Minas de Marcona	-15.21194	PE	2016-06-19	-75.11028
good	Kafanchan	9.58126	NG	10/03/2021, 00:00:00	8.2926
excellent	Devizes	51.35084	GB	04 Mar 2022	-1.99421
good	Tinaquillo	9.91861	VE	16 Nov 2017	-68.30472
excellent	Boyeros	23.0072	CU	2021/12/05	-82.4017
accep	Rosemount	44.73941	US	2014-06-12	-93.12577
excellent	Aloha	45.49428	US	10 Jan 2020	-122.86705
average	Otegen Batyra	43.41949	KZ	01/23/2019, 00:00:00	77.0202
good	East Haven	41.27621	US	2021-01-12	-72.86843
good	Sector 6	44.43579	RO	2019-02-27	26.01649
building	Stupino	54.90083	RU	2015/01/10	38.07083
good	Murray	36.61033	US	05/04/2015, 00:00:00	-88.31476
building	Franceville	-1.63333	GA	06/01/2015, 00:00:00	13.58357
average	Dipolog	8.56697	PH	2020-10-06	123.33471
building	Batu Feringgi	5.4709	MY	2020-09-15	100.24529
excellent	Nikolayevsk-on-Amure	53.14657	RU	2021/10/04	140.72287
maintenance	Rahat	31.39547	IL	08/05/2015, 00:00:00	34.75699
excellent	Rolla	37.95143	US	10/21/2021, 00:00:00	-91.77127
average	Casa Blanca	19.04222	MX	2019-08-17	-98.11889
average	Mesagne	40.55851	IT	03/17/2018, 00:00:00	17.80774
accep	Hrazdan	40.49748	AM	2016/05/12	44.7662
good	Hlohovec	48.43174	SK	15 Jun 2020	17.8031
average	Mouscron	50.74497	BE	25 Feb 2013	3.20639
average	Lower Earley	51.42708	GB	2018/12/26	-0.91979
good	Paracho de Verduzco	19.64745	MX	04 Jul 2022	-102.04897
excellent	Yasothon	15.79408	TH	2021-07-18	104.1451
excellent	Mwandiga	-4.83	TZ	12/05/2021, 00:00:00	29.65806
good	Visitacion Valley	37.71715	US	2019/05/28	-122.40433
good	Volla	40.87363	IT	2018/05/18	14.34085
average	Saint-Omer	50.75	FR	2018/01/06	2.25
maitennce	Ataq	14.53767	YE	02 Jul 2020	46.83187
good	Lutz	28.15112	US	2019/01/16	-82.46148
average	Griffith	-34.28853	AU	17 Feb 2021	146.05093
building	Guli	28.88162	CN	22 Nov 2016	120.03308
good	Pontevedra	-34.74785	AR	12/01/2014, 00:00:00	-58.70072
excellent	Novara	45.44694	IT	03/29/2017, 00:00:00	8.62118
average	Chharra	27.9247	IN	2017-02-20	78.40102
maintenance	Talipparamba	12.04161	IN	08/29/2016, 00:00:00	75.35927
accep	Usagara	-2.68333	TZ	2022/06/07	33
accep	Arbroath	56.56317	GB	01/17/2014, 00:00:00	-2.58736
excellent	Krasyliv	49.65186	UA	29 Mar 2014	26.97253
maintenance	Talence	44.80477	FR	2015-07-27	-0.59543
average	Otegen Batyra	43.41949	KZ	14 Aug 2017	77.0202
excellent	Tupi	6.33444	PH	2015-12-14	124.95278
maintenance	Aklera	24.41288	IN	17 Jun 2018	76.56719
excellent	Massapequa	40.68066	US	2017/04/02	-73.47429
average	Jhol	25.95533	PK	12/18/2012, 00:00:00	68.88871
good	Norfolk County	42.8334	CA	2016-09-09	-80.38297
average	Heyuan	23.73333	CN	11/17/2017, 00:00:00	114.68333
good	Honda	5.20856	CO	02 Apr 2015	-74.73584
average	Dehiwala-Mount Lavinia	6.84019	LK	20 Sep 2019	79.87116
building	Gonesse	48.98693	FR	02 Jul 2016	2.44892
excellent	Srinagar	34.08565	IN	2017/10/10	74.80555
excellent	Maryborough	-25.54073	AU	04/10/2013, 00:00:00	152.70493
excellent	Farafenni	13.56667	GM	2018/04/17	-15.6
building	Argungu	12.74482	NG	2016/02/28	4.52514
excellent	Carlos Barbosa	-29.2975	BR	09/02/2013, 00:00:00	-51.50361
good	Masbate	12.37169	PH	2021-06-07	123.62494
good	Dahlem	52.4581	DE	2021-12-05	13.28702
average	Pilkhua	28.71271	IN	2015-09-20	77.656
good	Middletown	41.54566	US	31 Mar 2020	-71.29144
good	Huntley	42.16808	US	2017/05/02	-88.42814
good	Elamanchili	17.54907	IN	30 Oct 2019	82.85749
accep	Fazilpur	32.17629	PK	30 Mar 2021	75.06583
maintenance	Kobuleti	41.82143	GE	2020-12-25	41.77921
excellent	Nyangao	-10.33333	TZ	2018/05/11	39.28333
accep	Vryheid	-27.76952	ZA	2018/11/21	30.79165
maintenance	Puerto Colombia	10.98778	CO	2015-05-30	-74.95472
accep	Hita	33.3213	JP	2022/03/02	130.94098
accep	Ariccia	41.72063	IT	05/10/2019, 00:00:00	12.6723
accep	Vienne	45.51667	FR	14 May 2016	4.86667
accep	Lille	51.24197	BE	17 Jan 2015	4.82313
accep	Villa del Rosario	7.83389	CO	2018-09-08	-72.47417
accep	Bridgeport	41.16704	US	2016/08/26	-73.20483
average	Albstadt	48.21644	DE	31 Jul 2016	9.02596
average	Croix-des-Bouquets	18.57677	HT	2019/02/01	-72.22625
maintenance	Gauting	48.06919	DE	12/11/2017, 00:00:00	11.37703
accep	Roslavl’	53.95278	RU	16 Aug 2016	32.86389
accep	Jhol	25.95533	PK	2022-03-09	68.88871
average	Boston	42.35843	US	09 Apr 2014	-71.05977
average	Amposta	40.70995	ES	06/01/2015, 00:00:00	0.57856
maitennce	Jais	26.2649	IN	2015/10/24	81.54855
accep	Rwamagana	-1.9487	RW	05/20/2013, 00:00:00	30.4347
excellent	Valinhos	-22.97056	BR	2019-09-01	-46.99583
excellent	Miracema	-21.41222	BR	2016/01/01	-42.19667
maintenance	Beaconsfield	45.43341	CA	2016-09-26	-73.86586
excellent	Las Gabias	37.13548	ES	2017-07-26	-3.67029
good	Rhosllanerchrugog	53.00974	GB	03/09/2018, 00:00:00	-3.05814
accep	Pingyi	35.50056	CN	2022/08/26	117.63083
excellent	Waverly	42.7392	US	2014-03-03	-84.62081
accep	Tver	56.85836	RU	2017/12/24	35.90057
good	Ukmerge	55.25	LT	2015/01/30	24.75
good	Evergreen Park	41.72059	US	2022-06-12	-87.70172
excellent	Vitebsk	55.1904	BY	30 Oct 2021	30.2049
excellent	Aistala	23.18	IN	2013/04/20	88.58
accep	Iron River	46.09273	US	2014-12-08	-88.64235
good	Shinshiro	34.9	JP	04/30/2021, 00:00:00	137.5
accep	Searcy	35.25064	US	20 Dec 2014	-91.73625
accep	Grand Forks	47.92526	US	2022/06/21	-97.03285
accep	Yashkino	55.8736	RU	11 Nov 2021	85.4265
good	Grand Forks	47.92526	US	02 May 2022	-97.03285
maintenance	Buri	-23.7975	BR	05/10/2017, 00:00:00	-48.59278
accep	Woodbridge	40.5576	US	08/04/2017, 00:00:00	-74.28459
building	Taozhuang	34.85	CN	03/06/2021, 00:00:00	117.33333
maintenance	East Jerusalem	31.78336	PS	08 Sep 2016	35.23388
excellent	Tianfu	37.19723	CN	2016/04/04	122.05228
building	Socorro	6.46838	CO	2020-09-06	-73.26022
accep	Lutz	28.15112	US	2018-07-09	-82.46148
building	Busia	0.46005	KE	2013-07-12	34.11169
good	Cibinong	-6.48167	ID	2014-06-29	106.85417
excellent	Petrozavodsk	61.78491	RU	2020-07-13	34.34691
excellent	Suzaka	36.65	JP	09 May 2017	138.31667
accep	Kovylkino	54.03876	RU	11/07/2019, 00:00:00	43.91385
building	Sunnyside	46.32374	US	17 Nov 2013	-120.00865
excellent	Huangshi	30.24706	CN	25 Aug 2016	115.04814
excellent	Losheim	49.5099	DE	2020-10-03	6.74549
accep	Marau	-28.44917	BR	2017-01-21	-52.2
excellent	Chiavari	44.31771	IT	10/03/2017, 00:00:00	9.32241
average	Gainsborough	53.38333	GB	09/30/2012, 00:00:00	-0.76667
excellent	Bobigny	48.90982	FR	2015/04/16	2.45012
maintenance	Caravaca	38.10558	ES	2019-08-17	-1.86343
excellent	Pingyi	35.50056	CN	2016-04-04	117.63083
accep	Zgorzelec	51.14942	PL	12 Aug 2021	15.00835
good	Sharypovo	55.54028	RU	2022-07-21	89.20083
excellent	Leioa	43.32686	ES	2020/01/06	-2.98884
maintenance	Keizer	44.99012	US	2019-12-10	-123.02621
accep	Yunguyo	-16.25	PE	07 Jun 2014	-69.08333
average	Bergama	39.12074	TR	2015-07-24	27.18052
maintenance	Shimotoda	35.815	JP	13 Feb 2021	139.6853
accep	Hrazdan	40.49748	AM	2020/06/22	44.7662
accep	Barmbek-Nord	53.6052	DE	2020/08/22	10.03988
average	Exeter	50.7236	GB	12/29/2015, 00:00:00	-3.52751
average	Itacoatiara	-3.14306	BR	2021-05-02	-58.44417
average	Vestavia Hills	33.44872	US	10/21/2017, 00:00:00	-86.78777
building	Boumerdas	36.76639	DZ	2022-01-02	3.47717
good	Antanifotsy	-19.65	MG	17 Feb 2020	47.31667
good	Ulan-Ude	51.82721	RU	2016/06/22	107.60627
average	Tavda	58.04254	RU	2016-04-24	65.27258
excellent	Manikchari	22.83957	BD	2017-01-01	91.84128
average	West Chester	39.96097	US	12 Aug 2022	-75.60804
maitennce	Custoias	41.1053	PT	05/11/2021, 00:00:00	-7.32097
accep	Kaukauna	44.27804	US	2016/08/10	-88.27205
average	Agrigento	37.31065	IT	2015/07/21	13.57661
accep	Saraj	42	MK	2020/01/20	21.32778
maintenance	Murray	36.61033	US	30 Jun 2021	-88.31476
maintenance	Farafenni	13.56667	GM	2014-09-27	-15.6
building	Sankt Peter	47.05	AT	2019-11-06	15.46667
average	Xinzhou	38.40917	CN	08/15/2022, 00:00:00	112.73333
accep	Jerada	34.31	MA	2012/11/27	-2.16
accep	Bang Ban	14.37395	TH	03 Dec 2015	100.48528
maintenance	Fresno	29.53885	US	2015/03/26	-95.44744
building	Tarkwa	5.30383	GH	2017/12/24	-1.98956
good	San Juan	26.18924	US	2022-06-25	-98.15529
good	Hutto	30.5427	US	2015-01-10	-97.54667
excellent	El Copey	10.15031	CO	2022/02/15	-73.9614
good	New Kingston	18.00747	JM	05/15/2019, 00:00:00	-76.78319
building	Westchester	41.85059	US	24 Jan 2018	-87.882
excellent	Martinsburg	39.45621	US	02/05/2020, 00:00:00	-77.96389
good	Clacton-on-Sea	51.78967	GB	12/29/2021, 00:00:00	1.15597
good	American Canyon	38.17492	US	2018/10/17	-122.2608
average	Jagna	9.6531	PH	2019/10/03	124.3697
excellent	North Tustin	33.76446	US	11 Jan 2019	-117.79394
average	Goyang-si	37.65639	KR	2020/03/28	126.835
accep	Brunswick	43.91452	US	2014/02/20	-69.96533
building	Alfenas	-21.42917	BR	2022-09-25	-45.94722
accep	Lagarto	-10.91722	BR	2017-01-27	-37.65
maintenance	Baza	37.49073	ES	2014/12/09	-2.77259
good	Mwandiga	-4.83	TZ	2018-06-25	29.65806
excellent	Columbia Heights	45.0408	US	2017-07-22	-93.263
accep	Pandua	23.07492	IN	2020/12/24	88.28637
good	Sangla Hill	31.71667	PK	2014/01/19	73.38333
good	Kalavoor	9.57046	IN	06/30/2019, 00:00:00	76.32756
accep	Beidao	34.56861	CN	2019-09-04	105.89333
good	Westchester	41.85059	US	2015/10/19	-87.882
good	El Alia	37.16911	TN	2018-08-09	10.03478
average	Novelda	38.38479	ES	06/11/2019, 00:00:00	-0.76773
building	El Copey	10.15031	CO	02 Oct 2021	-73.9614
excellent	Changshu City	31.64615	CN	2013-02-19	120.74221
excellent	Harrisburg	40.2737	US	2013/06/18	-76.88442
average	Massapequa	40.68066	US	09 Mar 2016	-73.47429
good	Media Luna	20.14298	CU	18 Jan 2016	-77.43532
excellent	Gavrilov-Yam	57.30185	RU	2020/02/06	39.85331
average	Ukmerge	55.25	LT	2019-10-09	24.75
maintenance	Tebingtinggi	3.3285	ID	28 Apr 2014	99.1625
maintenance	Wheelers Hill	-37.9	AU	10/05/2016, 00:00:00	145.18333
accep	Toyokawa	34.81667	JP	2014/11/08	137.4
accep	Kitgum	3.27833	UG	2018-12-12	32.88667
average	Beaumont	33.92946	US	2021/01/08	-116.97725
maintenance	Karlovy Vary	50.23271	CZ	25 Sep 2014	12.87117
good	Hutto	30.5427	US	24 Mar 2022	-97.54667
maintenance	New Yekepa	7.57944	LR	2018/01/26	-8.53778
average	Sishui	35.64889	CN	01/21/2015, 00:00:00	117.27583
average	San Jose	12.35275	PH	01/13/2016, 00:00:00	121.06761
excellent	Kallio	60.18427	FI	15 Jan 2016	24.95034
excellent	Jackson	35.61452	US	2014/03/01	-88.81395
good	Murray	36.61033	US	2019-10-18	-88.31476
building	Negotin	44.22639	RS	2019-08-15	22.53083
excellent	Elamanchili	17.54907	IN	2012-11-20	82.85749
accep	Thomazeau	18.65297	HT	30 Jul 2018	-72.09391
good	Sinhyeon	34.8825	KR	2013/08/19	128.62667
excellent	Sherwood Park	53.51684	CA	2015/08/31	-113.3187
good	Timaru	-44.39672	NZ	2019-04-11	171.25364
average	Zhoushan	29.98869	CN	05 Nov 2012	122.20488
accep	Artsyz	45.99194	UA	20 Feb 2020	29.41824
accep	Sambalpur	21.46527	IN	2021-07-28	83.97573
accep	Tianfu	37.19723	CN	2022-04-14	122.05228
excellent	Gero	35.8	JP	14 Sep 2014	137.23333
good	Kushtia	23.9028	BD	2013/03/05	89.11943
accep	Manaoag	16.0438	PH	08/23/2020, 00:00:00	120.4861
maintenance	Mudanya	40.37528	TR	2017/02/06	28.88222
good	Lutz	28.15112	US	2019/06/26	-82.46148
average	Crystal Lake	42.24113	US	28 Jul 2014	-88.3162
maintenance	Zeitz	51.04962	DE	25 May 2022	12.1369
accep	Hermsdorf	52.61131	DE	2013/03/28	13.31783
accep	Sonzacate	13.73417	SV	06 Mar 2017	-89.71472
excellent	Wacheng	33.78333	CN	2015-09-10	114.51667
excellent	Shinshiro	34.9	JP	2017/06/10	137.5
building	Jiangyan	32.50611	CN	07/29/2014, 00:00:00	120.14278
accep	Espoo	60.2052	FI	06/24/2014, 00:00:00	24.6522
maintenance	Sydney	46.1351	CA	2014/09/02	-60.1831
good	Clermont	28.54944	US	11/01/2012, 00:00:00	-81.77285
good	Elamanchili	17.54907	IN	2015-02-10	82.85749
good	Mudanya	40.37528	TR	2019-12-08	28.88222
excellent	Stupino	54.90083	RU	2020/05/16	38.07083
accep	Lesnoy	58.63667	RU	2013-01-31	59.80222
average	Tupiza	-21.44345	BO	2020-09-11	-65.71875
accep	Saint-Genis-Laval	45.69558	FR	08/11/2022, 00:00:00	4.7934
average	Bijeljina	44.75874	BA	2020-05-25	19.21437
accep	Qazax	41.09246	AZ	09/26/2019, 00:00:00	45.36561
excellent	Changzhi	35.20889	CN	19 Jan 2019	111.73861
excellent	Bua Yai	15.58552	TH	02 Jan 2016	102.42587
maintenance	Sharypovo	55.54028	RU	03/03/2019, 00:00:00	89.20083
average	Shuangcheng	45.35	CN	19 May 2016	126.28333
good	Boumerdas	36.76639	DZ	25 Jun 2019	3.47717
excellent	Copperas Cove	31.12406	US	2016-12-28	-97.90308
average	Ajdabiya	30.75545	LY	2015-12-31	20.22625
excellent	Manikchari	22.83957	BD	2015-11-21	91.84128
average	Chiavari	44.31771	IT	19 Nov 2018	9.32241
accep	Skalica	48.8449	SK	2021-03-11	17.22635
average	Sterling	39.00622	US	2014/09/09	-77.4286
accep	Tyoply Stan	55.62047	RU	2019/05/21	37.49338
excellent	Ulan Bator	47.90771	MN	2020/01/10	106.88324
building	Dumont	40.94065	US	2020-07-30	-73.99681
building	Independence	39.09112	US	28 Feb 2018	-94.41551
excellent	Sremska Mitrovica	44.97639	RS	10 Mar 2021	19.61222
average	San Rafael	9.92787	CR	2014/08/04	-84.13722
average	Croix-des-Bouquets	18.57677	HT	13 Jun 2014	-72.22625
excellent	Gero	35.8	JP	2013/09/22	137.23333
good	Arles	43.67681	FR	19 Sep 2020	4.63031
excellent	Robertsonpet	12.95629	IN	06/05/2014, 00:00:00	78.27539
excellent	Masbate	12.37169	PH	2022/06/05	123.62494
accep	Altamira	-3.20333	BR	2016-07-31	-52.20639
good	Norfolk County	42.8334	CA	12/03/2013, 00:00:00	-80.38297
good	Villa del Rosario	7.83389	CO	2017/07/04	-72.47417
accep	Guapimirim	-22.53722	BR	2016-03-17	-42.98194
accep	Woodbridge	40.5576	US	2020/11/07	-74.28459
building	Artur Nogueira	-22.57306	BR	2019/09/05	-47.1725
accep	Jambi City	-1.6	ID	27 Mar 2016	103.61667
accep	Soledade	-28.81833	BR	07/28/2021, 00:00:00	-52.51028
maintenance	Novara	45.44694	IT	25 Jul 2021	8.62118
average	Karlovy Vary	50.23271	CZ	2018-10-22	12.87117
average	Kundla	21.34222	IN	2017-12-21	71.30633
good	Ken Caryl	39.57582	US	08/07/2013, 00:00:00	-105.11221
accep	Kireyevsk	53.93361	RU	11/01/2016, 00:00:00	37.92792
good	Tsuen Wan	22.37066	HK	2020/02/25	114.10479
accep	Uran	18.87813	IN	2014-09-27	72.93924
excellent	Besuki	-7.73379	ID	05 Aug 2019	113.69785
average	Memmingen	47.98372	DE	24 Feb 2019	10.18527
good	Leioa	43.32686	ES	2012-12-22	-2.98884
good	Maxixe	-23.85972	MZ	18 Apr 2022	35.34722
average	Mianwali	32.57756	PK	18 Nov 2015	71.52847
accep	East Jerusalem	31.78336	PS	21 Oct 2019	35.23388
accep	Privolzhskiy	51.40944	RU	23 Aug 2018	46.04833
maintenance	Yonkers	40.93121	US	03 Dec 2013	-73.89875
building	Bijeljina	44.75874	BA	01/08/2022, 00:00:00	19.21437
average	Puertollano	38.68712	ES	09/26/2015, 00:00:00	-4.10734
accep	Blackpool	53.81667	GB	2013-05-30	-3.05
good	Lagarto	-10.91722	BR	2019/08/17	-37.65
good	Pointe-Claire	45.44868	CA	28 Nov 2020	-73.81669
good	Longview	32.5007	US	07 Nov 2020	-94.74049
building	Gaziantep	37.05944	TR	2014/09/19	37.3825
maintenance	Masbate	12.37169	PH	2015/07/26	123.62494
accep	Yao	34.61667	JP	08 Nov 2013	135.6
building	Diamond Harbour	22.19303	IN	12/28/2014, 00:00:00	88.18466
accep	Ulan-Ude	51.82721	RU	2020-11-10	107.60627
good	Argungu	12.74482	NG	2019/07/30	4.52514
accep	Sterling	39.00622	US	26 Apr 2022	-77.4286
excellent	Darreh Shahr	33.14447	IR	07 Nov 2013	47.3799
maintenance	Brighton Beach	40.57788	US	2015/04/04	-73.95958
accep	Strathfield	-33.88096	AU	03 Jul 2017	151.07986
good	Kyaikto	17.30858	MM	09/05/2015, 00:00:00	97.01124
average	Riverbank	37.73604	US	2018/05/14	-120.93549
building	Artsyz	45.99194	UA	2021-10-25	29.41824
building	Montana	43.4125	BG	2021-07-12	23.225
good	Motomachi	43.82634	JP	2021/10/03	144.09638
excellent	Magomeni	-6.8	TZ	08/18/2013, 00:00:00	39.25
good	Chamba	32.55531	IN	12 Dec 2012	76.12647
excellent	Kyaikto	17.30858	MM	09 Jun 2021	97.01124
maintenance	Olupona	7.6	NG	2020-11-02	4.18333
accep	Juhaynah	26.67319	EG	07 May 2021	31.4976
good	Oldenzaal	52.31333	NL	07/22/2021, 00:00:00	6.92917
accep	Brenham	30.16688	US	10/04/2021, 00:00:00	-96.39774
accep	Greenville	33.41012	US	2015-05-10	-91.06177
good	Tuxtla	16.75973	MX	2014-02-26	-93.11308
average	Lancing	50.82882	GB	2018-07-26	-0.32247
excellent	Sambalpur	21.46527	IN	2014-05-14	83.97573
accep	Rafaela	-31.25033	AR	2015/01/11	-61.4867
maintenance	Norwalk	41.24255	US	2014-11-28	-82.61573
excellent	Palm Valley	30.17746	US	07/11/2017, 00:00:00	-81.38758
excellent	Griffith	-34.28853	AU	11/18/2021, 00:00:00	146.05093
average	Hoxtolgay	46.51872	CN	2016/06/16	86.00214
excellent	Yasothon	15.79408	TH	21 May 2016	104.1451
maintenance	Aguilares	-27.4338	AR	25 Sep 2021	-65.61427
building	Santa Cruz de Barahona	18.20854	DO	20 May 2015	-71.10077
excellent	Teghra	25.49043	IN	22 Apr 2014	85.94001
good	Xiangtan	27.85	CN	01/13/2015, 00:00:00	112.9
average	Morningside Heights	40.81	US	03 Sep 2017	-73.9625
good	Le Chesnay	48.8222	FR	2014/04/04	2.12213
accep	Punta Gorda Isles	26.91756	US	10/21/2014, 00:00:00	-82.07842
accep	Nonsan	36.20389	KR	2019/06/25	127.08472
average	Tebingtinggi	3.3285	ID	2016/07/19	99.1625
accep	Ajaccio	41.91886	FR	03/12/2018, 00:00:00	8.73812
maintenance	Ovalle	-30.60106	CL	2022/06/18	-71.19901
building	Boyeros	23.0072	CU	2017-04-21	-82.4017
average	Uran	18.87813	IN	2019-12-02	72.93924
accep	Jagna	9.6531	PH	06/12/2021, 00:00:00	124.3697
average	Mongo	12.18441	TD	2018-10-19	18.69303
excellent	Brazzaville	-4.26613	CG	2014/05/28	15.28318
building	Clacton-on-Sea	51.78967	GB	31 Aug 2021	1.15597
average	Pekanbaru	0.51667	ID	02/11/2019, 00:00:00	101.44167
excellent	Croix-des-Bouquets	18.57677	HT	01/27/2022, 00:00:00	-72.22625
maintenance	South Whittier	33.95015	US	01/09/2013, 00:00:00	-118.03917
accep	Dax	43.71032	FR	09 Oct 2021	-1.05366
excellent	Jaworzno	50.20528	PL	2014-01-06	19.27498
good	Palestine	31.76212	US	06 Mar 2016	-95.63079
good	Strathfield	-33.88096	AU	11/13/2019, 00:00:00	151.07986
building	Freetown	8.48714	SL	2015/01/16	-13.2356
building	An Muileann gCearr	53.53333	IE	2016/08/02	-7.35
average	Strathfield	-33.88096	AU	09/16/2018, 00:00:00	151.07986
accep	Lakewood	41.48199	US	2015-09-15	-81.79819
maintenance	Bar-le-Duc	48.77275	FR	2019/12/31	5.16108
good	Tarakan	3.31332	ID	11/19/2017, 00:00:00	117.59152
excellent	Mitry-Mory	48.98333	FR	03/04/2018, 00:00:00	2.61667
maintenance	Biu	10.61285	NG	2019-03-07	12.19458
excellent	Dahlem	52.4581	DE	2019-10-08	13.28702
