QoS	longitude	code	location	latitude	revision
good	37.73333	TZ	Africa/Dar_es_Salaam	-4.06667	2020/06/13
accep	104.09701	ID	Asia/Jakarta	-1.26424	26 Jan 2016
excellent	-41.45861	BR	America/Fortaleza	-4.42472	13 Feb 2018
building	-73.75335	CA	America/Toronto	45.4473	2014-11-08
accep	-120.45794	US	America/Los_Angeles	34.63915	2015-10-23
accep	18.69303	TD	Africa/Ndjamena	12.18441	2012-12-14
average	130.94098	JP	Asia/Tokyo	33.3213	2015/01/19
building	79.87116	LK	Asia/Colombo	6.84019	02/04/2022, 00:00:00
average	12.19458	NG	Africa/Lagos	10.61285	08/01/2015, 00:00:00
good	-67.15407	PR	America/Puerto_Rico	18.42745	2020-05-06
building	136.84186	JP	Asia/Tokyo	34.4833	01/14/2021, 00:00:00
average	56.36091	RU	Asia/Yekaterinburg	51.78771	11/04/2019, 00:00:00
accep	-76.99081	US	America/New_York	38.96372	2015-03-02
average	-116.21677	US	America/Los_Angeles	33.7207	2022-04-22
good	-82.61573	US	America/New_York	41.24255	17 Mar 2022
good	-119.0376	US	America/Los_Angeles	34.21639	10/30/2017, 00:00:00
good	112.9	CN	Asia/Shanghai	27.85	11/19/2012, 00:00:00
accep	57.3552	RU	Asia/Yekaterinburg	51.4781	29 Oct 2017
excellent	-1.48119	GB	Europe/London	53.0233	2022/01/22
accep	121.06761	PH	Asia/Manila	12.35275	08/26/2014, 00:00:00
excellent	4.21372	BE	Europe/Brussels	51.12794	2015/05/29
accep	9.20427	DE	Europe/Berlin	48.49144	2022/08/09
average	-88.64235	US	America/Menominee	46.09273	2015-11-20
excellent	110.71639	ID	Asia/Jakarta	-7.54972	2018-02-08
good	-9.24671	PT	Europe/Lisbon	38.72706	2018/08/22
average	128.9889	KR	Asia/Seoul	37.1759	16 Oct 2012
maintenance	-1.64295	ES	Europe/Madrid	42.8139	10/01/2013, 00:00:00
accep	-102.36764	US	America/Chicago	31.84568	01/08/2014, 00:00:00
maintenance	12.16179	DE	Europe/Berlin	48.52961	2018/07/01
average	-4.10734	ES	Europe/Madrid	38.68712	05 May 2014
average	-2.12139	GB	Europe/London	52.48173	09/23/2013, 00:00:00
accep	33.2525	RU	Europe/Moscow	57.97472	15 Mar 2022
excellent	102.3278	MY	Asia/Kuala_Lumpur	2.2139	22 Oct 2019
excellent	120.14278	CN	Asia/Shanghai	32.50611	02/19/2017, 00:00:00
excellent	128.62667	KR	Asia/Seoul	34.8825	2022-05-09
good	57.3552	RU	Asia/Yekaterinburg	51.4781	25 Jan 2020
building	74.4818	IN	Asia/Kolkata	30.21121	04 Jan 2017
average	-104.83192	US	America/Denver	39.72943	2013/06/29
building	18.69303	TD	Africa/Ndjamena	12.18441	12/19/2015, 00:00:00
average	-91.06177	US	America/Chicago	33.41012	08/29/2013, 00:00:00
building	6.10237	CH	Europe/Zurich	46.18396	21 Sep 2021
building	9.40531	IT	Europe/Rome	45.53069	2017-02-13
accep	-119.0376	US	America/Los_Angeles	34.21639	2013-03-01
average	-120.43572	US	America/Los_Angeles	34.95303	2020-10-21
excellent	-97.92977	US	America/Chicago	38.06084	2016/10/27
building	-58.70072	AR	America/Argentina/Buenos_Aires	-34.74785	2019/06/02
excellent	-5.55835	ES	Europe/Madrid	42.64685	2015/07/21
average	9.40531	IT	Europe/Rome	45.53069	2018-04-01
good	-94.41551	US	America/Chicago	39.09112	2015/06/18
average	12.38878	IT	Europe/Rome	43.1122	10/04/2012, 00:00:00
average	31.3237	BY	Europe/Minsk	52.4089	05/05/2017, 00:00:00
excellent	150.60036	AU	Australia/Sydney	-34.88422	2015-09-26
excellent	-94.41551	US	America/Chicago	39.09112	2019-12-08
excellent	13.32127	DE	Europe/Berlin	52.59319	01/18/2017, 00:00:00
average	-74.15987	US	America/New_York	40.82232	08/20/2014, 00:00:00
accep	117.4831	CN	Asia/Shanghai	27.34089	05/16/2013, 00:00:00
maintenance	145.18333	AU	Australia/Melbourne	-37.9	14 Mar 2018
accep	2.35739	ES	Europe/Madrid	41.63976	2021/07/06
excellent	15.16554	CD	Africa/Kinshasa	-4.5833	20 Jan 2021
average	6.9747	DE	Europe/Berlin	50.82709	2014-02-15
maintenance	120.4861	PH	Asia/Manila	16.0438	07 Feb 2016
building	42.54536	SO	Africa/Mogadishu	-0.35817	06/21/2022, 00:00:00
accep	77.23826	IN	Asia/Kolkata	11.50526	29 Jul 2017
maintenance	32.86389	RU	Europe/Moscow	53.95278	2012-12-24
accep	-97.54667	US	America/Chicago	30.5427	28 Feb 2021
accep	29.91582	EG	Africa/Cairo	31.20176	14 Oct 2018
excellent	27.02444	TR	Europe/Istanbul	39.59611	11 Jul 2022
maintenance	-15.6	GM	Africa/Banjul	13.56667	19 Jun 2013
maintenance	-71.05977	US	America/New_York	42.35843	2014-03-08
maintenance	-34.88111	BR	America/Recife	-8.05389	28 Jan 2015
average	32.88667	UG	Africa/Kampala	3.27833	29 Jul 2020
good	-81.23621	US	America/New_York	33.98154	09 Apr 2020
average	8.64409	DE	Europe/Berlin	48.07667	08/03/2021, 00:00:00
good	68.75915	PK	Asia/Karachi	27.52948	2021-09-23
accep	4.62744	DZ	Africa/Algiers	36.06386	15 Feb 2021
average	2.29275	FR	Europe/Paris	48.79325	2016-10-08
maintenance	78.15794	IN	Asia/Kolkata	12.1277	2016-07-10
good	24.75	LT	Europe/Vilnius	55.25	2018-02-08
good	30.79165	ZA	Africa/Johannesburg	-27.76952	21 Aug 2017
maintenance	-77.70066	US	America/New_York	43.16547	2017/01/06
accep	2.29026	FR	Europe/Paris	48.77644	27 Mar 2017
good	38.2739	RU	Europe/Moscow	46.7055	07/11/2022, 00:00:00
accep	-2.01111	GB	Europe/London	52.66277	2013/12/04
excellent	121.3152	PH	Asia/Manila	14.14989	2017/12/01
average	-122.38731	US	America/Los_Angeles	45.53929	2017/08/06
accep	72.68533	IN	Asia/Kolkata	22.75218	2012/09/27
building	4.7934	FR	Europe/Paris	45.69558	11 Dec 2017
maintenance	122.22833	CN	Asia/Shanghai	40.66482	2021-07-29
excellent	-117.29198	US	America/Los_Angeles	33.03699	2015-04-04
good	-1.47217	GB	Europe/London	53.46506	18 Oct 2013
average	124.3697	PH	Asia/Manila	9.6531	2012/11/07
excellent	72.54064	PK	Asia/Karachi	31.82539	2014-01-15
average	8.77155	DE	Europe/Berlin	50.23019	11/13/2014, 00:00:00
excellent	-35.03333	BR	America/Recife	-8.28333	2022-04-27
excellent	-98.1664	MX	America/Mexico_City	19.32932	2019-01-15
excellent	117.81667	CN	Asia/Shanghai	36.81667	2019/11/04
excellent	27.46153	BW	Africa/Gaborone	-21.44236	06/30/2016, 00:00:00
good	60.70278	RU	Asia/Yekaterinburg	55.75556	09/22/2021, 00:00:00
average	77.5609	IN	Asia/Kolkata	11.00599	2016-09-25
excellent	-84.23381	US	America/New_York	33.54428	2021/11/22
good	-48.67028	BR	America/Sao_Paulo	-28.24	08 Sep 2018
excellent	78.55757	IN	Asia/Kolkata	17.34769	02 Aug 2018
accep	168.31366	VU	Pacific/Efate	-17.73648	2017-10-06
excellent	101.96857	MY	Asia/Kuala_Lumpur	4.88441	05/16/2018, 00:00:00
good	116.10146	MY	Asia/Kuching	5.90702	2013/08/28
building	25.8191	BY	Europe/Minsk	53.5942	2013-05-30
accep	14.72443	IT	Europe/Rome	36.92574	2018-12-21
good	123.62494	PH	Asia/Manila	12.37169	14 Oct 2012
average	117.7	CN	Asia/Shanghai	35.85	2014/04/21
maintenance	-89.71472	SV	America/El_Salvador	13.73417	2020/01/07
good	-0.33525	GB	Europe/London	53.7446	2018-08-12
maintenance	-73.9614	CO	America/Bogota	10.15031	03/05/2015, 00:00:00
maintenance	-122.2608	US	America/Los_Angeles	38.17492	2017/02/17
maintenance	112.19028	CN	Asia/Shanghai	30.35028	05 Oct 2014
excellent	-1.32471	GB	Europe/London	51.40148	16 Mar 2021
accep	140.73667	JP	Asia/Tokyo	41.77583	10/28/2020, 00:00:00
accep	12.70038	IT	Europe/Rome	45.9836	08/06/2020, 00:00:00
excellent	-80.22588	US	America/New_York	26.2173	2014/04/20
maitennce	136.61667	JP	Asia/Tokyo	36.53333	24 Apr 2015
good	73.66633	IN	Asia/Kolkata	25.92493	04/02/2018, 00:00:00
excellent	72.93924	IN	Asia/Kolkata	18.87813	2017/03/28
maintenance	13.10984	DE	Europe/Berlin	51.30001	2021/03/05
accep	25.34244	UA	Europe/Kiev	50.75932	2020/02/08
average	74.80555	IN	Asia/Kolkata	34.08565	02 Dec 2016
excellent	16.91667	NA	Africa/Windhoek	-21.98333	2015-07-15
accep	120.03308	CN	Asia/Shanghai	28.88162	2017-11-05
accep	37.49338	RU	Europe/Moscow	55.62047	24 Jul 2016
good	0.47713	GB	Europe/London	51.39323	2018/03/25
excellent	4.85668	DZ	Africa/Algiers	36.27462	2022/03/04
good	122.08333	CN	Asia/Shanghai	46.08333	03/17/2020, 00:00:00
excellent	45.36561	AZ	Asia/Baku	41.09246	09 Mar 2015
average	18.34717	PL	Europe/Warsaw	54.60528	07/15/2022, 00:00:00
excellent	-75.23266	US	America/New_York	43.1009	07/18/2020, 00:00:00
building	-5.22126	MA	Africa/Casablanca	33.43443	2022-05-23
average	-52.67056	BR	America/Sao_Paulo	-26.22861	08/07/2018, 00:00:00
accep	-1.325	ES	Europe/Madrid	38.47917	2019-08-20
maintenance	-42.19667	BR	America/Sao_Paulo	-21.41222	15 Dec 2013
accep	1.26738	GB	Europe/London	51.84819	2015-11-15
good	-97.03285	US	America/Chicago	47.92526	23 Sep 2022
accep	-38.79084	BR	America/Bahia	-10.95817	31 Oct 2013
maintenance	-119.01677	US	America/Los_Angeles	36.06523	2012-10-03
excellent	117.81667	CN	Asia/Shanghai	36.81667	2013-11-27
good	20.89389	XK	Europe/Belgrade	42.62833	09/10/2014, 00:00:00
good	3.39467	NG	Africa/Lagos	6.45407	2017-11-20
average	120.97844	PH	Asia/Manila	14.8361	24 May 2013
good	30.4347	RW	Africa/Kigali	-1.9487	28 Apr 2013
excellent	-51.87389	BR	America/Sao_Paulo	-23.44361	2019-12-23
maintenance	75.37991	IN	Asia/Kolkata	25.75728	2015/03/22
good	-119.01677	US	America/Los_Angeles	36.06523	03/23/2013, 00:00:00
maintenance	-77.37331	US	America/New_York	37.60876	2021-05-21
excellent	16.91667	NA	Africa/Windhoek	-21.98333	02/28/2017, 00:00:00
accep	140.11667	JP	Asia/Tokyo	37.56667	2021/05/05
building	-0.59543	FR	Europe/Paris	44.80477	03/18/2013, 00:00:00
building	5.51978	NL	Europe/Amsterdam	51.44889	2020/10/25
good	32.88667	UG	Africa/Kampala	3.27833	2015-04-10
maintenance	145.06667	AU	Australia/Melbourne	-37.88333	2021-01-22
accep	8.70745	DE	Europe/Berlin	49.03685	2018-12-10
good	34.75699	IL	Asia/Jerusalem	31.39547	11/02/2021, 00:00:00
accep	29.91582	EG	Africa/Cairo	31.20176	2018/11/29
good	1.53414	AD	Europe/Andorra	42.50729	02/22/2014, 00:00:00
excellent	75.96976	IN	Asia/Kolkata	15.73628	30 Oct 2016
accep	-52.51028	BR	America/Sao_Paulo	-28.81833	2015-08-14
accep	70.91106	PK	Asia/Karachi	29.38242	15 Aug 2015
accep	-2.16	MA	Africa/Casablanca	34.31	2017/08/01
excellent	-87.70172	US	America/Chicago	41.72059	2022-06-06
maintenance	-97.54667	US	America/Chicago	30.5427	20 May 2013
accep	32.6178	UA	Europe/Kiev	46.65581	2015-06-18
excellent	-101.2591	MX	America/Mexico_City	21.01858	2015-03-01
good	5.4584	FR	Europe/Paris	43.32393	2022-05-10
average	15.00835	PL	Europe/Warsaw	51.14942	2014/06/18
good	-73.0515	US	America/New_York	41.55815	2017-06-27
excellent	-8.07257	ML	Africa/Bamako	12.74409	2017-03-21
excellent	-4.0573	GB	Europe/London	55.82737	05/26/2015, 00:00:00
excellent	9.17702	DE	Europe/Berlin	48.78232	05/06/2021, 00:00:00
maintenance	72.54064	PK	Asia/Karachi	31.82539	03/15/2016, 00:00:00
building	-87.66561	US	America/Chicago	41.8542	18 Apr 2013
building	9.37082	TN	Africa/Tunis	36.08497	01/24/2013, 00:00:00
good	-122.86705	US	America/Los_Angeles	45.49428	2021/10/18
good	110.8405	ID	Asia/Jakarta	-6.8048	22 Oct 2013
accep	17.58522	IT	Europe/Rome	40.53123	2018/03/08
accep	76.56719	IN	Asia/Kolkata	24.41288	23 Apr 2021
maintenance	6.83042	NG	Africa/Lagos	6.15038	2020-01-05
maintenance	-81.24441	CU	America/Havana	23.15678	2015/10/11
accep	-122.2608	US	America/Los_Angeles	38.17492	2018/07/10
building	8.86374	IT	Europe/Rome	44.89784	2017/12/15
accep	24.99798	CD	Africa/Lubumbashi	-8.73508	2013-07-11
excellent	36.25361	UA	Europe/Zaporozhye	47.48444	03 Jun 2019
average	4.8951	FR	Europe/Paris	44.92801	11/11/2015, 00:00:00
average	-82.35176	US	America/New_York	27.71809	16 Feb 2015
maintenance	22.53083	RS	Europe/Belgrade	44.22639	2019-07-27
excellent	72.68533	IN	Asia/Kolkata	22.75218	2019-08-29
average	-52.67056	BR	America/Sao_Paulo	-26.22861	2015/12/30
excellent	-78.04471	US	America/New_York	34.25628	2021/12/23
excellent	-48.52333	BR	America/Belem	-0.71667	11 Oct 2018
average	74.4818	IN	Asia/Kolkata	30.21121	12/29/2017, 00:00:00
good	-117.71978	US	America/Los_Angeles	34.09668	2020/01/31
excellent	5.16108	FR	Europe/Paris	48.77275	2016-11-16
accep	2.45012	FR	Europe/Paris	48.90982	2019/06/06
accep	-116.21677	US	America/Los_Angeles	33.7207	06/24/2020, 00:00:00
excellent	85.83334	IN	Asia/Kolkata	20.88197	06/29/2021, 00:00:00
good	-91.58045	US	America/Chicago	41.6764	02/14/2018, 00:00:00
excellent	35.34722	MZ	Africa/Maputo	-23.85972	04/24/2022, 00:00:00
accep	-94.91386	MX	America/Mexico_City	17.94979	2021/06/04
maitennce	-4.22398	GB	Europe/London	57.47908	22 Dec 2016
maintenance	-96.67834	US	America/Chicago	34.77453	2020/07/18
good	-73.89125	US	America/New_York	40.67705	2013-12-12
accep	22.53083	RS	Europe/Belgrade	44.22639	10 Jan 2022
maintenance	44.7662	AM	Asia/Yerevan	40.49748	11 Oct 2014
good	119.58627	TW	Asia/Taipei	23.5654	2022-01-19
excellent	-73.20483	US	America/New_York	41.16704	2016/04/22
good	140.11667	JP	Asia/Tokyo	37.56667	02/26/2016, 00:00:00
excellent	10.03478	TN	Africa/Tunis	37.16911	02/20/2013, 00:00:00
accep	49.62251	SA	Asia/Riyadh	27.0174	06 Nov 2021
good	-86.57415	HN	America/Tegucigalpa	15.48131	2014-07-27
excellent	-72.22625	HT	America/Port-au-Prince	18.57677	2016/10/01
accep	141.95	JP	Asia/Tokyo	39.46667	2014-08-24
building	-75.23266	US	America/New_York	43.1009	12 Jun 2020
accep	78.15794	IN	Asia/Kolkata	12.1277	02/11/2014, 00:00:00
building	-76.78319	JM	America/Jamaica	18.00747	2019-07-07
excellent	-56.52361	UY	America/Montevideo	-33.38056	04/24/2017, 00:00:00
accep	-8.07257	ML	Africa/Bamako	12.74409	2020/10/06
good	45.36561	AZ	Asia/Baku	41.09246	2019/02/07
excellent	-1.5443	GB	Europe/London	50.75767	02/26/2020, 00:00:00
accep	68.88871	PK	Asia/Karachi	25.95533	2019-02-28
accep	38.01667	ET	Africa/Addis_Ababa	11.85	2016/06/24
good	46.04833	RU	Europe/Saratov	51.40944	2012/11/21
average	-1.29772	GB	Europe/London	50.76306	2020-06-27
average	-73.89125	US	America/New_York	40.67705	06 May 2017
excellent	25.8191	BY	Europe/Minsk	53.5942	2022-09-22
building	71.67164	PK	Asia/Karachi	30.29184	08/05/2020, 00:00:00
good	37.73333	TZ	Africa/Dar_es_Salaam	-4.06667	07/18/2020, 00:00:00
excellent	15.46667	AT	Europe/Vienna	47.05	27 Mar 2022
accep	-1.4001	GH	Africa/Accra	7.06273	24 Jan 2022
building	-4.83076	ES	Europe/Madrid	39.96348	07/11/2019, 00:00:00
accep	75.16878	IN	Asia/Kolkata	30.81383	2013/05/22
average	10.98461	DE	Europe/Berlin	48.35693	2018-12-10
average	9.5586	DE	Europe/Berlin	54.52156	2015-04-05
good	101.44167	ID	Asia/Jakarta	0.51667	2015-02-25
maintenance	121.12251	PH	Asia/Manila	14.62578	2018/12/20
excellent	-87.70172	US	America/Chicago	41.72059	12 Oct 2019
maintenance	-95.44744	US	America/Chicago	29.53885	2016/03/30
acceptable	18.84	ME	Europe/Podgorica	42.28639	02/05/2014, 00:00:00
excellent	-89.66123	MX	America/Merida	21.28306	2017-08-26
average	17.4674	PL	Europe/Warsaw	50.86079	02/16/2020, 00:00:00
excellent	-38.79084	BR	America/Bahia	-10.95817	2016/02/26
average	-122.23484	US	America/Los_Angeles	47.38093	09/26/2022, 00:00:00
building	12.70038	IT	Europe/Rome	45.9836	2022-07-03
good	103.81667	MY	Asia/Kuala_Lumpur	1.6	28 Dec 2017
good	98.19151	MM	Asia/Yangon	14.0823	2016-03-14
good	-119.01677	US	America/Los_Angeles	36.06523	13 Dec 2017
good	-42.98194	BR	America/Sao_Paulo	-22.53722	2016/08/16
accep	-75.60804	US	America/New_York	39.96097	2014/08/04
building	137.36215	JP	Asia/Tokyo	36.75965	2020-09-14
average	75.11937	IN	Asia/Kolkata	20.88098	06/18/2018, 00:00:00
excellent	38.28402	SY	Asia/Damascus	34.5624	2022/01/06
average	-75.69947	CO	America/Bogota	8.79577	2016-03-23
good	-81.23621	US	America/New_York	33.98154	2018/01/10
good	-119.27337	CA	America/Vancouver	50.26729	2012-12-21
maintenance	14.39024	IT	Europe/Rome	42.22718	01 Feb 2021
good	146.05093	AU	Australia/Sydney	-34.28853	05/27/2013, 00:00:00
maintenance	-65.61427	AR	America/Argentina/Tucuman	-27.4338	05/29/2021, 00:00:00
excellent	24.14662	FI	Europe/Helsinki	65.84811	07/29/2019, 00:00:00
accep	-73.49484	US	America/New_York	41.14676	16 Jun 2016
average	-0.59543	FR	Europe/Paris	44.80477	09/02/2014, 00:00:00
accep	-38.79084	BR	America/Bahia	-10.95817	11/02/2019, 00:00:00
excellent	-95.63079	US	America/Chicago	31.76212	2018-10-09
maintenance	-78.87836	US	America/New_York	35.05266	02/03/2016, 00:00:00
average	-87.882	US	America/Chicago	41.85059	2014-05-10
excellent	112.73333	CN	Asia/Shanghai	38.40917	2020/12/11
average	59.80222	RU	Asia/Yekaterinburg	58.63667	01/07/2022, 00:00:00
building	-39.25	BR	America/Bahia	-12.91667	2018-07-13
excellent	-97.90308	US	America/Chicago	31.12406	05 Dec 2020
building	99.96667	TH	Asia/Bangkok	8.43333	05/17/2014, 00:00:00
accep	-80.58556	CU	America/Havana	22.98212	2019/06/29
accep	82.85749	IN	Asia/Kolkata	17.54907	2021/04/21
building	-48.67028	BR	America/Sao_Paulo	-28.24	2017/11/27
accep	72.68533	IN	Asia/Kolkata	22.75218	2020/03/15
building	3.16667	BE	Europe/Brussels	50.8	18 Jul 2015
accep	-86.99666	US	America/Chicago	33.45122	25 Oct 2013
average	89.11943	BD	Asia/Dhaka	23.9028	2014/10/18
maintenance	12.19458	NG	Africa/Lagos	10.61285	2016-01-08
building	-2.09814	GB	Europe/London	57.14369	2014-01-12
good	-65.71875	BO	America/La_Paz	-21.44345	04/30/2017, 00:00:00
accep	-72.47417	CO	America/Bogota	7.83389	03/28/2019, 00:00:00
excellent	84.63445	IN	Asia/Kolkata	24.81757	10/28/2019, 00:00:00
average	71.52847	PK	Asia/Karachi	32.57756	23 Jan 2015
good	8.63333	DE	Europe/Berlin	52.2	2017/08/29
accep	69.01354	TJ	Asia/Dushanbe	38.55632	15 Apr 2013
good	31.33078	UA	Europe/Kiev	47.56494	2015/06/21
accep	-104.22884	US	America/Denver	32.42067	2015-03-04
maintenance	68.88871	PK	Asia/Karachi	25.95533	03/21/2018, 00:00:00
accep	16.4	AT	Europe/Vienna	48.25	2019/05/26
excellent	29.65806	TZ	Africa/Dar_es_Salaam	-4.83	2019/07/18
maintenance	2.95924	DZ	Africa/Algiers	36.76775	01 Feb 2020
building	4.52514	NG	Africa/Lagos	12.74482	2014/09/15
good	74.83554	IN	Asia/Kolkata	14.62072	11/04/2021, 00:00:00
good	99.1625	ID	Asia/Jakarta	3.3285	08/13/2016, 00:00:00
good	-79.59415	EC	America/Guayaquil	-2.13404	2017-11-27
good	11.37703	DE	Europe/Berlin	48.06919	06/04/2018, 00:00:00
accep	-94.41551	US	America/Chicago	39.09112	02/02/2014, 00:00:00
accep	33.2525	RU	Europe/Moscow	57.97472	08/22/2021, 00:00:00
building	31.3237	BY	Europe/Minsk	52.4089	2020-08-23
maintenance	5.74861	NL	Europe/Amsterdam	52.71083	14 Sep 2019
accep	115.8614	AU	Australia/Perth	-31.95224	01/15/2019, 00:00:00
excellent	-1.325	ES	Europe/Madrid	38.47917	12/18/2014, 00:00:00
good	115.8614	AU	Australia/Perth	-31.95224	11/16/2015, 00:00:00
good	19.61222	RS	Europe/Belgrade	44.97639	2015/07/06
average	-2.12139	GB	Europe/London	52.48173	2021/12/16
accep	10.58082	TN	Africa/Tunis	35.72917	2014/04/10
excellent	-117.14392	US	America/Los_Angeles	32.9156	2020-10-08
building	4.91667	FR	Europe/Paris	45.73333	01/07/2019, 00:00:00
acceptable	-73.47429	US	America/New_York	40.68066	11/24/2013, 00:00:00
excellent	136.51667	JP	Asia/Tokyo	35	08/20/2019, 00:00:00
average	-77.55777	US	America/New_York	37.52487	28 Nov 2019
good	-1.325	ES	Europe/Madrid	38.47917	05/22/2014, 00:00:00
building	-4.0573	GB	Europe/London	55.82737	2015/03/24
building	8.64409	DE	Europe/Berlin	48.07667	2021/12/08
good	115.88782	AU	Australia/Perth	-32.05251	2013/01/28
average	-97.35992	MX	America/Mexico_City	19.8173	2021-06-20
good	-73.02841	CL	America/Santiago	-36.9256	11 May 2014
building	20.91361	MK	Europe/Skopje	41.92361	2022-04-08
accep	15.00913	IT	Europe/Rome	37.51803	2019-02-11
maintenance	84.13864	IN	Asia/Kolkata	22.88783	11/12/2019, 00:00:00
excellent	1.04945	DZ	Africa/Algiers	35.06544	2021/07/05
good	-45.94722	BR	America/Sao_Paulo	-21.42917	2020-12-20
good	-111.89903	US	America/Phoenix	33.50921	2014-07-30
accep	73.7553	IN	Asia/Kolkata	15.5439	2018-07-05
accep	-60.93173	AR	America/Argentina/Cordoba	-31.4488	09/24/2020, 00:00:00
maintenance	4.69889	BE	Europe/Brussels	50.56149	08 Dec 2013
excellent	-96.67834	US	America/Chicago	34.77453	2020/03/22
good	97.01124	MM	Asia/Yangon	17.30858	2018/03/08
maitennce	33.72798	RU	Europe/Moscow	53.53395	2019/05/17
good	-7.95	IE	Europe/Dublin	53.43333	2016/03/26
maintenance	43.2379	RU	Europe/Volgograd	50.06	2017/08/17
accep	17.10558	SE	Europe/Stockholm	61.72744	2021-09-10
excellent	-51.87389	BR	America/Sao_Paulo	-23.44361	16 Nov 2019
average	4.85668	DZ	Africa/Algiers	36.27462	2014/12/22
excellent	-1.64295	ES	Europe/Madrid	42.8139	2014/11/24
building	138.89585	JP	Asia/Tokyo	36.33011	12/23/2017, 00:00:00
excellent	6.74549	DE	Europe/Berlin	49.5099	2013/04/11
building	-13.68778	GN	Africa/Conakry	9.535	2019/08/14
good	76.56719	IN	Asia/Kolkata	24.41288	2014-02-21
accep	-1.64295	ES	Europe/Madrid	42.8139	06 Mar 2016
accep	-96.39774	US	America/Chicago	30.16688	11/01/2013, 00:00:00
accep	29.47306	CD	Africa/Lubumbashi	0.49113	06/26/2020, 00:00:00
average	-60.94228	MQ	America/Martinique	14.67751	2020/05/31
average	120.74792	CN	Asia/Shanghai	41.09822	2013/01/27
good	17.22635	SK	Europe/Bratislava	48.8449	2020-08-01
excellent	6.83042	NG	Africa/Lagos	6.15038	08 Oct 2014
excellent	42.54536	SO	Africa/Mogadishu	-0.35817	2021-06-04
accep	8.88104	IT	Europe/Rome	45.79377	08/12/2020, 00:00:00
maintenance	75.06583	PK	Asia/Karachi	32.17629	11/13/2020, 00:00:00
accep	-74.13653	US	America/New_York	40.63316	2022-04-18
accep	5.16108	FR	Europe/Paris	48.77275	2013-11-15
average	74.80555	IN	Asia/Kolkata	34.08565	08 Dec 2018
building	-85.76942	US	America/Indiana/Indianapolis	39.78504	2012/12/16
excellent	-60.93173	AR	America/Argentina/Cordoba	-31.4488	2017-01-22
good	-82.00919	CU	America/Havana	23.04419	2013/11/05
excellent	-81.26367	US	America/New_York	28.90054	2015/01/02
good	114.10479	HK	Asia/Hong_Kong	22.37066	07 Dec 2012
average	-73.25383	PE	America/Lima	-3.74912	08/26/2022, 00:00:00
excellent	74.85849	IN	Asia/Kolkata	31.28092	04/12/2018, 00:00:00
accep	-113.3187	CA	America/Edmonton	53.51684	03/28/2020, 00:00:00
average	-4.10734	ES	Europe/Madrid	38.68712	2021/12/14
excellent	-60.1831	CA	America/Glace_Bay	46.1351	10/11/2021, 00:00:00
accep	5.4584	FR	Europe/Paris	43.32393	11/05/2012, 00:00:00
accep	-2.01111	GB	Europe/London	52.66277	08/24/2015, 00:00:00
building	129.96972	JP	Asia/Tokyo	33.4425	04/29/2020, 00:00:00
average	-6.00137	MA	Africa/Casablanca	33.42585	08/24/2021, 00:00:00
good	120.74792	CN	Asia/Shanghai	41.09822	12 Aug 2019
building	30.96755	UA	Europe/Kiev	49.07866	2014/01/08
good	5.03586	FR	Europe/Paris	43.83125	08/25/2016, 00:00:00
good	9.5926	DE	Europe/Berlin	52.86147	04/17/2015, 00:00:00
excellent	8.77069	DE	Europe/Berlin	50.80904	05/15/2020, 00:00:00
average	39.85331	RU	Europe/Moscow	57.30185	17 Oct 2014
accep	-83.55521	US	America/New_York	41.66394	2016-05-19
good	75.06583	PK	Asia/Karachi	32.17629	2020-01-21
accep	37.49338	RU	Europe/Moscow	55.62047	12/19/2020, 00:00:00
good	115.70111	CN	Asia/Shanghai	37.73222	04 Nov 2017
building	31.3237	BY	Europe/Minsk	52.4089	2014/01/17
good	114.10479	HK	Asia/Hong_Kong	22.37066	2014-05-23
good	-5.55835	ES	Europe/Madrid	42.64685	2016-01-20
building	-86.57415	HN	America/Tegucigalpa	15.48131	08/25/2021, 00:00:00
good	40.17171	RU	Europe/Moscow	58.1908	12 Mar 2021
excellent	5.74861	NL	Europe/Amsterdam	52.71083	2015-05-03
average	-88.42814	US	America/Chicago	42.16808	2013/03/01
good	-111.78903	US	America/Phoenix	33.35283	2019-05-20
excellent	73.08333	IN	Asia/Kolkata	19.21667	2015/12/21
average	117.4831	CN	Asia/Shanghai	27.34089	04/22/2014, 00:00:00
average	59.6	KZ	Asia/Aqtobe	47.83333	09 Sep 2014
accep	-88.81395	US	America/Chicago	35.61452	2018/05/18
maintenance	129.96972	JP	Asia/Tokyo	33.4425	03/19/2014, 00:00:00
accep	102.3278	MY	Asia/Kuala_Lumpur	2.2139	04 Oct 2020
accep	-84.62081	US	America/Detroit	42.7392	2018/05/14
average	-3.52751	GB	Europe/London	50.7236	12/01/2013, 00:00:00
accep	65.27258	RU	Asia/Yekaterinburg	58.04254	2018-09-16
average	5.37429	BE	Europe/Brussels	51.03427	28 Sep 2018
average	-69.96533	US	America/New_York	43.91452	16 Jun 2021
average	-76.88442	US	America/New_York	40.2737	07 Dec 2017
excellent	4.52514	NG	Africa/Lagos	12.74482	2013/12/25
good	-79.62098	PA	America/Panama	9.15093	2013/08/29
accep	-74.95472	CO	America/Bogota	10.98778	2012/12/17
good	126.835	KR	Asia/Seoul	37.65639	03/17/2013, 00:00:00
accep	-15.6	GM	Africa/Banjul	13.56667	2015-03-30
excellent	1.10687	ES	Europe/Madrid	41.15612	2014-06-30
