location	code	QoS	revision	latitude	longitude
Africa/Douala	CM	maintenance	06/05/2022, 00:00:00	4.96667	10.7
Europe/Amsterdam	NL	building	01 Feb 2019	52.71083	5.74861
Europe/Moscow	RU	average	10/05/2019, 00:00:00	53.59782	34.33825
Europe/Brussels	BE	accep	12/14/2015, 00:00:00	51.24197	4.82313
America/Chicago	US	average	03 Oct 2012	40.56754	-89.64066
Asia/Manila	PH	good	01/31/2013, 00:00:00	6.33444	124.95278
Asia/Hong_Kong	HK	average	08/09/2017, 00:00:00	22.37066	114.10479
Asia/Kolkata	IN	excellent	2018-11-24	18.51957	73.85535
Africa/Kinshasa	CD	accep	2014-05-18	-4.5833	15.16554
Europe/Berlin	DE	maintenance	08 Aug 2020	49.13645	8.91229
America/Bogota	CO	good	26 Oct 2014	4.73245	-74.26419
America/Chicago	US	average	2013-12-11	44.27804	-88.27205
Europe/Moscow	RU	building	06/15/2015, 00:00:00	53.53395	33.72798
America/New_York	US	good	06/25/2021, 00:00:00	42.52787	-70.92866
America/Los_Angeles	US	maintenance	02 Jul 2017	47.64995	-117.23991
America/Sao_Paulo	BR	excellent	28 Jan 2014	-20.25333	-43.80139
America/Mexico_City	MX	good	05/27/2021, 00:00:00	17.06542	-96.72365
America/Lima	PE	excellent	11/25/2015, 00:00:00	-15.21194	-75.11028
Asia/Urumqi	CN	excellent	08 Oct 2012	46.51872	86.00214
Asia/Jakarta	ID	average	08/23/2018, 00:00:00	-6.48167	106.85417
America/Edmonton	CA	accep	2021-01-08	53.51684	-113.3187
America/Los_Angeles	US	accep	2018/05/05	36.20829	-115.98391
Asia/Bangkok	TH	accep	2016/02/22	14.37395	100.48528
Europe/Istanbul	TR	good	2018-05-30	38.13708	41.00817
Europe/Madrid	ES	good	31 May 2016	38.10558	-1.86343
Africa/Algiers	DZ	average	2021-09-18	35.21222	2.31889
Pacific/Honolulu	US	good	11/05/2012, 00:00:00	20.88953	-156.47432
Europe/Rome	IT	average	27 Nov 2015	43.78956	7.60872
America/New_York	US	accep	05/26/2013, 00:00:00	43.1009	-75.23266
Asia/Jakarta	ID	maintenance	2013-11-24	-7.54972	110.71639
Europe/Moscow	RU	excellent	2021/02/05	55.62047	37.49338
Asia/Kolkata	IN	maintenance	04 Oct 2015	11.00599	77.5609
America/Mexico_City	MX	maintenance	17 Dec 2018	20.28527	-103.42897
Asia/Karachi	PK	excellent	2022/08/20	30.29184	71.67164
Africa/Cairo	EG	average	2019-05-01	31.20176	29.91582
Asia/Kolkata	IN	building	2022/07/11	12.25282	79.41727
Asia/Yerevan	AM	good	10/06/2021, 00:00:00	40.49748	44.7662
Europe/London	GB	average	16 Nov 2012	53.46506	-1.47217
Europe/Moscow	RU	good	2017/11/29	61.78491	34.34691
Europe/Berlin	DE	accep	12/23/2014, 00:00:00	51.30001	13.10984
Europe/Istanbul	TR	excellent	2015-11-12	39.22493	42.85693
America/New_York	US	excellent	2013-07-01	26.91756	-82.07842
Europe/Rome	IT	building	06/23/2016, 00:00:00	45.79377	8.88104
Asia/Kolkata	IN	average	05/24/2020, 00:00:00	19.21667	73.08333
Asia/Shanghai	CN	building	2021-02-01	41.09822	120.74792
Europe/London	GB	excellent	08/06/2014, 00:00:00	52.41667	0.75
America/Chicago	US	good	04/23/2014, 00:00:00	41.8542	-87.66561
Asia/Kolkata	IN	building	2016/05/04	15.73628	75.96976
Europe/Helsinki	FI	good	2022-03-31	60.18427	24.95034
Asia/Karachi	PK	accep	2020-10-20	29.69221	72.54566
Asia/Kolkata	IN	average	05 Nov 2021	18.18158	76.03889
Asia/Tokyo	JP	excellent	2014/02/27	43.82634	144.09638
Europe/Moscow	RU	good	2019/03/09	54.03876	43.91385
Asia/Kolkata	IN	accep	2016/09/28	25.92493	73.66633
Asia/Kolkata	IN	accep	2016-05-02	17.34769	78.55757
Europe/Madrid	ES	good	10 May 2014	38.96667	-0.18333
Europe/Rome	IT	accep	2021-07-13	44.31771	9.32241
America/New_York	US	accep	07/01/2013, 00:00:00	27.09978	-82.45426
America/Los_Angeles	US	average	2018-06-21	45.49428	-122.86705
Africa/Nairobi	KE	average	2021-08-22	0.46005	34.11169
America/Bogota	CO	good	03 Jan 2017	10.15031	-73.9614
Asia/Kolkata	IN	building	11 Dec 2020	25.87498	86.59611
Asia/Kolkata	IN	good	2017/12/19	25.75728	75.37991
America/New_York	US	accep	07/09/2016, 00:00:00	33.08014	-83.2321
America/New_York	US	average	2019/09/29	41.55838	-81.56929
Asia/Tokyo	JP	good	03 Mar 2016	33.4425	129.96972
America/New_York	US	building	28 Aug 2018	41.0051	-73.78458
America/Panama	PA	accep	12 Oct 2014	9.15093	-79.62098
America/Toronto	CA	excellent	2016-07-01	45.43341	-73.86586
Europe/Madrid	ES	good	26 May 2020	37.35813	-6.03731
Africa/Cairo	EG	good	09 Jul 2016	31.20176	29.91582
Asia/Kolkata	IN	maintenance	15 Mar 2015	11.93381	79.82979
Asia/Kolkata	IN	accep	12/22/2013, 00:00:00	11.50526	77.23826
Europe/Berlin	DE	accep	01/26/2019, 00:00:00	50.64336	7.2278
Asia/Yangon	MM	excellent	19 Dec 2017	17.30858	97.01124
Europe/Berlin	DE	accep	05/22/2017, 00:00:00	49.68369	8.61839
America/Fortaleza	BR	excellent	2022-07-19	-4.16694	-40.7475
America/Chicago	US	excellent	02 Jul 2021	41.47892	-87.45476
Europe/Moscow	RU	good	2017/04/27	44.98901	38.94324
America/Porto_Velho	BR	good	2014/01/01	-8.76194	-63.90389
Asia/Tokyo	JP	maintenance	01 Feb 2013	35.8	137.23333
Europe/Belgrade	XK	excellent	2016/09/18	42.62833	20.89389
Europe/Istanbul	TR	building	2015-08-04	40.37528	28.88222
Europe/Madrid	ES	average	10/17/2018, 00:00:00	41.63976	2.35739
America/Manaus	BR	accep	2021-08-19	-3.14306	-58.44417
America/Los_Angeles	US	maintenance	02/26/2013, 00:00:00	33.03699	-117.29198
America/New_York	US	maintenance	2018/05/13	33.08014	-83.2321
Asia/Yekaterinburg	RU	accep	2016/11/26	58.63667	59.80222
Asia/Tokyo	JP	maintenance	18 Mar 2019	34.61667	135.6
Asia/Tashkent	UZ	accep	12/06/2015, 00:00:00	41.29444	69.67639
Europe/Skopje	MK	average	2017/10/31	41.92361	20.91361
America/Bogota	CO	excellent	2019-04-11	10.98778	-74.95472
Europe/Berlin	DE	good	03/30/2015, 00:00:00	49.03685	8.70745
Asia/Shanghai	CN	excellent	09 Mar 2019	23.29549	113.82465
Europe/Berlin	DE	accep	05 Aug 2019	52.86147	9.5926
Asia/Kolkata	IN	accep	2015/11/14	28.71271	77.656
Europe/Rome	IT	average	01/11/2013, 00:00:00	40.87329	14.43865
Asia/Yekaterinburg	RU	accep	08 Jan 2021	51.78771	56.36091
Europe/Berlin	DE	excellent	2018-03-18	54.52156	9.5586
Australia/Sydney	AU	average	11/01/2020, 00:00:00	-33.75881	150.99292
Asia/Karachi	PK	average	2016/10/09	32.57756	71.52847
Asia/Tokyo	JP	accep	15 Dec 2015	35.815	139.6853
Europe/London	GB	good	2017-02-02	51.84819	1.26738
America/Bogota	CO	accep	2018-04-07	5.6561	-75.87877
Asia/Jakarta	ID	average	2015/01/27	-1.26424	104.09701
Asia/Makassar	ID	good	2017-05-04	-3.5403	118.9707
Europe/Berlin	DE	accep	2016-02-19	48.28259	9.72749
Africa/Dar_es_Salaam	TZ	good	2017/07/30	-6.25	38.66667
Europe/Madrid	ES	accep	2016-07-04	38.38479	-0.76773
America/Chicago	US	good	2018-01-16	41.6764	-91.58045
Asia/Tehran	IR	average	2018/12/14	33.86419	48.26258
Asia/Bangkok	TH	accep	2013/11/29	14.37395	100.48528
America/Bogota	CO	good	2018/06/08	5.6561	-75.87877
Asia/Yekaterinburg	RU	good	2015-03-19	51.78771	56.36091
Europe/Berlin	DE	accep	12/06/2015, 00:00:00	49.68369	8.61839
Europe/Berlin	DE	good	2014/04/30	48.28259	9.72749
America/Sao_Paulo	BR	building	24 Oct 2019	-22.53722	-42.98194
Europe/Madrid	ES	average	07/12/2014, 00:00:00	40.70995	0.57856
Asia/Karachi	PK	good	2020-12-06	31.96258	73.97117
Asia/Kolkata	IN	good	2020-02-12	25.6439	77.9129
Africa/Addis_Ababa	ET	average	11/15/2018, 00:00:00	11.85	38.01667
America/Edmonton	CA	average	2018-06-14	53.51684	-113.3187
Asia/Manila	PH	excellent	28 Dec 2013	10.20898	123.758
Africa/Accra	GH	excellent	2022/04/01	5.30383	-1.98956
Europe/Berlin	DE	accep	2022/06/25	53.59337	9.47629
Asia/Bangkok	TH	building	2018/09/03	16.0567	103.65309
Europe/Moscow	RU	maintenance	2014/01/15	57.30185	39.85331
Asia/Yangon	MM	good	01 Feb 2014	16.68911	98.50893
Asia/Yekaterinburg	RU	good	2012/12/10	56.11281	69.49015
Europe/Paris	FR	average	06 Apr 2017	48.79325	2.29275
Europe/Madrid	ES	average	16 Dec 2014	37.13548	-3.67029
Asia/Manila	PH	accep	2012/12/14	10.13361	124.84472
Europe/Berlin	DE	maintenance	05/18/2019, 00:00:00	50.9803	11.32903
Europe/Madrid	ES	accep	03/28/2015, 00:00:00	40.70995	0.57856
America/Chicago	US	average	21 Oct 2016	37.95143	-91.77127
Europe/Moscow	RU	average	01 Jul 2018	57.97472	33.2525
America/Chicago	US	excellent	03/12/2014, 00:00:00	45.0408	-93.263
Asia/Karachi	PK	excellent	2019/01/25	31.96258	73.97117
America/Recife	BR	good	12/07/2013, 00:00:00	-8.05389	-34.88111
America/Santiago	CL	accep	2015/11/12	-33.59217	-70.6996
Asia/Kolkata	IN	accep	2022-02-07	9.82564	78.25795
Europe/Paris	FR	acceptable	12/30/2016, 00:00:00	49.28669	1.00288
Asia/Kolkata	IN	maintenance	08/08/2021, 00:00:00	31.28092	74.85849
America/New_York	US	good	2022/04/22	38.96372	-76.99081
Asia/Shanghai	CN	maintenance	2022-06-24	40.66482	122.22833
America/Mexico_City	MX	maintenance	07/20/2013, 00:00:00	20.28527	-103.42897
America/Mexico_City	MX	average	25 Oct 2017	17.06542	-96.72365
Africa/Casablanca	MA	accep	2021-07-05	34.31	-2.16
America/Mexico_City	MX	maintenance	06 Jan 2014	20.74122	-100.44843
Africa/Dar_es_Salaam	TZ	good	2015-09-08	-6.25	38.66667
Asia/Tokyo	JP	good	20 Dec 2018	34.9	137.5
Asia/Krasnoyarsk	RU	average	17 Feb 2019	55.54028	89.20083
Europe/Kiev	UA	average	10/30/2014, 00:00:00	45.99194	29.41824
Atlantic/Canary	ES	average	2012-12-06	27.76056	-15.58602
America/Chicago	US	excellent	12/12/2014, 00:00:00	26.18924	-98.15529
America/Bogota	CO	good	11/10/2021, 00:00:00	3.8801	-77.03116
Asia/Yekaterinburg	RU	accep	05/16/2016, 00:00:00	51.78771	56.36091
Asia/Hebron	PS	excellent	2022-08-27	31.78336	35.23388
Asia/Kolkata	IN	average	08/23/2015, 00:00:00	26.2649	81.54855
America/New_York	US	good	16 Sep 2013	39.96097	-75.60804
Europe/Rome	IT	good	02/02/2019, 00:00:00	43.1122	12.38878
Europe/Oslo	NO	good	2017-09-27	68.79833	16.54165
Asia/Kolkata	IN	accep	2013-04-10	10.58806	77.24779
Africa/Tunis	TN	excellent	29 Aug 2015	36.08497	9.37082
Europe/Madrid	ES	good	10/18/2020, 00:00:00	39.96348	-4.83076
America/Los_Angeles	US	average	07/03/2017, 00:00:00	36.06523	-119.01677
Europe/Paris	FR	average	10/20/2021, 00:00:00	48.79325	2.29275
Pacific/Auckland	NZ	average	2019-11-08	-44.39672	171.25364
Australia/Perth	AU	average	10/30/2021, 00:00:00	-31.95224	115.8614
Asia/Tokyo	JP	average	06/18/2013, 00:00:00	35.82756	137.95378
Asia/Jakarta	ID	excellent	2020-12-10	-7.01833	107.60389
Europe/Istanbul	TR	maintenance	09 Aug 2017	38.13708	41.00817
Asia/Jerusalem	IL	accep	2021-10-31	31.92923	34.86563
Asia/Makassar	ID	excellent	11/15/2013, 00:00:00	3.31332	117.59152
Europe/Berlin	DE	maintenance	2016/12/08	51.19139	6.51352
Asia/Bangkok	TH	excellent	29 Jan 2014	13.44581	101.18445
Asia/Kolkata	IN	excellent	2013/02/11	25.87498	86.59611
Asia/Kolkata	IN	average	06/10/2013, 00:00:00	21.34222	71.30633
Europe/Moscow	RU	accep	2020/10/02	44.98901	38.94324
Asia/Shanghai	CN	excellent	2015/01/31	33.78333	114.51667
Europe/Moscow	RU	average	2019-11-12	53.93361	37.92792
America/Sao_Paulo	BR	excellent	2021-04-23	-19.72806	-50.19556
Asia/Tokyo	JP	accep	2021/12/22	36.75965	137.36215
Africa/Addis_Ababa	ET	accep	01 Aug 2018	11.85	38.01667
Europe/Amsterdam	NL	accep	01/14/2020, 00:00:00	52.09	5.23333
America/Los_Angeles	US	building	2018-11-02	37.73604	-120.93549
Europe/Zaporozhye	UA	good	2022/09/05	47.48444	36.25361
America/Sao_Paulo	BR	accep	2014/02/27	-28.44917	-52.2
Europe/Amsterdam	NL	maintenance	2016-09-18	52.57583	6.61944
America/New_York	US	accep	08 Jan 2022	38.91817	-78.19444
Europe/Berlin	DE	excellent	2019-07-30	50.23805	8.86704
Africa/Cairo	EG	accep	03/24/2015, 00:00:00	31.20176	29.91582
America/New_York	US	average	07 Apr 2020	35.88264	-80.08199
Europe/Paris	FR	good	2013/05/26	48.77275	5.16108
America/Lima	PE	good	01/30/2014, 00:00:00	-11.94306	-76.70944
Africa/Lagos	NG	good	2015-12-16	7.50251	5.06258
America/Santarem	BR	maintenance	12 Feb 2020	-3.20333	-52.20639
America/Belem	BR	accep	22 Jan 2021	-0.71667	-48.52333
Europe/Lisbon	PT	accep	2015-01-21	38.72706	-9.24671
America/Los_Angeles	US	accep	2016/08/18	34.14251	-118.25508
Europe/Berlin	DE	building	01/11/2020, 00:00:00	48.28259	9.72749
Asia/Kolkata	IN	average	16 Sep 2019	24.41288	76.56719
Europe/London	GB	excellent	11/11/2016, 00:00:00	53.38333	-0.76667
America/Chicago	US	average	10/12/2021, 00:00:00	41.84364	-87.71255
Africa/Douala	CM	accep	2019-04-01	3.51667	11.5
Europe/Moscow	RU	good	10 Sep 2017	53.95278	32.86389
Europe/Bratislava	SK	excellent	20 Sep 2019	48.43174	17.8031
Europe/Stockholm	SE	building	10/09/2013, 00:00:00	61.72744	17.10558
Africa/Banjul	GM	accep	10/19/2018, 00:00:00	13.56667	-15.6
Africa/Conakry	GN	good	2020/10/02	9.535	-13.68778
America/Bogota	CO	good	2019-08-24	8.79577	-75.69947
America/Bahia	BR	building	27 Sep 2013	-12.91667	-39.25
America/Chicago	US	good	21 Jul 2021	42.24113	-88.3162
America/Port-au-Prince	HT	accep	05 Nov 2014	18.57677	-72.22625
America/Managua	NI	good	05/18/2021, 00:00:00	11.84962	-86.19903
Africa/Algiers	DZ	excellent	2014-06-04	34.15429	3.50309
Europe/Rome	IT	average	05/08/2014, 00:00:00	37.31065	13.57661
Europe/Rome	IT	excellent	10/02/2017, 00:00:00	44.89784	8.86374
Asia/Dili	TL	building	2012/10/29	-8.99167	125.21972
Asia/Damascus	SY	average	2014/08/07	35.95664	36.7138
Europe/Madrid	ES	accep	11/13/2019, 00:00:00	40.42386	-3.53261
Asia/Kolkata	IN	building	06/07/2016, 00:00:00	22.88783	84.13864
Europe/Zagreb	HR	excellent	05/23/2020, 00:00:00	43.50891	16.43915
Asia/Tokyo	JP	accep	2012-12-19	35	136.51667
Europe/Moscow	RU	accep	2021/09/16	54.8421	46.5813
Asia/Kolkata	IN	building	2019/10/24	20.88197	85.83334
Europe/Kiev	UA	accep	2015-06-17	46.65581	32.6178
Asia/Tokyo	JP	building	16 Jun 2015	34.61667	135.6
Europe/Belgrade	RS	accep	2015/07/12	44.97639	19.61222
Europe/Warsaw	PL	excellent	2020/07/12	50.5107	18.30056
America/Chicago	US	building	2017-02-15	30.16688	-96.39774
Asia/Kolkata	IN	average	10/18/2019, 00:00:00	17.54907	82.85749
Europe/Paris	FR	average	2013/12/09	48.77275	5.16108
Europe/Berlin	DE	good	09/13/2016, 00:00:00	48.06919	11.37703
America/Sao_Paulo	BR	excellent	2015/07/13	-19.7625	-44.31389
Africa/Djibouti	DJ	accep	06/22/2019, 00:00:00	11.15583	42.7125
Europe/Paris	FR	building	2021-11-01	43.11667	1.6
America/Bogota	CO	excellent	17 Sep 2017	10.98778	-74.95472
Europe/Saratov	RU	accep	2021-07-10	51.40944	46.04833
Asia/Jakarta	ID	average	2018/12/09	-7.01833	107.60389
America/Porto_Velho	BR	excellent	06 Dec 2017	-8.76194	-63.90389
America/New_York	US	good	2018/09/08	41.16704	-73.20483
Europe/Rome	IT	average	2019-01-30	44.89784	8.86374
America/Chicago	US	accep	2014/02/05	45.16024	-93.08883
Europe/Paris	FR	average	11 Aug 2022	48.8222	2.12213
Europe/Malta	MT	accep	03 Dec 2018	35.89972	14.51472
America/Santiago	CL	good	2021-05-02	-32.45242	-71.23106
America/Bahia	BR	accep	07/16/2019, 00:00:00	-11.48472	-37.93278
Europe/Istanbul	TR	excellent	2022/08/02	39.59611	27.02444
Asia/Jakarta	ID	average	04 May 2020	3.3285	99.1625
Asia/Kolkata	IN	maintenance	24 Jul 2015	29.22254	79.5286
Europe/Madrid	ES	accep	2013-10-17	43.48961	-8.2194
Asia/Kolkata	IN	good	2018/08/13	22.10194	85.37752
Asia/Manila	PH	accep	11/08/2021, 00:00:00	6.33444	124.95278
Europe/Rome	IT	accep	18 Mar 2014	44.89784	8.86374
America/New_York	US	average	2014/06/02	40.24537	-75.64963
America/Los_Angeles	US	good	03/27/2017, 00:00:00	33.76446	-117.79394
America/Puerto_Rico	PR	accep	08/31/2014, 00:00:00	18.42745	-67.15407
Europe/London	GB	good	28 Mar 2013	53.0233	-1.48119
America/Argentina/Buenos_Aires	AR	excellent	01/21/2020, 00:00:00	-34.74785	-58.70072
Asia/Phnom_Penh	KH	good	2014-07-17	13.65805	102.56365
America/Los_Angeles	US	maintenance	2016/03/26	40.58654	-122.39168
Asia/Shanghai	CN	average	2018-01-03	30.24706	115.04814
Africa/Maputo	MZ	excellent	25 Nov 2018	-23.85972	35.34722
Australia/Brisbane	AU	maintenance	01/21/2016, 00:00:00	-25.54073	152.70493
Europe/Madrid	ES	building	03/31/2018, 00:00:00	42.8139	-1.64295
America/Havana	CU	good	01/29/2019, 00:00:00	23.0072	-82.4017
Asia/Karachi	PK	average	2021-03-04	29.38242	70.91106
Asia/Bangkok	TH	building	2018-12-24	14.64056	104.64992
America/Chicago	US	excellent	2022-04-12	45.16024	-93.08883
Africa/Bangui	CF	maintenance	2019/01/24	4.94273	15.87735
America/New_York	US	accep	2021/09/27	40.81	-73.9625
America/Havana	CU	good	2020/07/05	23.04419	-82.00919
Asia/Kolkata	IN	building	2018-04-02	29.22254	79.5286
America/Recife	BR	good	2017/03/03	-8.66667	-35.71667
America/Argentina/Buenos_Aires	AR	good	09 Feb 2021	-34.74785	-58.70072
America/Port_of_Spain	TT	excellent	06/29/2018, 00:00:00	10.66668	-61.51889
Asia/Shanghai	CN	building	2015/11/11	45.75279	130.57211
Asia/Shanghai	CN	good	07/04/2015, 00:00:00	37.65181	120.33063
Europe/Berlin	DE	excellent	05 Oct 2019	51.08468	7.11393
Europe/Chisinau	MD	accep	2022-03-28	48.15659	28.28489
America/Los_Angeles	US	excellent	2016/08/28	33.95015	-118.03917
Asia/Jakarta	ID	excellent	14 Jul 2017	-6.8048	110.8405
America/Mexico_City	MX	accep	23 Nov 2015	19.8173	-97.35992
Europe/Rome	IT	average	10/21/2014, 00:00:00	44.89784	8.86374
America/Maceio	BR	good	03 Jun 2014	-10.91722	-37.65
Europe/Moscow	RU	good	2021-09-29	55.63711	37.38115
Asia/Tokyo	JP	maintenance	2017-06-22	35.82756	137.95378
Europe/Madrid	ES	good	2018-05-21	40.42386	-3.53261
Asia/Kolkata	IN	maintenance	01/05/2015, 00:00:00	21.46527	83.97573
Asia/Tokyo	JP	building	2015-07-15	34.25	135.31667
America/Costa_Rica	CR	excellent	26 Nov 2016	10.63504	-85.43772
Europe/Paris	FR	average	04/30/2022, 00:00:00	46.67535	5.55575
America/Puerto_Rico	PR	maintenance	01/12/2019, 00:00:00	18.42745	-67.15407
America/Phoenix	US	accep	19 Apr 2015	33.35283	-111.78903
America/Los_Angeles	US	excellent	03/27/2015, 00:00:00	40.58654	-122.39168
America/New_York	US	average	07/31/2013, 00:00:00	28.90054	-81.26367
Asia/Bangkok	TH	good	04/02/2017, 00:00:00	8.43333	99.96667
Europe/Paris	FR	maintenance	2019/11/14	48.98333	2.61667
Europe/London	GB	accep	16 Feb 2013	53.69786	-2.68758
Europe/Amsterdam	NL	average	07/17/2019, 00:00:00	52.26083	7.00417
Africa/Luanda	AO	accep	2016-04-10	-11.78333	19.91667
Pacific/Efate	VU	good	30 Apr 2015	-17.73648	168.31366
America/Los_Angeles	US	average	12/04/2016, 00:00:00	36.06523	-119.01677
Europe/London	GB	building	2020-07-06	51.38673	0.30367
America/Mexico_City	MX	building	12/13/2018, 00:00:00	20.74122	-100.44843
America/Toronto	CA	average	16 Jan 2020	45.40008	-73.58248
Africa/Tunis	TN	excellent	05 Apr 2018	36.46917	10.78222
Europe/Kiev	UA	average	2022-06-13	46.65581	32.6178
Europe/Sofia	BG	accep	2020/06/13	41.57439	24.71204
Europe/Brussels	BE	excellent	09/19/2016, 00:00:00	50.88506	4.07601
Europe/Madrid	ES	accep	2014-08-18	41.91738	3.1631
Asia/Bangkok	TH	excellent	2013/02/18	16.0567	103.65309
America/Menominee	US	accep	2014/01/17	46.09273	-88.64235
Africa/Porto-Novo	BJ	excellent	10/29/2018, 00:00:00	8.88649	2.59753
Africa/Ndjamena	TD	accep	2015-05-15	12.18441	18.69303
America/Sao_Paulo	BR	accep	05 Jan 2022	-21.42917	-45.94722
America/Los_Angeles	US	excellent	10/24/2012, 00:00:00	47.76232	-122.2054
Asia/Bangkok	TH	accep	29 Aug 2020	14.37395	100.48528
Africa/Johannesburg	ZA	accep	2013-07-17	-27.76952	30.79165
Asia/Bangkok	TH	excellent	2020-12-02	15.46063	99.89166
America/Sao_Paulo	BR	maintenance	2021/06/22	-19.72806	-50.19556
Africa/Algiers	DZ	excellent	2017/07/07	36.27462	4.85668
Asia/Shanghai	CN	good	2022/03/22	35.64889	117.27583
America/Los_Angeles	US	average	03/31/2020, 00:00:00	34.09611	-118.10583
America/Chicago	US	good	2022-07-21	29.84576	-90.10674
Europe/Berlin	DE	maintenance	03/12/2013, 00:00:00	48.35149	8.96317
Europe/Zagreb	HR	building	10 Mar 2021	43.50891	16.43915
Europe/Warsaw	PL	good	2014-05-23	50.86079	17.4674
Europe/Moscow	RU	accep	20 Nov 2012	46.7055	38.2739
America/New_York	US	average	2014-08-12	39.00622	-77.4286
America/Los_Angeles	US	good	07/16/2022, 00:00:00	33.76446	-117.79394
Asia/Karachi	PK	excellent	08/16/2021, 00:00:00	31.96258	73.97117
Europe/Prague	CZ	accep	05/24/2018, 00:00:00	50.23271	12.87117
Europe/Berlin	DE	excellent	04 Sep 2020	51.19139	6.51352
America/Los_Angeles	US	building	02/10/2020, 00:00:00	33.92946	-116.97725
Asia/Krasnoyarsk	RU	average	2020-09-15	58.23583	92.48278
America/New_York	US	good	2020/07/10	41.55815	-73.0515
Asia/Karachi	PK	maintenance	2016-09-26	30.29184	71.67164
Africa/Cairo	EG	good	2013-06-27	31.20176	29.91582
Europe/Madrid	ES	excellent	23 May 2015	38.10558	-1.86343
America/Argentina/Tucuman	AR	average	08 Sep 2018	-27.4338	-65.61427
Europe/Bratislava	SK	building	2019/02/23	48.43174	17.8031
Asia/Karachi	PK	building	14 Aug 2016	30.76468	74.12286
Asia/Novokuznetsk	RU	accep	2018-02-15	55.8736	85.4265
Europe/Berlin	DE	accep	13 Sep 2015	50.09019	8.4493
America/Mexico_City	MX	excellent	2021/10/07	16.75973	-93.11308
America/Los_Angeles	US	average	2021/08/20	33.76446	-117.79394
Europe/Minsk	BY	average	2016-01-17	53.5942	25.8191
Atlantic/Azores	PT	maintenance	08/31/2017, 00:00:00	37.74615	-25.66689
America/Lima	PE	excellent	08 Jun 2020	-15.21194	-75.11028
Asia/Kolkata	IN	average	15 Nov 2017	15.73628	75.96976
Europe/Paris	FR	accep	26 Mar 2019	48.90982	2.45012
America/Recife	BR	good	22 Nov 2012	-8.66667	-35.71667
America/Chicago	US	excellent	2020/02/07	41.8542	-87.66561
Asia/Bangkok	TH	accep	2014-07-14	6.25947	102.05461
Asia/Yekaterinburg	RU	excellent	21 Nov 2013	54.48147	53.47103
Europe/Bratislava	SK	good	01/07/2021, 00:00:00	48.8449	17.22635
America/Sao_Paulo	BR	building	2015-01-07	-20.25333	-43.80139
Europe/Berlin	DE	excellent	08/08/2015, 00:00:00	53.94313	10.30215
Europe/Vilnius	LT	good	08/27/2014, 00:00:00	55.25	24.75
Asia/Kolkata	IN	excellent	07 Feb 2018	25.87498	86.59611
Europe/Berlin	DE	average	23 Mar 2015	51.21667	6.26667
Asia/Shanghai	CN	building	2016/12/13	42.64031	125.51176
America/Lima	PE	excellent	11/14/2015, 00:00:00	-11.94306	-76.70944
America/Chicago	US	accep	2016/03/07	29.53885	-95.44744
Europe/Berlin	DE	good	2015/05/10	48.07667	8.64409
Asia/Shanghai	CN	excellent	29 Jan 2016	27.34089	117.4831
Asia/Kolkata	IN	excellent	2022/05/30	32.55531	76.12647
America/Chicago	US	maintenance	2018/08/21	45.0408	-93.263
Australia/Perth	AU	average	04/15/2018, 00:00:00	-31.95224	115.8614
America/Argentina/Ushuaia	AR	building	2015-12-02	-54.8	-68.3
America/Sao_Paulo	BR	accep	07/04/2016, 00:00:00	-21.41222	-42.19667
Africa/Porto-Novo	BJ	accep	04/29/2014, 00:00:00	8.88649	2.59753
Africa/Tripoli	LY	excellent	2015-12-03	24.96334	10.18003
Europe/Oslo	NO	excellent	2014/12/31	68.79833	16.54165
Asia/Phnom_Penh	KH	accep	12/31/2020, 00:00:00	13.65805	102.56365
Asia/Kolkata	IN	good	07/02/2021, 00:00:00	31.28092	74.85849
Australia/Brisbane	AU	excellent	2021-09-05	-27.50578	153.10236
Asia/Manila	PH	good	2017/01/19	12.35275	121.06761
America/New_York	US	excellent	2013-06-24	25.67927	-80.31727
America/Fortaleza	BR	average	19 Apr 2022	-4.24444	-42.29444
Asia/Shanghai	CN	excellent	13 Dec 2017	34.86472	117.55417
Europe/Moscow	RU	excellent	10/07/2018, 00:00:00	54.84444	38.16694
Asia/Tbilisi	GE	accep	2018-11-04	41.82143	41.77921
America/Bahia	BR	building	30 Sep 2014	-15.675	-38.94722
Europe/Berlin	DE	accep	06 Jan 2015	53.94313	10.30215
America/Mazatlan	MX	excellent	01/18/2022, 00:00:00	22.49396	-105.36369
America/New_York	US	good	2021-11-03	39.33427	-76.43941
America/Bogota	CO	average	11/13/2017, 00:00:00	10.98778	-74.95472
Asia/Samarkand	UZ	good	01/21/2016, 00:00:00	40.11583	67.84222
America/New_York	US	accep	02/08/2018, 00:00:00	40.68066	-73.47429
Asia/Seoul	KR	maintenance	2012/11/18	37.1759	128.9889
Europe/Brussels	BE	good	2014-06-14	50.71229	4.52529
Europe/Berlin	DE	average	2022-05-03	48.06919	11.37703
America/New_York	US	building	2021/02/26	40.72816	-74.07764
Asia/Colombo	LK	accep	04/16/2016, 00:00:00	6.9909	79.883
America/Sao_Paulo	BR	average	2021/01/25	-20.87306	-48.29694
America/New_York	US	excellent	2014/09/27	38.96372	-76.99081
America/New_York	US	average	2019/06/03	40.68066	-73.47429
Europe/Warsaw	PL	average	2019/03/29	51.14942	15.00835
Europe/Istanbul	TR	good	08/21/2016, 00:00:00	40.98894	28.67582
