QoS	longitude	latitude	revision	station	location
maintenance	15.87735	4.94273	04/08/2014, 00:00:00	Carnot	Africa/Bangui
excellent	-111.99633	40.65995	2021/03/27	Kearns	America/Denver
maintenance	4.85668	36.27462	04/10/2014, 00:00:00	Bordj Zemoura	Africa/Algiers
excellent	168.31366	-17.73648	2019-07-07	Port-Vila	Pacific/Efate
maintenance	120.97844	14.8361	08 Nov 2013	Guyong	Asia/Manila
good	15.46667	47.05	2017-01-21	Sankt Peter	Europe/Vienna
average	37.92792	53.93361	2012/10/19	Kireyevsk	Europe/Moscow
good	38.12408	53.77166	04/24/2016, 00:00:00	Bogoroditsk	Europe/Moscow
accep	-1.48119	53.0233	2018/04/07	Belper	Europe/London
accep	-4.0573	55.82737	02 Jun 2022	Viewpark	Europe/London
average	-84.13722	9.92787	2020-06-19	San Rafael	America/Costa_Rica
average	-89.64066	40.56754	2017/01/31	Pekin	America/Chicago
good	8.64409	48.07667	11 Jan 2018	Trossingen	Europe/Berlin
maintenance	-52.67056	-26.22861	2022/04/07	Pato Branco	America/Sao_Paulo
maintenance	-82.45426	27.09978	2020-01-04	Venice	America/New_York
average	38.66667	-6.25	19 Dec 2017	Mvomero	Africa/Dar_es_Salaam
maintenance	-53.13722	-22.92306	2019-03-18	Loanda	America/Sao_Paulo
average	43.2379	50.06	2022/07/24	Mikhaylovka	Europe/Volgograd
excellent	-2.98333	53.83333	2016/03/15	Poulton-le-Fylde	Europe/London
accep	8.91229	49.13645	09/02/2022, 00:00:00	Eppingen	Europe/Berlin
good	101.18445	13.44581	10/01/2021, 00:00:00	Phanat Nikhom	Asia/Bangkok
accep	13.29371	52.53048	17 Apr 2021	Charlottenburg-Nord	Europe/Berlin
good	-76.78319	18.00747	2014-02-24	New Kingston	America/Jamaica
excellent	120.5875	16.455	07/04/2018, 00:00:00	La Trinidad	Asia/Manila
good	-1.60452	42.06166	2018/09/30	Tudela	Europe/Madrid
average	-105.36369	22.49396	2013/08/07	Acaponeta	America/Mazatlan
average	2.25	50.75	2017/06/18	Saint-Omer	Europe/Paris
average	14.34085	40.87363	11/18/2015, 00:00:00	Volla	Europe/Rome
excellent	123.758	10.20898	09/20/2022, 00:00:00	Naga	Asia/Manila
accep	-74.01042	41.50343	2016/06/23	Newburgh	America/New_York
accep	-89.10944	13.70167	02 Apr 2017	Ilopango	America/El_Salvador
excellent	38.12408	53.77166	06/10/2019, 00:00:00	Bogoroditsk	Europe/Moscow
maintenance	115.04814	30.24706	2021/04/28	Huangshi	Asia/Shanghai
average	30.2049	55.1904	2016/06/09	Vitebsk	Europe/Minsk
good	38.07083	54.90083	2018/10/29	Stupino	Europe/Moscow
excellent	-1.29772	50.76306	2017/08/13	Cowes	Europe/London
maintenance	29.24152	-26.93366	2019-08-01	Standerton	Africa/Johannesburg
accep	120.5875	16.455	25 Sep 2016	La Trinidad	Asia/Manila
good	30.79165	-27.76952	2022-07-31	Vryheid	Africa/Johannesburg
excellent	76.12647	32.55531	2022/01/03	Chamba	Asia/Kolkata
average	98.6738	3.7278	2015-11-14	Labuhan Deli	Asia/Jakarta
accep	-156.47432	20.88953	2021-05-21	Kahului	Pacific/Honolulu
average	-1.06667	53.78333	2020/11/18	Selby	Europe/London
excellent	72.54064	31.82539	2020-05-21	Sillanwali	Asia/Karachi
good	-2.58736	56.56317	02 Jan 2017	Arbroath	Europe/London
excellent	19.91667	-11.78333	03 May 2017	Luena	Africa/Luanda
accep	13.44275	38.07789	02/20/2022, 00:00:00	Villabate	Europe/Rome
good	140.72287	53.14657	2013-09-15	Nikolayevsk-on-Amure	Asia/Vladivostok
excellent	99.96667	8.43333	24 Apr 2014	Nakhon Si Thammarat	Asia/Bangkok
average	-66.8499	18.03496	2017-03-09	Yauco	America/Puerto_Rico
maintenance	2.61667	48.98333	03/14/2017, 00:00:00	Mitry-Mory	Europe/Paris
building	120.74221	31.64615	2021/01/17	Changshu City	Asia/Shanghai
excellent	112.23109	-7.57897	05/09/2021, 00:00:00	Diwek	Asia/Jakarta
good	-96.39774	30.16688	2014/12/03	Brenham	America/Chicago
accep	-45.94722	-21.42917	05 Sep 2013	Alfenas	America/Sao_Paulo
excellent	41.00817	38.13708	2019-08-23	Silvan	Europe/Istanbul
average	117.63083	35.50056	2017-12-06	Pingyi	Asia/Shanghai
good	47.1192	42.819	2017-05-21	Buynaksk	Europe/Moscow
average	129.96972	33.4425	2020-01-03	Karatsu	Asia/Tokyo
excellent	-85.76942	39.78504	2012/11/09	Greenfield	America/Indiana/Indianapolis
excellent	98.50893	16.68911	2022/07/01	Myawadi	Asia/Yangon
excellent	33	-2.68333	2021-01-07	Usagara	Africa/Dar_es_Salaam
average	138.89585	36.33011	2014-12-11	Annaka	Asia/Tokyo
good	3.55665	36.72544	2016/06/25	Thenia	Africa/Algiers
excellent	-41.88778	-21.205	2021/05/09	Itaperuna	America/Sao_Paulo
accep	123.50266	41.94175	01/15/2022, 00:00:00	Hushitai	Asia/Shanghai
excellent	5.4584	43.32393	05/05/2015, 00:00:00	Les Olives	Europe/Paris
good	46.83187	14.53767	2020-12-05	Ataq	Asia/Aden
excellent	-118.25508	34.14251	2016/01/08	Glendale	America/Los_Angeles
maintenance	4.18333	7.6	2013/09/11	Olupona	Africa/Lagos
accep	-1.86343	38.10558	2015/03/18	Caravaca	Europe/Madrid
maintenance	-8.33147	41.20485	02/13/2013, 00:00:00	Paredes	Europe/Lisbon
accep	71.21169	21.59983	2021/10/06	Amreli	Asia/Kolkata
excellent	-77.02303	38.70734	12/18/2015, 00:00:00	Fort Washington	America/New_York
building	76.03889	18.18158	2016-12-05	Osmanabad	Asia/Kolkata
accep	120.82747	37.30553	2014-04-07	Zhuangyuan	Asia/Shanghai
building	46.83187	14.53767	07 Mar 2018	Ataq	Asia/Aden
average	-0.59543	44.80477	2022/08/01	Talence	Europe/Paris
good	-120.00865	46.32374	01/27/2014, 00:00:00	Sunnyside	America/Los_Angeles
excellent	9.22796	48.46458	12 Mar 2017	Pfullingen	Europe/Berlin
excellent	73.7553	15.5439	2019-08-09	Calangute	Asia/Kolkata
accep	4.8951	44.92801	15 Nov 2021	Valence	Europe/Paris
excellent	-2.98884	43.32686	2014/05/10	Leioa	Europe/Madrid
maintenance	-74.38987	40.65538	09/04/2016, 00:00:00	Scotch Plains	America/New_York
maintenance	-80.58556	22.98212	19 Nov 2018	Corralillo	America/Havana
excellent	135.21667	35.06667	01/15/2015, 00:00:00	Sasayama	Asia/Tokyo
accep	-98.11889	19.04222	2022-06-21	Casa Blanca	America/Mexico_City
accep	4.52529	50.71229	2013-08-30	Rixensart	Europe/Brussels
building	2.45012	48.90982	2014-11-03	Bobigny	Europe/Paris
excellent	-71.05977	42.35843	2018-08-05	Boston	America/New_York
building	-85.43772	10.63504	27 Apr 2015	Liberia	America/Costa_Rica
maintenance	-89.64066	40.56754	29 Jun 2013	Pekin	America/Chicago
good	102.42587	15.58552	2020-02-20	Bua Yai	Asia/Bangkok
average	-52.51028	-28.81833	2021/12/21	Soledade	America/Sao_Paulo
accep	0.30367	51.38673	2019/08/22	Hartley	Europe/London
average	-113.3187	53.51684	2019-11-24	Sherwood Park	America/Edmonton
average	4.85668	36.27462	10/05/2020, 00:00:00	Bordj Zemoura	Africa/Algiers
excellent	136.51667	35	2015-10-23	Komono	Asia/Tokyo
excellent	74.4818	30.21121	22 Jan 2013	Malaut	Asia/Kolkata
average	-1.4001	7.06273	11 Jan 2017	Mampong	Africa/Accra
good	79.5286	29.22254	2013-10-18	Haldwani	Asia/Kolkata
average	18.34717	54.60528	2013-02-11	Reda	Europe/Warsaw
excellent	-3.52751	50.7236	2015/09/20	Exeter	Europe/London
good	7.02238	52.21099	2021-06-06	Gronau	Europe/Berlin
excellent	86.59509	26.11527	09/28/2020, 00:00:00	Supaul	Asia/Kolkata
maintenance	69.49015	56.11281	08/20/2015, 00:00:00	Ishim	Asia/Yekaterinburg
excellent	-91.11667	14.93333	2013/11/23	Chichicastenango	America/Guatemala
good	-97.03285	47.92526	06/07/2022, 00:00:00	Grand Forks	America/Chicago
accep	-111.99633	40.65995	2019/03/15	Kearns	America/Denver
average	73.85535	18.51957	11 Oct 2012	Pune	Asia/Kolkata
maintenance	12.53463	55.67938	03 Sep 2013	Frederiksberg	Europe/Copenhagen
excellent	-5.682	5.84752	2012-10-16	Lakota	Africa/Abidjan
accep	117.7	35.85	13 Jan 2018	Dongdu	Asia/Shanghai
good	4.18333	7.6	04 Mar 2021	Olupona	Africa/Lagos
excellent	15.00835	51.14942	11 Aug 2013	Zgorzelec	Europe/Warsaw
average	-83.2321	33.08014	10/01/2019, 00:00:00	Milledgeville	America/New_York
average	38.12408	53.77166	14 Mar 2016	Bogoroditsk	Europe/Moscow
excellent	35.59642	3.11988	2021/08/06	Lodwar	Africa/Nairobi
accep	-119.01677	36.06523	2013/11/30	Porterville	America/Los_Angeles
average	-99.32556	19.32889	17 Nov 2013	San Lorenzo Acopilco	America/Mexico_City
accep	-65.61427	-27.4338	25 Jul 2017	Aguilares	America/Argentina/Tucuman
good	5.16108	48.77275	12/25/2019, 00:00:00	Bar-le-Duc	Europe/Paris
maintenance	46.5813	54.8421	2013/01/17	Alatyr’	Europe/Moscow
accep	-69.08333	-16.25	07/28/2021, 00:00:00	Yunguyo	America/Lima
accep	-37.65	-10.91722	2021-01-13	Lagarto	America/Maceio
building	-86.11084	41.75338	09 Jun 2016	Granger	America/Indiana/Indianapolis
maintenance	-87.70172	41.72059	2021/05/31	Evergreen Park	America/Chicago
good	88.18466	22.19303	2017/01/26	Diamond Harbour	Asia/Kolkata
excellent	120.56528	14.66	02/06/2013, 00:00:00	Pilar	Asia/Manila
building	-102.36764	31.84568	2015/01/31	Odessa	America/Chicago
accep	-2.52398	53.19146	09/12/2017, 00:00:00	Winsford	Europe/London
good	120.4861	16.0438	03/22/2017, 00:00:00	Manaoag	Asia/Manila
maintenance	3.47717	36.76639	01/05/2013, 00:00:00	Boumerdas	Africa/Algiers
excellent	27.02444	39.59611	2014/10/08	Edremit	Europe/Istanbul
building	117.63083	35.50056	10/08/2013, 00:00:00	Pingyi	Asia/Shanghai
maintenance	112.19028	30.35028	21 Jan 2015	Jingzhou	Asia/Shanghai
good	-2.58736	56.56317	05/14/2015, 00:00:00	Arbroath	Europe/London
excellent	-122.40433	37.71715	2017-12-21	Visitacion Valley	America/Los_Angeles
excellent	4.21372	51.12794	2020-09-02	Temse	Europe/Brussels
good	40.74357	37.31309	2015/02/14	Mardin	Europe/Istanbul
average	140.73667	41.77583	01/08/2017, 00:00:00	Hakodate	Asia/Tokyo
good	30.38167	59.80917	2021/04/28	Shushary	Europe/Moscow
excellent	121.12251	14.62578	2021-02-28	Antipolo	Asia/Manila
good	151.07986	-33.88096	2020-07-30	Strathfield	Australia/Sydney
building	-1.98956	5.30383	08/16/2016, 00:00:00	Tarkwa	Africa/Accra
accep	104.64992	14.64056	2014/09/12	Kantharalak	Asia/Bangkok
accep	37.38115	55.63711	05/05/2015, 00:00:00	Solntsevo	Europe/Moscow
good	12.19458	10.61285	02/23/2015, 00:00:00	Biu	Africa/Lagos
average	38.2739	46.7055	2017/01/28	Yeysk	Europe/Moscow
good	2.25	50.75	2014-05-15	Saint-Omer	Europe/Paris
accep	10.18527	47.98372	21 Nov 2014	Memmingen	Europe/Berlin
excellent	-88.31476	36.61033	08/08/2018, 00:00:00	Murray	America/Chicago
excellent	-72.09391	18.65297	2013/07/14	Thomazeau	America/Port-au-Prince
excellent	13.28702	52.4581	01/24/2014, 00:00:00	Dahlem	Europe/Berlin
excellent	-87.88754	41.15376	26 Jun 2018	Bourbonnais	America/Chicago
building	-87.66561	41.8542	18 Jul 2018	Lower West Side	America/Chicago
accep	8.4493	50.09019	2021/09/24	Hofheim am Taunus	Europe/Berlin
good	-1.47217	53.46506	2016/10/20	Chapletown	Europe/London
good	-94.91386	17.94979	2022-03-06	Acayucan	America/Mexico_City
maintenance	-87.882	41.85059	2019-03-24	Westchester	America/Chicago
average	-81.79819	41.48199	2014-01-05	Lakewood	America/New_York
accep	-6.03731	37.35813	2019-11-28	San Juan de Aznalfarache	Europe/Madrid
good	8.96317	48.35149	2013-10-08	Hechingen	Europe/Berlin
average	-58.38341	-34.64966	01 Jul 2013	Barracas	America/Argentina/Buenos_Aires
good	4.86667	45.51667	05/14/2019, 00:00:00	Vienne	Europe/Paris
average	72.93924	18.87813	03/01/2019, 00:00:00	Uran	Asia/Kolkata
maintenance	9.37082	36.08497	12 Oct 2018	Siliana	Africa/Tunis
accep	68.21204	27.55898	2021/06/24	Larkana	Asia/Karachi
excellent	113.13148	23.02677	07/12/2020, 00:00:00	Foshan	Asia/Shanghai
average	7.60872	43.78956	17 Mar 2019	Ventimiglia	Europe/Rome
excellent	-35.71667	-8.66667	12/06/2013, 00:00:00	Catende	America/Recife
building	31.33078	47.56494	2016-08-12	Voznesensk	Europe/Kiev
accep	-8.33147	41.20485	2014-02-15	Paredes	Europe/Lisbon
average	5.2875	51.65333	30 May 2015	Vught	Europe/Amsterdam
excellent	36.73307	55.38752	2016/01/10	Naro-Fominsk	Europe/Moscow
building	15.16554	-4.5833	2018/10/11	Kasangulu	Africa/Kinshasa
good	4.21372	51.12794	23 Jan 2015	Temse	Europe/Brussels
excellent	24.71204	41.57439	2019-06-24	Smolyan	Europe/Sofia
average	123.89071	10.31672	2015-06-08	Cebu City	Asia/Manila
good	78.55757	17.34769	11/12/2021, 00:00:00	Lal Bahadur Nagar	Asia/Kolkata
accep	65.27258	58.04254	06 Apr 2013	Tavda	Asia/Yekaterinburg
maintenance	9.5586	54.52156	08/13/2020, 00:00:00	Schleswig	Europe/Berlin
building	60.8019	56.9083	2014-02-24	Beryozovsky	Asia/Yekaterinburg
building	81.54855	26.2649	2014-12-16	Jais	Asia/Kolkata
building	-119.48568	49.88307	17 Oct 2012	Kelowna	America/Vancouver
excellent	-1.99421	51.35084	2016-02-07	Devizes	Europe/London
accep	34.4587	-13.7804	2019-04-15	Salima	Africa/Blantyre
accep	-15.6	13.56667	09 Dec 2021	Farafenni	Africa/Banjul
building	-82.42491	42.97086	03/25/2013, 00:00:00	Port Huron	America/Detroit
good	-2.31938	6.46346	2013/11/23	Bibiani	Africa/Accra
maintenance	4.18333	7.6	2019/10/18	Olupona	Africa/Lagos
building	-77.4286	39.00622	02/14/2017, 00:00:00	Sterling	America/New_York
average	-73.58248	45.40008	2012/11/13	Sainte-Catherine	America/Toronto
excellent	76.32756	9.57046	2013/02/19	Kalavoor	Asia/Kolkata
good	-74.28459	40.5576	2016-07-10	Woodbridge	America/New_York
average	-63.90389	-8.76194	01/23/2014, 00:00:00	Porto Velho	America/Porto_Velho
maintenance	4.91667	45.73333	2014/10/11	Bron	Europe/Paris
excellent	71.57737	21.53889	2018/11/20	Gariadhar	Asia/Kolkata
excellent	2.08333	48.86667	2019-02-06	Marly-le-Roi	Europe/Paris
good	29.91582	31.20176	04/27/2016, 00:00:00	Alexandria	Africa/Cairo
average	137.23333	35.8	06/09/2016, 00:00:00	Gero	Asia/Tokyo
excellent	-40.7475	-4.16694	2014/11/13	Guaraciaba do Norte	America/Fortaleza
average	-86.77917	36.02506	11 Mar 2017	Brentwood Estates	America/Chicago
building	35.7	-7.76667	2019-06-10	Iringa	Africa/Dar_es_Salaam
good	7.2278	50.64336	2020-03-29	Bad Honnef	Europe/Berlin
building	-8.2503	37.08819	02/18/2018, 00:00:00	Albufeira	Europe/Lisbon
average	-87.45476	41.47892	2017/09/24	Schererville	America/Chicago
good	-111.78903	33.35283	10/09/2017, 00:00:00	Gilbert	America/Phoenix
good	34.86563	31.92923	2013-01-01	Ramla	Asia/Jerusalem
maintenance	121.96361	6.95194	26 Sep 2017	Recodo	Asia/Manila
good	4.91667	45.73333	06 Oct 2013	Bron	Europe/Paris
accep	-8.2194	43.48961	2017/10/18	Ferrol	Europe/Madrid
average	24.04142	54.39635	10/22/2013, 00:00:00	Alytus	Europe/Vilnius
accep	68.88871	25.95533	24 Sep 2014	Jhol	Asia/Karachi
average	114.68333	23.73333	2020/06/16	Heyuan	Asia/Shanghai
average	4.07601	50.88506	17 Oct 2013	Denderleeuw	Europe/Brussels
good	8.96317	48.35149	05/25/2016, 00:00:00	Hechingen	Europe/Berlin
accep	8.61839	49.68369	06/30/2018, 00:00:00	Bensheim	Europe/Berlin
maintenance	25.8191	53.5942	31 Dec 2018	Novogrudok	Europe/Minsk
good	9.5926	52.86147	05/09/2015, 00:00:00	Walsrode	Europe/Berlin
excellent	70.96699	30.46907	13 Aug 2021	Kot Addu	Asia/Karachi
average	73.08333	19.21667	28 Jul 2020	Dombivli	Asia/Kolkata
accep	-1.08593	50.79205	06/16/2014, 00:00:00	Southsea	Europe/London
average	-82.90375	32.54044	02/10/2017, 00:00:00	Dublin	America/New_York
accep	68.49143	25.80565	2020/04/04	Bhit Shah	Asia/Karachi
maintenance	27.02444	39.59611	15 Jul 2021	Edremit	Europe/Istanbul
average	34.8732	32.05971	2014-06-16	Ganei Tikva	Asia/Jerusalem
excellent	-0.91979	51.42708	23 Apr 2020	Lower Earley	Europe/London
maitennce	73.7553	15.5439	2022-03-10	Calangute	Asia/Kolkata
good	-87.45476	41.47892	01 Apr 2013	Schererville	America/Chicago
excellent	123.62494	12.37169	09/04/2014, 00:00:00	Masbate	Asia/Manila
average	-3.67029	37.13548	2016/03/21	Las Gabias	Europe/Madrid
average	44.53333	-22.9	07/10/2013, 00:00:00	Sakaraha	Indian/Antananarivo
accep	0.75	52.41667	06/04/2019, 00:00:00	Thetford	Europe/London
accep	-122.2608	38.17492	07/23/2016, 00:00:00	American Canyon	America/Los_Angeles
average	14.72443	36.92574	2020/10/20	Ragusa	Europe/Rome
maintenance	19.27498	50.20528	11/07/2015, 00:00:00	Jaworzno	Europe/Warsaw
building	104.1451	15.79408	2021-09-27	Yasothon	Asia/Bangkok
excellent	78.40102	27.9247	09/05/2017, 00:00:00	Chharra	Asia/Kolkata
maintenance	59.80222	58.63667	2019-05-05	Lesnoy	Asia/Yekaterinburg
excellent	-87.45476	41.47892	19 Jun 2014	Schererville	America/Chicago
average	76.11996	11.12018	01 Feb 2017	Manjeri	Asia/Kolkata
maintenance	31.3237	52.4089	12/10/2016, 00:00:00	Dobrush	Europe/Minsk
excellent	-73.95958	40.57788	2015/11/19	Brighton Beach	America/New_York
maintenance	19.61222	44.97639	2019/12/16	Sremska Mitrovica	Europe/Belgrade
building	-4.83076	39.96348	2021-10-25	Talavera de la Reina	Europe/Madrid
good	130.94098	33.3213	12/29/2016, 00:00:00	Hita	Asia/Tokyo
excellent	34.34691	61.78491	2014/08/13	Petrozavodsk	Europe/Moscow
average	4.63031	43.67681	2018-09-08	Arles	Europe/Paris
excellent	76.12647	32.55531	12/30/2014, 00:00:00	Chamba	Asia/Kolkata
good	10.18003	24.96334	01 Oct 2013	Ghat	Africa/Tripoli
average	-60.1831	46.1351	2015/06/09	Sydney	America/Glace_Bay
building	14.66737	41.55947	2022/04/14	Campobasso	Europe/Rome
accep	29.91582	31.20176	2022-06-17	Alexandria	Africa/Cairo
good	29.26639	37.58105	2017-03-13	Serinhisar	Europe/Istanbul
good	-53.13722	-22.92306	06/07/2017, 00:00:00	Loanda	America/Sao_Paulo
average	-82.07842	26.91756	12/31/2018, 00:00:00	Punta Gorda Isles	America/New_York
maitennce	8.73812	41.91886	20 Dec 2019	Ajaccio	Europe/Paris
average	0.47713	51.39323	2016/10/14	Strood	Europe/London
average	-51.87389	-23.44361	07/13/2016, 00:00:00	Sarandi	America/Sao_Paulo
excellent	77.40858	24.05979	01/09/2022, 00:00:00	Leteri	Asia/Kolkata
accep	89.11943	23.9028	08/08/2016, 00:00:00	Kushtia	Asia/Dhaka
excellent	30.98551	2.41669	2014/12/04	Paidha	Africa/Kampala
building	-113.3187	53.51684	2012/10/21	Sherwood Park	America/Edmonton
good	10.18003	24.96334	14 Apr 2013	Ghat	Africa/Tripoli
excellent	19.21437	44.75874	2015-08-12	Bijeljina	Europe/Sarajevo
building	5.55575	46.67535	30 Jun 2015	Lons-le-Saunier	Europe/Paris
excellent	5.03586	43.83125	2013/06/20	Cavaillon	Europe/Paris
excellent	-74.28459	40.5576	2016-06-02	Woodbridge	America/New_York
excellent	69.01354	38.55632	2015-01-09	Vahdat	Asia/Dushanbe
building	38.28402	34.5624	2022-03-01	Tadmur	Asia/Damascus
accep	-77.37331	37.60876	11/02/2018, 00:00:00	Mechanicsville	America/New_York
average	-97.50417	25.87972	05/04/2013, 00:00:00	Heroica Matamoros	America/Matamoros
average	-76.43941	39.33427	2021-05-05	Middle River	America/New_York
maintenance	-95.30106	32.35126	12/25/2018, 00:00:00	Tyler	America/Chicago
maintenance	-5.53715	50.11861	10/11/2019, 00:00:00	Penzance	Europe/London
good	30.4347	-1.9487	24 Jul 2021	Rwamagana	Africa/Kigali
excellent	140.72287	53.14657	2016/05/06	Nikolayevsk-on-Amure	Asia/Vladivostok
excellent	-61.4867	-31.25033	23 Sep 2018	Rafaela	America/Argentina/Cordoba
building	29.65806	-4.83	07/13/2015, 00:00:00	Mwandiga	Africa/Dar_es_Salaam
accep	77.40858	24.05979	2021-01-16	Leteri	Asia/Kolkata
accep	-84.13722	9.92787	31 Dec 2014	San Rafael	America/Costa_Rica
average	117.27583	35.64889	2016/10/28	Sishui	Asia/Shanghai
excellent	122.08333	46.08333	2022/02/04	Ulanhot	Asia/Shanghai
excellent	72.93924	18.87813	2019-05-17	Uran	Asia/Kolkata
accep	-1.29772	50.76306	2018-12-29	Cowes	Europe/London
maintenance	19.91667	-11.78333	04/02/2018, 00:00:00	Luena	Africa/Luanda
maitennce	137.23333	35.8	2017/12/19	Gero	Asia/Tokyo
accep	122.22833	40.66482	2021-12-27	Yingkou	Asia/Shanghai
building	10.5511	52.47774	2015-03-17	Gifhorn	Europe/Berlin
excellent	39.28333	-10.33333	2015/03/23	Nyangao	Africa/Dar_es_Salaam
excellent	46.58333	-21.15	04/13/2017, 00:00:00	Ikalamavony	Indian/Antananarivo
excellent	-1.98956	5.30383	09/15/2016, 00:00:00	Tarkwa	Africa/Accra
excellent	178.00417	-38.65333	2019/08/20	Gisborne	Pacific/Auckland
excellent	-65.71875	-21.44345	09/13/2019, 00:00:00	Tupiza	America/La_Paz
excellent	115.70111	37.73222	05/10/2021, 00:00:00	Hengshui	Asia/Shanghai
accep	43.91385	54.03876	2015/10/26	Kovylkino	Europe/Moscow
accep	71.57118	32.87533	08/05/2015, 00:00:00	Daud Khel	Asia/Karachi
good	-73.0515	41.55815	2014-01-30	Waterbury	America/New_York
accep	-82.32483	29.65163	2022/07/21	Gainesville	America/New_York
average	144.09638	43.82634	04/06/2015, 00:00:00	Motomachi	Asia/Tokyo
good	2.08333	48.86667	10/16/2012, 00:00:00	Marly-le-Roi	Europe/Paris
acceptable	9.22796	48.46458	12 Mar 2020	Pfullingen	Europe/Berlin
accep	-0.91979	51.42708	2021-01-03	Lower Earley	Europe/London
average	46.10925	43.35071	12 Jun 2013	Gudermes	Europe/Moscow
accep	35.59642	3.11988	2018/09/30	Lodwar	Africa/Nairobi
good	-65.71875	-21.44345	2017/12/09	Tupiza	America/La_Paz
maintenance	-94.74049	32.5007	2017-05-16	Longview	America/Chicago
average	-88.3162	42.24113	2020/02/09	Crystal Lake	America/Chicago
good	38.15035	49.41029	2017-11-06	Svatove	Europe/Zaporozhye
maintenance	-117.70755	33.52253	2018/07/08	Laguna Niguel	America/Los_Angeles
average	86.59509	26.11527	2015/11/09	Supaul	Asia/Kolkata
average	31.3237	52.4089	2016/03/10	Dobrush	Europe/Minsk
accep	-49.27306	-25.42778	2017/09/15	Curitiba	America/Sao_Paulo
average	-119.0376	34.21639	2022-04-17	Camarillo	America/Los_Angeles
average	69.49015	56.11281	27 Sep 2013	Ishim	Asia/Yekaterinburg
accep	-49.27306	-25.42778	10/02/2016, 00:00:00	Curitiba	America/Sao_Paulo
average	115.04814	30.24706	22 Jan 2013	Huangshi	Asia/Shanghai
building	-120.43572	34.95303	05 Oct 2020	Santa Maria	America/Los_Angeles
maintenance	-2.31938	6.46346	2013-08-02	Bibiani	Africa/Accra
average	118.9707	-3.5403	2018-11-04	Majene	Asia/Makassar
maitennce	115.8614	-31.95224	05/27/2013, 00:00:00	Perth	Australia/Perth
average	-77.03116	3.8801	2016-02-02	Buenaventura	America/Bogota
good	-69.08333	-16.25	2016-08-16	Yunguyo	America/Lima
accep	-120.00865	46.32374	30 Jun 2022	Sunnyside	America/Los_Angeles
excellent	2.31889	35.21222	09 Feb 2018	Ksar Chellala	Africa/Algiers
good	2.2469	48.90472	2013-11-07	La Garenne-Colombes	Europe/Paris
average	-91.11667	14.93333	2019/06/24	Chichicastenango	America/Guatemala
excellent	13.63617	50.50301	2014/04/29	Most	Europe/Prague
maintenance	31.33078	47.56494	2022-07-12	Voznesensk	Europe/Kiev
maintenance	-43.80139	-20.25333	2013-08-08	Itabirito	America/Sao_Paulo
accep	9.47629	53.59337	02/09/2018, 00:00:00	Stade	Europe/Berlin
accep	98.19151	14.0823	08/20/2022, 00:00:00	Dawei	Asia/Yangon
excellent	2.1699	48.98994	2020-04-29	Herblay	Europe/Paris
good	1.26738	51.84819	2022-05-27	Walton-on-the-Naze	Europe/London
excellent	-73.9614	10.15031	2020/02/27	El Copey	America/Bogota
excellent	57.3552	51.4781	04/05/2019, 00:00:00	Kuvandyk	Asia/Yekaterinburg
average	16.43915	43.50891	2012/10/24	Split	Europe/Zagreb
good	-1.06667	53.78333	2014/09/10	Selby	Europe/London
good	-5.682	5.84752	02/28/2016, 00:00:00	Lakota	Africa/Abidjan
good	-156.47432	20.88953	2017-12-16	Kahului	Pacific/Honolulu
average	10.03478	37.16911	2020/05/24	El Alia	Africa/Tunis
accep	39.85331	57.30185	2012/11/05	Gavrilov-Yam	Europe/Moscow
excellent	120.14278	32.50611	2013/04/05	Jiangyan	Asia/Shanghai
average	73.85535	18.51957	30 May 2014	Pune	Asia/Kolkata
accep	102.3278	2.2139	2018-01-28	Kampung Ayer Molek	Asia/Kuala_Lumpur
accep	34.34691	61.78491	09/19/2022, 00:00:00	Petrozavodsk	Europe/Moscow
excellent	136.51667	35	2015-04-03	Komono	Asia/Tokyo
maintenance	17.22635	48.8449	2014-10-24	Skalica	Europe/Bratislava
building	-122.86705	45.49428	07/16/2020, 00:00:00	Aloha	America/Los_Angeles
average	-72.86843	41.27621	2013-04-03	East Haven	America/New_York
maintenance	9.00472	4.2475	07/07/2015, 00:00:00	Idenao	Africa/Douala
accep	-0.74934	51.62907	28 Jun 2016	High Wycombe	Europe/London
excellent	126.835	37.65639	09 Mar 2015	Goyang-si	Asia/Seoul
good	104.09701	-1.26424	2021/02/06	Simpang	Asia/Jakarta
good	2.61667	48.98333	05/15/2015, 00:00:00	Mitry-Mory	Europe/Paris
average	-86.19903	11.84962	02 Sep 2017	Jinotepe	America/Managua
accep	88.1453	22.4711	12/15/2018, 00:00:00	Pujali	Asia/Kolkata
excellent	-79.2663	43.86682	2022/05/31	Markham	America/Toronto
accep	-88.3162	42.24113	06 Apr 2014	Crystal Lake	America/Chicago
maintenance	-62.64102	8.35122	04 Dec 2016	Ciudad Guayana	America/Caracas
good	-81.79819	41.48199	2021-10-14	Lakewood	America/New_York
excellent	-74.28459	40.5576	03 Jun 2015	Woodbridge	America/New_York
good	46.10925	43.35071	2012-10-14	Gudermes	Europe/Moscow
average	111.50861	32.54278	2016-04-01	Danjiangkou	Asia/Shanghai
excellent	59.6	47.83333	2014-12-24	Shalqar	Asia/Aqtobe
good	138.31667	36.65	03/29/2015, 00:00:00	Suzaka	Asia/Tokyo
excellent	-76.78319	18.00747	2012/11/20	New Kingston	America/Jamaica
