location	station	QoS	latitude	revision	longitude
Asia/Karachi	Larkana	accep	27.55898	2021/06/29	68.21204
Europe/Berlin	Ehingen	good	48.28259	09 Jun 2017	9.72749
America/Caracas	Ciudad Guayana	building	8.35122	2013-01-19	-62.64102
Europe/Berlin	Verl	excellent	51.88333	2021/04/13	8.51667
America/Chicago	Hutchinson	good	38.06084	07/16/2017, 00:00:00	-97.92977
Asia/Jakarta	Besuki	good	-7.73379	2022/01/10	113.69785
Asia/Jakarta	Sukabumi	excellent	-6.91806	2019/12/21	106.92667
Europe/Istanbul	Edremit	excellent	39.59611	2015/11/26	27.02444
America/Maceio	Barra dos Coqueiros	excellent	-10.90889	03/24/2021, 00:00:00	-37.03861
Europe/Moscow	Volokolamsk	excellent	56.03361	16 Aug 2021	35.96944
Asia/Manila	Santa Catalina	good	9.3337	2017/08/26	122.8637
America/New_York	North Lauderdale	accep	26.2173	2015/05/31	-80.22588
America/New_York	Milledgeville	good	33.08014	2013/06/18	-83.2321
Asia/Yangon	Dawei	building	14.0823	06/01/2016, 00:00:00	98.19151
Asia/Manila	Manaoag	accep	16.0438	24 Dec 2019	120.4861
Europe/Kiev	Hlukhiv	maintenance	51.67822	2017/12/16	33.9162
America/Argentina/Buenos_Aires	Tandil	average	-37.32167	2019/07/03	-59.13316
Asia/Seoul	Sinhyeon	excellent	34.8825	22 Mar 2018	128.62667
Asia/Kolkata	Gorakhpur	excellent	26.76628	09 Mar 2014	83.36889
America/New_York	Woodlawn	building	39.32288	05/27/2013, 00:00:00	-76.72803
Europe/Paris	Pamiers	accep	43.11667	2017/03/24	1.6
America/Argentina/Buenos_Aires	Tandil	maintenance	-37.32167	02 Nov 2018	-59.13316
America/Chicago	Independence	accep	39.09112	2018-07-26	-94.41551
Asia/Manila	Tupi	building	6.33444	2016/12/23	124.95278
Africa/Dar_es_Salaam	Mwandiga	maintenance	-4.83	2020-03-30	29.65806
America/Puerto_Rico	Yauco	building	18.03496	11/18/2012, 00:00:00	-66.8499
Europe/Berlin	Finnentrop	average	51.168	2018-05-04	7.973
Africa/Algiers	Ksar Chellala	excellent	35.21222	2021/04/08	2.31889
America/Toronto	Dorval	accep	45.4473	2021-03-26	-73.75335
Asia/Kuala_Lumpur	Kampung Ayer Molek	average	2.2139	2013-09-29	102.3278
Asia/Tokyo	Ina	excellent	35.82756	2013/05/24	137.95378
Asia/Hong_Kong	Tsuen Wan	accep	22.37066	07/15/2015, 00:00:00	114.10479
America/Sao_Paulo	Guapimirim	building	-22.53722	2021/10/19	-42.98194
America/Santo_Domingo	Santa Cruz de Barahona	excellent	18.20854	17 Jun 2016	-71.10077
America/Maceio	Barra dos Coqueiros	building	-10.90889	2016/06/20	-37.03861
America/Puerto_Rico	Yauco	good	18.03496	2015-06-03	-66.8499
Asia/Kolkata	Patti	average	31.28092	2014-07-08	74.85849
Europe/London	Belper	accep	53.0233	2021/05/20	-1.48119
America/Argentina/Ushuaia	Ushuaia	average	-54.8	10/13/2017, 00:00:00	-68.3
Australia/Melbourne	Carnegie	average	-37.88333	01/17/2015, 00:00:00	145.06667
Africa/Lubumbashi	Beni	excellent	0.49113	07/16/2018, 00:00:00	29.47306
Europe/Warsaw	Brzeg	average	50.86079	08/29/2020, 00:00:00	17.4674
America/Toronto	Pointe-Claire	acceptable	45.44868	2018/03/05	-73.81669
Europe/Moscow	Yeysk	average	46.7055	2012/11/02	38.2739
America/Chicago	Searcy	average	35.25064	2020/01/28	-91.73625
Africa/Johannesburg	Standerton	accep	-26.93366	06/30/2016, 00:00:00	29.24152
America/New_York	Mechanicsville	building	37.60876	2019/11/04	-77.37331
Europe/Berlin	Stade	good	53.59337	10 Mar 2020	9.47629
Europe/Vilnius	Ukmerge	average	55.25	23 Feb 2018	24.75
America/Sao_Paulo	Itabirito	accep	-20.25333	05/24/2019, 00:00:00	-43.80139
America/Lima	Chosica	average	-11.94306	2019-01-22	-76.70944
Europe/Berlin	Bensheim	excellent	49.68369	2015/07/22	8.61839
Europe/Kiev	Lutsk	average	50.75932	18 Mar 2016	25.34244
America/Bogota	Andes	average	5.6561	2022/06/15	-75.87877
Asia/Bangkok	Nakhon Si Thammarat	maintenance	8.43333	2014-03-12	99.96667
America/Guayaquil	Milagro	average	-2.13404	08 Nov 2013	-79.59415
America/Los_Angeles	American Canyon	accep	38.17492	2014/12/13	-122.2608
Asia/Yangon	Kyaikto	maintenance	17.30858	2019-09-29	97.01124
America/New_York	East Haven	excellent	41.27621	2022-07-15	-72.86843
Europe/Istanbul	Gaziantep	good	37.05944	2019-06-20	37.3825
Europe/Istanbul	Silvan	good	38.13708	2021-06-08	41.00817
Asia/Bangkok	Thap Than	average	15.46063	24 Sep 2021	99.89166
Asia/Kolkata	Dombivli	excellent	19.21667	04/09/2013, 00:00:00	73.08333
Europe/Amsterdam	Schiebroek	excellent	51.95838	2020/06/23	4.47124
America/Chicago	Estelle	average	29.84576	2015-07-05	-90.10674
Europe/Madrid	Caravaca	average	38.10558	2017-11-30	-1.86343
Europe/Amsterdam	Barneveld	acceptable	52.14	12/29/2015, 00:00:00	5.58472
America/Fortaleza	Pedro II	average	-4.42472	21 Jul 2017	-41.45861
Europe/Skopje	Saraj	excellent	42	02/05/2016, 00:00:00	21.32778
America/Los_Angeles	Opportunity	average	47.64995	2020/04/12	-117.23991
Australia/Sydney	Strathfield	good	-33.88096	2015/08/29	151.07986
America/New_York	Port Richmond	average	40.63316	04/05/2022, 00:00:00	-74.13653
America/Mexico_City	Santa Rosa Jauregui	excellent	20.74122	11/27/2018, 00:00:00	-100.44843
Asia/Kolkata	Chharra	excellent	27.9247	2020/03/05	78.40102
Europe/Berlin	Gronau	maintenance	52.21099	2021/01/07	7.02238
America/New_York	Bon Air	good	37.52487	15 Nov 2014	-77.55777
Asia/Karachi	Larkana	accep	27.55898	2014/04/06	68.21204
Europe/Kiev	Voznesensk	building	47.56494	09 Aug 2017	31.33078
America/Chicago	Hutchinson	average	38.06084	07/18/2014, 00:00:00	-97.92977
America/Los_Angeles	Aloha	excellent	45.49428	24 Dec 2012	-122.86705
Europe/Moscow	Naro-Fominsk	excellent	55.38752	07/06/2014, 00:00:00	36.73307
Europe/Istanbul	Silvan	good	38.13708	2018/05/23	41.00817
Europe/Madrid	Cardedeu	average	41.63976	27 Jan 2014	2.35739
Europe/Berlin	Stuttgart	good	48.78232	08/20/2018, 00:00:00	9.17702
Asia/Jerusalem	Ganei Tikva	maintenance	32.05971	2016-11-08	34.8732
Asia/Shanghai	Zhoucun	average	36.81667	08/30/2019, 00:00:00	117.81667
America/New_York	Collinwood	excellent	41.55838	2021-09-11	-81.56929
Europe/Rome	Campobasso	average	41.55947	2022/03/27	14.66737
Asia/Karachi	Hasilpur	maintenance	29.69221	10/11/2020, 00:00:00	72.54566
Asia/Makassar	Tarakan	accep	3.31332	2018-11-11	117.59152
Europe/Madrid	Villaquilambre	excellent	42.64685	2019-11-09	-5.55835
America/Mexico_City	San Lorenzo Acopilco	accep	19.32889	2022/08/17	-99.32556
Africa/Casablanca	Jerada	maintenance	34.31	2017-01-12	-2.16
America/Tegucigalpa	Olanchito	maintenance	15.48131	2018/02/05	-86.57415
Asia/Jakarta	Pekanbaru	good	0.51667	2021-10-24	101.44167
Asia/Tokyo	Annaka	excellent	36.33011	25 Nov 2018	138.89585
Asia/Shanghai	Zhoucun	good	36.81667	05/01/2022, 00:00:00	117.81667
Asia/Manila	Jagna	building	9.6531	2018-04-29	124.3697
Asia/Jakarta	Muncar	accep	-8.43333	06 Apr 2020	114.33333
Europe/London	Great Wyrley	average	52.66277	07/13/2018, 00:00:00	-2.01111
Europe/Zaporozhye	Svatove	good	49.41029	2020/07/16	38.15035
Asia/Karachi	Fazilpur	building	32.17629	27 Jun 2013	75.06583
Asia/Kolkata	Chamba	accep	32.55531	23 Jun 2015	76.12647
America/Chicago	Lino Lakes	good	45.16024	14 Jan 2021	-93.08883
America/Mexico_City	Oaxaca	good	17.06542	10 Jan 2016	-96.72365
Asia/Jakarta	Kediri	excellent	-7.81667	08 Apr 2019	112.01667
Asia/Manila	Pilar	average	14.66	05/28/2021, 00:00:00	120.56528
Africa/Algiers	Frenda	average	35.06544	2016/07/20	1.04945
Asia/Kolkata	Elamanchili	good	17.54907	2019-10-11	82.85749
Asia/Riyadh	Al Jubayl	maintenance	27.0174	07 Jul 2018	49.62251
America/New_York	Yonkers	maintenance	40.93121	16 Jul 2013	-73.89875
America/Caracas	Ciudad Guayana	accep	8.35122	2015-04-02	-62.64102
Asia/Kolkata	Deoli	maintenance	25.75728	01 Mar 2014	75.37991
Australia/Perth	Perth	maintenance	-31.95224	2014/11/05	115.8614
America/New_York	Harrisburg	accep	40.2737	02/05/2017, 00:00:00	-76.88442
Africa/Lagos	Biu	accep	10.61285	22 May 2017	12.19458
Australia/Sydney	Strathfield	average	-33.88096	09 Dec 2021	151.07986
Australia/Perth	Perth	accep	-31.95224	26 May 2013	115.8614
America/Denver	Carlsbad	excellent	32.42067	06/05/2017, 00:00:00	-104.22884
America/Chicago	South Lawndale	good	41.84364	26 Sep 2021	-87.71255
Asia/Jakarta	Pekanbaru	accep	0.51667	2017-02-03	101.44167
Asia/Manila	Burgos	accep	15.72892	2020/02/11	120.57224
Europe/Moscow	Alatyr’	average	54.8421	08/15/2016, 00:00:00	46.5813
Asia/Tokyo	Namerikawa	average	36.75965	2018/10/25	137.36215
America/Manaus	Itacoatiara	average	-3.14306	07/11/2015, 00:00:00	-58.44417
Indian/Antananarivo	Sakaraha	excellent	-22.9	2021-12-09	44.53333
Asia/Kolkata	Supaul	average	26.11527	2013-05-16	86.59509
Africa/Nairobi	Lodwar	average	3.11988	01/27/2014, 00:00:00	35.59642
Asia/Makassar	Tarakan	accep	3.31332	08/09/2020, 00:00:00	117.59152
America/Chicago	Columbia Heights	accep	45.0408	2013/09/15	-93.263
Africa/Tunis	El Alia	accep	37.16911	04/30/2018, 00:00:00	10.03478
America/Fortaleza	Barras	excellent	-4.24444	2021/03/15	-42.29444
America/Chicago	Hueytown	accep	33.45122	18 May 2016	-86.99666
Asia/Hebron	East Jerusalem	good	31.78336	12 Feb 2018	35.23388
Europe/Moscow	Yeysk	maintenance	46.7055	2021/11/11	38.2739
Asia/Tokyo	Iwade	good	34.25	2017-12-03	135.31667
America/Puerto_Rico	Aguadilla	maintenance	18.42745	2019-12-05	-67.15407
Africa/Cairo	Juhaynah	average	26.67319	10/27/2021, 00:00:00	31.4976
Asia/Seoul	Nonsan	average	36.20389	2022-05-28	127.08472
Africa/Dar_es_Salaam	Magomeni	excellent	-6.8	2015/08/13	39.25
America/Chicago	Brentwood Estates	maintenance	36.02506	2013/04/01	-86.77917
America/Chicago	Evergreen Park	average	41.72059	07/19/2013, 00:00:00	-87.70172
Asia/Aqtobe	Shalqar	good	47.83333	18 Dec 2012	59.6
Asia/Tokyo	Toba	accep	34.4833	20 Apr 2018	136.84186
Asia/Urumqi	Hoxtolgay	accep	46.51872	10/27/2013, 00:00:00	86.00214
America/Argentina/Buenos_Aires	Barracas	accep	-34.64966	21 Sep 2021	-58.38341
Europe/London	Belper	building	53.0233	07/05/2017, 00:00:00	-1.48119
Asia/Aqtobe	Shalqar	good	47.83333	06/14/2015, 00:00:00	59.6
Europe/Moscow	Gavrilov-Yam	maintenance	57.30185	2019/05/14	39.85331
Asia/Bangkok	Roi Et	excellent	16.0567	2018-05-14	103.65309
Asia/Bangkok	Thap Than	excellent	15.46063	2018-03-05	99.89166
Asia/Phnom_Penh	Paoy Paet	average	13.65805	12 Mar 2019	102.56365
America/Chicago	Brenham	maintenance	30.16688	2012/12/03	-96.39774
America/New_York	Scarsdale	average	41.0051	01/14/2017, 00:00:00	-73.78458
Europe/Minsk	Dobrush	accep	52.4089	08/03/2017, 00:00:00	31.3237
Asia/Jakarta	Pekanbaru	maintenance	0.51667	09/10/2020, 00:00:00	101.44167
America/Toronto	Pointe-Claire	accep	45.44868	10 Aug 2014	-73.81669
America/New_York	Taunton	building	41.9001	05/30/2014, 00:00:00	-71.08977
Asia/Urumqi	Hoxtolgay	average	46.51872	2020/09/18	86.00214
Europe/Warsaw	Jaworzno	maintenance	50.20528	2014/01/12	19.27498
Asia/Riyadh	Al Jubayl	average	27.0174	2019-07-30	49.62251
America/Chicago	Searcy	good	35.25064	03 Oct 2021	-91.73625
Asia/Kolkata	Hungund	average	16.06213	08/29/2022, 00:00:00	76.0586
Europe/Paris	Marly-le-Roi	accep	48.86667	14 Aug 2015	2.08333
Europe/Tallinn	Narva	excellent	59.37722	2013/02/24	28.19028
America/New_York	East Haven	building	41.27621	2020-02-06	-72.86843
Europe/London	Devizes	accep	51.35084	15 Jan 2021	-1.99421
Europe/Helsinki	Tornio	good	65.84811	20 Jun 2022	24.14662
Asia/Kolkata	Elamanchili	maintenance	17.54907	01 Feb 2015	82.85749
Asia/Kolkata	Meerut	good	28.98002	07/24/2016, 00:00:00	77.70636
America/Caracas	Tinaquillo	average	9.91861	2018/09/25	-68.30472
Africa/Khartoum	Ar Ruseris	average	11.8659	04/16/2020, 00:00:00	34.3869
Europe/Paris	Pamiers	excellent	43.11667	09/10/2021, 00:00:00	1.6
America/Los_Angeles	Bryn Mawr-Skyway	excellent	47.4943	10/23/2020, 00:00:00	-122.24092
Europe/Paris	Colomiers	excellent	43.61058	2017-08-08	1.33467
Europe/Rome	Campobasso	accep	41.55947	2015/01/05	14.66737
Indian/Antananarivo	Ikalamavony	good	-21.15	03 Apr 2014	46.58333
Europe/Berlin	Barmbek-Nord	excellent	53.6052	2021/11/08	10.03988
America/Bogota	Andes	average	5.6561	25 Dec 2017	-75.87877
America/Matamoros	Heroica Matamoros	good	25.87972	04 Sep 2020	-97.50417
Europe/London	Poulton-le-Fylde	accep	53.83333	21 Mar 2015	-2.98333
Asia/Shanghai	Yingkou	maintenance	40.66482	2014-12-24	122.22833
Asia/Kuala_Lumpur	Teluk Intan	building	4.02219	2016-08-29	101.02083
Asia/Kolkata	Dharmapuri	accep	12.1277	2014-07-07	78.15794
Europe/Berlin	Bretten	accep	49.03685	11/12/2017, 00:00:00	8.70745
Asia/Kolkata	Kheda	excellent	22.75218	05/07/2018, 00:00:00	72.68533
America/New_York	Utica	excellent	43.1009	2021-01-27	-75.23266
Asia/Bangkok	Damnoen Saduak	excellent	13.51825	2017-07-22	99.95469
America/New_York	Belle Glade	excellent	26.68451	24 Oct 2016	-80.66756
America/New_York	Martinsburg	accep	39.45621	2022-09-25	-77.96389
Europe/Paris	Montpellier	excellent	43.61092	20 Feb 2020	3.87723
Europe/Amsterdam	Barneveld	good	52.14	08/10/2013, 00:00:00	5.58472
Africa/Bamako	Kati	excellent	12.74409	2020-01-24	-8.07257
Europe/Moscow	Volokolamsk	good	56.03361	06/02/2017, 00:00:00	35.96944
Asia/Bangkok	Thap Than	good	15.46063	04/06/2013, 00:00:00	99.89166
Asia/Kuala_Lumpur	Ulu Tiram	maintenance	1.6	2019/10/03	103.81667
America/Santarem	Altamira	good	-3.20333	2014/04/11	-52.20639
Asia/Kolkata	Malaut	good	30.21121	2021-05-20	74.4818
Europe/London	Rhosllanerchrugog	good	53.00974	2022/07/31	-3.05814
Australia/Sydney	Griffith	accep	-34.28853	15 Jul 2019	146.05093
Europe/Rome	Perugia	accep	43.1122	08/15/2021, 00:00:00	12.38878
Atlantic/Azores	Ponta Delgada	accep	37.74615	2016-10-11	-25.66689
Europe/Berlin	Landshut	excellent	48.52961	06 Jun 2013	12.16179
America/Sao_Paulo	Curitiba	average	-25.42778	28 Jul 2021	-49.27306
America/Denver	Aurora	good	39.72943	2019-02-04	-104.83192
America/Mexico_City	San Lorenzo Acopilco	average	19.32889	2013-10-18	-99.32556
Asia/Colombo	Hendala	excellent	6.9909	2015-10-20	79.883
Asia/Kuching	Donggongon	maintenance	5.90702	10 Aug 2019	116.10146
Australia/Melbourne	Wheelers Hill	good	-37.9	08/29/2022, 00:00:00	145.18333
Asia/Baghdad	Karbala	building	32.61603	2022-08-22	44.02488
America/New_York	Fort Washington	good	38.70734	2016/05/22	-77.02303
Asia/Kuala_Lumpur	Gua Musang	maintenance	4.88441	2015-12-14	101.96857
America/New_York	Chillum	average	38.96372	2015/06/07	-76.99081
Asia/Urumqi	Hoxtolgay	good	46.51872	11 Feb 2017	86.00214
America/Port-au-Prince	Thomazeau	good	18.65297	10/30/2019, 00:00:00	-72.09391
Europe/London	Strood	accep	51.39323	2014/05/28	0.47713
Australia/Sydney	Griffith	good	-34.28853	28 Jan 2022	146.05093
Asia/Shanghai	Jingzhou	average	30.35028	07/03/2014, 00:00:00	112.19028
Asia/Kolkata	Osmanabad	excellent	18.18158	2014/04/20	76.03889
Africa/Dar_es_Salaam	Mvomero	maintenance	-6.25	09/11/2018, 00:00:00	38.66667
America/Chicago	South Lawndale	good	41.84364	03/08/2018, 00:00:00	-87.71255
Asia/Dhaka	Kushtia	building	23.9028	2018/03/08	89.11943
Asia/Kolkata	Rajaori	excellent	33.37526	20 Feb 2013	74.3092
America/Merida	Progreso	accep	21.28306	2013-08-06	-89.66123
Asia/Tehran	Shahre Jadide Andisheh	accep	35.6803	01/02/2016, 00:00:00	51.0193
Africa/Kampala	Arua	accep	3.02013	07/16/2017, 00:00:00	30.91105
Africa/Addis_Ababa	Debre Tabor	accep	11.85	07/01/2022, 00:00:00	38.01667
Asia/Kolkata	Pune	average	18.51957	02/07/2016, 00:00:00	73.85535
America/Los_Angeles	Bryn Mawr-Skyway	good	47.4943	2012-10-07	-122.24092
Europe/Rome	Catania	good	37.49223	2021/06/23	15.07041
Europe/Bratislava	Skalica	good	48.8449	2017/02/06	17.22635
Asia/Tokyo	Toba	good	34.4833	17 Nov 2012	136.84186
Europe/Berlin	Oschatz	good	51.30001	09/20/2022, 00:00:00	13.10984
Europe/Vilnius	Ukmerge	excellent	55.25	16 Mar 2017	24.75
Europe/Rome	Lanciano	excellent	42.22718	20 Oct 2015	14.39024
America/Santiago	Ovalle	building	-30.60106	11/01/2016, 00:00:00	-71.19901
Europe/Zurich	Onex	average	46.18396	10 Aug 2019	6.10237
Europe/Brussels	Mouscron	maintenance	50.74497	2019-06-18	3.20639
America/El_Salvador	Sonzacate	accep	13.73417	06/23/2017, 00:00:00	-89.71472
Asia/Almaty	Zaysan	maintenance	47.46657	15 Jul 2019	84.87144
Asia/Kolkata	Gingee	maintenance	12.25282	2016/03/25	79.41727
America/Denver	Ken Caryl	average	39.57582	2020-06-23	-105.11221
Europe/London	Southsea	accep	50.79205	09/12/2015, 00:00:00	-1.08593
Europe/Warsaw	Strzelce Opolskie	building	50.5107	2016-10-25	18.30056
Asia/Tokyo	Gero	building	35.8	19 Jun 2020	137.23333
Europe/Berlin	Weimar	average	50.9803	2020/04/22	11.32903
America/New_York	Punta Gorda Isles	average	26.91756	2016/07/06	-82.07842
Asia/Kolkata	Sirsi	accep	14.62072	31 Aug 2019	74.83554
Europe/Madrid	Caravaca	good	38.10558	2017-01-03	-1.86343
Africa/Accra	Tarkwa	maintenance	5.30383	28 Jul 2019	-1.98956
America/Chicago	Kaukauna	average	44.27804	2020-09-15	-88.27205
Asia/Tokyo	Shinshiro	good	34.9	2020-09-03	137.5
Asia/Karachi	Khairpur Mir’s	accep	27.52948	05/09/2019, 00:00:00	68.75915
Asia/Manila	Santa Catalina	accep	9.3337	2022/06/11	122.8637
America/Tegucigalpa	Olanchito	accep	15.48131	2017-12-27	-86.57415
Europe/Zurich	Adliswil	building	47.30997	2019/01/14	8.52462
Asia/Tokyo	Hakodate	excellent	41.77583	2020/06/13	140.73667
Africa/Windhoek	Okahandja	accep	-21.98333	2019/03/04	16.91667
Asia/Tokyo	Iwade	average	34.25	17 Sep 2013	135.31667
America/Puerto_Rico	Yauco	excellent	18.03496	04/03/2016, 00:00:00	-66.8499
Asia/Tokyo	Annaka	building	36.33011	01 Oct 2013	138.89585
America/Los_Angeles	Claremont	average	34.09668	2014-08-03	-117.71978
America/Port-au-Prince	Croix-des-Bouquets	good	18.57677	2021-06-26	-72.22625
Asia/Aden	Ataq	maintenance	14.53767	04/14/2014, 00:00:00	46.83187
America/Bogota	Socorro	maintenance	6.46838	01/12/2021, 00:00:00	-73.26022
Europe/Zaporozhye	Polohy	excellent	47.48444	07/22/2017, 00:00:00	36.25361
America/Bogota	Madrid	good	4.73245	01/01/2015, 00:00:00	-74.26419
Asia/Seoul	Sinhyeon	accep	34.8825	2013-03-29	128.62667
Asia/Manila	Manaoag	excellent	16.0438	03 Feb 2017	120.4861
America/Mexico_City	Jocotepec	good	20.28527	06 Apr 2013	-103.42897
Europe/Madrid	Talavera de la Reina	excellent	39.96348	2019/05/31	-4.83076
Europe/Moscow	Valday	accep	57.97472	12/06/2021, 00:00:00	33.2525
Europe/Paris	Colomiers	excellent	43.61058	2022/03/24	1.33467
Asia/Tokyo	Namerikawa	accep	36.75965	2021-07-16	137.36215
Asia/Colombo	Hendala	accep	6.9909	2019/03/15	79.883
America/Argentina/Buenos_Aires	Barracas	maintenance	-34.64966	2022/01/12	-58.38341
Asia/Dili	Maliana	accep	-8.99167	01/27/2018, 00:00:00	125.21972
Australia/Melbourne	Frankston South	good	-38.16604	2014/11/27	145.13643
Europe/Berlin	Wittenau	excellent	52.59319	23 Sep 2019	13.32127
Asia/Kolkata	Amreli	maitennce	21.59983	2015/11/28	71.21169
Indian/Antananarivo	Ikalamavony	maintenance	-21.15	2016/08/01	46.58333
Asia/Tehran	Darreh Shahr	average	33.14447	08/16/2021, 00:00:00	47.3799
Asia/Tokyo	Ueno-ebisumachi	average	34.75856	2021-02-16	136.13108
Europe/Rome	Francavilla Fontana	good	40.53123	26 Sep 2021	17.58522
Asia/Riyadh	Al Jubayl	good	27.0174	16 May 2017	49.62251
Asia/Urumqi	Hoxtolgay	average	46.51872	2014-07-02	86.00214
Australia/Sydney	Nowra	good	-34.88422	21 Sep 2022	150.60036
Asia/Tokyo	Ina	excellent	35.82756	2021-10-28	137.95378
Asia/Karachi	Sillanwali	good	31.82539	10/16/2012, 00:00:00	72.54064
America/Argentina/Buenos_Aires	Pontevedra	accep	-34.74785	2018/06/23	-58.70072
America/Belem	Soure	accep	-0.71667	2014-01-12	-48.52333
Asia/Bangkok	Bua Yai	maintenance	15.58552	02/22/2020, 00:00:00	102.42587
Asia/Bangkok	Yasothon	excellent	15.79408	2022/08/23	104.1451
Europe/Kiev	Artsyz	maintenance	45.99194	2015/04/02	29.41824
America/New_York	Woodbridge	average	40.5576	15 Jun 2017	-74.28459
America/New_York	Scarsdale	average	41.0051	2013/06/29	-73.78458
America/New_York	Taunton	building	41.9001	01/26/2015, 00:00:00	-71.08977
America/Port_of_Spain	Port of Spain	average	10.66668	03/13/2013, 00:00:00	-61.51889
Europe/Moscow	Petrozavodsk	average	61.78491	2015-05-03	34.34691
America/Los_Angeles	Aloha	average	45.49428	2016/03/23	-122.86705
Africa/Nairobi	Nyahururu	accep	0.03813	02/07/2013, 00:00:00	36.36339
America/Sao_Paulo	Itabirito	excellent	-20.25333	13 Jun 2017	-43.80139
America/New_York	West Chester	building	39.96097	2022/04/05	-75.60804
America/New_York	Clermont	average	28.54944	2022/03/22	-81.77285
Europe/Rome	Catania	average	37.49223	2019/09/13	15.07041
America/New_York	Newburgh	average	41.50343	2014-02-27	-74.01042
Australia/Sydney	Nowra	good	-34.88422	03/23/2022, 00:00:00	150.60036
Pacific/Auckland	Gisborne	good	-38.65333	2020-10-26	178.00417
Africa/Lagos	Shagamu	good	6.8485	2021-12-03	3.64633
Europe/Paris	Gonesse	maintenance	48.98693	12/11/2020, 00:00:00	2.44892
America/Glace_Bay	Sydney	excellent	46.1351	03 Sep 2013	-60.1831
Europe/Paris	Gonesse	average	48.98693	25 Mar 2014	2.44892
Europe/Madrid	Novelda	good	38.38479	05/22/2016, 00:00:00	-0.76773
America/El_Salvador	Sonzacate	building	13.73417	08/03/2022, 00:00:00	-89.71472
Asia/Kolkata	Aklera	maintenance	24.41288	05/23/2016, 00:00:00	76.56719
Europe/Berlin	Rudolstadt	good	50.72043	11/25/2013, 00:00:00	11.34046
Europe/Rome	Cordenons	good	45.9836	01 Feb 2021	12.70038
Asia/Shanghai	Meizhou	average	24.28859	12 Oct 2012	116.11768
Europe/Berlin	Kirchlengern	maintenance	52.2	2013-03-31	8.63333
America/New_York	Utica	building	43.1009	2015-03-07	-75.23266
Africa/Porto-Novo	Tchaourou	average	8.88649	26 Aug 2018	2.59753
Europe/Dublin	Athlone	average	53.43333	02/12/2020, 00:00:00	-7.95
Europe/Berlin	Reutlingen	maintenance	48.49144	02/07/2015, 00:00:00	9.20427
America/Jamaica	New Kingston	building	18.00747	08/29/2019, 00:00:00	-76.78319
Africa/Johannesburg	Vryheid	maintenance	-27.76952	09/02/2015, 00:00:00	30.79165
Europe/Berlin	Radevormwald	excellent	51.20219	19 Mar 2019	7.36027
Europe/Berlin	Finnentrop	average	51.168	2020-05-12	7.973
Europe/Madrid	San Juan de Aznalfarache	average	37.35813	2019/05/26	-6.03731
Europe/Kiev	Kherson	accep	46.65581	2017-02-08	32.6178
America/Lima	Yunguyo	good	-16.25	05 Oct 2015	-69.08333
Europe/Paris	Saint-Genis-Laval	average	45.69558	25 Jan 2018	4.7934
Asia/Jakarta	Pameungpeuk	excellent	-7.01833	2015/09/03	107.60389
Asia/Taipei	Magong	accep	23.5654	10 Mar 2021	119.58627
Europe/Kiev	Krasyliv	good	49.65186	2015-01-02	26.97253
Asia/Kuala_Lumpur	Kampung Ayer Molek	excellent	2.2139	2019-04-01	102.3278
America/New_York	Martinsburg	good	39.45621	04 Jan 2021	-77.96389
Asia/Kolkata	Kheda	maintenance	22.75218	02/05/2019, 00:00:00	72.68533
Asia/Bangkok	Yasothon	accep	15.79408	24 Nov 2012	104.1451
Europe/London	Strood	accep	51.39323	2019-02-22	0.47713
Europe/Rome	Falconara Marittima	accep	43.62558	2017-08-05	13.39954
America/Chicago	Odessa	good	31.84568	23 Aug 2021	-102.36764
America/Chicago	Rolla	building	37.95143	2014-05-03	-91.77127
Europe/Berlin	Marburg an der Lahn	excellent	50.80904	09 Jul 2015	8.77069
Asia/Shanghai	Hengshui	average	37.73222	04/23/2018, 00:00:00	115.70111
Asia/Kuala_Lumpur	Ulu Tiram	good	1.6	2013-11-23	103.81667
America/Argentina/Buenos_Aires	Chacabuco	building	-34.64167	07 Jun 2016	-60.47389
Europe/Moscow	Volokolamsk	good	56.03361	10/03/2014, 00:00:00	35.96944
Asia/Shanghai	Foshan	good	23.02677	2014-12-23	113.13148
Europe/Berlin	Memmingen	excellent	47.98372	07 Sep 2015	10.18527
Africa/Tripoli	Ajdabiya	excellent	30.75545	2015/11/10	20.22625
Europe/Berlin	Zeitz	good	51.04962	2014-01-22	12.1369
Europe/Kiev	Artsyz	average	45.99194	2021/09/04	29.41824
Asia/Karachi	Larkana	excellent	27.55898	14 Jan 2015	68.21204
Atlantic/Canary	Maspalomas	good	27.76056	2021-12-17	-15.58602
Africa/Casablanca	Azrou	accep	33.43443	25 Jul 2018	-5.22126
Asia/Kolkata	Gorakhpur	accep	26.76628	2016/06/06	83.36889
Asia/Shanghai	Hushitai	excellent	41.94175	2021/10/16	123.50266
Australia/Melbourne	Frankston South	good	-38.16604	2022/06/09	145.13643
Europe/Berlin	Trossingen	excellent	48.07667	12/17/2015, 00:00:00	8.64409
Europe/Rome	Falconara Marittima	excellent	43.62558	2019-11-28	13.39954
Europe/Brussels	Wevelgem	good	50.8	2022-04-06	3.16667
Europe/Moscow	Stupino	excellent	54.90083	12/04/2017, 00:00:00	38.07083
Asia/Tokyo	Kamakura	average	35.30889	09/19/2014, 00:00:00	139.55028
Australia/Perth	Willetton	maintenance	-32.05251	23 Aug 2016	115.88782
