code	station	longitude	QoS	latitude	revision
NG	Efon-Alaaye	4.92235	accep	7.65649	2013-06-04
RU	Likhobory	37.56667	excellent	55.85	10/24/2019, 00:00:00
FR	Dax	-1.05366	maitennce	43.71032	23 Oct 2020
US	Fairview Heights	-89.99038	excellent	38.58894	2015-01-17
IT	Mesagne	17.80774	accep	40.55851	2019-02-07
RU	Lesosibirsk	92.48278	accep	58.23583	10/16/2017, 00:00:00
US	Kent	-122.23484	good	47.38093	01/20/2015, 00:00:00
IN	Betamcherla	78.14797	average	15.45144	14 Mar 2017
ES	Baza	-2.77259	accep	37.49073	05/14/2015, 00:00:00
TR	Bergama	27.18052	excellent	39.12074	2015/08/17
UG	Paidha	30.98551	maitennce	2.41669	2014/07/24
NI	Jinotepe	-86.19903	accep	11.84962	02 Mar 2022
UZ	Jizzax	67.84222	excellent	40.11583	2017/09/20
AD	les Escaldes	1.53414	good	42.50729	2014/02/21
ID	Tarakan	117.59152	average	3.31332	28 Nov 2018
MY	Kampung Ayer Molek	102.3278	excellent	2.2139	2017/08/13
NL	Culemborg	5.22778	good	51.955	2022-08-12
IT	Somma Vesuviana	14.43865	building	40.87329	15 Dec 2014
US	Westchester	-87.882	excellent	41.85059	2022/05/19
ID	Jambi City	103.61667	average	-1.6	2021-07-17
SK	Hlohovec	17.8031	average	48.43174	2015/08/16
US	Aurora	-104.83192	accep	39.72943	12/17/2018, 00:00:00
VN	Sa Dec	105.75635	accep	10.29085	11 Jul 2018
TZ	Same	37.73333	average	-4.06667	2016/01/16
CN	Yanliang	109.22921	accep	34.65918	22 Aug 2018
ID	Tebingtinggi	99.1625	average	3.3285	2013/05/16
RU	Mikhaylovka	43.2379	accep	50.06	2014-08-30
FR	Saint-Omer	2.25	excellent	50.75	2022-09-23
JP	Toba	136.84186	excellent	34.4833	2019-07-26
ES	Novelda	-0.76773	accep	38.38479	06 Aug 2022
FR	Cavaillon	5.03586	average	43.83125	2020-11-28
GE	Kobuleti	41.77921	good	41.82143	2020/08/17
IT	Castelfranco Emilia	11.04979	accep	44.59445	2021/09/28
US	Tupelo	-88.70464	accep	34.25807	02/15/2017, 00:00:00
AR	Chacabuco	-60.47389	excellent	-34.64167	09/05/2019, 00:00:00
NL	Barneveld	5.58472	building	52.14	2019-04-03
MX	Paracho de Verduzco	-102.04897	accep	19.64745	2020-05-20
CN	Liaoyang	123.17306	good	41.27194	2017-02-28
BR	Sarandi	-51.87389	average	-23.44361	2012/10/18
CN	Changzhi	111.73861	accep	35.20889	2021-03-29
ES	Reus	1.10687	excellent	41.15612	2017-09-08
CN	Heyuan	114.68333	accep	23.73333	2015-06-28
DE	Finnentrop	7.973	accep	51.168	04/15/2014, 00:00:00
ES	Leioa	-2.98884	excellent	43.32686	07/08/2014, 00:00:00
FR	Fontenay-aux-Roses	2.29275	average	48.79325	2019/03/28
MA	Azrou	-5.22126	good	33.43443	2013-09-24
UA	Nova Kakhovka	33.34864	building	46.75451	2021-11-05
JP	Toyokawa	137.4	good	34.81667	2017-05-31
BR	Porto Velho	-63.90389	maintenance	-8.76194	2015/11/07
IN	Robertsonpet	78.27539	building	12.95629	14 Dec 2015
CN	Shuangcheng	126.28333	average	45.35	2020/06/22
US	Saratoga Springs	-111.90466	building	40.34912	2020/12/29
IN	Aistala	88.58	average	23.18	2018-01-30
BR	Viradouro	-48.29694	average	-20.87306	08/25/2021, 00:00:00
MX	Santa Rosa Jauregui	-100.44843	average	20.74122	2015-07-26
MX	Salvatierra	-100.88023	good	20.21322	18 Oct 2016
US	Rosedale	-76.51552	average	39.32011	24 Jun 2015
US	Kensington	-73.97069	excellent	40.64621	06 Dec 2019
US	Bothell West	-122.24064	accep	47.80527	2013/04/03
VE	La Victoria	-67.33122	excellent	10.22677	11 Jun 2018
US	Brenham	-96.39774	good	30.16688	11 Dec 2018
KZ	Kyzylorda	65.50917	excellent	44.85278	06/10/2017, 00:00:00
ID	Ngemplak	110.71639	good	-7.54972	2018/08/10
US	Pahrump	-115.98391	good	36.20829	29 Mar 2018
US	Huntley	-88.42814	accep	42.16808	2016-10-02
MM	Kyaikto	97.01124	good	17.30858	08 Oct 2013
US	Sun City Center	-82.35176	accep	27.71809	03/05/2019, 00:00:00
GN	Camayenne	-13.68778	excellent	9.535	2013-09-15
US	Dumont	-73.99681	accep	40.94065	20 Jul 2016
KR	Nonsan	127.08472	excellent	36.20389	2017/09/21
DE	Neuburg an der Donau	11.18709	good	48.73218	2020-09-06
BG	Smolyan	24.71204	excellent	41.57439	05/14/2019, 00:00:00
MG	Ambatondrazaka	48.41667	average	-17.83333	2020-06-10
CA	Pointe-Claire	-73.81669	good	45.44868	07 Apr 2016
US	North Lauderdale	-80.22588	accep	26.2173	15 May 2020
DE	Verl	8.51667	accep	51.88333	2015/04/21
IN	Jais	81.54855	good	26.2649	05/04/2022, 00:00:00
CA	Kelowna	-119.48568	average	49.88307	09/24/2016, 00:00:00
IN	Amreli	71.21169	excellent	21.59983	08 Apr 2022
AF	Sar-e Pul	65.93249	average	36.21544	27 Dec 2020
US	Woodbridge	-74.28459	excellent	40.5576	2012/12/28
MN	Ulan Bator	106.88324	building	47.90771	2013/06/25
MX	Contla	-98.1664	good	19.32932	11 Dec 2013
CN	Pucheng	118.53333	good	27.92333	04/04/2022, 00:00:00
CR	Liberia	-85.43772	building	10.63504	2016/07/12
TR	Gaziantep	37.3825	good	37.05944	2019/03/05
US	Belle Glade	-80.66756	accep	26.68451	2018/12/29
JP	Minokamo	137.02166	building	35.48199	01/12/2015, 00:00:00
DE	Bad Segeberg	10.30215	building	53.94313	2014/05/08
US	Tupelo	-88.70464	average	34.25807	2016-02-14
US	Waterbury	-73.0515	maintenance	41.55815	06/04/2021, 00:00:00
CO	Puerto Colombia	-74.95472	excellent	10.98778	08/11/2021, 00:00:00
US	Crystal Lake	-88.3162	good	42.24113	01/18/2013, 00:00:00
CN	Zhoucun	117.81667	good	36.81667	2019/10/09
PK	Larkana	68.21204	maintenance	27.55898	19 Apr 2022
RU	Saraktash	56.36091	good	51.78771	2012-12-28
LR	New Yekepa	-8.53778	building	7.57944	01 Sep 2020
FR	Elbeuf	1.00288	maintenance	49.28669	2013/11/05
PT	Ponta Delgada	-25.66689	maintenance	37.74615	2021/12/03
DE	Hechingen	8.96317	building	48.35149	2022-05-23
US	Carlsbad	-104.22884	excellent	32.42067	06/25/2019, 00:00:00
DE	Memmingen	10.18527	maintenance	47.98372	12 Feb 2021
US	Toledo	-83.55521	accep	41.66394	2022-03-10
IN	Gorakhpur	83.36889	excellent	26.76628	02 Jan 2019
FR	Ajaccio	8.73812	excellent	41.91886	11/25/2020, 00:00:00
US	Thomasville	-80.08199	accep	35.88264	28 Feb 2020
DE	Losheim	6.74549	accep	49.5099	30 Apr 2018
MW	Salima	34.4587	average	-13.7804	30 Apr 2016
US	Fresno	-95.44744	good	29.53885	2015/12/26
TH	Thap Than	99.89166	building	15.46063	31 Mar 2014
PT	Albufeira	-8.2503	excellent	37.08819	2013-07-03
CN	Yingkou	122.22833	excellent	40.66482	2016/06/13
US	Clermont	-81.77285	good	28.54944	29 Nov 2014
BE	Houthalen	5.37429	accep	51.03427	2014/08/19
MY	Batu Feringgi	100.24529	good	5.4709	2013-12-03
PH	Masbate	123.62494	good	12.37169	2018-09-16
IN	Talipparamba	75.35927	accep	12.04161	2015-04-29
PL	Zgorzelec	15.00835	excellent	51.14942	2019/04/06
BR	Lagarto	-37.65	good	-10.91722	03/09/2021, 00:00:00
US	Lutz	-82.46148	excellent	28.15112	01/01/2016, 00:00:00
US	Lower West Side	-87.66561	accep	41.8542	2019-03-01
KG	Jalal-Abad	73	accep	40.93333	08/17/2013, 00:00:00
US	Acworth	-84.67837	building	34.06635	06/06/2013, 00:00:00
DE	Losheim	6.74549	accep	49.5099	2021-02-16
DE	Landshut	12.16179	average	48.52961	01 Jul 2018
AT	Sankt Peter	15.46667	excellent	47.05	2016-07-01
IN	Robertsonpet	78.27539	good	12.95629	2016/08/15
US	Middle River	-76.43941	average	39.33427	2018/09/08
PH	Cebu City	123.89071	accep	10.31672	12/03/2015, 00:00:00
UZ	Andijon	72.34424	accep	40.78206	2014/03/08
GB	Selby	-1.06667	good	53.78333	30 Jul 2021
ET	Arba Minch	37.55	good	6.03333	28 Jun 2015
US	Lino Lakes	-93.08883	excellent	45.16024	2019/09/20
RU	Kolomyagi	30.28491	average	60.02427	06 Jun 2015
US	Rosemount	-93.12577	building	44.73941	2021-07-10
CU	Media Luna	-77.43532	accep	20.14298	08/07/2020, 00:00:00
RU	Alatyr’	46.5813	average	54.8421	08/19/2017, 00:00:00
ID	Jambi City	103.61667	accep	-1.6	2017/08/08
IR	Darreh Shahr	47.3799	good	33.14447	02/01/2020, 00:00:00
BR	Itacoatiara	-58.44417	maintenance	-3.14306	11/20/2014, 00:00:00
DE	Weimar	11.32903	building	50.9803	11/18/2019, 00:00:00
PH	Recodo	121.96361	good	6.95194	29 Jun 2014
CD	Beni	29.47306	average	0.49113	2019/08/09
BR	Cabo	-35.03333	building	-8.28333	02 Dec 2019
IR	Aleshtar	48.26258	building	33.86419	2018/10/08
CN	Beidao	105.89333	good	34.56861	13 Jul 2018
US	Columbia Heights	-93.263	excellent	45.0408	12/31/2014, 00:00:00
PK	Alipur	70.91106	accep	29.38242	29 Apr 2022
AO	Luena	19.91667	accep	-11.78333	2020-10-07
US	North Tustin	-117.79394	excellent	33.76446	01 Nov 2017
IE	An Muileann gCearr	-7.35	excellent	53.53333	2013-12-26
CN	Yanliang	109.22921	average	34.65918	02/28/2017, 00:00:00
KZ	Zaysan	84.87144	accep	47.46657	2018-10-30
RU	Nizhniy Lomov	43.67663	average	53.53041	2013/06/28
RW	Rwamagana	30.4347	building	-1.9487	08/10/2015, 00:00:00
FR	Talence	-0.59543	average	44.80477	02/10/2017, 00:00:00
IN	Rajaori	74.3092	average	33.37526	03/01/2020, 00:00:00
JP	Toyokawa	137.4	accep	34.81667	06/10/2021, 00:00:00
RU	Tavda	65.27258	excellent	58.04254	01/01/2015, 00:00:00
IT	Ragusa	14.72443	average	36.92574	05 Mar 2018
TZ	Chanika	38.01667	accep	-5.41667	21 Jan 2018
US	South Lawndale	-87.71255	good	41.84364	20 Jul 2021
RU	Dyat’kovo	34.33825	accep	53.59782	2018-10-16
IT	Perugia	12.38878	accep	43.1122	2012-11-10
US	Lutz	-82.46148	excellent	28.15112	2014-08-14
PL	Zgorzelec	15.00835	good	51.14942	2012/11/23
DE	Wittenau	13.32127	good	52.59319	2014-07-06
PK	Sillanwali	72.54064	good	31.82539	04/08/2017, 00:00:00
PH	Antipolo	121.12251	maintenance	14.62578	21 Aug 2017
US	Brunswick	-69.96533	average	43.91452	2013/01/09
US	Bothell	-122.2054	excellent	47.76232	2013-11-01
TT	Port of Spain	-61.51889	maintenance	10.66668	10/21/2014, 00:00:00
VN	Sa Dec	105.75635	building	10.29085	2022-03-09
TH	Kantharalak	104.64992	accep	14.64056	2014/10/15
GB	Walton-on-the-Naze	1.26738	accep	51.84819	2018/10/12
ES	San Fernando de Henares	-3.53261	good	40.42386	09/07/2018, 00:00:00
CU	Media Luna	-77.43532	average	20.14298	11 Jan 2015
RU	Shushary	30.38167	building	59.80917	2015/10/12
AR	Tandil	-59.13316	maintenance	-37.32167	2017/04/13
KR	Goyang-si	126.835	building	37.65639	2015/06/19
MX	Heroica Matamoros	-97.50417	excellent	25.87972	21 Oct 2017
DE	Oberhausen	6.8625	accep	51.47805	12/25/2012, 00:00:00
DE	Marburg an der Lahn	8.77069	building	50.80904	2020-08-16
BR	Esmeraldas	-44.31389	excellent	-19.7625	2013-07-13
BR	Resplendor	-41.25528	excellent	-19.32556	2020/04/18
IN	Dombivli	73.08333	good	19.21667	24 Nov 2017
TN	El Alia	10.03478	average	37.16911	25 Aug 2020
DE	Korschenbroich	6.51352	accep	51.19139	2015/10/21
GB	Great Wyrley	-2.01111	average	52.66277	2021-09-02
DE	Stuttgart	9.17702	good	48.78232	2022/08/06
SD	Ar Ruseris	34.3869	good	11.8659	2016/12/17
AR	Ushuaia	-68.3	good	-54.8	2013/08/27
US	Port Richmond	-74.13653	average	40.63316	2018/01/11
DE	Eppingen	8.91229	good	49.13645	07/23/2013, 00:00:00
PH	Recodo	121.96361	average	6.95194	2018-03-18
FR	Rueil-Malmaison	2.18967	excellent	48.8765	2022-09-04
GB	Selby	-1.06667	good	53.78333	2014-11-21
FR	Mitry-Mory	2.61667	maintenance	48.98333	01 Jun 2021
PL	Brzeg	17.4674	excellent	50.86079	12/12/2015, 00:00:00
CA	Norfolk County	-80.38297	average	42.8334	2022-07-21
NL	Culemborg	5.22778	accep	51.955	07/19/2014, 00:00:00
IT	Bisceglie	16.50104	building	41.24264	2015-09-02
BR	Itabirito	-43.80139	average	-20.25333	2019-05-06
AR	Aguilares	-65.61427	building	-27.4338	2013/04/24
US	Keene	-72.27814	good	42.93369	08 Nov 2018
UA	Hlukhiv	33.9162	accep	51.67822	21 Sep 2019
US	Milledgeville	-83.2321	average	33.08014	2022-02-22
RU	Kashira	38.16694	accep	54.84444	2020/10/13
NG	Ilesa	4.74161	excellent	7.62789	2018/12/05
MX	Guanajuato	-101.2591	accep	21.01858	2019/06/12
JP	Shimotoda	139.6853	average	35.815	07/11/2018, 00:00:00
GB	Clacton-on-Sea	1.15597	excellent	51.78967	03/02/2020, 00:00:00
JP	Okegawa	139.55722	maintenance	36	2018-05-06
DE	Nidderau	8.86704	good	50.23805	03 May 2016
DE	Friedberg	10.98461	average	48.35693	2018/02/01
CI	Lakota	-5.682	excellent	5.84752	11/22/2015, 00:00:00
CN	Yanliang	109.22921	building	34.65918	2021/06/16
SY	Binnish	36.7138	average	35.95664	2019-03-02
KR	Nonsan	127.08472	excellent	36.20389	2015/08/21
NZ	Timaru	171.25364	excellent	-44.39672	2020/12/26
BR	Lagarto	-37.65	good	-10.91722	2015-05-22
DE	Zeitz	12.1369	maintenance	51.04962	2013-02-05
IE	Athlone	-7.95	average	53.43333	29 Oct 2015
US	Carlsbad	-104.22884	excellent	32.42067	02/21/2018, 00:00:00
US	Bryn Mawr-Skyway	-122.24092	average	47.4943	09/12/2021, 00:00:00
DE	Neuburg an der Donau	11.18709	excellent	48.73218	07/24/2019, 00:00:00
ES	Maspalomas	-15.58602	average	27.76056	25 Feb 2019
US	Taunton	-71.08977	accep	41.9001	29 Jan 2014
CZ	Most	13.63617	excellent	50.50301	2015/07/22
US	Norwalk	-82.61573	good	41.24255	28 Dec 2017
IN	Kangayam	77.5609	excellent	11.00599	2020/09/02
CA	Sherwood Park	-113.3187	excellent	53.51684	2014/01/10
US	Carlsbad	-104.22884	excellent	32.42067	2013-04-16
NL	Barneveld	5.58472	average	52.14	28 Jul 2015
DE	Rudolstadt	11.34046	accep	50.72043	2015/05/31
PH	Calauan	121.3152	average	14.14989	2020-06-22
CA	Markham	-79.2663	good	43.86682	2016/01/21
PK	Mianwali	71.52847	excellent	32.57756	03/22/2022, 00:00:00
NA	Okahandja	16.91667	building	-21.98333	05/12/2018, 00:00:00
CN	Taozhuang	117.33333	excellent	34.85	2014/09/07
US	East Haven	-72.86843	accep	41.27621	23 Oct 2021
DZ	Beni Douala	4.08282	building	36.61954	2020/12/21
PH	Talisay	122.9666	maintenance	10.7375	04/17/2019, 00:00:00
RU	Bogoroditsk	38.12408	maintenance	53.77166	2022-02-17
US	North Lauderdale	-80.22588	maintenance	26.2173	01 May 2014
DE	Barmbek-Nord	10.03988	excellent	53.6052	22 Jun 2013
US	Mechanicsville	-77.37331	accep	37.60876	05/29/2020, 00:00:00
KR	Sinhyeon	128.62667	excellent	34.8825	2019-10-12
PK	Kot Addu	70.96699	maintenance	30.46907	05/15/2020, 00:00:00
RU	Beryozovsky	60.8019	accep	56.9083	2016/02/24
BR	Pedro II	-41.45861	maintenance	-4.42472	02/08/2015, 00:00:00
CN	Danjiangkou	111.50861	accep	32.54278	28 Apr 2020
BJ	Tchaourou	2.59753	accep	8.88649	2022/01/01
IN	Srinagar	74.80555	building	34.08565	2014-09-14
DE	Bad Segeberg	10.30215	accep	53.94313	07 Apr 2018
IN	Barbil	85.37752	average	22.10194	2021/11/18
US	Opportunity	-117.23991	accep	47.64995	06/11/2016, 00:00:00
CN	Zaozhuang	117.55417	maintenance	34.86472	2016-06-28
NL	Zeist	5.23333	accep	52.09	2020-06-06
IT	Chiavari	9.32241	good	44.31771	03/31/2021, 00:00:00
IN	Dombivli	73.08333	excellent	19.21667	2012-12-11
TZ	Chanika	38.01667	maintenance	-5.41667	2017-02-12
BR	Imbituba	-48.67028	average	-28.24	2019/07/28
CN	Yanliang	109.22921	accep	34.65918	2013/05/01
US	Kendall	-80.31727	accep	25.67927	10/10/2016, 00:00:00
US	Sterling	-77.4286	average	39.00622	2012-11-04
RU	Petrozavodsk	34.34691	average	61.78491	2019-11-17
US	Brentwood Estates	-86.77917	excellent	36.02506	08/02/2017, 00:00:00
CU	Media Luna	-77.43532	excellent	20.14298	09/07/2018, 00:00:00
LY	Ghat	10.18003	good	24.96334	2013-08-22
NL	Barneveld	5.58472	good	52.14	2019/05/17
CO	San Carlos	-75.69947	accep	8.79577	24 Aug 2021
UA	Polohy	36.25361	good	47.48444	10 Jun 2013
LK	Dehiwala-Mount Lavinia	79.87116	average	6.84019	2013/03/15
RU	Naro-Fominsk	36.73307	excellent	55.38752	02/06/2017, 00:00:00
MQ	Le Robert	-60.94228	good	14.67751	2013-09-26
IN	Osmanabad	76.03889	excellent	18.18158	03 Aug 2016
US	Grand Forks	-97.03285	maintenance	47.92526	2013-07-12
FR	Valence	4.8951	accep	44.92801	05/01/2022, 00:00:00
BR	Itacoatiara	-58.44417	average	-3.14306	06/07/2021, 00:00:00
US	North Lauderdale	-80.22588	excellent	26.2173	2020/02/05
TR	Bergama	27.18052	good	39.12074	07 Jun 2013
PH	Sorsogon	123.99333	accep	12.97389	22 Oct 2015
JP	Shinshiro	137.5	accep	34.9	2018-01-10
US	Shreveport	-93.75018	average	32.52515	04/08/2020, 00:00:00
RU	Izluchinsk	76.92421	excellent	60.97944	02/25/2019, 00:00:00
DE	Gifhorn	10.5511	good	52.47774	2015-10-19
UA	Artsyz	29.41824	good	45.99194	2019-07-07
DZ	Bordj Zemoura	4.85668	average	36.27462	2018-03-23
DE	Neuburg an der Donau	11.18709	average	48.73218	05/10/2020, 00:00:00
ID	Randudongkal	109.3243	average	-7.0981	31 Dec 2013
ES	Las Gabias	-3.67029	excellent	37.13548	02 Apr 2014
US	Lakewood	-81.79819	accep	41.48199	2017-10-26
IL	Ramla	34.86563	good	31.92923	14 Jun 2022
MM	Dawei	98.19151	accep	14.0823	15 Oct 2014
AR	Barracas	-58.38341	accep	-34.64966	2021-05-05
US	West Chester	-75.60804	excellent	39.96097	19 Jul 2019
AO	Luena	19.91667	good	-11.78333	2021-04-30
SV	Ilopango	-89.10944	accep	13.70167	2021-10-12
CA	Pointe-Claire	-73.81669	good	45.44868	2015/07/08
NL	Schiebroek	4.47124	excellent	51.95838	2020/06/11
IN	Madhipura	86.79271	excellent	25.92127	2021/02/15
DE	Barmbek-Nord	10.03988	good	53.6052	04/20/2021, 00:00:00
BR	Imbituba	-48.67028	accep	-28.24	2014-01-17
DE	Oschatz	13.10984	average	51.30001	28 Feb 2020
DZ	Messaad	3.50309	excellent	34.15429	2020-08-07
FR	Quimper	-4.1	good	48	17 Jun 2020
US	Boston	-71.05977	average	42.35843	2016-06-14
VE	La Victoria	-67.33122	excellent	10.22677	26 Aug 2017
IN	Aistala	88.58	excellent	23.18	2013/06/06
US	Bothell	-122.2054	good	47.76232	2019/04/28
IT	Ragusa	14.72443	good	36.92574	2021/08/06
FR	Fontenay-aux-Roses	2.29275	maintenance	48.79325	2014/06/27
MX	Zacoalco de Torres	-103.5687	accep	20.22816	2019/04/06
DE	Rudolstadt	11.34046	maintenance	50.72043	15 Oct 2019
US	Santa Maria	-120.43572	accep	34.95303	2020-11-15
DE	Rudolstadt	11.34046	good	50.72043	2021-10-24
GN	Camayenne	-13.68778	good	9.535	26 Sep 2019
JP	Namerikawa	137.36215	building	36.75965	20 Aug 2015
MX	Zacoalco de Torres	-103.5687	excellent	20.22816	10/23/2021, 00:00:00
IN	Sojat	73.66633	maintenance	25.92493	2016-04-01
CN	Changzhi	111.73861	good	35.20889	2016/04/26
ES	Gandia	-0.18333	average	38.96667	2013-08-01
RS	Sremska Mitrovica	19.61222	good	44.97639	2017/01/27
EC	Milagro	-79.59415	average	-2.13404	31 Jul 2016
FR	Arles	4.63031	average	43.67681	10/17/2012, 00:00:00
US	Pottstown	-75.64963	accep	40.24537	2013/05/12
US	Sterling	-77.4286	average	39.00622	08/06/2022, 00:00:00
MX	Salvatierra	-100.88023	average	20.21322	07/13/2013, 00:00:00
BJ	Tchaourou	2.59753	accep	8.88649	2019-08-10
JP	Inawashiro	140.11667	building	37.56667	2018-10-24
DE	Bensheim	8.61839	excellent	49.68369	2018/03/01
PK	Sangla Hill	73.38333	building	31.71667	06/28/2019, 00:00:00
RU	Saraktash	56.36091	building	51.78771	2014-10-23
DE	Trossingen	8.64409	good	48.07667	2019-11-13
PK	Tharu Shah	68.11759	accep	26.9423	09/16/2022, 00:00:00
GB	Rutherglen	-4.21376	good	55.82885	2016-08-03
PE	Yunguyo	-69.08333	accep	-16.25	14 Jan 2021
US	North Lauderdale	-80.22588	average	26.2173	04 May 2018
US	North Tustin	-117.79394	good	33.76446	2019-07-19
RU	Kachkanar	59.4839	excellent	58.7002	23 Sep 2019
ES	Gernika-Lumo	-2.68333	excellent	43.31667	04 Aug 2018
PK	Larkana	68.21204	building	27.55898	2012/10/08
US	Redding	-122.39168	good	40.58654	09/08/2022, 00:00:00
CH	Onex	6.10237	excellent	46.18396	2019-11-25
DE	Burscheid	7.11393	maintenance	51.08468	2022/04/17
TH	Thap Than	99.89166	building	15.46063	26 Mar 2017
US	Huntley	-88.42814	building	42.16808	12 Dec 2012
DZ	Frenda	1.04945	good	35.06544	2019/04/27
MA	Temara	-6.90656	good	33.92866	15 Mar 2015
CN	Yanliang	109.22921	building	34.65918	2015/04/19
US	Hutchinson	-97.92977	good	38.06084	09/10/2022, 00:00:00
BR	Miracema	-42.19667	good	-21.41222	2022-02-28
EG	Alexandria	29.91582	excellent	31.20176	2021-07-01
RU	Bavly	53.26023	average	54.39304	2022/01/05
CN	Haicheng	122.74754	accep	40.85158	2013/10/15
US	Coralville	-91.58045	accep	41.6764	2018/12/05
US	Nutley	-74.15987	accep	40.82232	2015-08-09
JP	Motomachi	144.09638	accep	43.82634	2017-04-24
BR	Santa Gertrudes	-47.53028	accep	-22.45667	22 Nov 2018
US	Lakewood	-81.79819	average	41.48199	09/04/2019, 00:00:00
RU	Bavly	53.26023	average	54.39304	10/26/2014, 00:00:00
AU	Carindale	153.10236	accep	-27.50578	2018-10-05
BR	Barra dos Coqueiros	-37.03861	good	-10.90889	04/16/2014, 00:00:00
ME	Budva	18.84	maintenance	42.28639	04 Feb 2022
EE	Narva	28.19028	maintenance	59.37722	2021-10-27
DJ	'Ali Sabieh	42.7125	excellent	11.15583	2018/10/09
CM	Tonga	10.7	accep	4.96667	2021-02-18
PH	La Trinidad	120.5875	average	16.455	28 Apr 2013
IN	Betamcherla	78.14797	accep	15.45144	06/17/2018, 00:00:00
FR	Elbeuf	1.00288	building	49.28669	2018/03/19
FR	Saint-Omer	2.25	good	50.75	2017/06/18
GB	Lancing	-0.32247	good	50.82882	2015/07/17
CM	Idenao	9.00472	excellent	4.2475	2014-09-11
FR	Bobigny	2.45012	excellent	48.90982	2019/09/02
NL	Barneveld	5.58472	good	52.14	2018-12-02
RU	Saraktash	56.36091	accep	51.78771	01/08/2022, 00:00:00
MX	Jocotepec	-103.42897	accep	20.28527	2021-12-10
GB	Rutherglen	-4.21376	excellent	55.82885	02 Feb 2015
IN	Aklera	76.56719	average	24.41288	2018-06-06
MX	Heroica Matamoros	-97.50417	good	25.87972	05 Feb 2016
DZ	Thenia	3.55665	excellent	36.72544	04 Apr 2018
CZ	Most	13.63617	building	50.50301	29 Oct 2015
IN	Parola	75.11937	average	20.88098	27 Feb 2020
ES	Talavera de la Reina	-4.83076	average	39.96348	2017-01-16
IN	Udumalaippettai	77.24779	excellent	10.58806	2022-05-20
FR	Elbeuf	1.00288	average	49.28669	2019/04/01
US	Hutto	-97.54667	maintenance	30.5427	10/04/2017, 00:00:00
JP	Annaka	138.89585	excellent	36.33011	12/02/2013, 00:00:00
DE	Wesseling	6.9747	building	50.82709	2017-01-18
US	Tyler	-95.30106	average	32.35126	04 Oct 2021
MY	Teluk Intan	101.02083	accep	4.02219	2021/08/19
US	Venice	-82.45426	good	27.09978	10/25/2016, 00:00:00
GB	Strood	0.47713	maintenance	51.39323	28 Apr 2014
GB	Westbury	-2.1875	average	51.26	09/25/2019, 00:00:00
JP	Komono	136.51667	accep	35	2016-06-17
US	Schererville	-87.45476	accep	41.47892	29 Feb 2016
DE	Bad Segeberg	10.30215	average	53.94313	2015/05/30
PH	Cebu City	123.89071	building	10.31672	2014/10/22
CO	Andes	-75.87877	maintenance	5.6561	2014/02/06
US	Kaukauna	-88.27205	building	44.27804	2013-09-11
CN	Zhuangyuan	120.82747	good	37.30553	2012/12/20
PE	Chosica	-76.70944	average	-11.94306	2013/09/05
US	Lebanon	-84.20299	average	39.43534	2015/07/22
US	Yonkers	-73.89875	average	40.93121	12/25/2016, 00:00:00
CN	Haicheng	122.74754	average	40.85158	2016-06-13
ID	Majene	118.9707	average	-3.5403	2022/06/08
PE	Chosica	-76.70944	excellent	-11.94306	2016/01/17
TH	Bang Ban	100.48528	good	14.37395	2018/11/07
CN	Beidao	105.89333	good	34.56861	2015/06/03
NL	Hardenberg	6.61944	accep	52.57583	2019/06/23
UA	Hlukhiv	33.9162	accep	51.67822	28 Feb 2017
TZ	Magomeni	39.25	maintenance	-6.8	2015/03/08
GB	Exeter	-3.52751	average	50.7236	01/28/2018, 00:00:00
CO	Buenaventura	-77.03116	accep	3.8801	06/26/2021, 00:00:00
RU	Ishim	69.49015	accep	56.11281	09/04/2020, 00:00:00
CN	Zaozhuang	117.55417	maitennce	34.86472	31 Jul 2020
CF	Carnot	15.87735	good	4.94273	2014-05-24
IN	Udumalaippettai	77.24779	accep	10.58806	2016-12-30
KH	Paoy Paet	102.56365	maitennce	13.65805	2013-10-30
US	Far Rockaway	-73.75513	average	40.60538	07/09/2021, 00:00:00
CO	Puerto Colombia	-74.95472	good	10.98778	02/10/2014, 00:00:00
DE	Gauting	11.37703	average	48.06919	19 Jan 2015
TH	Tak Bai	102.05461	accep	6.25947	03/30/2020, 00:00:00
UA	Zvenihorodka	30.96755	accep	49.07866	2021/01/09
CA	Sainte-Catherine	-73.58248	excellent	45.40008	2015/10/17
DE	Weimar	11.32903	average	50.9803	03/19/2020, 00:00:00
UA	Artsyz	29.41824	excellent	45.99194	2013/02/05
CN	Zhoucun	117.81667	maintenance	36.81667	11 May 2021
SL	Freetown	-13.2356	acceptable	8.48714	2017-11-26
LT	Alytus	24.04142	good	54.39635	05/31/2022, 00:00:00
BR	Curitiba	-49.27306	average	-25.42778	24 Apr 2021
AR	Aguilares	-65.61427	accep	-27.4338	2020-08-27
ID	Diwek	112.23109	accep	-7.57897	13 Aug 2018
NA	Okahandja	16.91667	accep	-21.98333	11/20/2020, 00:00:00
AU	Maryborough	152.70493	average	-25.54073	11/10/2015, 00:00:00
DZ	El Achir	4.62744	maintenance	36.06386	26 Sep 2015
MX	Jocotepec	-103.42897	accep	20.28527	2014-12-30
IN	Betamcherla	78.14797	good	15.45144	31 Jan 2020
ID	Diwek	112.23109	good	-7.57897	28 Jun 2014
