QoS	revision	latitude	longitude	location	code
maintenance	2018/03/31	-37.32167	-59.13316	America/Argentina/Buenos_Aires	AR
good	18 Dec 2014	28.54944	-81.77285	America/New_York	US
acceptable	13 Jun 2022	16.68911	98.50893	Asia/Yangon	MM
building	2016-09-10	53.43333	-7.95	Europe/Dublin	IE
good	2017-12-10	47.56494	31.33078	Europe/Kiev	UA
excellent	2012-10-20	-6.8048	110.8405	Asia/Jakarta	ID
accep	2017/05/19	36.33011	138.89585	Asia/Tokyo	JP
average	2021/01/29	7.06273	-1.4001	Africa/Accra	GH
building	09 Sep 2020	-7.54972	110.71639	Asia/Jakarta	ID
maintenance	06/13/2014, 00:00:00	-19.32556	-41.25528	America/Sao_Paulo	BR
good	2013-04-04	43.41949	77.0202	Asia/Almaty	KZ
excellent	12 Mar 2018	51.30001	13.10984	Europe/Berlin	DE
accep	09/01/2015, 00:00:00	32.57756	71.52847	Asia/Karachi	PK
accep	26 Mar 2015	-33.79176	151.08057	Australia/Sydney	AU
good	07/08/2016, 00:00:00	15.48131	-86.57415	America/Tegucigalpa	HN
excellent	2019/11/06	53.83333	-2.98333	Europe/London	GB
maintenance	2016/05/14	44.22639	22.53083	Europe/Belgrade	RS
accep	20 Oct 2018	54.39304	53.26023	Europe/Moscow	RU
average	2015/12/17	53.30972	83.62389	Asia/Barnaul	RU
average	07/07/2021, 00:00:00	-5.41667	38.01667	Africa/Dar_es_Salaam	TZ
average	2017-10-23	49.28669	1.00288	Europe/Paris	FR
average	2019-07-10	51.20219	7.36027	Europe/Berlin	DE
accep	05/14/2022, 00:00:00	-11.94306	-76.70944	America/Lima	PE
good	05 Mar 2013	-1.63333	13.58357	Africa/Libreville	GA
average	06/08/2022, 00:00:00	39.00622	-77.4286	America/New_York	US
average	28 Apr 2020	60.18427	24.95034	Europe/Helsinki	FI
excellent	21 Jul 2015	41.24264	16.50104	Europe/Rome	IT
good	25 Apr 2016	55.75556	60.70278	Asia/Yekaterinburg	RU
good	2017/07/25	3.7278	98.6738	Asia/Jakarta	ID
accep	10/29/2018, 00:00:00	35.06544	1.04945	Africa/Algiers	DZ
good	2020-05-13	3.8801	-77.03116	America/Bogota	CO
maintenance	2020/11/08	50.79205	-1.08593	Europe/London	GB
average	12/31/2021, 00:00:00	49.68369	8.61839	Europe/Berlin	DE
excellent	02/26/2019, 00:00:00	41.63976	2.35739	Europe/Madrid	ES
accep	03/14/2019, 00:00:00	57.47908	-4.22398	Europe/London	GB
average	2019/02/21	53.38333	-0.76667	Europe/London	GB
excellent	06/30/2015, 00:00:00	54.60528	18.34717	Europe/Warsaw	PL
excellent	08/05/2020, 00:00:00	22.88783	84.13864	Asia/Kolkata	IN
building	01/07/2019, 00:00:00	15.46063	99.89166	Asia/Bangkok	TH
good	2020/08/15	38.68712	-4.10734	Europe/Madrid	ES
accep	2016/04/08	36.33011	138.89585	Asia/Tokyo	JP
excellent	30 Dec 2020	51.78771	56.36091	Asia/Yekaterinburg	RU
excellent	25 Apr 2013	-0.71667	-48.52333	America/Belem	BR
building	2020/09/28	41.16704	-73.20483	America/New_York	US
good	2021-04-04	48.52961	12.16179	Europe/Berlin	DE
accep	12/08/2013, 00:00:00	51.44889	5.51978	Europe/Amsterdam	NL
average	30 Nov 2016	44.59445	11.04979	Europe/Rome	IT
excellent	08/26/2022, 00:00:00	40.55851	17.80774	Europe/Rome	IT
excellent	2016/01/13	39.32011	-76.51552	America/New_York	US
average	2020-03-21	-28.24	-48.67028	America/Sao_Paulo	BR
accep	2016-12-03	51.19139	6.51352	Europe/Berlin	DE
good	2022-07-19	45.53069	9.40531	Europe/Rome	IT
average	2021-02-25	51.35084	-1.99421	Europe/London	GB
accep	09 Nov 2017	11.8659	34.3869	Africa/Khartoum	SD
maintenance	2022-01-18	38.54491	-121.74052	America/Los_Angeles	US
excellent	2022/06/22	-0.71667	-48.52333	America/Belem	BR
accep	04 Apr 2018	50.82709	6.9747	Europe/Berlin	DE
average	03/06/2019, 00:00:00	-12.91667	-39.25	America/Bahia	BR
excellent	2013/09/06	3.7278	98.6738	Asia/Jakarta	ID
average	08 Nov 2020	38.07789	13.44275	Europe/Rome	IT
excellent	10 Apr 2019	43.86682	-79.2663	America/Toronto	CA
excellent	2021/01/04	35.82756	137.95378	Asia/Tokyo	JP
good	01/23/2015, 00:00:00	36.27462	4.85668	Africa/Algiers	DZ
maintenance	28 Nov 2014	-1.63333	13.58357	Africa/Libreville	GA
good	03 May 2019	42.35843	-71.05977	America/New_York	US
accep	2016/04/07	35.48199	137.02166	Asia/Tokyo	JP
excellent	2019/11/14	14.53767	46.83187	Asia/Aden	YE
accep	2018-05-12	44.59445	11.04979	Europe/Rome	IT
average	2015/02/22	29.53885	-95.44744	America/Chicago	US
good	01/11/2015, 00:00:00	18.87813	72.93924	Asia/Kolkata	IN
excellent	10/19/2018, 00:00:00	33.95015	-118.03917	America/Los_Angeles	US
building	2017-08-02	53.51684	-113.3187	America/Edmonton	CA
maintenance	2020-01-31	57.97472	33.2525	Europe/Moscow	RU
good	2022/01/22	8.79577	-75.69947	America/Bogota	CO
average	2015-11-22	33.76446	-117.79394	America/Los_Angeles	US
good	2013-08-13	-4.42472	-41.45861	America/Fortaleza	BR
accep	18 Apr 2014	53.93361	37.92792	Europe/Moscow	RU
accep	2016/04/29	47.90771	106.88324	Asia/Ulaanbaatar	MN
excellent	2022/03/31	55.1904	30.2049	Europe/Minsk	BY
building	09/19/2022, 00:00:00	55.82737	-4.0573	Europe/London	GB
average	2014-03-23	50.80019	7.20769	Europe/Berlin	DE
average	2017-11-30	41.24264	16.50104	Europe/Rome	IT
excellent	12/14/2017, 00:00:00	48.8449	17.22635	Europe/Bratislava	SK
good	01/30/2015, 00:00:00	49.07866	30.96755	Europe/Kiev	UA
good	2015/11/25	37.08819	-8.2503	Europe/Lisbon	PT
excellent	2017/06/06	26.18924	-98.15529	America/Chicago	US
accep	2016-03-03	43.31667	-2.68333	Europe/Madrid	ES
excellent	2015/11/26	-1.6	103.61667	Asia/Jakarta	ID
good	18 Apr 2022	54.03876	43.91385	Europe/Moscow	RU
good	2014/03/27	53.30972	83.62389	Asia/Barnaul	RU
building	08/10/2021, 00:00:00	41.27621	-72.86843	America/New_York	US
accep	01/19/2017, 00:00:00	43.78956	7.60872	Europe/Rome	IT
excellent	12/24/2016, 00:00:00	14.64056	104.64992	Asia/Bangkok	TH
excellent	2014-11-29	33.4425	129.96972	Asia/Tokyo	JP
excellent	2017-01-18	47.64995	-117.23991	America/Los_Angeles	US
good	2015/06/21	37.52487	-77.55777	America/New_York	US
building	2021/04/23	17.30858	97.01124	Asia/Yangon	MM
good	2021-04-11	-11.78333	19.91667	Africa/Luanda	AO
accep	02 Jan 2013	5.84752	-5.682	Africa/Abidjan	CI
accep	2016-03-11	41.09822	120.74792	Asia/Shanghai	CN
accep	12/02/2015, 00:00:00	42.55308	-87.93341	America/Chicago	US
accep	04/29/2018, 00:00:00	51.08468	7.11393	Europe/Berlin	DE
accep	11/13/2020, 00:00:00	50.11861	-5.53715	Europe/London	GB
accep	2014-12-22	57.14369	-2.09814	Europe/London	GB
excellent	2015-05-02	13.48082	-86.58208	America/Managua	NI
average	2019-03-05	14.64056	104.64992	Asia/Bangkok	TH
accep	2016-11-13	50.79205	-1.08593	Europe/London	GB
excellent	05/01/2019, 00:00:00	49.41029	38.15035	Europe/Zaporozhye	UA
accep	05/01/2016, 00:00:00	23.1959	86.51499	Asia/Kolkata	IN
excellent	04 Apr 2018	35.85	117.7	Asia/Shanghai	CN
average	02/12/2019, 00:00:00	36.06523	-119.01677	America/Los_Angeles	US
building	2020/03/26	38.58894	-89.99038	America/Chicago	US
building	2021-09-14	36	139.55722	Asia/Tokyo	JP
average	10 Mar 2018	31.84568	-102.36764	America/Chicago	US
accep	2013-04-02	33.35283	-111.78903	America/Phoenix	US
accep	2015-06-05	27.0174	49.62251	Asia/Riyadh	SA
accep	26 Mar 2014	40.70995	0.57856	Europe/Madrid	ES
accep	01 Jan 2021	26.2649	81.54855	Asia/Kolkata	IN
good	2018/05/05	13.73417	-89.71472	America/El_Salvador	SV
excellent	2018-10-23	21.34222	71.30633	Asia/Kolkata	IN
accep	24 Sep 2017	40.87363	14.34085	Europe/Rome	IT
average	2021-07-24	5.84752	-5.682	Africa/Abidjan	CI
maintenance	2019/09/17	47.80527	-122.24064	America/Los_Angeles	US
accep	05/01/2022, 00:00:00	34.31	-2.16	Africa/Casablanca	MA
excellent	09/04/2017, 00:00:00	55.1904	30.2049	Europe/Minsk	BY
accep	02/24/2015, 00:00:00	51.78771	56.36091	Asia/Yekaterinburg	RU
good	22 Jun 2020	50.56149	4.69889	Europe/Brussels	BE
good	22 Mar 2013	35.88264	-80.08199	America/New_York	US
building	2020-03-25	29.22254	79.5286	Asia/Kolkata	IN
good	22 Jun 2013	11.00599	77.5609	Asia/Kolkata	IN
good	2016/10/14	39.46667	141.95	Asia/Tokyo	JP
excellent	2012/12/17	11.15583	42.7125	Africa/Djibouti	DJ
maintenance	10 Jul 2013	-7.54972	110.71639	Asia/Jakarta	ID
accep	2021-12-11	36.21544	65.93249	Asia/Kabul	AF
maintenance	03 Apr 2020	51.39323	0.47713	Europe/London	GB
excellent	11 Jul 2018	23.07492	88.28637	Asia/Kolkata	IN
good	2013/07/12	-10.91722	-37.65	America/Maceio	BR
accep	07/31/2022, 00:00:00	38.10558	-1.86343	Europe/Madrid	ES
average	2021/11/10	42.64685	-5.55835	Europe/Madrid	ES
accep	07/29/2017, 00:00:00	20.88953	-156.47432	Pacific/Honolulu	US
average	2015-06-24	10.13361	124.84472	Asia/Manila	PH
accep	01/31/2021, 00:00:00	-6.91806	106.92667	Asia/Jakarta	ID
average	06/15/2016, 00:00:00	50.7236	-3.52751	Europe/London	GB
good	2013/08/13	52.61131	13.31783	Europe/Berlin	DE
maintenance	19 Nov 2019	-8.43333	114.33333	Asia/Jakarta	ID
good	22 Jul 2021	41.47892	-87.45476	America/Chicago	US
maintenance	01/30/2013, 00:00:00	36.24624	139.07204	Asia/Tokyo	JP
accep	09/23/2017, 00:00:00	51.65	-0.2	Europe/London	GB
accep	10 Sep 2018	32.44874	-99.73314	America/Chicago	US
accep	04/01/2017, 00:00:00	16.75973	-93.11308	America/Mexico_City	MX
excellent	2019-12-06	36.81667	117.81667	Asia/Shanghai	CN
average	27 Jul 2021	29.38242	70.91106	Asia/Karachi	PK
good	27 Jul 2019	38.96372	-76.99081	America/New_York	US
building	2017-01-23	40.87363	14.34085	Europe/Rome	IT
good	2018/05/24	6.15038	6.83042	Africa/Lagos	NG
accep	11/20/2017, 00:00:00	10.29085	105.75635	Asia/Ho_Chi_Minh	VN
accep	04 Apr 2022	-10.91111	-37.07167	America/Maceio	BR
accep	09/27/2019, 00:00:00	53.95278	32.86389	Europe/Moscow	RU
accep	08/09/2014, 00:00:00	52.59319	13.32127	Europe/Berlin	DE
building	05 Sep 2015	36.91023	-121.75689	America/Los_Angeles	US
excellent	2018/05/01	10.13361	124.84472	Asia/Manila	PH
good	05/30/2016, 00:00:00	0.76755	24.43973	Africa/Lubumbashi	CD
excellent	20 Mar 2014	45.69558	4.7934	Europe/Paris	FR
good	2014-10-20	49.5099	6.74549	Europe/Berlin	DE
accep	2013/04/26	41.1053	-7.32097	Europe/Lisbon	PT
accep	2017/05/05	40.66482	122.22833	Asia/Shanghai	CN
accep	02/10/2020, 00:00:00	28.71271	77.656	Asia/Kolkata	IN
accep	2020-04-20	27.71809	-82.35176	America/New_York	US
excellent	10/06/2018, 00:00:00	23.29549	113.82465	Asia/Shanghai	CN
excellent	09 Aug 2017	16.455	120.5875	Asia/Manila	PH
accep	30 Aug 2022	43.61058	1.33467	Europe/Paris	FR
maintenance	17 Jul 2022	41.66394	-83.55521	America/New_York	US
average	08/12/2019, 00:00:00	45.73333	4.91667	Europe/Paris	FR
average	2020-03-01	12.1277	78.15794	Asia/Kolkata	IN
maintenance	2018-04-20	36.20389	127.08472	Asia/Seoul	KR
good	17 Nov 2015	39.72943	-104.83192	America/Denver	US
excellent	27 Jun 2013	27.0174	49.62251	Asia/Riyadh	SA
good	2022/04/07	51.78967	1.15597	Europe/London	GB
accep	2019/08/31	25.67927	-80.31727	America/New_York	US
excellent	2021/06/29	41.66394	-83.55521	America/New_York	US
accep	2021/08/27	36.21544	65.93249	Asia/Kabul	AF
average	26 Aug 2018	10.22677	-67.33122	America/Caracas	VE
good	05 Oct 2012	55.54028	89.20083	Asia/Krasnoyarsk	RU
accep	2021-11-11	30.29184	71.67164	Asia/Karachi	PK
accep	24 Dec 2013	44.31771	9.32241	Europe/Rome	IT
average	01/20/2020, 00:00:00	-19.65	47.31667	Indian/Antananarivo	MG
average	2018-03-16	20.88953	-156.47432	Pacific/Honolulu	US
excellent	2014/04/24	55.67938	12.53463	Europe/Copenhagen	DK
acceptable	12/03/2019, 00:00:00	51.14942	15.00835	Europe/Warsaw	PL
average	2014/08/26	59.80917	30.38167	Europe/Moscow	RU
excellent	2013/07/03	-25.42944	-50.00639	America/Sao_Paulo	BR
accep	16 Sep 2015	-32.05251	115.88782	Australia/Perth	AU
good	06/13/2016, 00:00:00	48.35693	10.98461	Europe/Berlin	DE
good	2014/05/08	-1.26753	116.82887	Asia/Makassar	ID
good	2021-11-17	51.39148	-0.29825	Europe/London	GB
maintenance	2020/02/23	-0.35817	42.54536	Africa/Mogadishu	SO
excellent	30 Mar 2017	0.49113	29.47306	Africa/Lubumbashi	CD
average	04/26/2015, 00:00:00	6.8485	3.64633	Africa/Lagos	NG
excellent	2020/11/19	37.35813	-6.03731	Europe/Madrid	ES
excellent	14 Aug 2013	0.03813	36.36339	Africa/Nairobi	KE
excellent	2021-10-11	0.76755	24.43973	Africa/Lubumbashi	CD
good	08 Sep 2021	13.51825	99.95469	Asia/Bangkok	TH
maintenance	02/05/2014, 00:00:00	41.24255	-82.61573	America/New_York	US
good	21 Mar 2019	28.90054	-81.26367	America/New_York	US
accep	2020/03/12	47.90771	106.88324	Asia/Ulaanbaatar	MN
maintenance	2017-01-19	41.63976	2.35739	Europe/Madrid	ES
average	2020/06/03	29.65163	-82.32483	America/New_York	US
accep	2020-09-02	23.02677	113.13148	Asia/Shanghai	CN
accep	2018/12/05	-1.26753	116.82887	Asia/Makassar	ID
excellent	12 Feb 2016	55.67938	12.53463	Europe/Copenhagen	DK
accep	15 Oct 2015	16.06213	76.0586	Asia/Kolkata	IN
average	2020-04-22	48.06919	11.37703	Europe/Berlin	DE
excellent	12 Nov 2019	40.65995	-111.99633	America/Denver	US
good	05/26/2015, 00:00:00	50.11861	-5.53715	Europe/London	GB
average	2013/09/06	36.64852	51.49621	Asia/Tehran	IR
average	10/03/2021, 00:00:00	43.83125	5.03586	Europe/Paris	FR
good	2016/07/08	13.44581	101.18445	Asia/Bangkok	TH
accep	2012/11/18	6.84019	79.87116	Asia/Colombo	LK
average	02/13/2022, 00:00:00	41.27621	-72.86843	America/New_York	US
building	08 Apr 2013	51.84819	1.26738	Europe/London	GB
good	2016/09/28	41.15612	1.10687	Europe/Madrid	ES
maintenance	11 Feb 2017	8.88649	2.59753	Africa/Porto-Novo	BJ
building	2018/06/04	35	136.51667	Asia/Tokyo	JP
average	03/23/2022, 00:00:00	10.66668	-61.51889	America/Port_of_Spain	TT
good	2014/05/05	28.71271	77.656	Asia/Kolkata	IN
acceptable	28 Jan 2013	20.21322	-100.88023	America/Mexico_City	MX
good	25 Jul 2020	-32.45242	-71.23106	America/Santiago	CL
excellent	05/27/2019, 00:00:00	53.00974	-3.05814	Europe/London	GB
maintenance	01/03/2016, 00:00:00	41.20485	-8.33147	Europe/Lisbon	PT
excellent	16 Mar 2018	46.7055	38.2739	Europe/Moscow	RU
accep	2015-06-15	43.54072	-116.56346	America/Boise	US
excellent	2014/02/02	2.2139	102.3278	Asia/Kuala_Lumpur	MY
average	2019/08/29	55.63711	37.38115	Europe/Moscow	RU
average	24 Jul 2018	40.82232	-74.15987	America/New_York	US
good	24 Dec 2019	50.76306	-1.29772	Europe/London	GB
maintenance	01/07/2018, 00:00:00	28.98002	77.70636	Asia/Kolkata	IN
average	08/02/2018, 00:00:00	10.63504	-85.43772	America/Costa_Rica	CR
good	13 Jan 2018	6.84019	79.87116	Asia/Colombo	LK
excellent	2014/04/10	37.13548	-3.67029	Europe/Madrid	ES
excellent	13 Mar 2018	33.45122	-86.99666	America/Chicago	US
good	2018-01-19	49.28669	1.00288	Europe/Paris	FR
good	04 Aug 2016	41.57721	-93.71133	America/Chicago	US
average	2019-04-12	41.94175	123.50266	Asia/Shanghai	CN
excellent	11/05/2018, 00:00:00	50.8	3.16667	Europe/Brussels	BE
excellent	2020-08-04	39.78504	-85.76942	America/Indiana/Indianapolis	US
maintenance	2016/12/24	45.40008	-73.58248	America/Toronto	CA
good	27 May 2015	51.67822	33.9162	Europe/Kiev	UA
good	2015/05/22	18.00747	-76.78319	America/Jamaica	JM
average	2013-12-14	42.62833	20.89389	Europe/Belgrade	XK
excellent	2021/06/01	29.21399	78.95693	Asia/Kolkata	IN
maintenance	2016/04/27	-17.74431	-48.62789	America/Sao_Paulo	BR
maintenance	05 Apr 2013	46.08333	122.08333	Asia/Shanghai	CN
excellent	2017-12-20	39.00622	-77.4286	America/New_York	US
excellent	2022-09-27	-21.42917	-45.94722	America/Sao_Paulo	BR
excellent	30 May 2018	43.1122	12.38878	Europe/Rome	IT
building	2016-06-24	55.38752	36.73307	Europe/Moscow	RU
good	2013-04-02	43.50891	16.43915	Europe/Zagreb	HR
building	26 Mar 2013	26.9423	68.11759	Asia/Karachi	PK
average	2012/12/10	9.535	-13.68778	Africa/Conakry	GN
building	09/19/2016, 00:00:00	37.65639	126.835	Asia/Seoul	KR
average	2015-02-10	19.64745	-102.04897	America/Mexico_City	MX
accep	11 Oct 2015	54.52156	9.5586	Europe/Berlin	DE
good	2013/02/04	25.92127	86.79271	Asia/Kolkata	IN
acceptable	2018-03-18	51.19139	6.51352	Europe/Berlin	DE
excellent	01 Oct 2016	44.31771	9.32241	Europe/Rome	IT
building	2022/03/14	18.03496	-66.8499	America/Puerto_Rico	PR
average	2022-02-17	39.09112	-94.41551	America/Chicago	US
excellent	05 Nov 2020	-23.44361	-51.87389	America/Sao_Paulo	BR
good	29 Aug 2013	8.56697	123.33471	Asia/Manila	PH
average	2015/03/28	23.49668	86.68363	Asia/Kolkata	IN
good	17 Sep 2017	36.33011	138.89585	Asia/Tokyo	JP
excellent	2016/08/27	32.57756	71.52847	Asia/Karachi	PK
maintenance	11 Mar 2022	37.58105	29.26639	Europe/Istanbul	TR
accep	2014/12/20	32.35126	-95.30106	America/Chicago	US
good	2017/10/03	54.8421	46.5813	Europe/Moscow	RU
accep	2014-06-03	28.90054	-81.26367	America/New_York	US
maintenance	2022/09/14	51.35084	-1.99421	Europe/London	GB
average	02 Apr 2020	29.22254	79.5286	Asia/Kolkata	IN
accep	06 Sep 2019	31.76212	-95.63079	America/Chicago	US
excellent	12 Nov 2015	43.67681	4.63031	Europe/Paris	FR
excellent	09/03/2015, 00:00:00	33.92946	-116.97725	America/Los_Angeles	US
excellent	2022-09-26	9.82564	78.25795	Asia/Kolkata	IN
excellent	16 Sep 2013	53.77166	38.12408	Europe/Moscow	RU
average	31 Jul 2021	28.88162	120.03308	Asia/Shanghai	CN
accep	12/11/2017, 00:00:00	12.35275	121.06761	Asia/Manila	PH
good	27 Mar 2021	8.43333	99.96667	Asia/Bangkok	TH
excellent	2013/10/14	11.8659	34.3869	Africa/Khartoum	SD
average	05/23/2015, 00:00:00	42	21.32778	Europe/Skopje	MK
excellent	06/06/2017, 00:00:00	-6.8048	110.8405	Asia/Jakarta	ID
good	2019/10/01	40.81	-73.9625	America/New_York	US
accep	2017-06-02	11.93381	79.82979	Asia/Kolkata	IN
excellent	2016-03-08	28.15112	-82.46148	America/New_York	US
excellent	11/04/2016, 00:00:00	-29.2975	-51.50361	America/Sao_Paulo	BR
accep	2020-09-13	35.72917	10.58082	Africa/Tunis	TN
accep	03/12/2018, 00:00:00	-6.8	39.25	Africa/Dar_es_Salaam	TZ
maintenance	04 Apr 2019	30.24706	115.04814	Asia/Shanghai	CN
maintenance	2015-07-17	28.54944	-81.77285	America/New_York	US
accep	2019-04-30	60.2052	24.6522	Europe/Helsinki	FI
maintenance	2015-08-24	37.71715	-122.40433	America/Los_Angeles	US
average	2013/11/05	46.67535	5.55575	Europe/Paris	FR
maintenance	23 Oct 2012	40.72816	-74.07764	America/New_York	US
good	2022/01/23	20.74122	-100.44843	America/Mexico_City	MX
excellent	10/06/2013, 00:00:00	15.72892	120.57224	Asia/Manila	PH
good	09/10/2022, 00:00:00	43.61062	-72.97261	America/New_York	US
excellent	25 Mar 2013	33.43443	-5.22126	Africa/Casablanca	MA
average	2013-03-15	38.96372	-76.99081	America/New_York	US
average	03/06/2020, 00:00:00	8.88649	2.59753	Africa/Porto-Novo	BJ
average	24 Oct 2018	43.35071	46.10925	Europe/Moscow	RU
excellent	2016-04-19	44.75874	19.21437	Europe/Sarajevo	BA
excellent	2012/11/07	53.78333	-1.06667	Europe/London	GB
good	2017-11-25	45.53929	-122.38731	America/Los_Angeles	US
average	07 Jun 2018	42.7	27.25	Europe/Sofia	BG
accep	2021/06/25	23.15678	-81.24441	America/Havana	CU
maintenance	2012/12/27	-17.83333	48.41667	Indian/Antananarivo	MG
average	09/08/2022, 00:00:00	37.52487	-77.55777	America/New_York	US
accep	06/14/2020, 00:00:00	-1.26753	116.82887	Asia/Makassar	ID
excellent	12 Mar 2013	37.73222	115.70111	Asia/Shanghai	CN
excellent	10/17/2019, 00:00:00	36	139.55722	Asia/Tokyo	JP
accep	2022-05-31	40.81	-73.9625	America/New_York	US
excellent	31 Jul 2013	50.5107	18.30056	Europe/Warsaw	PL
excellent	19 Jun 2013	40.82232	-74.15987	America/New_York	US
good	12 Jul 2022	48.77275	5.16108	Europe/Paris	FR
maintenance	2019-03-03	42.35843	-71.05977	America/New_York	US
building	14 Nov 2021	21.28306	-89.66123	America/Merida	MX
building	11/06/2012, 00:00:00	39.96348	-4.83076	Europe/Madrid	ES
excellent	03 Oct 2015	53.5942	25.8191	Europe/Minsk	BY
good	2016/09/25	34.15429	3.50309	Africa/Algiers	DZ
good	2019-10-12	26.91756	-82.07842	America/New_York	US
excellent	04 Oct 2014	40.2737	-76.88442	America/New_York	US
accep	2013/10/12	51.21187	4.25633	Europe/Brussels	BE
accep	04/21/2013, 00:00:00	46.75451	33.34864	Europe/Kiev	UA
accep	01 Oct 2016	21.28306	-89.66123	America/Merida	MX
excellent	09/28/2018, 00:00:00	51.95838	4.47124	Europe/Amsterdam	NL
building	2022/05/01	-34.64167	-60.47389	America/Argentina/Buenos_Aires	AR
accep	2014-09-26	12.25282	79.41727	Asia/Kolkata	IN
accep	2014-02-20	41.55815	-73.0515	America/New_York	US
good	10/19/2017, 00:00:00	0.76755	24.43973	Africa/Lubumbashi	CD
building	22 Dec 2021	4.73245	-74.26419	America/Bogota	CO
excellent	2014/07/22	1.6	103.81667	Asia/Kuala_Lumpur	MY
accep	11/26/2016, 00:00:00	33.50921	-111.89903	America/Phoenix	US
accep	2016/01/26	51.64316	-0.36053	Europe/London	GB
good	2021-03-18	-27.76952	30.79165	Africa/Johannesburg	ZA
average	2022-02-19	27.92333	118.53333	Asia/Shanghai	CN
maintenance	2020/03/03	50.5107	18.30056	Europe/Warsaw	PL
accep	2017/11/28	10.29085	105.75635	Asia/Ho_Chi_Minh	VN
accep	2019-08-23	45.51667	4.86667	Europe/Paris	FR
average	03/19/2015, 00:00:00	43.61062	-72.97261	America/New_York	US
accep	2018/11/28	-17.74431	-48.62789	America/Sao_Paulo	BR
excellent	2019-12-20	50.64336	7.2278	Europe/Berlin	DE
average	06 Mar 2022	45.50369	11.412	Europe/Rome	IT
maintenance	2013-08-20	45.53069	9.40531	Europe/Rome	IT
good	2014-06-15	20.74122	-100.44843	America/Mexico_City	MX
average	14 Oct 2014	42.8334	-80.38297	America/Toronto	CA
accep	2014-10-01	43.96222	43.63417	Europe/Moscow	RU
excellent	02/09/2022, 00:00:00	29.22254	79.5286	Asia/Kolkata	IN
good	2014-04-18	29.65163	-82.32483	America/New_York	US
excellent	02/27/2018, 00:00:00	39.72943	-104.83192	America/Denver	US
average	2022-07-13	39.32288	-76.72803	America/New_York	US
good	2020/07/09	53.53333	-7.35	Europe/Dublin	IE
excellent	2021-04-11	31.12406	-97.90308	America/Chicago	US
accep	2019-10-05	50.64336	7.2278	Europe/Berlin	DE
building	2018/03/15	30.46907	70.96699	Asia/Karachi	PK
average	2019-01-10	46.1351	-60.1831	America/Glace_Bay	CA
accep	28 May 2017	55.54028	89.20083	Asia/Krasnoyarsk	RU
excellent	2021/11/15	32.54044	-82.90375	America/New_York	US
good	2018-09-16	26.2649	81.54855	Asia/Kolkata	IN
building	24 Jul 2021	44.89784	8.86374	Europe/Rome	IT
average	2019/12/11	-33.75881	150.99292	Australia/Sydney	AU
excellent	2014/10/08	58.23583	92.48278	Asia/Krasnoyarsk	RU
good	2018-07-06	14.62072	74.83554	Asia/Kolkata	IN
excellent	02 Sep 2014	39.72943	-104.83192	America/Denver	US
maintenance	2016-08-23	51.42708	-0.91979	Europe/London	GB
average	17 Mar 2013	36.53333	136.61667	Asia/Tokyo	JP
average	12/22/2018, 00:00:00	41.75338	-86.11084	America/Indiana/Indianapolis	US
excellent	07/06/2015, 00:00:00	40.34912	-111.90466	America/Denver	US
accep	08 Feb 2019	42.819	47.1192	Europe/Moscow	RU
accep	05/14/2022, 00:00:00	-37.9	145.18333	Australia/Melbourne	AU
building	2022-09-20	-6.25	38.66667	Africa/Dar_es_Salaam	TZ
maintenance	2018-09-29	-19.7625	-44.31389	America/Sao_Paulo	BR
accep	27 Nov 2019	39.08367	-84.50855	America/New_York	US
good	2018-08-05	40.98894	28.67582	Europe/Istanbul	TR
accep	2015-10-07	40.65538	-74.38987	America/New_York	US
good	2014-06-16	-23.85972	35.34722	Africa/Maputo	MZ
building	05/27/2019, 00:00:00	23.9028	89.11943	Asia/Dhaka	BD
accep	2018/09/27	-3.14306	-58.44417	America/Manaus	BR
building	10 May 2015	0.76755	24.43973	Africa/Lubumbashi	CD
maintenance	2013-03-10	18.03496	-66.8499	America/Puerto_Rico	PR
excellent	2021-09-02	34.56861	105.89333	Asia/Shanghai	CN
maintenance	10/04/2013, 00:00:00	45.53929	-122.38731	America/Los_Angeles	US
good	2020/11/07	51.40944	46.04833	Europe/Saratov	RU
good	21 Apr 2015	31.20176	29.91582	Africa/Cairo	EG
maintenance	11/19/2019, 00:00:00	32.54044	-82.90375	America/New_York	US
accep	01 Aug 2014	42.7392	-84.62081	America/Detroit	US
accep	2017/02/16	51.19139	6.51352	Europe/Berlin	DE
maintenance	2013/05/09	39.32011	-76.51552	America/New_York	US
building	12/07/2015, 00:00:00	37.30553	120.82747	Asia/Shanghai	CN
average	2014-09-23	44.35056	142.45778	Asia/Tokyo	JP
maintenance	28 May 2016	30.16688	-96.39774	America/Chicago	US
accep	2018-05-29	53.16167	6.76111	Europe/Amsterdam	NL
average	2013-08-27	7.62789	4.74161	Africa/Lagos	NG
maintenance	2016-02-22	13.65805	102.56365	Asia/Phnom_Penh	KH
average	2014-05-10	44.97639	19.61222	Europe/Belgrade	RS
building	09/30/2021, 00:00:00	39.78504	-85.76942	America/Indiana/Indianapolis	US
excellent	15 Jul 2021	16.68911	98.50893	Asia/Yangon	MM
good	2019/10/22	12.95629	78.27539	Asia/Kolkata	IN
accep	01/18/2017, 00:00:00	54.58048	16.86194	Europe/Warsaw	PL
accep	2020/03/17	33.35283	-111.78903	America/Phoenix	US
