location	longitude	QoS	revision	code	latitude
America/Fortaleza	-41.45861	good	2022/01/16	BR	-4.42472
Asia/Kolkata	73.66633	excellent	03 Jan 2013	IN	25.92493
Asia/Tashkent	69.67639	excellent	2020/10/23	UZ	41.29444
Asia/Shanghai	114.51667	accep	2013/12/13	CN	33.78333
Asia/Kolkata	76.03889	building	2021/12/26	IN	18.18158
Europe/Bucharest	26.01649	average	2019/05/25	RO	44.43579
Europe/Copenhagen	12.53463	accep	2013/10/23	DK	55.67938
Europe/Paris	5.4384	average	09 Aug 2020	FR	43.2907
Asia/Dili	125.21972	maintenance	03 Apr 2013	TL	-8.99167
Europe/Berlin	6.74549	accep	2015-10-24	DE	49.5099
America/Bogota	-75.87877	average	2019/04/06	CO	5.6561
Asia/Shanghai	113.82465	accep	10/17/2017, 00:00:00	CN	23.29549
America/Managua	-86.19903	maintenance	2018/12/18	NI	11.84962
Europe/Rome	13.39954	accep	27 Oct 2020	IT	43.62558
America/Los_Angeles	-122.40433	accep	15 Jun 2022	US	37.71715
Europe/Brussels	4.21372	good	22 Jul 2017	BE	51.12794
Asia/Tokyo	138.89585	average	05/12/2015, 00:00:00	JP	36.33011
Africa/Conakry	-13.68778	accep	2022-07-04	GN	9.535
Asia/Kolkata	79.41727	good	09/11/2013, 00:00:00	IN	12.25282
Asia/Shanghai	118.53333	average	2018/03/09	CN	27.92333
America/Belem	-48.52333	excellent	08/23/2021, 00:00:00	BR	-0.71667
Europe/Paris	3.87723	average	2020/12/29	FR	43.61092
Asia/Shanghai	122.74754	maintenance	09 May 2019	CN	40.85158
Europe/Brussels	4.82313	excellent	05/22/2014, 00:00:00	BE	51.24197
Asia/Kolkata	83.36889	average	29 Nov 2018	IN	26.76628
Asia/Jakarta	109.05389	good	2022/07/25	ID	-7.51611
Africa/Lagos	6.26764	excellent	17 Jun 2016	NG	4.92675
Europe/Kiev	29.41824	average	2019/08/04	UA	45.99194
America/Los_Angeles	-117.70755	good	2014-05-05	US	33.52253
Asia/Shanghai	112.73333	good	12 Apr 2013	CN	38.40917
America/New_York	-81.26367	accep	08/01/2018, 00:00:00	US	28.90054
Asia/Kolkata	85.83636	building	13 Nov 2018	IN	25.66795
Africa/Lubumbashi	29.47306	excellent	2013-07-04	CD	0.49113
Asia/Tokyo	137.02166	accep	2020-01-30	JP	35.48199
Asia/Kolkata	72.85107	building	05/30/2015, 00:00:00	IN	19.30157
Europe/London	-5.53715	average	11/01/2016, 00:00:00	GB	50.11861
Europe/Samara	51.3452	good	23 Jun 2013	RU	53.37596
Africa/Blantyre	34.4587	average	2018/01/16	MW	-13.7804
America/Mexico_City	-103.5687	maintenance	03 Dec 2020	MX	20.22816
America/Chicago	-102.36764	average	2014-02-28	US	31.84568
Europe/Brussels	4.21372	excellent	08/30/2018, 00:00:00	BE	51.12794
Africa/Kigali	30.4347	accep	2021/02/04	RW	-1.9487
Europe/Istanbul	34.37389	average	15 Feb 2022	TR	40.1675
Europe/Moscow	38.16694	excellent	11/27/2012, 00:00:00	RU	54.84444
America/New_York	-80.08199	average	2014-03-16	US	35.88264
Asia/Kolkata	73.7553	maintenance	08/01/2014, 00:00:00	IN	15.5439
Asia/Manila	120.4861	excellent	18 Apr 2018	PH	16.0438
Europe/Istanbul	42.85693	excellent	2015/10/08	TR	39.22493
Asia/Kolkata	73.66633	accep	2022/07/01	IN	25.92493
Africa/Lagos	5.06258	excellent	01 Jun 2018	NG	7.50251
Africa/Addis_Ababa	38.01667	excellent	10/16/2014, 00:00:00	ET	11.85
America/Montevideo	-56.52361	average	06/25/2015, 00:00:00	UY	-33.38056
Europe/Madrid	2.18247	good	03/23/2014, 00:00:00	ES	41.41204
America/Los_Angeles	-119.01677	building	30 Jan 2013	US	36.06523
Africa/Algiers	2.31889	average	2014-04-06	DZ	35.21222
Europe/London	0.75	maintenance	08/24/2017, 00:00:00	GB	52.41667
Europe/Warsaw	15.00835	building	01/04/2015, 00:00:00	PL	51.14942
Asia/Shanghai	122.05228	excellent	10/04/2021, 00:00:00	CN	37.19723
Europe/Minsk	30.2049	excellent	25 Aug 2021	BY	55.1904
Asia/Karachi	73.38333	maintenance	09 May 2022	PK	31.71667
America/Santiago	-71.23106	good	2016-05-15	CL	-32.45242
Europe/Paris	2.1699	maintenance	08/25/2019, 00:00:00	FR	48.98994
Europe/Warsaw	17.4674	average	2021/11/03	PL	50.86079
America/Guatemala	-91.11667	excellent	2014-04-18	GT	14.93333
America/New_York	-84.23381	building	2013-01-17	US	33.54428
Asia/Yekaterinburg	69.49015	good	29 Dec 2016	RU	56.11281
Asia/Shanghai	120.82747	excellent	01/30/2022, 00:00:00	CN	37.30553
Asia/Kolkata	73.08333	good	2014/02/26	IN	19.21667
Asia/Tokyo	140.11667	accep	2013-05-07	JP	37.56667
Africa/Dar_es_Salaam	29.65806	excellent	02 Jul 2019	TZ	-4.83
Asia/Kolkata	71.57737	good	08/02/2013, 00:00:00	IN	21.53889
Asia/Kolkata	78.95693	maintenance	2015-01-02	IN	29.21399
Europe/Moscow	35.90057	excellent	2021/07/14	RU	56.85836
America/Lima	-75.11028	excellent	10 Mar 2016	PE	-15.21194
Europe/Paris	2.2469	maintenance	2018/04/04	FR	48.90472
Europe/Berlin	6.26667	good	2020/05/01	DE	51.21667
Asia/Tokyo	138.31667	excellent	29 Mar 2016	JP	36.65
Europe/Kiev	26.97253	average	2020-09-24	UA	49.65186
Asia/Tokyo	136.13108	good	2017/07/31	JP	34.75856
America/Costa_Rica	-84.13722	good	2016/08/20	CR	9.92787
Asia/Tokyo	140.11667	accep	2017-02-16	JP	37.56667
Europe/Minsk	25.8191	building	2019/03/17	BY	53.5942
Asia/Kolkata	77.23826	maintenance	2018/12/04	IN	11.50526
Asia/Kuala_Lumpur	102.3278	average	03/27/2018, 00:00:00	MY	2.2139
America/Halifax	-63.13414	accep	01 Jul 2013	CA	46.23899
Asia/Colombo	79.883	average	2014-07-24	LK	6.9909
America/Sao_Paulo	-41.25528	accep	09 Aug 2017	BR	-19.32556
Europe/Podgorica	18.84	good	15 Jun 2013	ME	42.28639
America/Argentina/Buenos_Aires	-58.70072	accep	12/07/2017, 00:00:00	AR	-34.74785
Asia/Kuala_Lumpur	103.6032	maintenance	2013-04-13	MY	1.6561
America/Los_Angeles	-116.97725	maintenance	08/11/2014, 00:00:00	US	33.92946
Europe/Berlin	10.98461	maintenance	2021/06/15	DE	48.35693
Asia/Tokyo	136.84186	good	2013-03-26	JP	34.4833
Europe/Prague	12.87117	good	06/01/2014, 00:00:00	CZ	50.23271
Europe/Moscow	30.28491	average	01/21/2021, 00:00:00	RU	60.02427
America/Recife	-35.03333	good	2021/03/18	BR	-8.28333
Europe/London	-0.36053	excellent	30 Mar 2022	GB	51.64316
Asia/Kabul	65.93249	average	2014-07-17	AF	36.21544
America/Los_Angeles	-120.45794	average	2021-07-20	US	34.63915
Asia/Colombo	79.883	average	30 Sep 2012	LK	6.9909
America/Los_Angeles	-121.74052	accep	2020-04-12	US	38.54491
Europe/Vienna	15.46667	average	12/15/2017, 00:00:00	AT	47.05
America/Los_Angeles	-121.75689	excellent	2022-02-19	US	36.91023
Asia/Kolkata	88.18466	average	2015/05/07	IN	22.19303
Africa/Mogadishu	43.38531	excellent	05/18/2021, 00:00:00	SO	9.89206
Africa/Johannesburg	29.00974	excellent	2015/12/01	ZA	-24.19436
Asia/Seoul	126.665	excellent	07 Nov 2021	KR	36.6009
Africa/Blantyre	34.4587	excellent	2017/11/05	MW	-13.7804
America/New_York	-77.96389	building	2020/03/22	US	39.45621
Asia/Kolkata	79.41727	building	09/17/2017, 00:00:00	IN	12.25282
Asia/Yekaterinburg	60.70278	average	2017/03/02	RU	55.75556
Asia/Shanghai	113.13148	excellent	2019/10/04	CN	23.02677
Europe/Istanbul	34.02537	good	2017-01-10	TR	38.37255
Asia/Vladivostok	133.42825	accep	2020-04-14	RU	45.47885
Africa/Accra	-1.4001	maintenance	08 Feb 2015	GH	7.06273
Europe/Paris	-1.05366	building	2012/10/09	FR	43.71032
Asia/Manila	124.95278	excellent	2013-06-21	PH	6.33444
America/Costa_Rica	-84.13722	excellent	2014/11/19	CR	9.92787
America/New_York	-74.13653	acceptable	07 Aug 2021	US	40.63316
Europe/London	-5.53715	excellent	2018-07-06	GB	50.11861
Asia/Kolkata	76.32756	maintenance	05/14/2022, 00:00:00	IN	9.57046
Asia/Tehran	51.49621	accep	06 Aug 2013	IR	36.64852
Asia/Kolkata	76.0586	average	13 Mar 2018	IN	16.06213
Asia/Novokuznetsk	85.4265	excellent	22 Feb 2013	RU	55.8736
America/Los_Angeles	-118.25508	accep	2019-04-21	US	34.14251
Africa/Algiers	4.08282	excellent	08 Sep 2013	DZ	36.61954
America/Los_Angeles	-122.39168	excellent	09 May 2021	US	40.58654
Africa/Dar_es_Salaam	39.28333	maintenance	07/27/2014, 00:00:00	TZ	-10.33333
Asia/Jakarta	107.60389	average	2020/08/12	ID	-7.01833
America/Los_Angeles	-122.24092	excellent	06/30/2013, 00:00:00	US	47.4943
America/Detroit	-84.62081	maintenance	25 Jul 2015	US	42.7392
Asia/Kolkata	74.80555	excellent	2016/07/10	IN	34.08565
Asia/Karachi	71.57118	good	2020-08-09	PK	32.87533
Europe/London	-1.47217	average	2017-09-08	GB	53.46506
America/Los_Angeles	-122.86705	excellent	10/29/2021, 00:00:00	US	45.49428
Europe/Berlin	9.85	average	2018/07/14	DE	53.63333
America/Chicago	-93.263	accep	08/06/2020, 00:00:00	US	45.0408
Europe/Bratislava	17.22635	average	07/04/2018, 00:00:00	SK	48.8449
America/Sao_Paulo	-47.1725	accep	31 Jan 2019	BR	-22.57306
America/Costa_Rica	-84.13722	average	2018-07-24	CR	9.92787
Asia/Yekaterinburg	59.80222	maintenance	28 May 2019	RU	58.63667
Europe/Paris	1.33467	accep	01/07/2013, 00:00:00	FR	43.61058
Asia/Tehran	51.67462	average	2013/05/17	IR	32.65246
Europe/London	1.26738	building	2018/06/29	GB	51.84819
Asia/Barnaul	83.62389	good	2018-03-27	RU	53.30972
Asia/Kuala_Lumpur	103.6032	maintenance	08 Aug 2022	MY	1.6561
America/Los_Angeles	-117.71978	average	2021/05/03	US	34.09668
Europe/Paris	2.08333	average	2022-01-30	FR	48.86667
Europe/London	-4.21376	accep	2015/05/24	GB	55.82885
Asia/Bangkok	103.65309	excellent	01 Mar 2014	TH	16.0567
Africa/Algiers	3.47717	average	12 Oct 2012	DZ	36.76639
America/New_York	-83.55521	excellent	10/07/2021, 00:00:00	US	41.66394
Europe/Berlin	6.51352	good	2021/04/03	DE	51.19139
Asia/Samarkand	67.84222	excellent	2015/11/15	UZ	40.11583
Europe/Moscow	38.94324	average	03/14/2021, 00:00:00	RU	44.98901
Europe/Rome	17.58522	maintenance	2021-12-06	IT	40.53123
Asia/Shanghai	117.27583	average	2017-09-29	CN	35.64889
Europe/Moscow	39.85331	accep	2014-09-18	RU	57.30185
Pacific/Efate	168.31366	excellent	05/18/2018, 00:00:00	VU	-17.73648
America/Mexico_City	-100.88023	good	02/01/2019, 00:00:00	MX	20.21322
Africa/Accra	-1.98956	good	2018-09-14	GH	5.30383
Europe/Brussels	4.21372	building	06 Sep 2022	BE	51.12794
America/Detroit	-82.42491	accep	05/24/2013, 00:00:00	US	42.97086
Africa/Johannesburg	29.24152	good	01/16/2018, 00:00:00	ZA	-26.93366
Europe/Berlin	11.18709	good	14 Dec 2017	DE	48.73218
Asia/Tokyo	136.84186	excellent	2018-11-20	JP	34.4833
America/New_York	-78.87836	accep	2014/06/28	US	35.05266
America/New_York	-77.4286	good	12 Sep 2019	US	39.00622
Indian/Antananarivo	48.41667	good	2017-07-07	MG	-17.83333
America/Chicago	-88.27205	average	20 May 2020	US	44.27804
America/Bahia	-38.94722	building	2015-09-18	BR	-15.675
Asia/Manila	120.56528	average	2022/08/09	PH	14.66
America/Chicago	-91.73625	average	2014-07-02	US	35.25064
Europe/Moscow	37.49338	excellent	26 Jan 2019	RU	55.62047
Asia/Tokyo	135.6	excellent	2012-11-26	JP	34.61667
Europe/Rome	16.50104	accep	2019-03-11	IT	41.24264
Asia/Kolkata	86.59509	average	2022-01-28	IN	26.11527
Asia/Shanghai	117.33333	average	2013-07-06	CN	34.85
Asia/Tokyo	136.84186	good	07/16/2018, 00:00:00	JP	34.4833
Europe/Berlin	8.4493	excellent	07/07/2022, 00:00:00	DE	50.09019
America/Los_Angeles	-122.23484	excellent	2014-10-10	US	47.38093
Europe/Vienna	16.4	average	03/05/2016, 00:00:00	AT	48.25
America/Los_Angeles	-117.70755	excellent	03/18/2013, 00:00:00	US	33.52253
Asia/Kolkata	86.51499	building	09/02/2017, 00:00:00	IN	23.1959
America/New_York	-72.86843	average	03/31/2018, 00:00:00	US	41.27621
Africa/Johannesburg	30.79165	average	09/01/2021, 00:00:00	ZA	-27.76952
Asia/Tehran	51.49621	building	2017/08/03	IR	36.64852
Asia/Dhaka	89.11943	excellent	27 Oct 2012	BD	23.9028
Asia/Kolkata	85.37752	maintenance	2018/04/13	IN	22.10194
Africa/Abidjan	-3.59625	accep	2016/05/29	CI	5.27247
Europe/London	-0.91979	excellent	2014-07-25	GB	51.42708
America/Chicago	-95.30106	accep	2017/06/21	US	32.35126
America/New_York	-82.90375	excellent	2016-05-17	US	32.54044
Europe/London	-0.32247	accep	2013-04-16	GB	50.82882
Africa/Tunis	10.03478	excellent	2017-06-04	TN	37.16911
Asia/Kolkata	75.35927	excellent	19 Jan 2020	IN	12.04161
America/New_York	-73.20483	maintenance	2016-09-30	US	41.16704
Europe/Amsterdam	5.58472	excellent	2016-11-30	NL	52.14
America/Argentina/Buenos_Aires	-59.13316	good	01 Aug 2017	AR	-37.32167
Asia/Tokyo	135.31667	excellent	12 Dec 2018	JP	34.25
Europe/Berlin	9.02596	building	2019/01/11	DE	48.21644
Africa/Dar_es_Salaam	39.28333	good	2020/09/12	TZ	-10.33333
Africa/Casablanca	-6.90656	average	2013-05-23	MA	33.92866
Europe/Moscow	30.28491	good	11/06/2018, 00:00:00	RU	60.02427
Europe/Paris	2.2469	good	11/01/2019, 00:00:00	FR	48.90472
America/Sao_Paulo	-42.98194	accep	24 Jan 2016	BR	-22.53722
Europe/Berlin	11.37703	average	2016-06-26	DE	48.06919
America/Argentina/Cordoba	-60.93173	maintenance	24 Sep 2016	AR	-31.4488
Asia/Yangon	98.50893	good	2016/09/13	MM	16.68911
Asia/Kolkata	77.656	average	02/17/2014, 00:00:00	IN	28.71271
Asia/Tokyo	139.07204	average	12/01/2014, 00:00:00	JP	36.24624
Asia/Kolkata	76.32756	building	2014/07/10	IN	9.57046
Africa/Casablanca	-6.90656	building	10 Feb 2017	MA	33.92866
Asia/Jakarta	106.85417	good	2021/05/31	ID	-6.48167
Europe/Moscow	43.91385	average	07/19/2021, 00:00:00	RU	54.03876
Asia/Shanghai	120.14278	excellent	03 Mar 2013	CN	32.50611
Africa/Bangui	15.87735	average	10/11/2020, 00:00:00	CF	4.94273
Asia/Kolkata	77.54372	excellent	03/26/2013, 00:00:00	IN	10.12268
Asia/Kolkata	77.23826	good	2022/03/02	IN	11.50526
America/Guayaquil	-79.00453	excellent	2014-07-24	EC	-2.90055
Europe/Madrid	0.57856	good	02/11/2015, 00:00:00	ES	40.70995
Asia/Riyadh	49.62251	accep	09/23/2021, 00:00:00	SA	27.0174
America/Manaus	-58.44417	accep	26 Oct 2020	BR	-3.14306
Asia/Tokyo	135.6	average	10/19/2015, 00:00:00	JP	34.61667
Asia/Shanghai	123.50266	accep	2019-04-08	CN	41.94175
Europe/Istanbul	34.02537	accep	19 May 2017	TR	38.37255
Asia/Tokyo	139.6853	maitennce	04/18/2013, 00:00:00	JP	35.815
Europe/Rome	16.50104	good	2022/04/24	IT	41.24264
Asia/Shanghai	117.55417	average	2020-03-31	CN	34.86472
Europe/Bucharest	26.01649	good	08/23/2014, 00:00:00	RO	44.43579
Asia/Krasnoyarsk	89.20083	excellent	07 Aug 2013	RU	55.54028
America/Recife	-35.71667	average	22 Mar 2022	BR	-8.66667
Europe/Paris	2.29275	excellent	2022/02/13	FR	48.79325
Asia/Manila	120.4861	accep	2021-06-05	PH	16.0438
America/Chicago	-87.45476	good	2021/12/30	US	41.47892
Asia/Kolkata	78.14797	accep	09/24/2019, 00:00:00	IN	15.45144
America/Sao_Paulo	-48.59278	excellent	2022/07/08	BR	-23.7975
Asia/Shanghai	122.08333	accep	10/14/2021, 00:00:00	CN	46.08333
Asia/Damascus	36.7138	average	2015/02/13	SY	35.95664
Europe/Moscow	46.5813	accep	2019-11-09	RU	54.8421
Asia/Kolkata	88.58	excellent	2020/09/20	IN	23.18
Africa/Lagos	12.19458	accep	2013-03-11	NG	10.61285
Europe/Paris	2.18967	excellent	2019-06-26	FR	48.8765
Asia/Seoul	128.63083	average	07/31/2019, 00:00:00	KR	36.82167
Asia/Manila	120.97844	building	2020/01/26	PH	14.8361
America/Chicago	-95.30106	average	12 Jun 2019	US	32.35126
Asia/Krasnoyarsk	89.20083	excellent	29 Jul 2022	RU	55.54028
America/New_York	-71.08977	accep	2021/04/20	US	41.9001
Africa/Lagos	3.39467	good	17 Mar 2013	NG	6.45407
Europe/Rome	11.412	excellent	2019/08/09	IT	45.50369
America/New_York	-73.9625	maintenance	2014/02/02	US	40.81
Europe/London	-3.52751	good	24 Aug 2013	GB	50.7236
America/Los_Angeles	-122.38731	excellent	15 Oct 2015	US	45.53929
America/Costa_Rica	-85.43772	average	2021/03/25	CR	10.63504
Europe/London	-5.53715	excellent	2014/12/02	GB	50.11861
America/Toronto	-73.81669	building	2013-05-21	CA	45.44868
Europe/Kiev	33.34864	accep	10/22/2020, 00:00:00	UA	46.75451
Africa/Nairobi	35.59642	excellent	17 Feb 2018	KE	3.11988
Asia/Tokyo	129.96972	accep	2022/06/13	JP	33.4425
Africa/Dar_es_Salaam	39.28333	excellent	10/28/2014, 00:00:00	TZ	-10.33333
Africa/Lagos	3.64633	good	08/12/2015, 00:00:00	NG	6.8485
Asia/Jakarta	104.09701	good	02/01/2016, 00:00:00	ID	-1.26424
America/Panama	-79.62603	excellent	2013/01/06	PA	8.88988
Europe/Paris	2.2469	excellent	2022/05/09	FR	48.90472
Asia/Shanghai	105.89333	average	2015-12-30	CN	34.56861
Africa/Tripoli	10.18003	good	23 Mar 2020	LY	24.96334
Europe/Brussels	3.16667	excellent	23 Nov 2019	BE	50.8
Asia/Tokyo	137.4	good	2019-10-28	JP	34.81667
Europe/Paris	5.55575	accep	09/03/2018, 00:00:00	FR	46.67535
Asia/Kolkata	71.57737	excellent	05/25/2020, 00:00:00	IN	21.53889
Europe/Amsterdam	7.00417	maintenance	06 Aug 2015	NL	52.26083
Europe/Sofia	24.71204	good	2021/04/24	BG	41.57439
Europe/Paris	2.25	average	2018/09/05	FR	50.75
America/New_York	-80.08199	accep	07/02/2014, 00:00:00	US	35.88264
Europe/Belgrade	22.53083	maintenance	2018-05-10	RS	44.22639
Asia/Bangkok	104.1451	average	10/18/2017, 00:00:00	TH	15.79408
America/New_York	-74.13653	average	16 Jun 2015	US	40.63316
Europe/Warsaw	16.86194	maintenance	2015/02/05	PL	54.58048
Europe/Moscow	30.28491	good	06/12/2021, 00:00:00	RU	60.02427
Asia/Shanghai	122.20488	good	03/17/2018, 00:00:00	CN	29.98869
America/Argentina/Cordoba	-60.93173	accep	2013-09-26	AR	-31.4488
Africa/Lagos	5.06258	good	12/11/2013, 00:00:00	NG	7.50251
Africa/Lagos	9.0027	good	20 Apr 2016	NG	11.86064
Europe/London	-1.32471	good	09/14/2021, 00:00:00	GB	51.40148
Europe/Kiev	30.96755	accep	2019-06-08	UA	49.07866
Africa/Brazzaville	15.28318	average	2019-06-09	CG	-4.26613
Asia/Kolkata	78.23456	building	11/21/2017, 00:00:00	IN	28.92694
Asia/Kolkata	73.7553	good	31 Aug 2015	IN	15.5439
Asia/Tokyo	136.61667	good	2017/08/27	JP	36.53333
Asia/Jakarta	112.01667	average	2014/06/18	ID	-7.81667
Asia/Shanghai	114.51667	accep	07 Apr 2014	CN	33.78333
America/New_York	-81.79819	excellent	08 Nov 2018	US	41.48199
Europe/Berlin	9.22796	average	08/06/2020, 00:00:00	DE	48.46458
Pacific/Port_Moresby	144.23058	good	2016/08/02	PG	-5.85746
America/Havana	-77.43532	average	2018/10/24	CU	20.14298
Africa/Bangui	15.87735	building	2018-04-26	CF	4.94273
America/New_York	-82.46148	good	2018-01-20	US	28.15112
Asia/Bangkok	101.18445	excellent	2022/05/09	TH	13.44581
Europe/Helsinki	24.6522	acceptable	2016/10/19	FI	60.2052
America/Chicago	-95.44744	average	03/12/2017, 00:00:00	US	29.53885
Asia/Karachi	74.12286	excellent	2017/10/06	PK	30.76468
America/Sao_Paulo	-47.53028	accep	2014/11/03	BR	-22.45667
Europe/Paris	3.87723	average	24 Apr 2013	FR	43.61092
Europe/Zaporozhye	38.15035	good	2018-01-08	UA	49.41029
America/New_York	-81.77285	accep	2012-10-06	US	28.54944
Europe/Berlin	9.5926	maintenance	03/15/2014, 00:00:00	DE	52.86147
Asia/Jakarta	109.3243	good	01/06/2017, 00:00:00	ID	-7.0981
Asia/Tashkent	72.34424	good	2015/10/17	UZ	40.78206
Europe/Istanbul	37.3825	accep	2016-09-13	TR	37.05944
America/Argentina/Buenos_Aires	-60.47389	maintenance	2016-10-08	AR	-34.64167
America/Los_Angeles	-117.23991	excellent	23 Nov 2016	US	47.64995
Asia/Shanghai	114.68333	maintenance	22 Jul 2022	CN	23.73333
Europe/Helsinki	24.6522	excellent	2018/11/10	FI	60.2052
Europe/Warsaw	16.86194	accep	2019/12/17	PL	54.58048
America/Bahia	-37.93278	maintenance	2018-03-13	BR	-11.48472
Asia/Bangkok	100.48528	excellent	16 Aug 2020	TH	14.37395
Europe/Paris	4.86667	accep	2018/10/09	FR	45.51667
Europe/Madrid	2.35739	accep	2017/12/06	ES	41.63976
Europe/Sofia	27.25	building	2012-10-13	BG	42.7
Asia/Karachi	70.96699	excellent	2015-05-27	PK	30.46907
America/Toronto	-79.2663	good	2022-06-05	CA	43.86682
America/Argentina/Cordoba	-61.4867	average	10 Feb 2016	AR	-31.25033
Europe/Madrid	2.18247	accep	2021-07-12	ES	41.41204
America/Mexico_City	-99.32556	building	27 Jan 2015	MX	19.32889
America/Los_Angeles	-122.24064	building	30 Aug 2022	US	47.80527
Africa/Dar_es_Salaam	38.01667	accep	2020-01-06	TZ	-5.41667
America/Sao_Paulo	-48.59278	good	2020-11-03	BR	-23.7975
Asia/Aqtobe	59.6	maintenance	2016/08/12	KZ	47.83333
America/New_York	-73.99681	accep	06/03/2021, 00:00:00	US	40.94065
America/New_York	-77.96389	maintenance	2021-12-12	US	39.45621
Asia/Almaty	77.0202	building	2020/12/31	KZ	43.41949
Asia/Shanghai	120.74792	good	2018/08/15	CN	41.09822
Europe/Madrid	-0.18333	good	03/08/2022, 00:00:00	ES	38.96667
Europe/London	-2.68758	good	10/15/2015, 00:00:00	GB	53.69786
America/Chicago	-96.39774	maintenance	02/23/2020, 00:00:00	US	30.16688
Asia/Jakarta	106.85417	average	2018-07-31	ID	-6.48167
Asia/Kolkata	78.23456	excellent	08/28/2022, 00:00:00	IN	28.92694
Asia/Baghdad	44.02488	good	2022-08-22	IQ	32.61603
America/Recife	-34.88111	excellent	01/10/2016, 00:00:00	BR	-8.05389
Asia/Shanghai	111.50861	building	2021/03/05	CN	32.54278
Europe/Bratislava	17.22635	accep	2022/07/10	SK	48.8449
Europe/Madrid	-2.68333	excellent	03/12/2019, 00:00:00	ES	43.31667
Europe/Amsterdam	6.92917	good	07 Mar 2019	NL	52.31333
America/Chicago	-86.99666	average	2020-09-14	US	33.45122
Europe/Lisbon	-9.24671	good	06/28/2022, 00:00:00	PT	38.72706
Asia/Kolkata	73.06784	accep	2021/08/09	IN	25.13915
America/Los_Angeles	-116.21677	average	06/20/2019, 00:00:00	US	33.7207
Asia/Shanghai	117.63083	accep	2018-07-27	CN	35.50056
Europe/Madrid	-1.60452	excellent	2016/03/08	ES	42.06166
Africa/Bamako	-8.07257	maintenance	10 Mar 2019	ML	12.74409
Europe/Paris	2.12213	maintenance	2020-08-21	FR	48.8222
Asia/Dili	125.21972	maintenance	07/25/2017, 00:00:00	TL	-8.99167
America/Los_Angeles	-120.43572	maintenance	12/08/2016, 00:00:00	US	34.95303
America/Chicago	-102.36764	good	2018/10/28	US	31.84568
Europe/Paris	5.16108	building	06 Oct 2014	FR	48.77275
America/Mexico_City	-93.11308	accep	2016/10/11	MX	16.75973
America/Chicago	-97.90308	good	2021/06/21	US	31.12406
America/Argentina/Buenos_Aires	-58.38341	accep	2012/10/26	AR	-34.64966
Asia/Jakarta	106.85417	average	05 May 2022	ID	-6.48167
Africa/Dar_es_Salaam	39.25	maintenance	2018/08/07	TZ	-6.8
America/Chicago	-94.74049	good	11/22/2020, 00:00:00	US	32.5007
America/Toronto	-80.38297	good	02/19/2020, 00:00:00	CA	42.8334
Asia/Manila	123.99333	average	2019-05-04	PH	12.97389
America/New_York	-81.23621	excellent	2017/08/21	US	33.98154
Europe/Moscow	46.5813	maintenance	07 Aug 2019	RU	54.8421
Australia/Sydney	150.99292	accep	2014/07/01	AU	-33.75881
Indian/Antananarivo	44.53333	excellent	2022/06/26	MG	-22.9
America/Chicago	-86.77917	accep	2019/04/13	US	36.02506
America/New_York	-81.79819	building	2013-02-07	US	41.48199
Africa/Tripoli	20.22625	maintenance	2014-11-09	LY	30.75545
Europe/Minsk	30.2049	good	02 Jul 2016	BY	55.1904
Europe/Moscow	38.12408	excellent	2019/03/09	RU	53.77166
Asia/Kolkata	71.30633	building	2012/10/02	IN	21.34222
Europe/Rome	8.62118	good	2021/03/13	IT	45.44694
America/Indiana/Indianapolis	-85.76942	average	2017-01-30	US	39.78504
America/Recife	-35.71667	good	01/16/2017, 00:00:00	BR	-8.66667
Europe/Belgrade	20.89389	average	2018-05-05	XK	42.62833
Africa/Gaborone	27.46153	building	2015/11/20	BW	-21.44236
America/New_York	-81.23621	good	04/04/2020, 00:00:00	US	33.98154
Europe/Madrid	-3.67029	good	2018-03-07	ES	37.13548
Asia/Kolkata	86.68363	good	19 Aug 2013	IN	23.49668
Europe/Moscow	37.99117	building	05/18/2016, 00:00:00	RU	44.92934
Asia/Kolkata	74.3092	maintenance	11/26/2021, 00:00:00	IN	33.37526
Europe/Helsinki	24.95034	accep	2016-09-05	FI	60.18427
Europe/Rome	14.39024	average	2013-11-04	IT	42.22718
America/Guayaquil	-79.00453	excellent	09 Jun 2017	EC	-2.90055
Asia/Tokyo	137.5	excellent	15 Dec 2012	JP	34.9
Europe/Brussels	3.20639	average	06 Mar 2013	BE	50.74497
Europe/Madrid	-2.98884	average	27 Jul 2014	ES	43.32686
America/La_Paz	-65.71875	good	2014-03-18	BO	-21.44345
America/New_York	-78.19444	average	2020-06-19	US	38.91817
Europe/Amsterdam	5.58472	maintenance	2014/10/14	NL	52.14
Europe/Berlin	9.17702	excellent	2014-11-19	DE	48.78232
America/Sao_Paulo	-50.19556	excellent	02/10/2014, 00:00:00	BR	-19.72806
America/Denver	-111.90466	good	2016/09/15	US	40.34912
Asia/Karachi	72.54566	maintenance	2013-02-16	PK	29.69221
America/Mexico_City	-100.44843	excellent	16 Oct 2013	MX	20.74122
America/Santiago	-70.6996	accep	2016/11/20	CL	-33.59217
Asia/Kolkata	76.35484	building	04/12/2017, 00:00:00	IN	10.10649
Africa/Kampala	32.88667	excellent	2020/12/31	UG	3.27833
America/Mexico_City	-101.2591	maintenance	31 Jul 2016	MX	21.01858
Europe/Kiev	25.34244	good	05 May 2022	UA	50.75932
America/Los_Angeles	-122.24092	good	2014/05/01	US	47.4943
