QoS	revision	latitude	location	longitude	station
average	2016/11/06	32.65246	Asia/Tehran	51.67462	Isfahan
accep	2016/12/08	46.75451	Europe/Kiev	33.34864	Nova Kakhovka
excellent	07/16/2022, 00:00:00	21.28306	America/Merida	-89.66123	Progreso
average	2021-03-03	32.35126	America/Chicago	-95.30106	Tyler
average	2021/07/01	33.50921	America/Phoenix	-111.89903	Scottsdale
excellent	04 Jun 2020	32.35126	America/Chicago	-95.30106	Tyler
excellent	2014/06/17	53.30972	Asia/Barnaul	83.62389	Novosilikatnyy
good	08 Dec 2018	51.03427	Europe/Brussels	5.37429	Houthalen
accep	02 Nov 2021	27.55898	Asia/Karachi	68.21204	Larkana
accep	21 Mar 2016	-12.91667	America/Bahia	-39.25	Muritiba
average	2015-06-20	31.92923	Asia/Jerusalem	34.86563	Ramla
good	25 Jan 2019	17.06542	America/Mexico_City	-96.72365	Oaxaca
good	31 Mar 2021	47.76232	America/Los_Angeles	-122.2054	Bothell
average	05/19/2013, 00:00:00	14.0823	Asia/Yangon	98.19151	Dawei
good	2015-03-06	-7.76667	Africa/Dar_es_Salaam	35.7	Iringa
average	03/20/2019, 00:00:00	35.20889	Asia/Shanghai	111.73861	Changzhi
maintenance	2016/01/20	12.1277	Asia/Kolkata	78.15794	Dharmapuri
building	2013-06-01	3.02013	Africa/Kampala	30.91105	Arua
excellent	14 Apr 2021	3.11988	Africa/Nairobi	35.59642	Lodwar
excellent	2018-03-23	51.4781	Asia/Yekaterinburg	57.3552	Kuvandyk
maintenance	17 Aug 2019	23.73333	Asia/Shanghai	114.68333	Heyuan
good	2018/10/11	6.84019	Asia/Colombo	79.87116	Dehiwala-Mount Lavinia
average	02 Oct 2019	34.65918	Asia/Shanghai	109.22921	Yanliang
good	11/15/2012, 00:00:00	43.2907	Europe/Paris	5.4384	Marseille 11
excellent	2015/09/13	-22.45667	America/Sao_Paulo	-47.53028	Santa Gertrudes
maintenance	12/16/2013, 00:00:00	32.35126	America/Chicago	-95.30106	Tyler
accep	2018/01/16	5.20856	America/Bogota	-74.73584	Honda
building	31 Mar 2014	34.56861	Asia/Shanghai	105.89333	Beidao
maintenance	12/30/2014, 00:00:00	53.77166	Europe/Moscow	38.12408	Bogoroditsk
average	2017/02/28	41.50343	America/New_York	-74.01042	Newburgh
excellent	22 Aug 2017	-8.28333	America/Recife	-35.03333	Cabo
maintenance	2014/05/01	33.54428	America/New_York	-84.23381	Stockbridge
good	02 Feb 2015	3.3285	Asia/Jakarta	99.1625	Tebingtinggi
excellent	2016/08/15	44.73941	America/Chicago	-93.12577	Rosemount
accep	2014/12/23	25.95533	Asia/Karachi	68.88871	Jhol
good	2014-12-14	-34.64966	America/Argentina/Buenos_Aires	-58.38341	Barracas
excellent	04/22/2018, 00:00:00	37.30553	Asia/Shanghai	120.82747	Zhuangyuan
accep	11/18/2013, 00:00:00	-10.95817	America/Bahia	-38.79084	Tucano
maintenance	2016/11/19	53.83333	Europe/London	-2.98333	Poulton-le-Fylde
excellent	2015-04-13	53.95278	Europe/Moscow	32.86389	Roslavl’
good	2020-07-03	41.66394	America/New_York	-83.55521	Toledo
good	2018/03/22	9.92787	America/Costa_Rica	-84.13722	San Rafael
excellent	23 Sep 2016	37.05944	Europe/Istanbul	37.3825	Gaziantep
average	2015/02/12	39.57582	America/Denver	-105.11221	Ken Caryl
average	2015/12/31	12.37169	Asia/Manila	123.62494	Masbate
accep	2014/07/06	34.86472	Asia/Shanghai	117.55417	Zaozhuang
excellent	11/20/2013, 00:00:00	55.64776	Europe/Moscow	38.02486	Malakhovka
good	2013/06/07	18.00747	America/Jamaica	-76.78319	New Kingston
good	2014/11/26	52.41667	Europe/London	0.75	Thetford
building	2015/07/18	14.66	Asia/Manila	120.56528	Pilar
building	31 May 2022	13.70167	America/El_Salvador	-89.10944	Ilopango
average	2020/09/12	43.48961	Europe/Madrid	-8.2194	Ferrol
building	20 Oct 2019	40.68066	America/New_York	-73.47429	Massapequa
accep	01/14/2020, 00:00:00	41.63976	Europe/Madrid	2.35739	Cardedeu
good	09/21/2016, 00:00:00	-11.78333	Africa/Luanda	19.91667	Luena
good	03/01/2014, 00:00:00	-21.15	Indian/Antananarivo	46.58333	Ikalamavony
average	05/10/2017, 00:00:00	33.35283	America/Phoenix	-111.78903	Gilbert
accep	2019/09/05	41.85059	America/Chicago	-87.882	Westchester
accep	13 Mar 2022	55.63711	Europe/Moscow	37.38115	Solntsevo
maintenance	08/11/2015, 00:00:00	43.61092	Europe/Paris	3.87723	Montpellier
accep	2019-05-31	51.21667	Europe/Berlin	6.26667	Schwalmtal
accep	2019-01-25	40.2737	America/New_York	-76.88442	Harrisburg
excellent	2021-05-26	1.6	Asia/Kuala_Lumpur	103.81667	Ulu Tiram
maintenance	2020/01/19	68.79833	Europe/Oslo	16.54165	Harstad
accep	24 May 2013	32.65246	Asia/Tehran	51.67462	Isfahan
average	03/03/2022, 00:00:00	33.42585	Africa/Casablanca	-6.00137	Oulmes
excellent	2021/07/14	51.65333	Europe/Amsterdam	5.2875	Vught
average	2020/09/26	58.63667	Asia/Yekaterinburg	59.80222	Lesnoy
accep	12 Feb 2015	23.5654	Asia/Taipei	119.58627	Magong
good	11/29/2015, 00:00:00	4.92675	Africa/Lagos	6.26764	Yenagoa
accep	04/19/2022, 00:00:00	3.27833	Africa/Kampala	32.88667	Kitgum
excellent	2020-05-27	27.92333	Asia/Shanghai	118.53333	Pucheng
excellent	09/12/2015, 00:00:00	-22.53722	America/Sao_Paulo	-42.98194	Guapimirim
accep	30 Mar 2016	23.18	Asia/Kolkata	88.58	Aistala
good	2021-04-18	28.71271	Asia/Kolkata	77.656	Pilkhua
maintenance	2017/05/29	-8.73508	Africa/Lubumbashi	24.99798	Kamina
average	2020-12-09	-3.14306	America/Manaus	-58.44417	Itacoatiara
maintenance	01/22/2022, 00:00:00	45.78071	Europe/Rome	12.84052	Portogruaro
maintenance	03/07/2015, 00:00:00	43.82634	Asia/Tokyo	144.09638	Motomachi
good	2014-07-16	39.08367	America/New_York	-84.50855	Covington
good	26 Nov 2018	41.55947	Europe/Rome	14.66737	Campobasso
average	2022-03-21	51.42708	Europe/London	-0.91979	Lower Earley
maintenance	04/25/2017, 00:00:00	50.11861	Europe/London	-5.53715	Penzance
average	06/26/2015, 00:00:00	43.48961	Europe/Madrid	-8.2194	Ferrol
excellent	2014-12-31	51.82721	Asia/Irkutsk	107.60627	Ulan-Ude
average	2021/11/04	37.56667	Asia/Tokyo	140.11667	Inawashiro
excellent	01/29/2016, 00:00:00	36.06523	America/Los_Angeles	-119.01677	Porterville
accep	2022-01-15	8.35122	America/Caracas	-62.64102	Ciudad Guayana
good	07/05/2021, 00:00:00	22.19303	Asia/Kolkata	88.18466	Diamond Harbour
average	17 Jul 2020	14.64056	Asia/Bangkok	104.64992	Kantharalak
average	05/06/2022, 00:00:00	44.97639	Europe/Belgrade	19.61222	Sremska Mitrovica
maintenance	24 Jul 2018	15.58552	Asia/Bangkok	102.42587	Bua Yai
maintenance	2022-01-27	-17.73648	Pacific/Efate	168.31366	Port-Vila
good	2013/11/03	17.06542	America/Mexico_City	-96.72365	Oaxaca
average	2018-02-18	51.39148	Europe/London	-0.29825	Surbiton
average	2013-01-04	53.49389	Europe/London	-1.29243	Mexborough
accep	10/05/2017, 00:00:00	51.35084	Europe/London	-1.99421	Devizes
excellent	2013/08/11	56.9083	Asia/Yekaterinburg	60.8019	Beryozovsky
building	2015/08/22	12.37169	Asia/Manila	123.62494	Masbate
accep	06/27/2021, 00:00:00	34.65918	Asia/Shanghai	109.22921	Yanliang
excellent	16 Jan 2020	48.52961	Europe/Berlin	12.16179	Landshut
excellent	26 Nov 2019	39.72943	America/Denver	-104.83192	Aurora
maitennce	11 Oct 2016	43.48961	Europe/Madrid	-8.2194	Ferrol
good	16 May 2017	21.53889	Asia/Kolkata	71.57737	Gariadhar
building	2022/05/06	39.32011	America/New_York	-76.51552	Rosedale
excellent	01/20/2016, 00:00:00	-0.35817	Africa/Mogadishu	42.54536	Kismayo
excellent	21 Dec 2020	29.65163	America/New_York	-82.32483	Gainesville
good	2013/08/23	27.92333	Asia/Shanghai	118.53333	Pucheng
maintenance	08/14/2016, 00:00:00	31.28092	Asia/Kolkata	74.85849	Patti
excellent	21 Jul 2017	14.66	Asia/Manila	120.56528	Pilar
good	2017/12/19	51.47805	Europe/Berlin	6.8625	Oberhausen
maintenance	2017/06/09	7.6	Africa/Lagos	4.18333	Olupona
average	10/05/2015, 00:00:00	52.31333	Europe/Amsterdam	6.92917	Oldenzaal
accep	28 Feb 2014	-6.25	Africa/Dar_es_Salaam	38.66667	Mvomero
maintenance	06/10/2013, 00:00:00	35.95664	Asia/Damascus	36.7138	Binnish
maintenance	2020/07/22	42.8334	America/Toronto	-80.38297	Norfolk County
excellent	2014-05-12	13.51825	Asia/Bangkok	99.95469	Damnoen Saduak
accep	06 Dec 2021	45.9836	Europe/Rome	12.70038	Cordenons
excellent	27 Jul 2021	45.53929	America/Los_Angeles	-122.38731	Troutdale
excellent	18 Dec 2017	51.4781	Asia/Yekaterinburg	57.3552	Kuvandyk
good	2021-05-04	21.59983	Asia/Kolkata	71.21169	Amreli
good	2015/09/24	33.08014	America/New_York	-83.2321	Milledgeville
excellent	31 Aug 2022	3.51667	Africa/Douala	11.5	Mbalmayo
maintenance	06/13/2020, 00:00:00	20.88197	Asia/Kolkata	85.83334	Bhuban
building	08/30/2022, 00:00:00	52.59319	Europe/Berlin	13.32127	Wittenau
good	2021-01-13	-22.57306	America/Sao_Paulo	-47.1725	Artur Nogueira
average	2016-11-04	-7.0981	Asia/Jakarta	109.3243	Randudongkal
average	08/11/2022, 00:00:00	35.72917	Africa/Tunis	10.58082	Msaken
good	28 Feb 2017	-28.44917	America/Sao_Paulo	-52.2	Marau
excellent	2016/03/21	48.86667	Europe/Paris	2.08333	Marly-le-Roi
good	16 Apr 2013	31.84568	America/Chicago	-102.36764	Odessa
accep	2022-09-04	40.34912	America/Denver	-111.90466	Saratoga Springs
building	2013-05-30	12.1277	Asia/Kolkata	78.15794	Dharmapuri
good	11/11/2012, 00:00:00	46.09273	America/Menominee	-88.64235	Iron River
accep	01/10/2022, 00:00:00	52.66277	Europe/London	-2.01111	Great Wyrley
good	29 Apr 2021	4.2475	Africa/Douala	9.00472	Idenao
accep	2016/09/05	3.51667	Africa/Douala	11.5	Mbalmayo
average	2016-07-03	53.78333	Europe/London	-1.06667	Selby
maitennce	12/18/2013, 00:00:00	40.63316	America/New_York	-74.13653	Port Richmond
building	2019-11-24	40.49748	Asia/Yerevan	44.7662	Hrazdan
good	2019/05/17	50.86079	Europe/Warsaw	17.4674	Brzeg
good	2015-10-03	4.96667	Africa/Douala	10.7	Tonga
average	2020/10/27	10.22677	America/Caracas	-67.33122	La Victoria
accep	2013-08-05	46.09273	America/Menominee	-88.64235	Iron River
building	06/19/2013, 00:00:00	-17.83333	Indian/Antananarivo	48.41667	Ambatondrazaka
average	2014-01-06	42.06166	Europe/Madrid	-1.60452	Tudela
good	2013-07-20	58.1908	Europe/Moscow	40.17171	Danilov
average	17 Apr 2015	-7.51611	Asia/Jakarta	109.05389	Wangon
average	31 Dec 2012	41.77583	Asia/Tokyo	140.73667	Hakodate
excellent	22 Mar 2019	8.35122	America/Caracas	-62.64102	Ciudad Guayana
accep	03 Sep 2017	35.95664	Asia/Damascus	36.7138	Binnish
excellent	06/24/2017, 00:00:00	40.1675	Europe/Istanbul	34.37389	Sungurlu
average	03 Sep 2017	24.41288	Asia/Kolkata	76.56719	Aklera
good	2019/08/01	-34.28853	Australia/Sydney	146.05093	Griffith
average	12 Mar 2016	41.29444	Asia/Tashkent	69.67639	Parkent
excellent	2019/05/31	39.08367	America/New_York	-84.50855	Covington
maintenance	2017/06/14	8.48714	Africa/Freetown	-13.2356	Freetown
good	2021/08/26	56.85836	Europe/Moscow	35.90057	Tver
average	2019-08-11	46.18396	Europe/Zurich	6.10237	Onex
accep	2013-08-06	35.815	Asia/Tokyo	139.6853	Shimotoda
good	2021-05-13	60.18427	Europe/Helsinki	24.95034	Kallio
building	04/14/2022, 00:00:00	28.54944	America/New_York	-81.77285	Clermont
excellent	09 Feb 2019	37.35813	Europe/Madrid	-6.03731	San Juan de Aznalfarache
excellent	12/03/2013, 00:00:00	35.8	Asia/Tokyo	137.23333	Gero
maintenance	26 Sep 2016	51.95838	Europe/Amsterdam	4.47124	Schiebroek
average	12/20/2018, 00:00:00	40.53123	Europe/Rome	17.58522	Francavilla Fontana
excellent	2012/10/29	42.50729	Europe/Andorra	1.53414	les Escaldes
good	03 May 2019	-25.54073	Australia/Brisbane	152.70493	Maryborough
average	2020/06/08	-2.68333	Africa/Dar_es_Salaam	33	Usagara
excellent	12/31/2015, 00:00:00	27.92333	Asia/Shanghai	118.53333	Pucheng
average	03/11/2015, 00:00:00	37.65181	Asia/Shanghai	120.33063	Longgang
average	2020/09/28	-27.76952	Africa/Johannesburg	30.79165	Vryheid
average	2018-04-27	41.91886	Europe/Paris	8.73812	Ajaccio
average	2018/01/13	-24.19436	Africa/Johannesburg	29.00974	Mokopane
good	01/06/2022, 00:00:00	51.67822	Europe/Kiev	33.9162	Hlukhiv
average	01/17/2014, 00:00:00	-25.54073	Australia/Brisbane	152.70493	Maryborough
accep	2018/08/26	23.07492	Asia/Kolkata	88.28637	Pandua
accep	02/27/2019, 00:00:00	2.41669	Africa/Kampala	30.98551	Paidha
accep	2019/02/28	-4.26613	Africa/Brazzaville	15.28318	Brazzaville
accep	17 Jan 2022	40.85158	Asia/Shanghai	122.74754	Haicheng
building	12/22/2017, 00:00:00	27.34089	Asia/Shanghai	117.4831	Shaowu
building	2013/12/22	-6.8	Africa/Dar_es_Salaam	39.25	Magomeni
accep	12/15/2018, 00:00:00	-21.41222	America/Sao_Paulo	-42.19667	Miracema
accep	2016/02/15	41.57721	America/Chicago	-93.71133	West Des Moines
good	2018-09-23	-20.87306	America/Sao_Paulo	-48.29694	Viradouro
accep	11/18/2014, 00:00:00	23.0072	America/Havana	-82.4017	Boyeros
good	19 Apr 2018	52.86147	Europe/Berlin	9.5926	Walsrode
good	2017/03/14	51.35084	Europe/London	-1.99421	Devizes
excellent	12 Oct 2019	45.0408	America/Chicago	-93.263	Columbia Heights
average	15 May 2019	40.85158	Asia/Shanghai	122.74754	Haicheng
good	2019/10/21	15.46063	Asia/Bangkok	99.89166	Thap Than
excellent	2015-12-01	9.92787	America/Costa_Rica	-84.13722	San Rafael
average	2016/10/11	61.78491	Europe/Moscow	34.34691	Petrozavodsk
accep	22 May 2017	60.18427	Europe/Helsinki	24.95034	Kallio
excellent	05/23/2014, 00:00:00	52.86147	Europe/Berlin	9.5926	Walsrode
maintenance	05/11/2019, 00:00:00	42.8334	America/Toronto	-80.38297	Norfolk County
excellent	2017-06-23	53.49389	Europe/London	-1.29243	Mexborough
building	2014/11/10	51.30001	Europe/Berlin	13.10984	Oschatz
maintenance	03/29/2018, 00:00:00	18.03496	America/Puerto_Rico	-66.8499	Yauco
average	06/02/2021, 00:00:00	33.41012	America/Chicago	-91.06177	Greenville
good	2020/08/17	-11.78333	Africa/Luanda	19.91667	Luena
excellent	2015-08-20	40.82232	America/New_York	-74.15987	Nutley
good	2019-02-22	35.85	Asia/Shanghai	117.7	Dongdu
accep	03/26/2013, 00:00:00	51.04962	Europe/Berlin	12.1369	Zeitz
excellent	2020/09/29	48.35149	Europe/Berlin	8.96317	Hechingen
accep	2015/08/01	41.77583	Asia/Tokyo	140.73667	Hakodate
good	2022/08/19	30.16688	America/Chicago	-96.39774	Brenham
good	05 Nov 2021	65.93381	Asia/Yakutsk	111.4834	Aykhal
good	08/24/2019, 00:00:00	45.43341	America/Toronto	-73.86586	Beaconsfield
maintenance	14 Nov 2020	48.90982	Europe/Paris	2.45012	Bobigny
accep	2017-08-11	25.13915	Asia/Kolkata	73.06784	Sheoganj
maintenance	01 Oct 2013	51.39323	Europe/London	0.47713	Strood
good	2020-07-02	65.84811	Europe/Helsinki	24.14662	Tornio
average	01/09/2019, 00:00:00	35.61452	America/Chicago	-88.81395	Jackson
excellent	23 Jul 2013	29.53885	America/Chicago	-95.44744	Fresno
excellent	07/02/2021, 00:00:00	44.92801	Europe/Paris	4.8951	Valence
excellent	2021-10-18	40.34912	America/Denver	-111.90466	Saratoga Springs
excellent	03/16/2015, 00:00:00	52.59319	Europe/Berlin	13.32127	Wittenau
excellent	02/02/2021, 00:00:00	-13.7804	Africa/Blantyre	34.4587	Salima
good	2015/01/10	13.56667	Africa/Banjul	-15.6	Farafenni
building	01/17/2022, 00:00:00	32.61603	Asia/Baghdad	44.02488	Karbala
maintenance	2018-06-11	13.73417	America/El_Salvador	-89.71472	Sonzacate
excellent	2022/03/05	59.33333	Europe/Stockholm	18.28333	Boo
average	2017-01-27	44.85278	Asia/Qyzylorda	65.50917	Kyzylorda
average	2015/02/14	30.29184	Asia/Karachi	71.67164	Qadirpur Ran
excellent	28 Jun 2013	38.17492	America/Los_Angeles	-122.2608	American Canyon
accep	07/17/2016, 00:00:00	-4.06667	Africa/Dar_es_Salaam	37.73333	Same
average	07/11/2020, 00:00:00	-2.90055	America/Guayaquil	-79.00453	Cuenca
good	07/01/2018, 00:00:00	33.45122	America/Chicago	-86.99666	Hueytown
average	2018-12-27	3.51667	Africa/Douala	11.5	Mbalmayo
average	2013-08-13	35.95664	Asia/Damascus	36.7138	Binnish
good	29 Oct 2021	41.41204	Europe/Madrid	2.18247	el Camp de l'Arpa del Clot
excellent	2016-08-01	47.38093	America/Los_Angeles	-122.23484	Kent
building	2015/03/23	35.8	Asia/Tokyo	137.23333	Gero
average	2015-06-27	53.53041	Europe/Moscow	43.67663	Nizhniy Lomov
good	03/24/2021, 00:00:00	36.02506	America/Chicago	-86.77917	Brentwood Estates
good	09 Mar 2014	60.97944	Asia/Yekaterinburg	76.92421	Izluchinsk
accep	24 Sep 2020	42.64031	Asia/Shanghai	125.51176	Dongfeng
accep	09 Jul 2020	33.54428	America/New_York	-84.23381	Stockbridge
building	10/03/2020, 00:00:00	48.35693	Europe/Berlin	10.98461	Friedberg
average	2016/03/25	-10.33333	Africa/Dar_es_Salaam	39.28333	Nyangao
good	2021-11-01	4.94273	Africa/Bangui	15.87735	Carnot
excellent	2017-12-21	40.67705	America/New_York	-73.89125	Cypress Hills
good	03/07/2018, 00:00:00	50.23805	Europe/Berlin	8.86704	Nidderau
good	2015-09-07	20.88197	Asia/Kolkata	85.83334	Bhuban
maintenance	2015/12/08	32.05971	Asia/Jerusalem	34.8732	Ganei Tikva
excellent	2013/09/16	48.77644	Europe/Paris	2.29026	Sceaux
maintenance	09/05/2017, 00:00:00	14.62578	Asia/Manila	121.12251	Antipolo
accep	09 Oct 2014	36.92574	Europe/Rome	14.72443	Ragusa
average	06/11/2013, 00:00:00	36.65	Asia/Tokyo	138.31667	Suzaka
accep	2017-10-07	33.43443	Africa/Casablanca	-5.22126	Azrou
maintenance	2015-01-22	42.50729	Europe/Andorra	1.53414	les Escaldes
excellent	11/14/2017, 00:00:00	-16.25	America/Lima	-69.08333	Yunguyo
accep	2013/11/14	39.57582	America/Denver	-105.11221	Ken Caryl
good	2014/01/01	-10.91111	America/Maceio	-37.07167	Aracaju
maintenance	11/08/2020, 00:00:00	37.30553	Asia/Shanghai	120.82747	Zhuangyuan
good	2014/07/22	2.2139	Asia/Kuala_Lumpur	102.3278	Kampung Ayer Molek
accep	03/14/2019, 00:00:00	-38.65333	Pacific/Auckland	178.00417	Gisborne
good	2019/04/13	12.18441	Africa/Ndjamena	18.69303	Mongo
good	09/19/2015, 00:00:00	50.75767	Europe/London	-1.5443	Lymington
average	04/01/2020, 00:00:00	9.92787	America/Costa_Rica	-84.13722	San Rafael
maintenance	02/11/2015, 00:00:00	3.02013	Africa/Kampala	30.91105	Arua
good	2021/10/23	41.94175	Asia/Shanghai	123.50266	Hushitai
accep	2013-12-19	36.33011	Asia/Tokyo	138.89585	Annaka
excellent	2020/02/25	55.82885	Europe/London	-4.21376	Rutherglen
accep	24 Nov 2020	53.16167	Europe/Amsterdam	6.76111	Hoogezand
excellent	11 Jul 2014	3.8801	America/Bogota	-77.03116	Buenaventura
average	27 Sep 2022	35.05266	America/New_York	-78.87836	Fayetteville
excellent	2017/10/24	0.49113	Africa/Lubumbashi	29.47306	Beni
good	02 Dec 2012	48.35693	Europe/Berlin	10.98461	Friedberg
average	16 Mar 2016	32.52515	America/Chicago	-93.75018	Shreveport
accep	12/13/2016, 00:00:00	41.20485	Europe/Lisbon	-8.33147	Paredes
excellent	2013/11/06	51.39323	Europe/London	0.47713	Strood
building	2018-09-22	6.46346	Africa/Accra	-2.31938	Bibiani
average	08 Jul 2020	41.0051	America/New_York	-73.78458	Scarsdale
excellent	01 Mar 2020	28.90054	America/New_York	-81.26367	Deltona
good	11/28/2015, 00:00:00	-4.83	Africa/Dar_es_Salaam	29.65806	Mwandiga
excellent	03/30/2013, 00:00:00	26.67319	Africa/Cairo	31.4976	Juhaynah
building	2015/06/20	42.7	Europe/Sofia	27.25	Aytos
accep	2017/11/19	0.46005	Africa/Nairobi	34.11169	Busia
good	27 Apr 2016	65.84811	Europe/Helsinki	24.14662	Tornio
good	09/18/2020, 00:00:00	53.83333	Europe/London	-2.98333	Poulton-le-Fylde
excellent	18 Apr 2020	-12.91667	America/Bahia	-39.25	Muritiba
average	2016/04/27	46.51872	Asia/Urumqi	86.00214	Hoxtolgay
accep	01/10/2021, 00:00:00	41.20485	Europe/Lisbon	-8.33147	Paredes
excellent	08 May 2021	41.92361	Europe/Skopje	20.91361	Bogovinje
average	2016-07-03	40.53123	Europe/Rome	17.58522	Francavilla Fontana
maintenance	2014/01/02	43.82634	Asia/Tokyo	144.09638	Motomachi
excellent	05 Jan 2015	15.73628	Asia/Kolkata	75.96976	Gajendragarh
excellent	2017/05/10	-21.44236	Africa/Gaborone	27.46153	Tonota
building	01 Jan 2021	26.9423	Asia/Karachi	68.11759	Tharu Shah
excellent	2017/04/01	9.6531	Asia/Manila	124.3697	Jagna
average	11 Dec 2018	40.53123	Europe/Rome	17.58522	Francavilla Fontana
building	01/30/2021, 00:00:00	4.88441	Asia/Kuala_Lumpur	101.96857	Gua Musang
good	15 Aug 2017	41.55838	America/New_York	-81.56929	Collinwood
building	03/07/2020, 00:00:00	-32.05251	Australia/Perth	115.88782	Willetton
good	2015-04-17	17.30858	Asia/Yangon	97.01124	Kyaikto
excellent	13 Dec 2013	36.33011	Asia/Tokyo	138.89585	Annaka
excellent	2022-08-19	11.12018	Asia/Kolkata	76.11996	Manjeri
good	2019/08/10	43.1122	Europe/Rome	12.38878	Perugia
excellent	2013-03-23	40.2737	America/New_York	-76.88442	Harrisburg
excellent	06/02/2022, 00:00:00	12.04161	Asia/Kolkata	75.35927	Talipparamba
good	2020/09/03	-3.5403	Asia/Makassar	118.9707	Majene
excellent	05/14/2019, 00:00:00	34.15429	Africa/Algiers	3.50309	Messaad
average	08 Sep 2014	28.54944	America/New_York	-81.77285	Clermont
building	2017/03/04	53.83333	Europe/London	-2.98333	Poulton-le-Fylde
excellent	10/29/2016, 00:00:00	9.6531	Asia/Manila	124.3697	Jagna
excellent	28 Dec 2017	46.09273	America/Menominee	-88.64235	Iron River
maintenance	2020-09-22	41.75338	America/Indiana/Indianapolis	-86.11084	Granger
excellent	12/01/2013, 00:00:00	54.60528	Europe/Warsaw	18.34717	Reda
average	2017-04-27	51.12794	Europe/Brussels	4.21372	Temse
average	14 Mar 2020	26.32293	Asia/Kolkata	91.00632	Barpeta
excellent	2019-04-15	43.86682	America/Toronto	-79.2663	Markham
good	23 Apr 2020	36.46917	Africa/Tunis	10.78222	Beni Khiar
excellent	12/08/2013, 00:00:00	24.41288	Asia/Kolkata	76.56719	Aklera
excellent	2013-06-25	55.8736	Asia/Novokuznetsk	85.4265	Yashkino
building	18 Jun 2018	11.85	Africa/Addis_Ababa	38.01667	Debre Tabor
excellent	08/14/2015, 00:00:00	51.78967	Europe/London	1.15597	Clacton-on-Sea
building	08/11/2019, 00:00:00	12.04161	Asia/Kolkata	75.35927	Talipparamba
accep	2019-12-12	-26.22861	America/Sao_Paulo	-52.67056	Pato Branco
good	12/16/2019, 00:00:00	49.65186	Europe/Kiev	26.97253	Krasyliv
excellent	2018-12-17	15.79408	Asia/Bangkok	104.1451	Yasothon
excellent	05/15/2019, 00:00:00	61.72744	Europe/Stockholm	17.10558	Hudiksvall
average	2022/04/14	16.0438	Asia/Manila	120.4861	Manaoag
average	2017/07/18	-22.9	Indian/Antananarivo	44.53333	Sakaraha
good	2020-09-26	36.46917	Africa/Tunis	10.78222	Beni Khiar
average	2022/02/13	-4.06667	Africa/Dar_es_Salaam	37.73333	Same
excellent	2022/06/02	44.98901	Europe/Moscow	38.94324	Yablonovskiy
maintenance	2022/09/17	14.46693	Asia/Kolkata	75.92694	Davangere
building	09/25/2022, 00:00:00	41.77583	Asia/Tokyo	140.73667	Hakodate
excellent	2016/10/03	-34.28853	Australia/Sydney	146.05093	Griffith
excellent	2014-08-21	50.9803	Europe/Berlin	11.32903	Weimar
good	2016/04/15	49.03685	Europe/Berlin	8.70745	Bretten
accep	04/06/2019, 00:00:00	35.30889	Asia/Tokyo	139.55028	Kamakura
average	2013/02/20	-7.81667	Asia/Jakarta	112.01667	Kediri
maintenance	2018/07/19	43.86682	America/Toronto	-79.2663	Markham
good	14 Mar 2022	18.65297	America/Port-au-Prince	-72.09391	Thomazeau
excellent	2016/11/03	50.71229	Europe/Brussels	4.52529	Rixensart
accep	2017/05/20	-7.0981	Asia/Jakarta	109.3243	Randudongkal
excellent	10/11/2012, 00:00:00	4.73245	America/Bogota	-74.26419	Madrid
good	26 Jun 2021	31.28092	Asia/Kolkata	74.85849	Patti
accep	22 Nov 2016	41.84364	America/Chicago	-87.71255	South Lawndale
excellent	27 Sep 2017	42.62833	Europe/Belgrade	20.89389	Glogovac
good	2013-12-05	38.72706	Europe/Lisbon	-9.24671	Carnaxide
good	2022/02/25	28.54944	America/New_York	-81.77285	Clermont
maintenance	02/25/2016, 00:00:00	52.21099	Europe/Berlin	7.02238	Gronau
building	16 Aug 2016	37.16911	Africa/Tunis	10.03478	El Alia
building	12/27/2015, 00:00:00	23.15678	America/Havana	-81.24441	Varadero
good	2017/08/22	52.14	Europe/Amsterdam	5.58472	Barneveld
excellent	2021-05-23	37.74615	Atlantic/Azores	-25.66689	Ponta Delgada
building	2022/03/17	51.65	Europe/London	-0.2	Barnet
average	2015/05/09	41.0051	America/New_York	-73.78458	Scarsdale
maintenance	21 May 2017	0.03813	Africa/Nairobi	36.36339	Nyahururu
average	2019/10/16	5.27247	Africa/Abidjan	-3.59625	Bonoua
accep	2019/01/20	-4.42472	America/Fortaleza	-41.45861	Pedro II
average	2017-02-14	6.33444	Asia/Manila	124.95278	Tupi
excellent	2016-05-03	25.92493	Asia/Kolkata	73.66633	Sojat
good	02/05/2013, 00:00:00	50.72043	Europe/Berlin	11.34046	Rudolstadt
accep	2014-08-08	40.72816	America/New_York	-74.07764	Jersey City
good	02/20/2022, 00:00:00	50.76306	Europe/London	-1.29772	Cowes
average	2020/03/10	40.2737	America/New_York	-76.88442	Harrisburg
average	05/05/2019, 00:00:00	-33.79176	Australia/Sydney	151.08057	Eastwood
maitennce	2021-07-22	-26.93366	Africa/Johannesburg	29.24152	Standerton
good	2021-10-08	23.9028	Asia/Dhaka	89.11943	Kushtia
building	27 May 2018	42.35843	America/New_York	-71.05977	Boston
building	2022/03/02	-24.19436	Africa/Johannesburg	29.00974	Mokopane
average	2020/01/20	43.54072	America/Boise	-116.56346	Nampa
excellent	2016/05/07	35.85	Asia/Shanghai	117.7	Dongdu
