QoS	location	code	latitude	revision	longitude
maintenance	Europe/Belgrade	RS	44.22639	10 Feb 2022	22.53083
maintenance	Europe/London	GB	50.79205	2016/05/20	-1.08593
average	America/Chicago	US	31.76212	01 Nov 2013	-95.63079
average	Asia/Manila	PH	9.3337	05/11/2014, 00:00:00	122.8637
excellent	Europe/London	GB	52.48173	2013/05/08	-2.12139
average	America/Recife	BR	-8.28333	2020-05-09	-35.03333
accep	Indian/Antananarivo	MG	-21.15	15 May 2016	46.58333
average	Europe/Prague	CZ	50.50301	2016-09-08	13.63617
excellent	Europe/Berlin	DE	50.9803	18 Dec 2012	11.32903
excellent	Asia/Shanghai	CN	45.75279	2017-07-11	130.57211
excellent	Europe/Amsterdam	NL	52.31333	2019-06-25	6.92917
accep	Europe/Paris	FR	48.98333	2015-05-28	2.61667
good	Africa/Addis_Ababa	ET	11.85	06/30/2013, 00:00:00	38.01667
excellent	Asia/Tokyo	JP	35.82756	25 Dec 2016	137.95378
accep	Asia/Samarkand	UZ	40.11583	14 Nov 2021	67.84222
accep	America/Mexico_City	MX	17.94979	2015-09-15	-94.91386
excellent	America/Bogota	CO	10.98778	2020-08-16	-74.95472
maintenance	Europe/London	GB	53.81667	2020-06-06	-3.05
building	Europe/Paris	FR	43.67681	2016-07-27	4.63031
excellent	Asia/Tokyo	JP	36.53333	10 Jan 2015	136.61667
excellent	Europe/Samara	RU	53.37596	12 Jan 2014	51.3452
accep	America/Detroit	US	42.97086	21 Nov 2017	-82.42491
building	Africa/Dar_es_Salaam	TZ	-5.41667	26 May 2016	38.01667
accep	America/Sao_Paulo	BR	-29.2975	03 Jun 2019	-51.50361
excellent	Asia/Kolkata	IN	18.51957	2015-08-05	73.85535
accep	America/Sao_Paulo	BR	-20.25333	07 Jun 2021	-43.80139
maitennce	Africa/Dar_es_Salaam	TZ	-4.06667	2018/04/16	37.73333
good	Europe/Madrid	ES	42.64685	2020/11/03	-5.55835
good	Europe/Sarajevo	BA	44.75874	2020-09-25	19.21437
maintenance	America/Caracas	VE	10.22677	09/09/2016, 00:00:00	-67.33122
good	America/New_York	US	41.9001	29 Dec 2014	-71.08977
average	Asia/Vladivostok	RU	53.14657	2019-06-16	140.72287
average	America/Los_Angeles	US	47.76232	09 Feb 2013	-122.2054
average	America/Havana	CU	23.15678	2020/11/28	-81.24441
average	Asia/Kolkata	IN	25.13915	2018-03-09	73.06784
good	America/Bahia	BR	-15.675	2020-10-16	-38.94722
accep	America/Boise	US	43.54072	01/23/2013, 00:00:00	-116.56346
average	Asia/Kolkata	IN	15.45144	2019-07-25	78.14797
good	Asia/Yerevan	AM	40.49748	10 Oct 2019	44.7662
accep	Asia/Bangkok	TH	13.44581	22 Apr 2018	101.18445
accep	Europe/Berlin	DE	51.88333	2022-08-06	8.51667
building	America/New_York	US	42.35843	2012/11/28	-71.05977
building	Asia/Manila	PH	12.37169	20 Apr 2017	123.62494
accep	America/Manaus	BR	-3.14306	06/04/2020, 00:00:00	-58.44417
maintenance	America/New_York	US	40.93121	2016-03-26	-73.89875
average	America/Sao_Paulo	BR	-19.32556	2013-09-18	-41.25528
maintenance	Europe/Berlin	DE	51.21667	10/17/2017, 00:00:00	6.26667
accep	America/New_York	US	40.5576	12/28/2014, 00:00:00	-74.28459
excellent	Asia/Karachi	PK	32.87533	2019/05/16	71.57118
building	Asia/Tokyo	JP	35.30889	2021/04/25	139.55028
accep	Europe/Istanbul	TR	37.31309	2020/06/27	40.74357
average	America/New_York	US	37.60876	10/16/2012, 00:00:00	-77.37331
maintenance	Asia/Yangon	MM	14.0823	11 Feb 2014	98.19151
accep	America/New_York	US	40.57788	12/30/2013, 00:00:00	-73.95958
average	Pacific/Port_Moresby	PG	-5.85746	2015-08-14	144.23058
average	Asia/Manila	PH	6.95194	2022-08-31	121.96361
excellent	Asia/Jakarta	ID	-7.54972	2017-01-19	110.71639
excellent	America/Caracas	VE	10.22677	02/07/2014, 00:00:00	-67.33122
excellent	Europe/Rome	IT	44.89784	01/08/2013, 00:00:00	8.86374
accep	Asia/Tokyo	JP	35.815	04/01/2015, 00:00:00	139.6853
average	America/Havana	CU	20.14298	2022/08/30	-77.43532
excellent	America/New_York	US	40.72816	18 Dec 2019	-74.07764
good	Europe/Amsterdam	NL	52.71083	2014/07/10	5.74861
building	Asia/Jakarta	ID	-8.43333	2022-03-17	114.33333
accep	America/Chicago	US	39.09112	09/16/2015, 00:00:00	-94.41551
building	America/New_York	US	41.66394	02/05/2018, 00:00:00	-83.55521
building	America/Bogota	CO	5.6561	2018-11-15	-75.87877
accep	Europe/Berlin	DE	51.04962	28 Dec 2018	12.1369
excellent	Africa/Dar_es_Salaam	TZ	-10.33333	2020/04/12	39.28333
good	America/Sao_Paulo	BR	-26.22861	19 May 2013	-52.67056
building	Europe/London	GB	51.26	2019/11/27	-2.1875
excellent	Europe/Rome	IT	40.55851	2022-05-19	17.80774
accep	Europe/Rome	IT	44.59445	2022/06/19	11.04979
accep	Africa/Bangui	CF	4.94273	2020-03-11	15.87735
building	America/Sao_Paulo	BR	-22.57306	05/10/2022, 00:00:00	-47.1725
good	Asia/Phnom_Penh	KH	13.65805	2020-12-20	102.56365
building	Europe/Sarajevo	BA	44.75874	2021/05/21	19.21437
excellent	Asia/Colombo	LK	6.9909	2022/02/02	79.883
accep	Africa/Nairobi	KE	0.46005	31 Jul 2015	34.11169
excellent	Asia/Tashkent	UZ	40.78206	04/04/2016, 00:00:00	72.34424
good	America/Sao_Paulo	BR	-22.53722	02 Oct 2012	-42.98194
average	America/Denver	US	39.57582	14 Nov 2020	-105.11221
average	America/New_York	US	27.09978	17 Apr 2018	-82.45426
maintenance	Europe/Madrid	ES	43.31667	2015/10/21	-2.68333
maintenance	Europe/Paris	FR	48.8222	11 Mar 2014	2.12213
accep	Asia/Kolkata	IN	21.34222	2020-08-28	71.30633
good	Europe/Istanbul	TR	37.58105	09/28/2013, 00:00:00	29.26639
maintenance	Europe/Madrid	ES	43.32686	06/20/2019, 00:00:00	-2.98884
good	Europe/Rome	IT	37.51803	2015/12/25	15.00913
accep	Asia/Tokyo	JP	35.815	2015-11-21	139.6853
accep	Asia/Kolkata	IN	9.82564	2016-11-09	78.25795
average	America/Mexico_City	MX	17.94979	2017/12/17	-94.91386
accep	Asia/Manila	PH	10.7375	31 Jan 2017	122.9666
average	America/New_York	US	26.2173	08/17/2014, 00:00:00	-80.22588
average	Asia/Jerusalem	IL	31.92923	04/25/2018, 00:00:00	34.86563
average	America/New_York	US	26.91756	03/18/2013, 00:00:00	-82.07842
average	America/Martinique	MQ	14.67751	27 Nov 2012	-60.94228
maintenance	Europe/Moscow	RU	46.7055	2019/05/02	38.2739
maintenance	America/Mexico_City	MX	17.94979	2016/08/31	-94.91386
excellent	Asia/Karachi	PK	25.80565	01/13/2013, 00:00:00	68.49143
accep	America/Los_Angeles	US	46.32374	04/16/2018, 00:00:00	-120.00865
good	Asia/Manila	PH	14.66	2021/03/03	120.56528
average	Africa/Abidjan	CI	5.84752	26 Nov 2015	-5.682
average	America/New_York	US	39.33427	2013/08/02	-76.43941
accep	Asia/Bangkok	TH	13.51825	2014/02/22	99.95469
average	Africa/Blantyre	MW	-13.7804	03 May 2020	34.4587
excellent	Asia/Yekaterinburg	RU	58.63667	04/20/2022, 00:00:00	59.80222
good	America/New_York	US	40.67705	05/11/2018, 00:00:00	-73.89125
good	Europe/Stockholm	SE	59.33333	2014-08-17	18.28333
accep	America/Chicago	US	45.16024	01/08/2018, 00:00:00	-93.08883
good	Europe/London	GB	51.78967	2015-06-04	1.15597
excellent	Africa/Libreville	GA	-1.63333	28 Apr 2020	13.58357
accep	Europe/Rome	IT	37.49223	31 Aug 2022	15.07041
excellent	Asia/Karachi	PK	27.52948	2017-07-16	68.75915
accep	America/Denver	US	40.65995	06/22/2021, 00:00:00	-111.99633
accep	Africa/Nairobi	KE	0.03813	2013/06/03	36.36339
good	America/Phoenix	US	33.35283	2019/09/20	-111.78903
good	Europe/Paris	FR	44.92801	20 Jun 2020	4.8951
average	Asia/Shanghai	CN	24.28859	2016-11-01	116.11768
average	Africa/Lagos	NG	6.8485	2021/08/28	3.64633
excellent	Asia/Jakarta	ID	-7.81667	28 Aug 2017	112.01667
maintenance	Europe/Paris	FR	43.32393	05 Dec 2017	5.4584
accep	America/Los_Angeles	US	34.09611	07/19/2020, 00:00:00	-118.10583
average	Asia/Kolkata	IN	25.75728	2021-01-31	75.37991
maintenance	Europe/London	GB	50.76306	2014/07/31	-1.29772
building	Asia/Tokyo	JP	34.61667	03 Aug 2016	135.6
excellent	Asia/Tokyo	JP	43.82634	2014-02-14	144.09638
excellent	Asia/Shanghai	CN	28.88162	01/27/2014, 00:00:00	120.03308
excellent	Europe/London	GB	53.49389	2019-12-17	-1.29243
accep	Asia/Yekaterinburg	RU	58.7002	2013/11/06	59.4839
building	Europe/Rome	IT	40.55851	2020/06/29	17.80774
accep	Asia/Kolkata	IN	24.05979	2017-04-18	77.40858
average	America/New_York	US	25.67927	08 Apr 2015	-80.31727
good	Europe/London	GB	53.78333	30 Dec 2019	-1.06667
maintenance	Asia/Kolkata	IN	33.37526	29 Apr 2018	74.3092
good	Europe/Paris	FR	43.61092	20 Oct 2016	3.87723
excellent	America/Santo_Domingo	DO	18.20854	02/21/2021, 00:00:00	-71.10077
good	Asia/Shanghai	CN	24.28859	01/13/2016, 00:00:00	116.11768
good	America/Chicago	US	30.16688	2017-11-26	-96.39774
accep	Asia/Kolkata	IN	25.92493	2021/07/18	73.66633
average	America/Mexico_City	MX	20.21322	12/16/2014, 00:00:00	-100.88023
good	Europe/London	GB	50.75767	13 Nov 2013	-1.5443
excellent	Asia/Manila	PH	10.31672	12 Mar 2017	123.89071
building	Africa/Gaborone	BW	-21.44236	2020/09/03	27.46153
average	Australia/Brisbane	AU	-25.54073	2016/08/23	152.70493
building	Europe/London	GB	53.69786	2019/10/07	-2.68758
good	Africa/Lagos	NG	7.50251	2014/12/17	5.06258
excellent	Europe/Paris	FR	48.77644	08/26/2017, 00:00:00	2.29026
excellent	Europe/Rome	IT	43.62558	13 Feb 2015	13.39954
excellent	Europe/Moscow	RU	61.78491	2019-08-03	34.34691
maintenance	Africa/Lubumbashi	CD	-8.73508	2014-07-09	24.99798
maintenance	Asia/Tokyo	JP	39.46667	2018-08-24	141.95
building	Europe/London	GB	53.49389	2017/11/22	-1.29243
average	America/New_York	US	41.48199	2019-09-10	-81.79819
excellent	Asia/Kolkata	IN	23.07492	31 Jul 2020	88.28637
building	Europe/Berlin	DE	50.23019	07/08/2019, 00:00:00	8.77155
maintenance	Africa/Tripoli	LY	24.96334	2017/04/27	10.18003
average	Europe/Rome	IT	40.92298	2019/03/26	14.30935
maintenance	Europe/Berlin	DE	48.78232	2017-10-17	9.17702
building	Asia/Yekaterinburg	RU	55.75556	2013-06-09	60.70278
excellent	Europe/Prague	CZ	50.50301	03/06/2022, 00:00:00	13.63617
average	America/Los_Angeles	US	47.76232	2013-03-24	-122.2054
excellent	America/New_York	US	34.25628	2016/11/29	-78.04471
excellent	Asia/Shanghai	CN	27.85	05/04/2020, 00:00:00	112.9
excellent	America/New_York	US	27.09978	2018/08/26	-82.45426
maintenance	Europe/Madrid	ES	41.63976	2019/01/29	2.35739
maintenance	Africa/Khartoum	SD	11.8659	2021-05-22	34.3869
good	Europe/Paris	FR	48.8765	06 Mar 2020	2.18967
maintenance	Europe/Brussels	BE	50.71229	2020/07/07	4.52529
accep	America/Los_Angeles	US	47.4943	08 Nov 2013	-122.24092
average	Europe/Paris	FR	45.51667	2019/12/24	4.86667
excellent	Africa/Nairobi	KE	3.11988	08/18/2013, 00:00:00	35.59642
excellent	America/New_York	US	42.4251	2014/03/29	-71.06616
excellent	Asia/Shanghai	CN	27.92333	2016-05-03	118.53333
average	Europe/Paris	FR	43.32393	07/03/2022, 00:00:00	5.4584
excellent	America/New_York	US	33.98154	06/08/2015, 00:00:00	-81.23621
average	America/Chicago	US	39.09112	2017-01-12	-94.41551
average	Europe/London	GB	50.75767	2015-01-14	-1.5443
average	Africa/Accra	GH	5.30383	22 Jan 2019	-1.98956
average	America/Mexico_City	MX	17.94979	06/13/2017, 00:00:00	-94.91386
accep	Asia/Baghdad	IQ	32.61603	04 May 2020	44.02488
accep	America/Sao_Paulo	BR	-28.81833	2019-03-03	-52.51028
maintenance	Europe/Prague	CZ	50.23271	2012-11-06	12.87117
excellent	America/New_York	US	35.05266	05/12/2019, 00:00:00	-78.87836
good	Asia/Damascus	SY	35.95664	2014-07-26	36.7138
accep	Europe/Berlin	DE	52.4581	2018/06/27	13.28702
maintenance	Asia/Tehran	IR	33.86419	2022/01/16	48.26258
building	Europe/Paris	FR	49.28669	09 Dec 2018	1.00288
maintenance	America/Sao_Paulo	BR	-22.53722	07 Oct 2018	-42.98194
maintenance	America/Denver	US	39.72943	19 Jul 2013	-104.83192
good	Europe/Berlin	DE	50.72043	25 Oct 2015	11.34046
good	Asia/Kuching	MY	5.90702	2015-03-09	116.10146
building	America/Port_of_Spain	TT	10.66668	2018-11-24	-61.51889
accep	America/Toronto	CA	43.86682	2017-05-31	-79.2663
accep	America/Havana	CU	23.0072	2014/12/03	-82.4017
accep	Africa/Brazzaville	CG	-4.26613	12/16/2012, 00:00:00	15.28318
good	America/Recife	BR	-8.05389	2018-11-18	-34.88111
building	Asia/Kuala_Lumpur	MY	1.6561	03 Nov 2018	103.6032
good	Asia/Tokyo	JP	34.25	28 Jul 2021	135.31667
building	America/Guayaquil	EC	-2.13404	06 Nov 2015	-79.59415
accep	Europe/London	GB	53.46506	2013-12-19	-1.47217
average	Africa/Algiers	DZ	36.06386	25 Aug 2020	4.62744
accep	America/Recife	BR	-8.28333	2018-09-02	-35.03333
accep	America/Puerto_Rico	PR	18.42745	2022/04/27	-67.15407
average	Africa/Gaborone	BW	-21.44236	09/24/2016, 00:00:00	27.46153
excellent	Asia/Seoul	KR	36.6009	23 May 2015	126.665
excellent	America/Toronto	CA	45.40008	04 Dec 2019	-73.58248
good	America/Sao_Paulo	BR	-28.81833	2013/04/20	-52.51028
maitennce	Asia/Baghdad	IQ	32.61603	2020/11/04	44.02488
excellent	Asia/Yangon	MM	16.68911	22 Sep 2020	98.50893
accep	Asia/Makassar	ID	-3.5403	07/11/2017, 00:00:00	118.9707
average	Europe/Rome	IT	45.50369	2020-01-03	11.412
accep	Asia/Kolkata	IN	27.9247	2021/04/16	78.40102
average	Africa/Kampala	UG	3.27833	2012/11/11	32.88667
building	Asia/Yekaterinburg	RU	56.9083	19 Dec 2021	60.8019
average	Europe/Berlin	DE	49.5099	09 Apr 2018	6.74549
maintenance	Africa/Cairo	EG	31.20176	2014/06/06	29.91582
accep	Europe/Berlin	DE	51.21667	12/04/2017, 00:00:00	6.26667
excellent	Asia/Shanghai	CN	41.94175	05/22/2020, 00:00:00	123.50266
good	America/New_York	US	32.54044	05/11/2020, 00:00:00	-82.90375
good	America/New_York	US	40.93121	16 Mar 2018	-73.89875
maintenance	America/Chicago	US	31.76212	15 Dec 2018	-95.63079
good	Europe/London	GB	57.47908	20 May 2022	-4.22398
accep	America/Sao_Paulo	BR	-28.81833	14 Aug 2017	-52.51028
excellent	Europe/Moscow	RU	58.1908	2016/05/07	40.17171
average	Europe/Berlin	DE	50.09019	18 Mar 2013	8.4493
excellent	Europe/London	GB	53.78333	2021/10/12	-1.06667
good	Europe/Berlin	DE	48.35149	2014/02/01	8.96317
excellent	Asia/Kolkata	IN	19.21667	03/24/2014, 00:00:00	73.08333
average	Europe/Istanbul	TR	37.31309	2014/11/12	40.74357
accep	Asia/Karachi	PK	32.87533	20 Mar 2015	71.57118
good	Asia/Kolkata	IN	23.1959	01 Apr 2021	86.51499
good	America/Sao_Paulo	BR	-21.205	27 Jun 2016	-41.88778
average	Africa/Algiers	DZ	36.72544	12/28/2014, 00:00:00	3.55665
good	Asia/Jerusalem	IL	32.05971	2019-01-30	34.8732
building	Asia/Manila	PH	14.8361	2013-05-25	120.97844
good	America/New_York	US	40.2737	12/23/2017, 00:00:00	-76.88442
accep	Europe/Zurich	CH	46.18396	2019/01/07	6.10237
good	America/Recife	BR	-8.66667	16 Sep 2019	-35.71667
average	America/Bahia	BR	-15.675	2014-02-05	-38.94722
excellent	Asia/Tokyo	JP	34.4833	2021/10/06	136.84186
good	Asia/Kolkata	IN	28.98002	2014/06/16	77.70636
average	Asia/Kolkata	IN	9.57046	2021-04-02	76.32756
excellent	America/New_York	US	43.16547	2012-12-15	-77.70066
good	America/Detroit	US	42.97086	2022-06-06	-82.42491
building	America/Chicago	US	42.16808	15 Aug 2019	-88.42814
average	Europe/Moscow	RU	64.5635	2016-04-30	39.8302
average	America/New_York	US	41.50343	05/23/2018, 00:00:00	-74.01042
accep	Asia/Kuala_Lumpur	MY	2.2139	10/25/2020, 00:00:00	102.3278
average	Europe/Rome	IT	45.53069	03/16/2021, 00:00:00	9.40531
good	America/Chicago	US	45.0408	12/09/2017, 00:00:00	-93.263
excellent	America/El_Salvador	SV	13.73417	2021-10-18	-89.71472
good	Asia/Manila	PH	9.6531	2016-08-27	124.3697
excellent	Europe/Prague	CZ	50.23271	2017/03/21	12.87117
average	America/Merida	MX	21.28306	2019/03/20	-89.66123
maitennce	America/Phoenix	US	33.50921	2017-03-11	-111.89903
excellent	Europe/Berlin	DE	51.47805	2021/11/12	6.8625
average	Asia/Manila	PH	8.56697	26 Jan 2015	123.33471
average	Atlantic/Canary	ES	27.76056	12 Jun 2015	-15.58602
excellent	Asia/Aqtobe	KZ	47.83333	2015-04-09	59.6
average	Asia/Phnom_Penh	KH	13.65805	08 Jul 2019	102.56365
good	Asia/Kolkata	IN	32.55531	2021-06-17	76.12647
maintenance	Asia/Karachi	PK	25.95533	2020/05/24	68.88871
good	Asia/Shanghai	CN	45.75279	2022/03/03	130.57211
building	Europe/Helsinki	FI	60.18427	2015-11-19	24.95034
good	Europe/Moscow	RU	55.85	2014-06-29	37.56667
accep	Europe/Paris	FR	48.8222	2017/08/22	2.12213
excellent	Africa/Addis_Ababa	ET	6.03333	29 Jul 2016	37.55
average	Europe/Paris	FR	48.98693	2017-11-20	2.44892
excellent	Asia/Shanghai	CN	41.27194	2022-04-28	123.17306
maintenance	Australia/Perth	AU	-32.05251	2013/01/26	115.88782
accep	Europe/London	GB	53.38333	2013/01/19	-0.76667
good	America/New_York	US	28.54944	24 Feb 2022	-81.77285
average	America/Argentina/Cordoba	AR	-31.25033	07/04/2022, 00:00:00	-61.4867
excellent	Europe/Madrid	ES	41.91738	2022/06/16	3.1631
accep	Asia/Kolkata	IN	18.87813	2021/12/11	72.93924
average	America/New_York	US	40.72371	05/24/2018, 00:00:00	-73.95097
good	Africa/Lubumbashi	CD	0.76755	2015-06-06	24.43973
excellent	Asia/Bangkok	TH	15.79408	2020/08/15	104.1451
accep	America/New_York	US	40.93121	2020-06-03	-73.89875
accep	Asia/Jakarta	ID	0.51667	24 Jan 2014	101.44167
excellent	Europe/London	GB	53.49389	2013/12/10	-1.29243
good	America/New_York	US	43.1009	2014/08/31	-75.23266
maintenance	Europe/Amsterdam	NL	52.14	2014/12/13	5.58472
building	Europe/Rome	IT	40.55851	31 Jan 2018	17.80774
accep	Europe/Moscow	RU	55.62047	2014/04/24	37.49338
building	Asia/Manila	PH	12.37169	30 Nov 2014	123.62494
building	Europe/Madrid	ES	43.31667	2021/09/16	-2.68333
maintenance	Europe/Chisinau	MD	48.15659	2015-04-05	28.28489
average	Asia/Shanghai	CN	36.19278	08/18/2018, 00:00:00	117.65694
accep	Africa/Kampala	UG	3.02013	2018/03/11	30.91105
accep	America/Chicago	US	44.73941	2015/07/11	-93.12577
maintenance	America/Lima	PE	-15.21194	2019/06/30	-75.11028
excellent	Europe/Brussels	BE	50.71229	2019-07-18	4.52529
average	Europe/Berlin	DE	48.49144	02/18/2018, 00:00:00	9.20427
good	Europe/Berlin	DE	53.59337	08 May 2018	9.47629
building	Africa/Algiers	DZ	36.27462	2014/10/23	4.85668
building	Europe/Istanbul	TR	37.58105	04/22/2016, 00:00:00	29.26639
average	Asia/Kuala_Lumpur	MY	4.02219	2012/10/19	101.02083
good	Europe/Kiev	UA	49.65186	04/04/2018, 00:00:00	26.97253
average	Europe/Dublin	IE	53.43333	2014-10-28	-7.95
good	Europe/London	GB	53.00974	08/03/2020, 00:00:00	-3.05814
building	Europe/Rome	IT	40.87363	08 Oct 2019	14.34085
accep	Europe/Berlin	DE	53.94313	2019/03/31	10.30215
building	America/Los_Angeles	US	45.49428	2012/12/29	-122.86705
building	Asia/Shanghai	CN	34.65918	15 May 2018	109.22921
maintenance	Asia/Shanghai	CN	27.34089	2018-02-23	117.4831
good	America/Chicago	US	42.16808	2015-03-14	-88.42814
accep	Asia/Shanghai	CN	35.64889	2015/11/04	117.27583
excellent	Africa/Niamey	NE	13.70727	09/13/2020, 00:00:00	9.15013
accep	America/Bogota	CO	7.83389	2021-06-12	-72.47417
good	Europe/Brussels	BE	50.8	2019/10/10	3.16667
building	Africa/Tunis	TN	36.46917	2016-01-29	10.78222
excellent	America/Bahia	BR	-11.48472	03 Jun 2015	-37.93278
average	Africa/Conakry	GN	9.535	2020-12-14	-13.68778
average	Europe/Moscow	RU	55.63711	06/27/2015, 00:00:00	37.38115
building	Asia/Kolkata	IN	28.98002	2014-01-14	77.70636
building	Asia/Manila	PH	14.14989	10 May 2014	121.3152
maintenance	Europe/Moscow	RU	54.90083	2020-11-25	38.07083
accep	Europe/Minsk	BY	53.5942	2021/11/24	25.8191
good	Asia/Irkutsk	RU	51.82721	05 May 2022	107.60627
maintenance	Europe/Prague	CZ	50.50301	13 Sep 2016	13.63617
average	America/Chicago	US	35.74788	2014/06/24	-95.36969
building	Asia/Kolkata	IN	21.34222	2015-08-27	71.30633
good	America/New_York	US	26.2173	2018/05/24	-80.22588
average	Asia/Kolkata	IN	22.88783	01 Jul 2014	84.13864
accep	Europe/London	GB	53.38333	2022/06/18	-0.76667
maintenance	America/New_York	US	41.14676	01/29/2021, 00:00:00	-73.49484
average	America/Panama	PA	9.15093	05/22/2013, 00:00:00	-79.62098
accep	America/New_York	US	39.32011	20 Sep 2022	-76.51552
good	Europe/Berlin	DE	50.64336	2015-08-02	7.2278
good	Europe/Berlin	DE	50.64336	10 Feb 2021	7.2278
excellent	Pacific/Honolulu	US	20.88953	2013-09-06	-156.47432
average	Asia/Jerusalem	IL	31.39547	05/07/2017, 00:00:00	34.75699
building	Asia/Irkutsk	RU	51.82721	2017-03-05	107.60627
average	Asia/Kolkata	IN	23.18	01/24/2015, 00:00:00	88.58
good	America/Recife	BR	-8.66667	2015/03/06	-35.71667
excellent	America/Los_Angeles	US	34.09611	04/24/2013, 00:00:00	-118.10583
average	Asia/Jakarta	ID	-1.6	14 Feb 2015	103.61667
maintenance	Asia/Tehran	IR	36.64852	2015/04/24	51.49621
good	Europe/Prague	CZ	50.50301	2015-08-24	13.63617
maintenance	Europe/London	GB	53.46506	2015-09-19	-1.47217
excellent	Europe/Madrid	ES	41.41204	02/14/2016, 00:00:00	2.18247
excellent	Europe/Brussels	BE	50.56149	01/24/2021, 00:00:00	4.69889
excellent	Asia/Shanghai	CN	23.29549	2015-06-14	113.82465
good	Indian/Reunion	RE	-20.88231	2016/01/15	55.4504
building	Europe/Amsterdam	NL	52.57583	02 Jun 2019	6.61944
accep	America/Los_Angeles	US	47.80527	06/28/2016, 00:00:00	-122.24064
good	Europe/Madrid	ES	42.64685	11/29/2013, 00:00:00	-5.55835
average	Asia/Shanghai	CN	41.09822	09/03/2013, 00:00:00	120.74792
good	Europe/Volgograd	RU	50.06	2013/03/19	43.2379
average	America/Mexico_City	MX	20.74122	2018-02-19	-100.44843
excellent	Europe/Berlin	DE	52.86147	2021-06-07	9.5926
building	Europe/Berlin	DE	48.78232	28 Aug 2016	9.17702
accep	America/Los_Angeles	US	34.14251	2019/07/10	-118.25508
average	Asia/Kolkata	IN	25.13915	03 Jul 2018	73.06784
excellent	Africa/Brazzaville	CG	-4.26613	2014/10/06	15.28318
accep	Asia/Hebron	PS	31.78336	2014-04-06	35.23388
maintenance	America/New_York	US	41.54566	02/21/2021, 00:00:00	-71.29144
accep	America/El_Salvador	SV	13.70167	2019/10/31	-89.10944
building	Asia/Kolkata	IN	26.32293	12/14/2012, 00:00:00	91.00632
average	Africa/Lagos	NG	7.50251	26 Jul 2021	5.06258
accep	America/New_York	US	27.09978	2019/01/03	-82.45426
good	Europe/Berlin	DE	52.86147	08/14/2020, 00:00:00	9.5926
average	America/Los_Angeles	US	34.63915	2019/04/15	-120.45794
good	Europe/Rome	IT	45.39402	06/09/2021, 00:00:00	9.29109
maintenance	America/New_York	US	40.65538	2020-02-25	-74.38987
average	Asia/Karachi	PK	32.57756	09/23/2020, 00:00:00	71.52847
average	Europe/Vilnius	LT	54.39635	03 Oct 2015	24.04142
accep	Europe/Amsterdam	NL	51.44889	2015/05/02	5.51978
good	Europe/Berlin	DE	50.64336	2013-01-24	7.2278
accep	America/Sao_Paulo	BR	-21.41222	2021-09-17	-42.19667
average	Europe/Paris	FR	43.71032	2015/11/30	-1.05366
building	America/Argentina/Cordoba	AR	-31.25033	06 May 2014	-61.4867
accep	Asia/Dushanbe	TJ	38.55632	30 Jun 2015	69.01354
accep	Asia/Jakarta	ID	-6.48167	04 Nov 2018	106.85417
accep	Europe/Moscow	RU	57.97472	2015-05-18	33.2525
building	Australia/Melbourne	AU	-38.16604	2018-07-20	145.13643
maintenance	Europe/Berlin	DE	53.94313	2017-12-10	10.30215
good	America/Puerto_Rico	PR	18.03496	01 Mar 2014	-66.8499
excellent	America/Matamoros	MX	25.87972	01/14/2019, 00:00:00	-97.50417
excellent	America/New_York	US	32.54044	09/14/2017, 00:00:00	-82.90375
excellent	Europe/Prague	CZ	50.50301	30 Jul 2022	13.63617
average	America/Detroit	US	42.97086	2015/09/08	-82.42491
excellent	Europe/Paris	FR	45.69558	05 Feb 2022	4.7934
maintenance	America/Tegucigalpa	HN	15.48131	10/13/2021, 00:00:00	-86.57415
accep	America/Toronto	CA	45.40008	02/13/2017, 00:00:00	-73.58248
average	Asia/Tokyo	JP	35	03/13/2016, 00:00:00	136.51667
average	Asia/Yekaterinburg	RU	56.9083	04/20/2019, 00:00:00	60.8019
maintenance	Asia/Manila	PH	14.8361	2015/09/09	120.97844
maintenance	America/Argentina/Buenos_Aires	AR	-37.32167	2017/09/16	-59.13316
average	Europe/Moscow	RU	56.85836	04 Sep 2013	35.90057
maintenance	Europe/Amsterdam	NL	52.71083	11/21/2015, 00:00:00	5.74861
good	Africa/Lubumbashi	CD	0.76755	2013/11/16	24.43973
good	Europe/London	GB	53.46506	2021/01/12	-1.47217
building	America/Boise	US	43.54072	07/09/2019, 00:00:00	-116.56346
excellent	Europe/Istanbul	TR	40.37528	2016-11-22	28.88222
good	America/Vancouver	CA	50.26729	2014-05-16	-119.27337
maintenance	America/New_York	US	43.91452	2019-09-08	-69.96533
excellent	America/Chicago	US	32.5007	12/04/2012, 00:00:00	-94.74049
excellent	Europe/Moscow	RU	56.85836	05 Apr 2022	35.90057
good	America/Sao_Paulo	BR	-23.7975	10/06/2021, 00:00:00	-48.59278
excellent	America/New_York	US	39.32288	2015/12/02	-76.72803
average	Asia/Karachi	PK	26.9423	16 Nov 2013	68.11759
good	America/Chicago	US	34.25807	03/14/2013, 00:00:00	-88.70464
excellent	America/Los_Angeles	US	47.76232	07/17/2020, 00:00:00	-122.2054
accep	Europe/London	GB	57.47908	2018-12-14	-4.22398
good	Asia/Tokyo	JP	35.30889	21 Aug 2020	139.55028
good	Africa/Lagos	NG	7.65649	09 Jun 2019	4.92235
average	Europe/Berlin	DE	53.94313	02/02/2016, 00:00:00	10.30215
