location	revision	code	QoS	latitude	longitude
America/Los_Angeles	12/12/2017, 00:00:00	US	building	47.64995	-117.23991
Europe/London	05 Jan 2014	GB	building	53.19146	-2.52398
Europe/Berlin	2015-01-05	DE	average	51.19139	6.51352
America/Chicago	05/14/2015, 00:00:00	US	building	41.85059	-87.882
America/Bogota	07/22/2014, 00:00:00	CO	excellent	8.79577	-75.69947
America/Sao_Paulo	03/03/2013, 00:00:00	BR	excellent	-22.53722	-42.98194
Europe/Kiev	2017/10/14	UA	excellent	49.07866	30.96755
Asia/Manila	2019-06-11	PH	excellent	9.6531	124.3697
America/Lima	2013-08-13	PE	good	-15.21194	-75.11028
Asia/Manila	06 Jun 2019	PH	excellent	10.7375	122.9666
Asia/Barnaul	2020/09/29	RU	average	53.30972	83.62389
America/New_York	2014-02-10	US	building	41.9001	-71.08977
Europe/Warsaw	04/30/2018, 00:00:00	PL	accep	51.14942	15.00835
America/Chicago	29 May 2014	US	average	39.09112	-94.41551
Europe/Moscow	2014/11/08	RU	accep	55.38752	36.73307
Africa/Casablanca	01 Jul 2014	MA	accep	34.31	-2.16
Europe/Moscow	07/05/2021, 00:00:00	RU	maintenance	53.53395	33.72798
Europe/Berlin	2019/12/02	DE	good	53.6052	10.03988
Europe/Berlin	2017-08-15	DE	excellent	51.88333	8.51667
Europe/Amsterdam	2022/07/25	NL	excellent	51.65333	5.2875
Europe/Moscow	2021/02/21	RU	average	57.30185	39.85331
Europe/Vienna	07/05/2015, 00:00:00	AT	accep	48.25	16.4
America/New_York	2017/07/22	US	accep	40.65538	-74.38987
Europe/Moscow	2020/02/16	RU	maintenance	54.8421	46.5813
Asia/Tokyo	2019-09-01	JP	excellent	34.61667	135.6
Asia/Shanghai	2019-04-26	CN	accep	35.20889	111.73861
Asia/Kolkata	2014/05/31	IN	good	12.25282	79.41727
Europe/Moscow	06 Jun 2014	RU	building	56.85836	35.90057
Asia/Kolkata	2018/05/14	IN	maintenance	17.34769	78.55757
Asia/Shanghai	02/07/2014, 00:00:00	CN	average	37.19723	122.05228
Asia/Kolkata	2015/12/18	IN	excellent	26.11527	86.59509
Asia/Jakarta	23 Jul 2013	ID	average	-7.54972	110.71639
Asia/Tashkent	08/05/2020, 00:00:00	UZ	accep	40.78206	72.34424
Asia/Shanghai	2012-12-17	CN	good	28.88162	120.03308
Asia/Shanghai	2014/08/09	CN	average	41.94175	123.50266
America/Los_Angeles	2018-05-29	US	excellent	47.76232	-122.2054
Europe/Moscow	09/30/2019, 00:00:00	RU	good	46.7055	38.2739
America/Sao_Paulo	09 May 2013	BR	average	-28.81833	-52.51028
America/New_York	04/22/2015, 00:00:00	US	good	40.93121	-73.89875
Asia/Kolkata	2016-02-06	IN	good	21.46527	83.97573
Europe/Rome	20 Jul 2022	IT	average	41.24264	16.50104
America/Chicago	2019-03-04	US	good	35.61452	-88.81395
Europe/Saratov	02/22/2020, 00:00:00	RU	average	51.40944	46.04833
Europe/Moscow	2019/07/02	RU	average	54.03876	43.91385
Asia/Jakarta	07 May 2013	ID	accep	-1.26424	104.09701
America/Denver	06/15/2019, 00:00:00	US	good	32.42067	-104.22884
America/El_Salvador	2022/05/24	SV	accep	13.73417	-89.71472
Asia/Jakarta	2021/06/20	ID	good	-6.48167	106.85417
Asia/Samarkand	2019-07-30	UZ	accep	40.11583	67.84222
Europe/Kiev	2017-05-09	UA	average	45.99194	29.41824
America/Phoenix	17 Feb 2014	US	average	33.35283	-111.78903
America/Santo_Domingo	02/01/2013, 00:00:00	DO	good	18.20854	-71.10077
Asia/Shanghai	2018-02-27	CN	accep	34.85	117.33333
Asia/Shanghai	2015-03-16	CN	accep	35.50056	117.63083
America/Chicago	2017-09-13	US	excellent	45.16024	-93.08883
America/New_York	2017/03/08	US	excellent	39.45621	-77.96389
America/New_York	2012/11/22	US	good	42.4251	-71.06616
Europe/London	2012-11-18	GB	accep	51.65	-0.2
America/Mexico_City	07/06/2013, 00:00:00	MX	average	17.06542	-96.72365
Europe/Lisbon	2018-10-13	PT	excellent	41.1053	-7.32097
Asia/Damascus	2013-05-10	SY	good	35.95664	36.7138
Europe/Rome	2015/11/27	IT	average	44.59445	11.04979
America/Santiago	04/13/2021, 00:00:00	CL	average	-32.45242	-71.23106
America/Argentina/Cordoba	2013/09/11	AR	excellent	-31.25033	-61.4867
Africa/Douala	04 Sep 2014	CM	excellent	4.2475	9.00472
America/Glace_Bay	05/06/2013, 00:00:00	CA	average	46.1351	-60.1831
America/Los_Angeles	03/31/2022, 00:00:00	US	maintenance	33.52253	-117.70755
Europe/Madrid	2020-09-18	ES	good	41.41204	2.18247
Europe/Berlin	2013-02-27	DE	good	53.94313	10.30215
America/New_York	03/27/2021, 00:00:00	US	good	39.43534	-84.20299
America/Edmonton	05 May 2015	CA	accep	53.51684	-113.3187
Asia/Karachi	11/14/2013, 00:00:00	PK	accep	32.17629	75.06583
America/New_York	06/23/2018, 00:00:00	US	excellent	43.61062	-72.97261
Asia/Bangkok	21 May 2014	TH	average	15.58552	102.42587
Europe/Berlin	09/23/2019, 00:00:00	DE	accep	51.21667	6.26667
Africa/Bamako	2015-11-16	ML	accep	12.74409	-8.07257
Europe/Tallinn	07 Jan 2015	EE	excellent	59.37722	28.19028
Asia/Shanghai	25 May 2018	CN	average	23.29549	113.82465
Europe/London	2016/05/27	GB	maintenance	53.46506	-1.47217
Europe/Rome	2022/05/08	IT	excellent	45.78071	12.84052
Europe/Paris	05/23/2015, 00:00:00	FR	accep	43.11667	1.6
America/Argentina/Cordoba	04/26/2021, 00:00:00	AR	building	-31.25033	-61.4867
Asia/Shanghai	12/06/2014, 00:00:00	CN	accep	41.09822	120.74792
America/Bogota	2018/03/10	CO	excellent	5.6561	-75.87877
Asia/Shanghai	25 Dec 2020	CN	average	23.29549	113.82465
America/Fortaleza	2018/05/16	BR	accep	-4.16694	-40.7475
Asia/Tokyo	2018-12-10	JP	accep	35.82756	137.95378
America/Porto_Velho	2018/07/31	BR	excellent	-8.76194	-63.90389
Africa/Tunis	2012-12-30	TN	excellent	35.72917	10.58082
America/Detroit	13 Dec 2015	US	excellent	42.30865	-83.48216
Asia/Kolkata	2018-09-07	IN	accep	19.21667	73.08333
Asia/Manila	08/24/2016, 00:00:00	PH	excellent	14.8361	120.97844
Europe/London	2015-04-08	GB	average	51.40148	-1.32471
Asia/Kolkata	15 Jun 2019	IN	average	31.28092	74.85849
America/Los_Angeles	2020-08-24	US	maintenance	46.32374	-120.00865
America/Los_Angeles	18 Oct 2012	US	average	47.80527	-122.24064
Europe/Rome	01/12/2019, 00:00:00	IT	excellent	42.67164	14.01481
Europe/Rome	2014-02-03	IT	accep	37.51803	15.00913
Asia/Kolkata	04/16/2016, 00:00:00	IN	maintenance	21.53889	71.57737
Europe/Malta	2014/12/20	MT	accep	35.89972	14.51472
Asia/Kolkata	12/04/2021, 00:00:00	IN	average	16.06213	76.0586
Europe/Istanbul	02/13/2015, 00:00:00	TR	average	37.31309	40.74357
America/New_York	13 Apr 2020	US	good	37.52487	-77.55777
Asia/Kolkata	2014-10-15	IN	excellent	25.6439	77.9129
Asia/Shanghai	2019/02/20	CN	excellent	34.65918	109.22921
Asia/Makassar	2022-05-07	ID	average	3.31332	117.59152
America/Chicago	2016/11/15	US	accep	32.44874	-99.73314
Asia/Kolkata	07/10/2016, 00:00:00	IN	excellent	15.5439	73.7553
Europe/Berlin	11/03/2013, 00:00:00	DE	excellent	50.80904	8.77069
America/Los_Angeles	2015-04-25	US	excellent	33.72255	-116.37697
Europe/Vienna	08/09/2020, 00:00:00	AT	good	48.25	16.4
America/Argentina/Buenos_Aires	27 Nov 2021	AR	accep	-37.32167	-59.13316
America/Sao_Paulo	08/26/2013, 00:00:00	BR	average	-25.42778	-49.27306
America/Chicago	12/21/2017, 00:00:00	US	good	29.84576	-90.10674
America/New_York	01/04/2019, 00:00:00	US	accep	33.08014	-83.2321
Asia/Tokyo	2019-11-04	JP	maintenance	34.9	137.5
Africa/Lubumbashi	12/05/2013, 00:00:00	CD	average	-8.73508	24.99798
Asia/Yekaterinburg	2017/04/23	RU	good	54.48147	53.47103
America/Manaus	2013-11-21	BR	average	-3.14306	-58.44417
America/Belem	2013/11/04	BR	excellent	-0.71667	-48.52333
Asia/Aqtobe	21 Oct 2013	KZ	building	47.83333	59.6
Europe/Berlin	2013/11/01	DE	average	48.35693	10.98461
America/Chicago	2012/11/23	US	accep	31.76212	-95.63079
America/Sao_Paulo	28 Feb 2014	BR	good	-17.74431	-48.62789
Asia/Kolkata	2020-11-01	IN	excellent	20.88197	85.83334
America/Los_Angeles	07/01/2020, 00:00:00	US	maintenance	34.21639	-119.0376
Asia/Manila	2019/06/24	PH	excellent	10.7375	122.9666
Asia/Seoul	01/05/2016, 00:00:00	KR	maintenance	37.1759	128.9889
Asia/Yekaterinburg	2016-04-27	RU	accep	58.04254	65.27258
Asia/Kolkata	09 Mar 2016	IN	good	30.21121	74.4818
Africa/Mogadishu	02 Jun 2022	SO	good	9.89206	43.38531
America/Chicago	29 Nov 2021	US	excellent	37.95143	-91.77127
Africa/Lagos	2021/03/01	NG	excellent	6.15038	6.83042
America/Indiana/Indianapolis	11/07/2013, 00:00:00	US	excellent	39.78504	-85.76942
America/Mexico_City	2016/09/27	MX	excellent	20.22816	-103.5687
America/Sao_Paulo	2012-11-19	BR	accep	-22.45667	-47.53028
Europe/London	06/21/2016, 00:00:00	GB	good	52.66277	-2.01111
Europe/London	2018/03/15	GB	maintenance	51.39148	-0.29825
Europe/Madrid	03/09/2020, 00:00:00	ES	excellent	38.47917	-1.325
Europe/Rome	2014-11-05	IT	maintenance	37.51803	15.00913
Asia/Bangkok	17 Feb 2014	TH	accep	14.37395	100.48528
Europe/Moscow	2022/03/17	RU	excellent	58.1908	40.17171
Asia/Karachi	2018/05/15	PK	average	29.69221	72.54566
Africa/Cairo	2020-05-01	EG	maintenance	31.20176	29.91582
America/New_York	2019/11/22	US	maintenance	43.61062	-72.97261
Asia/Karachi	02 Feb 2021	PK	excellent	27.55898	68.21204
Africa/Lagos	09/21/2022, 00:00:00	NG	building	7.65649	4.92235
America/Mazatlan	2017/12/25	MX	excellent	22.49396	-105.36369
Asia/Dili	2020/01/29	TL	excellent	-8.99167	125.21972
America/Chicago	2020-10-01	US	building	35.25064	-91.73625
Asia/Kolkata	05 Apr 2021	IN	average	27.9247	78.40102
Europe/Madrid	07/26/2020, 00:00:00	ES	average	37.35813	-6.03731
Asia/Kolkata	05 Nov 2017	IN	good	34.08565	74.80555
America/Panama	2012-10-08	PA	maintenance	9.15093	-79.62098
America/Matamoros	2013/05/01	MX	maintenance	25.87972	-97.50417
Europe/Madrid	2013/11/08	ES	good	41.91738	3.1631
Asia/Kolkata	05/20/2016, 00:00:00	IN	excellent	23.49668	86.68363
Europe/Amsterdam	2017/05/03	NL	average	52.31333	6.92917
Asia/Seoul	10/05/2013, 00:00:00	KR	excellent	37.65639	126.835
Africa/Lubumbashi	10/05/2013, 00:00:00	CD	excellent	0.49113	29.47306
Europe/Brussels	2021/01/11	BE	maintenance	50.71229	4.52529
Europe/Zurich	09/11/2016, 00:00:00	CH	maintenance	47.30997	8.52462
Europe/London	09/01/2021, 00:00:00	GB	building	51.84819	1.26738
Africa/Freetown	2022/02/22	SL	good	8.48714	-13.2356
Europe/Vienna	2014/06/17	AT	accep	47.05	15.46667
America/New_York	2016-11-30	US	average	37.60876	-77.37331
Africa/Libreville	10/11/2014, 00:00:00	GA	accep	-1.63333	13.58357
Africa/Douala	2022-05-07	CM	good	3.51667	11.5
Asia/Manila	2019-09-09	PH	average	10.13361	124.84472
Europe/Moscow	2019-10-29	RU	acceptable	55.38752	36.73307
Asia/Dili	01/28/2018, 00:00:00	TL	average	-8.99167	125.21972
Europe/Kiev	2015/05/26	UA	excellent	49.65186	26.97253
Europe/Rome	2016/01/04	IT	good	45.50369	11.412
Europe/Zaporozhye	2021/05/27	UA	maintenance	49.41029	38.15035
Asia/Hong_Kong	2019/09/12	HK	good	22.37066	114.10479
Europe/London	2017-11-03	GB	acceptable	52.41667	0.75
Europe/Rome	08/03/2020, 00:00:00	IT	excellent	37.51803	15.00913
Asia/Kolkata	2021-09-02	IN	building	21.53889	71.57737
Asia/Shanghai	2016/01/15	CN	good	34.85	117.33333
Europe/Moscow	23 Sep 2020	RU	accep	53.93361	37.92792
Asia/Manila	05 Feb 2013	PH	excellent	16.455	120.5875
America/Chicago	2013-11-15	US	maintenance	41.8542	-87.66561
Indian/Antananarivo	2014/06/23	MG	excellent	-17.83333	48.41667
America/Sao_Paulo	2019/05/01	BR	accep	-19.7625	-44.31389
America/Mexico_City	2020-04-11	MX	accep	21.01858	-101.2591
Europe/Moscow	2015/12/21	RU	building	57.30185	39.85331
Asia/Shanghai	2015-04-19	CN	excellent	34.85	117.33333
America/New_York	2017-01-11	US	excellent	34.25628	-78.04471
Europe/Berlin	2021/06/11	DE	good	51.08468	7.11393
Asia/Shanghai	2016/09/11	CN	good	40.85158	122.74754
America/Santo_Domingo	2015/01/09	DO	good	18.20854	-71.10077
Asia/Jerusalem	2020/07/16	IL	average	31.39547	34.75699
Pacific/Auckland	2014/12/05	NZ	good	-38.65333	178.00417
Europe/London	2018/06/21	GB	average	53.19146	-2.52398
America/Havana	09 Jun 2015	CU	maintenance	23.04419	-82.00919
Asia/Kolkata	16 Aug 2013	IN	accep	25.6439	77.9129
Australia/Perth	24 Apr 2013	AU	accep	-32.05251	115.88782
Europe/Vilnius	2014-06-10	LT	accep	54.39635	24.04142
Europe/Moscow	21 Jul 2019	RU	average	53.95278	32.86389
Asia/Seoul	12/15/2017, 00:00:00	KR	accep	37.1759	128.9889
Asia/Karachi	2021-12-13	PK	average	30.76468	74.12286
Europe/Moscow	15 Jun 2018	RU	good	56.85836	35.90057
America/Bogota	2017-03-12	CO	accep	6.46838	-73.26022
America/Porto_Velho	09/14/2022, 00:00:00	BR	maintenance	-8.76194	-63.90389
Africa/Johannesburg	12 Aug 2021	ZA	building	-24.19436	29.00974
America/Toronto	01/10/2013, 00:00:00	CA	excellent	45.40008	-73.58248
Europe/Rome	2019/11/25	IT	average	41.55947	14.66737
America/Los_Angeles	2015-06-09	US	building	38.54491	-121.74052
Asia/Karachi	2016/03/01	PK	building	25.80565	68.49143
Europe/Paris	20 Sep 2015	FR	excellent	43.67681	4.63031
Asia/Seoul	2015/10/10	KR	average	36.82167	128.63083
Asia/Yekaterinburg	02 Feb 2022	RU	good	56.11281	69.49015
Asia/Yekaterinburg	07/14/2016, 00:00:00	RU	accep	51.4781	57.3552
America/Caracas	03/07/2016, 00:00:00	VE	accep	9.91861	-68.30472
America/Los_Angeles	03 Jul 2017	US	average	34.14251	-118.25508
Africa/Abidjan	16 Feb 2014	CI	excellent	5.84752	-5.682
America/New_York	09 Jul 2022	US	excellent	39.08367	-84.50855
Asia/Jakarta	30 Jul 2019	ID	excellent	-7.51611	109.05389
Asia/Jakarta	2019-11-01	ID	average	3.3285	99.1625
Asia/Manila	2013-12-20	PH	maintenance	14.95472	120.89694
Asia/Kolkata	2016-11-21	IN	excellent	12.1277	78.15794
America/New_York	08 Nov 2015	US	good	41.9001	-71.08977
Asia/Makassar	29 Sep 2019	ID	accep	3.31332	117.59152
America/New_York	31 Dec 2019	US	good	40.68066	-73.47429
America/Chicago	2022-01-11	US	good	41.85059	-87.882
Europe/Moscow	06 Mar 2013	RU	maintenance	55.85	37.56667
Europe/Madrid	2018-06-28	ES	average	37.35813	-6.03731
America/Guayaquil	16 Dec 2013	EC	accep	-2.90055	-79.00453
Europe/Madrid	2016-10-24	ES	building	37.49073	-2.77259
America/Chicago	2020/07/29	US	building	41.8542	-87.66561
Europe/Istanbul	06/28/2021, 00:00:00	TR	accep	39.12074	27.18052
Europe/Amsterdam	05/07/2017, 00:00:00	NL	good	52.09	5.23333
Asia/Tashkent	02/15/2021, 00:00:00	UZ	good	41.29444	69.67639
America/Glace_Bay	27 Jun 2018	CA	average	46.1351	-60.1831
America/Maceio	2020/02/11	BR	average	-10.90889	-37.03861
Europe/Rome	2021-03-06	IT	average	42.22718	14.39024
America/New_York	2022/02/09	US	accep	40.68066	-73.47429
Europe/Amsterdam	07 Nov 2016	NL	good	51.44889	5.51978
Europe/Sofia	05/17/2020, 00:00:00	BG	average	41.57439	24.71204
Africa/Algiers	2016/12/09	DZ	excellent	36.76775	2.95924
America/Chicago	2018-08-29	US	excellent	32.52515	-93.75018
Asia/Manila	14 Sep 2014	PH	excellent	14.14989	121.3152
Asia/Kolkata	07 Jun 2021	IN	excellent	33.37526	74.3092
Europe/Paris	2016/04/20	FR	good	48.90982	2.45012
Africa/Tunis	10/28/2018, 00:00:00	TN	good	36.46917	10.78222
America/Toronto	05/31/2018, 00:00:00	CA	maintenance	45.4473	-73.75335
Africa/Addis_Ababa	2021-06-06	ET	accep	11.85	38.01667
Europe/Malta	2022/05/01	MT	average	35.89972	14.51472
Asia/Shanghai	2020/03/03	CN	good	46.08333	122.08333
Africa/Algiers	2014-03-17	DZ	good	36.76639	3.47717
Asia/Karachi	07 Feb 2018	PK	accep	25.80565	68.49143
Africa/Lagos	2018-11-21	NG	acceptable	9.58126	8.2926
America/New_York	10/13/2012, 00:00:00	US	accep	41.55815	-73.0515
America/Chicago	2016/07/19	US	maintenance	39.09112	-94.41551
America/El_Salvador	2019-12-13	SV	excellent	13.70167	-89.10944
Europe/Moscow	2018/10/06	RU	excellent	59.80917	30.38167
Asia/Kolkata	05/15/2019, 00:00:00	IN	maintenance	18.51957	73.85535
Asia/Almaty	08/04/2018, 00:00:00	KZ	building	47.46657	84.87144
Asia/Jakarta	2021/12/27	ID	accep	-7.81667	112.01667
Europe/Istanbul	2021-11-07	TR	good	40.37528	28.88222
America/New_York	04/08/2022, 00:00:00	US	maintenance	34.06635	-84.67837
Europe/Rome	2019-03-04	IT	building	43.62558	13.39954
America/Sao_Paulo	2018-10-22	BR	average	-22.97056	-46.99583
Asia/Jakarta	2021/07/18	ID	maintenance	-7.01833	107.60389
Asia/Tokyo	2019/08/14	JP	accep	35.82756	137.95378
Africa/Lagos	2013-10-18	NG	good	7.65649	4.92235
Africa/Casablanca	01/01/2021, 00:00:00	MA	excellent	33.43443	-5.22126
America/Mexico_City	14 Oct 2017	MX	maintenance	17.94979	-94.91386
America/Recife	02/22/2018, 00:00:00	BR	good	-8.28333	-35.03333
America/New_York	2015/09/11	US	maitennce	39.32288	-76.72803
America/Chicago	2020-07-09	US	good	30.16688	-96.39774
Asia/Kolkata	04/02/2013, 00:00:00	IN	maintenance	14.46693	75.92694
Africa/Lubumbashi	2015-09-14	CD	excellent	0.49113	29.47306
America/Mexico_City	2014/12/25	MX	good	19.04222	-98.11889
Europe/London	2016-07-26	GB	accep	57.47908	-4.22398
America/Managua	2022/07/06	NI	excellent	11.84962	-86.19903
America/Argentina/Buenos_Aires	2021/06/26	AR	building	-34.64966	-58.38341
America/New_York	11/14/2016, 00:00:00	US	average	43.61062	-72.97261
Africa/Addis_Ababa	04/14/2015, 00:00:00	ET	excellent	6.03333	37.55
Asia/Tokyo	2018/09/06	JP	good	39.46667	141.95
Australia/Perth	2017-03-12	AU	acceptable	-32.05251	115.88782
Africa/Kinshasa	2014-12-29	CD	good	-4.5833	15.16554
Asia/Manila	2014/03/02	PH	average	14.62578	121.12251
Asia/Manila	06/27/2020, 00:00:00	PH	excellent	6.33444	124.95278
Asia/Shanghai	2022/01/13	CN	good	40.66482	122.22833
Europe/Paris	2019/02/11	FR	good	44.80477	-0.59543
Asia/Kolkata	22 Nov 2015	IN	excellent	34.08565	74.80555
Europe/Moscow	2013-12-18	RU	average	55.63711	37.38115
America/New_York	12/15/2019, 00:00:00	US	building	41.27621	-72.86843
Africa/Casablanca	03/08/2016, 00:00:00	MA	accep	33.92866	-6.90656
America/Chicago	2015/08/22	US	good	38.06084	-97.92977
America/Argentina/Ushuaia	2016/06/23	AR	good	-54.8	-68.3
Africa/Dar_es_Salaam	2021/12/22	TZ	good	-10.33333	39.28333
America/Bogota	05 Aug 2020	CO	accep	3.8801	-77.03116
America/Lima	2017-05-21	PE	good	-3.74912	-73.25383
Asia/Shanghai	2021-11-11	CN	maintenance	37.19723	122.05228
Asia/Yekaterinburg	05/06/2019, 00:00:00	RU	accep	51.4781	57.3552
Europe/Oslo	05/26/2013, 00:00:00	NO	accep	68.79833	16.54165
America/Chicago	05/07/2014, 00:00:00	US	building	42.16808	-88.42814
Europe/Belgrade	04/14/2022, 00:00:00	XK	accep	42.62833	20.89389
Europe/Lisbon	2016/02/09	PT	accep	41.1053	-7.32097
Africa/Luanda	2014-07-26	AO	average	-11.78333	19.91667
Asia/Tokyo	05/17/2018, 00:00:00	JP	excellent	43.82634	144.09638
Asia/Kolkata	08/03/2022, 00:00:00	IN	good	12.95629	78.27539
Asia/Shanghai	2022-02-18	CN	accep	34.65918	109.22921
Europe/Moscow	03/17/2016, 00:00:00	RU	accep	59.80917	30.38167
America/Sao_Paulo	2021-12-03	BR	average	-23.7975	-48.59278
Europe/Berlin	13 Apr 2017	DE	excellent	54.52156	9.5586
Europe/Helsinki	16 Nov 2017	FI	good	65.84811	24.14662
Asia/Kolkata	2014-10-24	IN	average	14.62072	74.83554
Africa/Algiers	2014-12-18	DZ	maintenance	36.27462	4.85668
Asia/Yakutsk	04/16/2018, 00:00:00	RU	accep	65.93381	111.4834
Europe/Berlin	05 Nov 2016	DE	accep	51.21667	6.26667
America/Bogota	2022/08/07	CO	maintenance	5.6561	-75.87877
America/Denver	2020/02/29	US	average	40.65995	-111.99633
Africa/Algiers	2015-07-26	DZ	accep	36.61954	4.08282
Europe/Vilnius	2019-04-22	LT	good	54.39635	24.04142
Asia/Seoul	31 Jul 2015	KR	average	36.82167	128.63083
Asia/Shanghai	07/24/2022, 00:00:00	CN	excellent	42.64031	125.51176
Asia/Yekaterinburg	06 Jul 2018	RU	good	56.9083	60.8019
America/New_York	08/26/2015, 00:00:00	US	good	39.96097	-75.60804
Europe/Kiev	20 Jun 2016	UA	maintenance	47.56494	31.33078
Europe/London	11/18/2017, 00:00:00	GB	maintenance	53.19146	-2.52398
Europe/Copenhagen	2012-12-12	DK	building	55.67938	12.53463
Europe/Amsterdam	2014/09/11	NL	average	51.955	5.22778
America/Chicago	2019-09-08	US	accep	40.56754	-89.64066
Asia/Baghdad	08 Dec 2021	IQ	maintenance	32.61603	44.02488
Europe/Amsterdam	2015-09-02	NL	excellent	51.955	5.22778
America/Chicago	2020/07/01	US	accep	41.80753	-87.65644
Asia/Kolkata	06 Jul 2016	IN	average	26.2649	81.54855
America/Los_Angeles	2017-10-31	US	accep	45.49428	-122.86705
Asia/Manila	2017-08-05	PH	accep	12.97389	123.99333
Asia/Shanghai	03 Oct 2015	CN	building	41.27194	123.17306
America/Lima	2015/07/12	PE	accep	-3.74912	-73.25383
Asia/Shanghai	2020/05/25	CN	maintenance	28.88162	120.03308
America/Havana	11/10/2020, 00:00:00	CU	average	23.15678	-81.24441
Europe/Istanbul	10 Feb 2015	TR	building	40.37528	28.88222
Australia/Sydney	21 Jan 2014	AU	good	-33.79176	151.08057
Europe/Paris	2022-02-14	FR	accep	48.8765	2.18967
Europe/Rome	07/27/2020, 00:00:00	IT	good	40.87363	14.34085
Asia/Karachi	2022/01/15	PK	excellent	31.82539	72.54064
America/Phoenix	02/27/2013, 00:00:00	US	average	33.35283	-111.78903
America/Los_Angeles	2019-01-15	US	accep	33.92946	-116.97725
Europe/Paris	2019-08-07	FR	maintenance	48.98994	2.1699
America/Sao_Paulo	2013-08-08	BR	good	-17.74431	-48.62789
Europe/Amsterdam	2019/10/27	NL	good	52.26083	7.00417
Europe/Belgrade	2021-04-06	XK	good	42.62833	20.89389
Asia/Shanghai	08/03/2018, 00:00:00	CN	accep	27.34089	117.4831
Asia/Kolkata	2021-10-15	IN	average	34.08565	74.80555
America/Chicago	05/23/2013, 00:00:00	US	good	32.44874	-99.73314
America/Boise	2013/08/06	US	good	43.54072	-116.56346
Asia/Tokyo	2019/07/18	JP	good	36.24624	139.07204
Europe/Madrid	04/15/2017, 00:00:00	ES	accep	38.47917	-1.325
Asia/Kolkata	2016-01-25	IN	average	29.21399	78.95693
Europe/Berlin	2019/08/16	DE	good	48.35693	10.98461
Europe/Dublin	09 Feb 2013	IE	good	53.43333	-7.95
Europe/Madrid	05/09/2015, 00:00:00	ES	good	37.35813	-6.03731
Asia/Kuala_Lumpur	07/31/2013, 00:00:00	MY	good	4.88441	101.96857
Europe/Berlin	04/04/2017, 00:00:00	DE	maintenance	50.80019	7.20769
Asia/Almaty	25 Feb 2020	KZ	accep	47.46657	84.87144
Europe/Rome	07/01/2022, 00:00:00	IT	accep	41.24264	16.50104
Asia/Tokyo	2018/10/07	JP	maintenance	39.46667	141.95
Asia/Kolkata	2013-01-08	IN	good	33.37526	74.3092
Africa/Kampala	2021/11/14	UG	good	3.02013	30.91105
Asia/Kolkata	01 Jul 2020	IN	accep	20.88098	75.11937
Europe/Istanbul	2022-06-30	TR	average	40.98894	28.67582
America/Chicago	01/19/2021, 00:00:00	US	maintenance	47.92526	-97.03285
Asia/Kolkata	11/23/2017, 00:00:00	IN	excellent	26.11527	86.59509
Pacific/Auckland	2020-03-20	NZ	average	-44.39672	171.25364
Asia/Damascus	2018/03/14	SY	accep	35.95664	36.7138
America/Sao_Paulo	04/02/2021, 00:00:00	BR	good	-25.42944	-50.00639
Asia/Kolkata	09/14/2015, 00:00:00	IN	building	24.41288	76.56719
Asia/Shanghai	2014/04/07	CN	building	35.20889	111.73861
Europe/Paris	10/16/2021, 00:00:00	FR	average	46.67535	5.55575
Europe/Berlin	2015-04-08	DE	accep	48.35693	10.98461
Europe/Bucharest	2022/03/20	RO	building	44.43579	26.01649
America/New_York	2020/07/23	US	good	40.24537	-75.64963
Asia/Kolkata	2017-01-09	IN	accep	11.93381	79.82979
Europe/Oslo	2016/04/13	NO	excellent	68.79833	16.54165
Africa/Khartoum	01/02/2020, 00:00:00	SD	maintenance	11.8659	34.3869
Europe/Berlin	2014/04/18	DE	building	53.94313	10.30215
Asia/Tehran	22 Aug 2017	IR	maintenance	35.6803	51.0193
Europe/Moscow	2020-12-16	RU	average	55.38752	36.73307
Europe/Zaporozhye	2016-12-01	UA	average	49.41029	38.15035
America/New_York	30 Dec 2014	US	excellent	40.5576	-74.28459
Europe/Madrid	19 Apr 2019	ES	accep	43.32686	-2.98884
America/Chicago	10/22/2021, 00:00:00	US	good	40.56754	-89.64066
Europe/Vienna	2016/01/20	AT	maintenance	48.25	16.4
Asia/Shanghai	2017/06/22	CN	good	32.54278	111.50861
America/Caracas	2015/02/12	VE	accep	10.22677	-67.33122
America/Los_Angeles	2017/05/07	US	average	38.54491	-121.74052
America/Bahia	2017/05/30	BR	excellent	-15.675	-38.94722
Europe/Berlin	2019/01/27	DE	accep	53.59337	9.47629
Europe/Kiev	2013/11/04	UA	maintenance	50.75932	25.34244
Europe/Rome	2015-01-13	IT	excellent	45.79377	8.88104
America/New_York	02 Feb 2021	US	building	41.24255	-82.61573
Asia/Tokyo	2015-03-08	JP	maintenance	35.8	137.23333
Europe/London	25 Sep 2014	GB	maintenance	52.48173	-2.12139
Europe/Berlin	12/26/2017, 00:00:00	DE	accep	50.23019	8.77155
Africa/Lagos	2021/05/12	NG	building	12.74482	4.52514
Europe/Moscow	12/03/2016, 00:00:00	RU	accep	54.8421	46.5813
Asia/Seoul	01/30/2016, 00:00:00	KR	excellent	37.65639	126.835
Africa/Algiers	01/06/2018, 00:00:00	DZ	good	36.06386	4.62744
America/Boise	25 Dec 2012	US	building	43.54072	-116.56346
Europe/Kiev	07/01/2016, 00:00:00	UA	excellent	51.67822	33.9162
