code	QoS	longitude	latitude	revision	location
US	good	-82.07842	26.91756	2013/06/26	America/New_York
CA	good	-73.81669	45.44868	2018/01/12	America/Toronto
DE	excellent	9.85	53.63333	2017-08-15	Europe/Berlin
UG	maintenance	30.98551	2.41669	07 Apr 2014	Africa/Kampala
CD	good	15.16554	-4.5833	25 May 2015	Africa/Kinshasa
US	excellent	-82.35176	27.71809	02/28/2015, 00:00:00	America/New_York
IN	excellent	86.51499	23.1959	18 Dec 2015	Asia/Kolkata
RU	average	60.8019	56.9083	2014-12-05	Asia/Yekaterinburg
IT	average	7.60872	43.78956	2020/01/09	Europe/Rome
US	accep	-81.56929	41.55838	2015-04-22	America/New_York
IN	accep	79.82979	11.93381	28 Sep 2014	Asia/Kolkata
US	building	-97.90308	31.12406	2022/01/17	America/Chicago
CN	accep	122.05228	37.19723	2020-09-26	Asia/Shanghai
DZ	accep	1.04945	35.06544	20 Apr 2019	Africa/Algiers
MD	good	28.28489	48.15659	2015-01-11	Europe/Chisinau
US	accep	-88.31476	36.61033	2018-12-29	America/Chicago
DE	building	6.51352	51.19139	2021/10/02	Europe/Berlin
US	excellent	-80.22588	26.2173	2013/12/28	America/New_York
GB	good	-0.76667	53.38333	2014-11-06	Europe/London
IN	average	85.37752	22.10194	09 Mar 2017	Asia/Kolkata
NL	maintenance	5.2875	51.65333	30 Nov 2014	Europe/Amsterdam
AU	excellent	115.88782	-32.05251	02/19/2015, 00:00:00	Australia/Perth
ES	average	-1.325	38.47917	09 Feb 2022	Europe/Madrid
MM	average	98.50893	16.68911	2018-07-05	Asia/Yangon
FR	average	2.08333	48.86667	2014-06-23	Europe/Paris
DE	average	7.02238	52.21099	19 Sep 2013	Europe/Berlin
US	good	-115.98391	36.20829	2019/05/04	America/Los_Angeles
MK	average	21.32778	42	2021-11-06	Europe/Skopje
TH	accep	99.96667	8.43333	2022/07/06	Asia/Bangkok
IT	excellent	8.88104	45.79377	2012-11-05	Europe/Rome
CN	maintenance	114.51667	33.78333	2014/08/21	Asia/Shanghai
PH	good	123.758	10.20898	2022-05-05	Asia/Manila
LT	maintenance	24.75	55.25	09 Mar 2020	Europe/Vilnius
PH	excellent	122.9666	10.7375	2022-02-22	Asia/Manila
IT	maintenance	13.44275	38.07789	05/06/2013, 00:00:00	Europe/Rome
IN	average	77.24779	10.58806	2019/03/25	Asia/Kolkata
IE	average	-7.95	53.43333	08/01/2021, 00:00:00	Europe/Dublin
JP	building	136.51667	35	2013-10-27	Asia/Tokyo
IN	building	78.25795	9.82564	24 Dec 2019	Asia/Kolkata
GB	accep	-0.36053	51.64316	13 Mar 2017	Europe/London
US	good	-122.2054	47.76232	2021-01-19	America/Los_Angeles
US	excellent	-74.13653	40.63316	2013/08/09	America/New_York
NG	average	6.83042	6.15038	2019/01/29	Africa/Lagos
BR	maintenance	-35.71667	-8.66667	28 Aug 2013	America/Recife
RU	accep	43.83992	55.39485	08/21/2020, 00:00:00	Europe/Moscow
AU	good	151.08057	-33.79176	2017/04/04	Australia/Sydney
BR	good	-52.35558	-14.66463	05/06/2013, 00:00:00	America/Cuiaba
RU	average	37.38115	55.63711	06/04/2015, 00:00:00	Europe/Moscow
SV	accep	-89.10944	13.70167	2019-07-08	America/El_Salvador
CN	maintenance	130.57211	45.75279	2020-06-12	Asia/Shanghai
HT	good	-72.22625	18.57677	31 Jul 2013	America/Port-au-Prince
US	average	-156.47432	20.88953	05/05/2018, 00:00:00	Pacific/Honolulu
FR	accep	5.55575	46.67535	2015-03-17	Europe/Paris
DE	accep	8.96317	48.35149	27 Apr 2020	Europe/Berlin
US	good	-104.83192	39.72943	2014/09/16	America/Denver
IN	building	74.3092	33.37526	09/05/2016, 00:00:00	Asia/Kolkata
UZ	excellent	72.34424	40.78206	27 Jan 2015	Asia/Tashkent
DE	accep	9.02596	48.21644	26 Aug 2016	Europe/Berlin
PL	maintenance	18.34717	54.60528	2020-04-07	Europe/Warsaw
IN	excellent	82.85749	17.54907	20 Oct 2017	Asia/Kolkata
US	good	-73.75513	40.60538	08/31/2022, 00:00:00	America/New_York
PA	average	-79.62098	9.15093	08/09/2013, 00:00:00	America/Panama
GB	excellent	1.15597	51.78967	12/25/2015, 00:00:00	Europe/London
PK	excellent	73.97117	31.96258	2013-10-20	Asia/Karachi
IR	good	51.0193	35.6803	09 Jul 2014	Asia/Tehran
KR	good	128.9889	37.1759	11/16/2013, 00:00:00	Asia/Seoul
ID	accep	118.9707	-3.5403	2013/07/08	Asia/Makassar
DO	accep	-71.10077	18.20854	2012/11/28	America/Santo_Domingo
DE	maintenance	11.37703	48.06919	2018-04-29	Europe/Berlin
CN	accep	125.51176	42.64031	2014-12-13	Asia/Shanghai
ID	accep	99.1625	3.3285	2015-04-25	Asia/Jakarta
US	average	-117.79394	33.76446	2017/07/30	America/Los_Angeles
US	building	-88.31476	36.61033	12 Jan 2019	America/Chicago
IN	accep	76.56719	24.41288	25 Oct 2021	Asia/Kolkata
ID	excellent	109.3243	-7.0981	2016-07-27	Asia/Jakarta
FR	excellent	-4.1	48	2013/06/17	Europe/Paris
PK	accep	73.97117	31.96258	2015-05-23	Asia/Karachi
BY	average	25.8191	53.5942	2022-02-12	Europe/Minsk
PH	building	120.97844	14.8361	01/14/2021, 00:00:00	Asia/Manila
GB	excellent	-3.52751	50.7236	2021/04/15	Europe/London
UG	average	30.91105	3.02013	04/01/2022, 00:00:00	Africa/Kampala
IN	building	73.08333	19.21667	07 Dec 2021	Asia/Kolkata
RU	good	37.38115	55.63711	02 Apr 2013	Europe/Moscow
RU	good	140.72287	53.14657	13 Jun 2014	Asia/Vladivostok
US	good	-121.74052	38.54491	2022-02-23	America/Los_Angeles
TZ	good	35.7	-7.76667	29 Mar 2016	Africa/Dar_es_Salaam
RU	good	33.2525	57.97472	2022/09/17	Europe/Moscow
US	maintenance	-84.62081	42.7392	01/20/2022, 00:00:00	America/Detroit
DZ	excellent	4.62744	36.06386	30 Sep 2013	Africa/Algiers
BR	average	-46.99583	-22.97056	2020-08-31	America/Sao_Paulo
BE	building	3.16667	50.8	2015-03-20	Europe/Brussels
CH	average	6.10237	46.18396	2019-06-08	Europe/Zurich
DE	average	7.02238	52.21099	29 Sep 2012	Europe/Berlin
IR	average	51.49621	36.64852	2017/04/07	Asia/Tehran
NL	accep	5.2875	51.65333	2022-07-31	Europe/Amsterdam
US	maintenance	-74.96933	39.71734	24 Jan 2018	America/New_York
RU	maintenance	32.86389	53.95278	01/06/2014, 00:00:00	Europe/Moscow
ID	maintenance	106.85417	-6.48167	28 Dec 2021	Asia/Jakarta
IN	excellent	76.11996	11.12018	06/17/2018, 00:00:00	Asia/Kolkata
NL	excellent	4.47124	51.95838	2021/06/02	Europe/Amsterdam
BE	good	4.69889	50.56149	2020-09-22	Europe/Brussels
MW	good	34.4587	-13.7804	17 Apr 2017	Africa/Blantyre
MY	accep	100.24529	5.4709	07/10/2022, 00:00:00	Asia/Kuala_Lumpur
AZ	maintenance	45.36561	41.09246	2014-01-12	Asia/Baku
IN	excellent	76.56719	24.41288	2015-09-26	Asia/Kolkata
DE	building	12.16179	48.52961	2018-03-28	Europe/Berlin
US	maintenance	-117.14392	32.9156	25 Aug 2019	America/Los_Angeles
US	excellent	-86.78777	33.44872	2013-10-10	America/Chicago
ID	excellent	117.59152	3.31332	07/13/2020, 00:00:00	Asia/Makassar
EE	accep	28.19028	59.37722	2018-11-06	Europe/Tallinn
UA	accep	38.15035	49.41029	10/17/2014, 00:00:00	Europe/Zaporozhye
BR	average	-48.59278	-23.7975	2020-11-28	America/Sao_Paulo
US	average	-91.58045	41.6764	19 Aug 2021	America/Chicago
RU	excellent	140.72287	53.14657	2015-07-25	Asia/Vladivostok
JP	good	141.95	39.46667	2016/07/20	Asia/Tokyo
ID	building	109.3243	-7.0981	2012-12-31	Asia/Jakarta
RU	maintenance	32.86389	53.95278	14 Nov 2015	Europe/Moscow
BD	excellent	91.84128	22.83957	02 Dec 2014	Asia/Dhaka
MX	accep	-89.66123	21.28306	13 May 2015	America/Merida
US	average	-117.70755	33.52253	21 Sep 2014	America/Los_Angeles
ES	building	-4.83076	39.96348	2016-12-29	Europe/Madrid
AR	building	-59.13316	-37.32167	2019-03-07	America/Argentina/Buenos_Aires
IT	accep	9.32241	44.31771	01/06/2019, 00:00:00	Europe/Rome
GB	building	-0.36053	51.64316	16 Jun 2022	Europe/London
US	maintenance	-73.9625	40.81	09/18/2014, 00:00:00	America/New_York
IT	excellent	14.30935	40.92298	2014-02-14	Europe/Rome
TR	excellent	41.00817	38.13708	2016/03/20	Europe/Istanbul
IN	excellent	76.32756	9.57046	2015/08/09	Asia/Kolkata
LT	maintenance	24.04142	54.39635	2022/03/10	Europe/Vilnius
DZ	average	2.31889	35.21222	2017/08/20	Africa/Algiers
TR	average	37.3825	37.05944	10/03/2014, 00:00:00	Europe/Istanbul
GB	excellent	-3.05814	53.00974	21 Jun 2017	Europe/London
BO	accep	-65.71875	-21.44345	08/31/2017, 00:00:00	America/La_Paz
IN	maintenance	75.16878	30.81383	09/05/2018, 00:00:00	Asia/Kolkata
US	excellent	-87.71255	41.84364	2017/06/27	America/Chicago
TR	good	34.37389	40.1675	24 Sep 2014	Europe/Istanbul
AR	excellent	-60.47389	-34.64167	2013/02/16	America/Argentina/Buenos_Aires
IN	building	71.30633	21.34222	2017/05/30	Asia/Kolkata
US	accep	-80.66756	26.68451	2019/08/31	America/New_York
US	building	-94.41551	39.09112	2019-09-19	America/Chicago
PH	good	121.3152	14.14989	2021-12-03	Asia/Manila
US	building	-73.95958	40.57788	2020/04/12	America/New_York
US	excellent	-84.62081	42.7392	06 Apr 2019	America/Detroit
US	good	-76.51552	39.32011	2020/10/03	America/New_York
NI	average	-86.58208	13.48082	12/03/2015, 00:00:00	America/Managua
US	average	-99.73314	32.44874	02/05/2014, 00:00:00	America/Chicago
ES	good	-1.325	38.47917	2021-05-31	Europe/Madrid
BR	average	-47.1725	-22.57306	2018/05/16	America/Sao_Paulo
JP	average	140.11667	37.56667	2016-07-08	Asia/Tokyo
US	excellent	-86.99666	33.45122	2021-04-26	America/Chicago
FR	accep	8.73812	41.91886	2013-04-07	Europe/Paris
BR	excellent	-34.88111	-8.05389	2015-12-20	America/Recife
US	good	-122.24092	47.4943	2013/01/09	America/Los_Angeles
US	building	-72.97261	43.61062	09/06/2021, 00:00:00	America/New_York
MN	building	106.88324	47.90771	2016-07-18	Asia/Ulaanbaatar
SV	excellent	-89.71472	13.73417	2016-10-14	America/El_Salvador
NL	accep	5.22778	51.955	02/14/2016, 00:00:00	Europe/Amsterdam
RU	excellent	92.48278	58.23583	2021/02/22	Asia/Krasnoyarsk
RW	average	30.4347	-1.9487	23 Jan 2015	Africa/Kigali
US	average	-72.97261	43.61062	2014/04/01	America/New_York
BO	building	-65.71875	-21.44345	2018/06/22	America/La_Paz
FR	excellent	2.2469	48.90472	2016/05/04	Europe/Paris
IT	good	14.66737	41.55947	25 Dec 2020	Europe/Rome
BR	accep	-47.53028	-22.45667	2014-02-26	America/Sao_Paulo
BY	accep	25.8191	53.5942	12/25/2013, 00:00:00	Europe/Minsk
IR	accep	51.0193	35.6803	10 Dec 2020	Asia/Tehran
US	excellent	-98.15529	26.18924	09/10/2020, 00:00:00	America/Chicago
AR	accep	-58.38341	-34.64966	12/01/2021, 00:00:00	America/Argentina/Buenos_Aires
BG	maintenance	23.225	43.4125	07/20/2015, 00:00:00	Europe/Sofia
BR	accep	-52.35558	-14.66463	10/12/2013, 00:00:00	America/Cuiaba
US	average	-81.38758	30.17746	2021-07-19	America/New_York
AU	good	153.10236	-27.50578	22 May 2021	Australia/Brisbane
MY	maintenance	116.10146	5.90702	29 May 2021	Asia/Kuching
US	average	-86.78777	33.44872	12 Mar 2021	America/Chicago
PL	average	18.34717	54.60528	10 Sep 2021	Europe/Warsaw
PH	accep	124.3697	9.6531	2017/11/21	Asia/Manila
CN	average	112.73333	38.40917	02/05/2014, 00:00:00	Asia/Shanghai
PH	good	121.96361	6.95194	2020-03-30	Asia/Manila
UA	excellent	29.41824	45.99194	2017/09/19	Europe/Kiev
MX	accep	-98.1664	19.32932	12 Oct 2020	America/Mexico_City
BR	good	-46.99583	-22.97056	2019/03/21	America/Sao_Paulo
ID	average	101.44167	0.51667	14 Apr 2015	Asia/Jakarta
BR	accep	-51.87389	-23.44361	18 Dec 2018	America/Sao_Paulo
BR	building	-63.90389	-8.76194	16 May 2014	America/Porto_Velho
GB	excellent	-4.0573	55.82737	2014/07/21	Europe/London
PH	average	123.62494	12.37169	2014-08-09	Asia/Manila
RU	good	59.4839	58.7002	03/11/2015, 00:00:00	Asia/Yekaterinburg
DE	accep	11.32903	50.9803	2017-12-04	Europe/Berlin
BR	average	-41.45861	-4.42472	2015-09-18	America/Fortaleza
US	average	-84.62081	42.7392	05/10/2016, 00:00:00	America/Detroit
BR	good	-42.19667	-21.41222	20 Mar 2017	America/Sao_Paulo
US	building	-117.29198	33.03699	11/06/2015, 00:00:00	America/Los_Angeles
CU	good	-77.43532	20.14298	2018-07-08	America/Havana
DE	excellent	9.15214	49.97704	11/02/2016, 00:00:00	Europe/Berlin
US	good	-75.64963	40.24537	06/21/2015, 00:00:00	America/New_York
TZ	average	35.7	-7.76667	2019/07/23	Africa/Dar_es_Salaam
ID	good	104.09701	-1.26424	2016-10-28	Asia/Jakarta
US	average	-74.15987	40.82232	2014-05-21	America/New_York
IN	excellent	86.59611	25.87498	2022-08-09	Asia/Kolkata
DE	average	13.31783	52.61131	24 Feb 2015	Europe/Berlin
US	excellent	-84.23381	33.54428	2016/02/22	America/New_York
PK	maintenance	68.21204	27.55898	03/04/2016, 00:00:00	Asia/Karachi
HT	average	-72.09391	18.65297	2022/05/31	America/Port-au-Prince
GB	good	-2.1875	51.26	27 Jul 2021	Europe/London
GB	maintenance	-2.09814	57.14369	26 May 2013	Europe/London
JP	excellent	137.5	34.9	2018/01/15	Asia/Tokyo
PK	excellent	70.91106	29.38242	2016-07-15	Asia/Karachi
US	good	-95.63079	31.76212	2015/12/06	America/Chicago
US	average	-71.8023	42.58342	2016-07-14	America/New_York
CN	good	123.50266	41.94175	04 Feb 2014	Asia/Shanghai
US	building	-75.23266	43.1009	22 Oct 2019	America/New_York
IT	good	14.34085	40.87363	12/12/2012, 00:00:00	Europe/Rome
US	average	-118.10583	34.09611	05 Apr 2014	America/Los_Angeles
PK	good	71.52847	32.57756	22 Jul 2016	Asia/Karachi
BR	maitennce	-48.62789	-17.74431	2016-01-10	America/Sao_Paulo
IN	good	73.06784	25.13915	30 Oct 2020	Asia/Kolkata
ES	average	-1.64295	42.8139	2017-12-01	Europe/Madrid
YE	average	46.83187	14.53767	2021/06/12	Asia/Aden
US	maintenance	-88.70464	34.25807	2014-06-10	America/Chicago
IT	average	16.50104	41.24264	2017-04-29	Europe/Rome
CO	maintenance	-73.26022	6.46838	2016/12/03	America/Bogota
ES	maintenance	-0.18333	38.96667	2014/09/16	Europe/Madrid
DE	average	6.9747	50.82709	2019-12-09	Europe/Berlin
RU	good	140.72287	53.14657	22 Feb 2019	Asia/Vladivostok
TD	good	18.69303	12.18441	01 Jan 2019	Africa/Ndjamena
BR	excellent	-53.13722	-22.92306	2015-01-11	America/Sao_Paulo
UA	average	33.9162	51.67822	2015/10/19	Europe/Kiev
CD	accep	24.43973	0.76755	2020-06-30	Africa/Lubumbashi
FR	excellent	2.29275	48.79325	04/25/2014, 00:00:00	Europe/Paris
AU	accep	151.08057	-33.79176	07 Oct 2017	Australia/Sydney
DE	maintenance	8.4493	50.09019	2013/03/25	Europe/Berlin
PK	average	68.49143	25.80565	2019-05-13	Asia/Karachi
US	maintenance	-122.2054	47.76232	2019-12-08	America/Los_Angeles
IN	good	74.80555	34.08565	2017/02/08	Asia/Kolkata
MA	maintenance	-5.22126	33.43443	21 Oct 2014	Africa/Casablanca
GB	maintenance	-2.58736	56.56317	2012/11/17	Europe/London
CU	building	-82.00919	23.04419	2016/02/13	America/Havana
FR	maintenance	4.63031	43.67681	2015/06/05	Europe/Paris
MY	accep	101.96857	4.88441	2012-09-28	Asia/Kuala_Lumpur
US	good	-82.61573	41.24255	06/19/2019, 00:00:00	America/New_York
CO	maintenance	-73.26022	6.46838	2017/12/04	America/Bogota
MX	maintenance	-94.91386	17.94979	2018/12/20	America/Mexico_City
AU	accep	115.88782	-32.05251	2022/06/07	Australia/Perth
IN	average	79.41727	12.25282	06/27/2013, 00:00:00	Asia/Kolkata
IT	average	8.88104	45.79377	03 Dec 2016	Europe/Rome
US	excellent	-71.29144	41.54566	11/11/2021, 00:00:00	America/New_York
LT	average	24.04142	54.39635	12/01/2013, 00:00:00	Europe/Vilnius
US	excellent	-96.67834	34.77453	08/13/2021, 00:00:00	America/Chicago
US	excellent	-116.21677	33.7207	11 Oct 2017	America/Los_Angeles
IT	accep	7.60872	43.78956	01/03/2013, 00:00:00	Europe/Rome
JP	excellent	135.6	34.61667	02 Oct 2021	Asia/Tokyo
FR	maintenance	4.86667	45.51667	19 Feb 2021	Europe/Paris
PL	good	15.00835	51.14942	29 Jan 2015	Europe/Warsaw
IN	good	82.85749	17.54907	2016/04/26	Asia/Kolkata
CN	maintenance	117.81667	36.81667	2022-02-27	Asia/Shanghai
PK	accep	72.54064	31.82539	2018/05/06	Asia/Karachi
AU	accep	146.05093	-34.28853	2019-04-29	Australia/Sydney
PH	excellent	123.62494	12.37169	2018/10/29	Asia/Manila
UA	maintenance	32.6178	46.65581	2019-04-20	Europe/Kiev
US	average	-91.06177	33.41012	2017-01-16	America/Chicago
DE	maintenance	11.18709	48.73218	2016-06-24	Europe/Berlin
US	average	-95.36969	35.74788	2018/02/21	America/Chicago
DE	building	7.36027	51.20219	2020-10-23	Europe/Berlin
IT	excellent	9.32241	44.31771	2019/07/05	Europe/Rome
IN	excellent	86.68363	23.49668	2016-01-09	Asia/Kolkata
US	excellent	-93.08883	45.16024	11/18/2012, 00:00:00	America/Chicago
MY	building	103.6032	1.6561	2022-03-11	Asia/Kuala_Lumpur
CU	building	-81.24441	23.15678	10 Apr 2020	America/Havana
US	good	-96.39774	30.16688	05 Jul 2018	America/Chicago
MD	average	28.28489	48.15659	2016/04/15	Europe/Chisinau
FR	maintenance	4.86667	45.51667	07/13/2015, 00:00:00	Europe/Paris
MX	good	-102.04897	19.64745	02 Jun 2020	America/Mexico_City
US	average	-82.46148	28.15112	06/29/2021, 00:00:00	America/New_York
US	good	-95.36969	35.74788	2020/09/09	America/Chicago
US	excellent	-120.43572	34.95303	2018/10/12	America/Los_Angeles
IN	accep	74.85849	31.28092	2018-01-23	Asia/Kolkata
ES	good	-3.67029	37.13548	2014/01/11	Europe/Madrid
AR	average	-58.38341	-34.64966	2015-11-24	America/Argentina/Buenos_Aires
PK	building	75.06583	32.17629	04/20/2021, 00:00:00	Asia/Karachi
US	excellent	-122.38731	45.53929	03/25/2021, 00:00:00	America/Los_Angeles
CD	accep	24.43973	0.76755	2019/02/10	Africa/Lubumbashi
DE	accep	8.77155	50.23019	2020/04/06	Europe/Berlin
GB	accep	-4.21376	55.82885	2020-07-09	Europe/London
RW	good	30.4347	-1.9487	11/08/2012, 00:00:00	Africa/Kigali
IN	accep	79.41727	12.25282	01/12/2019, 00:00:00	Asia/Kolkata
XK	maintenance	20.89389	42.62833	2013/08/26	Europe/Belgrade
BR	maintenance	-51.87389	-23.44361	2018/11/11	America/Sao_Paulo
CN	building	111.73861	35.20889	2015/07/19	Asia/Shanghai
MX	excellent	-100.88023	20.21322	27 Jun 2015	America/Mexico_City
US	excellent	-120.43572	34.95303	2019-03-31	America/Los_Angeles
PH	average	121.96361	6.95194	2016-07-11	Asia/Manila
AD	excellent	1.53414	42.50729	2020/04/12	Europe/Andorra
IN	building	77.5609	11.00599	10/15/2014, 00:00:00	Asia/Kolkata
FR	average	1.00288	49.28669	29 Dec 2020	Europe/Paris
PT	average	-7.32097	41.1053	07 Jul 2016	Europe/Lisbon
RU	excellent	83.62389	53.30972	08 Jul 2019	Asia/Barnaul
US	excellent	-74.28459	40.5576	05 May 2022	America/New_York
JP	excellent	142.45778	44.35056	2021/10/12	Asia/Tokyo
RU	excellent	37.99117	44.92934	2014/06/21	Europe/Moscow
IN	average	82.85749	17.54907	05 Oct 2014	Asia/Kolkata
MA	average	-5.22126	33.43443	2019/05/30	Africa/Casablanca
RU	accep	38.2739	46.7055	2013-12-10	Europe/Moscow
YE	excellent	46.83187	14.53767	2017/12/04	Asia/Aden
ES	accep	-2.68333	43.31667	2013-11-17	Europe/Madrid
RU	good	53.26023	54.39304	12/01/2013, 00:00:00	Europe/Moscow
US	good	-84.50855	39.08367	2017-05-25	America/New_York
CN	average	117.81667	36.81667	2012/10/11	Asia/Shanghai
TN	accep	10.58082	35.72917	2013/03/02	Africa/Tunis
US	accep	-86.11084	41.75338	07 May 2016	America/Indiana/Indianapolis
IN	excellent	88.1453	22.4711	16 May 2013	Asia/Kolkata
US	excellent	-111.99633	40.65995	2016/09/29	America/Denver
PK	accep	73.97117	31.96258	05/26/2017, 00:00:00	Asia/Karachi
US	excellent	-88.70464	34.25807	2016-04-28	America/Chicago
CO	accep	-75.69947	8.79577	07 Mar 2017	America/Bogota
AM	average	44.7662	40.49748	07/06/2019, 00:00:00	Asia/Yerevan
US	excellent	-90.10674	29.84576	19 Oct 2020	America/Chicago
JP	average	137.95378	35.82756	22 Apr 2016	Asia/Tokyo
DE	maintenance	10.18527	47.98372	11/26/2017, 00:00:00	Europe/Berlin
NI	accep	-86.19903	11.84962	03/24/2019, 00:00:00	America/Managua
US	good	-98.15529	26.18924	2020-02-17	America/Chicago
DE	average	6.51352	51.19139	2013/02/21	Europe/Berlin
US	accep	-82.42491	42.97086	2016-05-14	America/Detroit
SV	average	-89.71472	13.73417	06 Feb 2016	America/El_Salvador
AU	maintenance	150.60036	-34.88422	29 Jan 2020	Australia/Sydney
PT	building	-9.24671	38.72706	19 Oct 2015	Europe/Lisbon
FR	excellent	8.73812	41.91886	2022-06-30	Europe/Paris
BR	building	-52.35558	-14.66463	08/08/2014, 00:00:00	America/Cuiaba
GB	average	-0.76667	53.38333	2019-08-06	Europe/London
FR	accep	4.91667	45.73333	2020/02/12	Europe/Paris
NG	average	8.2926	9.58126	12/13/2018, 00:00:00	Africa/Lagos
XK	good	20.89389	42.62833	09/26/2014, 00:00:00	Europe/Belgrade
GB	average	-1.5443	50.75767	2017/04/03	Europe/London
RU	average	37.38115	55.63711	03 Sep 2013	Europe/Moscow
GB	excellent	-2.98333	53.83333	2012-12-01	Europe/London
HT	accep	-72.22625	18.57677	2021-03-28	America/Port-au-Prince
CO	excellent	-73.9614	10.15031	22 Jan 2019	America/Bogota
RU	good	83.62389	53.30972	2016/08/16	Asia/Barnaul
IR	good	51.0193	35.6803	09/17/2020, 00:00:00	Asia/Tehran
PH	maintenance	120.97844	14.8361	15 Sep 2015	Asia/Manila
US	excellent	-86.77917	36.02506	2020-04-24	America/Chicago
IN	excellent	74.83554	14.62072	2015-04-26	Asia/Kolkata
CN	excellent	115.70111	37.73222	2020-06-28	Asia/Shanghai
MX	maintenance	-98.1664	19.32932	06 Sep 2020	America/Mexico_City
TZ	good	37.73333	-4.06667	2017-08-19	Africa/Dar_es_Salaam
US	accep	-75.64963	40.24537	07/31/2021, 00:00:00	America/New_York
PH	good	121.96361	6.95194	02 Nov 2014	Asia/Manila
ES	average	2.35739	41.63976	11 Oct 2020	Europe/Madrid
US	excellent	-71.8023	42.58342	2020-02-26	America/New_York
US	good	-86.99666	33.45122	2014/05/28	America/Chicago
RU	good	92.48278	58.23583	05/02/2019, 00:00:00	Asia/Krasnoyarsk
SL	excellent	-13.2356	8.48714	2020/02/08	Africa/Freetown
IN	average	84.13864	22.88783	06 Apr 2020	Asia/Kolkata
CN	average	120.14278	32.50611	2016-12-08	Asia/Shanghai
IN	good	78.95693	29.21399	07/23/2018, 00:00:00	Asia/Kolkata
DE	maintenance	9.5586	54.52156	26 Nov 2017	Europe/Berlin
NG	good	6.26764	4.92675	06 Feb 2015	Africa/Lagos
US	good	-95.30106	32.35126	08/24/2022, 00:00:00	America/Chicago
PT	average	-7.32097	41.1053	2012/10/04	Europe/Lisbon
AR	average	-58.70072	-34.74785	2022/04/27	America/Argentina/Buenos_Aires
IN	accep	77.70636	28.98002	2015/11/24	Asia/Kolkata
ID	excellent	110.8405	-6.8048	2016-10-01	Asia/Jakarta
CN	excellent	122.20488	29.98869	2016/05/23	Asia/Shanghai
FR	good	4.8951	44.92801	2021/04/23	Europe/Paris
US	excellent	-96.67834	34.77453	2018-08-17	America/Chicago
US	excellent	-77.96389	39.45621	2013/12/08	America/New_York
DE	excellent	9.20427	48.49144	05/11/2019, 00:00:00	Europe/Berlin
US	good	-82.61573	41.24255	10/18/2018, 00:00:00	America/New_York
RS	average	19.61222	44.97639	04/20/2019, 00:00:00	Europe/Belgrade
IT	maintenance	9.40531	45.53069	2022/04/11	Europe/Rome
NL	maintenance	6.61944	52.57583	11/14/2018, 00:00:00	Europe/Amsterdam
JP	average	139.55028	35.30889	04/29/2016, 00:00:00	Asia/Tokyo
MK	maintenance	21.32778	42	2014-09-09	Europe/Skopje
SA	accep	49.62251	27.0174	22 Mar 2017	Asia/Riyadh
DE	average	10.98461	48.35693	15 Mar 2015	Europe/Berlin
ID	good	106.85417	-6.48167	2019/04/14	Asia/Jakarta
FR	average	3.87723	43.61092	13 Jun 2016	Europe/Paris
HR	maintenance	16.43915	43.50891	11/23/2016, 00:00:00	Europe/Zagreb
NG	maintenance	5.06258	7.50251	2016/07/14	Africa/Lagos
ES	average	-5.55835	42.64685	09 Apr 2015	Europe/Madrid
RU	excellent	65.27258	58.04254	04 Nov 2020	Asia/Yekaterinburg
BR	average	-52.67056	-26.22861	02 Mar 2022	America/Sao_Paulo
ID	building	106.92667	-6.91806	2021-03-01	Asia/Jakarta
RU	average	30.28491	60.02427	2022-05-15	Europe/Moscow
IT	accep	14.30935	40.92298	2018/07/31	Europe/Rome
TZ	excellent	38.66667	-6.25	03/01/2018, 00:00:00	Africa/Dar_es_Salaam
KE	accep	34.11169	0.46005	2015-12-05	Africa/Nairobi
CR	accep	-84.13722	9.92787	03/01/2016, 00:00:00	America/Costa_Rica
US	average	-80.08199	35.88264	02/05/2015, 00:00:00	America/New_York
DE	excellent	7.36027	51.20219	2020/11/19	Europe/Berlin
US	good	-74.13653	40.63316	2018/09/03	America/New_York
IN	building	81.54855	26.2649	04 May 2020	Asia/Kolkata
MX	good	-99.32556	19.32889	2019/06/30	America/Mexico_City
GB	excellent	-2.01111	52.66277	29 Jan 2013	Europe/London
CZ	building	12.87117	50.23271	02/02/2013, 00:00:00	Europe/Prague
US	building	-91.77127	37.95143	2018-02-05	America/Chicago
AU	accep	150.99292	-33.75881	09/15/2018, 00:00:00	Australia/Sydney
GB	good	-1.47217	53.46506	2014/08/17	Europe/London
RU	average	43.91385	54.03876	23 Mar 2022	Europe/Moscow
CU	average	-82.4017	23.0072	05/08/2013, 00:00:00	America/Havana
RS	excellent	22.53083	44.22639	01/15/2016, 00:00:00	Europe/Belgrade
IN	excellent	78.55757	17.34769	22 Jul 2021	Asia/Kolkata
PH	good	122.8637	9.3337	2016/07/05	Asia/Manila
RU	average	46.04833	51.40944	01 Sep 2013	Europe/Saratov
BR	average	-45.94722	-21.42917	2019-10-23	America/Sao_Paulo
US	average	-88.31476	36.61033	21 Aug 2022	America/Chicago
US	good	-83.2321	33.08014	04 Jan 2020	America/New_York
TN	good	9.37082	36.08497	2014-01-31	Africa/Tunis
RU	building	83.62389	53.30972	2019-02-10	Asia/Barnaul
US	maintenance	-94.41551	39.09112	07/23/2022, 00:00:00	America/Chicago
