QoS	station	code	latitude	longitude	revision
accep	Tongelre	NL	51.44889	5.51978	03 Aug 2019
good	Davangere	IN	14.46693	75.92694	2016/08/28
average	Boyeros	CU	23.0072	-82.4017	04/05/2016, 00:00:00
maintenance	Simpang	ID	-1.26424	104.09701	07/07/2017, 00:00:00
building	Mongo	TD	12.18441	18.69303	20 Sep 2015
accep	Nakhon Pathom	TH	13.8196	100.04427	2015-01-06
accep	Toyokawa	JP	34.81667	137.4	2020/12/09
good	Kyzylorda	KZ	44.85278	65.50917	2016/06/08
building	Esperanza	AR	-31.4488	-60.93173	2021-03-13
good	Uran	IN	18.87813	72.93924	03/13/2013, 00:00:00
building	Sceaux	FR	48.77644	2.29026	09/21/2021, 00:00:00
accep	Charlottetown	CA	46.23899	-63.13414	2021/03/05
maintenance	Marly-le-Roi	FR	48.86667	2.08333	01/14/2020, 00:00:00
average	Volokolamsk	RU	56.03361	35.96944	06/12/2022, 00:00:00
building	Guapimirim	BR	-22.53722	-42.98194	04/18/2021, 00:00:00
maintenance	Chamba	IN	32.55531	76.12647	06 Oct 2012
average	Villabate	IT	38.07789	13.44275	17 Jan 2014
accep	Yablonovskiy	RU	44.98901	38.94324	2017-01-09
excellent	Pedro II	BR	-4.42472	-41.45861	06/25/2017, 00:00:00
accep	Gariadhar	IN	21.53889	71.57737	2016-05-11
average	Santa Gertrudes	BR	-22.45667	-47.53028	2017-05-04
good	Port-Vila	VU	-17.73648	168.31366	03/03/2021, 00:00:00
accep	Davis	US	38.54491	-121.74052	2018/11/30
average	Recife	BR	-8.05389	-34.88111	2014-12-07
accep	Alexandria	EG	31.20176	29.91582	10/23/2021, 00:00:00
maintenance	Naro-Fominsk	RU	55.38752	36.73307	2022/07/30
good	Strzelce Opolskie	PL	50.5107	18.30056	2020/07/08
maitennce	Periyakulam	IN	10.12268	77.54372	01 May 2016
maintenance	Lodwar	KE	3.11988	35.59642	31 Aug 2019
good	Itabirito	BR	-20.25333	-43.80139	2014-01-17
average	Gaya	NG	11.86064	9.0027	08/18/2016, 00:00:00
average	Farafenni	GM	13.56667	-15.6	2014-09-02
excellent	Finnentrop	DE	51.168	7.973	02/09/2022, 00:00:00
building	Otradnyy	RU	53.37596	51.3452	2017-12-19
accep	Neuburg an der Donau	DE	48.73218	11.18709	2015/11/14
average	Scotch Plains	US	40.65538	-74.38987	2020-09-10
good	Fort Washington	US	38.70734	-77.02303	08/14/2018, 00:00:00
maintenance	Arzamas	RU	55.39485	43.83992	2015/08/17
accep	Brazzaville	CG	-4.26613	15.28318	27 Dec 2012
accep	Francavilla Fontana	IT	40.53123	17.58522	06/16/2018, 00:00:00
accep	Arbroath	GB	56.56317	-2.58736	2016/09/05
accep	Deoli	IN	25.75728	75.37991	2014/04/09
average	Messaad	DZ	34.15429	3.50309	01/21/2016, 00:00:00
good	Carnaxide	PT	38.72706	-9.24671	10/11/2019, 00:00:00
accep	Nutley	US	40.82232	-74.15987	2017-02-17
average	Thomasville	US	35.88264	-80.08199	2020/01/19
excellent	Peabody	US	42.52787	-70.92866	11 Jul 2019
excellent	Split	HR	43.50891	16.43915	28 Aug 2019
average	Hardenberg	NL	52.57583	6.61944	2013/08/28
accep	Le Robert	MQ	14.67751	-60.94228	20 Aug 2018
good	Acworth	US	34.06635	-84.67837	2019-03-18
excellent	Ragusa	IT	36.92574	14.72443	08/30/2022, 00:00:00
good	Heroica Matamoros	MX	25.87972	-97.50417	2021-10-18
good	Debre Tabor	ET	11.85	38.01667	01/28/2016, 00:00:00
accep	Yenagoa	NG	4.92675	6.26764	2021-03-27
excellent	Scarsdale	US	41.0051	-73.78458	03/25/2020, 00:00:00
good	Fazilpur	PK	32.17629	75.06583	07 May 2022
excellent	Jumilla	ES	38.47917	-1.325	2017/04/22
accep	Montecchio Maggiore-Alte Ceccato	IT	45.50369	11.412	2016-05-19
excellent	Viewpark	GB	55.82737	-4.0573	2022/05/18
building	Arba Minch	ET	6.03333	37.55	02/26/2015, 00:00:00
maintenance	Culemborg	NL	51.955	5.22778	2014-05-27
accep	Privolzhskiy	RU	51.40944	46.04833	02/07/2018, 00:00:00
good	Gorakhpur	IN	26.76628	83.36889	25 Jun 2015
good	Ustka	PL	54.58048	16.86194	2020/02/28
building	Brentwood Estates	US	36.02506	-86.77917	2018/08/28
accep	Olupona	NG	7.6	4.18333	2012-11-14
average	Skalica	SK	48.8449	17.22635	02/27/2013, 00:00:00
maintenance	Aksaray	TR	38.37255	34.02537	08/08/2021, 00:00:00
average	Cuenca	EC	-2.90055	-79.00453	2020/07/30
good	San Juan	US	26.18924	-98.15529	2020-01-09
accep	Chacabuco	AR	-34.64167	-60.47389	02/03/2020, 00:00:00
average	Riverbank	US	37.73604	-120.93549	25 Apr 2020
building	Betamcherla	IN	15.45144	78.14797	05/01/2020, 00:00:00
excellent	Winsford	GB	53.19146	-2.52398	07 Aug 2018
building	East Dereham	GB	52.68333	0.93333	2019/10/12
accep	Mbalmayo	CM	3.51667	11.5	12/19/2020, 00:00:00
average	Bibiani	GH	6.46346	-2.31938	06/09/2013, 00:00:00
accep	Kampung Ayer Molek	MY	2.2139	102.3278	2013-02-08
good	Pekin	US	40.56754	-89.64066	14 Oct 2012
good	Pleasant Prairie	US	42.55308	-87.93341	2020-10-27
excellent	Dehiwala-Mount Lavinia	LK	6.84019	79.87116	2018/04/20
average	Kundla	IN	21.34222	71.30633	07/17/2019, 00:00:00
building	Acworth	US	34.06635	-84.67837	20 Aug 2019
good	Rahat	IL	31.39547	34.75699	2018-09-03
building	Cardedeu	ES	41.63976	2.35739	26 Mar 2020
excellent	Yauco	PR	18.03496	-66.8499	23 Aug 2020
good	Tak Bai	TH	6.25947	102.05461	2014/09/12
accep	Pekanbaru	ID	0.51667	101.44167	2021-08-27
average	Chacabuco	AR	-34.64167	-60.47389	05 Dec 2019
average	Teziutlan	MX	19.8173	-97.35992	03/26/2015, 00:00:00
building	Veracruz	PA	8.88988	-79.62603	01/05/2013, 00:00:00
good	Yakuplu	TR	40.98894	28.67582	08/01/2019, 00:00:00
average	Mbalmayo	CM	3.51667	11.5	2017-08-03
good	Beaconsfield	CA	45.43341	-73.86586	2020-09-16
average	Villabate	IT	38.07789	13.44275	04 Jun 2021
excellent	Collinwood	US	41.55838	-81.56929	04/09/2015, 00:00:00
maintenance	Bang Ban	TH	14.37395	100.48528	2017-12-16
good	Esmeraldas	BR	-19.7625	-44.31389	2015-05-27
good	Carnot	CF	4.94273	15.87735	20 Feb 2017
good	Las Gabias	ES	37.13548	-3.67029	2021/06/27
good	Santa Catalina	PH	9.3337	122.8637	12/17/2015, 00:00:00
average	Malaut	IN	30.21121	74.4818	2020/02/07
accep	Cavaillon	FR	43.83125	5.03586	12/30/2021, 00:00:00
accep	Hoxtolgay	CN	46.51872	86.00214	05/28/2021, 00:00:00
excellent	Oberhausen	DE	51.47805	6.8625	2015/11/22
maintenance	Zhoushan	CN	29.98869	122.20488	2018/12/03
building	San Gabriel	US	34.09611	-118.10583	10/31/2016, 00:00:00
accep	Harrisburg	US	40.2737	-76.88442	2019-07-22
building	Santa Rosa Jauregui	MX	20.74122	-100.44843	2022-03-11
good	San Juan de Aznalfarache	ES	37.35813	-6.03731	2022-07-08
average	Balikpapan	ID	-1.26753	116.82887	12/28/2018, 00:00:00
good	Olanchito	HN	15.48131	-86.57415	25 May 2022
average	Pilkhua	IN	28.71271	77.656	2021-06-15
average	Pontevedra	AR	-34.74785	-58.70072	2020-11-14
accep	Acayucan	MX	17.94979	-94.91386	2019-08-30
accep	Dehiwala-Mount Lavinia	LK	6.84019	79.87116	25 Dec 2016
accep	Scotch Plains	US	40.65538	-74.38987	10/22/2020, 00:00:00
accep	Itabirito	BR	-20.25333	-43.80139	24 Oct 2015
accep	Usagara	TZ	-2.68333	33	05/13/2017, 00:00:00
accep	Beni Khiar	TN	36.46917	10.78222	2018/07/23
average	Skalica	SK	48.8449	17.22635	13 Mar 2013
average	Gudermes	RU	43.35071	46.10925	2019-06-12
good	Taunton	US	41.9001	-71.08977	2013/05/07
excellent	Strzelce Opolskie	PL	50.5107	18.30056	30 Nov 2016
accep	Alwaye	IN	10.10649	76.35484	14 Dec 2017
good	Narwar	IN	25.6439	77.9129	02/16/2014, 00:00:00
building	Guanajuato	MX	21.01858	-101.2591	2020-08-08
average	Novogrudok	BY	53.5942	25.8191	05/30/2021, 00:00:00
excellent	Frankston South	AU	-38.16604	145.13643	04/03/2013, 00:00:00
excellent	Veracruz	PA	8.88988	-79.62603	10 Sep 2015
average	Guanajuato	MX	21.01858	-101.2591	2013-02-17
maintenance	Schleswig	DE	54.52156	9.5586	01/28/2019, 00:00:00
accep	Houthalen	BE	51.03427	5.37429	2019/01/12
average	Rudolstadt	DE	50.72043	11.34046	10/25/2021, 00:00:00
excellent	Francavilla Fontana	IT	40.53123	17.58522	26 Mar 2015
maintenance	Sishui	CN	35.64889	117.27583	2022/03/09
building	Boli	CN	45.75279	130.57211	28 Oct 2020
accep	Moga	IN	30.81383	75.16878	05/25/2022, 00:00:00
maintenance	Kheda	IN	22.75218	72.68533	28 May 2015
good	Chanika	TZ	-5.41667	38.01667	2015-07-02
excellent	Chosica	PE	-11.94306	-76.70944	10 Mar 2013
accep	Ulan Bator	MN	47.90771	106.88324	05/29/2014, 00:00:00
good	Haicheng	CN	40.85158	122.74754	08/31/2015, 00:00:00
excellent	Ajdabiya	LY	30.75545	20.22625	22 Apr 2021
good	Lal Bahadur Nagar	IN	17.34769	78.55757	2021-05-07
average	Temse	BE	51.12794	4.21372	2022/08/14
accep	Andes	CO	5.6561	-75.87877	2019/07/14
maintenance	Carnegie	AU	-37.88333	145.06667	2014-06-01
accep	Teluk Intan	MY	4.02219	101.02083	2019/10/17
accep	Danilov	RU	58.1908	40.17171	03/29/2020, 00:00:00
excellent	Montpellier	FR	43.61092	3.87723	18 Oct 2015
excellent	Madrid	CO	4.73245	-74.26419	2014/04/10
excellent	Rixensart	BE	50.71229	4.52529	2020/01/04
accep	Rosedale	US	39.32011	-76.51552	15 Nov 2014
excellent	Jinotepe	NI	11.84962	-86.19903	01/11/2015, 00:00:00
average	Leyland	GB	53.69786	-2.68758	2013/11/28
average	Sungurlu	TR	40.1675	34.37389	2020-05-17
good	Montecchio Maggiore-Alte Ceccato	IT	45.50369	11.412	2016/01/31
good	Novopavlovsk	RU	43.96222	43.63417	2020-11-20
accep	Aguadilla	PR	18.42745	-67.15407	2016-02-22
average	Hutto	US	30.5427	-97.54667	24 Feb 2022
good	San Fernando de Henares	ES	40.42386	-3.53261	01/24/2016, 00:00:00
maintenance	Roslavl’	RU	53.95278	32.86389	09/12/2017, 00:00:00
good	San Fernando de Henares	ES	40.42386	-3.53261	2012/12/07
good	Schleswig	DE	54.52156	9.5586	2021-10-28
maintenance	Sakaraha	MG	-22.9	44.53333	09 May 2013
accep	Belper	GB	53.0233	-1.48119	2017-05-31
good	Pingyi	CN	35.50056	117.63083	2018/04/29
excellent	Daud Khel	PK	32.87533	71.57118	05/06/2018, 00:00:00
average	Villa del Rosario	CO	7.83389	-72.47417	04/28/2014, 00:00:00
good	Tuxtla	MX	16.75973	-93.11308	23 Nov 2017
good	Wheelers Hill	AU	-37.9	145.18333	2019-02-07
building	Itabirito	BR	-20.25333	-43.80139	2016-07-09
average	Aleshtar	IR	33.86419	48.26258	2013-08-23
average	Ataq	YE	14.53767	46.83187	09/25/2018, 00:00:00
good	Naushahra Virkan	PK	31.96258	73.97117	12 Oct 2021
excellent	Frenda	DZ	35.06544	1.04945	03 Aug 2017
building	Bron	FR	45.73333	4.91667	09/20/2018, 00:00:00
accep	Palm Desert	US	33.72255	-116.37697	2015-10-13
good	Donggongon	MY	5.90702	116.10146	03/14/2019, 00:00:00
good	Carlos Barbosa	BR	-29.2975	-51.50361	10/12/2021, 00:00:00
excellent	Chichicastenango	GT	14.93333	-91.11667	2017/04/06
accep	Aykhal	RU	65.93381	111.4834	2022-07-09
maintenance	Okegawa	JP	36	139.55722	2013/01/31
average	Kitgum	UG	3.27833	32.88667	2019-01-05
good	Beni	CD	0.49113	29.47306	2017-10-20
maintenance	Rangia	IN	26.44931	91.61356	2016/01/17
good	Kangayam	IN	11.00599	77.5609	04 May 2021
average	Kafanchan	NG	9.58126	8.2926	15 Oct 2017
average	Glogovac	XK	42.62833	20.89389	2021-06-22
good	Nkpor	NG	6.15038	6.83042	2018-11-11
accep	Resplendor	BR	-19.32556	-41.25528	23 Dec 2017
excellent	Saint-Omer	FR	50.75	2.25	01/01/2022, 00:00:00
average	Zaozhuang	CN	34.86472	117.55417	2020-07-17
average	Jingzhou	CN	30.35028	112.19028	12/11/2012, 00:00:00
average	Gembloux	BE	50.56149	4.69889	26 Oct 2012
good	Jaruco	CU	23.04419	-82.00919	14 Aug 2022
accep	Falconara Marittima	IT	43.62558	13.39954	2020-07-18
accep	Suzaka	JP	36.65	138.31667	2018/03/01
accep	Santa Catalina	PH	9.3337	122.8637	11/29/2020, 00:00:00
building	Gonesse	FR	48.98693	2.44892	2013/07/11
maintenance	Winsford	GB	53.19146	-2.52398	05/04/2020, 00:00:00
accep	Thenia	DZ	36.72544	3.55665	08/13/2015, 00:00:00
good	Maliana	TL	-8.99167	125.21972	28 Mar 2021
excellent	Sremska Mitrovica	RS	44.97639	19.61222	2016/08/08
accep	Kundla	IN	21.34222	71.30633	2020/11/07
average	Bisceglie	IT	41.24264	16.50104	08 Apr 2020
excellent	Dharmapuri	IN	12.1277	78.15794	03/29/2021, 00:00:00
maintenance	Changzhi	CN	35.20889	111.73861	11 Dec 2016
excellent	Sambalpur	IN	21.46527	83.97573	11/02/2014, 00:00:00
good	Nidderau	DE	50.23805	8.86704	2014/06/05
good	Colomiers	FR	43.61058	1.33467	2017-08-19
average	Vernon	CA	50.26729	-119.27337	04/16/2020, 00:00:00
average	Pilar	PH	14.66	120.56528	2013-12-08
excellent	Nkpor	NG	6.15038	6.83042	01/19/2020, 00:00:00
excellent	Camayenne	GN	9.535	-13.68778	2022/01/17
maitennce	Granger	US	41.75338	-86.11084	2014/09/02
accep	Meerut	IN	28.98002	77.70636	15 Nov 2021
average	Simpang	ID	-1.26424	104.09701	2014/10/18
good	Athlone	IE	53.43333	-7.95	2019/07/24
maintenance	Nyangao	TZ	-10.33333	39.28333	26 Apr 2014
average	New Kingston	JM	18.00747	-76.78319	2015-08-07
average	Oldenzaal	NL	52.31333	6.92917	02 Dec 2015
average	Zhuangyuan	CN	37.30553	120.82747	10/14/2020, 00:00:00
good	Pucheng	CN	27.92333	118.53333	2019/02/18
excellent	Jingzhou	CN	30.35028	112.19028	06 Jan 2014
maintenance	Timaru	NZ	-44.39672	171.25364	2022/09/22
good	Yauco	PR	18.03496	-66.8499	11/05/2017, 00:00:00
accep	Nowra	AU	-34.88422	150.60036	2018-12-03
maintenance	Moga	IN	30.81383	75.16878	2014/06/01
maintenance	Pleasant Prairie	US	42.55308	-87.93341	02/16/2017, 00:00:00
average	Roslavl’	RU	53.95278	32.86389	2015-09-03
excellent	Severodvinsk	RU	64.5635	39.8302	03/08/2014, 00:00:00
accep	Arzamas	RU	55.39485	43.83992	10/14/2015, 00:00:00
excellent	El Achir	DZ	36.06386	4.62744	05/17/2016, 00:00:00
excellent	Taozhuang	CN	34.85	117.33333	07/10/2013, 00:00:00
accep	Kalavoor	IN	9.57046	76.32756	09/03/2019, 00:00:00
good	Bhuban	IN	20.88197	85.83334	2021-10-19
accep	Harrisburg	US	40.2737	-76.88442	2019/01/12
average	Longview	US	32.5007	-94.74049	2015/08/20
good	New Kingston	JM	18.00747	-76.78319	2021/04/11
average	Markham	CA	43.86682	-79.2663	29 Jan 2022
good	Porto Velho	BR	-8.76194	-63.90389	2015/12/22
average	Porto Velho	BR	-8.76194	-63.90389	09 Apr 2020
excellent	Villaquilambre	ES	42.64685	-5.55835	2012/10/05
accep	Shagamu	NG	6.8485	3.64633	23 Jul 2013
maitennce	Hungund	IN	16.06213	76.0586	2018-11-25
building	Ozersk	RU	55.75556	60.70278	05/15/2019, 00:00:00
good	Dublin	US	32.54044	-82.90375	2021-05-13
average	Thomazeau	HT	18.65297	-72.09391	2020-01-26
maintenance	Puducherry	IN	11.93381	79.82979	2016-12-14
average	Wevelgem	BE	50.8	3.16667	09/21/2018, 00:00:00
excellent	Jocotepec	MX	20.28527	-103.42897	2014/07/15
average	Exeter	GB	50.7236	-3.52751	2018-06-11
average	Iwade	JP	34.25	135.31667	2022/08/10
building	Teziutlan	MX	19.8173	-97.35992	2013-10-16
excellent	Aleshtar	IR	33.86419	48.26258	2018/12/20
good	Kent	US	47.38093	-122.23484	16 Oct 2020
accep	Novopavlovsk	RU	43.96222	43.63417	01/16/2019, 00:00:00
excellent	Artur Nogueira	BR	-22.57306	-47.1725	11/02/2015, 00:00:00
accep	Contla	MX	19.32932	-98.1664	10 May 2019
accep	Rolla	US	37.95143	-91.77127	01/03/2013, 00:00:00
excellent	Mongo	TD	12.18441	18.69303	01/06/2014, 00:00:00
good	Zaozhuang	CN	34.86472	117.55417	10/20/2014, 00:00:00
good	Huntley	US	42.16808	-88.42814	20 Sep 2019
accep	Westbury	GB	51.26	-2.1875	03/26/2018, 00:00:00
maintenance	Leland	US	34.25628	-78.04471	11 Dec 2016
accep	Tinaquillo	VE	9.91861	-68.30472	2014-02-24
accep	Andes	CO	5.6561	-75.87877	28 Feb 2021
excellent	Burgos	PH	15.72892	120.57224	04/13/2022, 00:00:00
maintenance	Villa del Rosario	CO	7.83389	-72.47417	04/22/2013, 00:00:00
excellent	Jingzhou	CN	30.35028	112.19028	2020-10-15
accep	Periyakulam	IN	10.12268	77.54372	2018-09-02
maintenance	Brzeg	PL	50.86079	17.4674	2016/04/04
accep	Jingzhou	CN	30.35028	112.19028	27 May 2021
building	Jerada	MA	34.31	-2.16	08/26/2019, 00:00:00
good	Kelowna	CA	49.88307	-119.48568	21 Feb 2014
building	Massapequa	US	40.68066	-73.47429	2018/12/20
good	Caravaca	ES	38.10558	-1.86343	10/29/2012, 00:00:00
good	Saharsa	IN	25.87498	86.59611	27 Jun 2022
accep	New City	US	41.80753	-87.65644	2016-05-26
maintenance	Harstad	NO	68.79833	16.54165	20 Apr 2020
excellent	Fontenay-aux-Roses	FR	48.79325	2.29275	2015/05/29
accep	Sojat	IN	25.92493	73.66633	14 Aug 2022
maintenance	Glogovac	XK	42.62833	20.89389	2013-12-31
good	Tudela	ES	42.06166	-1.60452	2019/01/18
maintenance	Keene	US	42.93369	-72.27814	2015-01-04
average	Sterling	US	39.00622	-77.4286	09/22/2021, 00:00:00
excellent	Nova Kakhovka	UA	46.75451	33.34864	2017-01-29
building	Pekin	US	40.56754	-89.64066	08/22/2022, 00:00:00
good	Eisen	KR	36.82167	128.63083	2017/01/06
accep	Sassari	IT	40.72586	8.55552	2015-05-27
accep	Rosemount	US	44.73941	-93.12577	25 Apr 2019
building	Santa Catalina	PH	9.3337	122.8637	13 May 2018
building	Soroca	MD	48.15659	28.28489	2013/12/28
accep	Tarakan	ID	3.31332	117.59152	08/31/2022, 00:00:00
average	Longgang	CN	37.65181	120.33063	03/21/2021, 00:00:00
good	Saharsa	IN	25.87498	86.59611	09 Apr 2013
good	Cypress Hills	US	40.67705	-73.89125	12/05/2021, 00:00:00
excellent	Catania	IT	37.49223	15.07041	2017-07-08
accep	Edremit	TR	39.59611	27.02444	21 Feb 2021
maintenance	Ngemplak	ID	-7.54972	110.71639	05/29/2016, 00:00:00
accep	Hutto	US	30.5427	-97.54667	2021/07/01
average	Hoogezand	NL	53.16167	6.76111	09/25/2016, 00:00:00
good	Sherwood Park	CA	53.51684	-113.3187	2021-12-26
building	Astara	AZ	38.45598	48.87498	07 Oct 2017
excellent	Pleasant Prairie	US	42.55308	-87.93341	05/22/2014, 00:00:00
maintenance	Okegawa	JP	36	139.55722	2021/02/16
good	Kalavoor	IN	9.57046	76.32756	01/21/2017, 00:00:00
excellent	Manjeri	IN	11.12018	76.11996	2012/11/28
average	Lal Bahadur Nagar	IN	17.34769	78.55757	21 Jun 2016
accep	Evergreen Park	US	41.72059	-87.70172	2013/05/26
average	Iturama	BR	-19.72806	-50.19556	21 Nov 2012
maintenance	Dyat’kovo	RU	53.59782	34.33825	14 May 2018
accep	Osmanabad	IN	18.18158	76.03889	02/08/2013, 00:00:00
good	Luena	AO	-11.78333	19.91667	2017/07/02
excellent	Novara	IT	45.44694	8.62118	2018/10/08
good	Valence	FR	44.92801	4.8951	01 Dec 2018
excellent	Chanika	TZ	-5.41667	38.01667	2016-11-20
building	Sathyamangalam	IN	11.50526	77.23826	06 Apr 2021
average	Gronau	DE	52.21099	7.02238	06/03/2014, 00:00:00
average	Murray	US	36.61033	-88.31476	05 May 2017
excellent	Altamira	BR	-3.20333	-52.20639	06/20/2014, 00:00:00
excellent	Itacoatiara	BR	-3.14306	-58.44417	2018/05/06
good	Villabate	IT	38.07789	13.44275	06/21/2021, 00:00:00
excellent	Korschenbroich	DE	51.19139	6.51352	10 Sep 2020
building	Gauting	DE	48.06919	11.37703	16 Mar 2015
accep	Talavera de la Reina	ES	39.96348	-4.83076	28 Feb 2017
maintenance	Goyang-si	KR	37.65639	126.835	12/27/2016, 00:00:00
excellent	Oberhausen	DE	51.47805	6.8625	11 Feb 2015
accep	Punta Gorda Isles	US	26.91756	-82.07842	26 Mar 2022
building	Kearns	US	40.65995	-111.99633	2020/04/13
maintenance	El Alia	TN	37.16911	10.03478	10/09/2018, 00:00:00
excellent	Wittenau	DE	52.59319	13.32127	2020/11/24
accep	Reda	PL	54.60528	18.34717	2016/12/21
good	Barbil	IN	22.10194	85.37752	17 Mar 2022
building	Kallio	FI	60.18427	24.95034	09 Jan 2020
accep	Odessa	US	31.84568	-102.36764	17 Aug 2017
building	Arua	UG	3.02013	30.91105	07 Jul 2019
excellent	Saratoga Springs	US	40.34912	-111.90466	12/11/2013, 00:00:00
good	Carnaxide	PT	38.72706	-9.24671	2012/10/23
good	Ovalle	CL	-30.60106	-71.19901	08 Apr 2021
good	Lakota	CI	5.84752	-5.682	10/04/2016, 00:00:00
accep	Mirriah	NE	13.70727	9.15013	2016-09-06
accep	Kati	ML	12.74409	-8.07257	04 Apr 2022
accep	Waterbury	US	41.55815	-73.0515	2015/06/22
good	Sillanwali	PK	31.82539	72.54064	11/29/2018, 00:00:00
average	Novelda	ES	38.38479	-0.76773	04/21/2022, 00:00:00
good	Rwamagana	RW	-1.9487	30.4347	09/27/2019, 00:00:00
accep	Shushary	RU	59.80917	30.38167	07/15/2018, 00:00:00
excellent	Cypress Hills	US	40.67705	-73.89125	10/25/2014, 00:00:00
average	Honda	CO	5.20856	-74.73584	23 May 2013
good	Sicklerville	US	39.71734	-74.96933	2021/01/05
good	Santa Cruz de Barahona	DO	18.20854	-71.10077	2020/12/24
average	Toba	JP	34.4833	136.84186	07/23/2013, 00:00:00
building	Mokopane	ZA	-24.19436	29.00974	2020-09-22
good	Hrazdan	AM	40.49748	44.7662	10/10/2014, 00:00:00
average	Boyeros	CU	23.0072	-82.4017	2022/07/16
building	Cardedeu	ES	41.63976	2.35739	2013-06-03
building	Lancing	GB	50.82882	-0.32247	30 Jun 2022
good	Hlukhiv	UA	51.67822	33.9162	2021/08/25
good	Fazilpur	PK	32.17629	75.06583	2019-06-06
maintenance	Randudongkal	ID	-7.0981	109.3243	2016/07/25
accep	Hasilpur	PK	29.69221	72.54566	19 May 2017
average	Kalavoor	IN	9.57046	76.32756	2016-01-23
good	Artur Nogueira	BR	-22.57306	-47.1725	10/20/2016, 00:00:00
accep	Toba	JP	34.4833	136.84186	16 Nov 2019
good	Hardenberg	NL	52.57583	6.61944	30 Aug 2019
maintenance	Otegen Batyra	KZ	43.41949	77.0202	2014/03/12
accep	Beaumont	US	33.92946	-116.97725	2018/10/12
accep	Woodbridge	US	40.5576	-74.28459	2022/06/10
maintenance	Mvomero	TZ	-6.25	38.66667	2017/02/16
building	Talavera de la Reina	ES	39.96348	-4.83076	13 Apr 2013
good	Yashkino	RU	55.8736	85.4265	2021-01-21
average	Valletta	MT	35.89972	14.51472	2020-06-12
good	Nakhon Pathom	TH	13.8196	100.04427	10/10/2020, 00:00:00
average	Clacton-on-Sea	GB	51.78967	1.15597	20 Jan 2016
average	Malaut	IN	30.21121	74.4818	09/04/2020, 00:00:00
good	Covington	US	39.08367	-84.50855	20 Apr 2020
good	Malnate	IT	45.79377	8.88104	2015/11/10
average	Yenagoa	NG	4.92675	6.26764	09 Aug 2017
accep	Custoias	PT	41.1053	-7.32097	2022-01-17
good	Rangia	IN	26.44931	91.61356	03/29/2013, 00:00:00
excellent	San Giuliano Milanese	IT	45.39402	9.29109	10/09/2012, 00:00:00
accep	Tyler	US	32.35126	-95.30106	11/14/2017, 00:00:00
building	Okahandja	NA	-21.98333	16.91667	2012-12-15
accep	Stade	DE	53.59337	9.47629	05/14/2016, 00:00:00
accep	Palm Desert	US	33.72255	-116.37697	2012/12/23
building	Pamiers	FR	43.11667	1.6	01 May 2019
excellent	Gariadhar	IN	21.53889	71.57737	05/27/2016, 00:00:00
building	Boumerdas	DZ	36.76639	3.47717	2013-02-21
average	Tupi	PH	6.33444	124.95278	2019-02-24
maintenance	Jersey City	US	40.72816	-74.07764	19 Feb 2018
excellent	Dublin	US	32.54044	-82.90375	2017-11-11
accep	Paredes	PT	41.20485	-8.33147	2018-02-22
excellent	Tonota	BW	-21.44236	27.46153	24 Apr 2013
average	Memmingen	DE	47.98372	10.18527	04 Sep 2022
maintenance	Nutley	US	40.82232	-74.15987	11/29/2015, 00:00:00
excellent	Charlottenburg-Nord	DE	52.53048	13.29371	2014-11-29
excellent	Calauan	PH	14.14989	121.3152	2013/01/30
accep	Ganei Tikva	IL	32.05971	34.8732	19 Jul 2014
good	Skalica	SK	48.8449	17.22635	29 Sep 2012
building	Salvatierra	MX	20.21322	-100.88023	11 Aug 2022
excellent	Hlukhiv	UA	51.67822	33.9162	08/12/2020, 00:00:00
excellent	Lons-le-Saunier	FR	46.67535	5.55575	09/04/2014, 00:00:00
building	Sonzacate	SV	13.73417	-89.71472	28 Feb 2017
average	Dalsingh Sarai	IN	25.66795	85.83636	07 Oct 2017
good	Recife	BR	-8.05389	-34.88111	01 Oct 2021
accep	Talavera de la Reina	ES	39.96348	-4.83076	2022/04/02
excellent	Masbate	PH	12.37169	123.62494	06/15/2018, 00:00:00
maintenance	Danilov	RU	58.1908	40.17171	05/28/2022, 00:00:00
accep	Beveren	BE	51.21187	4.25633	2014-07-21
accep	T’aebaek	KR	37.1759	128.9889	03/06/2017, 00:00:00
maintenance	Hutchinson	US	38.06084	-97.92977	12/16/2015, 00:00:00
accep	Naga	PH	10.20898	123.758	04/21/2017, 00:00:00
excellent	Periyakulam	IN	10.12268	77.54372	2014/01/18
accep	Shepetivka	UA	50.18545	27.06365	2013-01-01
excellent	Eppingen	DE	49.13645	8.91229	2022-01-25
accep	Bron	FR	45.73333	4.91667	2022/09/08
excellent	Busia	KE	0.46005	34.11169	12/07/2016, 00:00:00
good	Saraktash	RU	51.78771	56.36091	01/15/2013, 00:00:00
average	Maasin	PH	10.13361	124.84472	03/14/2013, 00:00:00
good	Gauting	DE	48.06919	11.37703	10/19/2021, 00:00:00
excellent	Morningside Heights	US	40.81	-73.9625	2018-06-14
maintenance	Elbeuf	FR	49.28669	1.00288	20 Feb 2021
accep	Rafaela	AR	-31.25033	-61.4867	2018/10/17
good	Bridgeport	US	41.16704	-73.20483	11/26/2018, 00:00:00
excellent	Lesosibirsk	RU	58.23583	92.48278	2016-11-14
average	Puducherry	IN	11.93381	79.82979	2019/02/02
excellent	Leioa	ES	43.32686	-2.98884	05/18/2022, 00:00:00
