QoS	code	longitude	location	revision	latitude
accep	IT	15.00913	Europe/Rome	10/18/2018, 00:00:00	37.51803
accep	TH	104.64992	Asia/Bangkok	03/31/2021, 00:00:00	14.64056
building	GE	41.77921	Asia/Tbilisi	2019-02-03	41.82143
excellent	NG	3.39467	Africa/Lagos	2019/11/23	6.45407
average	US	-75.23266	America/New_York	12 Nov 2013	43.1009
good	CH	6.10237	Europe/Zurich	01/03/2014, 00:00:00	46.18396
accep	AT	15.46667	Europe/Vienna	31 May 2018	47.05
accep	PH	123.99333	Asia/Manila	2013-10-09	12.97389
good	CN	120.33063	Asia/Shanghai	09/20/2015, 00:00:00	37.65181
building	DE	10.98461	Europe/Berlin	04/16/2018, 00:00:00	48.35693
average	BG	23.225	Europe/Sofia	2017/09/03	43.4125
excellent	RU	111.4834	Asia/Yakutsk	26 Dec 2019	65.93381
good	ES	1.10687	Europe/Madrid	2022-08-11	41.15612
maintenance	TZ	33	Africa/Dar_es_Salaam	21 Sep 2020	-2.68333
building	RU	38.94324	Europe/Moscow	2017-03-12	44.98901
excellent	IN	78.14797	Asia/Kolkata	2016/09/18	15.45144
good	PL	15.00835	Europe/Warsaw	31 Aug 2018	51.14942
accep	US	-104.83192	America/Denver	09 Dec 2017	39.72943
maintenance	CA	-113.3187	America/Edmonton	15 Dec 2015	53.51684
excellent	US	-77.96389	America/New_York	23 Oct 2016	39.45621
maintenance	PL	17.4674	Europe/Warsaw	2020/01/29	50.86079
average	US	-117.14392	America/Los_Angeles	2014/06/28	32.9156
average	NG	4.18333	Africa/Lagos	11/30/2016, 00:00:00	7.6
excellent	JP	137.36215	Asia/Tokyo	25 Jul 2015	36.75965
excellent	CN	120.74221	Asia/Shanghai	05/13/2017, 00:00:00	31.64615
building	UG	32.88667	Africa/Kampala	2016/03/24	3.27833
excellent	IN	76.0586	Asia/Kolkata	08/07/2016, 00:00:00	16.06213
average	IN	72.68533	Asia/Kolkata	27 Aug 2017	22.75218
accep	BR	-37.03861	America/Maceio	07/23/2018, 00:00:00	-10.90889
building	US	-97.92977	America/Chicago	10/21/2017, 00:00:00	38.06084
average	ID	110.8405	Asia/Jakarta	2021-09-20	-6.8048
excellent	IT	14.01481	Europe/Rome	2018-01-11	42.67164
building	DE	9.20427	Europe/Berlin	2017/03/24	48.49144
maintenance	LK	79.883	Asia/Colombo	2015/07/08	6.9909
good	US	-104.22884	America/Denver	12/09/2019, 00:00:00	32.42067
average	ID	109.3243	Asia/Jakarta	13 Dec 2015	-7.0981
excellent	RU	60.8019	Asia/Yekaterinburg	15 Jun 2020	56.9083
maintenance	GB	-1.47217	Europe/London	2022/05/23	53.46506
accep	BR	-50.00639	America/Sao_Paulo	2019-06-16	-25.42944
average	GB	0.47713	Europe/London	2019-09-06	51.39323
excellent	MY	103.6032	Asia/Kuala_Lumpur	2018-10-21	1.6561
average	AU	151.08057	Australia/Sydney	27 Jul 2020	-33.79176
average	BR	-37.65	America/Maceio	13 Mar 2016	-10.91722
maintenance	UA	29.41824	Europe/Kiev	2020-08-22	45.99194
excellent	GB	-0.76667	Europe/London	12/07/2019, 00:00:00	53.38333
excellent	DZ	4.85668	Africa/Algiers	2019-02-18	36.27462
good	DE	9.22796	Europe/Berlin	2015/05/30	48.46458
good	MX	-98.11889	America/Mexico_City	2016-08-19	19.04222
excellent	TH	102.42587	Asia/Bangkok	02/06/2013, 00:00:00	15.58552
excellent	TZ	37.00438	Africa/Dar_es_Salaam	02 Jul 2021	-7.60361
excellent	RU	57.3552	Asia/Yekaterinburg	22 Jan 2013	51.4781
excellent	MY	101.96857	Asia/Kuala_Lumpur	01/09/2021, 00:00:00	4.88441
accep	FR	2.2469	Europe/Paris	12/16/2015, 00:00:00	48.90472
good	BE	4.21372	Europe/Brussels	2016-11-11	51.12794
average	DE	11.18709	Europe/Berlin	2012/10/16	48.73218
accep	AT	15.46667	Europe/Vienna	07/13/2020, 00:00:00	47.05
good	KR	128.9889	Asia/Seoul	19 Nov 2018	37.1759
average	BA	19.21437	Europe/Sarajevo	04 Oct 2016	44.75874
excellent	AZ	48.87498	Asia/Baku	07 Feb 2019	38.45598
good	PH	121.96361	Asia/Manila	24 Jan 2019	6.95194
maintenance	CR	-84.13722	America/Costa_Rica	09/28/2015, 00:00:00	9.92787
good	US	-93.12577	America/Chicago	01 Oct 2014	44.73941
excellent	PH	122.9666	Asia/Manila	2016-08-17	10.7375
good	CD	24.43973	Africa/Lubumbashi	2022-09-02	0.76755
accep	RU	46.10925	Europe/Moscow	15 Aug 2013	43.35071
maintenance	PE	-75.11028	America/Lima	2018/05/20	-15.21194
average	FR	2.44892	Europe/Paris	04 Feb 2020	48.98693
maintenance	DE	10.18527	Europe/Berlin	2020/12/28	47.98372
building	JP	136.61667	Asia/Tokyo	2018-01-24	36.53333
average	BE	3.20639	Europe/Brussels	2012-12-11	50.74497
accep	IT	11.412	Europe/Rome	28 Dec 2014	45.50369
maintenance	CA	-73.86586	America/Toronto	2016-08-30	45.43341
accep	RU	53.47103	Asia/Yekaterinburg	13 Apr 2021	54.48147
maintenance	US	-104.83192	America/Denver	2019/11/21	39.72943
average	AU	145.06667	Australia/Melbourne	2018/08/15	-37.88333
excellent	RU	92.48278	Asia/Krasnoyarsk	2014/03/06	58.23583
excellent	GB	-0.74934	Europe/London	20 Jan 2017	51.62907
maintenance	MX	-98.11889	America/Mexico_City	14 Mar 2022	19.04222
excellent	US	-86.11084	America/Indiana/Indianapolis	11/16/2014, 00:00:00	41.75338
accep	TR	34.37389	Europe/Istanbul	24 Jan 2015	40.1675
excellent	DE	8.77155	Europe/Berlin	2014-08-25	50.23019
accep	GB	-1.06667	Europe/London	11/28/2012, 00:00:00	53.78333
average	DE	10.98461	Europe/Berlin	12/10/2015, 00:00:00	48.35693
average	DE	10.03988	Europe/Berlin	2015-10-13	53.6052
good	CN	117.55417	Asia/Shanghai	12/16/2012, 00:00:00	34.86472
good	US	-93.263	America/Chicago	2019-04-13	45.0408
good	GB	-3.05814	Europe/London	02/19/2021, 00:00:00	53.00974
good	CN	112.73333	Asia/Shanghai	2017-02-02	38.40917
excellent	US	-91.73625	America/Chicago	2022/01/01	35.25064
building	US	-93.12577	America/Chicago	2017/11/23	44.73941
average	BG	23.225	Europe/Sofia	2020-10-09	43.4125
average	PH	120.5875	Asia/Manila	2019/01/19	16.455
average	DE	8.96317	Europe/Berlin	2014-05-25	48.35149
accep	IN	81.54855	Asia/Kolkata	2017-09-16	26.2649
excellent	US	-88.3162	America/Chicago	02/25/2022, 00:00:00	42.24113
good	ID	106.85417	Asia/Jakarta	2021/03/20	-6.48167
good	US	-89.99038	America/Chicago	03 Jan 2016	38.58894
accep	NG	8.2926	Africa/Lagos	2017/06/04	9.58126
average	US	-118.03917	America/Los_Angeles	2021-01-31	33.95015
good	NG	4.74161	Africa/Lagos	17 Aug 2014	7.62789
good	GB	-2.98333	Europe/London	16 Jun 2022	53.83333
building	JP	137.02166	Asia/Tokyo	2020/08/08	35.48199
accep	US	-73.78458	America/New_York	27 Dec 2020	41.0051
good	CN	117.7	Asia/Shanghai	08/18/2018, 00:00:00	35.85
excellent	CN	126.28333	Asia/Shanghai	2015/04/24	45.35
excellent	IN	78.14797	Asia/Kolkata	01/19/2017, 00:00:00	15.45144
accep	IN	85.94001	Asia/Kolkata	2022/09/21	25.49043
accep	NL	5.51978	Europe/Amsterdam	2020/04/25	51.44889
accep	AR	-58.38341	America/Argentina/Buenos_Aires	15 Jan 2018	-34.64966
accep	UA	32.6178	Europe/Kiev	05/08/2018, 00:00:00	46.65581
average	TH	99.96667	Asia/Bangkok	2017/01/20	8.43333
excellent	AZ	48.87498	Asia/Baku	25 May 2020	38.45598
maintenance	CN	117.63083	Asia/Shanghai	2018/07/26	35.50056
good	RU	35.90057	Europe/Moscow	2019/11/17	56.85836
excellent	BE	3.16667	Europe/Brussels	2018-01-21	50.8
accep	RU	83.62389	Asia/Barnaul	19 Jul 2022	53.30972
good	US	-88.27205	America/Chicago	2015/10/10	44.27804
accep	BE	4.82313	Europe/Brussels	2017/07/02	51.24197
excellent	GB	-1.29243	Europe/London	2019-04-17	53.49389
maintenance	CA	-119.48568	America/Vancouver	2019-12-06	49.88307
excellent	RU	38.2739	Europe/Moscow	24 Jan 2022	46.7055
building	RS	22.53083	Europe/Belgrade	04 Apr 2016	44.22639
accep	CN	114.68333	Asia/Shanghai	09/15/2020, 00:00:00	23.73333
average	ID	114.33333	Asia/Jakarta	05/03/2021, 00:00:00	-8.43333
accep	IN	77.70636	Asia/Kolkata	12/25/2021, 00:00:00	28.98002
good	MT	14.51472	Europe/Malta	10 Jan 2014	35.89972
accep	IN	73.06784	Asia/Kolkata	17 Mar 2014	25.13915
good	GB	-1.5443	Europe/London	01 Aug 2019	50.75767
good	US	-73.97069	America/New_York	26 Nov 2016	40.64621
excellent	NL	6.76111	Europe/Amsterdam	07/10/2018, 00:00:00	53.16167
average	IN	91.61356	Asia/Kolkata	2013/09/07	26.44931
maintenance	IN	76.12647	Asia/Kolkata	2016-02-07	32.55531
excellent	IN	77.70636	Asia/Kolkata	2019-07-01	28.98002
accep	GN	-13.68778	Africa/Conakry	2021/11/22	9.535
maintenance	US	-122.38731	America/Los_Angeles	16 Nov 2014	45.53929
accep	VE	-67.33122	America/Caracas	2013-11-04	10.22677
accep	ES	-6.03731	Europe/Madrid	2021-05-04	37.35813
average	IN	78.55757	Asia/Kolkata	06/11/2016, 00:00:00	17.34769
maintenance	FR	-4.1	Europe/Paris	2022-06-08	48
accep	TH	100.04427	Asia/Bangkok	04/19/2019, 00:00:00	13.8196
maintenance	FR	4.8951	Europe/Paris	08/30/2017, 00:00:00	44.92801
building	SE	17.10558	Europe/Stockholm	08/21/2021, 00:00:00	61.72744
accep	IT	17.58522	Europe/Rome	02/24/2017, 00:00:00	40.53123
building	GB	-2.09814	Europe/London	28 Mar 2019	57.14369
excellent	GB	-0.29825	Europe/London	05/25/2017, 00:00:00	51.39148
excellent	PH	121.3152	Asia/Manila	05/18/2013, 00:00:00	14.14989
building	DE	13.32127	Europe/Berlin	10/10/2012, 00:00:00	52.59319
good	RE	55.4504	Indian/Reunion	2020-01-29	-20.88231
accep	TH	100.04427	Asia/Bangkok	2019/08/18	13.8196
maintenance	BO	-65.71875	America/La_Paz	06 Apr 2013	-21.44345
accep	MX	-100.44843	America/Mexico_City	2014-07-03	20.74122
maintenance	PK	73.97117	Asia/Karachi	2013-06-15	31.96258
good	IN	78.95693	Asia/Kolkata	2015/10/14	29.21399
excellent	TR	42.85693	Europe/Istanbul	03/21/2019, 00:00:00	39.22493
accep	RS	19.61222	Europe/Belgrade	2020-09-17	44.97639
good	US	-84.50855	America/New_York	13 Apr 2019	39.08367
maintenance	NG	8.2926	Africa/Lagos	29 Jul 2016	9.58126
average	CN	120.74792	Asia/Shanghai	2014-08-08	41.09822
maintenance	AU	115.8614	Australia/Perth	2022-06-13	-31.95224
average	IN	78.55757	Asia/Kolkata	2018-07-29	17.34769
excellent	JP	139.55028	Asia/Tokyo	2016/07/03	35.30889
maintenance	RU	43.2379	Europe/Volgograd	29 Mar 2017	50.06
accep	IN	88.28637	Asia/Kolkata	2017/08/05	23.07492
accep	BR	-35.71667	America/Recife	2016-03-11	-8.66667
maintenance	PH	123.99333	Asia/Manila	09 Feb 2016	12.97389
building	NL	4.47124	Europe/Amsterdam	02/21/2013, 00:00:00	51.95838
excellent	TR	27.02444	Europe/Istanbul	05/12/2018, 00:00:00	39.59611
good	US	-78.19444	America/New_York	27 Apr 2018	38.91817
average	US	-73.97069	America/New_York	2022/09/08	40.64621
good	US	-81.79819	America/New_York	2014-07-23	41.48199
maintenance	AR	-58.38341	America/Argentina/Buenos_Aires	2018/05/06	-34.64966
average	US	-87.45476	America/Chicago	07/13/2017, 00:00:00	41.47892
accep	PR	-67.15407	America/Puerto_Rico	2022-06-11	18.42745
excellent	US	-81.77285	America/New_York	11/20/2016, 00:00:00	28.54944
excellent	DZ	2.95924	Africa/Algiers	2018-06-11	36.76775
building	FR	2.29275	Europe/Paris	05/28/2014, 00:00:00	48.79325
maintenance	CN	115.70111	Asia/Shanghai	08 Dec 2015	37.73222
good	IN	77.23826	Asia/Kolkata	03/15/2017, 00:00:00	11.50526
maintenance	UA	29.41824	Europe/Kiev	2016-07-10	45.99194
average	CN	117.33333	Asia/Shanghai	2013/06/10	34.85
maintenance	US	-120.43572	America/Los_Angeles	09 Apr 2019	34.95303
accep	GE	41.77921	Asia/Tbilisi	07/11/2015, 00:00:00	41.82143
excellent	BE	4.25633	Europe/Brussels	01 Aug 2016	51.21187
building	AU	151.07986	Australia/Sydney	03 Nov 2012	-33.88096
accep	CN	117.65694	Asia/Shanghai	2019-08-31	36.19278
excellent	AU	115.8614	Australia/Perth	2019/01/23	-31.95224
accep	PK	71.52847	Asia/Karachi	05/17/2014, 00:00:00	32.57756
excellent	IR	51.49621	Asia/Tehran	2021/08/26	36.64852
accep	US	-82.32483	America/New_York	2022/09/09	29.65163
accep	MY	102.3278	Asia/Kuala_Lumpur	30 Mar 2019	2.2139
good	MY	103.81667	Asia/Kuala_Lumpur	2019/09/18	1.6
good	TR	40.74357	Europe/Istanbul	08/13/2019, 00:00:00	37.31309
average	US	-82.46148	America/New_York	24 Dec 2014	28.15112
average	US	-122.39168	America/Los_Angeles	05 Jul 2017	40.58654
accep	ZA	29.00974	Africa/Johannesburg	20 Jan 2013	-24.19436
average	JP	130.94098	Asia/Tokyo	2013-05-16	33.3213
average	US	-69.96533	America/New_York	2019-03-17	43.91452
accep	IN	75.96976	Asia/Kolkata	2018/04/08	15.73628
good	AM	44.7662	Asia/Yerevan	2022/05/29	40.49748
average	FR	2.29275	Europe/Paris	05/25/2019, 00:00:00	48.79325
good	PK	68.49143	Asia/Karachi	19 Dec 2019	25.80565
building	NL	5.2875	Europe/Amsterdam	08/18/2022, 00:00:00	51.65333
excellent	ES	-4.10734	Europe/Madrid	2016/10/04	38.68712
maintenance	US	-90.10674	America/Chicago	10 Mar 2013	29.84576
maintenance	US	-97.54667	America/Chicago	07/24/2014, 00:00:00	30.5427
accep	IN	77.656	Asia/Kolkata	2014-10-14	28.71271
good	PG	144.23058	Pacific/Port_Moresby	16 Aug 2018	-5.85746
excellent	GA	13.58357	Africa/Libreville	2013-10-09	-1.63333
average	US	-122.23484	America/Los_Angeles	09/30/2012, 00:00:00	47.38093
average	IN	73.7553	Asia/Kolkata	10/25/2013, 00:00:00	15.5439
maintenance	US	-82.61573	America/New_York	2013/11/11	41.24255
maintenance	CN	120.33063	Asia/Shanghai	05/12/2021, 00:00:00	37.65181
maitennce	JP	139.55028	Asia/Tokyo	27 Jan 2015	35.30889
excellent	US	-121.74052	America/Los_Angeles	2016-10-06	38.54491
good	CN	112.9	Asia/Shanghai	2020-02-24	27.85
good	ID	103.61667	Asia/Jakarta	2018-01-08	-1.6
building	DE	8.63333	Europe/Berlin	2021-08-05	52.2
good	DE	9.15214	Europe/Berlin	2017/06/02	49.97704
average	DE	8.77155	Europe/Berlin	2017-08-06	50.23019
good	DE	6.9747	Europe/Berlin	28 Apr 2016	50.82709
excellent	US	-73.89125	America/New_York	14 Dec 2015	40.67705
average	UA	27.06365	Europe/Kiev	2014/02/11	50.18545
excellent	RU	34.33825	Europe/Moscow	2012-11-13	53.59782
maintenance	US	-91.06177	America/Chicago	01 Oct 2016	33.41012
maintenance	US	-122.23484	America/Los_Angeles	11/11/2018, 00:00:00	47.38093
average	KE	35.59642	Africa/Nairobi	2013/09/04	3.11988
average	ID	113.69785	Asia/Jakarta	2015/02/09	-7.73379
accep	PK	70.91106	Asia/Karachi	09/15/2019, 00:00:00	29.38242
excellent	MY	101.02083	Asia/Kuala_Lumpur	2022/08/20	4.02219
average	US	-78.87836	America/New_York	24 Feb 2015	35.05266
average	IN	86.68363	Asia/Kolkata	01/17/2016, 00:00:00	23.49668
maintenance	CO	-75.69947	America/Bogota	05/21/2014, 00:00:00	8.79577
average	CM	10.7	Africa/Douala	2020-11-24	4.96667
good	IN	75.11937	Asia/Kolkata	2018/07/09	20.88098
accep	NL	5.74861	Europe/Amsterdam	2020/09/02	52.71083
average	BJ	2.59753	Africa/Porto-Novo	2021-10-08	8.88649
accep	DE	13.31783	Europe/Berlin	25 Mar 2016	52.61131
average	NL	7.00417	Europe/Amsterdam	2022/08/15	52.26083
good	PH	120.56528	Asia/Manila	2013/02/13	14.66
excellent	CN	120.14278	Asia/Shanghai	31 Jul 2018	32.50611
building	MG	46.58333	Indian/Antananarivo	2013-07-09	-21.15
building	ES	-15.58602	Atlantic/Canary	16 May 2016	27.76056
building	TZ	39.28333	Africa/Dar_es_Salaam	2022-01-31	-10.33333
excellent	BR	-58.44417	America/Manaus	10/13/2018, 00:00:00	-3.14306
average	UZ	69.67639	Asia/Tashkent	10/23/2021, 00:00:00	41.29444
average	CL	-73.02841	America/Santiago	07/26/2014, 00:00:00	-36.9256
accep	JP	139.55722	Asia/Tokyo	06/19/2018, 00:00:00	36
maintenance	TR	29.26639	Europe/Istanbul	16 Aug 2018	37.58105
average	TZ	38.66667	Africa/Dar_es_Salaam	2020/06/10	-6.25
accep	CO	-74.26419	America/Bogota	08/04/2018, 00:00:00	4.73245
excellent	DZ	4.08282	Africa/Algiers	2017-07-15	36.61954
building	GN	-13.68778	Africa/Conakry	2020/08/03	9.535
excellent	CO	-74.26419	America/Bogota	23 Jul 2019	4.73245
average	US	-96.67834	America/Chicago	2016-01-25	34.77453
maintenance	IN	77.9129	Asia/Kolkata	2015/07/16	25.6439
excellent	GB	-0.36053	Europe/London	09/26/2021, 00:00:00	51.64316
average	CN	122.74754	Asia/Shanghai	25 Oct 2016	40.85158
excellent	US	-81.23621	America/New_York	2022/09/19	33.98154
accep	US	-73.47429	America/New_York	2014/09/02	40.68066
average	DE	9.02596	Europe/Berlin	07/10/2021, 00:00:00	48.21644
average	RU	33.72798	Europe/Moscow	02/12/2017, 00:00:00	53.53395
building	DE	9.5586	Europe/Berlin	2021/11/19	54.52156
accep	NZ	171.25364	Pacific/Auckland	08/18/2013, 00:00:00	-44.39672
good	US	-73.9625	America/New_York	20 Oct 2018	40.81
excellent	RU	37.99117	Europe/Moscow	17 Jan 2014	44.92934
average	TN	10.58082	Africa/Tunis	2021/01/04	35.72917
maintenance	JP	137.5	Asia/Tokyo	10/12/2020, 00:00:00	34.9
average	IN	81.54855	Asia/Kolkata	09/18/2020, 00:00:00	26.2649
maintenance	TR	29.26639	Europe/Istanbul	2018-01-11	37.58105
excellent	US	-80.66756	America/New_York	2017-07-09	26.68451
average	PH	122.9666	Asia/Manila	14 Oct 2012	10.7375
accep	US	-87.66561	America/Chicago	2020-03-13	41.8542
maintenance	US	-77.37331	America/New_York	2018-02-21	37.60876
maintenance	CN	117.7	Asia/Shanghai	27 Aug 2020	35.85
accep	NZ	178.00417	Pacific/Auckland	01/22/2019, 00:00:00	-38.65333
excellent	KE	35.59642	Africa/Nairobi	07/26/2013, 00:00:00	3.11988
building	CM	11.5	Africa/Douala	2013-11-14	3.51667
building	US	-74.38987	America/New_York	06 Aug 2014	40.65538
good	TR	28.88222	Europe/Istanbul	2018-04-08	40.37528
building	US	-71.08977	America/New_York	2016/04/13	41.9001
excellent	FR	-4.1	Europe/Paris	04/20/2017, 00:00:00	48
average	JP	137.4	Asia/Tokyo	2015-08-27	34.81667
excellent	HK	114.10479	Asia/Hong_Kong	2021-11-08	22.37066
average	US	-80.08199	America/New_York	08/15/2017, 00:00:00	35.88264
accep	FR	-0.59543	Europe/Paris	2021/06/02	44.80477
good	TH	104.1451	Asia/Bangkok	2017/08/30	15.79408
accep	ID	103.61667	Asia/Jakarta	28 Jul 2017	-1.6
average	CG	15.28318	Africa/Brazzaville	24 May 2020	-4.26613
good	DE	10.98461	Europe/Berlin	2013-05-05	48.35693
accep	US	-73.97069	America/New_York	04/24/2022, 00:00:00	40.64621
good	IN	76.0586	Asia/Kolkata	14 Oct 2018	16.06213
accep	CA	-73.58248	America/Toronto	24 May 2020	45.40008
accep	US	-73.95097	America/New_York	2013/12/01	40.72371
average	PH	124.95278	Asia/Manila	2018/10/01	6.33444
acceptable	GB	-2.52398	Europe/London	19 Feb 2020	53.19146
maintenance	MX	-98.11889	America/Mexico_City	2017/04/30	19.04222
maintenance	US	-71.29144	America/New_York	01/20/2017, 00:00:00	41.54566
accep	US	-73.0515	America/New_York	2021-12-31	41.55815
maintenance	BR	-51.50361	America/Sao_Paulo	18 May 2013	-29.2975
maintenance	US	-111.78903	America/Phoenix	2013/04/09	33.35283
average	BR	-37.07167	America/Maceio	10/19/2020, 00:00:00	-10.91111
accep	IT	14.66737	Europe/Rome	23 May 2019	41.55947
accep	US	-89.99038	America/Chicago	2013-03-27	38.58894
good	PL	18.30056	Europe/Warsaw	03/27/2016, 00:00:00	50.5107
excellent	DZ	4.08282	Africa/Algiers	2014/10/02	36.61954
average	IN	74.4818	Asia/Kolkata	02/01/2022, 00:00:00	30.21121
excellent	PH	121.06761	Asia/Manila	2019/08/10	12.35275
good	PK	71.57118	Asia/Karachi	2022/08/10	32.87533
average	US	-83.2321	America/New_York	2018-04-03	33.08014
accep	US	-86.99666	America/Chicago	2014-08-04	33.45122
accep	ES	-6.03731	Europe/Madrid	2019/04/06	37.35813
average	CN	118.53333	Asia/Shanghai	2015/08/05	27.92333
excellent	MX	-98.11889	America/Mexico_City	2019-01-06	19.04222
accep	ID	103.61667	Asia/Jakarta	28 May 2013	-1.6
accep	CM	10.7	Africa/Douala	2013-04-10	4.96667
average	US	-117.54866	America/Los_Angeles	2014/01/17	33.93113
excellent	VN	105.75635	Asia/Ho_Chi_Minh	2015-10-11	10.29085
average	CN	122.20488	Asia/Shanghai	2017/03/09	29.98869
average	YE	46.83187	Asia/Aden	04/13/2017, 00:00:00	14.53767
accep	BR	-52.35558	America/Cuiaba	2016/10/26	-14.66463
average	RU	133.42825	Asia/Vladivostok	2018/09/18	45.47885
excellent	VE	-68.30472	America/Caracas	2016-03-15	9.91861
accep	JP	137.02166	Asia/Tokyo	03/26/2017, 00:00:00	35.48199
accep	PE	-75.11028	America/Lima	2013/10/26	-15.21194
average	MX	-94.91386	America/Mexico_City	09/22/2013, 00:00:00	17.94979
accep	IN	85.83334	Asia/Kolkata	2015-04-24	20.88197
average	IT	9.40531	Europe/Rome	03/09/2013, 00:00:00	45.53069
good	CA	-119.48568	America/Vancouver	2022-05-04	49.88307
excellent	JP	139.07204	Asia/Tokyo	2018/10/23	36.24624
average	US	-73.95958	America/New_York	2014-11-30	40.57788
excellent	US	-74.96933	America/New_York	02/12/2014, 00:00:00	39.71734
accep	DE	10.5511	Europe/Berlin	07 Apr 2022	52.47774
accep	US	-104.22884	America/Denver	19 Feb 2017	32.42067
accep	MA	-6.90656	Africa/Casablanca	2022/04/01	33.92866
good	GB	-2.01111	Europe/London	01/14/2019, 00:00:00	52.66277
maintenance	LR	-8.53778	Africa/Monrovia	11/29/2021, 00:00:00	7.57944
good	DZ	4.08282	Africa/Algiers	23 Mar 2015	36.61954
average	TR	42.85693	Europe/Istanbul	2012-12-09	39.22493
good	CH	8.52462	Europe/Zurich	2021/08/21	47.30997
maitennce	US	-81.23621	America/New_York	2022-01-11	33.98154
accep	NO	16.54165	Europe/Oslo	04/03/2016, 00:00:00	68.79833
accep	BR	-44.31389	America/Sao_Paulo	04/28/2018, 00:00:00	-19.7625
building	IN	84.13864	Asia/Kolkata	2014/08/15	22.88783
good	PH	120.4861	Asia/Manila	2017-07-18	16.0438
good	US	-96.67834	America/Chicago	2013/06/23	34.77453
maintenance	US	-82.61573	America/New_York	2019-09-21	41.24255
excellent	IN	86.59611	Asia/Kolkata	2014-10-31	25.87498
excellent	IN	75.11937	Asia/Kolkata	03/01/2013, 00:00:00	20.88098
building	ES	-4.83076	Europe/Madrid	06/02/2021, 00:00:00	39.96348
excellent	ID	104.09701	Asia/Jakarta	2017-10-22	-1.26424
excellent	TR	37.3825	Europe/Istanbul	09/01/2016, 00:00:00	37.05944
average	DE	9.02596	Europe/Berlin	21 May 2019	48.21644
average	FR	2.08333	Europe/Paris	23 Jul 2018	48.86667
maintenance	IN	78.27539	Asia/Kolkata	2017/07/24	12.95629
accep	CR	-84.13722	America/Costa_Rica	03 Feb 2017	9.92787
acceptable	US	-111.99633	America/Denver	2016-07-25	40.65995
average	FR	2.29275	Europe/Paris	03/28/2019, 00:00:00	48.79325
good	US	-95.36969	America/Chicago	07/24/2018, 00:00:00	35.74788
accep	ES	2.35739	Europe/Madrid	27 Mar 2017	41.63976
maintenance	MN	106.88324	Asia/Ulaanbaatar	05/01/2014, 00:00:00	47.90771
average	DE	13.10984	Europe/Berlin	02 Aug 2022	51.30001
accep	ET	38.01667	Africa/Addis_Ababa	01/28/2018, 00:00:00	11.85
accep	IN	72.85107	Asia/Kolkata	04/29/2018, 00:00:00	19.30157
excellent	KE	34.11169	Africa/Nairobi	14 Apr 2018	0.46005
excellent	PT	-8.33147	Europe/Lisbon	2019-08-09	41.20485
accep	BR	-38.79084	America/Bahia	2015-10-18	-10.95817
average	IT	14.30935	Europe/Rome	30 Jun 2020	40.92298
accep	BR	-52.35558	America/Cuiaba	2018-12-06	-14.66463
excellent	ME	18.84	Europe/Podgorica	2021-08-27	42.28639
building	CU	-82.00919	America/Havana	2017/04/08	23.04419
building	KR	128.62667	Asia/Seoul	27 May 2016	34.8825
excellent	US	-73.95958	America/New_York	10/11/2021, 00:00:00	40.57788
good	CN	113.82465	Asia/Shanghai	05/20/2014, 00:00:00	23.29549
excellent	GB	-2.98333	Europe/London	2014-01-10	53.83333
good	SY	36.7138	Asia/Damascus	11/19/2014, 00:00:00	35.95664
excellent	BR	-35.03333	America/Recife	02/04/2016, 00:00:00	-8.28333
building	RU	53.47103	Asia/Yekaterinburg	17 Jan 2016	54.48147
excellent	NA	16.91667	Africa/Windhoek	08/25/2013, 00:00:00	-21.98333
accep	ES	-3.53261	Europe/Madrid	03/22/2013, 00:00:00	40.42386
average	RU	92.48278	Asia/Krasnoyarsk	04/02/2014, 00:00:00	58.23583
building	US	-82.61573	America/New_York	2014-10-24	41.24255
accep	IN	74.3092	Asia/Kolkata	2019/03/27	33.37526
building	AM	44.7662	Asia/Yerevan	2014-09-16	40.49748
accep	PG	144.23058	Pacific/Port_Moresby	2016/03/07	-5.85746
average	CO	-77.03116	America/Bogota	11 Jul 2016	3.8801
accep	BR	-38.94722	America/Bahia	07/28/2014, 00:00:00	-15.675
excellent	GB	-3.52751	Europe/London	02/09/2020, 00:00:00	50.7236
maintenance	IN	88.28637	Asia/Kolkata	2019-12-18	23.07492
excellent	US	-111.99633	America/Denver	2021-01-31	40.65995
average	ES	-1.60452	Europe/Madrid	04/24/2014, 00:00:00	42.06166
accep	US	-76.72803	America/New_York	2016/01/12	39.32288
good	VE	-62.64102	America/Caracas	2022-01-06	8.35122
excellent	NZ	171.25364	Pacific/Auckland	2018/07/09	-44.39672
excellent	DJ	42.7125	Africa/Djibouti	17 Jun 2016	11.15583
building	JP	138.31667	Asia/Tokyo	16 Jun 2014	36.65
average	MG	47.31667	Indian/Antananarivo	2021-07-11	-19.65
maintenance	RU	43.91385	Europe/Moscow	2017/03/30	54.03876
average	RU	37.38115	Europe/Moscow	09/30/2014, 00:00:00	55.63711
building	GB	1.15597	Europe/London	10/12/2019, 00:00:00	51.78967
accep	ZA	30.79165	Africa/Johannesburg	2019/04/03	-27.76952
good	DE	10.5511	Europe/Berlin	27 Aug 2015	52.47774
accep	CU	-82.00919	America/Havana	2013-06-14	23.04419
good	CN	115.70111	Asia/Shanghai	04/19/2022, 00:00:00	37.73222
good	IT	16.50104	Europe/Rome	25 May 2022	41.24264
