QoS	latitude	revision	longitude	code	location
maintenance	15.5439	16 Sep 2014	73.7553	IN	Asia/Kolkata
building	35.64889	2018-11-08	117.27583	CN	Asia/Shanghai
accep	29.21399	2014/12/22	78.95693	IN	Asia/Kolkata
good	25.92127	2016/07/02	86.79271	IN	Asia/Kolkata
accep	28.92694	07/03/2022, 00:00:00	78.23456	IN	Asia/Kolkata
accep	49.97704	02/03/2020, 00:00:00	9.15214	DE	Europe/Berlin
maintenance	10.31672	2020/06/25	123.89071	PH	Asia/Manila
accep	-28.24	2022/01/12	-48.67028	BR	America/Sao_Paulo
maintenance	30.75545	10 Aug 2015	20.22625	LY	Africa/Tripoli
accep	21.01858	14 Jun 2013	-101.2591	MX	America/Mexico_City
average	35.05266	04/12/2019, 00:00:00	-78.87836	US	America/New_York
excellent	34.21639	06/11/2013, 00:00:00	-119.0376	US	America/Los_Angeles
maintenance	17.06542	05 Oct 2014	-96.72365	MX	America/Mexico_City
building	34.06635	2012-12-30	-84.67837	US	America/New_York
excellent	9.91861	30 Jul 2022	-68.30472	VE	America/Caracas
good	-20.88231	06/14/2022, 00:00:00	55.4504	RE	Indian/Reunion
average	40.82232	01/24/2021, 00:00:00	-74.15987	US	America/New_York
accep	0.51667	08/08/2016, 00:00:00	101.44167	ID	Asia/Jakarta
good	-27.76952	28 Oct 2014	30.79165	ZA	Africa/Johannesburg
good	41.91886	2017/04/26	8.73812	FR	Europe/Paris
average	53.59782	11 Aug 2014	34.33825	RU	Europe/Moscow
accep	8.56697	2018-11-18	123.33471	PH	Asia/Manila
excellent	41.77583	2020/05/29	140.73667	JP	Asia/Tokyo
excellent	33.78333	2013-02-08	114.51667	CN	Asia/Shanghai
good	42.7	2019/12/07	27.25	BG	Europe/Sofia
accep	41.85059	19 May 2015	-87.882	US	America/Chicago
accep	34.81667	03/19/2015, 00:00:00	137.4	JP	Asia/Tokyo
average	31.64615	26 Jun 2020	120.74221	CN	Asia/Shanghai
maintenance	48.35693	14 Nov 2021	10.98461	DE	Europe/Berlin
maintenance	6.46346	13 Mar 2015	-2.31938	GH	Africa/Accra
good	41.27194	2013-07-04	123.17306	CN	Asia/Shanghai
average	33.92866	10/17/2012, 00:00:00	-6.90656	MA	Africa/Casablanca
excellent	9.535	2014/11/19	-13.68778	GN	Africa/Conakry
accep	43.78956	2018-11-18	7.60872	IT	Europe/Rome
accep	49.28669	2020/01/06	1.00288	FR	Europe/Paris
accep	32.65246	04 Feb 2020	51.67462	IR	Asia/Tehran
average	37.65181	2022-04-28	120.33063	CN	Asia/Shanghai
excellent	32.44874	03 May 2014	-99.73314	US	America/Chicago
maintenance	6.15038	2013-03-29	6.83042	NG	Africa/Lagos
excellent	43.78956	2015-11-07	7.60872	IT	Europe/Rome
maintenance	-4.06667	23 Jul 2017	37.73333	TZ	Africa/Dar_es_Salaam
excellent	52.57583	24 Mar 2021	6.61944	NL	Europe/Amsterdam
excellent	50.23019	2012-10-29	8.77155	DE	Europe/Berlin
accep	42.30865	15 Apr 2015	-83.48216	US	America/Detroit
maintenance	41.75338	06/09/2018, 00:00:00	-86.11084	US	America/Indiana/Indianapolis
average	58.04254	02/20/2016, 00:00:00	65.27258	RU	Asia/Yekaterinburg
average	33.95015	2021-08-30	-118.03917	US	America/Los_Angeles
excellent	12.74482	30 May 2016	4.52514	NG	Africa/Lagos
good	-10.90889	06/20/2022, 00:00:00	-37.03861	BR	America/Maceio
maintenance	-23.85972	11 Apr 2014	35.34722	MZ	Africa/Maputo
accep	46.09273	08/04/2021, 00:00:00	-88.64235	US	America/Menominee
building	41.85059	2013/04/12	-87.882	US	America/Chicago
maintenance	8.48714	2013-11-05	-13.2356	SL	Africa/Freetown
accep	65.93381	08/19/2016, 00:00:00	111.4834	RU	Asia/Yakutsk
accep	40.42386	06/06/2022, 00:00:00	-3.53261	ES	Europe/Madrid
excellent	41.16704	2013-12-02	-73.20483	US	America/New_York
building	56.56317	24 Dec 2017	-2.58736	GB	Europe/London
average	27.9247	20 Aug 2021	78.40102	IN	Asia/Kolkata
maintenance	44.98901	2015-12-10	38.94324	RU	Europe/Moscow
excellent	38.96372	2018/04/05	-76.99081	US	America/New_York
average	41.0051	2020-02-05	-73.78458	US	America/New_York
good	10.66668	10/23/2021, 00:00:00	-61.51889	TT	America/Port_of_Spain
building	21.53889	2020-05-23	71.57737	IN	Asia/Kolkata
accep	43.1009	03/04/2020, 00:00:00	-75.23266	US	America/New_York
excellent	37.58105	2017-04-03	29.26639	TR	Europe/Istanbul
excellent	50.7236	11/06/2014, 00:00:00	-3.52751	GB	Europe/London
building	8.88988	16 Sep 2018	-79.62603	PA	America/Panama
accep	0.76755	01 Sep 2020	24.43973	CD	Africa/Lubumbashi
accep	51.78967	2013-12-21	1.15597	GB	Europe/London
good	52.14	02/27/2020, 00:00:00	5.58472	NL	Europe/Amsterdam
average	43.82634	05/30/2015, 00:00:00	144.09638	JP	Asia/Tokyo
good	37.08819	03/02/2015, 00:00:00	-8.2503	PT	Europe/Lisbon
building	-4.26613	19 Mar 2014	15.28318	CG	Africa/Brazzaville
building	29.98869	27 Sep 2020	122.20488	CN	Asia/Shanghai
excellent	32.54044	08/16/2016, 00:00:00	-82.90375	US	America/New_York
excellent	36.92574	2019-05-29	14.72443	IT	Europe/Rome
good	31.84568	07 Feb 2016	-102.36764	US	America/Chicago
good	57.30185	2013-06-11	39.85331	RU	Europe/Moscow
building	15.5439	2020/04/04	73.7553	IN	Asia/Kolkata
maintenance	44.85278	2016/12/14	65.50917	KZ	Asia/Qyzylorda
building	40.65538	02/08/2019, 00:00:00	-74.38987	US	America/New_York
accep	13.56667	2015/08/20	-15.6	GM	Africa/Banjul
building	41.77583	2016/10/02	140.73667	JP	Asia/Tokyo
building	14.37395	05/13/2013, 00:00:00	100.48528	TH	Asia/Bangkok
average	-21.205	18 Jun 2015	-41.88778	BR	America/Sao_Paulo
maintenance	18.57677	11 Dec 2018	-72.22625	HT	America/Port-au-Prince
accep	53.69786	07/07/2021, 00:00:00	-2.68758	GB	Europe/London
excellent	33.92946	2019/07/13	-116.97725	US	America/Los_Angeles
building	-44.39672	2020/09/09	171.25364	NZ	Pacific/Auckland
accep	50.88506	22 Jul 2017	4.07601	BE	Europe/Brussels
maitennce	20.88953	01/26/2017, 00:00:00	-156.47432	US	Pacific/Honolulu
building	27.52948	2012-10-19	68.75915	PK	Asia/Karachi
accep	37.19723	2019/12/26	122.05228	CN	Asia/Shanghai
excellent	37.52487	2019-10-28	-77.55777	US	America/New_York
average	45.53929	12/04/2019, 00:00:00	-122.38731	US	America/Los_Angeles
maintenance	53.53395	2018/07/22	33.72798	RU	Europe/Moscow
average	38.55632	06 Feb 2014	69.01354	TJ	Asia/Dushanbe
excellent	51.26	2017-07-03	-2.1875	GB	Europe/London
excellent	23.04419	2019-11-24	-82.00919	CU	America/Havana
average	25.92493	27 Jun 2016	73.66633	IN	Asia/Kolkata
maintenance	45.44694	12/11/2015, 00:00:00	8.62118	IT	Europe/Rome
excellent	42.64685	2016-12-05	-5.55835	ES	Europe/Madrid
building	45.35	2016-12-02	126.28333	CN	Asia/Shanghai
average	64.5635	2016-11-24	39.8302	RU	Europe/Moscow
average	40.68066	10/26/2017, 00:00:00	-73.47429	US	America/New_York
excellent	50.82709	2019/08/21	6.9747	DE	Europe/Berlin
building	3.02013	17 Feb 2017	30.91105	UG	Africa/Kampala
excellent	53.49389	2022/06/12	-1.29243	GB	Europe/London
maintenance	27.76056	2013-10-23	-15.58602	ES	Atlantic/Canary
excellent	1.6561	2019-08-25	103.6032	MY	Asia/Kuala_Lumpur
excellent	-33.59217	04 Feb 2022	-70.6996	CL	America/Santiago
excellent	59.33333	2017-10-23	18.28333	SE	Europe/Stockholm
excellent	34.09668	24 Jun 2022	-117.71978	US	America/Los_Angeles
maintenance	19.64745	2015-01-30	-102.04897	MX	America/Mexico_City
accep	37.73604	09/06/2015, 00:00:00	-120.93549	US	America/Los_Angeles
average	41.55838	13 May 2022	-81.56929	US	America/New_York
good	11.84962	2018-04-13	-86.19903	NI	America/Managua
good	28.92694	2020-12-21	78.23456	IN	Asia/Kolkata
excellent	-7.54972	09/02/2014, 00:00:00	110.71639	ID	Asia/Jakarta
accep	42	14 Nov 2016	21.32778	MK	Europe/Skopje
average	22.83957	2018/03/11	91.84128	BD	Asia/Dhaka
average	36.53333	2016-06-08	136.61667	JP	Asia/Tokyo
good	50.82882	12 May 2020	-0.32247	GB	Europe/London
maintenance	37.35813	03 Feb 2020	-6.03731	ES	Europe/Madrid
good	49.13645	2020-10-29	8.91229	DE	Europe/Berlin
good	14.62578	2018-03-30	121.12251	PH	Asia/Manila
good	32.52515	2015-10-11	-93.75018	US	America/Chicago
maintenance	48.28259	07/12/2021, 00:00:00	9.72749	DE	Europe/Berlin
good	0.03813	08 Jan 2022	36.36339	KE	Africa/Nairobi
building	50.56149	30 Oct 2016	4.69889	BE	Europe/Brussels
excellent	50.18545	2020-05-13	27.06365	UA	Europe/Kiev
excellent	48.98693	2015/07/22	2.44892	FR	Europe/Paris
average	36.92574	04/21/2013, 00:00:00	14.72443	IT	Europe/Rome
good	41.92361	2021-02-24	20.91361	MK	Europe/Skopje
good	5.4709	2020-02-24	100.24529	MY	Asia/Kuala_Lumpur
good	41.72059	2014/05/07	-87.70172	US	America/Chicago
maintenance	27.76056	2013-06-02	-15.58602	ES	Atlantic/Canary
excellent	47.64995	06/28/2017, 00:00:00	-117.23991	US	America/Los_Angeles
good	46.23899	03/25/2019, 00:00:00	-63.13414	CA	America/Halifax
excellent	61.72744	2021-09-28	17.10558	SE	Europe/Stockholm
average	42.22718	2012/12/31	14.39024	IT	Europe/Rome
excellent	53.81667	12 Oct 2017	-3.05	GB	Europe/London
maintenance	36.92574	2013-01-04	14.72443	IT	Europe/Rome
good	51.38673	19 Mar 2018	0.30367	GB	Europe/London
accep	14.8361	07 Oct 2018	120.97844	PH	Asia/Manila
good	41.24264	04 Jun 2022	16.50104	IT	Europe/Rome
accep	14.67751	2022-02-04	-60.94228	MQ	America/Martinique
maintenance	34.75856	2017-09-18	136.13108	JP	Asia/Tokyo
excellent	43.50891	2022-01-07	16.43915	HR	Europe/Zagreb
accep	-20.87306	06 Jul 2022	-48.29694	BR	America/Sao_Paulo
accep	48.28259	2013/04/15	9.72749	DE	Europe/Berlin
accep	59.80917	05/12/2017, 00:00:00	30.38167	RU	Europe/Moscow
excellent	40.49748	2017/02/07	44.7662	AM	Asia/Yerevan
good	7.6	2014/12/16	4.18333	NG	Africa/Lagos
accep	59.80917	2021-03-15	30.38167	RU	Europe/Moscow
building	41.77583	2016-06-11	140.73667	JP	Asia/Tokyo
good	34.14251	2018-06-11	-118.25508	US	America/Los_Angeles
good	21.53889	05/04/2018, 00:00:00	71.57737	IN	Asia/Kolkata
average	41.54566	2016-02-22	-71.29144	US	America/New_York
excellent	50.82882	04 Sep 2015	-0.32247	GB	Europe/London
good	36.91023	2022/02/12	-121.75689	US	America/Los_Angeles
good	42.97086	09 Feb 2020	-82.42491	US	America/Detroit
accep	20.14298	31 Aug 2022	-77.43532	CU	America/Havana
average	50.82709	09/24/2021, 00:00:00	6.9747	DE	Europe/Berlin
good	30.21121	05 Jan 2017	74.4818	IN	Asia/Kolkata
building	39.22493	2018/09/03	42.85693	TR	Europe/Istanbul
maintenance	42.28639	2022/01/08	18.84	ME	Europe/Podgorica
average	49.68369	12/07/2020, 00:00:00	8.61839	DE	Europe/Berlin
maintenance	42.7392	05/24/2016, 00:00:00	-84.62081	US	America/Detroit
maintenance	30.35028	2016/01/09	112.19028	CN	Asia/Shanghai
average	19.8173	2018/04/03	-97.35992	MX	America/Mexico_City
good	33.92866	2013-10-06	-6.90656	MA	Africa/Casablanca
accep	37.30553	2015/06/12	120.82747	CN	Asia/Shanghai
excellent	-12.91667	2014/05/11	-39.25	BR	America/Bahia
building	30.46907	19 Nov 2016	70.96699	PK	Asia/Karachi
accep	31.76212	08 Feb 2020	-95.63079	US	America/Chicago
accep	-37.88333	09/15/2015, 00:00:00	145.06667	AU	Australia/Melbourne
good	37.1759	08/28/2020, 00:00:00	128.9889	KR	Asia/Seoul
accep	56.85836	2012-12-22	35.90057	RU	Europe/Moscow
building	33.08014	2016/01/18	-83.2321	US	America/New_York
building	33.86419	2013/03/01	48.26258	IR	Asia/Tehran
building	32.35126	2013-04-05	-95.30106	US	America/Chicago
building	26.68451	04 Apr 2016	-80.66756	US	America/New_York
excellent	41.84364	10/13/2014, 00:00:00	-87.71255	US	America/Chicago
good	56.56317	08/01/2014, 00:00:00	-2.58736	GB	Europe/London
accep	13.70727	03/17/2017, 00:00:00	9.15013	NE	Africa/Niamey
excellent	38.70734	02/16/2014, 00:00:00	-77.02303	US	America/New_York
accep	32.54278	2017-05-26	111.50861	CN	Asia/Shanghai
excellent	6.46838	03/10/2019, 00:00:00	-73.26022	CO	America/Bogota
accep	-10.90889	04/03/2016, 00:00:00	-37.03861	BR	America/Maceio
accep	47.90771	2013/11/16	106.88324	MN	Asia/Ulaanbaatar
good	49.5099	09/18/2014, 00:00:00	6.74549	DE	Europe/Berlin
excellent	48.90472	2018/12/30	2.2469	FR	Europe/Paris
building	35	2017-02-11	136.51667	JP	Asia/Tokyo
excellent	43.71032	2019-06-29	-1.05366	FR	Europe/Paris
building	40.2737	23 Jun 2013	-76.88442	US	America/New_York
excellent	42.4251	22 Feb 2017	-71.06616	US	America/New_York
accep	45.44868	2016-03-11	-73.81669	CA	America/Toronto
building	45.69558	2015-01-10	4.7934	FR	Europe/Paris
excellent	-3.74912	2018-12-25	-73.25383	PE	America/Lima
excellent	51.47805	26 Jul 2022	6.8625	DE	Europe/Berlin
good	48.8222	2016/03/21	2.12213	FR	Europe/Paris
accep	56.85836	09 Nov 2019	35.90057	RU	Europe/Moscow
accep	8.56697	31 Oct 2016	123.33471	PH	Asia/Manila
accep	-11.48472	2015/03/14	-37.93278	BR	America/Bahia
average	37.49223	2013/10/01	15.07041	IT	Europe/Rome
excellent	31.64615	05 Nov 2012	120.74221	CN	Asia/Shanghai
maintenance	-31.95224	22 Nov 2012	115.8614	AU	Australia/Perth
good	35.8	27 Feb 2020	137.23333	JP	Asia/Tokyo
good	35.72917	2020/05/17	10.58082	TN	Africa/Tunis
building	38.45598	2022-04-21	48.87498	AZ	Asia/Baku
accep	39.71734	11/04/2019, 00:00:00	-74.96933	US	America/New_York
maintenance	42.55308	07/23/2017, 00:00:00	-87.93341	US	America/Chicago
accep	50.50301	01/22/2019, 00:00:00	13.63617	CZ	Europe/Prague
good	41.72059	10/06/2017, 00:00:00	-87.70172	US	America/Chicago
average	41.57721	05/22/2020, 00:00:00	-93.71133	US	America/Chicago
good	30.81383	04 Jan 2017	75.16878	IN	Asia/Kolkata
building	15.48131	2013-11-13	-86.57415	HN	America/Tegucigalpa
maintenance	48.52961	2022-05-09	12.16179	DE	Europe/Berlin
excellent	17.54907	2013-02-03	82.85749	IN	Asia/Kolkata
average	38.07789	12/22/2013, 00:00:00	13.44275	IT	Europe/Rome
good	-6.25	04/17/2018, 00:00:00	38.66667	TZ	Africa/Dar_es_Salaam
good	51.4781	05/12/2022, 00:00:00	57.3552	RU	Asia/Yekaterinburg
excellent	25.6439	2016/10/16	77.9129	IN	Asia/Kolkata
accep	37.51803	2016-01-27	15.00913	IT	Europe/Rome
building	34.15429	11/15/2018, 00:00:00	3.50309	DZ	Africa/Algiers
excellent	34.85	05/22/2015, 00:00:00	117.33333	CN	Asia/Shanghai
accep	33.3213	06/23/2018, 00:00:00	130.94098	JP	Asia/Tokyo
accep	49.68369	15 May 2013	8.61839	DE	Europe/Berlin
average	4.73245	2013-09-28	-74.26419	CO	America/Bogota
excellent	52.71083	2020-09-30	5.74861	NL	Europe/Amsterdam
good	53.83333	2019/01/23	-2.98333	GB	Europe/London
accep	40.67705	2019-02-08	-73.89125	US	America/New_York
building	-21.44345	25 Aug 2022	-65.71875	BO	America/La_Paz
good	21.28306	2013/04/07	-89.66123	MX	America/Merida
excellent	-33.79176	2016/04/13	151.08057	AU	Australia/Sydney
average	41.75338	2013-06-07	-86.11084	US	America/Indiana/Indianapolis
excellent	22.88783	2015-03-06	84.13864	IN	Asia/Kolkata
excellent	43.91452	09/28/2020, 00:00:00	-69.96533	US	America/New_York
excellent	40.56754	04/12/2016, 00:00:00	-89.64066	US	America/Chicago
excellent	25.95533	03 Sep 2013	68.88871	PK	Asia/Karachi
accep	51.12794	2017-06-15	4.21372	BE	Europe/Brussels
excellent	28.15112	10/05/2019, 00:00:00	-82.46148	US	America/New_York
good	21.28306	05 Jun 2022	-89.66123	MX	America/Merida
building	36.02506	2019/11/21	-86.77917	US	America/Chicago
maintenance	49.07866	2017-07-22	30.96755	UA	Europe/Kiev
accep	50.72043	03/18/2015, 00:00:00	11.34046	DE	Europe/Berlin
excellent	58.1908	2013/05/06	40.17171	RU	Europe/Moscow
average	-7.57897	19 Oct 2015	112.23109	ID	Asia/Jakarta
good	-8.43333	12/26/2020, 00:00:00	114.33333	ID	Asia/Jakarta
maintenance	48.49144	11 Oct 2018	9.20427	DE	Europe/Berlin
average	51.38673	29 Jan 2022	0.30367	GB	Europe/London
accep	33.98154	2017-04-27	-81.23621	US	America/New_York
accep	47.48444	22 May 2013	36.25361	UA	Europe/Zaporozhye
average	41.72059	2020/05/17	-87.70172	US	America/Chicago
accep	6.45407	2021-07-14	3.39467	NG	Africa/Lagos
accep	9.82564	2021/02/01	78.25795	IN	Asia/Kolkata
building	-5.41667	03/03/2015, 00:00:00	38.01667	TZ	Africa/Dar_es_Salaam
average	50.88506	22 Apr 2019	4.07601	BE	Europe/Brussels
accep	51.78967	04/04/2014, 00:00:00	1.15597	GB	Europe/London
good	-28.24	2015-11-12	-48.67028	BR	America/Sao_Paulo
good	27.09978	02 Dec 2017	-82.45426	US	America/New_York
good	44.35056	06/18/2019, 00:00:00	142.45778	JP	Asia/Tokyo
building	-7.60361	2020-04-30	37.00438	TZ	Africa/Dar_es_Salaam
maintenance	0.49113	12/09/2016, 00:00:00	29.47306	CD	Africa/Lubumbashi
good	30.75545	2018/03/22	20.22625	LY	Africa/Tripoli
accep	32.5007	11/12/2016, 00:00:00	-94.74049	US	America/Chicago
good	51.44889	2019/08/13	5.51978	NL	Europe/Amsterdam
good	-22.45667	2014-01-08	-47.53028	BR	America/Sao_Paulo
accep	41.47892	09/21/2021, 00:00:00	-87.45476	US	America/Chicago
maintenance	33.54428	13 Sep 2014	-84.23381	US	America/New_York
maintenance	26.76628	2017/05/22	83.36889	IN	Asia/Kolkata
maintenance	47.64995	08/28/2013, 00:00:00	-117.23991	US	America/Los_Angeles
average	31.71667	11/07/2014, 00:00:00	73.38333	PK	Asia/Karachi
excellent	34.95303	2015/03/23	-120.43572	US	America/Los_Angeles
building	36.08497	17 Apr 2013	9.37082	TN	Africa/Tunis
maintenance	42.4251	30 Aug 2014	-71.06616	US	America/New_York
accep	46.09273	2015-02-03	-88.64235	US	America/Menominee
good	-3.14306	2016/04/17	-58.44417	BR	America/Manaus
accep	60.2052	04/17/2022, 00:00:00	24.6522	FI	Europe/Helsinki
building	51.84819	12/03/2021, 00:00:00	1.26738	GB	Europe/London
excellent	29.38242	03/17/2021, 00:00:00	70.91106	PK	Asia/Karachi
average	-7.73379	2017-02-18	113.69785	ID	Asia/Jakarta
accep	43.61062	21 Jul 2020	-72.97261	US	America/New_York
good	21.53889	2022-04-19	71.57737	IN	Asia/Kolkata
excellent	51.39148	10/14/2015, 00:00:00	-0.29825	GB	Europe/London
accep	29.65163	12 May 2013	-82.32483	US	America/New_York
good	-30.60106	2014-04-13	-71.19901	CL	America/Santiago
average	55.1904	02/26/2019, 00:00:00	30.2049	BY	Europe/Minsk
maintenance	55.85	2016/12/26	37.56667	RU	Europe/Moscow
good	41.57439	03/09/2019, 00:00:00	24.71204	BG	Europe/Sofia
accep	51.24197	15 Oct 2014	4.82313	BE	Europe/Brussels
excellent	51.78771	06/28/2018, 00:00:00	56.36091	RU	Asia/Yekaterinburg
accep	47.80527	2020-02-03	-122.24064	US	America/Los_Angeles
good	18.18158	2015-05-07	76.03889	IN	Asia/Kolkata
building	38.68712	13 Feb 2013	-4.10734	ES	Europe/Madrid
accep	33.4425	17 Jul 2019	129.96972	JP	Asia/Tokyo
average	45.69558	04 Sep 2021	4.7934	FR	Europe/Paris
maintenance	32.44874	2017-08-12	-99.73314	US	America/Chicago
average	-1.26424	13 Jun 2014	104.09701	ID	Asia/Jakarta
average	52.66277	09/17/2018, 00:00:00	-2.01111	GB	Europe/London
average	50.86079	2021/12/10	17.4674	PL	Europe/Warsaw
excellent	34.08565	02/15/2014, 00:00:00	74.80555	IN	Asia/Kolkata
building	50.26729	2017-10-06	-119.27337	CA	America/Vancouver
good	-34.88422	2019-12-07	150.60036	AU	Australia/Sydney
excellent	41.29444	2013-05-19	69.67639	UZ	Asia/Tashkent
maintenance	37.16911	12/22/2013, 00:00:00	10.03478	TN	Africa/Tunis
maitennce	6.45407	2014/04/13	3.39467	NG	Africa/Lagos
good	-4.26613	20 Mar 2019	15.28318	CG	Africa/Brazzaville
average	36.24624	2022/06/28	139.07204	JP	Asia/Tokyo
good	23.9028	2019/03/08	89.11943	BD	Asia/Dhaka
good	46.1351	02/18/2014, 00:00:00	-60.1831	CA	America/Glace_Bay
excellent	44.22639	03 Sep 2019	22.53083	RS	Europe/Belgrade
accep	43.2907	05/04/2022, 00:00:00	5.4384	FR	Europe/Paris
building	6.46838	2020/02/12	-73.26022	CO	America/Bogota
building	49.28669	2017/04/14	1.00288	FR	Europe/Paris
good	-33.75881	04/12/2020, 00:00:00	150.99292	AU	Australia/Sydney
accep	41.09246	2014/07/06	45.36561	AZ	Asia/Baku
excellent	54.48147	2016/10/19	53.47103	RU	Asia/Yekaterinburg
maintenance	40.93333	03/11/2016, 00:00:00	73	KG	Asia/Bishkek
good	42.64031	2013/05/28	125.51176	CN	Asia/Shanghai
average	52.57583	2012/11/21	6.61944	NL	Europe/Amsterdam
accep	40.37528	2015-06-25	28.88222	TR	Europe/Istanbul
excellent	23.29549	2021-06-13	113.82465	CN	Asia/Shanghai
average	12.95629	15 Feb 2022	78.27539	IN	Asia/Kolkata
average	37.16911	2015-07-31	10.03478	TN	Africa/Tunis
accep	52.68333	2012/12/29	0.93333	GB	Europe/London
accep	43.61092	24 May 2019	3.87723	FR	Europe/Paris
good	41.15376	01 May 2014	-87.88754	US	America/Chicago
good	-54.8	2022/07/21	-68.3	AR	America/Argentina/Ushuaia
good	50.26729	25 Jun 2016	-119.27337	CA	America/Vancouver
accep	36.19278	06/12/2020, 00:00:00	117.65694	CN	Asia/Shanghai
building	10.12268	2015-03-20	77.54372	IN	Asia/Kolkata
accep	36.75965	12/18/2016, 00:00:00	137.36215	JP	Asia/Tokyo
excellent	0.51667	2012-12-18	101.44167	ID	Asia/Jakarta
accep	43.48961	2020/10/13	-8.2194	ES	Europe/Madrid
excellent	25.49043	07/04/2019, 00:00:00	85.94001	IN	Asia/Kolkata
maintenance	53.38333	2017-02-06	-0.76667	GB	Europe/London
average	39.00622	04/19/2015, 00:00:00	-77.4286	US	America/New_York
excellent	39.09112	02 Jan 2015	-94.41551	US	America/Chicago
excellent	43.32393	2017-11-02	5.4584	FR	Europe/Paris
accep	45.53929	09/02/2015, 00:00:00	-122.38731	US	America/Los_Angeles
building	14.64056	10/27/2015, 00:00:00	104.64992	TH	Asia/Bangkok
excellent	26.9423	18 Jul 2014	68.11759	PK	Asia/Karachi
good	50.80019	2016-03-09	7.20769	DE	Europe/Berlin
building	11.86064	2017/10/04	9.0027	NG	Africa/Lagos
maintenance	39.32288	09/02/2021, 00:00:00	-76.72803	US	America/New_York
building	36.20829	2013/08/25	-115.98391	US	America/Los_Angeles
excellent	19.32932	2017/05/12	-98.1664	MX	America/Mexico_City
excellent	34.08565	05 Oct 2020	74.80555	IN	Asia/Kolkata
average	41.15612	2014/12/23	1.10687	ES	Europe/Madrid
maintenance	29.21399	09/01/2022, 00:00:00	78.95693	IN	Asia/Kolkata
excellent	52.66277	2018/03/24	-2.01111	GB	Europe/London
accep	3.02013	2017-02-05	30.91105	UG	Africa/Kampala
excellent	46.32374	2014/12/05	-120.00865	US	America/Los_Angeles
excellent	52.53048	22 Jun 2014	13.29371	DE	Europe/Berlin
good	-34.74785	2015/03/03	-58.70072	AR	America/Argentina/Buenos_Aires
good	36.76639	29 Nov 2013	3.47717	DZ	Africa/Algiers
building	-27.76952	07/26/2022, 00:00:00	30.79165	ZA	Africa/Johannesburg
maintenance	35.82756	2016/12/24	137.95378	JP	Asia/Tokyo
excellent	33.45122	2013/08/23	-86.99666	US	America/Chicago
average	65.84811	09/18/2017, 00:00:00	24.14662	FI	Europe/Helsinki
good	35.50056	2021-01-09	117.63083	CN	Asia/Shanghai
maintenance	35.21222	07/29/2022, 00:00:00	2.31889	DZ	Africa/Algiers
average	53.00974	2019-12-22	-3.05814	GB	Europe/London
maintenance	37.65181	01 Jan 2022	120.33063	CN	Asia/Shanghai
accep	42.16808	2018/05/15	-88.42814	US	America/Chicago
good	27.09978	2013/03/24	-82.45426	US	America/New_York
average	18.57677	2019/02/12	-72.22625	HT	America/Port-au-Prince
accep	33.86419	2020/12/16	48.26258	IR	Asia/Tehran
accep	52.59319	2020-04-27	13.32127	DE	Europe/Berlin
excellent	-6.8048	2022-09-09	110.8405	ID	Asia/Jakarta
good	36.27462	11/21/2018, 00:00:00	4.85668	DZ	Africa/Algiers
good	-22.57306	04/28/2021, 00:00:00	-47.1725	BR	America/Sao_Paulo
accep	22.4711	16 Feb 2018	88.1453	IN	Asia/Kolkata
good	45.69558	29 Jun 2014	4.7934	FR	Europe/Paris
good	53.81667	07/28/2021, 00:00:00	-3.05	GB	Europe/London
accep	45.99194	12/27/2021, 00:00:00	29.41824	UA	Europe/Kiev
excellent	43.1122	03/17/2013, 00:00:00	12.38878	IT	Europe/Rome
excellent	35.48199	2013-03-07	137.02166	JP	Asia/Tokyo
good	52.4581	27 Feb 2021	13.28702	DE	Europe/Berlin
good	-25.42778	2014/12/17	-49.27306	BR	America/Sao_Paulo
building	34.95303	03/03/2015, 00:00:00	-120.43572	US	America/Los_Angeles
average	47.83333	2013/04/11	59.6	KZ	Asia/Aqtobe
average	42.24113	01 Apr 2016	-88.3162	US	America/Chicago
good	-22.45667	2015/10/03	-47.53028	BR	America/Sao_Paulo
excellent	7.83389	05/12/2013, 00:00:00	-72.47417	CO	America/Bogota
good	51.08468	11/01/2015, 00:00:00	7.11393	DE	Europe/Berlin
good	51.64316	04/28/2013, 00:00:00	-0.36053	GB	Europe/London
average	5.20856	2016-08-27	-74.73584	CO	America/Bogota
good	40.67705	28 May 2017	-73.89125	US	America/New_York
accep	52.57583	20 Dec 2018	6.61944	NL	Europe/Amsterdam
excellent	34.25807	2016/08/10	-88.70464	US	America/Chicago
acceptable	43.50891	26 Jan 2016	16.43915	HR	Europe/Zagreb
accep	43.61062	2014-07-27	-72.97261	US	America/New_York
maintenance	-4.06667	2020-03-05	37.73333	TZ	Africa/Dar_es_Salaam
good	50.50301	09/20/2022, 00:00:00	13.63617	CZ	Europe/Prague
good	35.06667	2020-07-10	135.21667	JP	Asia/Tokyo
good	15.5439	20 Jan 2017	73.7553	IN	Asia/Kolkata
excellent	-0.35817	07 Oct 2017	42.54536	SO	Africa/Mogadishu
maintenance	55.8736	02/28/2015, 00:00:00	85.4265	RU	Asia/Novokuznetsk
accep	-20.88231	28 Apr 2020	55.4504	RE	Indian/Reunion
accep	-7.60361	02/11/2015, 00:00:00	37.00438	TZ	Africa/Dar_es_Salaam
building	29.38242	19 Jul 2017	70.91106	PK	Asia/Karachi
