station	latitude	longitude	QoS	revision	location
Liaoyang	41.27194	123.17306	building	08/20/2013, 00:00:00	Asia/Shanghai
Franceville	-1.63333	13.58357	average	2017/08/02	Africa/Libreville
Svatove	49.41029	38.15035	building	2020/09/25	Europe/Zaporozhye
El Copey	10.15031	-73.9614	average	2014/07/25	America/Bogota
Trossingen	48.07667	8.64409	average	2014-10-20	Europe/Berlin
Muncar	-8.43333	114.33333	excellent	18 Sep 2015	Asia/Jakarta
Peabody	42.52787	-70.92866	good	2021-07-11	America/New_York
Reda	54.60528	18.34717	average	2016/08/30	Europe/Warsaw
Kendall	25.67927	-80.31727	excellent	2012/12/20	America/New_York
Estelle	29.84576	-90.10674	excellent	2016-02-08	America/Chicago
Hengshui	37.73222	115.70111	building	2016-02-20	Asia/Shanghai
Valinhos	-22.97056	-46.99583	excellent	18 Jan 2018	America/Sao_Paulo
Fairview Heights	38.58894	-89.99038	accep	2017-05-25	America/Chicago
Nyangao	-10.33333	39.28333	accep	12 Mar 2020	Africa/Dar_es_Salaam
Imbituba	-28.24	-48.67028	average	2018-10-30	America/Sao_Paulo
Bijeljina	44.75874	19.21437	building	05/30/2018, 00:00:00	Europe/Sarajevo
Kovylkino	54.03876	43.91385	excellent	04/26/2020, 00:00:00	Europe/Moscow
T’aebaek	37.1759	128.9889	accep	01/27/2018, 00:00:00	Asia/Seoul
'Ali Sabieh	11.15583	42.7125	good	12/04/2019, 00:00:00	Africa/Djibouti
Tver	56.85836	35.90057	maintenance	2019/03/19	Europe/Moscow
Foshan	23.02677	113.13148	good	05/04/2013, 00:00:00	Asia/Shanghai
Aracaju	-10.91111	-37.07167	average	06 Jan 2018	America/Maceio
Neuburg an der Donau	48.73218	11.18709	good	13 Jul 2019	Europe/Berlin
Shepetivka	50.18545	27.06365	building	03 Aug 2022	Europe/Kiev
Ozersk	55.75556	60.70278	excellent	09/20/2013, 00:00:00	Asia/Yekaterinburg
Durazno	-33.38056	-56.52361	maintenance	09/06/2017, 00:00:00	America/Montevideo
Nowshahr	36.64852	51.49621	excellent	2013/11/27	Asia/Tehran
Tandil	-37.32167	-59.13316	accep	2016-03-01	America/Argentina/Buenos_Aires
Wheelers Hill	-37.9	145.18333	building	27 Dec 2018	Australia/Melbourne
Rosemount	44.73941	-93.12577	good	2021-04-17	America/Chicago
Landshut	48.52961	12.16179	average	06 Nov 2013	Europe/Berlin
Fresno	29.53885	-95.44744	good	2012-11-26	America/Chicago
Inawashiro	37.56667	140.11667	average	30 Dec 2016	Asia/Tokyo
Rajaori	33.37526	74.3092	good	19 Jan 2017	Asia/Kolkata
Kearns	40.65995	-111.99633	good	2017-10-09	America/Denver
Aykhal	65.93381	111.4834	maitennce	2020-09-17	Asia/Yakutsk
Albstadt	48.21644	9.02596	excellent	11 Jan 2020	Europe/Berlin
Ciudad Guayana	8.35122	-62.64102	excellent	2018-12-19	America/Caracas
Gaya	11.86064	9.0027	good	06 Mar 2013	Africa/Lagos
Brierley Hill	52.48173	-2.12139	excellent	2014-09-17	Europe/London
Krymsk	44.92934	37.99117	accep	2013/08/13	Europe/Moscow
Sishui	35.64889	117.27583	average	2015-06-26	Asia/Shanghai
Khairpur Mir’s	27.52948	68.75915	average	01/05/2016, 00:00:00	Asia/Karachi
Kundla	21.34222	71.30633	accep	10/24/2017, 00:00:00	Asia/Kolkata
Castelfranco Emilia	44.59445	11.04979	accep	16 Oct 2019	Europe/Rome
Redding	40.58654	-122.39168	excellent	2018/01/12	America/Los_Angeles
Parkent	41.29444	69.67639	good	2018/05/18	Asia/Tashkent
Loanda	-22.92306	-53.13722	excellent	04/05/2022, 00:00:00	America/Sao_Paulo
Mvomero	-6.25	38.66667	maintenance	06 Apr 2017	Africa/Dar_es_Salaam
Ciudad Guayana	8.35122	-62.64102	accep	2020/05/02	America/Caracas
Dahlem	52.4581	13.28702	accep	03 Mar 2015	Europe/Berlin
Tiruppuvanam	9.82564	78.25795	maintenance	2019-06-24	Asia/Kolkata
Sukabumi	-6.91806	106.92667	accep	2018/02/13	Asia/Jakarta
Binnish	35.95664	36.7138	excellent	2016-12-06	Asia/Damascus
Greenville	33.41012	-91.06177	excellent	09/23/2019, 00:00:00	America/Chicago
Nyahururu	0.03813	36.36339	accep	27 Feb 2013	Africa/Nairobi
Lille	51.24197	4.82313	accep	2016/11/08	Europe/Brussels
Most	50.50301	13.63617	good	2017-04-11	Europe/Prague
Hlohovec	48.43174	17.8031	average	11/23/2018, 00:00:00	Europe/Bratislava
Bordj Zemoura	36.27462	4.85668	accep	19 Nov 2021	Africa/Algiers
Jerada	34.31	-2.16	accep	2020-07-24	Africa/Casablanca
Ksar Chellala	35.21222	2.31889	good	2019-01-06	Africa/Algiers
Harstad	68.79833	16.54165	building	2021/12/04	Europe/Oslo
West Des Moines	41.57721	-93.71133	maintenance	06/24/2020, 00:00:00	America/Chicago
Bogovinje	41.92361	20.91361	excellent	03/07/2017, 00:00:00	Europe/Skopje
Yingkou	40.66482	122.22833	average	2017/08/19	Asia/Shanghai
Sun City Center	27.71809	-82.35176	maintenance	01/17/2014, 00:00:00	America/New_York
Pedro II	-4.42472	-41.45861	average	08/01/2019, 00:00:00	America/Fortaleza
Hlukhiv	51.67822	33.9162	accep	2021/06/13	Europe/Kiev
Barnet	51.65	-0.2	excellent	13 Nov 2016	Europe/London
Khairpur Mir’s	27.52948	68.75915	accep	08/12/2014, 00:00:00	Asia/Karachi
Landshut	48.52961	12.16179	maintenance	2020-07-02	Europe/Berlin
Mesagne	40.55851	17.80774	good	2020-12-28	Europe/Rome
Adra	23.49668	86.68363	good	2013-01-31	Asia/Kolkata
Fort Washington	38.70734	-77.02303	accep	2017/04/03	America/New_York
Marburg an der Lahn	50.80904	8.77069	good	30 Jun 2021	Europe/Berlin
Columbia Heights	45.0408	-93.263	accep	2021-08-16	America/Chicago
Sathyamangalam	11.50526	77.23826	maintenance	2019/12/09	Asia/Kolkata
Gainsborough	53.38333	-0.76667	average	30 Nov 2012	Europe/London
Shuangcheng	45.35	126.28333	excellent	30 Sep 2021	Asia/Shanghai
Carlos Barbosa	-29.2975	-51.50361	building	2015-07-07	America/Sao_Paulo
Bhuban	20.88197	85.83334	average	2014-10-24	Asia/Kolkata
Las Gabias	37.13548	-3.67029	average	07/25/2021, 00:00:00	Europe/Madrid
Tarkwa	5.30383	-1.98956	acceptable	03 Apr 2017	Africa/Accra
Kampung Ayer Molek	2.2139	102.3278	maintenance	2019-03-28	Asia/Kuala_Lumpur
Glendale	34.14251	-118.25508	excellent	2017-07-20	America/Los_Angeles
Kasangulu	-4.5833	15.16554	good	12/16/2016, 00:00:00	Africa/Kinshasa
Sassari	40.72586	8.55552	good	12/20/2014, 00:00:00	Europe/Rome
Kangayam	11.00599	77.5609	accep	08 May 2018	Asia/Kolkata
Woodlawn	39.32288	-76.72803	good	25 Oct 2015	America/New_York
Ukmerge	55.25	24.75	good	2022-08-31	Europe/Vilnius
Yauco	18.03496	-66.8499	building	13 Aug 2014	America/Puerto_Rico
Ghat	24.96334	10.18003	excellent	07/24/2022, 00:00:00	Africa/Tripoli
Encinitas	33.03699	-117.29198	good	29 May 2014	America/Los_Angeles
Solntsevo	55.63711	37.38115	accep	02/21/2022, 00:00:00	Europe/Moscow
Dyat’kovo	53.59782	34.33825	average	2017-11-06	Europe/Moscow
Nova Xavantina	-14.66463	-52.35558	excellent	2014-03-21	America/Cuiaba
Mount Hagen	-5.85746	144.23058	maintenance	2014/09/09	Pacific/Port_Moresby
Walsrode	52.86147	9.5926	average	2020/01/27	Europe/Berlin
Hutchinson	38.06084	-97.92977	excellent	2017-07-30	America/Chicago
Labuhan Deli	3.7278	98.6738	accep	2014-09-11	Asia/Jakarta
El Alia	37.16911	10.03478	excellent	2017-02-14	Africa/Tunis
Greenpoint	40.72371	-73.95097	excellent	19 Jan 2017	America/New_York
Betamcherla	15.45144	78.14797	maintenance	2015-12-05	Asia/Kolkata
Lagos	6.45407	3.39467	excellent	2022/04/22	Africa/Lagos
Schererville	41.47892	-87.45476	excellent	2012/12/30	America/Chicago
Pingyi	35.50056	117.63083	good	06 Jan 2018	Asia/Shanghai
Iringa	-7.76667	35.7	average	2013/08/14	Africa/Dar_es_Salaam
Iwade	34.25	135.31667	accep	2013-01-25	Asia/Tokyo
Arua	3.02013	30.91105	building	2022/09/27	Africa/Kampala
Falconara Marittima	43.62558	13.39954	good	2014-12-12	Europe/Rome
Reutlingen	48.49144	9.20427	building	2020-09-14	Europe/Berlin
Rwamagana	-1.9487	30.4347	excellent	06/21/2016, 00:00:00	Africa/Kigali
Opportunity	47.64995	-117.23991	good	2020/09/26	America/Los_Angeles
Keizer	44.99012	-123.02621	excellent	28 Apr 2018	America/Los_Angeles
Nutley	40.82232	-74.15987	average	2021/03/07	America/New_York
Poulton-le-Fylde	53.83333	-2.98333	accep	13 Oct 2020	Europe/London
Palafrugell	41.91738	3.1631	accep	13 Jun 2020	Europe/Madrid
Uran	18.87813	72.93924	excellent	2019-02-22	Asia/Kolkata
Okegawa	36	139.55722	excellent	08/26/2017, 00:00:00	Asia/Tokyo
Lille	51.24197	4.82313	good	21 Aug 2014	Europe/Brussels
Tucano	-10.95817	-38.79084	accep	12/09/2018, 00:00:00	America/Bahia
Zacoalco de Torres	20.22816	-103.5687	accep	12/05/2020, 00:00:00	America/Mexico_City
Waverly	42.7392	-84.62081	average	2015-01-06	America/Detroit
Labuhan Deli	3.7278	98.6738	average	06 Aug 2022	Asia/Jakarta
Buynaksk	42.819	47.1192	average	06/08/2022, 00:00:00	Europe/Moscow
Media Luna	20.14298	-77.43532	good	2014-04-23	America/Havana
Montana	43.4125	23.225	average	21 Feb 2020	Europe/Sofia
Beni	0.49113	29.47306	accep	02 Aug 2016	Africa/Lubumbashi
Lutsk	50.75932	25.34244	accep	20 Jun 2016	Europe/Kiev
Volokolamsk	56.03361	35.96944	maintenance	2014-04-05	Europe/Moscow
Gembloux	50.56149	4.69889	good	16 Aug 2017	Europe/Brussels
Bothell West	47.80527	-122.24064	good	30 Jun 2016	America/Los_Angeles
Kitgum	3.27833	32.88667	average	2020-09-03	Africa/Kampala
Boyeros	23.0072	-82.4017	excellent	2017-02-07	America/Havana
Woodlawn	39.32288	-76.72803	accep	2022-06-29	America/New_York
Solntsevo	55.63711	37.38115	average	08 Aug 2021	Europe/Moscow
Losheim	49.5099	6.74549	average	21 Jan 2018	Europe/Berlin
Canavieiras	-15.675	-38.94722	excellent	10 Nov 2020	America/Bahia
Lal Bahadur Nagar	17.34769	78.55757	average	04/02/2021, 00:00:00	Asia/Kolkata
Sinhyeon	34.8825	128.62667	good	27 Mar 2013	Asia/Seoul
Hrazdan	40.49748	44.7662	good	10/02/2017, 00:00:00	Asia/Yerevan
Gingee	12.25282	79.41727	average	12/05/2013, 00:00:00	Asia/Kolkata
Baulkham Hills	-33.75881	150.99292	building	09/07/2014, 00:00:00	Australia/Sydney
Aleshtar	33.86419	48.26258	maintenance	2014/12/23	Asia/Tehran
Nizhniy Lomov	53.53041	43.67663	good	2017/01/20	Europe/Moscow
Claremont	34.09668	-117.71978	average	2019/06/06	America/Los_Angeles
Ilopango	13.70167	-89.10944	building	08/08/2021, 00:00:00	America/El_Salvador
Lal Bahadur Nagar	17.34769	78.55757	good	2014-03-08	Asia/Kolkata
Gero	35.8	137.23333	maintenance	09/27/2019, 00:00:00	Asia/Tokyo
Guli	28.88162	120.03308	maintenance	2021/10/20	Asia/Shanghai
Visitacion Valley	37.71715	-122.40433	excellent	11/19/2017, 00:00:00	America/Los_Angeles
Kampung Ayer Molek	2.2139	102.3278	good	04 Jun 2019	Asia/Kuala_Lumpur
Thetford	52.41667	0.75	accep	07/01/2013, 00:00:00	Europe/London
Jhol	25.95533	68.88871	average	31 Oct 2019	Asia/Karachi
Talisay	10.7375	122.9666	excellent	10/15/2013, 00:00:00	Asia/Manila
Salvatierra	20.21322	-100.88023	building	2014/07/03	America/Mexico_City
Yakuplu	40.98894	28.67582	excellent	2018/04/22	Europe/Istanbul
Nowra	-34.88422	150.60036	accep	12/10/2017, 00:00:00	Australia/Sydney
Griffith	-34.28853	146.05093	accep	2015-08-23	Australia/Sydney
Rolla	37.95143	-91.77127	building	11/10/2017, 00:00:00	America/Chicago
Mbalmayo	3.51667	11.5	accep	04 Oct 2016	Africa/Douala
Kangayam	11.00599	77.5609	maintenance	24 Jul 2022	Asia/Kolkata
Aschaffenburg	49.97704	9.15214	average	07/09/2013, 00:00:00	Europe/Berlin
Inawashiro	37.56667	140.11667	average	02 Nov 2018	Asia/Tokyo
Rafaela	-31.25033	-61.4867	good	2015-08-06	America/Argentina/Cordoba
Annaka	36.33011	138.89585	good	2018-09-04	Asia/Tokyo
Quimper	48	-4.1	excellent	2018-01-24	Europe/Paris
Rutherglen	55.82885	-4.21376	building	2020-10-25	Europe/London
Canton	42.30865	-83.48216	accep	06 Jan 2021	America/Detroit
East Haven	41.27621	-72.86843	building	07/19/2013, 00:00:00	America/New_York
Indio	33.7207	-116.21677	excellent	06/19/2013, 00:00:00	America/Los_Angeles
Shaowu	27.34089	117.4831	excellent	16 Feb 2022	Asia/Shanghai
Serinhisar	37.58105	29.26639	average	2019/12/31	Europe/Istanbul
Shepetivka	50.18545	27.06365	good	11/11/2012, 00:00:00	Europe/Kiev
Friedberg	48.35693	10.98461	excellent	06 Aug 2018	Europe/Berlin
Usagara	-2.68333	33	excellent	01 Sep 2021	Africa/Dar_es_Salaam
Rwamagana	-1.9487	30.4347	building	2018/09/10	Africa/Kigali
Bua Yai	15.58552	102.42587	average	2013/08/01	Asia/Bangkok
Valence	44.92801	4.8951	excellent	2018-05-03	Europe/Paris
Brentwood Estates	36.02506	-86.77917	average	05/03/2020, 00:00:00	America/Chicago
San Fernando de Henares	40.42386	-3.53261	good	05 Mar 2013	Europe/Madrid
Uran	18.87813	72.93924	accep	11 Sep 2017	Asia/Kolkata
Kot Addu	30.46907	70.96699	excellent	2022-05-24	Asia/Karachi
Porterville	36.06523	-119.01677	building	02 Dec 2015	America/Los_Angeles
Toba	34.4833	136.84186	average	2016-01-27	Asia/Tokyo
Barbil	22.10194	85.37752	excellent	2021/10/01	Asia/Kolkata
Westchester	41.85059	-87.882	good	2018-08-25	America/Chicago
Hoxtolgay	46.51872	86.00214	good	2014-12-28	Asia/Urumqi
Gingee	12.25282	79.41727	accep	13 Jan 2013	Asia/Kolkata
Misterbianco	37.51803	15.00913	average	10/11/2016, 00:00:00	Europe/Rome
Alatyr’	54.8421	46.5813	average	24 Jun 2019	Europe/Moscow
Sector 6	44.43579	26.01649	accep	09 Dec 2017	Europe/Bucharest
Arba Minch	6.03333	37.55	good	2022/04/01	Africa/Addis_Ababa
Novogrudok	53.5942	25.8191	average	07/28/2013, 00:00:00	Europe/Minsk
West Des Moines	41.57721	-93.71133	maintenance	2021-04-16	America/Chicago
Scarsdale	41.0051	-73.78458	building	18 Jan 2014	America/New_York
Eisen	36.82167	128.63083	accep	2021/07/15	Asia/Seoul
Pedro II	-4.42472	-41.45861	building	2017-02-24	America/Fortaleza
Exeter	50.7236	-3.52751	average	2012/10/05	Europe/London
Yingkou	40.66482	122.22833	maitennce	12/11/2014, 00:00:00	Asia/Shanghai
Same	-4.06667	37.73333	excellent	01/26/2021, 00:00:00	Africa/Dar_es_Salaam
Jersey City	40.72816	-74.07764	accep	2021-03-15	America/New_York
Iturama	-19.72806	-50.19556	average	2021/01/12	America/Sao_Paulo
Tudela	42.06166	-1.60452	good	14 Jan 2015	Europe/Madrid
Madrid	4.73245	-74.26419	excellent	07/31/2020, 00:00:00	America/Bogota
Villabate	38.07789	13.44275	average	01/12/2017, 00:00:00	Europe/Rome
Minokamo	35.48199	137.02166	excellent	2020-08-29	Asia/Tokyo
Same	-4.06667	37.73333	maintenance	10 Dec 2014	Africa/Dar_es_Salaam
Burgos	15.72892	120.57224	excellent	02 Nov 2012	Asia/Manila
Mianwali	32.57756	71.52847	maintenance	2018/04/17	Asia/Karachi
Bridgeport	41.16704	-73.20483	building	06/10/2017, 00:00:00	America/New_York
Winsford	53.19146	-2.52398	good	06/06/2013, 00:00:00	Europe/London
Middletown	41.54566	-71.29144	maintenance	12/31/2019, 00:00:00	America/New_York
Magong	23.5654	119.58627	good	21 Sep 2014	Asia/Taipei
Pontevedra	-34.74785	-58.70072	building	2021-12-14	America/Argentina/Buenos_Aires
Idenao	4.2475	9.00472	average	2022-04-04	Africa/Douala
Carlsbad	32.42067	-104.22884	good	2013/05/26	America/Denver
Masbate	12.37169	123.62494	average	26 Dec 2020	Asia/Manila
Longview	32.5007	-94.74049	maintenance	11/22/2018, 00:00:00	America/Chicago
Alexandria	31.20176	29.91582	maintenance	2016-05-17	Africa/Cairo
Chacabuco	-34.64167	-60.47389	building	2019/10/31	America/Argentina/Buenos_Aires
Toba	34.4833	136.84186	good	2015-12-31	Asia/Tokyo
High Wycombe	51.62907	-0.74934	acceptable	2016-07-05	Europe/London
Strathfield	-33.88096	151.07986	average	28 Aug 2015	Australia/Sydney
Ilopango	13.70167	-89.10944	maintenance	03/02/2016, 00:00:00	America/El_Salvador
Tiruppuvanam	9.82564	78.25795	excellent	12/22/2017, 00:00:00	Asia/Kolkata
Jashpurnagar	22.88783	84.13864	excellent	2014-07-01	Asia/Kolkata
Jinotepe	11.84962	-86.19903	average	04/28/2021, 00:00:00	America/Managua
Danilov	58.1908	40.17171	good	17 Feb 2021	Europe/Moscow
New Canaan	41.14676	-73.49484	maintenance	08/18/2019, 00:00:00	America/New_York
Eastwood	-33.79176	151.08057	accep	2016/08/26	Australia/Sydney
Esmeraldas	-19.7625	-44.31389	excellent	2014/03/06	America/Sao_Paulo
Polohy	47.48444	36.25361	average	2021/08/28	Europe/Zaporozhye
Yao	34.61667	135.6	maintenance	03 Oct 2013	Asia/Tokyo
Lagarto	-10.91722	-37.65	excellent	03/04/2017, 00:00:00	America/Maceio
Mesagne	40.55851	17.80774	average	12/19/2018, 00:00:00	Europe/Rome
South Whittier	33.95015	-118.03917	good	30 Jan 2017	America/Los_Angeles
Shepetivka	50.18545	27.06365	building	12/29/2014, 00:00:00	Europe/Kiev
Santa Rosa Jauregui	20.74122	-100.44843	good	04/26/2022, 00:00:00	America/Mexico_City
Walton-on-the-Naze	51.84819	1.26738	accep	2019-04-25	Europe/London
Montpellier	43.61092	3.87723	accep	2014/01/24	Europe/Paris
Saraj	42	21.32778	maintenance	03/16/2022, 00:00:00	Europe/Skopje
Vernon	50.26729	-119.27337	maintenance	01/17/2017, 00:00:00	America/Vancouver
Alfenas	-21.42917	-45.94722	good	03/13/2020, 00:00:00	America/Sao_Paulo
Thomasville	35.88264	-80.08199	building	03/18/2013, 00:00:00	America/New_York
Carlos Barbosa	-29.2975	-51.50361	accep	2016/01/16	America/Sao_Paulo
Alwaye	10.10649	76.35484	accep	2019-02-06	Asia/Kolkata
Nakhon Si Thammarat	8.43333	99.96667	excellent	2015/04/28	Asia/Bangkok
Deltona	28.90054	-81.26367	average	2020-08-26	America/New_York
Tavda	58.04254	65.27258	building	11/08/2019, 00:00:00	Asia/Yekaterinburg
Lal Bahadur Nagar	17.34769	78.55757	accep	16 Jan 2022	Asia/Kolkata
Hlukhiv	51.67822	33.9162	good	07 Dec 2019	Europe/Kiev
Ushuaia	-54.8	-68.3	building	2021/04/30	America/Argentina/Ushuaia
Francavilla Fontana	40.53123	17.58522	average	03/12/2022, 00:00:00	Europe/Rome
Saraj	42	21.32778	maintenance	04/21/2017, 00:00:00	Europe/Skopje
Culemborg	51.955	5.22778	good	02 Apr 2015	Europe/Amsterdam
Yashkino	55.8736	85.4265	excellent	09/30/2017, 00:00:00	Asia/Novokuznetsk
Boo	59.33333	18.28333	building	2018-08-20	Europe/Stockholm
Shaowu	27.34089	117.4831	accep	08/25/2020, 00:00:00	Asia/Shanghai
Huangshi	30.24706	115.04814	accep	2021/04/28	Asia/Shanghai
Chosica	-11.94306	-76.70944	excellent	2020/01/28	America/Lima
Farafenni	13.56667	-15.6	excellent	11/26/2020, 00:00:00	Africa/Banjul
Hoogezand	53.16167	6.76111	average	2017-01-14	Europe/Amsterdam
Edremit	39.59611	27.02444	maintenance	15 Nov 2020	Europe/Istanbul
Palm Desert	33.72255	-116.37697	maitennce	2018-11-12	America/Los_Angeles
Estelle	29.84576	-90.10674	average	2014/11/10	America/Chicago
Kyaikto	17.30858	97.01124	average	05/03/2022, 00:00:00	Asia/Yangon
East Jerusalem	31.78336	35.23388	acceptable	2016-10-07	Asia/Hebron
Novelda	38.38479	-0.76773	good	2020-11-04	Europe/Madrid
Novelda	38.38479	-0.76773	accep	2018-07-07	Europe/Madrid
Gronau	52.21099	7.02238	accep	11/18/2018, 00:00:00	Europe/Berlin
Tudela	42.06166	-1.60452	accep	2019/03/13	Europe/Madrid
Beryozovsky	56.9083	60.8019	building	2013/09/02	Asia/Yekaterinburg
Idenao	4.2475	9.00472	good	2021-09-02	Africa/Douala
Camarillo	34.21639	-119.0376	maintenance	07/29/2013, 00:00:00	America/Los_Angeles
Jingzhou	30.35028	112.19028	good	2015-02-04	Asia/Shanghai
Vryheid	-27.76952	30.79165	excellent	13 Apr 2021	Africa/Johannesburg
Amposta	40.70995	0.57856	accep	2018/01/29	Europe/Madrid
Malnate	45.79377	8.88104	good	07 Oct 2018	Europe/Rome
Carnegie	-37.88333	145.06667	excellent	2015-05-19	Australia/Melbourne
Phanat Nikhom	13.44581	101.18445	average	23 Nov 2012	Asia/Bangkok
Tornio	65.84811	24.14662	maintenance	02/27/2014, 00:00:00	Europe/Helsinki
Searcy	35.25064	-91.73625	accep	07/20/2021, 00:00:00	America/Chicago
Shalqar	47.83333	59.6	excellent	2013/05/07	Asia/Aqtobe
Gua Musang	4.88441	101.96857	maintenance	2018/05/23	Asia/Kuala_Lumpur
Sambalpur	21.46527	83.97573	good	14 Oct 2015	Asia/Kolkata
Maxixe	-23.85972	35.34722	accep	2013/01/04	Africa/Maputo
Malnate	45.79377	8.88104	excellent	2022-03-17	Europe/Rome
Nayoro	44.35056	142.45778	maintenance	09 Jul 2017	Asia/Tokyo
Socorro	6.46838	-73.26022	average	23 Dec 2012	America/Bogota
Greenfield	39.78504	-85.76942	excellent	2014-07-01	America/Indiana/Indianapolis
Brunswick	43.91452	-69.96533	good	17 Jun 2018	America/New_York
Aracaju	-10.91111	-37.07167	average	2017-06-14	America/Maceio
Calauan	14.14989	121.3152	excellent	2022/01/20	Asia/Manila
Recodo	6.95194	121.96361	average	2016-09-11	Asia/Manila
Tarkwa	5.30383	-1.98956	good	12 Nov 2012	Africa/Accra
Niort	46.32313	-0.45877	building	2014/01/28	Europe/Paris
San Giuliano Milanese	45.39402	9.29109	good	01/08/2019, 00:00:00	Europe/Rome
Santa Maria	34.95303	-120.43572	accep	12/26/2013, 00:00:00	America/Los_Angeles
Rafiganj	24.81757	84.63445	average	05 Dec 2017	Asia/Kolkata
Thomazeau	18.65297	-72.09391	good	2016/11/06	America/Port-au-Prince
Hakodate	41.77583	140.73667	good	2017/06/19	Asia/Tokyo
Tupiza	-21.44345	-65.71875	good	2020-05-21	America/La_Paz
Nyangao	-10.33333	39.28333	building	2015-01-11	Africa/Dar_es_Salaam
Leland	34.25628	-78.04471	good	2016-06-07	America/New_York
Hlohovec	48.43174	17.8031	good	10 Nov 2019	Europe/Bratislava
Friedberg	48.35693	10.98461	good	2021-03-04	Europe/Berlin
Xinzhou	38.40917	112.73333	average	2021-09-24	Asia/Shanghai
Iringa	-7.76667	35.7	good	2021/02/25	Africa/Dar_es_Salaam
Kendall	25.67927	-80.31727	excellent	2021-02-02	America/New_York
Petrozavodsk	61.78491	34.34691	accep	25 Aug 2021	Europe/Moscow
Tharu Shah	26.9423	68.11759	accep	2020-05-11	Asia/Karachi
Afragola	40.92298	14.30935	good	2016-10-06	Europe/Rome
Pahrump	36.20829	-115.98391	average	26 Oct 2014	America/Los_Angeles
Carnaxide	38.72706	-9.24671	building	12/03/2014, 00:00:00	Europe/Lisbon
Fayetteville	35.05266	-78.87836	maintenance	2015-05-10	America/New_York
Messaad	34.15429	3.50309	good	2014-02-15	Africa/Algiers
Idenao	4.2475	9.00472	accep	14 Jun 2019	Africa/Douala
Lakewood	41.48199	-81.79819	average	2018-02-08	America/New_York
Fazilpur	32.17629	75.06583	accep	09/04/2015, 00:00:00	Asia/Karachi
Kismayo	-0.35817	42.54536	accep	08/12/2019, 00:00:00	Africa/Mogadishu
Vitebsk	55.1904	30.2049	excellent	2015-10-08	Europe/Minsk
Kheda	22.75218	72.68533	average	08/10/2019, 00:00:00	Asia/Kolkata
Westbury	51.26	-2.1875	good	28 Jan 2016	Europe/London
Manjeri	11.12018	76.11996	average	2021-10-17	Asia/Kolkata
American Canyon	38.17492	-122.2608	good	03/26/2017, 00:00:00	America/Los_Angeles
Odessa	31.84568	-102.36764	average	07/29/2022, 00:00:00	America/Chicago
Jaruco	23.04419	-82.00919	excellent	2018/01/16	America/Havana
Kot Addu	30.46907	70.96699	excellent	2014/04/08	Asia/Karachi
Griffith	-34.28853	146.05093	excellent	08/14/2013, 00:00:00	Australia/Sydney
Karatsu	33.4425	129.96972	accep	2021/08/17	Asia/Tokyo
Antanifotsy	-19.65	47.31667	average	2015-09-09	Indian/Antananarivo
Keene	42.93369	-72.27814	excellent	2020-02-10	America/New_York
Lodwar	3.11988	35.59642	maintenance	2018-04-16	Africa/Nairobi
San Gabriel	34.09611	-118.10583	accep	13 Apr 2013	America/Los_Angeles
Durazno	-33.38056	-56.52361	building	2013-03-12	America/Montevideo
Woodbridge	40.5576	-74.28459	good	26 Jun 2020	America/New_York
Oberhausen	51.47805	6.8625	good	30 Aug 2019	Europe/Berlin
Lakewood	41.48199	-81.79819	maintenance	2015/06/26	America/New_York
Denderleeuw	50.88506	4.07601	accep	04 Oct 2019	Europe/Brussels
Bensheim	49.68369	8.61839	average	20 Jun 2015	Europe/Berlin
Beryozovsky	56.9083	60.8019	building	2017-05-11	Asia/Yekaterinburg
Grand Forks	47.92526	-97.03285	excellent	07/26/2017, 00:00:00	America/Chicago
Xinzhou	38.40917	112.73333	accep	2012/10/26	Asia/Shanghai
Belper	53.0233	-1.48119	good	04/15/2015, 00:00:00	Europe/London
Ariccia	41.72063	12.6723	excellent	08/04/2021, 00:00:00	Europe/Rome
Nowra	-34.88422	150.60036	average	2016/12/12	Australia/Sydney
West Des Moines	41.57721	-93.71133	building	07 Aug 2013	America/Chicago
Boyeros	23.0072	-82.4017	average	2019/02/12	America/Havana
Schererville	41.47892	-87.45476	average	03 Oct 2012	America/Chicago
Rafaela	-31.25033	-61.4867	excellent	26 Mar 2019	America/Argentina/Cordoba
Danjiangkou	32.54278	111.50861	excellent	03/28/2022, 00:00:00	Asia/Shanghai
Yingkou	40.66482	122.22833	good	2022/07/06	Asia/Shanghai
Pleasant Prairie	42.55308	-87.93341	maintenance	2014-05-04	America/Chicago
Lons-le-Saunier	46.67535	5.55575	excellent	2022/03/13	Europe/Paris
Ramla	31.92923	34.86563	building	2015-05-03	Asia/Jerusalem
Bridgeport	41.16704	-73.20483	accep	2014-08-15	America/New_York
Tonga	4.96667	10.7	good	2016/02/16	Africa/Douala
Jocotepec	20.28527	-103.42897	accep	2017/09/19	America/Mexico_City
Beaconsfield	45.43341	-73.86586	excellent	2013/12/14	America/Toronto
Niort	46.32313	-0.45877	accep	26 Oct 2018	Europe/Paris
Tarkwa	5.30383	-1.98956	average	2014-05-28	Africa/Accra
Biu	10.61285	12.19458	excellent	11/09/2021, 00:00:00	Africa/Lagos
Pedro II	-4.42472	-41.45861	acceptable	04/25/2017, 00:00:00	America/Fortaleza
Pilar	14.66	120.56528	average	2021-01-19	Asia/Manila
