location	latitude	longitude	QoS	revision	code
Europe/Rome	44.59445	11.04979	accep	04/26/2015, 00:00:00	IT
Atlantic/Azores	37.74615	-25.66689	accep	06/13/2020, 00:00:00	PT
Europe/Moscow	53.93361	37.92792	excellent	2020-02-07	RU
Europe/Bratislava	48.43174	17.8031	excellent	06/16/2013, 00:00:00	SK
America/New_York	41.16704	-73.20483	accep	2014/09/09	US
Asia/Bangkok	15.58552	102.42587	average	2021-12-27	TH
America/Montevideo	-33.38056	-56.52361	good	2013/11/19	UY
America/Chicago	36.61033	-88.31476	average	05/31/2015, 00:00:00	US
America/New_York	39.33427	-76.43941	building	01/17/2020, 00:00:00	US
Asia/Kuala_Lumpur	1.6	103.81667	excellent	10 Aug 2017	MY
Europe/Paris	43.2907	5.4384	excellent	07/01/2022, 00:00:00	FR
Europe/Paris	45.51667	4.86667	accep	2019/10/19	FR
America/Port-au-Prince	18.57677	-72.22625	excellent	07/31/2013, 00:00:00	HT
Asia/Tokyo	35.30889	139.55028	average	03/22/2020, 00:00:00	JP
America/Santiago	-32.45242	-71.23106	accep	25 Mar 2020	CL
Asia/Yekaterinburg	51.4781	57.3552	average	2018-04-06	RU
America/Sao_Paulo	-25.42778	-49.27306	good	20 Feb 2014	BR
Africa/Lagos	11.86064	9.0027	average	03/16/2021, 00:00:00	NG
Asia/Tokyo	34.9	137.5	accep	11/29/2018, 00:00:00	JP
America/New_York	40.94065	-73.99681	good	2012-11-16	US
Australia/Melbourne	-38.16604	145.13643	building	2016-05-31	AU
Asia/Kuala_Lumpur	1.6	103.81667	building	28 Feb 2022	MY
Asia/Kolkata	30.81383	75.16878	good	2012-11-22	IN
Africa/Tripoli	24.96334	10.18003	excellent	28 Jul 2014	LY
Europe/Kiev	46.75451	33.34864	accep	2018/07/13	UA
Europe/Kiev	47.56494	31.33078	accep	2016/10/11	UA
Europe/Rome	37.49223	15.07041	average	2014/10/20	IT
Europe/Warsaw	50.5107	18.30056	excellent	10 Jan 2021	PL
America/Chicago	34.25807	-88.70464	excellent	08/20/2022, 00:00:00	US
America/Chicago	33.41012	-91.06177	good	11/25/2016, 00:00:00	US
America/New_York	34.06635	-84.67837	average	2022/02/18	US
Asia/Dhaka	22.83957	91.84128	good	26 Mar 2018	BD
America/New_York	41.0051	-73.78458	good	2018-02-02	US
Asia/Shanghai	23.29549	113.82465	maintenance	2014/06/10	CN
Africa/Porto-Novo	8.88649	2.59753	accep	18 Aug 2018	BJ
Europe/Amsterdam	52.14	5.58472	building	02/07/2015, 00:00:00	NL
America/Chicago	33.44872	-86.78777	accep	11/23/2012, 00:00:00	US
Europe/Moscow	55.62047	37.49338	maintenance	09 Apr 2019	RU
Europe/Brussels	50.74497	3.20639	excellent	2018-03-15	BE
Asia/Kolkata	15.5439	73.7553	good	2013/01/13	IN
Europe/Tallinn	59.37722	28.19028	excellent	2020/10/19	EE
Africa/Accra	7.06273	-1.4001	maintenance	2016/10/30	GH
Africa/Lagos	7.6	4.18333	average	2015-05-08	NG
Europe/Kiev	50.75932	25.34244	average	01 Oct 2014	UA
Asia/Tokyo	35.06667	135.21667	good	09/08/2018, 00:00:00	JP
Asia/Manila	14.95472	120.89694	excellent	2021-06-17	PH
America/Los_Angeles	34.14251	-118.25508	good	05/02/2014, 00:00:00	US
Africa/Gaborone	-21.44236	27.46153	accep	05/28/2020, 00:00:00	BW
Asia/Kolkata	29.22254	79.5286	accep	14 Jul 2013	IN
America/Los_Angeles	47.76232	-122.2054	good	2014/12/05	US
Africa/Nairobi	3.11988	35.59642	good	2019-05-18	KE
Europe/Warsaw	51.14942	15.00835	good	05/26/2018, 00:00:00	PL
Europe/Rome	43.78956	7.60872	average	2017/06/28	IT
America/New_York	40.72371	-73.95097	maintenance	27 Feb 2016	US
Europe/Paris	43.71032	-1.05366	maintenance	2016-08-18	FR
Europe/Berlin	51.47805	6.8625	accep	06 Oct 2021	DE
Europe/Podgorica	42.28639	18.84	building	2022/07/12	ME
Europe/Malta	35.89972	14.51472	building	2014-12-15	MT
America/Los_Angeles	34.14251	-118.25508	accep	07/17/2017, 00:00:00	US
Africa/Algiers	35.06544	1.04945	excellent	2021/04/10	DZ
Europe/Paris	48.86667	2.08333	excellent	06/10/2015, 00:00:00	FR
America/Costa_Rica	9.92787	-84.13722	average	2021-05-12	CR
Asia/Makassar	3.31332	117.59152	building	2016/11/12	ID
America/La_Paz	-21.44345	-65.71875	average	2018/04/19	BO
America/Lima	-16.25	-69.08333	accep	06/01/2019, 00:00:00	PE
Asia/Shanghai	41.09822	120.74792	accep	2017-07-31	CN
America/Mazatlan	22.49396	-105.36369	accep	2013/03/23	MX
America/Argentina/Cordoba	-31.25033	-61.4867	average	2016-03-19	AR
America/Mexico_City	20.22816	-103.5687	excellent	2015-10-20	MX
America/Manaus	-3.14306	-58.44417	accep	2020/07/26	BR
America/Chicago	41.85059	-87.882	average	2016-02-16	US
Asia/Kuala_Lumpur	5.4709	100.24529	building	06/17/2016, 00:00:00	MY
America/Havana	23.04419	-82.00919	average	04/09/2020, 00:00:00	CU
Europe/London	51.39323	0.47713	accep	09/10/2017, 00:00:00	GB
Europe/Moscow	44.92934	37.99117	accep	2022/03/14	RU
Europe/Berlin	51.20219	7.36027	excellent	2021/10/27	DE
Africa/Algiers	36.61954	4.08282	good	2017-10-25	DZ
America/Chicago	44.27804	-88.27205	average	2018/12/26	US
Asia/Manila	10.31672	123.89071	good	14 Nov 2020	PH
Asia/Shanghai	29.98869	122.20488	excellent	20 Aug 2018	CN
Asia/Taipei	23.5654	119.58627	excellent	05 Feb 2019	TW
Europe/London	51.40148	-1.32471	maintenance	2016/03/20	GB
Asia/Kolkata	25.92127	86.79271	excellent	2013-02-12	IN
Europe/Madrid	43.48961	-8.2194	average	2018/08/28	ES
Asia/Karachi	27.55898	68.21204	accep	06/13/2021, 00:00:00	PK
Asia/Shanghai	35.50056	117.63083	maintenance	14 Apr 2018	CN
Europe/Istanbul	39.22493	42.85693	maintenance	2020/05/12	TR
Asia/Yekaterinburg	56.11281	69.49015	average	18 Oct 2021	RU
America/Montevideo	-33.38056	-56.52361	accep	2015-04-17	UY
Asia/Yekaterinburg	56.11281	69.49015	good	2014/11/09	RU
Africa/Gaborone	-21.44236	27.46153	excellent	11/19/2016, 00:00:00	BW
America/Indiana/Indianapolis	41.75338	-86.11084	average	2016/09/26	US
America/Boise	43.54072	-116.56346	good	26 Dec 2013	US
Europe/Berlin	50.09019	8.4493	excellent	10 Apr 2014	DE
America/Lima	-16.25	-69.08333	maintenance	2019-02-02	PE
America/Chicago	37.95143	-91.77127	excellent	08/10/2013, 00:00:00	US
Africa/Tripoli	24.96334	10.18003	excellent	2015/03/15	LY
Europe/Berlin	51.04962	12.1369	good	2016-05-05	DE
America/Sao_Paulo	-19.72806	-50.19556	maintenance	10 Mar 2017	BR
America/Argentina/Cordoba	-31.4488	-60.93173	good	2015-09-24	AR
America/Sao_Paulo	-19.7625	-44.31389	accep	04/01/2013, 00:00:00	BR
Asia/Yangon	14.0823	98.19151	good	2020/10/10	MM
Asia/Jakarta	-7.57897	112.23109	good	2018-03-13	ID
America/Chicago	34.77453	-96.67834	good	2016/07/30	US
Europe/Madrid	38.10558	-1.86343	average	2012-10-03	ES
America/Mexico_City	20.28527	-103.42897	average	18 Feb 2021	MX
Asia/Kolkata	10.58806	77.24779	accep	12/05/2017, 00:00:00	IN
Europe/Rome	41.24264	16.50104	accep	06 Apr 2016	IT
America/Recife	-8.66667	-35.71667	accep	2022-01-16	BR
Europe/Warsaw	50.86079	17.4674	good	2021/03/22	PL
America/New_York	41.66394	-83.55521	excellent	2014-08-13	US
Europe/Berlin	52.61131	13.31783	good	2015/08/04	DE
Australia/Sydney	-34.88422	150.60036	excellent	02/24/2014, 00:00:00	AU
Asia/Manila	16.455	120.5875	average	07/13/2021, 00:00:00	PH
Europe/Rome	43.78956	7.60872	maintenance	09/19/2021, 00:00:00	IT
Europe/London	51.65	-0.2	excellent	2012/10/20	GB
Asia/Kuala_Lumpur	5.4709	100.24529	accep	2016/06/20	MY
America/Guayaquil	-2.90055	-79.00453	excellent	07/28/2016, 00:00:00	EC
Africa/Kampala	3.02013	30.91105	average	29 Mar 2017	UG
Asia/Seoul	36.6009	126.665	accep	2019-01-12	KR
Asia/Kolkata	31.28092	74.85849	accep	2019/11/27	IN
Asia/Jakarta	-7.73379	113.69785	excellent	03/26/2017, 00:00:00	ID
America/Mexico_City	16.75973	-93.11308	average	2017/04/28	MX
America/Los_Angeles	47.76232	-122.2054	accep	2013/06/01	US
Africa/Accra	6.46346	-2.31938	excellent	09/12/2020, 00:00:00	GH
Asia/Manila	16.0438	120.4861	good	16 Oct 2016	PH
Europe/Berlin	48.35149	8.96317	maintenance	2019/03/10	DE
Asia/Bangkok	14.37395	100.48528	accep	08 Sep 2021	TH
America/Chicago	32.5007	-94.74049	average	07 May 2014	US
Asia/Manila	16.0438	120.4861	maintenance	04 Oct 2017	PH
America/New_York	40.93121	-73.89875	excellent	10/13/2018, 00:00:00	US
Asia/Bangkok	15.58552	102.42587	average	10/01/2020, 00:00:00	TH
Asia/Kolkata	15.73628	75.96976	good	2016/11/06	IN
America/Sao_Paulo	-26.22861	-52.67056	building	2014/09/22	BR
Europe/London	53.83333	-2.98333	building	2022/03/04	GB
Europe/Paris	48.98693	2.44892	accep	20 May 2020	FR
America/Boise	43.54072	-116.56346	building	10/29/2018, 00:00:00	US
Europe/Berlin	51.04962	12.1369	maintenance	2018/07/06	DE
America/Denver	32.42067	-104.22884	average	2014/05/27	US
Europe/Minsk	52.4089	31.3237	average	2021-12-18	BY
Asia/Kolkata	18.87813	72.93924	good	2014-06-06	IN
Europe/London	57.47908	-4.22398	good	23 Oct 2019	GB
America/Los_Angeles	40.58654	-122.39168	excellent	05/27/2020, 00:00:00	US
Asia/Bangkok	8.43333	99.96667	good	2013-11-07	TH
Asia/Seoul	37.1759	128.9889	maintenance	2015/11/25	KR
Asia/Kolkata	17.34769	78.55757	maintenance	2015-05-23	IN
Asia/Phnom_Penh	13.65805	102.56365	excellent	08/24/2018, 00:00:00	KH
Asia/Yangon	14.0823	98.19151	good	2022-08-26	MM
America/Merida	21.28306	-89.66123	accep	2015-04-16	MX
America/New_York	42.52787	-70.92866	good	2021/04/20	US
America/Chicago	41.84364	-87.71255	average	27 Mar 2020	US
Europe/Paris	48.77644	2.29026	excellent	2020/07/06	FR
Asia/Manila	14.62578	121.12251	average	2019-09-29	PH
America/Chicago	41.72059	-87.70172	maitennce	01/12/2020, 00:00:00	US
Europe/Amsterdam	51.65333	5.2875	good	2016/05/05	NL
Europe/Paris	46.67535	5.55575	average	05/02/2016, 00:00:00	FR
America/Los_Angeles	33.72255	-116.37697	excellent	08/12/2021, 00:00:00	US
Europe/Moscow	53.59782	34.33825	average	2021-03-15	RU
America/Edmonton	53.51684	-113.3187	good	06/22/2022, 00:00:00	CA
Europe/Paris	43.61058	1.33467	maintenance	2015/06/06	FR
Europe/Andorra	42.50729	1.53414	average	11/12/2015, 00:00:00	AD
America/Argentina/Buenos_Aires	-34.74785	-58.70072	good	01/15/2014, 00:00:00	AR
Asia/Kuala_Lumpur	2.2139	102.3278	good	2020/09/07	MY
Asia/Kolkata	30.81383	75.16878	average	26 Dec 2020	IN
Asia/Hebron	31.78336	35.23388	building	2022/03/11	PS
Asia/Shanghai	46.08333	122.08333	accep	06/03/2014, 00:00:00	CN
America/Chicago	35.61452	-88.81395	excellent	2016/08/10	US
Europe/Madrid	41.15612	1.10687	good	02 Sep 2014	ES
Africa/Lagos	4.92675	6.26764	average	02 Nov 2012	NG
America/New_York	43.91452	-69.96533	accep	12/15/2021, 00:00:00	US
America/Los_Angeles	33.93113	-117.54866	good	2015/06/16	US
America/New_York	26.2173	-80.22588	accep	2022-07-27	US
Asia/Kolkata	23.49668	86.68363	average	2016-10-02	IN
America/Sao_Paulo	-22.53722	-42.98194	average	2017-09-29	BR
Asia/Kolkata	22.75218	72.68533	excellent	2014/09/09	IN
America/Vancouver	49.88307	-119.48568	excellent	19 Dec 2013	CA
Europe/Andorra	42.50729	1.53414	maintenance	2016/08/12	AD
America/New_York	42.93369	-72.27814	maintenance	22 May 2020	US
Asia/Yakutsk	65.93381	111.4834	accep	04/13/2019, 00:00:00	RU
Asia/Tokyo	35.48199	137.02166	average	10/03/2019, 00:00:00	JP
Asia/Kolkata	10.58806	77.24779	good	05 Jan 2019	IN
Asia/Kolkata	31.28092	74.85849	average	01/12/2017, 00:00:00	IN
America/Sao_Paulo	-25.42778	-49.27306	average	02 Jan 2017	BR
America/Sao_Paulo	-22.92306	-53.13722	good	2016-08-13	BR
Asia/Kolkata	26.32293	91.00632	maintenance	2018-04-27	IN
Asia/Makassar	-1.26753	116.82887	excellent	12/01/2020, 00:00:00	ID
America/Tegucigalpa	15.48131	-86.57415	accep	2015-03-03	HN
Asia/Yangon	17.30858	97.01124	average	30 Jul 2021	MM
Asia/Kolkata	26.11527	86.59509	maintenance	15 Apr 2018	IN
Asia/Tokyo	34.4833	136.84186	average	07 Feb 2013	JP
Europe/London	50.7236	-3.52751	accep	01 Feb 2015	GB
Europe/Istanbul	37.05944	37.3825	maintenance	22 May 2021	TR
Europe/Berlin	51.08468	7.11393	accep	03 Jul 2021	DE
Asia/Jerusalem	31.39547	34.75699	good	01/29/2014, 00:00:00	IL
Europe/Amsterdam	53.16167	6.76111	maintenance	2017-02-02	NL
America/Los_Angeles	33.95015	-118.03917	excellent	27 May 2020	US
America/Denver	32.42067	-104.22884	maintenance	2018/11/21	US
Australia/Melbourne	-37.88333	145.06667	average	2014-12-07	AU
Africa/Mogadishu	-0.35817	42.54536	good	2021/04/28	SO
America/New_York	43.16547	-77.70066	accep	2014-06-18	US
America/Indiana/Indianapolis	41.75338	-86.11084	excellent	14 Feb 2017	US
Asia/Kolkata	17.34769	78.55757	accep	15 Jan 2020	IN
Europe/Madrid	41.63976	2.35739	average	2018-08-12	ES
Europe/Moscow	57.30185	39.85331	excellent	10 Jul 2020	RU
Asia/Ulaanbaatar	47.90771	106.88324	building	08/31/2014, 00:00:00	MN
Europe/London	53.78333	-1.06667	average	2019/03/04	GB
Europe/Warsaw	50.5107	18.30056	good	08/06/2019, 00:00:00	PL
Asia/Kolkata	27.9247	78.40102	average	2017/05/03	IN
Europe/Rome	40.55851	17.80774	excellent	2017/09/06	IT
America/Fortaleza	-4.24444	-42.29444	accep	2015/04/25	BR
Africa/Tripoli	24.96334	10.18003	average	13 Dec 2017	LY
Asia/Karachi	32.57756	71.52847	good	2022-07-13	PK
Europe/Paris	43.32393	5.4584	accep	05/09/2016, 00:00:00	FR
America/New_York	41.48199	-81.79819	average	2022/08/06	US
Asia/Kolkata	22.4711	88.1453	good	26 Dec 2018	IN
Asia/Tehran	35.6803	51.0193	average	2019/08/31	IR
Africa/Conakry	9.535	-13.68778	maitennce	2012/11/27	GN
Europe/Berlin	49.68369	8.61839	maintenance	01/30/2017, 00:00:00	DE
America/Sao_Paulo	-26.22861	-52.67056	average	2018-11-22	BR
Europe/Warsaw	54.58048	16.86194	accep	05 Oct 2014	PL
Asia/Manila	10.31672	123.89071	excellent	2022-08-25	PH
Asia/Shanghai	32.50611	120.14278	building	28 Sep 2021	CN
Europe/London	53.46506	-1.47217	excellent	04/15/2017, 00:00:00	GB
Asia/Jakarta	-7.51611	109.05389	excellent	2018/08/19	ID
America/Los_Angeles	47.76232	-122.2054	excellent	21 Jun 2020	US
America/New_York	25.67927	-80.31727	excellent	06 Jun 2020	US
Asia/Shanghai	30.24706	115.04814	accep	05 Jul 2017	CN
America/Mexico_City	19.04222	-98.11889	average	09/06/2015, 00:00:00	MX
Africa/Dar_es_Salaam	-4.06667	37.73333	average	05/02/2021, 00:00:00	TZ
Australia/Sydney	-34.28853	146.05093	maintenance	07/23/2017, 00:00:00	AU
Asia/Barnaul	53.30972	83.62389	accep	01/20/2014, 00:00:00	RU
America/New_York	43.1009	-75.23266	good	2015/11/09	US
Europe/Moscow	54.8421	46.5813	excellent	2020-03-14	RU
Asia/Shanghai	23.73333	114.68333	accep	08 Feb 2014	CN
Europe/Amsterdam	52.31333	6.92917	accep	2020-06-23	NL
Asia/Baghdad	32.61603	44.02488	excellent	21 Dec 2016	IQ
America/New_York	40.63316	-74.13653	excellent	20 Dec 2014	US
Asia/Manila	8.56697	123.33471	accep	2013/08/25	PH
America/New_York	41.50343	-74.01042	average	2017/02/08	US
Europe/Lisbon	41.20485	-8.33147	excellent	26 Feb 2022	PT
America/Los_Angeles	33.52253	-117.70755	building	10 Jun 2014	US
America/Guayaquil	-2.13404	-79.59415	accep	2014-10-05	EC
America/Sao_Paulo	-21.41222	-42.19667	average	2022-01-25	BR
Africa/Dar_es_Salaam	-6.25	38.66667	average	25 Jul 2014	TZ
Europe/Rome	44.89784	8.86374	good	2013-08-26	IT
Asia/Kolkata	12.95629	78.27539	good	03/06/2019, 00:00:00	IN
Asia/Shanghai	30.35028	112.19028	good	2018-03-05	CN
Europe/Moscow	55.62047	37.49338	average	16 Nov 2014	RU
America/Toronto	45.4473	-73.75335	accep	14 Nov 2020	CA
America/Chicago	38.06084	-97.92977	building	2022/08/25	US
Asia/Kolkata	18.18158	76.03889	excellent	2018-09-07	IN
America/Sao_Paulo	-25.42944	-50.00639	accep	2018-03-03	BR
Europe/London	52.41667	0.75	accep	05/07/2015, 00:00:00	GB
Asia/Shanghai	34.86472	117.55417	good	2021/08/28	CN
Asia/Kolkata	24.05979	77.40858	good	02/21/2016, 00:00:00	IN
Asia/Kolkata	22.10194	85.37752	accep	2019/08/12	IN
Europe/Stockholm	61.72744	17.10558	average	11 Aug 2017	SE
Asia/Kolkata	23.49668	86.68363	accep	05/14/2014, 00:00:00	IN
America/Phoenix	33.50921	-111.89903	good	2018/09/25	US
Asia/Shanghai	40.85158	122.74754	excellent	2018/10/30	CN
Asia/Yangon	16.68911	98.50893	good	2013-08-01	MM
Asia/Hong_Kong	22.37066	114.10479	excellent	20 Dec 2019	HK
America/New_York	39.32011	-76.51552	building	2017-07-12	US
Europe/London	51.26	-2.1875	average	2014/10/01	GB
Europe/Rome	42.67164	14.01481	building	2016-01-08	IT
Europe/Skopje	42	21.32778	accep	2021-01-17	MK
Europe/Paris	45.69558	4.7934	average	25 Nov 2021	FR
America/Los_Angeles	47.80527	-122.24064	average	2017/06/09	US
Europe/Moscow	60.02427	30.28491	good	2016-08-20	RU
America/Sao_Paulo	-20.25333	-43.80139	accep	2017/07/26	BR
America/New_York	38.91817	-78.19444	accep	07/09/2022, 00:00:00	US
Asia/Jakarta	-1.6	103.61667	excellent	01/21/2014, 00:00:00	ID
Asia/Tokyo	35.48199	137.02166	good	09/24/2014, 00:00:00	JP
Europe/Moscow	53.53041	43.67663	excellent	2016-04-01	RU
America/Chicago	39.09112	-94.41551	building	10/10/2018, 00:00:00	US
Asia/Kolkata	11.12018	76.11996	accep	2015-08-23	IN
Africa/Mogadishu	9.89206	43.38531	maintenance	08/30/2015, 00:00:00	SO
Africa/Cairo	26.67319	31.4976	good	29 Dec 2013	EG
Asia/Tokyo	34.25	135.31667	accep	2018/06/02	JP
Europe/Zagreb	43.50891	16.43915	building	2017-05-12	HR
Europe/Amsterdam	52.57583	6.61944	excellent	09 Sep 2015	NL
Europe/London	53.49389	-1.29243	average	2016-11-08	GB
America/Lima	-11.94306	-76.70944	maintenance	2013-12-25	PE
Asia/Shanghai	34.65918	109.22921	accep	14 Jul 2016	CN
Europe/Berlin	51.30001	13.10984	excellent	08/26/2019, 00:00:00	DE
Asia/Shanghai	27.34089	117.4831	average	14 Jun 2016	CN
Asia/Kolkata	28.98002	77.70636	excellent	2018/03/03	IN
America/Phoenix	33.35283	-111.78903	accep	2021-10-28	US
America/Denver	40.34912	-111.90466	maintenance	12 Mar 2017	US
Asia/Shanghai	34.85	117.33333	average	10/07/2012, 00:00:00	CN
Africa/Windhoek	-21.98333	16.91667	average	2019/12/10	NA
Europe/Moscow	43.96222	43.63417	average	02/04/2020, 00:00:00	RU
America/Sao_Paulo	-23.7975	-48.59278	accep	07/23/2018, 00:00:00	BR
Europe/Istanbul	39.59611	27.02444	excellent	2016-07-01	TR
Asia/Tokyo	36	139.55722	accep	2018-11-04	JP
Asia/Kuala_Lumpur	2.2139	102.3278	accep	2019-07-05	MY
Asia/Kolkata	26.2649	81.54855	average	11 Aug 2022	IN
Asia/Kuala_Lumpur	5.4709	100.24529	good	2014/07/30	MY
Asia/Tokyo	33.3213	130.94098	maintenance	11 Oct 2018	JP
America/Los_Angeles	37.71715	-122.40433	good	2019-01-30	US
Europe/Moscow	55.63711	37.38115	excellent	06 Feb 2019	RU
Europe/Moscow	55.64776	38.02486	average	2015-06-22	RU
Europe/Moscow	56.03361	35.96944	maintenance	12/16/2016, 00:00:00	RU
America/Caracas	9.91861	-68.30472	excellent	11/05/2019, 00:00:00	VE
Asia/Manila	10.13361	124.84472	accep	04/17/2022, 00:00:00	PH
Asia/Shanghai	41.94175	123.50266	good	17 Feb 2019	CN
Europe/London	50.11861	-5.53715	excellent	2019-11-02	GB
Europe/Paris	43.83125	5.03586	excellent	2021-12-16	FR
Europe/Paris	43.71032	-1.05366	good	07/19/2015, 00:00:00	FR
America/Los_Angeles	33.93113	-117.54866	maintenance	2013-09-15	US
Africa/Algiers	35.21222	2.31889	building	2019/12/29	DZ
Europe/Paris	44.92801	4.8951	maintenance	2019/01/16	FR
Europe/Rome	40.53123	17.58522	excellent	2022/08/06	IT
America/Los_Angeles	37.73604	-120.93549	average	10/19/2019, 00:00:00	US
America/Maceio	-10.90889	-37.03861	maintenance	2013/02/13	BR
America/Mexico_City	19.04222	-98.11889	average	03/09/2020, 00:00:00	MX
Asia/Kolkata	25.6439	77.9129	excellent	06/12/2015, 00:00:00	IN
America/Santo_Domingo	18.20854	-71.10077	good	2016-01-14	DO
America/Chicago	31.12406	-97.90308	average	2017/01/23	US
Africa/Lagos	4.92675	6.26764	good	2016-05-14	NG
America/Sao_Paulo	-21.41222	-42.19667	excellent	12/11/2016, 00:00:00	BR
America/Los_Angeles	47.80527	-122.24064	excellent	2014-06-21	US
Asia/Almaty	47.46657	84.87144	good	2012-12-26	KZ
Asia/Kolkata	30.21121	74.4818	accep	2013/03/11	IN
Europe/London	53.81667	-3.05	good	2014/07/12	GB
America/Toronto	45.40008	-73.58248	excellent	2020/05/30	CA
Europe/Rome	43.78956	7.60872	accep	2015-12-22	IT
Africa/Nairobi	0.46005	34.11169	building	2014/11/29	KE
Asia/Kolkata	24.81757	84.63445	average	2014/03/15	IN
America/New_York	40.94065	-73.99681	accep	2017/02/15	US
America/Los_Angeles	37.71715	-122.40433	accep	2014/09/09	US
America/Bogota	6.46838	-73.26022	building	09 Jun 2015	CO
America/El_Salvador	13.73417	-89.71472	excellent	15 Apr 2013	SV
America/Detroit	42.97086	-82.42491	average	02/02/2014, 00:00:00	US
Africa/Freetown	8.48714	-13.2356	average	29 Nov 2017	SL
Europe/Berlin	49.13645	8.91229	average	06 Aug 2022	DE
Asia/Almaty	43.41949	77.0202	excellent	10/12/2020, 00:00:00	KZ
America/Chicago	47.92526	-97.03285	good	2018-07-16	US
Europe/Moscow	55.62047	37.49338	building	03/29/2018, 00:00:00	RU
Asia/Shanghai	32.54278	111.50861	good	2017-03-19	CN
Australia/Sydney	-34.88422	150.60036	good	01 Mar 2021	AU
America/Los_Angeles	45.53929	-122.38731	good	2014-11-08	US
Europe/Moscow	44.98901	38.94324	maintenance	01/25/2018, 00:00:00	RU
Europe/Kiev	50.75932	25.34244	good	2014/01/12	UA
America/Santiago	-36.9256	-73.02841	excellent	23 May 2021	CL
America/New_York	41.16704	-73.20483	excellent	09 Apr 2022	US
Asia/Jakarta	3.7278	98.6738	good	09/15/2016, 00:00:00	ID
Africa/Dar_es_Salaam	-6.8	39.25	average	03/07/2021, 00:00:00	TZ
Asia/Jakarta	0.51667	101.44167	accep	2020-07-10	ID
Asia/Kolkata	23.1959	86.51499	excellent	12/22/2014, 00:00:00	IN
Europe/Paris	48.98333	2.61667	maintenance	07 Feb 2022	FR
Europe/Brussels	50.71229	4.52529	accep	28 Jul 2015	BE
America/New_York	40.65538	-74.38987	accep	07/23/2016, 00:00:00	US
Asia/Shanghai	27.34089	117.4831	average	2016/11/30	CN
Europe/Amsterdam	53.16167	6.76111	accep	2013-03-21	NL
Europe/Lisbon	38.72706	-9.24671	accep	07/18/2017, 00:00:00	PT
Europe/Warsaw	54.58048	16.86194	good	2013/06/07	PL
Asia/Jakarta	3.7278	98.6738	accep	12/21/2019, 00:00:00	ID
Europe/London	52.41667	0.75	excellent	2015/11/05	GB
America/Santarem	-3.20333	-52.20639	average	2017/07/13	BR
Asia/Kolkata	25.87498	86.59611	accep	2013-04-08	IN
America/New_York	41.9001	-71.08977	acceptable	2014-06-15	US
Asia/Manila	14.8361	120.97844	accep	2019/07/19	PH
America/New_York	39.32011	-76.51552	accep	26 May 2017	US
Europe/Amsterdam	51.44889	5.51978	good	2014/04/12	NL
Australia/Sydney	-33.79176	151.08057	excellent	2021-02-17	AU
America/New_York	30.17746	-81.38758	excellent	2019-08-01	US
America/New_York	33.54428	-84.23381	maintenance	2021/06/14	US
Asia/Tokyo	36.53333	136.61667	excellent	05/17/2016, 00:00:00	JP
Australia/Melbourne	-37.9	145.18333	maintenance	2017/04/08	AU
America/Detroit	42.30865	-83.48216	accep	11/12/2017, 00:00:00	US
Europe/Stockholm	61.72744	17.10558	maintenance	2019-04-21	SE
Asia/Karachi	30.29184	71.67164	good	30 Nov 2013	PK
America/Bahia	-12.91667	-39.25	excellent	2014-12-03	BR
Asia/Kolkata	15.45144	78.14797	maintenance	06/06/2013, 00:00:00	IN
America/New_York	41.50343	-74.01042	acceptable	03/06/2016, 00:00:00	US
Europe/London	53.00974	-3.05814	average	24 Sep 2018	GB
Asia/Jakarta	-7.51611	109.05389	average	2016/06/14	ID
Asia/Shanghai	30.35028	112.19028	accep	2015-08-20	CN
Asia/Tokyo	35.82756	137.95378	average	02/13/2016, 00:00:00	JP
America/Fortaleza	-4.16694	-40.7475	accep	2020-12-28	BR
Asia/Aqtobe	47.83333	59.6	average	31 Mar 2018	KZ
America/New_York	35.05266	-78.87836	building	2013-09-18	US
Asia/Colombo	6.84019	79.87116	excellent	01/16/2017, 00:00:00	LK
America/Sao_Paulo	-21.205	-41.88778	average	2021-10-14	BR
Asia/Shanghai	29.98869	122.20488	accep	06/16/2016, 00:00:00	CN
Asia/Kuala_Lumpur	2.2139	102.3278	accep	07/01/2021, 00:00:00	MY
Asia/Krasnoyarsk	55.54028	89.20083	excellent	2022-08-18	RU
America/Merida	21.28306	-89.66123	accep	10/02/2013, 00:00:00	MX
Europe/Madrid	38.38479	-0.76773	good	05 Mar 2019	ES
America/New_York	26.2173	-80.22588	excellent	2016/05/27	US
Europe/Moscow	54.39304	53.26023	excellent	05/05/2018, 00:00:00	RU
Africa/Dar_es_Salaam	-7.76667	35.7	excellent	03 May 2019	TZ
Europe/Paris	44.80477	-0.59543	accep	03/22/2020, 00:00:00	FR
America/New_York	40.64621	-73.97069	average	2019/12/18	US
America/New_York	42.35843	-71.05977	average	2013/01/21	US
America/Los_Angeles	44.99012	-123.02621	building	23 Nov 2013	US
Europe/Rome	40.87329	14.43865	accep	2019/04/23	IT
America/Los_Angeles	33.03699	-117.29198	maintenance	2022/02/18	US
America/Phoenix	33.35283	-111.78903	accep	12/25/2018, 00:00:00	US
America/Los_Angeles	34.21639	-119.0376	building	10/12/2014, 00:00:00	US
Asia/Jakarta	-6.91806	106.92667	building	01 Aug 2018	ID
Asia/Shanghai	27.34089	117.4831	maintenance	10/16/2019, 00:00:00	CN
