location	station	longitude	latitude	revision	QoS
Asia/Karachi	Khairpur Mir’s	68.75915	27.52948	07/05/2015, 00:00:00	good
Asia/Kolkata	Pujali	88.1453	22.4711	2022-08-18	average
Africa/Libreville	Franceville	13.58357	-1.63333	2017/08/01	maintenance
America/Sao_Paulo	Artur Nogueira	-47.1725	-22.57306	05/10/2021, 00:00:00	average
Asia/Damascus	Tadmur	38.28402	34.5624	2014-05-28	excellent
America/Havana	Media Luna	-77.43532	20.14298	12/09/2018, 00:00:00	excellent
America/New_York	West Chester	-75.60804	39.96097	19 Oct 2013	accep
America/Costa_Rica	San Rafael	-84.13722	9.92787	2013/07/11	building
Africa/Casablanca	Azrou	-5.22126	33.43443	2021-10-28	average
America/Los_Angeles	Claremont	-117.71978	34.09668	15 Mar 2014	excellent
Asia/Shanghai	Taozhuang	117.33333	34.85	2019-05-19	excellent
Asia/Tehran	Darreh Shahr	47.3799	33.14447	05/25/2018, 00:00:00	good
Europe/Berlin	Barmbek-Nord	10.03988	53.6052	2015/02/23	average
Europe/Amsterdam	Zeist	5.23333	52.09	2019-09-26	average
America/Los_Angeles	Mira Mesa	-117.14392	32.9156	05/30/2019, 00:00:00	good
America/Glace_Bay	Sydney	-60.1831	46.1351	29 Oct 2013	average
Europe/Madrid	Baza	-2.77259	37.49073	2015-12-12	accep
Europe/Berlin	Schwalmtal	6.26667	51.21667	2021-09-30	average
Europe/Istanbul	Serinhisar	29.26639	37.58105	2013-07-01	average
Asia/Phnom_Penh	Paoy Paet	102.56365	13.65805	2018/09/04	good
Europe/Berlin	Verl	8.51667	51.88333	05 Jul 2014	good
America/Bogota	Buenaventura	-77.03116	3.8801	2020/01/19	building
Africa/Dar_es_Salaam	Magomeni	39.25	-6.8	08/15/2022, 00:00:00	average
America/Los_Angeles	Bothell	-122.2054	47.76232	25 Dec 2019	average
Asia/Jakarta	Ngemplak	110.71639	-7.54972	2021/08/07	excellent
America/Chicago	New City	-87.65644	41.80753	04/23/2020, 00:00:00	maintenance
America/Sao_Paulo	Alfenas	-45.94722	-21.42917	30 Mar 2020	building
America/Chicago	Abilene	-99.73314	32.44874	2019/05/24	average
Europe/Paris	Rueil-Malmaison	2.18967	48.8765	2017-07-17	average
Africa/Lagos	Nkpor	6.83042	6.15038	2019-10-26	building
America/Los_Angeles	Visitacion Valley	-122.40433	37.71715	2018-03-27	maintenance
Asia/Kolkata	Sirsi	74.83554	14.62072	2022/02/06	maintenance
Asia/Hebron	East Jerusalem	35.23388	31.78336	05/10/2013, 00:00:00	building
Europe/Helsinki	Kallio	24.95034	60.18427	2017/09/17	accep
Africa/Windhoek	Okahandja	16.91667	-21.98333	19 Nov 2020	average
Europe/Madrid	el Camp de l'Arpa del Clot	2.18247	41.41204	2021-08-18	maintenance
Asia/Tokyo	Hakodate	140.73667	41.77583	2016/06/16	excellent
America/Chicago	New City	-87.65644	41.80753	04 Apr 2019	average
America/Mexico_City	Casa Blanca	-98.11889	19.04222	28 Feb 2019	building
Asia/Shanghai	Haicheng	122.74754	40.85158	02/21/2018, 00:00:00	accep
America/Chicago	Muskogee	-95.36969	35.74788	2014/02/14	excellent
Europe/Malta	Valletta	14.51472	35.89972	14 Feb 2013	excellent
Europe/Berlin	Hermsdorf	13.31783	52.61131	2013/05/11	average
Europe/London	Lancing	-0.32247	50.82882	07/20/2022, 00:00:00	maintenance
Europe/Brussels	Wevelgem	3.16667	50.8	29 May 2019	good
Europe/Paris	Herblay	2.1699	48.98994	05/01/2021, 00:00:00	good
Asia/Kolkata	Calangute	73.7553	15.5439	07/12/2021, 00:00:00	good
Asia/Kolkata	Calangute	73.7553	15.5439	16 Sep 2021	average
Asia/Seoul	Sinhyeon	128.62667	34.8825	03/15/2015, 00:00:00	excellent
America/New_York	Martinsburg	-77.96389	39.45621	2017/12/23	average
Asia/Tokyo	Ueno-ebisumachi	136.13108	34.75856	28 Jun 2019	accep
Asia/Kolkata	Lal Bahadur Nagar	78.55757	17.34769	02/25/2019, 00:00:00	maintenance
Europe/Belgrade	Glogovac	20.89389	42.62833	2020-07-19	accep
America/Los_Angeles	Glendale	-118.25508	34.14251	2015/12/01	average
America/Santo_Domingo	Santa Cruz de Barahona	-71.10077	18.20854	30 Jun 2020	accep
Asia/Tokyo	Hita	130.94098	33.3213	18 Aug 2016	average
Asia/Karachi	Daud Khel	71.57118	32.87533	2022/04/05	accep
America/Los_Angeles	Mira Mesa	-117.14392	32.9156	18 May 2021	excellent
Asia/Kolkata	Chharra	78.40102	27.9247	2017/09/28	maintenance
Asia/Krasnoyarsk	Lesosibirsk	92.48278	58.23583	03/18/2021, 00:00:00	excellent
Asia/Hebron	East Jerusalem	35.23388	31.78336	28 Feb 2021	maintenance
America/Chicago	Brenham	-96.39774	30.16688	21 Jul 2013	building
Europe/London	Rhosllanerchrugog	-3.05814	53.00974	08 Apr 2015	good
Europe/Paris	Marseille 11	5.4384	43.2907	2015/02/17	maintenance
Australia/Melbourne	Frankston South	145.13643	-38.16604	04 Sep 2021	accep
Asia/Shanghai	Jiangyan	120.14278	32.50611	2015-04-22	excellent
Africa/Dar_es_Salaam	Iringa	35.7	-7.76667	2018-07-02	accep
Europe/Belgrade	Negotin	22.53083	44.22639	2015-10-31	average
Asia/Tokyo	Sasayama	135.21667	35.06667	27 May 2019	average
Asia/Jakarta	Pekanbaru	101.44167	0.51667	05/16/2018, 00:00:00	accep
Europe/Istanbul	Serinhisar	29.26639	37.58105	12/30/2019, 00:00:00	good
Asia/Tokyo	Suzaka	138.31667	36.65	2014/07/12	excellent
Africa/Tunis	Siliana	9.37082	36.08497	21 Nov 2013	excellent
Europe/Berlin	Losheim	6.74549	49.5099	2018-05-25	excellent
Africa/Kigali	Rwamagana	30.4347	-1.9487	27 Oct 2019	average
Europe/Amsterdam	Barneveld	5.58472	52.14	10/12/2021, 00:00:00	good
Europe/Berlin	Pfullingen	9.22796	48.46458	2013/11/23	average
Africa/Algiers	Frenda	1.04945	35.06544	01/02/2014, 00:00:00	maintenance
Asia/Shanghai	Laiwu	117.65694	36.19278	2013/04/18	good
America/New_York	Gates-North Gates	-77.70066	43.16547	2018-01-10	average
Africa/Banjul	Farafenni	-15.6	13.56667	12/30/2012, 00:00:00	average
Asia/Jerusalem	Ganei Tikva	34.8732	32.05971	14 May 2013	accep
Australia/Melbourne	Frankston South	145.13643	-38.16604	03/13/2015, 00:00:00	building
America/Martinique	Le Robert	-60.94228	14.67751	2018-04-24	maintenance
Europe/Madrid	Cardedeu	2.35739	41.63976	07/31/2022, 00:00:00	average
Europe/Berlin	Finnentrop	7.973	51.168	2021/04/06	building
Europe/Paris	Bron	4.91667	45.73333	2020/01/30	good
Europe/Zaporozhye	Svatove	38.15035	49.41029	2017-02-09	accep
Europe/Moscow	Malakhovka	38.02486	55.64776	2021-09-02	accep
Pacific/Auckland	Timaru	171.25364	-44.39672	2014/05/23	good
America/New_York	Rosedale	-76.51552	39.32011	2021/02/11	accep
Europe/Paris	Les Olives	5.4584	43.32393	2015/04/04	excellent
Europe/London	Leyland	-2.68758	53.69786	2016-05-12	accep
Europe/Madrid	Leioa	-2.98884	43.32686	07/22/2018, 00:00:00	accep
Asia/Tokyo	Nayoro	142.45778	44.35056	06/15/2014, 00:00:00	building
America/Sao_Paulo	Caldas Novas	-48.62789	-17.74431	2017/06/30	good
Europe/Berlin	Stade	9.47629	53.59337	2019-09-12	maintenance
Pacific/Auckland	Gisborne	178.00417	-38.65333	27 Mar 2020	building
Asia/Seoul	Eisen	128.63083	36.82167	03/02/2020, 00:00:00	accep
Europe/Istanbul	Edremit	27.02444	39.59611	2012/10/13	excellent
Africa/Lagos	Ilesa	4.74161	7.62789	2019-11-11	excellent
America/Sao_Paulo	Soledade	-52.51028	-28.81833	2015/12/01	average
America/El_Salvador	Sonzacate	-89.71472	13.73417	08/06/2013, 00:00:00	average
Africa/Dar_es_Salaam	Magomeni	39.25	-6.8	2022/07/20	excellent
Europe/Warsaw	Jaworzno	19.27498	50.20528	2017-10-21	good
Asia/Karachi	Alipur	70.91106	29.38242	04/12/2022, 00:00:00	building
Europe/Madrid	Amposta	0.57856	40.70995	18 May 2022	average
Europe/Bratislava	Hlohovec	17.8031	48.43174	13 Apr 2016	average
Asia/Manila	Baliuag	120.89694	14.95472	2014/01/09	excellent
America/New_York	Acworth	-84.67837	34.06635	2016/10/27	accep
America/Mexico_City	Oaxaca	-96.72365	17.06542	02/17/2016, 00:00:00	maintenance
America/New_York	Gainesville	-82.32483	29.65163	12/08/2014, 00:00:00	excellent
Asia/Kolkata	Udumalaippettai	77.24779	10.58806	09/17/2013, 00:00:00	average
Africa/Cairo	Alexandria	29.91582	31.20176	28 Mar 2013	accep
Europe/Paris	Dax	-1.05366	43.71032	07 Nov 2017	excellent
Asia/Kolkata	Sambalpur	83.97573	21.46527	10/19/2021, 00:00:00	average
Africa/Maputo	Maxixe	35.34722	-23.85972	09/01/2022, 00:00:00	accep
Africa/Nairobi	Busia	34.11169	0.46005	2017/08/23	excellent
Europe/Warsaw	Jaworzno	19.27498	50.20528	09/29/2016, 00:00:00	average
America/Sao_Paulo	Caldas Novas	-48.62789	-17.74431	05 Jul 2022	average
Asia/Manila	San Jose	121.06761	12.35275	2022-03-26	good
America/Chicago	Schererville	-87.45476	41.47892	09/09/2020, 00:00:00	good
Asia/Shanghai	Hushitai	123.50266	41.94175	2018/07/03	accep
Africa/Addis_Ababa	Arba Minch	37.55	6.03333	2015-02-14	accep
America/Caracas	Ciudad Guayana	-62.64102	8.35122	2021-06-29	building
Europe/London	Inverness	-4.22398	57.47908	16 Apr 2016	excellent
America/New_York	North Lauderdale	-80.22588	26.2173	07/22/2021, 00:00:00	accep
Asia/Damascus	Binnish	36.7138	35.95664	2022-06-03	accep
America/Caracas	Ciudad Guayana	-62.64102	8.35122	2015/04/04	accep
Europe/London	Exeter	-3.52751	50.7236	2017-03-25	accep
America/New_York	West Chester	-75.60804	39.96097	05 Mar 2017	good
Europe/Amsterdam	Culemborg	5.22778	51.955	2016-11-12	accep
America/Los_Angeles	Bryn Mawr-Skyway	-122.24092	47.4943	12/11/2016, 00:00:00	building
America/New_York	Lakewood	-81.79819	41.48199	02/05/2021, 00:00:00	accep
Asia/Kolkata	Pilkhua	77.656	28.71271	2017-11-21	accep
America/Merida	Progreso	-89.66123	21.28306	2021/03/03	good
Africa/Lagos	Nkpor	6.83042	6.15038	2017-11-30	average
Europe/Samara	Otradnyy	51.3452	53.37596	2020/06/01	excellent
Africa/Lubumbashi	Beni	29.47306	0.49113	09 Aug 2020	average
Asia/Shanghai	Shuangcheng	126.28333	45.35	2018-04-24	excellent
America/Mexico_City	Oaxaca	-96.72365	17.06542	2020-09-30	maintenance
Asia/Tokyo	Toyokawa	137.4	34.81667	2022-08-13	maintenance
Africa/Djibouti	'Ali Sabieh	42.7125	11.15583	05/22/2019, 00:00:00	maintenance
America/Chicago	Murray	-88.31476	36.61033	2014-06-24	excellent
Africa/Khartoum	Ar Ruseris	34.3869	11.8659	11/19/2019, 00:00:00	average
Europe/Berlin	Pfullingen	9.22796	48.46458	2019-09-20	good
Africa/Kampala	Kitgum	32.88667	3.27833	01/29/2015, 00:00:00	excellent
America/New_York	Peabody	-70.92866	42.52787	09/15/2017, 00:00:00	accep
America/New_York	Collinwood	-81.56929	41.55838	2013-07-01	excellent
America/Chicago	Grand Forks	-97.03285	47.92526	06/04/2019, 00:00:00	maintenance
Europe/Moscow	Stupino	38.07083	54.90083	2014-06-04	excellent
America/New_York	Port Richmond	-74.13653	40.63316	08 Oct 2014	accep
Europe/Paris	Cavaillon	5.03586	43.83125	01/15/2020, 00:00:00	good
Asia/Kolkata	Dalsingh Sarai	85.83636	25.66795	31 Oct 2012	accep
Europe/Brussels	Beveren	4.25633	51.21187	2012/10/15	good
America/Toronto	Dorval	-73.75335	45.4473	04/28/2017, 00:00:00	excellent
America/New_York	Chillum	-76.99081	38.96372	2021/06/08	building
Asia/Kolkata	Manjeri	76.11996	11.12018	2022-07-04	accep
America/Fortaleza	Barras	-42.29444	-4.24444	04/13/2019, 00:00:00	building
America/Puerto_Rico	Aguadilla	-67.15407	18.42745	25 Feb 2014	good
America/Mexico_City	Tuxtla	-93.11308	16.75973	10 Aug 2017	average
Europe/Rome	San Giuliano Milanese	9.29109	45.39402	2014/04/04	average
Europe/Moscow	Buynaksk	47.1192	42.819	2017-08-14	maintenance
Europe/Berlin	Losheim	6.74549	49.5099	28 Jun 2015	excellent
Asia/Kolkata	Aklera	76.56719	24.41288	03/20/2015, 00:00:00	maintenance
Asia/Bangkok	Bang Ban	100.48528	14.37395	2016/05/17	maintenance
America/Sao_Paulo	Alfenas	-45.94722	-21.42917	2016/03/27	excellent
Africa/Blantyre	Salima	34.4587	-13.7804	2018-01-10	average
Asia/Kolkata	Leteri	77.40858	24.05979	08/22/2016, 00:00:00	excellent
Europe/Lisbon	Carnaxide	-9.24671	38.72706	2019-02-24	excellent
Europe/Vilnius	Alytus	24.04142	54.39635	02 Feb 2018	accep
Europe/Paris	Marly-le-Roi	2.08333	48.86667	31 Jul 2015	maintenance
Europe/Berlin	Burscheid	7.11393	51.08468	08/10/2021, 00:00:00	average
Asia/Kolkata	Barpeta	91.00632	26.32293	2014-08-10	good
Africa/Lagos	Ilesa	4.74161	7.62789	2013/06/08	maintenance
Australia/Perth	Willetton	115.88782	-32.05251	07 Apr 2013	average
Asia/Manila	Masbate	123.62494	12.37169	05/26/2022, 00:00:00	maintenance
Europe/Rome	Bisceglie	16.50104	41.24264	2013/11/03	accep
Africa/Lagos	Gaya	9.0027	11.86064	06/09/2022, 00:00:00	building
Europe/Madrid	Segundo Ensanche	-1.64295	42.8139	16 Mar 2019	accep
America/Chicago	Huntley	-88.42814	42.16808	11/21/2016, 00:00:00	excellent
Asia/Shanghai	Nanpiao	120.74792	41.09822	2014-10-25	accep
Asia/Bangkok	Kantharalak	104.64992	14.64056	2019-12-06	accep
Europe/London	Selby	-1.06667	53.78333	03/07/2022, 00:00:00	building
America/Los_Angeles	Bryn Mawr-Skyway	-122.24092	47.4943	07/08/2019, 00:00:00	good
Europe/Berlin	Zeitz	12.1369	51.04962	2020-06-28	excellent
Europe/Lisbon	Custoias	-7.32097	41.1053	2013-11-24	average
Europe/Rome	Cordenons	12.70038	45.9836	2017-12-24	building
Europe/Saratov	Privolzhskiy	46.04833	51.40944	09 Jan 2016	average
Asia/Kolkata	Sojat	73.66633	25.92493	2016/01/27	building
Europe/London	Strood	0.47713	51.39323	2015/02/12	average
America/New_York	Middle River	-76.43941	39.33427	2019/01/15	accep
Asia/Shanghai	Beidao	105.89333	34.56861	2022-08-27	excellent
Asia/Manila	San Jose	121.06761	12.35275	04/15/2018, 00:00:00	average
America/Halifax	Charlottetown	-63.13414	46.23899	2017/08/09	accep
Europe/London	Lower Earley	-0.91979	51.42708	17 Sep 2013	excellent
Asia/Jerusalem	Rahat	34.75699	31.39547	2022-08-12	average
America/New_York	Sicklerville	-74.96933	39.71734	2013-07-16	building
Africa/Lagos	Nkpor	6.83042	6.15038	25 May 2013	accep
America/El_Salvador	Ilopango	-89.10944	13.70167	03 Apr 2015	average
Asia/Karachi	Bhit Shah	68.49143	25.80565	10/04/2013, 00:00:00	good
America/Manaus	Itacoatiara	-58.44417	-3.14306	30 Jul 2016	excellent
Asia/Kolkata	Davangere	75.92694	14.46693	12/06/2014, 00:00:00	accep
Asia/Kolkata	Uran	72.93924	18.87813	2013/05/10	building
Europe/Saratov	Privolzhskiy	46.04833	51.40944	2021/10/10	building
Africa/Conakry	Camayenne	-13.68778	9.535	09 Mar 2013	excellent
Europe/Berlin	Halstenbek	9.85	53.63333	2019/06/04	excellent
Europe/Paris	Les Olives	5.4584	43.32393	2013/05/20	accep
America/Los_Angeles	Claremont	-117.71978	34.09668	2016-12-28	average
America/Chicago	Independence	-94.41551	39.09112	2017-02-04	building
Asia/Kolkata	Madhipura	86.79271	25.92127	28 Mar 2019	maintenance
Africa/Douala	Mbalmayo	11.5	3.51667	24 Jun 2019	maintenance
America/Lima	Chosica	-76.70944	-11.94306	2018/04/04	maintenance
America/New_York	East Haven	-72.86843	41.27621	2021/06/01	maintenance
America/New_York	West Chester	-75.60804	39.96097	2017-09-02	average
Asia/Karachi	Jhol	68.88871	25.95533	19 Feb 2014	good
Europe/Amsterdam	Culemborg	5.22778	51.955	18 Jan 2017	building
Europe/Helsinki	Kallio	24.95034	60.18427	2018-12-30	accep
America/Argentina/Ushuaia	Ushuaia	-68.3	-54.8	2019/03/24	building
Europe/Rome	Catania	15.07041	37.49223	2017-09-07	building
America/Argentina/Ushuaia	Ushuaia	-68.3	-54.8	30 Nov 2015	average
Asia/Kolkata	Parola	75.11937	20.88098	06/02/2017, 00:00:00	accep
Europe/Istanbul	Yakuplu	28.67582	40.98894	12/08/2016, 00:00:00	accep
Europe/Berlin	Eppingen	8.91229	49.13645	07/24/2014, 00:00:00	good
Asia/Shanghai	Guli	120.03308	28.88162	2020-12-12	average
Asia/Kuala_Lumpur	Kulai	103.6032	1.6561	05/24/2017, 00:00:00	maintenance
Europe/London	Barnet	-0.2	51.65	2018/03/01	maintenance
Asia/Kolkata	Elamanchili	82.85749	17.54907	10/28/2019, 00:00:00	excellent
Asia/Seoul	Sinhyeon	128.62667	34.8825	2013-05-11	good
America/Chicago	Westchester	-87.882	41.85059	2012/12/25	excellent
Asia/Tokyo	Hakodate	140.73667	41.77583	2017/01/11	accep
Asia/Makassar	Balikpapan	116.82887	-1.26753	11/03/2015, 00:00:00	building
Asia/Kolkata	Patti	74.85849	31.28092	10/27/2018, 00:00:00	excellent
America/New_York	Thomasville	-80.08199	35.88264	12 Mar 2014	excellent
Pacific/Efate	Port-Vila	168.31366	-17.73648	2016/01/25	accep
America/Chicago	Rosemount	-93.12577	44.73941	2018-10-03	accep
America/Vancouver	Kelowna	-119.48568	49.88307	2013-01-23	good
America/New_York	Rutland	-72.97261	43.61062	2015-08-30	excellent
America/Denver	Ken Caryl	-105.11221	39.57582	02/19/2014, 00:00:00	excellent
America/Los_Angeles	Mira Mesa	-117.14392	32.9156	05/02/2015, 00:00:00	excellent
Europe/Vilnius	Alytus	24.04142	54.39635	08/10/2014, 00:00:00	accep
Europe/Kiev	Voznesensk	31.33078	47.56494	2015-11-26	good
America/Chicago	Brenham	-96.39774	30.16688	20 Apr 2017	accep
America/Lima	Chosica	-76.70944	-11.94306	2012-10-06	excellent
Asia/Tokyo	Hita	130.94098	33.3213	08/09/2015, 00:00:00	excellent
Africa/Bangui	Carnot	15.87735	4.94273	2020/09/13	good
Europe/Lisbon	Custoias	-7.32097	41.1053	2021-09-14	average
Asia/Shanghai	Xinzhou	112.73333	38.40917	14 Mar 2013	average
Asia/Kolkata	Amreli	71.21169	21.59983	08/26/2016, 00:00:00	accep
America/Argentina/Buenos_Aires	Barracas	-58.38341	-34.64966	16 Sep 2017	maintenance
Africa/Kinshasa	Kasangulu	15.16554	-4.5833	15 Apr 2014	accep
Asia/Kolkata	Tiruppuvanam	78.25795	9.82564	24 Aug 2018	maintenance
Asia/Kolkata	Rajaori	74.3092	33.37526	18 Jan 2022	good
America/Vancouver	Kelowna	-119.48568	49.88307	2018-04-07	average
Europe/Moscow	Zhukovka	33.72798	53.53395	2018/05/26	maintenance
Europe/Kiev	Artsyz	29.41824	45.99194	05 Aug 2014	excellent
Europe/Berlin	Gifhorn	10.5511	52.47774	02/14/2015, 00:00:00	building
America/New_York	Sicklerville	-74.96933	39.71734	2020-03-22	good
America/New_York	Rosedale	-76.51552	39.32011	2018-09-19	excellent
Asia/Tbilisi	Kobuleti	41.77921	41.82143	2012-12-14	average
Europe/London	Mexborough	-1.29243	53.49389	13 Dec 2013	building
Europe/London	Chapletown	-1.47217	53.46506	13 Feb 2018	excellent
America/New_York	Belle Glade	-80.66756	26.68451	02/25/2017, 00:00:00	maintenance
America/Santo_Domingo	Santa Cruz de Barahona	-71.10077	18.20854	2014-12-03	good
Europe/Warsaw	Brzeg	17.4674	50.86079	05/10/2018, 00:00:00	excellent
Asia/Qyzylorda	Kyzylorda	65.50917	44.85278	2022-08-16	average
Asia/Kolkata	Osmanabad	76.03889	18.18158	2017-01-20	good
Asia/Shanghai	Zhoucun	117.81667	36.81667	2019-08-11	average
Europe/Warsaw	Brzeg	17.4674	50.86079	12/16/2021, 00:00:00	maintenance
Africa/Lagos	Igbara-Odo	5.06258	7.50251	2020/09/19	excellent
Asia/Kolkata	Kashipur	78.95693	29.21399	11 Oct 2013	average
Asia/Urumqi	Hoxtolgay	86.00214	46.51872	07 Oct 2016	accep
Asia/Shanghai	Xinzhou	112.73333	38.40917	05/22/2013, 00:00:00	average
Asia/Makassar	Tarakan	117.59152	3.31332	06/12/2014, 00:00:00	average
Asia/Tokyo	Suzaka	138.31667	36.65	12 Jan 2018	average
America/Los_Angeles	North Tustin	-117.79394	33.76446	2017-05-26	accep
Europe/London	Blackpool	-3.05	53.81667	25 Feb 2013	good
Europe/Berlin	Ehingen	9.72749	48.28259	2019/08/14	good
Africa/Accra	Bibiani	-2.31938	6.46346	11 Jun 2013	maintenance
America/New_York	Collinwood	-81.56929	41.55838	2020/02/01	maintenance
Europe/London	Thetford	0.75	52.41667	09/25/2013, 00:00:00	building
Asia/Shanghai	Jiangyan	120.14278	32.50611	03 Feb 2019	building
Europe/Rome	Catania	15.07041	37.49223	2019-02-02	average
Europe/Moscow	Danilov	40.17171	58.1908	05 Aug 2019	good
America/Mexico_City	Guanajuato	-101.2591	21.01858	05 Dec 2015	maitennce
Europe/Rome	Villabate	13.44275	38.07789	2016/04/19	good
Asia/Colombo	Hendala	79.883	6.9909	2019/09/05	accep
Asia/Manila	Jagna	124.3697	9.6531	19 Apr 2013	accep
America/Argentina/Buenos_Aires	Chacabuco	-60.47389	-34.64167	2022-04-26	good
America/Los_Angeles	North Tustin	-117.79394	33.76446	05/13/2013, 00:00:00	excellent
Africa/Johannesburg	Vryheid	30.79165	-27.76952	21 Jul 2017	accep
Asia/Makassar	Majene	118.9707	-3.5403	01/19/2013, 00:00:00	excellent
Europe/Belgrade	Sremska Mitrovica	19.61222	44.97639	2016/08/10	accep
Asia/Kolkata	Kalavoor	76.32756	9.57046	2020/05/25	building
Asia/Kolkata	Hungund	76.0586	16.06213	28 Mar 2015	accep
Europe/Madrid	Caravaca	-1.86343	38.10558	05 Jun 2017	excellent
Europe/Berlin	Pfullingen	9.22796	48.46458	2019/07/28	excellent
Asia/Shanghai	Heyuan	114.68333	23.73333	09/11/2018, 00:00:00	good
Asia/Seoul	Eisen	128.63083	36.82167	2022-07-14	average
Asia/Manila	Sorsogon	123.99333	12.97389	2018-09-19	accep
Africa/Algiers	Ksar Chellala	2.31889	35.21222	2013-09-09	good
Europe/Rome	Campobasso	14.66737	41.55947	04/19/2020, 00:00:00	accep
Europe/London	Exeter	-3.52751	50.7236	2016/10/19	accep
Asia/Kuching	Donggongon	116.10146	5.90702	2017/08/06	excellent
Europe/Rome	Tortona	8.86374	44.89784	2013-05-09	maintenance
America/Santarem	Altamira	-52.20639	-3.20333	2013-09-22	good
Europe/London	Thetford	0.75	52.41667	20 Dec 2020	accep
Asia/Kolkata	Manjeri	76.11996	11.12018	16 May 2016	good
Asia/Jakarta	Tebingtinggi	99.1625	3.3285	2021-05-28	accep
Asia/Tokyo	Toyokawa	137.4	34.81667	2014-12-28	maintenance
Europe/Belgrade	Glogovac	20.89389	42.62833	2017/04/17	maintenance
America/Sao_Paulo	Itabirito	-43.80139	-20.25333	2014-07-23	good
Asia/Tashkent	Parkent	69.67639	41.29444	23 Nov 2016	good
Europe/London	Brierley Hill	-2.12139	52.48173	17 Mar 2021	excellent
Europe/Berlin	Neuburg an der Donau	11.18709	48.73218	04 Mar 2022	good
Europe/London	High Wycombe	-0.74934	51.62907	01/13/2018, 00:00:00	accep
Asia/Bishkek	Jalal-Abad	73	40.93333	2020-10-21	average
Europe/Rome	Bisceglie	16.50104	41.24264	08/15/2022, 00:00:00	good
Asia/Kolkata	Teghra	85.94001	25.49043	2020-06-14	average
Asia/Kolkata	Narwar	77.9129	25.6439	04 Mar 2016	average
Asia/Karachi	Kanganpur	74.12286	30.76468	2017-03-14	excellent
Asia/Jakarta	Simpang	104.09701	-1.26424	09/09/2021, 00:00:00	accep
Europe/Rome	Roseto degli Abruzzi	14.01481	42.67164	08/27/2017, 00:00:00	excellent
Europe/Prague	Karlovy Vary	12.87117	50.23271	05/05/2021, 00:00:00	building
America/Chicago	Greenville	-91.06177	33.41012	25 May 2020	accep
Asia/Kuala_Lumpur	Ulu Tiram	103.81667	1.6	2016/02/15	accep
Europe/Rome	Castelfranco Emilia	11.04979	44.59445	2018/09/22	excellent
America/New_York	Greenpoint	-73.95097	40.72371	2020-06-11	good
Europe/London	Devizes	-1.99421	51.35084	2022/04/15	average
Europe/Warsaw	Strzelce Opolskie	18.30056	50.5107	05 Nov 2016	building
Asia/Tokyo	Namerikawa	137.36215	36.75965	2015-06-29	average
America/New_York	Brighton Beach	-73.95958	40.57788	2018-07-11	excellent
Asia/Tokyo	Motomachi	144.09638	43.82634	17 Jun 2015	maintenance
America/Toronto	Norfolk County	-80.38297	42.8334	2017-03-29	average
Europe/London	Barnet	-0.2	51.65	12/16/2018, 00:00:00	excellent
Asia/Kolkata	Adra	86.68363	23.49668	25 Jul 2021	average
Asia/Samarkand	Jizzax	67.84222	40.11583	06/21/2014, 00:00:00	accep
Asia/Makassar	Tarakan	117.59152	3.31332	2022/09/04	building
Europe/Rome	Lanciano	14.39024	42.22718	2016/08/12	maintenance
Asia/Tokyo	Annaka	138.89585	36.33011	2015/12/26	maitennce
America/Chicago	Copperas Cove	-97.90308	31.12406	2018-02-20	excellent
Europe/Madrid	Villaquilambre	-5.55835	42.64685	2016-09-19	average
America/Glace_Bay	Sydney	-60.1831	46.1351	15 Aug 2021	average
Asia/Kolkata	Udumalaippettai	77.24779	10.58806	2019-06-06	average
Africa/Lagos	Igbara-Odo	5.06258	7.50251	2016/03/01	building
America/Vancouver	Kelowna	-119.48568	49.88307	2015-04-27	average
Asia/Bangkok	Nakhon Pathom	100.04427	13.8196	12/03/2018, 00:00:00	average
Asia/Jakarta	Simpang	104.09701	-1.26424	22 Aug 2015	good
Asia/Jakarta	Muncar	114.33333	-8.43333	2021/05/25	maintenance
Africa/Algiers	Frenda	1.04945	35.06544	05/09/2021, 00:00:00	accep
Europe/Berlin	Halstenbek	9.85	53.63333	2015-08-13	excellent
America/Bahia	Tucano	-38.79084	-10.95817	2022-04-09	average
Africa/Dar_es_Salaam	Mwandiga	29.65806	-4.83	2015-08-31	good
Europe/London	Exeter	-3.52751	50.7236	2015-05-31	good
Europe/Moscow	Yeysk	38.2739	46.7055	2021/07/30	accep
Asia/Manila	Tupi	124.95278	6.33444	03/25/2020, 00:00:00	accep
Asia/Tokyo	Nonoichi	136.61667	36.53333	2022/02/28	accep
Europe/Chisinau	Soroca	28.28489	48.15659	16 Dec 2017	accep
Europe/Rome	Bisceglie	16.50104	41.24264	04 Feb 2020	building
Asia/Seoul	T’aebaek	128.9889	37.1759	2014/03/21	good
America/New_York	Harrisburg	-76.88442	40.2737	2021/11/30	average
America/Denver	Kearns	-111.99633	40.65995	05/14/2014, 00:00:00	building
America/Sao_Paulo	Guapimirim	-42.98194	-22.53722	2021/10/19	excellent
America/Lima	Yunguyo	-69.08333	-16.25	28 Apr 2016	maintenance
America/Panama	Veracruz	-79.62603	8.88988	2021/01/24	good
Europe/Lisbon	Carnaxide	-9.24671	38.72706	07/08/2013, 00:00:00	building
Europe/Rome	Portogruaro	12.84052	45.78071	2015/08/13	good
Europe/London	Exeter	-3.52751	50.7236	12/22/2015, 00:00:00	excellent
