location	revision	QoS	longitude	latitude	code
America/Los_Angeles	2016/03/07	good	-117.79394	33.76446	US
America/New_York	2015-09-04	maintenance	-73.95097	40.72371	US
America/Martinique	09 Jan 2016	building	-60.94228	14.67751	MQ
Asia/Jakarta	2018-06-12	good	112.23109	-7.57897	ID
Asia/Shanghai	15 Feb 2018	accep	122.20488	29.98869	CN
Asia/Jerusalem	23 Feb 2017	good	34.8732	32.05971	IL
Europe/Rome	2020/12/03	accep	11.04979	44.59445	IT
Asia/Tokyo	08/19/2017, 00:00:00	accep	136.61667	36.53333	JP
Asia/Shanghai	11/22/2020, 00:00:00	average	114.51667	33.78333	CN
America/New_York	2019/02/20	excellent	-78.87836	35.05266	US
Europe/Bucharest	03/13/2013, 00:00:00	good	26.01649	44.43579	RO
America/Chicago	2016/01/15	accep	-93.75018	32.52515	US
Asia/Manila	2015-05-11	good	122.9666	10.7375	PH
Asia/Jakarta	08 Sep 2021	good	109.05389	-7.51611	ID
Europe/Madrid	06 Jan 2021	accep	-2.68333	43.31667	ES
Europe/Madrid	03 Feb 2019	average	-1.64295	42.8139	ES
Europe/Prague	05/17/2016, 00:00:00	building	12.87117	50.23271	CZ
America/Manaus	2015-05-30	maintenance	-58.44417	-3.14306	BR
Europe/London	12 Jan 2019	average	-2.12139	52.48173	GB
America/Caracas	2017/01/28	accep	-67.33122	10.22677	VE
Africa/Windhoek	2020-10-23	good	16.91667	-21.98333	NA
America/Bogota	08/26/2021, 00:00:00	accep	-74.26419	4.73245	CO
Europe/Berlin	08 May 2013	good	13.10984	51.30001	DE
Asia/Kolkata	05/11/2014, 00:00:00	excellent	77.9129	25.6439	IN
Asia/Irkutsk	07/17/2020, 00:00:00	excellent	107.60627	51.82721	RU
Asia/Ho_Chi_Minh	2016-11-14	good	105.75635	10.29085	VN
America/Chicago	31 Dec 2012	building	-86.77917	36.02506	US
Asia/Tokyo	05 Apr 2019	good	136.13108	34.75856	JP
Europe/Berlin	2012/11/14	good	13.10984	51.30001	DE
Asia/Kolkata	2017/07/24	excellent	77.24779	10.58806	IN
Europe/Saratov	06/29/2016, 00:00:00	maintenance	46.04833	51.40944	RU
Asia/Shanghai	21 Jun 2014	good	113.82465	23.29549	CN
Asia/Tokyo	11 May 2022	accep	137.36215	36.75965	JP
America/New_York	2012/11/22	average	-73.89875	40.93121	US
Europe/Moscow	07/21/2020, 00:00:00	maintenance	38.12408	53.77166	RU
Australia/Sydney	10/01/2020, 00:00:00	average	146.05093	-34.28853	AU
America/New_York	07/08/2019, 00:00:00	maintenance	-76.51552	39.32011	US
Europe/Madrid	2017-11-01	building	-1.325	38.47917	ES
Africa/Kampala	20 Aug 2018	excellent	30.98551	2.41669	UG
Africa/Algiers	02/23/2017, 00:00:00	accep	1.04945	35.06544	DZ
Asia/Shanghai	2013/04/04	average	122.74754	40.85158	CN
Asia/Karachi	19 Jul 2017	maintenance	68.49143	25.80565	PK
Europe/Berlin	15 Mar 2021	excellent	13.10984	51.30001	DE
America/Maceio	07/17/2020, 00:00:00	average	-37.03861	-10.90889	BR
Europe/Brussels	03 Dec 2017	excellent	4.21372	51.12794	BE
Europe/Madrid	01 Jun 2020	good	-2.98884	43.32686	ES
Asia/Manila	2017-04-08	maintenance	124.84472	10.13361	PH
Africa/Casablanca	04 Jan 2022	excellent	-6.00137	33.42585	MA
America/New_York	2021-05-10	average	-81.23621	33.98154	US
Asia/Shanghai	2016-08-21	good	123.17306	41.27194	CN
Asia/Tokyo	06/09/2019, 00:00:00	average	136.13108	34.75856	JP
Europe/Berlin	23 Jul 2020	accep	12.16179	48.52961	DE
America/Denver	09/02/2017, 00:00:00	accep	-111.99633	40.65995	US
Africa/Conakry	01 Apr 2017	building	-13.68778	9.535	GN
Europe/Berlin	10 Jul 2013	accep	10.03988	53.6052	DE
Europe/Rome	22 Dec 2017	maintenance	8.88104	45.79377	IT
America/Sao_Paulo	09/18/2015, 00:00:00	building	-50.19556	-19.72806	BR
America/Recife	2018/08/07	good	-35.71667	-8.66667	BR
Europe/Berlin	17 Jul 2015	good	10.5511	52.47774	DE
Australia/Sydney	2022-06-10	accep	150.60036	-34.88422	AU
America/Denver	10 Aug 2020	average	-111.90466	40.34912	US
America/Los_Angeles	16 Mar 2018	average	-117.79394	33.76446	US
America/New_York	2021-10-13	average	-81.79819	41.48199	US
Asia/Yekaterinburg	2016/11/20	maintenance	59.80222	58.63667	RU
Europe/London	2013-07-25	building	-0.32247	50.82882	GB
America/Jamaica	2015/08/08	building	-76.78319	18.00747	JM
Africa/Lagos	01/19/2018, 00:00:00	average	4.18333	7.6	NG
America/Los_Angeles	11/23/2014, 00:00:00	building	-120.45794	34.63915	US
Asia/Shanghai	05/19/2018, 00:00:00	building	120.03308	28.88162	CN
America/Toronto	2022/07/03	excellent	-79.2663	43.86682	CA
Europe/Amsterdam	06/30/2019, 00:00:00	good	5.22778	51.955	NL
Asia/Jakarta	12/10/2017, 00:00:00	accep	113.69785	-7.73379	ID
Europe/Berlin	2020-04-04	accep	10.18527	47.98372	DE
Africa/Lagos	2020-01-24	average	8.2926	9.58126	NG
America/Argentina/Buenos_Aires	22 Jun 2019	excellent	-59.13316	-37.32167	AR
Europe/London	03/13/2019, 00:00:00	accep	-2.98333	53.83333	GB
Europe/Zaporozhye	2019-07-03	average	36.25361	47.48444	UA
Europe/Brussels	2021-02-09	building	5.37429	51.03427	BE
America/Sao_Paulo	2016-07-30	average	-48.62789	-17.74431	BR
America/Chicago	2022-01-18	accep	-96.39774	30.16688	US
Europe/Copenhagen	2020-03-14	accep	12.53463	55.67938	DK
Asia/Kolkata	02/21/2020, 00:00:00	building	73.85535	18.51957	IN
Europe/Rome	10/30/2018, 00:00:00	maintenance	11.412	45.50369	IT
Africa/Johannesburg	17 Aug 2015	accep	29.00974	-24.19436	ZA
America/Sao_Paulo	17 Feb 2013	excellent	-53.13722	-22.92306	BR
America/Los_Angeles	2016-04-13	excellent	-119.01677	36.06523	US
Australia/Perth	12/20/2018, 00:00:00	average	115.88782	-32.05251	AU
America/New_York	10/27/2014, 00:00:00	building	-82.07842	26.91756	US
Europe/Amsterdam	2019/03/22	good	6.76111	53.16167	NL
America/Chicago	24 May 2013	good	-91.58045	41.6764	US
Europe/Moscow	2016/09/13	accep	43.91385	54.03876	RU
Europe/Kiev	2015-03-19	average	26.97253	49.65186	UA
America/Bogota	2021-12-23	maintenance	-74.26419	4.73245	CO
Asia/Seoul	07/08/2022, 00:00:00	good	128.9889	37.1759	KR
America/Los_Angeles	10/23/2012, 00:00:00	accep	-122.2054	47.76232	US
Asia/Phnom_Penh	07/02/2021, 00:00:00	good	102.56365	13.65805	KH
Africa/Dar_es_Salaam	08/06/2017, 00:00:00	average	38.66667	-6.25	TZ
Europe/Brussels	08/19/2013, 00:00:00	average	3.20639	50.74497	BE
Asia/Manila	06/28/2014, 00:00:00	maintenance	121.06761	12.35275	PH
Asia/Riyadh	05/08/2016, 00:00:00	building	49.62251	27.0174	SA
Asia/Shanghai	2020/02/23	building	112.19028	30.35028	CN
Europe/Amsterdam	2019-02-17	average	4.47124	51.95838	NL
America/Menominee	2015-05-14	average	-88.64235	46.09273	US
America/Menominee	2018-04-20	accep	-88.64235	46.09273	US
America/New_York	2018-10-11	accep	-74.15987	40.82232	US
America/New_York	2020/08/13	building	-73.89875	40.93121	US
America/Havana	22 Dec 2020	good	-82.00919	23.04419	CU
America/Costa_Rica	2012-10-26	good	-85.43772	10.63504	CR
Europe/Warsaw	2021-10-18	good	18.34717	54.60528	PL
America/El_Salvador	01 Oct 2016	good	-89.10944	13.70167	SV
Asia/Shanghai	02 Mar 2016	good	117.27583	35.64889	CN
America/Sao_Paulo	01/20/2016, 00:00:00	accep	-49.27306	-25.42778	BR
Europe/Sarajevo	2021/06/10	good	19.21437	44.75874	BA
Africa/Algiers	2019-07-18	maintenance	4.85668	36.27462	DZ
Europe/Madrid	16 Apr 2016	good	-2.77259	37.49073	ES
America/Martinique	2020/06/07	average	-60.94228	14.67751	MQ
America/Los_Angeles	25 Jul 2022	excellent	-116.21677	33.7207	US
Europe/Amsterdam	11/29/2014, 00:00:00	accep	5.2875	51.65333	NL
Europe/Paris	02/23/2016, 00:00:00	excellent	1.6	43.11667	FR
America/Port_of_Spain	03 Feb 2022	accep	-61.51889	10.66668	TT
Europe/Warsaw	05/10/2014, 00:00:00	average	18.34717	54.60528	PL
Africa/Lagos	2022-03-07	average	6.83042	6.15038	NG
Asia/Damascus	08/01/2020, 00:00:00	average	36.7138	35.95664	SY
Africa/Lagos	03/01/2022, 00:00:00	building	3.64633	6.8485	NG
Africa/Cairo	2017/11/23	maintenance	29.91582	31.20176	EG
America/Los_Angeles	2019/08/01	maintenance	-119.0376	34.21639	US
America/New_York	2015-04-16	good	-73.75513	40.60538	US
Europe/Berlin	01 Oct 2019	excellent	7.973	51.168	DE
America/Chicago	04/12/2014, 00:00:00	good	-91.58045	41.6764	US
America/New_York	11/24/2020, 00:00:00	accep	-82.32483	29.65163	US
Europe/Chisinau	2017-08-07	maintenance	28.28489	48.15659	MD
Europe/Paris	2017/12/23	excellent	1.00288	49.28669	FR
Asia/Baku	03/14/2015, 00:00:00	maitennce	45.36561	41.09246	AZ
Europe/Brussels	2020-02-19	maintenance	5.37429	51.03427	BE
Europe/Moscow	2019/05/26	excellent	43.67663	53.53041	RU
America/Bogota	10 Apr 2022	maintenance	-74.73584	5.20856	CO
America/Argentina/Buenos_Aires	09 Jan 2020	excellent	-58.38341	-34.64966	AR
Asia/Tokyo	08 Apr 2013	excellent	139.07204	36.24624	JP
Asia/Shanghai	02 Feb 2018	accep	105.89333	34.56861	CN
America/Costa_Rica	22 Jun 2017	building	-84.13722	9.92787	CR
Asia/Kolkata	2013/10/16	accep	72.85107	19.30157	IN
Europe/Oslo	04 May 2022	accep	16.54165	68.79833	NO
Asia/Jakarta	04/10/2015, 00:00:00	excellent	113.69785	-7.73379	ID
Asia/Shanghai	2020-08-21	building	122.22833	40.66482	CN
Asia/Karachi	2022/08/27	excellent	68.11759	26.9423	PK
Europe/Moscow	2018-10-22	excellent	36.73307	55.38752	RU
America/New_York	2021-09-24	accep	-78.87836	35.05266	US
Europe/Rome	02/25/2014, 00:00:00	good	14.34085	40.87363	IT
America/Los_Angeles	05/04/2016, 00:00:00	good	-116.21677	33.7207	US
Europe/Berlin	26 Apr 2015	accep	11.32903	50.9803	DE
America/Chicago	11/16/2018, 00:00:00	average	-91.58045	41.6764	US
Asia/Krasnoyarsk	2022-03-29	average	92.48278	58.23583	RU
Europe/Lisbon	2021/09/29	accep	-7.32097	41.1053	PT
Asia/Shanghai	26 Aug 2017	accep	117.81667	36.81667	CN
Asia/Shanghai	2020-01-22	good	111.73861	35.20889	CN
Asia/Kolkata	2013-11-27	excellent	88.58	23.18	IN
Asia/Makassar	2019-07-05	accep	118.9707	-3.5403	ID
America/New_York	2015-06-09	average	-75.64963	40.24537	US
Europe/Berlin	2015-11-09	building	9.72749	48.28259	DE
America/Sao_Paulo	2018/09/03	excellent	-49.27306	-25.42778	BR
Europe/Madrid	03/23/2017, 00:00:00	average	2.18247	41.41204	ES
Europe/Madrid	02/10/2019, 00:00:00	accep	1.10687	41.15612	ES
Asia/Yekaterinburg	03/16/2018, 00:00:00	accep	60.8019	56.9083	RU
Europe/Moscow	11/16/2015, 00:00:00	excellent	39.85331	57.30185	RU
Australia/Sydney	23 Mar 2020	good	150.60036	-34.88422	AU
Asia/Tokyo	19 Aug 2018	good	136.51667	35	JP
Africa/Maputo	2021/12/30	building	35.34722	-23.85972	MZ
Asia/Manila	2015/12/11	maintenance	120.57224	15.72892	PH
America/New_York	2022/03/04	accep	-76.51552	39.32011	US
Africa/Algiers	2012/10/10	excellent	1.04945	35.06544	DZ
Asia/Urumqi	2016-09-06	accep	86.00214	46.51872	CN
America/Los_Angeles	22 Aug 2019	building	-118.10583	34.09611	US
Asia/Kolkata	2021-06-17	building	76.35484	10.10649	IN
America/Bogota	10/21/2019, 00:00:00	excellent	-72.47417	7.83389	CO
Asia/Yekaterinburg	04 Oct 2015	good	60.8019	56.9083	RU
Europe/Moscow	2017-01-07	excellent	38.94324	44.98901	RU
Asia/Kolkata	04 Dec 2016	excellent	76.35484	10.10649	IN
America/Matamoros	2021/05/01	excellent	-97.50417	25.87972	MX
Europe/Kiev	2017/03/22	good	33.34864	46.75451	UA
Asia/Kolkata	2020-02-28	good	86.68363	23.49668	IN
Africa/Dar_es_Salaam	2013/09/11	building	35.7	-7.76667	TZ
America/Chicago	2020-08-19	good	-88.3162	42.24113	US
America/Havana	2014/06/05	excellent	-77.43532	20.14298	CU
Africa/Kampala	2013-07-26	excellent	32.88667	3.27833	UG
America/Los_Angeles	2013-11-23	building	-117.71978	34.09668	US
Australia/Perth	2014-11-03	excellent	115.8614	-31.95224	AU
Europe/Paris	2013-04-02	average	2.61667	48.98333	FR
America/Mexico_City	08/12/2021, 00:00:00	average	-97.35992	19.8173	MX
Europe/Rome	2016/11/19	maintenance	17.80774	40.55851	IT
America/New_York	02 Jun 2019	accep	-73.99681	40.94065	US
Europe/Zaporozhye	2019/02/01	excellent	38.15035	49.41029	UA
Europe/London	2019/11/10	excellent	-3.05814	53.00974	GB
Africa/Tripoli	2018/10/05	accep	10.18003	24.96334	LY
Asia/Seoul	09/04/2020, 00:00:00	building	128.62667	34.8825	KR
Africa/Dar_es_Salaam	17 Jun 2016	building	37.00438	-7.60361	TZ
Europe/Paris	2015-11-08	excellent	5.16108	48.77275	FR
Europe/Amsterdam	09/03/2021, 00:00:00	maintenance	5.51978	51.44889	NL
Asia/Kolkata	11/26/2013, 00:00:00	good	76.11996	11.12018	IN
Europe/Paris	16 Apr 2015	accep	4.91667	45.73333	FR
America/Lima	2021-10-29	average	-76.70944	-11.94306	PE
America/New_York	2021/08/06	average	-74.38987	40.65538	US
Asia/Kolkata	2013/06/30	accep	75.35927	12.04161	IN
Europe/Istanbul	14 Aug 2014	accep	27.18052	39.12074	TR
Asia/Kolkata	01 Feb 2014	building	77.40858	24.05979	IN
Europe/Paris	2018/03/16	accep	2.61667	48.98333	FR
America/Sao_Paulo	2016-08-28	maintenance	-52.51028	-28.81833	BR
Asia/Tokyo	13 Dec 2014	accep	137.4	34.81667	JP
America/New_York	2016-03-20	average	-72.27814	42.93369	US
Asia/Kolkata	04/21/2018, 00:00:00	accep	76.03889	18.18158	IN
Asia/Tokyo	2022-03-09	maintenance	138.89585	36.33011	JP
Africa/Accra	2021-11-12	excellent	-2.31938	6.46346	GH
America/New_York	11/23/2019, 00:00:00	average	-76.43941	39.33427	US
Asia/Tokyo	2022-08-31	maintenance	140.73667	41.77583	JP
America/New_York	24 Jul 2013	good	-73.89125	40.67705	US
Asia/Jerusalem	09/19/2013, 00:00:00	building	34.75699	31.39547	IL
Asia/Tehran	2018-02-26	average	51.67462	32.65246	IR
Africa/Nairobi	02/03/2019, 00:00:00	maintenance	34.11169	0.46005	KE
Africa/Douala	26 Mar 2018	excellent	9.00472	4.2475	CM
Europe/Berlin	2018/07/20	excellent	9.17702	48.78232	DE
America/Chicago	06/27/2018, 00:00:00	accep	-88.70464	34.25807	US
America/Chicago	29 Aug 2015	good	-97.90308	31.12406	US
Indian/Antananarivo	01/22/2018, 00:00:00	good	44.53333	-22.9	MG
Asia/Aden	01/07/2021, 00:00:00	accep	46.83187	14.53767	YE
Africa/Johannesburg	2019/08/28	excellent	30.79165	-27.76952	ZA
America/New_York	2013/09/18	accep	-81.77285	28.54944	US
America/Santarem	10 Jun 2014	excellent	-52.20639	-3.20333	BR
Asia/Jakarta	2021/05/19	building	113.69785	-7.73379	ID
America/Menominee	22 Jan 2015	maintenance	-88.64235	46.09273	US
Europe/Vilnius	2018/12/30	average	24.75	55.25	LT
Africa/Dar_es_Salaam	18 Oct 2021	good	38.01667	-5.41667	TZ
Asia/Jakarta	01/08/2016, 00:00:00	accep	98.6738	3.7278	ID
America/New_York	2018-07-09	excellent	-82.32483	29.65163	US
Africa/Lagos	2015-10-07	building	5.06258	7.50251	NG
America/Merida	14 Sep 2015	excellent	-89.66123	21.28306	MX
Asia/Shanghai	2019/12/24	average	122.20488	29.98869	CN
Europe/Amsterdam	2013/06/03	building	6.92917	52.31333	NL
Africa/Bangui	2013/11/18	excellent	15.87735	4.94273	CF
Europe/London	08 Aug 2013	maintenance	-2.01111	52.66277	GB
Europe/Moscow	2019/12/09	average	37.92792	53.93361	RU
Asia/Shanghai	2013/03/23	excellent	117.33333	34.85	CN
Europe/Berlin	2013/07/18	accep	10.30215	53.94313	DE
America/Los_Angeles	11/15/2016, 00:00:00	good	-122.23484	47.38093	US
America/Chicago	05/28/2021, 00:00:00	excellent	-93.12577	44.73941	US
Europe/Rome	12/18/2019, 00:00:00	accep	7.60872	43.78956	IT
Asia/Kolkata	03/18/2022, 00:00:00	accep	79.82979	11.93381	IN
America/Chicago	11/05/2019, 00:00:00	excellent	-95.63079	31.76212	US
Asia/Kolkata	2012-11-14	good	74.85849	31.28092	IN
America/New_York	2017-11-01	excellent	-82.32483	29.65163	US
Europe/Paris	20 May 2017	accep	1.6	43.11667	FR
Europe/Belgrade	2017/08/12	maintenance	19.61222	44.97639	RS
Europe/Zaporozhye	2014-06-09	accep	38.15035	49.41029	UA
Asia/Shanghai	2014-06-27	building	105.89333	34.56861	CN
America/Los_Angeles	2015-08-13	good	-120.43572	34.95303	US
Africa/Abidjan	2017-07-19	average	-5.682	5.84752	CI
Africa/Nairobi	14 Jul 2018	accep	34.11169	0.46005	KE
America/Chicago	2016/03/06	excellent	-93.263	45.0408	US
Europe/Rome	2020/12/20	maintenance	15.07041	37.49223	IT
Asia/Yekaterinburg	2018-10-06	accep	59.4839	58.7002	RU
Europe/Moscow	29 Jan 2016	excellent	40.17171	58.1908	RU
Asia/Kolkata	2015/12/25	accep	84.13864	22.88783	IN
America/Sao_Paulo	2019/12/28	building	-46.99583	-22.97056	BR
Asia/Ho_Chi_Minh	12/07/2013, 00:00:00	good	105.75635	10.29085	VN
Europe/Berlin	08/22/2016, 00:00:00	building	9.5926	52.86147	DE
Europe/Lisbon	12 Jul 2017	average	-8.33147	41.20485	PT
Europe/London	2022/06/17	average	-1.99421	51.35084	GB
America/New_York	2018-09-04	accep	-74.01042	41.50343	US
America/Caracas	03/13/2013, 00:00:00	excellent	-68.30472	9.91861	VE
Africa/Dar_es_Salaam	2021-02-27	good	29.65806	-4.83	TZ
Europe/Berlin	06/20/2016, 00:00:00	good	13.31783	52.61131	DE
Europe/Moscow	15 Oct 2017	average	46.5813	54.8421	RU
Africa/Accra	04/04/2015, 00:00:00	accep	-1.4001	7.06273	GH
America/Los_Angeles	05/07/2016, 00:00:00	building	-123.02621	44.99012	US
Asia/Kolkata	10 May 2017	good	75.35927	12.04161	IN
Asia/Kolkata	2013/07/21	good	78.27539	12.95629	IN
Asia/Manila	2016/05/15	building	121.96361	6.95194	PH
America/Bahia	15 Apr 2017	building	-38.94722	-15.675	BR
America/Port_of_Spain	01 Apr 2016	accep	-61.51889	10.66668	TT
Asia/Dhaka	27 Jan 2019	building	91.84128	22.83957	BD
Europe/Paris	2013-11-22	maintenance	2.25	50.75	FR
Asia/Karachi	2015/09/28	average	68.88871	25.95533	PK
Asia/Yekaterinburg	08 Jan 2022	average	69.49015	56.11281	RU
America/New_York	17 Jan 2019	average	-72.86843	41.27621	US
Asia/Kolkata	2021-02-16	average	88.18466	22.19303	IN
Africa/Tunis	2013-05-04	excellent	10.58082	35.72917	TN
America/Chicago	08/30/2014, 00:00:00	excellent	-91.58045	41.6764	US
Asia/Jakarta	05/27/2021, 00:00:00	average	110.71639	-7.54972	ID
Africa/Maputo	2012/12/13	maintenance	35.34722	-23.85972	MZ
Asia/Jakarta	11/10/2012, 00:00:00	accep	103.61667	-1.6	ID
Asia/Kolkata	17 Jan 2017	building	91.61356	26.44931	IN
Europe/Rome	2017-12-11	maintenance	13.44275	38.07789	IT
Asia/Kolkata	2022/06/21	excellent	74.83554	14.62072	IN
Asia/Kolkata	2017/06/15	good	72.68533	22.75218	IN
America/Port-au-Prince	03/24/2017, 00:00:00	excellent	-72.22625	18.57677	HT
America/Los_Angeles	30 May 2013	good	-117.23991	47.64995	US
Europe/Madrid	21 Oct 2017	maintenance	1.10687	41.15612	ES
Europe/Paris	2015/02/15	accep	2.29275	48.79325	FR
America/New_York	01/12/2022, 00:00:00	good	-83.2321	33.08014	US
Asia/Jakarta	19 Oct 2016	average	112.01667	-7.81667	ID
Europe/Sarajevo	02/07/2021, 00:00:00	excellent	19.21437	44.75874	BA
Europe/Chisinau	24 Jan 2014	building	28.28489	48.15659	MD
Asia/Kolkata	2022-06-14	good	77.23826	11.50526	IN
Africa/Lubumbashi	21 Feb 2022	building	24.99798	-8.73508	CD
America/New_York	20 Mar 2018	excellent	-76.43941	39.33427	US
America/Argentina/Buenos_Aires	2015/02/11	average	-58.38341	-34.64966	AR
America/Santiago	06 Apr 2013	average	-71.19901	-30.60106	CL
Europe/Rome	15 Jul 2014	accep	8.55552	40.72586	IT
Africa/Kampala	01/03/2022, 00:00:00	accep	30.91105	3.02013	UG
Europe/Vilnius	25 Nov 2020	excellent	24.75	55.25	LT
America/New_York	2016-07-14	accep	-69.96533	43.91452	US
America/Havana	2019/06/10	average	-81.24441	23.15678	CU
America/Chicago	06 Jul 2021	good	-87.70172	41.72059	US
Asia/Kolkata	06 Apr 2015	good	77.9129	25.6439	IN
Europe/Paris	2012-12-02	maintenance	2.2469	48.90472	FR
Asia/Kolkata	2013/07/13	good	75.96976	15.73628	IN
Europe/London	2015/02/18	excellent	-1.5443	50.75767	GB
America/New_York	07/01/2016, 00:00:00	building	-78.87836	35.05266	US
Asia/Shanghai	2013-09-24	average	123.17306	41.27194	CN
Europe/Moscow	2021/05/04	maintenance	38.02486	55.64776	RU
Europe/Amsterdam	02/11/2021, 00:00:00	average	5.22778	51.955	NL
Asia/Kolkata	01/02/2017, 00:00:00	excellent	75.96976	15.73628	IN
Asia/Shanghai	11/14/2021, 00:00:00	good	123.17306	41.27194	CN
Europe/Moscow	05/11/2019, 00:00:00	accep	43.83992	55.39485	RU
Europe/London	10/13/2014, 00:00:00	accep	-0.2	51.65	GB
Africa/Tunis	2015/10/10	average	10.78222	36.46917	TN
Asia/Kolkata	09 Sep 2019	excellent	75.92694	14.46693	IN
Europe/Kiev	2018-03-23	accep	33.9162	51.67822	UA
America/Costa_Rica	05 Jan 2013	building	-85.43772	10.63504	CR
Europe/Minsk	09/14/2021, 00:00:00	maintenance	25.8191	53.5942	BY
Asia/Kabul	15 May 2013	maintenance	65.93249	36.21544	AF
America/Bogota	12/08/2014, 00:00:00	good	-74.95472	10.98778	CO
Europe/Paris	12/21/2017, 00:00:00	average	1.00288	49.28669	FR
Africa/Tripoli	09 Mar 2013	maitennce	10.18003	24.96334	LY
Africa/Kampala	30 Jul 2021	accep	30.98551	2.41669	UG
Europe/Rome	12/07/2020, 00:00:00	accep	14.30935	40.92298	IT
Asia/Kolkata	22 Oct 2019	excellent	83.97573	21.46527	IN
Asia/Shanghai	2017-05-11	building	118.53333	27.92333	CN
Europe/Paris	2022/02/18	good	-0.59543	44.80477	FR
Europe/Istanbul	11 Jan 2015	accep	41.00817	38.13708	TR
America/Detroit	11/22/2015, 00:00:00	excellent	-84.62081	42.7392	US
Europe/Minsk	09 Dec 2015	accep	30.2049	55.1904	BY
Europe/Moscow	2014-08-30	accep	36.73307	55.38752	RU
America/Santiago	2022/09/27	excellent	-70.6996	-33.59217	CL
America/Bogota	10 May 2014	maintenance	-74.73584	5.20856	CO
America/New_York	2014/10/17	excellent	-77.55777	37.52487	US
Europe/Moscow	12/11/2013, 00:00:00	good	39.85331	57.30185	RU
Asia/Kolkata	2020/07/13	accep	74.4818	30.21121	IN
America/Boise	31 Mar 2018	good	-116.56346	43.54072	US
America/Chicago	02/24/2015, 00:00:00	excellent	-97.92977	38.06084	US
America/Chicago	2012-10-11	good	-95.63079	31.76212	US
Europe/London	12/16/2021, 00:00:00	maintenance	-2.01111	52.66277	GB
Africa/Lagos	04/23/2021, 00:00:00	accep	4.92235	7.65649	NG
Europe/Madrid	05 Oct 2012	average	-1.86343	38.10558	ES
America/Los_Angeles	21 Dec 2013	average	-117.54866	33.93113	US
Europe/Moscow	2012/12/20	good	38.16694	54.84444	RU
America/Los_Angeles	2014-06-11	building	-123.02621	44.99012	US
Europe/Amsterdam	2019-01-08	average	6.92917	52.31333	NL
America/Los_Angeles	08/08/2017, 00:00:00	excellent	-122.40433	37.71715	US
Africa/Cairo	01 Nov 2018	good	29.91582	31.20176	EG
Indian/Antananarivo	2013-02-20	average	46.58333	-21.15	MG
Europe/Madrid	2018/07/08	building	-4.10734	38.68712	ES
Asia/Tokyo	2019-10-29	average	138.31667	36.65	JP
Europe/Rome	28 Dec 2015	good	12.38878	43.1122	IT
Europe/London	2018-04-10	average	-1.29243	53.49389	GB
America/Panama	08/14/2022, 00:00:00	average	-79.62098	9.15093	PA
Europe/Kiev	2013/04/04	excellent	30.96755	49.07866	UA
Asia/Kolkata	17 Dec 2018	excellent	72.85107	19.30157	IN
Europe/Helsinki	2017/12/17	excellent	24.6522	60.2052	FI
Asia/Karachi	08/12/2017, 00:00:00	excellent	72.54566	29.69221	PK
Europe/Berlin	15 Oct 2019	good	7.11393	51.08468	DE
Europe/London	2021-07-21	accep	-4.21376	55.82885	GB
Europe/Moscow	01/23/2021, 00:00:00	maintenance	34.34691	61.78491	RU
Europe/Paris	2021/07/18	maintenance	2.08333	48.86667	FR
Asia/Kolkata	2015/01/01	average	84.63445	24.81757	IN
Asia/Manila	22 Jun 2016	excellent	121.3152	14.14989	PH
Asia/Vladivostok	12/27/2016, 00:00:00	excellent	140.72287	53.14657	RU
Asia/Shanghai	12 Jul 2018	excellent	122.20488	29.98869	CN
America/Chicago	09 Sep 2018	accep	-87.93341	42.55308	US
Europe/Paris	2015-03-03	accep	4.7934	45.69558	FR
Asia/Shanghai	2021-08-29	excellent	120.74792	41.09822	CN
Pacific/Efate	2019/01/13	accep	168.31366	-17.73648	VU
Europe/Paris	2016-05-04	good	2.08333	48.86667	FR
America/Argentina/Cordoba	05 Nov 2012	good	-60.93173	-31.4488	AR
Africa/Khartoum	21 May 2021	good	34.3869	11.8659	SD
Europe/Moscow	2015/03/13	excellent	36.73307	55.38752	RU
Europe/Berlin	2013-02-10	accep	8.61839	49.68369	DE
Asia/Shanghai	06/16/2017, 00:00:00	accep	117.65694	36.19278	CN
Asia/Tokyo	17 Apr 2016	accep	140.11667	37.56667	JP
Australia/Sydney	11/06/2016, 00:00:00	excellent	151.08057	-33.79176	AU
Europe/Moscow	27 Dec 2020	good	33.72798	53.53395	RU
Asia/Phnom_Penh	05/30/2016, 00:00:00	excellent	102.56365	13.65805	KH
Europe/Rome	2017/09/28	excellent	9.29109	45.39402	IT
Europe/Madrid	25 Oct 2016	accep	-3.53261	40.42386	ES
Europe/London	21 Aug 2014	average	0.47713	51.39323	GB
America/Detroit	2013-10-20	average	-82.42491	42.97086	US
America/Glace_Bay	25 Oct 2016	average	-60.1831	46.1351	CA
Europe/Berlin	17 Jul 2021	building	10.98461	48.35693	DE
Europe/Vienna	06 Jan 2021	good	16.4	48.25	AT
Asia/Kolkata	2013-12-02	good	79.41727	12.25282	IN
Asia/Jakarta	2014-05-26	average	104.09701	-1.26424	ID
Europe/Moscow	08/30/2013, 00:00:00	good	33.72798	53.53395	RU
America/New_York	05/12/2016, 00:00:00	maitennce	-71.29144	41.54566	US
Asia/Shanghai	2020-09-22	maintenance	116.11768	24.28859	CN
Asia/Shanghai	2014/12/17	excellent	120.33063	37.65181	CN
America/Chicago	17 Apr 2018	accep	-102.36764	31.84568	US
