location	revision	latitude	longitude	QoS	station
Europe/Amsterdam	2019/10/08	52.26083	7.00417	average	Losser
America/Guayaquil	2013-12-20	-2.90055	-79.00453	excellent	Cuenca
America/New_York	26 Sep 2013	40.68066	-73.47429	accep	Massapequa
Europe/Paris	2017/06/17	48.90982	2.45012	average	Bobigny
Asia/Shanghai	2016/05/09	23.73333	114.68333	good	Heyuan
America/New_York	2012/11/09	28.90054	-81.26367	accep	Deltona
America/Mexico_City	12/31/2014, 00:00:00	19.32889	-99.32556	excellent	San Lorenzo Acopilco
Europe/Warsaw	08 Dec 2012	54.60528	18.34717	excellent	Reda
Europe/Lisbon	2013-09-15	37.08819	-8.2503	maintenance	Albufeira
America/Chicago	2015/04/11	38.58894	-89.99038	accep	Fairview Heights
America/Los_Angeles	2017/03/01	33.95015	-118.03917	excellent	South Whittier
Asia/Karachi	24 Feb 2018	30.29184	71.67164	building	Qadirpur Ran
Europe/Moscow	2014-07-07	57.97472	33.2525	accep	Valday
Asia/Shanghai	2020/03/17	27.34089	117.4831	accep	Shaowu
Europe/Madrid	09 Apr 2018	42.64685	-5.55835	average	Villaquilambre
Asia/Kolkata	2020/11/04	25.75728	75.37991	accep	Deoli
Europe/Amsterdam	07/22/2015, 00:00:00	52.09	5.23333	building	Zeist
America/Sao_Paulo	04 Oct 2020	-20.25333	-43.80139	accep	Itabirito
America/New_York	2014-11-13	40.82232	-74.15987	building	Nutley
America/Chicago	2017-06-09	32.52515	-93.75018	average	Shreveport
Asia/Karachi	2014-05-27	25.95533	68.88871	maintenance	Jhol
Europe/Berlin	2017-05-19	52.53048	13.29371	building	Charlottenburg-Nord
America/Toronto	02 Sep 2014	45.44868	-73.81669	good	Pointe-Claire
America/Indiana/Indianapolis	11 Jan 2013	41.75338	-86.11084	good	Granger
Africa/Porto-Novo	2018-10-14	8.88649	2.59753	building	Tchaourou
Asia/Shanghai	2018-11-11	36.19278	117.65694	good	Laiwu
Asia/Yekaterinburg	2017/11/06	60.97944	76.92421	excellent	Izluchinsk
America/New_York	10/13/2017, 00:00:00	41.9001	-71.08977	good	Taunton
America/New_York	2015-10-31	39.96097	-75.60804	maintenance	West Chester
Europe/Moscow	2021-11-19	42.819	47.1192	excellent	Buynaksk
Europe/Berlin	05 Oct 2012	48.06919	11.37703	good	Gauting
Indian/Reunion	07/02/2014, 00:00:00	-20.88231	55.4504	good	Saint-Denis
Africa/Monrovia	2020-01-15	7.57944	-8.53778	good	New Yekepa
America/Chicago	2013-12-25	30.5427	-97.54667	accep	Hutto
Europe/Skopje	2015-07-21	41.92361	20.91361	maintenance	Bogovinje
Europe/London	12/18/2019, 00:00:00	50.7236	-3.52751	building	Exeter
America/Chicago	07/31/2014, 00:00:00	45.16024	-93.08883	building	Lino Lakes
Africa/Dar_es_Salaam	02/23/2019, 00:00:00	-6.8	39.25	average	Magomeni
America/Chicago	26 Aug 2020	40.56754	-89.64066	accep	Pekin
Africa/Addis_Ababa	12/11/2017, 00:00:00	11.85	38.01667	average	Debre Tabor
Europe/Berlin	2014/04/25	51.20219	7.36027	average	Radevormwald
Asia/Karachi	04/25/2015, 00:00:00	30.29184	71.67164	accep	Qadirpur Ran
Europe/Paris	2020/10/05	48.90472	2.2469	average	La Garenne-Colombes
America/Managua	2014-12-12	13.48082	-86.58208	accep	Somoto
Asia/Kolkata	2016-09-26	9.57046	76.32756	excellent	Kalavoor
Indian/Reunion	04 Jul 2020	-20.88231	55.4504	excellent	Saint-Denis
Europe/Skopje	17 Jul 2020	42	21.32778	excellent	Saraj
Asia/Bangkok	2018/06/12	13.51825	99.95469	average	Damnoen Saduak
Asia/Kolkata	19 Sep 2021	12.95629	78.27539	accep	Robertsonpet
Africa/Dar_es_Salaam	07/28/2019, 00:00:00	-6.25	38.66667	accep	Mvomero
Europe/Paris	19 Mar 2014	44.80477	-0.59543	accep	Talence
Asia/Ho_Chi_Minh	2019-07-27	10.29085	105.75635	good	Sa Dec
Europe/Madrid	2021/10/28	37.13548	-3.67029	accep	Las Gabias
America/New_York	04 Dec 2015	42.52787	-70.92866	excellent	Peabody
Europe/Berlin	2021-10-11	52.86147	9.5926	accep	Walsrode
America/Guayaquil	2022/01/02	-2.90055	-79.00453	maintenance	Cuenca
America/New_York	2018/02/16	38.96372	-76.99081	building	Chillum
America/Los_Angeles	2020-12-28	45.53929	-122.38731	building	Troutdale
Europe/Berlin	2019/05/27	52.21099	7.02238	building	Gronau
America/Los_Angeles	2017/12/24	33.92946	-116.97725	average	Beaumont
America/Los_Angeles	22 Oct 2017	44.99012	-123.02621	excellent	Keizer
Europe/Chisinau	21 Mar 2020	48.15659	28.28489	accep	Soroca
Europe/Moscow	05 Mar 2015	43.96222	43.63417	good	Novopavlovsk
Europe/Rome	2020-05-19	37.49223	15.07041	accep	Catania
America/Chicago	2014/09/28	30.16688	-96.39774	excellent	Brenham
Asia/Kolkata	2015-10-11	23.49668	86.68363	maintenance	Adra
Asia/Baku	06/20/2018, 00:00:00	41.09246	45.36561	excellent	Qazax
Asia/Shanghai	08/30/2015, 00:00:00	45.35	126.28333	average	Shuangcheng
Asia/Shanghai	2022-08-09	37.19723	122.05228	excellent	Tianfu
America/Santiago	2018/06/11	-33.59217	-70.6996	accep	San Bernardo
Europe/Rome	2014/07/28	37.49223	15.07041	excellent	Catania
Asia/Jerusalem	2013/12/31	31.39547	34.75699	good	Rahat
Europe/Berlin	2015-06-05	51.04962	12.1369	accep	Zeitz
Europe/Madrid	2013/09/01	43.48961	-8.2194	accep	Ferrol
America/Toronto	2020-07-10	45.44868	-73.81669	excellent	Pointe-Claire
Asia/Yekaterinburg	12/22/2018, 00:00:00	51.4781	57.3552	accep	Kuvandyk
America/New_York	26 Sep 2013	41.27621	-72.86843	good	East Haven
America/New_York	13 May 2019	38.96372	-76.99081	good	Chillum
America/Sao_Paulo	2021/11/07	-21.41222	-42.19667	maitennce	Miracema
America/Sao_Paulo	23 Jun 2020	-21.41222	-42.19667	accep	Miracema
America/Bogota	04/27/2018, 00:00:00	4.73245	-74.26419	average	Madrid
Europe/Moscow	2014-04-11	54.90083	38.07083	average	Stupino
Africa/Accra	09 Jan 2022	7.06273	-1.4001	average	Mampong
Europe/Amsterdam	03/18/2019, 00:00:00	52.09	5.23333	building	Zeist
America/Los_Angeles	01/14/2018, 00:00:00	34.09611	-118.10583	good	San Gabriel
Europe/Berlin	12/24/2021, 00:00:00	52.21099	7.02238	good	Gronau
America/Los_Angeles	2015-09-16	34.09611	-118.10583	accep	San Gabriel
Asia/Colombo	2012-10-19	6.84019	79.87116	average	Dehiwala-Mount Lavinia
Europe/London	2020-05-07	57.47908	-4.22398	good	Inverness
Europe/Moscow	2017-02-27	54.8421	46.5813	good	Alatyr’
Europe/Istanbul	22 Mar 2014	39.12074	27.18052	average	Bergama
America/New_York	2015/10/13	41.54566	-71.29144	average	Middletown
Asia/Shanghai	07/26/2018, 00:00:00	34.85	117.33333	accep	Taozhuang
America/Chicago	16 Aug 2014	41.85059	-87.882	good	Westchester
America/New_York	01 Jan 2018	39.33427	-76.43941	excellent	Middle River
Africa/Luanda	2017/09/05	-11.78333	19.91667	good	Luena
America/Sao_Paulo	2015/07/19	-25.42944	-50.00639	good	Palmeira
Asia/Kolkata	2013-05-13	26.11527	86.59509	accep	Supaul
Europe/Berlin	2012-12-29	49.5099	6.74549	average	Losheim
Europe/London	09 Jun 2020	51.26	-2.1875	average	Westbury
Europe/Paris	03/13/2022, 00:00:00	43.71032	-1.05366	maintenance	Dax
Europe/Istanbul	23 Nov 2021	39.12074	27.18052	maintenance	Bergama
Asia/Kolkata	07 Jul 2022	25.92127	86.79271	excellent	Madhipura
Europe/Rome	2020-01-12	42.67164	14.01481	average	Roseto degli Abruzzi
America/Argentina/Cordoba	02/08/2019, 00:00:00	-31.4488	-60.93173	excellent	Esperanza
Europe/Berlin	09/28/2018, 00:00:00	51.168	7.973	building	Finnentrop
Europe/Istanbul	12/25/2017, 00:00:00	37.31309	40.74357	building	Mardin
Africa/Mogadishu	2017-06-02	9.89206	43.38531	average	Baki
America/Detroit	15 Sep 2022	42.97086	-82.42491	building	Port Huron
Asia/Baghdad	05/18/2021, 00:00:00	32.61603	44.02488	good	Karbala
Europe/Rome	15 Sep 2017	40.87363	14.34085	building	Volla
America/New_York	23 Jul 2013	40.72816	-74.07764	maintenance	Jersey City
Europe/Paris	15 Dec 2018	41.91886	8.73812	good	Ajaccio
Europe/Berlin	2019-10-19	51.04962	12.1369	average	Zeitz
Europe/Brussels	03 Jan 2020	50.8	3.16667	good	Wevelgem
America/New_York	2022-02-10	41.16704	-73.20483	average	Bridgeport
America/New_York	2014-03-07	26.2173	-80.22588	excellent	North Lauderdale
Indian/Antananarivo	2016-01-22	-17.83333	48.41667	good	Ambatondrazaka
America/Managua	2020/11/18	11.84962	-86.19903	accep	Jinotepe
Asia/Ho_Chi_Minh	2020-01-01	10.29085	105.75635	accep	Sa Dec
America/New_York	2021-04-07	41.9001	-71.08977	building	Taunton
Asia/Karachi	15 May 2022	31.82539	72.54064	good	Sillanwali
Asia/Kolkata	2021/08/19	22.10194	85.37752	good	Barbil
America/Chicago	29 Mar 2014	41.57721	-93.71133	good	West Des Moines
Europe/Madrid	26 Jan 2020	40.42386	-3.53261	good	San Fernando de Henares
America/Chicago	2020-09-25	40.56754	-89.64066	excellent	Pekin
Europe/Rome	04/26/2013, 00:00:00	41.72063	12.6723	accep	Ariccia
Europe/Berlin	2014-07-11	50.09019	8.4493	maintenance	Hofheim am Taunus
Asia/Baku	2022-04-30	38.45598	48.87498	accep	Astara
Asia/Yekaterinburg	2016-11-06	51.78771	56.36091	average	Saraktash
America/Indiana/Indianapolis	05/14/2020, 00:00:00	39.78504	-85.76942	building	Greenfield
America/Lima	11 Oct 2015	-16.25	-69.08333	average	Yunguyo
Asia/Kolkata	2016-07-07	26.11527	86.59509	building	Supaul
America/Santarem	2021-11-25	-3.20333	-52.20639	average	Altamira
America/Sao_Paulo	05/27/2018, 00:00:00	-21.42917	-45.94722	average	Alfenas
Pacific/Auckland	2017/07/08	-38.65333	178.00417	maintenance	Gisborne
Australia/Melbourne	29 Mar 2022	-37.88333	145.06667	maitennce	Carnegie
America/Maceio	11/10/2017, 00:00:00	-10.91722	-37.65	accep	Lagarto
Europe/Rome	06/22/2022, 00:00:00	40.87363	14.34085	average	Volla
America/Mexico_City	27 Jan 2018	17.06542	-96.72365	accep	Oaxaca
America/Toronto	05 Sep 2020	43.86682	-79.2663	average	Markham
Asia/Kolkata	2022-09-27	25.87498	86.59611	excellent	Saharsa
Asia/Kolkata	2020/12/15	33.37526	74.3092	accep	Rajaori
America/Mexico_City	04 Jun 2018	16.75973	-93.11308	excellent	Tuxtla
America/New_York	18 Mar 2017	39.32011	-76.51552	excellent	Rosedale
Europe/Moscow	2022/01/20	54.84444	38.16694	accep	Kashira
America/Caracas	2013-03-15	8.62261	-70.20749	good	Barinas
Africa/Nairobi	27 Nov 2015	0.46005	34.11169	good	Busia
Africa/Lagos	2020/01/20	7.65649	4.92235	maintenance	Efon-Alaaye
Europe/Istanbul	2016/09/09	37.58105	29.26639	average	Serinhisar
America/Argentina/Buenos_Aires	2018/09/02	-37.32167	-59.13316	building	Tandil
Europe/Berlin	07/13/2021, 00:00:00	52.21099	7.02238	accep	Gronau
Asia/Kolkata	03/24/2017, 00:00:00	21.59983	71.21169	accep	Amreli
America/New_York	2019/03/12	34.06635	-84.67837	excellent	Acworth
Europe/Rome	2015-02-19	45.9836	12.70038	accep	Cordenons
Asia/Kolkata	13 Sep 2018	30.81383	75.16878	good	Moga
Asia/Kolkata	12/27/2019, 00:00:00	22.88783	84.13864	accep	Jashpurnagar
Europe/Andorra	2020/08/10	42.50729	1.53414	building	les Escaldes
Europe/London	2021-11-13	51.65	-0.2	good	Barnet
Africa/Gaborone	2016/08/16	-21.44236	27.46153	excellent	Tonota
America/Los_Angeles	2013-08-24	34.63915	-120.45794	good	Lompoc
Africa/Nairobi	2021/01/31	3.11988	35.59642	good	Lodwar
Europe/Amsterdam	2018-04-04	52.26083	7.00417	good	Losser
Europe/Helsinki	2020-05-11	65.84811	24.14662	acceptable	Tornio
America/Los_Angeles	03/12/2019, 00:00:00	32.9156	-117.14392	good	Mira Mesa
Australia/Brisbane	2014-09-17	-27.50578	153.10236	average	Carindale
America/Matamoros	2013/11/24	25.87972	-97.50417	building	Heroica Matamoros
Asia/Shanghai	2015/09/30	46.08333	122.08333	good	Ulanhot
Europe/Lisbon	05/23/2018, 00:00:00	41.1053	-7.32097	good	Custoias
Europe/Moscow	2022/09/08	60.02427	30.28491	average	Kolomyagi
Asia/Dhaka	26 Jun 2016	22.83957	91.84128	good	Manikchari
Asia/Yekaterinburg	25 Nov 2012	55.75556	60.70278	maintenance	Ozersk
America/Mexico_City	06/29/2018, 00:00:00	20.22816	-103.5687	good	Zacoalco de Torres
Australia/Sydney	21 Mar 2020	-33.75881	150.99292	maintenance	Baulkham Hills
Asia/Shanghai	11/04/2014, 00:00:00	30.35028	112.19028	average	Jingzhou
Europe/Madrid	02 May 2016	37.35813	-6.03731	average	San Juan de Aznalfarache
Asia/Kuching	2013-07-28	5.90702	116.10146	excellent	Donggongon
Asia/Shanghai	14 Aug 2017	30.35028	112.19028	average	Jingzhou
Asia/Tehran	21 Aug 2019	32.65246	51.67462	good	Isfahan
Africa/Tunis	07/22/2022, 00:00:00	36.08497	9.37082	good	Siliana
America/Mexico_City	10/30/2017, 00:00:00	16.75973	-93.11308	average	Tuxtla
Europe/Madrid	2017-04-20	41.63976	2.35739	average	Cardedeu
Asia/Manila	2020-02-27	10.20898	123.758	excellent	Naga
Asia/Shanghai	2017-05-03	34.65918	109.22921	excellent	Yanliang
Europe/Minsk	06/13/2015, 00:00:00	55.1904	30.2049	excellent	Vitebsk
Asia/Irkutsk	2022-01-27	51.82721	107.60627	excellent	Ulan-Ude
Asia/Yekaterinburg	2021-09-12	54.48147	53.47103	accep	Oktyabr’skiy
America/Mexico_City	21 Sep 2022	19.32932	-98.1664	maintenance	Contla
Europe/Madrid	01/08/2015, 00:00:00	42.64685	-5.55835	excellent	Villaquilambre
Europe/Berlin	05/16/2016, 00:00:00	51.168	7.973	good	Finnentrop
America/New_York	05/14/2015, 00:00:00	43.16547	-77.70066	good	Gates-North Gates
America/Recife	2018-03-22	-8.66667	-35.71667	good	Catende
Europe/Berlin	10/13/2019, 00:00:00	48.46458	9.22796	average	Pfullingen
Europe/Kiev	01/03/2014, 00:00:00	49.07866	30.96755	good	Zvenihorodka
America/New_York	05/28/2020, 00:00:00	42.35843	-71.05977	maintenance	Boston
Europe/Berlin	14 Feb 2017	49.68369	8.61839	excellent	Bensheim
Europe/Paris	2019/06/12	48.77644	2.29026	accep	Sceaux
Asia/Shanghai	2020/08/16	35.64889	117.27583	good	Sishui
Africa/Monrovia	2018-12-29	7.57944	-8.53778	excellent	New Yekepa
Asia/Karachi	06/23/2020, 00:00:00	32.17629	75.06583	good	Fazilpur
Indian/Antananarivo	2013-07-14	-21.15	46.58333	average	Ikalamavony
Asia/Kolkata	07/25/2013, 00:00:00	10.12268	77.54372	excellent	Periyakulam
Asia/Jerusalem	04 Feb 2019	31.92923	34.86563	maintenance	Ramla
America/New_York	2015-04-10	40.5576	-74.28459	accep	Woodbridge
Europe/Minsk	2013/10/17	52.4089	31.3237	good	Dobrush
Australia/Sydney	09/15/2021, 00:00:00	-34.28853	146.05093	accep	Griffith
America/Vancouver	11/23/2014, 00:00:00	49.88307	-119.48568	average	Kelowna
America/Chicago	2020/11/29	41.80753	-87.65644	excellent	New City
America/Bogota	2017-07-17	6.46838	-73.26022	accep	Socorro
Asia/Tokyo	03 Jan 2014	35.8	137.23333	accep	Gero
Europe/Berlin	12/20/2013, 00:00:00	50.82709	6.9747	excellent	Wesseling
Asia/Jakarta	2019/06/26	-1.26424	104.09701	excellent	Simpang
Asia/Tokyo	2022/08/15	35.8	137.23333	excellent	Gero
Europe/Berlin	07/05/2022, 00:00:00	52.21099	7.02238	good	Gronau
Asia/Tokyo	08/24/2020, 00:00:00	37.56667	140.11667	average	Inawashiro
Africa/Tunis	01/16/2015, 00:00:00	36.08497	9.37082	good	Siliana
Asia/Tokyo	2013/02/21	37.56667	140.11667	good	Inawashiro
America/Chicago	01/28/2013, 00:00:00	32.44874	-99.73314	excellent	Abilene
Asia/Hebron	24 Jun 2019	31.78336	35.23388	excellent	East Jerusalem
America/New_York	09/18/2018, 00:00:00	41.27621	-72.86843	maintenance	East Haven
Europe/Dublin	2018/09/07	53.43333	-7.95	excellent	Athlone
Asia/Manila	2013/01/16	14.8361	120.97844	good	Guyong
America/Fortaleza	2015/11/18	-4.42472	-41.45861	accep	Pedro II
America/New_York	12 Nov 2019	40.72371	-73.95097	accep	Greenpoint
Asia/Jakarta	24 Apr 2017	-7.54972	110.71639	building	Ngemplak
America/Vancouver	2019-01-07	49.88307	-119.48568	excellent	Kelowna
Africa/Accra	2014/09/04	6.46346	-2.31938	good	Bibiani
Europe/Berlin	02/04/2013, 00:00:00	53.94313	10.30215	accep	Bad Segeberg
Europe/Kiev	2021-08-16	46.65581	32.6178	accep	Kherson
Europe/Lisbon	2018/02/15	37.08819	-8.2503	good	Albufeira
America/New_York	2014/01/22	40.24537	-75.64963	excellent	Pottstown
Europe/Paris	2018-05-25	44.92801	4.8951	excellent	Valence
Asia/Karachi	2015-12-24	31.82539	72.54064	average	Sillanwali
America/Lima	15 Dec 2020	-11.94306	-76.70944	excellent	Chosica
America/Recife	2018/10/22	-8.66667	-35.71667	accep	Catende
Europe/Rome	2022-04-26	45.44694	8.62118	excellent	Novara
America/Chicago	01 Apr 2017	37.95143	-91.77127	building	Rolla
Asia/Kolkata	2014/01/25	26.32293	91.00632	accep	Barpeta
Asia/Urumqi	2018/04/06	46.51872	86.00214	good	Hoxtolgay
Africa/Kampala	2015-01-26	3.27833	32.88667	maintenance	Kitgum
Europe/London	2021-02-09	53.00974	-3.05814	excellent	Rhosllanerchrugog
Asia/Bangkok	27 Jun 2020	16.0567	103.65309	excellent	Roi Et
America/Chicago	2015-11-23	35.74788	-95.36969	excellent	Muskogee
America/New_York	2012/11/23	41.0051	-73.78458	good	Scarsdale
Europe/Prague	07 Sep 2019	50.50301	13.63617	building	Most
America/Los_Angeles	2014/01/10	44.99012	-123.02621	accep	Keizer
Asia/Jakarta	06 Oct 2017	-7.54972	110.71639	excellent	Ngemplak
Africa/Algiers	2017-01-16	35.21222	2.31889	average	Ksar Chellala
America/New_York	2015-06-17	41.16704	-73.20483	accep	Bridgeport
Africa/Casablanca	06 Dec 2012	33.92866	-6.90656	good	Temara
Africa/Dar_es_Salaam	2018/11/25	-7.76667	35.7	good	Iringa
America/New_York	05/25/2014, 00:00:00	41.27621	-72.86843	good	East Haven
America/New_York	27 Mar 2016	27.71809	-82.35176	good	Sun City Center
Asia/Shanghai	2017/01/29	29.98869	122.20488	accep	Zhoushan
Europe/Berlin	07 Dec 2016	50.72043	11.34046	maintenance	Rudolstadt
Europe/Moscow	05/08/2021, 00:00:00	53.95278	32.86389	average	Roslavl’
America/Lima	2021/03/19	-16.25	-69.08333	excellent	Yunguyo
Asia/Yekaterinburg	04 Mar 2020	51.4781	57.3552	accep	Kuvandyk
America/Mexico_City	2014-01-04	19.32889	-99.32556	average	San Lorenzo Acopilco
Asia/Yekaterinburg	2020-01-29	58.04254	65.27258	excellent	Tavda
Europe/London	2020-11-22	52.66277	-2.01111	accep	Great Wyrley
America/Chicago	2019-05-19	32.35126	-95.30106	good	Tyler
Europe/London	06 May 2014	51.40148	-1.32471	accep	Newbury
Asia/Karachi	2020/08/01	26.9423	68.11759	excellent	Tharu Shah
Europe/London	04/18/2014, 00:00:00	50.82882	-0.32247	accep	Lancing
Europe/London	11 Jan 2014	50.75767	-1.5443	average	Lymington
America/Chicago	05 Aug 2021	41.57721	-93.71133	excellent	West Des Moines
America/New_York	08/16/2014, 00:00:00	41.16704	-73.20483	good	Bridgeport
Europe/Moscow	2017-07-16	56.85836	35.90057	excellent	Tver
Europe/Berlin	13 Mar 2015	49.13645	8.91229	good	Eppingen
Europe/Warsaw	2013-06-23	51.14942	15.00835	average	Zgorzelec
Asia/Shanghai	10/19/2015, 00:00:00	35.64889	117.27583	average	Sishui
Asia/Baku	2021-10-05	41.09246	45.36561	average	Qazax
America/Sao_Paulo	2013/04/07	-20.87306	-48.29694	maintenance	Viradouro
America/Los_Angeles	06/13/2019, 00:00:00	33.93113	-117.54866	average	Norco
Europe/Berlin	24 May 2016	49.68369	8.61839	average	Bensheim
Africa/Lagos	2013/04/30	6.8485	3.64633	good	Shagamu
America/New_York	2021/01/04	38.96372	-76.99081	maintenance	Chillum
America/Porto_Velho	06/26/2018, 00:00:00	-8.76194	-63.90389	good	Porto Velho
Europe/Zagreb	2020/09/22	43.50891	16.43915	good	Split
America/Sao_Paulo	04 Nov 2014	-28.24	-48.67028	excellent	Imbituba
Europe/Madrid	11 Jan 2022	42.64685	-5.55835	accep	Villaquilambre
Europe/London	19 Oct 2014	53.83333	-2.98333	accep	Poulton-le-Fylde
Europe/Vienna	25 Jun 2016	47.05	15.46667	good	Sankt Peter
Europe/Madrid	2020/08/21	41.41204	2.18247	good	el Camp de l'Arpa del Clot
America/Mexico_City	02/15/2022, 00:00:00	19.32889	-99.32556	accep	San Lorenzo Acopilco
Asia/Tehran	2018/03/30	36.64852	51.49621	building	Nowshahr
America/Boise	30 Sep 2015	43.54072	-116.56346	maintenance	Nampa
America/New_York	10/04/2012, 00:00:00	26.91756	-82.07842	excellent	Punta Gorda Isles
America/Chicago	12/24/2016, 00:00:00	41.85059	-87.882	excellent	Westchester
America/New_York	2015-04-05	40.65538	-74.38987	excellent	Scotch Plains
Asia/Damascus	2022/01/05	34.5624	38.28402	accep	Tadmur
Europe/Kiev	2015/08/31	51.67822	33.9162	excellent	Hlukhiv
America/New_York	2017/11/21	43.16547	-77.70066	excellent	Gates-North Gates
America/New_York	2016-02-24	39.00622	-77.4286	maintenance	Sterling
America/New_York	05/21/2017, 00:00:00	40.72816	-74.07764	accep	Jersey City
Europe/Moscow	12 Jun 2018	55.85	37.56667	accep	Likhobory
Europe/London	06/04/2021, 00:00:00	50.79205	-1.08593	good	Southsea
Europe/Samara	2015-01-15	53.37596	51.3452	accep	Otradnyy
Europe/London	2018-12-05	57.47908	-4.22398	building	Inverness
America/Bahia	2020-10-25	-11.48472	-37.93278	maintenance	Rio Real
Indian/Reunion	2015/03/19	-20.88231	55.4504	accep	Saint-Denis
Asia/Seoul	2015/03/02	36.82167	128.63083	average	Eisen
America/Chicago	16 Oct 2013	38.58894	-89.99038	excellent	Fairview Heights
Asia/Kolkata	07/13/2021, 00:00:00	24.41288	76.56719	excellent	Aklera
Africa/Maputo	15 Apr 2020	-23.85972	35.34722	accep	Maxixe
Europe/Madrid	01 Apr 2013	38.38479	-0.76773	building	Novelda
Asia/Kolkata	2019-11-26	22.88783	84.13864	excellent	Jashpurnagar
America/Sao_Paulo	07/30/2017, 00:00:00	-26.22861	-52.67056	maintenance	Pato Branco
America/Sao_Paulo	04/28/2018, 00:00:00	-20.25333	-43.80139	good	Itabirito
America/Chicago	2019-12-27	30.16688	-96.39774	excellent	Brenham
Africa/Casablanca	05/28/2020, 00:00:00	34.31	-2.16	excellent	Jerada
Asia/Bangkok	30 Apr 2015	16.0567	103.65309	good	Roi Et
America/Chicago	08 Apr 2015	39.09112	-94.41551	building	Independence
Europe/Moscow	2016-01-31	54.84444	38.16694	accep	Kashira
Africa/Accra	02 Oct 2014	6.46346	-2.31938	maintenance	Bibiani
Asia/Jakarta	01/02/2020, 00:00:00	-7.51611	109.05389	average	Wangon
Asia/Tokyo	2013-02-16	36.65	138.31667	good	Suzaka
Europe/Minsk	09/10/2022, 00:00:00	52.4089	31.3237	maintenance	Dobrush
Africa/Dar_es_Salaam	2016/04/21	-7.60361	37.00438	accep	Kidodi
America/Chicago	17 May 2021	31.84568	-102.36764	average	Odessa
Europe/London	11/13/2016, 00:00:00	53.83333	-2.98333	maintenance	Poulton-le-Fylde
Europe/London	2014-01-31	53.7446	-0.33525	maintenance	Kingston upon Hull
Europe/Berlin	21 Jul 2022	52.86147	9.5926	good	Walsrode
Asia/Yekaterinburg	2022/07/31	58.04254	65.27258	excellent	Tavda
Indian/Antananarivo	05 Mar 2016	-21.15	46.58333	maintenance	Ikalamavony
Asia/Kuala_Lumpur	2016/01/28	2.2139	102.3278	maintenance	Kampung Ayer Molek
Asia/Kolkata	2021/06/21	10.10649	76.35484	maintenance	Alwaye
Europe/Warsaw	2017/05/10	50.5107	18.30056	building	Strzelce Opolskie
Asia/Manila	15 Nov 2015	14.8361	120.97844	excellent	Guyong
Asia/Karachi	2020-06-22	29.38242	70.91106	good	Alipur
America/New_York	2017-06-18	34.06635	-84.67837	excellent	Acworth
Asia/Seoul	2022/03/04	34.8825	128.62667	good	Sinhyeon
America/Puerto_Rico	2017-10-17	18.42745	-67.15407	good	Aguadilla
Europe/Berlin	18 Jun 2016	51.08468	7.11393	average	Burscheid
Europe/Berlin	09/04/2014, 00:00:00	48.52961	12.16179	good	Landshut
Asia/Kolkata	2022/07/23	23.07492	88.28637	excellent	Pandua
Europe/Warsaw	12/26/2014, 00:00:00	51.14942	15.00835	average	Zgorzelec
America/Chicago	03/18/2020, 00:00:00	31.76212	-95.63079	average	Palestine
Europe/London	05/24/2016, 00:00:00	50.11861	-5.53715	excellent	Penzance
Africa/Lagos	2013-10-11	4.92675	6.26764	good	Yenagoa
Europe/Prague	07 Apr 2017	50.50301	13.63617	excellent	Most
America/Sao_Paulo	18 Nov 2015	-19.72806	-50.19556	good	Iturama
America/New_York	22 Dec 2014	41.50343	-74.01042	excellent	Newburgh
America/Sao_Paulo	07/08/2019, 00:00:00	-19.32556	-41.25528	average	Resplendor
Europe/London	2015-08-09	53.19146	-2.52398	average	Winsford
Europe/Berlin	04 Oct 2018	47.98372	10.18527	maintenance	Memmingen
Europe/Minsk	29 Mar 2015	53.5942	25.8191	maitennce	Novogrudok
America/Los_Angeles	05 Sep 2015	45.53929	-122.38731	good	Troutdale
Asia/Bangkok	2014/12/14	6.25947	102.05461	accep	Tak Bai
Asia/Makassar	17 Jun 2019	3.31332	117.59152	average	Tarakan
Europe/Moscow	04/09/2022, 00:00:00	54.39304	53.26023	average	Bavly
Asia/Tokyo	07 Feb 2015	33.4425	129.96972	average	Karatsu
America/New_York	2019/12/28	39.32288	-76.72803	maintenance	Woodlawn
Asia/Shanghai	2014-10-07	42.64031	125.51176	good	Dongfeng
Europe/Paris	08/04/2015, 00:00:00	45.69558	4.7934	good	Saint-Genis-Laval
America/Los_Angeles	01/26/2018, 00:00:00	32.9156	-117.14392	maintenance	Mira Mesa
Asia/Colombo	10/14/2020, 00:00:00	6.9909	79.883	maintenance	Hendala
Asia/Kolkata	27 Dec 2012	12.1277	78.15794	maintenance	Dharmapuri
Asia/Baghdad	02/21/2019, 00:00:00	32.61603	44.02488	good	Karbala
America/Mexico_City	05 Sep 2017	21.01858	-101.2591	average	Guanajuato
America/Argentina/Cordoba	2017/03/06	-31.4488	-60.93173	maintenance	Esperanza
Europe/Brussels	01/10/2016, 00:00:00	50.8	3.16667	maintenance	Wevelgem
Africa/Blantyre	09/22/2015, 00:00:00	-13.7804	34.4587	good	Salima
America/Chicago	09/16/2014, 00:00:00	41.8542	-87.66561	building	Lower West Side
America/New_York	11/07/2021, 00:00:00	25.67927	-80.31727	accep	Kendall
America/Los_Angeles	02/24/2015, 00:00:00	38.54491	-121.74052	maintenance	Davis
America/New_York	07 Apr 2019	33.98154	-81.23621	accep	Lexington
