location	longitude	revision	QoS	latitude	station
Asia/Kolkata	85.83636	2013-09-08	good	25.66795	Dalsingh Sarai
Asia/Kolkata	76.56719	07/05/2018, 00:00:00	accep	24.41288	Aklera
Europe/Kiev	31.33078	2020-12-23	maintenance	47.56494	Voznesensk
America/Los_Angeles	-118.25508	08/13/2018, 00:00:00	average	34.14251	Glendale
Europe/Brussels	4.21372	14 Aug 2021	average	51.12794	Temse
Africa/Johannesburg	30.79165	07 Mar 2018	average	-27.76952	Vryheid
America/Chicago	-90.10674	02/08/2022, 00:00:00	excellent	29.84576	Estelle
Europe/London	-2.58736	12/23/2017, 00:00:00	average	56.56317	Arbroath
Africa/Algiers	2.95924	2013/09/01	excellent	36.76775	Cheraga
Europe/Rome	8.55552	24 Jan 2015	average	40.72586	Sassari
America/Sao_Paulo	-47.1725	06 Sep 2022	good	-22.57306	Artur Nogueira
Asia/Kuala_Lumpur	101.96857	2018/06/19	building	4.88441	Gua Musang
Africa/Lagos	5.06258	2022-07-06	accep	7.50251	Igbara-Odo
Europe/London	-0.36053	2017-02-27	building	51.64316	Bushey
Europe/Moscow	33.2525	2020-01-02	maintenance	57.97472	Valday
Asia/Tehran	51.0193	21 Feb 2019	excellent	35.6803	Shahre Jadide Andisheh
Asia/Jakarta	103.61667	25 Jan 2013	maintenance	-1.6	Jambi City
America/Los_Angeles	-122.86705	2017/05/15	accep	45.49428	Aloha
Europe/Rome	15.07041	28 Mar 2022	maintenance	37.49223	Catania
Europe/London	-3.05	2017-08-07	excellent	53.81667	Blackpool
Africa/Accra	-1.4001	19 Apr 2016	excellent	7.06273	Mampong
Europe/Istanbul	29.26639	2013-11-01	accep	37.58105	Serinhisar
Asia/Bangkok	100.04427	06/27/2013, 00:00:00	good	13.8196	Nakhon Pathom
Europe/Paris	5.4584	2015-04-30	good	43.32393	Les Olives
America/Guayaquil	-79.00453	2013/12/14	maintenance	-2.90055	Cuenca
America/New_York	-77.55777	2016-03-13	maintenance	37.52487	Bon Air
Asia/Kolkata	78.55757	10 Apr 2013	accep	17.34769	Lal Bahadur Nagar
Europe/Berlin	6.74549	25 Nov 2012	good	49.5099	Losheim
Asia/Jakarta	113.69785	2014-06-17	good	-7.73379	Besuki
Europe/London	-2.12139	08/31/2022, 00:00:00	good	52.48173	Brierley Hill
Asia/Kolkata	78.23456	12 Aug 2013	maintenance	28.92694	Bachhraon
Europe/Amsterdam	5.2875	05/15/2022, 00:00:00	good	51.65333	Vught
Europe/Rome	9.32241	2016/04/15	accep	44.31771	Chiavari
Europe/Rome	15.00913	2022/09/03	good	37.51803	Misterbianco
Asia/Kolkata	72.85107	21 Apr 2017	accep	19.30157	Bhayandar
America/Fortaleza	-40.7475	2019/12/12	accep	-4.16694	Guaraciaba do Norte
America/Maceio	-37.03861	11/20/2016, 00:00:00	maintenance	-10.90889	Barra dos Coqueiros
Africa/Niamey	9.15013	03/12/2015, 00:00:00	average	13.70727	Mirriah
Europe/Paris	8.73812	09/17/2016, 00:00:00	good	41.91886	Ajaccio
Europe/Lisbon	-9.24671	2020/10/17	building	38.72706	Carnaxide
America/New_York	-74.01042	03/13/2017, 00:00:00	average	41.50343	Newburgh
America/Chicago	-95.44744	2019/12/27	average	29.53885	Fresno
America/New_York	-76.43941	2020-01-22	building	39.33427	Middle River
Europe/Madrid	-1.60452	2014/01/09	good	42.06166	Tudela
Asia/Kolkata	78.55757	2019-02-05	average	17.34769	Lal Bahadur Nagar
Europe/Vilnius	24.04142	01/25/2017, 00:00:00	good	54.39635	Alytus
Europe/Lisbon	-8.2503	2021/07/28	excellent	37.08819	Albufeira
Asia/Shanghai	109.22921	2020-02-25	building	34.65918	Yanliang
Asia/Bangkok	100.48528	20 Mar 2015	excellent	14.37395	Bang Ban
Asia/Kolkata	74.4818	02/20/2013, 00:00:00	maintenance	30.21121	Malaut
Africa/Dar_es_Salaam	33	18 Apr 2019	maintenance	-2.68333	Usagara
Asia/Yekaterinburg	65.27258	2018-01-30	good	58.04254	Tavda
Europe/Rome	17.58522	2014/08/10	excellent	40.53123	Francavilla Fontana
Europe/London	-2.09814	2016-04-16	average	57.14369	Aberdeen
Asia/Karachi	70.96699	04/01/2020, 00:00:00	building	30.46907	Kot Addu
Australia/Brisbane	152.70493	28 Mar 2015	excellent	-25.54073	Maryborough
Europe/Brussels	4.07601	01/18/2018, 00:00:00	building	50.88506	Denderleeuw
America/Sao_Paulo	-45.94722	2018/02/14	good	-21.42917	Alfenas
Asia/Tokyo	138.31667	2019-08-16	average	36.65	Suzaka
America/Sao_Paulo	-50.19556	2019/01/24	accep	-19.72806	Iturama
Europe/Belgrade	19.61222	06/16/2016, 00:00:00	excellent	44.97639	Sremska Mitrovica
Africa/Accra	-2.31938	03/09/2022, 00:00:00	accep	6.46346	Bibiani
Atlantic/Azores	-25.66689	2018/05/29	average	37.74615	Ponta Delgada
Europe/Moscow	38.16694	03/17/2017, 00:00:00	building	54.84444	Kashira
America/Boise	-116.56346	2022-01-20	excellent	43.54072	Nampa
Asia/Tokyo	138.89585	12/16/2014, 00:00:00	accep	36.33011	Annaka
Africa/Lagos	4.52514	01/21/2020, 00:00:00	accep	12.74482	Argungu
Africa/Accra	-2.31938	2016-11-29	maitennce	6.46346	Bibiani
Asia/Jerusalem	34.86563	19 Apr 2021	good	31.92923	Ramla
Asia/Jakarta	112.23109	2020-03-15	maintenance	-7.57897	Diwek
Asia/Kolkata	78.95693	2019/06/07	average	29.21399	Kashipur
America/Chicago	-87.66561	04 Nov 2016	excellent	41.8542	Lower West Side
Europe/Amsterdam	4.47124	09 Mar 2019	building	51.95838	Schiebroek
America/New_York	-78.87836	2016/10/12	excellent	35.05266	Fayetteville
Europe/Moscow	38.07083	02/18/2019, 00:00:00	building	54.90083	Stupino
Europe/Vienna	16.4	22 Jul 2019	excellent	48.25	Floridsdorf
Africa/Mogadishu	43.38531	2014-12-23	good	9.89206	Baki
Europe/Sarajevo	19.21437	2022/05/28	excellent	44.75874	Bijeljina
Europe/Kiev	32.6178	15 Oct 2017	average	46.65581	Kherson
Asia/Shanghai	115.04814	30 Sep 2014	excellent	30.24706	Huangshi
America/Chicago	-88.31476	2013-05-18	average	36.61033	Murray
Africa/Douala	9.00472	09 Oct 2014	excellent	4.2475	Idenao
Europe/Amsterdam	5.2875	21 Apr 2015	excellent	51.65333	Vught
America/Havana	-77.43532	06/27/2015, 00:00:00	accep	20.14298	Media Luna
Europe/Zurich	6.10237	2013-12-13	good	46.18396	Onex
America/Chicago	-91.73625	2013-09-14	good	35.25064	Searcy
Europe/Istanbul	37.3825	2017-04-22	accep	37.05944	Gaziantep
Asia/Kolkata	86.59611	2022-07-16	good	25.87498	Saharsa
America/Sao_Paulo	-42.19667	2019/03/31	accep	-21.41222	Miracema
Africa/Nairobi	34.11169	22 Nov 2014	excellent	0.46005	Busia
Europe/Brussels	4.21372	2014/02/06	average	51.12794	Temse
America/Los_Angeles	-117.29198	08/05/2019, 00:00:00	maintenance	33.03699	Encinitas
America/Detroit	-84.62081	2019-06-29	accep	42.7392	Waverly
America/Santiago	-70.6996	2013/04/25	good	-33.59217	San Bernardo
Asia/Bangkok	99.89166	02/11/2018, 00:00:00	excellent	15.46063	Thap Than
Europe/Moscow	43.63417	01 Aug 2015	excellent	43.96222	Novopavlovsk
Asia/Tokyo	136.13108	2017/01/03	accep	34.75856	Ueno-ebisumachi
Europe/London	-3.05814	2020/06/04	excellent	53.00974	Rhosllanerchrugog
Asia/Bangkok	104.64992	01/13/2015, 00:00:00	excellent	14.64056	Kantharalak
America/Mexico_City	-103.5687	2018-05-31	average	20.22816	Zacoalco de Torres
Europe/London	-2.68758	11/08/2013, 00:00:00	maintenance	53.69786	Leyland
America/Sao_Paulo	-52.51028	2017/06/19	maintenance	-28.81833	Soledade
Europe/Paris	1.33467	03/27/2020, 00:00:00	maintenance	43.61058	Colomiers
Europe/Rome	15.07041	04 Oct 2018	building	37.49223	Catania
America/Chicago	-87.65644	04/01/2018, 00:00:00	good	41.80753	New City
Asia/Karachi	70.96699	03/03/2022, 00:00:00	average	30.46907	Kot Addu
America/Sao_Paulo	-53.13722	04/05/2017, 00:00:00	accep	-22.92306	Loanda
Asia/Manila	120.57224	11/08/2019, 00:00:00	accep	15.72892	Burgos
Europe/Vienna	16.4	03/16/2020, 00:00:00	average	48.25	Floridsdorf
Europe/Paris	8.73812	11/10/2015, 00:00:00	average	41.91886	Ajaccio
Asia/Tokyo	141.95	2017/12/29	accep	39.46667	Yamada
Asia/Jakarta	101.44167	25 Jun 2022	excellent	0.51667	Pekanbaru
Asia/Seoul	128.9889	21 Oct 2014	accep	37.1759	T’aebaek
America/Mexico_City	-98.11889	2020/10/02	building	19.04222	Casa Blanca
Asia/Jakarta	106.92667	2014-05-26	accep	-6.91806	Sukabumi
Europe/Berlin	9.02596	2021-06-20	average	48.21644	Albstadt
Australia/Sydney	146.05093	2017-05-30	good	-34.28853	Griffith
Africa/Tunis	10.58082	29 May 2018	average	35.72917	Msaken
Africa/Kampala	32.88667	2013-12-25	accep	3.27833	Kitgum
Africa/Addis_Ababa	37.55	11 Jun 2019	excellent	6.03333	Arba Minch
Europe/Prague	12.87117	01 Oct 2018	accep	50.23271	Karlovy Vary
Asia/Seoul	126.665	21 Jul 2021	maintenance	36.6009	Hongseong
Asia/Karachi	72.54064	03/30/2017, 00:00:00	excellent	31.82539	Sillanwali
Asia/Manila	121.3152	2015/02/18	building	14.14989	Calauan
America/Los_Angeles	-116.21677	2019-10-09	average	33.7207	Indio
Asia/Manila	121.96361	2015-06-19	average	6.95194	Recodo
Asia/Damascus	36.7138	2022-07-13	good	35.95664	Binnish
America/Caracas	-62.64102	2018-04-02	average	8.35122	Ciudad Guayana
Africa/Johannesburg	29.00974	02/27/2017, 00:00:00	average	-24.19436	Mokopane
America/New_York	-74.01042	2018/05/27	building	41.50343	Newburgh
Asia/Shanghai	114.51667	2019-04-09	accep	33.78333	Wacheng
Africa/Algiers	3.50309	12/04/2016, 00:00:00	good	34.15429	Messaad
America/Sao_Paulo	-52.2	03/02/2016, 00:00:00	accep	-28.44917	Marau
America/Santo_Domingo	-71.10077	09/20/2014, 00:00:00	excellent	18.20854	Santa Cruz de Barahona
America/Sao_Paulo	-52.67056	2021/11/20	accep	-26.22861	Pato Branco
Asia/Kolkata	73.85535	2013/08/23	accep	18.51957	Pune
Asia/Shanghai	122.05228	2020-10-19	accep	37.19723	Tianfu
Europe/Moscow	47.1192	08/08/2018, 00:00:00	excellent	42.819	Buynaksk
Asia/Ulaanbaatar	106.88324	01/07/2014, 00:00:00	excellent	47.90771	Ulan Bator
America/Chicago	-93.263	05/28/2019, 00:00:00	accep	45.0408	Columbia Heights
Europe/Stockholm	18.28333	08/03/2017, 00:00:00	good	59.33333	Boo
America/Fortaleza	-42.29444	2013/08/09	accep	-4.24444	Barras
America/Los_Angeles	-123.02621	2019/09/04	accep	44.99012	Keizer
Europe/Oslo	16.54165	10 Jun 2020	excellent	68.79833	Harstad
America/Bogota	-74.26419	10/30/2020, 00:00:00	excellent	4.73245	Madrid
Europe/Helsinki	24.6522	2012-10-30	excellent	60.2052	Espoo
Africa/Libreville	13.58357	30 May 2017	average	-1.63333	Franceville
Asia/Shanghai	120.74792	2015-12-28	good	41.09822	Nanpiao
America/Chicago	-86.77917	02 Jun 2017	excellent	36.02506	Brentwood Estates
Europe/Bratislava	17.22635	2015/05/15	excellent	48.8449	Skalica
America/Vancouver	-119.48568	2017/02/02	excellent	49.88307	Kelowna
Asia/Shanghai	112.9	2019/08/19	average	27.85	Xiangtan
Asia/Damascus	38.28402	04/17/2015, 00:00:00	accep	34.5624	Tadmur
Asia/Yekaterinburg	76.92421	2015-05-31	building	60.97944	Izluchinsk
Europe/Sofia	24.71204	2014-01-23	maintenance	41.57439	Smolyan
Asia/Shanghai	125.51176	2015-11-29	good	42.64031	Dongfeng
America/Chicago	-96.67834	2021-06-28	maintenance	34.77453	Ada
Europe/Rome	13.39954	07/31/2014, 00:00:00	average	43.62558	Falconara Marittima
Asia/Baku	48.87498	07 May 2015	average	38.45598	Astara
Asia/Jakarta	99.1625	08/07/2021, 00:00:00	good	3.3285	Tebingtinggi
Asia/Bangkok	99.95469	2013/03/12	good	13.51825	Damnoen Saduak
Europe/Rome	15.07041	10/11/2016, 00:00:00	average	37.49223	Catania
Europe/London	-4.22398	08 Aug 2017	good	57.47908	Inverness
Europe/Warsaw	18.30056	06/16/2015, 00:00:00	average	50.5107	Strzelce Opolskie
Asia/Phnom_Penh	102.56365	2013-05-18	good	13.65805	Paoy Paet
Europe/Moscow	46.5813	2017-08-08	excellent	54.8421	Alatyr’
America/Chicago	-87.65644	2013-03-10	building	41.80753	New City
Asia/Jakarta	104.09701	2021/10/01	excellent	-1.26424	Simpang
Asia/Karachi	68.49143	2017/10/14	good	25.80565	Bhit Shah
Europe/Warsaw	19.27498	2022-07-28	average	50.20528	Jaworzno
Europe/Brussels	4.69889	12/23/2013, 00:00:00	maintenance	50.56149	Gembloux
Europe/Paris	-1.05366	2016-01-22	good	43.71032	Dax
America/Sao_Paulo	-47.53028	04 Dec 2019	building	-22.45667	Santa Gertrudes
Asia/Tokyo	138.89585	2017-12-22	maintenance	36.33011	Annaka
Europe/Berlin	8.86704	2022/06/20	average	50.23805	Nidderau
Europe/Belgrade	19.61222	2014-10-09	accep	44.97639	Sremska Mitrovica
Asia/Tokyo	138.89585	2020/01/21	maintenance	36.33011	Annaka
Asia/Shanghai	111.73861	2018/06/03	average	35.20889	Changzhi
Asia/Kolkata	85.83334	07/30/2021, 00:00:00	building	20.88197	Bhuban
Asia/Krasnoyarsk	89.20083	12/13/2015, 00:00:00	excellent	55.54028	Sharypovo
Europe/Bucharest	26.01649	2014/01/31	accep	44.43579	Sector 6
America/Sao_Paulo	-51.50361	2019-03-24	building	-29.2975	Carlos Barbosa
Africa/Casablanca	-6.90656	02/23/2014, 00:00:00	maintenance	33.92866	Temara
Europe/London	-0.74934	10/20/2012, 00:00:00	accep	51.62907	High Wycombe
America/New_York	-82.45426	2013-06-07	accep	27.09978	Venice
Europe/Istanbul	34.02537	2016/01/01	maitennce	38.37255	Aksaray
America/New_York	-70.92866	12/20/2014, 00:00:00	good	42.52787	Peabody
Australia/Melbourne	145.18333	06 Jul 2016	accep	-37.9	Wheelers Hill
America/Argentina/Buenos_Aires	-58.70072	12 May 2022	building	-34.74785	Pontevedra
Europe/Brussels	3.20639	2021/05/11	good	50.74497	Mouscron
Europe/Kiev	33.34864	2016/07/24	good	46.75451	Nova Kakhovka
America/Caracas	-70.20749	2014/11/29	excellent	8.62261	Barinas
America/Chicago	-91.58045	11 Apr 2021	good	41.6764	Coralville
America/Puerto_Rico	-66.8499	11/03/2016, 00:00:00	good	18.03496	Yauco
Europe/Paris	2.44892	04 May 2015	building	48.98693	Gonesse
Asia/Kuching	116.10146	2019-03-20	building	5.90702	Donggongon
Asia/Kolkata	71.57737	30 Jul 2020	building	21.53889	Gariadhar
Europe/Moscow	43.63417	2016/11/05	average	43.96222	Novopavlovsk
Asia/Karachi	68.75915	10 Nov 2020	good	27.52948	Khairpur Mir’s
America/Los_Angeles	-122.24064	2022/01/17	average	47.80527	Bothell West
America/Chicago	-87.45476	04 Mar 2021	good	41.47892	Schererville
America/New_York	-78.04471	2017/04/01	good	34.25628	Leland
Asia/Shanghai	117.4831	18 Jun 2013	excellent	27.34089	Shaowu
America/Los_Angeles	-117.14392	2020-06-11	good	32.9156	Mira Mesa
Europe/Paris	2.44892	2015-04-05	building	48.98693	Gonesse
Europe/Paris	-0.59543	2018/03/28	building	44.80477	Talence
Asia/Karachi	70.96699	2014-11-03	maintenance	30.46907	Kot Addu
Asia/Irkutsk	107.60627	12/04/2021, 00:00:00	average	51.82721	Ulan-Ude
Asia/Kolkata	77.5609	2016/02/14	good	11.00599	Kangayam
Africa/Bangui	15.87735	12/27/2014, 00:00:00	excellent	4.94273	Carnot
America/Chicago	-87.71255	23 Jun 2016	excellent	41.84364	South Lawndale
Asia/Kolkata	77.5609	2016-09-11	good	11.00599	Kangayam
Asia/Tokyo	141.95	03/02/2018, 00:00:00	accep	39.46667	Yamada
Australia/Brisbane	153.10236	03/11/2016, 00:00:00	accep	-27.50578	Carindale
Asia/Tashkent	69.67639	09/28/2014, 00:00:00	average	41.29444	Parkent
Asia/Yekaterinburg	57.3552	2016/10/16	excellent	51.4781	Kuvandyk
Europe/Rome	8.88104	02/13/2017, 00:00:00	accep	45.79377	Malnate
Europe/Brussels	4.07601	16 Jul 2022	excellent	50.88506	Denderleeuw
Europe/Paris	2.2469	2022/08/25	maintenance	48.90472	La Garenne-Colombes
Africa/Algiers	4.08282	2019/12/12	excellent	36.61954	Beni Douala
Europe/Madrid	1.10687	16 Sep 2020	accep	41.15612	Reus
Europe/Paris	1.33467	08/13/2018, 00:00:00	maitennce	43.61058	Colomiers
America/Los_Angeles	-120.93549	28 Dec 2016	good	37.73604	Riverbank
Africa/Algiers	3.47717	2020/12/19	accep	36.76639	Boumerdas
Asia/Shanghai	117.65694	31 Dec 2020	building	36.19278	Laiwu
Asia/Jakarta	99.1625	2013-03-29	excellent	3.3285	Tebingtinggi
America/New_York	-74.28459	06/18/2019, 00:00:00	average	40.5576	Woodbridge
Europe/Dublin	-7.35	2017/09/13	good	53.53333	An Muileann gCearr
Europe/Moscow	37.56667	2018-06-11	average	55.85	Likhobory
Europe/London	1.26738	2015-01-13	average	51.84819	Walton-on-the-Naze
America/Los_Angeles	-118.10583	03/31/2013, 00:00:00	good	34.09611	San Gabriel
Asia/Dushanbe	69.01354	2017/10/25	good	38.55632	Vahdat
Europe/London	-3.05	2020/11/04	accep	53.81667	Blackpool
Africa/Algiers	3.47717	2015/02/15	average	36.76639	Boumerdas
America/Los_Angeles	-120.43572	21 May 2017	accep	34.95303	Santa Maria
America/Maceio	-37.65	2017-03-21	excellent	-10.91722	Lagarto
Europe/Moscow	32.86389	2022-06-01	good	53.95278	Roslavl’
America/Toronto	-79.2663	23 Dec 2012	accep	43.86682	Markham
Africa/Tunis	9.37082	2016-10-06	excellent	36.08497	Siliana
Europe/Madrid	-4.83076	2015-05-04	accep	39.96348	Talavera de la Reina
America/Sao_Paulo	-53.13722	07 Apr 2017	good	-22.92306	Loanda
Asia/Hong_Kong	114.10479	14 Jun 2018	maintenance	22.37066	Tsuen Wan
America/Sao_Paulo	-42.19667	04/22/2013, 00:00:00	accep	-21.41222	Miracema
Africa/Lagos	3.64633	2012-11-03	maintenance	6.8485	Shagamu
America/New_York	-84.67837	2020-07-20	good	34.06635	Acworth
Asia/Kolkata	71.30633	2014/04/25	maintenance	21.34222	Kundla
America/Los_Angeles	-120.00865	11/02/2014, 00:00:00	excellent	46.32374	Sunnyside
Asia/Kolkata	78.95693	2014/06/23	maintenance	29.21399	Kashipur
America/Recife	-35.03333	07/18/2022, 00:00:00	maintenance	-8.28333	Cabo
America/Porto_Velho	-63.90389	08 Oct 2017	good	-8.76194	Porto Velho
Europe/London	-0.29825	2019/10/14	average	51.39148	Surbiton
America/Chicago	-88.31476	10/29/2015, 00:00:00	accep	36.61033	Murray
America/Los_Angeles	-118.03917	2016/09/03	accep	33.95015	South Whittier
America/New_York	-84.50855	2015-02-05	building	39.08367	Covington
Europe/Rome	12.84052	2019/06/04	good	45.78071	Portogruaro
America/Sao_Paulo	-45.94722	2019-07-08	excellent	-21.42917	Alfenas
Asia/Karachi	68.75915	23 Feb 2016	excellent	27.52948	Khairpur Mir’s
Europe/Berlin	8.63333	2022/04/24	maintenance	52.2	Kirchlengern
Europe/Kiev	25.34244	04 Oct 2016	accep	50.75932	Lutsk
Africa/Tunis	10.58082	06/07/2019, 00:00:00	accep	35.72917	Msaken
America/Chicago	-86.99666	2019-09-03	accep	33.45122	Hueytown
Asia/Shanghai	120.33063	2018/04/13	good	37.65181	Longgang
Europe/Moscow	33.72798	07/17/2016, 00:00:00	building	53.53395	Zhukovka
Asia/Bangkok	104.64992	03/22/2022, 00:00:00	accep	14.64056	Kantharalak
Asia/Tokyo	139.55028	2013-05-25	maintenance	35.30889	Kamakura
America/Mexico_City	-100.44843	2017-08-26	accep	20.74122	Santa Rosa Jauregui
Europe/Moscow	43.63417	08/12/2013, 00:00:00	maintenance	43.96222	Novopavlovsk
America/Los_Angeles	-117.54866	04/22/2019, 00:00:00	good	33.93113	Norco
Europe/Berlin	8.96317	01 Jul 2020	excellent	48.35149	Hechingen
America/New_York	-78.04471	01 Sep 2019	maintenance	34.25628	Leland
Asia/Kolkata	77.40858	01/09/2017, 00:00:00	excellent	24.05979	Leteri
Asia/Makassar	117.59152	11/18/2016, 00:00:00	maintenance	3.31332	Tarakan
Asia/Hong_Kong	114.10479	17 Apr 2022	excellent	22.37066	Tsuen Wan
Europe/Paris	4.7934	02 Jun 2015	accep	45.69558	Saint-Genis-Laval
Asia/Manila	124.95278	11/19/2014, 00:00:00	good	6.33444	Tupi
Europe/Paris	5.4384	2016/06/20	maitennce	43.2907	Marseille 11
America/Caracas	-68.30472	2013-06-22	excellent	9.91861	Tinaquillo
Asia/Jakarta	104.09701	30 Oct 2015	accep	-1.26424	Simpang
America/Bahia	-39.25	2014-04-02	excellent	-12.91667	Muritiba
America/Los_Angeles	-116.21677	06/16/2013, 00:00:00	excellent	33.7207	Indio
Africa/Lubumbashi	24.99798	11/27/2020, 00:00:00	maintenance	-8.73508	Kamina
Asia/Yekaterinburg	60.70278	2020-11-04	excellent	55.75556	Ozersk
Europe/Berlin	7.11393	09 Aug 2017	maintenance	51.08468	Burscheid
America/Sao_Paulo	-47.53028	2015-01-11	average	-22.45667	Santa Gertrudes
Asia/Tokyo	129.96972	2013/07/07	good	33.4425	Karatsu
Europe/Berlin	9.22796	2021-07-04	good	48.46458	Pfullingen
Europe/Berlin	8.91229	2016/04/30	good	49.13645	Eppingen
Asia/Kolkata	74.85849	27 Jan 2014	building	31.28092	Patti
Asia/Yekaterinburg	57.3552	2012-10-04	good	51.4781	Kuvandyk
Asia/Manila	123.99333	12/30/2019, 00:00:00	good	12.97389	Sorsogon
Europe/Paris	5.55575	27 Jul 2016	building	46.67535	Lons-le-Saunier
Asia/Shanghai	114.51667	08 Mar 2017	accep	33.78333	Wacheng
Asia/Kolkata	78.23456	2015-01-25	maintenance	28.92694	Bachhraon
Europe/Madrid	3.1631	10/15/2019, 00:00:00	average	41.91738	Palafrugell
Europe/Berlin	7.11393	03 Aug 2017	good	51.08468	Burscheid
Asia/Karachi	74.12286	02/07/2013, 00:00:00	average	30.76468	Kanganpur
America/Guayaquil	-79.00453	2022-04-28	good	-2.90055	Cuenca
Europe/Rome	9.29109	2021-06-24	good	45.39402	San Giuliano Milanese
Africa/Monrovia	-8.53778	2017/07/07	average	7.57944	New Yekepa
Europe/Berlin	9.15214	2019-01-16	good	49.97704	Aschaffenburg
Europe/Paris	2.12213	2021-07-09	building	48.8222	Le Chesnay
Europe/Paris	5.4384	08/26/2021, 00:00:00	accep	43.2907	Marseille 11
Europe/Bucharest	26.01649	07/17/2015, 00:00:00	maintenance	44.43579	Sector 6
America/Los_Angeles	-122.2608	22 Mar 2020	accep	38.17492	American Canyon
America/Boise	-116.56346	10/22/2013, 00:00:00	excellent	43.54072	Nampa
Africa/Conakry	-13.68778	2013/12/04	good	9.535	Camayenne
Europe/Berlin	9.47629	2020/06/04	accep	53.59337	Stade
Asia/Baku	45.36561	2018/11/07	maintenance	41.09246	Qazax
Asia/Kolkata	81.54855	2018-07-11	maintenance	26.2649	Jais
Africa/Johannesburg	29.24152	11/03/2021, 00:00:00	accep	-26.93366	Standerton
Europe/London	-4.0573	2021-08-04	good	55.82737	Viewpark
America/Maceio	-37.07167	2017/12/15	accep	-10.91111	Aracaju
Asia/Karachi	72.54064	17 Jul 2018	maintenance	31.82539	Sillanwali
Asia/Yekaterinburg	65.27258	2021/11/02	accep	58.04254	Tavda
Europe/Kiev	32.6178	2019/11/06	excellent	46.65581	Kherson
Europe/Moscow	38.94324	02/07/2017, 00:00:00	good	44.98901	Yablonovskiy
America/New_York	-77.70066	2013-11-09	average	43.16547	Gates-North Gates
America/Los_Angeles	-117.23991	2017-11-24	building	47.64995	Opportunity
Asia/Baku	48.87498	11/16/2019, 00:00:00	average	38.45598	Astara
Asia/Kolkata	86.59611	12/09/2018, 00:00:00	building	25.87498	Saharsa
Asia/Shanghai	112.9	2015/11/11	average	27.85	Xiangtan
America/Toronto	-73.86586	08/20/2021, 00:00:00	accep	45.43341	Beaconsfield
Europe/London	-0.33525	2015-10-15	average	53.7446	Kingston upon Hull
Europe/Rome	12.84052	2021/01/03	maintenance	45.78071	Portogruaro
Asia/Seoul	126.835	22 Feb 2019	excellent	37.65639	Goyang-si
Europe/Paris	5.4384	2015-04-21	average	43.2907	Marseille 11
Europe/Brussels	5.37429	2014-04-25	average	51.03427	Houthalen
America/Los_Angeles	-117.71978	06/14/2021, 00:00:00	good	34.09668	Claremont
Europe/Paris	5.4384	03 Nov 2013	good	43.2907	Marseille 11
Pacific/Auckland	178.00417	31 Oct 2018	maintenance	-38.65333	Gisborne
America/Los_Angeles	-117.79394	11/10/2020, 00:00:00	average	33.76446	North Tustin
America/Los_Angeles	-122.39168	2014-12-10	good	40.58654	Redding
America/Denver	-111.99633	07/15/2020, 00:00:00	building	40.65995	Kearns
Africa/Tripoli	10.18003	31 Dec 2013	building	24.96334	Ghat
Africa/Algiers	3.47717	2013-10-08	accep	36.76639	Boumerdas
Europe/Berlin	6.51352	02/27/2015, 00:00:00	good	51.19139	Korschenbroich
America/Chicago	-91.73625	2013/12/24	average	35.25064	Searcy
Asia/Kolkata	74.83554	2022-01-13	building	14.62072	Sirsi
Africa/Dar_es_Salaam	37.00438	03/10/2018, 00:00:00	building	-7.60361	Kidodi
America/Sao_Paulo	-48.29694	2020/12/09	good	-20.87306	Viradouro
Asia/Karachi	68.88871	05/28/2017, 00:00:00	average	25.95533	Jhol
America/New_York	-82.07842	09/05/2021, 00:00:00	good	26.91756	Punta Gorda Isles
America/Los_Angeles	-122.2608	2019/08/07	average	38.17492	American Canyon
America/Lima	-75.11028	09/08/2018, 00:00:00	average	-15.21194	Minas de Marcona
Europe/Moscow	30.28491	01 Sep 2016	building	60.02427	Kolomyagi
Africa/Casablanca	-6.00137	23 Jun 2016	building	33.42585	Oulmes
Pacific/Port_Moresby	144.23058	19 Jan 2019	good	-5.85746	Mount Hagen
Europe/Prague	12.87117	2015/12/30	maintenance	50.23271	Karlovy Vary
Indian/Antananarivo	47.31667	14 Feb 2014	accep	-19.65	Antanifotsy
America/Mexico_City	-103.5687	2018/11/08	building	20.22816	Zacoalco de Torres
Africa/Algiers	2.95924	2013/03/14	average	36.76775	Cheraga
Asia/Karachi	72.54064	2017-04-25	maintenance	31.82539	Sillanwali
Indian/Antananarivo	44.53333	09/19/2022, 00:00:00	good	-22.9	Sakaraha
America/New_York	-72.97261	2014-02-11	accep	43.61062	Rutland
Europe/Istanbul	27.18052	09/18/2018, 00:00:00	accep	39.12074	Bergama
Europe/Rome	13.44275	2014/08/13	good	38.07789	Villabate
Africa/Addis_Ababa	38.01667	2022-02-28	good	11.85	Debre Tabor
America/Chicago	-88.27205	21 Feb 2020	good	44.27804	Kaukauna
Europe/Zaporozhye	38.15035	2021/11/19	accep	49.41029	Svatove
Indian/Antananarivo	48.41667	29 Jun 2017	average	-17.83333	Ambatondrazaka
Africa/Mogadishu	43.38531	07 Dec 2019	maintenance	9.89206	Baki
Asia/Kolkata	74.4818	2019/01/28	excellent	30.21121	Malaut
Europe/Moscow	37.49338	28 Dec 2013	average	55.62047	Tyoply Stan
Asia/Kolkata	88.28637	2019/10/06	excellent	23.07492	Pandua
