location	latitude	QoS	code	longitude	revision
Europe/Paris	48.90982	good	FR	2.45012	14 Mar 2022
America/Chicago	33.41012	average	US	-91.06177	17 Dec 2013
Europe/Berlin	53.63333	good	DE	9.85	28 Mar 2020
Asia/Novokuznetsk	55.8736	maintenance	RU	85.4265	29 Jan 2014
Europe/Paris	43.32393	building	FR	5.4584	2017-02-13
Asia/Manila	14.14989	accep	PH	121.3152	2017/12/13
America/Sao_Paulo	-22.92306	good	BR	-53.13722	01/09/2016, 00:00:00
Asia/Dushanbe	38.55632	maintenance	TJ	69.01354	2022/01/06
Europe/Stockholm	59.33333	maintenance	SE	18.28333	12/17/2016, 00:00:00
America/Maceio	-10.90889	accep	BR	-37.03861	01/20/2013, 00:00:00
Europe/Istanbul	37.05944	accep	TR	37.3825	11/12/2021, 00:00:00
America/Los_Angeles	47.76232	average	US	-122.2054	06/09/2015, 00:00:00
America/Tegucigalpa	15.48131	good	HN	-86.57415	2019-01-09
Asia/Kolkata	16.06213	good	IN	76.0586	2019-06-16
Asia/Urumqi	46.51872	building	CN	86.00214	2013-02-15
Europe/Paris	43.67681	average	FR	4.63031	2013-06-10
America/Chicago	32.44874	good	US	-99.73314	09/16/2020, 00:00:00
Europe/Kiev	46.75451	good	UA	33.34864	11 Nov 2012
Europe/Berlin	50.64336	accep	DE	7.2278	09/18/2020, 00:00:00
America/New_York	39.45621	accep	US	-77.96389	11/02/2018, 00:00:00
Europe/Rome	44.31771	excellent	IT	9.32241	14 May 2019
Europe/Berlin	51.88333	good	DE	8.51667	30 Sep 2013
America/Sao_Paulo	-26.22861	good	BR	-52.67056	23 Nov 2014
America/New_York	39.32288	excellent	US	-76.72803	2018/06/10
America/Chicago	42.24113	excellent	US	-88.3162	2018/01/11
Europe/Dublin	53.43333	building	IE	-7.95	16 Mar 2017
Europe/Rome	44.59445	good	IT	11.04979	2014-09-07
America/Chicago	41.84364	good	US	-87.71255	2015-04-29
Europe/Kiev	46.65581	accep	UA	32.6178	08/20/2021, 00:00:00
Africa/Algiers	36.72544	excellent	DZ	3.55665	2015/01/28
Africa/Algiers	36.76775	accep	DZ	2.95924	02 Dec 2021
Asia/Kolkata	23.1959	average	IN	86.51499	09/25/2015, 00:00:00
Europe/Berlin	53.59337	accep	DE	9.47629	2017-09-08
Asia/Jakarta	-7.0981	average	ID	109.3243	10/14/2015, 00:00:00
Europe/Brussels	50.74497	excellent	BE	3.20639	09/29/2015, 00:00:00
Europe/London	53.49389	maintenance	GB	-1.29243	20 Jul 2013
Africa/Addis_Ababa	6.03333	good	ET	37.55	07/22/2022, 00:00:00
Africa/Banjul	13.56667	accep	GM	-15.6	03/25/2020, 00:00:00
America/New_York	40.64621	maintenance	US	-73.97069	2020-10-31
Asia/Tokyo	34.25	good	JP	135.31667	2020/04/22
Europe/Helsinki	60.18427	acceptable	FI	24.95034	01/25/2019, 00:00:00
Europe/Berlin	51.19139	average	DE	6.51352	01 Feb 2014
America/Port-au-Prince	18.65297	accep	HT	-72.09391	2022/06/14
Europe/Rome	37.31065	accep	IT	13.57661	11/20/2021, 00:00:00
Asia/Shanghai	37.30553	good	CN	120.82747	04 Jan 2021
Europe/Berlin	52.2	good	DE	8.63333	2015/05/29
Europe/Madrid	38.96667	accep	ES	-0.18333	2018-02-17
Africa/Lagos	7.65649	excellent	NG	4.92235	04/07/2022, 00:00:00
Europe/Rome	45.39402	maintenance	IT	9.29109	2016-05-05
America/New_York	29.65163	average	US	-82.32483	24 Mar 2018
Asia/Manila	14.8361	excellent	PH	120.97844	2021/01/22
America/Matamoros	25.87972	accep	MX	-97.50417	03/06/2019, 00:00:00
Asia/Yangon	16.68911	accep	MM	98.50893	2021-09-28
Europe/Paris	48.79325	accep	FR	2.29275	23 Aug 2015
Europe/Moscow	56.85836	good	RU	35.90057	2014/11/30
Australia/Brisbane	-25.54073	average	AU	152.70493	03/26/2021, 00:00:00
Europe/Berlin	52.4581	excellent	DE	13.28702	2017/10/24
Asia/Irkutsk	51.82721	average	RU	107.60627	02/17/2020, 00:00:00
America/Los_Angeles	33.72255	good	US	-116.37697	12/16/2013, 00:00:00
Asia/Karachi	25.95533	good	PK	68.88871	21 Jul 2022
Europe/Brussels	50.74497	average	BE	3.20639	09 Jul 2014
Asia/Kolkata	20.88197	average	IN	85.83334	15 Dec 2020
America/Chicago	33.44872	excellent	US	-86.78777	24 Nov 2016
America/Recife	-8.66667	excellent	BR	-35.71667	2016-04-23
Asia/Karachi	27.55898	accep	PK	68.21204	29 Apr 2015
Europe/Andorra	42.50729	accep	AD	1.53414	2012-12-02
Europe/London	53.7446	excellent	GB	-0.33525	12/27/2020, 00:00:00
Asia/Bangkok	14.37395	accep	TH	100.48528	2019/12/07
Asia/Manila	10.31672	average	PH	123.89071	05/07/2015, 00:00:00
Asia/Damascus	34.5624	maintenance	SY	38.28402	2015-09-18
Europe/Rome	40.72586	good	IT	8.55552	2013-09-26
Asia/Kolkata	23.1959	good	IN	86.51499	2017-11-14
America/Los_Angeles	47.38093	average	US	-122.23484	2014/03/25
Asia/Kolkata	21.34222	excellent	IN	71.30633	2019-11-26
America/Phoenix	33.50921	good	US	-111.89903	2018-01-19
America/Los_Angeles	33.52253	average	US	-117.70755	2021-07-15
Europe/Brussels	51.03427	average	BE	5.37429	04/27/2021, 00:00:00
Asia/Kolkata	9.57046	average	IN	76.32756	10/26/2020, 00:00:00
Europe/Paris	43.11667	excellent	FR	1.6	2016/08/23
America/Los_Angeles	34.09668	average	US	-117.71978	23 Apr 2017
Europe/Kiev	46.65581	average	UA	32.6178	12/31/2018, 00:00:00
Africa/Johannesburg	-27.76952	building	ZA	30.79165	2013-11-05
Asia/Hong_Kong	22.37066	average	HK	114.10479	08 Jul 2015
America/Los_Angeles	47.4943	average	US	-122.24092	2022/03/11
Europe/London	51.35084	excellent	GB	-1.99421	09/28/2018, 00:00:00
Africa/Abidjan	5.84752	good	CI	-5.682	2016-08-13
America/New_York	39.33427	good	US	-76.43941	06/11/2017, 00:00:00
Africa/Lubumbashi	0.76755	accep	CD	24.43973	2019/07/21
Europe/London	57.14369	average	GB	-2.09814	2019/02/18
America/Toronto	45.4473	accep	CA	-73.75335	2015/04/30
Europe/Skopje	41.92361	accep	MK	20.91361	03 Mar 2013
Asia/Kolkata	15.45144	average	IN	78.14797	05/30/2013, 00:00:00
Asia/Kolkata	22.10194	accep	IN	85.37752	13 Jul 2020
America/Havana	20.14298	excellent	CU	-77.43532	28 May 2018
Europe/Rome	37.31065	excellent	IT	13.57661	2018/07/18
America/Los_Angeles	34.21639	good	US	-119.0376	19 Feb 2013
Indian/Antananarivo	-19.65	excellent	MG	47.31667	29 Dec 2020
Asia/Kolkata	12.95629	maintenance	IN	78.27539	12/05/2016, 00:00:00
Asia/Manila	8.56697	excellent	PH	123.33471	2016-10-01
America/Bogota	7.83389	good	CO	-72.47417	11 Mar 2013
Asia/Kuching	5.90702	average	MY	116.10146	2013-12-22
Europe/Madrid	43.48961	building	ES	-8.2194	29 Sep 2021
Asia/Shanghai	34.65918	accep	CN	109.22921	2018/08/06
Europe/Warsaw	50.5107	excellent	PL	18.30056	18 Aug 2017
America/El_Salvador	13.70167	excellent	SV	-89.10944	2014-06-29
America/Argentina/Buenos_Aires	-34.64966	average	AR	-58.38341	2017/08/17
Asia/Karachi	31.71667	average	PK	73.38333	2014-10-26
Asia/Kolkata	25.92127	accep	IN	86.79271	02/16/2019, 00:00:00
America/Guatemala	14.93333	accep	GT	-91.11667	07/07/2020, 00:00:00
Asia/Shanghai	33.78333	accep	CN	114.51667	2015/10/04
America/New_York	26.2173	building	US	-80.22588	2021/01/16
Asia/Tokyo	44.35056	building	JP	142.45778	2020-10-29
Asia/Jakarta	-8.43333	good	ID	114.33333	2018/07/12
America/Sao_Paulo	-19.7625	average	BR	-44.31389	2019/11/26
America/Port_of_Spain	10.66668	accep	TT	-61.51889	27 Jun 2016
Africa/Accra	6.46346	excellent	GH	-2.31938	2016/11/22
Africa/Libreville	-1.63333	maintenance	GA	13.58357	02 Dec 2012
Europe/Istanbul	39.22493	accep	TR	42.85693	2022/06/27
Europe/Dublin	53.43333	building	IE	-7.95	07/11/2019, 00:00:00
Europe/Moscow	55.64776	excellent	RU	38.02486	2018/01/22
America/Mexico_City	19.32889	average	MX	-99.32556	06/02/2019, 00:00:00
Europe/Amsterdam	51.44889	average	NL	5.51978	27 Jul 2021
America/Sao_Paulo	-22.53722	accep	BR	-42.98194	2015-12-09
America/Lima	-15.21194	excellent	PE	-75.11028	2022/01/21
America/New_York	43.61062	building	US	-72.97261	2013-09-25
America/New_York	34.25628	excellent	US	-78.04471	2014/09/08
America/Los_Angeles	33.93113	building	US	-117.54866	09/27/2016, 00:00:00
Europe/Vilnius	54.39635	accep	LT	24.04142	2018/04/18
America/Denver	39.57582	accep	US	-105.11221	08/15/2016, 00:00:00
America/New_York	40.5576	good	US	-74.28459	2013/09/12
Asia/Yangon	17.30858	good	MM	97.01124	2015/03/21
Europe/Berlin	53.6052	maintenance	DE	10.03988	2022-01-19
America/Los_Angeles	47.4943	good	US	-122.24092	2019-03-18
Asia/Shanghai	36.19278	good	CN	117.65694	2012-11-01
Europe/Vilnius	55.25	accep	LT	24.75	2016/07/10
Europe/Moscow	55.85	building	RU	37.56667	11/26/2017, 00:00:00
Europe/Berlin	52.53048	excellent	DE	13.29371	05/01/2014, 00:00:00
Asia/Kolkata	25.49043	excellent	IN	85.94001	13 Oct 2018
Asia/Kolkata	26.44931	accep	IN	91.61356	16 Mar 2022
America/Detroit	42.97086	maitennce	US	-82.42491	09 Jan 2018
Asia/Kolkata	32.55531	good	IN	76.12647	26 Oct 2020
America/Toronto	45.44868	building	CA	-73.81669	09/11/2017, 00:00:00
Asia/Bangkok	14.64056	excellent	TH	104.64992	11/25/2013, 00:00:00
America/Los_Angeles	36.20829	good	US	-115.98391	2015-01-14
Asia/Karachi	31.71667	average	PK	73.38333	09 Oct 2016
Asia/Shanghai	30.35028	good	CN	112.19028	2020-08-21
America/Phoenix	33.35283	excellent	US	-111.78903	22 Mar 2016
Africa/Dar_es_Salaam	-10.33333	good	TZ	39.28333	2012/12/14
Africa/Tripoli	30.75545	maintenance	LY	20.22625	2021/03/01
Asia/Jakarta	-7.51611	accep	ID	109.05389	24 Aug 2014
Europe/Stockholm	61.72744	excellent	SE	17.10558	2013/05/15
Europe/Moscow	54.8421	building	RU	46.5813	16 Dec 2016
Asia/Tashkent	41.29444	average	UZ	69.67639	12/03/2020, 00:00:00
Asia/Kolkata	10.58806	accep	IN	77.24779	17 May 2015
America/New_York	25.67927	building	US	-80.31727	2019-12-23
Asia/Makassar	-3.5403	good	ID	118.9707	2018-02-11
Europe/Paris	43.61092	excellent	FR	3.87723	05/22/2019, 00:00:00
Africa/Casablanca	33.42585	average	MA	-6.00137	08/28/2021, 00:00:00
Asia/Tehran	33.86419	excellent	IR	48.26258	2016/03/14
Europe/Paris	48.86667	excellent	FR	2.08333	09/12/2020, 00:00:00
America/Puerto_Rico	18.03496	building	PR	-66.8499	2020-04-19
America/Bahia	-12.91667	average	BR	-39.25	23 Nov 2018
America/Phoenix	33.50921	accep	US	-111.89903	2016-02-03
America/Los_Angeles	33.03699	good	US	-117.29198	10 Oct 2020
Asia/Bangkok	13.51825	maintenance	TH	99.95469	2018/03/31
America/Los_Angeles	38.17492	good	US	-122.2608	2022/08/19
Asia/Makassar	-3.5403	excellent	ID	118.9707	2014-03-19
Asia/Manila	16.0438	excellent	PH	120.4861	28 Mar 2016
America/Los_Angeles	36.91023	good	US	-121.75689	26 May 2016
Asia/Manila	12.97389	building	PH	123.99333	26 May 2013
Asia/Tokyo	35.8	accep	JP	137.23333	14 Apr 2014
America/Chicago	41.84364	maintenance	US	-87.71255	25 Apr 2018
Africa/Libreville	-1.63333	accep	GA	13.58357	15 May 2017
Asia/Kolkata	24.41288	good	IN	76.56719	2014-11-27
Asia/Karachi	31.71667	maintenance	PK	73.38333	27 Dec 2013
Europe/Warsaw	54.60528	average	PL	18.34717	10/09/2012, 00:00:00
America/Sao_Paulo	-29.2975	average	BR	-51.50361	2017/04/22
Europe/Tallinn	59.37722	excellent	EE	28.19028	05 Mar 2015
Africa/Lubumbashi	0.49113	accep	CD	29.47306	2015/10/02
Europe/Rome	45.39402	accep	IT	9.29109	2021-10-12
Europe/Kiev	45.99194	maitennce	UA	29.41824	2016-10-02
Asia/Kolkata	28.98002	good	IN	77.70636	2017-08-05
Asia/Jakarta	-7.51611	good	ID	109.05389	16 Oct 2015
Asia/Kolkata	15.45144	accep	IN	78.14797	06/17/2018, 00:00:00
Europe/Warsaw	54.60528	good	PL	18.34717	06/10/2014, 00:00:00
Asia/Jakarta	-7.01833	excellent	ID	107.60389	2020/10/21
Asia/Tokyo	44.35056	excellent	JP	142.45778	2017-04-27
America/Maceio	-10.91722	accep	BR	-37.65	27 Oct 2012
Asia/Kolkata	19.30157	building	IN	72.85107	2020/12/21
Europe/Rome	41.55947	average	IT	14.66737	02/22/2013, 00:00:00
Europe/Rome	45.53069	excellent	IT	9.40531	2015-10-30
America/New_York	40.72371	good	US	-73.95097	2016/10/09
America/Sao_Paulo	-29.2975	building	BR	-51.50361	2022-09-18
Africa/Tunis	37.16911	excellent	TN	10.03478	16 Nov 2019
Europe/London	52.66277	average	GB	-2.01111	2020/12/17
Europe/Berlin	54.52156	average	DE	9.5586	02/22/2020, 00:00:00
Europe/Istanbul	38.13708	excellent	TR	41.00817	15 May 2021
America/Caracas	10.22677	good	VE	-67.33122	20 Feb 2018
Europe/Rome	40.53123	accep	IT	17.58522	07 Dec 2016
Asia/Yakutsk	65.93381	good	RU	111.4834	2021/10/01
Europe/Berlin	51.21667	excellent	DE	6.26667	2013/10/06
America/Vancouver	49.88307	excellent	CA	-119.48568	2015-03-25
Europe/Berlin	51.20219	excellent	DE	7.36027	2013-07-22
Asia/Bishkek	40.93333	accep	KG	73	04 Oct 2014
America/Bogota	5.6561	excellent	CO	-75.87877	26 Nov 2016
Europe/Vilnius	55.25	good	LT	24.75	11/26/2018, 00:00:00
America/Los_Angeles	36.91023	good	US	-121.75689	2019-10-02
America/Lima	-11.94306	excellent	PE	-76.70944	08 Oct 2012
Europe/Berlin	52.59319	good	DE	13.32127	2018-07-24
America/Sao_Paulo	-25.42944	good	BR	-50.00639	01/15/2013, 00:00:00
Europe/Moscow	61.78491	accep	RU	34.34691	18 Apr 2014
America/Los_Angeles	33.95015	building	US	-118.03917	2016-09-29
Europe/Zagreb	43.50891	maintenance	HR	16.43915	2016-01-16
Europe/Berlin	53.6052	good	DE	10.03988	11 Jul 2018
America/Chicago	33.41012	good	US	-91.06177	2019-05-30
Europe/Madrid	41.15612	excellent	ES	1.10687	10/16/2018, 00:00:00
Africa/Addis_Ababa	6.03333	building	ET	37.55	2017-03-11
America/Los_Angeles	45.53929	accep	US	-122.38731	2016-08-10
Asia/Bangkok	16.0567	building	TH	103.65309	08 Aug 2014
Europe/London	51.38673	average	GB	0.30367	2013-06-17
Europe/Istanbul	38.37255	excellent	TR	34.02537	02/21/2022, 00:00:00
Europe/Moscow	54.39304	excellent	RU	53.26023	02/07/2014, 00:00:00
Asia/Manila	14.14989	good	PH	121.3152	2017/01/19
America/Managua	11.84962	excellent	NI	-86.19903	2015-03-29
America/Los_Angeles	38.17492	accep	US	-122.2608	06/10/2013, 00:00:00
America/Cuiaba	-14.66463	excellent	BR	-52.35558	2017-09-05
Asia/Karachi	31.96258	excellent	PK	73.97117	2015-06-26
Asia/Kolkata	23.18	excellent	IN	88.58	07 Jun 2016
America/Los_Angeles	47.80527	average	US	-122.24064	2013/07/12
Asia/Tashkent	40.78206	excellent	UZ	72.34424	2013-07-12
Asia/Kolkata	25.92493	good	IN	73.66633	2013/12/02
Asia/Kolkata	25.49043	excellent	IN	85.94001	2015-01-16
Asia/Yekaterinburg	58.7002	good	RU	59.4839	2020-11-23
Asia/Yekaterinburg	60.97944	average	RU	76.92421	21 Jun 2016
Asia/Tokyo	33.3213	average	JP	130.94098	2016-10-08
Asia/Shanghai	37.30553	building	CN	120.82747	2014-04-28
Asia/Shanghai	38.40917	accep	CN	112.73333	24 Dec 2012
Europe/Berlin	51.08468	accep	DE	7.11393	2013/11/17
Europe/Moscow	46.7055	average	RU	38.2739	2015-08-26
America/Chicago	30.16688	good	US	-96.39774	06/20/2015, 00:00:00
Europe/London	51.84819	average	GB	1.26738	08 Jun 2020
Africa/Douala	4.2475	excellent	CM	9.00472	2013-10-13
America/Martinique	14.67751	excellent	MQ	-60.94228	2021/01/12
Asia/Tokyo	33.4425	average	JP	129.96972	2021/06/22
Australia/Melbourne	-38.16604	maintenance	AU	145.13643	2021-01-11
Asia/Kolkata	23.49668	average	IN	86.68363	20 Mar 2022
Europe/Paris	49.28669	accep	FR	1.00288	05/22/2014, 00:00:00
Europe/Warsaw	51.14942	maintenance	PL	15.00835	2022-09-21
America/Guayaquil	-2.90055	average	EC	-79.00453	19 Jun 2015
Asia/Kolkata	25.92493	average	IN	73.66633	07/20/2013, 00:00:00
America/New_York	27.09978	accep	US	-82.45426	18 Mar 2018
Africa/Casablanca	33.42585	good	MA	-6.00137	16 Nov 2017
Asia/Manila	10.7375	maintenance	PH	122.9666	14 Jul 2016
Asia/Kolkata	22.10194	good	IN	85.37752	08/09/2017, 00:00:00
Europe/Berlin	51.20219	maintenance	DE	7.36027	04/20/2014, 00:00:00
Europe/Paris	45.73333	acceptable	FR	4.91667	2014-02-02
Europe/Moscow	44.92934	good	RU	37.99117	27 Jul 2021
Europe/Sofia	41.57439	good	BG	24.71204	2015/05/03
America/Mexico_City	20.74122	average	MX	-100.44843	03 Oct 2021
America/New_York	33.54428	good	US	-84.23381	06 Aug 2016
America/New_York	41.24255	building	US	-82.61573	08 May 2019
Africa/Tunis	35.72917	accep	TN	10.58082	2013/01/30
Europe/Istanbul	40.98894	excellent	TR	28.67582	11 Nov 2016
Asia/Kolkata	12.95629	accep	IN	78.27539	2016-12-18
America/Lima	-11.94306	excellent	PE	-76.70944	2014/12/27
America/Argentina/Buenos_Aires	-37.32167	maintenance	AR	-59.13316	18 Mar 2014
Europe/Lisbon	38.72706	good	PT	-9.24671	18 May 2022
Africa/Tunis	36.08497	building	TN	9.37082	2018/04/23
Asia/Tokyo	35.06667	excellent	JP	135.21667	2013-06-03
America/Chicago	31.12406	accep	US	-97.90308	2014/04/09
America/Bahia	-10.95817	accep	BR	-38.79084	13 Nov 2021
Africa/Dar_es_Salaam	-4.83	accep	TZ	29.65806	19 Sep 2018
America/Boise	43.54072	good	US	-116.56346	09/14/2019, 00:00:00
Africa/Kigali	-1.9487	accep	RW	30.4347	12 Sep 2022
Africa/Abidjan	5.27247	maintenance	CI	-3.59625	2015/01/05
America/Port_of_Spain	10.66668	average	TT	-61.51889	28 Jan 2017
Asia/Jakarta	-7.81667	accep	ID	112.01667	2013-04-20
Europe/Berlin	52.21099	building	DE	7.02238	20 Sep 2015
Africa/Niamey	13.70727	accep	NE	9.15013	2022/03/27
Asia/Tokyo	35.815	accep	JP	139.6853	2022-02-06
America/Toronto	42.8334	accep	CA	-80.38297	2016-12-18
America/Mexico_City	19.04222	excellent	MX	-98.11889	2015-12-28
America/Chicago	38.06084	good	US	-97.92977	2015/12/21
Europe/London	50.11861	excellent	GB	-5.53715	2019-12-28
Europe/Berlin	50.80904	excellent	DE	8.77069	2015-03-25
Europe/London	56.56317	good	GB	-2.58736	08 Dec 2021
Europe/Amsterdam	51.95838	excellent	NL	4.47124	09/14/2022, 00:00:00
Asia/Dili	-8.99167	average	TL	125.21972	2021/09/15
Europe/Brussels	50.74497	building	BE	3.20639	30 Nov 2020
Africa/Lagos	4.92675	good	NG	6.26764	2022-06-08
Europe/Amsterdam	51.955	good	NL	5.22778	02/22/2016, 00:00:00
Asia/Kolkata	22.4711	average	IN	88.1453	12/12/2021, 00:00:00
Europe/Rome	45.79377	average	IT	8.88104	2021/01/17
Europe/Volgograd	50.06	average	RU	43.2379	2019-09-24
Europe/Istanbul	39.12074	average	TR	27.18052	2019-08-31
Europe/Brussels	50.56149	accep	BE	4.69889	2022-05-19
America/New_York	42.93369	excellent	US	-72.27814	04/15/2020, 00:00:00
Europe/Brussels	51.24197	maintenance	BE	4.82313	2020/05/16
America/New_York	40.5576	good	US	-74.28459	13 Nov 2016
Europe/Rome	42.67164	excellent	IT	14.01481	2014-07-26
Africa/Porto-Novo	8.88649	building	BJ	2.59753	20 Jan 2019
Asia/Krasnoyarsk	55.54028	excellent	RU	89.20083	2016/10/02
America/New_York	26.68451	good	US	-80.66756	2020/01/22
Asia/Shanghai	24.28859	excellent	CN	116.11768	07 May 2016
Europe/Amsterdam	52.09	average	NL	5.23333	11/24/2017, 00:00:00
America/Chicago	45.16024	building	US	-93.08883	28 Dec 2019
Asia/Jakarta	-7.0981	building	ID	109.3243	17 Jul 2014
Europe/Oslo	68.79833	average	NO	16.54165	05/20/2014, 00:00:00
Europe/Berlin	50.23019	excellent	DE	8.77155	2019-07-11
Africa/Lagos	6.15038	average	NG	6.83042	05 Nov 2012
America/Los_Angeles	47.64995	acceptable	US	-117.23991	2020/06/02
Europe/Rome	37.49223	good	IT	15.07041	27 Oct 2013
Asia/Hong_Kong	22.37066	building	HK	114.10479	21 Feb 2014
Asia/Shanghai	35.20889	excellent	CN	111.73861	29 Oct 2019
America/Sao_Paulo	-25.42778	good	BR	-49.27306	07 Feb 2020
Africa/Lagos	12.74482	accep	NG	4.52514	2015/11/18
Europe/Paris	43.2907	average	FR	5.4384	12 Mar 2013
Asia/Kolkata	25.75728	average	IN	75.37991	2016-10-28
Asia/Yekaterinburg	56.11281	good	RU	69.49015	03 May 2020
Africa/Casablanca	33.43443	excellent	MA	-5.22126	2021-09-09
America/Mexico_City	19.32889	good	MX	-99.32556	2019/08/23
Europe/Berlin	48.49144	maintenance	DE	9.20427	2013/07/03
Asia/Kolkata	9.82564	building	IN	78.25795	2022-02-16
Europe/Amsterdam	52.71083	excellent	NL	5.74861	01/07/2013, 00:00:00
America/Chicago	41.57721	good	US	-93.71133	2015/01/24
Asia/Manila	10.7375	good	PH	122.9666	06 Nov 2017
Europe/Rome	43.78956	average	IT	7.60872	2021-03-22
Africa/Algiers	36.72544	average	DZ	3.55665	07/21/2019, 00:00:00
Europe/Moscow	54.90083	average	RU	38.07083	18 Aug 2018
Asia/Taipei	23.5654	average	TW	119.58627	2020-10-28
Australia/Brisbane	-27.50578	maintenance	AU	153.10236	2020/12/09
Asia/Yekaterinburg	55.75556	excellent	RU	60.70278	2018-09-02
Europe/Berlin	50.82709	building	DE	6.9747	2017-06-07
Europe/Bucharest	44.43579	good	RO	26.01649	14 Mar 2019
Europe/London	53.38333	accep	GB	-0.76667	2015-03-21
America/New_York	37.52487	average	US	-77.55777	22 Sep 2016
America/New_York	40.5576	average	US	-74.28459	27 Mar 2015
Europe/Paris	43.61058	average	FR	1.33467	2016/11/18
America/Bogota	3.8801	good	CO	-77.03116	2015-04-28
Africa/Dar_es_Salaam	-7.76667	building	TZ	35.7	2020-12-01
America/Argentina/Cordoba	-31.25033	maintenance	AR	-61.4867	2016-05-04
Africa/Algiers	36.61954	maintenance	DZ	4.08282	09/13/2014, 00:00:00
Asia/Tokyo	35.30889	excellent	JP	139.55028	10/04/2021, 00:00:00
Europe/Paris	43.2907	accep	FR	5.4384	18 Jul 2016
Europe/Helsinki	60.2052	good	FI	24.6522	2022/02/19
Europe/Moscow	54.90083	excellent	RU	38.07083	06/10/2017, 00:00:00
Europe/Berlin	48.73218	accep	DE	11.18709	10/15/2012, 00:00:00
Europe/Dublin	53.53333	excellent	IE	-7.35	2017-12-02
Europe/Podgorica	42.28639	good	ME	18.84	2013/11/14
Asia/Kolkata	25.87498	average	IN	86.59611	2020/01/11
Europe/Vienna	47.05	accep	AT	15.46667	2012-10-26
Europe/Prague	50.50301	excellent	CZ	13.63617	2015/12/19
Europe/Berlin	50.80904	average	DE	8.77069	02/05/2016, 00:00:00
Asia/Tokyo	44.35056	good	JP	142.45778	20 Apr 2015
America/Chicago	34.77453	average	US	-96.67834	2017-07-27
America/Halifax	46.23899	good	CA	-63.13414	04/07/2022, 00:00:00
Asia/Kolkata	31.28092	good	IN	74.85849	25 Jul 2014
Asia/Shanghai	35.64889	excellent	CN	117.27583	2013-02-25
Asia/Tokyo	44.35056	accep	JP	142.45778	2016-11-11
Europe/Amsterdam	51.65333	good	NL	5.2875	2014-01-20
Asia/Novokuznetsk	55.8736	average	RU	85.4265	03/01/2013, 00:00:00
America/Argentina/Cordoba	-31.4488	average	AR	-60.93173	2021-04-12
America/Los_Angeles	34.09668	excellent	US	-117.71978	28 May 2013
America/Chicago	41.57721	accep	US	-93.71133	23 Oct 2019
Europe/Berlin	54.52156	excellent	DE	9.5586	2018/03/10
America/New_York	39.00622	acceptable	US	-77.4286	2016-04-05
Europe/Rome	40.92298	excellent	IT	14.30935	2015-10-12
Asia/Kolkata	25.49043	good	IN	85.94001	2022/06/01
Europe/Helsinki	65.84811	average	FI	24.14662	2019/08/20
Europe/Berlin	52.2	maintenance	DE	8.63333	2021/10/07
America/Los_Angeles	34.09668	accep	US	-117.71978	01 Feb 2014
Europe/London	51.38673	good	GB	0.30367	2020/06/02
America/New_York	41.24255	building	US	-82.61573	2019/09/21
Europe/Moscow	60.02427	good	RU	30.28491	2016/11/25
America/New_York	40.94065	building	US	-73.99681	2016/05/08
Europe/Rome	45.44694	accep	IT	8.62118	2016/01/12
Europe/Madrid	40.70995	excellent	ES	0.57856	2013-02-06
Europe/Vilnius	55.25	average	LT	24.75	12/08/2013, 00:00:00
Asia/Jakarta	-6.48167	building	ID	106.85417	19 Mar 2019
Asia/Tokyo	34.75856	good	JP	136.13108	2022/09/16
Africa/Niamey	13.70727	accep	NE	9.15013	02/11/2021, 00:00:00
America/Chicago	32.35126	average	US	-95.30106	07/06/2015, 00:00:00
Asia/Kolkata	21.53889	good	IN	71.57737	02/09/2019, 00:00:00
Asia/Kolkata	24.81757	excellent	IN	84.63445	16 Jan 2017
Europe/Berlin	51.168	average	DE	7.973	01/12/2022, 00:00:00
Asia/Kolkata	10.58806	accep	IN	77.24779	2017/10/16
Asia/Jakarta	-7.73379	average	ID	113.69785	2013-03-04
America/New_York	41.9001	average	US	-71.08977	2022-02-06
America/Chicago	32.52515	building	US	-93.75018	2013-01-30
America/Chicago	35.61452	good	US	-88.81395	23 Aug 2020
Asia/Kolkata	29.21399	excellent	IN	78.95693	17 Nov 2015
Europe/Berlin	51.08468	accep	DE	7.11393	06 Feb 2013
America/Chicago	36.02506	accep	US	-86.77917	05/27/2016, 00:00:00
Asia/Kuala_Lumpur	1.6	good	MY	103.81667	2018-05-08
Africa/Johannesburg	-26.93366	average	ZA	29.24152	2019-08-18
America/New_York	40.57788	building	US	-73.95958	07/01/2015, 00:00:00
Europe/Rome	42.22718	good	IT	14.39024	10/17/2021, 00:00:00
America/Bahia	-15.675	accep	BR	-38.94722	2018-08-18
Africa/Algiers	35.21222	excellent	DZ	2.31889	2020/12/27
America/El_Salvador	13.70167	good	SV	-89.10944	12/25/2019, 00:00:00
Asia/Manila	10.7375	average	PH	122.9666	2018-06-19
America/Sao_Paulo	-28.24	maintenance	BR	-48.67028	12/16/2013, 00:00:00
America/Los_Angeles	34.09611	accep	US	-118.10583	2015/02/15
Africa/Tunis	37.16911	accep	TN	10.03478	2018-05-26
Europe/Berlin	50.80019	building	DE	7.20769	12/07/2018, 00:00:00
Europe/Warsaw	54.60528	accep	PL	18.34717	11/22/2020, 00:00:00
Europe/Amsterdam	52.14	excellent	NL	5.58472	2017/09/09
Europe/Berlin	51.30001	excellent	DE	13.10984	2020/01/28
