location	QoS	longitude	revision	latitude	station
Europe/Moscow	good	34.33825	2021-09-13	53.59782	Dyat’kovo
Asia/Manila	accep	124.84472	2019-12-23	10.13361	Maasin
America/Chicago	good	-88.31476	2017/10/14	36.61033	Murray
Asia/Kolkata	excellent	74.85849	10/02/2017, 00:00:00	31.28092	Patti
Asia/Karachi	good	68.21204	2018/01/23	27.55898	Larkana
America/Chicago	average	-88.3162	19 Oct 2016	42.24113	Crystal Lake
America/New_York	building	-74.38987	14 Feb 2022	40.65538	Scotch Plains
Asia/Karachi	maintenance	72.54566	2017-06-26	29.69221	Hasilpur
Africa/Algiers	average	4.62744	01/24/2018, 00:00:00	36.06386	El Achir
America/New_York	excellent	-81.56929	2012-12-26	41.55838	Collinwood
Europe/Lisbon	excellent	-9.24671	2019/10/02	38.72706	Carnaxide
Africa/Tripoli	building	10.18003	2022/01/27	24.96334	Ghat
Europe/Rome	average	8.88104	12/21/2021, 00:00:00	45.79377	Malnate
Europe/Rome	average	14.01481	2018/09/08	42.67164	Roseto degli Abruzzi
America/New_York	accep	-74.07764	2018/09/07	40.72816	Jersey City
Europe/Berlin	maintenance	7.2278	2017/05/01	50.64336	Bad Honnef
America/Chicago	maintenance	-91.73625	2017/05/11	35.25064	Searcy
America/New_York	excellent	-74.15987	21 Jun 2018	40.82232	Nutley
Europe/Paris	excellent	8.73812	13 Nov 2012	41.91886	Ajaccio
America/Sao_Paulo	average	-42.19667	2015-04-25	-21.41222	Miracema
Europe/London	average	-4.21376	07/23/2014, 00:00:00	55.82885	Rutherglen
Europe/Warsaw	good	19.27498	05 Feb 2013	50.20528	Jaworzno
Australia/Brisbane	average	152.70493	2021/03/18	-25.54073	Maryborough
America/Bogota	accep	-73.26022	03/02/2022, 00:00:00	6.46838	Socorro
America/Mexico_City	accep	-103.5687	04/12/2020, 00:00:00	20.22816	Zacoalco de Torres
America/Mexico_City	good	-100.88023	2022-07-10	20.21322	Salvatierra
Asia/Tehran	accep	47.3799	2012/11/08	33.14447	Darreh Shahr
Europe/Belgrade	good	20.89389	12/22/2019, 00:00:00	42.62833	Glogovac
Asia/Shanghai	average	117.7	2014-09-28	35.85	Dongdu
America/New_York	accep	-70.92866	2014/10/22	42.52787	Peabody
America/New_York	good	-73.0515	2016-08-04	41.55815	Waterbury
America/Chicago	average	-88.70464	2016-07-17	34.25807	Tupelo
Europe/Rome	excellent	9.40531	01 Dec 2016	45.53069	Gorgonzola
Asia/Shanghai	maintenance	117.81667	02/23/2018, 00:00:00	36.81667	Zhoucun
America/Sao_Paulo	accep	-44.31389	06/20/2021, 00:00:00	-19.7625	Esmeraldas
America/Mexico_City	accep	-102.04897	2022-03-27	19.64745	Paracho de Verduzco
Asia/Shanghai	excellent	117.4831	15 Dec 2021	27.34089	Shaowu
Asia/Seoul	building	128.9889	30 Nov 2015	37.1759	T’aebaek
Africa/Algiers	excellent	4.08282	11/28/2020, 00:00:00	36.61954	Beni Douala
Asia/Kolkata	maintenance	71.30633	2018/12/30	21.34222	Kundla
Europe/Madrid	excellent	-3.53261	03/24/2019, 00:00:00	40.42386	San Fernando de Henares
Asia/Aden	good	46.83187	2016/11/30	14.53767	Ataq
Asia/Tehran	accep	51.49621	21 May 2016	36.64852	Nowshahr
America/Port-au-Prince	accep	-72.09391	13 Feb 2018	18.65297	Thomazeau
Europe/Paris	good	2.45012	11/03/2019, 00:00:00	48.90982	Bobigny
America/Bahia	average	-38.94722	2016/11/20	-15.675	Canavieiras
Asia/Shanghai	good	111.73861	23 Nov 2018	35.20889	Changzhi
America/New_York	excellent	-70.92866	06/24/2021, 00:00:00	42.52787	Peabody
Asia/Kolkata	accep	77.54372	2019-05-30	10.12268	Periyakulam
Asia/Hebron	good	35.23388	04 Apr 2019	31.78336	East Jerusalem
Europe/Moscow	excellent	37.49338	31 Oct 2018	55.62047	Tyoply Stan
Europe/Istanbul	excellent	34.37389	2020/12/12	40.1675	Sungurlu
Europe/Paris	excellent	8.73812	04 Aug 2013	41.91886	Ajaccio
America/New_York	average	-77.02303	2013/12/12	38.70734	Fort Washington
Asia/Kolkata	maintenance	74.80555	2019/01/17	34.08565	Srinagar
Asia/Tokyo	building	136.61667	2018/08/31	36.53333	Nonoichi
Asia/Shanghai	excellent	114.68333	07/21/2019, 00:00:00	23.73333	Heyuan
Indian/Antananarivo	excellent	44.53333	30 Mar 2013	-22.9	Sakaraha
America/New_York	accep	-73.97069	01 Jan 2022	40.64621	Kensington
Asia/Jerusalem	excellent	34.86563	2012/11/10	31.92923	Ramla
Asia/Shanghai	maintenance	117.7	09/05/2014, 00:00:00	35.85	Dongdu
Asia/Kolkata	average	75.35927	09 Nov 2020	12.04161	Talipparamba
Asia/Manila	good	123.33471	2014/04/26	8.56697	Dipolog
Asia/Bangkok	good	103.65309	02/15/2018, 00:00:00	16.0567	Roi Et
America/New_York	excellent	-77.96389	10/04/2017, 00:00:00	39.45621	Martinsburg
America/Los_Angeles	accep	-122.24064	2014/11/01	47.80527	Bothell West
Africa/Djibouti	average	42.7125	2016/08/29	11.15583	'Ali Sabieh
Asia/Novokuznetsk	good	85.4265	2016/07/10	55.8736	Yashkino
Europe/Berlin	accep	12.16179	01 Jun 2015	48.52961	Landshut
America/Managua	excellent	-86.19903	01/31/2022, 00:00:00	11.84962	Jinotepe
Asia/Kolkata	good	77.40858	2018-01-15	24.05979	Leteri
America/Menominee	average	-88.64235	2015/12/15	46.09273	Iron River
Asia/Bangkok	excellent	101.18445	2020/01/03	13.44581	Phanat Nikhom
Asia/Shanghai	accep	120.33063	15 Feb 2019	37.65181	Longgang
Europe/London	accep	-4.21376	07/16/2019, 00:00:00	55.82885	Rutherglen
Europe/Chisinau	good	28.28489	2013-08-29	48.15659	Soroca
Africa/Tunis	building	10.03478	2016-09-03	37.16911	El Alia
Europe/Madrid	average	-5.55835	2013-05-04	42.64685	Villaquilambre
Asia/Shanghai	average	111.50861	2017/11/09	32.54278	Danjiangkou
Europe/London	accep	-2.1875	2022-09-18	51.26	Westbury
Europe/Berlin	accep	11.18709	2013/03/04	48.73218	Neuburg an der Donau
America/New_York	excellent	-80.66756	2016-01-08	26.68451	Belle Glade
America/Mexico_City	maintenance	-93.11308	2019/02/12	16.75973	Tuxtla
Asia/Kolkata	accep	73.85535	2013-01-31	18.51957	Pune
Africa/Dar_es_Salaam	maintenance	37.00438	08 Jul 2022	-7.60361	Kidodi
America/Chicago	building	-96.67834	2015-10-09	34.77453	Ada
Australia/Melbourne	good	145.18333	18 Feb 2013	-37.9	Wheelers Hill
Asia/Dushanbe	average	69.01354	2019-11-13	38.55632	Vahdat
America/Mexico_City	average	-100.88023	2019/10/15	20.21322	Salvatierra
Asia/Kuala_Lumpur	average	100.24529	11/12/2018, 00:00:00	5.4709	Batu Feringgi
Asia/Manila	excellent	122.8637	2015-03-02	9.3337	Santa Catalina
Europe/Berlin	good	6.8625	08 Nov 2013	51.47805	Oberhausen
Africa/Djibouti	excellent	42.7125	2017/01/06	11.15583	'Ali Sabieh
Europe/Amsterdam	excellent	5.58472	2016/06/25	52.14	Barneveld
America/Port-au-Prince	excellent	-72.22625	2018/03/02	18.57677	Croix-des-Bouquets
Europe/Saratov	accep	46.04833	2015/08/22	51.40944	Privolzhskiy
America/New_York	excellent	-74.38987	2014-01-15	40.65538	Scotch Plains
Europe/Madrid	average	-6.03731	03 Feb 2022	37.35813	San Juan de Aznalfarache
Africa/Algiers	excellent	4.08282	28 Jul 2018	36.61954	Beni Douala
America/New_York	excellent	-76.88442	2017/09/02	40.2737	Harrisburg
Europe/Kiev	accep	31.33078	2017-05-14	47.56494	Voznesensk
Asia/Tokyo	building	137.02166	13 Oct 2015	35.48199	Minokamo
Europe/Paris	good	-0.45877	2014-01-19	46.32313	Niort
Europe/Madrid	maintenance	2.35739	02/17/2017, 00:00:00	41.63976	Cardedeu
America/Toronto	building	-80.38297	2021/08/16	42.8334	Norfolk County
America/Port-au-Prince	accep	-72.09391	30 Apr 2021	18.65297	Thomazeau
Europe/Rome	building	14.30935	2016/08/27	40.92298	Afragola
Asia/Damascus	accep	36.7138	11/26/2016, 00:00:00	35.95664	Binnish
America/Chicago	excellent	-88.31476	2013/05/07	36.61033	Murray
Africa/Lagos	average	4.18333	05/05/2019, 00:00:00	7.6	Olupona
Asia/Shanghai	average	114.51667	10/05/2012, 00:00:00	33.78333	Wacheng
Europe/Istanbul	good	34.02537	2016/02/16	38.37255	Aksaray
Asia/Kolkata	average	72.93924	2018-08-02	18.87813	Uran
Europe/Rome	good	8.62118	2014/07/02	45.44694	Novara
Europe/Kiev	average	30.96755	2014/12/16	49.07866	Zvenihorodka
Asia/Manila	good	120.97844	2021-09-15	14.8361	Guyong
Asia/Shanghai	maintenance	126.28333	2018-01-24	45.35	Shuangcheng
Africa/Algiers	maintenance	3.55665	2014-03-11	36.72544	Thenia
Asia/Tokyo	excellent	144.09638	2020/12/30	43.82634	Motomachi
America/Toronto	accep	-80.38297	10/06/2014, 00:00:00	42.8334	Norfolk County
America/Fortaleza	average	-41.45861	02/03/2022, 00:00:00	-4.42472	Pedro II
Asia/Tokyo	average	140.11667	2013-09-26	37.56667	Inawashiro
America/Denver	good	-111.99633	02 Aug 2013	40.65995	Kearns
Africa/Accra	building	-1.98956	17 May 2021	5.30383	Tarkwa
Asia/Kolkata	excellent	78.95693	02 Apr 2021	29.21399	Kashipur
Asia/Shanghai	building	125.51176	2019-06-02	42.64031	Dongfeng
Africa/Nairobi	good	35.59642	2020/08/14	3.11988	Lodwar
Asia/Jakarta	maintenance	109.3243	2014-02-15	-7.0981	Randudongkal
Asia/Jerusalem	average	34.8732	22 Feb 2013	32.05971	Ganei Tikva
Europe/Berlin	average	6.74549	15 Aug 2016	49.5099	Losheim
Europe/Rome	good	11.04979	2021/06/25	44.59445	Castelfranco Emilia
Asia/Kolkata	average	76.56719	2014/12/17	24.41288	Aklera
America/Havana	average	-82.00919	2013-02-01	23.04419	Jaruco
Asia/Kolkata	excellent	78.15794	04/05/2020, 00:00:00	12.1277	Dharmapuri
America/Los_Angeles	average	-122.24092	26 Nov 2020	47.4943	Bryn Mawr-Skyway
Europe/London	excellent	1.26738	01 Feb 2019	51.84819	Walton-on-the-Naze
Asia/Kolkata	excellent	77.54372	2021-01-01	10.12268	Periyakulam
Europe/Sarajevo	excellent	19.21437	2020-07-07	44.75874	Bijeljina
Africa/Libreville	accep	13.58357	06/12/2015, 00:00:00	-1.63333	Franceville
Europe/Lisbon	excellent	-8.33147	18 Oct 2021	41.20485	Paredes
Africa/Dar_es_Salaam	accep	37.73333	2018-04-25	-4.06667	Same
America/New_York	maintenance	-74.15987	17 Aug 2015	40.82232	Nutley
Asia/Kolkata	building	74.85849	2021/01/03	31.28092	Patti
Indian/Antananarivo	excellent	44.53333	2014-09-23	-22.9	Sakaraha
Asia/Shanghai	average	120.82747	09/21/2016, 00:00:00	37.30553	Zhuangyuan
Asia/Karachi	good	74.12286	2015/11/29	30.76468	Kanganpur
America/Chicago	good	-89.99038	12/23/2012, 00:00:00	38.58894	Fairview Heights
Europe/London	good	-0.91979	2017-05-18	51.42708	Lower Earley
America/Bahia	accep	-37.93278	2020/02/13	-11.48472	Rio Real
America/Denver	excellent	-111.90466	2015-04-03	40.34912	Saratoga Springs
Europe/Berlin	excellent	9.85	09 Jun 2017	53.63333	Halstenbek
America/Fortaleza	accep	-40.7475	2015-07-10	-4.16694	Guaraciaba do Norte
America/New_York	good	-73.20483	2021/08/27	41.16704	Bridgeport
America/Mexico_City	building	-97.35992	2017-03-02	19.8173	Teziutlan
Asia/Kolkata	building	85.83636	08 Jul 2019	25.66795	Dalsingh Sarai
Europe/Warsaw	accep	16.86194	10/08/2017, 00:00:00	54.58048	Ustka
America/Chicago	good	-91.58045	27 Dec 2020	41.6764	Coralville
America/Bahia	excellent	-37.93278	2022-02-08	-11.48472	Rio Real
America/New_York	accep	-80.31727	2021-09-22	25.67927	Kendall
Asia/Kolkata	average	77.70636	02/12/2017, 00:00:00	28.98002	Meerut
Europe/Madrid	good	-1.325	16 Oct 2013	38.47917	Jumilla
Europe/Paris	accep	2.2469	12 Feb 2022	48.90472	La Garenne-Colombes
Asia/Taipei	excellent	119.58627	2017/11/01	23.5654	Magong
Europe/Kiev	accep	30.96755	2013/05/31	49.07866	Zvenihorodka
Europe/Paris	average	-0.45877	2015/08/17	46.32313	Niort
Europe/Rome	good	14.39024	2013-06-02	42.22718	Lanciano
Europe/Paris	average	-1.05366	05 Sep 2013	43.71032	Dax
Asia/Kolkata	building	76.56719	28 Feb 2019	24.41288	Aklera
Asia/Yekaterinburg	excellent	60.70278	02/16/2021, 00:00:00	55.75556	Ozersk
America/New_York	good	-82.61573	2016/06/03	41.24255	Norwalk
Asia/Kolkata	average	76.32756	11/07/2016, 00:00:00	9.57046	Kalavoor
Europe/Amsterdam	good	6.92917	2015-09-03	52.31333	Oldenzaal
America/Los_Angeles	accep	-118.10583	2016/12/03	34.09611	San Gabriel
Europe/Moscow	average	43.91385	09/26/2014, 00:00:00	54.03876	Kovylkino
Asia/Shanghai	good	116.11768	23 Feb 2019	24.28859	Meizhou
Asia/Aden	building	46.83187	12/21/2017, 00:00:00	14.53767	Ataq
Europe/Oslo	maintenance	16.54165	2013-01-20	68.79833	Harstad
Asia/Colombo	accep	79.87116	08/14/2016, 00:00:00	6.84019	Dehiwala-Mount Lavinia
Europe/Kiev	average	27.06365	19 Mar 2022	50.18545	Shepetivka
America/Chicago	excellent	-89.99038	2020-06-29	38.58894	Fairview Heights
Asia/Karachi	accep	68.11759	2014/02/27	26.9423	Tharu Shah
Europe/Berlin	accep	8.4493	2020-06-12	50.09019	Hofheim am Taunus
Europe/Rome	excellent	8.55552	21 Sep 2019	40.72586	Sassari
America/New_York	accep	-73.75513	08 Jul 2015	40.60538	Far Rockaway
Asia/Jerusalem	average	34.75699	2018/02/05	31.39547	Rahat
America/Managua	excellent	-86.58208	02/03/2022, 00:00:00	13.48082	Somoto
America/Panama	building	-79.62098	2015/03/18	9.15093	Chilibre
America/Bogota	building	-74.73584	10 Sep 2017	5.20856	Honda
Europe/Berlin	maintenance	13.32127	2020/12/29	52.59319	Wittenau
Europe/Berlin	building	8.77069	08 Jun 2013	50.80904	Marburg an der Lahn
Africa/Mogadishu	good	43.38531	2022/06/26	9.89206	Baki
Europe/Kiev	average	31.33078	2014/05/31	47.56494	Voznesensk
Europe/Istanbul	good	34.37389	10/05/2015, 00:00:00	40.1675	Sungurlu
Asia/Manila	accep	123.62494	17 May 2022	12.37169	Masbate
America/Argentina/Buenos_Aires	average	-59.13316	2015/02/28	-37.32167	Tandil
Asia/Karachi	accep	71.67164	2017/06/18	30.29184	Qadirpur Ran
Europe/London	excellent	-0.2	11/17/2019, 00:00:00	51.65	Barnet
Asia/Tokyo	excellent	139.6853	2018-09-08	35.815	Shimotoda
America/Sao_Paulo	maintenance	-42.98194	16 May 2020	-22.53722	Guapimirim
America/Los_Angeles	maintenance	-117.23991	2015-09-09	47.64995	Opportunity
America/New_York	average	-73.78458	2015-02-25	41.0051	Scarsdale
Asia/Kolkata	excellent	72.93924	2020/05/06	18.87813	Uran
Europe/London	accep	-1.06667	10/30/2015, 00:00:00	53.78333	Selby
Europe/Madrid	average	-5.55835	2013/06/08	42.64685	Villaquilambre
Africa/Kampala	good	30.98551	27 Dec 2012	2.41669	Paidha
Europe/Brussels	average	3.16667	24 May 2021	50.8	Wevelgem
Asia/Kolkata	accep	76.12647	2019-09-08	32.55531	Chamba
Europe/Madrid	good	-0.18333	02/11/2022, 00:00:00	38.96667	Gandia
America/El_Salvador	accep	-89.71472	2020-02-10	13.73417	Sonzacate
Europe/Moscow	building	36.73307	18 Feb 2018	55.38752	Naro-Fominsk
Europe/Brussels	accep	3.20639	2018/11/13	50.74497	Mouscron
Asia/Kolkata	good	74.3092	06 Sep 2017	33.37526	Rajaori
Europe/Berlin	excellent	8.86704	2020/10/22	50.23805	Nidderau
America/Mexico_City	excellent	-93.11308	22 Mar 2016	16.75973	Tuxtla
Africa/Kampala	building	32.88667	07/21/2019, 00:00:00	3.27833	Kitgum
America/Menominee	excellent	-88.64235	07 Feb 2022	46.09273	Iron River
America/New_York	excellent	-73.75513	2020-03-12	40.60538	Far Rockaway
America/Los_Angeles	acceptable	-122.2608	2019-08-08	38.17492	American Canyon
America/Los_Angeles	average	-121.74052	12/10/2018, 00:00:00	38.54491	Davis
America/Los_Angeles	maintenance	-118.10583	2015/05/11	34.09611	San Gabriel
America/Maceio	accep	-37.07167	07/20/2013, 00:00:00	-10.91111	Aracaju
Indian/Antananarivo	building	44.53333	03/28/2020, 00:00:00	-22.9	Sakaraha
Europe/London	maintenance	-2.01111	2013/07/12	52.66277	Great Wyrley
Europe/Rome	excellent	15.00913	2019/05/30	37.51803	Misterbianco
Asia/Yekaterinburg	accep	76.92421	2020-08-24	60.97944	Izluchinsk
Europe/London	good	-1.5443	11/28/2017, 00:00:00	50.75767	Lymington
America/Argentina/Tucuman	accep	-65.61427	2016/07/31	-27.4338	Aguilares
Australia/Sydney	good	151.08057	2014-10-05	-33.79176	Eastwood
America/Chicago	average	-93.263	02 May 2018	45.0408	Columbia Heights
Asia/Jakarta	good	99.1625	2017/07/02	3.3285	Tebingtinggi
Europe/Moscow	good	30.38167	2016/01/10	59.80917	Shushary
Indian/Antananarivo	good	48.41667	03/26/2022, 00:00:00	-17.83333	Ambatondrazaka
Europe/Berlin	accep	6.8625	2019/01/23	51.47805	Oberhausen
America/New_York	building	-82.90375	2017/09/20	32.54044	Dublin
Europe/Helsinki	good	24.6522	08 Sep 2016	60.2052	Espoo
Asia/Karachi	average	71.57118	2017/01/01	32.87533	Daud Khel
Asia/Kolkata	excellent	77.9129	2017-12-17	25.6439	Narwar
Europe/Zagreb	accep	16.43915	2013-09-24	43.50891	Split
America/Chicago	excellent	-91.06177	2022/01/24	33.41012	Greenville
Asia/Kolkata	building	85.94001	2021/03/18	25.49043	Teghra
Europe/Rome	accep	7.60872	2022-02-19	43.78956	Ventimiglia
Europe/London	excellent	-1.29243	10/17/2021, 00:00:00	53.49389	Mexborough
Asia/Bangkok	accep	99.96667	2022-01-13	8.43333	Nakhon Si Thammarat
Europe/Warsaw	good	19.27498	2021-10-13	50.20528	Jaworzno
Europe/Lisbon	building	-7.32097	07/08/2018, 00:00:00	41.1053	Custoias
America/New_York	good	-75.23266	11 May 2018	43.1009	Utica
America/Bahia	excellent	-38.79084	2015-06-27	-10.95817	Tucano
Europe/Paris	excellent	2.61667	2012/09/28	48.98333	Mitry-Mory
Asia/Tokyo	good	130.94098	2018/04/30	33.3213	Hita
Asia/Colombo	good	79.883	03/13/2018, 00:00:00	6.9909	Hendala
America/Recife	good	-35.71667	2022-08-16	-8.66667	Catende
America/New_York	maintenance	-77.37331	2015-04-02	37.60876	Mechanicsville
America/New_York	accep	-74.28459	2017/06/06	40.5576	Woodbridge
Europe/Lisbon	average	-8.33147	07 Aug 2020	41.20485	Paredes
Asia/Kolkata	excellent	88.1453	23 Sep 2019	22.4711	Pujali
America/Cuiaba	average	-52.35558	05/27/2015, 00:00:00	-14.66463	Nova Xavantina
Europe/Zaporozhye	building	38.15035	2013/03/20	49.41029	Svatove
Asia/Yerevan	maintenance	44.7662	2012-11-01	40.49748	Hrazdan
America/Detroit	accep	-84.62081	11/19/2014, 00:00:00	42.7392	Waverly
America/Los_Angeles	building	-116.37697	2021-03-31	33.72255	Palm Desert
America/New_York	excellent	-83.55521	11 Oct 2019	41.66394	Toledo
Asia/Kolkata	excellent	85.83636	11/14/2019, 00:00:00	25.66795	Dalsingh Sarai
America/Denver	building	-111.90466	06 Nov 2021	40.34912	Saratoga Springs
Asia/Tokyo	good	140.73667	2013/03/31	41.77583	Hakodate
Asia/Kuching	average	116.10146	12/04/2013, 00:00:00	5.90702	Donggongon
America/New_York	excellent	-83.2321	06/24/2019, 00:00:00	33.08014	Milledgeville
Europe/Warsaw	accep	19.27498	05/17/2019, 00:00:00	50.20528	Jaworzno
Asia/Manila	maintenance	124.3697	2020/12/19	9.6531	Jagna
America/New_York	accep	-73.0515	12 Feb 2022	41.55815	Waterbury
Asia/Jakarta	average	112.23109	08/18/2015, 00:00:00	-7.57897	Diwek
Europe/Rome	accep	14.30935	2018/12/21	40.92298	Afragola
America/Chicago	excellent	-87.93341	2020-07-23	42.55308	Pleasant Prairie
Africa/Dar_es_Salaam	excellent	37.73333	09 Nov 2017	-4.06667	Same
Asia/Shanghai	good	114.68333	2020/01/21	23.73333	Heyuan
Africa/Lagos	average	4.18333	16 Jul 2017	7.6	Olupona
America/New_York	excellent	-77.02303	08/20/2019, 00:00:00	38.70734	Fort Washington
America/New_York	average	-71.29144	2016-08-04	41.54566	Middletown
America/Chicago	average	-87.88754	10/11/2018, 00:00:00	41.15376	Bourbonnais
Europe/Amsterdam	acceptable	5.58472	08/02/2020, 00:00:00	52.14	Barneveld
Europe/Madrid	excellent	-3.53261	2017/01/01	40.42386	San Fernando de Henares
Asia/Colombo	accep	79.87116	2017/05/20	6.84019	Dehiwala-Mount Lavinia
Africa/Cairo	good	31.4976	2019/07/10	26.67319	Juhaynah
Asia/Kolkata	good	77.9129	2018/11/04	25.6439	Narwar
Europe/Zurich	excellent	6.10237	2019/12/05	46.18396	Onex
Asia/Tokyo	good	142.45778	19 Jul 2016	44.35056	Nayoro
Asia/Tokyo	building	138.31667	2022-07-21	36.65	Suzaka
Asia/Kolkata	good	77.70636	2015-10-30	28.98002	Meerut
America/Los_Angeles	average	-122.40433	2020-09-14	37.71715	Visitacion Valley
America/Mazatlan	good	-105.36369	2018-12-15	22.49396	Acaponeta
America/New_York	accep	-82.32483	28 Mar 2016	29.65163	Gainesville
Asia/Bangkok	good	102.42587	2015/04/23	15.58552	Bua Yai
Asia/Kolkata	average	78.40102	2013-12-12	27.9247	Chharra
Asia/Kuala_Lumpur	accep	103.6032	08 Aug 2013	1.6561	Kulai
Asia/Almaty	excellent	77.0202	2019/10/18	43.41949	Otegen Batyra
America/Chicago	maintenance	-86.78777	17 Jun 2014	33.44872	Vestavia Hills
Europe/Berlin	excellent	13.32127	07/04/2015, 00:00:00	52.59319	Wittenau
America/Sao_Paulo	average	-52.67056	2020-07-05	-26.22861	Pato Branco
Africa/Lubumbashi	good	29.47306	28 May 2019	0.49113	Beni
Europe/Rome	accep	11.04979	28 Jul 2020	44.59445	Castelfranco Emilia
Europe/Oslo	good	16.54165	2017-08-31	68.79833	Harstad
Asia/Yekaterinburg	excellent	57.3552	24 Jun 2014	51.4781	Kuvandyk
Asia/Shanghai	accep	105.89333	2020-04-24	34.56861	Beidao
Europe/Dublin	excellent	-7.95	2019/11/18	53.43333	Athlone
Europe/London	good	-4.22398	16 Jan 2014	57.47908	Inverness
America/Los_Angeles	accep	-122.86705	2017-01-23	45.49428	Aloha
Asia/Kolkata	good	88.18466	2015/03/17	22.19303	Diamond Harbour
Europe/Rome	excellent	17.58522	09/17/2017, 00:00:00	40.53123	Francavilla Fontana
Europe/Berlin	good	8.96317	01 Feb 2020	48.35149	Hechingen
Europe/Berlin	building	9.15214	2021-10-04	49.97704	Aschaffenburg
America/New_York	excellent	-82.32483	2022-08-02	29.65163	Gainesville
America/Havana	accep	-82.4017	12 Mar 2018	23.0072	Boyeros
Africa/Algiers	good	3.47717	2020-12-02	36.76639	Boumerdas
Europe/London	maintenance	0.93333	2013/01/14	52.68333	East Dereham
Asia/Kolkata	average	78.25795	22 Oct 2017	9.82564	Tiruppuvanam
Asia/Hebron	accep	35.23388	2013/02/16	31.78336	East Jerusalem
Europe/Rome	good	17.80774	31 Oct 2013	40.55851	Mesagne
Pacific/Honolulu	average	-156.47432	2022/04/08	20.88953	Kahului
Africa/Johannesburg	excellent	30.79165	2021-10-01	-27.76952	Vryheid
Asia/Kolkata	accep	77.656	29 Jun 2021	28.71271	Pilkhua
America/Toronto	excellent	-73.81669	09/04/2020, 00:00:00	45.44868	Pointe-Claire
Europe/Rome	building	11.412	12/30/2014, 00:00:00	45.50369	Montecchio Maggiore-Alte Ceccato
Asia/Shanghai	maintenance	117.55417	03/10/2020, 00:00:00	34.86472	Zaozhuang
Europe/Paris	average	2.61667	2017-07-06	48.98333	Mitry-Mory
America/Argentina/Cordoba	average	-60.93173	10/18/2018, 00:00:00	-31.4488	Esperanza
Europe/Lisbon	good	-7.32097	03/14/2019, 00:00:00	41.1053	Custoias
America/Bogota	good	-77.03116	07/12/2016, 00:00:00	3.8801	Buenaventura
Europe/Moscow	good	35.90057	2018-01-31	56.85836	Tver
Europe/Berlin	maintenance	9.5586	2015/09/10	54.52156	Schleswig
Africa/Tunis	accep	10.03478	2015-08-09	37.16911	El Alia
America/New_York	maintenance	-82.90375	04/19/2020, 00:00:00	32.54044	Dublin
Asia/Bangkok	excellent	100.04427	2015-10-19	13.8196	Nakhon Pathom
Asia/Almaty	average	84.87144	2021/11/21	47.46657	Zaysan
Indian/Antananarivo	good	44.53333	2020-01-24	-22.9	Sakaraha
Asia/Taipei	accep	119.58627	2019/04/19	23.5654	Magong
Europe/Helsinki	excellent	24.95034	03/18/2022, 00:00:00	60.18427	Kallio
America/Phoenix	average	-111.78903	26 Sep 2019	33.35283	Gilbert
Asia/Kolkata	accep	83.97573	2018/06/20	21.46527	Sambalpur
America/Argentina/Ushuaia	accep	-68.3	2018/11/05	-54.8	Ushuaia
America/Jamaica	building	-76.78319	09/28/2020, 00:00:00	18.00747	New Kingston
Africa/Dar_es_Salaam	accep	39.25	2018-03-14	-6.8	Magomeni
America/New_York	accep	-75.23266	03/18/2022, 00:00:00	43.1009	Utica
Europe/London	accep	-2.98333	2019/03/03	53.83333	Poulton-le-Fylde
Europe/Rome	maintenance	12.70038	02/14/2019, 00:00:00	45.9836	Cordenons
Indian/Antananarivo	accep	48.41667	09/30/2015, 00:00:00	-17.83333	Ambatondrazaka
Asia/Tokyo	building	142.45778	04 Apr 2022	44.35056	Nayoro
Asia/Manila	good	120.4861	2015-08-12	16.0438	Manaoag
America/Bogota	maintenance	-74.26419	2015-08-20	4.73245	Madrid
Europe/Zagreb	accep	16.43915	2016/05/29	43.50891	Split
America/Chicago	excellent	-91.73625	13 Oct 2017	35.25064	Searcy
America/Los_Angeles	good	-118.25508	26 Apr 2018	34.14251	Glendale
Europe/Skopje	accep	21.32778	2012-10-11	42	Saraj
America/Bogota	good	-73.9614	09 Feb 2020	10.15031	El Copey
Europe/Berlin	accep	11.34046	2018/09/20	50.72043	Rudolstadt
Asia/Yangon	building	97.01124	2022-04-17	17.30858	Kyaikto
Asia/Kolkata	maintenance	74.80555	08/02/2015, 00:00:00	34.08565	Srinagar
Asia/Kolkata	average	77.24779	26 Dec 2012	10.58806	Udumalaippettai
Europe/Sofia	maintenance	27.25	10 Jan 2016	42.7	Aytos
Asia/Karachi	good	68.11759	05 Feb 2015	26.9423	Tharu Shah
Europe/Moscow	accep	32.86389	27 Jul 2022	53.95278	Roslavl’
Indian/Antananarivo	accep	47.31667	2016-06-14	-19.65	Antanifotsy
America/New_York	excellent	-71.8023	04/01/2021, 00:00:00	42.58342	Fitchburg
America/New_York	accep	-82.35176	11/13/2012, 00:00:00	27.71809	Sun City Center
America/Chicago	accep	-93.263	2022/04/28	45.0408	Columbia Heights
America/Guayaquil	building	-79.59415	2014/11/22	-2.13404	Milagro
Africa/Lagos	good	6.83042	2018/10/29	6.15038	Nkpor
Asia/Shanghai	average	114.51667	2015/01/13	33.78333	Wacheng
Europe/Berlin	maintenance	9.15214	2014-11-07	49.97704	Aschaffenburg
Europe/Paris	average	4.8951	2016/06/04	44.92801	Valence
Asia/Shanghai	maintenance	111.50861	2018/11/20	32.54278	Danjiangkou
