code	QoS	latitude	revision	station	longitude
ES	maintenance	40.42386	02/01/2019, 00:00:00	San Fernando de Henares	-3.53261
BE	average	51.21187	2015-09-18	Beveren	4.25633
DE	good	52.2	02/12/2021, 00:00:00	Kirchlengern	8.63333
FR	accep	43.83125	2016/10/14	Cavaillon	5.03586
BR	good	-12.91667	04/30/2015, 00:00:00	Muritiba	-39.25
US	good	45.53929	09 Feb 2018	Troutdale	-122.38731
US	accep	40.65995	23 Mar 2018	Kearns	-111.99633
JP	good	35.82756	2013-03-12	Ina	137.95378
RU	building	46.7055	26 Nov 2015	Yeysk	38.2739
TZ	excellent	-6.8	2012-12-30	Magomeni	39.25
MX	excellent	20.22816	2016/06/29	Zacoalco de Torres	-103.5687
FR	average	43.2907	2017/02/26	Marseille 11	5.4384
SL	maintenance	8.48714	06/08/2017, 00:00:00	Freetown	-13.2356
RU	accep	54.39304	09/06/2016, 00:00:00	Bavly	53.26023
US	average	44.73941	30 Jun 2016	Rosemount	-93.12577
US	accep	43.54072	2019-02-21	Nampa	-116.56346
PR	accep	18.03496	09/13/2018, 00:00:00	Yauco	-66.8499
TN	maintenance	35.72917	2017/09/03	Msaken	10.58082
AT	accep	47.05	12/13/2012, 00:00:00	Sankt Peter	15.46667
RS	accep	44.97639	2014/10/03	Sremska Mitrovica	19.61222
KZ	good	44.85278	2014/11/06	Kyzylorda	65.50917
ID	maintenance	-7.51611	01/20/2018, 00:00:00	Wangon	109.05389
GB	average	56.56317	30 Jul 2018	Arbroath	-2.58736
IN	good	11.00599	10/31/2015, 00:00:00	Kangayam	77.5609
GB	excellent	52.66277	30 Oct 2016	Great Wyrley	-2.01111
BR	good	-19.32556	2015-12-09	Resplendor	-41.25528
US	accep	35.61452	24 Nov 2017	Jackson	-88.81395
US	excellent	42.97086	2020-10-15	Port Huron	-82.42491
DE	average	48.06919	27 Dec 2019	Gauting	11.37703
NZ	maintenance	-38.65333	15 Oct 2020	Gisborne	178.00417
RU	good	56.11281	2019/01/01	Ishim	69.49015
IT	average	44.59445	09 Oct 2020	Castelfranco Emilia	11.04979
MT	maintenance	35.89972	31 Jul 2018	Valletta	14.51472
PH	excellent	6.95194	09/13/2020, 00:00:00	Recodo	121.96361
CO	good	3.8801	2014-11-29	Buenaventura	-77.03116
UA	building	50.18545	21 Jun 2014	Shepetivka	27.06365
IN	building	12.04161	09/19/2016, 00:00:00	Talipparamba	75.35927
IR	average	35.6803	04/06/2019, 00:00:00	Shahre Jadide Andisheh	51.0193
FR	maintenance	43.11667	11/04/2013, 00:00:00	Pamiers	1.6
IT	building	45.44694	2017/10/24	Novara	8.62118
CN	maintenance	45.75279	2018-07-05	Boli	130.57211
BE	average	50.74497	2015-01-13	Mouscron	3.20639
GB	average	56.56317	04/30/2019, 00:00:00	Arbroath	-2.58736
TZ	building	-4.06667	04 Mar 2017	Same	37.73333
IN	average	19.30157	2019-07-05	Bhayandar	72.85107
FR	excellent	45.69558	2016-08-25	Saint-Genis-Laval	4.7934
DE	average	51.168	2018/05/28	Finnentrop	7.973
BE	building	51.03427	04/01/2021, 00:00:00	Houthalen	5.37429
BR	good	-12.91667	2019/08/01	Muritiba	-39.25
MX	excellent	21.28306	2019-11-27	Progreso	-89.66123
BD	average	23.9028	2021/10/06	Kushtia	89.11943
FR	building	48.98693	2018-04-20	Gonesse	2.44892
RU	average	54.03876	2013-09-03	Kovylkino	43.91385
CN	average	36.81667	26 Nov 2017	Zhoucun	117.81667
MT	building	35.89972	2015-06-08	Valletta	14.51472
US	building	33.41012	04/05/2021, 00:00:00	Greenville	-91.06177
IN	accep	12.1277	05/22/2016, 00:00:00	Dharmapuri	78.15794
PH	accep	16.455	23 Jun 2022	La Trinidad	120.5875
PS	accep	31.78336	2022/02/25	East Jerusalem	35.23388
ZA	excellent	-26.93366	2017/11/25	Standerton	29.24152
MD	good	48.15659	2020-06-04	Soroca	28.28489
JP	good	36.65	2019/04/25	Suzaka	138.31667
TZ	average	-7.76667	2020-04-16	Iringa	35.7
IT	maintenance	45.9836	2018-12-28	Cordenons	12.70038
CO	acceptable	8.79577	2019-12-01	San Carlos	-75.69947
RU	building	51.82721	06/22/2019, 00:00:00	Ulan-Ude	107.60627
MA	excellent	33.42585	2016-06-23	Oulmes	-6.00137
BR	building	-19.32556	2018/04/10	Resplendor	-41.25528
BR	accep	-28.44917	04/10/2016, 00:00:00	Marau	-52.2
KZ	excellent	44.85278	2019/09/21	Kyzylorda	65.50917
UY	good	-33.38056	2013/03/08	Durazno	-56.52361
FR	good	43.71032	10 Apr 2017	Dax	-1.05366
US	good	35.05266	2021/10/26	Fayetteville	-78.87836
IT	excellent	43.78956	2020/12/03	Ventimiglia	7.60872
CU	building	22.98212	02/06/2020, 00:00:00	Corralillo	-80.58556
FR	good	44.80477	2015-11-10	Talence	-0.59543
US	building	47.4943	29 Oct 2014	Bryn Mawr-Skyway	-122.24092
RU	building	54.8421	2018/04/30	Alatyr’	46.5813
IN	average	24.05979	04/28/2021, 00:00:00	Leteri	77.40858
DE	accep	51.88333	2012/12/20	Verl	8.51667
AT	excellent	47.05	06/04/2015, 00:00:00	Sankt Peter	15.46667
IN	good	18.18158	2022-09-22	Osmanabad	76.03889
BE	maitennce	51.24197	17 Aug 2022	Lille	4.82313
PH	average	14.62578	2020-02-06	Antipolo	121.12251
TH	good	14.37395	06 Jun 2016	Bang Ban	100.48528
IQ	accep	32.61603	03/27/2015, 00:00:00	Karbala	44.02488
IR	accep	35.6803	05/05/2019, 00:00:00	Shahre Jadide Andisheh	51.0193
PT	excellent	41.1053	2014-05-30	Custoias	-7.32097
US	good	43.91452	19 Mar 2013	Brunswick	-69.96533
KE	good	0.03813	22 Jul 2014	Nyahururu	36.36339
IT	accep	44.59445	2016-10-22	Castelfranco Emilia	11.04979
US	maintenance	34.25807	12/23/2014, 00:00:00	Tupelo	-88.70464
US	good	35.88264	07/22/2020, 00:00:00	Thomasville	-80.08199
TH	excellent	13.8196	2021/02/20	Nakhon Pathom	100.04427
KZ	average	43.41949	2017/11/21	Otegen Batyra	77.0202
US	excellent	34.21639	2020-08-12	Camarillo	-119.0376
CA	average	46.1351	04 Sep 2019	Sydney	-60.1831
US	average	46.09273	2018-06-26	Iron River	-88.64235
PK	average	31.71667	08/26/2017, 00:00:00	Sangla Hill	73.38333
DE	accep	53.63333	21 May 2017	Halstenbek	9.85
TN	maintenance	37.16911	2017-06-13	El Alia	10.03478
CA	maintenance	49.88307	01/31/2016, 00:00:00	Kelowna	-119.48568
UA	average	51.67822	30 Jan 2022	Hlukhiv	33.9162
IN	accep	10.12268	2016-10-24	Periyakulam	77.54372
TR	good	37.31309	2014/12/05	Mardin	40.74357
MN	excellent	47.90771	2014/02/14	Ulan Bator	106.88324
DE	good	50.23805	2013-08-09	Nidderau	8.86704
MG	average	-17.83333	11/26/2015, 00:00:00	Ambatondrazaka	48.41667
CN	good	37.19723	12/13/2014, 00:00:00	Tianfu	122.05228
IT	average	37.49223	2017/01/10	Catania	15.07041
RU	accep	55.38752	12/07/2016, 00:00:00	Naro-Fominsk	36.73307
IT	good	40.53123	2019/12/27	Francavilla Fontana	17.58522
BR	good	-26.22861	2016/09/09	Pato Branco	-52.67056
RU	average	58.63667	26 Jul 2018	Lesnoy	59.80222
TN	accep	35.72917	2017-03-10	Msaken	10.58082
KG	accep	40.93333	30 Aug 2015	Jalal-Abad	73
ZA	average	-26.93366	2021-11-03	Standerton	29.24152
RU	average	54.90083	30 Oct 2017	Stupino	38.07083
VE	accep	8.35122	02 Jul 2020	Ciudad Guayana	-62.64102
US	excellent	40.24537	2015/10/24	Pottstown	-75.64963
LY	average	24.96334	2014/03/31	Ghat	10.18003
BR	accep	-3.14306	08 Jul 2015	Itacoatiara	-58.44417
MG	building	-19.65	20 May 2014	Antanifotsy	47.31667
AZ	building	38.45598	2018/04/12	Astara	48.87498
YE	good	14.53767	10/05/2014, 00:00:00	Ataq	46.83187
US	good	42.7392	09/27/2022, 00:00:00	Waverly	-84.62081
ID	good	-7.0981	2019-02-03	Randudongkal	109.3243
PT	building	41.1053	2019/02/13	Custoias	-7.32097
DE	excellent	51.19139	05 Jun 2020	Korschenbroich	6.51352
IN	accep	32.55531	13 Dec 2018	Chamba	76.12647
DE	accep	51.47805	04 Jul 2013	Oberhausen	6.8625
DE	average	53.63333	17 Jan 2017	Halstenbek	9.85
TH	excellent	8.43333	10/31/2021, 00:00:00	Nakhon Si Thammarat	99.96667
HN	excellent	15.48131	25 Dec 2012	Olanchito	-86.57415
BE	accep	51.24197	03/01/2019, 00:00:00	Lille	4.82313
MX	good	20.74122	06/30/2016, 00:00:00	Santa Rosa Jauregui	-100.44843
IN	good	10.58806	2018/10/13	Udumalaippettai	77.24779
BR	maintenance	-10.91111	2018/10/20	Aracaju	-37.07167
IN	maintenance	17.34769	27 Jan 2013	Lal Bahadur Nagar	78.55757
US	average	40.72371	2022/06/02	Greenpoint	-73.95097
CO	excellent	7.83389	09/13/2013, 00:00:00	Villa del Rosario	-72.47417
US	excellent	39.45621	2013-08-18	Martinsburg	-77.96389
IN	building	11.50526	2017-05-10	Sathyamangalam	77.23826
FR	accep	48.8222	12 May 2014	Le Chesnay	2.12213
PL	excellent	50.20528	10/17/2013, 00:00:00	Jaworzno	19.27498
JP	average	34.9	01 Jan 2018	Shinshiro	137.5
MG	good	-19.65	30 Jan 2018	Antanifotsy	47.31667
DE	good	50.72043	19 Dec 2013	Rudolstadt	11.34046
GB	good	53.19146	2014-02-16	Winsford	-2.52398
PH	building	9.3337	02/19/2022, 00:00:00	Santa Catalina	122.8637
GB	excellent	51.26	07/08/2014, 00:00:00	Westbury	-2.1875
US	average	36.61033	2020/11/28	Murray	-88.31476
KZ	good	43.41949	2020/02/09	Otegen Batyra	77.0202
US	average	39.32288	2013-04-19	Woodlawn	-76.72803
LY	good	24.96334	08/16/2020, 00:00:00	Ghat	10.18003
IN	good	11.12018	12 May 2017	Manjeri	76.11996
ID	maintenance	-7.57897	2022/07/13	Diwek	112.23109
US	good	42.30865	12/03/2013, 00:00:00	Canton	-83.48216
BY	average	55.1904	06/05/2016, 00:00:00	Vitebsk	30.2049
JP	accep	35.8	2021/10/07	Gero	137.23333
IN	good	17.54907	10/31/2014, 00:00:00	Elamanchili	82.85749
MX	average	16.75973	2014/08/25	Tuxtla	-93.11308
US	average	26.68451	31 Dec 2020	Belle Glade	-80.66756
US	average	39.72943	05/19/2016, 00:00:00	Aurora	-104.83192
IN	excellent	23.07492	06 Dec 2016	Pandua	88.28637
US	average	42.24113	2014-08-24	Crystal Lake	-88.3162
CN	excellent	24.28859	2018-11-24	Meizhou	116.11768
CF	excellent	4.94273	2019/09/22	Carnot	15.87735
CD	excellent	-8.73508	10 Oct 2017	Kamina	24.99798
US	good	40.58654	2014-08-19	Redding	-122.39168
IN	excellent	30.21121	10/30/2015, 00:00:00	Malaut	74.4818
FR	good	48	03/14/2015, 00:00:00	Quimper	-4.1
RU	average	42.819	2016-02-14	Buynaksk	47.1192
IN	average	18.87813	2015-01-06	Uran	72.93924
DZ	accep	34.15429	04/11/2018, 00:00:00	Messaad	3.50309
IE	maintenance	53.53333	2015-04-26	An Muileann gCearr	-7.35
GT	maintenance	14.93333	12 Jul 2014	Chichicastenango	-91.11667
BY	average	52.4089	07/06/2019, 00:00:00	Dobrush	31.3237
ES	average	39.96348	14 Sep 2021	Talavera de la Reina	-4.83076
TR	excellent	37.31309	19 Jun 2016	Mardin	40.74357
RO	accep	44.43579	20 Mar 2018	Sector 6	26.01649
CN	maintenance	32.54278	07 Jan 2019	Danjiangkou	111.50861
BR	average	-22.53722	03 Jun 2017	Guapimirim	-42.98194
FR	average	49.28669	2016-08-05	Elbeuf	1.00288
US	good	42.30865	03/12/2015, 00:00:00	Canton	-83.48216
CA	average	45.43341	2021/12/17	Beaconsfield	-73.86586
BR	building	-22.92306	2012/10/07	Loanda	-53.13722
US	accep	39.09112	2014-04-02	Independence	-94.41551
CN	average	31.64615	05 May 2020	Changshu City	120.74221
BE	average	51.21187	2017-01-25	Beveren	4.25633
US	building	35.61452	2018/07/16	Jackson	-88.81395
IN	accep	27.9247	06/02/2016, 00:00:00	Chharra	78.40102
FR	accep	46.32313	2019-11-22	Niort	-0.45877
CA	building	43.86682	10/06/2012, 00:00:00	Markham	-79.2663
US	maintenance	38.17492	2018-03-27	American Canyon	-122.2608
FR	excellent	43.83125	2020-09-10	Cavaillon	5.03586
BR	average	-15.675	2022-02-17	Canavieiras	-38.94722
GB	accep	52.41667	2014/06/17	Thetford	0.75
RU	accep	58.7002	2017/09/24	Kachkanar	59.4839
RU	maintenance	57.97472	07 Aug 2021	Valday	33.2525
BE	excellent	50.71229	2018-10-28	Rixensart	4.52529
US	good	32.9156	2015/06/24	Mira Mesa	-117.14392
US	building	33.50921	2015/11/16	Scottsdale	-111.89903
PL	accep	50.86079	07 Nov 2021	Brzeg	17.4674
IN	average	26.11527	24 May 2022	Supaul	86.59509
FR	accep	41.91886	19 May 2013	Ajaccio	8.73812
RU	average	54.48147	04/22/2019, 00:00:00	Oktyabr’skiy	53.47103
PK	good	25.80565	10 Mar 2019	Bhit Shah	68.49143
IN	average	12.1277	2014/07/19	Dharmapuri	78.15794
HR	maintenance	43.50891	20 Jul 2020	Split	16.43915
RU	average	55.54028	2020/11/04	Sharypovo	89.20083
GB	good	53.49389	2013-07-16	Mexborough	-1.29243
ID	good	-7.81667	06 Dec 2021	Kediri	112.01667
IN	accep	9.57046	2018/12/29	Kalavoor	76.32756
CL	accep	-30.60106	2019-04-19	Ovalle	-71.19901
ID	excellent	-1.26753	2015/06/11	Balikpapan	116.82887
UG	accep	2.41669	2020/06/26	Paidha	30.98551
IN	average	28.92694	2013/02/12	Bachhraon	78.23456
TW	maintenance	23.5654	2020/05/07	Magong	119.58627
PH	accep	14.14989	2021-01-19	Calauan	121.3152
BR	average	-4.42472	2020/05/08	Pedro II	-41.45861
CU	good	23.15678	02/12/2022, 00:00:00	Varadero	-81.24441
TR	good	39.59611	08 Aug 2022	Edremit	27.02444
IT	accep	41.55947	07 Jul 2016	Campobasso	14.66737
CA	excellent	49.88307	22 Feb 2018	Kelowna	-119.48568
TN	excellent	37.16911	01 Jan 2018	El Alia	10.03478
BR	accep	-8.66667	04 Oct 2017	Catende	-35.71667
KZ	average	47.83333	07 Sep 2020	Shalqar	59.6
MX	average	20.74122	23 Feb 2019	Santa Rosa Jauregui	-100.44843
UA	average	46.75451	2017-10-03	Nova Kakhovka	33.34864
IN	average	20.88098	04/25/2015, 00:00:00	Parola	75.11937
UZ	maintenance	40.11583	2015-03-23	Jizzax	67.84222
SY	average	35.95664	2020-08-24	Binnish	36.7138
CH	maintenance	47.30997	2014-03-18	Adliswil	8.52462
SD	good	11.8659	2019/06/17	Ar Ruseris	34.3869
ES	accep	43.31667	2013-10-07	Gernika-Lumo	-2.68333
CU	accep	23.15678	04 Nov 2016	Varadero	-81.24441
MX	accep	16.75973	2017/03/29	Tuxtla	-93.11308
AR	maintenance	-54.8	19 Oct 2012	Ushuaia	-68.3
RU	excellent	53.95278	01/17/2020, 00:00:00	Roslavl’	32.86389
PK	maintenance	32.17629	02 Jan 2021	Fazilpur	75.06583
BR	maintenance	-12.91667	21 Apr 2016	Muritiba	-39.25
ID	maintenance	-1.26753	2019/05/30	Balikpapan	116.82887
EC	excellent	-2.90055	2018/03/07	Cuenca	-79.00453
US	good	39.09112	2012/09/29	Independence	-94.41551
ES	good	40.70995	2016/06/27	Amposta	0.57856
PH	accep	10.20898	2019-05-31	Naga	123.758
IN	excellent	25.92493	26 Aug 2020	Sojat	73.66633
RU	average	57.97472	11/22/2019, 00:00:00	Valday	33.2525
BR	building	-4.42472	2013-04-16	Pedro II	-41.45861
DE	excellent	52.61131	2012-10-12	Hermsdorf	13.31783
US	good	28.54944	2022-09-24	Clermont	-81.77285
US	accep	34.14251	2015-02-13	Glendale	-118.25508
UA	maintenance	49.41029	2018-04-25	Svatove	38.15035
AT	maintenance	48.25	05/13/2016, 00:00:00	Floridsdorf	16.4
MY	average	5.90702	2018/03/27	Donggongon	116.10146
TN	excellent	35.72917	03/22/2014, 00:00:00	Msaken	10.58082
IN	excellent	9.82564	15 Mar 2014	Tiruppuvanam	78.25795
BR	accep	-25.42944	02/03/2014, 00:00:00	Palmeira	-50.00639
RU	average	51.78771	02/06/2019, 00:00:00	Saraktash	56.36091
US	average	39.33427	08 Sep 2015	Middle River	-76.43941
ID	average	-1.26753	2022-06-26	Balikpapan	116.82887
US	average	34.25628	2022-02-24	Leland	-78.04471
AU	excellent	-31.95224	29 Jan 2013	Perth	115.8614
CH	accep	46.18396	2019-05-08	Onex	6.10237
RU	average	56.9083	06 Jun 2019	Beryozovsky	60.8019
CN	average	41.09822	12 Feb 2017	Nanpiao	120.74792
UZ	building	40.78206	2013/07/11	Andijon	72.34424
VU	accep	-17.73648	28 Aug 2017	Port-Vila	168.31366
US	building	28.54944	2017-06-06	Clermont	-81.77285
DE	average	51.08468	10 Apr 2015	Burscheid	7.11393
IN	accep	15.73628	05 Dec 2012	Gajendragarh	75.96976
PA	excellent	8.88988	08/10/2019, 00:00:00	Veracruz	-79.62603
LK	maintenance	6.84019	2021-05-30	Dehiwala-Mount Lavinia	79.87116
DE	building	52.47774	2022/05/28	Gifhorn	10.5511
GT	good	14.93333	2018-02-20	Chichicastenango	-91.11667
CN	good	41.09822	2015/11/09	Nanpiao	120.74792
US	excellent	38.70734	2013-10-17	Fort Washington	-77.02303
BR	average	-29.2975	2013/01/27	Carlos Barbosa	-51.50361
IN	good	33.37526	01/20/2020, 00:00:00	Rajaori	74.3092
IT	maintenance	40.87329	08 Jan 2021	Somma Vesuviana	14.43865
BR	accep	-0.71667	2013-08-13	Soure	-48.52333
IN	excellent	10.58806	2014/09/14	Udumalaippettai	77.24779
DE	good	48.52961	2022-04-25	Landshut	12.16179
US	accep	44.73941	22 Jun 2019	Rosemount	-93.12577
DE	accep	50.09019	11 Mar 2013	Hofheim am Taunus	8.4493
US	building	41.57721	2018/06/29	West Des Moines	-93.71133
US	average	33.93113	2013/07/01	Norco	-117.54866
SA	maintenance	27.0174	2015/06/18	Al Jubayl	49.62251
JP	accep	39.46667	2014/08/23	Yamada	141.95
IN	excellent	12.25282	16 May 2014	Gingee	79.41727
RU	accep	53.77166	01/16/2022, 00:00:00	Bogoroditsk	38.12408
US	good	33.52253	26 Aug 2018	Laguna Niguel	-117.70755
US	maintenance	28.90054	05 Nov 2017	Deltona	-81.26367
RU	accep	53.37596	07/20/2021, 00:00:00	Otradnyy	51.3452
IT	excellent	45.78071	21 Jan 2014	Portogruaro	12.84052
US	average	35.74788	2021/08/14	Muskogee	-95.36969
IN	average	28.92694	01/31/2015, 00:00:00	Bachhraon	78.23456
DE	accep	48.06919	2016-06-20	Gauting	11.37703
US	average	36.06523	2019/05/25	Porterville	-119.01677
CL	good	-36.9256	04/19/2018, 00:00:00	Chiguayante	-73.02841
MG	accep	-21.15	2016/05/20	Ikalamavony	46.58333
US	average	38.91817	10/14/2019, 00:00:00	Front Royal	-78.19444
UZ	average	40.78206	2022-04-02	Andijon	72.34424
ID	good	-7.54972	11/11/2016, 00:00:00	Ngemplak	110.71639
US	excellent	41.57721	2020-11-17	West Des Moines	-93.71133
US	accep	39.33427	06/03/2017, 00:00:00	Middle River	-76.43941
ML	building	12.74409	17 Dec 2015	Kati	-8.07257
DE	average	50.80019	2020-10-24	Siegburg	7.20769
US	accep	40.68066	23 Jul 2014	Massapequa	-73.47429
TZ	excellent	-4.06667	17 Jul 2020	Same	37.73333
IT	maintenance	37.31065	01/30/2017, 00:00:00	Agrigento	13.57661
IQ	maintenance	32.61603	09 Dec 2016	Karbala	44.02488
DE	average	49.13645	2020-10-03	Eppingen	8.91229
TZ	good	-4.06667	09/19/2014, 00:00:00	Same	37.73333
UA	average	50.18545	2014/10/30	Shepetivka	27.06365
CN	excellent	38.40917	2014-01-21	Xinzhou	112.73333
TR	maintenance	37.05944	03/02/2013, 00:00:00	Gaziantep	37.3825
IN	accep	15.5439	2013/01/29	Calangute	73.7553
CA	accep	45.44868	02 Nov 2012	Pointe-Claire	-73.81669
DE	average	51.168	30 Apr 2021	Finnentrop	7.973
ES	average	38.68712	04/27/2016, 00:00:00	Puertollano	-4.10734
GH	excellent	5.30383	2015-08-27	Tarkwa	-1.98956
CN	excellent	37.30553	24 Sep 2022	Zhuangyuan	120.82747
US	good	40.60538	01 Jan 2022	Far Rockaway	-73.75513
DE	average	50.72043	2021/06/20	Rudolstadt	11.34046
BE	maintenance	50.56149	09/26/2016, 00:00:00	Gembloux	4.69889
RU	good	53.59782	2017/08/11	Dyat’kovo	34.33825
EC	accep	-2.13404	2020-08-03	Milagro	-79.59415
CD	average	0.49113	01/04/2013, 00:00:00	Beni	29.47306
US	average	40.56754	16 Dec 2019	Pekin	-89.64066
ES	good	37.49073	28 Feb 2020	Baza	-2.77259
KZ	average	44.85278	04 Apr 2021	Kyzylorda	65.50917
PR	excellent	18.03496	12/19/2017, 00:00:00	Yauco	-66.8499
ZA	average	-24.19436	2021/01/19	Mokopane	29.00974
US	excellent	40.57788	2020-05-24	Brighton Beach	-73.95958
ES	average	38.10558	24 Jan 2015	Caravaca	-1.86343
KE	maintenance	0.03813	2019-05-01	Nyahururu	36.36339
MX	average	25.87972	2022/03/22	Heroica Matamoros	-97.50417
ES	average	43.31667	2021-12-16	Gernika-Lumo	-2.68333
US	accep	41.54566	30 Jul 2015	Middletown	-71.29144
IT	accep	43.1122	2013-09-26	Perugia	12.38878
GB	good	50.75767	22 Jul 2018	Lymington	-1.5443
CN	maintenance	37.19723	06/05/2017, 00:00:00	Tianfu	122.05228
TR	average	37.58105	2013-03-15	Serinhisar	29.26639
GB	maintenance	53.19146	08/04/2013, 00:00:00	Winsford	-2.52398
US	maintenance	41.55838	14 May 2019	Collinwood	-81.56929
US	average	42.4251	2014-12-11	Malden	-71.06616
US	good	45.0408	2015-04-01	Columbia Heights	-93.263
AU	accep	-38.16604	2021/09/10	Frankston South	145.13643
CU	excellent	23.0072	2014-07-06	Boyeros	-82.4017
SK	excellent	48.43174	2015-04-06	Hlohovec	17.8031
US	excellent	33.08014	2022-06-30	Milledgeville	-83.2321
IN	excellent	12.95629	14 Nov 2015	Robertsonpet	78.27539
SO	building	-0.35817	2022/06/25	Kismayo	42.54536
IN	excellent	14.62072	26 Apr 2022	Sirsi	74.83554
CH	excellent	47.30997	12/21/2020, 00:00:00	Adliswil	8.52462
RU	accep	56.85836	18 Sep 2015	Tver	35.90057
MT	accep	35.89972	2020/01/07	Valletta	14.51472
AZ	excellent	41.09246	21 Dec 2017	Qazax	45.36561
US	average	40.56754	15 Mar 2021	Pekin	-89.64066
IN	accep	23.18	2016-10-03	Aistala	88.58
PR	good	18.03496	2013/11/01	Yauco	-66.8499
IN	building	21.59983	2014/09/06	Amreli	71.21169
PH	average	10.20898	2020-02-05	Naga	123.758
DE	maintenance	49.68369	30 May 2020	Bensheim	8.61839
US	excellent	46.09273	03/26/2018, 00:00:00	Iron River	-88.64235
AF	average	36.21544	2014-12-25	Sar-e Pul	65.93249
US	excellent	33.52253	22 Jun 2021	Laguna Niguel	-117.70755
UA	good	49.41029	09/10/2021, 00:00:00	Svatove	38.15035
DE	average	53.6052	03/23/2015, 00:00:00	Barmbek-Nord	10.03988
DE	average	53.63333	31 Oct 2014	Halstenbek	9.85
PH	accep	10.20898	2021-12-18	Naga	123.758
DE	building	51.08468	12/17/2013, 00:00:00	Burscheid	7.11393
GB	building	51.26	04/16/2017, 00:00:00	Westbury	-2.1875
GB	good	53.00974	2021/05/13	Rhosllanerchrugog	-3.05814
US	accep	38.06084	2018/08/05	Hutchinson	-97.92977
BG	accep	42.7	06/23/2017, 00:00:00	Aytos	27.25
NG	good	7.62789	11 Aug 2015	Ilesa	4.74161
BD	accep	22.83957	02/17/2015, 00:00:00	Manikchari	91.84128
US	building	40.2737	09/23/2022, 00:00:00	Harrisburg	-76.88442
US	maintenance	41.48199	02/12/2021, 00:00:00	Lakewood	-81.79819
JP	excellent	39.46667	2013-05-10	Yamada	141.95
MQ	excellent	14.67751	2015/02/04	Le Robert	-60.94228
ES	excellent	41.15612	2022-07-05	Reus	1.10687
AR	building	-31.4488	2015/10/30	Esperanza	-60.93173
US	building	20.88953	2018-04-29	Kahului	-156.47432
CN	excellent	42.64031	14 Mar 2022	Dongfeng	125.51176
US	good	39.45621	2015/12/18	Martinsburg	-77.96389
PL	good	50.86079	2014-05-15	Brzeg	17.4674
CN	accep	34.86472	2013-03-16	Zaozhuang	117.55417
US	excellent	39.08367	2020-08-23	Covington	-84.50855
IN	maintenance	15.5439	2016-05-13	Calangute	73.7553
US	excellent	40.24537	02/25/2018, 00:00:00	Pottstown	-75.64963
TH	maintenance	16.0567	04/28/2017, 00:00:00	Roi Et	103.65309
LK	accep	6.84019	2015-02-13	Dehiwala-Mount Lavinia	79.87116
FI	good	65.84811	26 Jan 2020	Tornio	24.14662
AU	accep	-33.88096	11/24/2013, 00:00:00	Strathfield	151.07986
IN	average	16.06213	2016-11-17	Hungund	76.0586
LK	excellent	6.9909	28 Oct 2013	Hendala	79.883
MY	excellent	2.2139	06/02/2017, 00:00:00	Kampung Ayer Molek	102.3278
UA	average	49.07866	17 Jan 2017	Zvenihorodka	30.96755
GB	maintenance	53.78333	2021/09/20	Selby	-1.06667
MG	excellent	-19.65	12/23/2020, 00:00:00	Antanifotsy	47.31667
CN	good	37.65181	2020/03/18	Longgang	120.33063
US	building	33.76446	05/24/2015, 00:00:00	North Tustin	-117.79394
US	maintenance	41.66394	18 May 2014	Toledo	-83.55521
CN	average	34.86472	2019-06-16	Zaozhuang	117.55417
RW	average	-1.9487	2021-10-20	Rwamagana	30.4347
IN	accep	17.34769	2015-10-03	Lal Bahadur Nagar	78.55757
IN	excellent	30.21121	03 Nov 2012	Malaut	74.4818
PK	average	30.76468	06/05/2017, 00:00:00	Kanganpur	74.12286
DE	average	50.09019	27 Dec 2019	Hofheim am Taunus	8.4493
IT	excellent	41.55947	03 Jan 2018	Campobasso	14.66737
AR	accep	-34.64966	2016-05-27	Barracas	-58.38341
CF	building	4.94273	2014/06/18	Carnot	15.87735
IN	average	20.88197	2013/09/24	Bhuban	85.83334
US	average	40.24537	2019/01/19	Pottstown	-75.64963
IN	good	31.28092	06 May 2018	Patti	74.85849
US	good	47.64995	2022-05-28	Opportunity	-117.23991
PK	maintenance	27.52948	2020-10-22	Khairpur Mir’s	68.75915
IN	maintenance	10.12268	2014-09-22	Periyakulam	77.54372
US	accep	40.34912	05/20/2019, 00:00:00	Saratoga Springs	-111.90466
RU	building	58.1908	2019/05/24	Danilov	40.17171
EC	accep	-2.90055	05 Aug 2022	Cuenca	-79.00453
RU	good	43.35071	01/31/2015, 00:00:00	Gudermes	46.10925
UZ	accep	40.11583	10/02/2021, 00:00:00	Jizzax	67.84222
ID	excellent	-6.8048	2018-02-19	Kudus	110.8405
US	average	40.24537	01/13/2019, 00:00:00	Pottstown	-75.64963
GB	good	51.78967	03/07/2014, 00:00:00	Clacton-on-Sea	1.15597
AM	excellent	40.49748	2013/05/19	Hrazdan	44.7662
CA	good	46.23899	2016/05/06	Charlottetown	-63.13414
PK	average	31.96258	14 Nov 2014	Naushahra Virkan	73.97117
NL	average	51.44889	2022/05/14	Tongelre	5.51978
US	good	38.17492	09/12/2020, 00:00:00	American Canyon	-122.2608
US	excellent	40.67705	2015-06-29	Cypress Hills	-73.89125
AO	building	-11.78333	14 Jun 2016	Luena	19.91667
US	accep	36.91023	23 Dec 2020	Watsonville	-121.75689
US	average	33.50921	2014-12-07	Scottsdale	-111.89903
