location	QoS	longitude	station	latitude	revision
Europe/Kiev	maintenance	33.34864	Nova Kakhovka	46.75451	10 Jun 2022
America/Los_Angeles	average	-117.14392	Mira Mesa	32.9156	2013/04/27
America/El_Salvador	excellent	-89.71472	Sonzacate	13.73417	26 Dec 2012
America/Mexico_City	good	-101.2591	Guanajuato	21.01858	2018/08/22
America/Sao_Paulo	good	-42.98194	Guapimirim	-22.53722	20 Nov 2015
Asia/Tokyo	accep	136.61667	Nonoichi	36.53333	2022/05/13
Europe/London	building	0.93333	East Dereham	52.68333	08/14/2022, 00:00:00
Europe/Berlin	accep	13.32127	Wittenau	52.59319	05/12/2020, 00:00:00
Asia/Kabul	accep	65.93249	Sar-e Pul	36.21544	2014-08-05
Africa/Abidjan	average	-5.682	Lakota	5.84752	2017/06/20
America/Boise	accep	-116.56346	Nampa	43.54072	06/13/2020, 00:00:00
Europe/Volgograd	excellent	43.2379	Mikhaylovka	50.06	2015-09-16
Europe/Berlin	excellent	8.91229	Eppingen	49.13645	2018/11/29
Europe/London	accep	-1.99421	Devizes	51.35084	07/03/2016, 00:00:00
America/Caracas	excellent	-62.64102	Ciudad Guayana	8.35122	2016/03/25
Europe/Vienna	excellent	16.4	Floridsdorf	48.25	2018-04-28
Europe/Vilnius	building	24.75	Ukmerge	55.25	2022/04/04
Europe/Paris	building	2.12213	Le Chesnay	48.8222	18 Jul 2018
America/New_York	excellent	-78.19444	Front Royal	38.91817	2019/10/22
Asia/Jakarta	excellent	98.6738	Labuhan Deli	3.7278	07/09/2021, 00:00:00
Europe/Moscow	accep	35.96944	Volokolamsk	56.03361	2017/06/09
America/Chicago	good	-88.27205	Kaukauna	44.27804	18 Sep 2018
Atlantic/Azores	average	-25.66689	Ponta Delgada	37.74615	03 Nov 2020
Asia/Makassar	accep	117.59152	Tarakan	3.31332	11 Jan 2018
Africa/Monrovia	average	-8.53778	New Yekepa	7.57944	03/24/2016, 00:00:00
Europe/Andorra	accep	1.53414	les Escaldes	42.50729	12/19/2013, 00:00:00
Europe/Berlin	accep	9.5586	Schleswig	54.52156	08 Sep 2013
Africa/Banjul	good	-15.6	Farafenni	13.56667	24 May 2014
America/Bahia	good	-38.79084	Tucano	-10.95817	2019/07/31
America/Chicago	average	-97.03285	Grand Forks	47.92526	2017-04-06
Africa/Kigali	maintenance	30.4347	Rwamagana	-1.9487	12/29/2015, 00:00:00
America/Chicago	accep	-93.263	Columbia Heights	45.0408	11/02/2015, 00:00:00
Africa/Tunis	accep	10.58082	Msaken	35.72917	20 Nov 2012
Europe/Madrid	good	-1.60452	Tudela	42.06166	06/25/2017, 00:00:00
America/New_York	building	-77.4286	Sterling	39.00622	2013/06/11
Europe/Skopje	good	21.32778	Saraj	42	11/22/2019, 00:00:00
America/Los_Angeles	good	-120.43572	Santa Maria	34.95303	06/19/2014, 00:00:00
America/Los_Angeles	accep	-122.24092	Bryn Mawr-Skyway	47.4943	17 Mar 2019
Africa/Abidjan	building	-3.59625	Bonoua	5.27247	2018-05-18
Europe/Bucharest	excellent	26.01649	Sector 6	44.43579	2015/11/26
America/Mexico_City	average	-100.88023	Salvatierra	20.21322	2022-01-31
America/Caracas	average	-68.30472	Tinaquillo	9.91861	2013-04-19
Europe/Paris	building	1.00288	Elbeuf	49.28669	2012/10/15
Africa/Algiers	average	2.31889	Ksar Chellala	35.21222	2016/03/11
Asia/Tokyo	accep	130.94098	Hita	33.3213	24 Sep 2019
Europe/London	building	-3.05814	Rhosllanerchrugog	53.00974	23 Mar 2014
Africa/Lagos	maintenance	4.92235	Efon-Alaaye	7.65649	2014/09/14
Asia/Tokyo	maintenance	140.11667	Inawashiro	37.56667	2015-02-21
Asia/Kolkata	accep	86.59611	Saharsa	25.87498	2020/01/06
Europe/Berlin	excellent	7.973	Finnentrop	51.168	29 Nov 2014
Asia/Shanghai	excellent	118.53333	Pucheng	27.92333	2012/10/18
America/Chicago	maintenance	-97.90308	Copperas Cove	31.12406	22 Apr 2014
Asia/Phnom_Penh	accep	102.56365	Paoy Paet	13.65805	21 Jan 2017
America/New_York	average	-77.4286	Sterling	39.00622	12/31/2021, 00:00:00
Europe/Moscow	excellent	38.02486	Malakhovka	55.64776	17 Jul 2018
America/Chicago	excellent	-90.10674	Estelle	29.84576	2017/03/13
Europe/Kiev	average	26.97253	Krasyliv	49.65186	09/24/2021, 00:00:00
Asia/Karachi	average	73.38333	Sangla Hill	31.71667	09 Jun 2016
Asia/Kolkata	building	73.08333	Dombivli	19.21667	2020/01/30
Europe/Zaporozhye	good	38.15035	Svatove	49.41029	2020-05-30
Pacific/Port_Moresby	accep	144.23058	Mount Hagen	-5.85746	05/04/2017, 00:00:00
Europe/Paris	average	5.55575	Lons-le-Saunier	46.67535	20 Oct 2015
Asia/Kolkata	maintenance	76.32756	Kalavoor	9.57046	06/01/2022, 00:00:00
America/Chicago	average	-89.64066	Pekin	40.56754	09 Oct 2019
America/Mexico_City	accep	-103.42897	Jocotepec	20.28527	18 Oct 2016
Europe/Berlin	average	9.02596	Albstadt	48.21644	12 Feb 2020
America/Chicago	excellent	-97.03285	Grand Forks	47.92526	02/28/2013, 00:00:00
America/Chicago	excellent	-88.42814	Huntley	42.16808	04/16/2020, 00:00:00
Australia/Sydney	average	151.07986	Strathfield	-33.88096	2014-05-11
Asia/Shanghai	good	122.20488	Zhoushan	29.98869	2019/01/23
Asia/Kuala_Lumpur	maintenance	100.24529	Batu Feringgi	5.4709	02 Jun 2013
America/New_York	building	-74.28459	Woodbridge	40.5576	2019/02/25
Europe/Moscow	good	37.92792	Kireyevsk	53.93361	2018-10-16
Europe/London	excellent	-2.1875	Westbury	51.26	2016/02/18
Asia/Yangon	accep	98.50893	Myawadi	16.68911	09 Jul 2017
Europe/Zurich	accep	6.10237	Onex	46.18396	2013-11-27
America/New_York	good	-82.07842	Punta Gorda Isles	26.91756	05/30/2017, 00:00:00
Europe/Copenhagen	excellent	12.53463	Frederiksberg	55.67938	2016-03-02
Europe/Istanbul	maitennce	29.26639	Serinhisar	37.58105	2022/06/14
Asia/Jakarta	average	104.09701	Simpang	-1.26424	2020/07/17
Atlantic/Azores	accep	-25.66689	Ponta Delgada	37.74615	08/18/2014, 00:00:00
Asia/Jerusalem	good	34.86563	Ramla	31.92923	01/14/2014, 00:00:00
America/Mexico_City	excellent	-102.04897	Paracho de Verduzco	19.64745	04 Feb 2013
America/Mexico_City	excellent	-100.44843	Santa Rosa Jauregui	20.74122	12/22/2016, 00:00:00
Africa/Lubumbashi	average	24.99798	Kamina	-8.73508	2021-11-09
Europe/Zaporozhye	building	38.15035	Svatove	49.41029	2018-06-26
Asia/Jerusalem	average	34.8732	Ganei Tikva	32.05971	18 Aug 2021
Asia/Manila	average	120.89694	Baliuag	14.95472	02 Jul 2015
Asia/Kolkata	average	91.61356	Rangia	26.44931	2020-01-13
Asia/Tokyo	accep	142.45778	Nayoro	44.35056	08/04/2020, 00:00:00
America/Sao_Paulo	maintenance	-45.94722	Alfenas	-21.42917	2022-05-29
America/Caracas	average	-67.33122	La Victoria	10.22677	21 Oct 2016
Pacific/Efate	average	168.31366	Port-Vila	-17.73648	2021-12-18
Africa/Douala	excellent	9.00472	Idenao	4.2475	2022-08-25
Asia/Dhaka	average	89.11943	Kushtia	23.9028	2017-06-21
America/Mexico_City	accep	-102.04897	Paracho de Verduzco	19.64745	2021/10/22
Europe/Amsterdam	good	7.00417	Losser	52.26083	2021/10/07
Africa/Addis_Ababa	building	38.01667	Debre Tabor	11.85	2020/06/03
Europe/Berlin	good	6.74549	Losheim	49.5099	2012-11-13
Asia/Shanghai	maintenance	122.08333	Ulanhot	46.08333	02/25/2018, 00:00:00
Europe/Amsterdam	average	5.74861	Emmeloord	52.71083	26 May 2019
America/Chicago	maintenance	-102.36764	Odessa	31.84568	11/11/2016, 00:00:00
Africa/Lagos	good	4.52514	Argungu	12.74482	20 Jun 2019
Asia/Kolkata	good	72.93924	Uran	18.87813	31 Dec 2019
America/New_York	accep	-83.55521	Toledo	41.66394	2020/06/07
Asia/Kolkata	accep	78.55757	Lal Bahadur Nagar	17.34769	2013/10/31
Asia/Tokyo	excellent	138.31667	Suzaka	36.65	03/06/2017, 00:00:00
Europe/Stockholm	maintenance	17.10558	Hudiksvall	61.72744	04 Jun 2019
Asia/Kolkata	accep	72.85107	Bhayandar	19.30157	02/29/2016, 00:00:00
America/Sao_Paulo	average	-53.13722	Loanda	-22.92306	07 May 2016
Asia/Seoul	excellent	126.665	Hongseong	36.6009	10/20/2020, 00:00:00
Asia/Colombo	good	79.883	Hendala	6.9909	2016-07-04
Europe/Rome	excellent	8.62118	Novara	45.44694	2016/06/16
America/Santiago	good	-71.19901	Ovalle	-30.60106	08/19/2021, 00:00:00
America/Lima	accep	-69.08333	Yunguyo	-16.25	12 Aug 2016
Europe/London	acceptable	-1.99421	Devizes	51.35084	15 Jun 2016
Asia/Tokyo	good	139.55028	Kamakura	35.30889	2019/07/22
Europe/Istanbul	accep	41.00817	Silvan	38.13708	12/17/2015, 00:00:00
Asia/Tokyo	accep	138.89585	Annaka	36.33011	17 Jun 2017
America/Chicago	average	-88.81395	Jackson	35.61452	03/01/2015, 00:00:00
America/New_York	good	-73.78458	Scarsdale	41.0051	2014/11/25
Asia/Seoul	average	126.835	Goyang-si	37.65639	27 Feb 2017
Asia/Tbilisi	good	41.77921	Kobuleti	41.82143	2020/08/09
Europe/Madrid	accep	3.1631	Palafrugell	41.91738	10/13/2016, 00:00:00
America/Los_Angeles	average	-122.40433	Visitacion Valley	37.71715	2014/04/26
Asia/Kolkata	building	75.35927	Talipparamba	12.04161	03/05/2016, 00:00:00
Asia/Yerevan	accep	44.7662	Hrazdan	40.49748	2015/12/06
Europe/Moscow	average	37.99117	Krymsk	44.92934	12/18/2015, 00:00:00
Europe/Moscow	accep	38.16694	Kashira	54.84444	10 Mar 2020
Asia/Yekaterinburg	excellent	60.8019	Beryozovsky	56.9083	02 Nov 2014
Africa/Lagos	accep	3.64633	Shagamu	6.8485	12/25/2014, 00:00:00
Asia/Karachi	excellent	72.54566	Hasilpur	29.69221	28 Sep 2016
Europe/Amsterdam	average	7.00417	Losser	52.26083	05/21/2013, 00:00:00
America/New_York	average	-84.67837	Acworth	34.06635	08 Dec 2019
Australia/Sydney	excellent	146.05093	Griffith	-34.28853	09/04/2016, 00:00:00
Asia/Shanghai	average	116.11768	Meizhou	24.28859	07/16/2021, 00:00:00
Asia/Shanghai	excellent	120.82747	Zhuangyuan	37.30553	2019-03-10
America/New_York	accep	-77.37331	Mechanicsville	37.60876	2022/04/12
Europe/Madrid	good	-0.18333	Gandia	38.96667	2020-09-05
Europe/Paris	accep	-0.59543	Talence	44.80477	2020-05-09
Europe/Madrid	average	-3.67029	Las Gabias	37.13548	2015/09/03
Asia/Kolkata	excellent	71.21169	Amreli	21.59983	05/29/2020, 00:00:00
Asia/Shanghai	good	109.22921	Yanliang	34.65918	12/07/2019, 00:00:00
Asia/Kolkata	accep	73.06784	Sheoganj	25.13915	15 Jan 2016
America/Argentina/Buenos_Aires	good	-58.38341	Barracas	-34.64966	09 Jan 2021
America/New_York	accep	-75.23266	Utica	43.1009	2018/06/05
Africa/Conakry	average	-13.68778	Camayenne	9.535	2018/11/15
America/New_York	average	-82.45426	Venice	27.09978	30 Dec 2019
Asia/Karachi	accep	68.49143	Bhit Shah	25.80565	27 Sep 2014
Asia/Manila	average	120.5875	La Trinidad	16.455	31 Jul 2021
Asia/Jerusalem	excellent	34.75699	Rahat	31.39547	2014/05/16
Asia/Karachi	accep	70.96699	Kot Addu	30.46907	11 Mar 2017
Europe/Berlin	average	8.96317	Hechingen	48.35149	2015/03/13
America/Los_Angeles	maintenance	-116.21677	Indio	33.7207	2019/01/15
Asia/Kolkata	excellent	82.85749	Elamanchili	17.54907	2022-09-01
America/Havana	excellent	-82.4017	Boyeros	23.0072	2022/08/16
Africa/Lagos	accep	9.0027	Gaya	11.86064	12/08/2016, 00:00:00
Asia/Kolkata	good	75.37991	Deoli	25.75728	2020-04-16
Europe/Madrid	maintenance	-0.76773	Novelda	38.38479	2017/01/20
America/New_York	accep	-82.07842	Punta Gorda Isles	26.91756	08/28/2015, 00:00:00
America/Los_Angeles	accep	-119.0376	Camarillo	34.21639	22 Oct 2016
Asia/Kolkata	average	88.18466	Diamond Harbour	22.19303	08/27/2013, 00:00:00
Asia/Yekaterinburg	average	53.47103	Oktyabr’skiy	54.48147	05/11/2016, 00:00:00
Africa/Algiers	excellent	2.95924	Cheraga	36.76775	2018/09/14
Pacific/Port_Moresby	good	144.23058	Mount Hagen	-5.85746	31 Oct 2019
Asia/Tokyo	average	139.55028	Kamakura	35.30889	11 Nov 2019
Asia/Shanghai	accep	111.73861	Changzhi	35.20889	2016/05/18
America/Chicago	excellent	-93.263	Columbia Heights	45.0408	09 Nov 2021
Asia/Shanghai	excellent	123.17306	Liaoyang	41.27194	05/12/2019, 00:00:00
Asia/Colombo	excellent	79.87116	Dehiwala-Mount Lavinia	6.84019	14 Oct 2019
Asia/Shanghai	accep	117.55417	Zaozhuang	34.86472	08 Aug 2020
Asia/Kolkata	excellent	77.23826	Sathyamangalam	11.50526	2018-04-11
Europe/Moscow	accep	36.73307	Naro-Fominsk	55.38752	07 Sep 2017
Europe/Berlin	average	13.28702	Dahlem	52.4581	2020/10/29
America/Chicago	accep	-97.90308	Copperas Cove	31.12406	29 Aug 2021
Africa/Johannesburg	accep	29.00974	Mokopane	-24.19436	2014-02-15
Asia/Bangkok	excellent	101.18445	Phanat Nikhom	13.44581	04/27/2016, 00:00:00
Africa/Lubumbashi	average	24.99798	Kamina	-8.73508	24 Jan 2021
Europe/Volgograd	excellent	43.2379	Mikhaylovka	50.06	2015/08/28
Africa/Bamako	average	-8.07257	Kati	12.74409	13 Nov 2019
America/New_York	average	-69.96533	Brunswick	43.91452	13 Sep 2014
America/Chicago	good	-88.70464	Tupelo	34.25807	2016-02-05
America/Toronto	accep	-79.2663	Markham	43.86682	2018/04/07
Asia/Tokyo	accep	135.31667	Iwade	34.25	09/10/2019, 00:00:00
Europe/Andorra	good	1.53414	les Escaldes	42.50729	2022-06-11
America/New_York	maintenance	-70.92866	Peabody	42.52787	2012/12/02
Europe/Vienna	good	15.46667	Sankt Peter	47.05	2015-02-18
Europe/Amsterdam	maintenance	6.76111	Hoogezand	53.16167	2015/05/01
Asia/Karachi	building	71.52847	Mianwali	32.57756	16 Feb 2018
Africa/Casablanca	good	-2.16	Jerada	34.31	2015/01/11
Europe/Amsterdam	good	7.00417	Losser	52.26083	01/05/2021, 00:00:00
America/Havana	good	-82.00919	Jaruco	23.04419	2013-11-16
Europe/London	building	-3.05	Blackpool	53.81667	07/13/2014, 00:00:00
Asia/Taipei	excellent	119.58627	Magong	23.5654	10/18/2017, 00:00:00
Asia/Kolkata	good	78.27539	Robertsonpet	12.95629	2020/12/14
Africa/Abidjan	maintenance	-5.682	Lakota	5.84752	15 Feb 2017
Europe/Paris	accep	5.4384	Marseille 11	43.2907	25 Jul 2015
Africa/Luanda	excellent	19.91667	Luena	-11.78333	2018/03/09
Europe/Rome	excellent	12.38878	Perugia	43.1122	2020-12-15
Asia/Karachi	average	68.21204	Larkana	27.55898	06/02/2018, 00:00:00
America/Chicago	building	-87.66561	Lower West Side	41.8542	18 Feb 2016
Europe/Amsterdam	building	7.00417	Losser	52.26083	2017/05/06
Europe/Berlin	good	9.47629	Stade	53.59337	11/24/2018, 00:00:00
Europe/London	accep	-1.5443	Lymington	50.75767	2021-08-24
Pacific/Auckland	accep	178.00417	Gisborne	-38.65333	01 Jan 2021
Europe/Paris	accep	5.4584	Les Olives	43.32393	02/09/2015, 00:00:00
Asia/Damascus	average	36.7138	Binnish	35.95664	02/25/2018, 00:00:00
Asia/Vladivostok	average	133.42825	Lesozavodsk	45.47885	2022-06-29
Asia/Karachi	average	72.54566	Hasilpur	29.69221	2022-03-28
America/New_York	accep	-81.38758	Palm Valley	30.17746	2016-07-29
America/Edmonton	building	-113.3187	Sherwood Park	53.51684	05/24/2018, 00:00:00
America/Sao_Paulo	maintenance	-50.00639	Palmeira	-25.42944	2015-04-15
America/New_York	excellent	-74.01042	Newburgh	41.50343	2015-05-04
America/New_York	good	-76.99081	Chillum	38.96372	02/26/2014, 00:00:00
America/New_York	building	-81.26367	Deltona	28.90054	01/08/2014, 00:00:00
Europe/Paris	average	1.00288	Elbeuf	49.28669	05/02/2018, 00:00:00
America/New_York	excellent	-73.95097	Greenpoint	40.72371	2014-04-19
Asia/Kolkata	good	81.54855	Jais	26.2649	09/02/2022, 00:00:00
America/New_York	maintenance	-73.20483	Bridgeport	41.16704	10/18/2014, 00:00:00
Asia/Kuala_Lumpur	accep	100.24529	Batu Feringgi	5.4709	09 Dec 2012
Asia/Manila	good	124.84472	Maasin	10.13361	08/09/2014, 00:00:00
Pacific/Auckland	average	178.00417	Gisborne	-38.65333	20 May 2018
America/Argentina/Tucuman	building	-65.61427	Aguilares	-27.4338	01/05/2019, 00:00:00
Europe/Berlin	average	11.32903	Weimar	50.9803	02 Jan 2013
America/Mexico_City	average	-97.35992	Teziutlan	19.8173	05/16/2016, 00:00:00
Asia/Kolkata	good	83.97573	Sambalpur	21.46527	04 Jun 2017
Africa/Kampala	accep	30.98551	Paidha	2.41669	2020-03-24
Asia/Makassar	average	117.59152	Tarakan	3.31332	12/07/2016, 00:00:00
Africa/Johannesburg	average	29.00974	Mokopane	-24.19436	03/09/2018, 00:00:00
Europe/London	average	-2.98333	Poulton-le-Fylde	53.83333	2016/06/27
Europe/Rome	building	15.00913	Misterbianco	37.51803	01/29/2015, 00:00:00
America/Caracas	good	-70.20749	Barinas	8.62261	2020/11/22
Asia/Kolkata	good	79.41727	Gingee	12.25282	2015-04-28
America/Sao_Paulo	accep	-47.1725	Artur Nogueira	-22.57306	2015/03/26
America/Los_Angeles	good	-117.71978	Claremont	34.09668	06 Mar 2014
America/Sao_Paulo	average	-52.2	Marau	-28.44917	06/14/2018, 00:00:00
America/Los_Angeles	maintenance	-122.24064	Bothell West	47.80527	06/02/2016, 00:00:00
America/Sao_Paulo	average	-51.87389	Sarandi	-23.44361	10 Aug 2019
America/Los_Angeles	maintenance	-118.03917	South Whittier	33.95015	2015/06/03
Europe/Berlin	excellent	10.30215	Bad Segeberg	53.94313	2022/08/09
Europe/Kiev	building	33.34864	Nova Kakhovka	46.75451	2016-01-21
Asia/Kolkata	accep	78.27539	Robertsonpet	12.95629	11 Dec 2021
Europe/Paris	accep	2.29275	Fontenay-aux-Roses	48.79325	03/24/2021, 00:00:00
Europe/Berlin	excellent	9.15214	Aschaffenburg	49.97704	09/14/2016, 00:00:00
America/Havana	good	-81.24441	Varadero	23.15678	2020-10-15
America/New_York	average	-82.61573	Norwalk	41.24255	2016/12/09
Asia/Shanghai	excellent	120.14278	Jiangyan	32.50611	2021-10-30
Australia/Sydney	accep	151.08057	Eastwood	-33.79176	2014/08/17
Asia/Jakarta	average	107.60389	Pameungpeuk	-7.01833	2021/08/05
Europe/Paris	excellent	2.61667	Mitry-Mory	48.98333	2017-05-22
Asia/Taipei	average	119.58627	Magong	23.5654	2021-06-09
Asia/Manila	good	123.33471	Dipolog	8.56697	2013/07/29
America/New_York	building	-71.05977	Boston	42.35843	01 Dec 2019
America/New_York	accep	-74.01042	Newburgh	41.50343	27 Dec 2018
Asia/Jakarta	maintenance	109.3243	Randudongkal	-7.0981	10 Feb 2020
America/Los_Angeles	good	-122.23484	Kent	47.38093	08/07/2018, 00:00:00
Africa/Algiers	good	1.04945	Frenda	35.06544	04/24/2013, 00:00:00
Europe/Berlin	accep	10.18527	Memmingen	47.98372	2017/03/28
America/Bogota	average	-73.9614	El Copey	10.15031	2021/08/20
Europe/Amsterdam	average	5.23333	Zeist	52.09	02/02/2021, 00:00:00
Australia/Sydney	accep	151.07986	Strathfield	-33.88096	21 May 2014
Asia/Jakarta	good	98.6738	Labuhan Deli	3.7278	06 Jun 2015
America/New_York	excellent	-82.46148	Lutz	28.15112	2019/06/05
Asia/Bangkok	accep	102.05461	Tak Bai	6.25947	20 Jun 2022
Europe/Warsaw	accep	18.34717	Reda	54.60528	2021/05/21
Europe/Minsk	average	30.2049	Vitebsk	55.1904	27 Dec 2017
Asia/Vladivostok	excellent	133.42825	Lesozavodsk	45.47885	16 Jun 2019
Asia/Kuala_Lumpur	good	102.3278	Kampung Ayer Molek	2.2139	24 Apr 2013
Europe/Paris	building	4.63031	Arles	43.67681	2015/08/03
America/New_York	building	-77.55777	Bon Air	37.52487	07 Feb 2013
Africa/Douala	average	9.00472	Idenao	4.2475	2016/08/12
America/Bahia	good	-39.25	Muritiba	-12.91667	2016-11-02
America/New_York	good	-72.97261	Rutland	43.61062	03 Mar 2022
Europe/Bratislava	excellent	17.8031	Hlohovec	48.43174	23 Oct 2016
Asia/Phnom_Penh	accep	102.56365	Paoy Paet	13.65805	2019-03-11
America/Argentina/Tucuman	excellent	-65.61427	Aguilares	-27.4338	2022-01-27
America/Chicago	maintenance	-90.10674	Estelle	29.84576	23 Apr 2021
Asia/Barnaul	good	83.62389	Novosilikatnyy	53.30972	07/22/2021, 00:00:00
Asia/Kolkata	building	85.83636	Dalsingh Sarai	25.66795	2019/03/17
Europe/Istanbul	accep	29.26639	Serinhisar	37.58105	2015-08-10
Europe/Vilnius	average	24.04142	Alytus	54.39635	2015-10-30
Asia/Kolkata	good	76.56719	Aklera	24.41288	2018-11-26
America/Menominee	average	-88.64235	Iron River	46.09273	05/27/2015, 00:00:00
Africa/Dar_es_Salaam	building	39.28333	Nyangao	-10.33333	23 Mar 2017
Europe/Paris	accep	2.1699	Herblay	48.98994	09 Jan 2022
America/Los_Angeles	building	-122.86705	Aloha	45.49428	2022/07/13
Asia/Shanghai	good	115.70111	Hengshui	37.73222	2019-11-23
Asia/Kolkata	building	74.3092	Rajaori	33.37526	04/08/2019, 00:00:00
Pacific/Port_Moresby	good	144.23058	Mount Hagen	-5.85746	2022/08/25
America/Los_Angeles	maintenance	-118.25508	Glendale	34.14251	2013-02-09
America/Denver	average	-111.99633	Kearns	40.65995	2018-08-30
Europe/Zaporozhye	accep	38.15035	Svatove	49.41029	20 Jun 2021
Asia/Manila	accep	121.06761	San Jose	12.35275	2017-06-05
America/New_York	excellent	-73.20483	Bridgeport	41.16704	2022-01-23
Africa/Algiers	building	4.62744	El Achir	36.06386	08/08/2016, 00:00:00
Europe/Warsaw	good	18.34717	Reda	54.60528	16 Jan 2019
America/Los_Angeles	good	-116.37697	Palm Desert	33.72255	2013/06/26
Europe/Kiev	average	27.06365	Shepetivka	50.18545	2020-08-23
America/Bahia	average	-37.93278	Rio Real	-11.48472	06/22/2022, 00:00:00
Africa/Johannesburg	accep	29.24152	Standerton	-26.93366	06/03/2016, 00:00:00
Europe/Lisbon	building	-8.2503	Albufeira	37.08819	2018/08/12
Asia/Karachi	excellent	68.11759	Tharu Shah	26.9423	2021-12-24
Europe/Amsterdam	maintenance	6.76111	Hoogezand	53.16167	03/10/2017, 00:00:00
Asia/Shanghai	average	120.74221	Changshu City	31.64615	05/04/2018, 00:00:00
Europe/Brussels	average	4.52529	Rixensart	50.71229	28 Aug 2016
America/New_York	building	-71.8023	Fitchburg	42.58342	08/17/2020, 00:00:00
America/Sao_Paulo	average	-51.50361	Carlos Barbosa	-29.2975	2016-08-04
Europe/Berlin	average	7.973	Finnentrop	51.168	07/01/2020, 00:00:00
Europe/Warsaw	excellent	15.00835	Zgorzelec	51.14942	20 Jun 2014
America/New_York	accep	-77.70066	Gates-North Gates	43.16547	2017-01-13
Africa/Dar_es_Salaam	maintenance	38.66667	Mvomero	-6.25	2014/01/08
America/Panama	building	-79.62603	Veracruz	8.88988	11/07/2014, 00:00:00
Europe/Moscow	excellent	35.96944	Volokolamsk	56.03361	11 Sep 2019
Europe/Berlin	maintenance	7.2278	Bad Honnef	50.64336	03/27/2017, 00:00:00
Asia/Kolkata	good	88.28637	Pandua	23.07492	31 May 2022
Asia/Karachi	good	72.54064	Sillanwali	31.82539	12/23/2012, 00:00:00
Asia/Shanghai	maintenance	115.70111	Hengshui	37.73222	09/20/2022, 00:00:00
Asia/Manila	accep	124.3697	Jagna	9.6531	08/12/2019, 00:00:00
America/Phoenix	good	-111.78903	Gilbert	33.35283	09 Aug 2014
Asia/Baghdad	maintenance	44.02488	Karbala	32.61603	11 Oct 2020
Europe/Istanbul	average	34.02537	Aksaray	38.37255	09 Mar 2017
Asia/Tokyo	building	137.4	Toyokawa	34.81667	2022/03/24
America/New_York	good	-73.97069	Kensington	40.64621	2012-11-24
America/Chicago	excellent	-95.30106	Tyler	32.35126	2017/12/31
Europe/Brussels	accep	4.21372	Temse	51.12794	17 Jun 2018
Asia/Yerevan	excellent	44.7662	Hrazdan	40.49748	2018/03/23
Asia/Manila	good	120.56528	Pilar	14.66	02/16/2016, 00:00:00
Atlantic/Canary	good	-15.58602	Maspalomas	27.76056	04/20/2022, 00:00:00
Asia/Manila	maintenance	121.96361	Recodo	6.95194	09/11/2016, 00:00:00
America/New_York	accep	-73.78458	Scarsdale	41.0051	02/20/2020, 00:00:00
America/Martinique	excellent	-60.94228	Le Robert	14.67751	03/28/2018, 00:00:00
Africa/Porto-Novo	accep	2.59753	Tchaourou	8.88649	2019/01/26
Africa/Ndjamena	average	18.69303	Mongo	12.18441	2020-06-04
Europe/Moscow	average	37.56667	Likhobory	55.85	2012/10/14
Asia/Novokuznetsk	accep	85.4265	Yashkino	55.8736	2019/01/15
America/Toronto	good	-73.86586	Beaconsfield	45.43341	01/30/2013, 00:00:00
America/Sao_Paulo	acceptable	-42.98194	Guapimirim	-22.53722	14 May 2015
Europe/Madrid	building	-0.76773	Novelda	38.38479	04/13/2017, 00:00:00
America/Vancouver	maintenance	-119.48568	Kelowna	49.88307	2020/05/23
America/Chicago	accep	-93.12577	Rosemount	44.73941	2018/07/10
Europe/Berlin	building	8.51667	Verl	51.88333	2012-09-30
Asia/Kolkata	accep	79.41727	Gingee	12.25282	2022/05/18
Africa/Abidjan	building	-3.59625	Bonoua	5.27247	01 Apr 2017
America/Chicago	good	-93.12577	Rosemount	44.73941	2015-06-18
Europe/Zaporozhye	average	36.25361	Polohy	47.48444	22 Jul 2017
Europe/Berlin	maitennce	9.02596	Albstadt	48.21644	2018/06/21
Asia/Kolkata	excellent	78.27539	Robertsonpet	12.95629	05 Dec 2013
America/Los_Angeles	average	-116.21677	Indio	33.7207	2016-09-07
Europe/Paris	good	1.33467	Colomiers	43.61058	14 Aug 2018
America/Fortaleza	accep	-40.7475	Guaraciaba do Norte	-4.16694	03/03/2018, 00:00:00
America/Maceio	building	-37.03861	Barra dos Coqueiros	-10.90889	2019/01/12
Asia/Kolkata	excellent	85.94001	Teghra	25.49043	19 Sep 2021
Asia/Kolkata	average	75.92694	Davangere	14.46693	2022-04-26
Africa/Kigali	average	30.4347	Rwamagana	-1.9487	2022/03/04
America/Chicago	good	-87.45476	Schererville	41.47892	2018/01/26
Asia/Tehran	maintenance	51.0193	Shahre Jadide Andisheh	35.6803	22 Jun 2014
America/Chicago	building	-99.73314	Abilene	32.44874	2021-02-07
Europe/London	accep	-4.21376	Rutherglen	55.82885	2013/07/29
America/New_York	average	-72.27814	Keene	42.93369	28 Sep 2014
America/Mexico_City	maintenance	-101.2591	Guanajuato	21.01858	2013-09-30
Asia/Bangkok	average	99.95469	Damnoen Saduak	13.51825	2021-11-26
Europe/Brussels	maintenance	4.07601	Denderleeuw	50.88506	20 Jan 2021
Asia/Kuala_Lumpur	average	103.6032	Kulai	1.6561	2017/03/02
America/Sao_Paulo	excellent	-41.25528	Resplendor	-19.32556	22 Nov 2012
Asia/Shanghai	excellent	117.7	Dongdu	35.85	16 Jun 2018
