longitude	revision	station	QoS	latitude	code
29.47306	06/11/2018, 00:00:00	Beni	building	0.49113	CD
77.40858	2019-04-20	Leteri	good	24.05979	IN
-77.96389	2019/10/07	Martinsburg	building	39.45621	US
-80.66756	02 Jun 2022	Belle Glade	building	26.68451	US
-79.62603	09/14/2021, 00:00:00	Veracruz	maintenance	8.88988	PA
-87.65644	05/01/2017, 00:00:00	New City	accep	41.80753	US
34.37389	24 May 2019	Sungurlu	excellent	40.1675	TR
-52.2	2020/03/11	Marau	maintenance	-28.44917	BR
34.86563	12/17/2019, 00:00:00	Ramla	good	31.92923	IL
-2.68333	2018/03/28	Gernika-Lumo	good	43.31667	ES
-97.54667	05/12/2015, 00:00:00	Hutto	average	30.5427	US
8.63333	21 Nov 2021	Kirchlengern	building	52.2	DE
76.03889	07/10/2015, 00:00:00	Osmanabad	average	18.18158	IN
60.8019	07/13/2017, 00:00:00	Beryozovsky	accep	56.9083	RU
-51.50361	2013-07-20	Carlos Barbosa	excellent	-29.2975	BR
8.63333	08/28/2016, 00:00:00	Kirchlengern	average	52.2	DE
135.31667	11 Jan 2013	Iwade	excellent	34.25	JP
71.57118	2018/06/06	Daud Khel	building	32.87533	PK
37.55	21 Mar 2017	Arba Minch	good	6.03333	ET
-91.77127	2022/03/02	Rolla	accep	37.95143	US
-81.38758	31 Oct 2018	Palm Valley	accep	30.17746	US
3.39467	05/22/2021, 00:00:00	Lagos	average	6.45407	NG
4.86667	05/02/2014, 00:00:00	Vienne	excellent	45.51667	FR
138.89585	06 Sep 2015	Annaka	average	36.33011	JP
-50.00639	10/06/2016, 00:00:00	Palmeira	average	-25.42944	BR
4.8951	2020/08/08	Valence	accep	44.92801	FR
43.91385	2020-05-24	Kovylkino	good	54.03876	RU
13.31783	11/11/2021, 00:00:00	Hermsdorf	average	52.61131	DE
122.22833	2014-03-21	Yingkou	accep	40.66482	CN
13.32127	2014/04/30	Wittenau	accep	52.59319	DE
77.23826	12/08/2021, 00:00:00	Sathyamangalam	building	11.50526	IN
10.18003	18 Feb 2015	Ghat	excellent	24.96334	LY
113.69785	2014/04/27	Besuki	accep	-7.73379	ID
117.81667	05 Jan 2016	Zhoucun	accep	36.81667	CN
-120.00865	2013/07/25	Sunnyside	maintenance	46.32374	US
-6.00137	2018/09/13	Oulmes	good	33.42585	MA
12.1369	2019/02/10	Zeitz	accep	51.04962	DE
33.34864	2018/08/11	Nova Kakhovka	building	46.75451	UA
141.95	2012-12-16	Yamada	accep	39.46667	JP
125.21972	2013-08-16	Maliana	good	-8.99167	TL
22.53083	12/14/2019, 00:00:00	Negotin	excellent	44.22639	RS
-76.72803	07 Jul 2017	Woodlawn	average	39.32288	US
-73.78458	2018/12/17	Scarsdale	good	41.0051	US
124.95278	2013-12-10	Tupi	excellent	6.33444	PH
28.19028	2015-11-21	Narva	good	59.37722	EE
-4.0573	2016/02/26	Viewpark	average	55.82737	GB
-105.36369	01/12/2020, 00:00:00	Acaponeta	good	22.49396	MX
138.31667	2016-01-22	Suzaka	average	36.65	JP
-103.42897	2014-05-13	Jocotepec	good	20.28527	MX
-88.3162	2021-11-07	Crystal Lake	maintenance	42.24113	US
4.85668	11/02/2016, 00:00:00	Bordj Zemoura	average	36.27462	DZ
-88.3162	2016-08-07	Crystal Lake	accep	42.24113	US
10.7	21 Aug 2014	Tonga	good	4.96667	CM
4.21372	2019-01-23	Temse	maitennce	51.12794	BE
24.04142	2020/06/28	Alytus	accep	54.39635	LT
-82.45426	16 Mar 2014	Venice	maintenance	27.09978	US
33.72798	07/18/2014, 00:00:00	Zhukovka	average	53.53395	RU
115.04814	2017-05-12	Huangshi	accep	30.24706	CN
59.4839	11 Aug 2022	Kachkanar	acceptable	58.7002	RU
133.42825	12/06/2016, 00:00:00	Lesozavodsk	good	45.47885	RU
77.5609	2020-05-11	Kangayam	excellent	11.00599	IN
-4.10734	2015-08-06	Puertollano	excellent	38.68712	ES
-85.43772	2014/05/07	Liberia	building	10.63504	CR
130.94098	18 Jan 2014	Hita	good	33.3213	JP
34.34691	2020/12/03	Petrozavodsk	average	61.78491	RU
2.18247	08 May 2022	el Camp de l'Arpa del Clot	good	41.41204	ES
46.5813	2013/11/21	Alatyr’	excellent	54.8421	RU
-73.99681	2020-10-28	Dumont	good	40.94065	US
44.7662	2020/06/28	Hrazdan	average	40.49748	AM
-2.68333	02/13/2017, 00:00:00	Gernika-Lumo	average	43.31667	ES
-1.48119	2021-02-14	Belper	excellent	53.0233	GB
75.06583	11/12/2020, 00:00:00	Fazilpur	excellent	32.17629	PK
26.97253	2015/10/10	Krasyliv	average	49.65186	UA
130.94098	08/23/2018, 00:00:00	Hita	average	33.3213	JP
121.06761	2015-01-27	San Jose	building	12.35275	PH
-66.8499	04/26/2014, 00:00:00	Yauco	good	18.03496	PR
1.26738	04/08/2014, 00:00:00	Walton-on-the-Naze	average	51.84819	GB
-40.7475	2013-10-09	Guaraciaba do Norte	accep	-4.16694	BR
146.05093	2022-09-06	Griffith	accep	-34.28853	AU
-84.13722	2018-12-02	San Rafael	maintenance	9.92787	CR
15.28318	04 May 2019	Brazzaville	average	-4.26613	CG
101.44167	08 Dec 2016	Pekanbaru	excellent	0.51667	ID
34.34691	01/15/2014, 00:00:00	Petrozavodsk	average	61.78491	RU
-80.22588	02/07/2015, 00:00:00	North Lauderdale	good	26.2173	US
1.15597	11/20/2013, 00:00:00	Clacton-on-Sea	average	51.78967	GB
48.87498	2015-06-16	Astara	maintenance	38.45598	AZ
115.88782	2016/11/10	Willetton	accep	-32.05251	AU
115.8614	2013/02/21	Perth	good	-31.95224	AU
-25.66689	13 Mar 2020	Ponta Delgada	accep	37.74615	PT
-116.56346	11/02/2021, 00:00:00	Nampa	building	43.54072	US
9.15013	2015/07/07	Mirriah	average	13.70727	NE
139.07204	07 Sep 2015	Fujioka	good	36.24624	JP
118.9707	2013/07/27	Majene	accep	-3.5403	ID
-35.03333	09/07/2021, 00:00:00	Cabo	good	-8.28333	BR
-82.35176	25 Jan 2018	Sun City Center	excellent	27.71809	US
82.85749	2015/02/11	Elamanchili	excellent	17.54907	IN
-46.99583	2022/07/31	Valinhos	average	-22.97056	BR
4.52514	2022-04-09	Argungu	maintenance	12.74482	NG
-3.59625	2016/03/19	Bonoua	average	5.27247	CI
-95.63079	11/13/2017, 00:00:00	Palestine	average	31.76212	US
-102.36764	2017-10-05	Odessa	good	31.84568	US
-116.21677	22 Apr 2022	Indio	average	33.7207	US
-81.26367	2017-12-27	Deltona	good	28.90054	US
-87.93341	29 Jan 2016	Pleasant Prairie	building	42.55308	US
113.13148	07 Apr 2019	Foshan	good	23.02677	CN
8.64409	2021-05-25	Trossingen	accep	48.07667	DE
78.25795	03/18/2020, 00:00:00	Tiruppuvanam	good	9.82564	IN
76.56719	2016-02-13	Aklera	average	24.41288	IN
2.1699	19 Mar 2018	Herblay	good	48.98994	FR
-4.83076	2021-12-27	Talavera de la Reina	excellent	39.96348	ES
-91.73625	08 Aug 2020	Searcy	accep	35.25064	US
-42.19667	2016/05/21	Miracema	excellent	-21.41222	BR
-77.02303	2018-12-30	Fort Washington	accep	38.70734	US
-116.37697	2014-05-24	Palm Desert	building	33.72255	US
-46.99583	05 Oct 2018	Valinhos	excellent	-22.97056	BR
79.87116	04/04/2021, 00:00:00	Dehiwala-Mount Lavinia	maintenance	6.84019	LK
116.10146	2021-10-20	Donggongon	accep	5.90702	MY
110.8405	2019/08/18	Kudus	average	-6.8048	ID
17.22635	2018-03-11	Skalica	average	48.8449	SK
102.3278	12/02/2020, 00:00:00	Kampung Ayer Molek	excellent	2.2139	MY
38.07083	2020/01/19	Stupino	accep	54.90083	RU
9.5586	2017/06/29	Schleswig	excellent	54.52156	DE
73.06784	2018-07-16	Sheoganj	accep	25.13915	IN
-49.27306	2021-02-21	Curitiba	accep	-25.42778	BR
-96.67834	20 Jul 2017	Ada	good	34.77453	US
-86.19903	08/07/2016, 00:00:00	Jinotepe	average	11.84962	NI
98.50893	27 Sep 2022	Myawadi	maintenance	16.68911	MM
59.6	25 Nov 2020	Shalqar	building	47.83333	KZ
73.7553	19 Apr 2016	Calangute	accep	15.5439	IN
6.26764	2015/11/03	Yenagoa	good	4.92675	NG
-122.39168	01/04/2017, 00:00:00	Redding	good	40.58654	US
-82.90375	2021-08-24	Dublin	excellent	32.54044	US
4.18333	06/15/2019, 00:00:00	Olupona	maintenance	7.6	NG
9.15013	2018/05/30	Mirriah	average	13.70727	NE
10.98461	2016/05/19	Friedberg	maintenance	48.35693	DE
-73.86586	12 Sep 2015	Beaconsfield	accep	45.43341	CA
12.84052	2022/06/22	Portogruaro	good	45.78071	IT
29.47306	11/13/2019, 00:00:00	Beni	good	0.49113	CD
35.90057	2022/08/13	Tver	average	56.85836	RU
76.12647	03 Feb 2022	Chamba	excellent	32.55531	IN
29.00974	2021-11-01	Mokopane	excellent	-24.19436	ZA
8.96317	2017-03-19	Hechingen	accep	48.35149	DE
34.37389	2016-09-17	Sungurlu	excellent	40.1675	TR
-73.81669	2019/01/03	Pointe-Claire	excellent	45.44868	CA
104.1451	2018-04-16	Yasothon	average	15.79408	TH
-97.54667	18 Apr 2018	Hutto	good	30.5427	US
74.85849	25 Apr 2016	Patti	good	31.28092	IN
-91.58045	06/05/2014, 00:00:00	Coralville	maintenance	41.6764	US
15.00835	2018-02-02	Zgorzelec	average	51.14942	PL
-79.00453	2018/02/02	Cuenca	maintenance	-2.90055	EC
-2.16	2020/02/26	Jerada	excellent	34.31	MA
101.02083	2019/09/25	Teluk Intan	good	4.02219	MY
26.01649	2014/09/13	Sector 6	accep	44.43579	RO
15.46667	2017/03/05	Sankt Peter	good	47.05	AT
-87.45476	13 Jul 2016	Schererville	excellent	41.47892	US
101.44167	2021/10/23	Pekanbaru	average	0.51667	ID
2.45012	04 Jan 2016	Bobigny	building	48.90982	FR
116.10146	2013-12-25	Donggongon	average	5.90702	MY
34.02537	08/30/2013, 00:00:00	Aksaray	good	38.37255	TR
76.0586	03 Jun 2020	Hungund	excellent	16.06213	IN
128.9889	2022/07/02	T’aebaek	maintenance	37.1759	KR
30.98551	2020/10/21	Paidha	building	2.41669	UG
46.5813	2014/08/02	Alatyr’	average	54.8421	RU
32.6178	2022/08/19	Kherson	accep	46.65581	UA
5.4584	2016-02-24	Les Olives	building	43.32393	FR
-37.03861	2020/07/27	Barra dos Coqueiros	maintenance	-10.90889	BR
-65.61427	19 Feb 2016	Aguilares	accep	-27.4338	AR
9.29109	06/03/2019, 00:00:00	San Giuliano Milanese	excellent	45.39402	IT
1.26738	2018/05/09	Walton-on-the-Naze	excellent	51.84819	GB
5.2875	2020-02-26	Vught	building	51.65333	NL
-2.58736	05 Feb 2016	Arbroath	average	56.56317	GB
82.85749	05/03/2020, 00:00:00	Elamanchili	maintenance	17.54907	IN
-74.28459	29 Mar 2021	Woodbridge	excellent	40.5576	US
-4.22398	18 Sep 2016	Inverness	average	57.47908	GB
100.48528	2021-04-07	Bang Ban	good	14.37395	TH
68.11759	2015-01-22	Tharu Shah	average	26.9423	PK
27.18052	18 Oct 2013	Bergama	building	39.12074	TR
27.18052	17 Jan 2016	Bergama	good	39.12074	TR
4.8951	26 Jun 2018	Valence	building	44.92801	FR
122.22833	2013-11-14	Yingkou	accep	40.66482	CN
114.10479	07/19/2021, 00:00:00	Tsuen Wan	accep	22.37066	HK
-78.87836	19 Mar 2013	Fayetteville	accep	35.05266	US
73.97117	2017/02/19	Naushahra Virkan	good	31.96258	PK
30.28491	2017/05/08	Kolomyagi	average	60.02427	RU
36.36339	02/01/2021, 00:00:00	Nyahururu	excellent	0.03813	KE
136.13108	22 Aug 2014	Ueno-ebisumachi	maintenance	34.75856	JP
178.00417	2015/09/14	Gisborne	excellent	-38.65333	NZ
9.29109	2019/07/22	San Giuliano Milanese	excellent	45.39402	IT
83.62389	2017-12-12	Novosilikatnyy	average	53.30972	RU
-119.01677	23 Mar 2016	Porterville	good	36.06523	US
-60.1831	2016-09-11	Sydney	good	46.1351	CA
53.26023	07/06/2015, 00:00:00	Bavly	accep	54.39304	RU
-122.38731	2013-03-03	Troutdale	accep	45.53929	US
-58.44417	21 May 2017	Itacoatiara	building	-3.14306	BR
-123.02621	03 Oct 2018	Keizer	average	44.99012	US
25.34244	2019/02/11	Lutsk	accep	50.75932	UA
-72.27814	2017-05-05	Keene	good	42.93369	US
10.30215	2012-12-02	Bad Segeberg	average	53.94313	DE
11.04979	22 Jan 2021	Castelfranco Emilia	maintenance	44.59445	IT
137.95378	2019-07-06	Ina	excellent	35.82756	JP
27.46153	03 Jul 2017	Tonota	good	-21.44236	BW
-96.72365	07 Jun 2018	Oaxaca	average	17.06542	MX
6.61944	03 Feb 2016	Hardenberg	average	52.57583	NL
4.85668	2014-11-20	Bordj Zemoura	average	36.27462	DZ
-2.77259	2015/08/11	Baza	building	37.49073	ES
-156.47432	2015-04-16	Kahului	maintenance	20.88953	US
128.62667	21 Jul 2018	Sinhyeon	accep	34.8825	KR
-61.4867	2021-08-08	Rafaela	excellent	-31.25033	AR
15.87735	2015/04/10	Carnot	good	4.94273	CF
-116.37697	2015-03-18	Palm Desert	building	33.72255	US
-41.25528	23 Apr 2022	Resplendor	maintenance	-19.32556	BR
8.86704	28 Aug 2013	Nidderau	accep	50.23805	DE
-80.31727	2014/02/11	Kendall	good	25.67927	US
122.9666	2018-10-18	Talisay	maintenance	10.7375	PH
103.61667	2022/08/01	Jambi City	maintenance	-1.6	ID
-8.53778	03/30/2015, 00:00:00	New Yekepa	good	7.57944	LR
-7.35	2018/12/19	An Muileann gCearr	maintenance	53.53333	IE
-117.29198	2017-02-19	Encinitas	excellent	33.03699	US
102.3278	2013-06-25	Kampung Ayer Molek	building	2.2139	MY
-87.66561	2015/10/06	Lower West Side	maintenance	41.8542	US
-1.08593	28 Nov 2017	Southsea	accep	50.79205	GB
46.5813	2017-11-14	Alatyr’	maintenance	54.8421	RU
-78.04471	17 Sep 2019	Leland	accep	34.25628	US
117.4831	15 Sep 2013	Shaowu	excellent	27.34089	CN
-83.55521	16 May 2016	Toledo	average	41.66394	US
81.54855	2017/04/11	Jais	excellent	26.2649	IN
-8.53778	2014/05/26	New Yekepa	excellent	7.57944	LR
77.54372	09/26/2014, 00:00:00	Periyakulam	good	10.12268	IN
29.26639	2017-05-01	Serinhisar	excellent	37.58105	TR
-87.882	23 Jul 2018	Westchester	good	41.85059	US
-65.61427	09 Jul 2018	Aguilares	maintenance	-27.4338	AR
122.05228	2019/04/25	Tianfu	excellent	37.19723	CN
178.00417	12 Nov 2018	Gisborne	accep	-38.65333	NZ
19.21437	11/18/2019, 00:00:00	Bijeljina	building	44.75874	BA
-84.13722	02 Aug 2020	San Rafael	excellent	9.92787	CR
9.32241	27 Apr 2020	Chiavari	good	44.31771	IT
-93.71133	2014-06-01	West Des Moines	accep	41.57721	US
4.7934	2021-01-30	Saint-Genis-Laval	average	45.69558	FR
68.88871	01/26/2013, 00:00:00	Jhol	excellent	25.95533	PK
103.6032	22 May 2015	Kulai	good	1.6561	MY
-86.19903	25 Aug 2014	Jinotepe	excellent	11.84962	NI
-1.325	2018/07/12	Jumilla	good	38.47917	ES
118.53333	2021-05-08	Pucheng	maintenance	27.92333	CN
75.35927	06/30/2013, 00:00:00	Talipparamba	building	12.04161	IN
-13.2356	02/15/2016, 00:00:00	Freetown	average	8.48714	SL
-37.65	2019/02/28	Lagarto	average	-10.91722	BR
-75.87877	16 May 2017	Andes	excellent	5.6561	CO
4.52529	2015/10/30	Rixensart	average	50.71229	BE
7.11393	2016/03/11	Burscheid	average	51.08468	DE
35.34722	2018-12-18	Maxixe	maintenance	-23.85972	MZ
8.70745	2014/09/30	Bretten	maintenance	49.03685	DE
114.51667	01/15/2016, 00:00:00	Wacheng	average	33.78333	CN
-74.15987	05 Aug 2015	Nutley	excellent	40.82232	US
123.89071	2014-11-13	Cebu City	good	10.31672	PH
114.10479	11/30/2013, 00:00:00	Tsuen Wan	maintenance	22.37066	HK
39.28333	31 Jan 2014	Nyangao	good	-10.33333	TZ
-3.59625	06/30/2015, 00:00:00	Bonoua	accep	5.27247	CI
123.89071	03/23/2017, 00:00:00	Cebu City	average	10.31672	PH
69.01354	2015-12-04	Vahdat	maintenance	38.55632	TJ
-48.29694	2016/12/03	Viradouro	average	-20.87306	BR
-111.89903	05/27/2020, 00:00:00	Scottsdale	good	33.50921	US
14.39024	18 Oct 2017	Lanciano	average	42.22718	IT
73.7553	2017-04-10	Calangute	maintenance	15.5439	IN
-81.56929	25 Jul 2016	Collinwood	average	41.55838	US
73.7553	2013-12-21	Calangute	excellent	15.5439	IN
11.32903	11/14/2021, 00:00:00	Weimar	excellent	50.9803	DE
79.87116	2021/12/11	Dehiwala-Mount Lavinia	accep	6.84019	LK
86.68363	24 Mar 2014	Adra	average	23.49668	IN
6.26764	2016-06-11	Yenagoa	average	4.92675	NG
8.62118	2018/09/25	Novara	good	45.44694	IT
9.17702	2017-10-08	Stuttgart	good	48.78232	DE
-84.62081	2017/02/22	Waverly	average	42.7392	US
8.86704	2017-04-03	Nidderau	good	50.23805	DE
-88.27205	03/08/2013, 00:00:00	Kaukauna	excellent	44.27804	US
-46.99583	2013/08/07	Valinhos	average	-22.97056	BR
109.05389	2014/04/22	Wangon	building	-7.51611	ID
-104.83192	2017/10/16	Aurora	good	39.72943	US
60.8019	2018/05/30	Beryozovsky	accep	56.9083	RU
121.06761	2015/10/08	San Jose	average	12.35275	PH
110.71639	19 Jan 2018	Ngemplak	building	-7.54972	ID
46.5813	12/12/2014, 00:00:00	Alatyr’	accep	54.8421	RU
38.12408	2014-05-08	Bogoroditsk	average	53.77166	RU
76.0586	2018/04/04	Hungund	average	16.06213	IN
18.30056	2020/05/15	Strzelce Opolskie	excellent	50.5107	PL
-86.57415	2013-09-08	Olanchito	building	15.48131	HN
9.5586	01/29/2020, 00:00:00	Schleswig	good	54.52156	DE
-73.26022	2013-04-04	Socorro	building	6.46838	CO
98.50893	2012/10/26	Myawadi	good	16.68911	MM
13.44275	09/15/2014, 00:00:00	Villabate	maintenance	38.07789	IT
101.18445	07/28/2019, 00:00:00	Phanat Nikhom	excellent	13.44581	TH
-84.67837	02/20/2021, 00:00:00	Acworth	excellent	34.06635	US
-2.98333	09 Jul 2016	Poulton-le-Fylde	average	53.83333	GB
34.11169	2021/09/14	Busia	acceptable	0.46005	KE
79.87116	2013/11/09	Dehiwala-Mount Lavinia	average	6.84019	LK
84.63445	2021/09/22	Rafiganj	accep	24.81757	IN
-71.08977	21 Feb 2021	Taunton	average	41.9001	US
123.758	12/19/2015, 00:00:00	Naga	good	10.20898	PH
-2.12139	05/30/2015, 00:00:00	Brierley Hill	average	52.48173	GB
72.34424	17 Mar 2020	Andijon	accep	40.78206	UZ
42.7125	11 Jul 2020	'Ali Sabieh	average	11.15583	DJ
69.67639	08/24/2014, 00:00:00	Parkent	accep	41.29444	UZ
-67.15407	2020-03-16	Aguadilla	average	18.42745	PR
123.33471	05 Jun 2013	Dipolog	accep	8.56697	PH
121.3152	2018/01/24	Calauan	accep	14.14989	PH
104.1451	15 Feb 2013	Yasothon	good	15.79408	TH
-60.93173	2015/12/28	Esperanza	accep	-31.4488	AR
116.82887	2015-07-06	Balikpapan	maintenance	-1.26753	ID
-74.13653	2020/02/07	Port Richmond	good	40.63316	US
36.73307	03/07/2013, 00:00:00	Naro-Fominsk	excellent	55.38752	RU
-73.95958	2021/11/01	Brighton Beach	excellent	40.57788	US
10.78222	06 Mar 2017	Beni Khiar	maintenance	36.46917	TN
-3.05	2018/02/28	Blackpool	maintenance	53.81667	GB
-65.71875	2022-01-12	Tupiza	building	-21.44345	BO
144.09638	06 Sep 2019	Motomachi	good	43.82634	JP
0.47713	2016/02/01	Strood	average	51.39323	GB
4.52514	2022-05-09	Argungu	excellent	12.74482	NG
38.94324	23 Sep 2014	Yablonovskiy	good	44.98901	RU
83.62389	2022/09/07	Novosilikatnyy	accep	53.30972	RU
13.39954	2013-01-07	Falconara Marittima	building	43.62558	IT
30.38167	2014-07-13	Shushary	accep	59.80917	RU
-6.90656	01 Aug 2015	Temara	excellent	33.92866	MA
85.37752	2019/01/29	Barbil	good	22.10194	IN
-119.0376	24 Jul 2013	Camarillo	average	34.21639	US
71.30633	08/20/2014, 00:00:00	Kundla	average	21.34222	IN
-44.31389	2019/10/13	Esmeraldas	accep	-19.7625	BR
-83.55521	2013-01-04	Toledo	good	41.66394	US
16.50104	2015/04/04	Bisceglie	accep	41.24264	IT
-83.55521	2014/07/02	Toledo	building	41.66394	US
2.59753	2020/06/29	Tchaourou	excellent	8.88649	BJ
117.27583	2015-01-18	Sishui	good	35.64889	CN
98.50893	03 Apr 2013	Myawadi	excellent	16.68911	MM
101.96857	2014/06/19	Gua Musang	accep	4.88441	MY
116.10146	14 Mar 2015	Donggongon	excellent	5.90702	MY
36.73307	2014/11/07	Naro-Fominsk	good	55.38752	RU
-39.25	2022-01-06	Muritiba	accep	-12.91667	BR
-73.86586	2016/06/02	Beaconsfield	good	45.43341	CA
7.2278	2019-07-09	Bad Honnef	accep	50.64336	DE
8.51667	02/06/2019, 00:00:00	Verl	good	51.88333	DE
-100.88023	10/28/2015, 00:00:00	Salvatierra	excellent	20.21322	MX
86.59611	2022-08-25	Saharsa	building	25.87498	IN
83.36889	01 Sep 2022	Gorakhpur	building	26.76628	IN
110.8405	2017-05-10	Kudus	accep	-6.8048	ID
-73.89875	17 Jul 2020	Yonkers	average	40.93121	US
8.96317	08 Apr 2019	Hechingen	good	48.35149	DE
5.16108	30 May 2015	Bar-le-Duc	excellent	48.77275	FR
-86.58208	28 Apr 2018	Somoto	accep	13.48082	NI
135.6	10/01/2017, 00:00:00	Yao	good	34.61667	JP
-85.43772	2017-02-02	Liberia	average	10.63504	CR
-88.64235	2016-11-06	Iron River	building	46.09273	US
13.31783	17 Feb 2020	Hermsdorf	accep	52.61131	DE
-73.86586	2020/06/22	Beaconsfield	good	45.43341	CA
7.973	01/25/2017, 00:00:00	Finnentrop	maintenance	51.168	DE
86.00214	2014/02/20	Hoxtolgay	accep	46.51872	CN
-67.33122	06/22/2020, 00:00:00	La Victoria	good	10.22677	VE
-93.11308	04 Feb 2018	Tuxtla	building	16.75973	MX
102.3278	2019-11-24	Kampung Ayer Molek	accep	2.2139	MY
85.83636	2014-10-18	Dalsingh Sarai	average	25.66795	IN
-79.62098	11 Jul 2021	Chilibre	accep	9.15093	PA
14.30935	30 May 2017	Afragola	maintenance	40.92298	IT
38.01667	11/13/2020, 00:00:00	Debre Tabor	excellent	11.85	ET
4.92235	22 Jan 2021	Efon-Alaaye	good	7.65649	NG
55.4504	2018-05-08	Saint-Denis	good	-20.88231	RE
102.05461	2012/12/26	Tak Bai	good	6.25947	TH
103.65309	2020/03/17	Roi Et	average	16.0567	TH
124.95278	26 Apr 2016	Tupi	accep	6.33444	PH
-97.03285	2021-11-16	Grand Forks	accep	47.92526	US
4.18333	2014/07/30	Olupona	maintenance	7.6	NG
60.8019	2021-08-22	Beryozovsky	average	56.9083	RU
8.63333	01/14/2019, 00:00:00	Kirchlengern	excellent	52.2	DE
69.67639	2022/02/23	Parkent	good	41.29444	UZ
-68.3	05/04/2013, 00:00:00	Ushuaia	average	-54.8	AR
28.88222	28 Aug 2022	Mudanya	accep	40.37528	TR
24.04142	08/22/2020, 00:00:00	Alytus	building	54.39635	LT
13.58357	2018-06-08	Franceville	average	-1.63333	GA
88.28637	2018-11-12	Pandua	average	23.07492	IN
18.30056	2022/05/02	Strzelce Opolskie	building	50.5107	PL
-1.47217	2019-11-18	Chapletown	maintenance	53.46506	GB
4.08282	09/23/2014, 00:00:00	Beni Douala	accep	36.61954	DZ
-2.1875	2015-09-28	Westbury	accep	51.26	GB
138.89585	12/07/2021, 00:00:00	Annaka	good	36.33011	JP
4.69889	09/07/2017, 00:00:00	Gembloux	accep	50.56149	BE
-103.42897	04/06/2019, 00:00:00	Jocotepec	building	20.28527	MX
35.59642	2018/03/06	Lodwar	good	3.11988	KE
86.68363	2020/03/04	Adra	average	23.49668	IN
51.3452	12/05/2013, 00:00:00	Otradnyy	average	53.37596	RU
-71.19901	2021/01/02	Ovalle	maintenance	-30.60106	CL
10.98461	2019/03/07	Friedberg	accep	48.35693	DE
51.49621	08/27/2020, 00:00:00	Nowshahr	good	36.64852	IR
98.6738	03/01/2014, 00:00:00	Labuhan Deli	average	3.7278	ID
124.84472	2015/06/20	Maasin	accep	10.13361	PH
4.52514	2020-07-22	Argungu	excellent	12.74482	NG
9.22796	2013-11-15	Pfullingen	good	48.46458	DE
1.53414	19 Jun 2021	les Escaldes	excellent	42.50729	AD
18.34717	08/09/2015, 00:00:00	Reda	good	54.60528	PL
122.8637	2019/04/10	Santa Catalina	accep	9.3337	PH
-71.06616	28 Sep 2018	Malden	average	42.4251	US
21.32778	2015/09/05	Saraj	accep	42	MK
-122.23484	10/24/2013, 00:00:00	Kent	excellent	47.38093	US
6.26764	2015-12-02	Yenagoa	average	4.92675	NG
-74.73584	10/20/2012, 00:00:00	Honda	maintenance	5.20856	CO
-58.44417	19 May 2019	Itacoatiara	maintenance	-3.14306	BR
34.75699	2015-01-09	Rahat	average	31.39547	IL
-48.29694	2022/02/10	Viradouro	average	-20.87306	BR
28.19028	2018/09/16	Narva	building	59.37722	EE
-93.71133	11/10/2020, 00:00:00	West Des Moines	excellent	41.57721	US
43.67663	2013/08/19	Nizhniy Lomov	excellent	53.53041	RU
78.14797	2013/07/01	Betamcherla	building	15.45144	IN
8.77069	2013-05-19	Marburg an der Lahn	excellent	50.80904	DE
137.23333	2019/03/21	Gero	average	35.8	JP
30.96755	13 Oct 2017	Zvenihorodka	maintenance	49.07866	UA
111.73861	2017/08/14	Changzhi	good	35.20889	CN
101.96857	2013/12/24	Gua Musang	good	4.88441	MY
106.88324	2014/07/24	Ulan Bator	accep	47.90771	MN
115.88782	02 Apr 2013	Willetton	excellent	-32.05251	AU
72.68533	2013/03/10	Kheda	excellent	22.75218	IN
151.07986	12 Jan 2020	Strathfield	good	-33.88096	AU
-2.01111	18 Aug 2019	Great Wyrley	good	52.66277	GB
136.61667	2014/06/22	Nonoichi	excellent	36.53333	JP
178.00417	2020-01-29	Gisborne	good	-38.65333	NZ
-88.3162	2013-01-02	Crystal Lake	excellent	42.24113	US
-70.6996	09 Jan 2016	San Bernardo	building	-33.59217	CL
42.7125	2022/05/24	'Ali Sabieh	maintenance	11.15583	DJ
72.54064	27 Feb 2015	Sillanwali	maintenance	31.82539	PK
136.51667	2016-04-16	Komono	accep	35	JP
-46.99583	26 Sep 2018	Valinhos	maintenance	-22.97056	BR
-73.0515	2016/02/12	Waterbury	excellent	41.55815	US
71.30633	2020/07/16	Kundla	average	21.34222	IN
124.3697	2020/10/22	Jagna	excellent	9.6531	PH
112.73333	21 Sep 2015	Xinzhou	accep	38.40917	CN
-1.29772	17 Nov 2014	Cowes	accep	50.76306	GB
115.04814	27 Dec 2015	Huangshi	good	30.24706	CN
-82.45426	03/21/2022, 00:00:00	Venice	building	27.09978	US
-74.73584	20 Oct 2020	Honda	acceptable	5.20856	CO
35.59642	04/20/2022, 00:00:00	Lodwar	good	3.11988	KE
48.41667	03/20/2013, 00:00:00	Ambatondrazaka	average	-17.83333	MG
-82.45426	2019/07/17	Venice	good	27.09978	US
8.96317	2018-07-31	Hechingen	good	48.35149	DE
-84.20299	06/02/2016, 00:00:00	Lebanon	building	39.43534	US
88.1453	19 Jun 2020	Pujali	good	22.4711	IN
-8.07257	2016/04/27	Kati	good	12.74409	ML
5.74861	2021-05-27	Emmeloord	building	52.71083	NL
-91.73625	17 Nov 2021	Searcy	maintenance	35.25064	US
