revision	longitude	location	QoS	code	latitude
05 Feb 2016	34.75699	Asia/Jerusalem	building	IL	31.39547
15 Feb 2016	8.2926	Africa/Lagos	good	NG	9.58126
12/21/2012, 00:00:00	34.11169	Africa/Nairobi	accep	KE	0.46005
18 Jun 2018	-2.68758	Europe/London	building	GB	53.69786
2013/12/20	-1.29772	Europe/London	good	GB	50.76306
2016/10/08	-48.59278	America/Sao_Paulo	good	BR	-23.7975
2013-12-22	-76.72803	America/New_York	excellent	US	39.32288
01/12/2020, 00:00:00	60.8019	Asia/Yekaterinburg	accep	RU	56.9083
22 Sep 2016	6.51352	Europe/Berlin	average	DE	51.19139
2017/07/31	86.59509	Asia/Kolkata	good	IN	26.11527
2013-10-13	-8.2503	Europe/Lisbon	accep	PT	37.08819
2017-04-10	115.70111	Asia/Shanghai	excellent	CN	37.73222
05/29/2018, 00:00:00	71.57737	Asia/Kolkata	building	IN	21.53889
11 Oct 2014	122.08333	Asia/Shanghai	excellent	CN	46.08333
2017/10/02	-89.66123	America/Merida	excellent	MX	21.28306
2018-06-04	8.96317	Europe/Berlin	maintenance	DE	48.35149
10/20/2016, 00:00:00	88.18466	Asia/Kolkata	accep	IN	22.19303
02 May 2020	89.11943	Asia/Dhaka	good	BD	23.9028
2018/01/19	-41.45861	America/Fortaleza	average	BR	-4.42472
2015/08/13	-0.74934	Europe/London	average	GB	51.62907
2019-11-01	120.97844	Asia/Manila	good	PH	14.8361
21 Jun 2017	116.82887	Asia/Makassar	building	ID	-1.26753
06 Jun 2016	118.9707	Asia/Makassar	accep	ID	-3.5403
2021/10/16	-94.74049	America/Chicago	good	US	32.5007
2020-08-18	24.43973	Africa/Lubumbashi	excellent	CD	0.76755
12/17/2019, 00:00:00	104.1451	Asia/Bangkok	average	TH	15.79408
11/11/2015, 00:00:00	43.91385	Europe/Moscow	average	RU	54.03876
2019-09-07	2.29275	Europe/Paris	average	FR	48.79325
2022-09-08	15.28318	Africa/Brazzaville	good	CG	-4.26613
2019-04-08	-71.06616	America/New_York	average	US	42.4251
09/30/2021, 00:00:00	145.18333	Australia/Melbourne	excellent	AU	-37.9
18 May 2017	-72.22625	America/Port-au-Prince	building	HT	18.57677
04/15/2020, 00:00:00	86.00214	Asia/Urumqi	excellent	CN	46.51872
2021/11/22	2.59753	Africa/Porto-Novo	good	BJ	8.88649
08/22/2018, 00:00:00	84.63445	Asia/Kolkata	maintenance	IN	24.81757
08/06/2022, 00:00:00	30.28491	Europe/Moscow	average	RU	60.02427
2015-04-14	51.3452	Europe/Samara	good	RU	53.37596
02/07/2014, 00:00:00	75.35927	Asia/Kolkata	average	IN	12.04161
08 Dec 2018	31.3237	Europe/Minsk	good	BY	52.4089
2020-02-02	23.225	Europe/Sofia	maintenance	BG	43.4125
2022/08/31	-82.4017	America/Havana	excellent	CU	23.0072
2016-08-26	103.61667	Asia/Jakarta	maintenance	ID	-1.6
2016/02/15	-1.29772	Europe/London	building	GB	50.76306
2012/11/15	16.43915	Europe/Zagreb	average	HR	43.50891
27 Dec 2017	-84.50855	America/New_York	excellent	US	39.08367
29 Aug 2022	14.30935	Europe/Rome	acceptable	IT	40.92298
2014/10/29	0.47713	Europe/London	accep	GB	51.39323
04 Jun 2021	114.68333	Asia/Shanghai	maintenance	CN	23.73333
2021-04-22	126.665	Asia/Seoul	average	KR	36.6009
2019/07/16	4.08282	Africa/Algiers	excellent	DZ	36.61954
08/21/2021, 00:00:00	-120.00865	America/Los_Angeles	good	US	46.32374
06 Nov 2016	68.88871	Asia/Karachi	average	PK	25.95533
2015-01-22	46.5813	Europe/Moscow	average	RU	54.8421
2016-09-16	120.4861	Asia/Manila	excellent	PH	16.0438
11/29/2018, 00:00:00	-94.74049	America/Chicago	good	US	32.5007
11/30/2017, 00:00:00	48.26258	Asia/Tehran	average	IR	33.86419
2018-01-25	-116.21677	America/Los_Angeles	average	US	33.7207
2017-11-11	88.1453	Asia/Kolkata	good	IN	22.4711
2013/10/16	85.37752	Asia/Kolkata	maintenance	IN	22.10194
2018-02-20	-82.00919	America/Havana	maintenance	CU	23.04419
2015/11/01	3.55665	Africa/Algiers	good	DZ	36.72544
2016-02-10	44.02488	Asia/Baghdad	accep	IQ	32.61603
05 Nov 2012	-74.15987	America/New_York	average	US	40.82232
2016-01-10	55.4504	Indian/Reunion	excellent	RE	-20.88231
14 Sep 2022	-73.78458	America/New_York	good	US	41.0051
2014-05-23	15.87735	Africa/Bangui	maintenance	CF	4.94273
07/16/2020, 00:00:00	-122.2054	America/Los_Angeles	average	US	47.76232
2018/05/25	20.89389	Europe/Belgrade	accep	XK	42.62833
03 Jan 2016	32.86389	Europe/Moscow	accep	RU	53.95278
10/11/2012, 00:00:00	57.3552	Asia/Yekaterinburg	maintenance	RU	51.4781
06 May 2022	8.63333	Europe/Berlin	accep	DE	52.2
17 May 2013	-2.1875	Europe/London	accep	GB	51.26
2019/05/17	140.72287	Asia/Vladivostok	excellent	RU	53.14657
2012/11/06	67.84222	Asia/Samarkand	average	UZ	40.11583
04/16/2017, 00:00:00	-120.00865	America/Los_Angeles	maintenance	US	46.32374
2021-07-18	-76.72803	America/New_York	good	US	39.32288
2018-03-16	38.28402	Asia/Damascus	good	SY	34.5624
17 Feb 2020	-88.70464	America/Chicago	accep	US	34.25807
2016-12-02	8.61839	Europe/Berlin	average	DE	49.68369
2019/06/19	123.99333	Asia/Manila	maintenance	PH	12.97389
01/27/2020, 00:00:00	124.95278	Asia/Manila	excellent	PH	6.33444
2021-05-18	4.07601	Europe/Brussels	excellent	BE	50.88506
2015-06-13	4.69889	Europe/Brussels	excellent	BE	50.56149
09/29/2020, 00:00:00	76.0586	Asia/Kolkata	excellent	IN	16.06213
2019/10/27	-73.26022	America/Bogota	good	CO	6.46838
05/07/2020, 00:00:00	-72.22625	America/Port-au-Prince	maintenance	HT	18.57677
22 Sep 2017	67.84222	Asia/Samarkand	good	UZ	40.11583
06/16/2013, 00:00:00	-75.23266	America/New_York	maintenance	US	43.1009
2018-06-05	-7.35	Europe/Dublin	maintenance	IE	53.53333
18 Jan 2013	4.92235	Africa/Lagos	average	NG	7.65649
06 Apr 2018	114.33333	Asia/Jakarta	average	ID	-8.43333
2016-11-18	-47.1725	America/Sao_Paulo	building	BR	-22.57306
2018/05/27	30.38167	Europe/Moscow	accep	RU	59.80917
2021/10/02	6.10237	Europe/Zurich	good	CH	46.18396
2021/12/12	-8.07257	Africa/Bamako	excellent	ML	12.74409
2015-09-19	34.4587	Africa/Blantyre	average	MW	-13.7804
2022-03-05	-1.98956	Africa/Accra	accep	GH	5.30383
07 Mar 2019	91.61356	Asia/Kolkata	excellent	IN	26.44931
2016-05-29	-2.1875	Europe/London	accep	GB	51.26
31 Jul 2017	43.83992	Europe/Moscow	excellent	RU	55.39485
30 Dec 2017	0.47713	Europe/London	building	GB	51.39323
04/08/2022, 00:00:00	4.63031	Europe/Paris	good	FR	43.67681
2014/02/17	29.00974	Africa/Johannesburg	maintenance	ZA	-24.19436
2013-03-15	-80.38297	America/Toronto	accep	CA	42.8334
2015-03-05	2.08333	Europe/Paris	accep	FR	48.86667
2018/09/13	72.54064	Asia/Karachi	good	PK	31.82539
03 Feb 2015	-67.33122	America/Caracas	excellent	VE	10.22677
30 Sep 2016	120.57224	Asia/Manila	excellent	PH	15.72892
2018/08/12	42.85693	Europe/Istanbul	building	TR	39.22493
2012/11/05	107.60627	Asia/Irkutsk	average	RU	51.82721
2022/09/22	13.28702	Europe/Berlin	accep	DE	52.4581
2022-02-23	-117.23991	America/Los_Angeles	average	US	47.64995
23 Jun 2013	-88.70464	America/Chicago	average	US	34.25807
17 May 2014	6.83042	Africa/Lagos	accep	NG	6.15038
01/13/2015, 00:00:00	76.12647	Asia/Kolkata	good	IN	32.55531
04/04/2014, 00:00:00	-97.90308	America/Chicago	excellent	US	31.12406
14 Aug 2016	136.84186	Asia/Tokyo	maintenance	JP	34.4833
21 Aug 2020	-2.1875	Europe/London	good	GB	51.26
2020/03/28	-94.74049	America/Chicago	excellent	US	32.5007
06/18/2022, 00:00:00	8.96317	Europe/Berlin	acceptable	DE	48.35149
2019-06-20	6.26764	Africa/Lagos	good	NG	4.92675
2016-06-15	-72.47417	America/Bogota	maintenance	CO	7.83389
2013-07-06	-119.0376	America/Los_Angeles	excellent	US	34.21639
2021/11/24	-3.59625	Africa/Abidjan	excellent	CI	5.27247
2016-07-20	38.2739	Europe/Moscow	excellent	RU	46.7055
12/27/2014, 00:00:00	8.88104	Europe/Rome	accep	IT	45.79377
2019-01-20	-121.75689	America/Los_Angeles	building	US	36.91023
2018/12/08	39.25	Africa/Dar_es_Salaam	accep	TZ	-6.8
2020/02/13	3.87723	Europe/Paris	average	FR	43.61092
12 Jul 2022	-82.07842	America/New_York	good	US	26.91756
06/25/2021, 00:00:00	76.56719	Asia/Kolkata	good	IN	24.41288
2013/10/10	1.10687	Europe/Madrid	building	ES	41.15612
2018-05-24	-94.41551	America/Chicago	excellent	US	39.09112
11/06/2019, 00:00:00	7.20769	Europe/Berlin	accep	DE	50.80019
2017/10/20	34.3869	Africa/Khartoum	good	SD	11.8659
01/15/2016, 00:00:00	77.24779	Asia/Kolkata	accep	IN	10.58806
2019/02/12	-6.90656	Africa/Casablanca	building	MA	33.92866
2017-04-28	-71.19901	America/Santiago	building	CL	-30.60106
2013/10/09	8.73812	Europe/Paris	average	FR	41.91886
09 Jul 2019	34.34691	Europe/Moscow	good	RU	61.78491
09/23/2013, 00:00:00	-1.48119	Europe/London	average	GB	53.0233
30 Dec 2014	60.8019	Asia/Yekaterinburg	maintenance	RU	56.9083
2019-01-02	-62.64102	America/Caracas	excellent	VE	8.35122
2017/06/01	77.656	Asia/Kolkata	building	IN	28.71271
03/02/2014, 00:00:00	-15.6	Africa/Banjul	maintenance	GM	13.56667
22 Feb 2015	29.91582	Africa/Cairo	good	EG	31.20176
2018/08/22	-2.31938	Africa/Accra	excellent	GH	6.46346
2014-02-25	12.84052	Europe/Rome	excellent	IT	45.78071
07/30/2016, 00:00:00	-5.55835	Europe/Madrid	accep	ES	42.64685
2020/06/13	86.59509	Asia/Kolkata	accep	IN	26.11527
12/07/2012, 00:00:00	-4.21376	Europe/London	accep	GB	55.82885
03/08/2015, 00:00:00	86.79271	Asia/Kolkata	excellent	IN	25.92127
10/29/2017, 00:00:00	15.00913	Europe/Rome	average	IT	37.51803
05 Oct 2017	-4.1	Europe/Paris	maitennce	FR	48
05/27/2021, 00:00:00	-48.67028	America/Sao_Paulo	excellent	BR	-28.24
2016/04/15	11.04979	Europe/Rome	average	IT	44.59445
02 Oct 2020	33.2525	Europe/Moscow	good	RU	57.97472
2020/05/25	141.95	Asia/Tokyo	excellent	JP	39.46667
2014/03/26	-95.63079	America/Chicago	good	US	31.76212
10/30/2016, 00:00:00	123.758	Asia/Manila	average	PH	10.20898
06/16/2017, 00:00:00	-6.90656	Africa/Casablanca	accep	MA	33.92866
09/03/2013, 00:00:00	100.24529	Asia/Kuala_Lumpur	excellent	MY	5.4709
04/27/2019, 00:00:00	51.0193	Asia/Tehran	building	IR	35.6803
03/12/2014, 00:00:00	137.23333	Asia/Tokyo	average	JP	35.8
2016/03/14	128.63083	Asia/Seoul	building	KR	36.82167
28 Aug 2022	-84.50855	America/New_York	average	US	39.08367
2019/01/07	2.61667	Europe/Paris	good	FR	48.98333
06/29/2019, 00:00:00	104.09701	Asia/Jakarta	good	ID	-1.26424
05 Jul 2018	122.05228	Asia/Shanghai	excellent	CN	37.19723
2014/01/19	13.58357	Africa/Libreville	average	GA	-1.63333
04 Dec 2016	-76.51552	America/New_York	excellent	US	39.32011
05/15/2018, 00:00:00	6.74549	Europe/Berlin	maintenance	DE	49.5099
11/30/2013, 00:00:00	71.21169	Asia/Kolkata	good	IN	21.59983
2014-05-09	-121.74052	America/Los_Angeles	accep	US	38.54491
2018/08/16	31.33078	Europe/Kiev	accep	UA	47.56494
12 Mar 2014	13.63617	Europe/Prague	building	CZ	50.50301
2014-08-09	11.18709	Europe/Berlin	good	DE	48.73218
07 Jul 2017	34.02537	Europe/Istanbul	accep	TR	38.37255
23 Jun 2021	85.83334	Asia/Kolkata	accep	IN	20.88197
02/21/2015, 00:00:00	-89.10944	America/El_Salvador	accep	SV	13.70167
07/16/2013, 00:00:00	8.61839	Europe/Berlin	good	DE	49.68369
2022/02/03	126.835	Asia/Seoul	accep	KR	37.65639
2020-07-27	10.18527	Europe/Berlin	good	DE	47.98372
2015-09-12	24.71204	Europe/Sofia	good	BG	41.57439
05/19/2020, 00:00:00	12.1369	Europe/Berlin	good	DE	51.04962
23 Sep 2022	6.61944	Europe/Amsterdam	accep	NL	52.57583
2014/09/29	-82.46148	America/New_York	accep	US	28.15112
12/13/2017, 00:00:00	4.91667	Europe/Paris	good	FR	45.73333
2022-05-12	-73.89125	America/New_York	maintenance	US	40.67705
06 Apr 2020	-52.51028	America/Sao_Paulo	good	BR	-28.81833
23 Oct 2013	37.56667	Europe/Moscow	accep	RU	55.85
25 Feb 2017	-117.14392	America/Los_Angeles	accep	US	32.9156
14 Dec 2015	0.75	Europe/London	average	GB	52.41667
2015-04-13	24.6522	Europe/Helsinki	maintenance	FI	60.2052
29 Dec 2013	18.69303	Africa/Ndjamena	accep	TD	12.18441
2016/10/28	-60.93173	America/Argentina/Cordoba	building	AR	-31.4488
2013-10-12	6.83042	Africa/Lagos	good	NG	6.15038
17 Aug 2017	12.6723	Europe/Rome	excellent	IT	41.72063
18 Dec 2018	47.1192	Europe/Moscow	acceptable	RU	42.819
2020-03-12	37.55	Africa/Addis_Ababa	excellent	ET	6.03333
2017-02-19	3.1631	Europe/Madrid	excellent	ES	41.91738
16 Jan 2014	48.87498	Asia/Baku	maintenance	AZ	38.45598
2019-05-16	83.36889	Asia/Kolkata	good	IN	26.76628
2022-02-02	15.00835	Europe/Warsaw	average	PL	51.14942
15 Mar 2020	121.12251	Asia/Manila	maintenance	PH	14.62578
03/14/2013, 00:00:00	-51.87389	America/Sao_Paulo	good	BR	-23.44361
2019-10-21	138.89585	Asia/Tokyo	good	JP	36.33011
11/19/2013, 00:00:00	102.42587	Asia/Bangkok	average	TH	15.58552
2021/09/15	8.52462	Europe/Zurich	good	CH	47.30997
02/26/2020, 00:00:00	-73.20483	America/New_York	excellent	US	41.16704
29 Nov 2019	9.15214	Europe/Berlin	maintenance	DE	49.97704
2013/04/07	-81.24441	America/Havana	accep	CU	23.15678
2013/09/12	75.96976	Asia/Kolkata	accep	IN	15.73628
06/02/2017, 00:00:00	24.04142	Europe/Vilnius	good	LT	54.39635
2015-02-20	106.85417	Asia/Jakarta	accep	ID	-6.48167
02/28/2013, 00:00:00	33.2525	Europe/Moscow	building	RU	57.97472
01/13/2015, 00:00:00	-117.54866	America/Los_Angeles	average	US	33.93113
2013/01/10	110.71639	Asia/Jakarta	accep	ID	-7.54972
2013-04-22	21.32778	Europe/Skopje	good	MK	42
2016/04/15	69.67639	Asia/Tashkent	good	UZ	41.29444
2018-03-01	123.99333	Asia/Manila	accep	PH	12.97389
2013-01-15	9.0027	Africa/Lagos	building	NG	11.86064
05/25/2017, 00:00:00	79.87116	Asia/Colombo	good	LK	6.84019
2014/07/28	-73.20483	America/New_York	good	US	41.16704
2016-03-16	30.79165	Africa/Johannesburg	excellent	ZA	-27.76952
06 Mar 2014	136.51667	Asia/Tokyo	excellent	JP	35
2020-09-14	-120.43572	America/Los_Angeles	average	US	34.95303
09 Feb 2015	-122.23484	America/Los_Angeles	excellent	US	47.38093
2020/07/30	-2.1875	Europe/London	average	GB	51.26
2019/08/26	2.61667	Europe/Paris	maintenance	FR	48.98333
2017-03-07	-2.16	Africa/Casablanca	excellent	MA	34.31
2013/06/23	37.3825	Europe/Istanbul	average	TR	37.05944
13 Jul 2015	-82.00919	America/Havana	accep	CU	23.04419
2015-10-04	28.19028	Europe/Tallinn	building	EE	59.37722
26 Jun 2019	27.18052	Europe/Istanbul	excellent	TR	39.12074
2019/07/09	72.68533	Asia/Kolkata	excellent	IN	22.75218
04/17/2017, 00:00:00	2.29275	Europe/Paris	average	FR	48.79325
05 Jun 2019	27.18052	Europe/Istanbul	maintenance	TR	39.12074
2022-06-19	-8.53778	Africa/Monrovia	accep	LR	7.57944
2021-08-21	-82.45426	America/New_York	average	US	27.09978
2020-06-21	-70.20749	America/Caracas	average	VE	8.62261
10/31/2021, 00:00:00	25.34244	Europe/Kiev	excellent	UA	50.75932
2018/12/24	34.4587	Africa/Blantyre	excellent	MW	-13.7804
2021/09/03	6.26667	Europe/Berlin	good	DE	51.21667
2022/02/10	55.4504	Indian/Reunion	excellent	RE	-20.88231
2022/01/05	37.38115	Europe/Moscow	excellent	RU	55.63711
11/24/2014, 00:00:00	122.9666	Asia/Manila	average	PH	10.7375
01/19/2017, 00:00:00	-3.05814	Europe/London	average	GB	53.00974
2016/11/15	-85.76942	America/Indiana/Indianapolis	excellent	US	39.78504
2014/06/15	-93.12577	America/Chicago	good	US	44.73941
2021-09-24	-120.43572	America/Los_Angeles	excellent	US	34.95303
2014-01-28	-0.74934	Europe/London	accep	GB	51.62907
2021-03-25	76.35484	Asia/Kolkata	good	IN	10.10649
2015-10-30	35.96944	Europe/Moscow	maitennce	RU	56.03361
18 Apr 2022	46.10925	Europe/Moscow	good	RU	43.35071
2021/08/13	-1.86343	Europe/Madrid	excellent	ES	38.10558
2018-07-08	59.80222	Asia/Yekaterinburg	accep	RU	58.63667
2019/11/08	48.87498	Asia/Baku	building	AZ	38.45598
2012/11/23	-56.52361	America/Montevideo	accep	UY	-33.38056
2021/09/22	-1.86343	Europe/Madrid	accep	ES	38.10558
2015/04/22	-6.90656	Africa/Casablanca	average	MA	33.92866
01/13/2021, 00:00:00	-79.00453	America/Guayaquil	average	EC	-2.90055
29 Nov 2014	-81.26367	America/New_York	maintenance	US	28.90054
16 Dec 2019	9.32241	Europe/Rome	good	IT	44.31771
05/15/2016, 00:00:00	135.6	Asia/Tokyo	good	JP	34.61667
2015/03/06	6.10237	Europe/Zurich	accep	CH	46.18396
2015/10/12	-74.38987	America/New_York	good	US	40.65538
2019-09-29	4.21372	Europe/Brussels	building	BE	51.12794
2013/04/10	60.8019	Asia/Yekaterinburg	good	RU	56.9083
20 Jul 2020	153.10236	Australia/Brisbane	accep	AU	-27.50578
2021-11-16	123.50266	Asia/Shanghai	maintenance	CN	41.94175
04/20/2017, 00:00:00	4.7934	Europe/Paris	average	FR	45.69558
04 Feb 2017	72.93924	Asia/Kolkata	good	IN	18.87813
07 Sep 2015	-95.44744	America/Chicago	good	US	29.53885
2020-07-11	-91.06177	America/Chicago	building	US	33.41012
2016-09-16	-3.67029	Europe/Madrid	average	ES	37.13548
18 Feb 2019	-84.13722	America/Costa_Rica	average	CR	9.92787
2014-12-15	110.71639	Asia/Jakarta	maintenance	ID	-7.54972
2021-12-19	15.07041	Europe/Rome	maintenance	IT	37.49223
11/08/2019, 00:00:00	86.59509	Asia/Kolkata	excellent	IN	26.11527
2015/10/18	6.26667	Europe/Berlin	excellent	DE	51.21667
01/19/2014, 00:00:00	103.61667	Asia/Jakarta	excellent	ID	-1.6
2018/04/15	109.3243	Asia/Jakarta	accep	ID	-7.0981
2017/01/21	91.84128	Asia/Dhaka	accep	BD	22.83957
2015-01-05	12.87117	Europe/Prague	building	CZ	50.23271
2022-09-27	-3.05	Europe/London	maintenance	GB	53.81667
02/07/2013, 00:00:00	-122.23484	America/Los_Angeles	maintenance	US	47.38093
2021-04-25	-73.95097	America/New_York	excellent	US	40.72371
05/22/2019, 00:00:00	9.00472	Africa/Douala	good	CM	4.2475
2015-09-05	136.84186	Asia/Tokyo	good	JP	34.4833
25 Sep 2013	139.55028	Asia/Tokyo	average	JP	35.30889
2019-04-06	8.52462	Europe/Zurich	good	CH	47.30997
08/11/2017, 00:00:00	37.99117	Europe/Moscow	good	RU	44.92934
2017/10/29	34.8732	Asia/Jerusalem	excellent	IL	32.05971
03 Oct 2016	88.58	Asia/Kolkata	excellent	IN	23.18
25 May 2015	11.37703	Europe/Berlin	accep	DE	48.06919
2014/06/24	4.52529	Europe/Brussels	excellent	BE	50.71229
2014-12-15	9.40531	Europe/Rome	excellent	IT	45.53069
24 Mar 2021	65.93249	Asia/Kabul	excellent	AF	36.21544
2015/01/25	102.05461	Asia/Bangkok	accep	TH	6.25947
2019-10-26	-61.4867	America/Argentina/Cordoba	excellent	AR	-31.25033
2013-02-10	46.58333	Indian/Antananarivo	good	MG	-21.15
28 Sep 2019	0.93333	Europe/London	accep	GB	52.68333
28 Jul 2017	6.26764	Africa/Lagos	accep	NG	4.92675
05/05/2019, 00:00:00	-76.78319	America/Jamaica	excellent	JM	18.00747
05/25/2017, 00:00:00	122.8637	Asia/Manila	excellent	PH	9.3337
02/12/2021, 00:00:00	-78.19444	America/New_York	average	US	38.91817
13 Nov 2014	-80.08199	America/New_York	average	US	35.88264
2016/04/03	16.91667	Africa/Windhoek	excellent	NA	-21.98333
2020/07/07	-13.68778	Africa/Conakry	building	GN	9.535
2019-11-29	135.21667	Asia/Tokyo	excellent	JP	35.06667
06/26/2022, 00:00:00	8.70745	Europe/Berlin	average	DE	49.03685
01/15/2014, 00:00:00	19.61222	Europe/Belgrade	good	RS	44.97639
2021/11/21	78.55757	Asia/Kolkata	accep	IN	17.34769
07 Mar 2019	8.61839	Europe/Berlin	good	DE	49.68369
05 Feb 2020	17.58522	Europe/Rome	good	IT	40.53123
06/10/2016, 00:00:00	74.80555	Asia/Kolkata	average	IN	34.08565
2015/02/15	-111.99633	America/Denver	maintenance	US	40.65995
2022/03/15	34.75699	Asia/Jerusalem	accep	IL	31.39547
15 Feb 2014	-3.53261	Europe/Madrid	maintenance	ES	40.42386
11 Jul 2021	7.36027	Europe/Berlin	building	DE	51.20219
09/18/2020, 00:00:00	-85.76942	America/Indiana/Indianapolis	maintenance	US	39.78504
2013/07/24	2.31889	Africa/Algiers	good	DZ	35.21222
2019/01/30	74.80555	Asia/Kolkata	average	IN	34.08565
11 Jan 2016	-0.32247	Europe/London	excellent	GB	50.82882
2021/03/06	-5.22126	Africa/Casablanca	good	MA	33.43443
18 Apr 2015	3.87723	Europe/Paris	average	FR	43.61092
2018/04/01	-74.15987	America/New_York	average	US	40.82232
2015/10/26	-5.53715	Europe/London	excellent	GB	50.11861
2020/12/28	27.06365	Europe/Kiev	average	UA	50.18545
11 Nov 2017	83.36889	Asia/Kolkata	average	IN	26.76628
2021-01-17	77.70636	Asia/Kolkata	excellent	IN	28.98002
07 Aug 2016	105.89333	Asia/Shanghai	excellent	CN	34.56861
2019-09-15	-76.99081	America/New_York	excellent	US	38.96372
2014-05-28	24.14662	Europe/Helsinki	excellent	FI	65.84811
05/21/2018, 00:00:00	128.62667	Asia/Seoul	average	KR	34.8825
2013-05-10	-7.95	Europe/Dublin	excellent	IE	53.43333
06/04/2013, 00:00:00	27.46153	Africa/Gaborone	average	BW	-21.44236
03/31/2021, 00:00:00	3.16667	Europe/Brussels	good	BE	50.8
07/15/2013, 00:00:00	-6.90656	Africa/Casablanca	accep	MA	33.92866
2015/10/15	88.58	Asia/Kolkata	accep	IN	23.18
2016-05-16	4.18333	Africa/Lagos	building	NG	7.6
2021/10/06	-119.0376	America/Los_Angeles	excellent	US	34.21639
2014-12-02	130.94098	Asia/Tokyo	accep	JP	33.3213
2020-07-08	10.03988	Europe/Berlin	excellent	DE	53.6052
12/13/2016, 00:00:00	28.88222	Europe/Istanbul	excellent	TR	40.37528
04/04/2016, 00:00:00	15.87735	Africa/Bangui	excellent	CF	4.94273
2016-07-12	69.67639	Asia/Tashkent	building	UZ	41.29444
2018-02-27	34.75699	Asia/Jerusalem	average	IL	31.39547
15 Jun 2017	106.92667	Asia/Jakarta	excellent	ID	-6.91806
06/09/2018, 00:00:00	-80.58556	America/Havana	accep	CU	22.98212
28 Apr 2013	-82.32483	America/New_York	accep	US	29.65163
2016-05-04	-66.8499	America/Puerto_Rico	maintenance	PR	18.03496
2015-01-23	-8.07257	Africa/Bamako	average	ML	12.74409
02/16/2018, 00:00:00	13.39954	Europe/Rome	excellent	IT	43.62558
05/17/2013, 00:00:00	33.72798	Europe/Moscow	good	RU	53.53395
2013/07/14	-78.87836	America/New_York	excellent	US	35.05266
2016/02/23	15.00835	Europe/Warsaw	excellent	PL	51.14942
28 Nov 2014	-121.74052	America/Los_Angeles	accep	US	38.54491
17 Jun 2014	-8.33147	Europe/Lisbon	good	PT	41.20485
2015-03-23	9.02596	Europe/Berlin	maintenance	DE	48.21644
2022/08/08	-71.29144	America/New_York	building	US	41.54566
2014/10/08	67.84222	Asia/Samarkand	maintenance	UZ	40.11583
2020/01/03	30.4347	Africa/Kigali	building	RW	-1.9487
2022/04/08	68.75915	Asia/Karachi	average	PK	27.52948
2015/02/20	-81.26367	America/New_York	maintenance	US	28.90054
10 May 2014	-5.53715	Europe/London	accep	GB	50.11861
2014/03/18	-72.27814	America/New_York	maintenance	US	42.93369
12/20/2019, 00:00:00	-103.5687	America/Mexico_City	building	MX	20.22816
05/10/2015, 00:00:00	19.61222	Europe/Belgrade	excellent	RS	44.97639
2022-01-01	120.97844	Asia/Manila	excellent	PH	14.8361
04/03/2017, 00:00:00	75.16878	Asia/Kolkata	good	IN	30.81383
2021-05-25	-81.56929	America/New_York	accep	US	41.55838
2022-09-16	150.99292	Australia/Sydney	accep	AU	-33.75881
26 Aug 2021	-73.26022	America/Bogota	accep	CO	6.46838
03/06/2018, 00:00:00	42.54536	Africa/Mogadishu	accep	SO	-0.35817
12/21/2016, 00:00:00	29.41824	Europe/Kiev	excellent	UA	45.99194
2021/08/25	-0.29825	Europe/London	excellent	GB	51.39148
14 Jan 2019	59.80222	Asia/Yekaterinburg	accep	RU	58.63667
09 Dec 2016	13.39954	Europe/Rome	good	IT	43.62558
26 Aug 2015	-79.2663	America/Toronto	good	CA	43.86682
2013/11/28	-47.53028	America/Sao_Paulo	accep	BR	-22.45667
29 Apr 2017	-113.3187	America/Edmonton	average	CA	53.51684
22 Mar 2022	-67.15407	America/Puerto_Rico	accep	PR	18.42745
2016-03-19	-91.73625	America/Chicago	maintenance	US	35.25064
2020/06/25	-2.68758	Europe/London	average	GB	53.69786
2014/10/13	-87.70172	America/Chicago	good	US	41.72059
14 Apr 2021	9.17702	Europe/Berlin	good	DE	48.78232
2019/11/27	-83.2321	America/New_York	accep	US	33.08014
2022/07/08	-105.11221	America/Denver	building	US	39.57582
2022/05/29	-121.75689	America/Los_Angeles	maintenance	US	36.91023
2020/08/28	101.18445	Asia/Bangkok	maintenance	TH	13.44581
2015-12-04	14.30935	Europe/Rome	good	IT	40.92298
05 Oct 2021	-89.99038	America/Chicago	building	US	38.58894
17 May 2018	-93.11308	America/Mexico_City	building	MX	16.75973
2013-06-04	5.16108	Europe/Paris	good	FR	48.77275
14 Sep 2015	22.53083	Europe/Belgrade	accep	RS	44.22639
25 Feb 2013	4.8951	Europe/Paris	average	FR	44.92801
01/09/2013, 00:00:00	-38.79084	America/Bahia	accep	BR	-10.95817
2013/05/20	-35.71667	America/Recife	accep	BR	-8.66667
27 Jan 2021	-72.86843	America/New_York	excellent	US	41.27621
24 Nov 2012	85.83636	Asia/Kolkata	building	IN	25.66795
03/22/2020, 00:00:00	-74.28459	America/New_York	average	US	40.5576
22 Dec 2019	-3.52751	Europe/London	maintenance	GB	50.7236
09/01/2015, 00:00:00	103.65309	Asia/Bangkok	building	TH	16.0567
23 Feb 2022	23.225	Europe/Sofia	excellent	BG	43.4125
02/20/2015, 00:00:00	-77.37331	America/New_York	maintenance	US	37.60876
2014/06/10	5.23333	Europe/Amsterdam	excellent	NL	52.09
2017/04/30	-72.09391	America/Port-au-Prince	maintenance	HT	18.65297
