QoS	location	longitude	revision	latitude	station
good	Europe/Saratov	46.04833	06/04/2018, 00:00:00	51.40944	Privolzhskiy
average	Europe/Kiev	33.34864	05/15/2015, 00:00:00	46.75451	Nova Kakhovka
excellent	Asia/Shanghai	111.50861	04 Dec 2013	32.54278	Danjiangkou
excellent	Asia/Kolkata	71.30633	2018-12-23	21.34222	Kundla
building	Europe/Moscow	38.16694	2021-02-08	54.84444	Kashira
average	America/Sao_Paulo	-52.2	09/10/2015, 00:00:00	-28.44917	Marau
accep	Asia/Seoul	126.665	10/14/2012, 00:00:00	36.6009	Hongseong
average	Europe/Amsterdam	5.2875	2019/03/10	51.65333	Vught
good	America/New_York	-74.38987	2021/06/05	40.65538	Scotch Plains
good	America/Chicago	-87.66561	2016/10/07	41.8542	Lower West Side
maintenance	Asia/Karachi	72.54566	06/05/2021, 00:00:00	29.69221	Hasilpur
good	Asia/Yekaterinburg	59.4839	02/01/2021, 00:00:00	58.7002	Kachkanar
building	America/New_York	-73.49484	13 Nov 2014	41.14676	New Canaan
good	Europe/Amsterdam	5.51978	2021/04/29	51.44889	Tongelre
accep	Europe/Berlin	8.70745	07/13/2016, 00:00:00	49.03685	Bretten
maintenance	America/Porto_Velho	-63.90389	07/03/2022, 00:00:00	-8.76194	Porto Velho
excellent	America/Los_Angeles	-117.14392	2014/04/30	32.9156	Mira Mesa
average	America/New_York	-83.2321	18 Jun 2021	33.08014	Milledgeville
excellent	Asia/Taipei	119.58627	2012/10/30	23.5654	Magong
building	America/Bahia	-37.93278	05/19/2018, 00:00:00	-11.48472	Rio Real
good	Asia/Yekaterinburg	65.27258	2013/03/27	58.04254	Tavda
average	America/Santiago	-71.19901	03 Feb 2020	-30.60106	Ovalle
excellent	Africa/Lagos	3.39467	19 Jan 2020	6.45407	Lagos
accep	Indian/Reunion	55.4504	15 Nov 2014	-20.88231	Saint-Denis
accep	Australia/Brisbane	152.70493	15 Nov 2016	-25.54073	Maryborough
excellent	Europe/Amsterdam	6.92917	06 Oct 2014	52.31333	Oldenzaal
average	America/Sao_Paulo	-45.94722	2018/04/27	-21.42917	Alfenas
average	Africa/Lubumbashi	24.99798	2020-04-20	-8.73508	Kamina
excellent	Atlantic/Azores	-25.66689	2012-11-13	37.74615	Ponta Delgada
excellent	Asia/Yangon	98.19151	2014-04-25	14.0823	Dawei
building	Europe/Rome	14.66737	07/29/2014, 00:00:00	41.55947	Campobasso
excellent	Europe/Berlin	9.5926	16 Jun 2014	52.86147	Walsrode
maintenance	America/Los_Angeles	-119.0376	05/11/2019, 00:00:00	34.21639	Camarillo
excellent	Europe/Paris	2.2469	10/19/2016, 00:00:00	48.90472	La Garenne-Colombes
average	Asia/Tokyo	141.95	25 Jul 2019	39.46667	Yamada
average	Europe/Brussels	4.82313	12/30/2017, 00:00:00	51.24197	Lille
average	Asia/Kolkata	74.85849	2015/04/24	31.28092	Patti
good	America/Sao_Paulo	-42.98194	01 Feb 2016	-22.53722	Guapimirim
excellent	Africa/Accra	-1.98956	2016-05-31	5.30383	Tarkwa
building	Asia/Kolkata	83.97573	2016-07-13	21.46527	Sambalpur
good	America/Managua	-86.58208	2014/04/14	13.48082	Somoto
excellent	America/Recife	-34.88111	17 Sep 2017	-8.05389	Recife
accep	Asia/Jakarta	99.1625	2012-12-18	3.3285	Tebingtinggi
excellent	Africa/Kampala	30.98551	2017-10-08	2.41669	Paidha
maintenance	Europe/Berlin	8.77155	09 Jun 2018	50.23019	Karben
average	America/Los_Angeles	-121.74052	07/31/2017, 00:00:00	38.54491	Davis
excellent	Africa/Dar_es_Salaam	38.01667	2016-07-10	-5.41667	Chanika
excellent	America/Lima	-69.08333	02/08/2019, 00:00:00	-16.25	Yunguyo
excellent	America/Argentina/Cordoba	-60.93173	2015-03-02	-31.4488	Esperanza
accep	America/Chicago	-93.12577	2020-08-06	44.73941	Rosemount
maintenance	Australia/Sydney	151.08057	2017-01-06	-33.79176	Eastwood
good	Europe/Rome	14.39024	2012-11-30	42.22718	Lanciano
average	Africa/Algiers	3.50309	2018-12-19	34.15429	Messaad
good	Africa/Djibouti	42.7125	11 Oct 2018	11.15583	'Ali Sabieh
building	Asia/Yangon	98.50893	2012-11-16	16.68911	Myawadi
accep	Europe/London	-0.91979	05/04/2013, 00:00:00	51.42708	Lower Earley
good	Europe/Moscow	37.56667	05 Jan 2016	55.85	Likhobory
good	Asia/Yekaterinburg	56.36091	27 Nov 2018	51.78771	Saraktash
good	Africa/Kinshasa	15.16554	02/06/2017, 00:00:00	-4.5833	Kasangulu
average	Asia/Jakarta	106.85417	2019-01-20	-6.48167	Cibinong
good	Europe/Paris	2.45012	2021/07/01	48.90982	Bobigny
excellent	Europe/Istanbul	28.88222	09 Oct 2015	40.37528	Mudanya
average	Australia/Sydney	151.07986	2014-06-23	-33.88096	Strathfield
good	Asia/Kolkata	85.94001	2014/12/26	25.49043	Teghra
good	Europe/Kiev	27.06365	2016-12-22	50.18545	Shepetivka
excellent	Asia/Kuala_Lumpur	101.02083	10/07/2021, 00:00:00	4.02219	Teluk Intan
maintenance	Asia/Tokyo	139.6853	2016-06-13	35.815	Shimotoda
accep	Asia/Phnom_Penh	102.56365	2013/10/29	13.65805	Paoy Paet
good	Asia/Tokyo	139.55028	2022-04-27	35.30889	Kamakura
average	Europe/Berlin	8.61839	2016/04/24	49.68369	Bensheim
average	Asia/Shanghai	115.70111	12/08/2013, 00:00:00	37.73222	Hengshui
average	Asia/Dhaka	91.84128	2013-03-10	22.83957	Manikchari
excellent	Africa/Brazzaville	15.28318	03/26/2022, 00:00:00	-4.26613	Brazzaville
maintenance	Asia/Kolkata	77.656	2017/07/23	28.71271	Pilkhua
maintenance	America/Sao_Paulo	-52.2	09 Feb 2015	-28.44917	Marau
accep	Europe/Vienna	16.4	02 Aug 2021	48.25	Floridsdorf
excellent	America/Chicago	-99.73314	05/03/2013, 00:00:00	32.44874	Abilene
accep	Europe/London	0.75	03/11/2014, 00:00:00	52.41667	Thetford
accep	Europe/Madrid	2.35739	2022-03-18	41.63976	Cardedeu
building	Asia/Tokyo	137.95378	07/06/2014, 00:00:00	35.82756	Ina
average	Asia/Manila	124.95278	14 Feb 2018	6.33444	Tupi
building	America/New_York	-75.23266	11 Oct 2012	43.1009	Utica
excellent	America/Denver	-104.83192	24 May 2015	39.72943	Aurora
average	Europe/Madrid	-1.86343	2019/02/28	38.10558	Caravaca
average	Asia/Jerusalem	34.8732	2015/07/12	32.05971	Ganei Tikva
accep	Asia/Kuala_Lumpur	103.6032	2019-09-22	1.6561	Kulai
average	Europe/Rome	12.70038	2016/07/20	45.9836	Cordenons
accep	Africa/Tunis	10.58082	2019/02/28	35.72917	Msaken
average	Africa/Dar_es_Salaam	38.01667	2019-12-16	-5.41667	Chanika
accep	Europe/London	-0.91979	13 May 2021	51.42708	Lower Earley
good	Asia/Kolkata	77.24779	28 May 2021	10.58806	Udumalaippettai
excellent	Asia/Kuala_Lumpur	101.02083	2014/01/26	4.02219	Teluk Intan
accep	Europe/Berlin	6.26667	2021/01/28	51.21667	Schwalmtal
accep	Europe/Zaporozhye	38.15035	06/03/2013, 00:00:00	49.41029	Svatove
maintenance	America/Los_Angeles	-118.03917	2019-01-25	33.95015	South Whittier
maintenance	Asia/Shanghai	117.65694	2019-05-07	36.19278	Laiwu
average	Europe/Lisbon	-9.24671	2013-12-08	38.72706	Carnaxide
accep	Asia/Ho_Chi_Minh	105.75635	2014/01/12	10.29085	Sa Dec
building	America/Havana	-80.58556	2020-08-27	22.98212	Corralillo
good	Asia/Shanghai	116.11768	06/05/2015, 00:00:00	24.28859	Meizhou
accep	America/New_York	-81.23621	09/26/2013, 00:00:00	33.98154	Lexington
good	Asia/Karachi	71.52847	2014-03-26	32.57756	Mianwali
excellent	America/Menominee	-88.64235	14 Aug 2018	46.09273	Iron River
building	America/Vancouver	-119.48568	2022-08-08	49.88307	Kelowna
excellent	Europe/Berlin	7.36027	12/29/2013, 00:00:00	51.20219	Radevormwald
excellent	America/New_York	-78.87836	05/04/2021, 00:00:00	35.05266	Fayetteville
excellent	America/Bogota	-73.26022	22 Oct 2012	6.46838	Socorro
accep	America/Mexico_City	-99.32556	12 Nov 2017	19.32889	San Lorenzo Acopilco
excellent	America/New_York	-71.8023	2021/09/16	42.58342	Fitchburg
good	Europe/Moscow	39.8302	2019-04-16	64.5635	Severodvinsk
good	Asia/Yangon	97.01124	12 Sep 2021	17.30858	Kyaikto
excellent	America/New_York	-82.90375	08/14/2013, 00:00:00	32.54044	Dublin
excellent	America/Chicago	-86.77917	17 Feb 2019	36.02506	Brentwood Estates
good	America/New_York	-74.38987	2018/09/07	40.65538	Scotch Plains
accep	Europe/Brussels	4.69889	2018-04-07	50.56149	Gembloux
accep	Europe/Moscow	37.92792	04/24/2015, 00:00:00	53.93361	Kireyevsk
good	Asia/Taipei	119.58627	2014-11-02	23.5654	Magong
maintenance	Asia/Tehran	47.3799	2016-03-10	33.14447	Darreh Shahr
average	Africa/Mogadishu	43.38531	2014/01/24	9.89206	Baki
good	Africa/Algiers	3.50309	01/14/2020, 00:00:00	34.15429	Messaad
accep	Asia/Tokyo	142.45778	2021/08/27	44.35056	Nayoro
good	Europe/Brussels	4.07601	2020/04/29	50.88506	Denderleeuw
average	America/New_York	-70.92866	18 Feb 2016	42.52787	Peabody
accep	Asia/Shanghai	122.05228	2014-04-15	37.19723	Tianfu
excellent	Europe/Madrid	-4.10734	2017/12/12	38.68712	Puertollano
excellent	Australia/Melbourne	145.13643	10/10/2018, 00:00:00	-38.16604	Frankston South
average	Europe/Paris	4.63031	22 Oct 2012	43.67681	Arles
accep	Europe/Brussels	5.37429	13 Oct 2012	51.03427	Houthalen
good	Asia/Kolkata	91.00632	2015-03-20	26.32293	Barpeta
accep	America/New_York	-72.86843	2018-09-18	41.27621	East Haven
good	Asia/Seoul	126.835	2016/06/04	37.65639	Goyang-si
average	Asia/Kolkata	76.12647	2018/12/06	32.55531	Chamba
accep	Australia/Perth	115.8614	2020-06-24	-31.95224	Perth
accep	Europe/Paris	2.12213	2016/11/27	48.8222	Le Chesnay
good	America/Chicago	-87.70172	2016/01/19	41.72059	Evergreen Park
average	Asia/Kolkata	79.5286	02/27/2017, 00:00:00	29.22254	Haldwani
maintenance	America/New_York	-77.70066	02 Jun 2014	43.16547	Gates-North Gates
good	America/Halifax	-63.13414	2020/02/18	46.23899	Charlottetown
accep	Asia/Manila	121.3152	2019/09/16	14.14989	Calauan
excellent	Asia/Jakarta	107.60389	07/31/2020, 00:00:00	-7.01833	Pameungpeuk
accep	Asia/Yangon	97.01124	2020/11/04	17.30858	Kyaikto
excellent	Asia/Jakarta	113.69785	2018-04-11	-7.73379	Besuki
average	Europe/Rome	14.66737	03 Nov 2017	41.55947	Campobasso
average	America/Chicago	-97.90308	2013-06-03	31.12406	Copperas Cove
good	Africa/Brazzaville	15.28318	2020-10-11	-4.26613	Brazzaville
building	Europe/Moscow	32.86389	2015/03/23	53.95278	Roslavl’
accep	Europe/Oslo	16.54165	08/22/2022, 00:00:00	68.79833	Harstad
excellent	America/New_York	-74.13653	2018/04/10	40.63316	Port Richmond
accep	Asia/Shanghai	130.57211	15 Aug 2021	45.75279	Boli
average	America/New_York	-82.32483	2019-12-15	29.65163	Gainesville
accep	America/New_York	-72.97261	2022/07/19	43.61062	Rutland
average	Europe/Amsterdam	6.61944	2015-01-05	52.57583	Hardenberg
building	America/Los_Angeles	-118.25508	2019/12/15	34.14251	Glendale
excellent	America/New_York	-80.08199	2016-03-08	35.88264	Thomasville
accep	Africa/Accra	-1.4001	2018-02-16	7.06273	Mampong
average	Asia/Jakarta	106.85417	2021-10-25	-6.48167	Cibinong
accep	Europe/Berlin	9.85	2018/11/24	53.63333	Halstenbek
excellent	America/Bahia	-37.93278	14 May 2014	-11.48472	Rio Real
accep	Asia/Jakarta	99.1625	24 Feb 2021	3.3285	Tebingtinggi
average	America/Los_Angeles	-116.21677	2020/02/14	33.7207	Indio
good	Asia/Tehran	51.49621	05/06/2013, 00:00:00	36.64852	Nowshahr
average	America/Indiana/Indianapolis	-86.11084	2015-10-14	41.75338	Granger
excellent	Europe/Vilnius	24.04142	2018-10-06	54.39635	Alytus
excellent	Asia/Kolkata	85.83636	21 May 2019	25.66795	Dalsingh Sarai
building	Europe/Zurich	6.10237	06/25/2014, 00:00:00	46.18396	Onex
accep	Europe/London	-1.08593	2016-03-01	50.79205	Southsea
excellent	America/Bogota	-74.73584	14 Apr 2015	5.20856	Honda
accep	Asia/Shanghai	120.74221	2019/12/11	31.64615	Changshu City
good	Europe/Rome	12.70038	2022/05/21	45.9836	Cordenons
average	America/Chicago	-96.67834	2022/09/18	34.77453	Ada
average	Asia/Jakarta	109.3243	08 Jun 2022	-7.0981	Randudongkal
good	Africa/Tripoli	20.22625	05/21/2020, 00:00:00	30.75545	Ajdabiya
average	Asia/Tokyo	139.55028	16 Dec 2020	35.30889	Kamakura
accep	Asia/Yekaterinburg	69.49015	10 May 2018	56.11281	Ishim
maintenance	America/New_York	-81.26367	2016-10-02	28.90054	Deltona
accep	Asia/Kolkata	79.82979	09 Nov 2019	11.93381	Puducherry
accep	Asia/Kolkata	76.0586	2017-07-05	16.06213	Hungund
good	Europe/Berlin	8.96317	2021/10/03	48.35149	Hechingen
average	America/New_York	-72.86843	02/25/2022, 00:00:00	41.27621	East Haven
accep	Europe/Warsaw	18.34717	12/07/2014, 00:00:00	54.60528	Reda
good	Europe/Paris	2.25	2013/11/10	50.75	Saint-Omer
good	Asia/Jakarta	107.60389	02 Feb 2021	-7.01833	Pameungpeuk
accep	Africa/Lagos	12.19458	10 Dec 2020	10.61285	Biu
average	Europe/Kiev	26.97253	2014-12-03	49.65186	Krasyliv
good	Asia/Bangkok	99.89166	05/16/2022, 00:00:00	15.46063	Thap Than
excellent	America/New_York	-84.50855	09/15/2020, 00:00:00	39.08367	Covington
excellent	Pacific/Efate	168.31366	2019-02-03	-17.73648	Port-Vila
building	America/New_York	-71.06616	2015-08-18	42.4251	Malden
accep	Africa/Lagos	12.19458	2022-07-26	10.61285	Biu
excellent	Europe/Moscow	38.12408	2014/09/30	53.77166	Bogoroditsk
excellent	Asia/Shanghai	120.74221	13 Feb 2020	31.64615	Changshu City
maitennce	America/Los_Angeles	-117.79394	2016-09-18	33.76446	North Tustin
good	America/Halifax	-63.13414	25 Mar 2017	46.23899	Charlottetown
average	Europe/London	-1.06667	2015/05/02	53.78333	Selby
good	Europe/Belgrade	22.53083	2016-12-29	44.22639	Negotin
excellent	Asia/Kolkata	85.83636	06 Jun 2020	25.66795	Dalsingh Sarai
excellent	Asia/Shanghai	112.73333	03 Sep 2015	38.40917	Xinzhou
accep	Asia/Tehran	51.49621	04 Feb 2014	36.64852	Nowshahr
average	America/Managua	-86.19903	11/25/2020, 00:00:00	11.84962	Jinotepe
accep	America/New_York	-73.99681	25 Nov 2020	40.94065	Dumont
good	America/New_York	-73.78458	2018/01/04	41.0051	Scarsdale
accep	Australia/Brisbane	153.10236	11/22/2017, 00:00:00	-27.50578	Carindale
average	Asia/Kolkata	77.40858	2013/08/16	24.05979	Leteri
maintenance	Europe/Kiev	25.34244	22 May 2013	50.75932	Lutsk
good	Asia/Manila	124.95278	2020/01/01	6.33444	Tupi
building	Australia/Sydney	146.05093	25 Jun 2014	-34.28853	Griffith
average	Africa/Douala	9.00472	2020-02-25	4.2475	Idenao
maintenance	Asia/Tokyo	136.13108	03/05/2020, 00:00:00	34.75856	Ueno-ebisumachi
good	Asia/Hebron	35.23388	2015/03/01	31.78336	East Jerusalem
good	America/Chicago	-89.64066	2014/01/05	40.56754	Pekin
good	Europe/Brussels	4.69889	2015/12/26	50.56149	Gembloux
good	America/Chicago	-96.67834	01/26/2013, 00:00:00	34.77453	Ada
maintenance	America/New_York	-84.67837	03/27/2017, 00:00:00	34.06635	Acworth
good	Asia/Shanghai	117.63083	2015-04-23	35.50056	Pingyi
average	America/Mexico_City	-96.72365	2016/02/10	17.06542	Oaxaca
excellent	America/New_York	-80.08199	19 Dec 2015	35.88264	Thomasville
excellent	America/Panama	-79.62603	2017-11-28	8.88988	Veracruz
excellent	Asia/Kolkata	73.06784	2016-11-27	25.13915	Sheoganj
average	America/Chicago	-97.90308	2020-12-19	31.12406	Copperas Cove
good	Europe/Madrid	-1.86343	04/25/2015, 00:00:00	38.10558	Caravaca
excellent	Europe/Moscow	30.38167	03/30/2018, 00:00:00	59.80917	Shushary
good	Europe/Rome	15.00913	2013/06/17	37.51803	Misterbianco
good	Europe/Belgrade	22.53083	2014-01-26	44.22639	Negotin
excellent	Africa/Douala	11.5	06/13/2015, 00:00:00	3.51667	Mbalmayo
building	America/Mexico_City	-98.1664	2021/10/02	19.32932	Contla
maintenance	Europe/Rome	12.84052	2020/02/24	45.78071	Portogruaro
accep	America/Los_Angeles	-122.2054	26 Sep 2018	47.76232	Bothell
good	America/Lima	-69.08333	2014-01-28	-16.25	Yunguyo
building	America/Sao_Paulo	-42.98194	2020-12-10	-22.53722	Guapimirim
accep	Europe/Madrid	-2.98884	27 Nov 2016	43.32686	Leioa
accep	Europe/Kiev	30.96755	2017-09-13	49.07866	Zvenihorodka
good	Asia/Seoul	128.9889	05/07/2015, 00:00:00	37.1759	T’aebaek
excellent	Asia/Seoul	127.08472	05/02/2016, 00:00:00	36.20389	Nonsan
building	Europe/Berlin	7.2278	10/25/2013, 00:00:00	50.64336	Bad Honnef
average	Asia/Karachi	68.88871	12 May 2021	25.95533	Jhol
good	Asia/Kolkata	81.54855	2014/08/14	26.2649	Jais
average	Africa/Accra	-1.4001	2012-11-06	7.06273	Mampong
excellent	Asia/Manila	120.57224	2013-12-23	15.72892	Burgos
accep	America/New_York	-73.75513	2014-02-28	40.60538	Far Rockaway
accep	America/Argentina/Ushuaia	-68.3	14 Dec 2015	-54.8	Ushuaia
excellent	America/Sao_Paulo	-41.25528	2018-05-27	-19.32556	Resplendor
building	Africa/Kinshasa	15.16554	07 Jun 2016	-4.5833	Kasangulu
building	America/Sao_Paulo	-42.98194	03/17/2013, 00:00:00	-22.53722	Guapimirim
maintenance	America/Chicago	-88.3162	2014-04-20	42.24113	Crystal Lake
excellent	Asia/Aden	46.83187	10/21/2016, 00:00:00	14.53767	Ataq
maintenance	Europe/London	-1.5443	2015/03/22	50.75767	Lymington
maintenance	Europe/Berlin	12.1369	24 Dec 2017	51.04962	Zeitz
accep	Europe/Brussels	4.07601	2017/06/22	50.88506	Denderleeuw
excellent	Europe/Berlin	8.91229	08 May 2022	49.13645	Eppingen
excellent	Asia/Kolkata	77.5609	01/03/2021, 00:00:00	11.00599	Kangayam
excellent	America/Caracas	-62.64102	31 Jan 2018	8.35122	Ciudad Guayana
maintenance	America/Denver	-104.83192	05 Jul 2021	39.72943	Aurora
average	America/Maceio	-37.03861	2017/12/25	-10.90889	Barra dos Coqueiros
accep	America/Merida	-89.66123	2022/07/14	21.28306	Progreso
accep	Asia/Jerusalem	34.86563	10/17/2014, 00:00:00	31.92923	Ramla
average	Asia/Yekaterinburg	59.80222	09/08/2017, 00:00:00	58.63667	Lesnoy
good	America/Vancouver	-119.27337	05/07/2015, 00:00:00	50.26729	Vernon
average	Asia/Kolkata	75.11937	2019/12/13	20.88098	Parola
accep	America/Santiago	-71.23106	14 Mar 2021	-32.45242	La Ligua
maintenance	Europe/Moscow	38.94324	2013/02/07	44.98901	Yablonovskiy
accep	Asia/Seoul	128.62667	2018/11/28	34.8825	Sinhyeon
average	Asia/Seoul	128.63083	10/15/2015, 00:00:00	36.82167	Eisen
building	Asia/Kolkata	78.15794	2022-04-03	12.1277	Dharmapuri
good	Asia/Manila	120.89694	08 Nov 2014	14.95472	Baliuag
excellent	America/Argentina/Buenos_Aires	-58.38341	03/23/2018, 00:00:00	-34.64966	Barracas
excellent	Asia/Shanghai	118.53333	10/29/2021, 00:00:00	27.92333	Pucheng
accep	Asia/Kolkata	83.97573	2022/09/03	21.46527	Sambalpur
average	America/Chicago	-102.36764	01 Apr 2019	31.84568	Odessa
building	America/Santo_Domingo	-71.10077	2014/05/16	18.20854	Santa Cruz de Barahona
good	Asia/Makassar	118.9707	24 Aug 2014	-3.5403	Majene
good	Europe/Moscow	36.73307	02/22/2021, 00:00:00	55.38752	Naro-Fominsk
average	America/New_York	-84.50855	26 Aug 2014	39.08367	Covington
building	Europe/Warsaw	19.27498	05/28/2013, 00:00:00	50.20528	Jaworzno
accep	America/Los_Angeles	-118.10583	2020/05/22	34.09611	San Gabriel
excellent	Africa/Nairobi	34.11169	14 Nov 2018	0.46005	Busia
maintenance	America/Toronto	-73.75335	2013/08/11	45.4473	Dorval
accep	America/El_Salvador	-89.10944	2021/04/23	13.70167	Ilopango
excellent	Europe/Madrid	-8.2194	2017-12-09	43.48961	Ferrol
average	Asia/Kuala_Lumpur	102.3278	03/10/2015, 00:00:00	2.2139	Kampung Ayer Molek
average	Europe/Moscow	53.26023	12 Jun 2021	54.39304	Bavly
accep	America/Indiana/Indianapolis	-85.76942	2016/12/11	39.78504	Greenfield
accep	Europe/Zaporozhye	38.15035	06 Jul 2017	49.41029	Svatove
accep	Asia/Kolkata	74.85849	2020/02/02	31.28092	Patti
good	Asia/Kolkata	72.93924	2021/05/17	18.87813	Uran
building	Europe/London	-2.68758	06/25/2017, 00:00:00	53.69786	Leyland
accep	Asia/Tashkent	72.34424	2016-10-28	40.78206	Andijon
good	America/New_York	-74.15987	12 Jul 2021	40.82232	Nutley
maintenance	Asia/Hong_Kong	114.10479	2016/07/30	22.37066	Tsuen Wan
good	Africa/Dar_es_Salaam	38.66667	17 Nov 2017	-6.25	Mvomero
good	Asia/Kolkata	88.1453	2018/11/02	22.4711	Pujali
building	Asia/Yekaterinburg	60.70278	2020/09/24	55.75556	Ozersk
average	Europe/Paris	4.7934	24 Mar 2022	45.69558	Saint-Genis-Laval
average	Europe/London	-0.74934	01 Mar 2015	51.62907	High Wycombe
acceptable	Europe/Zagreb	16.43915	2018-05-03	43.50891	Split
building	Europe/Paris	1.00288	10/24/2014, 00:00:00	49.28669	Elbeuf
average	Europe/Lisbon	-9.24671	2018/04/19	38.72706	Carnaxide
excellent	Europe/Rome	11.04979	2022-01-05	44.59445	Castelfranco Emilia
good	Asia/Seoul	126.835	2021/03/20	37.65639	Goyang-si
good	America/New_York	-84.20299	08/10/2013, 00:00:00	39.43534	Lebanon
good	Asia/Shanghai	112.19028	12/24/2021, 00:00:00	30.35028	Jingzhou
average	Asia/Tbilisi	41.77921	2013/03/30	41.82143	Kobuleti
good	America/Argentina/Buenos_Aires	-60.47389	10/22/2014, 00:00:00	-34.64167	Chacabuco
excellent	Asia/Manila	123.33471	12/09/2012, 00:00:00	8.56697	Dipolog
good	Asia/Dhaka	91.84128	08 Jul 2017	22.83957	Manikchari
excellent	America/Sao_Paulo	-42.98194	2015/06/05	-22.53722	Guapimirim
good	America/Bogota	-74.26419	2018-12-15	4.73245	Madrid
good	Asia/Karachi	68.88871	2022/07/24	25.95533	Jhol
good	Europe/Paris	2.25	2016-10-30	50.75	Saint-Omer
maintenance	Asia/Shanghai	120.82747	11/22/2016, 00:00:00	37.30553	Zhuangyuan
accep	Europe/Bratislava	17.22635	27 Nov 2012	48.8449	Skalica
good	America/Bogota	-73.26022	06/09/2013, 00:00:00	6.46838	Socorro
excellent	Europe/London	-5.53715	2019-05-09	50.11861	Penzance
average	Africa/Dar_es_Salaam	37.00438	2015/01/07	-7.60361	Kidodi
accep	Asia/Kolkata	78.23456	2022-09-20	28.92694	Bachhraon
building	Asia/Makassar	117.59152	27 Aug 2014	3.31332	Tarakan
excellent	Asia/Karachi	68.88871	2017/03/25	25.95533	Jhol
excellent	America/Los_Angeles	-117.29198	07/04/2016, 00:00:00	33.03699	Encinitas
maintenance	Europe/London	-1.08593	01/02/2015, 00:00:00	50.79205	Southsea
excellent	Asia/Bangkok	99.89166	18 Apr 2022	15.46063	Thap Than
good	Europe/Paris	2.1699	12/24/2018, 00:00:00	48.98994	Herblay
good	Europe/Berlin	9.47629	08/19/2016, 00:00:00	53.59337	Stade
maintenance	Europe/Madrid	-0.76773	2013/04/08	38.38479	Novelda
building	Asia/Tokyo	140.11667	24 Mar 2019	37.56667	Inawashiro
good	America/Maceio	-37.03861	09/27/2013, 00:00:00	-10.90889	Barra dos Coqueiros
average	Africa/Windhoek	16.91667	28 Feb 2018	-21.98333	Okahandja
maintenance	Africa/Brazzaville	15.28318	23 Sep 2013	-4.26613	Brazzaville
building	Africa/Casablanca	-5.22126	2017/10/16	33.43443	Azrou
accep	Europe/Vilnius	24.75	27 May 2013	55.25	Ukmerge
building	Europe/Warsaw	16.86194	10/18/2019, 00:00:00	54.58048	Ustka
excellent	Europe/Moscow	37.92792	2016-09-08	53.93361	Kireyevsk
maintenance	Africa/Ndjamena	18.69303	23 Aug 2013	12.18441	Mongo
good	Africa/Lagos	3.64633	2019/03/10	6.8485	Shagamu
accep	Europe/Berlin	12.16179	26 Sep 2021	48.52961	Landshut
good	America/El_Salvador	-89.10944	2020-11-02	13.70167	Ilopango
maintenance	Africa/Lagos	6.83042	2015-10-26	6.15038	Nkpor
good	Africa/Ndjamena	18.69303	20 Jun 2015	12.18441	Mongo
excellent	Europe/Paris	5.4384	2021/05/22	43.2907	Marseille 11
excellent	America/Recife	-35.71667	2016-01-18	-8.66667	Catende
excellent	Europe/Rome	8.62118	2014/11/20	45.44694	Novara
building	Europe/Istanbul	28.88222	2018/03/04	40.37528	Mudanya
average	Asia/Kolkata	72.85107	08/01/2020, 00:00:00	19.30157	Bhayandar
good	Asia/Seoul	126.835	2022/07/26	37.65639	Goyang-si
excellent	Europe/Rome	9.32241	06 Jun 2013	44.31771	Chiavari
excellent	Europe/Berlin	13.32127	2017/11/21	52.59319	Wittenau
average	America/Chicago	-97.92977	01/03/2017, 00:00:00	38.06084	Hutchinson
excellent	Europe/Andorra	1.53414	27 May 2018	42.50729	les Escaldes
average	America/New_York	-71.8023	15 Apr 2019	42.58342	Fitchburg
good	Europe/Berlin	8.70745	2018/03/14	49.03685	Bretten
building	Europe/Berlin	8.61839	2015/09/27	49.68369	Bensheim
excellent	Europe/Paris	2.29026	2021-11-01	48.77644	Sceaux
good	Europe/Zagreb	16.43915	2013/07/06	43.50891	Split
maintenance	Europe/Rome	8.88104	2017-04-26	45.79377	Malnate
average	Indian/Antananarivo	44.53333	2015-05-07	-22.9	Sakaraha
excellent	America/New_York	-69.96533	2018-07-25	43.91452	Brunswick
accep	Asia/Shanghai	117.33333	02/26/2014, 00:00:00	34.85	Taozhuang
accep	Asia/Kolkata	75.11937	10/31/2021, 00:00:00	20.88098	Parola
average	Asia/Shanghai	114.51667	2018/12/24	33.78333	Wacheng
excellent	America/Los_Angeles	-117.14392	2016/04/12	32.9156	Mira Mesa
accep	Europe/Istanbul	29.26639	02/16/2019, 00:00:00	37.58105	Serinhisar
good	Europe/Lisbon	-9.24671	2014-09-09	38.72706	Carnaxide
maintenance	Europe/Rome	8.62118	17 May 2016	45.44694	Novara
accep	America/Chicago	-88.42814	2022-08-19	42.16808	Huntley
accep	Africa/Nairobi	35.59642	05/19/2020, 00:00:00	3.11988	Lodwar
excellent	Asia/Shanghai	109.22921	10/12/2021, 00:00:00	34.65918	Yanliang
accep	America/Los_Angeles	-121.74052	11/14/2014, 00:00:00	38.54491	Davis
average	Asia/Shanghai	117.27583	03/10/2022, 00:00:00	35.64889	Sishui
accep	America/Belem	-48.52333	02 Jul 2018	-0.71667	Soure
maintenance	Asia/Kuching	116.10146	2014-11-17	5.90702	Donggongon
excellent	Europe/London	-0.76667	2015/12/19	53.38333	Gainsborough
accep	America/Panama	-79.62098	2019/10/10	9.15093	Chilibre
