location	revision	longitude	QoS	code	latitude
Europe/Rome	12/19/2020, 00:00:00	16.50104	excellent	IT	41.24264
Europe/Belgrade	2019-05-22	22.53083	maintenance	RS	44.22639
America/Los_Angeles	11/24/2012, 00:00:00	-122.86705	good	US	45.49428
Europe/Rome	08/15/2022, 00:00:00	9.29109	average	IT	45.39402
Asia/Kolkata	2021/03/15	85.37752	maintenance	IN	22.10194
America/Mexico_City	2017/06/23	-103.5687	accep	MX	20.22816
America/Mexico_City	2018-07-01	-101.2591	maintenance	MX	21.01858
Asia/Kolkata	15 May 2022	76.35484	building	IN	10.10649
Asia/Shanghai	2018-02-18	122.05228	maintenance	CN	37.19723
Asia/Yekaterinburg	09/13/2015, 00:00:00	59.4839	accep	RU	58.7002
America/Managua	2022-08-03	-86.58208	accep	NI	13.48082
Asia/Karachi	03/25/2022, 00:00:00	70.91106	accep	PK	29.38242
Africa/Gaborone	26 Feb 2015	27.46153	accep	BW	-21.44236
Europe/Berlin	20 Oct 2012	8.96317	average	DE	48.35149
Asia/Tokyo	04/07/2022, 00:00:00	136.61667	good	JP	36.53333
Africa/Casablanca	26 Dec 2018	-2.16	average	MA	34.31
America/Argentina/Buenos_Aires	2016-11-08	-60.47389	accep	AR	-34.64167
Europe/Moscow	11 Oct 2019	46.10925	maintenance	RU	43.35071
Pacific/Auckland	09/28/2021, 00:00:00	178.00417	accep	NZ	-38.65333
Europe/Moscow	08 Aug 2018	37.56667	maintenance	RU	55.85
Asia/Manila	2015/10/09	121.3152	maintenance	PH	14.14989
America/Mexico_City	2014-05-21	-100.88023	maintenance	MX	20.21322
America/Santiago	2015-02-17	-71.19901	excellent	CL	-30.60106
Europe/Lisbon	2015/11/24	-9.24671	accep	PT	38.72706
America/Chicago	07/03/2018, 00:00:00	-88.3162	excellent	US	42.24113
Europe/Berlin	01/02/2018, 00:00:00	6.9747	building	DE	50.82709
America/La_Paz	01/08/2015, 00:00:00	-65.71875	excellent	BO	-21.44345
Europe/London	04 Sep 2022	-1.08593	good	GB	50.79205
Europe/London	2013/10/22	-0.2	average	GB	51.65
Asia/Kolkata	01 Nov 2021	76.03889	average	IN	18.18158
Asia/Bangkok	12/09/2016, 00:00:00	100.04427	excellent	TH	13.8196
Asia/Samarkand	09/10/2021, 00:00:00	67.84222	accep	UZ	40.11583
America/New_York	2021/04/18	-73.47429	maintenance	US	40.68066
Europe/London	2020-04-04	-1.29243	excellent	GB	53.49389
Africa/Tripoli	2021/02/14	10.18003	excellent	LY	24.96334
America/Los_Angeles	2018-05-03	-122.2054	accep	US	47.76232
Europe/Skopje	2014-10-21	21.32778	building	MK	42
Europe/Bucharest	09/09/2013, 00:00:00	26.01649	accep	RO	44.43579
Asia/Manila	14 Mar 2013	120.4861	building	PH	16.0438
Asia/Makassar	09/30/2014, 00:00:00	118.9707	building	ID	-3.5403
Asia/Kolkata	08/31/2018, 00:00:00	78.27539	average	IN	12.95629
Europe/Amsterdam	12/08/2021, 00:00:00	5.2875	accep	NL	51.65333
America/New_York	2012-12-28	-73.20483	good	US	41.16704
Europe/London	2016-01-02	0.47713	average	GB	51.39323
America/Denver	2017-02-04	-111.99633	average	US	40.65995
America/El_Salvador	05/03/2016, 00:00:00	-89.10944	accep	SV	13.70167
America/Denver	2017-05-02	-104.83192	excellent	US	39.72943
America/Recife	2020/11/29	-34.88111	building	BR	-8.05389
Europe/Paris	2020/04/27	4.63031	average	FR	43.67681
America/New_York	30 Jun 2013	-76.88442	accep	US	40.2737
Asia/Karachi	2018-09-03	68.21204	average	PK	27.55898
America/New_York	2015/05/01	-78.04471	building	US	34.25628
America/Argentina/Ushuaia	09/04/2019, 00:00:00	-68.3	acceptable	AR	-54.8
America/Recife	10/08/2018, 00:00:00	-35.71667	building	BR	-8.66667
Europe/Kiev	28 Oct 2018	33.34864	building	UA	46.75451
Africa/Lubumbashi	2013-03-17	24.99798	excellent	CD	-8.73508
America/Manaus	2014-11-01	-58.44417	building	BR	-3.14306
America/Chicago	23 Jul 2022	-87.71255	accep	US	41.84364
America/Maceio	07/15/2015, 00:00:00	-37.03861	good	BR	-10.90889
Africa/Lagos	24 Nov 2017	3.64633	good	NG	6.8485
Europe/Rome	04/30/2017, 00:00:00	15.07041	average	IT	37.49223
Europe/Berlin	2021/01/14	8.96317	excellent	DE	48.35149
America/Argentina/Buenos_Aires	08 May 2017	-60.47389	excellent	AR	-34.64167
Asia/Samarkand	2016/06/17	67.84222	accep	UZ	40.11583
America/Costa_Rica	18 May 2021	-85.43772	accep	CR	10.63504
Asia/Kolkata	06 Mar 2019	75.11937	maintenance	IN	20.88098
Europe/Berlin	07 May 2017	10.30215	average	DE	53.94313
Europe/Moscow	2021-03-07	34.34691	average	RU	61.78491
Asia/Shanghai	2021-01-15	122.08333	excellent	CN	46.08333
America/New_York	08/10/2015, 00:00:00	-71.8023	building	US	42.58342
America/New_York	2015-09-04	-77.70066	accep	US	43.16547
America/New_York	2014/03/05	-71.08977	average	US	41.9001
America/Havana	2020-10-20	-82.00919	average	CU	23.04419
Europe/Brussels	12/08/2012, 00:00:00	4.21372	accep	BE	51.12794
Asia/Tokyo	2016-06-17	140.73667	good	JP	41.77583
Asia/Seoul	01/29/2020, 00:00:00	127.08472	good	KR	36.20389
Europe/Prague	2016-03-16	13.63617	good	CZ	50.50301
America/Caracas	15 Oct 2012	-70.20749	maintenance	VE	8.62261
America/Denver	07/11/2020, 00:00:00	-105.11221	excellent	US	39.57582
Asia/Qyzylorda	12/24/2013, 00:00:00	65.50917	maintenance	KZ	44.85278
Europe/Moscow	2017/08/06	38.94324	good	RU	44.98901
Asia/Kolkata	2022-06-12	76.0586	building	IN	16.06213
America/Bogota	04/21/2015, 00:00:00	-74.95472	average	CO	10.98778
Asia/Kolkata	2016/04/20	85.83334	good	IN	20.88197
Europe/Kiev	05 Jun 2013	26.97253	maintenance	UA	49.65186
Australia/Melbourne	2013/02/06	145.13643	average	AU	-38.16604
Europe/London	2015/08/06	-5.53715	building	GB	50.11861
Asia/Shanghai	26 Aug 2015	120.74792	good	CN	41.09822
America/New_York	2019/04/21	-73.95958	average	US	40.57788
Europe/Vilnius	2016/05/10	24.04142	average	LT	54.39635
Asia/Shanghai	05/11/2014, 00:00:00	122.22833	good	CN	40.66482
Asia/Damascus	09 Oct 2017	38.28402	average	SY	34.5624
Asia/Kolkata	04/27/2015, 00:00:00	86.68363	excellent	IN	23.49668
Africa/Tripoli	07/06/2016, 00:00:00	10.18003	building	LY	24.96334
America/Los_Angeles	2017/05/06	-116.37697	building	US	33.72255
Europe/Chisinau	10/26/2012, 00:00:00	28.28489	average	MD	48.15659
America/Chicago	08/06/2016, 00:00:00	-87.65644	excellent	US	41.80753
Europe/London	11/05/2012, 00:00:00	-1.5443	good	GB	50.75767
Australia/Perth	02/27/2013, 00:00:00	115.8614	accep	AU	-31.95224
Europe/Brussels	2019-11-13	3.20639	good	BE	50.74497
Europe/Brussels	2016-07-29	3.20639	good	BE	50.74497
Europe/Paris	07 Aug 2017	8.73812	excellent	FR	41.91886
Africa/Johannesburg	2021/09/15	29.24152	average	ZA	-26.93366
Asia/Shanghai	2018/12/16	115.04814	accep	CN	30.24706
Asia/Tehran	2017/07/29	48.26258	average	IR	33.86419
Indian/Antananarivo	2022-04-03	48.41667	building	MG	-17.83333
Asia/Bangkok	11/25/2012, 00:00:00	103.65309	maintenance	TH	16.0567
Asia/Yangon	01/22/2014, 00:00:00	98.19151	accep	MM	14.0823
Europe/Warsaw	2021/06/01	16.86194	average	PL	54.58048
Europe/London	2021-09-13	-2.68758	building	GB	53.69786
Europe/Rome	2014/08/03	9.29109	good	IT	45.39402
America/Cuiaba	2018/01/30	-52.35558	accep	BR	-14.66463
America/Mexico_City	31 Aug 2018	-100.88023	excellent	MX	20.21322
Europe/London	10/21/2013, 00:00:00	-2.01111	building	GB	52.66277
Asia/Shanghai	2021/02/03	120.03308	accep	CN	28.88162
Indian/Reunion	08/18/2018, 00:00:00	55.4504	accep	RE	-20.88231
America/Argentina/Cordoba	2022/05/28	-60.93173	excellent	AR	-31.4488
America/Argentina/Tucuman	2015/07/31	-65.61427	maintenance	AR	-27.4338
Asia/Kolkata	2018/06/10	86.59509	maintenance	IN	26.11527
America/Panama	2020-08-20	-79.62098	average	PA	9.15093
America/Chicago	2019-06-24	-87.65644	building	US	41.80753
Pacific/Efate	09 Jul 2019	168.31366	accep	VU	-17.73648
America/Mexico_City	03 Jul 2014	-102.04897	maintenance	MX	19.64745
America/New_York	03/23/2021, 00:00:00	-77.55777	maintenance	US	37.52487
Africa/Bamako	2014/10/10	-8.07257	excellent	ML	12.74409
Pacific/Honolulu	2013/09/27	-156.47432	accep	US	20.88953
Europe/Madrid	10/25/2017, 00:00:00	-1.86343	building	ES	38.10558
Asia/Kolkata	2014-03-31	85.83334	excellent	IN	20.88197
Asia/Kolkata	26 Oct 2015	77.24779	average	IN	10.58806
America/New_York	2021/04/23	-75.60804	accep	US	39.96097
Asia/Yekaterinburg	2015-09-19	56.36091	good	RU	51.78771
Europe/Moscow	2021-02-07	32.86389	accep	RU	53.95278
Africa/Kampala	28 Oct 2017	30.91105	accep	UG	3.02013
America/Fortaleza	2014-04-07	-40.7475	excellent	BR	-4.16694
Europe/Warsaw	06/07/2017, 00:00:00	17.4674	accep	PL	50.86079
Europe/Paris	28 Mar 2019	-0.45877	accep	FR	46.32313
Africa/Nairobi	2015/03/22	35.59642	accep	KE	3.11988
Asia/Tokyo	09/12/2014, 00:00:00	137.4	average	JP	34.81667
Asia/Colombo	2021-08-27	79.87116	excellent	LK	6.84019
America/Denver	11/05/2018, 00:00:00	-104.22884	building	US	32.42067
Europe/Kiev	2018-01-23	25.34244	good	UA	50.75932
Europe/Oslo	2012-11-08	16.54165	good	NO	68.79833
America/Recife	2020-03-14	-35.71667	average	BR	-8.66667
Europe/Volgograd	2014-03-27	43.2379	good	RU	50.06
America/Puerto_Rico	23 Nov 2020	-67.15407	accep	PR	18.42745
America/Santiago	17 Apr 2016	-71.19901	accep	CL	-30.60106
Asia/Kabul	15 Jan 2016	65.93249	accep	AF	36.21544
America/Mexico_City	02/27/2013, 00:00:00	-97.35992	building	MX	19.8173
Asia/Shanghai	19 Sep 2014	116.11768	accep	CN	24.28859
Europe/Moscow	2013-11-15	37.56667	maitennce	RU	55.85
Africa/Porto-Novo	03/24/2020, 00:00:00	2.59753	good	BJ	8.88649
America/New_York	2020/09/15	-78.87836	accep	US	35.05266
Africa/Douala	07 Oct 2015	10.7	good	CM	4.96667
America/New_York	2012-12-28	-73.95097	excellent	US	40.72371
Asia/Jakarta	31 Oct 2019	98.6738	building	ID	3.7278
America/Vancouver	2022-02-24	-119.48568	average	CA	49.88307
Europe/Amsterdam	2021-03-12	5.23333	good	NL	52.09
Asia/Tashkent	2015/12/05	72.34424	average	UZ	40.78206
Africa/Algiers	04/06/2018, 00:00:00	2.31889	average	DZ	35.21222
Asia/Karachi	31 Mar 2018	71.52847	building	PK	32.57756
Europe/Brussels	29 Aug 2014	4.69889	building	BE	50.56149
Asia/Kolkata	2013/09/10	85.37752	good	IN	22.10194
America/Los_Angeles	07 Sep 2015	-120.45794	excellent	US	34.63915
Europe/Kiev	05 May 2016	27.06365	average	UA	50.18545
Europe/Rome	2022/03/12	12.38878	average	IT	43.1122
America/Toronto	2021/08/24	-73.58248	good	CA	45.40008
Africa/Lubumbashi	10 Jul 2013	24.43973	average	CD	0.76755
Europe/Minsk	2013-05-09	25.8191	good	BY	53.5942
Europe/London	23 Apr 2015	-0.91979	average	GB	51.42708
America/Los_Angeles	2020/02/03	-120.43572	good	US	34.95303
Europe/Moscow	11 Jul 2019	40.17171	excellent	RU	58.1908
Europe/Istanbul	08/29/2013, 00:00:00	40.74357	good	TR	37.31309
Asia/Kuala_Lumpur	31 Mar 2014	101.02083	maintenance	MY	4.02219
America/New_York	02/15/2014, 00:00:00	-74.01042	average	US	41.50343
Asia/Tokyo	24 May 2018	129.96972	good	JP	33.4425
Africa/Bangui	03/09/2015, 00:00:00	15.87735	good	CF	4.94273
Asia/Kolkata	08/20/2014, 00:00:00	81.54855	building	IN	26.2649
Asia/Shanghai	2020-06-27	122.22833	average	CN	40.66482
Europe/Kiev	2015/08/06	33.34864	good	UA	46.75451
America/New_York	2018-09-25	-73.89875	average	US	40.93121
Europe/Samara	12 Feb 2018	51.3452	average	RU	53.37596
Europe/London	2012-10-04	-0.74934	good	GB	51.62907
Europe/Istanbul	03/05/2020, 00:00:00	40.74357	average	TR	37.31309
Europe/Rome	05/22/2019, 00:00:00	14.72443	building	IT	36.92574
America/Lima	02 Oct 2020	-76.70944	good	PE	-11.94306
America/New_York	2013/01/16	-73.20483	maintenance	US	41.16704
America/New_York	2017/08/28	-73.9625	maitennce	US	40.81
Africa/Brazzaville	09/29/2012, 00:00:00	15.28318	accep	CG	-4.26613
Africa/Accra	2021/05/25	-1.98956	maintenance	GH	5.30383
America/Havana	08/23/2020, 00:00:00	-82.00919	good	CU	23.04419
Europe/Madrid	2019-06-28	-2.68333	average	ES	43.31667
Asia/Tehran	03 Dec 2016	51.49621	building	IR	36.64852
America/Fortaleza	2017/04/06	-40.7475	average	BR	-4.16694
America/New_York	03/31/2019, 00:00:00	-71.8023	average	US	42.58342
Europe/Berlin	07/30/2017, 00:00:00	7.2278	accep	DE	50.64336
America/New_York	2019-11-01	-76.99081	accep	US	38.96372
America/New_York	06/12/2017, 00:00:00	-81.23621	good	US	33.98154
America/Sao_Paulo	09/24/2016, 00:00:00	-52.51028	average	BR	-28.81833
America/Chicago	01/21/2016, 00:00:00	-94.74049	accep	US	32.5007
Europe/Kiev	11 Oct 2014	29.41824	excellent	UA	45.99194
Europe/London	2018/07/07	1.26738	good	GB	51.84819
America/Lima	04 Oct 2018	-75.11028	excellent	PE	-15.21194
America/Sao_Paulo	11/15/2019, 00:00:00	-50.00639	maintenance	BR	-25.42944
America/Fortaleza	2020/02/22	-41.45861	average	BR	-4.42472
Africa/Kigali	02 May 2021	30.4347	building	RW	-1.9487
Asia/Kolkata	2018/02/02	88.28637	average	IN	23.07492
Europe/London	2020-06-07	-1.29243	accep	GB	53.49389
America/New_York	2015/03/25	-81.38758	accep	US	30.17746
Atlantic/Azores	2021/09/12	-25.66689	average	PT	37.74615
Europe/Zaporozhye	02 Dec 2016	38.15035	good	UA	49.41029
Asia/Manila	2022-01-01	120.5875	accep	PH	16.455
Europe/Paris	2017/08/16	1.33467	maintenance	FR	43.61058
Asia/Manila	2019-06-02	123.33471	accep	PH	8.56697
Asia/Vladivostok	21 Jan 2019	133.42825	good	RU	45.47885
Africa/Kampala	2022/07/15	32.88667	excellent	UG	3.27833
Asia/Tokyo	2017-12-30	137.95378	excellent	JP	35.82756
Asia/Shanghai	2013/03/26	117.4831	excellent	CN	27.34089
America/Caracas	2019-11-22	-70.20749	excellent	VE	8.62261
Europe/Zaporozhye	10/08/2016, 00:00:00	38.15035	building	UA	49.41029
Europe/Rome	2015/03/23	8.86374	excellent	IT	44.89784
Europe/Rome	20 Oct 2019	12.6723	good	IT	41.72063
Europe/Kiev	05/25/2014, 00:00:00	26.97253	average	UA	49.65186
Africa/Douala	2020-02-15	10.7	building	CM	4.96667
Asia/Karachi	2014-01-30	71.67164	excellent	PK	30.29184
America/Sao_Paulo	2016-01-07	-48.29694	good	BR	-20.87306
America/Mexico_City	2020-11-20	-98.11889	accep	MX	19.04222
Asia/Shanghai	2016-06-28	111.73861	accep	CN	35.20889
America/Sao_Paulo	28 Sep 2015	-50.19556	building	BR	-19.72806
Europe/Vilnius	2019/02/25	24.75	average	LT	55.25
America/Tegucigalpa	16 Jul 2014	-86.57415	maintenance	HN	15.48131
America/Los_Angeles	2022-02-17	-116.97725	good	US	33.92946
America/Los_Angeles	12 Feb 2013	-122.39168	average	US	40.58654
Asia/Urumqi	2017/10/02	86.00214	average	CN	46.51872
Europe/Berlin	11 Sep 2022	12.16179	building	DE	48.52961
Asia/Jakarta	01/02/2014, 00:00:00	109.3243	average	ID	-7.0981
Africa/Algiers	02/21/2016, 00:00:00	3.55665	building	DZ	36.72544
Africa/Dar_es_Salaam	2017-04-17	33	maintenance	TZ	-2.68333
America/Argentina/Tucuman	2012/10/28	-65.61427	good	AR	-27.4338
Africa/Algiers	2021-08-30	4.85668	average	DZ	36.27462
America/New_York	06/01/2016, 00:00:00	-73.0515	excellent	US	41.55815
America/New_York	2015/09/08	-81.23621	good	US	33.98154
Asia/Dushanbe	09 Jul 2014	69.01354	accep	TJ	38.55632
Europe/London	2014/09/27	-1.29243	average	GB	53.49389
America/Mexico_City	11/23/2016, 00:00:00	-98.1664	accep	MX	19.32932
Asia/Dhaka	2017-09-02	91.84128	maintenance	BD	22.83957
Africa/Lagos	2021-05-02	4.52514	good	NG	12.74482
Asia/Jakarta	11/21/2018, 00:00:00	110.71639	good	ID	-7.54972
Asia/Riyadh	2012-11-04	49.62251	excellent	SA	27.0174
America/New_York	2017/11/05	-78.87836	good	US	35.05266
America/Los_Angeles	2022-03-22	-117.23991	excellent	US	47.64995
Europe/Rome	13 Dec 2017	14.72443	maintenance	IT	36.92574
Europe/Istanbul	09 May 2021	29.26639	accep	TR	37.58105
Europe/Amsterdam	2014/06/12	5.74861	accep	NL	52.71083
Africa/Johannesburg	2018/11/30	30.79165	excellent	ZA	-27.76952
America/New_York	2020-09-11	-84.50855	building	US	39.08367
Africa/Ndjamena	25 May 2021	18.69303	excellent	TD	12.18441
Asia/Taipei	09/27/2013, 00:00:00	119.58627	excellent	TW	23.5654
America/New_York	05/22/2019, 00:00:00	-83.2321	excellent	US	33.08014
Europe/Saratov	10/04/2012, 00:00:00	46.04833	average	RU	51.40944
Europe/Madrid	02 Dec 2018	-2.98884	average	ES	43.32686
Europe/Rome	19 May 2019	14.01481	excellent	IT	42.67164
Asia/Jakarta	11 Jan 2020	103.61667	accep	ID	-1.6
Asia/Bangkok	14 Jun 2017	102.05461	building	TH	6.25947
Asia/Jakarta	04/28/2016, 00:00:00	101.44167	average	ID	0.51667
Europe/Amsterdam	01 Jun 2013	5.23333	accep	NL	52.09
Asia/Seoul	2018-07-24	127.08472	good	KR	36.20389
America/Chicago	2014/09/21	-97.90308	accep	US	31.12406
America/Maceio	2021-03-28	-37.03861	accep	BR	-10.90889
Asia/Damascus	2014-04-08	36.7138	accep	SY	35.95664
Asia/Aqtobe	16 Apr 2014	59.6	accep	KZ	47.83333
America/New_York	2018/11/22	-74.96933	accep	US	39.71734
America/Mexico_City	2019-10-17	-99.32556	average	MX	19.32889
America/Sao_Paulo	29 Mar 2016	-48.67028	maintenance	BR	-28.24
Europe/London	10/26/2013, 00:00:00	-1.29772	average	GB	50.76306
Europe/Zaporozhye	2021-01-09	38.15035	good	UA	49.41029
Africa/Kigali	2020-03-31	30.4347	good	RW	-1.9487
America/Bogota	2012-12-11	-75.69947	good	CO	8.79577
Asia/Manila	04/22/2020, 00:00:00	120.4861	accep	PH	16.0438
America/Havana	2013-04-09	-77.43532	excellent	CU	20.14298
America/Los_Angeles	2019/06/12	-118.25508	maintenance	US	34.14251
Asia/Jerusalem	2016-10-25	34.86563	good	IL	31.92923
America/Maceio	2017-06-10	-37.65	accep	BR	-10.91722
Asia/Shanghai	01 Aug 2013	122.74754	accep	CN	40.85158
Asia/Tokyo	04/24/2017, 00:00:00	139.07204	average	JP	36.24624
America/Mexico_City	2015-02-28	-98.11889	building	MX	19.04222
Europe/Istanbul	06/21/2014, 00:00:00	34.02537	good	TR	38.37255
Europe/Rome	2016/06/22	14.01481	average	IT	42.67164
Europe/Rome	2021-07-17	12.6723	average	IT	41.72063
Europe/Paris	21 Mar 2018	2.1699	good	FR	48.98994
Europe/Madrid	2019-02-27	1.10687	average	ES	41.15612
America/New_York	04/06/2019, 00:00:00	-77.02303	good	US	38.70734
Asia/Shanghai	2014-08-15	122.74754	good	CN	40.85158
Africa/Johannesburg	22 Aug 2014	29.24152	building	ZA	-26.93366
America/New_York	2014-12-16	-82.46148	accep	US	28.15112
America/Puerto_Rico	27 Jun 2015	-66.8499	average	PR	18.03496
Europe/Berlin	2014-02-23	8.96317	good	DE	48.35149
Asia/Kolkata	15 May 2014	76.03889	accep	IN	18.18158
Asia/Shanghai	2019/09/30	109.22921	maintenance	CN	34.65918
America/Mazatlan	2021/10/09	-105.36369	excellent	MX	22.49396
America/New_York	2021-02-13	-74.13653	accep	US	40.63316
Europe/Paris	2018-01-30	4.91667	excellent	FR	45.73333
Asia/Shanghai	2021-05-19	130.57211	average	CN	45.75279
Asia/Tokyo	05 Oct 2018	139.55722	excellent	JP	36
Asia/Kolkata	05/09/2015, 00:00:00	83.36889	good	IN	26.76628
America/Chicago	09/18/2020, 00:00:00	-89.64066	accep	US	40.56754
Asia/Kolkata	22 May 2016	76.11996	average	IN	11.12018
Asia/Manila	2019/03/11	123.758	good	PH	10.20898
Indian/Antananarivo	08 Jan 2014	48.41667	maintenance	MG	-17.83333
America/Chicago	07/16/2017, 00:00:00	-87.71255	maintenance	US	41.84364
Asia/Manila	2020-07-10	121.12251	excellent	PH	14.62578
Europe/Vilnius	2019/06/21	24.75	average	LT	55.25
America/Mexico_City	2021-02-06	-94.91386	maintenance	MX	17.94979
America/New_York	08 Jun 2018	-82.46148	good	US	28.15112
Asia/Kolkata	10/03/2014, 00:00:00	74.4818	building	IN	30.21121
Europe/Kiev	2022/05/31	31.33078	building	UA	47.56494
Europe/Kiev	2019-05-08	32.6178	average	UA	46.65581
Africa/Lagos	2014-08-31	4.18333	maintenance	NG	7.6
Europe/Zagreb	30 Jul 2014	16.43915	average	HR	43.50891
America/Sao_Paulo	03/12/2017, 00:00:00	-49.27306	maintenance	BR	-25.42778
Asia/Kolkata	02/11/2020, 00:00:00	78.15794	excellent	IN	12.1277
America/Los_Angeles	02/08/2014, 00:00:00	-122.24092	accep	US	47.4943
Europe/Skopje	27 Feb 2016	20.91361	maintenance	MK	41.92361
Europe/Berlin	24 Sep 2018	7.36027	average	DE	51.20219
Europe/Berlin	08/25/2016, 00:00:00	8.77069	building	DE	50.80904
Africa/Lagos	03/03/2022, 00:00:00	4.18333	good	NG	7.6
Africa/Lagos	10/01/2017, 00:00:00	4.52514	good	NG	12.74482
America/Denver	23 Aug 2013	-111.90466	building	US	40.34912
America/Havana	04/28/2014, 00:00:00	-81.24441	accep	CU	23.15678
America/Puerto_Rico	2013/06/20	-66.8499	average	PR	18.03496
Africa/Addis_Ababa	18 Apr 2014	38.01667	good	ET	11.85
Europe/London	2013-03-21	-4.22398	excellent	GB	57.47908
America/New_York	2013/02/14	-73.20483	excellent	US	41.16704
Asia/Kolkata	28 Feb 2018	75.96976	excellent	IN	15.73628
Europe/Moscow	17 Oct 2014	34.34691	good	RU	61.78491
Asia/Ulaanbaatar	2015-03-21	106.88324	accep	MN	47.90771
Europe/Amsterdam	30 Jun 2019	6.76111	excellent	NL	53.16167
America/Sao_Paulo	2018/11/19	-48.59278	average	BR	-23.7975
America/Sao_Paulo	03/08/2018, 00:00:00	-52.51028	good	BR	-28.81833
Asia/Yangon	2015-11-09	98.19151	maintenance	MM	14.0823
Asia/Tokyo	16 Mar 2019	144.09638	accep	JP	43.82634
America/New_York	2018-02-12	-74.15987	excellent	US	40.82232
America/Denver	25 Feb 2015	-104.83192	average	US	39.72943
Europe/Belgrade	08/03/2016, 00:00:00	20.89389	building	XK	42.62833
America/Bogota	17 Feb 2017	-73.9614	average	CO	10.15031
Europe/Berlin	06/06/2018, 00:00:00	7.20769	average	DE	50.80019
America/Port_of_Spain	2016-01-14	-61.51889	good	TT	10.66668
Asia/Bangkok	2015-04-05	100.04427	average	TH	13.8196
Europe/Madrid	2018/02/21	-4.10734	good	ES	38.68712
Asia/Manila	03 Nov 2021	123.758	good	PH	10.20898
Asia/Tehran	20 Feb 2021	51.0193	excellent	IR	35.6803
Africa/Tunis	2019/03/04	9.37082	accep	TN	36.08497
Europe/Paris	2021-04-21	2.1699	accep	FR	48.98994
Europe/Rome	2022-03-13	13.57661	good	IT	37.31065
America/Los_Angeles	02/10/2017, 00:00:00	-122.23484	excellent	US	47.38093
Europe/Paris	2014-06-22	2.25	good	FR	50.75
Europe/Rome	2018/11/13	13.44275	average	IT	38.07789
Europe/London	2015/03/04	-1.99421	average	GB	51.35084
America/Bogota	2013/05/29	-77.03116	accep	CO	3.8801
America/Sao_Paulo	2012/12/02	-42.19667	good	BR	-21.41222
Europe/Rome	03/04/2013, 00:00:00	15.07041	maintenance	IT	37.49223
Asia/Kolkata	09/12/2020, 00:00:00	77.70636	average	IN	28.98002
America/Chicago	2013/04/01	-87.66561	maintenance	US	41.8542
Asia/Jakarta	04 May 2016	114.33333	building	ID	-8.43333
Asia/Manila	2016/05/03	123.62494	accep	PH	12.37169
Europe/Prague	02/10/2014, 00:00:00	13.63617	maintenance	CZ	50.50301
America/New_York	2015-10-20	-70.92866	excellent	US	42.52787
Asia/Manila	02/19/2022, 00:00:00	124.84472	accep	PH	10.13361
Europe/Madrid	13 Dec 2014	-1.86343	accep	ES	38.10558
Asia/Kuala_Lumpur	27 Jun 2016	101.96857	accep	MY	4.88441
America/Menominee	2019/06/09	-88.64235	good	US	46.09273
Asia/Tokyo	04/15/2014, 00:00:00	140.11667	maintenance	JP	37.56667
Europe/London	05/29/2017, 00:00:00	-1.29772	building	GB	50.76306
America/Chicago	2019/07/17	-87.66561	maintenance	US	41.8542
Europe/Moscow	04/07/2022, 00:00:00	43.67663	average	RU	53.53041
Europe/Warsaw	2017-07-02	19.27498	average	PL	50.20528
Europe/Moscow	12 Jun 2016	43.91385	maintenance	RU	54.03876
Africa/Tripoli	2015-01-15	10.18003	accep	LY	24.96334
Africa/Abidjan	20 Mar 2018	-5.682	accep	CI	5.84752
Europe/Berlin	2021/05/15	10.5511	good	DE	52.47774
Europe/Berlin	2019-09-02	9.47629	accep	DE	53.59337
America/Lima	07/22/2020, 00:00:00	-75.11028	accep	PE	-15.21194
America/Los_Angeles	04/30/2022, 00:00:00	-121.75689	good	US	36.91023
America/Los_Angeles	06 Jul 2016	-122.2608	accep	US	38.17492
America/Managua	01/17/2014, 00:00:00	-86.19903	average	NI	11.84962
Asia/Yekaterinburg	2013-07-21	53.47103	accep	RU	54.48147
Europe/Zurich	11 May 2022	8.52462	accep	CH	47.30997
Africa/Lagos	2018/09/29	12.19458	average	NG	10.61285
Asia/Tehran	2013-03-13	51.49621	average	IR	36.64852
Asia/Vladivostok	11 Sep 2021	133.42825	good	RU	45.47885
America/Sao_Paulo	06/28/2020, 00:00:00	-51.87389	average	BR	-23.44361
Africa/Algiers	10 Feb 2015	3.50309	building	DZ	34.15429
America/Matamoros	11/04/2019, 00:00:00	-97.50417	excellent	MX	25.87972
Europe/Rome	2017/01/08	9.32241	good	IT	44.31771
Europe/Istanbul	10/28/2013, 00:00:00	37.3825	good	TR	37.05944
America/Port-au-Prince	10/01/2013, 00:00:00	-72.09391	accep	HT	18.65297
Indian/Antananarivo	03/24/2016, 00:00:00	48.41667	good	MG	-17.83333
Europe/Berlin	09/02/2017, 00:00:00	6.51352	maintenance	DE	51.19139
America/Maceio	2016-02-09	-37.07167	good	BR	-10.91111
Africa/Brazzaville	2015/12/18	15.28318	average	CG	-4.26613
Europe/Amsterdam	2021-09-30	6.92917	building	NL	52.31333
Europe/Amsterdam	2020-11-25	6.76111	accep	NL	53.16167
Asia/Manila	10/16/2020, 00:00:00	121.06761	maintenance	PH	12.35275
America/Mexico_City	2015-08-14	-103.5687	average	MX	20.22816
Europe/Paris	2015/09/24	5.03586	building	FR	43.83125
Asia/Jakarta	05 Aug 2013	107.60389	excellent	ID	-7.01833
America/Chicago	2019-04-01	-95.44744	excellent	US	29.53885
