station	QoS	longitude	code	latitude	revision
Kelowna	accep	-119.48568	CA	49.88307	06/13/2015, 00:00:00
Rangia	accep	91.61356	IN	26.44931	2020/01/31
Inverness	excellent	-4.22398	GB	57.47908	2015-01-15
Lesozavodsk	accep	133.42825	RU	45.47885	2017/05/10
Baulkham Hills	accep	150.99292	AU	-33.75881	06/19/2013, 00:00:00
Rudolstadt	excellent	11.34046	DE	50.72043	07 Aug 2019
Amreli	maintenance	71.21169	IN	21.59983	11/13/2019, 00:00:00
Sainte-Catherine	good	-73.58248	CA	45.40008	2017/08/12
Juhaynah	maintenance	31.4976	EG	26.67319	2020/04/03
El Copey	good	-73.9614	CO	10.15031	02/15/2021, 00:00:00
Edremit	accep	27.02444	TR	39.59611	06/09/2015, 00:00:00
Teghra	good	85.94001	IN	25.49043	10/13/2015, 00:00:00
Dax	excellent	-1.05366	FR	43.71032	06 Sep 2022
Athlone	excellent	-7.95	IE	53.43333	2014-04-12
Zhuangyuan	maintenance	120.82747	CN	37.30553	2020/05/10
Elamanchili	accep	82.85749	IN	17.54907	20 Nov 2013
Tarakan	average	117.59152	ID	3.31332	27 Sep 2018
Saraj	excellent	21.32778	MK	42	2017-08-18
Acaponeta	excellent	-105.36369	MX	22.49396	2018/07/22
Robertsonpet	excellent	78.27539	IN	12.95629	2021/04/27
Le Chesnay	good	2.12213	FR	48.8222	2019-11-14
Carnegie	maintenance	145.06667	AU	-37.88333	2015/07/03
Chapletown	average	-1.47217	GB	53.46506	03 Jan 2019
San Carlos	maintenance	-75.69947	CO	8.79577	01/29/2016, 00:00:00
Chanika	accep	38.01667	TZ	-5.41667	09/02/2021, 00:00:00
Santa Gertrudes	accep	-47.53028	BR	-22.45667	2020-12-17
Lille	good	4.82313	BE	51.24197	2013-07-16
Paracho de Verduzco	average	-102.04897	MX	19.64745	2013-05-10
Smolyan	excellent	24.71204	BG	41.57439	2016-06-08
Dorval	excellent	-73.75335	CA	45.4473	2013/08/17
Laiwu	excellent	117.65694	CN	36.19278	2016-08-21
Muritiba	average	-39.25	BR	-12.91667	28 Sep 2012
Roslavl’	average	32.86389	RU	53.95278	2018/11/23
Valday	good	33.2525	RU	57.97472	2015-01-29
Recodo	accep	121.96361	PH	6.95194	08 May 2016
Puducherry	accep	79.82979	IN	11.93381	2014-10-21
Muritiba	average	-39.25	BR	-12.91667	21 May 2019
Les Olives	accep	5.4584	FR	43.32393	08/29/2019, 00:00:00
Artsyz	excellent	29.41824	UA	45.99194	27 Feb 2022
Lancing	average	-0.32247	GB	50.82882	07/30/2018, 00:00:00
Morningside Heights	excellent	-73.9625	US	40.81	10 Sep 2019
Oulmes	good	-6.00137	MA	33.42585	2015-06-11
'Ali Sabieh	excellent	42.7125	DJ	11.15583	15 Aug 2014
Beni	accep	29.47306	CD	0.49113	2018/08/21
Sinhyeon	accep	128.62667	KR	34.8825	2016/12/01
Donggongon	excellent	116.10146	MY	5.90702	2019-06-30
Carlos Barbosa	building	-51.50361	BR	-29.2975	2017/04/08
Cibinong	accep	106.85417	ID	-6.48167	2021-10-04
Tupi	excellent	124.95278	PH	6.33444	06 Feb 2020
Bhuban	good	85.83334	IN	20.88197	2015/11/29
Lebanon	average	-84.20299	US	39.43534	25 Dec 2019
Magomeni	good	39.25	TZ	-6.8	02/19/2014, 00:00:00
Carnaxide	accep	-9.24671	PT	38.72706	2016/08/17
Halstenbek	excellent	9.85	DE	53.63333	2016-09-21
Leland	accep	-78.04471	US	34.25628	2017/06/24
Idenao	average	9.00472	CM	4.2475	2020-10-09
Alatyr’	average	46.5813	RU	54.8421	2018-10-01
Muskogee	excellent	-95.36969	US	35.74788	2015-09-27
Segundo Ensanche	good	-1.64295	ES	42.8139	2018-12-22
Bachhraon	excellent	78.23456	IN	28.92694	2019/09/25
Arua	excellent	30.91105	UG	3.02013	09/21/2022, 00:00:00
Hardenberg	building	6.61944	NL	52.57583	10/07/2019, 00:00:00
East Haven	maintenance	-72.86843	US	41.27621	2022/02/28
Bogovinje	good	20.91361	MK	41.92361	04/08/2019, 00:00:00
Periyakulam	average	77.54372	IN	10.12268	06/08/2019, 00:00:00
Rajaori	excellent	74.3092	IN	33.37526	18 Feb 2021
Gembloux	average	4.69889	BE	50.56149	2013-02-03
Hakodate	building	140.73667	JP	41.77583	20 Sep 2018
Barneveld	accep	5.58472	NL	52.14	2014-02-06
Beni Khiar	excellent	10.78222	TN	36.46917	07 Jan 2021
Kashipur	average	78.95693	IN	29.21399	2013/08/02
Fresno	excellent	-95.44744	US	29.53885	09/08/2014, 00:00:00
Sungurlu	good	34.37389	TR	40.1675	11 Dec 2013
Gauting	excellent	11.37703	DE	48.06919	30 Sep 2021
Lille	building	4.82313	BE	51.24197	01/22/2018, 00:00:00
Yao	accep	135.6	JP	34.61667	2018-02-23
Ambatondrazaka	accep	48.41667	MG	-17.83333	2022-04-09
Arzamas	good	43.83992	RU	55.39485	20 Oct 2018
Bhayandar	excellent	72.85107	IN	19.30157	2015-08-21
Santa Maria	average	-120.43572	US	34.95303	05 Apr 2017
Bang Ban	excellent	100.48528	TH	14.37395	2016-02-08
Novogrudok	accep	25.8191	BY	53.5942	30 Jan 2013
Mbalmayo	excellent	11.5	CM	3.51667	09/17/2019, 00:00:00
Shaowu	accep	117.4831	CN	27.34089	2018/05/05
Iturama	excellent	-50.19556	BR	-19.72806	2017/06/08
Split	accep	16.43915	HR	43.50891	25 Sep 2014
Radevormwald	average	7.36027	DE	51.20219	07 Dec 2021
Novosilikatnyy	good	83.62389	RU	53.30972	14 May 2015
Laguna Niguel	accep	-117.70755	US	33.52253	2017-08-16
Myawadi	maintenance	98.50893	MM	16.68911	2020/04/01
Paracho de Verduzco	building	-102.04897	MX	19.64745	2021/02/20
Frenda	average	1.04945	DZ	35.06544	2018-08-22
Bar-le-Duc	excellent	5.16108	FR	48.77275	04/25/2019, 00:00:00
Buynaksk	accep	47.1192	RU	42.819	02/16/2022, 00:00:00
Falconara Marittima	building	13.39954	IT	43.62558	06/21/2015, 00:00:00
Tupelo	average	-88.70464	US	34.25807	25 Apr 2018
Sassari	accep	8.55552	IT	40.72586	2021/03/10
Kallio	average	24.95034	FI	60.18427	2013/02/27
Guli	good	120.03308	CN	28.88162	2022-03-20
Schwalmtal	building	6.26667	DE	51.21667	2015/08/03
Clacton-on-Sea	excellent	1.15597	GB	51.78967	2013/04/13
Split	excellent	16.43915	HR	43.50891	2014-05-30
Brunswick	excellent	-69.96533	US	43.91452	05/21/2015, 00:00:00
Westbury	accep	-2.1875	GB	51.26	2014/10/27
Kantharalak	excellent	104.64992	TH	14.64056	2020/02/07
Dorval	accep	-73.75335	CA	45.4473	2015-09-01
Murray	building	-88.31476	US	36.61033	2012/12/17
Diwek	good	112.23109	ID	-7.57897	2013-11-26
Malaut	accep	74.4818	IN	30.21121	02/11/2021, 00:00:00
Balikpapan	accep	116.82887	ID	-1.26753	09/15/2020, 00:00:00
Niort	excellent	-0.45877	FR	46.32313	2014/11/12
Binnish	good	36.7138	SY	35.95664	15 Nov 2014
Rutland	average	-72.97261	US	43.61062	13 Aug 2013
Kendall	good	-80.31727	US	25.67927	06/11/2014, 00:00:00
Vitebsk	building	30.2049	BY	55.1904	2019/09/20
Murray	accep	-88.31476	US	36.61033	07 Jul 2021
Catania	good	15.07041	IT	37.49223	2018/07/17
Selby	building	-1.06667	GB	53.78333	07/20/2018, 00:00:00
Ustka	average	16.86194	PL	54.58048	2014-07-16
Palestine	average	-95.63079	US	31.76212	2022/01/15
Newbury	good	-1.32471	GB	51.40148	04/01/2018, 00:00:00
Labuhan Deli	excellent	98.6738	ID	3.7278	31 Aug 2022
Beveren	maintenance	4.25633	BE	51.21187	2020-03-07
Aykhal	good	111.4834	RU	65.93381	2021-09-13
Walton-on-the-Naze	building	1.26738	GB	51.84819	2018-10-07
les Escaldes	good	1.53414	AD	42.50729	2012/11/10
Losheim	accep	6.74549	DE	49.5099	2020-01-11
Selby	accep	-1.06667	GB	53.78333	2019/09/18
Reus	excellent	1.10687	ES	41.15612	2012/09/30
Madhipura	acceptable	86.79271	IN	25.92127	2017/09/06
Las Gabias	maintenance	-3.67029	ES	37.13548	2018-02-11
Utica	accep	-75.23266	US	43.1009	05 Feb 2017
Ikalamavony	good	46.58333	MG	-21.15	2021-10-07
Palafrugell	good	3.1631	ES	41.91738	2014-11-24
Gifhorn	good	10.5511	DE	52.47774	07/19/2016, 00:00:00
Kismayo	average	42.54536	SO	-0.35817	2019/03/13
Annaka	good	138.89585	JP	36.33011	2012-11-01
Yablonovskiy	good	38.94324	RU	44.98901	07/09/2017, 00:00:00
Canavieiras	average	-38.94722	BR	-15.675	2019/11/22
Maxixe	maintenance	35.34722	MZ	-23.85972	06 May 2019
Aistala	average	88.58	IN	23.18	15 Jan 2021
Chosica	accep	-76.70944	PE	-11.94306	2019-08-18
San Giuliano Milanese	average	9.29109	IT	45.39402	05/07/2015, 00:00:00
Pleasant Prairie	accep	-87.93341	US	42.55308	2016/10/30
Acayucan	maintenance	-94.91386	MX	17.94979	2019-06-19
Bad Honnef	average	7.2278	DE	50.64336	01 Dec 2020
Reus	accep	1.10687	ES	41.15612	31 Aug 2020
Karbala	average	44.02488	IQ	32.61603	2013/04/14
Zaysan	accep	84.87144	KZ	47.46657	2019-09-11
Heroica Matamoros	good	-97.50417	MX	25.87972	26 May 2013
Novelda	maintenance	-0.76773	ES	38.38479	12/09/2012, 00:00:00
Bonoua	good	-3.59625	CI	5.27247	2014/04/19
Bhit Shah	maintenance	68.49143	PK	25.80565	10/12/2013, 00:00:00
Thap Than	maintenance	99.89166	TH	15.46063	2017/08/10
Ina	good	137.95378	JP	35.82756	2014-03-29
Sainte-Catherine	accep	-73.58248	CA	45.40008	09/01/2016, 00:00:00
Privolzhskiy	excellent	46.04833	RU	51.40944	2018/03/19
Nyangao	maintenance	39.28333	TZ	-10.33333	01/14/2015, 00:00:00
Fazilpur	excellent	75.06583	PK	32.17629	15 Jun 2022
Carlos Barbosa	excellent	-51.50361	BR	-29.2975	2018/07/01
Oktyabr’skiy	maintenance	53.47103	RU	54.48147	01/18/2016, 00:00:00
Kenda	accep	86.51499	IN	23.1959	2021-11-23
Baza	average	-2.77259	ES	37.49073	2019-12-14
Aistala	excellent	88.58	IN	23.18	2013-09-20
Ambatondrazaka	average	48.41667	MG	-17.83333	14 Jan 2020
Acayucan	good	-94.91386	MX	17.94979	04/22/2021, 00:00:00
Bavly	accep	53.26023	RU	54.39304	2021/06/15
Pontevedra	maitennce	-58.70072	AR	-34.74785	20 Sep 2016
Shinshiro	accep	137.5	JP	34.9	2013/10/23
Periyakulam	accep	77.54372	IN	10.12268	06/05/2019, 00:00:00
Campobasso	good	14.66737	IT	41.55947	2021/06/07
Casa Blanca	average	-98.11889	MX	19.04222	2015-12-22
Pingyi	building	117.63083	CN	35.50056	2017/10/23
Canavieiras	average	-38.94722	BR	-15.675	2020/02/22
Thetford	maintenance	0.75	GB	52.41667	19 Feb 2018
Kashira	average	38.16694	RU	54.84444	2016-10-23
Houthalen	maintenance	5.37429	BE	51.03427	2014-06-06
Malden	accep	-71.06616	US	42.4251	2020/04/26
Changzhi	excellent	111.73861	CN	35.20889	24 May 2020
El Achir	good	4.62744	DZ	36.06386	04/07/2013, 00:00:00
Xinzhou	building	112.73333	CN	38.40917	12 Aug 2022
Karlovy Vary	average	12.87117	CZ	50.23271	2021/06/14
Hendala	excellent	79.883	LK	6.9909	2018/06/07
Silvan	good	41.00817	TR	38.13708	09/08/2020, 00:00:00
Yingkou	good	122.22833	CN	40.66482	2014-06-20
Burscheid	accep	7.11393	DE	51.08468	2017-03-16
Zhukovka	good	33.72798	RU	53.53395	2020-07-27
Abilene	accep	-99.73314	US	32.44874	2020/03/14
Polohy	good	36.25361	UA	47.48444	2020-01-23
el Camp de l'Arpa del Clot	average	2.18247	ES	41.41204	2017-02-11
Nyahururu	excellent	36.36339	KE	0.03813	10/10/2013, 00:00:00
Salvatierra	accep	-100.88023	MX	20.21322	07/16/2018, 00:00:00
Zgorzelec	average	15.00835	PL	51.14942	2016-05-30
Casa Blanca	building	-98.11889	MX	19.04222	2014/11/07
Glendale	good	-118.25508	US	34.14251	10/05/2013, 00:00:00
An Muileann gCearr	excellent	-7.35	IE	53.53333	28 Dec 2020
Naga	accep	123.758	PH	10.20898	2019-01-06
Alipur	average	70.91106	PK	29.38242	2013-03-08
New Canaan	maintenance	-73.49484	US	41.14676	2017/06/19
Dobrush	good	31.3237	BY	52.4089	03 Apr 2017
Rolla	accep	-91.77127	US	37.95143	27 Nov 2013
Parkent	excellent	69.67639	UZ	41.29444	2014/08/21
Odessa	average	-102.36764	US	31.84568	2012/11/06
Ina	excellent	137.95378	JP	35.82756	28 Oct 2012
Lons-le-Saunier	average	5.55575	FR	46.67535	2015/03/27
Mianwali	excellent	71.52847	PK	32.57756	2020-08-21
Greenville	average	-91.06177	US	33.41012	05/19/2015, 00:00:00
Minas de Marcona	good	-75.11028	PE	-15.21194	29 Aug 2021
Izluchinsk	accep	76.92421	RU	60.97944	2015/04/02
Santa Catalina	good	122.8637	PH	9.3337	28 Jun 2015
Gorakhpur	excellent	83.36889	IN	26.76628	28 Aug 2020
Sukabumi	building	106.92667	ID	-6.91806	2013-03-15
Smolyan	excellent	24.71204	BG	41.57439	14 Oct 2019
Kediri	accep	112.01667	ID	-7.81667	2015/11/08
Barracas	accep	-58.38341	AR	-34.64966	2018-01-09
Jumilla	good	-1.325	ES	38.47917	12/17/2020, 00:00:00
Calauan	accep	121.3152	PH	14.14989	01/23/2019, 00:00:00
Indio	excellent	-116.21677	US	33.7207	2016-08-27
Ataq	good	46.83187	YE	14.53767	27 May 2021
Sar-e Pul	average	65.93249	AF	36.21544	14 May 2015
Tarakan	average	117.59152	ID	3.31332	2017/01/27
Lakota	good	-5.682	CI	5.84752	2019/11/03
Canavieiras	accep	-38.94722	BR	-15.675	07 Nov 2014
Glogovac	accep	20.89389	XK	42.62833	23 May 2019
Xiangtan	average	112.9	CN	27.85	2021-08-25
Morningside Heights	good	-73.9625	US	40.81	17 Dec 2017
Lakewood	good	-81.79819	US	41.48199	02/23/2022, 00:00:00
Maryborough	maintenance	152.70493	AU	-25.54073	2013-06-27
San Bernardo	maintenance	-70.6996	CL	-33.59217	11/18/2019, 00:00:00
Danjiangkou	average	111.50861	CN	32.54278	2016/01/17
New Yekepa	excellent	-8.53778	LR	7.57944	2020/01/08
Juhaynah	accep	31.4976	EG	26.67319	2014-07-02
Ksar Chellala	average	2.31889	DZ	35.21222	07 Jun 2019
Kaukauna	average	-88.27205	US	44.27804	05/30/2017, 00:00:00
Newbury	average	-1.32471	GB	51.40148	25 Dec 2013
San Jose	excellent	121.06761	PH	12.35275	2015-10-23
Salvatierra	excellent	-100.88023	MX	20.21322	26 Mar 2021
East Haven	average	-72.86843	US	41.27621	02/02/2014, 00:00:00
Brzeg	building	17.4674	PL	50.86079	2020/03/09
Arba Minch	maintenance	37.55	ET	6.03333	2019/03/31
Komono	average	136.51667	JP	35	2019/03/16
Tuxtla	good	-93.11308	MX	16.75973	2020/03/12
Masbate	accep	123.62494	PH	12.37169	2015/02/04
Randudongkal	maintenance	109.3243	ID	-7.0981	2014-02-12
Sukabumi	average	106.92667	ID	-6.91806	06 May 2021
Hofheim am Taunus	average	8.4493	DE	50.09019	31 May 2013
Gaya	maintenance	9.0027	NG	11.86064	11 May 2019
Alwaye	average	76.35484	IN	10.10649	28 Oct 2017
Astara	accep	48.87498	AZ	38.45598	07/22/2013, 00:00:00
Ulan-Ude	maintenance	107.60627	RU	51.82721	2017-11-18
Paidha	average	30.98551	UG	2.41669	04/02/2014, 00:00:00
Narwar	average	77.9129	IN	25.6439	12 Jan 2022
Castelfranco Emilia	excellent	11.04979	IT	44.59445	2022/05/21
Weimar	building	11.32903	DE	50.9803	2020-05-06
Bogovinje	building	20.91361	MK	41.92361	2019/11/27
Jhol	average	68.88871	PK	25.95533	11/23/2021, 00:00:00
Boumerdas	accep	3.47717	DZ	36.76639	14 Oct 2016
Ulanhot	average	122.08333	CN	46.08333	2014-04-26
Hudiksvall	building	17.10558	SE	61.72744	2016/11/16
Teghra	accep	85.94001	IN	25.49043	2018/08/05
Kalavoor	accep	76.32756	IN	9.57046	09/28/2013, 00:00:00
Longgang	maitennce	120.33063	CN	37.65181	2016/09/03
Guyong	excellent	120.97844	PH	14.8361	2015/04/18
Culemborg	accep	5.22778	NL	51.955	21 Apr 2021
Stupino	accep	38.07083	RU	54.90083	03/31/2014, 00:00:00
Yonkers	accep	-73.89875	US	40.93121	2017-09-08
Lower West Side	good	-87.66561	US	41.8542	2017-08-05
Aguilares	building	-65.61427	AR	-27.4338	08 Feb 2021
Sankt Peter	excellent	15.46667	AT	47.05	04 Oct 2013
Tadmur	good	38.28402	SY	34.5624	2020-12-28
Lesnoy	excellent	59.80222	RU	58.63667	2019/07/29
Sillanwali	accep	72.54064	PK	31.82539	2017-04-17
Bad Honnef	average	7.2278	DE	50.64336	2020/07/26
Fazilpur	maintenance	75.06583	PK	32.17629	28 Jan 2021
Okahandja	building	16.91667	NA	-21.98333	2019-04-05
Meerut	excellent	77.70636	IN	28.98002	2013-06-07
West Des Moines	building	-93.71133	US	41.57721	2013/02/12
Reutlingen	good	9.20427	DE	48.49144	2018-04-16
Hendala	excellent	79.883	LK	6.9909	2013-06-28
Devizes	good	-1.99421	GB	51.35084	10/03/2016, 00:00:00
Massapequa	good	-73.47429	US	40.68066	12 Jul 2020
Ramla	average	34.86563	IL	31.92923	27 Apr 2018
Valinhos	average	-46.99583	BR	-22.97056	2015-01-01
Chharra	maintenance	78.40102	IN	27.9247	2021-12-10
Burscheid	average	7.11393	DE	51.08468	2015-07-05
Igbara-Odo	building	5.06258	NG	7.50251	14 Jan 2016
Belper	excellent	-1.48119	GB	53.0233	31 Mar 2013
Ulanhot	excellent	122.08333	CN	46.08333	2015/05/21
Bibiani	accep	-2.31938	GH	6.46346	2018-03-16
Vught	excellent	5.2875	NL	51.65333	2019-01-18
Mitry-Mory	good	2.61667	FR	48.98333	16 Dec 2014
Bothell	good	-122.2054	US	47.76232	17 Nov 2019
Msaken	good	10.58082	TN	35.72917	2016/04/22
Bad Honnef	maintenance	7.2278	DE	50.64336	06 Feb 2022
Davis	average	-121.74052	US	38.54491	2019/04/06
Kherson	good	32.6178	UA	46.65581	2022/05/06
Wheelers Hill	good	145.18333	AU	-37.9	02 May 2020
Most	accep	13.63617	CZ	50.50301	2017/10/28
Yao	good	135.6	JP	34.61667	09/18/2018, 00:00:00
Uran	average	72.93924	IN	18.87813	2017/12/09
Rwamagana	average	30.4347	RW	-1.9487	2018/11/12
Komono	accep	136.51667	JP	35	30 Sep 2020
Beaconsfield	maintenance	-73.86586	CA	45.43341	26 Dec 2016
Yablonovskiy	excellent	38.94324	RU	44.98901	2022-02-14
Diwek	accep	112.23109	ID	-7.57897	14 May 2017
Carnot	maintenance	15.87735	CF	4.94273	28 Mar 2015
Nonsan	good	127.08472	KR	36.20389	2015/11/11
Namerikawa	excellent	137.36215	JP	36.75965	2016-09-06
Gifhorn	excellent	10.5511	DE	52.47774	08/20/2014, 00:00:00
Sicklerville	good	-74.96933	US	39.71734	2013/04/29
Lower Earley	excellent	-0.91979	GB	51.42708	10/04/2018, 00:00:00
Ambatondrazaka	average	48.41667	MG	-17.83333	2016/09/27
Chichicastenango	good	-91.11667	GT	14.93333	2021/09/13
Kyaikto	average	97.01124	MM	17.30858	05 Sep 2014
Maspalomas	accep	-15.58602	ES	27.76056	05/29/2016, 00:00:00
Harrisburg	maintenance	-76.88442	US	40.2737	2020-04-06
Gorakhpur	average	83.36889	IN	26.76628	2019-10-11
Miracema	good	-42.19667	BR	-21.41222	16 Feb 2015
Riverbank	maintenance	-120.93549	US	37.73604	10/15/2014, 00:00:00
Diwek	accep	112.23109	ID	-7.57897	2019/05/25
Leteri	good	77.40858	IN	24.05979	12/26/2013, 00:00:00
Walsrode	excellent	9.5926	DE	52.86147	11/25/2019, 00:00:00
Hartley	accep	0.30367	GB	51.38673	2015-03-22
Izluchinsk	building	76.92421	RU	60.97944	13 Jul 2018
Ilesa	maintenance	4.74161	NG	7.62789	04/28/2016, 00:00:00
Zeitz	maintenance	12.1369	DE	51.04962	01/30/2021, 00:00:00
Shahre Jadide Andisheh	good	51.0193	IR	35.6803	16 Jul 2016
Albstadt	building	9.02596	DE	48.21644	17 Jan 2020
Kitgum	average	32.88667	UG	3.27833	25 Apr 2021
Brierley Hill	accep	-2.12139	GB	52.48173	03 Mar 2013
Cardedeu	average	2.35739	ES	41.63976	01/20/2019, 00:00:00
Hueytown	average	-86.99666	US	33.45122	2018/12/17
El Copey	accep	-73.9614	CO	10.15031	2017-03-13
Liberia	building	-85.43772	CR	10.63504	2015-02-26
Gainesville	accep	-82.32483	US	29.65163	01 May 2021
Redding	average	-122.39168	US	40.58654	2022/04/27
Parola	maintenance	75.11937	IN	20.88098	02/22/2014, 00:00:00
Debre Tabor	excellent	38.01667	ET	11.85	2015-03-31
Montana	average	23.225	BG	43.4125	10 Jan 2020
Wevelgem	average	3.16667	BE	50.8	2021-10-16
Amposta	building	0.57856	ES	40.70995	2017/11/07
Penzance	average	-5.53715	GB	50.11861	2014/09/25
Huangshi	maintenance	115.04814	CN	30.24706	2018/11/05
Hechingen	excellent	8.96317	DE	48.35149	2022/08/30
Taozhuang	average	117.33333	CN	34.85	20 Oct 2016
Nanpiao	average	120.74792	CN	41.09822	15 Jan 2014
Baza	accep	-2.77259	ES	37.49073	09/26/2017, 00:00:00
Deoli	excellent	75.37991	IN	25.75728	2018-01-14
Kearns	excellent	-111.99633	US	40.65995	09/25/2014, 00:00:00
Andijon	excellent	72.34424	UZ	40.78206	02 Jan 2020
Bad Honnef	average	7.2278	DE	50.64336	30 Sep 2014
Radevormwald	building	7.36027	DE	51.20219	03/09/2020, 00:00:00
Albufeira	average	-8.2503	PT	37.08819	15 Jan 2017
Okahandja	excellent	16.91667	NA	-21.98333	2013/10/23
Peabody	building	-70.92866	US	42.52787	2013-10-22
Wheelers Hill	average	145.18333	AU	-37.9	2018-10-29
Valence	building	4.8951	FR	44.92801	09 Jun 2020
Jiangyan	excellent	120.14278	CN	32.50611	2022/09/19
Kantharalak	excellent	104.64992	TH	14.64056	07/11/2017, 00:00:00
Hudiksvall	average	17.10558	SE	61.72744	05/13/2017, 00:00:00
Croix-des-Bouquets	accep	-72.22625	HT	18.57677	04/04/2017, 00:00:00
Zeist	building	5.23333	NL	52.09	2021-12-27
Novogrudok	excellent	25.8191	BY	53.5942	16 Dec 2016
East Jerusalem	maintenance	35.23388	PS	31.78336	2014/01/30
Bogovinje	accep	20.91361	MK	41.92361	04 Mar 2013
Lancing	maintenance	-0.32247	GB	50.82882	2016/12/14
Chiavari	accep	9.32241	IT	44.31771	02/19/2022, 00:00:00
Manjeri	excellent	76.11996	IN	11.12018	30 Jan 2015
Colomiers	average	1.33467	FR	43.61058	2020/01/01
Rajaori	good	74.3092	IN	33.37526	01 Jun 2015
Esperanza	building	-60.93173	AR	-31.4488	09/10/2017, 00:00:00
Bua Yai	good	102.42587	TH	15.58552	2020/09/08
Perth	excellent	115.8614	AU	-31.95224	23 Jul 2015
Ueno-ebisumachi	good	136.13108	JP	34.75856	2013-04-16
Yamada	accep	141.95	JP	39.46667	02/02/2015, 00:00:00
Mbalmayo	building	11.5	CM	3.51667	2019/11/05
Ulu Tiram	average	103.81667	MY	1.6	04/06/2013, 00:00:00
Rio Real	excellent	-37.93278	BR	-11.48472	03/30/2016, 00:00:00
Hushitai	good	123.50266	CN	41.94175	03/26/2020, 00:00:00
Campobasso	good	14.66737	IT	41.55947	10/19/2019, 00:00:00
Culemborg	good	5.22778	NL	51.955	2016-05-28
Kyaikto	average	97.01124	MM	17.30858	05/30/2017, 00:00:00
Bothell West	good	-122.24064	US	47.80527	2017-02-15
Maryborough	good	152.70493	AU	-25.54073	22 Nov 2021
Patnos	maintenance	42.85693	TR	39.22493	2021/08/13
Scotch Plains	accep	-74.38987	US	40.65538	2022/01/15
Wacheng	maintenance	114.51667	CN	33.78333	2019-03-12
Iron River	excellent	-88.64235	US	46.09273	2016/05/06
Oschatz	good	13.10984	DE	51.30001	2017/06/22
Cibinong	good	106.85417	ID	-6.48167	06 Apr 2021
Pameungpeuk	accep	107.60389	ID	-7.01833	04 Nov 2014
Kovylkino	average	43.91385	RU	54.03876	01/27/2016, 00:00:00
Pameungpeuk	average	107.60389	ID	-7.01833	2020/01/15
San Juan de Aznalfarache	good	-6.03731	ES	37.35813	2015/07/08
Sinhyeon	maintenance	128.62667	KR	34.8825	2013-08-05
Maxixe	good	35.34722	MZ	-23.85972	2016/04/02
Foshan	building	113.13148	CN	23.02677	03/31/2020, 00:00:00
Fujioka	good	139.07204	JP	36.24624	04/05/2022, 00:00:00
Wangon	excellent	109.05389	ID	-7.51611	2022/08/22
Vryheid	average	30.79165	ZA	-27.76952	26 Apr 2014
Acayucan	excellent	-94.91386	MX	17.94979	28 Dec 2016
Dalsingh Sarai	good	85.83636	IN	25.66795	2013-11-09
Paidha	building	30.98551	UG	2.41669	05/08/2022, 00:00:00
Mitry-Mory	good	2.61667	FR	48.98333	02 May 2022
Saharsa	excellent	86.59611	IN	25.87498	22 Sep 2020
Westbury	building	-2.1875	GB	51.26	2015-01-25
Maliana	good	125.21972	TL	-8.99167	2016/10/23
Sasayama	building	135.21667	JP	35.06667	2021-12-20
Tonota	excellent	27.46153	BW	-21.44236	22 Feb 2022
Punta Gorda Isles	accep	-82.07842	US	26.91756	08 Aug 2018
Budva	good	18.84	ME	42.28639	10 Dec 2018
Hlukhiv	maintenance	33.9162	UA	51.67822	2020/04/20
Kati	building	-8.07257	ML	12.74409	2012-11-09
Greenfield	maintenance	-85.76942	US	39.78504	01 Jul 2019
Mechanicsville	average	-77.37331	US	37.60876	2020-07-10
Cardedeu	excellent	2.35739	ES	41.63976	2016-06-28
Andijon	good	72.34424	UZ	40.78206	21 Nov 2017
Kanganpur	average	74.12286	PK	30.76468	22 Dec 2013
Sungurlu	good	34.37389	TR	40.1675	08/17/2015, 00:00:00
Wesseling	excellent	6.9747	DE	50.82709	12/26/2014, 00:00:00
Greenpoint	average	-73.95097	US	40.72371	05/19/2013, 00:00:00
Betamcherla	accep	78.14797	IN	15.45144	2020-04-09
Izluchinsk	building	76.92421	RU	60.97944	2020-05-02
Tianfu	acceptable	122.05228	CN	37.19723	20 Apr 2015
Talence	building	-0.59543	FR	44.80477	2021-10-17
Betamcherla	accep	78.14797	IN	15.45144	01/21/2021, 00:00:00
Zeist	building	5.23333	NL	52.09	2015-01-23
Yeysk	average	38.2739	RU	46.7055	2014-07-02
Jaworzno	building	19.27498	PL	50.20528	2016/05/20
Cabo	building	-35.03333	BR	-8.28333	06/24/2013, 00:00:00
Nakhon Si Thammarat	average	99.96667	TH	8.43333	12/06/2021, 00:00:00
Crystal Lake	excellent	-88.3162	US	42.24113	24 Jul 2019
Pujali	excellent	88.1453	IN	22.4711	07/03/2015, 00:00:00
Walsrode	good	9.5926	DE	52.86147	13 Jun 2018
Lagarto	average	-37.65	BR	-10.91722	02 Mar 2022
Kamakura	excellent	139.55028	JP	35.30889	05 Nov 2013
Xiangtan	maintenance	112.9	CN	27.85	2015/03/18
Paredes	excellent	-8.33147	PT	41.20485	05 Mar 2013
Budva	accep	18.84	ME	42.28639	09/07/2017, 00:00:00
Massapequa	maintenance	-73.47429	US	40.68066	2018/05/11
Gernika-Lumo	maintenance	-2.68333	ES	43.31667	2012/12/30
Malnate	accep	8.88104	IT	45.79377	06/25/2014, 00:00:00
Belle Glade	average	-80.66756	US	26.68451	2016-06-09
