location	station	revision	latitude	longitude	QoS
Europe/Berlin	Radevormwald	2022/01/25	51.20219	7.36027	accep
Africa/Lagos	Lagos	2021/10/11	6.45407	3.39467	building
America/Caracas	Tinaquillo	2018-11-09	9.91861	-68.30472	accep
Asia/Manila	Recodo	11 May 2013	6.95194	121.96361	good
Africa/Abidjan	Lakota	30 Sep 2020	5.84752	-5.682	excellent
Asia/Riyadh	Al Jubayl	2022-01-14	27.0174	49.62251	excellent
America/Montevideo	Durazno	2021/12/30	-33.38056	-56.52361	excellent
America/Puerto_Rico	Yauco	2017/10/12	18.03496	-66.8499	excellent
Europe/Warsaw	Ustka	22 Jul 2019	54.58048	16.86194	average
America/New_York	Lakewood	04/17/2018, 00:00:00	41.48199	-81.79819	good
Asia/Manila	Naga	2019-08-08	10.20898	123.758	good
America/Los_Angeles	Camarillo	2012-12-07	34.21639	-119.0376	excellent
Europe/Warsaw	Zgorzelec	2022/05/21	51.14942	15.00835	good
Europe/Moscow	Solntsevo	23 Sep 2017	55.63711	37.38115	good
Europe/Minsk	Dobrush	19 Jul 2017	52.4089	31.3237	average
Asia/Manila	Dipolog	2013/05/16	8.56697	123.33471	average
Asia/Jakarta	Sukabumi	22 Apr 2019	-6.91806	106.92667	average
America/New_York	Gates-North Gates	07/02/2022, 00:00:00	43.16547	-77.70066	maintenance
Asia/Dhaka	Manikchari	2022/04/09	22.83957	91.84128	average
America/Toronto	Norfolk County	05/06/2020, 00:00:00	42.8334	-80.38297	building
Asia/Kolkata	Meerut	2019/09/19	28.98002	77.70636	accep
Asia/Yekaterinburg	Ishim	2014/02/25	56.11281	69.49015	accep
Asia/Shanghai	Jingzhou	05/30/2018, 00:00:00	30.35028	112.19028	excellent
Europe/Rome	Mesagne	2018/08/20	40.55851	17.80774	average
Indian/Reunion	Saint-Denis	03/19/2019, 00:00:00	-20.88231	55.4504	accep
Europe/Madrid	Gandia	2022-05-12	38.96667	-0.18333	excellent
Europe/London	Bushey	08/24/2021, 00:00:00	51.64316	-0.36053	good
Asia/Dhaka	Manikchari	2013-02-07	22.83957	91.84128	excellent
Asia/Tokyo	Minokamo	01 Oct 2012	35.48199	137.02166	excellent
Europe/Skopje	Saraj	2020/11/26	42	21.32778	accep
Europe/Berlin	Verl	12/08/2018, 00:00:00	51.88333	8.51667	good
America/Chicago	Columbia Heights	2018-10-08	45.0408	-93.263	average
America/Maceio	Barra dos Coqueiros	05 Jul 2015	-10.90889	-37.03861	excellent
Asia/Kolkata	Pujali	2016/01/23	22.4711	88.1453	maintenance
Europe/Minsk	Novogrudok	03/14/2013, 00:00:00	53.5942	25.8191	excellent
Asia/Manila	Santa Catalina	02/11/2021, 00:00:00	9.3337	122.8637	good
Africa/Algiers	El Achir	2021/10/23	36.06386	4.62744	average
Asia/Karachi	Alipur	24 Aug 2014	29.38242	70.91106	accep
Asia/Yekaterinburg	Lesnoy	2018/11/07	58.63667	59.80222	excellent
America/Managua	Jinotepe	2013/06/30	11.84962	-86.19903	average
America/New_York	Gates-North Gates	11/17/2017, 00:00:00	43.16547	-77.70066	maintenance
Asia/Dhaka	Manikchari	16 Mar 2018	22.83957	91.84128	good
Europe/Kiev	Krasyliv	2020-07-15	49.65186	26.97253	average
Europe/Berlin	Bad Segeberg	01/19/2021, 00:00:00	53.94313	10.30215	good
Europe/Berlin	Marburg an der Lahn	2017/12/27	50.80904	8.77069	average
America/Chicago	Schererville	06/09/2013, 00:00:00	41.47892	-87.45476	good
Africa/Algiers	Cheraga	2015/12/03	36.76775	2.95924	accep
Asia/Shanghai	Jingzhou	16 Apr 2021	30.35028	112.19028	maintenance
Africa/Lubumbashi	Kamina	03 Mar 2017	-8.73508	24.99798	accep
Africa/Lagos	Argungu	23 Mar 2021	12.74482	4.52514	average
Europe/Amsterdam	Zeist	2015-04-29	52.09	5.23333	excellent
Europe/London	Southsea	11/29/2016, 00:00:00	50.79205	-1.08593	average
Asia/Dushanbe	Vahdat	2018-02-07	38.55632	69.01354	building
Australia/Perth	Willetton	06/15/2018, 00:00:00	-32.05251	115.88782	good
Asia/Yekaterinburg	Kachkanar	06/12/2020, 00:00:00	58.7002	59.4839	excellent
Africa/Algiers	Thenia	2021-11-06	36.72544	3.55665	average
Asia/Shanghai	Pucheng	20 Oct 2012	27.92333	118.53333	accep
Europe/Tallinn	Narva	2017-04-28	59.37722	28.19028	accep
Europe/Istanbul	Mudanya	2017-12-30	40.37528	28.88222	accep
Europe/Amsterdam	Losser	08/09/2014, 00:00:00	52.26083	7.00417	excellent
America/Los_Angeles	Santa Maria	2016-12-07	34.95303	-120.43572	accep
America/New_York	Middletown	03/27/2021, 00:00:00	41.54566	-71.29144	maintenance
Asia/Jakarta	Randudongkal	27 Jun 2014	-7.0981	109.3243	good
Europe/Skopje	Saraj	2017-03-03	42	21.32778	average
America/New_York	Milledgeville	2015/09/24	33.08014	-83.2321	good
America/Havana	Media Luna	05 Oct 2016	20.14298	-77.43532	good
Europe/Madrid	Gandia	15 Apr 2022	38.96667	-0.18333	average
America/Jamaica	New Kingston	14 Mar 2017	18.00747	-76.78319	building
Europe/Istanbul	Edremit	2020/07/16	39.59611	27.02444	average
America/New_York	Punta Gorda Isles	2014-03-25	26.91756	-82.07842	average
Asia/Tokyo	Shinshiro	2013-11-11	34.9	137.5	average
Asia/Kolkata	Chharra	22 Sep 2020	27.9247	78.40102	good
Europe/Paris	Saint-Genis-Laval	2020-06-21	45.69558	4.7934	average
America/New_York	Massapequa	07/03/2016, 00:00:00	40.68066	-73.47429	average
Africa/Casablanca	Temara	12/10/2019, 00:00:00	33.92866	-6.90656	average
Asia/Tokyo	Sasayama	26 Jul 2022	35.06667	135.21667	maintenance
Asia/Manila	Cebu City	04/19/2013, 00:00:00	10.31672	123.89071	accep
America/Chicago	Ada	2014/04/10	34.77453	-96.67834	building
Asia/Manila	Antipolo	2013/09/04	14.62578	121.12251	excellent
America/New_York	Rutland	2018/10/04	43.61062	-72.97261	maintenance
Asia/Kolkata	Davangere	2022-01-11	14.46693	75.92694	accep
America/Martinique	Le Robert	02/10/2016, 00:00:00	14.67751	-60.94228	accep
America/Caracas	Ciudad Guayana	2019-04-02	8.35122	-62.64102	excellent
Europe/London	Penzance	02/17/2015, 00:00:00	50.11861	-5.53715	good
Asia/Karachi	Qadirpur Ran	06/26/2018, 00:00:00	30.29184	71.67164	average
Europe/London	Strood	2016/09/01	51.39323	0.47713	average
Asia/Kolkata	Diamond Harbour	06/17/2022, 00:00:00	22.19303	88.18466	maintenance
Asia/Bangkok	Yasothon	2019-05-14	15.79408	104.1451	excellent
Europe/Brussels	Beveren	2017/01/02	51.21187	4.25633	good
Europe/Rome	Somma Vesuviana	23 Apr 2018	40.87329	14.43865	excellent
Europe/Paris	Montpellier	2019-04-16	43.61092	3.87723	excellent
Europe/Berlin	Bensheim	11/20/2020, 00:00:00	49.68369	8.61839	average
Europe/Moscow	Buynaksk	2022/01/17	42.819	47.1192	average
America/Los_Angeles	North Tustin	05/06/2021, 00:00:00	33.76446	-117.79394	average
Europe/London	Strood	2017-09-10	51.39323	0.47713	good
Europe/Rome	Agrigento	2022-02-24	37.31065	13.57661	building
Europe/Moscow	Naro-Fominsk	2019-07-29	55.38752	36.73307	excellent
America/Los_Angeles	Aloha	08 Oct 2018	45.49428	-122.86705	good
Africa/Khartoum	Ar Ruseris	06/30/2020, 00:00:00	11.8659	34.3869	average
America/New_York	Brunswick	2021/06/02	43.91452	-69.96533	excellent
America/Sao_Paulo	Guapimirim	2020/11/28	-22.53722	-42.98194	excellent
Asia/Kolkata	Dharmapuri	08/12/2020, 00:00:00	12.1277	78.15794	excellent
Europe/Berlin	Bad Honnef	09/01/2020, 00:00:00	50.64336	7.2278	accep
Europe/Moscow	Malakhovka	2019/10/23	55.64776	38.02486	maintenance
Europe/Minsk	Vitebsk	2016/02/24	55.1904	30.2049	accep
America/Chicago	Grand Forks	2014/05/06	47.92526	-97.03285	good
Africa/Lagos	Gaya	2018/09/03	11.86064	9.0027	good
Europe/Istanbul	Patnos	18 Sep 2016	39.22493	42.85693	good
Asia/Seoul	Sinhyeon	2014-08-27	34.8825	128.62667	accep
America/New_York	Lutz	03/14/2013, 00:00:00	28.15112	-82.46148	building
Europe/Paris	Fontenay-aux-Roses	09/27/2018, 00:00:00	48.79325	2.29275	good
Europe/Amsterdam	Culemborg	06/19/2014, 00:00:00	51.955	5.22778	good
Africa/Mogadishu	Kismayo	2014-08-08	-0.35817	42.54536	building
Europe/Kiev	Zvenihorodka	2022/06/15	49.07866	30.96755	average
Asia/Manila	Baliuag	2015-07-26	14.95472	120.89694	accep
Asia/Shanghai	Pucheng	2012-10-12	27.92333	118.53333	excellent
Europe/Moscow	Tyoply Stan	01/06/2017, 00:00:00	55.62047	37.49338	building
Europe/Paris	Colomiers	2020/03/01	43.61058	1.33467	excellent
Asia/Manila	Jagna	11/16/2018, 00:00:00	9.6531	124.3697	excellent
America/Toronto	Beaconsfield	2014-05-14	45.43341	-73.86586	excellent
Asia/Colombo	Dehiwala-Mount Lavinia	2021-09-18	6.84019	79.87116	excellent
Europe/Rome	Misterbianco	2018-10-27	37.51803	15.00913	accep
America/Panama	Chilibre	2016/05/15	9.15093	-79.62098	accep
Europe/Oslo	Harstad	2020/12/26	68.79833	16.54165	excellent
Europe/Madrid	Leioa	06/08/2019, 00:00:00	43.32686	-2.98884	good
Asia/Kolkata	Malaut	2014/02/09	30.21121	74.4818	good
Asia/Shanghai	Meizhou	01 Dec 2015	24.28859	116.11768	accep
America/Chicago	Fresno	2022/02/02	29.53885	-95.44744	excellent
Europe/Rome	Somma Vesuviana	2015/03/22	40.87329	14.43865	excellent
Europe/Brussels	Beveren	2012/12/30	51.21187	4.25633	accep
America/Lima	Minas de Marcona	2021-10-29	-15.21194	-75.11028	good
Africa/Algiers	Frenda	06 Jan 2017	35.06544	1.04945	good
Asia/Karachi	Qadirpur Ran	17 Sep 2018	30.29184	71.67164	maintenance
Asia/Kolkata	Pandua	08/21/2015, 00:00:00	23.07492	88.28637	accep
Europe/Paris	Arles	06/02/2015, 00:00:00	43.67681	4.63031	good
America/Mexico_City	Teziutlan	01/04/2020, 00:00:00	19.8173	-97.35992	average
America/Mexico_City	Tuxtla	2019-06-12	16.75973	-93.11308	excellent
Pacific/Auckland	Gisborne	08/15/2013, 00:00:00	-38.65333	178.00417	good
America/Mexico_City	Jocotepec	05 May 2016	20.28527	-103.42897	excellent
America/New_York	Peabody	2012/11/23	42.52787	-70.92866	good
Europe/Berlin	Gronau	18 Nov 2018	52.21099	7.02238	maintenance
Asia/Kolkata	Kundla	2015-06-05	21.34222	71.30633	building
Europe/Paris	Dax	2015/05/15	43.71032	-1.05366	accep
Africa/Nairobi	Busia	09/05/2015, 00:00:00	0.46005	34.11169	accep
America/Chicago	Schererville	24 Oct 2012	41.47892	-87.45476	average
Asia/Kolkata	Sheoganj	08/11/2018, 00:00:00	25.13915	73.06784	maintenance
Asia/Yekaterinburg	Oktyabr’skiy	2019/01/08	54.48147	53.47103	building
Africa/Luanda	Luena	19 Sep 2019	-11.78333	19.91667	excellent
Europe/Berlin	Losheim	12 Oct 2020	49.5099	6.74549	average
Europe/Berlin	Bensheim	06 Sep 2016	49.68369	8.61839	average
Europe/Madrid	Segundo Ensanche	10/14/2019, 00:00:00	42.8139	-1.64295	accep
Europe/Zagreb	Split	07 May 2020	43.50891	16.43915	accep
America/New_York	Cypress Hills	01/29/2018, 00:00:00	40.67705	-73.89125	maintenance
America/Los_Angeles	Visitacion Valley	2018-06-28	37.71715	-122.40433	accep
Europe/Madrid	Talavera de la Reina	05/05/2020, 00:00:00	39.96348	-4.83076	excellent
Europe/Warsaw	Brzeg	2019-10-05	50.86079	17.4674	excellent
Asia/Kolkata	Chharra	2013/05/10	27.9247	78.40102	excellent
Europe/Berlin	Albstadt	2019-10-15	48.21644	9.02596	average
Africa/Algiers	Messaad	08/29/2021, 00:00:00	34.15429	3.50309	maintenance
Europe/Oslo	Harstad	2014/12/01	68.79833	16.54165	good
Asia/Kolkata	Dombivli	2018/05/31	19.21667	73.08333	good
Asia/Karachi	Alipur	2015-12-03	29.38242	70.91106	accep
America/Mexico_City	Tuxtla	17 May 2018	16.75973	-93.11308	good
Europe/Rome	Villabate	2019/10/18	38.07789	13.44275	maintenance
Africa/Gaborone	Tonota	06/24/2020, 00:00:00	-21.44236	27.46153	good
Africa/Lagos	Gaya	02/04/2016, 00:00:00	11.86064	9.0027	maintenance
Europe/Amsterdam	Schiebroek	2019-02-27	51.95838	4.47124	accep
Europe/London	East Dereham	2018/07/05	52.68333	0.93333	average
Europe/Rome	Campobasso	01 Jun 2022	41.55947	14.66737	accep
Europe/Prague	Most	01/17/2020, 00:00:00	50.50301	13.63617	building
Africa/Algiers	Bordj Zemoura	2016/10/18	36.27462	4.85668	excellent
Africa/Ndjamena	Mongo	07/19/2022, 00:00:00	12.18441	18.69303	excellent
Europe/Moscow	Shushary	2015/04/09	59.80917	30.38167	good
Europe/Berlin	Bensheim	2019/07/02	49.68369	8.61839	accep
Asia/Makassar	Majene	2017/10/13	-3.5403	118.9707	accep
America/Menominee	Iron River	30 Sep 2015	46.09273	-88.64235	maintenance
Europe/London	Lymington	16 Dec 2013	50.75767	-1.5443	average
America/Los_Angeles	North Tustin	2014/08/21	33.76446	-117.79394	building
Europe/London	Poulton-le-Fylde	01/31/2013, 00:00:00	53.83333	-2.98333	excellent
America/Chicago	Fairview Heights	2020-10-14	38.58894	-89.99038	average
Africa/Addis_Ababa	Arba Minch	29 Aug 2019	6.03333	37.55	good
Europe/Paris	Lons-le-Saunier	2019/05/23	46.67535	5.55575	average
Asia/Tokyo	Ina	15 Oct 2021	35.82756	137.95378	good
America/Maceio	Barra dos Coqueiros	10 Dec 2015	-10.90889	-37.03861	average
America/New_York	Stockbridge	06/10/2021, 00:00:00	33.54428	-84.23381	good
Asia/Kabul	Sar-e Pul	2021/09/30	36.21544	65.93249	average
Asia/Kolkata	Hungund	2013/09/15	16.06213	76.0586	excellent
Asia/Tokyo	Nonoichi	2016/02/28	36.53333	136.61667	good
Europe/London	High Wycombe	2014/12/19	51.62907	-0.74934	average
Asia/Tokyo	Annaka	15 Jan 2014	36.33011	138.89585	maintenance
America/New_York	Lutz	01/24/2015, 00:00:00	28.15112	-82.46148	building
Asia/Bangkok	Phanat Nikhom	2019/11/24	13.44581	101.18445	excellent
America/Recife	Cabo	12/21/2020, 00:00:00	-8.28333	-35.03333	building
Europe/Berlin	Schleswig	2018/12/08	54.52156	9.5586	average
Asia/Kolkata	Dalsingh Sarai	2021/01/07	25.66795	85.83636	excellent
Europe/Rome	Agrigento	05/12/2018, 00:00:00	37.31065	13.57661	building
Asia/Dili	Maliana	04/29/2022, 00:00:00	-8.99167	125.21972	accep
America/Los_Angeles	Watsonville	18 Jan 2015	36.91023	-121.75689	average
America/New_York	Morningside Heights	2022/04/02	40.81	-73.9625	good
America/Chicago	Schererville	2015-11-15	41.47892	-87.45476	average
Europe/Rome	Francavilla Fontana	2019/05/22	40.53123	17.58522	good
Asia/Shanghai	Heyuan	2016/06/14	23.73333	114.68333	average
Asia/Kolkata	Puducherry	06/02/2019, 00:00:00	11.93381	79.82979	good
Europe/Rome	Malnate	21 Dec 2014	45.79377	8.88104	good
Europe/Berlin	Aschaffenburg	06 May 2013	49.97704	9.15214	acceptable
America/Los_Angeles	Camarillo	2019-12-12	34.21639	-119.0376	good
Europe/Moscow	Kolomyagi	2018/09/23	60.02427	30.28491	building
America/Fortaleza	Barras	2012/11/07	-4.24444	-42.29444	good
Asia/Damascus	Tadmur	12/14/2013, 00:00:00	34.5624	38.28402	excellent
Europe/Berlin	Halstenbek	20 Oct 2013	53.63333	9.85	average
Asia/Karachi	Tharu Shah	2020-10-27	26.9423	68.11759	maintenance
Europe/Berlin	Gauting	2017/06/20	48.06919	11.37703	accep
Europe/Belgrade	Glogovac	07/10/2018, 00:00:00	42.62833	20.89389	excellent
Africa/Kigali	Rwamagana	2018-07-20	-1.9487	30.4347	excellent
Europe/Copenhagen	Frederiksberg	2016/09/12	55.67938	12.53463	excellent
Asia/Kolkata	Parola	2013/09/22	20.88098	75.11937	building
Asia/Tehran	Shahre Jadide Andisheh	08/18/2014, 00:00:00	35.6803	51.0193	average
Africa/Brazzaville	Brazzaville	03/17/2017, 00:00:00	-4.26613	15.28318	accep
Asia/Shanghai	Zhuangyuan	2018-02-02	37.30553	120.82747	average
Europe/Zaporozhye	Polohy	11/02/2021, 00:00:00	47.48444	36.25361	average
Europe/Helsinki	Espoo	2021/04/20	60.2052	24.6522	excellent
Asia/Baku	Qazax	2016/11/04	41.09246	45.36561	good
Europe/London	Newbury	07/13/2021, 00:00:00	51.40148	-1.32471	excellent
Europe/London	Barnet	2019-07-15	51.65	-0.2	good
Europe/London	Exeter	2020-11-21	50.7236	-3.52751	excellent
Europe/Moscow	Arzamas	11/11/2016, 00:00:00	55.39485	43.83992	accep
Africa/Lagos	Yenagoa	2019/07/03	4.92675	6.26764	good
America/Sao_Paulo	Palmeira	2017-10-25	-25.42944	-50.00639	excellent
Europe/London	East Dereham	05 Jan 2016	52.68333	0.93333	accep
Europe/Rome	Sassari	2014-01-04	40.72586	8.55552	average
America/Lima	Chosica	2012/11/04	-11.94306	-76.70944	average
America/Indiana/Indianapolis	Greenfield	17 May 2013	39.78504	-85.76942	maintenance
Europe/Rome	Novara	26 Dec 2015	45.44694	8.62118	good
Asia/Jakarta	Sukabumi	2014-05-13	-6.91806	106.92667	good
Europe/Kiev	Nova Kakhovka	29 Feb 2016	46.75451	33.34864	maintenance
Asia/Kolkata	Barbil	24 Jul 2022	22.10194	85.37752	building
Europe/Madrid	Amposta	2021/06/20	40.70995	0.57856	excellent
America/Mazatlan	Acaponeta	2018/08/12	22.49396	-105.36369	good
America/Los_Angeles	Porterville	2022/05/29	36.06523	-119.01677	good
America/Caracas	Tinaquillo	2020/02/08	9.91861	-68.30472	average
Asia/Kolkata	Deoli	04/03/2017, 00:00:00	25.75728	75.37991	average
America/New_York	Sun City Center	2014/09/02	27.71809	-82.35176	good
Asia/Kolkata	Kundla	12/03/2017, 00:00:00	21.34222	71.30633	good
Europe/Paris	Marly-le-Roi	03/23/2016, 00:00:00	48.86667	2.08333	good
America/Fortaleza	Guaraciaba do Norte	08 Mar 2013	-4.16694	-40.7475	excellent
Europe/Moscow	Solntsevo	03/30/2013, 00:00:00	55.63711	37.38115	good
Asia/Karachi	Sillanwali	16 May 2015	31.82539	72.54064	maintenance
America/Chicago	Jackson	15 Sep 2019	35.61452	-88.81395	maintenance
America/Guayaquil	Milagro	04 Apr 2013	-2.13404	-79.59415	good
Asia/Novokuznetsk	Yashkino	2013/03/18	55.8736	85.4265	accep
America/Sao_Paulo	Itabirito	2020-04-06	-20.25333	-43.80139	good
America/Sao_Paulo	Carlos Barbosa	08/07/2019, 00:00:00	-29.2975	-51.50361	good
Asia/Tokyo	Toba	10/20/2014, 00:00:00	34.4833	136.84186	accep
America/Matamoros	Heroica Matamoros	2018-01-08	25.87972	-97.50417	building
Europe/Sarajevo	Bijeljina	2015/12/09	44.75874	19.21437	building
Europe/Moscow	Roslavl’	07 Mar 2022	53.95278	32.86389	average
America/Toronto	Markham	2020/03/19	43.86682	-79.2663	good
Europe/Berlin	Hofheim am Taunus	09/16/2020, 00:00:00	50.09019	8.4493	excellent
Africa/Lagos	Efon-Alaaye	14 May 2019	7.65649	4.92235	average
America/Argentina/Buenos_Aires	Chacabuco	2013/06/29	-34.64167	-60.47389	accep
America/Los_Angeles	Norco	02 May 2013	33.93113	-117.54866	excellent
Asia/Manila	Calauan	2012-12-01	14.14989	121.3152	average
Africa/Dar_es_Salaam	Magomeni	2022/09/09	-6.8	39.25	good
America/Los_Angeles	Indio	2013/04/17	33.7207	-116.21677	good
Africa/Lagos	Nkpor	2018-11-09	6.15038	6.83042	maintenance
Europe/Rome	Catania	2019-05-02	37.49223	15.07041	maintenance
Europe/Moscow	Kovylkino	2017-02-19	54.03876	43.91385	excellent
Asia/Tokyo	Kamakura	19 Aug 2014	35.30889	139.55028	good
Europe/Paris	Montpellier	2021/01/19	43.61092	3.87723	accep
America/Argentina/Buenos_Aires	Chacabuco	10/04/2013, 00:00:00	-34.64167	-60.47389	average
Africa/Lagos	Kafanchan	03 Apr 2022	9.58126	8.2926	excellent
Europe/Istanbul	Bergama	2022/05/31	39.12074	27.18052	excellent
America/Tegucigalpa	Olanchito	27 Feb 2021	15.48131	-86.57415	average
Europe/London	Rutherglen	2015/09/18	55.82885	-4.21376	average
Asia/Karachi	Hasilpur	12/07/2012, 00:00:00	29.69221	72.54566	excellent
Asia/Tokyo	Toyokawa	2016-09-04	34.81667	137.4	good
America/Matamoros	Heroica Matamoros	08 Jul 2017	25.87972	-97.50417	average
Europe/Rome	Castelfranco Emilia	09/10/2016, 00:00:00	44.59445	11.04979	excellent
Asia/Kolkata	Gingee	09/02/2019, 00:00:00	12.25282	79.41727	excellent
Europe/Sofia	Smolyan	14 Apr 2016	41.57439	24.71204	good
Europe/Brussels	Houthalen	2021-11-01	51.03427	5.37429	accep
Europe/Berlin	Burscheid	2017/06/20	51.08468	7.11393	average
Asia/Bangkok	Damnoen Saduak	04/26/2013, 00:00:00	13.51825	99.95469	excellent
Europe/Moscow	Shushary	02/09/2019, 00:00:00	59.80917	30.38167	good
Europe/London	Devizes	2012/10/09	51.35084	-1.99421	good
Europe/Berlin	Memmingen	2016/02/11	47.98372	10.18527	accep
Pacific/Port_Moresby	Mount Hagen	12/17/2021, 00:00:00	-5.85746	144.23058	excellent
Asia/Baku	Astara	2021-12-24	38.45598	48.87498	good
America/Los_Angeles	South Whittier	2013/03/27	33.95015	-118.03917	excellent
Europe/Prague	Most	08/27/2014, 00:00:00	50.50301	13.63617	building
America/Mexico_City	Acayucan	23 Jun 2014	17.94979	-94.91386	accep
Europe/Paris	Bron	2013-06-24	45.73333	4.91667	building
Europe/Berlin	Korschenbroich	22 Jun 2014	51.19139	6.51352	accep
Asia/Kolkata	Barpeta	2017/03/27	26.32293	91.00632	accep
Europe/Madrid	Leioa	2019-10-23	43.32686	-2.98884	average
Asia/Yekaterinburg	Tavda	12/20/2017, 00:00:00	58.04254	65.27258	good
Europe/London	Hartley	2019-12-11	51.38673	0.30367	good
Europe/Kiev	Lutsk	24 Aug 2017	50.75932	25.34244	average
Africa/Algiers	Beni Douala	09/03/2017, 00:00:00	36.61954	4.08282	accep
America/Lima	Yunguyo	2020/01/17	-16.25	-69.08333	accep
America/Sao_Paulo	Santa Gertrudes	01/10/2020, 00:00:00	-22.45667	-47.53028	excellent
America/Lima	Yunguyo	2020/09/20	-16.25	-69.08333	average
Asia/Shanghai	Changzhi	02/07/2022, 00:00:00	35.20889	111.73861	building
Europe/Zaporozhye	Polohy	13 Aug 2013	47.48444	36.25361	accep
Europe/Paris	Herblay	2020-07-06	48.98994	2.1699	maintenance
Europe/Zurich	Onex	2018/08/24	46.18396	6.10237	excellent
America/Mexico_City	Santa Rosa Jauregui	06 Mar 2019	20.74122	-100.44843	accep
America/New_York	Kendall	11/22/2020, 00:00:00	25.67927	-80.31727	average
America/New_York	Sicklerville	03/20/2014, 00:00:00	39.71734	-74.96933	excellent
Africa/Kigali	Rwamagana	03 Sep 2019	-1.9487	30.4347	average
America/Chicago	Schererville	12/06/2014, 00:00:00	41.47892	-87.45476	accep
America/Port-au-Prince	Thomazeau	2018-07-25	18.65297	-72.09391	average
America/Costa_Rica	San Rafael	24 May 2017	9.92787	-84.13722	average
America/Los_Angeles	Aloha	2021/08/19	45.49428	-122.86705	good
Africa/Conakry	Camayenne	2017-01-10	9.535	-13.68778	maintenance
Europe/Moscow	Severodvinsk	2015-01-31	64.5635	39.8302	excellent
America/Chicago	Coralville	11/02/2015, 00:00:00	41.6764	-91.58045	good
Africa/Dar_es_Salaam	Usagara	22 Sep 2013	-2.68333	33	excellent
Asia/Yekaterinburg	Beryozovsky	07 Mar 2022	56.9083	60.8019	excellent
Europe/Rome	Tortona	2015-02-08	44.89784	8.86374	average
Asia/Tokyo	Shinshiro	2022/08/01	34.9	137.5	acceptable
America/Chicago	Pleasant Prairie	2013-12-03	42.55308	-87.93341	accep
Europe/Moscow	Gudermes	2013/10/09	43.35071	46.10925	average
Europe/Moscow	Naro-Fominsk	2015-05-20	55.38752	36.73307	accep
Asia/Krasnoyarsk	Sharypovo	18 Jan 2014	55.54028	89.20083	good
Europe/Rome	Misterbianco	12 Jul 2020	37.51803	15.00913	maintenance
Europe/Berlin	Hofheim am Taunus	11 Jan 2015	50.09019	8.4493	average
Asia/Kuala_Lumpur	Kulai	05/08/2021, 00:00:00	1.6561	103.6032	excellent
America/Lima	Minas de Marcona	26 Apr 2018	-15.21194	-75.11028	building
Europe/Madrid	Gernika-Lumo	2019-09-15	43.31667	-2.68333	excellent
America/New_York	Palm Valley	2017/02/24	30.17746	-81.38758	excellent
Asia/Baku	Astara	01 Jun 2017	38.45598	48.87498	average
Indian/Antananarivo	Sakaraha	12 Mar 2014	-22.9	44.53333	excellent
Asia/Shanghai	Tianfu	2016-05-26	37.19723	122.05228	good
Europe/Berlin	Stuttgart	01/06/2021, 00:00:00	48.78232	9.17702	maintenance
America/New_York	Kensington	13 Jul 2019	40.64621	-73.97069	maintenance
Europe/Istanbul	Aksaray	09/05/2016, 00:00:00	38.37255	34.02537	good
Europe/London	Devizes	2017-09-24	51.35084	-1.99421	accep
America/Sao_Paulo	Itaperuna	08/21/2015, 00:00:00	-21.205	-41.88778	average
Europe/Berlin	Hofheim am Taunus	2022/04/10	50.09019	8.4493	average
Asia/Yekaterinburg	Tavda	2018/04/11	58.04254	65.27258	building
Europe/Madrid	Jumilla	19 Oct 2017	38.47917	-1.325	average
Europe/Berlin	Halstenbek	2012-11-05	53.63333	9.85	building
Europe/Brussels	Temse	2021-12-15	51.12794	4.21372	average
America/Managua	Jinotepe	2013/11/16	11.84962	-86.19903	excellent
Europe/Istanbul	Silvan	2019/05/18	38.13708	41.00817	good
Asia/Yekaterinburg	Oktyabr’skiy	03/11/2020, 00:00:00	54.48147	53.47103	excellent
Europe/Rome	Malnate	05/24/2013, 00:00:00	45.79377	8.88104	building
Europe/Paris	Rueil-Malmaison	2012/11/13	48.8765	2.18967	accep
America/Chicago	Tupelo	07/12/2017, 00:00:00	34.25807	-88.70464	excellent
Europe/Berlin	Oschatz	2021/02/20	51.30001	13.10984	maintenance
Europe/London	Clacton-on-Sea	2016-11-03	51.78967	1.15597	excellent
Europe/Berlin	Dahlem	31 Oct 2014	52.4581	13.28702	good
Europe/Rome	Afragola	11/17/2014, 00:00:00	40.92298	14.30935	building
Asia/Jakarta	Cibinong	2013/01/28	-6.48167	106.85417	maintenance
America/Bahia	Canavieiras	31 Aug 2013	-15.675	-38.94722	good
Europe/Moscow	Kolomyagi	2019/03/08	60.02427	30.28491	good
Europe/Paris	Arles	2020-03-18	43.67681	4.63031	average
Europe/Zurich	Onex	04 Sep 2015	46.18396	6.10237	good
America/Matamoros	Heroica Matamoros	2014/08/11	25.87972	-97.50417	excellent
Asia/Baghdad	Karbala	02/13/2019, 00:00:00	32.61603	44.02488	average
Africa/Niamey	Mirriah	2021/10/01	13.70727	9.15013	good
Europe/Paris	Les Olives	02/14/2017, 00:00:00	43.32393	5.4584	good
America/Detroit	Port Huron	16 Jun 2015	42.97086	-82.42491	good
America/Panama	Veracruz	25 Jun 2018	8.88988	-79.62603	excellent
Asia/Kolkata	Kundla	2019/04/04	21.34222	71.30633	accep
America/Bahia	Rio Real	2018/12/27	-11.48472	-37.93278	good
Asia/Bangkok	Nakhon Si Thammarat	2017/05/11	8.43333	99.96667	building
