location	latitude	station	QoS	revision	longitude
Europe/Rome	41.24264	Bisceglie	maintenance	2020/10/20	16.50104
America/New_York	40.64621	Kensington	average	2021/11/24	-73.97069
Europe/Rome	37.31065	Agrigento	maintenance	31 Dec 2014	13.57661
Australia/Brisbane	-25.54073	Maryborough	excellent	05/07/2015, 00:00:00	152.70493
America/Sao_Paulo	-21.42917	Alfenas	maintenance	2022-07-26	-45.94722
Europe/Amsterdam	52.71083	Emmeloord	good	09/13/2013, 00:00:00	5.74861
America/Los_Angeles	46.32374	Sunnyside	average	08 Aug 2013	-120.00865
Europe/Paris	46.32313	Niort	excellent	11 Sep 2021	-0.45877
Africa/Bangui	4.94273	Carnot	average	2020/10/01	15.87735
Europe/Paris	48.90472	La Garenne-Colombes	average	22 Feb 2014	2.2469
Asia/Jakarta	0.51667	Pekanbaru	accep	19 Aug 2013	101.44167
Europe/Minsk	52.4089	Dobrush	maintenance	20 Jun 2019	31.3237
Asia/Aden	14.53767	Ataq	average	2013/06/29	46.83187
Africa/Monrovia	7.57944	New Yekepa	excellent	2013-01-21	-8.53778
Asia/Jakarta	0.51667	Pekanbaru	excellent	2022/02/23	101.44167
Europe/Volgograd	50.06	Mikhaylovka	average	02/19/2018, 00:00:00	43.2379
America/Bogota	5.20856	Honda	good	2015/11/14	-74.73584
America/New_York	26.91756	Punta Gorda Isles	excellent	2021/03/21	-82.07842
Asia/Kolkata	14.62072	Sirsi	maintenance	15 Feb 2020	74.83554
Europe/Paris	43.61058	Colomiers	building	2014/01/09	1.33467
Asia/Manila	12.37169	Masbate	average	18 Feb 2014	123.62494
Africa/Johannesburg	-26.93366	Standerton	good	12/08/2018, 00:00:00	29.24152
Europe/Berlin	48.21644	Albstadt	excellent	2020/11/16	9.02596
America/Los_Angeles	33.03699	Encinitas	building	15 Apr 2013	-117.29198
America/Bogota	5.20856	Honda	excellent	2018-02-20	-74.73584
Australia/Sydney	-33.79176	Eastwood	average	2013/10/01	151.08057
Europe/London	51.78967	Clacton-on-Sea	accep	02/14/2018, 00:00:00	1.15597
Asia/Tokyo	36.53333	Nonoichi	good	10/10/2017, 00:00:00	136.61667
Europe/Istanbul	37.05944	Gaziantep	maintenance	09 Apr 2017	37.3825
Asia/Kolkata	18.51957	Pune	excellent	17 Mar 2018	73.85535
America/Chicago	42.24113	Crystal Lake	excellent	2014-06-11	-88.3162
America/New_York	28.54944	Clermont	accep	06/24/2022, 00:00:00	-81.77285
Europe/Moscow	60.02427	Kolomyagi	good	12/06/2016, 00:00:00	30.28491
Asia/Kolkata	30.21121	Malaut	accep	12 Mar 2020	74.4818
Europe/Brussels	50.74497	Mouscron	accep	2013-02-18	3.20639
Asia/Kolkata	22.10194	Barbil	building	07/13/2014, 00:00:00	85.37752
America/New_York	41.9001	Taunton	building	2015/05/16	-71.08977
America/Mexico_City	19.64745	Paracho de Verduzco	building	2021-02-12	-102.04897
America/New_York	40.72816	Jersey City	good	07/24/2018, 00:00:00	-74.07764
Asia/Karachi	31.71667	Sangla Hill	accep	2019-05-01	73.38333
Asia/Jakarta	-7.54972	Ngemplak	excellent	2016-04-05	110.71639
Asia/Seoul	34.8825	Sinhyeon	excellent	2015/07/24	128.62667
Africa/Maputo	-23.85972	Maxixe	good	24 Aug 2013	35.34722
Europe/London	50.82882	Lancing	building	18 Dec 2018	-0.32247
Africa/Algiers	36.76639	Boumerdas	accep	2013-12-17	3.47717
Asia/Tokyo	43.82634	Motomachi	good	2021-08-25	144.09638
Europe/Amsterdam	52.31333	Oldenzaal	excellent	2016-10-25	6.92917
Asia/Jakarta	-7.54972	Ngemplak	excellent	08 Aug 2013	110.71639
Asia/Jakarta	-7.57897	Diwek	accep	2012/12/24	112.23109
Europe/Saratov	51.40944	Privolzhskiy	excellent	11/06/2018, 00:00:00	46.04833
Africa/Dar_es_Salaam	-6.25	Mvomero	average	11/04/2012, 00:00:00	38.66667
Europe/Moscow	55.85	Likhobory	average	23 Mar 2015	37.56667
Asia/Tokyo	36.53333	Nonoichi	excellent	10 Mar 2018	136.61667
America/New_York	42.35843	Boston	average	07/24/2017, 00:00:00	-71.05977
Asia/Krasnoyarsk	55.54028	Sharypovo	building	03/30/2022, 00:00:00	89.20083
Africa/Accra	5.30383	Tarkwa	building	2018-10-07	-1.98956
Africa/Djibouti	11.15583	'Ali Sabieh	average	2015-11-17	42.7125
Europe/London	53.0233	Belper	excellent	11 Feb 2014	-1.48119
Asia/Kolkata	15.45144	Betamcherla	good	04 Sep 2018	78.14797
America/Los_Angeles	34.09668	Claremont	good	16 Oct 2017	-117.71978
Europe/Paris	48.90982	Bobigny	maitennce	06/11/2016, 00:00:00	2.45012
America/Chicago	35.25064	Searcy	building	07/03/2015, 00:00:00	-91.73625
Asia/Yekaterinburg	55.75556	Ozersk	accep	2021-11-18	60.70278
Africa/Kampala	3.27833	Kitgum	average	08/15/2019, 00:00:00	32.88667
Asia/Kolkata	11.00599	Kangayam	excellent	2013/10/08	77.5609
Asia/Tokyo	34.25	Iwade	accep	2013-01-24	135.31667
Europe/London	55.82885	Rutherglen	good	2021/05/13	-4.21376
Australia/Brisbane	-27.50578	Carindale	accep	2017-04-21	153.10236
America/New_York	40.5576	Woodbridge	excellent	24 Nov 2020	-74.28459
Europe/London	50.75767	Lymington	average	09/22/2013, 00:00:00	-1.5443
America/Chicago	38.06084	Hutchinson	accep	11/10/2013, 00:00:00	-97.92977
Asia/Vladivostok	45.47885	Lesozavodsk	good	05/06/2020, 00:00:00	133.42825
Asia/Tokyo	35.82756	Ina	accep	19 Mar 2013	137.95378
Africa/Douala	3.51667	Mbalmayo	maintenance	12 Mar 2021	11.5
Europe/Kiev	51.67822	Hlukhiv	good	24 Jan 2018	33.9162
Asia/Kolkata	30.81383	Moga	average	2021/01/20	75.16878
Europe/Paris	43.83125	Cavaillon	building	2018-11-29	5.03586
America/Chicago	36.61033	Murray	accep	2019-02-17	-88.31476
Asia/Yekaterinburg	60.97944	Izluchinsk	average	2019/01/06	76.92421
Europe/Amsterdam	51.65333	Vught	excellent	13 Mar 2019	5.2875
Europe/Skopje	42	Saraj	accep	25 Jul 2014	21.32778
Africa/Lubumbashi	0.76755	Yangambi	building	08/05/2013, 00:00:00	24.43973
America/New_York	34.06635	Acworth	excellent	22 Nov 2016	-84.67837
Europe/Podgorica	42.28639	Budva	good	10/30/2017, 00:00:00	18.84
Africa/Tunis	35.72917	Msaken	excellent	2013-11-22	10.58082
Asia/Kolkata	23.18	Aistala	good	03/09/2016, 00:00:00	88.58
America/New_York	40.81	Morningside Heights	accep	08 Jul 2015	-73.9625
Asia/Kolkata	25.92127	Madhipura	excellent	2017/10/14	86.79271
Europe/Rome	38.07789	Villabate	average	2020/02/28	13.44275
Asia/Karachi	30.76468	Kanganpur	average	2021/05/15	74.12286
America/Boise	43.54072	Nampa	good	11/19/2015, 00:00:00	-116.56346
Europe/Prague	50.23271	Karlovy Vary	good	08/05/2013, 00:00:00	12.87117
Asia/Yekaterinburg	58.04254	Tavda	excellent	10 Sep 2013	65.27258
Asia/Jakarta	-7.57897	Diwek	excellent	19 Mar 2016	112.23109
America/Guatemala	14.93333	Chichicastenango	accep	13 Jul 2013	-91.11667
Asia/Dushanbe	38.55632	Vahdat	good	2013-06-13	69.01354
America/Vancouver	50.26729	Vernon	average	2021-01-08	-119.27337
Europe/Rome	41.55947	Campobasso	average	11/09/2020, 00:00:00	14.66737
America/New_York	41.9001	Taunton	good	2017-06-25	-71.08977
America/Maceio	-10.91722	Lagarto	maintenance	03/09/2013, 00:00:00	-37.65
America/Los_Angeles	36.20829	Pahrump	accep	10/25/2019, 00:00:00	-115.98391
Europe/London	52.41667	Thetford	excellent	2018/12/07	0.75
Europe/Moscow	55.63711	Solntsevo	good	2018-11-04	37.38115
America/Los_Angeles	33.93113	Norco	excellent	2013-01-25	-117.54866
Asia/Damascus	34.5624	Tadmur	excellent	01/28/2013, 00:00:00	38.28402
Europe/Istanbul	40.37528	Mudanya	excellent	2022-09-05	28.88222
America/Los_Angeles	47.64995	Opportunity	good	18 Mar 2022	-117.23991
America/Argentina/Buenos_Aires	-37.32167	Tandil	excellent	2017/08/22	-59.13316
Asia/Manila	10.31672	Cebu City	good	2021/04/29	123.89071
Europe/Berlin	49.68369	Bensheim	good	08/21/2021, 00:00:00	8.61839
America/Port-au-Prince	18.57677	Croix-des-Bouquets	accep	2019/09/02	-72.22625
Europe/Stockholm	59.33333	Boo	good	01 Aug 2017	18.28333
Europe/Belgrade	44.97639	Sremska Mitrovica	building	08/23/2016, 00:00:00	19.61222
America/Denver	39.57582	Ken Caryl	average	2013-05-16	-105.11221
Asia/Jakarta	-1.6	Jambi City	accep	2019-12-13	103.61667
America/Los_Angeles	34.09611	San Gabriel	average	2014-11-17	-118.10583
Europe/Rome	44.31771	Chiavari	maintenance	02 Jan 2022	9.32241
America/Halifax	46.23899	Charlottetown	average	05/14/2022, 00:00:00	-63.13414
Africa/Luanda	-11.78333	Luena	building	05/20/2013, 00:00:00	19.91667
Europe/Paris	48.86667	Marly-le-Roi	average	21 Sep 2013	2.08333
America/Havana	23.0072	Boyeros	excellent	2014/05/02	-82.4017
America/Toronto	43.86682	Markham	average	08/07/2018, 00:00:00	-79.2663
Africa/Dar_es_Salaam	-4.06667	Same	good	08 May 2018	37.73333
America/Mexico_City	20.28527	Jocotepec	average	2016-05-25	-103.42897
America/New_York	35.05266	Fayetteville	good	2017/07/15	-78.87836
America/Los_Angeles	33.76446	North Tustin	good	2017-09-23	-117.79394
Europe/Rome	37.51803	Misterbianco	excellent	10/21/2015, 00:00:00	15.00913
Asia/Bishkek	40.93333	Jalal-Abad	average	2014-10-01	73
Europe/Rome	37.49223	Catania	good	03/29/2019, 00:00:00	15.07041
Europe/Berlin	50.23805	Nidderau	maintenance	02/16/2017, 00:00:00	8.86704
America/Bogota	4.73245	Madrid	good	2020/11/15	-74.26419
Europe/Moscow	54.39304	Bavly	excellent	2021/03/09	53.26023
Europe/Moscow	44.98901	Yablonovskiy	excellent	05 Jan 2017	38.94324
Europe/Berlin	48.21644	Albstadt	maintenance	29 Sep 2013	9.02596
America/New_York	41.0051	Scarsdale	excellent	11 Mar 2016	-73.78458
Europe/Tallinn	59.37722	Narva	accep	03/13/2018, 00:00:00	28.19028
Europe/Berlin	47.98372	Memmingen	excellent	06/11/2017, 00:00:00	10.18527
Asia/Tbilisi	41.82143	Kobuleti	excellent	2020/03/27	41.77921
America/Los_Angeles	33.03699	Encinitas	maintenance	2021/08/31	-117.29198
America/Los_Angeles	47.80527	Bothell West	average	2014-02-22	-122.24064
Africa/Bangui	4.94273	Carnot	good	2020/10/28	15.87735
Asia/Shanghai	24.28859	Meizhou	building	2017-08-23	116.11768
Africa/Tunis	37.16911	El Alia	excellent	07 May 2020	10.03478
America/New_York	39.96097	West Chester	good	2013/04/27	-75.60804
America/Caracas	8.62261	Barinas	maintenance	18 May 2020	-70.20749
Asia/Kolkata	22.75218	Kheda	average	2021-08-10	72.68533
Asia/Manila	12.37169	Masbate	maintenance	2021/07/16	123.62494
Africa/Lagos	7.6	Olupona	excellent	15 Sep 2013	4.18333
Asia/Almaty	47.46657	Zaysan	average	2022/09/27	84.87144
Asia/Kolkata	18.51957	Pune	good	10/08/2018, 00:00:00	73.85535
Asia/Dili	-8.99167	Maliana	good	06/06/2020, 00:00:00	125.21972
Europe/Stockholm	61.72744	Hudiksvall	maintenance	2013-12-07	17.10558
America/Chicago	47.92526	Grand Forks	maintenance	08/15/2019, 00:00:00	-97.03285
Pacific/Honolulu	20.88953	Kahului	building	09/28/2015, 00:00:00	-156.47432
Asia/Vladivostok	53.14657	Nikolayevsk-on-Amure	excellent	2020-07-03	140.72287
Europe/Madrid	38.10558	Caravaca	average	04/18/2021, 00:00:00	-1.86343
America/Tegucigalpa	15.48131	Olanchito	excellent	16 Oct 2019	-86.57415
America/New_York	38.96372	Chillum	average	2021/11/14	-76.99081
America/Sao_Paulo	-19.7625	Esmeraldas	building	2022/08/27	-44.31389
Asia/Kuala_Lumpur	5.4709	Batu Feringgi	average	05 Feb 2015	100.24529
America/Mazatlan	22.49396	Acaponeta	good	2016/01/15	-105.36369
Europe/London	51.62907	High Wycombe	accep	2013-07-08	-0.74934
Asia/Shanghai	30.24706	Huangshi	excellent	2020/05/15	115.04814
Africa/Abidjan	5.84752	Lakota	average	2017-09-15	-5.682
Europe/Rome	45.53069	Gorgonzola	good	2021/08/11	9.40531
America/New_York	43.16547	Gates-North Gates	building	2016-06-13	-77.70066
America/New_York	41.48199	Lakewood	average	14 Dec 2020	-81.79819
Europe/Moscow	54.8421	Alatyr’	excellent	2022/03/04	46.5813
Europe/Berlin	52.59319	Wittenau	building	22 May 2019	13.32127
America/New_York	39.45621	Martinsburg	excellent	17 Dec 2016	-77.96389
Asia/Kolkata	9.82564	Tiruppuvanam	average	06/27/2018, 00:00:00	78.25795
Africa/Cairo	31.20176	Alexandria	average	2017-06-19	29.91582
Africa/Lubumbashi	0.49113	Beni	average	2016-07-30	29.47306
Europe/Moscow	55.63711	Solntsevo	average	21 Aug 2014	37.38115
Asia/Tehran	33.14447	Darreh Shahr	good	08/07/2022, 00:00:00	47.3799
Europe/Moscow	55.63711	Solntsevo	good	2015-06-11	37.38115
Asia/Karachi	29.38242	Alipur	good	16 Aug 2014	70.91106
America/Lima	-15.21194	Minas de Marcona	accep	30 Nov 2016	-75.11028
America/New_York	28.54944	Clermont	average	05/31/2014, 00:00:00	-81.77285
America/El_Salvador	13.70167	Ilopango	accep	12 Feb 2016	-89.10944
America/Argentina/Buenos_Aires	-34.64966	Barracas	good	2013-05-25	-58.38341
Europe/Paris	48.90982	Bobigny	building	20 Mar 2014	2.45012
Asia/Shanghai	36.81667	Zhoucun	accep	12/09/2014, 00:00:00	117.81667
Asia/Kolkata	25.92127	Madhipura	accep	2019-08-07	86.79271
Europe/Berlin	52.59319	Wittenau	good	2020/01/02	13.32127
America/Santiago	-33.59217	San Bernardo	good	2017/01/12	-70.6996
Europe/Berlin	51.19139	Korschenbroich	average	16 Aug 2018	6.51352
America/Los_Angeles	36.20829	Pahrump	average	20 Nov 2014	-115.98391
America/Caracas	9.91861	Tinaquillo	good	2020-11-09	-68.30472
Europe/Stockholm	59.33333	Boo	accep	01/17/2014, 00:00:00	18.28333
America/Chicago	35.25064	Searcy	excellent	04/24/2015, 00:00:00	-91.73625
Asia/Tokyo	34.75856	Ueno-ebisumachi	maintenance	2017/01/23	136.13108
Asia/Taipei	23.5654	Magong	good	2017/04/10	119.58627
America/New_York	39.45621	Martinsburg	accep	2014-07-28	-77.96389
America/La_Paz	-21.44345	Tupiza	average	10 Mar 2013	-65.71875
Africa/Casablanca	34.31	Jerada	accep	2015-04-26	-2.16
America/Caracas	8.35122	Ciudad Guayana	good	09/19/2019, 00:00:00	-62.64102
Asia/Yekaterinburg	56.11281	Ishim	good	01 Mar 2015	69.49015
Africa/Conakry	9.535	Camayenne	good	2017-07-09	-13.68778
Asia/Yangon	17.30858	Kyaikto	excellent	2019/01/04	97.01124
America/New_York	28.15112	Lutz	excellent	2021-06-29	-82.46148
America/New_York	40.57788	Brighton Beach	average	07/10/2016, 00:00:00	-73.95958
America/Halifax	46.23899	Charlottetown	average	2016-01-13	-63.13414
Europe/Rome	45.39402	San Giuliano Milanese	accep	20 Mar 2020	9.29109
Africa/Lagos	7.6	Olupona	average	30 Apr 2019	4.18333
Europe/Helsinki	65.84811	Tornio	building	2021/04/02	24.14662
America/Toronto	42.8334	Norfolk County	excellent	05/16/2017, 00:00:00	-80.38297
Europe/Madrid	41.41204	el Camp de l'Arpa del Clot	maintenance	12/28/2018, 00:00:00	2.18247
America/Los_Angeles	45.53929	Troutdale	building	2014-11-28	-122.38731
America/Chicago	41.57721	West Des Moines	good	2014-02-23	-93.71133
Asia/Dili	-8.99167	Maliana	maintenance	2019-10-22	125.21972
Asia/Tokyo	36.65	Suzaka	average	08/14/2019, 00:00:00	138.31667
Asia/Kolkata	30.81383	Moga	good	10/18/2017, 00:00:00	75.16878
America/New_York	41.66394	Toledo	maintenance	11/20/2021, 00:00:00	-83.55521
America/Chicago	29.84576	Estelle	building	06 Feb 2021	-90.10674
America/Porto_Velho	-8.76194	Porto Velho	excellent	10/17/2018, 00:00:00	-63.90389
America/Chicago	34.77453	Ada	average	27 Jun 2016	-96.67834
Asia/Yangon	14.0823	Dawei	building	2019/09/12	98.19151
Africa/Casablanca	33.43443	Azrou	accep	13 Oct 2018	-5.22126
America/Caracas	10.22677	La Victoria	excellent	02/17/2016, 00:00:00	-67.33122
Asia/Bangkok	6.25947	Tak Bai	good	2018/03/12	102.05461
Asia/Shanghai	45.35	Shuangcheng	accep	2021-09-23	126.28333
America/Havana	23.04419	Jaruco	excellent	07 Oct 2019	-82.00919
America/New_York	40.2737	Harrisburg	average	08/16/2016, 00:00:00	-76.88442
America/New_York	40.60538	Far Rockaway	average	2019-12-08	-73.75513
Europe/Berlin	49.03685	Bretten	good	26 Dec 2018	8.70745
Indian/Antananarivo	-19.65	Antanifotsy	excellent	03/20/2019, 00:00:00	47.31667
America/Los_Angeles	38.54491	Davis	average	12 Mar 2020	-121.74052
Africa/Tripoli	30.75545	Ajdabiya	accep	2014-03-08	20.22625
Europe/Berlin	52.61131	Hermsdorf	accep	04/03/2016, 00:00:00	13.31783
America/Sao_Paulo	-23.44361	Sarandi	average	2022/07/04	-51.87389
Europe/Amsterdam	52.09	Zeist	maintenance	13 Nov 2013	5.23333
Asia/Shanghai	27.85	Xiangtan	good	21 Jul 2017	112.9
Asia/Irkutsk	51.82721	Ulan-Ude	building	01 May 2014	107.60627
Europe/Rome	45.39402	San Giuliano Milanese	excellent	25 Nov 2015	9.29109
Asia/Kolkata	21.46527	Sambalpur	maintenance	2013/08/30	83.97573
Indian/Antananarivo	-19.65	Antanifotsy	accep	08/29/2013, 00:00:00	47.31667
Asia/Almaty	47.46657	Zaysan	average	17 Jun 2018	84.87144
Australia/Sydney	-33.79176	Eastwood	excellent	06/24/2016, 00:00:00	151.08057
America/Mexico_City	19.8173	Teziutlan	accep	2022/06/02	-97.35992
Australia/Sydney	-33.79176	Eastwood	excellent	2019-05-07	151.08057
Africa/Dar_es_Salaam	-2.68333	Usagara	average	2021-08-04	33
America/New_York	37.60876	Mechanicsville	accep	2015/08/06	-77.37331
America/New_York	41.55815	Waterbury	excellent	15 Apr 2014	-73.0515
Asia/Kolkata	10.58806	Udumalaippettai	average	2014/12/07	77.24779
Europe/Zagreb	43.50891	Split	excellent	2012-10-07	16.43915
Europe/Berlin	50.80019	Siegburg	excellent	2015-01-12	7.20769
America/Lima	-16.25	Yunguyo	excellent	28 Nov 2021	-69.08333
Europe/Bucharest	44.43579	Sector 6	excellent	2018/04/18	26.01649
Europe/Moscow	53.95278	Roslavl’	average	05/19/2022, 00:00:00	32.86389
Asia/Ho_Chi_Minh	10.29085	Sa Dec	excellent	06 Aug 2021	105.75635
Asia/Urumqi	46.51872	Hoxtolgay	average	2013-09-15	86.00214
Africa/Algiers	36.76775	Cheraga	excellent	2014/04/16	2.95924
Australia/Melbourne	-37.88333	Carnegie	building	2018-08-19	145.06667
Europe/Kiev	49.65186	Krasyliv	building	02/09/2013, 00:00:00	26.97253
Asia/Manila	9.3337	Santa Catalina	excellent	2022/07/21	122.8637
America/Sao_Paulo	-17.74431	Caldas Novas	maintenance	2013/07/20	-48.62789
Asia/Kolkata	21.53889	Gariadhar	excellent	03/31/2018, 00:00:00	71.57737
America/New_York	40.68066	Massapequa	accep	2015/07/21	-73.47429
Asia/Karachi	30.29184	Qadirpur Ran	good	11/01/2014, 00:00:00	71.67164
Europe/Amsterdam	51.95838	Schiebroek	excellent	2015-12-29	4.47124
Europe/London	51.42708	Lower Earley	maintenance	2017-06-05	-0.91979
America/Mexico_City	20.21322	Salvatierra	excellent	2015-09-24	-100.88023
Asia/Yakutsk	65.93381	Aykhal	average	03 May 2020	111.4834
Asia/Jakarta	-7.81667	Kediri	accep	2021-05-29	112.01667
Asia/Jakarta	-7.54972	Ngemplak	excellent	12/13/2019, 00:00:00	110.71639
America/Chicago	38.06084	Hutchinson	average	2013/10/25	-97.92977
Asia/Tehran	32.65246	Isfahan	excellent	31 Mar 2020	51.67462
America/Chicago	31.84568	Odessa	accep	2021/06/16	-102.36764
Europe/Istanbul	38.37255	Aksaray	accep	2020/05/23	34.02537
Asia/Manila	12.37169	Masbate	accep	08/09/2020, 00:00:00	123.62494
Asia/Damascus	35.95664	Binnish	average	06/24/2016, 00:00:00	36.7138
Africa/Algiers	35.21222	Ksar Chellala	excellent	2013-08-30	2.31889
Australia/Melbourne	-38.16604	Frankston South	average	21 Jun 2022	145.13643
America/Costa_Rica	10.63504	Liberia	excellent	12/11/2019, 00:00:00	-85.43772
Europe/Moscow	55.85	Likhobory	average	28 Apr 2016	37.56667
Europe/Madrid	43.32686	Leioa	good	28 Nov 2018	-2.98884
America/Los_Angeles	38.54491	Davis	excellent	2022-04-16	-121.74052
America/Caracas	10.22677	La Victoria	excellent	07/09/2021, 00:00:00	-67.33122
Asia/Tehran	33.86419	Aleshtar	accep	2021/10/23	48.26258
Europe/Moscow	53.77166	Bogoroditsk	excellent	23 Mar 2018	38.12408
Asia/Shanghai	32.54278	Danjiangkou	excellent	2019/07/20	111.50861
Asia/Yekaterinburg	58.04254	Tavda	good	08/15/2021, 00:00:00	65.27258
America/Argentina/Cordoba	-31.25033	Rafaela	maintenance	2015-12-29	-61.4867
America/New_York	43.91452	Brunswick	accep	2019-09-11	-69.96533
Europe/Moscow	54.03876	Kovylkino	good	10 Feb 2013	43.91385
America/Mexico_City	16.75973	Tuxtla	maintenance	2021-09-07	-93.11308
America/Mexico_City	20.22816	Zacoalco de Torres	average	03/24/2018, 00:00:00	-103.5687
Asia/Hong_Kong	22.37066	Tsuen Wan	good	22 Jan 2019	114.10479
Asia/Kolkata	19.30157	Bhayandar	average	15 Nov 2016	72.85107
America/Martinique	14.67751	Le Robert	excellent	2015/08/15	-60.94228
Asia/Tokyo	34.61667	Yao	excellent	2021/06/19	135.6
Asia/Shanghai	38.40917	Xinzhou	good	15 Apr 2019	112.73333
America/Argentina/Cordoba	-31.25033	Rafaela	excellent	2019-07-17	-61.4867
Europe/Paris	49.28669	Elbeuf	average	04/13/2018, 00:00:00	1.00288
Australia/Melbourne	-38.16604	Frankston South	accep	22 Nov 2018	145.13643
Asia/Tokyo	34.81667	Toyokawa	average	09/29/2021, 00:00:00	137.4
Atlantic/Canary	27.76056	Maspalomas	average	10 Dec 2015	-15.58602
Asia/Manila	10.13361	Maasin	good	09/13/2015, 00:00:00	124.84472
America/New_York	40.94065	Dumont	average	2015/04/11	-73.99681
Australia/Sydney	-33.75881	Baulkham Hills	excellent	10/23/2018, 00:00:00	150.99292
Asia/Shanghai	41.94175	Hushitai	building	23 Apr 2021	123.50266
America/Los_Angeles	45.53929	Troutdale	average	2022-03-10	-122.38731
America/New_York	39.96097	West Chester	building	2020/03/04	-75.60804
Australia/Melbourne	-38.16604	Frankston South	maintenance	09 Jan 2021	145.13643
Asia/Bangkok	13.51825	Damnoen Saduak	excellent	30 Aug 2020	99.95469
America/Chicago	32.5007	Longview	maintenance	2021/10/01	-94.74049
Africa/Lagos	4.92675	Yenagoa	accep	2022/06/05	6.26764
America/Havana	23.15678	Varadero	excellent	04 Nov 2021	-81.24441
America/New_York	40.64621	Kensington	average	03/21/2022, 00:00:00	-73.97069
America/Santiago	-33.59217	San Bernardo	building	02/28/2013, 00:00:00	-70.6996
Europe/Berlin	53.63333	Halstenbek	average	2014-08-19	9.85
America/Chicago	33.41012	Greenville	maintenance	05/21/2019, 00:00:00	-91.06177
Asia/Kolkata	21.46527	Sambalpur	accep	04/08/2013, 00:00:00	83.97573
Asia/Shanghai	40.66482	Yingkou	average	03/24/2016, 00:00:00	122.22833
Europe/Paris	44.80477	Talence	average	11/13/2020, 00:00:00	-0.59543
Africa/Lagos	11.86064	Gaya	average	06/15/2013, 00:00:00	9.0027
Asia/Tokyo	36.53333	Nonoichi	maintenance	2022-09-13	136.61667
America/Los_Angeles	33.76446	North Tustin	good	2017/02/18	-117.79394
Asia/Shanghai	27.92333	Pucheng	building	2014-09-21	118.53333
Asia/Karachi	32.17629	Fazilpur	accep	15 Jul 2020	75.06583
Asia/Shanghai	46.08333	Ulanhot	excellent	07/10/2014, 00:00:00	122.08333
Europe/London	51.26	Westbury	average	06/16/2020, 00:00:00	-2.1875
Asia/Yekaterinburg	55.75556	Ozersk	good	23 Nov 2016	60.70278
Europe/Berlin	52.53048	Charlottenburg-Nord	excellent	2017/07/14	13.29371
America/Chicago	32.35126	Tyler	good	11/07/2015, 00:00:00	-95.30106
America/Toronto	42.8334	Norfolk County	maintenance	07/30/2022, 00:00:00	-80.38297
Europe/Moscow	54.8421	Alatyr’	average	12 Sep 2019	46.5813
Europe/Kiev	49.07866	Zvenihorodka	good	27 Dec 2015	30.96755
Asia/Kolkata	17.34769	Lal Bahadur Nagar	maintenance	27 Jul 2013	78.55757
America/Detroit	42.30865	Canton	maintenance	02 Jan 2014	-83.48216
Europe/London	52.66277	Great Wyrley	good	07/06/2020, 00:00:00	-2.01111
America/Sao_Paulo	-20.87306	Viradouro	building	04/23/2020, 00:00:00	-48.29694
Australia/Melbourne	-38.16604	Frankston South	accep	10/17/2015, 00:00:00	145.13643
Europe/London	51.78967	Clacton-on-Sea	building	29 May 2014	1.15597
America/Chicago	33.41012	Greenville	maintenance	08 Dec 2017	-91.06177
America/Mexico_City	19.8173	Teziutlan	accep	14 Nov 2020	-97.35992
Europe/Istanbul	40.98894	Yakuplu	good	2016/06/25	28.67582
Europe/Bratislava	48.43174	Hlohovec	excellent	2020-09-23	17.8031
Asia/Tokyo	34.4833	Toba	building	06/27/2016, 00:00:00	136.84186
America/Los_Angeles	33.7207	Indio	accep	2019-05-17	-116.21677
Asia/Karachi	31.82539	Sillanwali	excellent	25 Jun 2016	72.54064
America/Sao_Paulo	-22.45667	Santa Gertrudes	good	2017/07/02	-47.53028
America/New_York	42.93369	Keene	maintenance	25 Jan 2013	-72.27814
Asia/Kolkata	24.81757	Rafiganj	good	04 Jan 2018	84.63445
Asia/Shanghai	24.28859	Meizhou	excellent	2019-12-12	116.11768
Asia/Jakarta	-7.57897	Diwek	accep	14 Oct 2015	112.23109
America/Montevideo	-33.38056	Durazno	good	2022-08-12	-56.52361
Asia/Manila	16.0438	Manaoag	accep	2019-09-17	120.4861
Asia/Kolkata	15.73628	Gajendragarh	good	06/08/2014, 00:00:00	75.96976
America/New_York	40.65538	Scotch Plains	excellent	15 Apr 2022	-74.38987
Asia/Manila	10.31672	Cebu City	good	2015-12-18	123.89071
Europe/Istanbul	37.05944	Gaziantep	average	07 Jun 2013	37.3825
Asia/Kolkata	20.88197	Bhuban	accep	08/11/2017, 00:00:00	85.83334
America/New_York	43.1009	Utica	maintenance	2012/10/24	-75.23266
Europe/Paris	43.67681	Arles	maintenance	2017-05-19	4.63031
Asia/Shanghai	34.86472	Zaozhuang	accep	2017-03-02	117.55417
America/Argentina/Tucuman	-27.4338	Aguilares	good	2020/08/31	-65.61427
Asia/Karachi	31.82539	Sillanwali	average	26 Oct 2016	72.54064
Europe/Kiev	47.56494	Voznesensk	accep	09/01/2016, 00:00:00	31.33078
America/Havana	23.15678	Varadero	excellent	2020-10-21	-81.24441
Europe/Helsinki	65.84811	Tornio	average	2013-08-03	24.14662
Asia/Damascus	34.5624	Tadmur	maintenance	2015/08/23	38.28402
Europe/Rome	44.31771	Chiavari	excellent	10 May 2017	9.32241
America/Sao_Paulo	-21.42917	Alfenas	average	11/28/2014, 00:00:00	-45.94722
