QoS	code	station	latitude	revision	longitude
accep	TN	Beni Khiar	36.46917	12/17/2014, 00:00:00	10.78222
average	IE	An Muileann gCearr	53.53333	07/21/2020, 00:00:00	-7.35
good	CN	Liaoyang	41.27194	04/30/2013, 00:00:00	123.17306
building	MA	Jerada	34.31	2017/04/11	-2.16
accep	MX	Progreso	21.28306	07 Jan 2013	-89.66123
average	RU	Aykhal	65.93381	2015-10-07	111.4834
average	RU	Naro-Fominsk	55.38752	07/01/2017, 00:00:00	36.73307
maintenance	HN	Olanchito	15.48131	2015/02/26	-86.57415
excellent	RU	Yablonovskiy	44.98901	02/27/2021, 00:00:00	38.94324
accep	CD	Yangambi	0.76755	20 Aug 2016	24.43973
average	DE	Hofheim am Taunus	50.09019	03/14/2021, 00:00:00	8.4493
good	CF	Carnot	4.94273	20 Sep 2022	15.87735
accep	IT	Roseto degli Abruzzi	42.67164	15 Jun 2021	14.01481
maintenance	IN	Bhayandar	19.30157	2013/10/28	72.85107
accep	CN	Longgang	37.65181	21 May 2022	120.33063
average	US	Fitchburg	42.58342	2019/05/30	-71.8023
good	US	Bothell	47.76232	02/25/2013, 00:00:00	-122.2054
accep	ID	Pameungpeuk	-7.01833	30 May 2019	107.60389
average	IT	Agrigento	37.31065	2021/06/24	13.57661
excellent	UA	Kherson	46.65581	27 Jun 2022	32.6178
good	IN	Jashpurnagar	22.88783	14 Oct 2016	84.13864
accep	US	Kahului	20.88953	2022-01-02	-156.47432
good	IL	Ganei Tikva	32.05971	10/13/2016, 00:00:00	34.8732
building	XK	Glogovac	42.62833	2021-12-09	20.89389
accep	US	Tyler	32.35126	10/23/2015, 00:00:00	-95.30106
average	US	Redding	40.58654	11/23/2012, 00:00:00	-122.39168
maintenance	RU	Privolzhskiy	51.40944	2014/03/15	46.04833
accep	RU	Mikhaylovka	50.06	07/02/2020, 00:00:00	43.2379
accep	DZ	Messaad	34.15429	2013/05/02	3.50309
accep	US	Keene	42.93369	23 Jul 2016	-72.27814
maitennce	IT	Catania	37.49223	2019-10-08	15.07041
building	US	Canton	42.30865	2015/11/04	-83.48216
average	IN	Pujali	22.4711	2013/09/24	88.1453
excellent	PR	Aguadilla	18.42745	03/13/2017, 00:00:00	-67.15407
maintenance	CN	Longgang	37.65181	08/11/2016, 00:00:00	120.33063
excellent	CN	Sishui	35.64889	16 Dec 2017	117.27583
average	US	Brunswick	43.91452	04/28/2017, 00:00:00	-69.96533
accep	US	Riverbank	37.73604	11/02/2020, 00:00:00	-120.93549
maintenance	MA	Temara	33.92866	29 Oct 2016	-6.90656
average	IN	Rangia	26.44931	2022/04/04	91.61356
good	CR	San Rafael	9.92787	01/14/2020, 00:00:00	-84.13722
accep	NL	Culemborg	51.955	2020-01-13	5.22778
accep	PK	Naushahra Virkan	31.96258	2014-04-10	73.97117
excellent	RU	Naro-Fominsk	55.38752	27 Feb 2016	36.73307
average	RS	Negotin	44.22639	05/13/2021, 00:00:00	22.53083
accep	US	Belle Glade	26.68451	2016/10/23	-80.66756
accep	DZ	Messaad	34.15429	02/26/2021, 00:00:00	3.50309
building	RU	Alatyr’	54.8421	25 Feb 2017	46.5813
good	MX	Jocotepec	20.28527	11/20/2017, 00:00:00	-103.42897
average	ES	Jumilla	38.47917	2021/07/15	-1.325
accep	IR	Darreh Shahr	33.14447	17 Mar 2021	47.3799
excellent	FR	Les Olives	43.32393	2017-09-08	5.4584
maintenance	IN	Gariadhar	21.53889	2018/12/21	71.57737
average	CH	Onex	46.18396	2021/06/06	6.10237
good	US	Lebanon	39.43534	2018-09-16	-84.20299
accep	KZ	Kyzylorda	44.85278	2021/08/05	65.50917
good	ID	Diwek	-7.57897	2015/06/04	112.23109
good	RU	Gudermes	43.35071	2017-09-03	46.10925
good	CI	Bonoua	5.27247	2015-06-09	-3.59625
good	TR	Sungurlu	40.1675	21 Mar 2018	34.37389
good	FR	Herblay	48.98994	2018/08/08	2.1699
good	EE	Narva	59.37722	09/11/2013, 00:00:00	28.19028
good	CN	Licheng	23.29549	06/30/2018, 00:00:00	113.82465
good	US	New Canaan	41.14676	27 Oct 2016	-73.49484
maintenance	TR	Yakuplu	40.98894	2013-08-20	28.67582
building	RU	Lesosibirsk	58.23583	10 Feb 2021	92.48278
good	AR	Pontevedra	-34.74785	17 Nov 2014	-58.70072
good	CN	Shuangcheng	45.35	01/24/2018, 00:00:00	126.28333
good	PH	Jagna	9.6531	2021/11/16	124.3697
building	TR	Serinhisar	37.58105	2019/05/16	29.26639
average	AU	Carindale	-27.50578	12 Dec 2012	153.10236
accep	PH	Baliuag	14.95472	07 Jun 2020	120.89694
good	FR	Herblay	48.98994	2022-02-10	2.1699
building	ET	Debre Tabor	11.85	2019-01-06	38.01667
excellent	US	North Tustin	33.76446	07/14/2018, 00:00:00	-117.79394
building	EG	Juhaynah	26.67319	2020/09/03	31.4976
accep	YE	Ataq	14.53767	2012/11/29	46.83187
excellent	CU	Varadero	23.15678	2014/06/04	-81.24441
accep	JP	Namerikawa	36.75965	12/23/2015, 00:00:00	137.36215
average	US	Sterling	39.00622	2021/01/06	-77.4286
excellent	CU	Media Luna	20.14298	2021/01/18	-77.43532
maintenance	NL	Hoogezand	53.16167	04/01/2013, 00:00:00	6.76111
good	ES	el Camp de l'Arpa del Clot	41.41204	2014-11-29	2.18247
excellent	TD	Mongo	12.18441	12/28/2019, 00:00:00	18.69303
building	NG	Argungu	12.74482	24 Apr 2020	4.52514
average	US	Crystal Lake	42.24113	05 Oct 2012	-88.3162
average	CN	Zhoucun	36.81667	2017/02/03	117.81667
average	FR	Bar-le-Duc	48.77275	2013/09/05	5.16108
maintenance	US	Hutchinson	38.06084	2019/02/11	-97.92977
maintenance	SY	Binnish	35.95664	12/11/2019, 00:00:00	36.7138
building	ID	Besuki	-7.73379	2021/04/20	113.69785
good	BR	Aracaju	-10.91111	28 Jan 2014	-37.07167
average	BR	Caldas Novas	-17.74431	2020/05/04	-48.62789
excellent	IN	Rangia	26.44931	2015-09-10	91.61356
accep	SO	Kismayo	-0.35817	08/05/2013, 00:00:00	42.54536
accep	PT	Custoias	41.1053	24 Oct 2012	-7.32097
accep	US	Greenville	33.41012	2018-09-24	-91.06177
average	BR	Guapimirim	-22.53722	10/23/2013, 00:00:00	-42.98194
maintenance	KH	Paoy Paet	13.65805	2017/09/16	102.56365
excellent	FR	Bar-le-Duc	48.77275	2014-03-02	5.16108
excellent	GB	Mexborough	53.49389	2021/11/03	-1.29243
average	GB	Rhosllanerchrugog	53.00974	08/10/2014, 00:00:00	-3.05814
good	AR	Aguilares	-27.4338	2014-08-01	-65.61427
building	AU	Maryborough	-25.54073	04/15/2021, 00:00:00	152.70493
average	CM	Mbalmayo	3.51667	2018-04-22	11.5
average	DJ	'Ali Sabieh	11.15583	02/21/2013, 00:00:00	42.7125
maintenance	US	Sun City Center	27.71809	02/15/2018, 00:00:00	-82.35176
average	DE	Hofheim am Taunus	50.09019	2017-04-10	8.4493
building	US	Claremont	34.09668	08/14/2022, 00:00:00	-117.71978
building	GB	Hartley	51.38673	2022/07/17	0.30367
average	FR	Niort	46.32313	06/08/2022, 00:00:00	-0.45877
excellent	DE	Dahlem	52.4581	2020/09/04	13.28702
maintenance	JP	Nonoichi	36.53333	05/08/2017, 00:00:00	136.61667
good	UA	Lutsk	50.75932	2013/04/21	25.34244
excellent	US	Watsonville	36.91023	06/06/2013, 00:00:00	-121.75689
excellent	IT	Malnate	45.79377	14 Jul 2017	8.88104
accep	FR	Pamiers	43.11667	2022/07/23	1.6
maintenance	PH	Sorsogon	12.97389	09/24/2018, 00:00:00	123.99333
excellent	CN	Guli	28.88162	01/09/2021, 00:00:00	120.03308
excellent	FR	Montpellier	43.61092	10/05/2017, 00:00:00	3.87723
accep	US	Fayetteville	35.05266	2022/01/08	-78.87836
average	DE	Neuburg an der Donau	48.73218	03/03/2021, 00:00:00	11.18709
good	GB	Blackpool	53.81667	2015/09/18	-3.05
average	CR	San Rafael	9.92787	2016-11-27	-84.13722
good	DZ	Messaad	34.15429	2021/09/07	3.50309
accep	RU	Tyoply Stan	55.62047	05 Jul 2016	37.49338
good	MX	Heroica Matamoros	25.87972	2022/06/22	-97.50417
average	IT	Agrigento	37.31065	2016/01/29	13.57661
average	NG	Igbara-Odo	7.50251	12 Mar 2018	5.06258
good	NA	Okahandja	-21.98333	2014/12/12	16.91667
average	TR	Gaziantep	37.05944	01 Mar 2015	37.3825
excellent	CO	Puerto Colombia	10.98778	2020/06/16	-74.95472
building	GH	Tarkwa	5.30383	10/09/2014, 00:00:00	-1.98956
building	RU	Likhobory	55.85	2022/03/12	37.56667
maintenance	ES	Caravaca	38.10558	2019-01-02	-1.86343
accep	FR	Fontenay-aux-Roses	48.79325	10/21/2020, 00:00:00	2.29275
excellent	US	Keizer	44.99012	03/08/2015, 00:00:00	-123.02621
excellent	IN	Sirsi	14.62072	2016/09/15	74.83554
excellent	AU	Nowra	-34.88422	07/01/2014, 00:00:00	150.60036
building	EG	Alexandria	31.20176	2020/02/09	29.91582
accep	PH	Antipolo	14.62578	04/26/2013, 00:00:00	121.12251
average	US	Norco	33.93113	2022/02/10	-117.54866
excellent	UA	Svatove	49.41029	2014/08/11	38.15035
maintenance	GB	Southsea	50.79205	05/19/2013, 00:00:00	-1.08593
good	US	Fort Washington	38.70734	2019/05/20	-77.02303
excellent	US	Kaukauna	44.27804	2014-12-01	-88.27205
excellent	PH	Cebu City	10.31672	2016/06/19	123.89071
average	NL	Tongelre	51.44889	2018-04-06	5.51978
maintenance	MX	Guanajuato	21.01858	13 Oct 2012	-101.2591
excellent	IR	Aleshtar	33.86419	2021/08/24	48.26258
good	BR	Guapimirim	-22.53722	2016-12-29	-42.98194
excellent	DE	Gauting	48.06919	03/14/2015, 00:00:00	11.37703
maintenance	SO	Baki	9.89206	11 Sep 2017	43.38531
excellent	IN	Supaul	26.11527	04 Apr 2017	86.59509
good	US	Port Richmond	40.63316	12 Sep 2018	-74.13653
good	CN	Tianfu	37.19723	2021/05/24	122.05228
building	CN	Liaoyang	41.27194	2019-01-30	123.17306
good	DZ	Frenda	35.06544	10/03/2013, 00:00:00	1.04945
average	KE	Busia	0.46005	23 Dec 2013	34.11169
accep	MM	Myawadi	16.68911	2020-06-28	98.50893
good	NA	Okahandja	-21.98333	06 May 2017	16.91667
good	PH	Talisay	10.7375	2022/01/28	122.9666
accep	IN	Gingee	12.25282	10/07/2018, 00:00:00	79.41727
average	US	Muskogee	35.74788	08/07/2015, 00:00:00	-95.36969
accep	GB	Kingston upon Hull	53.7446	04/20/2016, 00:00:00	-0.33525
good	US	Columbia Heights	45.0408	05 May 2022	-93.263
average	US	Columbia Heights	45.0408	2013-05-09	-93.263
average	TR	Mardin	37.31309	05/04/2017, 00:00:00	40.74357
excellent	AU	Carnegie	-37.88333	02/08/2020, 00:00:00	145.06667
building	HR	Split	43.50891	2013/02/05	16.43915
good	DE	Stade	53.59337	11 Sep 2018	9.47629
building	CD	Beni	0.49113	01/14/2019, 00:00:00	29.47306
average	PH	Manaoag	16.0438	2020/10/07	120.4861
good	BE	Mouscron	50.74497	21 Mar 2017	3.20639
excellent	DE	Stade	53.59337	27 Feb 2016	9.47629
building	BE	Mouscron	50.74497	22 Jul 2019	3.20639
building	RU	Lesosibirsk	58.23583	06 Nov 2021	92.48278
good	CN	Heyuan	23.73333	11/04/2020, 00:00:00	114.68333
maintenance	DE	Radevormwald	51.20219	17 Dec 2017	7.36027
good	SA	Al Jubayl	27.0174	2022/07/04	49.62251
excellent	CN	Zhoushan	29.98869	2012-10-04	122.20488
building	AR	Barracas	-34.64966	2015/03/18	-58.38341
good	DE	Marburg an der Lahn	50.80904	05/03/2016, 00:00:00	8.77069
accep	AU	Willetton	-32.05251	03/17/2013, 00:00:00	115.88782
excellent	FR	Arles	43.67681	2020/05/18	4.63031
excellent	US	Beaumont	33.92946	2013-02-13	-116.97725
accep	US	Jersey City	40.72816	2022/08/20	-74.07764
maintenance	BR	Canavieiras	-15.675	02/22/2022, 00:00:00	-38.94722
excellent	KH	Paoy Paet	13.65805	08/01/2019, 00:00:00	102.56365
excellent	TR	Patnos	39.22493	21 May 2014	42.85693
average	IN	Barbil	22.10194	26 Mar 2016	85.37752
accep	CN	Wacheng	33.78333	15 Jul 2020	114.51667
maintenance	US	Collinwood	41.55838	17 Feb 2017	-81.56929
maintenance	BR	Artur Nogueira	-22.57306	2014-07-15	-47.1725
maintenance	CH	Adliswil	47.30997	08 Jul 2016	8.52462
good	RS	Sremska Mitrovica	44.97639	2014-02-11	19.61222
accep	GB	Belper	53.0233	2013/07/08	-1.48119
good	US	Greenville	33.41012	31 Jan 2018	-91.06177
average	IN	Sheoganj	25.13915	04/20/2013, 00:00:00	73.06784
accep	GB	Inverness	57.47908	2020/06/30	-4.22398
maintenance	ES	Leioa	43.32686	03/15/2020, 00:00:00	-2.98884
excellent	RU	Mikhaylovka	50.06	2017-10-07	43.2379
good	US	Fresno	29.53885	08 Jun 2014	-95.44744
excellent	GB	Walton-on-the-Naze	51.84819	10 Jun 2013	1.26738
average	US	Grand Forks	47.92526	2017/03/17	-97.03285
building	BJ	Tchaourou	8.88649	2022-09-27	2.59753
excellent	TZ	Kidodi	-7.60361	2021-03-25	37.00438
accep	RU	Privolzhskiy	51.40944	2017-04-24	46.04833
maintenance	NG	Biu	10.61285	03/18/2015, 00:00:00	12.19458
average	CN	Boli	45.75279	2016/03/15	130.57211
average	DZ	Thenia	36.72544	2014-12-17	3.55665
accep	NL	Schiebroek	51.95838	04/01/2013, 00:00:00	4.47124
average	US	Estelle	29.84576	2021/10/15	-90.10674
excellent	CG	Brazzaville	-4.26613	02/01/2022, 00:00:00	15.28318
excellent	IN	Adra	23.49668	2018/09/19	86.68363
excellent	CU	Varadero	23.15678	25 Mar 2013	-81.24441
good	CN	Wacheng	33.78333	12/31/2014, 00:00:00	114.51667
average	MQ	Le Robert	14.67751	2018/12/27	-60.94228
accep	CN	Haicheng	40.85158	2020-08-18	122.74754
accep	MY	Teluk Intan	4.02219	13 Nov 2016	101.02083
accep	FR	Le Chesnay	48.8222	02/11/2022, 00:00:00	2.12213
average	US	Fairview Heights	38.58894	2014/01/07	-89.99038
building	CU	Varadero	23.15678	12 May 2018	-81.24441
excellent	SK	Skalica	48.8449	15 Feb 2015	17.22635
maitennce	PH	Masbate	12.37169	2022/04/30	123.62494
accep	MM	Myawadi	16.68911	2018/09/03	98.50893
accep	DE	Wittenau	52.59319	2015/03/26	13.32127
excellent	US	Front Royal	38.91817	2022/05/20	-78.19444
accep	US	Waterbury	41.55815	2019-04-12	-73.0515
average	RU	Volokolamsk	56.03361	2015-10-24	35.96944
average	IT	Novara	45.44694	2020/07/18	8.62118
accep	US	Covington	39.08367	2017-12-08	-84.50855
maintenance	PH	Calauan	14.14989	2013/07/18	121.3152
excellent	US	Sicklerville	39.71734	18 Jun 2017	-74.96933
accep	TH	Phanat Nikhom	13.44581	2013-02-15	101.18445
good	DE	Stuttgart	48.78232	2013-07-26	9.17702
excellent	IN	Dharmapuri	12.1277	20 Apr 2014	78.15794
accep	CG	Brazzaville	-4.26613	2016-03-26	15.28318
accep	TH	Tak Bai	6.25947	28 Jun 2020	102.05461
average	FR	Marseille 11	43.2907	17 Dec 2019	5.4384
good	IN	Parola	20.88098	2015/01/21	75.11937
good	IN	Pune	18.51957	27 Feb 2014	73.85535
good	US	Fresno	29.53885	01/26/2020, 00:00:00	-95.44744
accep	FR	Vienne	45.51667	05 Dec 2013	4.86667
good	DZ	El Achir	36.06386	31 Jan 2017	4.62744
maintenance	GB	Inverness	57.47908	2018/06/30	-4.22398
building	US	Hutto	30.5427	2016/06/05	-97.54667
good	ID	Simpang	-1.26424	2018-07-30	104.09701
accep	US	Encinitas	33.03699	09 Mar 2019	-117.29198
average	HK	Tsuen Wan	22.37066	2018-08-04	114.10479
excellent	FR	Arles	43.67681	2013-11-30	4.63031
good	KZ	Otegen Batyra	43.41949	05/25/2020, 00:00:00	77.0202
maintenance	NL	Vught	51.65333	04/28/2016, 00:00:00	5.2875
average	IT	San Giuliano Milanese	45.39402	2020/02/09	9.29109
excellent	JP	Sasayama	35.06667	2014/05/09	135.21667
good	BY	Vitebsk	55.1904	2021/06/19	30.2049
maintenance	LT	Ukmerge	55.25	10/18/2021, 00:00:00	24.75
excellent	FR	Mitry-Mory	48.98333	24 Jul 2021	2.61667
good	BR	Valinhos	-22.97056	03/11/2018, 00:00:00	-46.99583
good	US	Port Huron	42.97086	09/18/2022, 00:00:00	-82.42491
good	UA	Shepetivka	50.18545	09 Feb 2014	27.06365
accep	ES	Puertollano	38.68712	2016/08/31	-4.10734
excellent	IT	Misterbianco	37.51803	2021/05/20	15.00913
good	DE	Trossingen	48.07667	2020/06/05	8.64409
accep	IN	Deoli	25.75728	2013/01/17	75.37991
excellent	PL	Zgorzelec	51.14942	2018/09/03	15.00835
accep	ES	Leioa	43.32686	2014/07/21	-2.98884
building	HN	Olanchito	15.48131	25 Jul 2019	-86.57415
excellent	AU	Strathfield	-33.88096	2020-08-13	151.07986
excellent	US	Yonkers	40.93121	2014/01/09	-73.89875
maintenance	CN	Changzhi	35.20889	12/27/2013, 00:00:00	111.73861
average	FR	Ajaccio	41.91886	2021-02-22	8.73812
good	US	Fresno	29.53885	2016-05-05	-95.44744
accep	TZ	Kidodi	-7.60361	22 Feb 2014	37.00438
good	JP	Ueno-ebisumachi	34.75856	2013/06/26	136.13108
accep	FR	Bar-le-Duc	48.77275	27 Aug 2022	5.16108
accep	IL	Rahat	31.39547	12 Sep 2014	34.75699
building	US	Schererville	41.47892	03/11/2014, 00:00:00	-87.45476
accep	PT	Custoias	41.1053	15 Dec 2015	-7.32097
maitennce	MX	Jocotepec	20.28527	11 Jan 2013	-103.42897
good	ID	Tebingtinggi	3.3285	2013/09/13	99.1625
maintenance	IN	Diamond Harbour	22.19303	2017-09-27	88.18466
good	GB	Penzance	50.11861	2018-08-16	-5.53715
acceptable	IT	Cordenons	45.9836	14 Apr 2014	12.70038
average	IN	Parola	20.88098	2018-10-13	75.11937
building	PL	Zgorzelec	51.14942	03 Nov 2020	15.00835
maintenance	IT	Agrigento	37.31065	2017-10-02	13.57661
accep	DE	Oberhausen	51.47805	2014-11-23	6.8625
maintenance	RU	Privolzhskiy	51.40944	09/02/2021, 00:00:00	46.04833
acceptable	US	Thomasville	35.88264	03 Nov 2014	-80.08199
average	MG	Ikalamavony	-21.15	12/19/2020, 00:00:00	46.58333
average	IT	Novara	45.44694	10 May 2013	8.62118
good	IN	Dalsingh Sarai	25.66795	2017-03-30	85.83636
maintenance	GB	Cowes	50.76306	31 Mar 2014	-1.29772
building	GB	Arbroath	56.56317	07 Feb 2016	-2.58736
excellent	BR	Iturama	-19.72806	09 Dec 2013	-50.19556
average	CL	Chiguayante	-36.9256	22 Feb 2020	-73.02841
average	CU	Media Luna	20.14298	2015-03-24	-77.43532
building	US	Bridgeport	41.16704	10/22/2012, 00:00:00	-73.20483
accep	PK	Sillanwali	31.82539	2022/09/19	72.54064
maintenance	AR	Tandil	-37.32167	2017-06-02	-59.13316
excellent	BR	Pedro II	-4.42472	02 Jun 2020	-41.45861
good	MZ	Maxixe	-23.85972	2018-09-02	35.34722
maintenance	CN	Hoxtolgay	46.51872	29 Jun 2018	86.00214
average	MY	Ulu Tiram	1.6	2016/02/01	103.81667
building	TH	Kantharalak	14.64056	03/19/2017, 00:00:00	104.64992
average	MY	Ulu Tiram	1.6	2020/05/24	103.81667
good	ES	Leioa	43.32686	2021-11-27	-2.98884
average	US	Dumont	40.94065	11/23/2019, 00:00:00	-73.99681
average	MX	Jocotepec	20.28527	24 Apr 2016	-103.42897
accep	RU	Yeysk	46.7055	06 Oct 2018	38.2739
excellent	ZA	Mokopane	-24.19436	2013/04/22	29.00974
maintenance	JP	Ueno-ebisumachi	34.75856	2022/03/12	136.13108
excellent	TZ	Nyangao	-10.33333	03/26/2014, 00:00:00	39.28333
maintenance	RU	Krymsk	44.92934	14 Dec 2019	37.99117
excellent	US	Encinitas	33.03699	2019/09/20	-117.29198
maintenance	ID	Muncar	-8.43333	06 Sep 2015	114.33333
maintenance	RU	Kuvandyk	51.4781	2019-01-29	57.3552
good	TH	Yasothon	15.79408	04 Mar 2016	104.1451
building	CN	Dongdu	35.85	2022/04/14	117.7
building	DK	Frederiksberg	55.67938	2019-11-25	12.53463
excellent	US	Searcy	35.25064	2012/12/26	-91.73625
maitennce	GB	Great Wyrley	52.66277	12/28/2014, 00:00:00	-2.01111
average	MY	Ulu Tiram	1.6	2021/09/08	103.81667
accep	DE	Hermsdorf	52.61131	2021-08-08	13.31783
excellent	CR	Liberia	10.63504	04/01/2017, 00:00:00	-85.43772
average	UA	Krasyliv	49.65186	2018/08/02	26.97253
excellent	PH	Masbate	12.37169	2021/11/04	123.62494
good	MX	Heroica Matamoros	25.87972	03 Jan 2016	-97.50417
good	CA	Sherwood Park	53.51684	2018/12/31	-113.3187
average	JP	Ina	35.82756	2018/05/17	137.95378
average	US	Hutchinson	38.06084	05/26/2018, 00:00:00	-97.92977
average	US	Far Rockaway	40.60538	25 May 2014	-73.75513
good	PK	Kot Addu	30.46907	2021-07-08	70.96699
excellent	ID	Muncar	-8.43333	20 Jun 2022	114.33333
good	JP	Okegawa	36	2015-02-19	139.55722
excellent	MK	Bogovinje	41.92361	2021-11-26	20.91361
excellent	CO	El Copey	10.15031	2017/07/06	-73.9614
average	RU	Gavrilov-Yam	57.30185	07 Feb 2013	39.85331
good	MA	Azrou	33.43443	2017/09/05	-5.22126
average	IT	Mesagne	40.55851	2015/08/25	17.80774
maintenance	CA	Pointe-Claire	45.44868	2013/08/28	-73.81669
excellent	VN	Sa Dec	10.29085	2021/09/15	105.75635
average	GB	Westbury	51.26	08 Jan 2015	-2.1875
accep	CN	Xiangtan	27.85	2017/10/01	112.9
maintenance	ES	Amposta	40.70995	16 Jul 2022	0.57856
average	MK	Saraj	42	2019/07/06	21.32778
maintenance	RU	Dyat’kovo	53.59782	20 Aug 2018	34.33825
maintenance	ES	Maspalomas	27.76056	2013/04/06	-15.58602
maintenance	CN	Dongfeng	42.64031	2015/10/03	125.51176
good	CN	Heyuan	23.73333	2021-05-19	114.68333
average	IN	Leteri	24.05979	2016-12-23	77.40858
excellent	US	Iron River	46.09273	04/14/2015, 00:00:00	-88.64235
accep	TJ	Vahdat	38.55632	12 Aug 2022	69.01354
excellent	CO	Villa del Rosario	7.83389	06/02/2018, 00:00:00	-72.47417
good	IN	Dombivli	19.21667	07 Feb 2021	73.08333
accep	RU	Tver	56.85836	20 Feb 2016	35.90057
excellent	US	Fort Washington	38.70734	07/21/2019, 00:00:00	-77.02303
average	RU	Tavda	58.04254	28 Feb 2018	65.27258
accep	ES	Segundo Ensanche	42.8139	2016/12/07	-1.64295
average	BR	Recife	-8.05389	2017/06/26	-34.88111
excellent	BR	Itabirito	-20.25333	2018-01-09	-43.80139
excellent	ML	Kati	12.74409	05/29/2014, 00:00:00	-8.07257
accep	ZA	Mokopane	-24.19436	2014/05/30	29.00974
average	JP	Ueno-ebisumachi	34.75856	2015/04/05	136.13108
accep	US	Tyler	32.35126	01/19/2019, 00:00:00	-95.30106
accep	FR	Cavaillon	43.83125	25 Aug 2013	5.03586
excellent	DE	Zeitz	51.04962	13 Aug 2013	12.1369
maintenance	US	Hutto	30.5427	2017-03-23	-97.54667
excellent	MX	Contla	19.32932	06 Jul 2020	-98.1664
accep	IN	Osmanabad	18.18158	12 Dec 2016	76.03889
good	UA	Shepetivka	50.18545	2014/03/18	27.06365
building	BD	Kushtia	23.9028	11 May 2022	89.11943
accep	IN	Calangute	15.5439	06/01/2020, 00:00:00	73.7553
average	IN	Calangute	15.5439	04 Nov 2017	73.7553
excellent	IN	Amreli	21.59983	2015/01/26	71.21169
excellent	PK	Khairpur Mir’s	27.52948	2019-09-21	68.75915
maintenance	US	Rolla	37.95143	2015/01/10	-91.77127
excellent	IN	Chharra	27.9247	2017/06/16	78.40102
maintenance	PS	East Jerusalem	31.78336	2018-12-11	35.23388
accep	US	Indio	33.7207	10/08/2015, 00:00:00	-116.21677
accep	US	Westchester	41.85059	2022-07-10	-87.882
good	HK	Tsuen Wan	22.37066	31 Oct 2014	114.10479
excellent	US	Nampa	43.54072	04/23/2014, 00:00:00	-116.56346
good	GB	Walton-on-the-Naze	51.84819	2015-08-05	1.26738
excellent	GB	Chapletown	53.46506	2019/06/16	-1.47217
excellent	FR	Valence	44.92801	02 Nov 2014	4.8951
excellent	PH	Maasin	10.13361	2021/06/05	124.84472
excellent	BR	Nova Xavantina	-14.66463	2020/09/13	-52.35558
average	IR	Isfahan	32.65246	15 Nov 2014	51.67462
maintenance	PK	Sangla Hill	31.71667	13 Sep 2014	73.38333
good	IN	Sambalpur	21.46527	04/20/2016, 00:00:00	83.97573
accep	MX	Teziutlan	19.8173	2013-12-12	-97.35992
building	US	Milledgeville	33.08014	07/22/2015, 00:00:00	-83.2321
excellent	US	Belle Glade	26.68451	2016-05-15	-80.66756
accep	BR	Cabo	-8.28333	2016/01/13	-35.03333
good	DE	Bensheim	49.68369	20 Jan 2019	8.61839
building	FR	Le Chesnay	48.8222	2019-12-04	2.12213
maintenance	BR	Carlos Barbosa	-29.2975	2016-05-30	-51.50361
accep	ES	Ferrol	43.48961	08/25/2015, 00:00:00	-8.2194
maitennce	RU	Solntsevo	55.63711	2018-02-12	37.38115
average	DE	Walsrode	52.86147	23 May 2020	9.5926
accep	AU	Perth	-31.95224	2014-03-03	115.8614
average	IL	Ramla	31.92923	2020-05-11	34.86563
building	IN	Teghra	25.49043	2014-07-14	85.94001
accep	DE	Friedberg	48.35693	2014/03/06	10.98461
accep	RU	Yeysk	46.7055	12/09/2014, 00:00:00	38.2739
average	PK	Bhit Shah	25.80565	10/27/2016, 00:00:00	68.49143
excellent	DO	Santa Cruz de Barahona	18.20854	11/13/2019, 00:00:00	-71.10077
excellent	MY	Teluk Intan	4.02219	01/01/2015, 00:00:00	101.02083
excellent	CN	Dongfeng	42.64031	02/25/2019, 00:00:00	125.51176
good	CZ	Most	50.50301	11/13/2016, 00:00:00	13.63617
accep	RU	Ishim	56.11281	2016-05-05	69.49015
accep	UA	Svatove	49.41029	2018-03-08	38.15035
good	CN	Shaowu	27.34089	10/09/2014, 00:00:00	117.4831
good	IN	Robertsonpet	12.95629	11/18/2021, 00:00:00	78.27539
maintenance	IN	Udumalaippettai	10.58806	09/25/2014, 00:00:00	77.24779
good	US	Bourbonnais	41.15376	31 Dec 2015	-87.88754
excellent	GB	Belper	53.0233	11/18/2013, 00:00:00	-1.48119
good	JP	Namerikawa	36.75965	2017/10/25	137.36215
excellent	CN	Pucheng	27.92333	11/13/2020, 00:00:00	118.53333
average	FR	Saint-Omer	50.75	11/30/2018, 00:00:00	2.25
excellent	TR	Sungurlu	40.1675	23 Aug 2015	34.37389
maintenance	JP	Minokamo	35.48199	2014/01/23	137.02166
accep	IN	Sojat	25.92493	2017/08/15	73.66633
average	US	Aurora	39.72943	2015-01-29	-104.83192
good	TH	Tak Bai	6.25947	10 May 2022	102.05461
maintenance	BR	Catende	-8.66667	05 Oct 2014	-35.71667
building	LT	Alytus	54.39635	2015-11-20	24.04142
good	GB	Southsea	50.79205	01/18/2020, 00:00:00	-1.08593
average	RU	Zhukovka	53.53395	04 Feb 2019	33.72798
accep	RU	Solntsevo	55.63711	2020-10-05	37.38115
accep	NL	Vught	51.65333	07/28/2021, 00:00:00	5.2875
accep	US	Kensington	40.64621	2013-10-10	-73.97069
average	FR	Rueil-Malmaison	48.8765	2021/04/23	2.18967
average	IN	Dalsingh Sarai	25.66795	2020-10-01	85.83636
