station	longitude	QoS	location	latitude	revision
Aklera	76.56719	average	Asia/Kolkata	24.41288	2021-01-19
Karben	8.77155	building	Europe/Berlin	50.23019	08/27/2014, 00:00:00
Ataq	46.83187	average	Asia/Aden	14.53767	26 Jul 2015
Magomeni	39.25	accep	Africa/Dar_es_Salaam	-6.8	2020-08-21
Parkent	69.67639	excellent	Asia/Tashkent	41.29444	2013-09-03
Masbate	123.62494	average	Asia/Manila	12.37169	2019/12/23
Peabody	-70.92866	good	America/New_York	42.52787	2018-04-19
Dawei	98.19151	good	Asia/Yangon	14.0823	2014-02-19
Tver	35.90057	maintenance	Europe/Moscow	56.85836	21 Dec 2019
Salima	34.4587	excellent	Africa/Blantyre	-13.7804	08 Sep 2015
American Canyon	-122.2608	maintenance	America/Los_Angeles	38.17492	2022-05-14
Yunguyo	-69.08333	good	America/Lima	-16.25	2013/04/21
Clacton-on-Sea	1.15597	accep	Europe/London	51.78967	03 Dec 2019
Marau	-52.2	average	America/Sao_Paulo	-28.44917	2018-06-19
Mbalmayo	11.5	maintenance	Africa/Douala	3.51667	2012-11-11
Glendale	-118.25508	maintenance	America/Los_Angeles	34.14251	01/17/2016, 00:00:00
Pontevedra	-58.70072	good	America/Argentina/Buenos_Aires	-34.74785	2013-01-27
Punta Gorda Isles	-82.07842	accep	America/New_York	26.91756	12 Aug 2013
Muskogee	-95.36969	average	America/Chicago	35.74788	2013/12/05
Artsyz	29.41824	accep	Europe/Kiev	45.99194	2014/05/01
Ventimiglia	7.60872	maintenance	Europe/Rome	43.78956	2016/04/01
Sishui	117.27583	good	Asia/Shanghai	35.64889	04/02/2017, 00:00:00
Thomazeau	-72.09391	average	America/Port-au-Prince	18.65297	10/26/2015, 00:00:00
Guli	120.03308	accep	Asia/Shanghai	28.88162	2021-11-11
Bryn Mawr-Skyway	-122.24092	good	America/Los_Angeles	47.4943	2019-08-08
Woodbridge	-74.28459	building	America/New_York	40.5576	2013/07/03
Gudermes	46.10925	accep	Europe/Moscow	43.35071	2014-03-22
Belper	-1.48119	good	Europe/London	53.0233	03/08/2016, 00:00:00
Gronau	7.02238	excellent	Europe/Berlin	52.21099	10/01/2018, 00:00:00
Kearns	-111.99633	maintenance	America/Denver	40.65995	04/01/2015, 00:00:00
Annaka	138.89585	average	Asia/Tokyo	36.33011	19 Nov 2013
Hita	130.94098	excellent	Asia/Tokyo	33.3213	12/28/2020, 00:00:00
Kireyevsk	37.92792	accep	Europe/Moscow	53.93361	08 Dec 2021
Caravaca	-1.86343	maintenance	Europe/Madrid	38.10558	2014-08-18
Tebingtinggi	99.1625	good	Asia/Jakarta	3.3285	2018-03-03
Riverbank	-120.93549	good	America/Los_Angeles	37.73604	2018/05/01
Mirriah	9.15013	excellent	Africa/Niamey	13.70727	2019-11-08
Inawashiro	140.11667	building	Asia/Tokyo	37.56667	05/22/2019, 00:00:00
Ajdabiya	20.22625	building	Africa/Tripoli	30.75545	01 Apr 2022
Losser	7.00417	excellent	Europe/Amsterdam	52.26083	2014/07/09
Markham	-79.2663	good	America/Toronto	43.86682	2020-12-16
Ganei Tikva	34.8732	excellent	Asia/Jerusalem	32.05971	2020/02/11
Pucheng	118.53333	good	Asia/Shanghai	27.92333	07 Apr 2013
Rosedale	-76.51552	accep	America/New_York	39.32011	18 Sep 2019
Bhit Shah	68.49143	good	Asia/Karachi	25.80565	05 Oct 2018
Aistala	88.58	excellent	Asia/Kolkata	23.18	2014-06-13
Aurora	-104.83192	accep	America/Denver	39.72943	23 Nov 2020
Tharu Shah	68.11759	accep	Asia/Karachi	26.9423	2021-08-08
Novelda	-0.76773	average	Europe/Madrid	38.38479	31 Jan 2022
Dax	-1.05366	accep	Europe/Paris	43.71032	03/19/2017, 00:00:00
Lexington	-81.23621	good	America/New_York	33.98154	2013/12/13
Hudiksvall	17.10558	accep	Europe/Stockholm	61.72744	2015/09/05
Diwek	112.23109	good	Asia/Jakarta	-7.57897	2021/07/21
Pahrump	-115.98391	excellent	America/Los_Angeles	36.20829	11 Jan 2014
Wacheng	114.51667	average	Asia/Shanghai	33.78333	15 Jun 2018
Caravaca	-1.86343	average	Europe/Madrid	38.10558	05/29/2014, 00:00:00
Santa Rosa Jauregui	-100.44843	accep	America/Mexico_City	20.74122	07/07/2017, 00:00:00
Carindale	153.10236	building	Australia/Brisbane	-27.50578	10/19/2012, 00:00:00
Dawei	98.19151	good	Asia/Yangon	14.0823	02/15/2019, 00:00:00
Bensheim	8.61839	good	Europe/Berlin	49.68369	15 Jul 2018
Hutchinson	-97.92977	excellent	America/Chicago	38.06084	02/15/2016, 00:00:00
Stuttgart	9.17702	good	Europe/Berlin	48.78232	2016/02/17
Magong	119.58627	accep	Asia/Taipei	23.5654	04/29/2021, 00:00:00
Kireyevsk	37.92792	excellent	Europe/Moscow	53.93361	16 Apr 2019
Volla	14.34085	excellent	Europe/Rome	40.87363	26 Aug 2015
Sterling	-77.4286	maintenance	America/New_York	39.00622	10 Jul 2022
Lons-le-Saunier	5.55575	good	Europe/Paris	46.67535	10/10/2019, 00:00:00
Tudela	-1.60452	average	Europe/Madrid	42.06166	2018/10/17
Newbury	-1.32471	excellent	Europe/London	51.40148	2018/05/01
Goyang-si	126.835	acceptable	Asia/Seoul	37.65639	2015/08/29
Dawei	98.19151	accep	Asia/Yangon	14.0823	2013-02-25
Vestavia Hills	-86.78777	maintenance	America/Chicago	33.44872	10 May 2019
Guli	120.03308	good	Asia/Shanghai	28.88162	2016-01-28
Diwek	112.23109	maintenance	Asia/Jakarta	-7.57897	11/02/2014, 00:00:00
Waterbury	-73.0515	excellent	America/New_York	41.55815	2020-05-30
Zaozhuang	117.55417	maintenance	Asia/Shanghai	34.86472	12/17/2013, 00:00:00
Soroca	28.28489	accep	Europe/Chisinau	48.15659	2022-03-19
Devizes	-1.99421	maintenance	Europe/London	51.35084	22 Mar 2013
Shinshiro	137.5	good	Asia/Tokyo	34.9	2017-11-03
Culemborg	5.22778	average	Europe/Amsterdam	51.955	2013-09-09
Gariadhar	71.57737	accep	Asia/Kolkata	21.53889	2019-12-04
Nonsan	127.08472	good	Asia/Seoul	36.20389	03 Apr 2019
Kherson	32.6178	accep	Europe/Kiev	46.65581	2013-03-17
Moga	75.16878	good	Asia/Kolkata	30.81383	05 Sep 2016
Elamanchili	82.85749	average	Asia/Kolkata	17.54907	23 Oct 2017
Portogruaro	12.84052	accep	Europe/Rome	45.78071	2021/02/02
Elamanchili	82.85749	excellent	Asia/Kolkata	17.54907	08/22/2021, 00:00:00
Rutherglen	-4.21376	average	Europe/London	55.82885	06/14/2022, 00:00:00
Marly-le-Roi	2.08333	average	Europe/Paris	48.86667	2018/01/26
Zhoushan	122.20488	good	Asia/Shanghai	29.98869	2015-12-29
Tadmur	38.28402	excellent	Asia/Damascus	34.5624	2019/09/19
Itabirito	-43.80139	excellent	America/Sao_Paulo	-20.25333	2014-08-10
Hutchinson	-97.92977	building	America/Chicago	38.06084	03 Sep 2020
Marburg an der Lahn	8.77069	average	Europe/Berlin	50.80904	14 Mar 2014
Rutland	-72.97261	maintenance	America/New_York	43.61062	2020/12/13
Copperas Cove	-97.90308	accep	America/Chicago	31.12406	11/19/2021, 00:00:00
Karbala	44.02488	average	Asia/Baghdad	32.61603	2020/06/07
Larkana	68.21204	accep	Asia/Karachi	27.55898	2022-09-13
Kundla	71.30633	acceptable	Asia/Kolkata	21.34222	05 May 2015
Surbiton	-0.29825	average	Europe/London	51.39148	08/01/2020, 00:00:00
Zacoalco de Torres	-103.5687	good	America/Mexico_City	20.22816	09 Sep 2013
Sukabumi	106.92667	average	Asia/Jakarta	-6.91806	2021-02-10
Supaul	86.59509	accep	Asia/Kolkata	26.11527	2021-07-28
Sorsogon	123.99333	excellent	Asia/Manila	12.97389	2012-11-10
Charlottenburg-Nord	13.29371	accep	Europe/Berlin	52.53048	2019-08-16
Talence	-0.59543	accep	Europe/Paris	44.80477	2016-06-20
Amposta	0.57856	average	Europe/Madrid	40.70995	12/14/2013, 00:00:00
Sun City Center	-82.35176	average	America/New_York	27.71809	2013/08/03
Afragola	14.30935	accep	Europe/Rome	40.92298	2020/02/18
Port Huron	-82.42491	building	America/Detroit	42.97086	05/31/2015, 00:00:00
San Juan de Aznalfarache	-6.03731	excellent	Europe/Madrid	37.35813	08/05/2016, 00:00:00
T’aebaek	128.9889	good	Asia/Seoul	37.1759	07 Apr 2014
Boo	18.28333	building	Europe/Stockholm	59.33333	2017-01-02
San Bernardo	-70.6996	average	America/Santiago	-33.59217	04/25/2019, 00:00:00
South Whittier	-118.03917	maintenance	America/Los_Angeles	33.95015	2022/03/20
Volokolamsk	35.96944	accep	Europe/Moscow	56.03361	07 May 2019
Malden	-71.06616	maintenance	America/New_York	42.4251	27 Sep 2016
Perugia	12.38878	good	Europe/Rome	43.1122	20 Feb 2018
Calangute	73.7553	maintenance	Asia/Kolkata	15.5439	08/15/2018, 00:00:00
Kaukauna	-88.27205	average	America/Chicago	44.27804	08/31/2019, 00:00:00
Dorval	-73.75335	average	America/Toronto	45.4473	08/19/2013, 00:00:00
Covington	-84.50855	good	America/New_York	39.08367	02/02/2022, 00:00:00
Lanciano	14.39024	average	Europe/Rome	42.22718	2020/02/26
Teluk Intan	101.02083	accep	Asia/Kuala_Lumpur	4.02219	2018/11/18
Tebingtinggi	99.1625	maintenance	Asia/Jakarta	3.3285	2018/04/11
Winsford	-2.52398	building	Europe/London	53.19146	12/20/2015, 00:00:00
Charlottetown	-63.13414	excellent	America/Halifax	46.23899	02 Feb 2014
Sungurlu	34.37389	average	Europe/Istanbul	40.1675	2020-03-23
Kasangulu	15.16554	good	Africa/Kinshasa	-4.5833	2018/06/26
Sar-e Pul	65.93249	good	Asia/Kabul	36.21544	09/20/2018, 00:00:00
Sirsi	74.83554	average	Asia/Kolkata	14.62072	17 Oct 2018
Jocotepec	-103.42897	average	America/Mexico_City	20.28527	19 Dec 2018
Toyokawa	137.4	building	Asia/Tokyo	34.81667	08/26/2017, 00:00:00
Finnentrop	7.973	building	Europe/Berlin	51.168	21 Sep 2018
Beveren	4.25633	excellent	Europe/Brussels	51.21187	06 Jul 2017
Santa Gertrudes	-47.53028	average	America/Sao_Paulo	-22.45667	2022-08-31
Pilkhua	77.656	building	Asia/Kolkata	28.71271	2014-02-16
Hushitai	123.50266	maintenance	Asia/Shanghai	41.94175	2021/11/17
Buynaksk	47.1192	excellent	Europe/Moscow	42.819	2014/09/11
San Gabriel	-118.10583	building	America/Los_Angeles	34.09611	2019/01/08
Idenao	9.00472	building	Africa/Douala	4.2475	2020-12-12
Albstadt	9.02596	maintenance	Europe/Berlin	48.21644	07/30/2017, 00:00:00
Newburgh	-74.01042	average	America/New_York	41.50343	14 Oct 2018
Palm Desert	-116.37697	average	America/Los_Angeles	33.72255	01/28/2018, 00:00:00
Novopavlovsk	43.63417	building	Europe/Moscow	43.96222	17 Oct 2016
Glendale	-118.25508	average	America/Los_Angeles	34.14251	26 Apr 2020
Oulmes	-6.00137	good	Africa/Casablanca	33.42585	2021/11/25
Shuangcheng	126.28333	excellent	Asia/Shanghai	45.35	08/27/2013, 00:00:00
Hita	130.94098	average	Asia/Tokyo	33.3213	24 Sep 2020
Hoxtolgay	86.00214	maintenance	Asia/Urumqi	46.51872	2018/07/04
Oktyabr’skiy	53.47103	average	Asia/Yekaterinburg	54.48147	2020-08-07
Saraj	21.32778	excellent	Europe/Skopje	42	07 Jan 2015
Sassari	8.55552	accep	Europe/Rome	40.72586	2016/08/26
Indio	-116.21677	excellent	America/Los_Angeles	33.7207	10/06/2017, 00:00:00
Hueytown	-86.99666	average	America/Chicago	33.45122	10/26/2020, 00:00:00
Shinshiro	137.5	good	Asia/Tokyo	34.9	28 May 2016
Sydney	-60.1831	maintenance	America/Glace_Bay	46.1351	2013-02-07
Rutherglen	-4.21376	average	Europe/London	55.82885	08/31/2022, 00:00:00
Bobigny	2.45012	good	Europe/Paris	48.90982	2018-02-11
Leioa	-2.98884	good	Europe/Madrid	43.32686	2013-12-11
Namerikawa	137.36215	excellent	Asia/Tokyo	36.75965	08/29/2018, 00:00:00
Le Chesnay	2.12213	excellent	Europe/Paris	48.8222	08/27/2021, 00:00:00
Hlohovec	17.8031	building	Europe/Bratislava	48.43174	05/20/2014, 00:00:00
Gainsborough	-0.76667	good	Europe/London	53.38333	2016-12-14
Bogovinje	20.91361	maintenance	Europe/Skopje	41.92361	2015-07-17
Tiruppuvanam	78.25795	good	Asia/Kolkata	9.82564	2020-12-01
Belper	-1.48119	average	Europe/London	53.0233	22 Jul 2019
Gaya	9.0027	building	Africa/Lagos	11.86064	2014-10-25
Alatyr’	46.5813	average	Europe/Moscow	54.8421	02/09/2016, 00:00:00
Tinaquillo	-68.30472	accep	America/Caracas	9.91861	2021/01/11
Aloha	-122.86705	good	America/Los_Angeles	45.49428	20 Apr 2020
Newburgh	-74.01042	accep	America/New_York	41.50343	19 Jan 2016
Searcy	-91.73625	excellent	America/Chicago	35.25064	2018-05-23
Denderleeuw	4.07601	good	Europe/Brussels	50.88506	2013-08-15
Santa Rosa Jauregui	-100.44843	accep	America/Mexico_City	20.74122	26 Mar 2017
Yeysk	38.2739	excellent	Europe/Moscow	46.7055	2021/06/06
Edremit	27.02444	average	Europe/Istanbul	39.59611	2019/12/02
Karlovy Vary	12.87117	accep	Europe/Prague	50.23271	26 Jan 2019
Onex	6.10237	maitennce	Europe/Zurich	46.18396	05/29/2016, 00:00:00
Wittenau	13.32127	average	Europe/Berlin	52.59319	03/31/2018, 00:00:00
Udumalaippettai	77.24779	maintenance	Asia/Kolkata	10.58806	2016-06-03
Sojat	73.66633	average	Asia/Kolkata	25.92493	03/07/2017, 00:00:00
Patnos	42.85693	average	Europe/Istanbul	39.22493	13 Apr 2022
Baza	-2.77259	good	Europe/Madrid	37.49073	06/29/2013, 00:00:00
San Juan de Aznalfarache	-6.03731	accep	Europe/Madrid	37.35813	2017/10/18
Tudela	-1.60452	accep	Europe/Madrid	42.06166	2017-12-20
Kherson	32.6178	good	Europe/Kiev	46.65581	2018/10/18
Yanliang	109.22921	average	Asia/Shanghai	34.65918	09 Feb 2022
Hutchinson	-97.92977	average	America/Chicago	38.06084	2021-12-30
Quimper	-4.1	average	Europe/Paris	48	02/08/2021, 00:00:00
Troutdale	-122.38731	accep	America/Los_Angeles	45.53929	2018/08/06
Kundla	71.30633	good	Asia/Kolkata	21.34222	31 Jan 2018
Aschaffenburg	9.15214	maintenance	Europe/Berlin	49.97704	05/25/2016, 00:00:00
Punta Gorda Isles	-82.07842	maintenance	America/New_York	26.91756	2017/12/10
Camayenne	-13.68778	maintenance	Africa/Conakry	9.535	09/01/2018, 00:00:00
Polohy	36.25361	building	Europe/Zaporozhye	47.48444	05/11/2018, 00:00:00
Zaozhuang	117.55417	accep	Asia/Shanghai	34.86472	2020-05-30
Sar-e Pul	65.93249	average	Asia/Kabul	36.21544	2020/04/06
Troutdale	-122.38731	excellent	America/Los_Angeles	45.53929	2015-01-08
Uran	72.93924	maintenance	Asia/Kolkata	18.87813	19 Nov 2012
Eastwood	151.08057	accep	Australia/Sydney	-33.79176	10/17/2019, 00:00:00
Volla	14.34085	maintenance	Europe/Rome	40.87363	2017/01/03
Thetford	0.75	good	Europe/London	52.41667	07/17/2021, 00:00:00
Soure	-48.52333	excellent	America/Belem	-0.71667	19 Jul 2018
Clermont	-81.77285	accep	America/New_York	28.54944	10/26/2013, 00:00:00
Villabate	13.44275	excellent	Europe/Rome	38.07789	22 Feb 2014
Sceaux	2.29026	building	Europe/Paris	48.77644	16 Jun 2018
Tonota	27.46153	accep	Africa/Gaborone	-21.44236	2021-08-19
Farafenni	-15.6	average	Africa/Banjul	13.56667	2020-09-09
Crystal Lake	-88.3162	maintenance	America/Chicago	42.24113	2022/08/16
Albstadt	9.02596	average	Europe/Berlin	48.21644	2015-05-29
Svatove	38.15035	good	Europe/Zaporozhye	49.41029	17 Aug 2022
Puerto Colombia	-74.95472	building	America/Bogota	10.98778	2018-01-17
Myawadi	98.50893	excellent	Asia/Yangon	16.68911	2014-02-26
Rutland	-72.97261	excellent	America/New_York	43.61062	12 Dec 2019
Alwaye	76.35484	accep	Asia/Kolkata	10.10649	11 Mar 2019
Dumont	-73.99681	accep	America/New_York	40.94065	2016-08-06
Zeitz	12.1369	excellent	Europe/Berlin	51.04962	2018/09/13
Catania	15.07041	good	Europe/Rome	37.49223	2022-08-31
Hechingen	8.96317	average	Europe/Berlin	48.35149	12 Jan 2017
Sishui	117.27583	average	Asia/Shanghai	35.64889	11/13/2013, 00:00:00
Markham	-79.2663	accep	America/Toronto	43.86682	2013/08/02
Aguadilla	-67.15407	good	America/Puerto_Rico	18.42745	2014-04-15
Saint-Omer	2.25	good	Europe/Paris	50.75	24 Jul 2015
Hendala	79.883	good	Asia/Colombo	6.9909	03/28/2021, 00:00:00
Dalsingh Sarai	85.83636	good	Asia/Kolkata	25.66795	04/11/2019, 00:00:00
Kirchlengern	8.63333	good	Europe/Berlin	52.2	11 May 2015
Jinotepe	-86.19903	average	America/Managua	11.84962	2016/01/21
Lower West Side	-87.66561	average	America/Chicago	41.8542	2012/11/16
Kaukauna	-88.27205	accep	America/Chicago	44.27804	17 Nov 2015
Baza	-2.77259	average	Europe/Madrid	37.49073	2017/09/26
Hita	130.94098	excellent	Asia/Tokyo	33.3213	09 Oct 2021
Izluchinsk	76.92421	accep	Asia/Yekaterinburg	60.97944	2014/09/24
Dahlem	13.28702	good	Europe/Berlin	52.4581	25 Dec 2016
Longgang	120.33063	average	Asia/Shanghai	37.65181	2019-12-11
Weimar	11.32903	accep	Europe/Berlin	50.9803	08 May 2013
Roseto degli Abruzzi	14.01481	average	Europe/Rome	42.67164	2013-10-01
Kamakura	139.55028	average	Asia/Tokyo	35.30889	05/08/2013, 00:00:00
Lons-le-Saunier	5.55575	average	Europe/Paris	46.67535	2021/03/12
Keene	-72.27814	excellent	America/New_York	42.93369	08/20/2019, 00:00:00
Muskogee	-95.36969	maintenance	America/Chicago	35.74788	2015/07/23
Tupiza	-65.71875	excellent	America/La_Paz	-21.44345	04 Nov 2012
Randudongkal	109.3243	maintenance	Asia/Jakarta	-7.0981	2017/03/12
Itabirito	-43.80139	average	America/Sao_Paulo	-20.25333	2022/07/27
Malaut	74.4818	good	Asia/Kolkata	30.21121	04/15/2021, 00:00:00
Saraktash	56.36091	excellent	Asia/Yekaterinburg	51.78771	01/17/2013, 00:00:00
Brentwood Estates	-86.77917	excellent	America/Chicago	36.02506	26 Jul 2022
Paracho de Verduzco	-102.04897	average	America/Mexico_City	19.64745	2013-03-31
Shimotoda	139.6853	accep	Asia/Tokyo	35.815	2022/04/03
Juhaynah	31.4976	average	Africa/Cairo	26.67319	29 Sep 2018
Yingkou	122.22833	average	Asia/Shanghai	40.66482	02/11/2021, 00:00:00
Shimotoda	139.6853	good	Asia/Tokyo	35.815	2020/08/04
Beni Douala	4.08282	good	Africa/Algiers	36.61954	2020/05/23
Masbate	123.62494	building	Asia/Manila	12.37169	06 Sep 2019
Saratoga Springs	-111.90466	excellent	America/Denver	40.34912	2014/02/03
Karben	8.77155	average	Europe/Berlin	50.23019	2016-06-19
Lons-le-Saunier	5.55575	building	Europe/Paris	46.67535	13 Nov 2020
South Whittier	-118.03917	average	America/Los_Angeles	33.95015	02/27/2018, 00:00:00
Belle Glade	-80.66756	accep	America/New_York	26.68451	02/05/2014, 00:00:00
Espoo	24.6522	good	Europe/Helsinki	60.2052	06/24/2017, 00:00:00
Tchaourou	2.59753	excellent	Africa/Porto-Novo	8.88649	28 Nov 2015
Damnoen Saduak	99.95469	accep	Asia/Bangkok	13.51825	06 Aug 2020
Sassari	8.55552	average	Europe/Rome	40.72586	2016/06/27
Korschenbroich	6.51352	average	Europe/Berlin	51.19139	08/19/2016, 00:00:00
Split	16.43915	accep	Europe/Zagreb	43.50891	2021-04-28
Sillanwali	72.54064	maintenance	Asia/Karachi	31.82539	25 May 2018
Motomachi	144.09638	maintenance	Asia/Tokyo	43.82634	08/29/2016, 00:00:00
Wesseling	6.9747	building	Europe/Berlin	50.82709	2013-10-11
Woodlawn	-76.72803	accep	America/New_York	39.32288	01 Jun 2018
Marburg an der Lahn	8.77069	accep	Europe/Berlin	50.80904	2020-12-23
Lodwar	35.59642	good	Africa/Nairobi	3.11988	26 Oct 2015
Beaconsfield	-73.86586	good	America/Toronto	45.43341	02/01/2020, 00:00:00
Marseille 11	5.4384	building	Europe/Paris	43.2907	2013/08/03
Bhuban	85.83334	average	Asia/Kolkata	20.88197	13 Feb 2013
Collinwood	-81.56929	good	America/New_York	41.55838	2014-05-22
Yablonovskiy	38.94324	good	Europe/Moscow	44.98901	2015-11-11
Camayenne	-13.68778	good	Africa/Conakry	9.535	2018/06/17
Hushitai	123.50266	building	Asia/Shanghai	41.94175	2016-01-31
Utica	-75.23266	accep	America/New_York	43.1009	04 Oct 2019
Bergama	27.18052	accep	Europe/Istanbul	39.12074	2021/04/07
An Muileann gCearr	-7.35	good	Europe/Dublin	53.53333	11/01/2013, 00:00:00
Kelowna	-119.48568	excellent	America/Vancouver	49.88307	2018/12/19
Walton-on-the-Naze	1.26738	excellent	Europe/London	51.84819	24 Jan 2019
Volokolamsk	35.96944	good	Europe/Moscow	56.03361	29 Aug 2016
Likhobory	37.56667	average	Europe/Moscow	55.85	2016/12/27
Bhit Shah	68.49143	excellent	Asia/Karachi	25.80565	08 Sep 2022
Ikalamavony	46.58333	building	Indian/Antananarivo	-21.15	05/31/2014, 00:00:00
Castelfranco Emilia	11.04979	excellent	Europe/Rome	44.59445	04/17/2022, 00:00:00
Friedberg	10.98461	good	Europe/Berlin	48.35693	2020-02-25
Le Chesnay	2.12213	good	Europe/Paris	48.8222	09/07/2019, 00:00:00
Walsrode	9.5926	accep	Europe/Berlin	52.86147	2014-06-23
Manaoag	120.4861	accep	Asia/Manila	16.0438	2013/09/04
Peabody	-70.92866	good	America/New_York	42.52787	2019/08/18
Odessa	-102.36764	average	America/Chicago	31.84568	13 Oct 2014
Fresno	-95.44744	excellent	America/Chicago	29.53885	2015-07-23
Vernon	-119.27337	excellent	America/Vancouver	50.26729	05/10/2019, 00:00:00
Radevormwald	7.36027	excellent	Europe/Berlin	51.20219	2019/05/23
Nayoro	142.45778	accep	Asia/Tokyo	44.35056	29 Nov 2014
Ehingen	9.72749	accep	Europe/Berlin	48.28259	2013-06-14
Sydney	-60.1831	good	America/Glace_Bay	46.1351	11/05/2014, 00:00:00
Thomasville	-80.08199	accep	America/New_York	35.88264	03 Mar 2016
San Jose	121.06761	average	Asia/Manila	12.35275	2015/08/24
Rutland	-72.97261	excellent	America/New_York	43.61062	31 May 2021
Fujioka	139.07204	average	Asia/Tokyo	36.24624	2015-04-27
Buynaksk	47.1192	maintenance	Europe/Moscow	42.819	06/05/2021, 00:00:00
Sheoganj	73.06784	average	Asia/Kolkata	25.13915	13 Nov 2018
Sremska Mitrovica	19.61222	average	Europe/Belgrade	44.97639	01/03/2015, 00:00:00
Lodwar	35.59642	accep	Africa/Nairobi	3.11988	07 Jun 2022
Walsrode	9.5926	building	Europe/Berlin	52.86147	11/02/2019, 00:00:00
Santa Cruz de Barahona	-71.10077	excellent	America/Santo_Domingo	18.20854	2021-04-15
Greenpoint	-73.95097	maintenance	America/New_York	40.72371	07 May 2022
Sunnyside	-120.00865	excellent	America/Los_Angeles	46.32374	12/02/2019, 00:00:00
Friedberg	10.98461	accep	Europe/Berlin	48.35693	31 May 2019
Mwandiga	29.65806	average	Africa/Dar_es_Salaam	-4.83	12/17/2016, 00:00:00
Esperanza	-60.93173	maintenance	America/Argentina/Cordoba	-31.4488	2021-01-12
Dharmapuri	78.15794	maintenance	Asia/Kolkata	12.1277	2022/06/20
Puerto Colombia	-74.95472	maintenance	America/Bogota	10.98778	2021/04/01
Bothell West	-122.24064	average	America/Los_Angeles	47.80527	2018-09-16
Houthalen	5.37429	average	Europe/Brussels	51.03427	12/06/2018, 00:00:00
Hoxtolgay	86.00214	accep	Asia/Urumqi	46.51872	10 Jun 2020
Barnet	-0.2	average	Europe/London	51.65	2017-03-10
Severodvinsk	39.8302	good	Europe/Moscow	64.5635	2017-09-11
Olupona	4.18333	excellent	Africa/Lagos	7.6	05/19/2021, 00:00:00
Jaruco	-82.00919	good	America/Havana	23.04419	2020-08-13
Pune	73.85535	excellent	Asia/Kolkata	18.51957	2016/09/03
Talavera de la Reina	-4.83076	maintenance	Europe/Madrid	39.96348	2014/06/05
Valletta	14.51472	good	Europe/Malta	35.89972	2016/05/08
Muskogee	-95.36969	maintenance	America/Chicago	35.74788	22 Jan 2019
Nyahururu	36.36339	excellent	Africa/Nairobi	0.03813	2015-03-11
Sicklerville	-74.96933	good	America/New_York	39.71734	07/25/2014, 00:00:00
Troutdale	-122.38731	excellent	America/Los_Angeles	45.53929	08 Mar 2018
Inverness	-4.22398	accep	Europe/London	57.47908	2014/09/22
Madhipura	86.79271	excellent	Asia/Kolkata	25.92127	16 Feb 2014
Volla	14.34085	accep	Europe/Rome	40.87363	2016-07-17
Timaru	171.25364	average	Pacific/Auckland	-44.39672	12 Jul 2016
Westbury	-2.1875	average	Europe/London	51.26	2019/08/06
Supaul	86.59509	good	Asia/Kolkata	26.11527	2012-12-30
Le Chesnay	2.12213	building	Europe/Paris	48.8222	2016/01/05
Petrozavodsk	34.34691	accep	Europe/Moscow	61.78491	04/05/2019, 00:00:00
Friedberg	10.98461	building	Europe/Berlin	48.35693	2016/08/12
Bad Segeberg	10.30215	accep	Europe/Berlin	53.94313	06/17/2015, 00:00:00
Falconara Marittima	13.39954	good	Europe/Rome	43.62558	01/01/2016, 00:00:00
Bergama	27.18052	average	Europe/Istanbul	39.12074	20 Aug 2019
Selby	-1.06667	excellent	Europe/London	53.78333	09 Mar 2020
Beni Khiar	10.78222	accep	Africa/Tunis	36.46917	2021/03/14
Jashpurnagar	84.13864	excellent	Asia/Kolkata	22.88783	03/27/2017, 00:00:00
Parola	75.11937	average	Asia/Kolkata	20.88098	2017/11/20
Gorgonzola	9.40531	excellent	Europe/Rome	45.53069	16 Oct 2016
Malaut	74.4818	good	Asia/Kolkata	30.21121	2017-11-30
Frederiksberg	12.53463	building	Europe/Copenhagen	55.67938	12/23/2016, 00:00:00
Verl	8.51667	building	Europe/Berlin	51.88333	2020/08/03
Aberdeen	-2.09814	excellent	Europe/London	57.14369	15 Feb 2016
Resplendor	-41.25528	excellent	America/Sao_Paulo	-19.32556	09/21/2017, 00:00:00
Temara	-6.90656	average	Africa/Casablanca	33.92866	18 Feb 2020
Redding	-122.39168	average	America/Los_Angeles	40.58654	17 Oct 2013
Eppingen	8.91229	excellent	Europe/Berlin	49.13645	09/06/2015, 00:00:00
Wheelers Hill	145.18333	maintenance	Australia/Melbourne	-37.9	07/26/2014, 00:00:00
Harrisburg	-76.88442	building	America/New_York	40.2737	2017/01/28
Bourbonnais	-87.88754	accep	America/Chicago	41.15376	31 May 2013
les Escaldes	1.53414	excellent	Europe/Andorra	42.50729	10/29/2021, 00:00:00
Losser	7.00417	excellent	Europe/Amsterdam	52.26083	2016-11-24
Hofheim am Taunus	8.4493	accep	Europe/Berlin	50.09019	11/08/2018, 00:00:00
Kearns	-111.99633	excellent	America/Denver	40.65995	07 Sep 2014
Soure	-48.52333	excellent	America/Belem	-0.71667	2022/06/06
Barneveld	5.58472	good	Europe/Amsterdam	52.14	26 Jan 2013
Gudermes	46.10925	accep	Europe/Moscow	43.35071	2014-06-26
Dehiwala-Mount Lavinia	79.87116	building	Asia/Colombo	6.84019	2017-10-16
Guapimirim	-42.98194	good	America/Sao_Paulo	-22.53722	2021-12-18
Shimotoda	139.6853	average	Asia/Tokyo	35.815	2014/12/17
