location	longitude	QoS	code	revision	latitude
Europe/London	-0.91979	average	GB	2017/09/25	51.42708
America/Sao_Paulo	-47.53028	building	BR	26 Aug 2016	-22.45667
Africa/Lubumbashi	24.99798	accep	CD	07/31/2022, 00:00:00	-8.73508
Asia/Manila	120.57224	excellent	PH	2020/09/27	15.72892
Asia/Almaty	77.0202	excellent	KZ	02/28/2017, 00:00:00	43.41949
Asia/Phnom_Penh	102.56365	maintenance	KH	2016/02/06	13.65805
Europe/London	-0.29825	average	GB	2016-07-24	51.39148
America/Argentina/Ushuaia	-68.3	average	AR	30 Jan 2019	-54.8
Asia/Yekaterinburg	59.4839	accep	RU	08/09/2020, 00:00:00	58.7002
Europe/London	-2.01111	building	GB	2021/12/28	52.66277
Africa/Dar_es_Salaam	33	average	TZ	08/25/2020, 00:00:00	-2.68333
Asia/Kolkata	88.18466	maintenance	IN	2020-12-19	22.19303
Asia/Manila	121.12251	excellent	PH	03/16/2014, 00:00:00	14.62578
Europe/Moscow	53.26023	excellent	RU	2020-08-11	54.39304
Asia/Phnom_Penh	102.56365	maintenance	KH	2015/09/09	13.65805
Europe/Paris	2.29026	good	FR	2016/12/26	48.77644
Asia/Jerusalem	34.8732	good	IL	2014-09-05	32.05971
Asia/Yekaterinburg	57.3552	excellent	RU	2016/08/31	51.4781
Europe/London	-1.32471	average	GB	24 Mar 2018	51.40148
Europe/Berlin	9.15214	excellent	DE	2022-02-03	49.97704
Europe/London	0.93333	good	GB	13 Nov 2012	52.68333
Asia/Karachi	70.96699	average	PK	06/11/2019, 00:00:00	30.46907
Europe/Berlin	12.16179	building	DE	01 Jul 2013	48.52961
Asia/Ulaanbaatar	106.88324	maintenance	MN	2022-01-14	47.90771
Asia/Kolkata	72.68533	good	IN	02/17/2020, 00:00:00	22.75218
Asia/Kolkata	88.28637	excellent	IN	09 Jun 2015	23.07492
America/Los_Angeles	-120.00865	good	US	12/12/2015, 00:00:00	46.32374
Europe/Minsk	25.8191	accep	BY	2017-04-05	53.5942
Africa/Tunis	10.58082	average	TN	2016/10/24	35.72917
Europe/London	-2.09814	accep	GB	27 Jun 2021	57.14369
Europe/Paris	5.55575	excellent	FR	2014-05-12	46.67535
Europe/Paris	2.08333	accep	FR	01 Feb 2022	48.86667
Europe/Rome	11.04979	building	IT	2022-07-15	44.59445
Africa/Dar_es_Salaam	38.01667	excellent	TZ	2019-08-18	-5.41667
Asia/Tokyo	139.6853	average	JP	2015-03-06	35.815
Europe/Berlin	9.72749	average	DE	05 Jul 2013	48.28259
America/New_York	-71.05977	average	US	2013/04/18	42.35843
America/New_York	-71.08977	building	US	2018/09/21	41.9001
Europe/London	-2.12139	good	GB	2014/01/05	52.48173
America/Phoenix	-111.78903	average	US	2013/02/20	33.35283
Africa/Abidjan	-3.59625	accep	CI	2014-06-23	5.27247
Asia/Kolkata	75.11937	accep	IN	10/26/2015, 00:00:00	20.88098
America/New_York	-77.37331	building	US	2017/09/15	37.60876
Africa/Tunis	10.78222	accep	TN	2015-05-21	36.46917
Asia/Kolkata	78.23456	average	IN	2014-12-17	28.92694
Asia/Kolkata	77.9129	excellent	IN	2022/05/15	25.6439
America/Mexico_City	-94.91386	excellent	MX	09/03/2018, 00:00:00	17.94979
Asia/Kolkata	74.80555	average	IN	2022/03/13	34.08565
Europe/Berlin	6.51352	average	DE	09 Jan 2015	51.19139
Europe/Moscow	53.26023	building	RU	2021-08-29	54.39304
America/Argentina/Tucuman	-65.61427	excellent	AR	17 Jul 2021	-27.4338
Asia/Kolkata	77.5609	good	IN	06/22/2017, 00:00:00	11.00599
Europe/Brussels	4.69889	maintenance	BE	2014-05-14	50.56149
Asia/Kolkata	88.18466	maintenance	IN	23 Oct 2020	22.19303
Asia/Shanghai	117.33333	average	CN	2016/11/27	34.85
Asia/Novokuznetsk	85.4265	good	RU	2022/08/22	55.8736
Europe/Rome	15.00913	excellent	IT	2019-12-10	37.51803
Europe/Moscow	37.38115	excellent	RU	24 Jan 2013	55.63711
Europe/Sofia	23.225	maintenance	BG	2016/10/28	43.4125
Africa/Casablanca	-2.16	excellent	MA	05/21/2018, 00:00:00	34.31
Europe/London	-2.98333	excellent	GB	06/17/2017, 00:00:00	53.83333
Asia/Kolkata	73.06784	excellent	IN	2015-06-24	25.13915
Asia/Makassar	117.59152	average	ID	05/17/2021, 00:00:00	3.31332
Asia/Tokyo	140.73667	good	JP	07/08/2021, 00:00:00	41.77583
Europe/Paris	4.63031	excellent	FR	2014/11/06	43.67681
Europe/Rome	11.412	excellent	IT	2019-06-27	45.50369
Europe/Rome	12.84052	good	IT	2014/09/13	45.78071
America/Chicago	-88.42814	building	US	05/25/2020, 00:00:00	42.16808
Africa/Lagos	12.19458	building	NG	10/11/2018, 00:00:00	10.61285
Europe/Paris	5.4384	excellent	FR	2020/07/19	43.2907
Africa/Banjul	-15.6	accep	GM	12/31/2019, 00:00:00	13.56667
America/New_York	-81.56929	accep	US	2016/06/16	41.55838
Europe/Rome	8.88104	average	IT	2013-04-02	45.79377
Asia/Shanghai	120.14278	average	CN	2019/04/11	32.50611
America/Chicago	-88.3162	average	US	2017/11/29	42.24113
Asia/Kuching	116.10146	accep	MY	2015-04-09	5.90702
America/New_York	-76.51552	average	US	09/28/2018, 00:00:00	39.32011
Europe/Moscow	37.49338	excellent	RU	2013/10/29	55.62047
Asia/Shanghai	123.17306	good	CN	19 Apr 2017	41.27194
Europe/Kiev	32.6178	accep	UA	08/15/2014, 00:00:00	46.65581
Europe/Zaporozhye	36.25361	average	UA	04/18/2019, 00:00:00	47.48444
Europe/Brussels	3.16667	good	BE	09/17/2022, 00:00:00	50.8
Africa/Casablanca	-6.90656	building	MA	02/17/2013, 00:00:00	33.92866
Europe/Rome	13.57661	average	IT	14 Jun 2020	37.31065
America/Sao_Paulo	-41.25528	good	BR	13 Feb 2018	-19.32556
Asia/Manila	123.89071	excellent	PH	2021-08-23	10.31672
Asia/Tokyo	138.31667	average	JP	2019-11-23	36.65
Asia/Yekaterinburg	53.47103	maintenance	RU	12/25/2015, 00:00:00	54.48147
America/Chicago	-97.90308	excellent	US	09/06/2016, 00:00:00	31.12406
Europe/Berlin	10.5511	good	DE	07/02/2021, 00:00:00	52.47774
Europe/Moscow	32.86389	good	RU	2019/12/23	53.95278
Europe/Brussels	4.52529	average	BE	2020-01-19	50.71229
Asia/Karachi	68.49143	maintenance	PK	03/01/2020, 00:00:00	25.80565
Asia/Jakarta	106.92667	maintenance	ID	2020-01-10	-6.91806
Asia/Kolkata	72.93924	average	IN	2019-08-07	18.87813
Asia/Yangon	98.50893	excellent	MM	09 Apr 2020	16.68911
Africa/Algiers	1.04945	accep	DZ	2014-08-11	35.06544
Asia/Hebron	35.23388	excellent	PS	08 Mar 2018	31.78336
Europe/Brussels	4.69889	building	BE	2013-07-30	50.56149
Asia/Bangkok	103.65309	building	TH	2020/12/18	16.0567
America/Sao_Paulo	-52.2	accep	BR	2014-09-16	-28.44917
America/Argentina/Buenos_Aires	-59.13316	average	AR	2016/08/09	-37.32167
Africa/Niamey	9.15013	good	NE	12/25/2020, 00:00:00	13.70727
Pacific/Auckland	178.00417	maintenance	NZ	13 Jun 2022	-38.65333
Europe/Rome	9.32241	accep	IT	2018/12/15	44.31771
Asia/Yekaterinburg	59.80222	accep	RU	30 Jul 2017	58.63667
Europe/Paris	2.2469	excellent	FR	2017/11/05	48.90472
America/Maceio	-37.03861	accep	BR	03 Jun 2021	-10.90889
Asia/Kolkata	78.23456	good	IN	2016/07/05	28.92694
Asia/Yekaterinburg	60.8019	average	RU	2017/11/18	56.9083
Asia/Kuala_Lumpur	103.81667	accep	MY	12/10/2017, 00:00:00	1.6
Europe/London	-1.32471	accep	GB	08/20/2014, 00:00:00	51.40148
Europe/Moscow	38.16694	excellent	RU	2018/05/07	54.84444
America/Mexico_City	-93.11308	average	MX	2021-07-18	16.75973
America/Indiana/Indianapolis	-85.76942	good	US	2017/12/26	39.78504
Asia/Tokyo	140.11667	good	JP	03/23/2017, 00:00:00	37.56667
Asia/Kolkata	72.85107	excellent	IN	02/27/2016, 00:00:00	19.30157
Europe/Brussels	3.20639	good	BE	08/25/2016, 00:00:00	50.74497
Africa/Casablanca	-6.00137	good	MA	12/24/2017, 00:00:00	33.42585
Africa/Porto-Novo	2.59753	maintenance	BJ	2014/05/17	8.88649
Europe/Rome	14.72443	excellent	IT	15 Mar 2019	36.92574
Africa/Dar_es_Salaam	38.66667	maintenance	TZ	2019-06-15	-6.25
Europe/Moscow	47.1192	accep	RU	2015-07-08	42.819
Asia/Karachi	75.06583	building	PK	09/12/2017, 00:00:00	32.17629
Pacific/Honolulu	-156.47432	accep	US	2015/02/26	20.88953
Atlantic/Azores	-25.66689	building	PT	2014-12-19	37.74615
Asia/Tokyo	140.73667	excellent	JP	13 Sep 2015	41.77583
Europe/Istanbul	37.3825	average	TR	2020/02/26	37.05944
Europe/Moscow	38.12408	good	RU	24 Dec 2021	53.77166
Africa/Johannesburg	30.79165	average	ZA	2012/12/30	-27.76952
Europe/Rome	8.55552	average	IT	02 Aug 2016	40.72586
America/Los_Angeles	-122.86705	maintenance	US	2013/12/25	45.49428
Europe/Berlin	9.02596	average	DE	07/02/2013, 00:00:00	48.21644
America/Maceio	-37.03861	good	BR	27 Mar 2021	-10.90889
Australia/Perth	115.8614	excellent	AU	11/06/2017, 00:00:00	-31.95224
Africa/Johannesburg	29.00974	accep	ZA	11 Aug 2016	-24.19436
Asia/Kuala_Lumpur	101.96857	excellent	MY	07/18/2016, 00:00:00	4.88441
America/Havana	-82.4017	good	CU	2016/08/25	23.0072
Europe/Berlin	9.20427	good	DE	2020/04/17	48.49144
Africa/Casablanca	-6.90656	excellent	MA	08 Dec 2020	33.92866
America/New_York	-73.95097	good	US	07/14/2021, 00:00:00	40.72371
Europe/Paris	2.61667	excellent	FR	2015/12/01	48.98333
Pacific/Honolulu	-156.47432	average	US	2020-11-21	20.88953
Asia/Shanghai	123.17306	good	CN	2021-04-03	41.27194
Asia/Kolkata	88.18466	good	IN	25 Aug 2017	22.19303
Africa/Conakry	-13.68778	accep	GN	02/09/2014, 00:00:00	9.535
Europe/London	-0.76667	excellent	GB	2019-02-24	53.38333
America/Havana	-81.24441	maintenance	CU	2021-08-20	23.15678
Asia/Kolkata	76.56719	building	IN	2022-04-26	24.41288
Europe/Brussels	4.69889	maintenance	BE	2019-08-04	50.56149
Africa/Nairobi	34.11169	excellent	KE	2019-12-14	0.46005
America/Sao_Paulo	-52.2	excellent	BR	19 Apr 2018	-28.44917
Asia/Tokyo	137.23333	good	JP	2019/12/12	35.8
Europe/Istanbul	37.3825	building	TR	2018-01-10	37.05944
Asia/Shanghai	114.51667	average	CN	2022-02-03	33.78333
America/Indiana/Indianapolis	-85.76942	good	US	01 Nov 2013	39.78504
America/Los_Angeles	-118.10583	good	US	08/29/2015, 00:00:00	34.09611
Europe/Berlin	9.17702	excellent	DE	2016-06-29	48.78232
Africa/Nairobi	34.11169	building	KE	2020-09-19	0.46005
America/Argentina/Cordoba	-60.93173	maintenance	AR	2022-02-26	-31.4488
Europe/Rome	12.84052	excellent	IT	07/27/2022, 00:00:00	45.78071
Asia/Hong_Kong	114.10479	good	HK	01 Aug 2014	22.37066
America/New_York	-73.20483	accep	US	2019/12/26	41.16704
Europe/London	0.75	maitennce	GB	2015-05-06	52.41667
Asia/Manila	124.95278	excellent	PH	10/29/2019, 00:00:00	6.33444
Europe/Madrid	-0.76773	excellent	ES	07 May 2019	38.38479
Asia/Makassar	118.9707	good	ID	12/19/2012, 00:00:00	-3.5403
America/Martinique	-60.94228	average	MQ	2021-01-24	14.67751
Asia/Kolkata	86.68363	excellent	IN	21 Jun 2018	23.49668
America/Bogota	-73.9614	excellent	CO	2012/10/20	10.15031
America/Guayaquil	-79.00453	average	EC	2017-12-18	-2.90055
Europe/Paris	2.08333	accep	FR	2020/05/20	48.86667
Europe/Moscow	33.2525	accep	RU	06/04/2015, 00:00:00	57.97472
Africa/Accra	-2.31938	maintenance	GH	11 Jan 2022	6.46346
America/New_York	-81.79819	average	US	2013-07-24	41.48199
America/Cuiaba	-52.35558	average	BR	01/10/2020, 00:00:00	-14.66463
Europe/Amsterdam	7.00417	good	NL	2017/06/24	52.26083
America/Puerto_Rico	-67.15407	building	PR	09 Sep 2022	18.42745
America/Argentina/Cordoba	-61.4867	accep	AR	2014-03-27	-31.25033
America/Sao_Paulo	-52.2	good	BR	21 Jul 2013	-28.44917
America/New_York	-81.26367	maintenance	US	2020/05/07	28.90054
Africa/Ndjamena	18.69303	excellent	TD	2020-08-04	12.18441
Europe/Brussels	3.16667	accep	BE	2020-12-31	50.8
Europe/Istanbul	40.74357	good	TR	10/26/2017, 00:00:00	37.31309
Europe/Moscow	35.96944	average	RU	2019-04-15	56.03361
Asia/Dushanbe	69.01354	good	TJ	07/25/2020, 00:00:00	38.55632
Africa/Blantyre	34.4587	accep	MW	03/12/2017, 00:00:00	-13.7804
Europe/Istanbul	40.74357	good	TR	04/06/2021, 00:00:00	37.31309
Europe/Kiev	27.06365	good	UA	03/01/2021, 00:00:00	50.18545
Asia/Dili	125.21972	accep	TL	2016/03/10	-8.99167
America/Bogota	-73.26022	accep	CO	2022/08/11	6.46838
America/Maceio	-37.03861	average	BR	2021/05/18	-10.90889
America/Mexico_City	-100.44843	good	MX	2016-04-21	20.74122
Africa/Maputo	35.34722	good	MZ	2017/11/13	-23.85972
Asia/Jakarta	98.6738	average	ID	13 Jan 2022	3.7278
America/New_York	-73.75513	accep	US	10/15/2015, 00:00:00	40.60538
Asia/Kolkata	76.56719	good	IN	12/20/2018, 00:00:00	24.41288
Europe/Paris	1.00288	excellent	FR	18 Mar 2018	49.28669
Asia/Kolkata	78.25795	accep	IN	13 Jul 2018	9.82564
America/Denver	-105.11221	good	US	2013-07-23	39.57582
Africa/Lagos	4.74161	excellent	NG	2021-11-18	7.62789
America/Fortaleza	-42.29444	accep	BR	2015-09-24	-4.24444
Asia/Kolkata	77.70636	average	IN	26 Jun 2021	28.98002
Asia/Shanghai	122.74754	accep	CN	2016/01/24	40.85158
Asia/Kolkata	72.68533	excellent	IN	07/29/2021, 00:00:00	22.75218
Asia/Manila	120.5875	excellent	PH	07/27/2020, 00:00:00	16.455
Asia/Shanghai	111.50861	average	CN	14 Jan 2015	32.54278
Europe/Amsterdam	5.23333	good	NL	2018-12-16	52.09
Asia/Tokyo	137.23333	average	JP	2021/03/02	35.8
Asia/Yekaterinburg	69.49015	excellent	RU	2012/11/18	56.11281
Europe/Lisbon	-8.33147	good	PT	07/15/2022, 00:00:00	41.20485
Europe/Paris	4.91667	excellent	FR	12/26/2020, 00:00:00	45.73333
America/Mexico_City	-97.35992	average	MX	07/18/2022, 00:00:00	19.8173
Europe/Moscow	39.85331	good	RU	07/15/2013, 00:00:00	57.30185
Asia/Bangkok	99.95469	average	TH	2014-10-19	13.51825
America/Toronto	-73.86586	good	CA	11/07/2016, 00:00:00	45.43341
Europe/Berlin	6.8625	excellent	DE	2015-05-19	51.47805
America/Bogota	-72.47417	maintenance	CO	2013/07/17	7.83389
Africa/Dar_es_Salaam	38.01667	accep	TZ	04/10/2018, 00:00:00	-5.41667
Asia/Shanghai	117.65694	excellent	CN	2016-09-12	36.19278
Asia/Shanghai	117.63083	maintenance	CN	12/24/2014, 00:00:00	35.50056
Europe/Madrid	-4.83076	average	ES	11 Feb 2022	39.96348
Europe/Moscow	39.8302	accep	RU	2021/07/08	64.5635
America/Lima	-69.08333	accep	PE	2016/06/01	-16.25
Asia/Karachi	68.21204	maintenance	PK	2016-10-08	27.55898
America/Bahia	-38.94722	excellent	BR	2013-04-30	-15.675
Europe/Madrid	-1.60452	accep	ES	02/23/2015, 00:00:00	42.06166
America/New_York	-73.75513	accep	US	2014-11-03	40.60538
Europe/Moscow	53.26023	building	RU	2020-04-27	54.39304
Asia/Manila	123.99333	excellent	PH	10/19/2016, 00:00:00	12.97389
America/Toronto	-80.38297	average	CA	13 Jul 2017	42.8334
Asia/Shanghai	111.50861	excellent	CN	2021/04/27	32.54278
Europe/London	-5.53715	good	GB	2013/12/04	50.11861
Europe/London	-5.53715	good	GB	2015-02-26	50.11861
Asia/Kolkata	75.37991	accep	IN	10 Apr 2015	25.75728
Europe/Berlin	11.18709	accep	DE	12/03/2016, 00:00:00	48.73218
Europe/Moscow	30.28491	accep	RU	03 Aug 2017	60.02427
Asia/Shanghai	114.51667	excellent	CN	2016-06-11	33.78333
Asia/Kolkata	72.85107	good	IN	01 Feb 2016	19.30157
Asia/Kolkata	75.96976	maintenance	IN	21 Jul 2022	15.73628
Asia/Kolkata	85.83636	maintenance	IN	2018-08-08	25.66795
America/Los_Angeles	-122.38731	good	US	01 Aug 2022	45.53929
Europe/Helsinki	24.14662	average	FI	09/04/2021, 00:00:00	65.84811
Europe/Warsaw	18.30056	excellent	PL	2015-08-23	50.5107
Indian/Antananarivo	48.41667	accep	MG	28 Apr 2019	-17.83333
Europe/Amsterdam	5.58472	excellent	NL	2021/05/19	52.14
Asia/Tokyo	129.96972	accep	JP	2018-04-07	33.4425
Asia/Jakarta	98.6738	average	ID	14 Jul 2013	3.7278
Asia/Kuching	116.10146	excellent	MY	2022-02-20	5.90702
Europe/Brussels	3.16667	accep	BE	12 May 2018	50.8
Europe/Berlin	6.26667	maintenance	DE	07 Jun 2020	51.21667
Asia/Baku	48.87498	accep	AZ	03 Jun 2019	38.45598
Africa/Dar_es_Salaam	39.28333	accep	TZ	2018-08-05	-10.33333
Asia/Manila	122.8637	accep	PH	30 Oct 2016	9.3337
Europe/Rome	7.60872	good	IT	09/17/2014, 00:00:00	43.78956
Asia/Kuala_Lumpur	103.6032	excellent	MY	2015/05/16	1.6561
America/Lima	-73.25383	average	PE	2018-11-17	-3.74912
Europe/Rome	9.29109	excellent	IT	2015-09-05	45.39402
Europe/Madrid	3.1631	building	ES	2015/08/23	41.91738
Europe/Moscow	34.34691	average	RU	2013-11-15	61.78491
Europe/Volgograd	43.2379	accep	RU	2022/06/08	50.06
America/Chicago	-88.81395	average	US	10/14/2021, 00:00:00	35.61452
America/Chicago	-93.12577	accep	US	2020-07-17	44.73941
Asia/Manila	120.97844	good	PH	02/10/2013, 00:00:00	14.8361
Africa/Lagos	12.19458	accep	NG	2021-11-12	10.61285
Asia/Kuala_Lumpur	102.3278	accep	MY	08/24/2014, 00:00:00	2.2139
Asia/Manila	123.33471	accep	PH	2016-09-14	8.56697
America/Santiago	-73.02841	good	CL	14 Jan 2016	-36.9256
Europe/Moscow	38.16694	excellent	RU	2013-06-09	54.84444
America/Los_Angeles	-122.40433	maintenance	US	01/08/2018, 00:00:00	37.71715
Asia/Colombo	79.87116	acceptable	LK	05/27/2016, 00:00:00	6.84019
Europe/Moscow	34.33825	average	RU	2018-09-21	53.59782
Europe/Amsterdam	5.23333	average	NL	11 Aug 2022	52.09
Europe/Paris	5.4584	excellent	FR	12/25/2017, 00:00:00	43.32393
America/New_York	-73.0515	accep	US	2017-09-28	41.55815
America/Chicago	-96.39774	building	US	18 Oct 2015	30.16688
America/Chicago	-88.81395	building	US	2019-06-07	35.61452
Europe/Berlin	9.47629	excellent	DE	26 Feb 2022	53.59337
Asia/Kolkata	75.92694	accep	IN	2021-10-02	14.46693
Asia/Novokuznetsk	85.4265	excellent	RU	13 Apr 2014	55.8736
Europe/Warsaw	19.27498	accep	PL	11/30/2015, 00:00:00	50.20528
Europe/Kiev	31.33078	good	UA	2013/01/14	47.56494
America/Guatemala	-91.11667	average	GT	2019-11-12	14.93333
Europe/Berlin	12.16179	average	DE	2018-06-20	48.52961
Asia/Manila	123.62494	excellent	PH	2013/07/04	12.37169
Europe/London	0.75	average	GB	2022/09/07	52.41667
Europe/Moscow	40.17171	average	RU	07/28/2021, 00:00:00	58.1908
America/New_York	-83.55521	excellent	US	2021-11-06	41.66394
Europe/Madrid	-3.67029	building	ES	2014-07-19	37.13548
America/New_York	-81.79819	accep	US	2015-02-05	41.48199
America/Puerto_Rico	-67.15407	building	PR	19 Aug 2016	18.42745
Europe/Moscow	37.49338	excellent	RU	2015-06-15	55.62047
America/Santarem	-52.20639	accep	BR	2021/12/12	-3.20333
Asia/Aden	46.83187	good	YE	2018-09-11	14.53767
Asia/Manila	122.8637	building	PH	2020-03-07	9.3337
Europe/Dublin	-7.35	excellent	IE	2017-07-20	53.53333
Asia/Kolkata	88.1453	average	IN	21 Feb 2016	22.4711
America/New_York	-76.99081	accep	US	2013/01/25	38.96372
America/New_York	-77.96389	average	US	2018-12-28	39.45621
America/Managua	-86.58208	average	NI	2012-11-27	13.48082
Africa/Nairobi	36.36339	good	KE	2014-08-12	0.03813
America/Los_Angeles	-119.0376	good	US	2020/04/03	34.21639
Asia/Karachi	68.11759	average	PK	2014/11/05	26.9423
Asia/Tokyo	136.61667	good	JP	10/11/2016, 00:00:00	36.53333
Australia/Perth	115.8614	accep	AU	2017/11/21	-31.95224
Europe/Berlin	7.02238	accep	DE	26 May 2020	52.21099
Europe/Rome	14.30935	building	IT	21 Jun 2021	40.92298
Asia/Shanghai	117.7	excellent	CN	2013/05/10	35.85
America/Chicago	-86.78777	accep	US	02 Jun 2016	33.44872
Europe/Madrid	1.10687	average	ES	2015/09/26	41.15612
Europe/Sofia	24.71204	accep	BG	04/08/2017, 00:00:00	41.57439
America/Chicago	-93.75018	accep	US	08 Apr 2013	32.52515
America/Chicago	-93.263	average	US	11 Jun 2013	45.0408
Asia/Yerevan	44.7662	good	AM	2016-06-29	40.49748
America/Vancouver	-119.48568	accep	CA	2016/03/23	49.88307
Europe/Brussels	3.20639	building	BE	2015-02-06	50.74497
America/Bahia	-38.79084	average	BR	2019/01/31	-10.95817
America/New_York	-81.38758	average	US	2016-04-01	30.17746
Europe/London	-5.53715	accep	GB	2013-12-27	50.11861
Asia/Kolkata	91.61356	building	IN	11/08/2019, 00:00:00	26.44931
Africa/Algiers	4.62744	average	DZ	2013/11/23	36.06386
America/Chicago	-95.44744	good	US	2014-04-14	29.53885
America/Sao_Paulo	-48.29694	excellent	BR	04/29/2014, 00:00:00	-20.87306
Europe/Bratislava	17.8031	accep	SK	02 Mar 2015	48.43174
Europe/Amsterdam	5.23333	good	NL	01/18/2017, 00:00:00	52.09
Asia/Ho_Chi_Minh	105.75635	good	VN	2015/07/28	10.29085
America/New_York	-77.02303	excellent	US	09/22/2019, 00:00:00	38.70734
Asia/Kolkata	91.61356	good	IN	2016/10/23	26.44931
Asia/Kolkata	88.58	average	IN	2013/01/12	23.18
Indian/Reunion	55.4504	good	RE	23 Dec 2012	-20.88231
Africa/Johannesburg	29.24152	excellent	ZA	03/09/2017, 00:00:00	-26.93366
Asia/Kolkata	81.54855	good	IN	2013/03/22	26.2649
America/Chicago	-87.93341	average	US	2017-11-18	42.55308
Asia/Shanghai	120.33063	good	CN	2016-07-31	37.65181
America/New_York	-73.99681	average	US	2022-03-07	40.94065
Asia/Shanghai	125.51176	good	CN	2020-02-12	42.64031
Europe/London	-2.58736	average	GB	11/14/2014, 00:00:00	56.56317
Europe/Paris	2.61667	maintenance	FR	2021/07/20	48.98333
America/Chicago	-93.12577	good	US	2019/05/16	44.73941
Asia/Jerusalem	34.86563	average	IL	05/04/2014, 00:00:00	31.92923
Asia/Bishkek	73	good	KG	05/24/2013, 00:00:00	40.93333
America/New_York	-73.0515	maintenance	US	2013-03-26	41.55815
America/New_York	-74.38987	average	US	11/27/2020, 00:00:00	40.65538
America/Argentina/Buenos_Aires	-59.13316	maintenance	AR	08/08/2020, 00:00:00	-37.32167
Europe/Berlin	6.9747	accep	DE	2013-12-21	50.82709
Asia/Tehran	47.3799	excellent	IR	2013-05-12	33.14447
Africa/Johannesburg	30.79165	average	ZA	10 Apr 2021	-27.76952
Asia/Tokyo	137.4	accep	JP	04/15/2014, 00:00:00	34.81667
Asia/Kolkata	73.7553	excellent	IN	06/03/2013, 00:00:00	15.5439
Europe/Helsinki	24.6522	accep	FI	24 Sep 2015	60.2052
America/Fortaleza	-41.45861	maintenance	BR	08/27/2013, 00:00:00	-4.42472
Europe/Berlin	9.72749	good	DE	2021/10/22	48.28259
Asia/Kolkata	79.82979	accep	IN	2018-11-03	11.93381
America/New_York	-73.95097	maintenance	US	2017-07-01	40.72371
America/Mazatlan	-105.36369	good	MX	16 Jun 2017	22.49396
America/Chicago	-89.64066	average	US	19 Jun 2017	40.56754
Asia/Shanghai	117.55417	good	CN	2013/09/21	34.86472
Europe/Moscow	30.38167	average	RU	01 Sep 2022	59.80917
America/Chicago	-93.08883	excellent	US	2017/01/27	45.16024
America/New_York	-81.26367	excellent	US	01/11/2016, 00:00:00	28.90054
America/Chicago	-96.67834	maintenance	US	2016-04-24	34.77453
Europe/Kiev	33.9162	good	UA	11/03/2017, 00:00:00	51.67822
Asia/Seoul	126.665	good	KR	2017/07/16	36.6009
Europe/Rome	14.34085	excellent	IT	2019-08-10	40.87363
America/Chicago	-87.882	average	US	10 Oct 2012	41.85059
Europe/Madrid	3.1631	building	ES	2019/06/13	41.91738
America/Los_Angeles	-122.86705	excellent	US	01/06/2018, 00:00:00	45.49428
Europe/Berlin	9.17702	average	DE	2017-09-01	48.78232
America/Bogota	-73.26022	excellent	CO	2020-04-10	6.46838
America/Toronto	-73.58248	accep	CA	11/04/2013, 00:00:00	45.40008
America/Chicago	-87.65644	average	US	26 Jan 2014	41.80753
America/Chicago	-93.71133	accep	US	2017/08/02	41.57721
Asia/Jakarta	101.44167	maintenance	ID	05/08/2013, 00:00:00	0.51667
Asia/Tokyo	139.55028	excellent	JP	2015/11/26	35.30889
Europe/Moscow	43.67663	accep	RU	2018/12/08	53.53041
America/Argentina/Buenos_Aires	-58.38341	accep	AR	27 Aug 2021	-34.64966
Asia/Barnaul	83.62389	accep	RU	2021-07-26	53.30972
Europe/Vienna	16.4	average	AT	2021-08-24	48.25
America/Montevideo	-56.52361	good	UY	2013-06-15	-33.38056
Asia/Yekaterinburg	69.49015	excellent	RU	2014/02/04	56.11281
Asia/Kolkata	86.79271	excellent	IN	07/26/2015, 00:00:00	25.92127
Europe/Berlin	8.64409	excellent	DE	06/10/2020, 00:00:00	48.07667
America/Bogota	-74.73584	building	CO	21 Nov 2020	5.20856
Africa/Abidjan	-5.682	excellent	CI	01 Jun 2017	5.84752
Asia/Novokuznetsk	85.4265	average	RU	2021/09/30	55.8736
America/New_York	-82.46148	average	US	2021-05-11	28.15112
Europe/Madrid	-1.86343	excellent	ES	18 Dec 2014	38.10558
Europe/Istanbul	27.18052	excellent	TR	12/08/2012, 00:00:00	39.12074
Asia/Seoul	128.63083	accep	KR	03/21/2014, 00:00:00	36.82167
Asia/Yekaterinburg	59.4839	building	RU	2018-10-30	58.7002
Europe/Lisbon	-8.33147	accep	PT	05/18/2020, 00:00:00	41.20485
Australia/Sydney	150.60036	good	AU	03 Dec 2019	-34.88422
America/Lima	-75.11028	good	PE	17 Jan 2019	-15.21194
Asia/Shanghai	114.51667	building	CN	04/19/2018, 00:00:00	33.78333
Europe/Berlin	8.77069	good	DE	15 May 2016	50.80904
America/Chicago	-99.73314	building	US	07/12/2014, 00:00:00	32.44874
Asia/Tokyo	139.55722	good	JP	2020-03-22	36
Asia/Shanghai	120.74221	excellent	CN	12/03/2012, 00:00:00	31.64615
Africa/Lagos	9.0027	accep	NG	02/16/2017, 00:00:00	11.86064
Asia/Kolkata	74.80555	accep	IN	2020/05/18	34.08565
Asia/Shanghai	117.27583	average	CN	2013-05-31	35.64889
Asia/Baku	45.36561	average	AZ	02/07/2013, 00:00:00	41.09246
Europe/Madrid	-1.64295	average	ES	2016-07-12	42.8139
Europe/London	0.30367	building	GB	2017/10/05	51.38673
Europe/Warsaw	18.30056	maintenance	PL	2013/10/12	50.5107
