station	latitude	revision	QoS	longitude	code
Devizes	51.35084	2017/06/25	maintenance	-1.99421	GB
Laiwu	36.19278	28 Sep 2019	accep	117.65694	CN
Yasothon	15.79408	15 Dec 2013	maintenance	104.1451	TH
Sherwood Park	53.51684	2014/02/27	excellent	-113.3187	CA
Krasyliv	49.65186	01/10/2015, 00:00:00	good	26.97253	UA
Brentwood Estates	36.02506	11/24/2017, 00:00:00	maintenance	-86.77917	US
Yenagoa	4.92675	2015-02-22	excellent	6.26764	NG
Skalica	48.8449	2014-09-29	building	17.22635	SK
Nizhniy Lomov	53.53041	2016/08/28	good	43.67663	RU
Kuvandyk	51.4781	2016/08/15	good	57.3552	RU
Tonga	4.96667	2017/05/02	good	10.7	CM
Shinshiro	34.9	04/25/2022, 00:00:00	maintenance	137.5	JP
Beni Douala	36.61954	2016/03/03	excellent	4.08282	DZ
Yanliang	34.65918	03/15/2019, 00:00:00	excellent	109.22921	CN
Dharmapuri	12.1277	04/25/2021, 00:00:00	acceptable	78.15794	IN
T’aebaek	37.1759	27 Feb 2014	accep	128.9889	KR
Ueno-ebisumachi	34.75856	2020-02-16	good	136.13108	JP
Rueil-Malmaison	48.8765	09/17/2015, 00:00:00	average	2.18967	FR
Eisen	36.82167	2017-07-17	average	128.63083	KR
Likhobory	55.85	11 Jan 2014	excellent	37.56667	RU
Xinzhou	38.40917	14 Jun 2021	excellent	112.73333	CN
Barbil	22.10194	24 Oct 2015	excellent	85.37752	IN
Lebanon	39.43534	18 Jun 2018	good	-84.20299	US
Majene	-3.5403	08 May 2015	average	118.9707	ID
Sinhyeon	34.8825	07/03/2017, 00:00:00	maintenance	128.62667	KR
Kitgum	3.27833	17 Sep 2016	excellent	32.88667	UG
La Ligua	-32.45242	2016/09/21	average	-71.23106	CL
Yunguyo	-16.25	2015-05-10	good	-69.08333	PE
Nova Kakhovka	46.75451	07/19/2020, 00:00:00	good	33.34864	UA
East Jerusalem	31.78336	01/20/2017, 00:00:00	good	35.23388	PS
Tupelo	34.25807	09/12/2020, 00:00:00	good	-88.70464	US
Hungund	16.06213	15 May 2014	building	76.0586	IN
Olanchito	15.48131	20 Nov 2020	good	-86.57415	HN
Loanda	-22.92306	2018/01/14	excellent	-53.13722	BR
San Juan	26.18924	02/07/2020, 00:00:00	average	-98.15529	US
Grand Forks	47.92526	2020/09/10	excellent	-97.03285	US
Mesagne	40.55851	2022/02/18	good	17.80774	IT
Smolyan	41.57439	30 Sep 2019	average	24.71204	BG
Lagos	6.45407	2019/02/24	excellent	3.39467	NG
Uran	18.87813	2020-01-21	good	72.93924	IN
Aguadilla	18.42745	14 Feb 2013	building	-67.15407	PR
Surbiton	51.39148	2014-02-23	maintenance	-0.29825	GB
Damnoen Saduak	13.51825	2013-06-29	good	99.95469	TH
Fresno	29.53885	2022/07/22	accep	-95.44744	US
Chacabuco	-34.64167	06 Mar 2013	excellent	-60.47389	AR
Iquitos	-3.74912	12/23/2015, 00:00:00	accep	-73.25383	PE
Les Olives	43.32393	01/25/2016, 00:00:00	good	5.4584	FR
Palafrugell	41.91738	2022-09-21	accep	3.1631	ES
Pujali	22.4711	11/11/2017, 00:00:00	maintenance	88.1453	IN
Boyeros	23.0072	2012-12-26	average	-82.4017	CU
Soledade	-28.81833	09/08/2022, 00:00:00	excellent	-52.51028	BR
Cordenons	45.9836	04/16/2020, 00:00:00	accep	12.70038	IT
Marau	-28.44917	2018/04/23	accep	-52.2	BR
Trossingen	48.07667	2015/07/27	good	8.64409	DE
Ngemplak	-7.54972	23 Dec 2016	average	110.71639	ID
Phanat Nikhom	13.44581	08/16/2016, 00:00:00	excellent	101.18445	TH
Ustka	54.58048	03 Sep 2022	average	16.86194	PL
Standerton	-26.93366	03/31/2017, 00:00:00	average	29.24152	ZA
Albufeira	37.08819	2015/02/26	accep	-8.2503	PT
Troutdale	45.53929	09/18/2017, 00:00:00	average	-122.38731	US
Sunnyside	46.32374	04 Aug 2021	good	-120.00865	US
Besuki	-7.73379	17 Apr 2017	maintenance	113.69785	ID
Maspalomas	27.76056	29 Jul 2020	building	-15.58602	ES
Yunguyo	-16.25	03/01/2021, 00:00:00	average	-69.08333	PE
Bensheim	49.68369	31 Aug 2021	average	8.61839	DE
Privolzhskiy	51.40944	2017/03/15	average	46.04833	RU
Rutland	43.61062	18 Jul 2021	accep	-72.97261	US
Boli	45.75279	02 Oct 2016	average	130.57211	CN
Bon Air	37.52487	11/26/2012, 00:00:00	excellent	-77.55777	US
Carlsbad	32.42067	06 Jun 2022	building	-104.22884	US
Beidao	34.56861	2019-08-17	excellent	105.89333	CN
Shuangcheng	45.35	03/16/2017, 00:00:00	accep	126.28333	CN
Kobuleti	41.82143	20 Jan 2019	average	41.77921	GE
Balikpapan	-1.26753	2021/05/20	average	116.82887	ID
Brighton Beach	40.57788	15 Dec 2017	building	-73.95958	US
Aloha	45.49428	08/10/2018, 00:00:00	excellent	-122.86705	US
Qazax	41.09246	2022/02/06	building	45.36561	AZ
Roi Et	16.0567	2014/05/20	average	103.65309	TH
Jackson	35.61452	2013/06/02	maintenance	-88.81395	US
Evergreen Park	41.72059	01/12/2017, 00:00:00	average	-87.70172	US
Les Olives	43.32393	09/05/2020, 00:00:00	excellent	5.4584	FR
Charlottenburg-Nord	52.53048	07/06/2017, 00:00:00	good	13.29371	DE
Alytus	54.39635	2019/01/26	average	24.04142	LT
Iturama	-19.72806	2017-12-06	good	-50.19556	BR
Arbroath	56.56317	2022-07-20	maintenance	-2.58736	GB
Lagarto	-10.91722	2014/02/10	average	-37.65	BR
Cypress Hills	40.67705	10 Aug 2014	maintenance	-73.89125	US
Norco	33.93113	04 Dec 2012	building	-117.54866	US
Gaziantep	37.05944	2019-07-01	accep	37.3825	TR
Jashpurnagar	22.88783	2020/02/07	maintenance	84.13864	IN
Yonkers	40.93121	2018-07-17	maitennce	-73.89875	US
Ulu Tiram	1.6	2019/03/23	good	103.81667	MY
Shepetivka	50.18545	2013-11-11	average	27.06365	UA
Paidha	2.41669	2016-09-28	accep	30.98551	UG
Rafaela	-31.25033	2016/02/15	good	-61.4867	AR
Odessa	31.84568	22 Mar 2022	building	-102.36764	US
Xinzhou	38.40917	2017/04/11	good	112.73333	CN
Sharypovo	55.54028	2017-12-16	building	89.20083	RU
La Ligua	-32.45242	2018-08-30	excellent	-71.23106	CL
Maspalomas	27.76056	11 Aug 2016	good	-15.58602	ES
Athlone	53.43333	2018/02/18	accep	-7.95	IE
Chamba	32.55531	2018-11-19	average	76.12647	IN
Barpeta	26.32293	2014/08/23	building	91.00632	IN
Vryheid	-27.76952	2016/01/23	excellent	30.79165	ZA
Albufeira	37.08819	2014-07-27	maintenance	-8.2503	PT
Yonkers	40.93121	2013/09/24	accep	-73.89875	US
Meizhou	24.28859	2015/04/01	average	116.11768	CN
Clermont	28.54944	06/19/2014, 00:00:00	good	-81.77285	US
Hlohovec	48.43174	09/10/2013, 00:00:00	good	17.8031	SK
Sishui	35.64889	04/06/2020, 00:00:00	good	117.27583	CN
Rutland	43.61062	08/02/2020, 00:00:00	good	-72.97261	US
Rafiganj	24.81757	2019-04-22	maintenance	84.63445	IN
Toyokawa	34.81667	10 Jul 2018	maintenance	137.4	JP
Curitiba	-25.42778	20 Jul 2022	accep	-49.27306	BR
Croix-des-Bouquets	18.57677	11/25/2015, 00:00:00	maintenance	-72.22625	HT
Rangia	26.44931	2021-09-12	excellent	91.61356	IN
North Tustin	33.76446	10 Mar 2020	accep	-117.79394	US
Ajaccio	41.91886	18 Jun 2017	average	8.73812	FR
Baki	9.89206	2014/06/06	building	43.38531	SO
Wacheng	33.78333	18 Nov 2018	excellent	114.51667	CN
Bad Segeberg	53.94313	05/11/2017, 00:00:00	excellent	10.30215	DE
Tinaquillo	9.91861	2020-03-21	good	-68.30472	VE
Willetton	-32.05251	2017/01/08	maintenance	115.88782	AU
Lagarto	-10.91722	2022-03-18	average	-37.65	BR
Jingzhou	30.35028	06/14/2017, 00:00:00	average	112.19028	CN
Barra dos Coqueiros	-10.90889	10/19/2015, 00:00:00	accep	-37.03861	BR
Montecchio Maggiore-Alte Ceccato	45.50369	08/01/2014, 00:00:00	excellent	11.412	IT
Griffith	-34.28853	30 Jun 2022	maintenance	146.05093	AU
Batu Feringgi	5.4709	2015/01/29	good	100.24529	MY
Alatyr’	54.8421	02/20/2013, 00:00:00	good	46.5813	RU
Betamcherla	15.45144	14 Feb 2020	good	78.14797	IN
Xiangtan	27.85	2015/09/05	building	112.9	CN
Poulton-le-Fylde	53.83333	07/16/2019, 00:00:00	good	-2.98333	GB
Valence	44.92801	2020/12/06	average	4.8951	FR
Hrazdan	40.49748	11/27/2017, 00:00:00	excellent	44.7662	AM
Sorsogon	12.97389	05/08/2017, 00:00:00	excellent	123.99333	PH
Aksaray	38.37255	2015-02-12	maintenance	34.02537	TR
Yeysk	46.7055	18 Apr 2013	accep	38.2739	RU
Shepetivka	50.18545	02/10/2020, 00:00:00	excellent	27.06365	UA
Ustka	54.58048	26 Apr 2021	average	16.86194	PL
Nidderau	50.23805	2015-05-26	good	8.86704	DE
Halstenbek	53.63333	09/03/2016, 00:00:00	acceptable	9.85	DE
Cebu City	10.31672	01/22/2016, 00:00:00	accep	123.89071	PH
Aurora	39.72943	2015-09-07	average	-104.83192	US
Jersey City	40.72816	2015-05-27	maintenance	-74.07764	US
Somma Vesuviana	40.87329	11 Dec 2012	good	14.43865	IT
Punta Gorda Isles	26.91756	08/17/2018, 00:00:00	building	-82.07842	US
Budva	42.28639	2020/06/03	building	18.84	ME
Amposta	40.70995	10 Jun 2016	accep	0.57856	ES
Frenda	35.06544	2014-11-09	average	1.04945	DZ
Sassari	40.72586	21 Jan 2021	excellent	8.55552	IT
Alfenas	-21.42917	2012/10/11	excellent	-45.94722	BR
Muritiba	-12.91667	11 Sep 2019	maintenance	-39.25	BR
Devizes	51.35084	06 May 2017	excellent	-1.99421	GB
Memmingen	47.98372	20 Nov 2014	maintenance	10.18527	DE
Franceville	-1.63333	01/21/2019, 00:00:00	accep	13.58357	GA
Tver	56.85836	12/14/2016, 00:00:00	good	35.90057	RU
Goyang-si	37.65639	2017/09/10	average	126.835	KR
Cavaillon	43.83125	2014-05-24	average	5.03586	FR
Ksar Chellala	35.21222	04/07/2019, 00:00:00	accep	2.31889	DZ
Sa Dec	10.29085	2016/07/01	building	105.75635	VN
Columbia Heights	45.0408	05/18/2014, 00:00:00	maintenance	-93.263	US
Toba	34.4833	2020/03/22	maintenance	136.84186	JP
Lesozavodsk	45.47885	10/07/2015, 00:00:00	building	133.42825	RU
Strzelce Opolskie	50.5107	10 Jul 2019	maintenance	18.30056	PL
Palafrugell	41.91738	2020/07/09	maintenance	3.1631	ES
Bavly	54.39304	2016-03-20	good	53.26023	RU
Dorval	45.4473	01 Sep 2014	building	-73.75335	CA
Aklera	24.41288	2022/07/09	excellent	76.56719	IN
Bibiani	6.46346	10/11/2018, 00:00:00	maintenance	-2.31938	GH
Falconara Marittima	43.62558	06 Mar 2021	accep	13.39954	IT
Serinhisar	37.58105	2020/01/15	average	29.26639	TR
Vestavia Hills	33.44872	2015-09-06	accep	-86.78777	US
Rolla	37.95143	08/02/2021, 00:00:00	average	-91.77127	US
Kantharalak	14.64056	2017-06-14	good	104.64992	TH
Bavly	54.39304	2014-07-17	excellent	53.26023	RU
Boo	59.33333	01/09/2014, 00:00:00	good	18.28333	SE
Srinagar	34.08565	2017-02-21	good	74.80555	IN
Namerikawa	36.75965	17 Sep 2015	building	137.36215	JP
Martinsburg	39.45621	2018/05/12	good	-77.96389	US
Acworth	34.06635	12/10/2018, 00:00:00	accep	-84.67837	US
Gaziantep	37.05944	2016-08-01	average	37.3825	TR
Sassari	40.72586	10/01/2013, 00:00:00	accep	8.55552	IT
Pahrump	36.20829	02/16/2021, 00:00:00	accep	-115.98391	US
Moga	30.81383	2017/09/06	accep	75.16878	IN
Murray	36.61033	2012-11-21	average	-88.31476	US
Glendale	34.14251	2017-07-08	average	-118.25508	US
Jumilla	38.47917	2018/04/02	building	-1.325	ES
Tucano	-10.95817	22 Aug 2020	accep	-38.79084	BR
Hudiksvall	61.72744	12/26/2013, 00:00:00	average	17.10558	SE
Punta Gorda Isles	26.91756	13 Jan 2016	accep	-82.07842	US
Rafaela	-31.25033	15 May 2022	excellent	-61.4867	AR
Ambatondrazaka	-17.83333	2013/08/15	acceptable	48.41667	MG
Pontevedra	-34.74785	2017-12-28	average	-58.70072	AR
Tupelo	34.25807	2022/04/26	excellent	-88.70464	US
Front Royal	38.91817	04 May 2015	average	-78.19444	US
Amposta	40.70995	2015-04-18	maintenance	0.57856	ES
Copperas Cove	31.12406	20 Jul 2013	accep	-97.90308	US
Dax	43.71032	05/30/2016, 00:00:00	excellent	-1.05366	FR
Parola	20.88098	2016-02-24	good	75.11937	IN
Fresno	29.53885	04/29/2019, 00:00:00	good	-95.44744	US
Ulanhot	46.08333	2019/09/06	accep	122.08333	CN
Kafanchan	9.58126	2020/10/04	excellent	8.2926	NG
Betamcherla	15.45144	04/14/2015, 00:00:00	average	78.14797	IN
Otegen Batyra	43.41949	2012-10-30	excellent	77.0202	KZ
Tonga	4.96667	2021/03/14	excellent	10.7	CM
Nampa	43.54072	24 Mar 2020	average	-116.56346	US
Catende	-8.66667	03/19/2020, 00:00:00	average	-35.71667	BR
Zgorzelec	51.14942	2017/12/10	average	15.00835	PL
Pato Branco	-26.22861	2013/10/09	average	-52.67056	BR
Wacheng	33.78333	2017-12-04	good	114.51667	CN
Tudela	42.06166	2019-12-07	good	-1.60452	ES
Woodlawn	39.32288	2016/05/17	excellent	-76.72803	US
Maliana	-8.99167	29 Dec 2014	maintenance	125.21972	TL
Pahrump	36.20829	2021-06-02	average	-115.98391	US
Kushtia	23.9028	09 Dec 2017	building	89.11943	BD
Lakewood	41.48199	2022/02/11	accep	-81.79819	US
Dalsingh Sarai	25.66795	2016/06/05	maintenance	85.83636	IN
Kafanchan	9.58126	2016/08/17	excellent	8.2926	NG
Carlos Barbosa	-29.2975	28 Sep 2020	building	-51.50361	BR
Busia	0.46005	2018/04/28	good	34.11169	KE
Bijeljina	44.75874	17 Apr 2019	maintenance	19.21437	BA
Sterling	39.00622	2018/07/03	accep	-77.4286	US
Dahlem	52.4581	03/02/2014, 00:00:00	building	13.28702	DE
Heroica Matamoros	25.87972	2020/07/22	good	-97.50417	MX
Nayoro	44.35056	2017/12/25	excellent	142.45778	JP
Betamcherla	15.45144	2019/12/27	excellent	78.14797	IN
Hudiksvall	61.72744	30 Nov 2021	average	17.10558	SE
Liberia	10.63504	11/03/2017, 00:00:00	excellent	-85.43772	CR
Shimotoda	35.815	2014/01/31	accep	139.6853	JP
Boli	45.75279	2020/11/21	excellent	130.57211	CN
Kot Addu	30.46907	01 Oct 2017	building	70.96699	PK
Abilene	32.44874	10/04/2016, 00:00:00	average	-99.73314	US
Rafaela	-31.25033	2015/06/28	accep	-61.4867	AR
Surbiton	51.39148	11/10/2014, 00:00:00	average	-0.29825	GB
Carindale	-27.50578	2016/04/01	excellent	153.10236	AU
Rangia	26.44931	05/31/2013, 00:00:00	average	91.61356	IN
San Juan	26.18924	2018-04-02	average	-98.15529	US
Beni Douala	36.61954	2022/02/13	building	4.08282	DZ
North Lauderdale	26.2173	27 Aug 2016	good	-80.22588	US
Segundo Ensanche	42.8139	02/22/2015, 00:00:00	average	-1.64295	ES
Kampung Ayer Molek	2.2139	07/28/2015, 00:00:00	average	102.3278	MY
Frenda	35.06544	09/04/2013, 00:00:00	average	1.04945	DZ
Ghat	24.96334	2019/07/03	building	10.18003	LY
Resplendor	-19.32556	03/08/2014, 00:00:00	maintenance	-41.25528	BR
Contla	19.32932	01/15/2019, 00:00:00	good	-98.1664	MX
Ken Caryl	39.57582	06/23/2020, 00:00:00	average	-105.11221	US
Bar-le-Duc	48.77275	07/19/2016, 00:00:00	average	5.16108	FR
Poulton-le-Fylde	53.83333	2014-10-14	excellent	-2.98333	GB
Thetford	52.41667	02 Jan 2013	average	0.75	GB
Chharra	27.9247	2017-03-06	good	78.40102	IN
Milagro	-2.13404	2012-12-19	accep	-79.59415	EC
Lodwar	3.11988	2017/09/06	good	35.59642	KE
el Camp de l'Arpa del Clot	41.41204	26 Mar 2017	accep	2.18247	ES
Opportunity	47.64995	2017-04-25	average	-117.23991	US
Martinsburg	39.45621	30 Sep 2017	excellent	-77.96389	US
Beveren	51.21187	12 Feb 2018	accep	4.25633	BE
Elbeuf	49.28669	2017-02-09	good	1.00288	FR
Deoli	25.75728	2021-05-27	average	75.37991	IN
Villabate	38.07789	2020/05/22	good	13.44275	IT
Strzelce Opolskie	50.5107	03/03/2020, 00:00:00	accep	18.30056	PL
Hudiksvall	61.72744	2021-02-11	excellent	17.10558	SE
Brierley Hill	52.48173	2017/12/06	good	-2.12139	GB
Dax	43.71032	2020/06/15	maintenance	-1.05366	FR
Wevelgem	50.8	2021-08-26	good	3.16667	BE
Wittenau	52.59319	2020-03-23	accep	13.32127	DE
Hrazdan	40.49748	08/16/2020, 00:00:00	good	44.7662	AM
Sasayama	35.06667	16 May 2021	good	135.21667	JP
Sambalpur	21.46527	01 Jun 2021	excellent	83.97573	IN
La Trinidad	16.455	17 Oct 2012	maintenance	120.5875	PH
Gero	35.8	15 Mar 2020	excellent	137.23333	JP
Siliana	36.08497	2018/05/20	excellent	9.37082	TN
Nonoichi	36.53333	2021/03/13	good	136.61667	JP
Saraktash	51.78771	05 Feb 2021	good	56.36091	RU
Kampung Ayer Molek	2.2139	06/24/2019, 00:00:00	building	102.3278	MY
Sirsi	14.62072	2015/01/05	maintenance	74.83554	IN
Beni Khiar	36.46917	2013-11-24	good	10.78222	TN
Gonesse	48.98693	08/10/2018, 00:00:00	average	2.44892	FR
Changzhi	35.20889	2019/05/23	maintenance	111.73861	CN
Naro-Fominsk	55.38752	2015/12/31	accep	36.73307	RU
Siegburg	50.80019	2017-05-04	excellent	7.20769	DE
Saraktash	51.78771	2016/03/01	accep	56.36091	RU
Tharu Shah	26.9423	15 Sep 2020	accep	68.11759	PK
Boyeros	23.0072	2015-05-14	accep	-82.4017	CU
Griffith	-34.28853	2020/05/11	maintenance	146.05093	AU
North Lauderdale	26.2173	2022/06/11	accep	-80.22588	US
Zhukovka	53.53395	08/01/2013, 00:00:00	good	33.72798	RU
Kirchlengern	52.2	2014/08/04	maintenance	8.63333	DE
Nkpor	6.15038	03/16/2020, 00:00:00	average	6.83042	NG
Media Luna	20.14298	08/29/2021, 00:00:00	good	-77.43532	CU
Bhuban	20.88197	2017-08-07	good	85.83334	IN
Sillanwali	31.82539	23 Feb 2020	excellent	72.54064	PK
Eastwood	-33.79176	2017-02-09	good	151.08057	AU
Carindale	-27.50578	2019-12-28	good	153.10236	AU
Freetown	8.48714	07/23/2022, 00:00:00	accep	-13.2356	SL
Freetown	8.48714	2022-07-27	excellent	-13.2356	SL
Martinsburg	39.45621	05/31/2013, 00:00:00	average	-77.96389	US
Mongo	12.18441	08/18/2014, 00:00:00	accep	18.69303	TD
Okegawa	36	30 Apr 2014	average	139.55722	JP
Shepetivka	50.18545	2014/01/17	accep	27.06365	UA
Mudanya	40.37528	09/13/2013, 00:00:00	average	28.88222	TR
Thetford	52.41667	2015-04-07	accep	0.75	GB
Rajaori	33.37526	2012-11-04	average	74.3092	IN
Reus	41.15612	09/20/2022, 00:00:00	good	1.10687	ES
Viradouro	-20.87306	2020-05-03	accep	-48.29694	BR
Willetton	-32.05251	2020/10/29	excellent	115.88782	AU
Le Chesnay	48.8222	18 May 2016	maintenance	2.12213	FR
Huntley	42.16808	06/05/2015, 00:00:00	maintenance	-88.42814	US
Hrazdan	40.49748	2018-03-07	excellent	44.7662	AM
Idenao	4.2475	10/28/2012, 00:00:00	excellent	9.00472	CM
Vught	51.65333	2020/09/01	accep	5.2875	NL
Svatove	49.41029	02/24/2013, 00:00:00	good	38.15035	UA
Bobigny	48.90982	18 Apr 2021	accep	2.45012	FR
Pointe-Claire	45.44868	2018-02-15	building	-73.81669	CA
Sar-e Pul	36.21544	2022/08/09	maintenance	65.93249	AF
Sunnyside	46.32374	08/22/2020, 00:00:00	excellent	-120.00865	US
Minokamo	35.48199	2017-04-02	maintenance	137.02166	JP
Gaya	11.86064	02 May 2015	average	9.0027	NG
La Ligua	-32.45242	29 Aug 2016	excellent	-71.23106	CL
Efon-Alaaye	7.65649	26 Jul 2021	maintenance	4.92235	NG
Boston	42.35843	11 Nov 2014	good	-71.05977	US
Varadero	23.15678	2014/07/23	average	-81.24441	CU
Le Chesnay	48.8222	07/25/2018, 00:00:00	good	2.12213	FR
Montana	43.4125	2013-12-14	building	23.225	BG
Casa Blanca	19.04222	2017/12/29	average	-98.11889	MX
Gajendragarh	15.73628	03/23/2015, 00:00:00	average	75.96976	IN
Murray	36.61033	08 Jul 2018	average	-88.31476	US
Pottstown	40.24537	03/21/2015, 00:00:00	accep	-75.64963	US
Aistala	23.18	2022/04/28	excellent	88.58	IN
Wheelers Hill	-37.9	07/29/2016, 00:00:00	average	145.18333	AU
Wacheng	33.78333	02 Apr 2022	good	114.51667	CN
Salima	-13.7804	08/01/2014, 00:00:00	good	34.4587	MW
Kafanchan	9.58126	04/03/2018, 00:00:00	accep	8.2926	NG
Robertsonpet	12.95629	11/30/2020, 00:00:00	good	78.27539	IN
Oschatz	51.30001	11/04/2013, 00:00:00	accep	13.10984	DE
Ulan-Ude	51.82721	20 May 2021	excellent	107.60627	RU
Sakaraha	-22.9	06/05/2020, 00:00:00	accep	44.53333	MG
Colomiers	43.61058	10/02/2013, 00:00:00	good	1.33467	FR
Finnentrop	51.168	2014/08/27	excellent	7.973	DE
Phanat Nikhom	13.44581	08 Oct 2014	accep	101.18445	TH
Baulkham Hills	-33.75881	2013/05/10	accep	150.99292	AU
Corralillo	22.98212	03/25/2014, 00:00:00	building	-80.58556	CU
Ataq	14.53767	05/16/2013, 00:00:00	excellent	46.83187	YE
Wesseling	50.82709	17 Feb 2013	good	6.9747	DE
Frankston South	-38.16604	03/04/2016, 00:00:00	average	145.13643	AU
Gudermes	43.35071	2015/06/24	accep	46.10925	RU
Saharsa	25.87498	2014/10/25	average	86.59611	IN
Bergama	39.12074	03 Apr 2019	accep	27.18052	TR
Palafrugell	41.91738	2019-03-24	average	3.1631	ES
Novopavlovsk	43.96222	2013-08-01	excellent	43.63417	RU
Weimar	50.9803	05/30/2016, 00:00:00	good	11.32903	DE
San Rafael	9.92787	2015-01-17	excellent	-84.13722	CR
Kolomyagi	60.02427	07/29/2013, 00:00:00	average	30.28491	RU
Bua Yai	15.58552	2019-12-26	excellent	102.42587	TH
Busia	0.46005	2019/02/22	average	34.11169	KE
San Rafael	9.92787	2016-04-07	excellent	-84.13722	CR
Aytos	42.7	02 Dec 2019	maintenance	27.25	BG
Vught	51.65333	2021-12-27	accep	5.2875	NL
les Escaldes	42.50729	03/08/2014, 00:00:00	accep	1.53414	AD
Karatsu	33.4425	2015-04-17	maintenance	129.96972	JP
Donggongon	5.90702	2014/05/03	accep	116.10146	MY
Villaquilambre	42.64685	2017-01-14	good	-5.55835	ES
Yenagoa	4.92675	11/18/2021, 00:00:00	maintenance	6.26764	NG
Colomiers	43.61058	23 Apr 2016	excellent	1.33467	FR
Dipolog	8.56697	03/06/2021, 00:00:00	accep	123.33471	PH
Shepetivka	50.18545	06/11/2016, 00:00:00	building	27.06365	UA
Dorval	45.4473	2015/04/16	building	-73.75335	CA
Kahului	20.88953	2020-03-09	maintenance	-156.47432	US
Licheng	23.29549	2021-04-23	maintenance	113.82465	CN
Bretten	49.03685	2017/09/03	maintenance	8.70745	DE
Chamba	32.55531	2015/10/28	excellent	76.12647	IN
Santa Maria	34.95303	30 Jan 2021	excellent	-120.43572	US
Davangere	14.46693	03/17/2021, 00:00:00	excellent	75.92694	IN
Boyeros	23.0072	2018/10/08	excellent	-82.4017	CU
Puerto Colombia	10.98778	2021-01-09	maintenance	-74.95472	CO
Goyang-si	37.65639	19 Apr 2019	excellent	126.835	KR
San Giuliano Milanese	45.39402	09/17/2017, 00:00:00	good	9.29109	IT
Kidodi	-7.60361	09/16/2014, 00:00:00	good	37.00438	TZ
Negotin	44.22639	10/28/2013, 00:00:00	excellent	22.53083	RS
Jingzhou	30.35028	06/30/2016, 00:00:00	average	112.19028	CN
Gaziantep	37.05944	01/19/2016, 00:00:00	excellent	37.3825	TR
Zhoushan	29.98869	22 Jan 2019	maintenance	122.20488	CN
Gorakhpur	26.76628	14 Aug 2015	building	83.36889	IN
Donggongon	5.90702	03 May 2020	excellent	116.10146	MY
Camarillo	34.21639	2017/01/01	maintenance	-119.0376	US
Tuxtla	16.75973	12/01/2018, 00:00:00	average	-93.11308	MX
Yingkou	40.66482	02/17/2018, 00:00:00	excellent	122.22833	CN
Ksar Chellala	35.21222	07/11/2021, 00:00:00	excellent	2.31889	DZ
Novopavlovsk	43.96222	04/23/2022, 00:00:00	excellent	43.63417	RU
Porto Velho	-8.76194	04/03/2021, 00:00:00	average	-63.90389	BR
Aracaju	-10.91111	2018-11-23	accep	-37.07167	BR
Tupi	6.33444	2013/11/09	average	124.95278	PH
Gua Musang	4.88441	07/24/2018, 00:00:00	accep	101.96857	MY
Barra dos Coqueiros	-10.90889	2014-05-15	average	-37.03861	BR
Martinsburg	39.45621	2021-01-28	accep	-77.96389	US
Palm Desert	33.72255	2016-09-23	excellent	-116.37697	US
Covington	39.08367	11/01/2014, 00:00:00	building	-84.50855	US
Danilov	58.1908	2016/11/14	maintenance	40.17171	RU
Calangute	15.5439	03/19/2019, 00:00:00	accep	73.7553	IN
Granger	41.75338	2014/01/16	average	-86.11084	US
Rutland	43.61062	06/09/2016, 00:00:00	excellent	-72.97261	US
Debre Tabor	11.85	2022/07/15	accep	38.01667	ET
Damnoen Saduak	13.51825	05 Jul 2016	average	99.95469	TH
Kahului	20.88953	24 Oct 2020	accep	-156.47432	US
Ushuaia	-54.8	2021-03-09	average	-68.3	AR
Palmeira	-25.42944	2014/02/05	accep	-50.00639	BR
Palm Desert	33.72255	24 Jun 2015	building	-116.37697	US
Rahat	31.39547	2022-06-22	average	34.75699	IL
Diwek	-7.57897	09/15/2020, 00:00:00	good	112.23109	ID
Arua	3.02013	10/19/2021, 00:00:00	accep	30.91105	UG
Bron	45.73333	13 Dec 2019	accep	4.91667	FR
Hlohovec	48.43174	2017/06/22	excellent	17.8031	SK
Kyzylorda	44.85278	21 May 2018	average	65.50917	KZ
Supaul	26.11527	2017-11-02	maintenance	86.59509	IN
Negotin	44.22639	2020/06/11	accep	22.53083	RS
Paoy Paet	13.65805	2017-07-15	excellent	102.56365	KH
Guaraciaba do Norte	-4.16694	06 Nov 2013	building	-40.7475	BR
Nampa	43.54072	27 Oct 2012	good	-116.56346	US
Fitchburg	42.58342	31 Oct 2013	building	-71.8023	US
Muncar	-8.43333	2017/11/07	accep	114.33333	ID
Rudolstadt	50.72043	10 Feb 2013	accep	11.34046	DE
Supaul	26.11527	09 Mar 2020	good	86.59509	IN
Fujioka	36.24624	02/11/2015, 00:00:00	excellent	139.07204	JP
Punta Gorda Isles	26.91756	11/03/2018, 00:00:00	average	-82.07842	US
Dipolog	8.56697	03/12/2017, 00:00:00	average	123.33471	PH
Strathfield	-33.88096	07/28/2015, 00:00:00	accep	151.07986	AU
Schleswig	54.52156	04/07/2013, 00:00:00	average	9.5586	DE
Danilov	58.1908	2021-10-22	accep	40.17171	RU
Carlsbad	32.42067	24 Jun 2018	good	-104.22884	US
North Lauderdale	26.2173	27 Oct 2012	average	-80.22588	US
Oaxaca	17.06542	2019-06-20	accep	-96.72365	MX
Hoxtolgay	46.51872	2015/06/13	maintenance	86.00214	CN
