location	revision	QoS	longitude	station	latitude
America/Chicago	01/29/2018, 00:00:00	building	-87.66561	Lower West Side	41.8542
Europe/Berlin	03/30/2022, 00:00:00	good	9.47629	Stade	53.59337
Asia/Shanghai	19 Feb 2019	average	115.04814	Huangshi	30.24706
Asia/Kolkata	2020/06/01	excellent	77.5609	Kangayam	11.00599
America/Los_Angeles	2019/02/20	excellent	-117.23991	Opportunity	47.64995
Asia/Kolkata	2016/10/13	accep	76.56719	Aklera	24.41288
Asia/Shanghai	2020/03/01	accep	117.33333	Taozhuang	34.85
Europe/Paris	08/24/2017, 00:00:00	accep	2.29275	Fontenay-aux-Roses	48.79325
Africa/Dar_es_Salaam	2018/02/27	average	35.7	Iringa	-7.76667
Asia/Kolkata	06/27/2013, 00:00:00	accep	74.80555	Srinagar	34.08565
Asia/Tehran	2016/01/14	average	48.26258	Aleshtar	33.86419
America/Chicago	23 Mar 2016	good	-97.92977	Hutchinson	38.06084
Asia/Barnaul	06/14/2019, 00:00:00	accep	83.62389	Novosilikatnyy	53.30972
Indian/Antananarivo	2015/11/05	accep	44.53333	Sakaraha	-22.9
Asia/Shanghai	2021/04/06	maintenance	123.17306	Liaoyang	41.27194
Europe/Paris	2017/12/18	average	2.29026	Sceaux	48.77644
Europe/Istanbul	26 Apr 2015	maintenance	41.00817	Silvan	38.13708
Europe/Madrid	2022/01/01	good	-1.60452	Tudela	42.06166
Europe/Moscow	26 Aug 2018	average	38.94324	Yablonovskiy	44.98901
Asia/Manila	08 Sep 2020	excellent	122.8637	Santa Catalina	9.3337
Africa/Lagos	2013/09/04	good	6.83042	Nkpor	6.15038
Asia/Manila	2013/07/30	excellent	123.33471	Dipolog	8.56697
Asia/Tashkent	2022/04/15	building	69.67639	Parkent	41.29444
Europe/Sofia	2012/12/23	average	23.225	Montana	43.4125
America/Havana	28 May 2021	building	-77.43532	Media Luna	20.14298
Australia/Perth	2018/06/10	excellent	115.8614	Perth	-31.95224
Asia/Kolkata	2018-10-10	good	85.94001	Teghra	25.49043
Europe/Paris	03/16/2020, 00:00:00	good	2.29026	Sceaux	48.77644
Africa/Algiers	2020-12-23	building	3.47717	Boumerdas	36.76639
Europe/Rome	2015-04-29	excellent	13.44275	Villabate	38.07789
America/Los_Angeles	2018-02-10	average	-122.24064	Bothell West	47.80527
Asia/Tashkent	2021/07/03	good	72.34424	Andijon	40.78206
Asia/Yekaterinburg	2021-09-11	excellent	60.8019	Beryozovsky	56.9083
Europe/Berlin	30 Aug 2020	average	8.91229	Eppingen	49.13645
America/Glace_Bay	2017/11/25	excellent	-60.1831	Sydney	46.1351
Europe/Berlin	2018/07/27	average	9.02596	Albstadt	48.21644
America/Maceio	02/08/2013, 00:00:00	maintenance	-37.65	Lagarto	-10.91722
America/Toronto	2013-07-07	good	-73.86586	Beaconsfield	45.43341
Asia/Tbilisi	2020/02/11	excellent	41.77921	Kobuleti	41.82143
Asia/Tokyo	2018/05/29	accep	140.11667	Inawashiro	37.56667
Europe/Moscow	2021/12/26	excellent	37.49338	Tyoply Stan	55.62047
Asia/Karachi	2015-08-11	average	74.12286	Kanganpur	30.76468
Atlantic/Azores	2019-03-04	average	-25.66689	Ponta Delgada	37.74615
Europe/London	08/19/2022, 00:00:00	excellent	1.15597	Clacton-on-Sea	51.78967
Europe/Madrid	2018/08/29	accep	1.10687	Reus	41.15612
Asia/Karachi	2014/06/22	accep	68.88871	Jhol	25.95533
Asia/Bangkok	2013/11/21	average	100.04427	Nakhon Pathom	13.8196
Europe/Kiev	2018/09/28	average	32.6178	Kherson	46.65581
Asia/Shanghai	08/11/2021, 00:00:00	average	105.89333	Beidao	34.56861
Asia/Kolkata	06/19/2014, 00:00:00	accep	72.85107	Bhayandar	19.30157
Asia/Tokyo	2022/08/16	accep	139.6853	Shimotoda	35.815
America/Chicago	02 Oct 2013	accep	-94.41551	Independence	39.09112
Asia/Jakarta	2015-08-30	average	109.05389	Wangon	-7.51611
America/Chicago	09/12/2016, 00:00:00	maintenance	-93.08883	Lino Lakes	45.16024
Europe/Lisbon	08/24/2013, 00:00:00	maintenance	-8.33147	Paredes	41.20485
Europe/Lisbon	2019/09/06	maintenance	-8.33147	Paredes	41.20485
America/Chicago	02/07/2014, 00:00:00	average	-95.36969	Muskogee	35.74788
America/New_York	2018/03/23	average	-80.08199	Thomasville	35.88264
Asia/Kolkata	12/26/2018, 00:00:00	good	78.14797	Betamcherla	15.45144
Asia/Shanghai	2015-03-14	good	120.74221	Changshu City	31.64615
Europe/London	11 May 2017	maintenance	-1.29772	Cowes	50.76306
Europe/London	2012/12/27	building	-0.76667	Gainsborough	53.38333
America/Mexico_City	2018/03/13	accep	-103.42897	Jocotepec	20.28527
Asia/Tehran	05/18/2022, 00:00:00	average	48.26258	Aleshtar	33.86419
Europe/Amsterdam	01 Aug 2018	average	6.92917	Oldenzaal	52.31333
America/Sao_Paulo	11/20/2013, 00:00:00	average	-48.67028	Imbituba	-28.24
Asia/Baghdad	2016/03/10	excellent	44.02488	Karbala	32.61603
Europe/Paris	2017/12/20	average	4.86667	Vienne	45.51667
Europe/Berlin	2018-01-04	good	10.03988	Barmbek-Nord	53.6052
Europe/Berlin	2021/05/02	accep	13.31783	Hermsdorf	52.61131
Asia/Jakarta	2015-10-15	accep	106.85417	Cibinong	-6.48167
Asia/Almaty	09/25/2015, 00:00:00	good	84.87144	Zaysan	47.46657
Europe/Berlin	2014-11-26	building	10.5511	Gifhorn	52.47774
America/Chicago	12/08/2012, 00:00:00	good	-95.30106	Tyler	32.35126
Africa/Lagos	24 Dec 2013	maintenance	4.92235	Efon-Alaaye	7.65649
America/Mexico_City	2021/01/16	accep	-101.2591	Guanajuato	21.01858
Europe/Berlin	2021-04-10	average	6.74549	Losheim	49.5099
Europe/Moscow	13 Apr 2017	good	37.56667	Likhobory	55.85
Africa/Casablanca	03/19/2021, 00:00:00	average	-6.00137	Oulmes	33.42585
Asia/Aden	2018-01-25	average	46.83187	Ataq	14.53767
Europe/London	2022/08/26	excellent	-2.09814	Aberdeen	57.14369
Europe/Rome	2013-03-24	average	11.412	Montecchio Maggiore-Alte Ceccato	45.50369
America/New_York	01/11/2018, 00:00:00	building	-73.95097	Greenpoint	40.72371
Asia/Tokyo	2015-10-15	average	137.02166	Minokamo	35.48199
America/Guayaquil	07/10/2015, 00:00:00	maintenance	-79.00453	Cuenca	-2.90055
Asia/Kolkata	11/18/2020, 00:00:00	building	82.85749	Elamanchili	17.54907
Europe/London	2017-04-29	good	-1.47217	Chapletown	53.46506
Asia/Shanghai	04/26/2021, 00:00:00	maintenance	117.55417	Zaozhuang	34.86472
Asia/Samarkand	2016/01/15	maintenance	67.84222	Jizzax	40.11583
America/New_York	09/06/2013, 00:00:00	good	-76.99081	Chillum	38.96372
America/Mexico_City	2016-03-06	excellent	-100.88023	Salvatierra	20.21322
Africa/Algiers	08/31/2017, 00:00:00	average	2.95924	Cheraga	36.76775
Africa/Lagos	2016/07/11	building	8.2926	Kafanchan	9.58126
Europe/Moscow	2020-06-13	maintenance	37.92792	Kireyevsk	53.93361
Africa/Tunis	2014/04/29	good	10.03478	El Alia	37.16911
Europe/Madrid	08/09/2013, 00:00:00	good	0.57856	Amposta	40.70995
America/Bahia	2016/09/11	good	-37.93278	Rio Real	-11.48472
Asia/Tokyo	2017/03/14	excellent	137.02166	Minokamo	35.48199
Europe/Berlin	02 Jun 2013	excellent	8.86704	Nidderau	50.23805
Asia/Barnaul	10 Nov 2021	excellent	83.62389	Novosilikatnyy	53.30972
Africa/Dar_es_Salaam	2013-09-22	average	39.25	Magomeni	-6.8
Asia/Shanghai	2018-12-25	good	115.70111	Hengshui	37.73222
Europe/Volgograd	07/07/2019, 00:00:00	accep	43.2379	Mikhaylovka	50.06
America/New_York	2018/03/04	good	-78.04471	Leland	34.25628
America/New_York	2020/04/08	good	-73.47429	Massapequa	40.68066
Asia/Bangkok	07/05/2022, 00:00:00	maintenance	99.95469	Damnoen Saduak	13.51825
Asia/Bangkok	06/14/2019, 00:00:00	accep	99.95469	Damnoen Saduak	13.51825
Europe/Paris	03/12/2013, 00:00:00	maintenance	4.8951	Valence	44.92801
Asia/Shanghai	2016/02/04	accep	114.51667	Wacheng	33.78333
America/Vancouver	2013-08-30	building	-119.48568	Kelowna	49.88307
Europe/Rome	03/08/2015, 00:00:00	maitennce	14.34085	Volla	40.87363
Africa/Algiers	2013/03/26	excellent	4.85668	Bordj Zemoura	36.27462
Europe/London	12/15/2021, 00:00:00	maintenance	0.93333	East Dereham	52.68333
America/Bahia	2017/09/20	accep	-37.93278	Rio Real	-11.48472
Asia/Krasnoyarsk	2020/08/18	building	89.20083	Sharypovo	55.54028
America/Sao_Paulo	2020/05/23	accep	-46.99583	Valinhos	-22.97056
Asia/Jakarta	2019-02-03	average	112.01667	Kediri	-7.81667
Africa/Dar_es_Salaam	07/20/2016, 00:00:00	accep	38.01667	Chanika	-5.41667
Europe/Moscow	2022/04/22	accep	43.63417	Novopavlovsk	43.96222
Asia/Kuala_Lumpur	2020-04-03	excellent	102.3278	Kampung Ayer Molek	2.2139
Europe/Lisbon	2015/10/03	excellent	-9.24671	Carnaxide	38.72706
Europe/London	16 Nov 2021	accep	1.15597	Clacton-on-Sea	51.78967
Asia/Kolkata	2012-12-22	average	78.23456	Bachhraon	28.92694
America/Caracas	02/09/2019, 00:00:00	accep	-62.64102	Ciudad Guayana	8.35122
America/Bogota	28 Nov 2012	good	-74.26419	Madrid	4.73245
Europe/Sofia	12/13/2012, 00:00:00	accep	23.225	Montana	43.4125
America/New_York	2013-09-18	good	-77.02303	Fort Washington	38.70734
Europe/London	28 Nov 2017	maitennce	-2.12139	Brierley Hill	52.48173
Europe/Brussels	2012/10/02	accep	3.20639	Mouscron	50.74497
America/Bogota	2012-12-31	building	-74.26419	Madrid	4.73245
America/Bogota	08/02/2020, 00:00:00	good	-73.9614	El Copey	10.15031
Asia/Kolkata	2022/02/06	excellent	75.96976	Gajendragarh	15.73628
Europe/Lisbon	2017/04/11	good	-8.33147	Paredes	41.20485
America/Indiana/Indianapolis	2018/06/25	excellent	-86.11084	Granger	41.75338
Europe/Moscow	12/22/2017, 00:00:00	maintenance	38.12408	Bogoroditsk	53.77166
Africa/Cairo	03/15/2018, 00:00:00	excellent	31.4976	Juhaynah	26.67319
America/Los_Angeles	30 Apr 2017	good	-116.97725	Beaumont	33.92946
Europe/Warsaw	2016-09-27	average	15.00835	Zgorzelec	51.14942
Europe/London	09/12/2021, 00:00:00	good	-4.21376	Rutherglen	55.82885
America/Chicago	2022-05-13	building	-87.88754	Bourbonnais	41.15376
America/Santiago	2017/02/28	maintenance	-73.02841	Chiguayante	-36.9256
Africa/Conakry	06 Jun 2019	accep	-13.68778	Camayenne	9.535
Europe/Berlin	03 Sep 2018	average	8.96317	Hechingen	48.35149
Asia/Tokyo	2020-01-03	good	139.55722	Okegawa	36
Africa/Kampala	2017/05/04	maintenance	32.88667	Kitgum	3.27833
Asia/Yekaterinburg	22 Oct 2016	accep	60.70278	Ozersk	55.75556
Europe/London	2012/10/19	building	-1.08593	Southsea	50.79205
Europe/London	2012-10-15	excellent	-3.05814	Rhosllanerchrugog	53.00974
America/Los_Angeles	22 Jun 2019	good	-120.93549	Riverbank	37.73604
America/Chicago	08/02/2014, 00:00:00	accep	-88.3162	Crystal Lake	42.24113
Asia/Hong_Kong	04/09/2019, 00:00:00	maintenance	114.10479	Tsuen Wan	22.37066
Asia/Kuala_Lumpur	06/27/2014, 00:00:00	average	100.24529	Batu Feringgi	5.4709
Africa/Niamey	10 Nov 2016	excellent	9.15013	Mirriah	13.70727
Asia/Kolkata	13 Jul 2015	maintenance	77.70636	Meerut	28.98002
Europe/Rome	2013-09-11	excellent	8.55552	Sassari	40.72586
Asia/Tokyo	03/26/2020, 00:00:00	excellent	137.36215	Namerikawa	36.75965
Europe/Rome	2015-07-20	maintenance	8.55552	Sassari	40.72586
America/Havana	10 Sep 2013	good	-82.00919	Jaruco	23.04419
Asia/Tokyo	18 Jun 2019	good	139.55722	Okegawa	36
Asia/Shanghai	17 Jan 2017	good	118.53333	Pucheng	27.92333
Europe/Berlin	2022/06/09	average	6.51352	Korschenbroich	51.19139
Europe/Bratislava	01/04/2020, 00:00:00	accep	17.8031	Hlohovec	48.43174
Asia/Tokyo	2013/10/18	good	137.95378	Ina	35.82756
Europe/Berlin	02/09/2020, 00:00:00	average	9.5926	Walsrode	52.86147
Asia/Yangon	25 Sep 2021	accep	98.50893	Myawadi	16.68911
America/Chicago	2021-09-10	excellent	-88.3162	Crystal Lake	42.24113
Asia/Kolkata	05/16/2022, 00:00:00	accep	77.54372	Periyakulam	10.12268
Asia/Tehran	11/17/2012, 00:00:00	excellent	51.67462	Isfahan	32.65246
Asia/Bangkok	12/18/2015, 00:00:00	good	104.1451	Yasothon	15.79408
America/New_York	2020-11-05	maintenance	-71.29144	Middletown	41.54566
Europe/Berlin	2021-01-09	good	8.91229	Eppingen	49.13645
Asia/Jerusalem	2013/08/12	good	34.75699	Rahat	31.39547
Asia/Yekaterinburg	03/26/2015, 00:00:00	excellent	59.4839	Kachkanar	58.7002
Asia/Karachi	2013-10-03	building	74.12286	Kanganpur	30.76468
Asia/Manila	22 Jan 2013	average	122.9666	Talisay	10.7375
Africa/Nairobi	2017-04-06	building	36.36339	Nyahururu	0.03813
Asia/Karachi	31 Jan 2016	excellent	68.88871	Jhol	25.95533
Africa/Lagos	13 Dec 2018	average	3.64633	Shagamu	6.8485
Asia/Shanghai	29 May 2018	average	116.11768	Meizhou	24.28859
Europe/Berlin	2015/08/21	excellent	6.51352	Korschenbroich	51.19139
America/Bahia	2015-11-17	excellent	-38.79084	Tucano	-10.95817
Europe/Berlin	2019/04/03	building	9.5926	Walsrode	52.86147
Asia/Kolkata	2022-09-14	good	76.32756	Kalavoor	9.57046
America/Cuiaba	2019/01/10	excellent	-52.35558	Nova Xavantina	-14.66463
Africa/Lubumbashi	23 Feb 2013	excellent	24.43973	Yangambi	0.76755
Europe/Paris	2017/11/19	accep	2.1699	Herblay	48.98994
Europe/Moscow	29 Oct 2019	maintenance	33.72798	Zhukovka	53.53395
America/Mexico_City	2015-05-07	maintenance	-94.91386	Acayucan	17.94979
America/Los_Angeles	12/24/2016, 00:00:00	accep	-117.29198	Encinitas	33.03699
Europe/Berlin	16 Feb 2021	average	7.20769	Siegburg	50.80019
Europe/Madrid	2016/05/12	maintenance	2.18247	el Camp de l'Arpa del Clot	41.41204
Asia/Shanghai	2018/07/14	excellent	113.82465	Licheng	23.29549
Europe/London	08 Dec 2020	average	-4.0573	Viewpark	55.82737
Europe/Amsterdam	03/13/2020, 00:00:00	good	6.61944	Hardenberg	52.57583
America/New_York	25 Feb 2022	accep	-82.07842	Punta Gorda Isles	26.91756
Asia/Seoul	2015-11-13	excellent	128.9889	T’aebaek	37.1759
Europe/London	2020-12-23	good	-2.09814	Aberdeen	57.14369
Europe/Madrid	2016/08/23	excellent	-3.53261	San Fernando de Henares	40.42386
America/Havana	06/24/2018, 00:00:00	accep	-82.4017	Boyeros	23.0072
Europe/Rome	2019-12-09	maintenance	17.80774	Mesagne	40.55851
Asia/Karachi	12/29/2018, 00:00:00	accep	70.96699	Kot Addu	30.46907
America/Tegucigalpa	12 Dec 2012	excellent	-86.57415	Olanchito	15.48131
Asia/Tokyo	2019-07-18	maintenance	136.51667	Komono	35
America/Chicago	2014-01-22	average	-88.70464	Tupelo	34.25807
Asia/Damascus	14 Aug 2022	accep	38.28402	Tadmur	34.5624
Africa/Tunis	06/14/2018, 00:00:00	accep	10.03478	El Alia	37.16911
Europe/Rome	2019-07-30	good	17.58522	Francavilla Fontana	40.53123
Europe/Berlin	01 Mar 2016	accep	11.34046	Rudolstadt	50.72043
America/Chicago	2016-04-11	average	-87.88754	Bourbonnais	41.15376
Europe/Berlin	2016-03-25	good	7.973	Finnentrop	51.168
America/Los_Angeles	2022/09/24	maintenance	-120.00865	Sunnyside	46.32374
America/Chicago	2021-10-03	average	-88.3162	Crystal Lake	42.24113
Europe/Tallinn	24 Jun 2020	maintenance	28.19028	Narva	59.37722
Europe/Lisbon	2018/07/08	average	-7.32097	Custoias	41.1053
Asia/Jakarta	07/02/2014, 00:00:00	average	106.92667	Sukabumi	-6.91806
Europe/Paris	18 Jan 2017	average	5.4584	Les Olives	43.32393
America/Managua	01/21/2019, 00:00:00	average	-86.58208	Somoto	13.48082
Europe/Dublin	2021/11/22	excellent	-7.35	An Muileann gCearr	53.53333
America/Merida	17 Sep 2014	average	-89.66123	Progreso	21.28306
Asia/Jakarta	08/26/2020, 00:00:00	building	110.8405	Kudus	-6.8048
America/Costa_Rica	03/21/2016, 00:00:00	average	-85.43772	Liberia	10.63504
Asia/Kolkata	05 Jan 2013	excellent	77.54372	Periyakulam	10.12268
Asia/Shanghai	04 Feb 2020	average	117.27583	Sishui	35.64889
Europe/Berlin	14 Dec 2015	good	7.02238	Gronau	52.21099
Europe/Zurich	11/22/2021, 00:00:00	good	6.10237	Onex	46.18396
America/Sao_Paulo	03/02/2022, 00:00:00	excellent	-48.62789	Caldas Novas	-17.74431
Asia/Tokyo	03/01/2019, 00:00:00	accep	144.09638	Motomachi	43.82634
Europe/Moscow	2022/05/24	excellent	43.83992	Arzamas	55.39485
Asia/Yekaterinburg	09 Aug 2022	good	69.49015	Ishim	56.11281
America/New_York	2019/01/10	accep	-71.8023	Fitchburg	42.58342
America/Toronto	04/22/2013, 00:00:00	accep	-73.58248	Sainte-Catherine	45.40008
America/Managua	11 Nov 2020	accep	-86.19903	Jinotepe	11.84962
Asia/Tokyo	04/16/2014, 00:00:00	average	137.23333	Gero	35.8
America/New_York	2014-07-20	average	-75.60804	West Chester	39.96097
America/Chicago	04/18/2014, 00:00:00	average	-96.67834	Ada	34.77453
Europe/Brussels	08/23/2013, 00:00:00	accep	3.20639	Mouscron	50.74497
Asia/Kolkata	04/19/2020, 00:00:00	good	76.35484	Alwaye	10.10649
America/Martinique	2013-12-22	maintenance	-60.94228	Le Robert	14.67751
Europe/Berlin	28 Nov 2012	excellent	13.10984	Oschatz	51.30001
America/New_York	05 Sep 2014	excellent	-78.87836	Fayetteville	35.05266
Asia/Karachi	2020-03-21	excellent	71.52847	Mianwali	32.57756
America/Los_Angeles	11/01/2020, 00:00:00	accep	-119.0376	Camarillo	34.21639
Pacific/Efate	2022/07/14	building	168.31366	Port-Vila	-17.73648
Asia/Shanghai	09/30/2018, 00:00:00	excellent	122.74754	Haicheng	40.85158
Asia/Kolkata	12/07/2014, 00:00:00	excellent	77.9129	Narwar	25.6439
America/New_York	09/06/2020, 00:00:00	building	-84.20299	Lebanon	39.43534
Europe/Madrid	11/07/2019, 00:00:00	building	-3.67029	Las Gabias	37.13548
Europe/Madrid	10 Jun 2020	excellent	-3.67029	Las Gabias	37.13548
Asia/Seoul	2014/04/09	average	128.62667	Sinhyeon	34.8825
America/Bogota	2014-08-14	accep	-75.69947	San Carlos	8.79577
America/Recife	2015-11-18	excellent	-35.03333	Cabo	-8.28333
Asia/Qyzylorda	19 Nov 2016	good	65.50917	Kyzylorda	44.85278
Europe/Madrid	12/12/2015, 00:00:00	maintenance	-1.64295	Segundo Ensanche	42.8139
America/Los_Angeles	08/14/2016, 00:00:00	maintenance	-121.75689	Watsonville	36.91023
Europe/London	01/06/2018, 00:00:00	excellent	-2.52398	Winsford	53.19146
America/Sao_Paulo	31 Aug 2017	accep	-50.00639	Palmeira	-25.42944
Asia/Tehran	2017/01/17	good	47.3799	Darreh Shahr	33.14447
Africa/Lagos	2020-01-17	excellent	6.83042	Nkpor	6.15038
Asia/Kolkata	2020/12/03	building	85.37752	Barbil	22.10194
Asia/Shanghai	01 Dec 2013	excellent	117.27583	Sishui	35.64889
Europe/Rome	28 Mar 2017	accep	14.01481	Roseto degli Abruzzi	42.67164
Africa/Lagos	2015-03-08	maintenance	4.18333	Olupona	7.6
Africa/Mogadishu	2022/02/28	maintenance	43.38531	Baki	9.89206
America/New_York	13 Oct 2015	maitennce	-73.97069	Kensington	40.64621
Europe/Madrid	04/01/2013, 00:00:00	good	-8.2194	Ferrol	43.48961
Indian/Reunion	08/04/2016, 00:00:00	good	55.4504	Saint-Denis	-20.88231
Europe/Berlin	2016/04/29	accep	8.86704	Nidderau	50.23805
America/New_York	2016-07-14	accep	-73.47429	Massapequa	40.68066
Asia/Phnom_Penh	07/07/2022, 00:00:00	accep	102.56365	Paoy Paet	13.65805
America/Los_Angeles	2020-05-26	building	-121.74052	Davis	38.54491
Europe/Andorra	2016/01/02	accep	1.53414	les Escaldes	42.50729
Europe/Brussels	07 Mar 2018	accep	3.20639	Mouscron	50.74497
Asia/Tokyo	08 Jul 2017	average	138.31667	Suzaka	36.65
America/Los_Angeles	07/30/2022, 00:00:00	average	-116.21677	Indio	33.7207
America/Chicago	05/13/2014, 00:00:00	average	-95.63079	Palestine	31.76212
Asia/Tokyo	2015-06-18	excellent	139.55722	Okegawa	36
America/Port-au-Prince	08/29/2022, 00:00:00	good	-72.22625	Croix-des-Bouquets	18.57677
America/Mexico_City	11/07/2020, 00:00:00	excellent	-93.11308	Tuxtla	16.75973
America/Sao_Paulo	2015-10-01	accep	-47.53028	Santa Gertrudes	-22.45667
America/Maceio	2016/02/05	building	-37.65	Lagarto	-10.91722
Africa/Conakry	2021-01-29	maintenance	-13.68778	Camayenne	9.535
Africa/Nairobi	2012-11-26	accep	34.11169	Busia	0.46005
Europe/Paris	2013-12-11	average	4.86667	Vienne	45.51667
America/New_York	2016-10-26	accep	-77.96389	Martinsburg	39.45621
Europe/Berlin	2012/11/17	good	6.74549	Losheim	49.5099
America/Sao_Paulo	2014-04-17	good	-52.2	Marau	-28.44917
Asia/Kuala_Lumpur	2021/09/08	good	102.3278	Kampung Ayer Molek	2.2139
America/Bogota	2017/05/20	maintenance	-75.87877	Andes	5.6561
Asia/Shanghai	09/23/2015, 00:00:00	good	112.9	Xiangtan	27.85
Asia/Ho_Chi_Minh	2019-03-25	average	105.75635	Sa Dec	10.29085
Asia/Seoul	2013/12/02	building	128.63083	Eisen	36.82167
America/Bogota	11/02/2016, 00:00:00	good	-75.87877	Andes	5.6561
America/Bogota	2018-09-17	accep	-74.95472	Puerto Colombia	10.98778
America/Mexico_City	06/11/2016, 00:00:00	excellent	-98.1664	Contla	19.32932
America/Chicago	2018-07-28	maintenance	-93.75018	Shreveport	32.52515
Asia/Barnaul	2021/11/06	building	83.62389	Novosilikatnyy	53.30972
America/Matamoros	18 Jul 2014	good	-97.50417	Heroica Matamoros	25.87972
Europe/Berlin	2014/01/30	accep	7.11393	Burscheid	51.08468
America/New_York	03 Dec 2013	good	-74.01042	Newburgh	41.50343
America/Sao_Paulo	08/28/2014, 00:00:00	good	-47.1725	Artur Nogueira	-22.57306
Europe/Bratislava	2014/07/25	excellent	17.22635	Skalica	48.8449
America/Fortaleza	2015/02/25	excellent	-42.29444	Barras	-4.24444
America/Sao_Paulo	2019/06/01	good	-53.13722	Loanda	-22.92306
America/Detroit	2012-12-11	average	-84.62081	Waverly	42.7392
America/Montevideo	2013-10-22	good	-56.52361	Durazno	-33.38056
Europe/London	2020/03/01	average	-1.32471	Newbury	51.40148
Asia/Kuala_Lumpur	2015-12-13	accep	102.3278	Kampung Ayer Molek	2.2139
Asia/Manila	2017-01-10	excellent	121.06761	San Jose	12.35275
Asia/Kolkata	2019/06/21	accep	76.11996	Manjeri	11.12018
America/New_York	2021-11-29	good	-83.55521	Toledo	41.66394
Europe/Paris	12/22/2016, 00:00:00	average	2.18967	Rueil-Malmaison	48.8765
Australia/Sydney	2015-02-08	accep	151.08057	Eastwood	-33.79176
Asia/Kolkata	2020-03-11	excellent	77.9129	Narwar	25.6439
America/Montevideo	21 Apr 2015	excellent	-56.52361	Durazno	-33.38056
Europe/Helsinki	2020/11/27	average	24.95034	Kallio	60.18427
Asia/Jakarta	07 Dec 2012	maintenance	112.01667	Kediri	-7.81667
America/Jamaica	2018-02-28	building	-76.78319	New Kingston	18.00747
Europe/Paris	05/07/2021, 00:00:00	maintenance	2.18967	Rueil-Malmaison	48.8765
Africa/Cairo	11/04/2013, 00:00:00	excellent	29.91582	Alexandria	31.20176
America/Puerto_Rico	2016/10/27	building	-66.8499	Yauco	18.03496
Africa/Tunis	18 Jul 2017	good	10.03478	El Alia	37.16911
Asia/Tokyo	2015/12/16	good	137.95378	Ina	35.82756
Africa/Blantyre	03/07/2021, 00:00:00	accep	34.4587	Salima	-13.7804
Asia/Tokyo	06 Feb 2019	building	140.11667	Inawashiro	37.56667
America/El_Salvador	2017/10/15	accep	-89.71472	Sonzacate	13.73417
America/New_York	2021-11-14	good	-73.78458	Scarsdale	41.0051
Asia/Kolkata	2022/08/18	excellent	74.85849	Patti	31.28092
Asia/Jerusalem	06/28/2022, 00:00:00	good	34.86563	Ramla	31.92923
America/Chicago	2016-07-14	building	-88.70464	Tupelo	34.25807
Asia/Kolkata	2017/12/24	good	71.30633	Kundla	21.34222
Asia/Kolkata	2013-11-03	good	82.85749	Elamanchili	17.54907
Africa/Gaborone	03 Mar 2018	accep	27.46153	Tonota	-21.44236
America/Panama	2014-07-19	average	-79.62098	Chilibre	9.15093
Asia/Tokyo	14 Dec 2015	excellent	138.89585	Annaka	36.33011
Asia/Manila	15 Apr 2018	maintenance	122.8637	Santa Catalina	9.3337
Europe/Moscow	07 Feb 2015	good	37.49338	Tyoply Stan	55.62047
Europe/Berlin	19 Jun 2021	accep	10.98461	Friedberg	48.35693
Europe/Berlin	05 Dec 2014	average	10.30215	Bad Segeberg	53.94313
Europe/London	2019/06/10	average	-2.58736	Arbroath	56.56317
Europe/Paris	12/13/2021, 00:00:00	excellent	-4.1	Quimper	48
America/Mexico_City	2019-07-14	accep	-100.88023	Salvatierra	20.21322
Asia/Kolkata	21 Jan 2018	excellent	74.80555	Srinagar	34.08565
Asia/Tokyo	01/17/2018, 00:00:00	maintenance	136.84186	Toba	34.4833
Europe/Moscow	2015/02/11	excellent	43.63417	Novopavlovsk	43.96222
Europe/Brussels	2021/04/04	good	4.82313	Lille	51.24197
America/New_York	11 Jul 2020	excellent	-71.08977	Taunton	41.9001
Australia/Perth	2014-02-18	accep	115.8614	Perth	-31.95224
America/New_York	2017-11-19	average	-84.23381	Stockbridge	33.54428
Asia/Baku	2019/07/25	accep	45.36561	Qazax	41.09246
America/Managua	2018-09-12	building	-86.19903	Jinotepe	11.84962
Europe/Paris	11/11/2019, 00:00:00	average	8.73812	Ajaccio	41.91886
America/New_York	2015/08/05	building	-74.38987	Scotch Plains	40.65538
Europe/London	22 Aug 2014	good	0.75	Thetford	52.41667
America/Sao_Paulo	2021-02-27	excellent	-41.25528	Resplendor	-19.32556
Europe/Berlin	2017/10/12	acceptable	6.51352	Korschenbroich	51.19139
Europe/Paris	2013-02-18	building	4.86667	Vienne	45.51667
Europe/London	2015/04/12	excellent	-2.52398	Winsford	53.19146
Asia/Tbilisi	2020/10/03	accep	41.77921	Kobuleti	41.82143
Asia/Vladivostok	15 Nov 2013	average	133.42825	Lesozavodsk	45.47885
Indian/Antananarivo	2020/04/08	maintenance	44.53333	Sakaraha	-22.9
Europe/Berlin	2018/09/24	good	10.30215	Bad Segeberg	53.94313
Asia/Shanghai	21 Jun 2017	accep	114.68333	Heyuan	23.73333
Europe/Berlin	2021/03/07	maintenance	13.28702	Dahlem	52.4581
America/Chicago	2013/08/23	accep	-87.45476	Schererville	41.47892
Australia/Brisbane	2019/05/28	maintenance	153.10236	Carindale	-27.50578
Europe/London	2014-04-25	good	-0.32247	Lancing	50.82882
Europe/London	2014/01/03	average	-0.36053	Bushey	51.64316
America/Los_Angeles	06 Jul 2017	average	-122.40433	Visitacion Valley	37.71715
