station	QoS	longitude	location	revision	latitude
Dublin	maintenance	-82.90375	America/New_York	07/04/2013, 00:00:00	32.54044
Marau	good	-52.2	America/Sao_Paulo	2021-10-08	-28.44917
Sirsi	excellent	74.83554	Asia/Kolkata	2015/10/08	14.62072
Perugia	accep	12.38878	Europe/Rome	09/24/2022, 00:00:00	43.1122
Ponta Delgada	average	-25.66689	Atlantic/Azores	10/04/2020, 00:00:00	37.74615
Troutdale	average	-122.38731	America/Los_Angeles	2016-05-22	45.53929
Sterling	building	-77.4286	America/New_York	08/17/2019, 00:00:00	39.00622
Esperanza	average	-60.93173	America/Argentina/Cordoba	01 Feb 2022	-31.4488
El Alia	accep	10.03478	Africa/Tunis	2013-09-17	37.16911
Majene	average	118.9707	Asia/Makassar	2015-07-27	-3.5403
Mexborough	average	-1.29243	Europe/London	05 Jun 2017	53.49389
Sydney	accep	-60.1831	America/Glace_Bay	04/03/2018, 00:00:00	46.1351
Toyokawa	excellent	137.4	Asia/Tokyo	2018/08/23	34.81667
Talisay	good	122.9666	Asia/Manila	08 Dec 2020	10.7375
Beveren	accep	4.25633	Europe/Brussels	14 Mar 2022	51.21187
Darreh Shahr	excellent	47.3799	Asia/Tehran	2018-04-22	33.14447
Boo	accep	18.28333	Europe/Stockholm	2022/06/03	59.33333
Rwamagana	accep	30.4347	Africa/Kigali	13 Nov 2015	-1.9487
Valletta	average	14.51472	Europe/Malta	31 May 2014	35.89972
Nowra	average	150.60036	Australia/Sydney	2013/10/17	-34.88422
Brzeg	excellent	17.4674	Europe/Warsaw	2015-05-24	50.86079
Chichicastenango	building	-91.11667	America/Guatemala	25 Jul 2019	14.93333
Mwandiga	average	29.65806	Africa/Dar_es_Salaam	2019/12/19	-4.83
Naga	good	123.758	Asia/Manila	2018/03/23	10.20898
Selby	building	-1.06667	Europe/London	03/24/2020, 00:00:00	53.78333
Mikhaylovka	excellent	43.2379	Europe/Volgograd	23 Mar 2016	50.06
Riverbank	accep	-120.93549	America/Los_Angeles	2020/01/18	37.73604
Palm Valley	good	-81.38758	America/New_York	02 Jan 2021	30.17746
Oberhausen	good	6.8625	Europe/Berlin	2017/12/26	51.47805
Fort Washington	good	-77.02303	America/New_York	2012-12-05	38.70734
Kelowna	good	-119.48568	America/Vancouver	11/04/2014, 00:00:00	49.88307
Shuangcheng	accep	126.28333	Asia/Shanghai	2022-08-10	45.35
Fresno	excellent	-95.44744	America/Chicago	08 Sep 2017	29.53885
Trossingen	average	8.64409	Europe/Berlin	04 May 2019	48.07667
Valday	maitennce	33.2525	Europe/Moscow	09/19/2013, 00:00:00	57.97472
Cabo	maintenance	-35.03333	America/Recife	2017/03/19	-8.28333
Kediri	good	112.01667	Asia/Jakarta	12 Jun 2015	-7.81667
Barmbek-Nord	excellent	10.03988	Europe/Berlin	2018-02-23	53.6052
Malden	maintenance	-71.06616	America/New_York	06/19/2013, 00:00:00	42.4251
Brentwood Estates	good	-86.77917	America/Chicago	04/18/2016, 00:00:00	36.02506
Nowshahr	good	51.49621	Asia/Tehran	20 Jan 2019	36.64852
Wesseling	good	6.9747	Europe/Berlin	04 Sep 2018	50.82709
Villa del Rosario	good	-72.47417	America/Bogota	2013-12-31	7.83389
Binnish	average	36.7138	Asia/Damascus	2019/06/11	35.95664
Lanciano	good	14.39024	Europe/Rome	2016/05/13	42.22718
Yakuplu	maintenance	28.67582	Europe/Istanbul	06 Feb 2018	40.98894
Myawadi	good	98.50893	Asia/Yangon	2020-08-17	16.68911
Saraktash	accep	56.36091	Asia/Yekaterinburg	2013/02/06	51.78771
Schererville	maintenance	-87.45476	America/Chicago	13 Feb 2017	41.47892
Loanda	building	-53.13722	America/Sao_Paulo	2019/08/25	-22.92306
Novopavlovsk	maintenance	43.63417	Europe/Moscow	2012-12-24	43.96222
Socorro	excellent	-73.26022	America/Bogota	2018-07-17	6.46838
Rio Real	building	-37.93278	America/Bahia	2018-12-15	-11.48472
Progreso	accep	-89.66123	America/Merida	2021-10-28	21.28306
Milledgeville	excellent	-83.2321	America/New_York	08 May 2013	33.08014
Denderleeuw	average	4.07601	Europe/Brussels	2018-04-06	50.88506
Sun City Center	accep	-82.35176	America/New_York	02/08/2021, 00:00:00	27.71809
Montana	good	23.225	Europe/Sofia	03 Jun 2021	43.4125
Landshut	excellent	12.16179	Europe/Berlin	2016/05/25	48.52961
Chilibre	building	-79.62098	America/Panama	2016/02/27	9.15093
Covington	accep	-84.50855	America/New_York	2021-11-04	39.08367
Diamond Harbour	good	88.18466	Asia/Kolkata	2021/07/10	22.19303
El Alia	average	10.03478	Africa/Tunis	2018/11/07	37.16911
Yenagoa	good	6.26764	Africa/Lagos	2013-08-30	4.92675
Salima	accep	34.4587	Africa/Blantyre	14 Aug 2013	-13.7804
Kamina	excellent	24.99798	Africa/Lubumbashi	2017/03/16	-8.73508
Catende	good	-35.71667	America/Recife	2022/06/04	-8.66667
Belle Glade	good	-80.66756	America/New_York	2012/12/09	26.68451
Estelle	acceptable	-90.10674	America/Chicago	05/10/2019, 00:00:00	29.84576
Cebu City	maintenance	123.89071	Asia/Manila	26 Jul 2016	10.31672
Myawadi	excellent	98.50893	Asia/Yangon	05/30/2013, 00:00:00	16.68911
Esperanza	excellent	-60.93173	America/Argentina/Cordoba	2017/12/06	-31.4488
Yao	good	135.6	Asia/Tokyo	03/09/2020, 00:00:00	34.61667
Nova Kakhovka	building	33.34864	Europe/Kiev	21 Oct 2020	46.75451
Leteri	building	77.40858	Asia/Kolkata	05/10/2018, 00:00:00	24.05979
Carnaxide	maintenance	-9.24671	Europe/Lisbon	2013-12-06	38.72706
South Lawndale	accep	-87.71255	America/Chicago	2020-09-19	41.84364
Niort	average	-0.45877	Europe/Paris	2018-02-20	46.32313
Barracas	building	-58.38341	America/Argentina/Buenos_Aires	24 Jul 2013	-34.64966
Brzeg	average	17.4674	Europe/Warsaw	11/15/2020, 00:00:00	50.86079
Darreh Shahr	accep	47.3799	Asia/Tehran	06/12/2021, 00:00:00	33.14447
Novopavlovsk	building	43.63417	Europe/Moscow	11/30/2020, 00:00:00	43.96222
La Victoria	accep	-67.33122	America/Caracas	03/10/2020, 00:00:00	10.22677
Larkana	good	68.21204	Asia/Karachi	2014/08/24	27.55898
Kallio	good	24.95034	Europe/Helsinki	14 Apr 2016	60.18427
Aberdeen	good	-2.09814	Europe/London	21 Feb 2015	57.14369
Peabody	excellent	-70.92866	America/New_York	2019/03/09	42.52787
La Garenne-Colombes	accep	2.2469	Europe/Paris	2022-03-13	48.90472
Alytus	maintenance	24.04142	Europe/Vilnius	2021/01/08	54.39635
Aracaju	good	-37.07167	America/Maceio	2015-12-22	-10.91111
Rafaela	average	-61.4867	America/Argentina/Cordoba	2021-07-23	-31.25033
Patnos	good	42.85693	Europe/Istanbul	20 Apr 2020	39.22493
Novosilikatnyy	excellent	83.62389	Asia/Barnaul	2013/07/23	53.30972
Yanliang	accep	109.22921	Asia/Shanghai	2015/12/14	34.65918
Kingston upon Hull	building	-0.33525	Europe/London	07/29/2019, 00:00:00	53.7446
Denderleeuw	good	4.07601	Europe/Brussels	2022/06/07	50.88506
Vienne	accep	4.86667	Europe/Paris	01/18/2013, 00:00:00	45.51667
Reus	good	1.10687	Europe/Madrid	11 Feb 2016	41.15612
Komono	accep	136.51667	Asia/Tokyo	2017/04/26	35
San Rafael	excellent	-84.13722	America/Costa_Rica	2022-04-29	9.92787
Gariadhar	building	71.57737	Asia/Kolkata	24 Jan 2014	21.53889
Fresno	good	-95.44744	America/Chicago	02/20/2014, 00:00:00	29.53885
Granger	accep	-86.11084	America/Indiana/Indianapolis	2022/07/12	41.75338
Oktyabr’skiy	accep	53.47103	Asia/Yekaterinburg	2015-03-09	54.48147
Nampa	good	-116.56346	America/Boise	2019-05-16	43.54072
Villa del Rosario	accep	-72.47417	America/Bogota	12/30/2016, 00:00:00	7.83389
Olupona	average	4.18333	Africa/Lagos	2016/07/12	7.6
Kheda	accep	72.68533	Asia/Kolkata	2019-06-17	22.75218
Ozersk	building	60.70278	Asia/Yekaterinburg	01/03/2019, 00:00:00	55.75556
Malnate	good	8.88104	Europe/Rome	2022/03/08	45.79377
Kashipur	accep	78.95693	Asia/Kolkata	10/11/2021, 00:00:00	29.21399
South Whittier	excellent	-118.03917	America/Los_Angeles	22 Oct 2013	33.95015
Biu	excellent	12.19458	Africa/Lagos	12/15/2015, 00:00:00	10.61285
Oldenzaal	good	6.92917	Europe/Amsterdam	12/10/2018, 00:00:00	52.31333
Iwade	accep	135.31667	Asia/Tokyo	2020/10/05	34.25
Charlottenburg-Nord	accep	13.29371	Europe/Berlin	2022-09-07	52.53048
Palmeira	excellent	-50.00639	America/Sao_Paulo	23 Apr 2019	-25.42944
Somoto	average	-86.58208	America/Managua	2017-09-08	13.48082
Kyzylorda	excellent	65.50917	Asia/Qyzylorda	05 Oct 2019	44.85278
Pekin	maintenance	-89.64066	America/Chicago	2022-02-22	40.56754
Al Jubayl	good	49.62251	Asia/Riyadh	28 May 2016	27.0174
Darreh Shahr	building	47.3799	Asia/Tehran	2020/03/15	33.14447
Zacoalco de Torres	average	-103.5687	America/Mexico_City	04/03/2016, 00:00:00	20.22816
San Juan de Aznalfarache	accep	-6.03731	Europe/Madrid	24 Jan 2017	37.35813
Rafiganj	maintenance	84.63445	Asia/Kolkata	15 Jul 2021	24.81757
Deltona	good	-81.26367	America/New_York	06 Jun 2020	28.90054
Clermont	accep	-81.77285	America/New_York	05/10/2016, 00:00:00	28.54944
Kelowna	good	-119.48568	America/Vancouver	2020-01-17	49.88307
Alwaye	average	76.35484	Asia/Kolkata	2017/10/29	10.10649
Lodwar	excellent	35.59642	Africa/Nairobi	2021-08-08	3.11988
Independence	excellent	-94.41551	America/Chicago	2019/07/14	39.09112
Puertollano	building	-4.10734	Europe/Madrid	2018-04-01	38.68712
Malnate	good	8.88104	Europe/Rome	10/11/2016, 00:00:00	45.79377
Chilibre	excellent	-79.62098	America/Panama	2015/03/04	9.15093
Vienne	accep	4.86667	Europe/Paris	2019/05/20	45.51667
Roi Et	accep	103.65309	Asia/Bangkok	2013-05-10	16.0567
Paredes	average	-8.33147	Europe/Lisbon	2021/10/19	41.20485
Kolomyagi	excellent	30.28491	Europe/Moscow	2020-05-01	60.02427
Adliswil	average	8.52462	Europe/Zurich	2018-01-20	47.30997
Oberhausen	accep	6.8625	Europe/Berlin	06/19/2019, 00:00:00	51.47805
Tianfu	maintenance	122.05228	Asia/Shanghai	2016-01-21	37.19723
Sirsi	good	74.83554	Asia/Kolkata	23 Feb 2022	14.62072
South Lawndale	building	-87.71255	America/Chicago	07/16/2015, 00:00:00	41.84364
Carlos Barbosa	good	-51.50361	America/Sao_Paulo	25 May 2022	-29.2975
Naga	maintenance	123.758	Asia/Manila	12/19/2013, 00:00:00	10.20898
Ken Caryl	average	-105.11221	America/Denver	03/04/2020, 00:00:00	39.57582
Lesozavodsk	good	133.42825	Asia/Vladivostok	2017/12/27	45.47885
Strzelce Opolskie	maintenance	18.30056	Europe/Warsaw	2017-05-06	50.5107
Longview	excellent	-94.74049	America/Chicago	13 Jun 2019	32.5007
Sukabumi	good	106.92667	Asia/Jakarta	2019/01/11	-6.91806
Sassari	good	8.55552	Europe/Rome	2017-04-25	40.72586
Taunton	good	-71.08977	America/New_York	2014/10/16	41.9001
Niort	accep	-0.45877	Europe/Paris	2022-07-22	46.32313
Sorsogon	average	123.99333	Asia/Manila	2014/06/22	12.97389
Timaru	excellent	171.25364	Pacific/Auckland	2018/12/02	-44.39672
Nova Xavantina	good	-52.35558	America/Cuiaba	11/19/2021, 00:00:00	-14.66463
Qadirpur Ran	accep	71.67164	Asia/Karachi	14 May 2018	30.29184
Antipolo	average	121.12251	Asia/Manila	2020-08-23	14.62578
Ciudad Guayana	building	-62.64102	America/Caracas	19 Dec 2021	8.35122
Dehiwala-Mount Lavinia	excellent	79.87116	Asia/Colombo	2018/01/12	6.84019
Westchester	maintenance	-87.882	America/Chicago	2019-03-18	41.85059
Nowshahr	accep	51.49621	Asia/Tehran	11 Dec 2016	36.64852
Rutherglen	excellent	-4.21376	Europe/London	05/17/2018, 00:00:00	55.82885
Gainesville	good	-82.32483	America/New_York	2022/01/30	29.65163
Boli	average	130.57211	Asia/Shanghai	11/29/2012, 00:00:00	45.75279
El Alia	acceptable	10.03478	Africa/Tunis	01 May 2018	37.16911
Betamcherla	excellent	78.14797	Asia/Kolkata	09/01/2015, 00:00:00	15.45144
Pedro II	good	-41.45861	America/Fortaleza	2014-08-21	-4.42472
Siliana	average	9.37082	Africa/Tunis	05/21/2021, 00:00:00	36.08497
Gero	accep	137.23333	Asia/Tokyo	16 Oct 2019	35.8
Iringa	accep	35.7	Africa/Dar_es_Salaam	2021-04-05	-7.76667
Strathfield	accep	151.07986	Australia/Sydney	01/05/2017, 00:00:00	-33.88096
Saraj	excellent	21.32778	Europe/Skopje	2017/10/04	42
Meizhou	accep	116.11768	Asia/Shanghai	2017-08-13	24.28859
Kantharalak	maintenance	104.64992	Asia/Bangkok	2016-07-15	14.64056
Palm Valley	excellent	-81.38758	America/New_York	2017/09/27	30.17746
Biu	good	12.19458	Africa/Lagos	10/20/2016, 00:00:00	10.61285
Norco	accep	-117.54866	America/Los_Angeles	12/06/2013, 00:00:00	33.93113
Bron	maintenance	4.91667	Europe/Paris	2021-01-19	45.73333
Karatsu	accep	129.96972	Asia/Tokyo	2017-03-01	33.4425
Searcy	building	-91.73625	America/Chicago	2017-07-17	35.25064
Kirchlengern	building	8.63333	Europe/Berlin	13 Jun 2014	52.2
Kediri	good	112.01667	Asia/Jakarta	11/02/2017, 00:00:00	-7.81667
Timaru	accep	171.25364	Pacific/Auckland	2016-01-21	-44.39672
Solntsevo	accep	37.38115	Europe/Moscow	12 Nov 2020	55.63711
Oberhausen	good	6.8625	Europe/Berlin	2021-11-11	51.47805
Glogovac	building	20.89389	Europe/Belgrade	07/13/2022, 00:00:00	42.62833
Norfolk County	building	-80.38297	America/Toronto	2017/08/08	42.8334
Baki	maintenance	43.38531	Africa/Mogadishu	08 Jul 2020	9.89206
Nova Kakhovka	excellent	33.34864	Europe/Kiev	2018/03/16	46.75451
Zeitz	accep	12.1369	Europe/Berlin	2015-10-29	51.04962
Poulton-le-Fylde	accep	-2.98333	Europe/London	23 Sep 2020	53.83333
Yangambi	maintenance	24.43973	Africa/Lubumbashi	2014/08/12	0.76755
Batu Feringgi	accep	100.24529	Asia/Kuala_Lumpur	2018/05/12	5.4709
West Des Moines	good	-93.71133	America/Chicago	02/16/2021, 00:00:00	41.57721
Andijon	average	72.34424	Asia/Tashkent	2018/04/10	40.78206
Tsuen Wan	accep	114.10479	Asia/Hong_Kong	27 Nov 2020	22.37066
Mbalmayo	average	11.5	Africa/Douala	10/31/2013, 00:00:00	3.51667
Martinsburg	good	-77.96389	America/New_York	2014-06-24	39.45621
Bourbonnais	excellent	-87.88754	America/Chicago	2016/11/12	41.15376
Gaziantep	accep	37.3825	Europe/Istanbul	2019/03/01	37.05944
Baulkham Hills	average	150.99292	Australia/Sydney	06/29/2020, 00:00:00	-33.75881
Ehingen	average	9.72749	Europe/Berlin	2014-03-13	48.28259
Malakhovka	good	38.02486	Europe/Moscow	2016/05/01	55.64776
Pekanbaru	average	101.44167	Asia/Jakarta	2018-04-18	0.51667
Lagos	accep	3.39467	Africa/Lagos	13 Sep 2021	6.45407
Yao	excellent	135.6	Asia/Tokyo	2014-08-07	34.61667
Brazzaville	good	15.28318	Africa/Brazzaville	03/05/2014, 00:00:00	-4.26613
Middle River	good	-76.43941	America/New_York	2014/02/07	39.33427
Minokamo	good	137.02166	Asia/Tokyo	10/18/2021, 00:00:00	35.48199
Boli	accep	130.57211	Asia/Shanghai	11 Jan 2017	45.75279
Mouscron	accep	3.20639	Europe/Brussels	10 Nov 2014	50.74497
Nidderau	excellent	8.86704	Europe/Berlin	2014/06/22	50.23805
Santa Gertrudes	accep	-47.53028	America/Sao_Paulo	04/14/2020, 00:00:00	-22.45667
Ehingen	good	9.72749	Europe/Berlin	2014/03/17	48.28259
Volla	good	14.34085	Europe/Rome	2022-03-18	40.87363
New Yekepa	excellent	-8.53778	Africa/Monrovia	2020-05-21	7.57944
Darreh Shahr	accep	47.3799	Asia/Tehran	2014-12-27	33.14447
Lower West Side	building	-87.66561	America/Chicago	09/03/2018, 00:00:00	41.8542
Siegburg	excellent	7.20769	Europe/Berlin	12 Sep 2019	50.80019
Ken Caryl	accep	-105.11221	America/Denver	28 Aug 2022	39.57582
Okahandja	good	16.91667	Africa/Windhoek	2019-08-10	-21.98333
Carindale	accep	153.10236	Australia/Brisbane	2020/02/08	-27.50578
Tarakan	accep	117.59152	Asia/Makassar	11/15/2018, 00:00:00	3.31332
Motomachi	maintenance	144.09638	Asia/Tokyo	18 Mar 2014	43.82634
Sar-e Pul	average	65.93249	Asia/Kabul	10 Dec 2020	36.21544
Norwalk	good	-82.61573	America/New_York	2014-06-22	41.24255
Frenda	good	1.04945	Africa/Algiers	12/27/2012, 00:00:00	35.06544
Maryborough	maintenance	152.70493	Australia/Brisbane	2013/03/27	-25.54073
Mongo	excellent	18.69303	Africa/Ndjamena	2016/10/05	12.18441
Sakaraha	good	44.53333	Indian/Antananarivo	23 Jun 2014	-22.9
La Victoria	good	-67.33122	America/Caracas	2017-10-21	10.22677
Dehiwala-Mount Lavinia	excellent	79.87116	Asia/Colombo	2021-12-15	6.84019
Recife	good	-34.88111	America/Recife	08/25/2014, 00:00:00	-8.05389
Amreli	accep	71.21169	Asia/Kolkata	2017/01/12	21.59983
Griffith	accep	146.05093	Australia/Sydney	07/13/2017, 00:00:00	-34.28853
Busia	maintenance	34.11169	Africa/Nairobi	08 Sep 2015	0.46005
Valday	average	33.2525	Europe/Moscow	2015/04/20	57.97472
Chharra	average	78.40102	Asia/Kolkata	02/09/2016, 00:00:00	27.9247
Gua Musang	good	101.96857	Asia/Kuala_Lumpur	11 Feb 2015	4.88441
Eisen	good	128.63083	Asia/Seoul	2013-01-04	36.82167
Aksaray	accep	34.02537	Europe/Istanbul	26 Jan 2017	38.37255
Madrid	maintenance	-74.26419	America/Bogota	12/31/2017, 00:00:00	4.73245
Gilbert	average	-111.78903	America/Phoenix	04 Feb 2018	33.35283
Dongfeng	excellent	125.51176	Asia/Shanghai	29 Oct 2014	42.64031
Nyahururu	average	36.36339	Africa/Nairobi	18 Jan 2020	0.03813
Houthalen	maintenance	5.37429	Europe/Brussels	08/08/2017, 00:00:00	51.03427
Beveren	average	4.25633	Europe/Brussels	2018-05-27	51.21187
Rutland	excellent	-72.97261	America/New_York	09/21/2015, 00:00:00	43.61062
Lexington	excellent	-81.23621	America/New_York	06/10/2021, 00:00:00	33.98154
Dharmapuri	good	78.15794	Asia/Kolkata	2019-12-05	12.1277
Periyakulam	accep	77.54372	Asia/Kolkata	09/24/2022, 00:00:00	10.12268
Gariadhar	accep	71.57737	Asia/Kolkata	2017-07-03	21.53889
Kantharalak	excellent	104.64992	Asia/Bangkok	02/08/2018, 00:00:00	14.64056
Olanchito	good	-86.57415	America/Tegucigalpa	23 Jun 2022	15.48131
Memmingen	accep	10.18527	Europe/Berlin	2015/05/24	47.98372
Beni	excellent	29.47306	Africa/Lubumbashi	04/04/2016, 00:00:00	0.49113
Chharra	good	78.40102	Asia/Kolkata	05/08/2020, 00:00:00	27.9247
Petrozavodsk	building	34.34691	Europe/Moscow	2018/08/19	61.78491
Viradouro	good	-48.29694	America/Sao_Paulo	10/16/2021, 00:00:00	-20.87306
Port Richmond	excellent	-74.13653	America/New_York	2013/01/17	40.63316
Meerut	good	77.70636	Asia/Kolkata	2014-06-10	28.98002
Clacton-on-Sea	maintenance	1.15597	Europe/London	16 Oct 2019	51.78967
San Gabriel	accep	-118.10583	America/Los_Angeles	2020/04/25	34.09611
Jerada	accep	-2.16	Africa/Casablanca	01/24/2018, 00:00:00	34.31
Aleshtar	good	48.26258	Asia/Tehran	01 Feb 2015	33.86419
Toba	excellent	136.84186	Asia/Tokyo	05 Jun 2017	34.4833
Chichicastenango	accep	-91.11667	America/Guatemala	2020-05-23	14.93333
Selby	good	-1.06667	Europe/London	20 Jun 2016	53.78333
Carindale	building	153.10236	Australia/Brisbane	08/21/2015, 00:00:00	-27.50578
Woodbridge	accep	-74.28459	America/New_York	15 Feb 2014	40.5576
Thetford	good	0.75	Europe/London	08/10/2022, 00:00:00	52.41667
Bushey	good	-0.36053	Europe/London	25 Apr 2014	51.64316
Tianfu	excellent	122.05228	Asia/Shanghai	14 Jan 2017	37.19723
Montana	average	23.225	Europe/Sofia	2020/04/23	43.4125
Kachkanar	accep	59.4839	Asia/Yekaterinburg	10/03/2021, 00:00:00	58.7002
Far Rockaway	excellent	-73.75513	America/New_York	11/18/2018, 00:00:00	40.60538
Madrid	accep	-74.26419	America/Bogota	28 May 2015	4.73245
Rafiganj	building	84.63445	Asia/Kolkata	06/18/2017, 00:00:00	24.81757
Kherson	accep	32.6178	Europe/Kiev	2013/09/26	46.65581
Temara	average	-6.90656	Africa/Casablanca	2017-05-20	33.92866
Selby	accep	-1.06667	Europe/London	14 May 2015	53.78333
Progreso	good	-89.66123	America/Merida	21 Jun 2022	21.28306
Roseto degli Abruzzi	excellent	14.01481	Europe/Rome	2021-10-23	42.67164
Ventimiglia	good	7.60872	Europe/Rome	2022-07-17	43.78956
Abilene	excellent	-99.73314	America/Chicago	2022-05-09	32.44874
Rutherglen	building	-4.21376	Europe/London	2020-08-05	55.82885
Custoias	accep	-7.32097	Europe/Lisbon	03/25/2014, 00:00:00	41.1053
Beaumont	accep	-116.97725	America/Los_Angeles	2013-01-25	33.92946
Bonoua	maintenance	-3.59625	Africa/Abidjan	01/30/2014, 00:00:00	5.27247
Bordj Zemoura	accep	4.85668	Africa/Algiers	2016-12-04	36.27462
Osmanabad	average	76.03889	Asia/Kolkata	14 Jan 2019	18.18158
North Tustin	accep	-117.79394	America/Los_Angeles	11/22/2013, 00:00:00	33.76446
Durazno	excellent	-56.52361	America/Montevideo	2019/01/05	-33.38056
Jingzhou	building	112.19028	Asia/Shanghai	2019/01/15	30.35028
Westchester	good	-87.882	America/Chicago	01/19/2018, 00:00:00	41.85059
Recodo	accep	121.96361	Asia/Manila	02/14/2014, 00:00:00	6.95194
Tortona	building	8.86374	Europe/Rome	2015-06-19	44.89784
Idenao	excellent	9.00472	Africa/Douala	2017-04-22	4.2475
Port of Spain	good	-61.51889	America/Port_of_Spain	21 Dec 2018	10.66668
Puerto Colombia	average	-74.95472	America/Bogota	2012-11-16	10.98778
Shepetivka	excellent	27.06365	Europe/Kiev	2021/05/26	50.18545
Skalica	maintenance	17.22635	Europe/Bratislava	02/19/2016, 00:00:00	48.8449
Eisen	excellent	128.63083	Asia/Seoul	2022/05/22	36.82167
Sakaraha	maintenance	44.53333	Indian/Antananarivo	2015-03-15	-22.9
Taozhuang	maintenance	117.33333	Asia/Shanghai	12/11/2013, 00:00:00	34.85
Balikpapan	excellent	116.82887	Asia/Makassar	08 Dec 2015	-1.26753
Saraj	good	21.32778	Europe/Skopje	2022-07-29	42
Frederiksberg	maintenance	12.53463	Europe/Copenhagen	08 Jul 2014	55.67938
Walsrode	good	9.5926	Europe/Berlin	2014/04/02	52.86147
Chichicastenango	excellent	-91.11667	America/Guatemala	27 Aug 2017	14.93333
Gajendragarh	average	75.96976	Asia/Kolkata	2021-12-13	15.73628
Dehiwala-Mount Lavinia	good	79.87116	Asia/Colombo	16 Nov 2019	6.84019
Uran	accep	72.93924	Asia/Kolkata	2021-11-06	18.87813
Mokopane	good	29.00974	Africa/Johannesburg	2019/06/14	-24.19436
Chichicastenango	good	-91.11667	America/Guatemala	06/10/2016, 00:00:00	14.93333
Yanliang	good	109.22921	Asia/Shanghai	01 Feb 2014	34.65918
Bua Yai	accep	102.42587	Asia/Bangkok	04/30/2021, 00:00:00	15.58552
Cowes	average	-1.29772	Europe/London	2022/01/26	50.76306
Marburg an der Lahn	accep	8.77069	Europe/Berlin	09/08/2021, 00:00:00	50.80904
Pilar	good	120.56528	Asia/Manila	27 Oct 2017	14.66
Santa Cruz de Barahona	maintenance	-71.10077	America/Santo_Domingo	2021-10-20	18.20854
Msaken	average	10.58082	Africa/Tunis	2017/11/05	35.72917
Temse	average	4.21372	Europe/Brussels	2014/10/26	51.12794
Boli	building	130.57211	Asia/Shanghai	10/20/2013, 00:00:00	45.75279
Weimar	average	11.32903	Europe/Berlin	29 Sep 2017	50.9803
Iwade	average	135.31667	Asia/Tokyo	12/10/2018, 00:00:00	34.25
Tupelo	building	-88.70464	America/Chicago	2019-09-15	34.25807
Troutdale	good	-122.38731	America/Los_Angeles	2016/02/03	45.53929
Tongelre	maintenance	5.51978	Europe/Amsterdam	03 Feb 2015	51.44889
Caldas Novas	accep	-48.62789	America/Sao_Paulo	04 Jan 2021	-17.74431
Sydney	accep	-60.1831	America/Glace_Bay	2016/09/17	46.1351
Tyoply Stan	building	37.49338	Europe/Moscow	05 Mar 2013	55.62047
Aytos	average	27.25	Europe/Sofia	2017-01-03	42.7
Curitiba	maintenance	-49.27306	America/Sao_Paulo	2020-01-30	-25.42778
Mouscron	average	3.20639	Europe/Brussels	14 Feb 2020	50.74497
Guli	average	120.03308	Asia/Shanghai	2014/07/18	28.88162
Chosica	good	-76.70944	America/Lima	03/03/2022, 00:00:00	-11.94306
Dahlem	excellent	13.28702	Europe/Berlin	17 Sep 2019	52.4581
Gaziantep	accep	37.3825	Europe/Istanbul	10 Nov 2016	37.05944
Opportunity	excellent	-117.23991	America/Los_Angeles	2021-05-06	47.64995
Thap Than	average	99.89166	Asia/Bangkok	2017/02/04	15.46063
Teziutlan	average	-97.35992	America/Mexico_City	2017-04-15	19.8173
Peabody	excellent	-70.92866	America/New_York	2019/01/21	42.52787
Hardenberg	average	6.61944	Europe/Amsterdam	01/30/2020, 00:00:00	52.57583
Teziutlan	average	-97.35992	America/Mexico_City	11/07/2017, 00:00:00	19.8173
Jaruco	accep	-82.00919	America/Havana	2021/02/05	23.04419
Le Robert	excellent	-60.94228	America/Martinique	2016/03/27	14.67751
Rudolstadt	excellent	11.34046	Europe/Berlin	2014-12-02	50.72043
Kensington	maintenance	-73.97069	America/New_York	2017-06-29	40.64621
Thomazeau	building	-72.09391	America/Port-au-Prince	2021-11-12	18.65297
Messaad	excellent	3.50309	Africa/Algiers	2018/09/14	34.15429
Aytos	average	27.25	Europe/Sofia	2018-01-11	42.7
Thenia	accep	3.55665	Africa/Algiers	22 Jan 2013	36.72544
Naro-Fominsk	accep	36.73307	Europe/Moscow	04/14/2019, 00:00:00	55.38752
Progreso	accep	-89.66123	America/Merida	2017-07-06	21.28306
Custoias	excellent	-7.32097	Europe/Lisbon	16 Dec 2012	41.1053
Aloha	excellent	-122.86705	America/Los_Angeles	09/16/2015, 00:00:00	45.49428
Kuvandyk	excellent	57.3552	Asia/Yekaterinburg	24 Apr 2017	51.4781
South Lawndale	good	-87.71255	America/Chicago	09/29/2016, 00:00:00	41.84364
Wacheng	good	114.51667	Asia/Shanghai	2017/11/09	33.78333
Astara	maintenance	48.87498	Asia/Baku	2014/11/28	38.45598
Deoli	maitennce	75.37991	Asia/Kolkata	28 May 2018	25.75728
Sungurlu	average	34.37389	Europe/Istanbul	28 Apr 2013	40.1675
Yashkino	maintenance	85.4265	Asia/Novokuznetsk	2017-05-08	55.8736
Barnet	good	-0.2	Europe/London	05/23/2022, 00:00:00	51.65
Bobigny	accep	2.45012	Europe/Paris	2020-11-13	48.90982
Strood	good	0.47713	Europe/London	03 Jul 2013	51.39323
Gero	good	137.23333	Asia/Tokyo	01/01/2013, 00:00:00	35.8
Nutley	average	-74.15987	America/New_York	02/26/2015, 00:00:00	40.82232
