location	revision	longitude	code	QoS	latitude
Europe/Paris	06 May 2020	2.08333	FR	maintenance	48.86667
Europe/Madrid	2016/11/06	-8.2194	ES	good	43.48961
Europe/Tallinn	2018/04/02	28.19028	EE	average	59.37722
America/New_York	2020-08-12	-82.46148	US	good	28.15112
Indian/Antananarivo	15 Feb 2016	44.53333	MG	maintenance	-22.9
Europe/London	2016/12/21	-1.5443	GB	average	50.75767
Europe/Madrid	19 Jun 2013	3.1631	ES	maintenance	41.91738
Europe/Madrid	2012/10/11	2.35739	ES	accep	41.63976
America/Toronto	2020/05/31	-73.75335	CA	excellent	45.4473
America/New_York	2017-05-20	-73.0515	US	maintenance	41.55815
Asia/Shanghai	2018/06/11	125.51176	CN	average	42.64031
Europe/Sarajevo	2017/05/18	19.21437	BA	average	44.75874
America/Chicago	2017/02/02	-97.92977	US	good	38.06084
America/Los_Angeles	2014-11-18	-118.10583	US	excellent	34.09611
America/New_York	15 Nov 2018	-82.07842	US	excellent	26.91756
America/Santiago	2021/04/03	-71.19901	CL	average	-30.60106
Europe/Istanbul	2021-03-04	34.02537	TR	good	38.37255
America/Chicago	06/12/2013, 00:00:00	-94.41551	US	average	39.09112
Europe/Paris	08 Aug 2014	-0.59543	FR	average	44.80477
Africa/Bangui	07 Mar 2020	15.87735	CF	building	4.94273
America/Chicago	2020/03/26	-95.44744	US	average	29.53885
Europe/Paris	06/05/2015, 00:00:00	4.86667	FR	average	45.51667
Africa/Nairobi	12/06/2016, 00:00:00	36.36339	KE	accep	0.03813
Africa/Freetown	09/01/2015, 00:00:00	-13.2356	SL	accep	8.48714
Europe/Brussels	12/27/2019, 00:00:00	5.37429	BE	excellent	51.03427
Asia/Kolkata	29 Nov 2019	85.83636	IN	excellent	25.66795
Europe/Berlin	13 May 2022	8.4493	DE	excellent	50.09019
Asia/Karachi	06/07/2015, 00:00:00	68.21204	PK	excellent	27.55898
America/Puerto_Rico	2020/11/20	-66.8499	PR	excellent	18.03496
Asia/Kolkata	05/23/2019, 00:00:00	79.82979	IN	good	11.93381
America/Sao_Paulo	2016-03-27	-49.27306	BR	excellent	-25.42778
Asia/Tokyo	10/19/2012, 00:00:00	137.95378	JP	good	35.82756
America/Los_Angeles	08/26/2022, 00:00:00	-122.86705	US	good	45.49428
Europe/Paris	02/06/2018, 00:00:00	2.61667	FR	average	48.98333
Asia/Karachi	02 Jan 2022	72.54566	PK	excellent	29.69221
Asia/Kolkata	2022-03-25	78.23456	IN	average	28.92694
Europe/Madrid	02 Oct 2012	-0.18333	ES	average	38.96667
Asia/Kolkata	07/20/2013, 00:00:00	85.94001	IN	good	25.49043
America/Los_Angeles	2020/10/12	-122.86705	US	accep	45.49428
Asia/Phnom_Penh	07/23/2014, 00:00:00	102.56365	KH	good	13.65805
Africa/Nairobi	2012-10-06	35.59642	KE	maintenance	3.11988
America/Indiana/Indianapolis	2013/03/01	-85.76942	US	good	39.78504
Asia/Kolkata	2019/01/18	76.03889	IN	good	18.18158
Europe/Paris	2022-08-01	5.03586	FR	average	43.83125
Europe/Paris	2016/12/27	-0.45877	FR	excellent	46.32313
Asia/Baghdad	2020/11/18	44.02488	IQ	average	32.61603
Europe/London	30 Mar 2017	-2.01111	GB	average	52.66277
America/Chicago	06/08/2021, 00:00:00	-91.58045	US	good	41.6764
America/Chicago	11 Aug 2013	-93.71133	US	good	41.57721
Asia/Shanghai	07/14/2022, 00:00:00	112.19028	CN	good	30.35028
Europe/Kiev	2020-12-24	33.9162	UA	maintenance	51.67822
Europe/Rome	2018/12/06	14.39024	IT	building	42.22718
Asia/Bangkok	2013/08/23	100.48528	TH	maintenance	14.37395
Asia/Manila	2022-03-05	123.99333	PH	excellent	12.97389
Africa/Lagos	08 Apr 2013	3.64633	NG	building	6.8485
Europe/Brussels	06 Oct 2013	3.20639	BE	good	50.74497
Asia/Kolkata	2019-05-14	77.9129	IN	average	25.6439
Asia/Kolkata	10/24/2016, 00:00:00	79.82979	IN	good	11.93381
Asia/Kolkata	2017/06/27	88.28637	IN	excellent	23.07492
Asia/Manila	12/01/2014, 00:00:00	122.8637	PH	maintenance	9.3337
Africa/Dar_es_Salaam	2012-12-07	39.28333	TZ	accep	-10.33333
Europe/Madrid	2020-03-26	-0.76773	ES	maintenance	38.38479
Europe/Paris	2013/02/20	2.2469	FR	accep	48.90472
Asia/Bangkok	08/20/2016, 00:00:00	104.1451	TH	average	15.79408
America/Chicago	02/23/2016, 00:00:00	-97.90308	US	good	31.12406
Africa/Kinshasa	2022-05-05	15.16554	CD	maintenance	-4.5833
Europe/Amsterdam	2020/06/21	5.58472	NL	average	52.14
Europe/London	07/01/2018, 00:00:00	-0.91979	GB	good	51.42708
Indian/Reunion	18 Apr 2018	55.4504	RE	accep	-20.88231
Europe/Rome	2017/09/09	13.57661	IT	excellent	37.31065
America/New_York	03/28/2018, 00:00:00	-81.77285	US	excellent	28.54944
America/New_York	20 Jul 2018	-73.75513	US	excellent	40.60538
Europe/Paris	06/17/2018, 00:00:00	4.7934	FR	excellent	45.69558
Asia/Yekaterinburg	2019/05/28	76.92421	RU	excellent	60.97944
America/Los_Angeles	15 Jul 2021	-116.97725	US	average	33.92946
Africa/Cairo	11/28/2015, 00:00:00	29.91582	EG	maintenance	31.20176
Europe/Berlin	21 Dec 2014	11.18709	DE	maintenance	48.73218
America/Chicago	07/22/2018, 00:00:00	-98.15529	US	excellent	26.18924
America/Maceio	2021-03-21	-37.07167	BR	building	-10.91111
America/Mexico_City	17 Apr 2016	-98.1664	MX	building	19.32932
Indian/Antananarivo	30 Aug 2020	47.31667	MG	accep	-19.65
America/Denver	08/16/2015, 00:00:00	-111.99633	US	accep	40.65995
Europe/Berlin	24 Apr 2022	10.18527	DE	building	47.98372
America/Caracas	08 Sep 2019	-62.64102	VE	excellent	8.35122
Europe/Berlin	07 Sep 2016	6.9747	DE	good	50.82709
Europe/Rome	2022/03/29	12.70038	IT	accep	45.9836
Europe/Kiev	2018/09/24	26.97253	UA	building	49.65186
America/New_York	16 Sep 2018	-71.8023	US	accep	42.58342
America/Sao_Paulo	2017-08-05	-43.80139	BR	average	-20.25333
Europe/Belgrade	27 Mar 2016	19.61222	RS	excellent	44.97639
America/New_York	2020-12-30	-77.4286	US	excellent	39.00622
Asia/Shanghai	2019-11-03	114.51667	CN	average	33.78333
Asia/Manila	2018/10/08	122.8637	PH	good	9.3337
America/Caracas	2015/02/11	-67.33122	VE	average	10.22677
Africa/Lubumbashi	2016/04/24	29.47306	CD	accep	0.49113
Australia/Melbourne	2015-06-03	145.06667	AU	maintenance	-37.88333
America/Manaus	2019-11-20	-58.44417	BR	excellent	-3.14306
Europe/Moscow	2016-02-20	37.92792	RU	maintenance	53.93361
Africa/Algiers	2012/12/05	3.47717	DZ	excellent	36.76639
America/Caracas	06/07/2013, 00:00:00	-68.30472	VE	accep	9.91861
America/New_York	01/19/2020, 00:00:00	-73.9625	US	average	40.81
Indian/Antananarivo	2022/08/29	44.53333	MG	building	-22.9
Europe/Berlin	2017/07/08	8.86704	DE	average	50.23805
America/Chicago	2022-04-18	-93.75018	US	excellent	32.52515
America/Sao_Paulo	2019-11-23	-47.53028	BR	building	-22.45667
America/Los_Angeles	2022/06/25	-117.29198	US	accep	33.03699
America/Recife	11/06/2021, 00:00:00	-35.71667	BR	average	-8.66667
America/Argentina/Tucuman	2012-11-11	-65.61427	AR	excellent	-27.4338
Europe/Madrid	2022-07-22	2.35739	ES	accep	41.63976
Asia/Tokyo	2012/11/11	139.6853	JP	building	35.815
Europe/Paris	2018-12-30	4.7934	FR	average	45.69558
America/Sao_Paulo	03/22/2016, 00:00:00	-47.53028	BR	excellent	-22.45667
America/New_York	29 Jan 2014	-71.8023	US	average	42.58342
Africa/Abidjan	2019/04/23	-5.682	CI	good	5.84752
Europe/Istanbul	2016-08-25	27.18052	TR	excellent	39.12074
Europe/Berlin	11 Apr 2018	10.03988	DE	accep	53.6052
Asia/Dhaka	09 Oct 2012	89.11943	BD	building	23.9028
Europe/Berlin	10/01/2018, 00:00:00	8.77155	DE	building	50.23019
America/Bahia	11/04/2018, 00:00:00	-37.93278	BR	excellent	-11.48472
Asia/Tehran	01 May 2019	51.49621	IR	good	36.64852
Asia/Urumqi	07/31/2018, 00:00:00	86.00214	CN	excellent	46.51872
America/Halifax	07/16/2020, 00:00:00	-63.13414	CA	maintenance	46.23899
Asia/Karachi	2017-11-26	68.88871	PK	average	25.95533
Asia/Yangon	05 Mar 2017	98.50893	MM	building	16.68911
Europe/Paris	26 Apr 2018	2.25	FR	average	50.75
Asia/Tokyo	11/20/2014, 00:00:00	135.21667	JP	accep	35.06667
Asia/Kolkata	09/04/2022, 00:00:00	75.37991	IN	excellent	25.75728
Europe/Moscow	07/11/2017, 00:00:00	38.2739	RU	average	46.7055
Europe/Kiev	2016/12/14	26.97253	UA	maintenance	49.65186
Africa/Kinshasa	2019/07/10	15.16554	CD	maintenance	-4.5833
America/Glace_Bay	11 Dec 2018	-60.1831	CA	accep	46.1351
Europe/Berlin	05/16/2014, 00:00:00	13.31783	DE	accep	52.61131
America/Chicago	2015/02/16	-87.45476	US	excellent	41.47892
Asia/Jakarta	2020/03/09	107.60389	ID	excellent	-7.01833
Australia/Sydney	28 Dec 2016	146.05093	AU	good	-34.28853
Europe/Berlin	2016-03-02	13.28702	DE	average	52.4581
Europe/Warsaw	11 Oct 2017	16.86194	PL	excellent	54.58048
Asia/Kabul	10/14/2012, 00:00:00	65.93249	AF	accep	36.21544
Europe/Rome	2022-08-04	8.62118	IT	accep	45.44694
Asia/Kolkata	09/02/2019, 00:00:00	77.9129	IN	good	25.6439
America/New_York	2018/11/10	-80.08199	US	good	35.88264
America/New_York	2016-06-09	-72.86843	US	accep	41.27621
Asia/Tokyo	2018/06/25	135.31667	JP	building	34.25
America/Mexico_City	11 Sep 2021	-98.11889	MX	excellent	19.04222
Africa/Bangui	2016/02/17	15.87735	CF	building	4.94273
America/Sao_Paulo	2018-04-08	-48.67028	BR	building	-28.24
Europe/Berlin	2016/11/14	8.61839	DE	average	49.68369
Europe/Paris	09 May 2021	-1.05366	FR	accep	43.71032
America/Havana	06/23/2014, 00:00:00	-77.43532	CU	good	20.14298
Asia/Shanghai	28 Sep 2018	123.50266	CN	accep	41.94175
Africa/Niamey	2017-02-06	9.15013	NE	accep	13.70727
Europe/Amsterdam	2013-08-26	7.00417	NL	accep	52.26083
America/Sao_Paulo	13 Feb 2021	-51.50361	BR	acceptable	-29.2975
Asia/Barnaul	2020/07/22	83.62389	RU	excellent	53.30972
Europe/Moscow	2014/07/26	43.63417	RU	excellent	43.96222
America/Chicago	2020/12/16	-87.93341	US	excellent	42.55308
Europe/Moscow	05/06/2017, 00:00:00	37.99117	RU	excellent	44.92934
America/Sao_Paulo	17 Oct 2014	-50.00639	BR	average	-25.42944
America/Lima	2017-10-02	-73.25383	PE	building	-3.74912
Asia/Kolkata	08 Jul 2021	86.59509	IN	average	26.11527
Asia/Kolkata	11/05/2021, 00:00:00	73.7553	IN	building	15.5439
America/New_York	2014-10-02	-71.08977	US	building	41.9001
Asia/Manila	02/06/2021, 00:00:00	122.9666	PH	accep	10.7375
America/Los_Angeles	2013/01/11	-122.39168	US	accep	40.58654
Europe/Madrid	2018/07/11	0.57856	ES	excellent	40.70995
Europe/Warsaw	2021-12-21	19.27498	PL	excellent	50.20528
America/Chicago	05/16/2021, 00:00:00	-94.74049	US	accep	32.5007
Europe/Moscow	2019-06-05	37.92792	RU	accep	53.93361
Europe/Madrid	11/04/2013, 00:00:00	1.10687	ES	maintenance	41.15612
America/Mexico_City	25 May 2017	-103.42897	MX	accep	20.28527
Asia/Kolkata	2018-10-13	74.85849	IN	building	31.28092
Asia/Shanghai	12/05/2019, 00:00:00	118.53333	CN	excellent	27.92333
Africa/Cairo	2021/08/17	31.4976	EG	accep	26.67319
America/Mexico_City	2022/04/30	-96.72365	MX	maintenance	17.06542
Asia/Phnom_Penh	2019-03-06	102.56365	KH	building	13.65805
America/Los_Angeles	2020-04-18	-118.10583	US	average	34.09611
America/Vancouver	2014/01/16	-119.27337	CA	good	50.26729
Europe/Paris	2013-08-12	2.29275	FR	accep	48.79325
Africa/Lubumbashi	23 Apr 2018	24.99798	CD	accep	-8.73508
Europe/Moscow	2012/12/06	30.28491	RU	excellent	60.02427
America/Los_Angeles	2016/11/06	-120.45794	US	good	34.63915
Asia/Tokyo	2022/07/07	137.36215	JP	good	36.75965
America/New_York	2015/02/04	-76.99081	US	average	38.96372
Asia/Kolkata	23 May 2018	71.30633	IN	good	21.34222
America/Argentina/Buenos_Aires	05/01/2013, 00:00:00	-60.47389	AR	good	-34.64167
Europe/Saratov	2013-10-22	46.04833	RU	excellent	51.40944
Europe/Lisbon	2013-04-06	-7.32097	PT	excellent	41.1053
Asia/Shanghai	2020-12-21	113.13148	CN	accep	23.02677
America/Phoenix	06/10/2016, 00:00:00	-111.89903	US	average	33.50921
Europe/Madrid	26 Aug 2018	-4.10734	ES	average	38.68712
Europe/London	01 Sep 2016	-2.01111	GB	average	52.66277
Europe/Paris	01/18/2018, 00:00:00	1.6	FR	good	43.11667
Europe/Kiev	2015/04/28	31.33078	UA	excellent	47.56494
Asia/Kolkata	2014-09-27	75.92694	IN	accep	14.46693
America/Phoenix	2019-09-02	-111.89903	US	good	33.50921
Europe/Berlin	27 Jan 2022	11.37703	DE	maintenance	48.06919
Europe/London	12 Mar 2021	-4.21376	GB	maintenance	55.82885
America/Havana	25 Sep 2022	-77.43532	CU	average	20.14298
America/New_York	17 Sep 2015	-81.79819	US	good	41.48199
Europe/London	03/09/2016, 00:00:00	-0.36053	GB	building	51.64316
Asia/Shanghai	2016/03/19	111.50861	CN	accep	32.54278
Asia/Jakarta	22 Jun 2014	107.60389	ID	good	-7.01833
Asia/Kolkata	30 Nov 2015	77.40858	IN	excellent	24.05979
Australia/Melbourne	2013/09/13	145.18333	AU	average	-37.9
America/Puerto_Rico	01/28/2018, 00:00:00	-66.8499	PR	accep	18.03496
Europe/London	15 Jul 2020	-0.33525	GB	average	53.7446
America/Denver	02/21/2021, 00:00:00	-104.22884	US	excellent	32.42067
America/New_York	2016/05/09	-81.79819	US	good	41.48199
Europe/Moscow	2018/09/04	43.63417	RU	accep	43.96222
America/Los_Angeles	2016/06/01	-122.24064	US	building	47.80527
Asia/Kolkata	11 Jun 2016	74.80555	IN	average	34.08565
Asia/Tokyo	11/25/2018, 00:00:00	137.5	JP	good	34.9
Australia/Brisbane	08/23/2022, 00:00:00	153.10236	AU	accep	-27.50578
Asia/Kolkata	2016-10-16	73.85535	IN	excellent	18.51957
Asia/Seoul	24 Jul 2021	128.62667	KR	excellent	34.8825
Africa/Kampala	08/20/2021, 00:00:00	30.91105	UG	average	3.02013
Asia/Tokyo	2015/09/30	135.21667	JP	excellent	35.06667
Asia/Tokyo	2022/01/27	137.4	JP	good	34.81667
America/Detroit	26 Mar 2018	-82.42491	US	good	42.97086
Europe/London	2013-08-01	-2.52398	GB	good	53.19146
Asia/Kolkata	2019-08-23	77.656	IN	accep	28.71271
Asia/Urumqi	2014/06/04	86.00214	CN	accep	46.51872
Asia/Manila	17 Apr 2019	123.99333	PH	good	12.97389
America/New_York	08 Sep 2020	-72.27814	US	accep	42.93369
Europe/Kiev	13 Jun 2020	33.9162	UA	excellent	51.67822
America/Los_Angeles	2017-01-09	-117.54866	US	excellent	33.93113
America/Sao_Paulo	2017/09/12	-41.25528	BR	good	-19.32556
Europe/Rome	2016/12/14	14.30935	IT	excellent	40.92298
America/Chicago	2020/06/17	-91.77127	US	average	37.95143
Australia/Melbourne	19 Mar 2016	145.18333	AU	average	-37.9
Asia/Tehran	09/13/2015, 00:00:00	51.0193	IR	excellent	35.6803
Asia/Karachi	12/11/2019, 00:00:00	71.57118	PK	good	32.87533
America/New_York	10/22/2019, 00:00:00	-80.66756	US	accep	26.68451
America/Sao_Paulo	2022-03-30	-51.50361	BR	accep	-29.2975
Asia/Shanghai	04/08/2015, 00:00:00	125.51176	CN	excellent	42.64031
Europe/Paris	01/05/2016, 00:00:00	1.6	FR	accep	43.11667
Africa/Dar_es_Salaam	2014/02/12	33	TZ	excellent	-2.68333
America/New_York	2019/06/22	-71.06616	US	good	42.4251
Indian/Reunion	2013-09-07	55.4504	RE	average	-20.88231
Europe/Rome	03/04/2018, 00:00:00	13.44275	IT	building	38.07789
America/Argentina/Cordoba	31 Aug 2022	-61.4867	AR	average	-31.25033
Asia/Irkutsk	10/26/2015, 00:00:00	107.60627	RU	excellent	51.82721
Europe/Madrid	2021/05/02	2.35739	ES	excellent	41.63976
America/Chicago	2015/10/25	-99.73314	US	excellent	32.44874
Asia/Kolkata	2014-11-15	91.00632	IN	accep	26.32293
Europe/Kiev	2020-09-27	33.34864	UA	excellent	46.75451
America/New_York	2022-06-07	-83.2321	US	average	33.08014
America/Los_Angeles	2016/05/22	-115.98391	US	good	36.20829
Asia/Novokuznetsk	2020/08/26	85.4265	RU	excellent	55.8736
America/New_York	2018/05/01	-73.47429	US	average	40.68066
Asia/Tashkent	2016-03-07	69.67639	UZ	building	41.29444
Africa/Lagos	2016-12-30	4.18333	NG	accep	7.6
America/Mexico_City	25 Oct 2016	-102.04897	MX	accep	19.64745
America/Chicago	16 Nov 2020	-97.92977	US	good	38.06084
Asia/Kolkata	21 Jan 2021	78.25795	IN	average	9.82564
America/Los_Angeles	10 Nov 2013	-122.39168	US	maintenance	40.58654
Asia/Baku	05/08/2014, 00:00:00	45.36561	AZ	average	41.09246
Asia/Yekaterinburg	10/13/2013, 00:00:00	60.8019	RU	maintenance	56.9083
Asia/Shanghai	2018-02-23	122.20488	CN	average	29.98869
America/Mazatlan	2019/10/07	-105.36369	MX	average	22.49396
Australia/Sydney	02 Nov 2017	150.99292	AU	accep	-33.75881
Asia/Baghdad	10/29/2012, 00:00:00	44.02488	IQ	average	32.61603
America/New_York	2020/03/30	-72.86843	US	average	41.27621
Asia/Ho_Chi_Minh	2014/09/22	105.75635	VN	excellent	10.29085
America/New_York	2016/08/27	-81.56929	US	average	41.55838
Europe/Paris	2017-01-31	4.8951	FR	average	44.92801
Asia/Tokyo	2013/11/29	138.31667	JP	excellent	36.65
Asia/Vladivostok	31 Jul 2015	140.72287	RU	good	53.14657
America/New_York	2019-12-29	-77.02303	US	excellent	38.70734
America/Los_Angeles	2014/06/19	-119.0376	US	accep	34.21639
Asia/Tehran	2020/04/11	48.26258	IR	average	33.86419
Europe/Rome	2019-06-14	17.58522	IT	excellent	40.53123
Asia/Kolkata	10/25/2015, 00:00:00	76.03889	IN	maintenance	18.18158
Europe/Vienna	2016-12-09	16.4	AT	accep	48.25
America/New_York	2013-08-29	-84.20299	US	average	39.43534
Europe/Warsaw	01 Oct 2012	15.00835	PL	excellent	51.14942
Europe/Berlin	2022/07/30	10.5511	DE	good	52.47774
America/Guatemala	2020-09-11	-91.11667	GT	building	14.93333
Asia/Dhaka	2021/10/24	89.11943	BD	good	23.9028
Australia/Sydney	2013/01/04	150.99292	AU	average	-33.75881
Europe/Kiev	2021-03-17	33.9162	UA	accep	51.67822
Europe/Berlin	05 Jun 2019	12.16179	DE	good	48.52961
Europe/Berlin	2015/09/21	8.64409	DE	accep	48.07667
America/Port-au-Prince	08/20/2018, 00:00:00	-72.22625	HT	accep	18.57677
Europe/Berlin	10/24/2014, 00:00:00	7.02238	DE	maintenance	52.21099
Asia/Vladivostok	04 Jan 2013	133.42825	RU	accep	45.47885
America/Guatemala	2019-08-08	-91.11667	GT	good	14.93333
Europe/Moscow	2016/01/28	37.92792	RU	average	53.93361
America/Vancouver	10/03/2017, 00:00:00	-119.27337	CA	good	50.26729
Africa/Tunis	10/24/2012, 00:00:00	10.58082	TN	good	35.72917
Africa/Addis_Ababa	2016-02-01	38.01667	ET	excellent	11.85
Europe/Berlin	2014-02-26	6.26667	DE	building	51.21667
Asia/Tokyo	27 Dec 2021	139.55028	JP	excellent	35.30889
Asia/Kolkata	03/29/2014, 00:00:00	85.37752	IN	accep	22.10194
America/Lima	2021-03-08	-69.08333	PE	average	-16.25
America/New_York	2020/11/27	-81.79819	US	average	41.48199
Asia/Jakarta	2018/09/25	101.44167	ID	accep	0.51667
Europe/Rome	20 Mar 2018	7.60872	IT	excellent	43.78956
Europe/Madrid	04/29/2020, 00:00:00	1.10687	ES	excellent	41.15612
Europe/Minsk	02/12/2022, 00:00:00	30.2049	BY	accep	55.1904
Asia/Shanghai	08 Dec 2017	120.03308	CN	excellent	28.88162
Africa/Algiers	13 Oct 2017	4.62744	DZ	maintenance	36.06386
Europe/Madrid	2019-11-04	3.1631	ES	average	41.91738
Africa/Casablanca	2014/02/18	-6.90656	MA	accep	33.92866
America/Mexico_City	2019/04/13	-97.35992	MX	excellent	19.8173
Europe/Oslo	2015/04/02	16.54165	NO	good	68.79833
America/New_York	2022/03/22	-77.02303	US	average	38.70734
Asia/Kuala_Lumpur	2021/01/09	103.6032	MY	good	1.6561
Europe/Paris	10/12/2012, 00:00:00	2.44892	FR	good	48.98693
Europe/Bratislava	20 Aug 2014	17.22635	SK	accep	48.8449
America/New_York	25 Oct 2019	-73.78458	US	accep	41.0051
Europe/London	2015-03-08	1.26738	GB	excellent	51.84819
Europe/Rome	2021/03/13	17.80774	IT	maintenance	40.55851
Asia/Tokyo	11/30/2021, 00:00:00	135.21667	JP	excellent	35.06667
Asia/Karachi	2019-10-23	71.52847	PK	accep	32.57756
America/Los_Angeles	2015/11/08	-117.23991	US	average	47.64995
Asia/Krasnoyarsk	27 Dec 2019	92.48278	RU	building	58.23583
America/Port-au-Prince	02/02/2018, 00:00:00	-72.22625	HT	accep	18.57677
Europe/Madrid	2018-03-09	-0.18333	ES	excellent	38.96667
America/Managua	2020-08-14	-86.19903	NI	average	11.84962
America/Santiago	04/15/2022, 00:00:00	-71.23106	CL	excellent	-32.45242
America/Chicago	2013-07-26	-93.75018	US	excellent	32.52515
Asia/Kabul	2021/11/16	65.93249	AF	good	36.21544
Europe/Berlin	2015/07/19	13.28702	DE	good	52.4581
Africa/Addis_Ababa	2022/08/12	37.55	ET	accep	6.03333
America/New_York	07 Apr 2021	-73.99681	US	excellent	40.94065
Africa/Lagos	2020/04/20	12.19458	NG	maintenance	10.61285
Africa/Addis_Ababa	2014/09/25	37.55	ET	average	6.03333
Europe/Madrid	01/18/2020, 00:00:00	-1.325	ES	average	38.47917
America/New_York	2015-06-03	-72.86843	US	maintenance	41.27621
Europe/Madrid	2015/08/04	-3.67029	ES	accep	37.13548
America/Mexico_City	10/17/2019, 00:00:00	-103.42897	MX	maintenance	20.28527
Europe/Moscow	2022-03-19	34.33825	RU	good	53.59782
Asia/Tokyo	2018/01/25	138.31667	JP	average	36.65
Europe/Amsterdam	2017/03/20	5.23333	NL	average	52.09
America/Argentina/Buenos_Aires	01 Nov 2017	-58.70072	AR	excellent	-34.74785
Europe/Rome	04/18/2019, 00:00:00	14.72443	IT	excellent	36.92574
Europe/Moscow	2021-05-26	35.96944	RU	good	56.03361
Asia/Kolkata	2017/03/19	73.85535	IN	average	18.51957
Africa/Nairobi	06/30/2013, 00:00:00	36.36339	KE	excellent	0.03813
Europe/Brussels	13 Feb 2020	4.52529	BE	average	50.71229
Europe/Istanbul	2019-12-15	29.26639	TR	average	37.58105
Asia/Jakarta	07/18/2016, 00:00:00	106.85417	ID	good	-6.48167
Europe/London	2020-03-14	-1.29772	GB	maintenance	50.76306
America/Havana	08/30/2021, 00:00:00	-81.24441	CU	maintenance	23.15678
Asia/Seoul	16 Jul 2022	128.9889	KR	maintenance	37.1759
America/New_York	31 Mar 2021	-73.20483	US	accep	41.16704
Asia/Tokyo	05/23/2022, 00:00:00	135.21667	JP	building	35.06667
America/Mazatlan	11 Feb 2021	-105.36369	MX	building	22.49396
Asia/Manila	02/22/2014, 00:00:00	122.9666	PH	accep	10.7375
Asia/Jakarta	2020-09-11	106.92667	ID	average	-6.91806
Asia/Kolkata	2021-11-12	78.14797	IN	average	15.45144
Asia/Seoul	15 Jun 2021	128.9889	KR	maintenance	37.1759
Asia/Manila	02 Dec 2013	123.62494	PH	average	12.37169
Europe/Rome	16 Jan 2013	11.04979	IT	accep	44.59445
Europe/London	2014/06/26	-1.32471	GB	maintenance	51.40148
America/Toronto	2020/09/04	-80.38297	CA	maintenance	42.8334
Asia/Kolkata	2015/09/19	78.14797	IN	excellent	15.45144
Europe/Paris	15 Jan 2017	-0.59543	FR	accep	44.80477
America/Lima	2016/12/11	-76.70944	PE	accep	-11.94306
Europe/Belgrade	23 Jan 2021	22.53083	RS	building	44.22639
Europe/Paris	2022-05-31	1.33467	FR	good	43.61058
America/New_York	27 Apr 2013	-69.96533	US	excellent	43.91452
Asia/Shanghai	2022-03-19	120.74221	CN	good	31.64615
America/Chicago	02/01/2021, 00:00:00	-87.45476	US	accep	41.47892
Europe/Rome	12/26/2019, 00:00:00	12.6723	IT	average	41.72063
Africa/Monrovia	07/25/2013, 00:00:00	-8.53778	LR	building	7.57944
Indian/Antananarivo	25 Aug 2018	44.53333	MG	average	-22.9
Asia/Yekaterinburg	14 May 2020	60.8019	RU	excellent	56.9083
Asia/Shanghai	2018/04/19	117.33333	CN	building	34.85
Asia/Kolkata	12/25/2019, 00:00:00	75.35927	IN	excellent	12.04161
Asia/Tokyo	06/16/2014, 00:00:00	142.45778	JP	excellent	44.35056
Asia/Kabul	01/29/2014, 00:00:00	65.93249	AF	good	36.21544
Europe/Lisbon	2012-12-03	-9.24671	PT	average	38.72706
America/New_York	06/05/2013, 00:00:00	-78.04471	US	building	34.25628
Asia/Bishkek	19 Oct 2020	73	KG	average	40.93333
Europe/Moscow	02 Sep 2021	30.28491	RU	accep	60.02427
America/Chicago	2017-07-08	-96.39774	US	maintenance	30.16688
America/Argentina/Cordoba	2018-07-15	-60.93173	AR	average	-31.4488
Asia/Shanghai	16 Aug 2014	130.57211	CN	excellent	45.75279
Africa/Niamey	08 May 2015	9.15013	NE	good	13.70727
America/Mexico_City	2019-10-04	-96.72365	MX	excellent	17.06542
America/Chicago	06/14/2022, 00:00:00	-88.70464	US	average	34.25807
Asia/Yekaterinburg	01/12/2020, 00:00:00	53.47103	RU	accep	54.48147
Asia/Kolkata	12/05/2015, 00:00:00	75.37991	IN	excellent	25.75728
America/New_York	11/09/2017, 00:00:00	-74.96933	US	accep	39.71734
Europe/Berlin	15 Dec 2014	7.20769	DE	excellent	50.80019
Asia/Bangkok	04 Dec 2014	100.04427	TH	maintenance	13.8196
Europe/Kiev	05/03/2013, 00:00:00	30.96755	UA	average	49.07866
Asia/Kuching	2013-08-08	116.10146	MY	accep	5.90702
Europe/Paris	10 Jul 2019	2.45012	FR	excellent	48.90982
Europe/Berlin	10/28/2013, 00:00:00	12.1369	DE	good	51.04962
Asia/Tokyo	2021-03-31	140.11667	JP	excellent	37.56667
Europe/Rome	01/10/2020, 00:00:00	12.6723	IT	accep	41.72063
Europe/Berlin	2016-02-17	8.77155	DE	maintenance	50.23019
America/New_York	10 May 2022	-81.38758	US	maintenance	30.17746
Asia/Kolkata	03/29/2020, 00:00:00	82.85749	IN	good	17.54907
Europe/Warsaw	2017-10-23	18.30056	PL	average	50.5107
Asia/Tokyo	12/04/2017, 00:00:00	137.23333	JP	good	35.8
Asia/Kolkata	02/10/2022, 00:00:00	77.5609	IN	excellent	11.00599
Africa/Dar_es_Salaam	15 Feb 2022	37.73333	TZ	excellent	-4.06667
Africa/Djibouti	2016/05/29	42.7125	DJ	average	11.15583
Europe/Rome	2013/04/23	9.29109	IT	good	45.39402
Europe/London	12/09/2019, 00:00:00	-0.2	GB	accep	51.65
Asia/Shanghai	2022-07-12	130.57211	CN	excellent	45.75279
Asia/Shanghai	2021-06-06	116.11768	CN	good	24.28859
