code	revision	QoS	location	longitude	latitude
IN	01/07/2018, 00:00:00	good	Asia/Kolkata	77.24779	10.58806
BR	07 Nov 2021	maintenance	America/Sao_Paulo	-47.1725	-22.57306
CM	2014/07/11	excellent	Africa/Douala	9.00472	4.2475
RU	10 Aug 2017	good	Asia/Novokuznetsk	85.4265	55.8736
BR	2013-12-07	excellent	America/Fortaleza	-41.45861	-4.42472
US	10/03/2021, 00:00:00	excellent	America/Los_Angeles	-122.2054	47.76232
CN	12/29/2016, 00:00:00	excellent	Asia/Shanghai	117.27583	35.64889
FR	19 Aug 2014	excellent	Europe/Paris	3.87723	43.61092
AU	2021-07-20	average	Australia/Sydney	151.07986	-33.88096
RS	2017-03-24	average	Europe/Belgrade	22.53083	44.22639
IN	2016-09-04	accep	Asia/Kolkata	76.56719	24.41288
MX	04 Oct 2019	accep	America/Mexico_City	-98.1664	19.32932
NG	2021/02/18	average	Africa/Lagos	4.74161	7.62789
US	2018-07-01	average	America/Los_Angeles	-117.54866	33.93113
US	11/15/2012, 00:00:00	good	America/Chicago	-94.74049	32.5007
IT	2015-10-17	accep	Europe/Rome	12.38878	43.1122
PH	14 Dec 2016	excellent	Asia/Manila	123.89071	10.31672
IR	12/15/2018, 00:00:00	accep	Asia/Tehran	51.67462	32.65246
DE	06 May 2022	good	Europe/Berlin	6.74549	49.5099
UA	25 Aug 2015	accep	Europe/Kiev	30.96755	49.07866
BR	21 Jun 2018	average	America/Cuiaba	-52.35558	-14.66463
GB	2021-11-05	average	Europe/London	-2.98333	53.83333
ML	01/15/2018, 00:00:00	average	Africa/Bamako	-8.07257	12.74409
IT	2012-12-02	average	Europe/Rome	8.86374	44.89784
ID	2013-04-24	good	Asia/Jakarta	98.6738	3.7278
US	2021/08/24	excellent	America/Los_Angeles	-115.98391	36.20829
IN	2018-11-04	average	Asia/Kolkata	71.30633	21.34222
TZ	2016/05/22	building	Africa/Dar_es_Salaam	38.66667	-6.25
MA	11 Mar 2017	accep	Africa/Casablanca	-6.00137	33.42585
CN	2021/05/05	maintenance	Asia/Shanghai	113.13148	23.02677
US	2016-11-25	excellent	America/New_York	-81.26367	28.90054
CN	02/22/2020, 00:00:00	excellent	Asia/Urumqi	86.00214	46.51872
BG	23 Feb 2020	accep	Europe/Sofia	24.71204	41.57439
DZ	2018/10/21	maintenance	Africa/Algiers	2.31889	35.21222
ID	2016/09/26	accep	Asia/Jakarta	107.60389	-7.01833
RU	01/30/2017, 00:00:00	average	Asia/Novokuznetsk	85.4265	55.8736
FR	01/07/2014, 00:00:00	excellent	Europe/Paris	5.4384	43.2907
IN	08/22/2015, 00:00:00	maintenance	Asia/Kolkata	78.23456	28.92694
IN	11 Oct 2020	good	Asia/Kolkata	91.00632	26.32293
TZ	2021-09-11	accep	Africa/Dar_es_Salaam	35.7	-7.76667
US	06/14/2016, 00:00:00	accep	America/Los_Angeles	-116.21677	33.7207
US	13 Feb 2016	building	America/Los_Angeles	-121.75689	36.91023
DZ	23 Jul 2017	accep	Africa/Algiers	3.55665	36.72544
GB	2015/01/17	building	Europe/London	-1.29243	53.49389
RU	10 Jun 2018	good	Asia/Yekaterinburg	60.70278	55.75556
IN	07/31/2018, 00:00:00	average	Asia/Kolkata	72.85107	19.30157
RU	2022/08/22	excellent	Europe/Moscow	39.8302	64.5635
CN	06/10/2019, 00:00:00	average	Asia/Shanghai	122.05228	37.19723
IN	24 Oct 2020	average	Asia/Kolkata	76.11996	11.12018
VU	18 Dec 2021	good	Pacific/Efate	168.31366	-17.73648
IN	01 Nov 2021	accep	Asia/Kolkata	86.51499	23.1959
US	2014/11/29	excellent	America/New_York	-76.51552	39.32011
CO	2016/07/17	accep	America/Bogota	-73.9614	10.15031
US	18 May 2015	good	America/New_York	-82.46148	28.15112
US	03/12/2013, 00:00:00	excellent	America/New_York	-74.38987	40.65538
US	04/07/2015, 00:00:00	maitennce	America/Chicago	-88.42814	42.16808
BR	16 Oct 2017	good	America/Santarem	-52.20639	-3.20333
IN	2017/01/27	excellent	Asia/Kolkata	82.85749	17.54907
TR	12/04/2018, 00:00:00	accep	Europe/Istanbul	28.88222	40.37528
AU	10 Jan 2017	average	Australia/Brisbane	152.70493	-25.54073
IN	2014/11/03	excellent	Asia/Kolkata	74.4818	30.21121
US	05/26/2016, 00:00:00	good	America/New_York	-70.92866	42.52787
IN	20 Jun 2015	average	Asia/Kolkata	76.11996	11.12018
FR	2017/12/06	maintenance	Europe/Paris	2.2469	48.90472
IN	2019/04/26	building	Asia/Kolkata	91.00632	26.32293
US	2013-08-03	good	America/Los_Angeles	-117.71978	34.09668
MX	2017/12/01	building	America/Mexico_City	-102.04897	19.64745
NL	08/02/2020, 00:00:00	maintenance	Europe/Amsterdam	6.61944	52.57583
US	10/28/2020, 00:00:00	excellent	America/Chicago	-88.3162	42.24113
DE	03/14/2016, 00:00:00	good	Europe/Berlin	8.61839	49.68369
US	30 Mar 2017	good	America/New_York	-74.15987	40.82232
MY	13 Aug 2015	accep	Asia/Kuala_Lumpur	101.96857	4.88441
US	2017-04-21	good	America/Los_Angeles	-122.2054	47.76232
RU	2018/05/02	maintenance	Europe/Moscow	37.38115	55.63711
DE	27 May 2015	building	Europe/Berlin	7.02238	52.21099
RO	05 Jul 2022	good	Europe/Bucharest	26.01649	44.43579
IN	2017/06/03	good	Asia/Kolkata	74.85849	31.28092
BY	05/05/2016, 00:00:00	average	Europe/Minsk	25.8191	53.5942
NG	2022-03-27	accep	Africa/Lagos	12.19458	10.61285
AU	2018/07/05	excellent	Australia/Melbourne	145.18333	-37.9
CO	06/01/2014, 00:00:00	good	America/Bogota	-74.26419	4.73245
DE	2016/10/06	accep	Europe/Berlin	13.28702	52.4581
BR	2017/10/19	building	America/Bahia	-39.25	-12.91667
US	2021/08/13	building	America/Chicago	-94.74049	32.5007
FI	2018-09-17	good	Europe/Helsinki	24.14662	65.84811
GB	13 May 2021	good	Europe/London	-2.68758	53.69786
PH	2013-05-18	excellent	Asia/Manila	120.57224	15.72892
BR	09/25/2015, 00:00:00	building	America/Sao_Paulo	-42.98194	-22.53722
TH	13 Apr 2022	good	Asia/Bangkok	99.96667	8.43333
RU	07/01/2022, 00:00:00	excellent	Europe/Moscow	38.16694	54.84444
CA	10/05/2016, 00:00:00	building	America/Vancouver	-119.27337	50.26729
US	2022-02-08	good	America/Chicago	-87.65644	41.80753
PK	05 Apr 2016	excellent	Asia/Karachi	68.21204	27.55898
PL	2022/05/02	excellent	Europe/Warsaw	17.4674	50.86079
JP	2013-07-28	accep	Asia/Tokyo	135.21667	35.06667
DE	2013-11-28	accep	Europe/Berlin	10.03988	53.6052
IN	2016-01-13	excellent	Asia/Kolkata	75.96976	15.73628
XK	2014-04-11	accep	Europe/Belgrade	20.89389	42.62833
NG	2022-06-01	excellent	Africa/Lagos	6.26764	4.92675
VE	2021-02-18	excellent	America/Caracas	-62.64102	8.35122
DK	2018-06-23	accep	Europe/Copenhagen	12.53463	55.67938
BR	07/08/2021, 00:00:00	average	America/Belem	-48.52333	-0.71667
DE	18 Jun 2021	good	Europe/Berlin	8.51667	51.88333
CD	2020/05/27	accep	Africa/Lubumbashi	29.47306	0.49113
US	09/12/2022, 00:00:00	average	America/New_York	-76.51552	39.32011
US	2015/09/26	excellent	America/Chicago	-88.27205	44.27804
GB	2021-12-23	average	Europe/London	-2.52398	53.19146
CO	07 Feb 2016	excellent	America/Bogota	-73.26022	6.46838
US	04/23/2015, 00:00:00	accep	America/New_York	-76.72803	39.32288
PK	05 Jun 2021	excellent	Asia/Karachi	68.88871	25.95533
US	07/31/2022, 00:00:00	maintenance	America/Los_Angeles	-121.75689	36.91023
US	2017-08-22	accep	America/Chicago	-87.65644	41.80753
US	07/30/2013, 00:00:00	accep	America/Los_Angeles	-120.93549	37.73604
US	03 Dec 2016	average	America/Los_Angeles	-117.29198	33.03699
IN	11/19/2017, 00:00:00	average	Asia/Kolkata	77.5609	11.00599
DE	2019-02-21	average	Europe/Berlin	8.70745	49.03685
JP	2012-11-17	average	Asia/Tokyo	139.07204	36.24624
IN	09/24/2019, 00:00:00	excellent	Asia/Kolkata	74.85849	31.28092
NL	2020-07-23	accep	Europe/Amsterdam	5.23333	52.09
UA	2021/12/28	good	Europe/Kiev	25.34244	50.75932
MY	27 Jun 2013	accep	Asia/Kuala_Lumpur	101.02083	4.02219
ID	2016/05/05	maintenance	Asia/Jakarta	113.69785	-7.73379
AU	2019-05-14	accep	Australia/Brisbane	153.10236	-27.50578
US	06 May 2021	excellent	America/Los_Angeles	-119.01677	36.06523
MM	2019-08-04	good	Asia/Yangon	98.50893	16.68911
RU	06/06/2016, 00:00:00	excellent	Asia/Yekaterinburg	69.49015	56.11281
US	2020/01/17	excellent	America/New_York	-82.35176	27.71809
DE	09 Dec 2012	building	Europe/Berlin	6.9747	50.82709
KH	12/21/2013, 00:00:00	average	Asia/Phnom_Penh	102.56365	13.65805
XK	25 Nov 2014	maintenance	Europe/Belgrade	20.89389	42.62833
KE	2015-09-24	building	Africa/Nairobi	34.11169	0.46005
US	2020-04-04	maintenance	America/Chicago	-87.66561	41.8542
BE	08/01/2022, 00:00:00	good	Europe/Brussels	5.37429	51.03427
CO	22 Jul 2018	excellent	America/Bogota	-75.87877	5.6561
US	2019-07-15	maintenance	America/Chicago	-95.63079	31.76212
CN	2018-06-11	building	Asia/Shanghai	123.17306	41.27194
PH	2013/04/10	excellent	Asia/Manila	120.57224	15.72892
NL	02/17/2021, 00:00:00	average	Europe/Amsterdam	5.23333	52.09
DE	02/26/2020, 00:00:00	maintenance	Europe/Berlin	10.18527	47.98372
FR	14 Jun 2015	excellent	Europe/Paris	4.7934	45.69558
ID	2019/07/07	good	Asia/Jakarta	99.1625	3.3285
US	05/31/2014, 00:00:00	maintenance	America/Los_Angeles	-115.98391	36.20829
IN	22 Feb 2017	accep	Asia/Kolkata	86.51499	23.1959
LT	2021-04-29	average	Europe/Vilnius	24.75	55.25
RU	2015/02/17	excellent	Europe/Moscow	46.10925	43.35071
FR	03/20/2021, 00:00:00	excellent	Europe/Paris	2.1699	48.98994
BR	25 Nov 2021	excellent	America/Sao_Paulo	-42.19667	-21.41222
US	2015/05/22	average	America/Chicago	-87.882	41.85059
US	2018-06-30	excellent	America/Detroit	-82.42491	42.97086
BE	12 Sep 2020	accep	Europe/Brussels	4.21372	51.12794
PH	2019-03-06	excellent	Asia/Manila	120.4861	16.0438
FR	2015-03-11	good	Europe/Paris	5.4584	43.32393
TH	01 Oct 2021	accep	Asia/Bangkok	99.96667	8.43333
IN	2017/08/23	building	Asia/Kolkata	77.24779	10.58806
CI	21 Jul 2021	excellent	Africa/Abidjan	-5.682	5.84752
DE	10/16/2020, 00:00:00	building	Europe/Berlin	11.18709	48.73218
CL	06/17/2019, 00:00:00	excellent	America/Santiago	-73.02841	-36.9256
IR	2019/12/18	maintenance	Asia/Tehran	48.26258	33.86419
CN	02 Jan 2013	average	Asia/Shanghai	115.04814	30.24706
MX	2013-12-25	excellent	America/Mexico_City	-96.72365	17.06542
TH	2013/11/23	maintenance	Asia/Bangkok	100.04427	13.8196
GB	2021-01-14	accep	Europe/London	0.93333	52.68333
DE	07 Nov 2020	average	Europe/Berlin	7.36027	51.20219
NZ	10 Aug 2018	good	Pacific/Auckland	171.25364	-44.39672
CN	04/27/2020, 00:00:00	building	Asia/Shanghai	115.70111	37.73222
CN	04/11/2021, 00:00:00	excellent	Asia/Shanghai	122.05228	37.19723
FR	2022-05-09	excellent	Europe/Paris	4.7934	45.69558
PH	2020-11-12	good	Asia/Manila	122.8637	9.3337
US	2018-04-28	building	America/Los_Angeles	-118.25508	34.14251
CA	2015-10-18	excellent	America/Glace_Bay	-60.1831	46.1351
PT	2015/06/11	good	Europe/Lisbon	-8.33147	41.20485
NG	11/16/2013, 00:00:00	accep	Africa/Lagos	8.2926	9.58126
UA	02/09/2022, 00:00:00	accep	Europe/Kiev	33.34864	46.75451
TR	2018/02/19	good	Europe/Istanbul	34.37389	40.1675
GB	2015/02/14	good	Europe/London	-0.76667	53.38333
CA	2016-06-29	good	America/Vancouver	-119.48568	49.88307
NE	2019/12/01	accep	Africa/Niamey	9.15013	13.70727
IN	20 Jan 2021	maintenance	Asia/Kolkata	88.18466	22.19303
NO	2017/06/08	excellent	Europe/Oslo	16.54165	68.79833
IN	10 Oct 2020	good	Asia/Kolkata	74.85849	31.28092
NA	2021-05-18	average	Africa/Windhoek	16.91667	-21.98333
EC	2021-08-14	accep	America/Guayaquil	-79.00453	-2.90055
US	2019-06-19	accep	America/New_York	-74.13653	40.63316
UZ	2015-02-25	average	Asia/Tashkent	69.67639	41.29444
ES	08 Oct 2012	good	Europe/Madrid	-6.03731	37.35813
US	2017/03/07	excellent	America/New_York	-76.99081	38.96372
MG	2018-02-28	good	Indian/Antananarivo	44.53333	-22.9
AR	10/12/2014, 00:00:00	excellent	America/Argentina/Ushuaia	-68.3	-54.8
RU	2016-04-13	excellent	Europe/Moscow	38.12408	53.77166
US	2019/05/12	maintenance	America/New_York	-73.89125	40.67705
TZ	2013-04-02	average	Africa/Dar_es_Salaam	39.25	-6.8
DE	02/12/2016, 00:00:00	excellent	Europe/Berlin	9.85	53.63333
ID	2016/01/02	good	Asia/Jakarta	109.3243	-7.0981
CN	04/14/2015, 00:00:00	excellent	Asia/Shanghai	117.55417	34.86472
CN	2018-10-17	good	Asia/Shanghai	111.50861	32.54278
UA	06/17/2022, 00:00:00	excellent	Europe/Kiev	30.96755	49.07866
IT	2016-02-09	average	Europe/Rome	11.412	45.50369
US	01/02/2013, 00:00:00	excellent	America/Denver	-111.99633	40.65995
US	25 Aug 2020	average	America/Chicago	-88.81395	35.61452
GB	2018-05-02	excellent	Europe/London	-1.47217	53.46506
IN	23 Oct 2017	maintenance	Asia/Kolkata	79.41727	12.25282
NZ	06 Apr 2013	excellent	Pacific/Auckland	178.00417	-38.65333
US	11 Nov 2015	excellent	America/New_York	-81.26367	28.90054
RU	07 May 2022	average	Europe/Moscow	37.49338	55.62047
BR	2019-11-28	average	America/Sao_Paulo	-51.50361	-29.2975
VE	2014/11/22	excellent	America/Caracas	-70.20749	8.62261
RU	17 Aug 2022	average	Europe/Saratov	46.04833	51.40944
CO	09/18/2016, 00:00:00	building	America/Bogota	-74.95472	10.98778
GB	2013/06/19	average	Europe/London	-1.99421	51.35084
TN	2018/10/05	excellent	Africa/Tunis	10.03478	37.16911
SK	06/06/2019, 00:00:00	good	Europe/Bratislava	17.22635	48.8449
IT	12/17/2021, 00:00:00	excellent	Europe/Rome	12.6723	41.72063
NL	2014-06-19	average	Europe/Amsterdam	5.74861	52.71083
NO	10/06/2015, 00:00:00	excellent	Europe/Oslo	16.54165	68.79833
US	06/22/2015, 00:00:00	maintenance	America/New_York	-75.23266	43.1009
CN	18 Nov 2021	good	Asia/Shanghai	114.68333	23.73333
FR	2016-10-09	accep	Europe/Paris	2.12213	48.8222
GB	2021/08/30	accep	Europe/London	-2.52398	53.19146
IN	2014/09/02	average	Asia/Kolkata	78.27539	12.95629
DE	08/24/2021, 00:00:00	good	Europe/Berlin	10.18527	47.98372
BR	2015-08-27	excellent	America/Sao_Paulo	-50.19556	-19.72806
TR	2019/03/25	accep	Europe/Istanbul	37.3825	37.05944
ID	2017/02/03	accep	Asia/Makassar	118.9707	-3.5403
GB	2021-07-20	accep	Europe/London	-0.76667	53.38333
RU	09/22/2021, 00:00:00	average	Europe/Moscow	38.02486	55.64776
IT	16 Oct 2019	excellent	Europe/Rome	7.60872	43.78956
NL	2014/03/01	excellent	Europe/Amsterdam	7.00417	52.26083
UZ	2016/11/24	average	Asia/Tashkent	69.67639	41.29444
CN	2013/10/27	average	Asia/Shanghai	117.63083	35.50056
PH	08/01/2021, 00:00:00	excellent	Asia/Manila	120.56528	14.66
FR	2018-08-20	accep	Europe/Paris	1.6	43.11667
TR	2021/01/17	accep	Europe/Istanbul	34.37389	40.1675
ZA	05/27/2020, 00:00:00	accep	Africa/Johannesburg	29.00974	-24.19436
GB	2022-07-30	excellent	Europe/London	-2.09814	57.14369
ID	2012-11-13	average	Asia/Jakarta	112.01667	-7.81667
BR	01/29/2013, 00:00:00	excellent	America/Maceio	-37.07167	-10.91111
CU	22 Jul 2017	accep	America/Havana	-82.00919	23.04419
HR	01 Apr 2020	building	Europe/Zagreb	16.43915	43.50891
PT	07/28/2020, 00:00:00	average	Europe/Lisbon	-9.24671	38.72706
UG	2021/06/30	accep	Africa/Kampala	30.98551	2.41669
US	11/30/2016, 00:00:00	maintenance	America/Los_Angeles	-115.98391	36.20829
RU	07/21/2019, 00:00:00	average	Asia/Irkutsk	107.60627	51.82721
DE	27 Apr 2018	accep	Europe/Berlin	10.5511	52.47774
US	04/17/2016, 00:00:00	accep	America/Los_Angeles	-116.97725	33.92946
DE	07/30/2020, 00:00:00	accep	Europe/Berlin	6.8625	51.47805
US	29 Feb 2020	maintenance	America/Chicago	-88.81395	35.61452
GB	16 Nov 2012	accep	Europe/London	-0.36053	51.64316
ID	2021/02/18	average	Asia/Jakarta	109.3243	-7.0981
IT	14 Sep 2020	excellent	Europe/Rome	8.86374	44.89784
IN	2014-04-03	excellent	Asia/Kolkata	72.93924	18.87813
IR	2015-05-29	accep	Asia/Tehran	47.3799	33.14447
CU	12/30/2020, 00:00:00	maitennce	America/Havana	-81.24441	23.15678
DZ	01 Nov 2014	average	Africa/Algiers	3.47717	36.76639
US	2020/06/15	average	America/Denver	-104.83192	39.72943
US	07/21/2018, 00:00:00	average	America/Denver	-104.22884	32.42067
CN	11 Nov 2015	excellent	Asia/Shanghai	114.51667	33.78333
BR	2021/10/23	average	America/Sao_Paulo	-41.25528	-19.32556
ID	31 Jan 2018	accep	Asia/Jakarta	110.8405	-6.8048
US	2016/06/07	average	America/New_York	-83.2321	33.08014
CN	2018/05/02	building	Asia/Shanghai	123.50266	41.94175
PH	2020/03/07	building	Asia/Manila	123.758	10.20898
TL	2022-06-29	building	Asia/Dili	125.21972	-8.99167
IN	2016/11/01	excellent	Asia/Kolkata	74.83554	14.62072
GB	02/29/2016, 00:00:00	maintenance	Europe/London	-1.29243	53.49389
CA	01/27/2021, 00:00:00	average	America/Toronto	-73.81669	45.44868
ID	25 Oct 2020	good	Asia/Jakarta	98.6738	3.7278
AD	2016/03/16	accep	Europe/Andorra	1.53414	42.50729
PR	2021-02-14	good	America/Puerto_Rico	-66.8499	18.03496
IN	07/24/2019, 00:00:00	average	Asia/Kolkata	77.54372	10.12268
US	05/01/2021, 00:00:00	average	America/Denver	-105.11221	39.57582
UG	12/20/2014, 00:00:00	accep	Africa/Kampala	30.98551	2.41669
KG	08/28/2013, 00:00:00	average	Asia/Bishkek	73	40.93333
YE	2019/01/30	good	Asia/Aden	46.83187	14.53767
TR	2018-09-14	accep	Europe/Istanbul	28.67582	40.98894
ID	04/22/2016, 00:00:00	good	Asia/Jakarta	110.71639	-7.54972
DZ	17 Mar 2021	excellent	Africa/Algiers	4.62744	36.06386
RU	2019-11-27	good	Europe/Volgograd	43.2379	50.06
IN	04/26/2019, 00:00:00	accep	Asia/Kolkata	85.37752	22.10194
US	2013/05/29	good	America/New_York	-83.55521	41.66394
MX	03/18/2020, 00:00:00	excellent	America/Mexico_City	-97.35992	19.8173
FI	01/30/2017, 00:00:00	average	Europe/Helsinki	24.14662	65.84811
RU	2013-01-22	average	Asia/Yekaterinburg	53.47103	54.48147
US	2018/08/11	accep	America/Los_Angeles	-119.0376	34.21639
JP	2013-12-18	acceptable	Asia/Tokyo	137.5	34.9
IN	14 Dec 2017	excellent	Asia/Kolkata	88.1453	22.4711
DE	11 May 2019	average	Europe/Berlin	9.85	53.63333
CN	2018/04/03	excellent	Asia/Shanghai	112.19028	30.35028
KR	11/19/2012, 00:00:00	average	Asia/Seoul	128.63083	36.82167
DE	11 Aug 2014	building	Europe/Berlin	9.5586	54.52156
DE	2021/01/04	good	Europe/Berlin	11.34046	50.72043
TR	08/11/2015, 00:00:00	building	Europe/Istanbul	27.02444	39.59611
JP	2017-08-25	average	Asia/Tokyo	137.5	34.9
NI	06 Aug 2020	excellent	America/Managua	-86.19903	11.84962
MK	10/30/2017, 00:00:00	average	Europe/Skopje	21.32778	42
MX	09/23/2018, 00:00:00	average	America/Mexico_City	-103.5687	20.22816
MA	12 Dec 2021	good	Africa/Casablanca	-6.00137	33.42585
PK	07 Oct 2013	average	Asia/Karachi	70.96699	30.46907
CN	2018-03-06	excellent	Asia/Shanghai	111.73861	35.20889
ES	2019/10/28	accep	Europe/Madrid	0.57856	40.70995
TZ	2022/05/09	building	Africa/Dar_es_Salaam	37.00438	-7.60361
BR	01/08/2016, 00:00:00	accep	America/Sao_Paulo	-52.2	-28.44917
CN	2020-04-28	good	Asia/Shanghai	111.50861	32.54278
AR	2022/09/02	excellent	America/Argentina/Cordoba	-60.93173	-31.4488
PH	26 Apr 2021	building	Asia/Manila	122.9666	10.7375
US	07/01/2013, 00:00:00	maintenance	America/Los_Angeles	-122.2054	47.76232
MX	2015-10-14	excellent	America/Mexico_City	-93.11308	16.75973
US	2016-09-12	maintenance	America/Chicago	-87.93341	42.55308
US	2016-09-04	average	America/New_York	-83.55521	41.66394
MD	10/05/2020, 00:00:00	excellent	Europe/Chisinau	28.28489	48.15659
IT	2022/07/06	average	Europe/Rome	14.72443	36.92574
IN	2017/11/03	average	Asia/Kolkata	74.3092	33.37526
IN	21 Jul 2021	accep	Asia/Kolkata	88.58	23.18
RS	03 Sep 2015	maintenance	Europe/Belgrade	19.61222	44.97639
BR	04 Aug 2013	average	America/Sao_Paulo	-41.25528	-19.32556
MX	07/21/2016, 00:00:00	building	America/Mexico_City	-103.5687	20.22816
CN	2019/01/06	good	Asia/Shanghai	117.63083	35.50056
ES	10/17/2012, 00:00:00	accep	Europe/Madrid	2.18247	41.41204
FR	2016-12-30	maintenance	Europe/Paris	2.61667	48.98333
FR	2014/06/28	good	Europe/Paris	2.1699	48.98994
GT	2020/02/18	accep	America/Guatemala	-91.11667	14.93333
ID	2014/01/16	average	Asia/Makassar	117.59152	3.31332
ID	22 Sep 2015	building	Asia/Jakarta	109.05389	-7.51611
PL	2014/08/26	accep	Europe/Warsaw	16.86194	54.58048
AU	2020-12-09	average	Australia/Perth	115.8614	-31.95224
JP	22 Sep 2015	average	Asia/Tokyo	130.94098	33.3213
GB	05 Feb 2016	excellent	Europe/London	-3.52751	50.7236
PK	2020/09/23	excellent	Asia/Karachi	73.38333	31.71667
BR	12/06/2017, 00:00:00	excellent	America/Bahia	-37.93278	-11.48472
GM	11/10/2016, 00:00:00	excellent	Africa/Banjul	-15.6	13.56667
ET	03/17/2021, 00:00:00	excellent	Africa/Addis_Ababa	37.55	6.03333
US	26 Jul 2019	excellent	America/New_York	-73.0515	41.55815
LK	02/14/2018, 00:00:00	average	Asia/Colombo	79.87116	6.84019
BR	2014/07/02	excellent	America/Sao_Paulo	-51.87389	-23.44361
IN	18 Mar 2018	excellent	Asia/Kolkata	84.63445	24.81757
SK	2022-04-27	building	Europe/Bratislava	17.22635	48.8449
RU	2016/03/03	average	Asia/Yakutsk	111.4834	65.93381
NG	2017-05-17	accep	Africa/Lagos	4.74161	7.62789
GB	17 Oct 2014	excellent	Europe/London	-4.22398	57.47908
GB	2020-08-08	accep	Europe/London	0.93333	52.68333
CN	12 Nov 2017	accep	Asia/Shanghai	120.33063	37.65181
US	2016-12-28	good	America/Chicago	-93.08883	45.16024
US	20 Nov 2015	accep	America/Chicago	-86.78777	33.44872
PR	2013/06/20	average	America/Puerto_Rico	-67.15407	18.42745
IT	2016-11-12	good	Europe/Rome	13.57661	37.31065
US	03/15/2019, 00:00:00	maintenance	America/Phoenix	-111.78903	33.35283
DE	2022/03/25	average	Europe/Berlin	8.61839	49.68369
AR	2021/06/07	maintenance	America/Argentina/Buenos_Aires	-60.47389	-34.64167
NL	11 Dec 2021	maintenance	Europe/Amsterdam	5.2875	51.65333
PH	2017/03/04	accep	Asia/Manila	124.3697	9.6531
EG	07 Dec 2019	good	Africa/Cairo	29.91582	31.20176
IT	02/05/2013, 00:00:00	accep	Europe/Rome	9.32241	44.31771
FR	2013-03-23	accep	Europe/Paris	5.4384	43.2907
DE	02/15/2013, 00:00:00	average	Europe/Berlin	9.5926	52.86147
CO	2016-12-14	good	America/Bogota	-74.73584	5.20856
BW	01/22/2016, 00:00:00	excellent	Africa/Gaborone	27.46153	-21.44236
ID	2016/10/23	average	Asia/Jakarta	110.8405	-6.8048
ID	09/26/2018, 00:00:00	excellent	Asia/Jakarta	114.33333	-8.43333
DE	2019-11-01	good	Europe/Berlin	9.02596	48.21644
FR	03 Oct 2012	excellent	Europe/Paris	1.00288	49.28669
BR	20 Jan 2019	building	America/Sao_Paulo	-45.94722	-21.42917
RS	09/02/2021, 00:00:00	average	Europe/Belgrade	19.61222	44.97639
US	2022-08-17	maintenance	America/New_York	-74.07764	40.72816
JP	10/28/2020, 00:00:00	building	Asia/Tokyo	130.94098	33.3213
IT	2015/11/10	accep	Europe/Rome	11.412	45.50369
US	2015/04/06	good	America/Los_Angeles	-120.45794	34.63915
RU	2019-08-19	maitennce	Europe/Moscow	39.8302	64.5635
AR	2019-11-29	excellent	America/Argentina/Tucuman	-65.61427	-27.4338
IN	06/24/2018, 00:00:00	accep	Asia/Kolkata	78.55757	17.34769
CL	2014/02/09	average	America/Santiago	-73.02841	-36.9256
US	2013/12/07	average	America/Denver	-104.83192	39.72943
DE	2016-02-21	good	Europe/Berlin	9.85	53.63333
RU	01/30/2021, 00:00:00	maintenance	Asia/Irkutsk	107.60627	51.82721
PL	12/24/2012, 00:00:00	good	Europe/Warsaw	18.34717	54.60528
ID	25 May 2014	good	Asia/Jakarta	99.1625	3.3285
GB	03/10/2014, 00:00:00	average	Europe/London	-2.1875	51.26
IT	2012/11/03	excellent	Europe/Rome	8.55552	40.72586
UY	2020-05-04	excellent	America/Montevideo	-56.52361	-33.38056
IT	2017-01-24	average	Europe/Rome	14.72443	36.92574
NL	2021-08-03	accep	Europe/Amsterdam	4.47124	51.95838
CN	04/15/2015, 00:00:00	good	Asia/Shanghai	114.68333	23.73333
UA	27 Oct 2016	accep	Europe/Kiev	25.34244	50.75932
US	02 Aug 2014	average	America/Chicago	-97.90308	31.12406
RU	09/27/2017, 00:00:00	building	Europe/Moscow	32.86389	53.95278
RU	05/14/2020, 00:00:00	average	Europe/Moscow	38.16694	54.84444
PH	11/26/2016, 00:00:00	building	Asia/Manila	120.56528	14.66
GB	02/28/2017, 00:00:00	accep	Europe/London	-2.1875	51.26
AU	06 May 2020	excellent	Australia/Sydney	146.05093	-34.28853
US	2015-08-03	excellent	America/New_York	-74.15987	40.82232
US	2021/11/11	building	America/Los_Angeles	-117.71978	34.09668
VE	2016-09-08	average	America/Caracas	-70.20749	8.62261
PH	09/21/2014, 00:00:00	average	Asia/Manila	122.9666	10.7375
BR	2018/12/14	good	America/Maceio	-37.03861	-10.90889
IT	08/29/2022, 00:00:00	good	Europe/Rome	12.38878	43.1122
XK	05/04/2014, 00:00:00	excellent	Europe/Belgrade	20.89389	42.62833
VE	06/16/2018, 00:00:00	good	America/Caracas	-70.20749	8.62261
PT	2013-03-07	excellent	Europe/Lisbon	-8.33147	41.20485
ID	03 Aug 2014	accep	Asia/Jakarta	107.60389	-7.01833
RU	2015/07/01	maintenance	Europe/Moscow	40.17171	58.1908
RU	03 Nov 2018	good	Europe/Moscow	53.26023	54.39304
MX	20 Sep 2017	good	America/Mexico_City	-98.1664	19.32932
FI	2015-12-29	building	Europe/Helsinki	24.95034	60.18427
IN	2014-06-21	good	Asia/Kolkata	79.41727	12.25282
NE	08 Sep 2015	average	Africa/Niamey	9.15013	13.70727
US	2013/11/02	building	America/New_York	-73.78458	41.0051
