location	longitude	code	QoS	revision	latitude
America/Argentina/Buenos_Aires	-60.47389	AR	average	20 Feb 2021	-34.64167
Asia/Almaty	84.87144	KZ	accep	2015-01-19	47.46657
Europe/Warsaw	17.4674	PL	building	02 Jan 2020	50.86079
Europe/Rome	17.58522	IT	good	19 Mar 2013	40.53123
America/New_York	-73.47429	US	average	2017/06/29	40.68066
Africa/Algiers	3.50309	DZ	good	2018/07/30	34.15429
America/Sao_Paulo	-41.88778	BR	average	2014-01-25	-21.205
Asia/Shanghai	113.82465	CN	maintenance	2014/03/22	23.29549
America/Chicago	-95.44744	US	good	02/26/2022, 00:00:00	29.53885
Africa/Douala	10.7	CM	excellent	2016/09/12	4.96667
Europe/Moscow	38.94324	RU	average	03/01/2017, 00:00:00	44.98901
America/Chicago	-93.75018	US	maintenance	2017-08-04	32.52515
Africa/Abidjan	-5.682	CI	good	22 Sep 2018	5.84752
Asia/Bangkok	103.65309	TH	good	2016-12-08	16.0567
America/Los_Angeles	-117.29198	US	good	07/11/2018, 00:00:00	33.03699
America/Bahia	-38.94722	BR	average	2020/10/12	-15.675
America/Fortaleza	-41.45861	BR	accep	17 Dec 2014	-4.42472
Asia/Shanghai	114.51667	CN	good	2016/10/19	33.78333
Europe/London	-1.06667	GB	average	10/12/2020, 00:00:00	53.78333
America/Chicago	-86.78777	US	average	03/11/2018, 00:00:00	33.44872
Africa/Lagos	12.19458	NG	good	2020/11/16	10.61285
Asia/Kolkata	77.24779	IN	good	11 Nov 2016	10.58806
Asia/Kolkata	82.85749	IN	excellent	04 Oct 2017	17.54907
Asia/Shanghai	112.9	CN	excellent	20 Feb 2019	27.85
Asia/Shanghai	122.20488	CN	average	19 Nov 2016	29.98869
Europe/Kiev	30.96755	UA	average	2013/11/09	49.07866
America/New_York	-84.23381	US	excellent	2014/05/11	33.54428
Africa/Algiers	4.85668	DZ	building	2015-10-06	36.27462
Africa/Dar_es_Salaam	39.28333	TZ	excellent	30 Apr 2018	-10.33333
America/Havana	-80.58556	CU	good	2020/11/05	22.98212
America/Chicago	-88.42814	US	accep	03/31/2015, 00:00:00	42.16808
America/Chicago	-90.10674	US	average	03/30/2014, 00:00:00	29.84576
Europe/Amsterdam	6.92917	NL	building	01/12/2013, 00:00:00	52.31333
Asia/Taipei	119.58627	TW	good	29 Mar 2014	23.5654
Europe/Rome	13.39954	IT	average	2015/05/22	43.62558
America/Santiago	-73.02841	CL	excellent	2019-11-13	-36.9256
America/Bogota	-73.26022	CO	good	2015/12/19	6.46838
Asia/Aqtobe	59.6	KZ	accep	21 Jul 2019	47.83333
America/New_York	-84.50855	US	maintenance	2020/04/14	39.08367
Europe/Moscow	38.12408	RU	good	2015/03/04	53.77166
Asia/Karachi	68.75915	PK	average	2013/09/11	27.52948
America/New_York	-83.2321	US	excellent	2019-08-13	33.08014
America/Los_Angeles	-120.45794	US	average	07/17/2018, 00:00:00	34.63915
Europe/London	-2.12139	GB	maintenance	01/09/2020, 00:00:00	52.48173
America/Havana	-77.43532	CU	maintenance	05 Apr 2022	20.14298
America/Toronto	-73.86586	CA	good	2017/11/13	45.43341
America/Chicago	-88.81395	US	building	2019-02-27	35.61452
America/New_York	-73.20483	US	building	07/19/2014, 00:00:00	41.16704
America/Boise	-116.56346	US	average	28 Sep 2017	43.54072
Africa/Algiers	3.47717	DZ	building	09/23/2017, 00:00:00	36.76639
Africa/Johannesburg	30.79165	ZA	accep	2017/01/27	-27.76952
America/Toronto	-73.81669	CA	good	2021-10-19	45.44868
Asia/Baghdad	44.02488	IQ	building	2019-11-27	32.61603
Asia/Kabul	65.93249	AF	building	2019/03/18	36.21544
Europe/Istanbul	37.3825	TR	excellent	2018/02/12	37.05944
Europe/Berlin	13.10984	DE	accep	24 Nov 2013	51.30001
America/Mexico_City	-94.91386	MX	average	2020-12-25	17.94979
Europe/Rome	16.50104	IT	maintenance	11/17/2021, 00:00:00	41.24264
Europe/Paris	2.44892	FR	average	12/29/2019, 00:00:00	48.98693
Africa/Nairobi	34.11169	KE	excellent	08/07/2022, 00:00:00	0.46005
Asia/Phnom_Penh	102.56365	KH	accep	04/01/2015, 00:00:00	13.65805
America/Vancouver	-119.48568	CA	good	2021-05-27	49.88307
Africa/Maputo	35.34722	MZ	maintenance	17 Apr 2017	-23.85972
Europe/Kiev	30.96755	UA	accep	12 Dec 2017	49.07866
Asia/Kolkata	91.61356	IN	average	2020-04-23	26.44931
Europe/Berlin	7.36027	DE	building	21 Mar 2018	51.20219
Asia/Shanghai	130.57211	CN	maintenance	2019-09-09	45.75279
Asia/Kolkata	74.4818	IN	good	2018/09/03	30.21121
America/New_York	-73.75513	US	average	2017-09-23	40.60538
America/Martinique	-60.94228	MQ	excellent	02 Aug 2021	14.67751
Europe/Paris	2.61667	FR	accep	03/06/2018, 00:00:00	48.98333
Atlantic/Canary	-15.58602	ES	maintenance	02/15/2019, 00:00:00	27.76056
Africa/Dar_es_Salaam	38.66667	TZ	excellent	2013-07-09	-6.25
America/New_York	-75.60804	US	average	23 Jun 2013	39.96097
Europe/Madrid	3.1631	ES	excellent	12/10/2014, 00:00:00	41.91738
America/New_York	-70.92866	US	maintenance	06 Jun 2018	42.52787
America/Chicago	-88.42814	US	good	08 Oct 2015	42.16808
Europe/Warsaw	18.30056	PL	excellent	2020-02-19	50.5107
America/Recife	-35.71667	BR	excellent	10/20/2012, 00:00:00	-8.66667
America/New_York	-74.07764	US	excellent	21 May 2016	40.72816
America/New_York	-78.04471	US	average	2017/05/04	34.25628
Asia/Shanghai	117.27583	CN	average	10/18/2013, 00:00:00	35.64889
America/Fortaleza	-41.45861	BR	excellent	2015-05-12	-4.42472
Europe/Berlin	11.37703	DE	excellent	05 Jun 2017	48.06919
Africa/Johannesburg	29.24152	ZA	building	09 Aug 2015	-26.93366
Asia/Bangkok	100.48528	TH	good	08/07/2015, 00:00:00	14.37395
America/Chicago	-93.08883	US	building	2016/02/12	45.16024
Europe/Stockholm	17.10558	SE	average	17 Jun 2022	61.72744
Asia/Kolkata	73.66633	IN	excellent	2020-02-17	25.92493
Africa/Windhoek	16.91667	NA	excellent	08 Oct 2014	-21.98333
America/Lima	-76.70944	PE	accep	02/04/2017, 00:00:00	-11.94306
Asia/Kuching	116.10146	MY	accep	2014/04/09	5.90702
Europe/Madrid	-1.86343	ES	maintenance	01 Oct 2016	38.10558
Asia/Bangkok	102.05461	TH	excellent	08/25/2021, 00:00:00	6.25947
Europe/Moscow	43.63417	RU	excellent	2019-01-28	43.96222
Asia/Kolkata	85.37752	IN	good	2017/03/01	22.10194
America/Argentina/Ushuaia	-68.3	AR	excellent	2015-12-03	-54.8
Asia/Shanghai	111.73861	CN	accep	2014-10-10	35.20889
Europe/Moscow	32.86389	RU	excellent	05/29/2020, 00:00:00	53.95278
Asia/Yangon	98.50893	MM	average	2014-06-25	16.68911
Atlantic/Azores	-25.66689	PT	good	2020-08-04	37.74615
Asia/Qyzylorda	65.50917	KZ	good	2016-02-11	44.85278
America/Sao_Paulo	-42.98194	BR	excellent	2017-12-31	-22.53722
America/Bahia	-39.25	BR	maintenance	2021-03-14	-12.91667
Asia/Seoul	128.62667	KR	good	2019/12/01	34.8825
America/Santiago	-73.02841	CL	building	2017/03/02	-36.9256
Africa/Dar_es_Salaam	38.01667	TZ	excellent	03/07/2021, 00:00:00	-5.41667
Asia/Karachi	73.38333	PK	maintenance	07/17/2018, 00:00:00	31.71667
America/Los_Angeles	-119.01677	US	average	05/08/2014, 00:00:00	36.06523
Europe/Saratov	46.04833	RU	good	2018-09-06	51.40944
Europe/Amsterdam	5.22778	NL	excellent	2013/12/12	51.955
Asia/Yerevan	44.7662	AM	average	2014/10/21	40.49748
Asia/Kolkata	71.57737	IN	good	2013/07/11	21.53889
Pacific/Port_Moresby	144.23058	PG	good	2014/06/19	-5.85746
America/New_York	-77.70066	US	average	2017-11-23	43.16547
America/Chicago	-97.90308	US	average	2019-04-23	31.12406
America/Denver	-111.99633	US	good	2019/09/12	40.65995
Asia/Jakarta	110.71639	ID	excellent	2021-09-08	-7.54972
Africa/Accra	-1.98956	GH	maintenance	10/26/2013, 00:00:00	5.30383
Europe/Rome	8.86374	IT	average	2016/10/14	44.89784
Europe/Istanbul	28.67582	TR	good	2021/10/07	40.98894
Europe/Brussels	4.82313	BE	maintenance	2021/10/20	51.24197
America/Guayaquil	-79.59415	EC	maintenance	30 Jun 2020	-2.13404
America/Havana	-77.43532	CU	accep	04/30/2020, 00:00:00	20.14298
Asia/Shanghai	122.08333	CN	average	2016-03-21	46.08333
Asia/Seoul	128.62667	KR	average	06 Sep 2018	34.8825
Europe/London	-1.99421	GB	good	06 Jun 2021	51.35084
Asia/Kolkata	86.59509	IN	accep	05/11/2013, 00:00:00	26.11527
Asia/Shanghai	120.74792	CN	good	2016-11-14	41.09822
Asia/Kolkata	78.27539	IN	average	2021/12/02	12.95629
Asia/Kolkata	79.5286	IN	excellent	07/04/2016, 00:00:00	29.22254
Europe/Paris	1.33467	FR	maintenance	24 Aug 2017	43.61058
Asia/Novokuznetsk	85.4265	RU	building	06/09/2019, 00:00:00	55.8736
Asia/Shanghai	117.27583	CN	maintenance	2022-09-06	35.64889
America/Mexico_City	-99.32556	MX	excellent	07/24/2015, 00:00:00	19.32889
America/Mexico_City	-96.72365	MX	excellent	02 Oct 2012	17.06542
Asia/Kolkata	75.96976	IN	maintenance	19 Mar 2022	15.73628
Europe/Paris	4.91667	FR	good	25 Jul 2020	45.73333
Asia/Kolkata	76.0586	IN	accep	25 Sep 2015	16.06213
Europe/Berlin	10.18527	DE	excellent	2020/12/29	47.98372
Asia/Colombo	79.883	LK	excellent	2022-03-24	6.9909
Asia/Kolkata	72.93924	IN	good	02/17/2017, 00:00:00	18.87813
Europe/Amsterdam	6.92917	NL	building	2020/08/04	52.31333
Asia/Tokyo	144.09638	JP	average	25 Jun 2019	43.82634
America/New_York	-74.38987	US	excellent	05/06/2013, 00:00:00	40.65538
Europe/Moscow	37.56667	RU	excellent	03/10/2017, 00:00:00	55.85
Asia/Shanghai	123.50266	CN	excellent	2019-03-10	41.94175
America/Bogota	-74.95472	CO	building	2016/03/15	10.98778
Africa/Lagos	9.0027	NG	building	2017/11/15	11.86064
Asia/Tokyo	140.73667	JP	accep	2021-07-25	41.77583
America/Sao_Paulo	-49.27306	BR	good	2015-02-03	-25.42778
Europe/Kiev	27.06365	UA	average	2014/07/22	50.18545
Europe/Rome	14.30935	IT	accep	2019/11/27	40.92298
America/Chicago	-86.99666	US	average	26 May 2022	33.45122
Asia/Yekaterinburg	65.27258	RU	building	03/17/2017, 00:00:00	58.04254
Europe/London	-3.52751	GB	good	05/14/2020, 00:00:00	50.7236
Europe/Brussels	4.21372	BE	building	12/27/2016, 00:00:00	51.12794
Asia/Kolkata	77.40858	IN	average	2016-04-26	24.05979
Europe/Madrid	-4.10734	ES	average	2016/02/08	38.68712
Asia/Tokyo	140.73667	JP	good	2015/09/30	41.77583
America/Bahia	-39.25	BR	accep	2021/12/11	-12.91667
Europe/Helsinki	24.6522	FI	maintenance	15 Jun 2021	60.2052
Africa/Kampala	30.98551	UG	accep	14 Aug 2021	2.41669
America/Chicago	-88.31476	US	average	01/17/2017, 00:00:00	36.61033
America/Chicago	-95.30106	US	excellent	27 Jul 2018	32.35126
Asia/Jakarta	109.05389	ID	accep	11 Feb 2020	-7.51611
America/Maceio	-37.03861	BR	excellent	04/08/2017, 00:00:00	-10.90889
America/Chicago	-87.71255	US	accep	2014/05/25	41.84364
Asia/Yekaterinburg	59.80222	RU	accep	14 Feb 2022	58.63667
Europe/Sofia	27.25	BG	accep	03 Nov 2016	42.7
Africa/Accra	-2.31938	GH	excellent	2018-12-19	6.46346
Europe/Istanbul	28.88222	TR	building	05/21/2020, 00:00:00	40.37528
Europe/Paris	2.45012	FR	excellent	2016/03/21	48.90982
Asia/Kolkata	74.85849	IN	good	2018/10/02	31.28092
America/Los_Angeles	-117.23991	US	good	2013/07/04	47.64995
Asia/Karachi	73.38333	PK	average	10 Oct 2012	31.71667
America/Mexico_City	-93.11308	MX	accep	08 Sep 2016	16.75973
America/Recife	-34.88111	BR	average	23 Jan 2015	-8.05389
Europe/Paris	4.63031	FR	excellent	07/21/2019, 00:00:00	43.67681
Europe/London	1.15597	GB	average	2013-05-01	51.78967
Asia/Kolkata	77.656	IN	maitennce	12/04/2013, 00:00:00	28.71271
America/Panama	-79.62603	PA	good	2020-07-10	8.88988
Asia/Tokyo	141.95	JP	average	2018-08-30	39.46667
Asia/Bangkok	99.89166	TH	average	08/12/2022, 00:00:00	15.46063
Asia/Kolkata	82.85749	IN	accep	08/30/2015, 00:00:00	17.54907
Asia/Manila	123.33471	PH	good	06/09/2015, 00:00:00	8.56697
Europe/Paris	2.1699	FR	excellent	07 Feb 2014	48.98994
America/New_York	-78.19444	US	accep	2021-01-20	38.91817
Europe/Berlin	8.51667	DE	accep	2016-04-17	51.88333
America/Sao_Paulo	-49.27306	BR	excellent	2018/04/11	-25.42778
Asia/Manila	120.97844	PH	excellent	10/27/2015, 00:00:00	14.8361
Europe/Moscow	40.17171	RU	accep	20 Jun 2018	58.1908
America/New_York	-73.75513	US	excellent	16 Sep 2020	40.60538
Europe/Madrid	-1.325	ES	excellent	2015-02-05	38.47917
Europe/Rome	14.39024	IT	average	01/07/2022, 00:00:00	42.22718
America/New_York	-76.72803	US	excellent	2013/12/21	39.32288
Europe/London	-1.32471	GB	maitennce	19 Feb 2018	51.40148
Asia/Kolkata	71.57737	IN	good	25 Jun 2020	21.53889
Africa/Ndjamena	18.69303	TD	average	04/17/2018, 00:00:00	12.18441
America/Sao_Paulo	-47.53028	BR	excellent	2016/01/15	-22.45667
America/Los_Angeles	-122.23484	US	excellent	2012-12-04	47.38093
Europe/Berlin	10.18527	DE	accep	2016/12/11	47.98372
Europe/Amsterdam	5.22778	NL	average	2021/11/29	51.955
Asia/Shanghai	109.22921	CN	accep	06 Apr 2015	34.65918
America/Detroit	-82.42491	US	excellent	11 Feb 2019	42.97086
America/Maceio	-37.03861	BR	average	11/06/2012, 00:00:00	-10.90889
America/Mexico_City	-93.11308	MX	maintenance	09 Dec 2020	16.75973
Europe/Kiev	30.96755	UA	building	2014/08/28	49.07866
Africa/Algiers	4.08282	DZ	excellent	01/28/2013, 00:00:00	36.61954
America/Bogota	-74.95472	CO	average	12/05/2014, 00:00:00	10.98778
America/Bogota	-73.9614	CO	average	11 Jan 2015	10.15031
Asia/Shanghai	120.33063	CN	accep	02/01/2022, 00:00:00	37.65181
Asia/Shanghai	120.74221	CN	maintenance	2013/09/25	31.64615
Africa/Casablanca	-6.00137	MA	maintenance	07/18/2021, 00:00:00	33.42585
Asia/Tokyo	129.96972	JP	maintenance	12/07/2021, 00:00:00	33.4425
Africa/Cairo	29.91582	EG	accep	11 Sep 2016	31.20176
America/New_York	-73.49484	US	accep	03/24/2013, 00:00:00	41.14676
Europe/Moscow	35.96944	RU	average	12 Jan 2020	56.03361
America/Tegucigalpa	-86.57415	HN	good	16 Jul 2013	15.48131
Asia/Ho_Chi_Minh	105.75635	VN	accep	11/09/2015, 00:00:00	10.29085
Asia/Qyzylorda	65.50917	KZ	average	14 Mar 2017	44.85278
America/Los_Angeles	-116.21677	US	excellent	2022-05-23	33.7207
Africa/Algiers	3.50309	DZ	excellent	2015/08/26	34.15429
Europe/Brussels	5.37429	BE	average	2019/04/12	51.03427
Europe/Bratislava	17.8031	SK	accep	2016-12-03	48.43174
Europe/Moscow	53.26023	RU	building	09/15/2014, 00:00:00	54.39304
Europe/Rome	12.84052	IT	average	2018/07/04	45.78071
Asia/Shanghai	125.51176	CN	good	2018/03/17	42.64031
Europe/Istanbul	28.67582	TR	maitennce	21 Sep 2016	40.98894
Asia/Kolkata	71.57737	IN	excellent	15 Mar 2022	21.53889
Asia/Aqtobe	59.6	KZ	accep	2020/02/24	47.83333
America/Chicago	-95.44744	US	maintenance	21 Jul 2013	29.53885
America/New_York	-73.0515	US	maintenance	2018-06-15	41.55815
America/Sao_Paulo	-46.99583	BR	average	2021-04-25	-22.97056
Europe/Amsterdam	5.23333	NL	good	05 Jan 2016	52.09
Africa/Douala	9.00472	CM	excellent	02/26/2016, 00:00:00	4.2475
Asia/Bangkok	99.95469	TH	excellent	04/27/2018, 00:00:00	13.51825
America/Los_Angeles	-117.54866	US	maintenance	2018/04/16	33.93113
Europe/Dublin	-7.35	IE	average	2015-10-28	53.53333
America/Sao_Paulo	-50.19556	BR	accep	09/24/2021, 00:00:00	-19.72806
Africa/Casablanca	-2.16	MA	maintenance	08/01/2017, 00:00:00	34.31
Europe/Istanbul	29.26639	TR	excellent	2018-09-04	37.58105
Asia/Damascus	36.7138	SY	good	09 Aug 2013	35.95664
America/Bogota	-73.26022	CO	maintenance	2021/03/26	6.46838
America/Los_Angeles	-121.75689	US	maintenance	2012-09-27	36.91023
Asia/Manila	121.12251	PH	average	26 Apr 2018	14.62578
America/Los_Angeles	-117.54866	US	maintenance	2021/03/25	33.93113
Asia/Karachi	68.21204	PK	excellent	2018/06/15	27.55898
Europe/London	-1.5443	GB	average	26 Oct 2016	50.75767
Australia/Melbourne	145.13643	AU	excellent	2014-08-04	-38.16604
America/Recife	-34.88111	BR	maintenance	2021-04-27	-8.05389
Europe/London	-2.98333	GB	accep	08 Apr 2018	53.83333
America/Belem	-48.52333	BR	accep	14 Aug 2020	-0.71667
Africa/Windhoek	16.91667	NA	building	05 Mar 2016	-21.98333
Africa/Accra	-1.98956	GH	average	2013-09-30	5.30383
Europe/London	-1.48119	GB	good	04 Apr 2020	53.0233
Europe/Madrid	-5.55835	ES	average	2017/06/08	42.64685
America/New_York	-81.26367	US	good	2015/07/28	28.90054
America/New_York	-72.27814	US	accep	2017-05-28	42.93369
Asia/Kolkata	77.54372	IN	building	2013/01/14	10.12268
America/Chicago	-89.99038	US	building	2021/02/03	38.58894
Europe/Rome	16.50104	IT	accep	2012-12-23	41.24264
Asia/Shanghai	111.50861	CN	maintenance	06 Jul 2022	32.54278
Asia/Kolkata	77.5609	IN	good	2021-03-04	11.00599
America/New_York	-80.22588	US	good	27 Aug 2021	26.2173
America/Mexico_City	-99.32556	MX	maintenance	28 Dec 2012	19.32889
America/Los_Angeles	-119.01677	US	good	01 May 2014	36.06523
America/New_York	-76.72803	US	accep	29 Apr 2018	39.32288
Europe/Bratislava	17.8031	SK	good	2020/01/15	48.43174
America/New_York	-75.23266	US	excellent	2013-08-28	43.1009
America/Chicago	-94.74049	US	excellent	06/20/2020, 00:00:00	32.5007
Africa/Maputo	35.34722	MZ	excellent	2013-12-06	-23.85972
Asia/Riyadh	49.62251	SA	average	2021-06-01	27.0174
Africa/Tripoli	20.22625	LY	average	2019-10-19	30.75545
Asia/Kolkata	86.68363	IN	maintenance	2015/05/08	23.49668
Europe/London	0.47713	GB	building	01/21/2014, 00:00:00	51.39323
America/Los_Angeles	-117.70755	US	excellent	2014/09/06	33.52253
America/Chicago	-91.73625	US	accep	2019-08-15	35.25064
Europe/London	-0.33525	GB	excellent	25 Aug 2013	53.7446
Africa/Algiers	3.55665	DZ	excellent	2017/12/27	36.72544
Asia/Tokyo	139.6853	JP	good	07 Feb 2022	35.815
Europe/Berlin	8.77069	DE	average	2012/12/01	50.80904
America/Chicago	-90.10674	US	building	2020/06/12	29.84576
Europe/Berlin	10.5511	DE	maintenance	02/23/2013, 00:00:00	52.47774
America/New_York	-74.01042	US	average	2015-03-17	41.50343
Asia/Bangkok	100.48528	TH	excellent	06/08/2015, 00:00:00	14.37395
America/Maceio	-37.65	BR	accep	2022/02/26	-10.91722
Asia/Tehran	51.67462	IR	accep	11/03/2013, 00:00:00	32.65246
Asia/Kolkata	77.23826	IN	excellent	05/06/2015, 00:00:00	11.50526
Africa/Dar_es_Salaam	33	TZ	excellent	07/30/2017, 00:00:00	-2.68333
Europe/Amsterdam	6.92917	NL	average	03/02/2016, 00:00:00	52.31333
Europe/Berlin	8.51667	DE	excellent	2016/12/26	51.88333
Asia/Shanghai	122.22833	CN	excellent	26 Dec 2020	40.66482
America/Chicago	-93.12577	US	average	2013/09/06	44.73941
Europe/London	-1.47217	GB	accep	2020/11/04	53.46506
America/Toronto	-79.2663	CA	excellent	2021-03-08	43.86682
Australia/Brisbane	152.70493	AU	excellent	2015-04-05	-25.54073
Europe/London	-3.05814	GB	accep	2022/06/15	53.00974
America/Los_Angeles	-122.24092	US	good	02/15/2014, 00:00:00	47.4943
Asia/Karachi	71.52847	PK	accep	09 Aug 2015	32.57756
Europe/Belgrade	19.61222	RS	good	2014-05-08	44.97639
Europe/Zaporozhye	36.25361	UA	accep	2022/08/02	47.48444
Europe/Moscow	38.12408	RU	accep	17 Nov 2014	53.77166
America/Los_Angeles	-117.14392	US	accep	09/07/2013, 00:00:00	32.9156
Asia/Jakarta	107.60389	ID	accep	05/25/2022, 00:00:00	-7.01833
Africa/Bamako	-8.07257	ML	accep	2018/12/19	12.74409
Europe/Istanbul	37.3825	TR	good	2014/03/21	37.05944
Europe/Berlin	13.31783	DE	average	2022-05-16	52.61131
Africa/Addis_Ababa	38.01667	ET	accep	2017/03/21	11.85
America/Argentina/Tucuman	-65.61427	AR	excellent	21 Dec 2017	-27.4338
Europe/Moscow	36.73307	RU	average	2021-01-27	55.38752
Europe/Istanbul	29.26639	TR	good	2022/09/14	37.58105
Asia/Dhaka	89.11943	BD	excellent	2020-09-15	23.9028
America/Toronto	-73.86586	CA	excellent	2021/04/22	45.43341
America/Los_Angeles	-122.23484	US	excellent	08/20/2017, 00:00:00	47.38093
Asia/Kolkata	79.41727	IN	maintenance	16 Jul 2014	12.25282
America/New_York	-72.27814	US	good	07/30/2013, 00:00:00	42.93369
Africa/Tripoli	20.22625	LY	good	2016/07/04	30.75545
America/Los_Angeles	-122.39168	US	good	2016/03/20	40.58654
America/New_York	-80.22588	US	maintenance	06/02/2015, 00:00:00	26.2173
Europe/Warsaw	15.00835	PL	average	01/26/2016, 00:00:00	51.14942
Europe/Berlin	11.32903	DE	average	2015-08-29	50.9803
Asia/Karachi	68.49143	PK	excellent	2022/04/21	25.80565
Africa/Addis_Ababa	38.01667	ET	good	2021-03-26	11.85
Asia/Damascus	36.7138	SY	average	08/31/2018, 00:00:00	35.95664
Europe/Paris	-1.05366	FR	good	07/11/2015, 00:00:00	43.71032
Europe/Berlin	13.31783	DE	average	11/26/2014, 00:00:00	52.61131
Asia/Yekaterinburg	59.80222	RU	building	2013-12-02	58.63667
Asia/Kolkata	72.93924	IN	good	11/02/2019, 00:00:00	18.87813
Europe/Amsterdam	5.23333	NL	accep	2013-04-03	52.09
America/Havana	-82.4017	CU	excellent	14 Aug 2022	23.0072
Europe/Moscow	38.07083	RU	good	2016/10/10	54.90083
Europe/Paris	2.29026	FR	good	2016-05-31	48.77644
America/New_York	-82.07842	US	maintenance	2021-02-28	26.91756
America/Chicago	-91.73625	US	building	30 Oct 2013	35.25064
America/Mexico_City	-98.11889	MX	accep	2013-08-15	19.04222
Asia/Yangon	98.50893	MM	good	13 Aug 2014	16.68911
America/Bahia	-39.25	BR	excellent	05 Apr 2013	-12.91667
Europe/Stockholm	17.10558	SE	good	2017-01-21	61.72744
Europe/Brussels	4.21372	BE	maintenance	02/16/2013, 00:00:00	51.12794
Asia/Almaty	84.87144	KZ	good	11/09/2019, 00:00:00	47.46657
America/Mexico_City	-103.5687	MX	good	08/20/2020, 00:00:00	20.22816
Asia/Kolkata	85.83636	IN	average	2019/04/30	25.66795
Europe/Moscow	33.72798	RU	good	2021-10-19	53.53395
Asia/Bangkok	99.95469	TH	excellent	04/21/2021, 00:00:00	13.51825
Europe/Lisbon	-9.24671	PT	excellent	09/11/2022, 00:00:00	38.72706
America/New_York	-71.8023	US	maintenance	29 Mar 2014	42.58342
Europe/Paris	2.1699	FR	average	12/27/2013, 00:00:00	48.98994
Asia/Taipei	119.58627	TW	maintenance	12/31/2020, 00:00:00	23.5654
Europe/Berlin	9.5586	DE	excellent	2021/07/28	54.52156
Asia/Makassar	117.59152	ID	average	2016/01/29	3.31332
Asia/Tokyo	139.6853	JP	maintenance	2014-06-13	35.815
Asia/Seoul	128.62667	KR	building	2022-01-13	34.8825
Europe/Zaporozhye	36.25361	UA	building	04 Jul 2018	47.48444
Europe/Madrid	-5.55835	ES	excellent	2017-03-21	42.64685
Asia/Kolkata	73.08333	IN	excellent	2020/06/06	19.21667
America/Phoenix	-111.78903	US	accep	2018/09/22	33.35283
Asia/Kolkata	72.93924	IN	building	2018-07-19	18.87813
Europe/Berlin	8.91229	DE	accep	2014-07-18	49.13645
Europe/London	-1.32471	GB	excellent	09/23/2013, 00:00:00	51.40148
America/Chicago	-91.73625	US	excellent	2013/09/12	35.25064
America/Mexico_City	-100.44843	MX	average	2018-05-14	20.74122
Europe/Paris	2.29026	FR	excellent	2017-10-11	48.77644
Asia/Jakarta	109.3243	ID	excellent	29 Jan 2015	-7.0981
Africa/Algiers	2.31889	DZ	average	21 Jan 2018	35.21222
America/Manaus	-58.44417	BR	excellent	2019-08-14	-3.14306
Asia/Kolkata	74.80555	IN	excellent	20 Nov 2018	34.08565
America/New_York	-73.9625	US	average	2015/10/18	40.81
America/Santiago	-70.6996	CL	excellent	28 Apr 2014	-33.59217
Asia/Shanghai	118.53333	CN	building	06/20/2019, 00:00:00	27.92333
America/New_York	-81.77285	US	accep	2018-02-08	28.54944
America/Bogota	-75.87877	CO	average	11/29/2021, 00:00:00	5.6561
Asia/Karachi	68.49143	PK	average	2019/12/29	25.80565
Europe/Kiev	30.96755	UA	average	2012/10/31	49.07866
America/New_York	-74.01042	US	excellent	2017-11-11	41.50343
Asia/Kolkata	75.92694	IN	excellent	2018/11/19	14.46693
Asia/Manila	122.9666	PH	average	08/29/2015, 00:00:00	10.7375
America/New_York	-84.20299	US	accep	2015-12-09	39.43534
Europe/Moscow	33.2525	RU	good	2018-09-22	57.97472
Europe/Madrid	-1.64295	ES	accep	23 Jan 2015	42.8139
Europe/Moscow	43.63417	RU	good	2019/10/21	43.96222
Europe/Rome	15.07041	IT	excellent	2012/10/05	37.49223
Europe/Belgrade	19.61222	RS	excellent	28 Jun 2020	44.97639
America/Mexico_City	-93.11308	MX	good	07/23/2021, 00:00:00	16.75973
Asia/Tehran	47.3799	IR	accep	2018-03-31	33.14447
Asia/Bangkok	99.95469	TH	maintenance	13 Jun 2018	13.51825
Europe/Madrid	-1.60452	ES	average	25 May 2017	42.06166
America/Toronto	-79.2663	CA	average	2022-01-05	43.86682
Atlantic/Canary	-15.58602	ES	excellent	2014/01/01	27.76056
America/Mexico_City	-99.32556	MX	building	2020-12-17	19.32889
Asia/Tashkent	72.34424	UZ	maintenance	07 Mar 2022	40.78206
Europe/Rome	14.39024	IT	maintenance	08/28/2020, 00:00:00	42.22718
America/Argentina/Tucuman	-65.61427	AR	maintenance	2021-05-08	-27.4338
America/Los_Angeles	-122.24064	US	average	2018/08/06	47.80527
America/Merida	-89.66123	MX	good	07/06/2020, 00:00:00	21.28306
America/Chicago	-87.882	US	excellent	2016/03/15	41.85059
Europe/Kiev	29.41824	UA	maintenance	24 Nov 2012	45.99194
Africa/Nairobi	34.11169	KE	excellent	05/17/2015, 00:00:00	0.46005
America/Mexico_City	-98.11889	MX	excellent	2021/02/26	19.04222
Asia/Shanghai	130.57211	CN	maitennce	2013/06/12	45.75279
Asia/Kolkata	88.28637	IN	average	27 Jun 2020	23.07492
Asia/Manila	122.9666	PH	accep	2014-01-20	10.7375
Africa/Algiers	3.50309	DZ	average	27 Apr 2018	34.15429
Europe/Moscow	38.94324	RU	accep	2019-05-12	44.98901
Asia/Yekaterinburg	60.8019	RU	accep	15 Sep 2014	56.9083
Africa/Accra	-1.4001	GH	good	2017/12/02	7.06273
