station	latitude	code	revision	QoS	longitude
North Lauderdale	26.2173	US	09/06/2018, 00:00:00	excellent	-80.22588
Socorro	6.46838	CO	27 Nov 2017	accep	-73.26022
Bogovinje	41.92361	MK	09/20/2016, 00:00:00	good	20.91361
Aloha	45.49428	US	02/27/2019, 00:00:00	average	-122.86705
Changshu City	31.64615	CN	10 Jul 2014	average	120.74221
Vahdat	38.55632	TJ	2019/07/09	average	69.01354
Yamada	39.46667	JP	2018-07-13	building	141.95
Minokamo	35.48199	JP	05/28/2015, 00:00:00	maintenance	137.02166
Carindale	-27.50578	AU	03 Sep 2014	average	153.10236
Tak Bai	6.25947	TH	2016/09/15	excellent	102.05461
Alfenas	-21.42917	BR	24 Oct 2021	good	-45.94722
Charlottetown	46.23899	CA	2016/01/12	excellent	-63.13414
Ilesa	7.62789	NG	12/28/2018, 00:00:00	average	4.74161
Hechingen	48.35149	DE	18 Feb 2021	building	8.96317
Inverness	57.47908	GB	12/04/2015, 00:00:00	maintenance	-4.22398
Rutherglen	55.82885	GB	2019/12/26	building	-4.21376
Vahdat	38.55632	TJ	2015/03/15	good	69.01354
Villaquilambre	42.64685	ES	2014-12-29	maintenance	-5.55835
Buynaksk	42.819	RU	2017/05/15	accep	47.1192
Rio Real	-11.48472	BR	2013/10/31	maintenance	-37.93278
Yao	34.61667	JP	05 Dec 2014	maintenance	135.6
Larkana	27.55898	PK	2014-11-21	excellent	68.21204
Kamakura	35.30889	JP	2015/12/23	good	139.55028
Xiangtan	27.85	CN	19 Jun 2016	maintenance	112.9
Santa Cruz de Barahona	18.20854	DO	09/07/2021, 00:00:00	average	-71.10077
Skalica	48.8449	SK	03 Dec 2017	excellent	17.22635
Saraj	42	MK	2020/11/07	accep	21.32778
Gorakhpur	26.76628	IN	28 Apr 2022	excellent	83.36889
East Haven	41.27621	US	2017/07/27	building	-72.86843
San Carlos	8.79577	CO	2016/07/08	excellent	-75.69947
Likhobory	55.85	RU	2015/04/28	maintenance	37.56667
Searcy	35.25064	US	2020-05-13	accep	-91.73625
Tadmur	34.5624	SY	2013-03-28	accep	38.28402
Patti	31.28092	IN	04/21/2018, 00:00:00	accep	74.85849
Clermont	28.54944	US	26 Jun 2013	maintenance	-81.77285
Aracaju	-10.91111	BR	10 Jul 2019	maintenance	-37.07167
East Jerusalem	31.78336	PS	12 Jun 2016	maintenance	35.23388
Hushitai	41.94175	CN	2015/08/25	average	123.50266
Efon-Alaaye	7.65649	NG	2017/02/03	building	4.92235
Mvomero	-6.25	TZ	2013-03-25	average	38.66667
Willetton	-32.05251	AU	2020/05/25	maintenance	115.88782
Newburgh	41.50343	US	03 Apr 2015	accep	-74.01042
Fazilpur	32.17629	PK	06 Oct 2012	average	75.06583
La Ligua	-32.45242	CL	2020/10/26	maintenance	-71.23106
Saratoga Springs	40.34912	US	12 Jul 2021	accep	-111.90466
Tyoply Stan	55.62047	RU	2016/09/05	excellent	37.49338
Puertollano	38.68712	ES	12/04/2019, 00:00:00	average	-4.10734
Yangambi	0.76755	CD	07/06/2013, 00:00:00	accep	24.43973
Binnish	35.95664	SY	2019/12/07	excellent	36.7138
Farafenni	13.56667	GM	11/27/2015, 00:00:00	accep	-15.6
Nakhon Si Thammarat	8.43333	TH	2019/09/22	excellent	99.96667
Iringa	-7.76667	TZ	2020-12-27	average	35.7
Mwandiga	-4.83	TZ	2013-11-23	maintenance	29.65806
Usagara	-2.68333	TZ	2017-05-19	maintenance	33
Aracaju	-10.91111	BR	04 Jan 2020	good	-37.07167
Roseto degli Abruzzi	42.67164	IT	04 Dec 2021	building	14.01481
Dawei	14.0823	MM	2015-11-14	accep	98.19151
Esperanza	-31.4488	AR	06/30/2013, 00:00:00	average	-60.93173
Lexington	33.98154	US	08 Feb 2019	average	-81.23621
Inverness	57.47908	GB	2019/08/29	building	-4.22398
Port Huron	42.97086	US	06/21/2017, 00:00:00	good	-82.42491
Kachkanar	58.7002	RU	2015-04-09	accep	59.4839
Boyeros	23.0072	CU	2014/11/27	excellent	-82.4017
Freetown	8.48714	SL	07/01/2018, 00:00:00	excellent	-13.2356
East Haven	41.27621	US	02/16/2021, 00:00:00	excellent	-72.86843
San Carlos	8.79577	CO	10/25/2012, 00:00:00	accep	-75.69947
Zhukovka	53.53395	RU	2016-11-25	maintenance	33.72798
Diamond Harbour	22.19303	IN	2020-07-22	excellent	88.18466
Dongdu	35.85	CN	2018/01/21	average	117.7
Mvomero	-6.25	TZ	05 Nov 2020	average	38.66667
Naushahra Virkan	31.96258	PK	03 Feb 2015	average	73.97117
Yasothon	15.79408	TH	01/12/2016, 00:00:00	good	104.1451
Gero	35.8	JP	06/13/2020, 00:00:00	good	137.23333
Krasyliv	49.65186	UA	2021/09/13	accep	26.97253
Rueil-Malmaison	48.8765	FR	01/04/2016, 00:00:00	accep	2.18967
Amreli	21.59983	IN	08/23/2017, 00:00:00	accep	71.21169
Patnos	39.22493	TR	02 Sep 2015	good	42.85693
Veracruz	8.88988	PA	2016/03/30	accep	-79.62603
Cavaillon	43.83125	FR	2015/07/05	average	5.03586
Edremit	39.59611	TR	2014-03-06	good	27.02444
Nayoro	44.35056	JP	2015-07-07	good	142.45778
Shinshiro	34.9	JP	12/31/2018, 00:00:00	excellent	137.5
West Des Moines	41.57721	US	2018/09/26	good	-93.71133
Kismayo	-0.35817	SO	2014/02/09	excellent	42.54536
Pottstown	40.24537	US	01 Jan 2018	excellent	-75.64963
Boo	59.33333	SE	01 Oct 2014	good	18.28333
Longview	32.5007	US	2016/05/22	accep	-94.74049
Volokolamsk	56.03361	RU	28 Sep 2020	maintenance	35.96944
Hlukhiv	51.67822	UA	10/22/2014, 00:00:00	average	33.9162
Wesseling	50.82709	DE	06 Jun 2013	accep	6.9747
Licheng	23.29549	CN	2020-12-02	building	113.82465
Carnegie	-37.88333	AU	2016-06-11	average	145.06667
Carnaxide	38.72706	PT	2018/06/20	excellent	-9.24671
Bonoua	5.27247	CI	2017-03-06	good	-3.59625
Serinhisar	37.58105	TR	2014-07-06	average	29.26639
Beveren	51.21187	BE	08/24/2016, 00:00:00	excellent	4.25633
Heyuan	23.73333	CN	2016/05/06	maintenance	114.68333
Franceville	-1.63333	GA	08/29/2013, 00:00:00	accep	13.58357
Inawashiro	37.56667	JP	2017/07/07	maintenance	140.11667
Tandil	-37.32167	AR	2014-05-17	good	-59.13316
Tebingtinggi	3.3285	ID	06/27/2020, 00:00:00	good	99.1625
Boyeros	23.0072	CU	12/26/2013, 00:00:00	accep	-82.4017
Kalavoor	9.57046	IN	05/15/2022, 00:00:00	building	76.32756
Weimar	50.9803	DE	10/25/2014, 00:00:00	accep	11.32903
El Copey	10.15031	CO	2013/10/21	accep	-73.9614
Balikpapan	-1.26753	ID	05/22/2017, 00:00:00	good	116.82887
Karbala	32.61603	IQ	2013-02-28	average	44.02488
Ina	35.82756	JP	12/07/2015, 00:00:00	excellent	137.95378
Novogrudok	53.5942	BY	09/19/2022, 00:00:00	average	25.8191
Talavera de la Reina	39.96348	ES	09 Mar 2017	average	-4.83076
Alwaye	10.10649	IN	12/27/2013, 00:00:00	good	76.35484
Schleswig	54.52156	DE	11/28/2020, 00:00:00	average	9.5586
Arbroath	56.56317	GB	01/07/2014, 00:00:00	average	-2.58736
Shuangcheng	45.35	CN	2022-01-07	average	126.28333
Yunguyo	-16.25	PE	2014/01/21	good	-69.08333
Copperas Cove	31.12406	US	30 Aug 2018	building	-97.90308
Sterling	39.00622	US	2013-07-19	excellent	-77.4286
Glendale	34.14251	US	2015-12-26	excellent	-118.25508
Ngemplak	-7.54972	ID	11/07/2021, 00:00:00	building	110.71639
Baza	37.49073	ES	11/12/2016, 00:00:00	good	-2.77259
Villaquilambre	42.64685	ES	02/22/2015, 00:00:00	average	-5.55835
Farafenni	13.56667	GM	2013/06/09	excellent	-15.6
Columbia Heights	45.0408	US	12 Aug 2018	building	-93.263
Chilibre	9.15093	PA	02/07/2015, 00:00:00	accep	-79.62098
Middle River	39.33427	US	2019/07/25	excellent	-76.43941
Fairview Heights	38.58894	US	2018/05/22	maitennce	-89.99038
Same	-4.06667	TZ	2022/06/01	good	37.73333
Southsea	50.79205	GB	13 Nov 2012	good	-1.08593
Gisborne	-38.65333	NZ	10/28/2014, 00:00:00	good	178.00417
Xiangtan	27.85	CN	2018-12-03	good	112.9
Pamiers	43.11667	FR	02/09/2021, 00:00:00	good	1.6
Dawei	14.0823	MM	2018/02/22	accep	98.19151
Inverness	57.47908	GB	25 Dec 2014	accep	-4.22398
Hasilpur	29.69221	PK	09/26/2015, 00:00:00	good	72.54566
Inverness	57.47908	GB	2017-04-06	average	-4.22398
Astara	38.45598	AZ	29 Apr 2014	excellent	48.87498
La Trinidad	16.455	PH	2016/02/28	good	120.5875
Beaconsfield	45.43341	CA	06 May 2015	average	-73.86586
Narwar	25.6439	IN	09/21/2021, 00:00:00	good	77.9129
Licheng	23.29549	CN	2013-12-16	excellent	113.82465
Lal Bahadur Nagar	17.34769	IN	25 Dec 2018	accep	78.55757
Aguadilla	18.42745	PR	2013-01-09	good	-67.15407
Port Huron	42.97086	US	05/22/2014, 00:00:00	accep	-82.42491
Zhoucun	36.81667	CN	2018/09/20	good	117.81667
Hechingen	48.35149	DE	2014/08/05	maintenance	8.96317
Varadero	23.15678	CU	08 Jun 2018	average	-81.24441
Nampa	43.54072	US	10/02/2018, 00:00:00	accep	-116.56346
Reda	54.60528	PL	08/01/2022, 00:00:00	good	18.34717
Beveren	51.21187	BE	05/31/2017, 00:00:00	accep	4.25633
Tandil	-37.32167	AR	05 Oct 2021	accep	-59.13316
El Copey	10.15031	CO	02/02/2019, 00:00:00	average	-73.9614
Ozersk	55.75556	RU	11 Oct 2021	accep	60.70278
Hlukhiv	51.67822	UA	28 Apr 2021	good	33.9162
Korschenbroich	51.19139	DE	2021-04-02	average	6.51352
Jagna	9.6531	PH	2012-12-06	average	124.3697
Sakaraha	-22.9	MG	2018-10-04	average	44.53333
Ushuaia	-54.8	AR	2013-11-03	excellent	-68.3
Beaumont	33.92946	US	2016-03-12	maintenance	-116.97725
Larkana	27.55898	PK	03/06/2022, 00:00:00	good	68.21204
Portogruaro	45.78071	IT	2020/08/03	excellent	12.84052
Durazno	-33.38056	UY	2021/12/14	average	-56.52361
Inverness	57.47908	GB	2020/01/12	excellent	-4.22398
Naro-Fominsk	55.38752	RU	23 Dec 2017	building	36.73307
Yonkers	40.93121	US	2013-02-15	building	-73.89875
Dehiwala-Mount Lavinia	6.84019	LK	2017-01-10	good	79.87116
Timaru	-44.39672	NZ	2017-01-10	good	171.25364
Columbia Heights	45.0408	US	2020/09/04	good	-93.263
Gronau	52.21099	DE	2015-03-31	average	7.02238
Guaraciaba do Norte	-4.16694	BR	2017/06/18	good	-40.7475
Gudermes	43.35071	RU	2021/10/27	accep	46.10925
Zvenihorodka	49.07866	UA	2022/05/22	excellent	30.96755
Bad Honnef	50.64336	DE	2015/12/20	accep	7.2278
Tupi	6.33444	PH	04/04/2019, 00:00:00	accep	124.95278
Santa Maria	34.95303	US	05 Apr 2022	maintenance	-120.43572
Okahandja	-21.98333	NA	2019-01-03	average	16.91667
Villaquilambre	42.64685	ES	2015-09-16	good	-5.55835
Olanchito	15.48131	HN	10 Dec 2019	good	-86.57415
Hudiksvall	61.72744	SE	22 Sep 2015	average	17.10558
Veracruz	8.88988	PA	2020/07/23	maintenance	-79.62603
Xiangtan	27.85	CN	2015/02/18	excellent	112.9
Montecchio Maggiore-Alte Ceccato	45.50369	IT	19 Jun 2018	good	11.412
Wacheng	33.78333	CN	2016/05/24	excellent	114.51667
Catende	-8.66667	BR	2014/04/22	excellent	-35.71667
Kireyevsk	53.93361	RU	10 May 2016	excellent	37.92792
Morningside Heights	40.81	US	03 Jun 2020	good	-73.9625
Ulan Bator	47.90771	MN	2017-06-22	good	106.88324
Crystal Lake	42.24113	US	2018-01-22	maintenance	-88.3162
Nonoichi	36.53333	JP	2019/10/02	average	136.61667
Rosemount	44.73941	US	21 Mar 2022	accep	-93.12577
Pottstown	40.24537	US	2022-06-22	average	-75.64963
Pleasant Prairie	42.55308	US	12/19/2019, 00:00:00	accep	-87.93341
Korschenbroich	51.19139	DE	2015-02-11	maintenance	6.51352
Mount Hagen	-5.85746	PG	17 Dec 2021	average	144.23058
Supaul	26.11527	IN	05/30/2019, 00:00:00	good	86.59509
Viewpark	55.82737	GB	05/23/2018, 00:00:00	average	-4.0573
An Muileann gCearr	53.53333	IE	11/17/2014, 00:00:00	average	-7.35
Iquitos	-3.74912	PE	2017-05-06	average	-73.25383
Pujali	22.4711	IN	03/11/2014, 00:00:00	good	88.1453
Beaumont	33.92946	US	2017/01/16	average	-116.97725
Ulu Tiram	1.6	MY	29 Sep 2017	accep	103.81667
Igbara-Odo	7.50251	NG	01/22/2021, 00:00:00	maintenance	5.06258
Jaruco	23.04419	CU	03 Jan 2021	good	-82.00919
Lexington	33.98154	US	04/28/2014, 00:00:00	excellent	-81.23621
Daud Khel	32.87533	PK	2014-08-16	excellent	71.57118
Sar-e Pul	36.21544	AF	2017-09-15	excellent	65.93249
Fitchburg	42.58342	US	2013-10-16	good	-71.8023
Pleasant Prairie	42.55308	US	04/03/2015, 00:00:00	average	-87.93341
Hongseong	36.6009	KR	02/05/2017, 00:00:00	excellent	126.665
Odessa	31.84568	US	05/24/2014, 00:00:00	building	-102.36764
Hartley	51.38673	GB	2013-12-17	accep	0.30367
Grand Forks	47.92526	US	12/03/2018, 00:00:00	average	-97.03285
Oschatz	51.30001	DE	10 Dec 2018	excellent	13.10984
Jhol	25.95533	PK	2014-02-22	excellent	68.88871
Itacoatiara	-3.14306	BR	2022-08-09	accep	-58.44417
Marseille 11	43.2907	FR	07/15/2016, 00:00:00	maintenance	5.4384
Kensington	40.64621	US	2016/11/06	average	-73.97069
Lutz	28.15112	US	2015/04/05	average	-82.46148
Wangon	-7.51611	ID	07/30/2020, 00:00:00	building	109.05389
Oaxaca	17.06542	MX	08/22/2014, 00:00:00	accep	-96.72365
Novara	45.44694	IT	2016/02/22	average	8.62118
Corralillo	22.98212	CU	2016-12-26	maintenance	-80.58556
Francavilla Fontana	40.53123	IT	21 May 2022	average	17.58522
Tonota	-21.44236	BW	2016/03/26	maintenance	27.46153
Peabody	42.52787	US	2013-03-27	maintenance	-70.92866
Castelfranco Emilia	44.59445	IT	2017/04/20	good	11.04979
Buri	-23.7975	BR	2017/02/11	good	-48.59278
Kyzylorda	44.85278	KZ	07/07/2018, 00:00:00	maintenance	65.50917
Devizes	51.35084	GB	2019/06/19	building	-1.99421
Korschenbroich	51.19139	DE	05/06/2013, 00:00:00	average	6.51352
Freetown	8.48714	SL	05/05/2013, 00:00:00	good	-13.2356
Glogovac	42.62833	XK	06/22/2015, 00:00:00	accep	20.89389
Montpellier	43.61092	FR	2022-05-07	excellent	3.87723
Silvan	38.13708	TR	06 Sep 2016	average	41.00817
Miracema	-21.41222	BR	2012/09/28	accep	-42.19667
Houthalen	51.03427	BE	2014/02/12	good	5.37429
Ganei Tikva	32.05971	IL	01/13/2022, 00:00:00	building	34.8732
Fazilpur	32.17629	PK	2016/08/09	excellent	75.06583
Radevormwald	51.20219	DE	08 Oct 2018	accep	7.36027
Tchaourou	8.88649	BJ	12 Mar 2015	good	2.59753
Alfenas	-21.42917	BR	2013/03/10	building	-45.94722
Hofheim am Taunus	50.09019	DE	19 Mar 2013	accep	8.4493
Barras	-4.24444	BR	2019/01/04	average	-42.29444
Kovylkino	54.03876	RU	11/28/2020, 00:00:00	average	43.91385
Changzhi	35.20889	CN	2020/10/02	maintenance	111.73861
Westchester	41.85059	US	2020/05/05	maintenance	-87.882
Kearns	40.65995	US	2021-12-09	good	-111.99633
Korschenbroich	51.19139	DE	29 Jul 2013	average	6.51352
Talence	44.80477	FR	07/16/2021, 00:00:00	average	-0.59543
Manjeri	11.12018	IN	2022/08/10	accep	76.11996
San Rafael	9.92787	CR	06/29/2015, 00:00:00	good	-84.13722
Talipparamba	12.04161	IN	2020/02/28	good	75.35927
West Des Moines	41.57721	US	03/17/2016, 00:00:00	excellent	-93.71133
Smolyan	41.57439	BG	2018/10/19	average	24.71204
Phanat Nikhom	13.44581	TH	2013/06/13	maintenance	101.18445
Zeitz	51.04962	DE	2021/11/08	good	12.1369
Antipolo	14.62578	PH	2022/03/15	good	121.12251
Lille	51.24197	BE	05/10/2017, 00:00:00	excellent	4.82313
Wheelers Hill	-37.9	AU	05/29/2022, 00:00:00	accep	145.18333
Rio Real	-11.48472	BR	2016/10/03	excellent	-37.93278
Kangayam	11.00599	IN	04/13/2018, 00:00:00	building	77.5609
Bobigny	48.90982	FR	2020/08/31	good	2.45012
Southsea	50.79205	GB	2021-08-14	average	-1.08593
Muncar	-8.43333	ID	2014-04-10	accep	114.33333
Wangon	-7.51611	ID	2014/01/05	accep	109.05389
Reutlingen	48.49144	DE	12/02/2015, 00:00:00	excellent	9.20427
Nidderau	50.23805	DE	2021-09-21	excellent	8.86704
Changshu City	31.64615	CN	05/21/2015, 00:00:00	excellent	120.74221
La Trinidad	16.455	PH	05/05/2021, 00:00:00	accep	120.5875
Vitebsk	55.1904	BY	21 Feb 2013	good	30.2049
Mwandiga	-4.83	TZ	08/03/2018, 00:00:00	accep	29.65806
Custoias	41.1053	PT	14 Aug 2014	excellent	-7.32097
Aberdeen	57.14369	GB	2017/06/27	average	-2.09814
Fazilpur	32.17629	PK	06 Sep 2015	building	75.06583
Norfolk County	42.8334	CA	2016-11-14	average	-80.38297
Santa Catalina	9.3337	PH	2021-03-09	good	122.8637
Ar Ruseris	11.8659	SD	2016-11-30	good	34.3869
Frenda	35.06544	DZ	15 Jun 2021	maintenance	1.04945
Gembloux	50.56149	BE	15 Feb 2017	good	4.69889
West Chester	39.96097	US	12/10/2015, 00:00:00	good	-75.60804
Isfahan	32.65246	IR	30 Dec 2017	good	51.67462
Zacoalco de Torres	20.22816	MX	30 Aug 2020	accep	-103.5687
Thomazeau	18.65297	HT	2017/09/01	excellent	-72.09391
Pune	18.51957	IN	07 Jul 2014	building	73.85535
Waterbury	41.55815	US	2016-10-17	excellent	-73.0515
Diwek	-7.57897	ID	2018-09-22	average	112.23109
Brunswick	43.91452	US	2014-02-21	good	-69.96533
Las Gabias	37.13548	ES	2014-01-16	average	-3.67029
Misterbianco	37.51803	IT	08 Mar 2019	good	15.00913
Meizhou	24.28859	CN	2021/11/17	average	116.11768
Scotch Plains	40.65538	US	2017-08-20	accep	-74.38987
Gavrilov-Yam	57.30185	RU	04/03/2015, 00:00:00	accep	39.85331
Rafaela	-31.25033	AR	23 Aug 2016	building	-61.4867
Okegawa	36	JP	2018-11-14	excellent	139.55722
Brazzaville	-4.26613	CG	2018-07-27	good	15.28318
Patti	31.28092	IN	2020/07/23	average	74.85849
Liberia	10.63504	CR	2017/10/05	good	-85.43772
Evergreen Park	41.72059	US	2019-10-17	average	-87.70172
Valence	44.92801	FR	19 Mar 2014	excellent	4.8951
Oschatz	51.30001	DE	17 Jul 2014	average	13.10984
Suzaka	36.65	JP	24 Feb 2014	maintenance	138.31667
Zhukovka	53.53395	RU	2018-01-22	good	33.72798
Buenaventura	3.8801	CO	04 Apr 2014	average	-77.03116
Greenville	33.41012	US	2013/08/30	good	-91.06177
Pamiers	43.11667	FR	14 Feb 2014	building	1.6
Vught	51.65333	NL	2019/10/19	accep	5.2875
Zhoushan	29.98869	CN	09 May 2014	maintenance	122.20488
Bensheim	49.68369	DE	2013/01/02	good	8.61839
Aberdeen	57.14369	GB	11/10/2020, 00:00:00	excellent	-2.09814
Hechingen	48.35149	DE	09/23/2019, 00:00:00	building	8.96317
Iwade	34.25	JP	2013-01-21	average	135.31667
Rutherglen	55.82885	GB	2015-04-03	excellent	-4.21376
Naushahra Virkan	31.96258	PK	12/19/2020, 00:00:00	good	73.97117
Gorgonzola	45.53069	IT	2018-05-18	accep	9.40531
Bisceglie	41.24264	IT	2014/01/17	accep	16.50104
Elbeuf	49.28669	FR	2016-07-07	good	1.00288
Altamira	-3.20333	BR	19 Jun 2013	good	-52.20639
Wesseling	50.82709	DE	2022/08/25	good	6.9747
Gonesse	48.98693	FR	18 Jul 2013	good	2.44892
Santa Cruz de Barahona	18.20854	DO	2014/06/03	accep	-71.10077
Wittenau	52.59319	DE	2020/06/26	maintenance	13.32127
Boston	42.35843	US	2017/03/11	excellent	-71.05977
Novosilikatnyy	53.30972	RU	2020-04-24	excellent	83.62389
Kensington	40.64621	US	2021-02-02	accep	-73.97069
Gauting	48.06919	DE	2018-04-25	excellent	11.37703
Memmingen	47.98372	DE	22 Feb 2021	average	10.18527
Fairview Heights	38.58894	US	10/21/2014, 00:00:00	excellent	-89.99038
Nayoro	44.35056	JP	2022-03-12	average	142.45778
Sremska Mitrovica	44.97639	RS	30 Apr 2014	average	19.61222
Keene	42.93369	US	07/15/2019, 00:00:00	building	-72.27814
Ada	34.77453	US	20 Jun 2020	accep	-96.67834
Tadmur	34.5624	SY	2015/01/18	building	38.28402
Sonzacate	13.73417	SV	2016-06-03	excellent	-89.71472
Boumerdas	36.76639	DZ	2020/05/06	good	3.47717
Villaquilambre	42.64685	ES	2014-08-31	average	-5.55835
Meerut	28.98002	IN	2018/03/09	acceptable	77.70636
Recife	-8.05389	BR	2020/11/17	maintenance	-34.88111
Sydney	46.1351	CA	12 Nov 2019	maintenance	-60.1831
Beaumont	33.92946	US	14 Mar 2017	excellent	-116.97725
Wesseling	50.82709	DE	24 Jan 2015	accep	6.9747
Dombivli	19.21667	IN	12 Sep 2015	excellent	73.08333
Xiangtan	27.85	CN	10/25/2020, 00:00:00	maintenance	112.9
Greenfield	39.78504	US	25 Sep 2021	good	-85.76942
Yablonovskiy	44.98901	RU	2020-07-04	average	38.94324
Zhuangyuan	37.30553	CN	09 Sep 2014	good	120.82747
Lal Bahadur Nagar	17.34769	IN	25 Sep 2017	average	78.55757
San Carlos	8.79577	CO	17 May 2020	good	-75.69947
Dahlem	52.4581	DE	11 Jun 2018	accep	13.28702
Soroca	48.15659	MD	2019-03-10	good	28.28489
Zhukovka	53.53395	RU	2018-01-09	excellent	33.72798
Saint-Genis-Laval	45.69558	FR	2018/08/06	accep	4.7934
Thap Than	15.46063	TH	2022-09-11	maintenance	99.89166
Portogruaro	45.78071	IT	26 Aug 2016	accep	12.84052
Sojat	25.92493	IN	02/27/2022, 00:00:00	excellent	73.66633
Memmingen	47.98372	DE	2020/10/18	building	10.18527
La Ligua	-32.45242	CL	05 Feb 2019	average	-71.23106
Talipparamba	12.04161	IN	30 Dec 2015	average	75.35927
Mvomero	-6.25	TZ	01/01/2022, 00:00:00	accep	38.66667
Bobigny	48.90982	FR	2018/12/26	average	2.45012
Ciudad Guayana	8.35122	VE	07/07/2017, 00:00:00	excellent	-62.64102
Far Rockaway	40.60538	US	2022-07-27	maintenance	-73.75513
Hermsdorf	52.61131	DE	2013/08/04	excellent	13.31783
Lanciano	42.22718	IT	09/29/2015, 00:00:00	average	14.39024
Tornio	65.84811	FI	2020-01-12	good	24.14662
Baliuag	14.95472	PH	2019-03-04	good	120.89694
Varadero	23.15678	CU	2013/12/31	good	-81.24441
Barracas	-34.64966	AR	2020-01-04	good	-58.38341
Olupona	7.6	NG	2019/04/04	good	4.18333
Shagamu	6.8485	NG	10 Sep 2021	maitennce	3.64633
Oschatz	51.30001	DE	2018/03/08	excellent	13.10984
Santa Catalina	9.3337	PH	11/07/2020, 00:00:00	accep	122.8637
La Garenne-Colombes	48.90472	FR	2017/07/12	average	2.2469
Viradouro	-20.87306	BR	04 Sep 2016	good	-48.29694
Griffith	-34.28853	AU	2022/06/25	accep	146.05093
Strood	51.39323	GB	2013/09/23	building	0.47713
Yonkers	40.93121	US	2017-08-11	building	-73.89875
Canton	42.30865	US	02/04/2021, 00:00:00	building	-83.48216
Jinotepe	11.84962	NI	2015-05-30	average	-86.19903
Blackpool	53.81667	GB	02/15/2017, 00:00:00	accep	-3.05
Milagro	-2.13404	EC	2017-08-24	maintenance	-79.59415
Brierley Hill	52.48173	GB	04/21/2018, 00:00:00	good	-2.12139
Clacton-on-Sea	51.78967	GB	2012/09/28	accep	1.15597
Laiwu	36.19278	CN	2016-03-11	excellent	117.65694
Olanchito	15.48131	HN	08/14/2013, 00:00:00	accep	-86.57415
Betamcherla	15.45144	IN	09 Sep 2014	average	78.14797
Danilov	58.1908	RU	2021/04/12	accep	40.17171
Sankt Peter	47.05	AT	31 Aug 2014	accep	15.46667
Izluchinsk	60.97944	RU	2015/09/04	average	76.92421
Ghat	24.96334	LY	27 Jun 2013	average	10.18003
Petrozavodsk	61.78491	RU	08/25/2021, 00:00:00	accep	34.34691
Likhobory	55.85	RU	2022-04-21	maintenance	37.56667
Jais	26.2649	IN	08/10/2018, 00:00:00	maintenance	81.54855
Saint-Omer	50.75	FR	01 Jan 2013	accep	2.25
Aleshtar	33.86419	IR	2021/08/01	accep	48.26258
Rosedale	39.32011	US	2019-07-17	average	-76.51552
Naushahra Virkan	31.96258	PK	2012-10-31	average	73.97117
Mirriah	13.70727	NE	2014-08-01	excellent	9.15013
An Muileann gCearr	53.53333	IE	02/04/2019, 00:00:00	accep	-7.35
Encinitas	33.03699	US	2018/06/14	average	-117.29198
Hartley	51.38673	GB	2014-04-25	good	0.30367
Lanciano	42.22718	IT	08 Dec 2013	average	14.39024
Kelowna	49.88307	CA	2013/09/01	good	-119.48568
Pahrump	36.20829	US	14 Feb 2015	maintenance	-115.98391
Yamada	39.46667	JP	2018-07-21	maintenance	141.95
Naro-Fominsk	55.38752	RU	28 May 2022	average	36.73307
Tarakan	3.31332	ID	2021/09/18	excellent	117.59152
Acayucan	17.94979	MX	2020-05-05	maintenance	-94.91386
Bibiani	6.46346	GH	01 Jul 2017	good	-2.31938
Camayenne	9.535	GN	2013/09/07	maintenance	-13.68778
Mampong	7.06273	GH	08 Jan 2015	good	-1.4001
Hermsdorf	52.61131	DE	11/25/2016, 00:00:00	average	13.31783
Mvomero	-6.25	TZ	2017-01-27	maintenance	38.66667
Negotin	44.22639	RS	03 Apr 2018	building	22.53083
Pekanbaru	0.51667	ID	2015-12-18	average	101.44167
Puerto Colombia	10.98778	CO	02 May 2020	average	-74.95472
Oberhausen	51.47805	DE	02/19/2016, 00:00:00	excellent	6.8625
Busia	0.46005	KE	21 Feb 2014	accep	34.11169
Pointe-Claire	45.44868	CA	2020/03/07	maintenance	-73.81669
Tharu Shah	26.9423	PK	02/25/2019, 00:00:00	excellent	68.11759
Winsford	53.19146	GB	08/08/2021, 00:00:00	maintenance	-2.52398
Rolla	37.95143	US	30 Nov 2017	accep	-91.77127
Ajaccio	41.91886	FR	2013/05/27	excellent	8.73812
Gua Musang	4.88441	MY	25 Apr 2019	good	101.96857
Longgang	37.65181	CN	2022-02-06	average	120.33063
Guaraciaba do Norte	-4.16694	BR	10/11/2018, 00:00:00	average	-40.7475
Ukmerge	55.25	LT	03/21/2016, 00:00:00	accep	24.75
Pameungpeuk	-7.01833	ID	2022/07/01	average	107.60389
Schererville	41.47892	US	2014-10-24	excellent	-87.45476
Lutsk	50.75932	UA	2022/01/18	excellent	25.34244
Jingzhou	30.35028	CN	02/09/2018, 00:00:00	good	112.19028
Milagro	-2.13404	EC	01 Jan 2018	average	-79.59415
Pilar	14.66	PH	31 Jul 2016	good	120.56528
Carnot	4.94273	CF	2020-05-02	building	15.87735
Shagamu	6.8485	NG	2019-06-05	good	3.64633
Custoias	41.1053	PT	2012/10/15	average	-7.32097
Rixensart	50.71229	BE	2018-10-10	maintenance	4.52529
Zhoucun	36.81667	CN	02/20/2013, 00:00:00	excellent	117.81667
Kolomyagi	60.02427	RU	2016-08-25	accep	30.28491
Dipolog	8.56697	PH	03/01/2016, 00:00:00	excellent	123.33471
