station	longitude	QoS	code	latitude	revision
Brzeg	17.4674	good	PL	50.86079	07 Mar 2017
Diamond Harbour	88.18466	accep	IN	22.19303	05/02/2019, 00:00:00
Standerton	29.24152	average	ZA	-26.93366	12/25/2015, 00:00:00
Boumerdas	3.47717	excellent	DZ	36.76639	2013/05/29
Penzance	-5.53715	average	GB	50.11861	24 Feb 2021
Somma Vesuviana	14.43865	good	IT	40.87329	2018/09/02
Toledo	-83.55521	accep	US	41.66394	12/20/2018, 00:00:00
Pilar	120.56528	excellent	PH	14.66	2021/10/30
Paracho de Verduzco	-102.04897	excellent	MX	19.64745	07/24/2017, 00:00:00
Mechanicsville	-77.37331	building	US	37.60876	2013/03/02
Fort Washington	-77.02303	building	US	38.70734	27 May 2022
Middle River	-76.43941	excellent	US	39.33427	2019/10/18
San Carlos	-75.69947	average	CO	8.79577	19 Jun 2019
Jizzax	67.84222	maintenance	UZ	40.11583	2016/12/11
Tchaourou	2.59753	good	BJ	8.88649	04/10/2015, 00:00:00
South Lawndale	-87.71255	maintenance	US	41.84364	13 Aug 2020
Malaut	74.4818	average	IN	30.21121	14 May 2019
Villa del Rosario	-72.47417	good	CO	7.83389	27 Dec 2014
Artsyz	29.41824	accep	UA	45.99194	07/14/2019, 00:00:00
Xinzhou	112.73333	building	CN	38.40917	2017/05/12
Gilbert	-111.78903	average	US	33.35283	2019-05-11
Kediri	112.01667	excellent	ID	-7.81667	2013/11/26
Rahat	34.75699	good	IL	31.39547	22 Jul 2022
Opportunity	-117.23991	accep	US	47.64995	12/31/2016, 00:00:00
Frenda	1.04945	good	DZ	35.06544	2013-10-05
Reutlingen	9.20427	building	DE	48.49144	03/09/2022, 00:00:00
Kensington	-73.97069	maintenance	US	40.64621	12/02/2013, 00:00:00
Aurora	-104.83192	maintenance	US	39.72943	2021-08-05
Rudolstadt	11.34046	average	DE	50.72043	2018-12-23
Gudermes	46.10925	excellent	RU	43.35071	2014-02-09
Krymsk	37.99117	building	RU	44.92934	13 Jul 2019
Phanat Nikhom	101.18445	average	TH	13.44581	25 May 2022
Dombivli	73.08333	average	IN	19.21667	2021/04/10
Same	37.73333	average	TZ	-4.06667	2015/03/22
Damnoen Saduak	99.95469	excellent	TH	13.51825	03 Nov 2018
Ataq	46.83187	average	YE	14.53767	04 Mar 2019
Arua	30.91105	average	UG	3.02013	2012-12-18
Kheda	72.68533	good	IN	22.75218	2013/04/09
Roslavl’	32.86389	excellent	RU	53.95278	2015-07-27
Oberhausen	6.8625	good	DE	51.47805	2013-11-15
Tortona	8.86374	accep	IT	44.89784	12/03/2017, 00:00:00
Claremont	-117.71978	accep	US	34.09668	2018-05-20
Kamina	24.99798	excellent	CD	-8.73508	25 Feb 2017
Meerut	77.70636	accep	IN	28.98002	08/07/2015, 00:00:00
Dongdu	117.7	maintenance	CN	35.85	18 Jan 2014
Hudiksvall	17.10558	building	SE	61.72744	2014-08-12
Les Olives	5.4584	good	FR	43.32393	15 Aug 2015
Novara	8.62118	average	IT	45.44694	12 Aug 2014
Volla	14.34085	excellent	IT	40.87363	2013/08/08
Toba	136.84186	good	JP	34.4833	02 Oct 2021
Hermsdorf	13.31783	building	DE	52.61131	2021-12-07
Barmbek-Nord	10.03988	accep	DE	53.6052	2013-05-08
Iwade	135.31667	average	JP	34.25	2016/07/31
Most	13.63617	average	CZ	50.50301	06/30/2018, 00:00:00
Harstad	16.54165	building	NO	68.79833	27 Sep 2017
Dawei	98.19151	excellent	MM	14.0823	30 Aug 2018
Belle Glade	-80.66756	accep	US	26.68451	03/14/2013, 00:00:00
Lutz	-82.46148	accep	US	28.15112	2019-02-08
Pilkhua	77.656	building	IN	28.71271	2018-04-14
Nakhon Pathom	100.04427	excellent	TH	13.8196	2019/10/24
Karbala	44.02488	accep	IQ	32.61603	2021-10-10
Pointe-Claire	-73.81669	accep	CA	45.44868	2014/12/20
Darreh Shahr	47.3799	average	IR	33.14447	2013-06-21
Progreso	-89.66123	accep	MX	21.28306	21 Jan 2021
Bogovinje	20.91361	excellent	MK	41.92361	09 Jan 2014
Otradnyy	51.3452	accep	RU	53.37596	2015-08-12
Walsrode	9.5926	accep	DE	52.86147	2022-06-16
Gavrilov-Yam	39.85331	excellent	RU	57.30185	05 Dec 2021
Gisborne	178.00417	average	NZ	-38.65333	2022-01-15
Media Luna	-77.43532	accep	CU	20.14298	2020/11/01
Gisborne	178.00417	average	NZ	-38.65333	04/19/2015, 00:00:00
Culemborg	5.22778	average	NL	51.955	28 Dec 2012
Harstad	16.54165	average	NO	68.79833	12/31/2014, 00:00:00
Muritiba	-39.25	accep	BR	-12.91667	22 Jul 2021
Muncar	114.33333	accep	ID	-8.43333	12/09/2021, 00:00:00
Shahre Jadide Andisheh	51.0193	accep	IR	35.6803	01/29/2022, 00:00:00
Mikhaylovka	43.2379	building	RU	50.06	08 Jun 2016
Barinas	-70.20749	good	VE	8.62261	2021/03/31
Yenagoa	6.26764	accep	NG	4.92675	08 May 2015
Jagna	124.3697	excellent	PH	9.6531	2018-05-10
Peabody	-70.92866	excellent	US	42.52787	05/13/2020, 00:00:00
Zhoucun	117.81667	building	CN	36.81667	05 Jan 2016
Kulai	103.6032	good	MY	1.6561	06/27/2014, 00:00:00
Exeter	-3.52751	excellent	GB	50.7236	2016-05-29
Kampung Ayer Molek	102.3278	good	MY	2.2139	2014-02-21
Tuxtla	-93.11308	good	MX	16.75973	16 Feb 2014
Okegawa	139.55722	accep	JP	36	2017/02/11
Schererville	-87.45476	average	US	41.47892	2018/01/17
Antipolo	121.12251	average	PH	14.62578	2014-02-20
Sremska Mitrovica	19.61222	accep	RS	44.97639	2014-02-03
Thetford	0.75	good	GB	52.41667	10 Oct 2017
Walton-on-the-Naze	1.26738	excellent	GB	51.84819	28 Mar 2014
Teziutlan	-97.35992	excellent	MX	19.8173	2018/06/18
Nowshahr	51.49621	accep	IR	36.64852	2013-08-13
Sa Dec	105.75635	building	VN	10.29085	19 Nov 2021
Tsuen Wan	114.10479	building	HK	22.37066	2019-05-05
Tyoply Stan	37.49338	building	RU	55.62047	05/20/2019, 00:00:00
Barmbek-Nord	10.03988	accep	DE	53.6052	2020/12/19
Naro-Fominsk	36.73307	good	RU	55.38752	2020-02-25
Onex	6.10237	accep	CH	46.18396	2016/12/21
Antanifotsy	47.31667	accep	MG	-19.65	03/23/2020, 00:00:00
Xiangtan	112.9	average	CN	27.85	2020/11/30
Martinsburg	-77.96389	building	US	39.45621	10 Feb 2022
Hermsdorf	13.31783	average	DE	52.61131	2016-05-31
Tandil	-59.13316	accep	AR	-37.32167	2021/08/19
High Wycombe	-0.74934	excellent	GB	51.62907	2021/12/19
Rosedale	-76.51552	excellent	US	39.32011	2014-05-01
Chiguayante	-73.02841	good	CL	-36.9256	12 Oct 2018
Ueno-ebisumachi	136.13108	good	JP	34.75856	08 Sep 2016
Griffith	146.05093	maintenance	AU	-34.28853	08 May 2014
Sankt Peter	15.46667	good	AT	47.05	12/04/2013, 00:00:00
Clacton-on-Sea	1.15597	average	GB	51.78967	17 Jun 2017
Shushary	30.38167	accep	RU	59.80917	10/20/2017, 00:00:00
Kalavoor	76.32756	average	IN	9.57046	15 Feb 2016
Durazno	-56.52361	accep	UY	-33.38056	2022-08-31
Harrisburg	-76.88442	maintenance	US	40.2737	2014/06/09
Sinhyeon	128.62667	maintenance	KR	34.8825	2022-05-09
Jambi City	103.61667	good	ID	-1.6	10/17/2015, 00:00:00
Gronau	7.02238	excellent	DE	52.21099	2014/02/04
Aguadilla	-67.15407	accep	PR	18.42745	07/15/2017, 00:00:00
Bothell West	-122.24064	good	US	47.80527	10 May 2013
Muskogee	-95.36969	average	US	35.74788	06 Jun 2020
Catania	15.07041	building	IT	37.49223	16 Jun 2021
Acworth	-84.67837	maitennce	US	34.06635	04 Sep 2015
Marau	-52.2	good	BR	-28.44917	04 Dec 2016
Tavda	65.27258	accep	RU	58.04254	05/24/2017, 00:00:00
Catende	-35.71667	excellent	BR	-8.66667	2021/06/29
Alexandria	29.91582	good	EG	31.20176	2022/09/16
Palafrugell	3.1631	average	ES	41.91738	15 Jul 2016
Novosilikatnyy	83.62389	excellent	RU	53.30972	12/17/2017, 00:00:00
Sirsi	74.83554	maintenance	IN	14.62072	2021-10-31
Agrigento	13.57661	accep	IT	37.31065	09/15/2020, 00:00:00
Ken Caryl	-105.11221	maintenance	US	39.57582	28 Aug 2022
Barmbek-Nord	10.03988	accep	DE	53.6052	09/26/2014, 00:00:00
Beveren	4.25633	excellent	BE	51.21187	2020-11-04
Weimar	11.32903	excellent	DE	50.9803	2020/12/01
Brzeg	17.4674	good	PL	50.86079	11/29/2016, 00:00:00
Gisborne	178.00417	good	NZ	-38.65333	2022-05-15
Danjiangkou	111.50861	average	CN	32.54278	12 Mar 2014
Peabody	-70.92866	good	US	42.52787	26 Jan 2014
Kantharalak	104.64992	good	TH	14.64056	25 Mar 2022
Ozersk	60.70278	excellent	RU	55.75556	2019-03-03
Davis	-121.74052	excellent	US	38.54491	09/20/2013, 00:00:00
Hrazdan	44.7662	excellent	AM	40.49748	2013/03/15
Tebingtinggi	99.1625	average	ID	3.3285	05/19/2016, 00:00:00
Jiangyan	120.14278	good	CN	32.50611	22 Jun 2017
Magong	119.58627	excellent	TW	23.5654	2019/09/30
Beni Khiar	10.78222	accep	TN	36.46917	2014-08-14
Estelle	-90.10674	excellent	US	29.84576	02 Apr 2021
Kyzylorda	65.50917	accep	KZ	44.85278	2016-07-31
Kyzylorda	65.50917	excellent	KZ	44.85278	2017/11/10
Wesseling	6.9747	excellent	DE	50.82709	2020/06/17
Ferrol	-8.2194	average	ES	43.48961	22 May 2021
Gauting	11.37703	good	DE	48.06919	2018-08-14
Miracema	-42.19667	maintenance	BR	-21.41222	2018-06-29
Paracho de Verduzco	-102.04897	accep	MX	19.64745	2012/10/26
Marburg an der Lahn	8.77069	good	DE	50.80904	2019-03-04
Hungund	76.0586	accep	IN	16.06213	2012/11/18
Aksaray	34.02537	accep	TR	38.37255	2020-04-07
An Muileann gCearr	-7.35	excellent	IE	53.53333	04/25/2013, 00:00:00
Norfolk County	-80.38297	maitennce	CA	42.8334	20 Jun 2021
La Trinidad	120.5875	accep	PH	16.455	2014-03-31
Weimar	11.32903	good	DE	50.9803	2021/10/01
Cordenons	12.70038	accep	IT	45.9836	2019/11/02
Tharu Shah	68.11759	average	PK	26.9423	24 Oct 2021
Acayucan	-94.91386	excellent	MX	17.94979	07 Sep 2018
Beaumont	-116.97725	accep	US	33.92946	20 May 2019
Hudiksvall	17.10558	maintenance	SE	61.72744	26 Feb 2018
Falconara Marittima	13.39954	good	IT	43.62558	2014/12/15
Nakhon Pathom	100.04427	good	TH	13.8196	18 Aug 2017
Teluk Intan	101.02083	building	MY	4.02219	10/04/2015, 00:00:00
Clacton-on-Sea	1.15597	building	GB	51.78967	23 Sep 2017
Novara	8.62118	acceptable	IT	45.44694	17 Sep 2017
Strood	0.47713	maintenance	GB	51.39323	2013/09/20
Severodvinsk	39.8302	accep	RU	64.5635	2013/11/02
Schleswig	9.5586	maintenance	DE	54.52156	2018-09-06
Belper	-1.48119	building	GB	53.0233	2016-02-09
Novara	8.62118	average	IT	45.44694	2021-12-29
Westchester	-87.882	good	US	41.85059	2017-01-06
Montecchio Maggiore-Alte Ceccato	11.412	good	IT	45.50369	06/21/2016, 00:00:00
Hardenberg	6.61944	accep	NL	52.57583	22 Jun 2016
Ikalamavony	46.58333	average	MG	-21.15	01 May 2017
Glendale	-118.25508	excellent	US	34.14251	2021-12-20
Guapimirim	-42.98194	excellent	BR	-22.53722	2018-04-20
Hudiksvall	17.10558	excellent	SE	61.72744	18 Jun 2020
Saraktash	56.36091	maintenance	RU	51.78771	2022-06-03
Jhol	68.88871	average	PK	25.95533	2020-05-26
Porterville	-119.01677	good	US	36.06523	04/15/2017, 00:00:00
Kheda	72.68533	average	IN	22.75218	06/06/2017, 00:00:00
Losheim	6.74549	good	DE	49.5099	06 Jul 2015
Albstadt	9.02596	average	DE	48.21644	2014-11-29
Cibinong	106.85417	excellent	ID	-6.48167	15 Jan 2015
Gariadhar	71.57737	excellent	IN	21.53889	30 Jun 2022
Korschenbroich	6.51352	maintenance	DE	51.19139	10/17/2012, 00:00:00
Jiangyan	120.14278	average	CN	32.50611	19 Jul 2019
Sydney	-60.1831	building	CA	46.1351	2021/11/26
Chharra	78.40102	accep	IN	27.9247	2021/05/31
Ragusa	14.72443	excellent	IT	36.92574	22 Nov 2018
Milagro	-79.59415	accep	EC	-2.13404	02 Oct 2020
Utica	-75.23266	good	US	43.1009	2018/04/03
Finnentrop	7.973	average	DE	51.168	2016/03/31
Gernika-Lumo	-2.68333	maintenance	ES	43.31667	2021-06-24
Pontevedra	-58.70072	good	AR	-34.74785	05/16/2017, 00:00:00
Nova Kakhovka	33.34864	excellent	UA	46.75451	2020/07/23
Tortona	8.86374	good	IT	44.89784	2017/04/11
Santa Rosa Jauregui	-100.44843	maintenance	MX	20.74122	20 Mar 2015
Lagos	3.39467	average	NG	6.45407	2021-05-09
San Juan de Aznalfarache	-6.03731	excellent	ES	37.35813	2021-12-20
Kearns	-111.99633	good	US	40.65995	05 Oct 2017
Sunnyside	-120.00865	maintenance	US	46.32374	29 Oct 2021
Nyangao	39.28333	excellent	TZ	-10.33333	27 Apr 2016
Farafenni	-15.6	excellent	GM	13.56667	2014/03/15
Talipparamba	75.35927	excellent	IN	12.04161	2014-09-23
Trossingen	8.64409	average	DE	48.07667	2021/01/05
San Jose	121.06761	average	PH	12.35275	2022-01-22
Exeter	-3.52751	excellent	GB	50.7236	07 Jun 2017
Beni Khiar	10.78222	accep	TN	36.46917	24 May 2018
Greenville	-91.06177	maintenance	US	33.41012	07/24/2014, 00:00:00
Mvomero	38.66667	maintenance	TZ	-6.25	2015-09-14
Sambalpur	83.97573	building	IN	21.46527	2014/02/16
Mampong	-1.4001	excellent	GH	7.06273	2017/04/29
South Lawndale	-87.71255	accep	US	41.84364	01/23/2018, 00:00:00
Iwade	135.31667	average	JP	34.25	04/04/2021, 00:00:00
Talence	-0.59543	accep	FR	44.80477	24 Feb 2020
Dehiwala-Mount Lavinia	79.87116	excellent	LK	6.84019	2022/04/29
Kelowna	-119.48568	excellent	CA	49.88307	2014/02/28
Mexborough	-1.29243	accep	GB	53.49389	27 Jan 2022
Randudongkal	109.3243	accep	ID	-7.0981	2019-07-24
Kearns	-111.99633	maintenance	US	40.65995	12/21/2017, 00:00:00
Paidha	30.98551	average	UG	2.41669	2015-06-30
Artsyz	29.41824	average	UA	45.99194	06/13/2019, 00:00:00
Corralillo	-80.58556	good	CU	22.98212	2019-12-24
Hutto	-97.54667	accep	US	30.5427	2016/01/26
Toledo	-83.55521	good	US	41.66394	25 Sep 2014
Meizhou	116.11768	accep	CN	24.28859	02/26/2019, 00:00:00
Middletown	-71.29144	accep	US	41.54566	01/31/2016, 00:00:00
Visitacion Valley	-122.40433	building	US	37.71715	2013/08/31
Denderleeuw	4.07601	excellent	BE	50.88506	2019/04/19
Lakewood	-81.79819	maitennce	US	41.48199	2018/03/21
Palm Valley	-81.38758	average	US	30.17746	2022-05-16
Pilar	120.56528	building	PH	14.66	2015-03-03
Trossingen	8.64409	good	DE	48.07667	2012-12-25
Culemborg	5.22778	accep	NL	51.955	2013/06/10
Palm Desert	-116.37697	maintenance	US	33.72255	2020-02-09
Landshut	12.16179	average	DE	48.52961	2020-06-13
Rixensart	4.52529	accep	BE	50.71229	02/25/2014, 00:00:00
Niort	-0.45877	excellent	FR	46.32313	19 Aug 2019
Bryn Mawr-Skyway	-122.24092	building	US	47.4943	09/15/2015, 00:00:00
Quimper	-4.1	maintenance	FR	48	11 Oct 2018
Khairpur Mir’s	68.75915	accep	PK	27.52948	2022/03/28
Carnot	15.87735	building	CF	4.94273	2017-08-13
Troutdale	-122.38731	accep	US	45.53929	09 Apr 2014
Port Richmond	-74.13653	building	US	40.63316	02/21/2014, 00:00:00
Ajaccio	8.73812	accep	FR	41.91886	2019-02-17
Yunguyo	-69.08333	excellent	PE	-16.25	2020/07/11
Sremska Mitrovica	19.61222	maintenance	RS	44.97639	2019/10/17
Hoxtolgay	86.00214	good	CN	46.51872	01/30/2021, 00:00:00
Newbury	-1.32471	average	GB	51.40148	2019-01-06
Strood	0.47713	average	GB	51.39323	2016-01-08
Gandia	-0.18333	accep	ES	38.96667	07 May 2013
Socorro	-73.26022	accep	CO	6.46838	08/24/2013, 00:00:00
Arua	30.91105	accep	UG	3.02013	2015/05/02
Jaruco	-82.00919	excellent	CU	23.04419	2019-07-01
Talisay	122.9666	building	PH	10.7375	2019/01/31
Qazax	45.36561	average	AZ	41.09246	2014-08-08
Mirriah	9.15013	excellent	NE	13.70727	2019/10/11
Frenda	1.04945	excellent	DZ	35.06544	2015-07-08
Sankt Peter	15.46667	excellent	AT	47.05	16 Sep 2022
Lagarto	-37.65	good	BR	-10.91722	07/26/2016, 00:00:00
Woodlawn	-76.72803	good	US	39.32288	2013-09-22
Diwek	112.23109	average	ID	-7.57897	02/16/2018, 00:00:00
Ueno-ebisumachi	136.13108	average	JP	34.75856	2017/01/21
Santa Gertrudes	-47.53028	average	BR	-22.45667	30 May 2015
Progreso	-89.66123	good	MX	21.28306	04 Dec 2015
San Bernardo	-70.6996	accep	CL	-33.59217	2013/08/23
Espoo	24.6522	excellent	FI	60.2052	08/07/2016, 00:00:00
Azrou	-5.22126	accep	MA	33.43443	2020-05-06
Gandia	-0.18333	accep	ES	38.96667	2014/07/20
Nampa	-116.56346	maintenance	US	43.54072	2021-04-18
Barbil	85.37752	good	IN	22.10194	2020/05/10
Pamiers	1.6	excellent	FR	43.11667	06 Aug 2016
Gudermes	46.10925	excellent	RU	43.35071	10/25/2013, 00:00:00
Kasangulu	15.16554	average	CD	-4.5833	2014-05-08
Amreli	71.21169	building	IN	21.59983	05 Jan 2014
Komono	136.51667	average	JP	35	2022-09-14
Barinas	-70.20749	average	VE	8.62261	15 Jun 2017
Ulu Tiram	103.81667	accep	MY	1.6	2019/06/20
Muskogee	-95.36969	excellent	US	35.74788	2013/05/13
Bron	4.91667	accep	FR	45.73333	06 Apr 2019
Dombivli	73.08333	accep	IN	19.21667	05 Mar 2016
Reutlingen	9.20427	excellent	DE	48.49144	03 Apr 2020
Carlsbad	-104.22884	accep	US	32.42067	2021/04/06
Tongelre	5.51978	good	NL	51.44889	05/09/2021, 00:00:00
Buynaksk	47.1192	good	RU	42.819	08/01/2015, 00:00:00
Hita	130.94098	excellent	JP	33.3213	2014-06-27
Pfullingen	9.22796	accep	DE	48.46458	06 Feb 2019
Gembloux	4.69889	average	BE	50.56149	21 Apr 2022
Kaukauna	-88.27205	excellent	US	44.27804	2015-08-07
Kitgum	32.88667	excellent	UG	3.27833	2018/09/23
Afragola	14.30935	good	IT	40.92298	20 Nov 2017
South Lawndale	-87.71255	accep	US	41.84364	2018/09/21
Iturama	-50.19556	average	BR	-19.72806	2017/09/26
Aracaju	-37.07167	accep	BR	-10.91111	02/06/2019, 00:00:00
Esmeraldas	-44.31389	accep	BR	-19.7625	22 Jun 2020
Palafrugell	3.1631	maintenance	ES	41.91738	02 Jun 2015
Sirsi	74.83554	good	IN	14.62072	22 Oct 2019
Salima	34.4587	building	MW	-13.7804	01/07/2019, 00:00:00
North Lauderdale	-80.22588	excellent	US	26.2173	2014-06-23
Bua Yai	102.42587	excellent	TH	15.58552	2019/06/17
Tchaourou	2.59753	excellent	BJ	8.88649	2017/05/28
Eisen	128.63083	accep	KR	36.82167	01/14/2016, 00:00:00
La Ligua	-71.23106	average	CL	-32.45242	2021-12-09
Rudolstadt	11.34046	accep	DE	50.72043	2015-05-02
Athlone	-7.95	maintenance	IE	53.43333	13 Nov 2014
Bensheim	8.61839	excellent	DE	49.68369	10/05/2014, 00:00:00
Arbroath	-2.58736	accep	GB	56.56317	2014-07-29
Perth	115.8614	good	AU	-31.95224	2015/12/10
Soure	-48.52333	excellent	BR	-0.71667	2019-06-16
Barinas	-70.20749	maintenance	VE	8.62261	2014/06/26
Villabate	13.44275	excellent	IT	38.07789	06/29/2016, 00:00:00
Talisay	122.9666	excellent	PH	10.7375	2019-07-04
Copperas Cove	-97.90308	good	US	31.12406	2020-08-04
Sharypovo	89.20083	accep	RU	55.54028	06/09/2017, 00:00:00
Hlohovec	17.8031	accep	SK	48.43174	10/24/2016, 00:00:00
Copperas Cove	-97.90308	average	US	31.12406	2013/02/26
Idenao	9.00472	average	CM	4.2475	01/23/2015, 00:00:00
Denderleeuw	4.07601	accep	BE	50.88506	2021/12/03
Toyokawa	137.4	excellent	JP	34.81667	2014/06/13
Bergama	27.18052	good	TR	39.12074	11/23/2014, 00:00:00
Gudermes	46.10925	average	RU	43.35071	2018-04-12
New Kingston	-76.78319	accep	JM	18.00747	2016/12/11
Naga	123.758	accep	PH	10.20898	05 Dec 2014
Talipparamba	75.35927	accep	IN	12.04161	10/23/2019, 00:00:00
Karlovy Vary	12.87117	average	CZ	50.23271	2015/12/28
Guanajuato	-101.2591	good	MX	21.01858	20 Feb 2019
Narva	28.19028	good	EE	59.37722	2019/10/15
Yonkers	-73.89875	accep	US	40.93121	2013-09-03
Gavrilov-Yam	39.85331	good	RU	57.30185	07/23/2017, 00:00:00
Magong	119.58627	accep	TW	23.5654	2016-08-13
Denderleeuw	4.07601	excellent	BE	50.88506	2021-12-27
Ataq	46.83187	building	YE	14.53767	2018/10/17
Pekin	-89.64066	good	US	40.56754	2021-06-12
Esperanza	-60.93173	good	AR	-31.4488	08/05/2018, 00:00:00
Fitchburg	-71.8023	good	US	42.58342	02/09/2020, 00:00:00
Kediri	112.01667	good	ID	-7.81667	2016-11-30
Schiebroek	4.47124	good	NL	51.95838	10 Oct 2016
Norwalk	-82.61573	good	US	41.24255	2014-03-13
Ina	137.95378	excellent	JP	35.82756	04 Apr 2013
Hrazdan	44.7662	excellent	AM	40.49748	2013-03-06
Kalavoor	76.32756	good	IN	9.57046	2019/12/11
Onex	6.10237	accep	CH	46.18396	2021/09/13
Marly-le-Roi	2.08333	accep	FR	48.86667	2015-01-23
Alexandria	29.91582	maintenance	EG	31.20176	2018/03/28
Iron River	-88.64235	excellent	US	46.09273	18 Nov 2012
Ragusa	14.72443	average	IT	36.92574	2016/03/09
Niort	-0.45877	average	FR	46.32313	10 May 2017
Roseto degli Abruzzi	14.01481	excellent	IT	42.67164	2020/06/23
Mvomero	38.66667	excellent	TZ	-6.25	2017-09-07
Paoy Paet	102.56365	maintenance	KH	13.65805	2022-05-24
Far Rockaway	-73.75513	average	US	40.60538	2018/11/08
Mitry-Mory	2.61667	accep	FR	48.98333	09/11/2020, 00:00:00
Fort Washington	-77.02303	maintenance	US	38.70734	06/21/2016, 00:00:00
Sasayama	135.21667	accep	JP	35.06667	2013/09/15
Paoy Paet	102.56365	good	KH	13.65805	2015/02/01
Floridsdorf	16.4	average	AT	48.25	09 May 2016
Alwaye	76.35484	accep	IN	10.10649	06/23/2015, 00:00:00
Sirsi	74.83554	accep	IN	14.62072	07/06/2022, 00:00:00
Al Jubayl	49.62251	excellent	SA	27.0174	12/27/2021, 00:00:00
Muritiba	-39.25	accep	BR	-12.91667	03 Apr 2014
Fujioka	139.07204	building	JP	36.24624	24 Oct 2013
Kobuleti	41.77921	accep	GE	41.82143	2017-05-03
Sharypovo	89.20083	good	RU	55.54028	2021-07-22
Novosilikatnyy	83.62389	accep	RU	53.30972	10 Aug 2018
Carnaxide	-9.24671	building	PT	38.72706	17 Feb 2021
Carlsbad	-104.22884	accep	US	32.42067	02 Jun 2013
Montana	23.225	excellent	BG	43.4125	2014-08-24
Saint-Denis	55.4504	building	RE	-20.88231	02 Apr 2017
Dorval	-73.75335	excellent	CA	45.4473	07/15/2019, 00:00:00
Jaruco	-82.00919	maintenance	CU	23.04419	2015-12-22
Kot Addu	70.96699	maintenance	PK	30.46907	2017/12/01
New Yekepa	-8.53778	building	LR	7.57944	2019/06/11
Cuenca	-79.00453	excellent	EC	-2.90055	03/18/2022, 00:00:00
Bhayandar	72.85107	excellent	IN	19.30157	2018-02-28
Cordenons	12.70038	good	IT	45.9836	08/29/2017, 00:00:00
Sirsi	74.83554	good	IN	14.62072	02/28/2014, 00:00:00
Mardin	40.74357	good	TR	37.31309	01/09/2017, 00:00:00
Zhoushan	122.20488	accep	CN	29.98869	07/29/2018, 00:00:00
Sassari	8.55552	good	IT	40.72586	2014-03-27
Danilov	40.17171	good	RU	58.1908	2020/04/04
Progreso	-89.66123	building	MX	21.28306	2013/07/26
Buenaventura	-77.03116	accep	CO	3.8801	2021/10/26
Bon Air	-77.55777	building	US	37.52487	2014-10-31
Scotch Plains	-74.38987	accep	US	40.65538	11 Sep 2016
Bryn Mawr-Skyway	-122.24092	maintenance	US	47.4943	2015-07-09
Bourbonnais	-87.88754	excellent	US	41.15376	01/23/2017, 00:00:00
Supaul	86.59509	building	IN	26.11527	2012-09-28
Zaysan	84.87144	building	KZ	47.46657	09/25/2020, 00:00:00
Aschaffenburg	9.15214	average	DE	49.97704	2016-05-09
Muncar	114.33333	excellent	ID	-8.43333	02/28/2014, 00:00:00
Gernika-Lumo	-2.68333	average	ES	43.31667	2016/12/21
Kamakura	139.55028	good	JP	35.30889	05 Oct 2012
Strathfield	151.07986	accep	AU	-33.88096	2015-04-11
Tuxtla	-93.11308	building	MX	16.75973	2020-03-10
Le Robert	-60.94228	excellent	MQ	14.67751	18 Jan 2019
Krasyliv	26.97253	accep	UA	49.65186	2022/08/23
Naga	123.758	excellent	PH	10.20898	2017/06/30
Gonesse	2.44892	accep	FR	48.98693	01/15/2014, 00:00:00
Troutdale	-122.38731	average	US	45.53929	09/02/2016, 00:00:00
Nonoichi	136.61667	average	JP	36.53333	25 Aug 2020
Recodo	121.96361	good	PH	6.95194	2020-10-24
Kangayam	77.5609	excellent	IN	11.00599	2014/01/05
Hueytown	-86.99666	accep	US	33.45122	2019-11-05
Recodo	121.96361	excellent	PH	6.95194	10/31/2013, 00:00:00
Ukmerge	24.75	average	LT	55.25	2015-07-28
Taunton	-71.08977	good	US	41.9001	09/07/2016, 00:00:00
Ozersk	60.70278	accep	RU	55.75556	2022-06-06
Vernon	-119.27337	maintenance	CA	50.26729	06 Jan 2013
Itaperuna	-41.88778	excellent	BR	-21.205	2013-02-04
Alfenas	-45.94722	maintenance	BR	-21.42917	03/04/2017, 00:00:00
Hofheim am Taunus	8.4493	average	DE	50.09019	05 Jan 2020
Aytos	27.25	accep	BG	42.7	20 Jun 2019
Roi Et	103.65309	average	TH	16.0567	2015-07-03
Puerto Colombia	-74.95472	excellent	CO	10.98778	03/30/2017, 00:00:00
Artsyz	29.41824	good	UA	45.99194	2018/07/06
Iturama	-50.19556	average	BR	-19.72806	04/20/2020, 00:00:00
Pahrump	-115.98391	excellent	US	36.20829	2021-07-23
Nowshahr	51.49621	accep	IR	36.64852	08/04/2015, 00:00:00
Brzeg	17.4674	accep	PL	50.86079	10/06/2013, 00:00:00
Yao	135.6	accep	JP	34.61667	25 Oct 2021
Hakodate	140.73667	excellent	JP	41.77583	2022-06-06
Durazno	-56.52361	maintenance	UY	-33.38056	2018/06/28
Soledade	-52.51028	average	BR	-28.81833	2021/01/25
Villaquilambre	-5.55835	good	ES	42.64685	23 Mar 2016
Lymington	-1.5443	good	GB	50.75767	2020-10-02
Tupiza	-65.71875	building	BO	-21.44345	2021-08-23
Negotin	22.53083	maintenance	RS	44.22639	02/15/2018, 00:00:00
Novosilikatnyy	83.62389	average	RU	53.30972	2013/06/01
Palm Valley	-81.38758	good	US	30.17746	07 May 2015
Longview	-94.74049	excellent	US	32.5007	2016-08-22
Ambatondrazaka	48.41667	average	MG	-17.83333	2016-10-08
