QoS	revision	code	station	latitude	longitude
maintenance	2015/05/02	FI	Kallio	60.18427	24.95034
good	12 Aug 2017	RU	Petrozavodsk	61.78491	34.34691
accep	01 Feb 2015	ID	Pekanbaru	0.51667	101.44167
average	09/24/2014, 00:00:00	DE	Gauting	48.06919	11.37703
accep	2019/08/12	IN	Tiruppuvanam	9.82564	78.25795
accep	2018/08/22	CD	Kamina	-8.73508	24.99798
average	26 May 2014	BE	Beveren	51.21187	4.25633
maintenance	06/08/2014, 00:00:00	IN	Robertsonpet	12.95629	78.27539
good	2016/05/06	DE	Hermsdorf	52.61131	13.31783
excellent	2017-01-18	IN	Pandua	23.07492	88.28637
accep	18 May 2017	US	Searcy	35.25064	-91.73625
maintenance	18 Apr 2019	BR	Pato Branco	-26.22861	-52.67056
maintenance	25 Feb 2020	BR	Pato Branco	-26.22861	-52.67056
accep	2018/02/02	DZ	Messaad	34.15429	3.50309
excellent	2013-03-04	MX	Heroica Matamoros	25.87972	-97.50417
building	2020-07-02	AU	Strathfield	-33.88096	151.07986
average	2020/05/29	CZ	Most	50.50301	13.63617
excellent	2021/08/20	AU	Nowra	-34.88422	150.60036
excellent	01/04/2014, 00:00:00	AU	Baulkham Hills	-33.75881	150.99292
excellent	05/25/2013, 00:00:00	IT	Campobasso	41.55947	14.66737
excellent	09 Nov 2014	CU	Media Luna	20.14298	-77.43532
maintenance	28 Apr 2020	FR	Saint-Omer	50.75	2.25
good	2013-03-06	NL	Zeist	52.09	5.23333
maintenance	2013/02/10	CN	Xiangtan	27.85	112.9
accep	10/01/2016, 00:00:00	BE	Rixensart	50.71229	4.52529
average	2021-03-30	RU	Lesozavodsk	45.47885	133.42825
average	2014-06-19	TZ	Mwandiga	-4.83	29.65806
maintenance	21 Feb 2020	MG	Ambatondrazaka	-17.83333	48.41667
maintenance	2018/05/21	BG	Montana	43.4125	23.225
excellent	2017-06-28	BW	Tonota	-21.44236	27.46153
excellent	2017/08/09	IT	San Giuliano Milanese	45.39402	9.29109
maintenance	30 Aug 2013	US	Scottsdale	33.50921	-111.89903
excellent	2022/02/05	TH	Bang Ban	14.37395	100.48528
average	14 Sep 2016	CA	Sainte-Catherine	45.40008	-73.58248
accep	2014/11/24	US	Searcy	35.25064	-91.73625
accep	2017/12/29	CN	Haicheng	40.85158	122.74754
accep	05/21/2014, 00:00:00	DZ	El Achir	36.06386	4.62744
excellent	2014-11-25	KE	Busia	0.46005	34.11169
good	17 Feb 2020	CN	Beidao	34.56861	105.89333
good	2018/09/23	CH	Adliswil	47.30997	8.52462
average	01/01/2016, 00:00:00	RU	Kireyevsk	53.93361	37.92792
building	06/28/2014, 00:00:00	RU	Krymsk	44.92934	37.99117
excellent	11/09/2019, 00:00:00	ZA	Mokopane	-24.19436	29.00974
accep	2014/04/26	AF	Sar-e Pul	36.21544	65.93249
maintenance	2018/10/26	IL	Rahat	31.39547	34.75699
average	2022/04/24	DZ	Messaad	34.15429	3.50309
accep	23 Sep 2017	DE	Marburg an der Lahn	50.80904	8.77069
accep	2014-08-03	KE	Nyahururu	0.03813	36.36339
building	2016-01-30	US	Covington	39.08367	-84.50855
maintenance	13 Dec 2012	TZ	Mvomero	-6.25	38.66667
average	2015-08-11	BR	Loanda	-22.92306	-53.13722
excellent	2021-09-27	FR	Marseille 11	43.2907	5.4384
good	2017/02/22	RU	Stupino	54.90083	38.07083
good	2017-10-06	AF	Sar-e Pul	36.21544	65.93249
accep	2017-08-01	SK	Hlohovec	48.43174	17.8031
maintenance	12/25/2017, 00:00:00	CN	Huangshi	30.24706	115.04814
excellent	12/20/2012, 00:00:00	ID	Diwek	-7.57897	112.23109
accep	21 Nov 2018	IT	Chiavari	44.31771	9.32241
building	05/20/2020, 00:00:00	DJ	'Ali Sabieh	11.15583	42.7125
good	08/07/2016, 00:00:00	VE	Barinas	8.62261	-70.20749
maintenance	10 May 2020	DE	Korschenbroich	51.19139	6.51352
accep	03/17/2020, 00:00:00	LY	Ghat	24.96334	10.18003
average	2021-08-27	BD	Kushtia	23.9028	89.11943
accep	2014/04/04	US	Fayetteville	35.05266	-78.87836
average	2017/07/27	RU	Nizhniy Lomov	53.53041	43.67663
building	2016-10-07	FR	Saint-Genis-Laval	45.69558	4.7934
excellent	07/01/2013, 00:00:00	US	Scarsdale	41.0051	-73.78458
good	10/31/2015, 00:00:00	CI	Lakota	5.84752	-5.682
accep	02 Mar 2018	MM	Dawei	14.0823	98.19151
average	25 Nov 2020	DZ	Thenia	36.72544	3.55665
excellent	02 Nov 2013	PK	Naushahra Virkan	31.96258	73.97117
accep	28 Feb 2018	PK	Hasilpur	29.69221	72.54566
maintenance	08 Jul 2016	CL	Ovalle	-30.60106	-71.19901
accep	2020-09-14	CM	Idenao	4.2475	9.00472
excellent	2013/11/13	US	Boston	42.35843	-71.05977
excellent	2017/03/25	DE	Barmbek-Nord	53.6052	10.03988
excellent	2020/06/29	BR	Sarandi	-23.44361	-51.87389
average	2012-10-06	RU	Tyoply Stan	55.62047	37.49338
accep	2017-07-27	FR	Marly-le-Roi	48.86667	2.08333
building	09/08/2014, 00:00:00	MX	Acaponeta	22.49396	-105.36369
excellent	2013-09-01	RU	Lesozavodsk	45.47885	133.42825
maintenance	04/12/2015, 00:00:00	US	Malden	42.4251	-71.06616
maintenance	01/06/2019, 00:00:00	CN	Xiangtan	27.85	112.9
excellent	01 Feb 2020	IN	Gajendragarh	15.73628	75.96976
accep	2012/10/19	US	Mira Mesa	32.9156	-117.14392
maintenance	2017-08-06	CN	Dongdu	35.85	117.7
maintenance	06 Sep 2019	FR	Niort	46.32313	-0.45877
building	08/27/2020, 00:00:00	PL	Jaworzno	50.20528	19.27498
excellent	2019/09/19	VE	Ciudad Guayana	8.35122	-62.64102
maintenance	07/16/2022, 00:00:00	US	Gainesville	29.65163	-82.32483
average	07 Jan 2015	US	Grand Forks	47.92526	-97.03285
good	2015-08-09	RU	Danilov	58.1908	40.17171
good	31 May 2016	CN	Wacheng	33.78333	114.51667
accep	2013/03/12	BD	Kushtia	23.9028	89.11943
excellent	2014/10/30	FR	La Garenne-Colombes	48.90472	2.2469
good	07/18/2017, 00:00:00	XK	Glogovac	42.62833	20.89389
maintenance	02/02/2013, 00:00:00	CL	Ovalle	-30.60106	-71.19901
building	30 Apr 2020	RU	Nizhniy Lomov	53.53041	43.67663
excellent	2022/05/07	US	North Tustin	33.76446	-117.79394
excellent	2016-05-22	FR	Rueil-Malmaison	48.8765	2.18967
accep	07/21/2015, 00:00:00	JP	Nonoichi	36.53333	136.61667
maintenance	2021-04-15	RU	Likhobory	55.85	37.56667
good	2022/02/05	IN	Narwar	25.6439	77.9129
excellent	12/19/2016, 00:00:00	IT	Volla	40.87363	14.34085
accep	05/30/2016, 00:00:00	US	Bryn Mawr-Skyway	47.4943	-122.24092
good	12 Apr 2016	AU	Perth	-31.95224	115.8614
good	18 Oct 2016	MK	Bogovinje	41.92361	20.91361
maintenance	03/20/2022, 00:00:00	MK	Bogovinje	41.92361	20.91361
average	09/15/2020, 00:00:00	IT	San Giuliano Milanese	45.39402	9.29109
accep	2021-06-03	PA	Chilibre	9.15093	-79.62098
average	19 Oct 2017	PH	Tupi	6.33444	124.95278
accep	2013-08-17	BR	Barra dos Coqueiros	-10.90889	-37.03861
excellent	02/11/2022, 00:00:00	VN	Sa Dec	10.29085	105.75635
average	2013-04-08	DZ	Bordj Zemoura	36.27462	4.85668
building	24 Mar 2013	CZ	Most	50.50301	13.63617
average	2021-02-24	JP	Ina	35.82756	137.95378
accep	2014-10-16	IN	Gajendragarh	15.73628	75.96976
average	20 Jul 2021	ES	Talavera de la Reina	39.96348	-4.83076
average	05/10/2019, 00:00:00	HN	Olanchito	15.48131	-86.57415
building	12/25/2015, 00:00:00	KR	Hongseong	36.6009	126.665
building	2020/11/15	US	Kaukauna	44.27804	-88.27205
maintenance	12/13/2021, 00:00:00	IT	Perugia	43.1122	12.38878
excellent	12/11/2018, 00:00:00	BR	Carlos Barbosa	-29.2975	-51.50361
good	2013-10-08	IN	Kheda	22.75218	72.68533
good	2013/05/17	CN	Jiangyan	32.50611	120.14278
average	07/13/2020, 00:00:00	IN	Sheoganj	25.13915	73.06784
accep	18 Aug 2015	RU	Tver	56.85836	35.90057
maintenance	2019/12/01	US	Searcy	35.25064	-91.73625
building	03/29/2017, 00:00:00	MX	Zacoalco de Torres	20.22816	-103.5687
average	2017-09-30	GB	Rutherglen	55.82885	-4.21376
maintenance	13 Jul 2015	SO	Baki	9.89206	43.38531
building	10/01/2017, 00:00:00	US	North Tustin	33.76446	-117.79394
average	09 Jul 2013	DZ	Ksar Chellala	35.21222	2.31889
accep	2015/04/20	GB	High Wycombe	51.62907	-0.74934
accep	2021-08-04	AM	Hrazdan	40.49748	44.7662
average	2017/07/13	IN	Lal Bahadur Nagar	17.34769	78.55757
excellent	22 Aug 2017	US	Punta Gorda Isles	26.91756	-82.07842
accep	2019-03-03	KR	Hongseong	36.6009	126.665
accep	2015/11/27	CO	Puerto Colombia	10.98778	-74.95472
excellent	03/10/2019, 00:00:00	IN	Gorakhpur	26.76628	83.36889
excellent	2013-05-15	IN	Betamcherla	15.45144	78.14797
good	13 Apr 2022	US	Rosemount	44.73941	-93.12577
excellent	2013/08/03	RU	Alatyr’	54.8421	46.5813
maintenance	11/07/2017, 00:00:00	RS	Negotin	44.22639	22.53083
accep	2014-08-21	US	Lino Lakes	45.16024	-93.08883
good	09/11/2018, 00:00:00	US	Greenville	33.41012	-91.06177
accep	2014-02-12	CN	Foshan	23.02677	113.13148
maintenance	2013/07/17	DE	Losheim	49.5099	6.74549
excellent	2021/10/01	DE	Gifhorn	52.47774	10.5511
average	17 Apr 2015	NG	Yenagoa	4.92675	6.26764
accep	21 Aug 2018	CN	Dongfeng	42.64031	125.51176
excellent	2013-11-06	CN	Pingyi	35.50056	117.63083
good	11/01/2018, 00:00:00	US	Copperas Cove	31.12406	-97.90308
maintenance	22 Feb 2022	PK	Naushahra Virkan	31.96258	73.97117
excellent	25 Nov 2016	NG	Ilesa	7.62789	4.74161
good	2014-05-17	GB	Selby	53.78333	-1.06667
maintenance	08/19/2014, 00:00:00	US	Gilbert	33.35283	-111.78903
good	03/30/2013, 00:00:00	UA	Hlukhiv	51.67822	33.9162
average	2019-05-03	US	Kearns	40.65995	-111.99633
average	2015-04-25	IL	Rahat	31.39547	34.75699
accep	01 Apr 2022	NI	Somoto	13.48082	-86.58208
average	11/10/2018, 00:00:00	RE	Saint-Denis	-20.88231	55.4504
average	2014-01-20	DE	Stuttgart	48.78232	9.17702
excellent	2021/12/24	AM	Hrazdan	40.49748	44.7662
average	2020-08-08	CL	La Ligua	-32.45242	-71.23106
excellent	23 Jul 2016	IT	Castelfranco Emilia	44.59445	11.04979
average	07/06/2016, 00:00:00	FR	Vienne	45.51667	4.86667
maintenance	2013-12-17	PH	Sorsogon	12.97389	123.99333
excellent	04 Apr 2019	PH	La Trinidad	16.455	120.5875
maintenance	2020-02-10	IT	Roseto degli Abruzzi	42.67164	14.01481
building	01/17/2022, 00:00:00	IN	Dombivli	19.21667	73.08333
excellent	2018-06-16	FR	Niort	46.32313	-0.45877
good	07 Oct 2013	GB	Kingston upon Hull	53.7446	-0.33525
average	12/14/2018, 00:00:00	EC	Milagro	-2.13404	-79.59415
excellent	03/01/2014, 00:00:00	US	Collinwood	41.55838	-81.56929
accep	05/11/2013, 00:00:00	GB	Exeter	50.7236	-3.52751
good	2016/05/05	ES	Amposta	40.70995	0.57856
average	2014/11/17	AR	Pontevedra	-34.74785	-58.70072
excellent	29 Oct 2020	FR	Gonesse	48.98693	2.44892
good	26 Oct 2014	AU	Carindale	-27.50578	153.10236
accep	2019-03-15	BR	Resplendor	-19.32556	-41.25528
building	26 Aug 2015	UZ	Andijon	40.78206	72.34424
good	2019/02/24	PL	Brzeg	50.86079	17.4674
excellent	2015-05-29	FR	Lons-le-Saunier	46.67535	5.55575
average	2013/11/07	PT	Albufeira	37.08819	-8.2503
good	19 Jun 2014	BR	Altamira	-3.20333	-52.20639
accep	2017/12/30	AU	Wheelers Hill	-37.9	145.18333
good	2020/09/13	US	Ada	34.77453	-96.67834
average	05 Aug 2019	US	Hueytown	33.45122	-86.99666
building	03/17/2014, 00:00:00	IT	Roseto degli Abruzzi	42.67164	14.01481
good	2017/01/22	RE	Saint-Denis	-20.88231	55.4504
building	07 Aug 2019	TH	Phanat Nikhom	13.44581	101.18445
building	23 Aug 2016	EC	Cuenca	-2.90055	-79.00453
excellent	2019/07/23	US	Santa Maria	34.95303	-120.43572
excellent	16 May 2020	MN	Ulan Bator	47.90771	106.88324
accep	06 Aug 2013	CN	Jingzhou	30.35028	112.19028
maintenance	25 Sep 2017	BR	Lagarto	-10.91722	-37.65
average	08/13/2019, 00:00:00	EG	Juhaynah	26.67319	31.4976
excellent	2018-11-22	MY	Kampung Ayer Molek	2.2139	102.3278
good	06 Aug 2017	TH	Yasothon	15.79408	104.1451
excellent	31 Oct 2016	RU	Arzamas	55.39485	43.83992
maintenance	2013/07/05	IN	Kheda	22.75218	72.68533
excellent	2022-01-31	GB	Penzance	50.11861	-5.53715
building	31 Jan 2021	IT	Gorgonzola	45.53069	9.40531
average	2016/11/02	VN	Sa Dec	10.29085	105.75635
maintenance	2017-05-13	IT	Portogruaro	45.78071	12.84052
maintenance	04/03/2020, 00:00:00	EE	Narva	59.37722	28.19028
average	2017-11-15	US	Davis	38.54491	-121.74052
maintenance	09/15/2014, 00:00:00	RU	Yashkino	55.8736	85.4265
building	28 Jun 2018	ID	Pameungpeuk	-7.01833	107.60389
good	2017/07/11	DE	Burscheid	51.08468	7.11393
building	2013/03/12	DE	Friedberg	48.35693	10.98461
maintenance	2014-05-07	TR	Serinhisar	37.58105	29.26639
accep	2018/04/21	TN	El Alia	37.16911	10.03478
building	06 Aug 2022	CU	Media Luna	20.14298	-77.43532
excellent	2020/06/01	RU	Malakhovka	55.64776	38.02486
good	2020-10-09	PH	Masbate	12.37169	123.62494
excellent	2018-10-31	GB	Chapletown	53.46506	-1.47217
good	2016/01/01	TR	Sungurlu	40.1675	34.37389
building	2015/07/20	IN	Dombivli	19.21667	73.08333
good	2013-03-17	IN	Parola	20.88098	75.11937
excellent	26 Feb 2019	IT	Afragola	40.92298	14.30935
average	22 Nov 2013	PK	Sillanwali	31.82539	72.54064
building	10/29/2015, 00:00:00	IN	Meerut	28.98002	77.70636
maintenance	08/19/2017, 00:00:00	RU	Yashkino	55.8736	85.4265
excellent	07/30/2017, 00:00:00	DE	Albstadt	48.21644	9.02596
accep	09/30/2019, 00:00:00	CN	Foshan	23.02677	113.13148
maintenance	2021-11-24	US	Laguna Niguel	33.52253	-117.70755
accep	2020/11/01	MX	Guanajuato	21.01858	-101.2591
accep	07 Nov 2017	IN	Pujali	22.4711	88.1453
good	21 Dec 2012	TR	Bergama	39.12074	27.18052
building	2020/05/13	GB	Thetford	52.41667	0.75
average	2013/08/06	RU	Volokolamsk	56.03361	35.96944
excellent	2012/11/06	US	Estelle	29.84576	-90.10674
good	06/21/2021, 00:00:00	DE	Walsrode	52.86147	9.5926
good	06/02/2015, 00:00:00	BE	Temse	51.12794	4.21372
excellent	2016/07/14	PK	Naushahra Virkan	31.96258	73.97117
excellent	03/05/2022, 00:00:00	IN	Supaul	26.11527	86.59509
average	04/06/2014, 00:00:00	CN	Guli	28.88162	120.03308
accep	01 Jul 2013	RU	Oktyabr’skiy	54.48147	53.47103
maintenance	2018/10/26	IN	Tiruppuvanam	9.82564	78.25795
good	2016-01-15	ZA	Standerton	-26.93366	29.24152
average	2020/04/07	US	Mechanicsville	37.60876	-77.37331
average	2020-04-17	SL	Freetown	8.48714	-13.2356
maintenance	16 Dec 2017	CO	Madrid	4.73245	-74.26419
accep	08 Aug 2017	ES	Cardedeu	41.63976	2.35739
average	04/01/2015, 00:00:00	NL	Schiebroek	51.95838	4.47124
good	27 May 2015	BE	Gembloux	50.56149	4.69889
average	2014/04/08	IN	Barbil	22.10194	85.37752
excellent	20 Jun 2018	RU	Beryozovsky	56.9083	60.8019
good	2021/09/14	AU	Frankston South	-38.16604	145.13643
building	2017-08-08	GB	Rutherglen	55.82885	-4.21376
good	2015-08-20	CI	Lakota	5.84752	-5.682
excellent	2021/04/21	BR	Viradouro	-20.87306	-48.29694
excellent	17 Oct 2020	FI	Espoo	60.2052	24.6522
excellent	07/02/2017, 00:00:00	UA	Polohy	47.48444	36.25361
good	2018-03-14	DE	Wesseling	50.82709	6.9747
accep	02/15/2015, 00:00:00	JP	Yao	34.61667	135.6
maintenance	2017-12-17	NL	Tongelre	51.44889	5.51978
average	2018-10-12	DE	Oberhausen	51.47805	6.8625
excellent	08/09/2014, 00:00:00	RU	Kovylkino	54.03876	43.91385
good	2021-12-13	RU	Tyoply Stan	55.62047	37.49338
accep	2021/03/05	SO	Baki	9.89206	43.38531
excellent	01 Jun 2019	IN	Malaut	30.21121	74.4818
accep	30 Dec 2020	US	Columbia Heights	45.0408	-93.263
excellent	30 Jun 2016	BR	Canavieiras	-15.675	-38.94722
accep	2015-06-22	FR	Sceaux	48.77644	2.29026
average	24 Apr 2017	IT	Novara	45.44694	8.62118
building	2013-11-01	GB	Brierley Hill	52.48173	-2.12139
accep	30 Nov 2018	CN	Changshu City	31.64615	120.74221
accep	02 Sep 2017	PK	Alipur	29.38242	70.91106
excellent	2019/02/04	KR	T’aebaek	37.1759	128.9889
accep	2020-12-05	JP	Sasayama	35.06667	135.21667
building	2018-09-30	ES	Baza	37.49073	-2.77259
good	05/21/2019, 00:00:00	IT	Ragusa	36.92574	14.72443
excellent	2018-01-19	IR	Shahre Jadide Andisheh	35.6803	51.0193
accep	2015-02-12	IR	Shahre Jadide Andisheh	35.6803	51.0193
good	05 Oct 2021	ES	Gernika-Lumo	43.31667	-2.68333
average	12/12/2019, 00:00:00	IN	Gorakhpur	26.76628	83.36889
accep	2022-02-22	US	Mira Mesa	32.9156	-117.14392
maintenance	09 Jan 2013	CU	Jaruco	23.04419	-82.00919
average	2017-01-19	CA	Pointe-Claire	45.44868	-73.81669
excellent	2015/04/11	JP	Nonoichi	36.53333	136.61667
average	2017/07/20	CN	Jingzhou	30.35028	112.19028
average	01/13/2016, 00:00:00	US	Encinitas	33.03699	-117.29198
building	2015/07/16	US	Far Rockaway	40.60538	-73.75513
good	2020-01-06	ES	Novelda	38.38479	-0.76773
accep	2022/01/11	BR	Curitiba	-25.42778	-49.27306
average	2021/12/10	IN	Aklera	24.41288	76.56719
good	2015-09-11	US	Fairview Heights	38.58894	-89.99038
good	28 Oct 2020	US	Boston	42.35843	-71.05977
average	03 Jul 2014	BR	Pato Branco	-26.22861	-52.67056
accep	2022/06/28	RU	Novopavlovsk	43.96222	43.63417
accep	2013/03/16	NO	Harstad	68.79833	16.54165
average	2014-05-22	RU	Nikolayevsk-on-Amure	53.14657	140.72287
maintenance	12/07/2017, 00:00:00	PA	Veracruz	8.88988	-79.62603
accep	11/30/2020, 00:00:00	PH	San Jose	12.35275	121.06761
good	10/02/2012, 00:00:00	NI	Somoto	13.48082	-86.58208
average	21 Sep 2018	NL	Barneveld	52.14	5.58472
maintenance	12/23/2015, 00:00:00	CO	Honda	5.20856	-74.73584
maintenance	2016/05/27	NO	Harstad	68.79833	16.54165
excellent	18 Jan 2022	VN	Sa Dec	10.29085	105.75635
accep	10 Nov 2013	IE	An Muileann gCearr	53.53333	-7.35
accep	13 Jul 2017	PH	Maasin	10.13361	124.84472
accep	2015-07-21	IT	Catania	37.49223	15.07041
accep	2015/07/02	EC	Cuenca	-2.90055	-79.00453
excellent	19 Aug 2015	US	Muskogee	35.74788	-95.36969
average	10/30/2019, 00:00:00	CU	Media Luna	20.14298	-77.43532
excellent	2018/03/24	BR	Recife	-8.05389	-34.88111
excellent	2014-08-08	PH	Naga	10.20898	123.758
accep	05/29/2017, 00:00:00	US	Rutland	43.61062	-72.97261
maintenance	15 Jul 2013	PL	Reda	54.60528	18.34717
excellent	2018/12/31	ES	San Juan de Aznalfarache	37.35813	-6.03731
maintenance	12/14/2018, 00:00:00	GB	Kingston upon Hull	53.7446	-0.33525
good	2018-08-08	IN	Manjeri	11.12018	76.11996
excellent	2019-07-26	FI	Kallio	60.18427	24.95034
accep	12/03/2016, 00:00:00	NL	Emmeloord	52.71083	5.74861
good	02/08/2015, 00:00:00	MY	Donggongon	5.90702	116.10146
average	2015/10/14	FR	Gonesse	48.98693	2.44892
accep	2016/09/02	TH	Damnoen Saduak	13.51825	99.95469
accep	2016-01-13	US	Searcy	35.25064	-91.73625
accep	2021-11-30	DE	Zeitz	51.04962	12.1369
accep	04 May 2015	KR	Nonsan	36.20389	127.08472
average	2019-01-06	MX	Casa Blanca	19.04222	-98.11889
building	01 May 2021	RW	Rwamagana	-1.9487	30.4347
average	10/06/2020, 00:00:00	PK	Bhit Shah	25.80565	68.49143
excellent	2019-11-10	IN	Sirsi	14.62072	74.83554
good	24 Sep 2020	PE	Chosica	-11.94306	-76.70944
building	2014-10-08	US	Dumont	40.94065	-73.99681
good	01/31/2021, 00:00:00	US	Lakewood	41.48199	-81.79819
excellent	03/17/2019, 00:00:00	US	Mechanicsville	37.60876	-77.37331
excellent	23 Sep 2021	US	Rutland	43.61062	-72.97261
average	2017/04/06	AR	Esperanza	-31.4488	-60.93173
building	07/09/2017, 00:00:00	US	Watsonville	36.91023	-121.75689
maintenance	12/02/2012, 00:00:00	KR	Nonsan	36.20389	127.08472
excellent	2017/01/21	LR	New Yekepa	7.57944	-8.53778
good	2016-05-28	US	Bon Air	37.52487	-77.55777
building	2015-09-27	US	Claremont	34.09668	-117.71978
excellent	2018/09/30	IN	Davangere	14.46693	75.92694
maintenance	04/13/2016, 00:00:00	US	Lower West Side	41.8542	-87.66561
average	2021/08/24	US	Kaukauna	44.27804	-88.27205
average	2015-07-03	US	Searcy	35.25064	-91.73625
maintenance	2021/03/10	MG	Ikalamavony	-21.15	46.58333
average	2021/01/04	DZ	Bordj Zemoura	36.27462	4.85668
average	08/02/2013, 00:00:00	MX	Paracho de Verduzco	19.64745	-102.04897
excellent	2013-02-01	CN	Haicheng	40.85158	122.74754
building	2013-04-23	FR	Gonesse	48.98693	2.44892
accep	05/11/2016, 00:00:00	PT	Paredes	41.20485	-8.33147
good	2016-03-01	IN	Barbil	22.10194	85.37752
building	2016-09-19	IT	Montecchio Maggiore-Alte Ceccato	45.50369	11.412
excellent	2022/03/04	PA	Chilibre	9.15093	-79.62098
average	2022/05/18	RE	Saint-Denis	-20.88231	55.4504
excellent	2019/03/19	CG	Brazzaville	-4.26613	15.28318
average	2022-05-23	US	Beaumont	33.92946	-116.97725
good	04/17/2018, 00:00:00	MX	Guanajuato	21.01858	-101.2591
maintenance	2018-07-21	IN	Osmanabad	18.18158	76.03889
excellent	2016/12/24	US	Beaumont	33.92946	-116.97725
average	2017-12-03	RU	Sharypovo	55.54028	89.20083
excellent	09 Aug 2022	DE	Bad Segeberg	53.94313	10.30215
average	27 Oct 2016	ID	Majene	-3.5403	118.9707
building	12/25/2015, 00:00:00	KE	Lodwar	3.11988	35.59642
excellent	13 Sep 2016	RU	Petrozavodsk	61.78491	34.34691
good	11 Nov 2015	US	Peabody	42.52787	-70.92866
building	2015-08-09	RU	Volokolamsk	56.03361	35.96944
average	2016-03-29	US	Scarsdale	41.0051	-73.78458
good	07/09/2021, 00:00:00	TH	Nakhon Si Thammarat	8.43333	99.96667
average	2016/09/25	ES	Leioa	43.32686	-2.98884
excellent	11/19/2013, 00:00:00	BR	Catende	-8.66667	-35.71667
accep	2018-10-08	US	Saratoga Springs	40.34912	-111.90466
good	2016/11/15	RU	Bogoroditsk	53.77166	38.12408
accep	2020/07/10	CU	Media Luna	20.14298	-77.43532
average	2012-11-01	IN	Patti	31.28092	74.85849
excellent	03/12/2016, 00:00:00	BD	Kushtia	23.9028	89.11943
excellent	16 Aug 2017	AM	Hrazdan	40.49748	44.7662
good	02/08/2022, 00:00:00	BR	Miracema	-21.41222	-42.19667
accep	10/28/2014, 00:00:00	TR	Bergama	39.12074	27.18052
excellent	2020-08-09	CG	Brazzaville	-4.26613	15.28318
accep	2020-02-12	IN	Rafiganj	24.81757	84.63445
good	24 Oct 2018	PK	Kot Addu	30.46907	70.96699
good	2021-03-06	US	Chillum	38.96372	-76.99081
average	2021-10-09	US	Hutchinson	38.06084	-97.92977
excellent	13 Aug 2016	FI	Kallio	60.18427	24.95034
building	06/18/2021, 00:00:00	DE	Walsrode	52.86147	9.5926
accep	2022/01/24	TH	Phanat Nikhom	13.44581	101.18445
building	25 Sep 2017	HN	Olanchito	15.48131	-86.57415
excellent	21 Sep 2020	ES	Jumilla	38.47917	-1.325
good	2012-11-17	PG	Mount Hagen	-5.85746	144.23058
accep	31 Mar 2014	PK	Alipur	29.38242	70.91106
average	2015/05/15	IR	Aleshtar	33.86419	48.26258
excellent	2020-06-20	CA	Vernon	50.26729	-119.27337
average	15 Jul 2021	DE	Landshut	48.52961	12.16179
excellent	2021/10/02	IN	Elamanchili	17.54907	82.85749
accep	06/28/2020, 00:00:00	DE	Aschaffenburg	49.97704	9.15214
building	2016/01/24	CU	Jaruco	23.04419	-82.00919
accep	2020/06/15	US	Vestavia Hills	33.44872	-86.78777
maintenance	03/14/2016, 00:00:00	SA	Al Jubayl	27.0174	49.62251
good	03 Nov 2021	US	Lower West Side	41.8542	-87.66561
average	08/17/2014, 00:00:00	DE	Siegburg	50.80019	7.20769
excellent	14 Aug 2020	DE	Hofheim am Taunus	50.09019	8.4493
good	16 Aug 2017	IN	Tiruppuvanam	9.82564	78.25795
good	2016-12-05	TH	Kantharalak	14.64056	104.64992
average	07 Feb 2015	IN	Supaul	26.11527	86.59509
good	2020-08-04	ES	Gernika-Lumo	43.31667	-2.68333
building	2014-12-25	IN	Dombivli	19.21667	73.08333
building	2022-01-05	IN	Kundla	21.34222	71.30633
good	18 Dec 2014	TH	Nakhon Pathom	13.8196	100.04427
accep	2017-12-22	US	Middle River	39.33427	-76.43941
excellent	09/30/2019, 00:00:00	MY	Kulai	1.6561	103.6032
accep	2015-12-26	CU	Boyeros	23.0072	-82.4017
accep	12/11/2015, 00:00:00	GB	Leyland	53.69786	-2.68758
building	2014/12/18	RU	Novosilikatnyy	53.30972	83.62389
accep	2019-08-25	MT	Valletta	35.89972	14.51472
average	2015-01-20	PT	Paredes	41.20485	-8.33147
excellent	2015/09/04	BR	Catende	-8.66667	-35.71667
maintenance	2021-11-04	RU	Stupino	54.90083	38.07083
excellent	2018/08/06	US	Cypress Hills	40.67705	-73.89125
good	2012/12/15	UA	Hlukhiv	51.67822	33.9162
average	07 Sep 2017	DE	Halstenbek	53.63333	9.85
excellent	16 Jun 2020	UA	Lutsk	50.75932	25.34244
excellent	2017-01-22	CN	Beidao	34.56861	105.89333
accep	2012-10-03	US	Lower West Side	41.8542	-87.66561
maintenance	10/01/2013, 00:00:00	FR	Colomiers	43.61058	1.33467
accep	2018-05-19	IN	Moga	30.81383	75.16878
good	2013/09/30	PK	Alipur	29.38242	70.91106
average	17 Feb 2016	IR	Shahre Jadide Andisheh	35.6803	51.0193
maitennce	2017-09-14	FR	Quimper	48	-4.1
excellent	2013/08/23	AZ	Qazax	41.09246	45.36561
maintenance	07/29/2018, 00:00:00	US	Searcy	35.25064	-91.73625
building	2018/10/30	BR	Buri	-23.7975	-48.59278
excellent	2015-06-12	IT	Roseto degli Abruzzi	42.67164	14.01481
accep	06/06/2016, 00:00:00	IT	Ariccia	41.72063	12.6723
good	2021-08-01	BE	Rixensart	50.71229	4.52529
accep	02 Mar 2022	US	Middletown	41.54566	-71.29144
average	08/01/2020, 00:00:00	CA	Norfolk County	42.8334	-80.38297
