station	code	QoS	longitude	latitude	revision
Gariadhar	IN	excellent	71.57737	21.53889	07/16/2015, 00:00:00
Houthalen	BE	excellent	5.37429	51.03427	07/09/2015, 00:00:00
Port Huron	US	good	-82.42491	42.97086	2020/07/13
Rudolstadt	DE	accep	11.34046	50.72043	20 Jul 2022
Ajdabiya	LY	accep	20.22625	30.75545	2016-12-06
Muncar	ID	excellent	114.33333	-8.43333	2014-01-19
Boli	CN	excellent	130.57211	45.75279	04 Dec 2013
New Yekepa	LR	excellent	-8.53778	7.57944	08/09/2017, 00:00:00
Otradnyy	RU	excellent	51.3452	53.37596	13 Jan 2021
San Jose	PH	building	121.06761	12.35275	2021/05/05
Camayenne	GN	average	-13.68778	9.535	2014-05-02
Kearns	US	good	-111.99633	40.65995	2018/11/02
Barnet	GB	average	-0.2	51.65	2021/08/04
Jashpurnagar	IN	maintenance	84.13864	22.88783	2016-10-21
Nyahururu	KE	good	36.36339	0.03813	2016/07/18
Bhayandar	IN	accep	72.85107	19.30157	2016-11-08
Madrid	CO	good	-74.26419	4.73245	2016/01/18
Maliana	TL	excellent	125.21972	-8.99167	08 Feb 2014
Albstadt	DE	accep	9.02596	48.21644	04 Jul 2014
Penzance	GB	excellent	-5.53715	50.11861	10/31/2020, 00:00:00
Boumerdas	DZ	excellent	3.47717	36.76639	12/12/2014, 00:00:00
Bergama	TR	average	27.18052	39.12074	2019/10/09
Dipolog	PH	accep	123.33471	8.56697	11/14/2020, 00:00:00
Saint-Denis	RE	good	55.4504	-20.88231	2020-07-13
Gainesville	US	accep	-82.32483	29.65163	2020/04/22
Franceville	GA	excellent	13.58357	-1.63333	2018-04-22
Morningside Heights	US	average	-73.9625	40.81	2018-11-10
Yingkou	CN	accep	122.22833	40.66482	2020/11/17
Taunton	US	maintenance	-71.08977	41.9001	2021-10-16
Wheelers Hill	AU	building	145.18333	-37.9	28 Feb 2013
Tarakan	ID	average	117.59152	3.31332	08/09/2018, 00:00:00
Massapequa	US	good	-73.47429	40.68066	23 Mar 2014
Efon-Alaaye	NG	good	4.92235	7.65649	2016-09-04
Svatove	UA	maintenance	38.15035	49.41029	09 Aug 2016
Binnish	SY	maintenance	36.7138	35.95664	10/17/2013, 00:00:00
Naga	PH	average	123.758	10.20898	2022/07/24
Carnot	CF	maintenance	15.87735	4.94273	04/13/2020, 00:00:00
Aleshtar	IR	average	48.26258	33.86419	2020-07-02
Mouscron	BE	average	3.20639	50.74497	01/03/2016, 00:00:00
Jinotepe	NI	accep	-86.19903	11.84962	04 Sep 2017
Rahat	IL	average	34.75699	31.39547	05/20/2014, 00:00:00
Milagro	EC	average	-79.59415	-2.13404	2015/03/19
Robertsonpet	IN	good	78.27539	12.95629	27 Aug 2019
Minokamo	JP	average	137.02166	35.48199	17 Jul 2013
Yangambi	CD	average	24.43973	0.76755	07/14/2022, 00:00:00
Aykhal	RU	maintenance	111.4834	65.93381	29 Aug 2013
Portogruaro	IT	excellent	12.84052	45.78071	2017-09-04
Floridsdorf	AT	accep	16.4	48.25	2016/08/14
Bourbonnais	US	average	-87.88754	41.15376	02 Feb 2018
Franceville	GA	maintenance	13.58357	-1.63333	2015-06-11
Santa Cruz de Barahona	DO	excellent	-71.10077	18.20854	30 Sep 2015
Cowes	GB	building	-1.29772	50.76306	2015/10/28
Exeter	GB	maintenance	-3.52751	50.7236	12/06/2021, 00:00:00
Phanat Nikhom	TH	maintenance	101.18445	13.44581	09/16/2021, 00:00:00
Tonota	BW	good	27.46153	-21.44236	07 Jul 2019
Mexborough	GB	excellent	-1.29243	53.49389	22 Aug 2020
Rueil-Malmaison	FR	average	2.18967	48.8765	01 Mar 2016
Iquitos	PE	good	-73.25383	-3.74912	2018-09-09
Bothell West	US	maintenance	-122.24064	47.80527	2015-04-07
Brunswick	US	good	-69.96533	43.91452	2019-05-06
Saraj	MK	building	21.32778	42	11/03/2019, 00:00:00
Dax	FR	average	-1.05366	43.71032	19 Dec 2020
Adliswil	CH	accep	8.52462	47.30997	2019/07/03
Novogrudok	BY	good	25.8191	53.5942	2019/04/20
Binnish	SY	excellent	36.7138	35.95664	2017-01-28
Wacheng	CN	building	114.51667	33.78333	05/04/2014, 00:00:00
Chillum	US	maintenance	-76.99081	38.96372	2012-12-21
Deoli	IN	average	75.37991	25.75728	2016/11/15
Gifhorn	DE	building	10.5511	52.47774	2019/08/04
Walton-on-the-Naze	GB	building	1.26738	51.84819	2020/03/03
Idenao	CM	excellent	9.00472	4.2475	07/12/2021, 00:00:00
South Lawndale	US	building	-87.71255	41.84364	2021-02-09
Barbil	IN	average	85.37752	22.10194	2017-01-24
Longview	US	accep	-94.74049	32.5007	2017-05-24
Talavera de la Reina	ES	maintenance	-4.83076	39.96348	2021-01-22
Farafenni	GM	average	-15.6	13.56667	2022-06-08
Roslavl’	RU	accep	32.86389	53.95278	19 Jul 2018
Bar-le-Duc	FR	excellent	5.16108	48.77275	07/15/2017, 00:00:00
El Copey	CO	excellent	-73.9614	10.15031	2019/01/13
Naushahra Virkan	PK	building	73.97117	31.96258	12/21/2020, 00:00:00
Redding	US	good	-122.39168	40.58654	2019-05-22
Amreli	IN	good	71.21169	21.59983	2017-06-11
Dorval	CA	average	-73.75335	45.4473	2014/05/28
Beni Douala	DZ	excellent	4.08282	36.61954	05 Jun 2013
Magong	TW	maintenance	119.58627	23.5654	2020/03/26
Jackson	US	average	-88.81395	35.61452	03 Nov 2017
Patnos	TR	accep	42.85693	39.22493	25 Mar 2013
Zaysan	KZ	excellent	84.87144	47.46657	2018/07/12
Krymsk	RU	excellent	37.99117	44.92934	04 Jan 2013
Muskogee	US	accep	-95.36969	35.74788	09/15/2020, 00:00:00
Alwaye	IN	building	76.35484	10.10649	08/16/2017, 00:00:00
Kulai	MY	building	103.6032	1.6561	2019/08/19
Lebanon	US	average	-84.20299	39.43534	2022/01/09
Minas de Marcona	PE	excellent	-75.11028	-15.21194	2015-10-20
Denderleeuw	BE	accep	4.07601	50.88506	08 Jan 2015
Myawadi	MM	accep	98.50893	16.68911	2014/02/09
Nowshahr	IR	average	51.49621	36.64852	2020/12/09
Robertsonpet	IN	average	78.27539	12.95629	03/19/2015, 00:00:00
Rutherglen	GB	good	-4.21376	55.82885	20 Aug 2021
Myawadi	MM	average	98.50893	16.68911	2021-09-24
Vienne	FR	building	4.86667	45.51667	24 Sep 2016
Albufeira	PT	maitennce	-8.2503	37.08819	16 Dec 2015
Jersey City	US	building	-74.07764	40.72816	2017-06-10
Montana	BG	average	23.225	43.4125	26 Jul 2013
Sicklerville	US	average	-74.96933	39.71734	2020-08-26
Keene	US	good	-72.27814	42.93369	07/15/2019, 00:00:00
Arzamas	RU	accep	43.83992	55.39485	22 Nov 2019
Sojat	IN	building	73.66633	25.92493	06/22/2017, 00:00:00
Kovylkino	RU	accep	43.91385	54.03876	29 Aug 2013
Arles	FR	good	4.63031	43.67681	10 Nov 2013
Frenda	DZ	excellent	1.04945	35.06544	2020-10-30
Stockbridge	US	accep	-84.23381	33.54428	09/26/2013, 00:00:00
Farafenni	GM	excellent	-15.6	13.56667	2013/07/03
Pedro II	BR	maintenance	-41.45861	-4.42472	12/01/2021, 00:00:00
Busia	KE	average	34.11169	0.46005	10/08/2018, 00:00:00
Zhoucun	CN	good	117.81667	36.81667	09 Jun 2016
Sarandi	BR	excellent	-51.87389	-23.44361	02 Oct 2013
Ada	US	average	-96.67834	34.77453	19 Sep 2020
Carnot	CF	maintenance	15.87735	4.94273	2021/07/24
Loanda	BR	good	-53.13722	-22.92306	05/05/2014, 00:00:00
Casa Blanca	MX	building	-98.11889	19.04222	09/04/2013, 00:00:00
Besuki	ID	average	113.69785	-7.73379	13 Sep 2020
Tupelo	US	good	-88.70464	34.25807	08/06/2013, 00:00:00
Xiangtan	CN	average	112.9	27.85	2017-09-02
Ozersk	RU	average	60.70278	55.75556	2020-09-06
Kamina	CD	accep	24.99798	-8.73508	2016/06/30
Okahandja	NA	accep	16.91667	-21.98333	07/11/2019, 00:00:00
Afragola	IT	good	14.30935	40.92298	12/31/2021, 00:00:00
Shinshiro	JP	excellent	137.5	34.9	2022/01/08
Le Robert	MQ	average	-60.94228	14.67751	08/06/2020, 00:00:00
Kashira	RU	good	38.16694	54.84444	06/03/2019, 00:00:00
Thap Than	TH	average	99.89166	15.46063	30 Jul 2021
Split	HR	excellent	16.43915	43.50891	02/16/2020, 00:00:00
Novogrudok	BY	good	25.8191	53.5942	10/08/2021, 00:00:00
Maasin	PH	building	124.84472	10.13361	12/04/2019, 00:00:00
Scottsdale	US	maintenance	-111.89903	33.50921	15 Mar 2022
Santa Maria	US	excellent	-120.43572	34.95303	18 Oct 2013
Solntsevo	RU	building	37.38115	55.63711	2019/01/13
Tinaquillo	VE	average	-68.30472	9.91861	2013-03-24
Bergama	TR	accep	27.18052	39.12074	07/23/2022, 00:00:00
Pandua	IN	average	88.28637	23.07492	2013/08/02
el Camp de l'Arpa del Clot	ES	average	2.18247	41.41204	2022/06/26
Mesagne	IT	maintenance	17.80774	40.55851	09/16/2013, 00:00:00
Thomazeau	HT	good	-72.09391	18.65297	2017/10/11
Pointe-Claire	CA	average	-73.81669	45.44868	10/23/2017, 00:00:00
Tarkwa	GH	excellent	-1.98956	5.30383	2014-05-08
Jaruco	CU	excellent	-82.00919	23.04419	25 Feb 2019
Brentwood Estates	US	good	-86.77917	36.02506	07/29/2022, 00:00:00
Oldenzaal	NL	accep	6.92917	52.31333	30 Aug 2020
Wheelers Hill	AU	maintenance	145.18333	-37.9	2014-11-25
Kaukauna	US	excellent	-88.27205	44.27804	2020/06/14
Stade	DE	maintenance	9.47629	53.59337	2017/05/22
Muritiba	BR	maintenance	-39.25	-12.91667	2022/02/20
Rosemount	US	maintenance	-93.12577	44.73941	05/29/2020, 00:00:00
Pleasant Prairie	US	accep	-87.93341	42.55308	12 Jun 2017
Gainsborough	GB	maintenance	-0.76667	53.38333	24 Nov 2015
Ina	JP	good	137.95378	35.82756	2019/04/10
Gua Musang	MY	accep	101.96857	4.88441	09/18/2020, 00:00:00
Wacheng	CN	average	114.51667	33.78333	27 Dec 2014
Otegen Batyra	KZ	accep	77.0202	43.41949	05/03/2020, 00:00:00
Gates-North Gates	US	accep	-77.70066	43.16547	2015/05/14
Reutlingen	DE	accep	9.20427	48.49144	29 Dec 2016
Marburg an der Lahn	DE	excellent	8.77069	50.80904	12/05/2016, 00:00:00
Thap Than	TH	building	99.89166	15.46063	10/19/2019, 00:00:00
Mirriah	NE	accep	9.15013	13.70727	2016-07-13
Kantharalak	TH	average	104.64992	14.64056	02 Aug 2022
Vught	NL	accep	5.2875	51.65333	2019/06/03
Gingee	IN	accep	79.41727	12.25282	2019/08/04
Sainte-Catherine	CA	excellent	-73.58248	45.40008	10 Jun 2022
Tianfu	CN	building	122.05228	37.19723	2018-12-28
Oschatz	DE	accep	13.10984	51.30001	03/20/2022, 00:00:00
Beaconsfield	CA	good	-73.86586	45.43341	2013-02-09
Greenpoint	US	excellent	-73.95097	40.72371	2021/10/12
Otegen Batyra	KZ	accep	77.0202	43.41949	20 Oct 2020
Pilkhua	IN	building	77.656	28.71271	2020/06/15
Tinaquillo	VE	good	-68.30472	9.91861	2018-03-23
Chharra	IN	maintenance	78.40102	27.9247	2021-02-12
Itabirito	BR	average	-43.80139	-20.25333	05/28/2013, 00:00:00
Itaperuna	BR	excellent	-41.88778	-21.205	02 Jul 2017
Argungu	NG	excellent	4.52514	12.74482	05 Jan 2013
Sar-e Pul	AF	good	65.93249	36.21544	23 Jun 2017
Rwamagana	RW	building	30.4347	-1.9487	2020/05/11
Oschatz	DE	good	13.10984	51.30001	27 Nov 2021
Pontevedra	AR	maintenance	-58.70072	-34.74785	2013-05-05
Pameungpeuk	ID	excellent	107.60389	-7.01833	2016-02-02
Ken Caryl	US	excellent	-105.11221	39.57582	2016-11-17
Sydney	CA	excellent	-60.1831	46.1351	2021-03-06
Peabody	US	average	-70.92866	42.52787	2018/09/25
Crystal Lake	US	average	-88.3162	42.24113	2017-06-28
Larkana	PK	maintenance	68.21204	27.55898	2013/11/12
Kolomyagi	RU	excellent	30.28491	60.02427	2018-12-19
Carlos Barbosa	BR	accep	-51.50361	-29.2975	07 May 2016
Gainsborough	GB	excellent	-0.76667	53.38333	2021-07-22
Gilbert	US	average	-111.78903	33.35283	2014-11-11
Luena	AO	excellent	19.91667	-11.78333	11/14/2017, 00:00:00
Kenda	IN	average	86.51499	23.1959	2014/03/23
Bar-le-Duc	FR	average	5.16108	48.77275	27 Feb 2016
Redding	US	good	-122.39168	40.58654	10/06/2021, 00:00:00
Arbroath	GB	building	-2.58736	56.56317	2016/09/09
Saraktash	RU	average	56.36091	51.78771	2019-09-07
Acaponeta	MX	excellent	-105.36369	22.49396	2018-01-28
Kantharalak	TH	building	104.64992	14.64056	2019/04/13
Annaka	JP	good	138.89585	36.33011	2013-12-06
Le Chesnay	FR	accep	2.12213	48.8222	2016-06-05
Buynaksk	RU	accep	47.1192	42.819	2020-02-02
Tupiza	BO	good	-65.71875	-21.44345	2013-08-18
Yanliang	CN	maintenance	109.22921	34.65918	2018-09-01
Winsford	GB	accep	-2.52398	53.19146	2017/08/25
Bryn Mawr-Skyway	US	excellent	-122.24092	47.4943	2013-02-01
Zaozhuang	CN	excellent	117.55417	34.86472	06/01/2016, 00:00:00
Tudela	ES	good	-1.60452	42.06166	2015/09/04
Izluchinsk	RU	maintenance	76.92421	60.97944	01/16/2016, 00:00:00
Mount Hagen	PG	average	144.23058	-5.85746	31 Aug 2014
Davangere	IN	average	75.92694	14.46693	2019-12-03
Honda	CO	excellent	-74.73584	5.20856	2016-01-01
Bad Segeberg	DE	accep	10.30215	53.94313	05/10/2020, 00:00:00
Montecchio Maggiore-Alte Ceccato	IT	maintenance	11.412	45.50369	2015/02/05
Yingkou	CN	good	122.22833	40.66482	2014/08/12
Toyokawa	JP	excellent	137.4	34.81667	2015-02-05
Reda	PL	accep	18.34717	54.60528	2020-04-17
Ueno-ebisumachi	JP	average	136.13108	34.75856	2015-04-25
Bibiani	GH	accep	-2.31938	6.46346	2013/05/25
Mongo	TD	average	18.69303	12.18441	12/04/2012, 00:00:00
Ozersk	RU	maintenance	60.70278	55.75556	2014/02/21
Lagarto	BR	average	-37.65	-10.91722	2015/12/24
Hutto	US	good	-97.54667	30.5427	06/11/2015, 00:00:00
Leland	US	good	-78.04471	34.25628	01 Feb 2017
Villaquilambre	ES	average	-5.55835	42.64685	2020-11-28
Dharmapuri	IN	excellent	78.15794	12.1277	09 Apr 2018
El Achir	DZ	excellent	4.62744	36.06386	05/30/2014, 00:00:00
Fontenay-aux-Roses	FR	excellent	2.29275	48.79325	29 Dec 2021
Guaraciaba do Norte	BR	average	-40.7475	-4.16694	09/29/2021, 00:00:00
Radevormwald	DE	building	7.36027	51.20219	2020-06-26
Taunton	US	good	-71.08977	41.9001	14 Sep 2016
Chichicastenango	GT	maintenance	-91.11667	14.93333	29 Jun 2019
Wheelers Hill	AU	average	145.18333	-37.9	17 Feb 2018
Marly-le-Roi	FR	average	2.08333	48.86667	2021-04-27
Palmeira	BR	average	-50.00639	-25.42944	11 Jun 2013
Belle Glade	US	good	-80.66756	26.68451	18 Sep 2016
Gilbert	US	average	-111.78903	33.35283	2015-07-14
Miracema	BR	good	-42.19667	-21.41222	2020-10-30
Gudermes	RU	good	46.10925	43.35071	21 Apr 2020
Baulkham Hills	AU	maintenance	150.99292	-33.75881	19 Aug 2013
Nayoro	JP	accep	142.45778	44.35056	2015/04/29
Pune	IN	building	73.85535	18.51957	2015/07/20
Nidderau	DE	good	8.86704	50.23805	12/06/2021, 00:00:00
Biu	NG	maintenance	12.19458	10.61285	2014/12/09
Busia	KE	accep	34.11169	0.46005	2019/09/18
Leteri	IN	excellent	77.40858	24.05979	12/11/2012, 00:00:00
Voznesensk	UA	maintenance	31.33078	47.56494	09/30/2019, 00:00:00
Siegburg	DE	accep	7.20769	50.80019	08/29/2016, 00:00:00
Tharu Shah	PK	accep	68.11759	26.9423	20 Mar 2016
Kulai	MY	average	103.6032	1.6561	2017/12/09
Kirchlengern	DE	acceptable	8.63333	52.2	27 Dec 2018
Mesagne	IT	excellent	17.80774	40.55851	06/07/2019, 00:00:00
Verl	DE	maintenance	8.51667	51.88333	2019/03/14
Skalica	SK	excellent	17.22635	48.8449	2021-04-09
Kirchlengern	DE	excellent	8.63333	52.2	08/03/2016, 00:00:00
Oulmes	MA	acceptable	-6.00137	33.42585	02/07/2020, 00:00:00
Mesagne	IT	accep	17.80774	40.55851	2016-09-25
Juhaynah	EG	good	31.4976	26.67319	08/04/2022, 00:00:00
Yeysk	RU	maintenance	38.2739	46.7055	11 Sep 2019
Tharu Shah	PK	average	68.11759	26.9423	01/16/2020, 00:00:00
Nonsan	KR	accep	127.08472	36.20389	2019-10-01
Santa Gertrudes	BR	accep	-47.53028	-22.45667	2020/04/10
Okegawa	JP	good	139.55722	36	12 Jun 2013
Kovylkino	RU	building	43.91385	54.03876	2022/07/27
Timaru	NZ	acceptable	171.25364	-44.39672	12 Jan 2018
Guaraciaba do Norte	BR	good	-40.7475	-4.16694	2022-02-19
Ishim	RU	maintenance	69.49015	56.11281	2016/02/22
Port of Spain	TT	accep	-61.51889	10.66668	30 May 2022
San Lorenzo Acopilco	MX	accep	-99.32556	19.32889	10/15/2020, 00:00:00
Gero	JP	maintenance	137.23333	35.8	2017/02/09
Ada	US	maintenance	-96.67834	34.77453	09/28/2021, 00:00:00
Catania	IT	average	15.07041	37.49223	15 Apr 2014
Mikhaylovka	RU	excellent	43.2379	50.06	2018/09/20
Yablonovskiy	RU	excellent	38.94324	44.98901	02/19/2018, 00:00:00
Tortona	IT	maintenance	8.86374	44.89784	2021-10-04
Yakuplu	TR	excellent	28.67582	40.98894	2018/07/16
Brzeg	PL	excellent	17.4674	50.86079	25 Jun 2019
Sterling	US	maintenance	-77.4286	39.00622	2022/02/14
Jerada	MA	building	-2.16	34.31	2015-05-24
Barneveld	NL	good	5.58472	52.14	11/30/2021, 00:00:00
Guanajuato	MX	maintenance	-101.2591	21.01858	12 Dec 2018
Iron River	US	average	-88.64235	46.09273	31 Jul 2014
Guanajuato	MX	accep	-101.2591	21.01858	20 Sep 2018
Talisay	PH	average	122.9666	10.7375	2019/06/24
Ajdabiya	LY	building	20.22625	30.75545	06/12/2017, 00:00:00
Encinitas	US	average	-117.29198	33.03699	2013/09/02
Reutlingen	DE	maintenance	9.20427	48.49144	2016-02-12
Ragusa	IT	good	14.72443	36.92574	2018/10/01
Kireyevsk	RU	accep	37.92792	53.93361	2015-09-24
Cavaillon	FR	average	5.03586	43.83125	2022/02/01
Foshan	CN	good	113.13148	23.02677	2020-05-05
Campobasso	IT	acceptable	14.66737	41.55947	2017/06/18
Keizer	US	excellent	-123.02621	44.99012	2017/11/27
Split	HR	building	16.43915	43.50891	01/18/2018, 00:00:00
Hendala	LK	good	79.883	6.9909	2012/11/14
Ozersk	RU	maintenance	60.70278	55.75556	2019/05/01
Stupino	RU	accep	38.07083	54.90083	03/02/2020, 00:00:00
Harstad	NO	good	16.54165	68.79833	23 Nov 2019
Varadero	CU	excellent	-81.24441	23.15678	26 Nov 2012
Mokopane	ZA	building	29.00974	-24.19436	2018-07-24
Bibiani	GH	excellent	-2.31938	6.46346	27 Feb 2013
Huntley	US	average	-88.42814	42.16808	14 Nov 2021
Sambalpur	IN	accep	83.97573	21.46527	04/13/2015, 00:00:00
Jersey City	US	good	-74.07764	40.72816	2015-07-23
Greenpoint	US	excellent	-73.95097	40.72371	03 Jun 2020
Bhit Shah	PK	excellent	68.49143	25.80565	12/24/2015, 00:00:00
Muritiba	BR	maintenance	-39.25	-12.91667	2013-09-07
Tver	RU	accep	35.90057	56.85836	07 Oct 2019
Tupiza	BO	excellent	-65.71875	-21.44345	12/27/2020, 00:00:00
Paracho de Verduzco	MX	building	-102.04897	19.64745	14 Jun 2016
Silvan	TR	building	41.00817	38.13708	14 Mar 2017
Malakhovka	RU	building	38.02486	55.64776	2013/01/13
Strood	GB	accep	0.47713	51.39323	2014-10-31
Tonota	BW	good	27.46153	-21.44236	12/07/2020, 00:00:00
Gauting	DE	maintenance	11.37703	48.06919	2021/04/19
Guli	CN	building	120.03308	28.88162	11/26/2016, 00:00:00
Mianwali	PK	good	71.52847	32.57756	2016-09-26
Saharsa	IN	building	86.59611	25.87498	2013/08/12
Resplendor	BR	accep	-41.25528	-19.32556	2019/10/09
Gaziantep	TR	accep	37.3825	37.05944	2013/10/11
Nutley	US	accep	-74.15987	40.82232	11/03/2016, 00:00:00
Jashpurnagar	IN	building	84.13864	22.88783	2015/09/29
Fontenay-aux-Roses	FR	excellent	2.29275	48.79325	28 Dec 2019
Likhobory	RU	good	37.56667	55.85	02 May 2018
Sceaux	FR	good	2.29026	48.77644	2014/09/05
Middletown	US	good	-71.29144	41.54566	12 Oct 2021
Fort Washington	US	average	-77.02303	38.70734	2021/02/27
Zhuangyuan	CN	average	120.82747	37.30553	2020-12-16
Southsea	GB	maintenance	-1.08593	50.79205	2016/06/03
Fujioka	JP	maintenance	139.07204	36.24624	14 May 2019
Granger	US	maintenance	-86.11084	41.75338	11/29/2012, 00:00:00
American Canyon	US	good	-122.2608	38.17492	2021-11-21
Westchester	US	maintenance	-87.882	41.85059	2014/11/08
Gifhorn	DE	good	10.5511	52.47774	2016/07/04
San Gabriel	US	maintenance	-118.10583	34.09611	2021/09/17
Shimotoda	JP	good	139.6853	35.815	2021/09/24
Barneveld	NL	maintenance	5.58472	52.14	07 Oct 2014
Canton	US	good	-83.48216	42.30865	2020-06-25
Voznesensk	UA	accep	31.33078	47.56494	2013-04-13
Davangere	IN	excellent	75.92694	14.46693	26 Jun 2017
Gronau	DE	building	7.02238	52.21099	15 Mar 2020
Tucano	BR	accep	-38.79084	-10.95817	2022-02-23
Rudolstadt	DE	accep	11.34046	50.72043	2013-10-05
Larkana	PK	good	68.21204	27.55898	09/06/2017, 00:00:00
Rwamagana	RW	building	30.4347	-1.9487	04 Jan 2022
Dharmapuri	IN	good	78.15794	12.1277	28 Nov 2015
Durazno	UY	excellent	-56.52361	-33.38056	2022/02/28
Reda	PL	average	18.34717	54.60528	2019/02/21
Baki	SO	good	43.38531	9.89206	03/19/2015, 00:00:00
Soledade	BR	average	-52.51028	-28.81833	23 Sep 2017
Fontenay-aux-Roses	FR	average	2.29275	48.79325	2020/11/01
San Carlos	CO	excellent	-75.69947	8.79577	05/18/2021, 00:00:00
Santa Maria	US	good	-120.43572	34.95303	10/16/2012, 00:00:00
Wesseling	DE	average	6.9747	50.82709	12/04/2019, 00:00:00
Bavly	RU	accep	53.26023	54.39304	2022/02/24
Majene	ID	average	118.9707	-3.5403	05/11/2015, 00:00:00
Ilopango	SV	accep	-89.10944	13.70167	2014-06-05
Bushey	GB	average	-0.36053	51.64316	01 May 2022
Castelfranco Emilia	IT	excellent	11.04979	44.59445	2021-12-11
Poulton-le-Fylde	GB	good	-2.98333	53.83333	04/05/2022, 00:00:00
Volokolamsk	RU	excellent	35.96944	56.03361	2021/02/27
Cheraga	DZ	excellent	2.95924	36.76775	10/25/2013, 00:00:00
Guaraciaba do Norte	BR	excellent	-40.7475	-4.16694	2013/10/06
San Gabriel	US	maintenance	-118.10583	34.09611	20 Jul 2020
Smolyan	BG	good	24.71204	41.57439	12 Oct 2019
Gero	JP	excellent	137.23333	35.8	2018/10/12
Antipolo	PH	maintenance	121.12251	14.62578	10/05/2013, 00:00:00
Poulton-le-Fylde	GB	accep	-2.98333	53.83333	2014/01/15
Norwalk	US	acceptable	-82.61573	41.24255	06 Jun 2022
Roslavl’	RU	excellent	32.86389	53.95278	2020-04-11
Thenia	DZ	excellent	3.55665	36.72544	03 Sep 2015
Aschaffenburg	DE	good	9.15214	49.97704	2020/05/01
Ishim	RU	accep	69.49015	56.11281	2015-12-11
Sishui	CN	excellent	117.27583	35.64889	03/25/2020, 00:00:00
Tucano	BR	excellent	-38.79084	-10.95817	2014-06-07
Sirsi	IN	average	74.83554	14.62072	2022/04/18
Naushahra Virkan	PK	good	73.97117	31.96258	11/16/2018, 00:00:00
Franceville	GA	good	13.58357	-1.63333	2018/04/11
Toba	JP	maintenance	136.84186	34.4833	2022-03-28
Ciudad Guayana	VE	good	-62.64102	8.35122	20 Feb 2021
Alwaye	IN	building	76.35484	10.10649	2014-07-07
Severodvinsk	RU	good	39.8302	64.5635	11/01/2018, 00:00:00
Hrazdan	AM	average	44.7662	40.49748	04/27/2019, 00:00:00
Talavera de la Reina	ES	accep	-4.83076	39.96348	22 Mar 2014
Rhosllanerchrugog	GB	accep	-3.05814	53.00974	01/22/2013, 00:00:00
Gainsborough	GB	excellent	-0.76667	53.38333	2018-03-01
Sainte-Catherine	CA	good	-73.58248	45.40008	2018/12/28
Yingkou	CN	average	122.22833	40.66482	12 Jul 2013
Darreh Shahr	IR	accep	47.3799	33.14447	04 Jul 2017
Iquitos	PE	good	-73.25383	-3.74912	09 Oct 2020
Scottsdale	US	maintenance	-111.89903	33.50921	2020/09/14
Phanat Nikhom	TH	average	101.18445	13.44581	2019-04-16
Sharypovo	RU	acceptable	89.20083	55.54028	02/26/2015, 00:00:00
Tyoply Stan	RU	accep	37.49338	55.62047	2021/10/12
Cowes	GB	accep	-1.29772	50.76306	22 Jun 2018
Miracema	BR	excellent	-42.19667	-21.41222	05/14/2017, 00:00:00
Batu Feringgi	MY	maintenance	100.24529	5.4709	2018-06-25
Sonzacate	SV	building	-89.71472	13.73417	2021/12/09
Le Robert	MQ	excellent	-60.94228	14.67751	2022/06/09
Vienne	FR	excellent	4.86667	45.51667	2019-04-06
Petrozavodsk	RU	accep	34.34691	61.78491	10/30/2012, 00:00:00
Villabate	IT	accep	13.44275	38.07789	2022/04/18
Nanpiao	CN	good	120.74792	41.09822	2019-09-24
Sunnyside	US	accep	-120.00865	46.32374	19 Apr 2017
Rosedale	US	good	-76.51552	39.32011	2019/11/26
Southsea	GB	average	-1.08593	50.79205	2017/08/21
Acworth	US	excellent	-84.67837	34.06635	2013/09/13
Progreso	MX	average	-89.66123	21.28306	2014-01-15
Kuvandyk	RU	good	57.3552	51.4781	22 Nov 2014
Jalal-Abad	KG	maintenance	73	40.93333	2016-11-12
Shahre Jadide Andisheh	IR	building	51.0193	35.6803	2019-11-19
Novelda	ES	building	-0.76773	38.38479	2013-05-19
Binnish	SY	excellent	36.7138	35.95664	2015-04-22
Gauting	DE	excellent	11.37703	48.06919	09/11/2014, 00:00:00
Harstad	NO	excellent	16.54165	68.79833	2021/10/06
Tucano	BR	building	-38.79084	-10.95817	03/14/2014, 00:00:00
Pujali	IN	excellent	88.1453	22.4711	07 Nov 2016
Meizhou	CN	good	116.11768	24.28859	2022/07/22
Barneveld	NL	accep	5.58472	52.14	2013/06/08
Yingkou	CN	excellent	122.22833	40.66482	05/18/2020, 00:00:00
High Wycombe	GB	average	-0.74934	51.62907	2021-05-12
Brighton Beach	US	average	-73.95958	40.57788	07/28/2022, 00:00:00
Albufeira	PT	building	-8.2503	37.08819	2020/06/20
Udumalaippettai	IN	excellent	77.24779	10.58806	05/07/2018, 00:00:00
Yanliang	CN	good	109.22921	34.65918	12 Apr 2017
Paredes	PT	maintenance	-8.33147	41.20485	2014-03-04
West Des Moines	US	average	-93.71133	41.57721	04/09/2021, 00:00:00
Minas de Marcona	PE	average	-75.11028	-15.21194	2021/09/24
Tonga	CM	excellent	10.7	4.96667	2013-03-10
La Trinidad	PH	good	120.5875	16.455	05 Dec 2014
Punta Gorda Isles	US	average	-82.07842	26.91756	04/18/2022, 00:00:00
Gifhorn	DE	good	10.5511	52.47774	2015-05-02
Lal Bahadur Nagar	IN	maintenance	78.55757	17.34769	07/27/2015, 00:00:00
