longitude	revision	QoS	code	station	latitude
8.70745	24 Dec 2015	good	DE	Bretten	49.03685
18.69303	29 Mar 2013	accep	TD	Mongo	12.18441
24.71204	03/26/2019, 00:00:00	average	BG	Smolyan	41.57439
-0.29825	04/05/2016, 00:00:00	excellent	GB	Surbiton	51.39148
-0.76773	2022-08-02	excellent	ES	Novelda	38.38479
-87.66561	03/04/2019, 00:00:00	average	US	Lower West Side	41.8542
115.88782	2017/05/21	accep	AU	Willetton	-32.05251
-73.20483	2020/11/22	accep	US	Bridgeport	41.16704
128.9889	2019-04-10	good	KR	T’aebaek	37.1759
-117.14392	2019/06/29	good	US	Mira Mesa	32.9156
32.86389	15 Mar 2014	excellent	RU	Roslavl’	53.95278
-52.2	2013-10-08	average	BR	Marau	-28.44917
8.96317	2017/05/06	building	DE	Hechingen	48.35149
11.5	2018/07/21	average	CM	Mbalmayo	3.51667
86.79271	2021/09/30	average	IN	Madhipura	25.92127
-62.64102	2017-08-09	average	VE	Ciudad Guayana	8.35122
-4.21376	2021-01-19	average	GB	Rutherglen	55.82885
78.55757	30 Mar 2016	good	IN	Lal Bahadur Nagar	17.34769
109.3243	2014/12/17	average	ID	Randudongkal	-7.0981
29.65806	26 Dec 2018	good	TZ	Mwandiga	-4.83
12.16179	03/23/2018, 00:00:00	maintenance	DE	Landshut	48.52961
-121.74052	08/13/2016, 00:00:00	good	US	Davis	38.54491
-60.94228	12/01/2015, 00:00:00	building	MQ	Le Robert	14.67751
24.04142	2018/02/09	good	LT	Alytus	54.39635
-46.99583	2018-02-09	accep	BR	Valinhos	-22.97056
75.96976	12/22/2020, 00:00:00	good	IN	Gajendragarh	15.73628
36.7138	25 Jan 2013	building	SY	Binnish	35.95664
34.75699	10/20/2016, 00:00:00	average	IL	Rahat	31.39547
144.23058	2013-03-04	building	PG	Mount Hagen	-5.85746
-75.64963	11/26/2013, 00:00:00	good	US	Pottstown	40.24537
-122.24064	2020-09-23	average	US	Bothell West	47.80527
145.18333	2017-02-28	excellent	AU	Wheelers Hill	-37.9
12.87117	01 Jul 2020	maintenance	CZ	Karlovy Vary	50.23271
8.86374	2022/08/01	average	IT	Tortona	44.89784
35.90057	2020-10-30	excellent	RU	Tver	56.85836
-82.61573	2019-04-27	accep	US	Norwalk	41.24255
18.69303	07/22/2017, 00:00:00	average	TD	Mongo	12.18441
-47.53028	27 Mar 2016	building	BR	Santa Gertrudes	-22.45667
114.68333	11 Oct 2012	accep	CN	Heyuan	23.73333
2.18967	23 Mar 2017	accep	FR	Rueil-Malmaison	48.8765
-6.90656	2019/07/14	excellent	MA	Temara	33.92866
128.63083	2013-08-26	good	KR	Eisen	36.82167
18.84	2022/06/05	accep	ME	Budva	42.28639
-72.27814	2019/03/03	average	US	Keene	42.93369
-78.04471	2015-06-30	average	US	Leland	34.25628
29.24152	2015/05/18	good	ZA	Standerton	-26.93366
34.02537	16 May 2016	accep	TR	Aksaray	38.37255
-122.2608	10/09/2012, 00:00:00	good	US	American Canyon	38.17492
-87.882	24 Jan 2014	average	US	Westchester	41.85059
-2.12139	2015/07/06	accep	GB	Brierley Hill	52.48173
77.9129	24 Nov 2016	excellent	IN	Narwar	25.6439
-70.6996	30 Dec 2012	excellent	CL	San Bernardo	-33.59217
-87.45476	12/29/2019, 00:00:00	average	US	Schererville	41.47892
12.87117	15 Jan 2018	building	CZ	Karlovy Vary	50.23271
-70.92866	25 May 2017	average	US	Peabody	42.52787
110.8405	2014-07-25	good	ID	Kudus	-6.8048
5.22778	2021/05/03	accep	NL	Culemborg	51.955
-73.75335	08 Apr 2013	maintenance	CA	Dorval	45.4473
37.56667	2021-02-27	good	RU	Likhobory	55.85
-88.31476	26 Jan 2014	average	US	Murray	36.61033
-82.90375	06/26/2016, 00:00:00	average	US	Dublin	32.54044
-15.6	06/20/2019, 00:00:00	average	GM	Farafenni	13.56667
8.88104	06/20/2018, 00:00:00	accep	IT	Malnate	45.79377
-72.22625	2014/03/14	good	HT	Croix-des-Bouquets	18.57677
121.3152	2018/08/21	average	PH	Calauan	14.14989
29.00974	28 May 2016	average	ZA	Mokopane	-24.19436
-79.59415	09/30/2016, 00:00:00	accep	EC	Milagro	-2.13404
8.55552	2013-06-24	building	IT	Sassari	40.72586
-74.07764	2017-10-11	excellent	US	Jersey City	40.72816
-81.26367	2018/03/16	average	US	Deltona	28.90054
43.91385	2020-07-12	average	RU	Kovylkino	54.03876
-1.325	2013/08/07	accep	ES	Jumilla	38.47917
-88.42814	2021-04-27	good	US	Huntley	42.16808
24.71204	2019-08-22	building	BG	Smolyan	41.57439
73.7553	09/06/2014, 00:00:00	excellent	IN	Calangute	15.5439
-4.10734	09 Mar 2016	average	ES	Puertollano	38.68712
4.62744	2013/07/23	good	DZ	El Achir	36.06386
88.28637	11/25/2018, 00:00:00	average	IN	Pandua	23.07492
8.96317	02/22/2013, 00:00:00	average	DE	Hechingen	48.35149
13.39954	2020-06-16	good	IT	Falconara Marittima	43.62558
109.22921	2019-05-31	accep	CN	Yanliang	34.65918
123.50266	2017-03-05	maintenance	CN	Hushitai	41.94175
-37.65	02/27/2014, 00:00:00	excellent	BR	Lagarto	-10.91722
-122.24092	2013/07/09	average	US	Bryn Mawr-Skyway	47.4943
4.07601	05/31/2015, 00:00:00	accep	BE	Denderleeuw	50.88506
-80.38297	21 Sep 2016	excellent	CA	Norfolk County	42.8334
68.49143	04/28/2015, 00:00:00	good	PK	Bhit Shah	25.80565
85.37752	2018-06-02	accep	IN	Barbil	22.10194
27.46153	06 Dec 2016	excellent	BW	Tonota	-21.44236
118.53333	2020/09/30	average	CN	Pucheng	27.92333
2.44892	06/25/2020, 00:00:00	average	FR	Gonesse	48.98693
-89.99038	2016/02/28	accep	US	Fairview Heights	38.58894
8.86374	2015-10-22	good	IT	Tortona	44.89784
-113.3187	05/08/2022, 00:00:00	good	CA	Sherwood Park	53.51684
26.01649	08/10/2019, 00:00:00	excellent	RO	Sector 6	44.43579
-88.70464	08/29/2017, 00:00:00	building	US	Tupelo	34.25807
14.66737	06/02/2013, 00:00:00	accep	IT	Campobasso	41.55947
-61.51889	12/16/2016, 00:00:00	excellent	TT	Port of Spain	10.66668
51.67462	05/19/2020, 00:00:00	average	IR	Isfahan	32.65246
127.08472	15 Dec 2016	average	KR	Nonsan	36.20389
34.37389	01/16/2015, 00:00:00	good	TR	Sungurlu	40.1675
14.43865	2016-10-27	maintenance	IT	Somma Vesuviana	40.87329
-3.53261	2022/07/13	excellent	ES	San Fernando de Henares	40.42386
103.81667	2020/10/21	average	MY	Ulu Tiram	1.6
133.42825	2022/08/11	excellent	RU	Lesozavodsk	45.47885
-90.10674	2021/03/29	good	US	Estelle	29.84576
2.08333	2022-09-23	building	FR	Marly-le-Roi	48.86667
77.24779	11/28/2014, 00:00:00	excellent	IN	Udumalaippettai	10.58806
31.4976	28 Jun 2016	maintenance	EG	Juhaynah	26.67319
-73.97069	2019-10-22	average	US	Kensington	40.64621
49.62251	2020/11/05	accep	SA	Al Jubayl	27.0174
9.15214	08/10/2016, 00:00:00	average	DE	Aschaffenburg	49.97704
35.7	2019-08-20	average	TZ	Iringa	-7.76667
72.68533	18 Oct 2020	accep	IN	Kheda	22.75218
-81.56929	2021-05-06	accep	US	Collinwood	41.55838
111.50861	26 Jan 2020	maintenance	CN	Danjiangkou	32.54278
91.61356	02/13/2013, 00:00:00	good	IN	Rangia	26.44931
121.96361	2020-05-26	good	PH	Recodo	6.95194
43.83992	2016/09/15	excellent	RU	Arzamas	55.39485
-91.58045	2018-11-19	good	US	Coralville	41.6764
-74.26419	24 Mar 2015	average	CO	Madrid	4.73245
-1.60452	07/16/2014, 00:00:00	average	ES	Tudela	42.06166
-34.88111	2018/02/21	average	BR	Recife	-8.05389
13.44275	2020/04/21	building	IT	Villabate	38.07789
115.88782	07/27/2013, 00:00:00	good	AU	Willetton	-32.05251
-35.71667	06 Apr 2019	average	BR	Catende	-8.66667
6.26764	2019/06/13	maintenance	NG	Yenagoa	4.92675
102.05461	21 Dec 2013	average	TH	Tak Bai	6.25947
-4.22398	09/07/2022, 00:00:00	accep	GB	Inverness	57.47908
-73.99681	2016-12-14	good	US	Dumont	40.94065
-49.27306	30 Oct 2013	building	BR	Curitiba	-25.42778
-1.06667	10/20/2021, 00:00:00	average	GB	Selby	53.78333
135.6	05 Nov 2020	accep	JP	Yao	34.61667
-91.58045	04/18/2015, 00:00:00	maintenance	US	Coralville	41.6764
-6.00137	01/09/2019, 00:00:00	accep	MA	Oulmes	33.42585
-100.88023	21 Dec 2013	building	MX	Salvatierra	20.21322
10.30215	2017/09/14	average	DE	Bad Segeberg	53.94313
152.70493	14 Jul 2020	maintenance	AU	Maryborough	-25.54073
135.6	2016-11-26	maintenance	JP	Yao	34.61667
15.00913	2013-11-14	average	IT	Misterbianco	37.51803
1.00288	2016/08/28	excellent	FR	Elbeuf	49.28669
34.4587	03/24/2016, 00:00:00	average	MW	Salima	-13.7804
76.35484	2016/11/28	accep	IN	Alwaye	10.10649
122.8637	2014-11-30	maintenance	PH	Santa Catalina	9.3337
-82.61573	18 Sep 2015	accep	US	Norwalk	41.24255
114.51667	2018-07-05	maintenance	CN	Wacheng	33.78333
-74.07764	11/14/2015, 00:00:00	good	US	Jersey City	40.72816
34.75699	2020-06-30	building	IL	Rahat	31.39547
34.4587	2020-09-07	building	MW	Salima	-13.7804
2.44892	2015-11-11	excellent	FR	Gonesse	48.98693
10.18003	2015-09-19	excellent	LY	Ghat	24.96334
-74.28459	2016-06-28	building	US	Woodbridge	40.5576
8.77155	06/06/2021, 00:00:00	maintenance	DE	Karben	50.23019
2.18247	2012-10-18	accep	ES	el Camp de l'Arpa del Clot	41.41204
7.11393	08 Jul 2020	accep	DE	Burscheid	51.08468
2.45012	2016/05/14	maintenance	FR	Bobigny	48.90982
117.63083	2013-09-07	excellent	CN	Pingyi	35.50056
-78.04471	24 Oct 2013	building	US	Leland	34.25628
9.15214	23 Dec 2019	accep	DE	Aschaffenburg	49.97704
26.97253	10/20/2016, 00:00:00	good	UA	Krasyliv	49.65186
-111.90466	07 Jan 2020	average	US	Saratoga Springs	40.34912
126.28333	04/11/2020, 00:00:00	average	CN	Shuangcheng	45.35
-87.88754	30 Mar 2021	excellent	US	Bourbonnais	41.15376
112.23109	09/10/2014, 00:00:00	excellent	ID	Diwek	-7.57897
-52.67056	2022-06-21	excellent	BR	Pato Branco	-26.22861
-52.20639	12/28/2021, 00:00:00	building	BR	Altamira	-3.20333
12.16179	15 Jul 2020	good	DE	Landshut	48.52961
85.83636	01 May 2016	good	IN	Dalsingh Sarai	25.66795
-6.00137	2019/03/11	good	MA	Oulmes	33.42585
-103.5687	2018-03-17	maintenance	MX	Zacoalco de Torres	20.22816
4.92235	2015-12-08	accep	NG	Efon-Alaaye	7.65649
76.0586	21 Jan 2013	building	IN	Hungund	16.06213
97.01124	2020/06/21	accep	MM	Kyaikto	17.30858
1.00288	11/11/2016, 00:00:00	good	FR	Elbeuf	49.28669
116.82887	2022-01-23	accep	ID	Balikpapan	-1.26753
-111.78903	04/12/2016, 00:00:00	good	US	Gilbert	33.35283
-25.66689	2012/10/28	building	PT	Ponta Delgada	37.74615
-76.88442	29 Jun 2015	average	US	Harrisburg	40.2737
-5.53715	2019-07-02	good	GB	Penzance	50.11861
-95.44744	2017/06/10	good	US	Fresno	29.53885
-99.73314	04/17/2022, 00:00:00	building	US	Abilene	32.44874
99.96667	2017-07-28	building	TH	Nakhon Si Thammarat	8.43333
-1.32471	02/28/2022, 00:00:00	average	GB	Newbury	51.40148
-117.29198	01/16/2017, 00:00:00	excellent	US	Encinitas	33.03699
-0.18333	2014/03/08	average	ES	Gandia	38.96667
109.22921	03/06/2022, 00:00:00	accep	CN	Yanliang	34.65918
45.36561	2017/04/28	good	AZ	Qazax	41.09246
-80.31727	2017-04-12	accep	US	Kendall	25.67927
-46.99583	14 Jul 2021	good	BR	Valinhos	-22.97056
60.70278	19 Nov 2018	maintenance	RU	Ozersk	55.75556
113.69785	05/03/2020, 00:00:00	maintenance	ID	Besuki	-7.73379
-71.10077	2017-02-13	good	DO	Santa Cruz de Barahona	18.20854
29.91582	2016/06/07	building	EG	Alexandria	31.20176
24.99798	18 Sep 2013	average	CD	Kamina	-8.73508
120.57224	2017-05-21	accep	PH	Burgos	15.72892
-13.2356	28 Oct 2019	accep	SL	Freetown	8.48714
124.3697	09/04/2017, 00:00:00	accep	PH	Jagna	9.6531
8.52462	05/28/2022, 00:00:00	excellent	CH	Adliswil	47.30997
29.26639	2020/08/28	building	TR	Serinhisar	37.58105
100.48528	07/03/2022, 00:00:00	good	TH	Bang Ban	14.37395
86.79271	02/16/2021, 00:00:00	excellent	IN	Madhipura	25.92127
8.51667	07 Dec 2020	accep	DE	Verl	51.88333
144.09638	08 Jan 2013	excellent	JP	Motomachi	43.82634
77.9129	01/04/2022, 00:00:00	average	IN	Narwar	25.6439
5.4384	2018/06/15	accep	FR	Marseille 11	43.2907
11.37703	2012-10-20	good	DE	Gauting	48.06919
-40.7475	2016/08/05	excellent	BR	Guaraciaba do Norte	-4.16694
19.91667	2022-04-03	accep	AO	Luena	-11.78333
-79.62603	2017/05/19	excellent	PA	Veracruz	8.88988
77.5609	11/15/2019, 00:00:00	maintenance	IN	Kangayam	11.00599
-113.3187	08/16/2016, 00:00:00	excellent	CA	Sherwood Park	53.51684
-58.38341	2017-08-15	building	AR	Barracas	-34.64966
8.61839	2020/07/11	average	DE	Bensheim	49.68369
-73.89125	2013-08-03	good	US	Cypress Hills	40.67705
99.95469	03/22/2015, 00:00:00	accep	TH	Damnoen Saduak	13.51825
37.49338	12/10/2019, 00:00:00	maintenance	RU	Tyoply Stan	55.62047
9.0027	23 Aug 2013	excellent	NG	Gaya	11.86064
111.4834	2014/03/28	average	RU	Aykhal	65.93381
-74.15987	23 Oct 2015	average	US	Nutley	40.82232
-4.1	2021-03-20	good	FR	Quimper	48
11.04979	01 Jul 2018	good	IT	Castelfranco Emilia	44.59445
-75.23266	02 Mar 2015	accep	US	Utica	43.1009
-60.93173	2014/01/17	building	AR	Esperanza	-31.4488
113.69785	22 Aug 2020	excellent	ID	Besuki	-7.73379
-1.08593	2021-01-18	good	GB	Southsea	50.79205
86.59509	2017-10-29	building	IN	Supaul	26.11527
-1.99421	12/15/2013, 00:00:00	good	GB	Devizes	51.35084
117.7	2021/11/22	maintenance	CN	Dongdu	35.85
4.92235	10 Sep 2022	average	NG	Efon-Alaaye	7.65649
-105.11221	03/31/2014, 00:00:00	excellent	US	Ken Caryl	39.57582
-78.19444	09 Jul 2014	maintenance	US	Front Royal	38.91817
-71.08977	2020-10-29	maintenance	US	Taunton	41.9001
59.4839	16 Apr 2017	accep	RU	Kachkanar	58.7002
77.5609	12/13/2013, 00:00:00	good	IN	Kangayam	11.00599
138.31667	06/13/2020, 00:00:00	excellent	JP	Suzaka	36.65
42.85693	2020-02-01	maintenance	TR	Patnos	39.22493
-95.30106	04 May 2013	good	US	Tyler	32.35126
-81.38758	09/24/2017, 00:00:00	maintenance	US	Palm Valley	30.17746
37.73333	2013-06-04	maintenance	TZ	Same	-4.06667
55.4504	07/07/2020, 00:00:00	excellent	RE	Saint-Denis	-20.88231
125.21972	11/20/2014, 00:00:00	accep	TL	Maliana	-8.99167
9.02596	2018-09-10	good	DE	Albstadt	48.21644
10.18003	2021/10/29	excellent	LY	Ghat	24.96334
74.3092	2017/01/11	accep	IN	Rajaori	33.37526
-113.3187	2018/10/10	excellent	CA	Sherwood Park	53.51684
29.24152	11 May 2021	excellent	ZA	Standerton	-26.93366
113.69785	2018-05-24	excellent	ID	Besuki	-7.73379
26.97253	12/24/2012, 00:00:00	average	UA	Krasyliv	49.65186
27.06365	03/31/2013, 00:00:00	good	UA	Shepetivka	50.18545
-7.32097	2019/11/21	average	PT	Custoias	41.1053
-87.88754	2012/10/09	accep	US	Bourbonnais	41.15376
4.52514	14 Aug 2018	good	NG	Argungu	12.74482
75.11937	15 Sep 2021	average	IN	Parola	20.88098
-76.72803	2018/11/15	accep	US	Woodlawn	39.32288
137.36215	2014/12/23	maintenance	JP	Namerikawa	36.75965
75.92694	06/28/2020, 00:00:00	maintenance	IN	Davangere	14.46693
-95.44744	2017-06-13	average	US	Fresno	29.53885
20.91361	2017/05/03	building	MK	Bogovinje	41.92361
72.85107	2021/09/10	accep	IN	Bhayandar	19.30157
12.1369	2014-07-07	accep	DE	Zeitz	51.04962
-73.9625	2020-11-28	accep	US	Morningside Heights	40.81
30.4347	02/14/2017, 00:00:00	building	RW	Rwamagana	-1.9487
81.54855	11/02/2013, 00:00:00	good	IN	Jais	26.2649
-1.60452	15 Dec 2015	average	ES	Tudela	42.06166
-91.58045	05/14/2017, 00:00:00	good	US	Coralville	41.6764
-6.03731	2016-01-26	building	ES	San Juan de Aznalfarache	37.35813
24.14662	09 Apr 2018	accep	FI	Tornio	65.84811
-81.23621	2016/08/18	average	US	Lexington	33.98154
-1.47217	2022/07/02	accep	GB	Chapletown	53.46506
12.1369	04/30/2020, 00:00:00	maintenance	DE	Zeitz	51.04962
72.68533	2018/05/07	average	IN	Kheda	22.75218
71.21169	08 Nov 2020	maintenance	IN	Amreli	21.59983
116.11768	2013/07/03	accep	CN	Meizhou	24.28859
-71.05977	2018/11/16	good	US	Boston	42.35843
-5.53715	01/20/2021, 00:00:00	excellent	GB	Penzance	50.11861
123.758	2020-06-03	maintenance	PH	Naga	10.20898
34.75699	29 May 2016	good	IL	Rahat	31.39547
8.73812	08 Apr 2017	good	FR	Ajaccio	41.91886
37.38115	25 May 2017	excellent	RU	Solntsevo	55.63711
-1.06667	2018/04/18	good	GB	Selby	53.78333
13.39954	08/09/2021, 00:00:00	average	IT	Falconara Marittima	43.62558
99.1625	12/19/2013, 00:00:00	good	ID	Tebingtinggi	3.3285
7.02238	17 Apr 2020	excellent	DE	Gronau	52.21099
24.75	2015/08/13	average	LT	Ukmerge	55.25
138.31667	11/21/2013, 00:00:00	accep	JP	Suzaka	36.65
101.44167	2013/07/07	excellent	ID	Pekanbaru	0.51667
-95.36969	16 Dec 2018	accep	US	Muskogee	35.74788
-38.79084	01 Aug 2018	average	BR	Tucano	-10.95817
2.95924	2013-03-19	good	DZ	Cheraga	36.76775
-74.15987	2019-08-17	average	US	Nutley	40.82232
38.94324	2018-11-01	good	RU	Yablonovskiy	44.98901
-87.93341	24 Oct 2013	accep	US	Pleasant Prairie	42.55308
-80.22588	2019-04-01	good	US	North Lauderdale	26.2173
137.4	10/01/2018, 00:00:00	accep	JP	Toyokawa	34.81667
120.74792	24 Sep 2022	average	CN	Nanpiao	41.09822
39.25	01 Dec 2016	average	TZ	Magomeni	-6.8
69.01354	05 Jul 2015	maintenance	TJ	Vahdat	38.55632
70.91106	05/26/2013, 00:00:00	building	PK	Alipur	29.38242
110.71639	26 Jun 2019	average	ID	Ngemplak	-7.54972
-73.81669	2020-07-23	average	CA	Pointe-Claire	45.44868
79.5286	2017-01-18	excellent	IN	Haldwani	29.22254
-119.48568	14 Jul 2020	accep	CA	Kelowna	49.88307
74.80555	2021/02/11	building	IN	Srinagar	34.08565
78.25795	2021/02/26	building	IN	Tiruppuvanam	9.82564
-120.93549	2022/07/31	average	US	Riverbank	37.73604
34.3869	2012/12/13	building	SD	Ar Ruseris	11.8659
-82.35176	01 Oct 2017	good	US	Sun City Center	27.71809
42.85693	2014/09/09	accep	TR	Patnos	39.22493
-0.59543	04/27/2019, 00:00:00	accep	FR	Talence	44.80477
122.74754	2021-08-20	good	CN	Haicheng	40.85158
128.9889	02 Aug 2013	maintenance	KR	T’aebaek	37.1759
140.73667	28 Nov 2016	maintenance	JP	Hakodate	41.77583
73	2019/08/23	good	KG	Jalal-Abad	40.93333
-0.33525	2019-12-07	good	GB	Kingston upon Hull	53.7446
74.12286	2014-03-17	average	PK	Kanganpur	30.76468
73.7553	09/22/2021, 00:00:00	average	IN	Calangute	15.5439
71.67164	09 Jun 2015	maintenance	PK	Qadirpur Ran	30.29184
-3.67029	2021-01-08	average	ES	Las Gabias	37.13548
25.8191	2014-03-30	accep	BY	Novogrudok	53.5942
120.57224	10 Oct 2021	accep	PH	Burgos	15.72892
100.24529	08 Oct 2018	excellent	MY	Batu Feringgi	5.4709
-119.01677	2015/10/12	good	US	Porterville	36.06523
74.80555	2018-01-25	building	IN	Srinagar	34.08565
-118.03917	30 Aug 2017	excellent	US	South Whittier	33.95015
-97.54667	2018/10/22	average	US	Hutto	30.5427
105.75635	2018/05/01	accep	VN	Sa Dec	10.29085
8.77155	2015/07/02	average	DE	Karben	50.23019
-72.27814	06 Apr 2014	excellent	US	Keene	42.93369
-73.95097	08/15/2015, 00:00:00	excellent	US	Greenpoint	40.72371
79.41727	08/14/2022, 00:00:00	building	IN	Gingee	12.25282
-80.58556	2013/06/29	average	CU	Corralillo	22.98212
-3.05814	2019/01/02	accep	GB	Rhosllanerchrugog	53.00974
11.5	03/04/2021, 00:00:00	maintenance	CM	Mbalmayo	3.51667
135.31667	2014-11-25	average	JP	Iwade	34.25
22.53083	2022/06/28	building	RS	Negotin	44.22639
10.5511	2020/11/02	accep	DE	Gifhorn	52.47774
135.31667	2018/04/27	excellent	JP	Iwade	34.25
-81.24441	2020-07-11	good	CU	Varadero	23.15678
-52.51028	2016-08-20	excellent	BR	Soledade	-28.81833
-95.63079	2014-10-18	maintenance	US	Palestine	31.76212
-116.56346	2015/05/29	excellent	US	Nampa	43.54072
-120.00865	2021/01/27	average	US	Sunnyside	46.32374
38.15035	05/18/2013, 00:00:00	average	UA	Svatove	49.41029
71.57118	2017/06/30	building	PK	Daud Khel	32.87533
-15.6	2016/01/28	excellent	GM	Farafenni	13.56667
-89.64066	10 Nov 2016	excellent	US	Pekin	40.56754
-0.91979	26 Mar 2017	maintenance	GB	Lower Earley	51.42708
117.27583	09/13/2016, 00:00:00	accep	CN	Sishui	35.64889
24.6522	2020/01/29	excellent	FI	Espoo	60.2052
32.86389	2021-11-16	accep	RU	Roslavl’	53.95278
-82.61573	08/13/2013, 00:00:00	maintenance	US	Norwalk	41.24255
123.17306	01/04/2013, 00:00:00	good	CN	Liaoyang	41.27194
9.72749	2016-02-18	good	DE	Ehingen	48.28259
89.11943	2013-07-09	average	BD	Kushtia	23.9028
33.2525	03/01/2022, 00:00:00	good	RU	Valday	57.97472
-117.70755	11/18/2013, 00:00:00	accep	US	Laguna Niguel	33.52253
9.0027	11 May 2014	good	NG	Gaya	11.86064
34.8732	2013-06-17	accep	IL	Ganei Tikva	32.05971
31.4976	12/17/2017, 00:00:00	accep	EG	Juhaynah	26.67319
26.97253	2017/10/02	average	UA	Krasyliv	49.65186
55.4504	2014/06/04	accep	RE	Saint-Denis	-20.88231
30.79165	2021-06-21	average	ZA	Vryheid	-27.76952
60.8019	2018-08-12	average	RU	Beryozovsky	56.9083
-13.2356	2018/05/31	maintenance	SL	Freetown	8.48714
33.2525	07/26/2017, 00:00:00	good	RU	Valday	57.97472
8.77069	31 Dec 2020	good	DE	Marburg an der Lahn	50.80904
144.09638	2019-08-20	good	JP	Motomachi	43.82634
68.21204	2015/04/02	building	PK	Larkana	27.55898
-2.09814	08 Dec 2019	good	GB	Aberdeen	57.14369
127.08472	03/28/2017, 00:00:00	building	KR	Nonsan	36.20389
16.91667	2013/04/03	good	NA	Okahandja	-21.98333
-69.96533	21 Jun 2017	excellent	US	Brunswick	43.91452
-79.62603	2022/09/01	average	PA	Veracruz	8.88988
-60.47389	11 Feb 2022	good	AR	Chacabuco	-34.64167
35.7	15 Oct 2021	accep	TZ	Iringa	-7.76667
85.37752	2021/12/29	average	IN	Barbil	22.10194
-80.22588	30 Oct 2013	accep	US	North Lauderdale	26.2173
15.00835	10/01/2019, 00:00:00	average	PL	Zgorzelec	51.14942
38.12408	09/14/2013, 00:00:00	good	RU	Bogoroditsk	53.77166
68.21204	09/12/2018, 00:00:00	good	PK	Larkana	27.55898
-42.98194	2017/06/11	good	BR	Guapimirim	-22.53722
9.5926	2022/07/07	accep	DE	Walsrode	52.86147
23.225	09/09/2016, 00:00:00	good	BG	Montana	43.4125
8.86704	2015/11/17	accep	DE	Nidderau	50.23805
97.01124	08/16/2019, 00:00:00	excellent	MM	Kyaikto	17.30858
1.10687	05 Jul 2022	good	ES	Reus	41.15612
-86.11084	03/17/2013, 00:00:00	good	US	Granger	41.75338
-71.8023	2018/11/08	accep	US	Fitchburg	42.58342
59.4839	2021-06-28	maintenance	RU	Kachkanar	58.7002
-86.11084	08 Apr 2015	good	US	Granger	41.75338
7.36027	18 Jun 2014	good	DE	Radevormwald	51.20219
88.28637	11/01/2020, 00:00:00	good	IN	Pandua	23.07492
118.9707	08 Dec 2016	good	ID	Majene	-3.5403
-1.05366	2021/12/17	good	FR	Dax	43.71032
111.73861	22 Mar 2018	accep	CN	Changzhi	35.20889
78.95693	2015-07-07	maintenance	IN	Kashipur	29.21399
-69.96533	04/14/2022, 00:00:00	good	US	Brunswick	43.91452
-81.26367	2017/07/06	accep	US	Deltona	28.90054
27.25	2022-06-16	maintenance	BG	Aytos	42.7
-72.47417	08/10/2013, 00:00:00	average	CO	Villa del Rosario	7.83389
-82.07842	2018/02/22	accep	US	Punta Gorda Isles	26.91756
-119.48568	2013/02/07	average	CA	Kelowna	49.88307
122.08333	25 Apr 2016	average	CN	Ulanhot	46.08333
38.2739	2016/11/03	building	RU	Yeysk	46.7055
77.9129	08/25/2018, 00:00:00	excellent	IN	Narwar	25.6439
8.64409	05/26/2020, 00:00:00	excellent	DE	Trossingen	48.07667
65.50917	03/07/2021, 00:00:00	good	KZ	Kyzylorda	44.85278
13.28702	04/12/2022, 00:00:00	average	DE	Dahlem	52.4581
60.8019	09/06/2019, 00:00:00	average	RU	Beryozovsky	56.9083
116.11768	25 Oct 2020	good	CN	Meizhou	24.28859
-95.63079	2018-03-17	excellent	US	Palestine	31.76212
15.07041	2022-05-28	average	IT	Catania	37.49223
1.53414	2016-11-18	average	AD	les Escaldes	42.50729
33.72798	08/16/2021, 00:00:00	good	RU	Zhukovka	53.53395
85.94001	2020/09/24	accep	IN	Teghra	25.49043
-53.13722	2015/07/20	maintenance	BR	Loanda	-22.92306
8.77069	2021/01/11	maintenance	DE	Marburg an der Lahn	50.80904
24.43973	11/21/2018, 00:00:00	good	CD	Yangambi	0.76755
30.4347	2021-11-27	maintenance	RW	Rwamagana	-1.9487
8.4493	2022/03/08	good	DE	Hofheim am Taunus	50.09019
-76.43941	2019-02-27	excellent	US	Middle River	39.33427
-37.03861	2022-07-21	good	BR	Barra dos Coqueiros	-10.90889
11.18709	2022-03-31	maintenance	DE	Neuburg an der Donau	48.73218
17.58522	2018/03/28	excellent	IT	Francavilla Fontana	40.53123
-86.11084	2021-02-20	excellent	US	Granger	41.75338
-0.29825	2014-02-23	maitennce	GB	Surbiton	51.39148
-73.95097	09 Jul 2018	maintenance	US	Greenpoint	40.72371
-48.62789	06 Jul 2013	excellent	BR	Caldas Novas	-17.74431
-97.54667	12 Oct 2013	average	US	Hutto	30.5427
-1.60452	05/13/2019, 00:00:00	excellent	ES	Tudela	42.06166
75.16878	2014/11/02	accep	IN	Moga	30.81383
86.68363	2013/04/07	accep	IN	Adra	23.49668
-2.77259	03/21/2019, 00:00:00	excellent	ES	Baza	37.49073
145.13643	2019/06/09	average	AU	Frankston South	-38.16604
73.38333	21 Apr 2015	good	PK	Sangla Hill	31.71667
-71.10077	07/19/2021, 00:00:00	average	DO	Santa Cruz de Barahona	18.20854
4.62744	09 Aug 2018	accep	DZ	El Achir	36.06386
14.43865	02 Dec 2018	maintenance	IT	Somma Vesuviana	40.87329
8.88104	2018/04/27	excellent	IT	Malnate	45.79377
